# _root_ Předseda Halík považuje Wintrovo jednání za jistou odplatu Spartě z doby , kdy byl požádán , aby projednal odstupné za sparťanského hráče Františka Kučeru v Chicagu .
#goldHeads=2,3,0,5,3,3,8,6,8,8,10,15,15,15,11,17,15,17,18,19,22,24,24,20,24,25,0,
#predictedHeads=2,3,0,5,3,3,8,6,8,8,10,15,15,15,11,17,15,17,18,18,22,24,24,20,24,25,0,
(14,15),(15,12),-0.788584 # DEPENDENCYPART_GRANDPAR
(14,15),(15,13),-0.728781 # DEPENDENCYPART_GRANDPAR
(14,15),(15,14),-1.65499 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(14,15),(15,16),-0.372935 # DEPENDENCYPART_GRANDPAR
(14,15),(15,17),-0.325831 # DEPENDENCYPART_GRANDPAR
(14,15),(15,18),-0.650627 # DEPENDENCYPART_GRANDPAR
(14,15),(15,19),-0.943749 # DEPENDENCYPART_GRANDPAR
(14,15),(15,20),-0.759055 # DEPENDENCYPART_GRANDPAR
(14,15),(15,22),-1.14819 # DEPENDENCYPART_GRANDPAR
(14,15),(15,23),-1.26134 # DEPENDENCYPART_GRANDPAR
(14,15),(15,24),-1.09455 # DEPENDENCYPART_GRANDPAR
(14,15),(15,25),-0.939278 # DEPENDENCYPART_GRANDPAR
(14,16),(16,3),-1.65732 # DEPENDENCYPART_GRANDPAR
(14,16),(16,15),-0.483505 # DEPENDENCYPART_GRANDPAR
(14,16),(16,18),-1.00026 # DEPENDENCYPART_GRANDPAR
(14,16),(16,19),-0.712744 # DEPENDENCYPART_GRANDPAR
(14,16),(16,20),-0.618252 # DEPENDENCYPART_GRANDPAR
(14,17),(17,11),-1.939 # DEPENDENCYPART_GRANDPAR
(14,17),(17,12),-1.09106 # DEPENDENCYPART_GRANDPAR
(14,17),(17,13),-0.870474 # DEPENDENCYPART_GRANDPAR
(14,17),(17,14),-1.6109 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(14,17),(17,16),0.154746 # DEPENDENCYPART_GRANDPAR
(14,17),(17,18),-0.181983 # DEPENDENCYPART_GRANDPAR
(14,17),(17,19),-0.794078 # DEPENDENCYPART_GRANDPAR
(14,17),(17,20),-0.642197 # DEPENDENCYPART_GRANDPAR
(14,17),(17,21),-1.71375 # DEPENDENCYPART_GRANDPAR
(14,17),(17,22),-1.00904 # DEPENDENCYPART_GRANDPAR
(14,17),(17,23),-1.11441 # DEPENDENCYPART_GRANDPAR
(14,17),(17,24),-0.947734 # DEPENDENCYPART_GRANDPAR
(14,17),(17,25),-0.73953 # DEPENDENCYPART_GRANDPAR
(14,18),(18,1),-0.809996 # DEPENDENCYPART_GRANDPAR
(14,18),(18,2),-1.35203 # DEPENDENCYPART_GRANDPAR
(14,18),(18,3),-1.41484 # DEPENDENCYPART_GRANDPAR
(14,18),(18,5),-1.06284 # DEPENDENCYPART_GRANDPAR
(14,18),(18,13),-0.72882 # DEPENDENCYPART_GRANDPAR
(14,18),(18,14),-1.65639 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(14,18),(18,15),-0.404899 # DEPENDENCYPART_GRANDPAR
(14,18),(18,16),-0.0899573 # DEPENDENCYPART_GRANDPAR
(14,18),(18,17),-0.128844 # DEPENDENCYPART_GRANDPAR
(14,18),(18,19),-0.945643 # DEPENDENCYPART_GRANDPAR
(14,18),(18,20),-0.759814 # DEPENDENCYPART_GRANDPAR
(14,18),(18,21),-1.9142 # DEPENDENCYPART_GRANDPAR
(14,18),(18,22),-1.15009 # DEPENDENCYPART_GRANDPAR
(14,18),(18,23),-1.26323 # DEPENDENCYPART_GRANDPAR
(14,18),(18,24),-1.09645 # DEPENDENCYPART_GRANDPAR
(14,18),(18,25),-0.940037 # DEPENDENCYPART_GRANDPAR
(14,18),(18,26),-1.75543 # DEPENDENCYPART_GRANDPAR
(14,19),(19,20),-0.579864 # DEPENDENCYPART_GRANDPAR
(14,19),(19,21),-1.60222 # DEPENDENCYPART_GRANDPAR
(14,19),(19,22),-0.783792 # DEPENDENCYPART_GRANDPAR
(14,19),(19,23),-0.880972 # DEPENDENCYPART_GRANDPAR
(14,19),(19,24),-0.710549 # DEPENDENCYPART_GRANDPAR
(14,19),(19,25),-0.665544 # DEPENDENCYPART_GRANDPAR
(14,20),(20,16),-0.317367 # DEPENDENCYPART_GRANDPAR
(14,20),(20,19),-0.545527 # DEPENDENCYPART_GRANDPAR
(14,20),(20,21),-1.44601 # DEPENDENCYPART_GRANDPAR
(14,20),(20,22),-0.883652 # DEPENDENCYPART_GRANDPAR
(14,20),(20,23),-0.974541 # DEPENDENCYPART_GRANDPAR
(14,20),(20,24),-0.806654 # DEPENDENCYPART_GRANDPAR
(15,1),(1,2),-0.486239 # DEPENDENCYPART_GRANDPAR
(15,1),(1,3),0.0479677 # DEPENDENCYPART_GRANDPAR
(15,1),(1,4),-0.745939 # DEPENDENCYPART_GRANDPAR
(15,1),(1,5),-0.0253663 # DEPENDENCYPART_GRANDPAR
(15,1),(1,6),-0.231466 # DEPENDENCYPART_GRANDPAR
(15,1),(1,7),-0.244803 # DEPENDENCYPART_GRANDPAR
(15,1),(1,8),-0.298061 # DEPENDENCYPART_GRANDPAR
(15,1),(1,10),-0.128357 # DEPENDENCYPART_GRANDPAR
(15,2),(2,1),-0.332421 # DEPENDENCYPART_GRANDPAR
(15,2),(2,3),0.0502969 # DEPENDENCYPART_GRANDPAR
(15,2),(2,4),-0.739708 # DEPENDENCYPART_GRANDPAR
(15,2),(2,5),-0.0456965 # DEPENDENCYPART_GRANDPAR
(15,2),(2,6),-0.226759 # DEPENDENCYPART_GRANDPAR
(15,3),(3,1),-0.621834 # DEPENDENCYPART_GRANDPAR
(15,3),(3,2),-0.901497 # DEPENDENCYPART_GRANDPAR
(15,3),(3,5),-0.503556 # DEPENDENCYPART_GRANDPAR
(15,3),(3,6),-0.518441 # DEPENDENCYPART_GRANDPAR
(15,3),(3,7),-0.763795 # DEPENDENCYPART_GRANDPAR
(15,3),(3,8),-0.75595 # DEPENDENCYPART_GRANDPAR
(15,3),(3,9),-1.15738 # DEPENDENCYPART_GRANDPAR
(15,3),(3,10),-0.391754 # DEPENDENCYPART_GRANDPAR
(15,3),(3,11),-1.05669 # DEPENDENCYPART_GRANDPAR
(15,3),(3,12),0.108759 # DEPENDENCYPART_GRANDPAR
(15,3),(3,13),-0.309244 # DEPENDENCYPART_GRANDPAR
(15,3),(3,14),-0.384637 # DEPENDENCYPART_GRANDPAR
(15,3),(3,15),-2.08059 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(15,3),(3,16),0.12007 # DEPENDENCYPART_GRANDPAR
(15,3),(3,17),-0.117307 # DEPENDENCYPART_GRANDPAR
(15,3),(3,18),-0.759287 # DEPENDENCYPART_GRANDPAR
(15,3),(3,20),-0.846144 # DEPENDENCYPART_GRANDPAR
(15,3),(3,25),-1.02585 # DEPENDENCYPART_GRANDPAR
(15,5),(5,1),-0.339429 # DEPENDENCYPART_GRANDPAR
(15,5),(5,2),-0.639765 # DEPENDENCYPART_GRANDPAR
(15,5),(5,3),-0.275706 # DEPENDENCYPART_GRANDPAR
(15,5),(5,4),-0.82078 # DEPENDENCYPART_GRANDPAR
(15,5),(5,6),-0.193648 # DEPENDENCYPART_GRANDPAR
(15,5),(5,7),-0.225677 # DEPENDENCYPART_GRANDPAR
(15,5),(5,8),-0.310794 # DEPENDENCYPART_GRANDPAR
(15,5),(5,9),-0.718797 # DEPENDENCYPART_GRANDPAR
(15,5),(5,10),-0.0888698 # DEPENDENCYPART_GRANDPAR
(15,5),(5,14),0.123522 # DEPENDENCYPART_GRANDPAR
(15,5),(5,15),-1.98958 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(15,6),(6,5),-0.140989 # DEPENDENCYPART_GRANDPAR
(15,6),(6,7),-0.242668 # DEPENDENCYPART_GRANDPAR
(15,6),(6,8),-0.33585 # DEPENDENCYPART_GRANDPAR
(15,6),(6,9),-0.764077 # DEPENDENCYPART_GRANDPAR
(15,6),(6,11),-0.610715 # DEPENDENCYPART_GRANDPAR
(15,6),(6,12),-0.098979 # DEPENDENCYPART_GRANDPAR
(15,7),(7,6),-0.448992 # DEPENDENCYPART_GRANDPAR
(15,7),(7,9),-1.08982 # DEPENDENCYPART_GRANDPAR
(15,8),(8,4),-0.829845 # DEPENDENCYPART_GRANDPAR
(15,8),(8,6),-0.376318 # DEPENDENCYPART_GRANDPAR
(15,8),(8,7),-0.329523 # DEPENDENCYPART_GRANDPAR
(15,8),(8,9),-0.71826 # DEPENDENCYPART_GRANDPAR
(15,8),(8,10),-0.120882 # DEPENDENCYPART_GRANDPAR
(15,8),(8,11),-0.593442 # DEPENDENCYPART_GRANDPAR
(15,8),(8,13),-0.394147 # DEPENDENCYPART_GRANDPAR
(15,8),(8,14),0.112892 # DEPENDENCYPART_GRANDPAR
(15,8),(8,15),-1.98844 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(15,8),(8,17),-0.0542973 # DEPENDENCYPART_GRANDPAR
(15,9),(9,1),-0.334974 # DEPENDENCYPART_GRANDPAR
(15,9),(9,2),-0.635313 # DEPENDENCYPART_GRANDPAR
(15,9),(9,4),-0.831801 # DEPENDENCYPART_GRANDPAR
(15,9),(9,5),-0.210908 # DEPENDENCYPART_GRANDPAR
(15,9),(9,7),-0.331478 # DEPENDENCYPART_GRANDPAR
(15,9),(9,8),-0.447406 # DEPENDENCYPART_GRANDPAR
(15,9),(9,10),-0.121505 # DEPENDENCYPART_GRANDPAR
(15,9),(9,11),-0.594064 # DEPENDENCYPART_GRANDPAR
(15,9),(9,12),-0.161982 # DEPENDENCYPART_GRANDPAR
(15,9),(9,13),-0.39477 # DEPENDENCYPART_GRANDPAR
(15,9),(9,14),0.110229 # DEPENDENCYPART_GRANDPAR
(15,9),(9,15),-1.98844 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(15,9),(9,17),-0.0591696 # DEPENDENCYPART_GRANDPAR
(15,9),(9,18),-0.667136 # DEPENDENCYPART_GRANDPAR
(15,10),(10,9),-0.752952 # DEPENDENCYPART_GRANDPAR
(15,10),(10,11),-0.678228 # DEPENDENCYPART_GRANDPAR
(15,10),(10,12),-0.120142 # DEPENDENCYPART_GRANDPAR
(15,10),(10,13),-0.414555 # DEPENDENCYPART_GRANDPAR
(15,11),(11,7),-0.337336 # DEPENDENCYPART_GRANDPAR
(15,11),(11,8),-0.463055 # DEPENDENCYPART_GRANDPAR
(15,11),(11,9),-0.859953 # DEPENDENCYPART_GRANDPAR
(15,11),(11,10),-0.224349 # DEPENDENCYPART_GRANDPAR
(15,11),(11,12),-0.169902 # DEPENDENCYPART_GRANDPAR
(15,11),(11,13),-0.400678 # DEPENDENCYPART_GRANDPAR
(15,11),(11,14),0.108654 # DEPENDENCYPART_GRANDPAR
(15,11),(11,15),-1.98848 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(15,11),(11,16),0.111774 # DEPENDENCYPART_GRANDPAR
(15,11),(11,17),-0.05291 # DEPENDENCYPART_GRANDPAR
(15,11),(11,18),-0.667176 # DEPENDENCYPART_GRANDPAR
(15,12),(12,1),-0.537677 # DEPENDENCYPART_GRANDPAR
(15,12),(12,2),-0.840746 # DEPENDENCYPART_GRANDPAR
(15,12),(12,3),-1.09066 # DEPENDENCYPART_GRANDPAR
(15,12),(12,4),-1.11648 # DEPENDENCYPART_GRANDPAR
(15,12),(12,5),-0.41607 # DEPENDENCYPART_GRANDPAR
(15,12),(12,6),-0.41062 # DEPENDENCYPART_GRANDPAR
(15,12),(12,7),-0.61026 # DEPENDENCYPART_GRANDPAR
(15,12),(12,8),-0.652839 # DEPENDENCYPART_GRANDPAR
(15,12),(12,9),-1.04974 # DEPENDENCYPART_GRANDPAR
(15,12),(12,10),-0.41709 # DEPENDENCYPART_GRANDPAR
(15,12),(12,11),-0.933902 # DEPENDENCYPART_GRANDPAR
(15,12),(12,13),-0.428621 # DEPENDENCYPART_GRANDPAR
(15,12),(12,14),-0.519073 # DEPENDENCYPART_GRANDPAR
(15,12),(12,15),-2.34528 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(15,12),(12,16),-0.111668 # DEPENDENCYPART_GRANDPAR
(15,12),(12,17),-0.313552 # DEPENDENCYPART_GRANDPAR
(15,12),(12,18),-1.02398 # DEPENDENCYPART_GRANDPAR
(15,13),(13,3),-0.539106 # DEPENDENCYPART_GRANDPAR
(15,13),(13,8),-0.621154 # DEPENDENCYPART_GRANDPAR
(15,13),(13,10),-0.394415 # DEPENDENCYPART_GRANDPAR
(15,13),(13,11),-0.903399 # DEPENDENCYPART_GRANDPAR
(15,13),(13,12),-0.405312 # DEPENDENCYPART_GRANDPAR
(15,13),(13,16),0.111317 # DEPENDENCYPART_GRANDPAR
(15,13),(13,17),0.0339706 # DEPENDENCYPART_GRANDPAR
(15,13),(13,18),-0.676578 # DEPENDENCYPART_GRANDPAR
(15,14),(14,1),-0.748636 # DEPENDENCYPART_GRANDPAR
(15,14),(14,2),-1.0283 # DEPENDENCYPART_GRANDPAR
(15,14),(14,3),-0.733735 # DEPENDENCYPART_GRANDPAR
(15,14),(14,5),-0.616296 # DEPENDENCYPART_GRANDPAR
(15,14),(14,6),-0.591199 # DEPENDENCYPART_GRANDPAR
(15,14),(14,8),-0.839116 # DEPENDENCYPART_GRANDPAR
(15,14),(14,9),-1.24021 # DEPENDENCYPART_GRANDPAR
(15,14),(14,10),-0.486457 # DEPENDENCYPART_GRANDPAR
(15,14),(14,11),-1.11051 # DEPENDENCYPART_GRANDPAR
(15,14),(14,12),-0.24993 # DEPENDENCYPART_GRANDPAR
(15,14),(14,13),-0.542865 # DEPENDENCYPART_GRANDPAR
(15,14),(14,15),-2.1242 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(15,14),(14,16),0.0722374 # DEPENDENCYPART_GRANDPAR
(15,14),(14,17),-0.165895 # DEPENDENCYPART_GRANDPAR
(15,14),(14,18),-0.802891 # DEPENDENCYPART_GRANDPAR
(15,14),(14,19),-1.15705 # DEPENDENCYPART_GRANDPAR
(15,14),(14,20),-0.901795 # DEPENDENCYPART_GRANDPAR
(15,16),(16,3),-1.37832 # DEPENDENCYPART_GRANDPAR
(15,16),(16,15),-1.55012 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(15,16),(16,18),-0.726257 # DEPENDENCYPART_GRANDPAR
(15,16),(16,19),-0.645193 # DEPENDENCYPART_GRANDPAR
(15,16),(16,20),-0.504652 # DEPENDENCYPART_GRANDPAR
(15,17),(17,11),-1.6573 # DEPENDENCYPART_GRANDPAR
(15,17),(17,12),-1.03415 # DEPENDENCYPART_GRANDPAR
(15,17),(17,13),-0.931286 # DEPENDENCYPART_GRANDPAR
(15,17),(17,14),-1.40371 # DEPENDENCYPART_GRANDPAR
(15,17),(17,16),1.17031 # DEPENDENCYPART_GRANDPAR
(15,17),(17,18),0.11288 # DEPENDENCYPART_GRANDPAR
(15,17),(17,19),-0.596836 # DEPENDENCYPART_GRANDPAR
(15,17),(17,20),-0.487401 # DEPENDENCYPART_GRANDPAR
(15,17),(17,21),-1.67961 # DEPENDENCYPART_GRANDPAR
(15,17),(17,22),-0.732095 # DEPENDENCYPART_GRANDPAR
(15,17),(17,23),-0.918901 # DEPENDENCYPART_GRANDPAR
(15,17),(17,24),-0.910903 # DEPENDENCYPART_GRANDPAR
(15,17),(17,25),-0.455873 # DEPENDENCYPART_GRANDPAR
(15,18),(18,1),-0.956712 # DEPENDENCYPART_GRANDPAR
(15,18),(18,2),-1.24978 # DEPENDENCYPART_GRANDPAR
(15,18),(18,3),-1.11939 # DEPENDENCYPART_GRANDPAR
(15,18),(18,5),-0.817584 # DEPENDENCYPART_GRANDPAR
(15,18),(18,13),-0.777616 # DEPENDENCYPART_GRANDPAR
(15,18),(18,14),-1.04985 # DEPENDENCYPART_GRANDPAR
(15,18),(18,15),-1.46668 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(15,18),(18,16),0.942357 # DEPENDENCYPART_GRANDPAR
(15,18),(18,17),0.438868 # DEPENDENCYPART_GRANDPAR
(15,18),(18,19),-0.693088 # DEPENDENCYPART_GRANDPAR
(15,18),(18,20),-0.553979 # DEPENDENCYPART_GRANDPAR
(15,18),(18,21),-1.82479 # DEPENDENCYPART_GRANDPAR
(15,18),(18,22),-0.817826 # DEPENDENCYPART_GRANDPAR
(15,18),(18,23),-1.01241 # DEPENDENCYPART_GRANDPAR
(15,18),(18,24),-1.0043 # DEPENDENCYPART_GRANDPAR
(15,18),(18,25),-0.60917 # DEPENDENCYPART_GRANDPAR
(15,18),(18,26),-1.48458 # DEPENDENCYPART_GRANDPAR
(15,19),(19,20),-0.46478 # DEPENDENCYPART_GRANDPAR
(15,19),(19,21),-1.586 # DEPENDENCYPART_GRANDPAR
(15,19),(19,22),-0.589907 # DEPENDENCYPART_GRANDPAR
(15,19),(19,23),-0.768525 # DEPENDENCYPART_GRANDPAR
(15,19),(19,24),-0.75678 # DEPENDENCYPART_GRANDPAR
(15,19),(19,25),-0.413805 # DEPENDENCYPART_GRANDPAR
(15,20),(20,16),0.741362 # DEPENDENCYPART_GRANDPAR
(15,20),(20,19),-0.30851 # DEPENDENCYPART_GRANDPAR
(15,20),(20,21),-1.34744 # DEPENDENCYPART_GRANDPAR
(15,20),(20,22),-0.53557 # DEPENDENCYPART_GRANDPAR
(15,20),(20,23),-0.707896 # DEPENDENCYPART_GRANDPAR
(15,20),(20,24),-0.698688 # DEPENDENCYPART_GRANDPAR
(15,22),(22,19),-0.29295 # DEPENDENCYPART_GRANDPAR
(15,22),(22,20),-0.313467 # DEPENDENCYPART_GRANDPAR
(15,22),(22,21),-1.49125 # DEPENDENCYPART_GRANDPAR
(15,22),(22,23),-0.760471 # DEPENDENCYPART_GRANDPAR
(15,22),(22,24),-0.748726 # DEPENDENCYPART_GRANDPAR
(15,22),(22,25),-0.44738 # DEPENDENCYPART_GRANDPAR
(15,22),(22,26),-1.22905 # DEPENDENCYPART_GRANDPAR
(15,23),(23,19),-0.301512 # DEPENDENCYPART_GRANDPAR
(15,23),(23,21),-1.4981 # DEPENDENCYPART_GRANDPAR
(15,23),(23,22),-0.456318 # DEPENDENCYPART_GRANDPAR
(15,23),(23,24),-0.7562 # DEPENDENCYPART_GRANDPAR
(15,23),(23,25),-0.425135 # DEPENDENCYPART_GRANDPAR
(15,23),(23,26),-1.23652 # DEPENDENCYPART_GRANDPAR
(15,23),(23,27),-0.356727 # DEPENDENCYPART_GRANDPAR
(15,24),(24,19),-0.297525 # DEPENDENCYPART_GRANDPAR
(15,24),(24,20),-0.31808 # DEPENDENCYPART_GRANDPAR
(15,24),(24,21),-1.49803 # DEPENDENCYPART_GRANDPAR
(15,24),(24,22),-0.452332 # DEPENDENCYPART_GRANDPAR
(15,24),(24,23),-0.622283 # DEPENDENCYPART_GRANDPAR
(15,24),(24,25),-0.425071 # DEPENDENCYPART_GRANDPAR
(15,24),(24,26),-1.23219 # DEPENDENCYPART_GRANDPAR
(15,24),(24,27),-0.356655 # DEPENDENCYPART_GRANDPAR
(15,25),(25,23),-0.444791 # DEPENDENCYPART_GRANDPAR
(15,25),(25,24),-0.436142 # DEPENDENCYPART_GRANDPAR
(15,25),(25,26),-0.986954 # DEPENDENCYPART_GRANDPAR
(15,25),(25,27),-0.265513 # DEPENDENCYPART_GRANDPAR
(16,3),(3,1),-0.394677 # DEPENDENCYPART_GRANDPAR
(16,3),(3,2),-0.402266 # DEPENDENCYPART_GRANDPAR
(16,3),(3,5),-0.0646577 # DEPENDENCYPART_GRANDPAR
(16,3),(3,6),-0.310095 # DEPENDENCYPART_GRANDPAR
(16,3),(3,7),-0.392107 # DEPENDENCYPART_GRANDPAR
(16,3),(3,8),-0.258291 # DEPENDENCYPART_GRANDPAR
(16,3),(3,9),-0.268823 # DEPENDENCYPART_GRANDPAR
(16,3),(3,10),-0.472412 # DEPENDENCYPART_GRANDPAR
(16,3),(3,11),-0.396293 # DEPENDENCYPART_GRANDPAR
(16,3),(3,12),-0.229191 # DEPENDENCYPART_GRANDPAR
(16,3),(3,13),-0.142528 # DEPENDENCYPART_GRANDPAR
(16,3),(3,14),0.117337 # DEPENDENCYPART_GRANDPAR
(16,3),(3,15),0.0152768 # DEPENDENCYPART_GRANDPAR
(16,3),(3,16),-2.0341 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(16,3),(3,17),-0.683081 # DEPENDENCYPART_GRANDPAR
(16,3),(3,18),-0.72681 # DEPENDENCYPART_GRANDPAR
(16,3),(3,20),-1.13852 # DEPENDENCYPART_GRANDPAR
(16,3),(3,25),-1.30456 # DEPENDENCYPART_GRANDPAR
(16,15),(15,1),-0.365632 # DEPENDENCYPART_GRANDPAR
(16,15),(15,2),-0.373222 # DEPENDENCYPART_GRANDPAR
(16,15),(15,3),-0.281042 # DEPENDENCYPART_GRANDPAR
(16,15),(15,5),0.03676 # DEPENDENCYPART_GRANDPAR
(16,15),(15,6),-0.407383 # DEPENDENCYPART_GRANDPAR
(16,15),(15,7),-0.28767 # DEPENDENCYPART_GRANDPAR
(16,15),(15,8),-0.204583 # DEPENDENCYPART_GRANDPAR
(16,15),(15,9),-0.22072 # DEPENDENCYPART_GRANDPAR
(16,15),(15,10),-0.506754 # DEPENDENCYPART_GRANDPAR
(16,15),(15,11),-0.324769 # DEPENDENCYPART_GRANDPAR
(16,15),(15,12),-0.35403 # DEPENDENCYPART_GRANDPAR
(16,15),(15,13),-0.157959 # DEPENDENCYPART_GRANDPAR
(16,15),(15,14),-0.0119511 # DEPENDENCYPART_GRANDPAR
(16,15),(15,16),-2.03288 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(16,15),(15,17),-0.681165 # DEPENDENCYPART_GRANDPAR
(16,15),(15,18),-0.725974 # DEPENDENCYPART_GRANDPAR
(16,15),(15,19),-1.20859 # DEPENDENCYPART_GRANDPAR
(16,15),(15,20),-1.13353 # DEPENDENCYPART_GRANDPAR
(16,15),(15,22),-1.3439 # DEPENDENCYPART_GRANDPAR
(16,15),(15,23),-1.4206 # DEPENDENCYPART_GRANDPAR
(16,15),(15,24),-1.40333 # DEPENDENCYPART_GRANDPAR
(16,15),(15,25),-1.30119 # DEPENDENCYPART_GRANDPAR
(16,18),(18,1),-1.34907 # DEPENDENCYPART_GRANDPAR
(16,18),(18,2),-1.39549 # DEPENDENCYPART_GRANDPAR
(16,18),(18,3),-1.0326 # DEPENDENCYPART_GRANDPAR
(16,18),(18,5),-1.04606 # DEPENDENCYPART_GRANDPAR
(16,18),(18,13),-0.8405 # DEPENDENCYPART_GRANDPAR
(16,18),(18,14),-0.830638 # DEPENDENCYPART_GRANDPAR
(16,18),(18,15),-0.849976 # DEPENDENCYPART_GRANDPAR
(16,18),(18,16),-1.38977 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(16,18),(18,17),0.212713 # DEPENDENCYPART_GRANDPAR
(16,18),(18,19),-0.201268 # DEPENDENCYPART_GRANDPAR
(16,18),(18,20),-0.179346 # DEPENDENCYPART_GRANDPAR
(16,18),(18,21),-0.269869 # DEPENDENCYPART_GRANDPAR
(16,18),(18,22),-0.267775 # DEPENDENCYPART_GRANDPAR
(16,18),(18,23),-0.400832 # DEPENDENCYPART_GRANDPAR
(16,18),(18,24),-0.379932 # DEPENDENCYPART_GRANDPAR
(16,18),(18,25),-0.264028 # DEPENDENCYPART_GRANDPAR
(16,18),(18,26),-0.374473 # DEPENDENCYPART_GRANDPAR
(16,19),(19,20),-0.280917 # DEPENDENCYPART_GRANDPAR
(16,19),(19,21),-0.321465 # DEPENDENCYPART_GRANDPAR
(16,19),(19,22),-0.371429 # DEPENDENCYPART_GRANDPAR
(16,19),(19,23),-0.475172 # DEPENDENCYPART_GRANDPAR
(16,19),(19,24),-0.447235 # DEPENDENCYPART_GRANDPAR
(16,19),(19,25),-0.328992 # DEPENDENCYPART_GRANDPAR
(16,20),(20,16),-1.42378 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(16,20),(20,19),-0.264492 # DEPENDENCYPART_GRANDPAR
(16,20),(20,21),-0.288652 # DEPENDENCYPART_GRANDPAR
(16,20),(20,22),-0.426076 # DEPENDENCYPART_GRANDPAR
(16,20),(20,23),-0.526791 # DEPENDENCYPART_GRANDPAR
(16,20),(20,24),-0.505006 # DEPENDENCYPART_GRANDPAR
(17,11),(11,7),-0.51178 # DEPENDENCYPART_GRANDPAR
(17,11),(11,8),-0.915134 # DEPENDENCYPART_GRANDPAR
(17,11),(11,9),-0.714123 # DEPENDENCYPART_GRANDPAR
(17,11),(11,10),-0.574139 # DEPENDENCYPART_GRANDPAR
(17,11),(11,12),-0.568643 # DEPENDENCYPART_GRANDPAR
(17,11),(11,13),-0.776174 # DEPENDENCYPART_GRANDPAR
(17,11),(11,14),-0.248609 # DEPENDENCYPART_GRANDPAR
(17,11),(11,15),-0.423525 # DEPENDENCYPART_GRANDPAR
(17,11),(11,16),-0.389802 # DEPENDENCYPART_GRANDPAR
(17,11),(11,17),-1.26235 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(17,11),(11,18),0.146073 # DEPENDENCYPART_GRANDPAR
(17,12),(12,1),-0.776359 # DEPENDENCYPART_GRANDPAR
(17,12),(12,2),-1.15082 # DEPENDENCYPART_GRANDPAR
(17,12),(12,3),-0.718308 # DEPENDENCYPART_GRANDPAR
(17,12),(12,4),-0.611308 # DEPENDENCYPART_GRANDPAR
(17,12),(12,5),-0.965966 # DEPENDENCYPART_GRANDPAR
(17,12),(12,6),-0.691459 # DEPENDENCYPART_GRANDPAR
(17,12),(12,7),-0.540816 # DEPENDENCYPART_GRANDPAR
(17,12),(12,8),-0.869553 # DEPENDENCYPART_GRANDPAR
(17,12),(12,9),-0.668542 # DEPENDENCYPART_GRANDPAR
(17,12),(12,10),-0.577135 # DEPENDENCYPART_GRANDPAR
(17,12),(12,11),-0.820386 # DEPENDENCYPART_GRANDPAR
(17,12),(12,13),-0.891098 # DEPENDENCYPART_GRANDPAR
(17,12),(12,14),-0.490924 # DEPENDENCYPART_GRANDPAR
(17,12),(12,15),-0.659098 # DEPENDENCYPART_GRANDPAR
(17,12),(12,16),-0.299355 # DEPENDENCYPART_GRANDPAR
(17,12),(12,17),-1.29971 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(17,12),(12,18),0.0927064 # DEPENDENCYPART_GRANDPAR
(17,13),(13,3),-0.73451 # DEPENDENCYPART_GRANDPAR
(17,13),(13,8),-0.950387 # DEPENDENCYPART_GRANDPAR
(17,13),(13,10),-0.667365 # DEPENDENCYPART_GRANDPAR
(17,13),(13,11),-0.902247 # DEPENDENCYPART_GRANDPAR
(17,13),(13,12),-0.78995 # DEPENDENCYPART_GRANDPAR
(17,13),(13,16),-0.377814 # DEPENDENCYPART_GRANDPAR
(17,13),(13,17),-1.14431 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(17,13),(13,18),0.219038 # DEPENDENCYPART_GRANDPAR
(17,14),(14,1),-0.596591 # DEPENDENCYPART_GRANDPAR
(17,14),(14,2),-0.933885 # DEPENDENCYPART_GRANDPAR
(17,14),(14,3),-0.643659 # DEPENDENCYPART_GRANDPAR
(17,14),(14,5),-0.75354 # DEPENDENCYPART_GRANDPAR
(17,14),(14,6),-0.474854 # DEPENDENCYPART_GRANDPAR
(17,14),(14,8),-0.651391 # DEPENDENCYPART_GRANDPAR
(17,14),(14,9),-0.453613 # DEPENDENCYPART_GRANDPAR
(17,14),(14,10),-0.401926 # DEPENDENCYPART_GRANDPAR
(17,14),(14,11),-0.588138 # DEPENDENCYPART_GRANDPAR
