# _root_ Návrh si klade za cíl vytvoření " demokratického , laického a decentralizovaného státu " , který by zaručil všem národům stejná práva .
#goldHeads=3,3,0,3,4,3,13,11,11,11,13,11,6,13,18,18,18,13,20,18,22,18,0,
#predictedHeads=3,3,0,3,4,5,13,11,11,11,13,11,6,13,18,18,18,13,20,18,22,18,0,
(18,3),(18,10),-0.0688166 # DEPENDENCYPART_SIBL
(18,3),(18,11),-0.0273071 # DEPENDENCYPART_SIBL
(18,3),(18,12),-0.0688166 # DEPENDENCYPART_SIBL
(18,3),(18,13),-0.0151981 # DEPENDENCYPART_SIBL
(18,3),(18,14),-0.0548531 # DEPENDENCYPART_SIBL
(18,3),(18,15),-0.0937366 # DEPENDENCYPART_SIBL
(18,3),(18,16),-0.172421 # DEPENDENCYPART_SIBL
(18,3),(18,17),-0.0780029 # DEPENDENCYPART_SIBL
(18,3),(18,19),-0.0520836 # DEPENDENCYPART_SIBL
(18,3),(18,20),-0.0247566 # DEPENDENCYPART_SIBL
(18,3),(18,21),-0.0329078 # DEPENDENCYPART_SIBL
(18,3),(18,22),0.00149676 # DEPENDENCYPART_SIBL
(18,3),(18,23),-0.0509652 # DEPENDENCYPART_SIBL
(18,4),(18,5),-0.0260535 # DEPENDENCYPART_SIBL
(18,4),(18,6),-0.0236189 # DEPENDENCYPART_SIBL
(18,4),(18,7),0.0700358 # DEPENDENCYPART_SIBL
(18,4),(18,10),-0.066953 # DEPENDENCYPART_SIBL
(18,4),(18,11),-0.0293803 # DEPENDENCYPART_SIBL
(18,4),(18,12),-0.0669386 # DEPENDENCYPART_SIBL
(18,4),(18,13),-0.025261 # DEPENDENCYPART_SIBL
(18,4),(18,14),0.0700358 # DEPENDENCYPART_SIBL
(18,4),(18,15),-0.178149 # DEPENDENCYPART_SIBL
(18,4),(18,16),-0.221677 # DEPENDENCYPART_SIBL
(18,4),(18,17),0.036907 # DEPENDENCYPART_SIBL
(18,4),(18,19),-0.0281916 # DEPENDENCYPART_SIBL
(18,4),(18,20),0.0371737 # DEPENDENCYPART_SIBL
(18,4),(18,21),-0.0346392 # DEPENDENCYPART_SIBL
(18,4),(18,22),0.0642993 # DEPENDENCYPART_SIBL
(18,4),(18,23),-0.0669095 # DEPENDENCYPART_SIBL
(18,5),(18,6),-0.192302 # DEPENDENCYPART_SIBL
(18,5),(18,7),-0.0247635 # DEPENDENCYPART_SIBL
(18,5),(18,10),-0.175015 # DEPENDENCYPART_SIBL
(18,5),(18,11),-0.0406882 # DEPENDENCYPART_SIBL
(18,5),(18,12),-0.175015 # DEPENDENCYPART_SIBL
(18,5),(18,13),-0.198624 # DEPENDENCYPART_SIBL
(18,5),(18,14),-0.0247635 # DEPENDENCYPART_SIBL
(18,5),(18,15),-0.14758 # DEPENDENCYPART_SIBL
(18,5),(18,16),-0.332161 # DEPENDENCYPART_SIBL
(18,5),(18,17),0.0974047 # DEPENDENCYPART_SIBL
(18,5),(18,19),-0.102047 # DEPENDENCYPART_SIBL
(18,5),(18,20),-0.0648739 # DEPENDENCYPART_SIBL
(18,5),(18,21),-0.0691814 # DEPENDENCYPART_SIBL
(18,5),(18,22),-0.0311888 # DEPENDENCYPART_SIBL
(18,5),(18,23),-0.03304 # DEPENDENCYPART_SIBL
(18,6),(18,7),-0.0259707 # DEPENDENCYPART_SIBL
(18,6),(18,10),-0.176673 # DEPENDENCYPART_SIBL
(18,6),(18,11),-0.0409182 # DEPENDENCYPART_SIBL
(18,6),(18,12),-0.176673 # DEPENDENCYPART_SIBL
(18,6),(18,13),-0.198719 # DEPENDENCYPART_SIBL
(18,6),(18,14),-0.0259707 # DEPENDENCYPART_SIBL
(18,6),(18,15),-0.149491 # DEPENDENCYPART_SIBL
(18,6),(18,16),-0.335554 # DEPENDENCYPART_SIBL
(18,6),(18,17),0.0950967 # DEPENDENCYPART_SIBL
(18,6),(18,19),-0.0910979 # DEPENDENCYPART_SIBL
(18,6),(18,20),-0.0502577 # DEPENDENCYPART_SIBL
(18,6),(18,21),-0.0586231 # DEPENDENCYPART_SIBL
(18,6),(18,22),-0.0165726 # DEPENDENCYPART_SIBL
(18,6),(18,23),-0.0267074 # DEPENDENCYPART_SIBL
(18,7),(18,10),0.0432224 # DEPENDENCYPART_SIBL
(18,7),(18,11),-0.0220996 # DEPENDENCYPART_SIBL
(18,7),(18,12),0.0432224 # DEPENDENCYPART_SIBL
(18,7),(18,13),0.0281314 # DEPENDENCYPART_SIBL
(18,7),(18,14),-0.0688144 # DEPENDENCYPART_SIBL
(18,7),(18,15),-0.161966 # DEPENDENCYPART_SIBL
(18,7),(18,16),0.0632632 # DEPENDENCYPART_SIBL
(18,7),(18,17),0.232547 # DEPENDENCYPART_SIBL
(18,7),(18,19),0.0470217 # DEPENDENCYPART_SIBL
(18,7),(18,20),-0.0110695 # DEPENDENCYPART_SIBL
(18,7),(18,21),-0.0299802 # DEPENDENCYPART_SIBL
(18,7),(18,22),0.021164 # DEPENDENCYPART_SIBL
(18,7),(18,23),0.106656 # DEPENDENCYPART_SIBL
(18,10),(18,11),-0.0462441 # DEPENDENCYPART_SIBL
(18,10),(18,12),-0.0118336 # DEPENDENCYPART_SIBL
(18,10),(18,13),-0.0581041 # DEPENDENCYPART_SIBL
(18,10),(18,14),0.00719854 # DEPENDENCYPART_SIBL
(18,10),(18,15),-0.0324364 # DEPENDENCYPART_SIBL
(18,10),(18,16),-0.162639 # DEPENDENCYPART_SIBL
(18,10),(18,17),0.121348 # DEPENDENCYPART_SIBL
(18,10),(18,19),-0.107566 # DEPENDENCYPART_SIBL
(18,10),(18,20),-0.0608198 # DEPENDENCYPART_SIBL
(18,10),(18,21),0.0742552 # DEPENDENCYPART_SIBL
(18,10),(18,22),-0.0334368 # DEPENDENCYPART_SIBL
(18,10),(18,23),-0.0993264 # DEPENDENCYPART_SIBL
(18,11),(18,12),-0.159607 # DEPENDENCYPART_SIBL
(18,11),(18,13),-0.0911817 # DEPENDENCYPART_SIBL
(18,11),(18,14),-0.0278396 # DEPENDENCYPART_SIBL
(18,11),(18,15),-0.104715 # DEPENDENCYPART_SIBL
(18,11),(18,16),-0.178739 # DEPENDENCYPART_SIBL
(18,11),(18,17),-0.126105 # DEPENDENCYPART_SIBL
(18,11),(18,19),-0.0438751 # DEPENDENCYPART_SIBL
(18,11),(18,20),0.00415608 # DEPENDENCYPART_SIBL
(18,11),(18,21),-0.0411506 # DEPENDENCYPART_SIBL
(18,11),(18,22),0.0226948 # DEPENDENCYPART_SIBL
(18,11),(18,23),-0.0654297 # DEPENDENCYPART_SIBL
(18,12),(18,13),-0.0581041 # DEPENDENCYPART_SIBL
(18,12),(18,14),0.00719854 # DEPENDENCYPART_SIBL
(18,12),(18,15),-0.0324364 # DEPENDENCYPART_SIBL
(18,12),(18,16),-0.162639 # DEPENDENCYPART_SIBL
(18,12),(18,17),0.121348 # DEPENDENCYPART_SIBL
(18,12),(18,19),-0.107564 # DEPENDENCYPART_SIBL
(18,12),(18,20),-0.0608197 # DEPENDENCYPART_SIBL
(18,12),(18,21),0.0742552 # DEPENDENCYPART_SIBL
(18,12),(18,22),-0.0334368 # DEPENDENCYPART_SIBL
(18,12),(18,23),-0.0993264 # DEPENDENCYPART_SIBL
(18,13),(18,14),-0.0156415 # DEPENDENCYPART_SIBL
(18,13),(18,15),-0.140215 # DEPENDENCYPART_SIBL
(18,13),(18,16),-0.326507 # DEPENDENCYPART_SIBL
(18,13),(18,17),0.103208 # DEPENDENCYPART_SIBL
(18,13),(18,19),-0.0977498 # DEPENDENCYPART_SIBL
(18,13),(18,20),-0.0481146 # DEPENDENCYPART_SIBL
(18,13),(18,21),-0.0695955 # DEPENDENCYPART_SIBL
(18,13),(18,22),-0.0144294 # DEPENDENCYPART_SIBL
(18,13),(18,23),-0.0209171 # DEPENDENCYPART_SIBL
(18,14),(18,15),-0.161966 # DEPENDENCYPART_SIBL
(18,14),(18,16),0.0632632 # DEPENDENCYPART_SIBL
(18,14),(18,17),0.232547 # DEPENDENCYPART_SIBL
(18,14),(18,19),0.0470217 # DEPENDENCYPART_SIBL
(18,14),(18,20),-0.0110695 # DEPENDENCYPART_SIBL
(18,14),(18,21),-0.0299802 # DEPENDENCYPART_SIBL
(18,14),(18,22),0.021164 # DEPENDENCYPART_SIBL
(18,14),(18,23),0.106656 # DEPENDENCYPART_SIBL
(18,15),(18,16),0.453396 # DEPENDENCYPART_SIBL
(18,15),(18,17),0.369155 # DEPENDENCYPART_SIBL
(18,15),(18,19),-0.0426885 # DEPENDENCYPART_SIBL
(18,15),(18,20),0.000214049 # DEPENDENCYPART_SIBL
(18,15),(18,21),-0.0369668 # DEPENDENCYPART_SIBL
(18,15),(18,22),0.0429612 # DEPENDENCYPART_SIBL
(18,15),(18,23),-0.0253276 # DEPENDENCYPART_SIBL
(18,16),(18,17),0.203497 # DEPENDENCYPART_SIBL
(18,16),(18,19),-0.0733891 # DEPENDENCYPART_SIBL
(18,16),(18,20),-0.0151794 # DEPENDENCYPART_SIBL
(18,16),(18,21),-0.0941733 # DEPENDENCYPART_SIBL
(18,16),(18,22),0.0144685 # DEPENDENCYPART_SIBL
(18,16),(18,23),-0.0240926 # DEPENDENCYPART_SIBL
(18,17),(18,19),-0.0134236 # DEPENDENCYPART_SIBL
(18,17),(18,20),0.000484986 # DEPENDENCYPART_SIBL
(18,17),(18,21),0.0460503 # DEPENDENCYPART_SIBL
(18,17),(18,22),0.0268565 # DEPENDENCYPART_SIBL
(18,17),(18,23),0.0122622 # DEPENDENCYPART_SIBL
(18,19),(18,20),-0.0405076 # DEPENDENCYPART_SIBL
(18,19),(18,21),-0.0806503 # DEPENDENCYPART_SIBL
(18,19),(18,22),-0.0520667 # DEPENDENCYPART_SIBL
(18,19),(18,23),-0.0412012 # DEPENDENCYPART_SIBL
(18,20),(18,21),-0.0191602 # DEPENDENCYPART_SIBL
(18,20),(18,22),-0.112897 # DEPENDENCYPART_SIBL
(18,20),(18,23),-0.130831 # DEPENDENCYPART_SIBL
(18,21),(18,22),-0.115138 # DEPENDENCYPART_SIBL
(18,21),(18,23),-0.154935 # DEPENDENCYPART_SIBL
(18,22),(18,23),-0.115685 # DEPENDENCYPART_SIBL
(20,16),(20,19),-0.0347231 # DEPENDENCYPART_SIBL
(20,16),(20,21),-0.0837087 # DEPENDENCYPART_SIBL
(20,16),(20,22),-0.0921225 # DEPENDENCYPART_SIBL
(20,16),(20,23),-0.0642234 # DEPENDENCYPART_SIBL
(20,19),(20,21),-0.0636571 # DEPENDENCYPART_SIBL
(20,19),(20,22),-0.0479157 # DEPENDENCYPART_SIBL
(20,19),(20,23),-0.0917192 # DEPENDENCYPART_SIBL
(20,21),(20,22),-0.0340613 # DEPENDENCYPART_SIBL
(20,21),(20,23),-0.15584 # DEPENDENCYPART_SIBL
(20,22),(20,23),-0.210505 # DEPENDENCYPART_SIBL
(21,19),(21,20),0.136977 # DEPENDENCYPART_SIBL
(21,19),(21,22),-0.00642203 # DEPENDENCYPART_SIBL
(21,19),(21,23),-0.151568 # DEPENDENCYPART_SIBL
(21,20),(21,22),0.00490454 # DEPENDENCYPART_SIBL
(21,20),(21,23),-0.0563579 # DEPENDENCYPART_SIBL
(21,22),(21,23),-0.129106 # DEPENDENCYPART_SIBL
(22,16),(22,19),-0.0305998 # DEPENDENCYPART_SIBL
(22,16),(22,20),0.0918276 # DEPENDENCYPART_SIBL
(22,16),(22,21),0.0723369 # DEPENDENCYPART_SIBL
(22,16),(22,23),-0.0515216 # DEPENDENCYPART_SIBL
(22,19),(22,20),0.123011 # DEPENDENCYPART_SIBL
(22,19),(22,21),0.171417 # DEPENDENCYPART_SIBL
(22,19),(22,23),-0.0790174 # DEPENDENCYPART_SIBL
(22,20),(22,21),-0.00274952 # DEPENDENCYPART_SIBL
(22,20),(22,23),-0.00367912 # DEPENDENCYPART_SIBL
(22,21),(22,23),-0.114459 # DEPENDENCYPART_SIBL
(0,1),(1,2),-0.260898 # DEPENDENCYPART_GRANDPAR
(0,1),(1,3),-0.213875 # DEPENDENCYPART_GRANDPAR
(0,1),(1,4),-0.293417 # DEPENDENCYPART_GRANDPAR
(0,1),(1,5),-0.327474 # DEPENDENCYPART_GRANDPAR
(0,1),(1,6),-0.574431 # DEPENDENCYPART_GRANDPAR
(0,1),(1,7),-0.276845 # DEPENDENCYPART_GRANDPAR
(0,1),(1,8),-0.607523 # DEPENDENCYPART_GRANDPAR
(0,1),(1,10),-0.710536 # DEPENDENCYPART_GRANDPAR
(0,1),(1,11),-0.267025 # DEPENDENCYPART_GRANDPAR
(0,1),(1,13),-0.638283 # DEPENDENCYPART_GRANDPAR
(0,1),(1,18),-0.423317 # DEPENDENCYPART_GRANDPAR
(0,3),(3,1),0.633272 # DEPENDENCYPART_GRANDPAR
(0,3),(3,2),0.0713355 # DEPENDENCYPART_GRANDPAR
(0,3),(3,4),0.0168201 # DEPENDENCYPART_GRANDPAR
(0,3),(3,5),0.0574504 # DEPENDENCYPART_GRANDPAR
(0,3),(3,6),-0.201297 # DEPENDENCYPART_GRANDPAR
(0,3),(3,7),-0.0466149 # DEPENDENCYPART_GRANDPAR
(0,3),(3,8),-0.358641 # DEPENDENCYPART_GRANDPAR
(0,3),(3,9),-0.119612 # DEPENDENCYPART_GRANDPAR
(0,3),(3,10),-0.462023 # DEPENDENCYPART_GRANDPAR
(0,3),(3,11),0.021307 # DEPENDENCYPART_GRANDPAR
(0,3),(3,13),-0.283753 # DEPENDENCYPART_GRANDPAR
(0,3),(3,14),-0.132647 # DEPENDENCYPART_GRANDPAR
(0,3),(3,15),-0.297986 # DEPENDENCYPART_GRANDPAR
(0,3),(3,20),-0.276978 # DEPENDENCYPART_GRANDPAR
(0,3),(3,22),-0.447498 # DEPENDENCYPART_GRANDPAR
(0,4),(4,1),0.187834 # DEPENDENCYPART_GRANDPAR
(0,4),(4,5),-0.0455654 # DEPENDENCYPART_GRANDPAR
(0,4),(4,6),-0.312759 # DEPENDENCYPART_GRANDPAR
(0,4),(4,7),-0.446741 # DEPENDENCYPART_GRANDPAR
(0,4),(4,8),-0.454929 # DEPENDENCYPART_GRANDPAR
(0,4),(4,11),-0.0278397 # DEPENDENCYPART_GRANDPAR
(0,5),(5,2),-0.232791 # DEPENDENCYPART_GRANDPAR
(0,5),(5,4),-0.568553 # DEPENDENCYPART_GRANDPAR
(0,5),(5,6),-0.578503 # DEPENDENCYPART_GRANDPAR
(0,5),(5,7),-0.282563 # DEPENDENCYPART_GRANDPAR
(0,5),(5,8),-0.581056 # DEPENDENCYPART_GRANDPAR
(0,5),(5,9),-0.274922 # DEPENDENCYPART_GRANDPAR
(0,5),(5,10),-0.684068 # DEPENDENCYPART_GRANDPAR
(0,5),(5,11),-0.264099 # DEPENDENCYPART_GRANDPAR
(0,5),(5,12),-0.712902 # DEPENDENCYPART_GRANDPAR
(0,5),(5,13),-0.642356 # DEPENDENCYPART_GRANDPAR
(0,5),(5,14),-0.368595 # DEPENDENCYPART_GRANDPAR
(0,5),(5,18),-0.416646 # DEPENDENCYPART_GRANDPAR
(0,5),(5,19),-0.39279 # DEPENDENCYPART_GRANDPAR
(0,6),(6,1),0.385353 # DEPENDENCYPART_GRANDPAR
(0,6),(6,2),-0.234378 # DEPENDENCYPART_GRANDPAR
(0,6),(6,3),0.269893 # DEPENDENCYPART_GRANDPAR
(0,6),(6,4),-0.571126 # DEPENDENCYPART_GRANDPAR
(0,6),(6,5),-0.399956 # DEPENDENCYPART_GRANDPAR
(0,6),(6,7),-0.278467 # DEPENDENCYPART_GRANDPAR
(0,6),(6,8),-0.602119 # DEPENDENCYPART_GRANDPAR
(0,6),(6,9),-0.266255 # DEPENDENCYPART_GRANDPAR
(0,6),(6,10),-0.705132 # DEPENDENCYPART_GRANDPAR
(0,6),(6,11),-0.264761 # DEPENDENCYPART_GRANDPAR
(0,6),(6,12),-0.733966 # DEPENDENCYPART_GRANDPAR
(0,6),(6,13),-0.636358 # DEPENDENCYPART_GRANDPAR
(0,6),(6,14),-0.364499 # DEPENDENCYPART_GRANDPAR
(0,6),(6,15),-0.444629 # DEPENDENCYPART_GRANDPAR
(0,6),(6,18),-0.424993 # DEPENDENCYPART_GRANDPAR
(0,6),(6,19),-0.393291 # DEPENDENCYPART_GRANDPAR
(0,9),(9,1),0.466579 # DEPENDENCYPART_GRANDPAR
(0,9),(9,3),0.497268 # DEPENDENCYPART_GRANDPAR
(0,9),(9,4),-0.34891 # DEPENDENCYPART_GRANDPAR
(0,9),(9,5),-0.322513 # DEPENDENCYPART_GRANDPAR
(0,9),(9,6),-0.569085 # DEPENDENCYPART_GRANDPAR
(0,9),(9,7),-0.229874 # DEPENDENCYPART_GRANDPAR
(0,9),(9,8),-0.599954 # DEPENDENCYPART_GRANDPAR
(0,9),(9,10),-0.402502 # DEPENDENCYPART_GRANDPAR
(0,9),(9,12),-0.431345 # DEPENDENCYPART_GRANDPAR
(0,9),(9,13),-0.440429 # DEPENDENCYPART_GRANDPAR
(0,9),(9,14),-0.209993 # DEPENDENCYPART_GRANDPAR
(0,9),(9,15),-0.288629 # DEPENDENCYPART_GRANDPAR
(0,9),(9,18),0.587135 # DEPENDENCYPART_GRANDPAR
(0,9),(9,22),-0.621083 # DEPENDENCYPART_GRANDPAR
(0,11),(11,1),0.489372 # DEPENDENCYPART_GRANDPAR
(0,11),(11,2),-0.144959 # DEPENDENCYPART_GRANDPAR
(0,11),(11,3),0.340598 # DEPENDENCYPART_GRANDPAR
(0,11),(11,4),-0.28025 # DEPENDENCYPART_GRANDPAR
(0,11),(11,5),-0.308758 # DEPENDENCYPART_GRANDPAR
(0,11),(11,6),-0.556479 # DEPENDENCYPART_GRANDPAR
(0,11),(11,7),-0.106357 # DEPENDENCYPART_GRANDPAR
(0,11),(11,8),-0.620072 # DEPENDENCYPART_GRANDPAR
(0,11),(11,9),-0.0017736 # DEPENDENCYPART_GRANDPAR
(0,11),(11,10),-0.723452 # DEPENDENCYPART_GRANDPAR
(0,11),(11,12),-0.669969 # DEPENDENCYPART_GRANDPAR
(0,11),(11,13),-0.687168 # DEPENDENCYPART_GRANDPAR
(0,11),(11,14),-0.142226 # DEPENDENCYPART_GRANDPAR
(0,11),(11,15),-0.332601 # DEPENDENCYPART_GRANDPAR
(0,11),(11,18),0.577542 # DEPENDENCYPART_GRANDPAR
(0,11),(11,20),-0.688077 # DEPENDENCYPART_GRANDPAR
(0,11),(11,21),-0.792963 # DEPENDENCYPART_GRANDPAR
(0,11),(11,22),-0.849436 # DEPENDENCYPART_GRANDPAR
(0,11),(11,23),-0.0945379 # DEPENDENCYPART_GRANDPAR
(0,15),(15,1),0.466579 # DEPENDENCYPART_GRANDPAR
(0,15),(15,3),0.497268 # DEPENDENCYPART_GRANDPAR
(0,15),(15,9),-0.00226612 # DEPENDENCYPART_GRANDPAR
(0,15),(15,14),-0.315907 # DEPENDENCYPART_GRANDPAR
(0,15),(15,18),0.587135 # DEPENDENCYPART_GRANDPAR
(0,15),(15,19),0.00909038 # DEPENDENCYPART_GRANDPAR
(0,15),(15,20),-0.44872 # DEPENDENCYPART_GRANDPAR
(0,15),(15,21),-0.552805 # DEPENDENCYPART_GRANDPAR
(0,15),(15,22),-0.621083 # DEPENDENCYPART_GRANDPAR
(0,15),(15,23),-0.0773514 # DEPENDENCYPART_GRANDPAR
(0,16),(16,15),-0.645567 # DEPENDENCYPART_GRANDPAR
(0,16),(16,19),-0.427624 # DEPENDENCYPART_GRANDPAR
(0,16),(16,20),-0.894372 # DEPENDENCYPART_GRANDPAR
(0,16),(16,22),-1.06523 # DEPENDENCYPART_GRANDPAR
(0,16),(16,23),-0.277633 # DEPENDENCYPART_GRANDPAR
(0,18),(18,1),0.588448 # DEPENDENCYPART_GRANDPAR
(0,18),(18,2),0.0307859 # DEPENDENCYPART_GRANDPAR
(0,18),(18,3),0.436365 # DEPENDENCYPART_GRANDPAR
(0,18),(18,4),-0.227475 # DEPENDENCYPART_GRANDPAR
(0,18),(18,5),-0.211669 # DEPENDENCYPART_GRANDPAR
(0,18),(18,6),-0.450023 # DEPENDENCYPART_GRANDPAR
(0,18),(18,7),-0.299735 # DEPENDENCYPART_GRANDPAR
(0,18),(18,10),-0.597133 # DEPENDENCYPART_GRANDPAR
(0,18),(18,11),0.0159918 # DEPENDENCYPART_GRANDPAR
(0,18),(18,12),-0.625976 # DEPENDENCYPART_GRANDPAR
(0,18),(18,13),-0.530683 # DEPENDENCYPART_GRANDPAR
(0,18),(18,14),-0.385768 # DEPENDENCYPART_GRANDPAR
(0,18),(18,15),-0.333759 # DEPENDENCYPART_GRANDPAR
(0,18),(18,16),-1.65489 # DEPENDENCYPART_GRANDPAR
(0,18),(18,17),0.342708 # DEPENDENCYPART_GRANDPAR
(0,18),(18,19),-0.111538 # DEPENDENCYPART_GRANDPAR
(0,18),(18,20),-0.321001 # DEPENDENCYPART_GRANDPAR
(0,18),(18,21),-0.649686 # DEPENDENCYPART_GRANDPAR
(0,18),(18,22),-0.49152 # DEPENDENCYPART_GRANDPAR
(0,18),(18,23),0.0318344 # DEPENDENCYPART_GRANDPAR
(1,3),(3,1),-1.37734 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,3),(3,2),0.215544 # DEPENDENCYPART_GRANDPAR
(1,3),(3,4),-0.0648566 # DEPENDENCYPART_GRANDPAR
(1,3),(3,5),-0.331012 # DEPENDENCYPART_GRANDPAR
(1,3),(3,6),-0.347046 # DEPENDENCYPART_GRANDPAR
(1,3),(3,7),-0.0954148 # DEPENDENCYPART_GRANDPAR
(1,3),(3,8),-0.147573 # DEPENDENCYPART_GRANDPAR
(1,3),(3,9),-0.18796 # DEPENDENCYPART_GRANDPAR
(1,3),(3,10),-0.332236 # DEPENDENCYPART_GRANDPAR
(1,3),(3,11),-0.183438 # DEPENDENCYPART_GRANDPAR
(1,3),(3,13),0.330707 # DEPENDENCYPART_GRANDPAR
(1,3),(3,14),-0.372276 # DEPENDENCYPART_GRANDPAR
(1,3),(3,15),-0.011981 # DEPENDENCYPART_GRANDPAR
(1,3),(3,20),-0.584606 # DEPENDENCYPART_GRANDPAR
(1,3),(3,22),-0.396537 # DEPENDENCYPART_GRANDPAR
(1,4),(4,1),-1.3645 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,4),(4,5),-0.358093 # DEPENDENCYPART_GRANDPAR
(1,4),(4,6),-0.381193 # DEPENDENCYPART_GRANDPAR
(1,4),(4,7),-0.3619 # DEPENDENCYPART_GRANDPAR
(1,4),(4,8),-0.15536 # DEPENDENCYPART_GRANDPAR
(1,4),(4,11),-0.303504 # DEPENDENCYPART_GRANDPAR
(1,5),(5,2),0.212337 # DEPENDENCYPART_GRANDPAR
(1,5),(5,4),0.101764 # DEPENDENCYPART_GRANDPAR
(1,5),(5,6),-0.939995 # DEPENDENCYPART_GRANDPAR
(1,5),(5,7),-0.181443 # DEPENDENCYPART_GRANDPAR
(1,5),(5,8),-0.164226 # DEPENDENCYPART_GRANDPAR
(1,5),(5,9),-0.574018 # DEPENDENCYPART_GRANDPAR
(1,5),(5,10),-0.34852 # DEPENDENCYPART_GRANDPAR
(1,5),(5,11),-0.136766 # DEPENDENCYPART_GRANDPAR
(1,5),(5,12),-0.686899 # DEPENDENCYPART_GRANDPAR
(1,5),(5,13),-0.237755 # DEPENDENCYPART_GRANDPAR
(1,5),(5,14),-0.458305 # DEPENDENCYPART_GRANDPAR
(1,5),(5,18),-0.305258 # DEPENDENCYPART_GRANDPAR
(1,5),(5,19),-0.97441 # DEPENDENCYPART_GRANDPAR
(1,6),(6,1),-1.06422 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,6),(6,2),0.210231 # DEPENDENCYPART_GRANDPAR
(1,6),(6,3),-0.108736 # DEPENDENCYPART_GRANDPAR
(1,6),(6,4),0.0985703 # DEPENDENCYPART_GRANDPAR
(1,6),(6,5),-0.310796 # DEPENDENCYPART_GRANDPAR
(1,6),(6,7),-0.177958 # DEPENDENCYPART_GRANDPAR
(1,6),(6,8),-0.185902 # DEPENDENCYPART_GRANDPAR
(1,6),(6,9),-0.565961 # DEPENDENCYPART_GRANDPAR
(1,6),(6,10),-0.370196 # DEPENDENCYPART_GRANDPAR
(1,6),(6,11),-0.138254 # DEPENDENCYPART_GRANDPAR
(1,6),(6,12),-0.708575 # DEPENDENCYPART_GRANDPAR
(1,6),(6,13),-0.229739 # DEPENDENCYPART_GRANDPAR
(1,6),(6,14),-0.454819 # DEPENDENCYPART_GRANDPAR
(1,6),(6,15),-0.389983 # DEPENDENCYPART_GRANDPAR
(1,6),(6,18),-0.314221 # DEPENDENCYPART_GRANDPAR
(1,6),(6,19),-0.974342 # DEPENDENCYPART_GRANDPAR
(1,7),(7,1),-1.64988 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,7),(7,3),-0.420501 # DEPENDENCYPART_GRANDPAR
(1,7),(7,4),-0.206991 # DEPENDENCYPART_GRANDPAR
(1,7),(7,5),-0.886103 # DEPENDENCYPART_GRANDPAR
(1,7),(7,6),-0.917569 # DEPENDENCYPART_GRANDPAR
(1,7),(7,8),-0.558065 # DEPENDENCYPART_GRANDPAR
(1,7),(7,9),-0.746884 # DEPENDENCYPART_GRANDPAR
(1,7),(7,10),-0.742671 # DEPENDENCYPART_GRANDPAR
(1,7),(7,11),-0.323019 # DEPENDENCYPART_GRANDPAR
(1,7),(7,13),-0.331357 # DEPENDENCYPART_GRANDPAR
(1,7),(7,14),-0.696979 # DEPENDENCYPART_GRANDPAR
(1,7),(7,15),-0.570905 # DEPENDENCYPART_GRANDPAR
(1,7),(7,18),-0.645868 # DEPENDENCYPART_GRANDPAR
(1,7),(7,20),-1.26657 # DEPENDENCYPART_GRANDPAR
(1,7),(7,22),-1.08311 # DEPENDENCYPART_GRANDPAR
(1,8),(8,1),-1.39813 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,8),(8,2),0.238759 # DEPENDENCYPART_GRANDPAR
(1,8),(8,3),-0.248869 # DEPENDENCYPART_GRANDPAR
(1,8),(8,4),-0.0266917 # DEPENDENCYPART_GRANDPAR
(1,8),(8,5),-0.645347 # DEPENDENCYPART_GRANDPAR
(1,8),(8,6),-0.668616 # DEPENDENCYPART_GRANDPAR
(1,8),(8,7),-0.25454 # DEPENDENCYPART_GRANDPAR
(1,8),(8,9),-0.445765 # DEPENDENCYPART_GRANDPAR
(1,8),(8,10),-0.555318 # DEPENDENCYPART_GRANDPAR
(1,8),(8,11),-0.0802552 # DEPENDENCYPART_GRANDPAR
(1,8),(8,13),0.270317 # DEPENDENCYPART_GRANDPAR
(1,8),(8,14),-0.448499 # DEPENDENCYPART_GRANDPAR
(1,8),(8,15),-0.269786 # DEPENDENCYPART_GRANDPAR
(1,8),(8,20),-0.658703 # DEPENDENCYPART_GRANDPAR
(1,8),(8,22),-0.47702 # DEPENDENCYPART_GRANDPAR
(1,10),(10,8),-0.221042 # DEPENDENCYPART_GRANDPAR
(1,10),(10,9),-0.193065 # DEPENDENCYPART_GRANDPAR
(1,11),(11,1),-1.58617 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,11),(11,2),0.033326 # DEPENDENCYPART_GRANDPAR
(1,11),(11,3),-0.343285 # DEPENDENCYPART_GRANDPAR
(1,11),(11,4),-0.122613 # DEPENDENCYPART_GRANDPAR
(1,11),(11,5),-0.857578 # DEPENDENCYPART_GRANDPAR
(1,11),(11,6),-0.886281 # DEPENDENCYPART_GRANDPAR
(1,11),(11,7),-0.349463 # DEPENDENCYPART_GRANDPAR
(1,11),(11,8),-0.321641 # DEPENDENCYPART_GRANDPAR
(1,11),(11,9),-0.373228 # DEPENDENCYPART_GRANDPAR
