# _root_ * Πάρτε το ποτό σας και καθίστε κάπου κοντά στο Pierro's , ένα από τα διασημότερα και παλαιότερα gay μπαρ του κόσμου , για να δείτε τον κόσμο που πηγαινοέρχεται τα βράδυα .
#goldHeads=6,6,4,2,4,0,6,9,7,9,12,10,12,13,20,17,20,17,20,14,22,20,24,6,26,24,28,26,30,28,32,30,0,
#predictedHeads=0,6,4,2,4,0,6,9,7,9,10,7,12,13,16,14,20,20,20,14,22,20,24,20,26,24,28,26,30,28,32,30,0,
(17,26),(26,24),0.21295 # DEPENDENCYPART_GRANDPAR
(17,26),(26,25),-0.377922 # DEPENDENCYPART_GRANDPAR
(17,26),(26,27),-0.615547 # DEPENDENCYPART_GRANDPAR
(17,26),(26,28),-0.277197 # DEPENDENCYPART_GRANDPAR
(17,26),(26,30),-0.0672065 # DEPENDENCYPART_GRANDPAR
(17,26),(26,32),-0.351718 # DEPENDENCYPART_GRANDPAR
(17,26),(26,33),-0.236862 # DEPENDENCYPART_GRANDPAR
(17,30),(30,1),-0.620914 # DEPENDENCYPART_GRANDPAR
(17,30),(30,4),-0.642472 # DEPENDENCYPART_GRANDPAR
(17,30),(30,8),-0.609795 # DEPENDENCYPART_GRANDPAR
(17,30),(30,9),-0.521323 # DEPENDENCYPART_GRANDPAR
(17,30),(30,10),-0.648601 # DEPENDENCYPART_GRANDPAR
(17,30),(30,16),-0.376717 # DEPENDENCYPART_GRANDPAR
(17,30),(30,18),0.348756 # DEPENDENCYPART_GRANDPAR
(17,30),(30,20),0.129416 # DEPENDENCYPART_GRANDPAR
(17,30),(30,22),0.0738688 # DEPENDENCYPART_GRANDPAR
(17,30),(30,23),-0.0474534 # DEPENDENCYPART_GRANDPAR
(17,30),(30,24),0.214466 # DEPENDENCYPART_GRANDPAR
(17,30),(30,27),-0.627064 # DEPENDENCYPART_GRANDPAR
(17,30),(30,28),-0.155516 # DEPENDENCYPART_GRANDPAR
(17,30),(30,29),-0.0945567 # DEPENDENCYPART_GRANDPAR
(17,30),(30,31),-0.678345 # DEPENDENCYPART_GRANDPAR
(17,30),(30,32),-0.351193 # DEPENDENCYPART_GRANDPAR
(17,30),(30,33),-0.228261 # DEPENDENCYPART_GRANDPAR
(18,8),(8,1),-0.438047 # DEPENDENCYPART_GRANDPAR
(18,8),(8,2),-0.434166 # DEPENDENCYPART_GRANDPAR
(18,8),(8,4),-0.322044 # DEPENDENCYPART_GRANDPAR
(18,8),(8,6),-0.212773 # DEPENDENCYPART_GRANDPAR
(18,8),(8,7),-0.474214 # DEPENDENCYPART_GRANDPAR
(18,8),(8,9),-0.245407 # DEPENDENCYPART_GRANDPAR
(18,8),(8,10),-0.25313 # DEPENDENCYPART_GRANDPAR
(18,8),(8,12),-0.329063 # DEPENDENCYPART_GRANDPAR
(18,8),(8,14),-0.257445 # DEPENDENCYPART_GRANDPAR
(18,8),(8,17),-0.0315307 # DEPENDENCYPART_GRANDPAR
(18,8),(8,18),-1.13338 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(18,9),(9,1),-0.438704 # DEPENDENCYPART_GRANDPAR
(18,9),(9,2),-0.435515 # DEPENDENCYPART_GRANDPAR
(18,9),(9,4),-0.322182 # DEPENDENCYPART_GRANDPAR
(18,9),(9,6),-0.214696 # DEPENDENCYPART_GRANDPAR
(18,9),(9,7),-0.475563 # DEPENDENCYPART_GRANDPAR
(18,9),(9,8),-0.275885 # DEPENDENCYPART_GRANDPAR
(18,9),(9,10),-0.249952 # DEPENDENCYPART_GRANDPAR
(18,9),(9,12),-0.31981 # DEPENDENCYPART_GRANDPAR
(18,9),(9,14),-0.256979 # DEPENDENCYPART_GRANDPAR
(18,9),(9,17),-0.0317152 # DEPENDENCYPART_GRANDPAR
(18,9),(9,18),-1.13338 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(18,10),(10,8),-0.22269 # DEPENDENCYPART_GRANDPAR
(18,10),(10,9),-0.23609 # DEPENDENCYPART_GRANDPAR
(18,10),(10,11),-0.290253 # DEPENDENCYPART_GRANDPAR
(18,10),(10,12),-0.40183 # DEPENDENCYPART_GRANDPAR
(18,16),(16,14),-0.262173 # DEPENDENCYPART_GRANDPAR
(18,16),(16,15),-0.0841112 # DEPENDENCYPART_GRANDPAR
(18,16),(16,18),-1.1369 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(18,16),(16,19),-0.223761 # DEPENDENCYPART_GRANDPAR
(18,16),(16,20),-0.498462 # DEPENDENCYPART_GRANDPAR
(18,16),(16,24),-0.703434 # DEPENDENCYPART_GRANDPAR
(18,17),(17,1),-0.442652 # DEPENDENCYPART_GRANDPAR
(18,17),(17,2),-0.434677 # DEPENDENCYPART_GRANDPAR
(18,17),(17,4),-0.210229 # DEPENDENCYPART_GRANDPAR
(18,17),(17,6),-0.259131 # DEPENDENCYPART_GRANDPAR
(18,17),(17,7),-0.474726 # DEPENDENCYPART_GRANDPAR
(18,17),(17,8),-0.278709 # DEPENDENCYPART_GRANDPAR
(18,17),(17,9),-0.290808 # DEPENDENCYPART_GRANDPAR
(18,17),(17,10),-0.284282 # DEPENDENCYPART_GRANDPAR
(18,17),(17,11),-0.332556 # DEPENDENCYPART_GRANDPAR
(18,17),(17,12),-0.46242 # DEPENDENCYPART_GRANDPAR
(18,17),(17,13),-0.0455466 # DEPENDENCYPART_GRANDPAR
(18,17),(17,14),-0.317651 # DEPENDENCYPART_GRANDPAR
(18,17),(17,15),-0.164243 # DEPENDENCYPART_GRANDPAR
(18,17),(17,16),-0.142184 # DEPENDENCYPART_GRANDPAR
(18,17),(17,18),-1.14009 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(18,17),(17,19),-0.226117 # DEPENDENCYPART_GRANDPAR
(18,17),(17,20),-0.523066 # DEPENDENCYPART_GRANDPAR
(18,17),(17,22),-0.740381 # DEPENDENCYPART_GRANDPAR
(18,17),(17,23),-0.588677 # DEPENDENCYPART_GRANDPAR
(18,17),(17,24),-0.750572 # DEPENDENCYPART_GRANDPAR
(18,17),(17,26),-0.994156 # DEPENDENCYPART_GRANDPAR
(18,17),(17,30),-1.10184 # DEPENDENCYPART_GRANDPAR
(18,20),(20,15),-0.600173 # DEPENDENCYPART_GRANDPAR
(18,20),(20,16),-0.640504 # DEPENDENCYPART_GRANDPAR
(18,20),(20,17),-0.472684 # DEPENDENCYPART_GRANDPAR
(18,20),(20,18),-0.761051 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(18,20),(20,19),0.253686 # DEPENDENCYPART_GRANDPAR
(18,20),(20,21),-0.347783 # DEPENDENCYPART_GRANDPAR
(18,20),(20,22),-0.280169 # DEPENDENCYPART_GRANDPAR
(18,20),(20,23),-0.190396 # DEPENDENCYPART_GRANDPAR
(18,20),(20,24),-0.257303 # DEPENDENCYPART_GRANDPAR
(18,20),(20,26),-0.481748 # DEPENDENCYPART_GRANDPAR
(18,20),(20,28),-0.602389 # DEPENDENCYPART_GRANDPAR
(18,20),(20,30),-0.589089 # DEPENDENCYPART_GRANDPAR
(18,20),(20,32),-0.615541 # DEPENDENCYPART_GRANDPAR
(18,22),(22,15),-0.600173 # DEPENDENCYPART_GRANDPAR
(18,22),(22,16),-0.640504 # DEPENDENCYPART_GRANDPAR
(18,22),(22,20),0.00197844 # DEPENDENCYPART_GRANDPAR
(18,22),(22,21),-0.370242 # DEPENDENCYPART_GRANDPAR
(18,22),(22,23),-0.189598 # DEPENDENCYPART_GRANDPAR
(18,22),(22,24),-0.257303 # DEPENDENCYPART_GRANDPAR
(18,22),(22,25),-0.443385 # DEPENDENCYPART_GRANDPAR
(18,22),(22,26),-0.481294 # DEPENDENCYPART_GRANDPAR
(18,22),(22,28),-0.602364 # DEPENDENCYPART_GRANDPAR
(18,22),(22,30),-0.588635 # DEPENDENCYPART_GRANDPAR
(18,22),(22,32),-0.615517 # DEPENDENCYPART_GRANDPAR
(18,23),(23,14),-0.731531 # DEPENDENCYPART_GRANDPAR
(18,23),(23,16),-0.602322 # DEPENDENCYPART_GRANDPAR
(18,23),(23,20),-0.0456377 # DEPENDENCYPART_GRANDPAR
(18,23),(23,22),-0.261689 # DEPENDENCYPART_GRANDPAR
(18,23),(23,24),-0.406708 # DEPENDENCYPART_GRANDPAR
(18,23),(23,26),-0.710588 # DEPENDENCYPART_GRANDPAR
(18,23),(23,28),-0.704143 # DEPENDENCYPART_GRANDPAR
(18,23),(23,32),-0.717297 # DEPENDENCYPART_GRANDPAR
(18,24),(24,22),-0.214047 # DEPENDENCYPART_GRANDPAR
(18,24),(24,23),-0.22107 # DEPENDENCYPART_GRANDPAR
(18,24),(24,25),-0.49347 # DEPENDENCYPART_GRANDPAR
(18,24),(24,26),-0.552266 # DEPENDENCYPART_GRANDPAR
(18,24),(24,28),-0.650916 # DEPENDENCYPART_GRANDPAR
(18,24),(24,30),-0.659946 # DEPENDENCYPART_GRANDPAR
(18,24),(24,32),-0.664436 # DEPENDENCYPART_GRANDPAR
(18,26),(26,1),-0.725301 # DEPENDENCYPART_GRANDPAR
(18,26),(26,2),-0.775655 # DEPENDENCYPART_GRANDPAR
(18,26),(26,4),-0.668311 # DEPENDENCYPART_GRANDPAR
(18,26),(26,7),-0.815703 # DEPENDENCYPART_GRANDPAR
(18,26),(26,8),-0.681835 # DEPENDENCYPART_GRANDPAR
(18,26),(26,9),-0.694014 # DEPENDENCYPART_GRANDPAR
(18,26),(26,10),-0.700795 # DEPENDENCYPART_GRANDPAR
(18,26),(26,14),-0.706412 # DEPENDENCYPART_GRANDPAR
(18,26),(26,16),-0.589113 # DEPENDENCYPART_GRANDPAR
(18,26),(26,17),-0.459819 # DEPENDENCYPART_GRANDPAR
(18,26),(26,18),-0.707913 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(18,26),(26,19),0.240326 # DEPENDENCYPART_GRANDPAR
(18,26),(26,20),0.00365108 # DEPENDENCYPART_GRANDPAR
(18,26),(26,21),-0.385709 # DEPENDENCYPART_GRANDPAR
(18,26),(26,22),-0.214079 # DEPENDENCYPART_GRANDPAR
(18,26),(26,23),-0.183489 # DEPENDENCYPART_GRANDPAR
(18,26),(26,24),-0.283593 # DEPENDENCYPART_GRANDPAR
(18,26),(26,25),-0.221125 # DEPENDENCYPART_GRANDPAR
(18,26),(26,27),-0.647157 # DEPENDENCYPART_GRANDPAR
(18,26),(26,28),-0.466022 # DEPENDENCYPART_GRANDPAR
(18,26),(26,30),-0.583246 # DEPENDENCYPART_GRANDPAR
(18,26),(26,32),-0.47869 # DEPENDENCYPART_GRANDPAR
(18,26),(26,33),-0.340297 # DEPENDENCYPART_GRANDPAR
(19,6),(6,1),-0.228327 # DEPENDENCYPART_GRANDPAR
(19,6),(6,2),-0.251918 # DEPENDENCYPART_GRANDPAR
(19,6),(6,3),-0.563983 # DEPENDENCYPART_GRANDPAR
(19,6),(6,4),-0.264103 # DEPENDENCYPART_GRANDPAR
(19,6),(6,7),-0.101694 # DEPENDENCYPART_GRANDPAR
(19,6),(6,8),-0.212223 # DEPENDENCYPART_GRANDPAR
(19,6),(6,9),-0.213951 # DEPENDENCYPART_GRANDPAR
(19,6),(6,10),-0.291332 # DEPENDENCYPART_GRANDPAR
(19,6),(6,12),-0.063772 # DEPENDENCYPART_GRANDPAR
(19,17),(17,1),-0.228327 # DEPENDENCYPART_GRANDPAR
(19,17),(17,2),-0.251918 # DEPENDENCYPART_GRANDPAR
(19,17),(17,4),-0.264103 # DEPENDENCYPART_GRANDPAR
(19,17),(17,6),-0.323473 # DEPENDENCYPART_GRANDPAR
(19,17),(17,7),-0.273327 # DEPENDENCYPART_GRANDPAR
(19,17),(17,8),-0.23426 # DEPENDENCYPART_GRANDPAR
(19,17),(17,9),-0.234974 # DEPENDENCYPART_GRANDPAR
(19,17),(17,10),-0.326825 # DEPENDENCYPART_GRANDPAR
(19,17),(17,11),-0.347396 # DEPENDENCYPART_GRANDPAR
(19,17),(17,12),-0.28107 # DEPENDENCYPART_GRANDPAR
(19,17),(17,13),-0.282713 # DEPENDENCYPART_GRANDPAR
(19,17),(17,14),-0.290914 # DEPENDENCYPART_GRANDPAR
(19,17),(17,15),-0.4324 # DEPENDENCYPART_GRANDPAR
(19,17),(17,16),-0.255116 # DEPENDENCYPART_GRANDPAR
(19,17),(17,18),-0.0307487 # DEPENDENCYPART_GRANDPAR
(19,17),(17,19),-1.0149 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(19,17),(17,20),-0.265181 # DEPENDENCYPART_GRANDPAR
(19,17),(17,22),-0.50312 # DEPENDENCYPART_GRANDPAR
(19,17),(17,23),-0.44567 # DEPENDENCYPART_GRANDPAR
(19,17),(17,24),-0.468412 # DEPENDENCYPART_GRANDPAR
(19,17),(17,26),-0.743931 # DEPENDENCYPART_GRANDPAR
(19,17),(17,30),-0.886445 # DEPENDENCYPART_GRANDPAR
(19,20),(20,15),-0.860697 # DEPENDENCYPART_GRANDPAR
(19,20),(20,16),-0.768651 # DEPENDENCYPART_GRANDPAR
(19,20),(20,17),-0.648325 # DEPENDENCYPART_GRANDPAR
(19,20),(20,18),-0.480199 # DEPENDENCYPART_GRANDPAR
(19,20),(20,19),-0.50487 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(19,20),(20,21),0.100567 # DEPENDENCYPART_GRANDPAR
(19,20),(20,22),-0.0454691 # DEPENDENCYPART_GRANDPAR
(19,20),(20,23),-0.0370931 # DEPENDENCYPART_GRANDPAR
(19,20),(20,24),0.0303216 # DEPENDENCYPART_GRANDPAR
(19,20),(20,26),-0.243482 # DEPENDENCYPART_GRANDPAR
(19,20),(20,28),-0.260344 # DEPENDENCYPART_GRANDPAR
(19,20),(20,30),-0.385658 # DEPENDENCYPART_GRANDPAR
(19,20),(20,32),-0.35252 # DEPENDENCYPART_GRANDPAR
(19,22),(22,15),-0.860697 # DEPENDENCYPART_GRANDPAR
(19,22),(22,16),-0.768651 # DEPENDENCYPART_GRANDPAR
(19,22),(22,20),0.318619 # DEPENDENCYPART_GRANDPAR
(19,22),(22,21),0.263478 # DEPENDENCYPART_GRANDPAR
(19,22),(22,23),-0.0341327 # DEPENDENCYPART_GRANDPAR
(19,22),(22,24),0.0324338 # DEPENDENCYPART_GRANDPAR
(19,22),(22,25),-0.342733 # DEPENDENCYPART_GRANDPAR
(19,22),(22,26),-0.238829 # DEPENDENCYPART_GRANDPAR
(19,22),(22,28),-0.258207 # DEPENDENCYPART_GRANDPAR
(19,22),(22,30),-0.381005 # DEPENDENCYPART_GRANDPAR
(19,22),(22,32),-0.350384 # DEPENDENCYPART_GRANDPAR
(20,16),(16,14),-0.327414 # DEPENDENCYPART_GRANDPAR
(20,16),(16,15),-0.405565 # DEPENDENCYPART_GRANDPAR
(20,16),(16,18),-0.18064 # DEPENDENCYPART_GRANDPAR
(20,16),(16,19),-0.0627643 # DEPENDENCYPART_GRANDPAR
(20,16),(16,20),-1.0404 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(20,16),(16,24),-0.456079 # DEPENDENCYPART_GRANDPAR
(20,17),(17,1),-0.361753 # DEPENDENCYPART_GRANDPAR
(20,17),(17,2),-0.507017 # DEPENDENCYPART_GRANDPAR
(20,17),(17,4),-0.302615 # DEPENDENCYPART_GRANDPAR
(20,17),(17,6),-0.326443 # DEPENDENCYPART_GRANDPAR
(20,17),(17,7),-0.699283 # DEPENDENCYPART_GRANDPAR
(20,17),(17,8),-0.296369 # DEPENDENCYPART_GRANDPAR
(20,17),(17,9),-0.313248 # DEPENDENCYPART_GRANDPAR
(20,17),(17,10),-0.51937 # DEPENDENCYPART_GRANDPAR
(20,17),(17,11),-0.378576 # DEPENDENCYPART_GRANDPAR
(20,17),(17,12),-0.318462 # DEPENDENCYPART_GRANDPAR
(20,17),(17,13),-0.387652 # DEPENDENCYPART_GRANDPAR
(20,17),(17,14),-0.296554 # DEPENDENCYPART_GRANDPAR
(20,17),(17,15),-0.327697 # DEPENDENCYPART_GRANDPAR
(20,17),(17,16),0.0525406 # DEPENDENCYPART_GRANDPAR
(20,17),(17,18),-0.250074 # DEPENDENCYPART_GRANDPAR
(20,17),(17,19),-0.0428917 # DEPENDENCYPART_GRANDPAR
(20,17),(17,20),-1.0834 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(20,17),(17,22),-0.313591 # DEPENDENCYPART_GRANDPAR
(20,17),(17,23),-0.515579 # DEPENDENCYPART_GRANDPAR
(20,17),(17,24),-0.560248 # DEPENDENCYPART_GRANDPAR
(20,17),(17,26),-0.922604 # DEPENDENCYPART_GRANDPAR
(20,17),(17,30),-0.74033 # DEPENDENCYPART_GRANDPAR
(20,18),(18,8),-0.343634 # DEPENDENCYPART_GRANDPAR
(20,18),(18,9),-0.361983 # DEPENDENCYPART_GRANDPAR
(20,18),(18,10),-0.613271 # DEPENDENCYPART_GRANDPAR
(20,18),(18,15),-0.399249 # DEPENDENCYPART_GRANDPAR
(20,18),(18,16),-0.229445 # DEPENDENCYPART_GRANDPAR
(20,18),(18,17),-0.155043 # DEPENDENCYPART_GRANDPAR
(20,18),(18,20),-1.00571 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(20,18),(18,22),-0.236354 # DEPENDENCYPART_GRANDPAR
(20,18),(18,23),-0.482239 # DEPENDENCYPART_GRANDPAR
(20,18),(18,24),-0.511118 # DEPENDENCYPART_GRANDPAR
(20,18),(18,26),-0.825529 # DEPENDENCYPART_GRANDPAR
(20,19),(19,6),-0.406974 # DEPENDENCYPART_GRANDPAR
(20,19),(19,17),-0.207946 # DEPENDENCYPART_GRANDPAR
(20,19),(19,20),-0.993758 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(20,19),(19,22),-0.2244 # DEPENDENCYPART_GRANDPAR
(20,22),(22,15),-0.910758 # DEPENDENCYPART_GRANDPAR
(20,22),(22,16),-0.81165 # DEPENDENCYPART_GRANDPAR
(20,22),(22,20),-0.438932 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(20,22),(22,21),0.494796 # DEPENDENCYPART_GRANDPAR
(20,22),(22,23),-0.0692588 # DEPENDENCYPART_GRANDPAR
(20,22),(22,24),-0.153501 # DEPENDENCYPART_GRANDPAR
(20,22),(22,25),-0.193009 # DEPENDENCYPART_GRANDPAR
(20,22),(22,26),-0.421212 # DEPENDENCYPART_GRANDPAR
(20,22),(22,28),-0.436539 # DEPENDENCYPART_GRANDPAR
(20,22),(22,30),-0.238348 # DEPENDENCYPART_GRANDPAR
(20,22),(22,32),-0.47641 # DEPENDENCYPART_GRANDPAR
(20,23),(23,14),-0.773542 # DEPENDENCYPART_GRANDPAR
(20,23),(23,16),-0.695387 # DEPENDENCYPART_GRANDPAR
(20,23),(23,20),-0.476283 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(20,23),(23,22),0.29549 # DEPENDENCYPART_GRANDPAR
(20,23),(23,24),-0.145537 # DEPENDENCYPART_GRANDPAR
(20,23),(23,26),-0.565527 # DEPENDENCYPART_GRANDPAR
(20,23),(23,28),-0.400593 # DEPENDENCYPART_GRANDPAR
(20,23),(23,32),-0.440465 # DEPENDENCYPART_GRANDPAR
(20,24),(24,22),0.25518 # DEPENDENCYPART_GRANDPAR
(20,24),(24,23),-0.130145 # DEPENDENCYPART_GRANDPAR
(20,24),(24,25),-0.111424 # DEPENDENCYPART_GRANDPAR
(20,24),(24,26),-0.378481 # DEPENDENCYPART_GRANDPAR
(20,24),(24,28),-0.138032 # DEPENDENCYPART_GRANDPAR
(20,24),(24,30),-0.195957 # DEPENDENCYPART_GRANDPAR
(20,24),(24,32),-0.179725 # DEPENDENCYPART_GRANDPAR
(20,26),(26,1),-0.800378 # DEPENDENCYPART_GRANDPAR
(20,26),(26,2),-0.976732 # DEPENDENCYPART_GRANDPAR
(20,26),(26,4),-0.987499 # DEPENDENCYPART_GRANDPAR
(20,26),(26,7),-1.169 # DEPENDENCYPART_GRANDPAR
(20,26),(26,8),-0.791827 # DEPENDENCYPART_GRANDPAR
(20,26),(26,9),-0.812424 # DEPENDENCYPART_GRANDPAR
(20,26),(26,10),-1.04339 # DEPENDENCYPART_GRANDPAR
(20,26),(26,14),-0.789619 # DEPENDENCYPART_GRANDPAR
(20,26),(26,16),-0.726954 # DEPENDENCYPART_GRANDPAR
(20,26),(26,17),-0.661111 # DEPENDENCYPART_GRANDPAR
(20,26),(26,18),-0.727853 # DEPENDENCYPART_GRANDPAR
(20,26),(26,19),-0.546611 # DEPENDENCYPART_GRANDPAR
(20,26),(26,20),-0.521968 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(20,26),(26,21),0.432317 # DEPENDENCYPART_GRANDPAR
(20,26),(26,22),0.248125 # DEPENDENCYPART_GRANDPAR
(20,26),(26,23),0.0706729 # DEPENDENCYPART_GRANDPAR
(20,26),(26,24),0.0508097 # DEPENDENCYPART_GRANDPAR
(20,26),(26,25),0.229795 # DEPENDENCYPART_GRANDPAR
(20,26),(26,27),-1.08127 # DEPENDENCYPART_GRANDPAR
(20,26),(26,28),-0.149167 # DEPENDENCYPART_GRANDPAR
(20,26),(26,30),-0.154573 # DEPENDENCYPART_GRANDPAR
(20,26),(26,32),-0.18855 # DEPENDENCYPART_GRANDPAR
(20,26),(26,33),-0.432719 # DEPENDENCYPART_GRANDPAR
(20,28),(28,21),0.491571 # DEPENDENCYPART_GRANDPAR
(20,28),(28,27),-1.08512 # DEPENDENCYPART_GRANDPAR
(20,28),(28,29),-0.200514 # DEPENDENCYPART_GRANDPAR
(20,28),(28,30),-0.238825 # DEPENDENCYPART_GRANDPAR
(20,28),(28,32),-0.47633 # DEPENDENCYPART_GRANDPAR
(20,30),(30,1),-0.800378 # DEPENDENCYPART_GRANDPAR
(20,30),(30,4),-0.987499 # DEPENDENCYPART_GRANDPAR
(20,30),(30,8),-0.791827 # DEPENDENCYPART_GRANDPAR
(20,30),(30,9),-0.812424 # DEPENDENCYPART_GRANDPAR
(20,30),(30,10),-1.04722 # DEPENDENCYPART_GRANDPAR
(20,30),(30,16),-0.726954 # DEPENDENCYPART_GRANDPAR
(20,30),(30,18),-0.727853 # DEPENDENCYPART_GRANDPAR
(20,30),(30,20),-0.516669 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(20,30),(30,22),0.253425 # DEPENDENCYPART_GRANDPAR
(20,30),(30,23),0.0741075 # DEPENDENCYPART_GRANDPAR
(20,30),(30,24),0.0496562 # DEPENDENCYPART_GRANDPAR
(20,30),(30,27),-1.09023 # DEPENDENCYPART_GRANDPAR
(20,30),(30,28),-0.424524 # DEPENDENCYPART_GRANDPAR
(20,30),(30,29),0.615759 # DEPENDENCYPART_GRANDPAR
(20,30),(30,31),-0.984114 # DEPENDENCYPART_GRANDPAR
(20,30),(30,32),-0.189071 # DEPENDENCYPART_GRANDPAR
(20,30),(30,33),-0.426241 # DEPENDENCYPART_GRANDPAR
(20,32),(32,27),-1.08578 # DEPENDENCYPART_GRANDPAR
(20,32),(32,28),-0.355649 # DEPENDENCYPART_GRANDPAR
(20,32),(32,29),0.263038 # DEPENDENCYPART_GRANDPAR
(20,32),(32,30),0.0205732 # DEPENDENCYPART_GRANDPAR
(20,32),(32,31),-1.00194 # DEPENDENCYPART_GRANDPAR
(22,16),(16,14),-0.353181 # DEPENDENCYPART_GRANDPAR
(22,16),(16,15),-0.840835 # DEPENDENCYPART_GRANDPAR
(22,16),(16,18),-0.325308 # DEPENDENCYPART_GRANDPAR
(22,16),(16,19),-0.351501 # DEPENDENCYPART_GRANDPAR
(22,16),(16,20),-0.602233 # DEPENDENCYPART_GRANDPAR
(22,16),(16,24),-0.388176 # DEPENDENCYPART_GRANDPAR
(22,20),(20,15),-0.876439 # DEPENDENCYPART_GRANDPAR
(22,20),(20,16),-0.807407 # DEPENDENCYPART_GRANDPAR
(22,20),(20,17),-0.353831 # DEPENDENCYPART_GRANDPAR
(22,20),(20,18),-0.458242 # DEPENDENCYPART_GRANDPAR
(22,20),(20,19),-0.493657 # DEPENDENCYPART_GRANDPAR
(22,20),(20,21),0.114699 # DEPENDENCYPART_GRANDPAR
(22,20),(20,22),-1.3415 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(22,20),(20,23),-0.333119 # DEPENDENCYPART_GRANDPAR
(22,20),(20,24),-0.497603 # DEPENDENCYPART_GRANDPAR
(22,20),(20,26),-0.880972 # DEPENDENCYPART_GRANDPAR
(22,20),(20,28),-1.32783 # DEPENDENCYPART_GRANDPAR
(22,20),(20,30),-0.757902 # DEPENDENCYPART_GRANDPAR
(22,20),(20,32),-1.18699 # DEPENDENCYPART_GRANDPAR
(22,23),(23,14),-0.799313 # DEPENDENCYPART_GRANDPAR
(22,23),(23,16),-1.23029 # DEPENDENCYPART_GRANDPAR
(22,23),(23,20),-1.14201 # DEPENDENCYPART_GRANDPAR
(22,23),(23,22),-0.709687 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(22,23),(23,24),-0.0775865 # DEPENDENCYPART_GRANDPAR
(22,23),(23,26),-0.543138 # DEPENDENCYPART_GRANDPAR
(22,23),(23,28),-0.7102 # DEPENDENCYPART_GRANDPAR
(22,23),(23,32),-0.570085 # DEPENDENCYPART_GRANDPAR
(22,24),(24,22),-0.750076 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(22,24),(24,23),0.06496 # DEPENDENCYPART_GRANDPAR
(22,24),(24,25),-0.17719 # DEPENDENCYPART_GRANDPAR
(22,24),(24,26),-0.356136 # DEPENDENCYPART_GRANDPAR
(22,24),(24,28),-0.447683 # DEPENDENCYPART_GRANDPAR
(22,24),(24,30),-0.232816 # DEPENDENCYPART_GRANDPAR
(22,24),(24,32),-0.30939 # DEPENDENCYPART_GRANDPAR
(22,25),(25,26),-0.403211 # DEPENDENCYPART_GRANDPAR
(22,25),(25,28),-0.684914 # DEPENDENCYPART_GRANDPAR
(22,26),(26,1),-0.943131 # DEPENDENCYPART_GRANDPAR
(22,26),(26,2),-1.75221 # DEPENDENCYPART_GRANDPAR
(22,26),(26,4),-1.27201 # DEPENDENCYPART_GRANDPAR
(22,26),(26,7),-1.90759 # DEPENDENCYPART_GRANDPAR
(22,26),(26,8),-0.920121 # DEPENDENCYPART_GRANDPAR
(22,26),(26,9),-0.90811 # DEPENDENCYPART_GRANDPAR
(22,26),(26,10),-1.07494 # DEPENDENCYPART_GRANDPAR
(22,26),(26,14),-0.815391 # DEPENDENCYPART_GRANDPAR
(22,26),(26,16),-1.26186 # DEPENDENCYPART_GRANDPAR
(22,26),(26,17),-0.814929 # DEPENDENCYPART_GRANDPAR
(22,26),(26,18),-0.872725 # DEPENDENCYPART_GRANDPAR
(22,26),(26,19),-0.835966 # DEPENDENCYPART_GRANDPAR
(22,26),(26,20),-1.10695 # DEPENDENCYPART_GRANDPAR
(22,26),(26,21),-0.460941 # DEPENDENCYPART_GRANDPAR
(22,26),(26,22),-0.755997 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(22,26),(26,23),0.266913 # DEPENDENCYPART_GRANDPAR
(22,26),(26,24),0.119849 # DEPENDENCYPART_GRANDPAR
(22,26),(26,25),0.165002 # DEPENDENCYPART_GRANDPAR
(22,26),(26,27),-0.911408 # DEPENDENCYPART_GRANDPAR
(22,26),(26,28),-0.450309 # DEPENDENCYPART_GRANDPAR
(22,26),(26,30),-0.187858 # DEPENDENCYPART_GRANDPAR
(22,26),(26,32),-0.309706 # DEPENDENCYPART_GRANDPAR
(22,26),(26,33),-0.366802 # DEPENDENCYPART_GRANDPAR
(22,28),(28,21),-0.53752 # DEPENDENCYPART_GRANDPAR
(22,28),(28,27),-0.918811 # DEPENDENCYPART_GRANDPAR
