# _root_ Η περιοχή ( ανάμεσα στη Σαγιάδα , το Ράγιο και την Ηγουμενίτσα ) φιλοξενεί έναν από τους σημαντικότερους υγροβιότοπους της Ελλάδας , στον οποίο βρίσκουν προστασία σπάνια είδη πουλιών και λουλουδιών .
#goldHeads=2,14,4,2,4,10,10,9,10,5,12,10,4,0,14,15,19,19,16,21,19,25,25,23,15,25,28,25,30,28,30,0,
#predictedHeads=2,10,4,2,4,5,10,9,10,14,12,10,14,0,14,15,19,19,16,21,19,25,25,23,19,25,28,26,30,28,30,0,
(22,23),(23,24),-0.0997363 # DEPENDENCYPART_GRANDPAR
(22,23),(23,25),0.0726565 # DEPENDENCYPART_GRANDPAR
(22,23),(23,26),-0.2581 # DEPENDENCYPART_GRANDPAR
(22,25),(25,2),-0.660171 # DEPENDENCYPART_GRANDPAR
(22,25),(25,4),-0.527247 # DEPENDENCYPART_GRANDPAR
(22,25),(25,5),-0.760319 # DEPENDENCYPART_GRANDPAR
(22,25),(25,7),-0.50837 # DEPENDENCYPART_GRANDPAR
(22,25),(25,9),-0.599382 # DEPENDENCYPART_GRANDPAR
(22,25),(25,10),-0.533782 # DEPENDENCYPART_GRANDPAR
(22,25),(25,12),-0.597437 # DEPENDENCYPART_GRANDPAR
(22,25),(25,13),-0.640848 # DEPENDENCYPART_GRANDPAR
(22,25),(25,14),-0.4448 # DEPENDENCYPART_GRANDPAR
(22,25),(25,15),-0.18861 # DEPENDENCYPART_GRANDPAR
(22,25),(25,16),-0.405101 # DEPENDENCYPART_GRANDPAR
(22,25),(25,18),-0.49821 # DEPENDENCYPART_GRANDPAR
(22,25),(25,19),-0.438995 # DEPENDENCYPART_GRANDPAR
(22,25),(25,20),-0.554534 # DEPENDENCYPART_GRANDPAR
(22,25),(25,21),-0.354521 # DEPENDENCYPART_GRANDPAR
(22,25),(25,22),-0.60033 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(22,25),(25,23),0.26537 # DEPENDENCYPART_GRANDPAR
(22,25),(25,24),-0.0197595 # DEPENDENCYPART_GRANDPAR
(22,25),(25,26),-0.284326 # DEPENDENCYPART_GRANDPAR
(22,25),(25,27),-0.185281 # DEPENDENCYPART_GRANDPAR
(22,25),(25,28),-0.291053 # DEPENDENCYPART_GRANDPAR
(22,25),(25,29),-0.281717 # DEPENDENCYPART_GRANDPAR
(22,25),(25,30),0.136145 # DEPENDENCYPART_GRANDPAR
(22,25),(25,31),-0.238953 # DEPENDENCYPART_GRANDPAR
(22,25),(25,32),-0.206566 # DEPENDENCYPART_GRANDPAR
(22,26),(26,17),-0.634948 # DEPENDENCYPART_GRANDPAR
(22,26),(26,20),-0.571936 # DEPENDENCYPART_GRANDPAR
(22,26),(26,21),-0.392269 # DEPENDENCYPART_GRANDPAR
(22,26),(26,24),0.00541855 # DEPENDENCYPART_GRANDPAR
(22,26),(26,25),0.304433 # DEPENDENCYPART_GRANDPAR
(22,26),(26,27),-0.166104 # DEPENDENCYPART_GRANDPAR
(22,26),(26,28),-0.272145 # DEPENDENCYPART_GRANDPAR
(22,26),(26,29),-0.255124 # DEPENDENCYPART_GRANDPAR
(22,26),(26,30),0.146805 # DEPENDENCYPART_GRANDPAR
(22,26),(26,31),-0.21236 # DEPENDENCYPART_GRANDPAR
(22,27),(27,22),-0.524438 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(22,27),(27,23),0.34611 # DEPENDENCYPART_GRANDPAR
(22,27),(27,24),-0.00121807 # DEPENDENCYPART_GRANDPAR
(22,27),(27,26),-0.367064 # DEPENDENCYPART_GRANDPAR
(22,27),(27,28),-0.370234 # DEPENDENCYPART_GRANDPAR
(22,27),(27,29),-0.34852 # DEPENDENCYPART_GRANDPAR
(22,27),(27,30),0.128646 # DEPENDENCYPART_GRANDPAR
(22,27),(27,31),-0.305757 # DEPENDENCYPART_GRANDPAR
(22,28),(28,20),-0.571946 # DEPENDENCYPART_GRANDPAR
(22,28),(28,24),0.00160924 # DEPENDENCYPART_GRANDPAR
(22,28),(28,26),-0.306852 # DEPENDENCYPART_GRANDPAR
(22,28),(28,27),-0.121597 # DEPENDENCYPART_GRANDPAR
(22,28),(28,29),-0.260716 # DEPENDENCYPART_GRANDPAR
(22,28),(28,30),0.167473 # DEPENDENCYPART_GRANDPAR
(22,28),(28,31),-0.217953 # DEPENDENCYPART_GRANDPAR
(22,29),(29,20),-0.571936 # DEPENDENCYPART_GRANDPAR
(22,29),(29,24),0.00544079 # DEPENDENCYPART_GRANDPAR
(22,29),(29,26),-0.29713 # DEPENDENCYPART_GRANDPAR
(22,29),(29,27),-0.125951 # DEPENDENCYPART_GRANDPAR
(22,29),(29,28),-0.306344 # DEPENDENCYPART_GRANDPAR
(22,29),(29,30),0.146805 # DEPENDENCYPART_GRANDPAR
(22,29),(29,31),-0.212647 # DEPENDENCYPART_GRANDPAR
(22,31),(31,24),0.00544079 # DEPENDENCYPART_GRANDPAR
(22,31),(31,26),-0.29713 # DEPENDENCYPART_GRANDPAR
(22,31),(31,27),-0.125951 # DEPENDENCYPART_GRANDPAR
(22,31),(31,28),-0.306344 # DEPENDENCYPART_GRANDPAR
(22,31),(31,29),-0.291947 # DEPENDENCYPART_GRANDPAR
(22,31),(31,30),0.28129 # DEPENDENCYPART_GRANDPAR
(22,31),(31,32),-0.208447 # DEPENDENCYPART_GRANDPAR
(23,22),(22,2),-0.493243 # DEPENDENCYPART_GRANDPAR
(23,22),(22,3),-0.0842211 # DEPENDENCYPART_GRANDPAR
(23,22),(22,12),-0.356756 # DEPENDENCYPART_GRANDPAR
(23,22),(22,16),-0.146859 # DEPENDENCYPART_GRANDPAR
(23,22),(22,18),-0.503365 # DEPENDENCYPART_GRANDPAR
(23,22),(22,19),-0.293033 # DEPENDENCYPART_GRANDPAR
(23,22),(22,21),-0.170022 # DEPENDENCYPART_GRANDPAR
(23,22),(22,23),-1.08222 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(23,22),(22,25),-0.393224 # DEPENDENCYPART_GRANDPAR
(23,22),(22,26),-0.452041 # DEPENDENCYPART_GRANDPAR
(23,22),(22,27),-0.63568 # DEPENDENCYPART_GRANDPAR
(23,22),(22,28),-0.705944 # DEPENDENCYPART_GRANDPAR
(23,22),(22,29),-1.09049 # DEPENDENCYPART_GRANDPAR
(23,22),(22,31),-0.989679 # DEPENDENCYPART_GRANDPAR
(23,24),(24,22),-0.260959 # DEPENDENCYPART_GRANDPAR
(23,24),(24,25),0.0856791 # DEPENDENCYPART_GRANDPAR
(23,25),(25,2),-0.928287 # DEPENDENCYPART_GRANDPAR
(23,25),(25,4),-0.535931 # DEPENDENCYPART_GRANDPAR
(23,25),(25,5),-0.747969 # DEPENDENCYPART_GRANDPAR
(23,25),(25,7),-0.4732 # DEPENDENCYPART_GRANDPAR
(23,25),(25,9),-0.897706 # DEPENDENCYPART_GRANDPAR
(23,25),(25,10),-0.441744 # DEPENDENCYPART_GRANDPAR
(23,25),(25,12),-0.789106 # DEPENDENCYPART_GRANDPAR
(23,25),(25,13),-0.484668 # DEPENDENCYPART_GRANDPAR
(23,25),(25,14),-0.87195 # DEPENDENCYPART_GRANDPAR
(23,25),(25,15),-0.738114 # DEPENDENCYPART_GRANDPAR
(23,25),(25,16),-0.589798 # DEPENDENCYPART_GRANDPAR
(23,25),(25,18),-0.98191 # DEPENDENCYPART_GRANDPAR
(23,25),(25,19),-0.731587 # DEPENDENCYPART_GRANDPAR
(23,25),(25,20),-0.829141 # DEPENDENCYPART_GRANDPAR
(23,25),(25,21),-0.611362 # DEPENDENCYPART_GRANDPAR
(23,25),(25,22),-0.185728 # DEPENDENCYPART_GRANDPAR
(23,25),(25,23),-0.722067 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(23,25),(25,24),0.510028 # DEPENDENCYPART_GRANDPAR
(23,25),(25,26),0.104096 # DEPENDENCYPART_GRANDPAR
(23,25),(25,27),-0.169917 # DEPENDENCYPART_GRANDPAR
(23,25),(25,28),-0.146281 # DEPENDENCYPART_GRANDPAR
(23,25),(25,29),-0.537181 # DEPENDENCYPART_GRANDPAR
(23,25),(25,30),-0.0838906 # DEPENDENCYPART_GRANDPAR
(23,25),(25,31),-0.436373 # DEPENDENCYPART_GRANDPAR
(23,25),(25,32),-0.228413 # DEPENDENCYPART_GRANDPAR
(23,26),(26,17),-1.03095 # DEPENDENCYPART_GRANDPAR
(23,26),(26,20),-0.910387 # DEPENDENCYPART_GRANDPAR
(23,26),(26,21),-0.710292 # DEPENDENCYPART_GRANDPAR
(23,26),(26,24),0.603463 # DEPENDENCYPART_GRANDPAR
(23,26),(26,25),0.222953 # DEPENDENCYPART_GRANDPAR
(23,26),(26,27),-0.148161 # DEPENDENCYPART_GRANDPAR
(23,26),(26,28),-0.209449 # DEPENDENCYPART_GRANDPAR
(23,26),(26,29),-0.593353 # DEPENDENCYPART_GRANDPAR
(23,26),(26,30),-0.00533802 # DEPENDENCYPART_GRANDPAR
(23,26),(26,31),-0.492545 # DEPENDENCYPART_GRANDPAR
(24,22),(22,2),-0.616238 # DEPENDENCYPART_GRANDPAR
(24,22),(22,3),-0.460291 # DEPENDENCYPART_GRANDPAR
(24,22),(22,12),-0.52542 # DEPENDENCYPART_GRANDPAR
(24,22),(22,16),-0.411531 # DEPENDENCYPART_GRANDPAR
(24,22),(22,18),-0.704756 # DEPENDENCYPART_GRANDPAR
(24,22),(22,19),-0.382475 # DEPENDENCYPART_GRANDPAR
(24,22),(22,21),-0.516371 # DEPENDENCYPART_GRANDPAR
(24,22),(22,23),-0.119701 # DEPENDENCYPART_GRANDPAR
(24,22),(22,25),0.216488 # DEPENDENCYPART_GRANDPAR
(24,22),(22,26),-0.957743 # DEPENDENCYPART_GRANDPAR
(24,22),(22,27),-0.700342 # DEPENDENCYPART_GRANDPAR
(24,22),(22,28),-0.650761 # DEPENDENCYPART_GRANDPAR
(24,22),(22,29),-0.509872 # DEPENDENCYPART_GRANDPAR
(24,22),(22,31),-0.567963 # DEPENDENCYPART_GRANDPAR
(24,25),(25,2),-0.97069 # DEPENDENCYPART_GRANDPAR
(24,25),(25,4),-0.806632 # DEPENDENCYPART_GRANDPAR
(24,25),(25,5),-0.851976 # DEPENDENCYPART_GRANDPAR
(24,25),(25,7),-0.659887 # DEPENDENCYPART_GRANDPAR
(24,25),(25,9),-0.998044 # DEPENDENCYPART_GRANDPAR
(24,25),(25,10),-0.793273 # DEPENDENCYPART_GRANDPAR
(24,25),(25,12),-0.877987 # DEPENDENCYPART_GRANDPAR
(24,25),(25,13),-0.754924 # DEPENDENCYPART_GRANDPAR
(24,25),(25,14),-1.02378 # DEPENDENCYPART_GRANDPAR
(24,25),(25,15),-0.861043 # DEPENDENCYPART_GRANDPAR
(24,25),(25,16),-0.779918 # DEPENDENCYPART_GRANDPAR
(24,25),(25,18),-1.10194 # DEPENDENCYPART_GRANDPAR
(24,25),(25,19),-0.740315 # DEPENDENCYPART_GRANDPAR
(24,25),(25,20),-0.932552 # DEPENDENCYPART_GRANDPAR
(24,25),(25,21),-0.87312 # DEPENDENCYPART_GRANDPAR
(24,25),(25,22),-0.65983 # DEPENDENCYPART_GRANDPAR
(24,25),(25,23),-0.558652 # DEPENDENCYPART_GRANDPAR
(24,25),(25,24),-0.698062 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(24,25),(25,26),-0.403472 # DEPENDENCYPART_GRANDPAR
(24,25),(25,27),-0.221022 # DEPENDENCYPART_GRANDPAR
(24,25),(25,28),-0.0929974 # DEPENDENCYPART_GRANDPAR
(24,25),(25,29),0.0415673 # DEPENDENCYPART_GRANDPAR
(24,25),(25,30),-0.477679 # DEPENDENCYPART_GRANDPAR
(24,25),(25,31),-0.0165236 # DEPENDENCYPART_GRANDPAR
(24,25),(25,32),-0.399376 # DEPENDENCYPART_GRANDPAR
(25,2),(2,1),-0.206509 # DEPENDENCYPART_GRANDPAR
(25,2),(2,3),-0.218445 # DEPENDENCYPART_GRANDPAR
(25,2),(2,4),-0.330449 # DEPENDENCYPART_GRANDPAR
(25,2),(2,5),-0.117502 # DEPENDENCYPART_GRANDPAR
(25,2),(2,6),-0.559485 # DEPENDENCYPART_GRANDPAR
(25,4),(4,1),-0.38876 # DEPENDENCYPART_GRANDPAR
(25,4),(4,2),-0.174833 # DEPENDENCYPART_GRANDPAR
(25,4),(4,3),-0.410427 # DEPENDENCYPART_GRANDPAR
(25,4),(4,5),-0.13776 # DEPENDENCYPART_GRANDPAR
(25,4),(4,6),-0.776641 # DEPENDENCYPART_GRANDPAR
(25,4),(4,7),-0.270049 # DEPENDENCYPART_GRANDPAR
(25,4),(4,9),-0.240046 # DEPENDENCYPART_GRANDPAR
(25,4),(4,10),-0.300971 # DEPENDENCYPART_GRANDPAR
(25,4),(4,13),-0.355203 # DEPENDENCYPART_GRANDPAR
(25,4),(4,14),-0.84521 # DEPENDENCYPART_GRANDPAR
(25,5),(5,3),-0.320321 # DEPENDENCYPART_GRANDPAR
(25,5),(5,4),-0.369388 # DEPENDENCYPART_GRANDPAR
(25,5),(5,6),-0.650493 # DEPENDENCYPART_GRANDPAR
(25,5),(5,7),-0.344828 # DEPENDENCYPART_GRANDPAR
(25,5),(5,9),-0.113898 # DEPENDENCYPART_GRANDPAR
(25,5),(5,10),-0.266456 # DEPENDENCYPART_GRANDPAR
(25,7),(7,2),-0.235134 # DEPENDENCYPART_GRANDPAR
(25,7),(7,3),-0.432422 # DEPENDENCYPART_GRANDPAR
(25,7),(7,4),-0.529715 # DEPENDENCYPART_GRANDPAR
(25,7),(7,5),-0.432108 # DEPENDENCYPART_GRANDPAR
(25,7),(7,6),-0.861154 # DEPENDENCYPART_GRANDPAR
(25,7),(7,9),-0.232407 # DEPENDENCYPART_GRANDPAR
(25,7),(7,10),-0.271648 # DEPENDENCYPART_GRANDPAR
(25,7),(7,12),-0.663442 # DEPENDENCYPART_GRANDPAR
(25,7),(7,13),-0.441986 # DEPENDENCYPART_GRANDPAR
(25,7),(7,14),-1.01425 # DEPENDENCYPART_GRANDPAR
(25,7),(7,16),-0.170141 # DEPENDENCYPART_GRANDPAR
(25,7),(7,21),-0.727574 # DEPENDENCYPART_GRANDPAR
(25,9),(9,1),-0.213626 # DEPENDENCYPART_GRANDPAR
(25,9),(9,6),-0.649198 # DEPENDENCYPART_GRANDPAR
(25,9),(9,7),-0.408681 # DEPENDENCYPART_GRANDPAR
(25,9),(9,8),-0.486391 # DEPENDENCYPART_GRANDPAR
(25,9),(9,11),-1.19138 # DEPENDENCYPART_GRANDPAR
(25,9),(9,12),-0.454257 # DEPENDENCYPART_GRANDPAR
(25,9),(9,14),-0.63778 # DEPENDENCYPART_GRANDPAR
(25,9),(9,15),-0.0380357 # DEPENDENCYPART_GRANDPAR
(25,9),(9,23),0.0196693 # DEPENDENCYPART_GRANDPAR
(25,10),(10,2),-0.0284173 # DEPENDENCYPART_GRANDPAR
(25,10),(10,3),-0.427496 # DEPENDENCYPART_GRANDPAR
(25,10),(10,4),-0.401031 # DEPENDENCYPART_GRANDPAR
(25,10),(10,5),-0.307742 # DEPENDENCYPART_GRANDPAR
(25,10),(10,6),-0.651779 # DEPENDENCYPART_GRANDPAR
(25,10),(10,7),-0.482681 # DEPENDENCYPART_GRANDPAR
(25,10),(10,8),-0.659831 # DEPENDENCYPART_GRANDPAR
(25,10),(10,9),-0.115184 # DEPENDENCYPART_GRANDPAR
(25,10),(10,11),-1.5161 # DEPENDENCYPART_GRANDPAR
(25,10),(10,12),-0.645021 # DEPENDENCYPART_GRANDPAR
(25,10),(10,13),-0.507746 # DEPENDENCYPART_GRANDPAR
(25,10),(10,14),-0.873538 # DEPENDENCYPART_GRANDPAR
(25,10),(10,16),-0.0518905 # DEPENDENCYPART_GRANDPAR
(25,10),(10,18),-0.313143 # DEPENDENCYPART_GRANDPAR
(25,10),(10,19),-0.650982 # DEPENDENCYPART_GRANDPAR
(25,10),(10,22),-0.197546 # DEPENDENCYPART_GRANDPAR
(25,12),(12,8),-0.484869 # DEPENDENCYPART_GRANDPAR
(25,12),(12,10),-0.386064 # DEPENDENCYPART_GRANDPAR
(25,12),(12,11),-1.22518 # DEPENDENCYPART_GRANDPAR
(25,12),(12,13),-0.346072 # DEPENDENCYPART_GRANDPAR
(25,12),(12,14),-0.633401 # DEPENDENCYPART_GRANDPAR
(25,13),(13,3),-0.422519 # DEPENDENCYPART_GRANDPAR
(25,13),(13,5),-0.410792 # DEPENDENCYPART_GRANDPAR
(25,13),(13,9),-0.303983 # DEPENDENCYPART_GRANDPAR
(25,13),(13,12),-0.747112 # DEPENDENCYPART_GRANDPAR
(25,13),(13,14),-0.972472 # DEPENDENCYPART_GRANDPAR
(25,13),(13,16),-0.174084 # DEPENDENCYPART_GRANDPAR
(25,13),(13,19),-0.694202 # DEPENDENCYPART_GRANDPAR
(25,14),(14,2),-0.0642085 # DEPENDENCYPART_GRANDPAR
(25,14),(14,3),-0.328206 # DEPENDENCYPART_GRANDPAR
(25,14),(14,4),-0.339623 # DEPENDENCYPART_GRANDPAR
(25,14),(14,5),-0.251408 # DEPENDENCYPART_GRANDPAR
(25,14),(14,6),-0.690657 # DEPENDENCYPART_GRANDPAR
(25,14),(14,7),-0.389735 # DEPENDENCYPART_GRANDPAR
(25,14),(14,9),-0.154062 # DEPENDENCYPART_GRANDPAR
(25,14),(14,10),-0.414436 # DEPENDENCYPART_GRANDPAR
(25,14),(14,11),-1.30077 # DEPENDENCYPART_GRANDPAR
(25,14),(14,12),-0.591954 # DEPENDENCYPART_GRANDPAR
(25,14),(14,13),-0.378373 # DEPENDENCYPART_GRANDPAR
(25,14),(14,15),-0.226866 # DEPENDENCYPART_GRANDPAR
(25,14),(14,16),-0.238272 # DEPENDENCYPART_GRANDPAR
(25,14),(14,18),-0.270444 # DEPENDENCYPART_GRANDPAR
(25,14),(14,19),-0.768133 # DEPENDENCYPART_GRANDPAR
(25,14),(14,21),-0.835521 # DEPENDENCYPART_GRANDPAR
(25,14),(14,22),-0.237166 # DEPENDENCYPART_GRANDPAR
(25,14),(14,23),-0.167416 # DEPENDENCYPART_GRANDPAR
(25,14),(14,25),-1.59804 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(25,14),(14,26),0.333045 # DEPENDENCYPART_GRANDPAR
(25,14),(14,27),-0.139841 # DEPENDENCYPART_GRANDPAR
(25,14),(14,28),0.0764036 # DEPENDENCYPART_GRANDPAR
(25,14),(14,29),-0.446908 # DEPENDENCYPART_GRANDPAR
(25,14),(14,30),-0.192755 # DEPENDENCYPART_GRANDPAR
(25,14),(14,31),-0.536786 # DEPENDENCYPART_GRANDPAR
(25,14),(14,32),-0.21692 # DEPENDENCYPART_GRANDPAR
(25,15),(15,16),0.0142112 # DEPENDENCYPART_GRANDPAR
(25,15),(15,25),-1.67258 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(25,16),(16,13),-0.378061 # DEPENDENCYPART_GRANDPAR
(25,16),(16,15),-0.207261 # DEPENDENCYPART_GRANDPAR
(25,16),(16,17),-0.981382 # DEPENDENCYPART_GRANDPAR
(25,16),(16,18),-0.269021 # DEPENDENCYPART_GRANDPAR
(25,16),(16,19),-0.593675 # DEPENDENCYPART_GRANDPAR
(25,16),(16,21),-0.661051 # DEPENDENCYPART_GRANDPAR
(25,16),(16,22),-0.287104 # DEPENDENCYPART_GRANDPAR
(25,16),(16,30),-0.325184 # DEPENDENCYPART_GRANDPAR
(25,18),(18,16),-0.184648 # DEPENDENCYPART_GRANDPAR
(25,18),(18,17),-0.833109 # DEPENDENCYPART_GRANDPAR
(25,18),(18,19),-0.538179 # DEPENDENCYPART_GRANDPAR
(25,18),(18,21),-0.605573 # DEPENDENCYPART_GRANDPAR
(25,18),(18,23),0.00175264 # DEPENDENCYPART_GRANDPAR
(25,19),(19,11),-1.2287 # DEPENDENCYPART_GRANDPAR
(25,19),(19,16),-0.23347 # DEPENDENCYPART_GRANDPAR
(25,19),(19,17),-0.68303 # DEPENDENCYPART_GRANDPAR
(25,19),(19,18),-0.00822206 # DEPENDENCYPART_GRANDPAR
(25,19),(19,20),-1.81414 # DEPENDENCYPART_GRANDPAR
(25,19),(19,21),-0.52553 # DEPENDENCYPART_GRANDPAR
(25,19),(19,22),-0.266759 # DEPENDENCYPART_GRANDPAR
(25,19),(19,23),0.0196693 # DEPENDENCYPART_GRANDPAR
(25,19),(19,25),-1.82002 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(25,19),(19,26),0.0747014 # DEPENDENCYPART_GRANDPAR
(25,19),(19,27),-0.289042 # DEPENDENCYPART_GRANDPAR
(25,19),(19,28),-0.181278 # DEPENDENCYPART_GRANDPAR
(25,19),(19,29),-0.705251 # DEPENDENCYPART_GRANDPAR
(25,19),(19,30),-0.348416 # DEPENDENCYPART_GRANDPAR
(25,21),(21,17),-0.686277 # DEPENDENCYPART_GRANDPAR
(25,21),(21,19),-0.539928 # DEPENDENCYPART_GRANDPAR
(25,21),(21,20),-1.75349 # DEPENDENCYPART_GRANDPAR
(25,21),(21,22),-0.262074 # DEPENDENCYPART_GRANDPAR
(25,21),(21,23),0.0196281 # DEPENDENCYPART_GRANDPAR
(25,21),(21,25),-1.82002 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(25,22),(22,2),-0.235134 # DEPENDENCYPART_GRANDPAR
(25,22),(22,3),-0.432422 # DEPENDENCYPART_GRANDPAR
(25,22),(22,12),-0.767689 # DEPENDENCYPART_GRANDPAR
(25,22),(22,16),-0.298193 # DEPENDENCYPART_GRANDPAR
(25,22),(22,18),-0.204881 # DEPENDENCYPART_GRANDPAR
(25,22),(22,19),-0.751408 # DEPENDENCYPART_GRANDPAR
(25,22),(22,21),-0.816477 # DEPENDENCYPART_GRANDPAR
(25,22),(22,23),-0.122549 # DEPENDENCYPART_GRANDPAR
(25,22),(22,25),-1.75935 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(25,22),(22,26),0.133832 # DEPENDENCYPART_GRANDPAR
(25,22),(22,27),-0.242039 # DEPENDENCYPART_GRANDPAR
(25,22),(22,28),-0.122147 # DEPENDENCYPART_GRANDPAR
(25,22),(22,29),-0.64612 # DEPENDENCYPART_GRANDPAR
(25,22),(22,31),-0.735998 # DEPENDENCYPART_GRANDPAR
(25,23),(23,22),-0.227327 # DEPENDENCYPART_GRANDPAR
(25,23),(23,24),0.385593 # DEPENDENCYPART_GRANDPAR
(25,23),(23,25),-1.73734 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(25,23),(23,26),0.160865 # DEPENDENCYPART_GRANDPAR
(25,24),(24,22),-0.254479 # DEPENDENCYPART_GRANDPAR
(25,24),(24,25),-1.6917 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(25,26),(26,17),-1.46458 # DEPENDENCYPART_GRANDPAR
(25,26),(26,20),-2.50534 # DEPENDENCYPART_GRANDPAR
(25,26),(26,21),-1.27762 # DEPENDENCYPART_GRANDPAR
(25,26),(26,24),-0.408797 # DEPENDENCYPART_GRANDPAR
(25,26),(26,25),-0.873514 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(25,26),(26,27),0.216601 # DEPENDENCYPART_GRANDPAR
(25,26),(26,28),0.49293 # DEPENDENCYPART_GRANDPAR
(25,26),(26,29),-0.0310553 # DEPENDENCYPART_GRANDPAR
(25,26),(26,30),0.11602 # DEPENDENCYPART_GRANDPAR
(25,26),(26,31),-0.120933 # DEPENDENCYPART_GRANDPAR
(25,27),(27,22),-0.732286 # DEPENDENCYPART_GRANDPAR
(25,27),(27,23),-0.557176 # DEPENDENCYPART_GRANDPAR
(25,27),(27,24),-0.306064 # DEPENDENCYPART_GRANDPAR
(25,27),(27,26),0.617181 # DEPENDENCYPART_GRANDPAR
(25,27),(27,28),0.3155 # DEPENDENCYPART_GRANDPAR
(25,27),(27,29),-0.19731 # DEPENDENCYPART_GRANDPAR
(25,27),(27,30),0.0973234 # DEPENDENCYPART_GRANDPAR
(25,27),(27,31),-0.287188 # DEPENDENCYPART_GRANDPAR
(25,28),(28,20),-2.50535 # DEPENDENCYPART_GRANDPAR
(25,28),(28,24),-0.408793 # DEPENDENCYPART_GRANDPAR
(25,28),(28,26),0.836085 # DEPENDENCYPART_GRANDPAR
(25,28),(28,27),0.301329 # DEPENDENCYPART_GRANDPAR
(25,28),(28,29),-0.0312406 # DEPENDENCYPART_GRANDPAR
(25,28),(28,30),0.152761 # DEPENDENCYPART_GRANDPAR
(25,28),(28,31),-0.121118 # DEPENDENCYPART_GRANDPAR
(25,29),(29,20),-2.50534 # DEPENDENCYPART_GRANDPAR
(25,29),(29,24),-0.408791 # DEPENDENCYPART_GRANDPAR
(25,29),(29,26),0.837447 # DEPENDENCYPART_GRANDPAR
(25,29),(29,27),0.278356 # DEPENDENCYPART_GRANDPAR
(25,29),(29,28),0.577143 # DEPENDENCYPART_GRANDPAR
(25,29),(29,30),0.116912 # DEPENDENCYPART_GRANDPAR
(25,29),(29,31),-0.120615 # DEPENDENCYPART_GRANDPAR
(25,30),(30,2),-0.784771 # DEPENDENCYPART_GRANDPAR
(25,30),(30,4),-0.981468 # DEPENDENCYPART_GRANDPAR
(25,30),(30,6),-1.40573 # DEPENDENCYPART_GRANDPAR
(25,30),(30,7),-0.96884 # DEPENDENCYPART_GRANDPAR
(25,30),(30,9),-0.869137 # DEPENDENCYPART_GRANDPAR
(25,30),(30,10),-0.897579 # DEPENDENCYPART_GRANDPAR
(25,30),(30,13),-0.973997 # DEPENDENCYPART_GRANDPAR
(25,30),(30,14),-1.73722 # DEPENDENCYPART_GRANDPAR
(25,30),(30,16),-0.764566 # DEPENDENCYPART_GRANDPAR
(25,30),(30,18),-0.777342 # DEPENDENCYPART_GRANDPAR
(25,30),(30,19),-1.29599 # DEPENDENCYPART_GRANDPAR
(25,30),(30,21),-1.35964 # DEPENDENCYPART_GRANDPAR
(25,30),(30,22),-0.870022 # DEPENDENCYPART_GRANDPAR
(25,30),(30,23),-0.718625 # DEPENDENCYPART_GRANDPAR
(25,30),(30,24),-0.517129 # DEPENDENCYPART_GRANDPAR
(25,30),(30,25),-1.10312 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(25,30),(30,26),0.637544 # DEPENDENCYPART_GRANDPAR
(25,30),(30,27),0.213853 # DEPENDENCYPART_GRANDPAR
(25,30),(30,28),0.364628 # DEPENDENCYPART_GRANDPAR
(25,30),(30,29),-0.142267 # DEPENDENCYPART_GRANDPAR
(25,30),(30,31),-0.123195 # DEPENDENCYPART_GRANDPAR
(25,30),(30,32),-0.0313739 # DEPENDENCYPART_GRANDPAR
(25,31),(31,24),-0.408791 # DEPENDENCYPART_GRANDPAR
(25,31),(31,26),0.837447 # DEPENDENCYPART_GRANDPAR
(25,31),(31,27),0.278356 # DEPENDENCYPART_GRANDPAR
(25,31),(31,28),0.577143 # DEPENDENCYPART_GRANDPAR
(25,31),(31,29),0.0575434 # DEPENDENCYPART_GRANDPAR
(25,31),(31,30),0.331025 # DEPENDENCYPART_GRANDPAR
(25,31),(31,32),0.0627617 # DEPENDENCYPART_GRANDPAR
(25,32),(32,28),0.300035 # DEPENDENCYPART_GRANDPAR
(25,32),(32,29),-0.218248 # DEPENDENCYPART_GRANDPAR
(25,32),(32,31),-0.308126 # DEPENDENCYPART_GRANDPAR
(26,21),(21,17),-0.5089 # DEPENDENCYPART_GRANDPAR
(26,21),(21,19),-0.555023 # DEPENDENCYPART_GRANDPAR
(26,21),(21,20),-0.371642 # DEPENDENCYPART_GRANDPAR
(26,21),(21,22),-0.174619 # DEPENDENCYPART_GRANDPAR
(26,21),(21,23),-0.177051 # DEPENDENCYPART_GRANDPAR
