# _root_ `` It 's pure psychology , '' said William Au Yeung , an account executive for Drexel Burnham Lambert ( HK ) Ltd. in Hong Kong .
#goldHeads=8,3,8,5,3,8,8,0,11,11,8,11,15,15,11,15,19,19,16,21,19,21,19,19,26,24,8,
#predictedHeads=8,3,8,5,3,8,8,0,11,11,8,11,15,15,11,15,19,19,16,21,19,21,19,19,26,24,8,
(26,21),(26,18),(26,11),-0.077976 # DEPENDENCYPART_TRISIBL
(26,21),(26,18),(26,10),-0.077976 # DEPENDENCYPART_TRISIBL
(26,21),(26,18),(26,9),-0.100235 # DEPENDENCYPART_TRISIBL
(26,21),(26,18),(26,1),-0.0557595 # DEPENDENCYPART_TRISIBL
(26,21),(26,18),(26,-1),-0.111272 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,21),(26,17),(26,15),0.0272228 # DEPENDENCYPART_TRISIBL
(26,21),(26,17),(26,11),-0.0783498 # DEPENDENCYPART_TRISIBL
(26,21),(26,17),(26,10),-0.0783498 # DEPENDENCYPART_TRISIBL
(26,21),(26,17),(26,9),-0.100609 # DEPENDENCYPART_TRISIBL
(26,21),(26,17),(26,1),-0.0557602 # DEPENDENCYPART_TRISIBL
(26,21),(26,17),(26,-1),-0.103627 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,21),(26,15),(26,11),-0.030258 # DEPENDENCYPART_TRISIBL
(26,21),(26,15),(26,10),-0.030258 # DEPENDENCYPART_TRISIBL
(26,21),(26,15),(26,9),-0.0450113 # DEPENDENCYPART_TRISIBL
(26,21),(26,15),(26,1),-0.101341 # DEPENDENCYPART_TRISIBL
(26,21),(26,15),(26,-1),-0.213377 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,21),(26,11),(26,10),-0.0770674 # DEPENDENCYPART_TRISIBL
(26,21),(26,11),(26,9),-0.0993261 # DEPENDENCYPART_TRISIBL
(26,21),(26,11),(26,1),-0.0557595 # DEPENDENCYPART_TRISIBL
(26,21),(26,11),(26,-1),-0.110798 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,21),(26,10),(26,9),-0.0993261 # DEPENDENCYPART_TRISIBL
(26,21),(26,10),(26,1),-0.0557595 # DEPENDENCYPART_TRISIBL
(26,21),(26,10),(26,-1),-0.110798 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,21),(26,9),(26,1),-0.0557595 # DEPENDENCYPART_TRISIBL
(26,21),(26,9),(26,-1),-0.102077 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,21),(26,1),(26,-1),-0.268515 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,20),(26,19),(26,18),-0.138601 # DEPENDENCYPART_TRISIBL
(26,20),(26,19),(26,17),-0.138601 # DEPENDENCYPART_TRISIBL
(26,20),(26,19),(26,15),-0.0796311 # DEPENDENCYPART_TRISIBL
(26,20),(26,19),(26,11),-0.138601 # DEPENDENCYPART_TRISIBL
(26,20),(26,19),(26,10),-0.138601 # DEPENDENCYPART_TRISIBL
(26,20),(26,19),(26,9),-0.138891 # DEPENDENCYPART_TRISIBL
(26,20),(26,19),(26,1),-0.0875524 # DEPENDENCYPART_TRISIBL
(26,20),(26,19),(26,-1),-0.164398 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,20),(26,18),(26,17),-0.138601 # DEPENDENCYPART_TRISIBL
(26,20),(26,18),(26,15),-0.0796311 # DEPENDENCYPART_TRISIBL
(26,20),(26,18),(26,11),-0.138601 # DEPENDENCYPART_TRISIBL
(26,20),(26,18),(26,10),-0.138601 # DEPENDENCYPART_TRISIBL
(26,20),(26,18),(26,9),-0.138891 # DEPENDENCYPART_TRISIBL
(26,20),(26,18),(26,1),-0.0875524 # DEPENDENCYPART_TRISIBL
(26,20),(26,18),(26,-1),-0.164398 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,20),(26,17),(26,15),-0.0796311 # DEPENDENCYPART_TRISIBL
(26,20),(26,17),(26,11),-0.138601 # DEPENDENCYPART_TRISIBL
(26,20),(26,17),(26,10),-0.138601 # DEPENDENCYPART_TRISIBL
(26,20),(26,17),(26,9),-0.138891 # DEPENDENCYPART_TRISIBL
(26,20),(26,17),(26,1),-0.0875524 # DEPENDENCYPART_TRISIBL
(26,20),(26,17),(26,-1),-0.164398 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,20),(26,15),(26,11),-0.101619 # DEPENDENCYPART_TRISIBL
(26,20),(26,15),(26,10),-0.101619 # DEPENDENCYPART_TRISIBL
(26,20),(26,15),(26,9),-0.101812 # DEPENDENCYPART_TRISIBL
(26,20),(26,15),(26,1),-0.0890222 # DEPENDENCYPART_TRISIBL
(26,20),(26,15),(26,-1),-0.133731 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,20),(26,11),(26,10),-0.138601 # DEPENDENCYPART_TRISIBL
(26,20),(26,11),(26,9),-0.138891 # DEPENDENCYPART_TRISIBL
(26,20),(26,11),(26,1),-0.0875524 # DEPENDENCYPART_TRISIBL
(26,20),(26,11),(26,-1),-0.164398 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,20),(26,10),(26,9),-0.138891 # DEPENDENCYPART_TRISIBL
(26,20),(26,10),(26,1),-0.0875524 # DEPENDENCYPART_TRISIBL
(26,20),(26,10),(26,-1),-0.164398 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,20),(26,9),(26,1),-0.0875524 # DEPENDENCYPART_TRISIBL
(26,20),(26,9),(26,-1),-0.164399 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,20),(26,1),(26,-1),-0.123704 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,19),(26,18),(26,17),-0.0773936 # DEPENDENCYPART_TRISIBL
(26,19),(26,18),(26,15),0.023935 # DEPENDENCYPART_TRISIBL
(26,19),(26,18),(26,11),-0.0794753 # DEPENDENCYPART_TRISIBL
(26,19),(26,18),(26,10),-0.0794753 # DEPENDENCYPART_TRISIBL
(26,19),(26,18),(26,9),-0.101734 # DEPENDENCYPART_TRISIBL
(26,19),(26,18),(26,1),-0.0557595 # DEPENDENCYPART_TRISIBL
(26,19),(26,18),(26,-1),-0.113748 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,19),(26,17),(26,15),0.0272142 # DEPENDENCYPART_TRISIBL
(26,19),(26,17),(26,11),-0.0798491 # DEPENDENCYPART_TRISIBL
(26,19),(26,17),(26,10),-0.0798491 # DEPENDENCYPART_TRISIBL
(26,19),(26,17),(26,9),-0.102108 # DEPENDENCYPART_TRISIBL
(26,19),(26,17),(26,1),-0.0557602 # DEPENDENCYPART_TRISIBL
(26,19),(26,17),(26,-1),-0.106104 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,19),(26,15),(26,11),-0.0313893 # DEPENDENCYPART_TRISIBL
(26,19),(26,15),(26,10),-0.0313893 # DEPENDENCYPART_TRISIBL
(26,19),(26,15),(26,9),-0.0461426 # DEPENDENCYPART_TRISIBL
(26,19),(26,15),(26,1),-0.101341 # DEPENDENCYPART_TRISIBL
(26,19),(26,15),(26,-1),-0.214863 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,19),(26,11),(26,10),-0.0785666 # DEPENDENCYPART_TRISIBL
(26,19),(26,11),(26,9),-0.100825 # DEPENDENCYPART_TRISIBL
(26,19),(26,11),(26,1),-0.0557595 # DEPENDENCYPART_TRISIBL
(26,19),(26,11),(26,-1),-0.113275 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,19),(26,10),(26,9),-0.100825 # DEPENDENCYPART_TRISIBL
(26,19),(26,10),(26,1),-0.0557595 # DEPENDENCYPART_TRISIBL
(26,19),(26,10),(26,-1),-0.113275 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,19),(26,9),(26,1),-0.0557595 # DEPENDENCYPART_TRISIBL
(26,19),(26,9),(26,-1),-0.104554 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,19),(26,1),(26,-1),-0.270001 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,18),(26,17),(26,15),0.0334114 # DEPENDENCYPART_TRISIBL
(26,18),(26,17),(26,11),-0.0810345 # DEPENDENCYPART_TRISIBL
(26,18),(26,17),(26,10),-0.0810345 # DEPENDENCYPART_TRISIBL
(26,18),(26,17),(26,9),-0.103293 # DEPENDENCYPART_TRISIBL
(26,18),(26,17),(26,1),-0.055765 # DEPENDENCYPART_TRISIBL
(26,18),(26,17),(26,-1),-0.0884998 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,18),(26,15),(26,11),-0.0316642 # DEPENDENCYPART_TRISIBL
(26,18),(26,15),(26,10),-0.0316642 # DEPENDENCYPART_TRISIBL
(26,18),(26,15),(26,9),-0.0464175 # DEPENDENCYPART_TRISIBL
(26,18),(26,15),(26,1),-0.101345 # DEPENDENCYPART_TRISIBL
(26,18),(26,15),(26,-1),-0.205849 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,18),(26,11),(26,10),-0.079752 # DEPENDENCYPART_TRISIBL
(26,18),(26,11),(26,9),-0.102011 # DEPENDENCYPART_TRISIBL
(26,18),(26,11),(26,1),-0.0557643 # DEPENDENCYPART_TRISIBL
(26,18),(26,11),(26,-1),-0.0956706 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,18),(26,10),(26,9),-0.102011 # DEPENDENCYPART_TRISIBL
(26,18),(26,10),(26,1),-0.0557643 # DEPENDENCYPART_TRISIBL
(26,18),(26,10),(26,-1),-0.0956706 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,18),(26,9),(26,1),-0.0557643 # DEPENDENCYPART_TRISIBL
(26,18),(26,9),(26,-1),-0.0869497 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,18),(26,1),(26,-1),-0.260973 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,17),(26,15),(26,11),-0.0327099 # DEPENDENCYPART_TRISIBL
(26,17),(26,15),(26,10),-0.0327099 # DEPENDENCYPART_TRISIBL
(26,17),(26,15),(26,9),-0.0474632 # DEPENDENCYPART_TRISIBL
(26,17),(26,15),(26,1),-0.101352 # DEPENDENCYPART_TRISIBL
(26,17),(26,15),(26,-1),-0.218301 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,17),(26,11),(26,10),-0.0796331 # DEPENDENCYPART_TRISIBL
(26,17),(26,11),(26,9),-0.101892 # DEPENDENCYPART_TRISIBL
(26,17),(26,11),(26,1),-0.0557705 # DEPENDENCYPART_TRISIBL
(26,17),(26,11),(26,-1),-0.11655 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,17),(26,10),(26,9),-0.101892 # DEPENDENCYPART_TRISIBL
(26,17),(26,10),(26,1),-0.0557705 # DEPENDENCYPART_TRISIBL
(26,17),(26,10),(26,-1),-0.11655 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,17),(26,9),(26,1),-0.0557705 # DEPENDENCYPART_TRISIBL
(26,17),(26,9),(26,-1),-0.107829 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,17),(26,1),(26,-1),-0.273099 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,15),(26,11),(26,10),0.0341032 # DEPENDENCYPART_TRISIBL
(26,15),(26,11),(26,9),0.0340956 # DEPENDENCYPART_TRISIBL
(26,15),(26,11),(26,1),-0.0180807 # DEPENDENCYPART_TRISIBL
(26,15),(26,11),(26,-1),-0.114449 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,15),(26,10),(26,9),0.0340956 # DEPENDENCYPART_TRISIBL
(26,15),(26,10),(26,1),-0.0180807 # DEPENDENCYPART_TRISIBL
(26,15),(26,10),(26,-1),-0.114449 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,15),(26,9),(26,1),-0.0180807 # DEPENDENCYPART_TRISIBL
(26,15),(26,9),(26,-1),-0.113161 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,15),(26,1),(26,-1),-0.110834 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,11),(26,10),(26,9),-0.0993261 # DEPENDENCYPART_TRISIBL
(26,11),(26,10),(26,1),-0.0557595 # DEPENDENCYPART_TRISIBL
(26,11),(26,10),(26,-1),-0.110798 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,11),(26,9),(26,1),-0.0557595 # DEPENDENCYPART_TRISIBL
(26,11),(26,9),(26,-1),-0.102077 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,11),(26,1),(26,-1),-0.268515 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,10),(26,9),(26,1),-0.0557595 # DEPENDENCYPART_TRISIBL
(26,10),(26,9),(26,-1),-0.102077 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,10),(26,1),(26,-1),-0.268515 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,9),(26,1),(26,-1),-0.274906 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(0,3),(1,2),0.0434076 # DEPENDENCYPART_HEADBIGRAM
(0,3),(3,2),0.259282 # DEPENDENCYPART_HEADBIGRAM
(0,3),(4,2),0.168893 # DEPENDENCYPART_HEADBIGRAM
(0,3),(5,2),0.149658 # DEPENDENCYPART_HEADBIGRAM
(0,3),(8,2),0.136712 # DEPENDENCYPART_HEADBIGRAM
(0,8),(3,7),0.13266 # DEPENDENCYPART_HEADBIGRAM
(0,8),(4,7),0.0738791 # DEPENDENCYPART_HEADBIGRAM
(0,8),(5,7),0.118681 # DEPENDENCYPART_HEADBIGRAM
(0,8),(8,7),0.392506 # DEPENDENCYPART_HEADBIGRAM
(0,8),(10,7),0.147717 # DEPENDENCYPART_HEADBIGRAM
(0,8),(11,7),0.147717 # DEPENDENCYPART_HEADBIGRAM
(0,8),(15,7),0.200244 # DEPENDENCYPART_HEADBIGRAM
(1,2),(2,1),0.17198 # DEPENDENCYPART_HEADBIGRAM
(1,2),(3,1),0.166282 # DEPENDENCYPART_HEADBIGRAM
(1,2),(4,1),0.173481 # DEPENDENCYPART_HEADBIGRAM
(1,2),(5,1),0.173298 # DEPENDENCYPART_HEADBIGRAM
(1,2),(8,1),0.169272 # DEPENDENCYPART_HEADBIGRAM
(1,2),(11,1),0.172748 # DEPENDENCYPART_HEADBIGRAM
(1,2),(15,1),0.17322 # DEPENDENCYPART_HEADBIGRAM
(1,2),(19,1),0.172173 # DEPENDENCYPART_HEADBIGRAM
(1,2),(23,1),0.172949 # DEPENDENCYPART_HEADBIGRAM
(1,2),(26,1),0.172949 # DEPENDENCYPART_HEADBIGRAM
(1,3),(1,2),0.0873262 # DEPENDENCYPART_HEADBIGRAM
(1,3),(3,2),0.321637 # DEPENDENCYPART_HEADBIGRAM
(1,3),(4,2),0.173023 # DEPENDENCYPART_HEADBIGRAM
(1,3),(5,2),0.173352 # DEPENDENCYPART_HEADBIGRAM
(1,3),(8,2),0.174012 # DEPENDENCYPART_HEADBIGRAM
(2,3),(1,2),-0.0636555 # DEPENDENCYPART_HEADBIGRAM
(2,3),(3,2),0.109593 # DEPENDENCYPART_HEADBIGRAM
(2,3),(4,2),0.173884 # DEPENDENCYPART_HEADBIGRAM
(2,3),(5,2),0.153331 # DEPENDENCYPART_HEADBIGRAM
(2,3),(8,2),0.163511 # DEPENDENCYPART_HEADBIGRAM
(2,5),(3,4),0.103068 # DEPENDENCYPART_HEADBIGRAM
(2,5),(5,4),0.239325 # DEPENDENCYPART_HEADBIGRAM
(2,5),(8,4),0.1693 # DEPENDENCYPART_HEADBIGRAM
(2,5),(11,4),0.173363 # DEPENDENCYPART_HEADBIGRAM
(2,5),(15,4),0.174257 # DEPENDENCYPART_HEADBIGRAM
(2,5),(19,4),0.174261 # DEPENDENCYPART_HEADBIGRAM
(2,6),(2,5),0.13124 # DEPENDENCYPART_HEADBIGRAM
(2,6),(3,5),0.133221 # DEPENDENCYPART_HEADBIGRAM
(2,6),(4,5),0.138407 # DEPENDENCYPART_HEADBIGRAM
(2,6),(6,5),0.171484 # DEPENDENCYPART_HEADBIGRAM
(2,6),(7,5),0.130454 # DEPENDENCYPART_HEADBIGRAM
(2,6),(8,5),0.142006 # DEPENDENCYPART_HEADBIGRAM
(2,6),(10,5),0.14362 # DEPENDENCYPART_HEADBIGRAM
(2,6),(11,5),0.166068 # DEPENDENCYPART_HEADBIGRAM
(2,6),(15,5),0.16603 # DEPENDENCYPART_HEADBIGRAM
(2,6),(19,5),0.170991 # DEPENDENCYPART_HEADBIGRAM
(2,8),(3,7),0.086468 # DEPENDENCYPART_HEADBIGRAM
(2,8),(4,7),0.086468 # DEPENDENCYPART_HEADBIGRAM
(2,8),(5,7),0.0658689 # DEPENDENCYPART_HEADBIGRAM
(2,8),(8,7),0.182773 # DEPENDENCYPART_HEADBIGRAM
(2,8),(10,7),0.174087 # DEPENDENCYPART_HEADBIGRAM
(2,8),(11,7),0.174087 # DEPENDENCYPART_HEADBIGRAM
(2,8),(15,7),0.174182 # DEPENDENCYPART_HEADBIGRAM
(2,11),(3,10),0.0720036 # DEPENDENCYPART_HEADBIGRAM
(2,11),(5,10),0.0666145 # DEPENDENCYPART_HEADBIGRAM
(2,11),(8,10),0.0450526 # DEPENDENCYPART_HEADBIGRAM
(2,11),(9,10),0.0451357 # DEPENDENCYPART_HEADBIGRAM
(2,11),(11,10),0.178652 # DEPENDENCYPART_HEADBIGRAM
(2,11),(15,10),0.172192 # DEPENDENCYPART_HEADBIGRAM
(2,11),(19,10),0.17383 # DEPENDENCYPART_HEADBIGRAM
(2,11),(26,10),0.174213 # DEPENDENCYPART_HEADBIGRAM
(2,12),(2,11),0.0694884 # DEPENDENCYPART_HEADBIGRAM
(2,12),(3,11),0.0592322 # DEPENDENCYPART_HEADBIGRAM
(2,12),(5,11),0.0601489 # DEPENDENCYPART_HEADBIGRAM
(2,12),(7,11),0.0817078 # DEPENDENCYPART_HEADBIGRAM
(2,12),(8,11),0.0778358 # DEPENDENCYPART_HEADBIGRAM
(2,12),(9,11),0.146444 # DEPENDENCYPART_HEADBIGRAM
(2,12),(10,11),0.14645 # DEPENDENCYPART_HEADBIGRAM
(2,12),(15,11),0.155468 # DEPENDENCYPART_HEADBIGRAM
(2,12),(19,11),0.169791 # DEPENDENCYPART_HEADBIGRAM
(2,12),(26,11),0.17395 # DEPENDENCYPART_HEADBIGRAM
(3,2),(2,1),-0.09589 # DEPENDENCYPART_HEADBIGRAM
(3,2),(3,1),0.22364 # DEPENDENCYPART_HEADBIGRAM
(3,2),(4,1),0.0539982 # DEPENDENCYPART_HEADBIGRAM
(3,2),(5,1),0.0588284 # DEPENDENCYPART_HEADBIGRAM
(3,2),(8,1),0.14468 # DEPENDENCYPART_HEADBIGRAM
(3,2),(11,1),0.0656387 # DEPENDENCYPART_HEADBIGRAM
(3,2),(15,1),0.0917897 # DEPENDENCYPART_HEADBIGRAM
(3,2),(19,1),0.0783728 # DEPENDENCYPART_HEADBIGRAM
(3,2),(23,1),0.100088 # DEPENDENCYPART_HEADBIGRAM
(3,2),(26,1),0.100088 # DEPENDENCYPART_HEADBIGRAM
(3,4),(0,3),0.0149787 # DEPENDENCYPART_HEADBIGRAM
(3,4),(1,3),-0.0485444 # DEPENDENCYPART_HEADBIGRAM
(3,4),(2,3),-0.0593764 # DEPENDENCYPART_HEADBIGRAM
(3,4),(4,3),0.153436 # DEPENDENCYPART_HEADBIGRAM
(3,4),(5,3),0.175775 # DEPENDENCYPART_HEADBIGRAM
(3,4),(6,3),0.197906 # DEPENDENCYPART_HEADBIGRAM
(3,4),(7,3),0.197894 # DEPENDENCYPART_HEADBIGRAM
(3,4),(8,3),0.25342 # DEPENDENCYPART_HEADBIGRAM
(3,4),(11,3),0.143234 # DEPENDENCYPART_HEADBIGRAM
(3,4),(19,3),0.143587 # DEPENDENCYPART_HEADBIGRAM
(3,5),(3,4),0.0401287 # DEPENDENCYPART_HEADBIGRAM
(3,5),(5,4),0.274179 # DEPENDENCYPART_HEADBIGRAM
(3,5),(8,4),0.17238 # DEPENDENCYPART_HEADBIGRAM
(3,5),(11,4),0.173148 # DEPENDENCYPART_HEADBIGRAM
(3,5),(15,4),0.162928 # DEPENDENCYPART_HEADBIGRAM
(3,5),(19,4),0.173021 # DEPENDENCYPART_HEADBIGRAM
(3,6),(2,5),-0.0740803 # DEPENDENCYPART_HEADBIGRAM
(3,6),(3,5),0.0280826 # DEPENDENCYPART_HEADBIGRAM
(3,6),(4,5),0.115114 # DEPENDENCYPART_HEADBIGRAM
(3,6),(6,5),0.153659 # DEPENDENCYPART_HEADBIGRAM
(3,6),(7,5),0.133417 # DEPENDENCYPART_HEADBIGRAM
(3,6),(8,5),0.14609 # DEPENDENCYPART_HEADBIGRAM
(3,6),(10,5),0.143395 # DEPENDENCYPART_HEADBIGRAM
(3,6),(11,5),0.165843 # DEPENDENCYPART_HEADBIGRAM
(3,6),(15,5),0.14785 # DEPENDENCYPART_HEADBIGRAM
(3,6),(19,5),0.168822 # DEPENDENCYPART_HEADBIGRAM
(3,7),(2,6),-0.062922 # DEPENDENCYPART_HEADBIGRAM
(3,7),(3,6),0.147022 # DEPENDENCYPART_HEADBIGRAM
(3,7),(4,6),0.0577415 # DEPENDENCYPART_HEADBIGRAM
(3,7),(5,6),0.0432474 # DEPENDENCYPART_HEADBIGRAM
(3,7),(7,6),0.173726 # DEPENDENCYPART_HEADBIGRAM
(3,7),(8,6),0.173092 # DEPENDENCYPART_HEADBIGRAM
(3,7),(11,6),0.156186 # DEPENDENCYPART_HEADBIGRAM
(3,8),(3,7),0.0364326 # DEPENDENCYPART_HEADBIGRAM
(3,8),(4,7),0.0703556 # DEPENDENCYPART_HEADBIGRAM
(3,8),(5,7),0.0564744 # DEPENDENCYPART_HEADBIGRAM
(3,8),(8,7),0.141004 # DEPENDENCYPART_HEADBIGRAM
(3,8),(10,7),0.173667 # DEPENDENCYPART_HEADBIGRAM
(3,8),(11,7),0.173667 # DEPENDENCYPART_HEADBIGRAM
(3,8),(15,7),0.17175 # DEPENDENCYPART_HEADBIGRAM
(3,10),(5,9),0.0663137 # DEPENDENCYPART_HEADBIGRAM
(3,10),(8,9),0.0420821 # DEPENDENCYPART_HEADBIGRAM
(3,10),(10,9),0.212685 # DEPENDENCYPART_HEADBIGRAM
(3,10),(11,9),0.170214 # DEPENDENCYPART_HEADBIGRAM
(3,10),(15,9),0.173529 # DEPENDENCYPART_HEADBIGRAM
(3,10),(19,9),0.169963 # DEPENDENCYPART_HEADBIGRAM
(3,10),(26,9),0.170346 # DEPENDENCYPART_HEADBIGRAM
(3,11),(3,10),0.0310128 # DEPENDENCYPART_HEADBIGRAM
(3,11),(5,10),0.0663137 # DEPENDENCYPART_HEADBIGRAM
(3,11),(8,10),0.0420845 # DEPENDENCYPART_HEADBIGRAM
(3,11),(9,10),0.0407269 # DEPENDENCYPART_HEADBIGRAM
(3,11),(11,10),0.211231 # DEPENDENCYPART_HEADBIGRAM
(3,11),(15,10),0.171886 # DEPENDENCYPART_HEADBIGRAM
(3,11),(19,10),0.169963 # DEPENDENCYPART_HEADBIGRAM
(3,11),(26,10),0.170346 # DEPENDENCYPART_HEADBIGRAM
(3,12),(2,11),-0.0668123 # DEPENDENCYPART_HEADBIGRAM
(3,12),(3,11),0.00590741 # DEPENDENCYPART_HEADBIGRAM
(3,12),(5,11),0.0485564 # DEPENDENCYPART_HEADBIGRAM
(3,12),(7,11),0.0785199 # DEPENDENCYPART_HEADBIGRAM
(3,12),(8,11),0.088254 # DEPENDENCYPART_HEADBIGRAM
(3,12),(9,11),0.101038 # DEPENDENCYPART_HEADBIGRAM
(3,12),(10,11),0.100142 # DEPENDENCYPART_HEADBIGRAM
(3,12),(15,11),0.139822 # DEPENDENCYPART_HEADBIGRAM
(3,12),(19,11),0.12756 # DEPENDENCYPART_HEADBIGRAM
(3,12),(26,11),0.139553 # DEPENDENCYPART_HEADBIGRAM
(3,15),(10,14),0.0582612 # DEPENDENCYPART_HEADBIGRAM
(3,15),(11,14),0.0582612 # DEPENDENCYPART_HEADBIGRAM
(3,15),(13,14),0.0568774 # DEPENDENCYPART_HEADBIGRAM
(3,15),(15,14),0.181451 # DEPENDENCYPART_HEADBIGRAM
(3,15),(19,14),0.173171 # DEPENDENCYPART_HEADBIGRAM
(3,16),(3,15),0.01691 # DEPENDENCYPART_HEADBIGRAM
(3,16),(5,15),0.0968419 # DEPENDENCYPART_HEADBIGRAM
(3,16),(8,15),0.0398047 # DEPENDENCYPART_HEADBIGRAM
(3,16),(9,15),0.0370048 # DEPENDENCYPART_HEADBIGRAM
(3,16),(10,15),0.0126813 # DEPENDENCYPART_HEADBIGRAM
(3,16),(11,15),0.0126813 # DEPENDENCYPART_HEADBIGRAM
(3,16),(14,15),0.0543703 # DEPENDENCYPART_HEADBIGRAM
(3,16),(16,15),0.152458 # DEPENDENCYPART_HEADBIGRAM
(3,16),(19,15),0.161312 # DEPENDENCYPART_HEADBIGRAM
(3,16),(26,15),0.165375 # DEPENDENCYPART_HEADBIGRAM
(3,22),(11,21),0.0701524 # DEPENDENCYPART_HEADBIGRAM
(3,22),(15,21),0.0694812 # DEPENDENCYPART_HEADBIGRAM
(3,22),(16,21),0.0647912 # DEPENDENCYPART_HEADBIGRAM
(3,22),(17,21),0.0692728 # DEPENDENCYPART_HEADBIGRAM
(3,22),(18,21),0.0692728 # DEPENDENCYPART_HEADBIGRAM
(3,22),(19,21),0.0784543 # DEPENDENCYPART_HEADBIGRAM
(3,22),(20,21),0.0733102 # DEPENDENCYPART_HEADBIGRAM
(3,22),(22,21),0.173057 # DEPENDENCYPART_HEADBIGRAM
(3,22),(23,21),0.173162 # DEPENDENCYPART_HEADBIGRAM
(3,22),(26,21),0.172976 # DEPENDENCYPART_HEADBIGRAM
(3,24),(8,23),0.0762138 # DEPENDENCYPART_HEADBIGRAM
(3,24),(11,23),0.0659388 # DEPENDENCYPART_HEADBIGRAM
(3,24),(16,23),0.0916749 # DEPENDENCYPART_HEADBIGRAM
(3,24),(18,23),0.0664379 # DEPENDENCYPART_HEADBIGRAM
(3,24),(19,23),0.0664379 # DEPENDENCYPART_HEADBIGRAM
(3,24),(21,23),0.0615298 # DEPENDENCYPART_HEADBIGRAM
(3,24),(22,23),0.0679387 # DEPENDENCYPART_HEADBIGRAM
(3,24),(24,23),0.173478 # DEPENDENCYPART_HEADBIGRAM
(3,24),(25,23),0.1648 # DEPENDENCYPART_HEADBIGRAM
(3,24),(26,23),0.164699 # DEPENDENCYPART_HEADBIGRAM
(3,27),(8,26),0.0697026 # DEPENDENCYPART_HEADBIGRAM
(3,27),(11,26),0.0708574 # DEPENDENCYPART_HEADBIGRAM
(3,27),(16,26),0.0671436 # DEPENDENCYPART_HEADBIGRAM
(3,27),(18,26),0.0461193 # DEPENDENCYPART_HEADBIGRAM
(3,27),(19,26),0.0490308 # DEPENDENCYPART_HEADBIGRAM
(3,27),(21,26),0.0736252 # DEPENDENCYPART_HEADBIGRAM
(3,27),(22,26),0.0589469 # DEPENDENCYPART_HEADBIGRAM
(3,27),(23,26),0.0725163 # DEPENDENCYPART_HEADBIGRAM
(3,27),(24,26),0.123033 # DEPENDENCYPART_HEADBIGRAM
(3,27),(25,26),0.067327 # DEPENDENCYPART_HEADBIGRAM
(4,2),(2,1),-0.0888891 # DEPENDENCYPART_HEADBIGRAM
(4,2),(3,1),-0.0860459 # DEPENDENCYPART_HEADBIGRAM
(4,2),(4,1),0.0994316 # DEPENDENCYPART_HEADBIGRAM
(4,2),(5,1),0.0562491 # DEPENDENCYPART_HEADBIGRAM
(4,2),(8,1),0.0794108 # DEPENDENCYPART_HEADBIGRAM
(4,2),(11,1),0.080297 # DEPENDENCYPART_HEADBIGRAM
