# _root_ In 1988 the Cincinnati company earned $ 3.1 million , or 32 cents a share , on revenue of $ 148.5 million .
#goldHeads=6,1,5,5,6,0,6,7,7,7,7,13,11,15,13,7,6,17,18,19,20,20,6,
#predictedHeads=6,1,5,5,6,0,6,7,7,7,7,13,11,15,13,6,6,17,18,19,20,20,6,
(13,9),(13,7),(13,1),-0.0637852 # DEPENDENCYPART_TRISIBL
(13,9),(13,7),(13,-1),-0.134359 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,9),(13,5),(13,3),0.0786553 # DEPENDENCYPART_TRISIBL
(13,9),(13,5),(13,2),-0.0871804 # DEPENDENCYPART_TRISIBL
(13,9),(13,5),(13,1),-0.0661941 # DEPENDENCYPART_TRISIBL
(13,9),(13,5),(13,-1),-0.112081 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,9),(13,3),(13,2),-0.0893036 # DEPENDENCYPART_TRISIBL
(13,9),(13,3),(13,1),-0.0621684 # DEPENDENCYPART_TRISIBL
(13,9),(13,3),(13,-1),0.00954247 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,9),(13,2),(13,1),-0.0610363 # DEPENDENCYPART_TRISIBL
(13,9),(13,2),(13,-1),-0.175249 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,9),(13,1),(13,-1),-0.100685 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,8),(13,7),(13,5),-0.112022 # DEPENDENCYPART_TRISIBL
(13,8),(13,7),(13,3),-0.00991637 # DEPENDENCYPART_TRISIBL
(13,8),(13,7),(13,2),-0.0807506 # DEPENDENCYPART_TRISIBL
(13,8),(13,7),(13,1),-0.0580184 # DEPENDENCYPART_TRISIBL
(13,8),(13,7),(13,-1),-0.12547 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,8),(13,5),(13,3),0.071435 # DEPENDENCYPART_TRISIBL
(13,8),(13,5),(13,2),-0.0793207 # DEPENDENCYPART_TRISIBL
(13,8),(13,5),(13,1),-0.0605266 # DEPENDENCYPART_TRISIBL
(13,8),(13,5),(13,-1),-0.116462 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,8),(13,3),(13,2),-0.0819619 # DEPENDENCYPART_TRISIBL
(13,8),(13,3),(13,1),-0.0561564 # DEPENDENCYPART_TRISIBL
(13,8),(13,3),(13,-1),0.00747149 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,8),(13,2),(13,1),-0.0512444 # DEPENDENCYPART_TRISIBL
(13,8),(13,2),(13,-1),-0.169187 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,8),(13,1),(13,-1),-0.0947754 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,7),(13,5),(13,3),-0.0102477 # DEPENDENCYPART_TRISIBL
(13,7),(13,5),(13,2),-0.0662151 # DEPENDENCYPART_TRISIBL
(13,7),(13,5),(13,1),-0.107842 # DEPENDENCYPART_TRISIBL
(13,7),(13,5),(13,-1),-0.117749 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,7),(13,3),(13,2),-0.0657445 # DEPENDENCYPART_TRISIBL
(13,7),(13,3),(13,1),-0.112139 # DEPENDENCYPART_TRISIBL
(13,7),(13,3),(13,-1),-0.0515371 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,7),(13,2),(13,1),-0.107401 # DEPENDENCYPART_TRISIBL
(13,7),(13,2),(13,-1),-0.0783267 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,7),(13,1),(13,-1),-0.0934105 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,5),(13,3),(13,2),-0.0561403 # DEPENDENCYPART_TRISIBL
(13,5),(13,3),(13,1),-0.0930176 # DEPENDENCYPART_TRISIBL
(13,5),(13,3),(13,-1),-0.0452724 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,5),(13,2),(13,1),-0.0709586 # DEPENDENCYPART_TRISIBL
(13,5),(13,2),(13,-1),-0.0773394 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,5),(13,1),(13,-1),-0.10464 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,3),(13,2),(13,1),-0.056255 # DEPENDENCYPART_TRISIBL
(13,3),(13,2),(13,-1),-0.205515 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,3),(13,1),(13,-1),-0.141879 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,2),(13,1),(13,-1),-0.0854948 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,14),(14,17),(14,24),-0.218564 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(15,15),(15,16),(15,17),-0.501889 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,16),(15,18),-0.08501 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,16),(15,19),-0.420923 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,16),(15,24),-0.818639 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(15,15),(15,17),(15,18),-0.207959 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,17),(15,19),-0.113335 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,17),(15,24),-0.213286 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(15,15),(15,18),(15,19),-0.0931306 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,18),(15,24),-0.223269 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(15,15),(15,19),(15,24),-0.13125 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(15,16),(15,17),(15,18),0.00525068 # DEPENDENCYPART_TRISIBL
(15,16),(15,17),(15,19),-0.0644277 # DEPENDENCYPART_TRISIBL
(15,16),(15,17),(15,24),-0.119572 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,16),(15,18),(15,19),0.101173 # DEPENDENCYPART_TRISIBL
(15,16),(15,18),(15,24),-0.062532 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,16),(15,19),(15,24),-0.164923 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,17),(15,18),(15,19),-0.235088 # DEPENDENCYPART_TRISIBL
(15,17),(15,18),(15,24),-0.0763836 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,17),(15,19),(15,24),-0.145545 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,18),(15,19),(15,24),-0.112089 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,15),(15,14),(15,13),-0.116637 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,14),(15,12),-0.262078 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,14),(15,-1),-0.195016 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,15),(15,13),(15,12),-0.0980205 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,13),(15,-1),-0.0939629 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,15),(15,12),(15,-1),-0.147356 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,14),(15,13),(15,12),-0.117324 # DEPENDENCYPART_TRISIBL
(15,14),(15,13),(15,-1),-0.201426 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,14),(15,12),(15,-1),-0.270386 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,13),(15,12),(15,-1),-0.132078 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,16),(16,17),(16,24),-0.664343 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(17,17),(17,18),(17,19),-0.0912172 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(17,17),(17,18),(17,20),-0.129233 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(17,17),(17,18),(17,22),-0.195247 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(17,17),(17,18),(17,23),-0.0273551 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(17,17),(17,18),(17,24),0.266092 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(17,17),(17,19),(17,20),-0.172133 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(17,17),(17,19),(17,22),-0.224673 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(17,17),(17,19),(17,23),-0.271151 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(17,17),(17,19),(17,24),-0.134937 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(17,17),(17,20),(17,22),-0.203581 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(17,17),(17,20),(17,23),-0.136225 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(17,17),(17,20),(17,24),0.0626001 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(17,17),(17,22),(17,23),-0.138799 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(17,17),(17,22),(17,24),0.0576614 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(17,17),(17,23),(17,24),-0.268396 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(17,18),(17,19),(17,20),-0.107499 # DEPENDENCYPART_TRISIBL
(17,18),(17,19),(17,22),-0.11166 # DEPENDENCYPART_TRISIBL
(17,18),(17,19),(17,23),-0.112364 # DEPENDENCYPART_TRISIBL
(17,18),(17,19),(17,24),-0.116985 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(17,18),(17,20),(17,22),-0.106689 # DEPENDENCYPART_TRISIBL
(17,18),(17,20),(17,23),-0.11208 # DEPENDENCYPART_TRISIBL
(17,18),(17,20),(17,24),-0.123335 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(17,18),(17,22),(17,23),-0.0922012 # DEPENDENCYPART_TRISIBL
(17,18),(17,22),(17,24),-0.159283 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(17,18),(17,23),(17,24),-0.1064 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(17,19),(17,20),(17,22),-0.0347664 # DEPENDENCYPART_TRISIBL
(17,19),(17,20),(17,23),-0.107713 # DEPENDENCYPART_TRISIBL
(17,19),(17,20),(17,24),-0.0507594 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(17,19),(17,22),(17,23),-0.116334 # DEPENDENCYPART_TRISIBL
(17,19),(17,22),(17,24),-0.0459306 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(17,19),(17,23),(17,24),-0.10693 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(17,20),(17,22),(17,23),-0.0926041 # DEPENDENCYPART_TRISIBL
(17,20),(17,22),(17,24),-0.187636 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(17,20),(17,23),(17,24),-0.166895 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(17,22),(17,23),(17,24),-0.0723664 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(17,17),(17,16),(17,15),-0.184115 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(17,17),(17,16),(17,13),-0.102561 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(17,17),(17,16),(17,-1),-0.21337 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(17,17),(17,15),(17,13),-0.0873261 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(17,17),(17,15),(17,-1),-0.121351 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(17,17),(17,13),(17,-1),-0.104321 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(17,16),(17,15),(17,13),-0.167694 # DEPENDENCYPART_TRISIBL
(17,16),(17,15),(17,-1),-0.126077 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(17,16),(17,13),(17,-1),-0.133846 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(17,15),(17,13),(17,-1),-0.131098 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,18),(18,19),(18,20),-0.147649 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(18,18),(18,19),(18,22),-0.170007 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(18,18),(18,19),(18,23),-0.18473 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(18,18),(18,19),(18,24),-0.0861631 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(18,18),(18,20),(18,22),-0.096396 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(18,18),(18,20),(18,23),-0.188698 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(18,18),(18,20),(18,24),-0.150708 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(18,18),(18,22),(18,23),-0.191347 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(18,18),(18,22),(18,24),-0.199836 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(18,18),(18,23),(18,24),-0.310739 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(18,19),(18,20),(18,22),-0.0192623 # DEPENDENCYPART_TRISIBL
(18,19),(18,20),(18,23),-0.099056 # DEPENDENCYPART_TRISIBL
(18,19),(18,20),(18,24),-0.0999292 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,19),(18,22),(18,23),-0.107532 # DEPENDENCYPART_TRISIBL
(18,19),(18,22),(18,24),-0.042288 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,19),(18,23),(18,24),-0.0521773 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,20),(18,22),(18,23),-0.074216 # DEPENDENCYPART_TRISIBL
(18,20),(18,22),(18,24),-0.120617 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,20),(18,23),(18,24),-0.143052 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,22),(18,23),(18,24),-0.151635 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,18),(18,17),(18,16),-0.313049 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(18,18),(18,17),(18,15),-0.0553074 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(18,18),(18,17),(18,14),-0.118147 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(18,18),(18,17),(18,13),0.0276316 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(18,18),(18,17),(18,-1),-0.136454 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,18),(18,16),(18,15),-0.205101 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(18,18),(18,16),(18,14),-0.169939 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(18,18),(18,16),(18,13),-0.155667 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(18,18),(18,16),(18,-1),-0.374821 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,18),(18,15),(18,14),-0.0585544 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(18,18),(18,15),(18,13),-0.0493969 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(18,18),(18,15),(18,-1),-0.121092 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,18),(18,14),(18,13),-0.129515 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(18,18),(18,14),(18,-1),-0.199515 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,18),(18,13),(18,-1),-0.0933654 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,17),(18,16),(18,15),-0.0275074 # DEPENDENCYPART_TRISIBL
(18,17),(18,16),(18,14),-0.050679 # DEPENDENCYPART_TRISIBL
(18,17),(18,16),(18,13),0.0196721 # DEPENDENCYPART_TRISIBL
(18,17),(18,16),(18,-1),-0.35925 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,17),(18,15),(18,14),-0.023142 # DEPENDENCYPART_TRISIBL
(18,17),(18,15),(18,13),-0.0701131 # DEPENDENCYPART_TRISIBL
(18,17),(18,15),(18,-1),-0.157529 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,17),(18,14),(18,13),-0.066197 # DEPENDENCYPART_TRISIBL
(18,17),(18,14),(18,-1),-0.175111 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,17),(18,13),(18,-1),-0.175934 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,16),(18,15),(18,14),0.0838064 # DEPENDENCYPART_TRISIBL
(18,16),(18,15),(18,13),-0.163065 # DEPENDENCYPART_TRISIBL
(18,16),(18,15),(18,-1),-0.14918 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,16),(18,14),(18,13),-0.159447 # DEPENDENCYPART_TRISIBL
(18,16),(18,14),(18,-1),-0.197031 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,16),(18,13),(18,-1),-0.120383 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,15),(18,14),(18,13),-0.104766 # DEPENDENCYPART_TRISIBL
(18,15),(18,14),(18,-1),-0.0173863 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,15),(18,13),(18,-1),-0.15746 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,14),(18,13),(18,-1),-0.227577 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(19,19),(19,20),(19,21),-0.214115 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(19,19),(19,20),(19,22),-0.203517 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(19,19),(19,20),(19,23),-0.137876 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(19,19),(19,20),(19,24),0.132266 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(19,19),(19,21),(19,22),-0.184918 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(19,19),(19,21),(19,23),-0.141488 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(19,19),(19,21),(19,24),0.141265 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(19,19),(19,22),(19,23),-0.140471 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(19,19),(19,22),(19,24),0.103124 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(19,19),(19,23),(19,24),-0.226835 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(19,20),(19,21),(19,22),0.018959 # DEPENDENCYPART_TRISIBL
(19,20),(19,21),(19,23),-0.0926056 # DEPENDENCYPART_TRISIBL
(19,20),(19,21),(19,24),-0.201771 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(19,20),(19,22),(19,23),-0.0926064 # DEPENDENCYPART_TRISIBL
(19,20),(19,22),(19,24),-0.20756 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(19,20),(19,23),(19,24),-0.187589 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(19,21),(19,22),(19,23),-0.107237 # DEPENDENCYPART_TRISIBL
(19,21),(19,22),(19,24),-0.0818899 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(19,21),(19,23),(19,24),-0.103469 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(19,22),(19,23),(19,24),-0.0753107 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(19,19),(19,15),(19,-1),-0.0865855 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(20,20),(20,21),(20,22),0.0425038 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(20,20),(20,21),(20,23),-0.176498 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(20,20),(20,21),(20,24),0.00942473 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(20,20),(20,22),(20,23),-0.17548 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(20,20),(20,22),(20,24),-0.00721759 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(20,20),(20,23),(20,24),-0.301475 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(20,21),(20,22),(20,23),-0.127683 # DEPENDENCYPART_TRISIBL
(20,21),(20,22),(20,24),0.0227494 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(20,21),(20,23),(20,24),-0.13559 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(20,22),(20,23),(20,24),-0.130767 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(20,20),(20,19),(20,17),-0.188576 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(20,20),(20,19),(20,15),-0.00473645 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(20,20),(20,19),(20,13),-0.011156 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(20,20),(20,19),(20,-1),-0.249117 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(20,20),(20,17),(20,15),-0.0157617 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(20,20),(20,17),(20,13),-0.0198238 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(20,20),(20,17),(20,-1),-0.252339 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(20,20),(20,15),(20,13),-0.0740835 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(20,20),(20,15),(20,-1),-0.277013 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(20,20),(20,13),(20,-1),-0.227713 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(20,19),(20,17),(20,15),-0.087266 # DEPENDENCYPART_TRISIBL
(20,19),(20,17),(20,13),-0.072424 # DEPENDENCYPART_TRISIBL
(20,19),(20,17),(20,-1),-0.183016 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(20,19),(20,15),(20,13),-0.0706972 # DEPENDENCYPART_TRISIBL
(20,19),(20,15),(20,-1),-0.163758 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(20,19),(20,13),(20,-1),-0.156777 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(20,17),(20,15),(20,13),-0.0696897 # DEPENDENCYPART_TRISIBL
(20,17),(20,15),(20,-1),-0.163654 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(20,17),(20,13),(20,-1),-0.17049 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(20,15),(20,13),(20,-1),-0.0598357 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,21),(21,22),(21,24),-0.251006 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(22,22),(22,23),(22,24),-0.351529 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(22,22),(22,21),(22,-1),-0.182004 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(0,5),(1,4),0.0715132 # DEPENDENCYPART_HEADBIGRAM
(0,5),(2,4),0.0925414 # DEPENDENCYPART_HEADBIGRAM
(0,5),(5,4),0.184982 # DEPENDENCYPART_HEADBIGRAM
(0,5),(6,4),0.174286 # DEPENDENCYPART_HEADBIGRAM
(0,6),(0,5),0.0653124 # DEPENDENCYPART_HEADBIGRAM
(0,6),(1,5),0.209381 # DEPENDENCYPART_HEADBIGRAM
(0,6),(2,5),0.145734 # DEPENDENCYPART_HEADBIGRAM
(0,6),(6,5),0.252931 # DEPENDENCYPART_HEADBIGRAM
(0,6),(7,5),0.166451 # DEPENDENCYPART_HEADBIGRAM
(0,6),(8,5),0.167831 # DEPENDENCYPART_HEADBIGRAM
(0,6),(9,5),0.167831 # DEPENDENCYPART_HEADBIGRAM
(0,6),(13,5),0.165931 # DEPENDENCYPART_HEADBIGRAM
(0,7),(0,6),0.0720032 # DEPENDENCYPART_HEADBIGRAM
(0,7),(1,6),0.0716058 # DEPENDENCYPART_HEADBIGRAM
(0,7),(2,6),0.0715877 # DEPENDENCYPART_HEADBIGRAM
(0,7),(5,6),0.0724247 # DEPENDENCYPART_HEADBIGRAM
(1,2),(0,1),-0.0766937 # DEPENDENCYPART_HEADBIGRAM
(1,2),(2,1),-0.0062763 # DEPENDENCYPART_HEADBIGRAM
(1,2),(3,1),0.173545 # DEPENDENCYPART_HEADBIGRAM
(1,2),(4,1),0.140496 # DEPENDENCYPART_HEADBIGRAM
(1,2),(5,1),0.172509 # DEPENDENCYPART_HEADBIGRAM
(1,2),(6,1),0.364549 # DEPENDENCYPART_HEADBIGRAM
(1,2),(7,1),0.113535 # DEPENDENCYPART_HEADBIGRAM
(1,2),(9,1),0.213431 # DEPENDENCYPART_HEADBIGRAM
(1,2),(12,1),0.218021 # DEPENDENCYPART_HEADBIGRAM
(1,2),(13,1),0.120203 # DEPENDENCYPART_HEADBIGRAM
(1,4),(2,3),0.0607418 # DEPENDENCYPART_HEADBIGRAM
(1,4),(4,3),0.162101 # DEPENDENCYPART_HEADBIGRAM
(1,4),(5,3),0.154799 # DEPENDENCYPART_HEADBIGRAM
(1,4),(6,3),0.165181 # DEPENDENCYPART_HEADBIGRAM
(1,4),(13,3),0.18085 # DEPENDENCYPART_HEADBIGRAM
(1,5),(1,4),0.0102433 # DEPENDENCYPART_HEADBIGRAM
(1,5),(2,4),0.0925444 # DEPENDENCYPART_HEADBIGRAM
(1,5),(5,4),0.252977 # DEPENDENCYPART_HEADBIGRAM
(1,5),(6,4),0.172756 # DEPENDENCYPART_HEADBIGRAM
(1,6),(0,5),-0.0618847 # DEPENDENCYPART_HEADBIGRAM
(1,6),(1,5),0.043495 # DEPENDENCYPART_HEADBIGRAM
(1,6),(2,5),0.0584773 # DEPENDENCYPART_HEADBIGRAM
(1,6),(6,5),0.336434 # DEPENDENCYPART_HEADBIGRAM
(1,6),(7,5),0.1728 # DEPENDENCYPART_HEADBIGRAM
(1,6),(8,5),0.175113 # DEPENDENCYPART_HEADBIGRAM
(1,6),(9,5),0.175113 # DEPENDENCYPART_HEADBIGRAM
(1,6),(13,5),0.165022 # DEPENDENCYPART_HEADBIGRAM
(1,7),(0,6),-0.0661086 # DEPENDENCYPART_HEADBIGRAM
(1,7),(1,6),0.070579 # DEPENDENCYPART_HEADBIGRAM
(1,7),(2,6),0.0716018 # DEPENDENCYPART_HEADBIGRAM
(1,7),(5,6),0.0719312 # DEPENDENCYPART_HEADBIGRAM
(1,9),(6,8),0.0612665 # DEPENDENCYPART_HEADBIGRAM
(1,9),(7,8),0.0603021 # DEPENDENCYPART_HEADBIGRAM
(1,9),(9,8),0.181269 # DEPENDENCYPART_HEADBIGRAM
(1,9),(13,8),0.174149 # DEPENDENCYPART_HEADBIGRAM
(1,10),(1,9),-0.0121558 # DEPENDENCYPART_HEADBIGRAM
(1,10),(6,9),0.0550062 # DEPENDENCYPART_HEADBIGRAM
(1,10),(7,9),0.0720781 # DEPENDENCYPART_HEADBIGRAM
(1,10),(8,9),0.134296 # DEPENDENCYPART_HEADBIGRAM
(1,10),(12,9),0.162225 # DEPENDENCYPART_HEADBIGRAM
(1,10),(13,9),0.161731 # DEPENDENCYPART_HEADBIGRAM
(1,11),(1,10),0.256554 # DEPENDENCYPART_HEADBIGRAM
(1,11),(2,10),0.0885823 # DEPENDENCYPART_HEADBIGRAM
(1,11),(5,10),0.111928 # DEPENDENCYPART_HEADBIGRAM
(1,11),(6,10),0.0805 # DEPENDENCYPART_HEADBIGRAM
(1,11),(7,10),0.0870156 # DEPENDENCYPART_HEADBIGRAM
(1,11),(8,10),0.0806479 # DEPENDENCYPART_HEADBIGRAM
(1,11),(9,10),0.0806051 # DEPENDENCYPART_HEADBIGRAM
(1,11),(11,10),0.172794 # DEPENDENCYPART_HEADBIGRAM
(1,11),(12,10),0.17338 # DEPENDENCYPART_HEADBIGRAM
(1,11),(13,10),0.179625 # DEPENDENCYPART_HEADBIGRAM
(1,16),(6,15),0.0943241 # DEPENDENCYPART_HEADBIGRAM
(1,16),(7,15),0.196505 # DEPENDENCYPART_HEADBIGRAM
(1,16),(9,15),0.081995 # DEPENDENCYPART_HEADBIGRAM
(1,16),(11,15),0.0596766 # DEPENDENCYPART_HEADBIGRAM
(1,16),(12,15),0.0928296 # DEPENDENCYPART_HEADBIGRAM
(1,16),(13,15),0.129095 # DEPENDENCYPART_HEADBIGRAM
(1,16),(17,15),0.103915 # DEPENDENCYPART_HEADBIGRAM
(1,16),(18,15),0.140414 # DEPENDENCYPART_HEADBIGRAM
