# _root_ He said the third-quarter estimate indicates profit for the nine months of $ 4.65 a share , `` almost equal to the full-year 1988 earnings '' of $ 108.6 million , or $ 4.81 a share .
#goldHeads=2,0,5,5,6,2,6,7,11,11,8,7,12,13,16,13,7,20,20,7,20,25,25,25,21,25,25,27,28,28,28,28,32,33,36,33,2,
#predictedHeads=2,0,5,5,6,2,6,7,11,11,8,11,12,13,16,13,13,13,20,13,20,25,25,25,21,25,25,27,28,28,28,28,32,33,36,33,2,
(13,23),(13,24),(13,36),-0.109353 # DEPENDENCYPART_TRISIBL
(13,23),(13,24),(13,38),-0.113262 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,23),(13,25),(13,26),-0.0783819 # DEPENDENCYPART_TRISIBL
(13,23),(13,25),(13,27),-0.0817605 # DEPENDENCYPART_TRISIBL
(13,23),(13,25),(13,28),-0.101846 # DEPENDENCYPART_TRISIBL
(13,23),(13,25),(13,29),-0.102451 # DEPENDENCYPART_TRISIBL
(13,23),(13,25),(13,30),-0.0977515 # DEPENDENCYPART_TRISIBL
(13,23),(13,25),(13,31),-0.0681031 # DEPENDENCYPART_TRISIBL
(13,23),(13,25),(13,32),-0.0900177 # DEPENDENCYPART_TRISIBL
(13,23),(13,25),(13,33),-0.101846 # DEPENDENCYPART_TRISIBL
(13,23),(13,25),(13,34),-0.102451 # DEPENDENCYPART_TRISIBL
(13,23),(13,25),(13,36),-0.112768 # DEPENDENCYPART_TRISIBL
(13,23),(13,25),(13,38),-0.0804025 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,23),(13,26),(13,27),-0.0852561 # DEPENDENCYPART_TRISIBL
(13,23),(13,26),(13,28),-0.101455 # DEPENDENCYPART_TRISIBL
(13,23),(13,26),(13,29),-0.102473 # DEPENDENCYPART_TRISIBL
(13,23),(13,26),(13,30),-0.0977735 # DEPENDENCYPART_TRISIBL
(13,23),(13,26),(13,31),-0.0629976 # DEPENDENCYPART_TRISIBL
(13,23),(13,26),(13,32),-0.0868865 # DEPENDENCYPART_TRISIBL
(13,23),(13,26),(13,33),-0.101455 # DEPENDENCYPART_TRISIBL
(13,23),(13,26),(13,34),-0.102473 # DEPENDENCYPART_TRISIBL
(13,23),(13,26),(13,36),-0.0958302 # DEPENDENCYPART_TRISIBL
(13,23),(13,26),(13,38),-0.103196 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,23),(13,27),(13,28),-0.104819 # DEPENDENCYPART_TRISIBL
(13,23),(13,27),(13,29),-0.108296 # DEPENDENCYPART_TRISIBL
(13,23),(13,27),(13,30),-0.104304 # DEPENDENCYPART_TRISIBL
(13,23),(13,27),(13,31),-0.0365065 # DEPENDENCYPART_TRISIBL
(13,23),(13,27),(13,32),-0.0852631 # DEPENDENCYPART_TRISIBL
(13,23),(13,27),(13,33),-0.104819 # DEPENDENCYPART_TRISIBL
(13,23),(13,27),(13,34),-0.108296 # DEPENDENCYPART_TRISIBL
(13,23),(13,27),(13,36),-0.12244 # DEPENDENCYPART_TRISIBL
(13,23),(13,27),(13,38),-0.0316745 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,23),(13,28),(13,29),-0.10691 # DEPENDENCYPART_TRISIBL
(13,23),(13,28),(13,30),-0.102295 # DEPENDENCYPART_TRISIBL
(13,23),(13,28),(13,31),-0.0647102 # DEPENDENCYPART_TRISIBL
(13,23),(13,28),(13,32),-0.092043 # DEPENDENCYPART_TRISIBL
(13,23),(13,28),(13,33),-0.101561 # DEPENDENCYPART_TRISIBL
(13,23),(13,28),(13,34),-0.10691 # DEPENDENCYPART_TRISIBL
(13,23),(13,28),(13,36),-0.109688 # DEPENDENCYPART_TRISIBL
(13,23),(13,28),(13,38),-0.11175 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,23),(13,29),(13,30),-0.0977815 # DEPENDENCYPART_TRISIBL
(13,23),(13,29),(13,31),-0.0660018 # DEPENDENCYPART_TRISIBL
(13,23),(13,29),(13,32),-0.0920667 # DEPENDENCYPART_TRISIBL
(13,23),(13,29),(13,33),-0.101455 # DEPENDENCYPART_TRISIBL
(13,23),(13,29),(13,34),-0.102476 # DEPENDENCYPART_TRISIBL
(13,23),(13,29),(13,36),-0.109353 # DEPENDENCYPART_TRISIBL
(13,23),(13,29),(13,38),-0.113248 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,23),(13,30),(13,31),-0.0660174 # DEPENDENCYPART_TRISIBL
(13,23),(13,30),(13,32),-0.0920667 # DEPENDENCYPART_TRISIBL
(13,23),(13,30),(13,33),-0.101455 # DEPENDENCYPART_TRISIBL
(13,23),(13,30),(13,34),-0.102476 # DEPENDENCYPART_TRISIBL
(13,23),(13,30),(13,36),-0.109369 # DEPENDENCYPART_TRISIBL
(13,23),(13,30),(13,38),-0.113285 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,23),(13,31),(13,32),-0.106588 # DEPENDENCYPART_TRISIBL
(13,23),(13,31),(13,33),-0.124716 # DEPENDENCYPART_TRISIBL
(13,23),(13,31),(13,34),-0.123372 # DEPENDENCYPART_TRISIBL
(13,23),(13,31),(13,36),-0.118683 # DEPENDENCYPART_TRISIBL
(13,23),(13,31),(13,38),-0.0297732 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,23),(13,32),(13,33),-0.103026 # DEPENDENCYPART_TRISIBL
(13,23),(13,32),(13,34),-0.102502 # DEPENDENCYPART_TRISIBL
(13,23),(13,32),(13,36),-0.113587 # DEPENDENCYPART_TRISIBL
(13,23),(13,32),(13,38),-0.0896213 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,23),(13,33),(13,34),-0.10691 # DEPENDENCYPART_TRISIBL
(13,23),(13,33),(13,36),-0.109688 # DEPENDENCYPART_TRISIBL
(13,23),(13,33),(13,38),-0.11175 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,23),(13,34),(13,36),-0.109353 # DEPENDENCYPART_TRISIBL
(13,23),(13,34),(13,38),-0.113248 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,23),(13,36),(13,38),-0.0906817 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,24),(13,25),(13,26),-0.0902559 # DEPENDENCYPART_TRISIBL
(13,24),(13,25),(13,27),-0.0338191 # DEPENDENCYPART_TRISIBL
(13,24),(13,25),(13,28),-0.0764026 # DEPENDENCYPART_TRISIBL
(13,24),(13,25),(13,29),-0.173977 # DEPENDENCYPART_TRISIBL
(13,24),(13,25),(13,30),-0.179903 # DEPENDENCYPART_TRISIBL
(13,24),(13,25),(13,31),-0.11648 # DEPENDENCYPART_TRISIBL
(13,24),(13,25),(13,32),0.046102 # DEPENDENCYPART_TRISIBL
(13,24),(13,25),(13,33),-0.0764026 # DEPENDENCYPART_TRISIBL
(13,24),(13,25),(13,34),-0.173977 # DEPENDENCYPART_TRISIBL
(13,24),(13,25),(13,36),-0.131326 # DEPENDENCYPART_TRISIBL
(13,24),(13,25),(13,38),-0.103292 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,24),(13,26),(13,27),-0.019592 # DEPENDENCYPART_TRISIBL
(13,24),(13,26),(13,28),-0.0745541 # DEPENDENCYPART_TRISIBL
(13,24),(13,26),(13,29),-0.173755 # DEPENDENCYPART_TRISIBL
(13,24),(13,26),(13,30),-0.179681 # DEPENDENCYPART_TRISIBL
(13,24),(13,26),(13,31),-0.100587 # DEPENDENCYPART_TRISIBL
(13,24),(13,26),(13,32),0.0486155 # DEPENDENCYPART_TRISIBL
(13,24),(13,26),(13,33),-0.0745541 # DEPENDENCYPART_TRISIBL
(13,24),(13,26),(13,34),-0.173755 # DEPENDENCYPART_TRISIBL
(13,24),(13,26),(13,36),-0.127524 # DEPENDENCYPART_TRISIBL
(13,24),(13,26),(13,38),-0.123635 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,24),(13,27),(13,28),-0.151726 # DEPENDENCYPART_TRISIBL
(13,24),(13,27),(13,29),-0.23409 # DEPENDENCYPART_TRISIBL
(13,24),(13,27),(13,30),-0.240234 # DEPENDENCYPART_TRISIBL
(13,24),(13,27),(13,31),0.0174647 # DEPENDENCYPART_TRISIBL
(13,24),(13,27),(13,32),0.110234 # DEPENDENCYPART_TRISIBL
(13,24),(13,27),(13,33),-0.151726 # DEPENDENCYPART_TRISIBL
(13,24),(13,27),(13,34),-0.23409 # DEPENDENCYPART_TRISIBL
(13,24),(13,27),(13,36),-0.122915 # DEPENDENCYPART_TRISIBL
(13,24),(13,27),(13,38),-0.100165 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,24),(13,28),(13,29),-0.217724 # DEPENDENCYPART_TRISIBL
(13,24),(13,28),(13,30),-0.22365 # DEPENDENCYPART_TRISIBL
(13,24),(13,28),(13,31),-0.113879 # DEPENDENCYPART_TRISIBL
(13,24),(13,28),(13,32),0.0574968 # DEPENDENCYPART_TRISIBL
(13,24),(13,28),(13,33),-0.0803993 # DEPENDENCYPART_TRISIBL
(13,24),(13,28),(13,34),-0.217724 # DEPENDENCYPART_TRISIBL
(13,24),(13,28),(13,36),-0.115025 # DEPENDENCYPART_TRISIBL
(13,24),(13,28),(13,38),-0.157888 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,24),(13,29),(13,30),-0.256167 # DEPENDENCYPART_TRISIBL
(13,24),(13,29),(13,31),-0.151024 # DEPENDENCYPART_TRISIBL
(13,24),(13,29),(13,32),0.0183603 # DEPENDENCYPART_TRISIBL
(13,24),(13,29),(13,33),-0.105648 # DEPENDENCYPART_TRISIBL
(13,24),(13,29),(13,34),-0.247803 # DEPENDENCYPART_TRISIBL
(13,24),(13,29),(13,36),-0.142284 # DEPENDENCYPART_TRISIBL
(13,24),(13,29),(13,38),-0.0534802 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,24),(13,30),(13,31),-0.172666 # DEPENDENCYPART_TRISIBL
(13,24),(13,30),(13,32),0.0139873 # DEPENDENCYPART_TRISIBL
(13,24),(13,30),(13,33),-0.105686 # DEPENDENCYPART_TRISIBL
(13,24),(13,30),(13,34),-0.262259 # DEPENDENCYPART_TRISIBL
(13,24),(13,30),(13,36),-0.153519 # DEPENDENCYPART_TRISIBL
(13,24),(13,30),(13,38),0.0179392 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,24),(13,31),(13,32),0.16146 # DEPENDENCYPART_TRISIBL
(13,24),(13,31),(13,33),-0.0753211 # DEPENDENCYPART_TRISIBL
(13,24),(13,31),(13,34),-0.17182 # DEPENDENCYPART_TRISIBL
(13,24),(13,31),(13,36),-0.171781 # DEPENDENCYPART_TRISIBL
(13,24),(13,31),(13,38),-0.436778 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,24),(13,32),(13,33),-0.121504 # DEPENDENCYPART_TRISIBL
(13,24),(13,32),(13,34),-0.179535 # DEPENDENCYPART_TRISIBL
(13,24),(13,32),(13,36),-0.0824734 # DEPENDENCYPART_TRISIBL
(13,24),(13,32),(13,38),-0.148648 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,24),(13,33),(13,34),-0.217724 # DEPENDENCYPART_TRISIBL
(13,24),(13,33),(13,36),-0.115025 # DEPENDENCYPART_TRISIBL
(13,24),(13,33),(13,38),-0.157888 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,24),(13,34),(13,36),-0.142284 # DEPENDENCYPART_TRISIBL
(13,24),(13,34),(13,38),-0.0534802 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,24),(13,36),(13,38),-0.0179593 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,25),(13,26),(13,27),-0.0421758 # DEPENDENCYPART_TRISIBL
(13,25),(13,26),(13,28),-0.113576 # DEPENDENCYPART_TRISIBL
(13,25),(13,26),(13,29),-0.0976298 # DEPENDENCYPART_TRISIBL
(13,25),(13,26),(13,30),-0.0982292 # DEPENDENCYPART_TRISIBL
(13,25),(13,26),(13,31),0.00179239 # DEPENDENCYPART_TRISIBL
(13,25),(13,26),(13,32),-0.107532 # DEPENDENCYPART_TRISIBL
(13,25),(13,26),(13,33),-0.113576 # DEPENDENCYPART_TRISIBL
(13,25),(13,26),(13,34),-0.0976298 # DEPENDENCYPART_TRISIBL
(13,25),(13,26),(13,36),-0.123206 # DEPENDENCYPART_TRISIBL
(13,25),(13,26),(13,38),-0.115456 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,25),(13,27),(13,28),-0.118698 # DEPENDENCYPART_TRISIBL
(13,25),(13,27),(13,29),-0.0943914 # DEPENDENCYPART_TRISIBL
(13,25),(13,27),(13,30),-0.094993 # DEPENDENCYPART_TRISIBL
(13,25),(13,27),(13,31),0.0347674 # DEPENDENCYPART_TRISIBL
(13,25),(13,27),(13,32),-0.106857 # DEPENDENCYPART_TRISIBL
(13,25),(13,27),(13,33),-0.118698 # DEPENDENCYPART_TRISIBL
(13,25),(13,27),(13,34),-0.0943914 # DEPENDENCYPART_TRISIBL
(13,25),(13,27),(13,36),-0.140441 # DEPENDENCYPART_TRISIBL
(13,25),(13,27),(13,38),-0.139421 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,25),(13,28),(13,29),-0.0977286 # DEPENDENCYPART_TRISIBL
(13,25),(13,28),(13,30),-0.098328 # DEPENDENCYPART_TRISIBL
(13,25),(13,28),(13,31),0.0150822 # DEPENDENCYPART_TRISIBL
(13,25),(13,28),(13,32),-0.107067 # DEPENDENCYPART_TRISIBL
(13,25),(13,28),(13,33),-0.11348 # DEPENDENCYPART_TRISIBL
(13,25),(13,28),(13,34),-0.0977286 # DEPENDENCYPART_TRISIBL
(13,25),(13,28),(13,36),-0.116844 # DEPENDENCYPART_TRISIBL
(13,25),(13,28),(13,38),-0.13247 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,25),(13,29),(13,30),-0.0994394 # DEPENDENCYPART_TRISIBL
(13,25),(13,29),(13,31),0.0153391 # DEPENDENCYPART_TRISIBL
(13,25),(13,29),(13,32),-0.103726 # DEPENDENCYPART_TRISIBL
(13,25),(13,29),(13,33),-0.113415 # DEPENDENCYPART_TRISIBL
(13,25),(13,29),(13,34),-0.0988401 # DEPENDENCYPART_TRISIBL
(13,25),(13,29),(13,36),-0.123239 # DEPENDENCYPART_TRISIBL
(13,25),(13,29),(13,38),-0.126838 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,25),(13,30),(13,31),0.0153226 # DEPENDENCYPART_TRISIBL
(13,25),(13,30),(13,32),-0.103726 # DEPENDENCYPART_TRISIBL
(13,25),(13,30),(13,33),-0.113415 # DEPENDENCYPART_TRISIBL
(13,25),(13,30),(13,34),-0.0988401 # DEPENDENCYPART_TRISIBL
(13,25),(13,30),(13,36),-0.123239 # DEPENDENCYPART_TRISIBL
(13,25),(13,30),(13,38),-0.126884 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,25),(13,31),(13,32),-0.144105 # DEPENDENCYPART_TRISIBL
(13,25),(13,31),(13,33),-0.128919 # DEPENDENCYPART_TRISIBL
(13,25),(13,31),(13,34),-0.111196 # DEPENDENCYPART_TRISIBL
(13,25),(13,31),(13,36),-0.164299 # DEPENDENCYPART_TRISIBL
(13,25),(13,31),(13,38),-0.15582 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,25),(13,32),(13,33),-0.113435 # DEPENDENCYPART_TRISIBL
(13,25),(13,32),(13,34),-0.0977225 # DEPENDENCYPART_TRISIBL
(13,25),(13,32),(13,36),-0.137635 # DEPENDENCYPART_TRISIBL
(13,25),(13,32),(13,38),-0.103822 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,25),(13,33),(13,34),-0.0977286 # DEPENDENCYPART_TRISIBL
(13,25),(13,33),(13,36),-0.116844 # DEPENDENCYPART_TRISIBL
(13,25),(13,33),(13,38),-0.13247 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,25),(13,34),(13,36),-0.123239 # DEPENDENCYPART_TRISIBL
(13,25),(13,34),(13,38),-0.126838 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,25),(13,36),(13,38),-0.11904 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,26),(13,27),(13,28),-0.0919626 # DEPENDENCYPART_TRISIBL
(13,26),(13,27),(13,29),-0.0890333 # DEPENDENCYPART_TRISIBL
(13,26),(13,27),(13,30),-0.0890333 # DEPENDENCYPART_TRISIBL
(13,26),(13,27),(13,31),0.0565231 # DEPENDENCYPART_TRISIBL
(13,26),(13,27),(13,32),-0.0839904 # DEPENDENCYPART_TRISIBL
(13,26),(13,27),(13,33),-0.0919626 # DEPENDENCYPART_TRISIBL
(13,26),(13,27),(13,34),-0.0890333 # DEPENDENCYPART_TRISIBL
(13,26),(13,27),(13,36),-0.0638535 # DEPENDENCYPART_TRISIBL
(13,26),(13,27),(13,38),-0.065408 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,26),(13,28),(13,29),-0.0878004 # DEPENDENCYPART_TRISIBL
(13,26),(13,28),(13,30),-0.0878004 # DEPENDENCYPART_TRISIBL
(13,26),(13,28),(13,31),0.0468143 # DEPENDENCYPART_TRISIBL
(13,26),(13,28),(13,32),-0.0912636 # DEPENDENCYPART_TRISIBL
(13,26),(13,28),(13,33),-0.0919625 # DEPENDENCYPART_TRISIBL
(13,26),(13,28),(13,34),-0.0878004 # DEPENDENCYPART_TRISIBL
(13,26),(13,28),(13,36),-0.0534465 # DEPENDENCYPART_TRISIBL
(13,26),(13,28),(13,38),-0.109118 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,26),(13,29),(13,30),-0.08789 # DEPENDENCYPART_TRISIBL
(13,26),(13,29),(13,31),0.0582001 # DEPENDENCYPART_TRISIBL
(13,26),(13,29),(13,32),-0.0925571 # DEPENDENCYPART_TRISIBL
(13,26),(13,29),(13,33),-0.0919625 # DEPENDENCYPART_TRISIBL
(13,26),(13,29),(13,34),-0.08789 # DEPENDENCYPART_TRISIBL
(13,26),(13,29),(13,36),-0.0545761 # DEPENDENCYPART_TRISIBL
(13,26),(13,29),(13,38),-0.0845695 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,26),(13,30),(13,31),0.0582001 # DEPENDENCYPART_TRISIBL
(13,26),(13,30),(13,32),-0.0925571 # DEPENDENCYPART_TRISIBL
(13,26),(13,30),(13,33),-0.0919625 # DEPENDENCYPART_TRISIBL
(13,26),(13,30),(13,34),-0.08789 # DEPENDENCYPART_TRISIBL
(13,26),(13,30),(13,36),-0.0545761 # DEPENDENCYPART_TRISIBL
(13,26),(13,30),(13,38),-0.0845695 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,26),(13,31),(13,32),-0.100946 # DEPENDENCYPART_TRISIBL
(13,26),(13,31),(13,33),-0.0947389 # DEPENDENCYPART_TRISIBL
(13,26),(13,31),(13,34),-0.088095 # DEPENDENCYPART_TRISIBL
(13,26),(13,31),(13,36),-0.0400443 # DEPENDENCYPART_TRISIBL
(13,26),(13,31),(13,38),-0.192062 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,26),(13,32),(13,33),-0.0919625 # DEPENDENCYPART_TRISIBL
(13,26),(13,32),(13,34),-0.0767721 # DEPENDENCYPART_TRISIBL
(13,26),(13,32),(13,36),-0.0587954 # DEPENDENCYPART_TRISIBL
(13,26),(13,32),(13,38),-0.092279 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,26),(13,33),(13,34),-0.0878004 # DEPENDENCYPART_TRISIBL
(13,26),(13,33),(13,36),-0.0534465 # DEPENDENCYPART_TRISIBL
(13,26),(13,33),(13,38),-0.109118 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,26),(13,34),(13,36),-0.0545761 # DEPENDENCYPART_TRISIBL
(13,26),(13,34),(13,38),-0.0845695 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,26),(13,36),(13,38),-0.0952613 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,27),(13,28),(13,29),-0.0577845 # DEPENDENCYPART_TRISIBL
(13,27),(13,28),(13,30),-0.040147 # DEPENDENCYPART_TRISIBL
(13,27),(13,28),(13,31),-0.0244648 # DEPENDENCYPART_TRISIBL
(13,27),(13,28),(13,32),-0.0213235 # DEPENDENCYPART_TRISIBL
(13,27),(13,28),(13,33),-0.0366707 # DEPENDENCYPART_TRISIBL
(13,27),(13,28),(13,34),-0.0577845 # DEPENDENCYPART_TRISIBL
(13,27),(13,28),(13,36),-0.0656591 # DEPENDENCYPART_TRISIBL
(13,27),(13,28),(13,38),-0.189068 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,27),(13,29),(13,30),-0.0292069 # DEPENDENCYPART_TRISIBL
(13,27),(13,29),(13,31),-0.0269295 # DEPENDENCYPART_TRISIBL
(13,27),(13,29),(13,32),-0.0201135 # DEPENDENCYPART_TRISIBL
(13,27),(13,29),(13,33),-0.0348829 # DEPENDENCYPART_TRISIBL
(13,27),(13,29),(13,34),-0.0630912 # DEPENDENCYPART_TRISIBL
(13,27),(13,29),(13,36),-0.0626284 # DEPENDENCYPART_TRISIBL
(13,27),(13,29),(13,38),-0.162834 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,27),(13,30),(13,31),-0.027539 # DEPENDENCYPART_TRISIBL
(13,27),(13,30),(13,32),-0.0202883 # DEPENDENCYPART_TRISIBL
(13,27),(13,30),(13,33),-0.0348829 # DEPENDENCYPART_TRISIBL
(13,27),(13,30),(13,34),-0.0631059 # DEPENDENCYPART_TRISIBL
(13,27),(13,30),(13,36),-0.0629351 # DEPENDENCYPART_TRISIBL
(13,27),(13,30),(13,38),-0.168901 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,27),(13,31),(13,32),0.0389387 # DEPENDENCYPART_TRISIBL
(13,27),(13,31),(13,33),0.0105043 # DEPENDENCYPART_TRISIBL
(13,27),(13,31),(13,34),-0.0640545 # DEPENDENCYPART_TRISIBL
(13,27),(13,31),(13,36),0.136709 # DEPENDENCYPART_TRISIBL
(13,27),(13,31),(13,38),-0.352563 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,27),(13,32),(13,33),-0.0354953 # DEPENDENCYPART_TRISIBL
(13,27),(13,32),(13,34),-0.062092 # DEPENDENCYPART_TRISIBL
(13,27),(13,32),(13,36),-0.0594603 # DEPENDENCYPART_TRISIBL
(13,27),(13,32),(13,38),-0.0705988 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,27),(13,33),(13,34),-0.0577845 # DEPENDENCYPART_TRISIBL
(13,27),(13,33),(13,36),-0.0656591 # DEPENDENCYPART_TRISIBL
(13,27),(13,33),(13,38),-0.189068 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,27),(13,34),(13,36),-0.0626284 # DEPENDENCYPART_TRISIBL
(13,27),(13,34),(13,38),-0.162834 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,27),(13,36),(13,38),-0.0899111 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,28),(13,29),(13,30),0.226705 # DEPENDENCYPART_TRISIBL
(13,28),(13,29),(13,31),-0.0634564 # DEPENDENCYPART_TRISIBL
(13,28),(13,29),(13,32),-0.071098 # DEPENDENCYPART_TRISIBL
(13,28),(13,29),(13,33),-0.120649 # DEPENDENCYPART_TRISIBL
(13,28),(13,29),(13,34),0.162953 # DEPENDENCYPART_TRISIBL
(13,28),(13,29),(13,36),0.0196956 # DEPENDENCYPART_TRISIBL
(13,28),(13,29),(13,38),-0.226571 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,28),(13,30),(13,31),-0.0652275 # DEPENDENCYPART_TRISIBL
(13,28),(13,30),(13,32),-0.0711058 # DEPENDENCYPART_TRISIBL
(13,28),(13,30),(13,33),-0.120649 # DEPENDENCYPART_TRISIBL
(13,28),(13,30),(13,34),0.162369 # DEPENDENCYPART_TRISIBL
(13,28),(13,30),(13,36),0.016559 # DEPENDENCYPART_TRISIBL
(13,28),(13,30),(13,38),-0.232287 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,28),(13,31),(13,32),-0.0736567 # DEPENDENCYPART_TRISIBL
(13,28),(13,31),(13,33),-0.134844 # DEPENDENCYPART_TRISIBL
(13,28),(13,31),(13,34),0.000780938 # DEPENDENCYPART_TRISIBL
(13,28),(13,31),(13,36),-0.0674138 # DEPENDENCYPART_TRISIBL
(13,28),(13,31),(13,38),-0.208063 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,28),(13,32),(13,33),-0.120012 # DEPENDENCYPART_TRISIBL
(13,28),(13,32),(13,34),0.00419908 # DEPENDENCYPART_TRISIBL
(13,28),(13,32),(13,36),-0.0503268 # DEPENDENCYPART_TRISIBL
(13,28),(13,32),(13,38),-0.165119 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,28),(13,33),(13,34),0.00381496 # DEPENDENCYPART_TRISIBL
(13,28),(13,33),(13,36),-0.051446 # DEPENDENCYPART_TRISIBL
(13,28),(13,33),(13,38),-0.181366 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,28),(13,34),(13,36),0.0196956 # DEPENDENCYPART_TRISIBL
(13,28),(13,34),(13,38),-0.226571 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,28),(13,36),(13,38),-0.145338 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,29),(13,30),(13,31),-0.172649 # DEPENDENCYPART_TRISIBL
(13,29),(13,30),(13,32),0.0149629 # DEPENDENCYPART_TRISIBL
(13,29),(13,30),(13,33),-0.105677 # DEPENDENCYPART_TRISIBL
(13,29),(13,30),(13,34),-0.262254 # DEPENDENCYPART_TRISIBL
(13,29),(13,30),(13,36),-0.151909 # DEPENDENCYPART_TRISIBL
(13,29),(13,30),(13,38),0.0227494 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,29),(13,31),(13,32),0.163381 # DEPENDENCYPART_TRISIBL
(13,29),(13,31),(13,33),-0.0753031 # DEPENDENCYPART_TRISIBL
(13,29),(13,31),(13,34),-0.171811 # DEPENDENCYPART_TRISIBL
(13,29),(13,31),(13,36),-0.169287 # DEPENDENCYPART_TRISIBL
(13,29),(13,31),(13,38),-0.428605 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,29),(13,32),(13,33),-0.121495 # DEPENDENCYPART_TRISIBL
(13,29),(13,32),(13,34),-0.17953 # DEPENDENCYPART_TRISIBL
(13,29),(13,32),(13,36),-0.0808641 # DEPENDENCYPART_TRISIBL
(13,29),(13,32),(13,38),-0.143683 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,29),(13,33),(13,34),-0.217719 # DEPENDENCYPART_TRISIBL
(13,29),(13,33),(13,36),-0.113416 # DEPENDENCYPART_TRISIBL
(13,29),(13,33),(13,38),-0.153083 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,29),(13,34),(13,36),-0.140675 # DEPENDENCYPART_TRISIBL
(13,29),(13,34),(13,38),-0.0486699 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,29),(13,36),(13,38),-0.0118559 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,30),(13,31),(13,32),0.281922 # DEPENDENCYPART_TRISIBL
(13,30),(13,31),(13,33),-0.0803114 # DEPENDENCYPART_TRISIBL
(13,30),(13,31),(13,34),-0.210537 # DEPENDENCYPART_TRISIBL
(13,30),(13,31),(13,36),-0.162338 # DEPENDENCYPART_TRISIBL
(13,30),(13,31),(13,38),-0.46385 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,30),(13,32),(13,33),-0.12688 # DEPENDENCYPART_TRISIBL
(13,30),(13,32),(13,34),-0.212059 # DEPENDENCYPART_TRISIBL
