# _root_ BMA 's investment banker , Alex . Brown & Sons Inc. , has been authorized to contact possible buyers for the unit .
#goldHeads=4,1,4,13,4,8,8,4,8,9,10,4,0,13,14,15,16,19,17,19,22,20,13,
#predictedHeads=4,1,4,13,4,8,8,4,8,9,10,4,0,13,14,15,16,19,17,19,22,20,13,
(1,6),(14,5),0.152484 # DEPENDENCYPART_HEADBIGRAM
(1,6),(15,5),0.152943 # DEPENDENCYPART_HEADBIGRAM
(1,7),(1,6),0.0384338 # DEPENDENCYPART_HEADBIGRAM
(1,7),(3,6),0.0632263 # DEPENDENCYPART_HEADBIGRAM
(1,7),(4,6),0.0402717 # DEPENDENCYPART_HEADBIGRAM
(1,7),(8,6),0.191103 # DEPENDENCYPART_HEADBIGRAM
(1,7),(10,6),0.181841 # DEPENDENCYPART_HEADBIGRAM
(1,7),(11,6),0.190409 # DEPENDENCYPART_HEADBIGRAM
(1,7),(13,6),0.173798 # DEPENDENCYPART_HEADBIGRAM
(1,7),(14,6),0.173601 # DEPENDENCYPART_HEADBIGRAM
(1,7),(15,6),0.172987 # DEPENDENCYPART_HEADBIGRAM
(1,7),(19,6),0.173477 # DEPENDENCYPART_HEADBIGRAM
(1,8),(0,7),-0.0619043 # DEPENDENCYPART_HEADBIGRAM
(1,8),(1,7),0.105265 # DEPENDENCYPART_HEADBIGRAM
(1,8),(4,7),0.0715333 # DEPENDENCYPART_HEADBIGRAM
(1,8),(6,7),0.0822538 # DEPENDENCYPART_HEADBIGRAM
(1,8),(8,7),0.160284 # DEPENDENCYPART_HEADBIGRAM
(1,8),(10,7),0.184825 # DEPENDENCYPART_HEADBIGRAM
(1,8),(11,7),0.184825 # DEPENDENCYPART_HEADBIGRAM
(1,8),(13,7),0.163281 # DEPENDENCYPART_HEADBIGRAM
(1,8),(14,7),0.173609 # DEPENDENCYPART_HEADBIGRAM
(1,8),(15,7),0.173609 # DEPENDENCYPART_HEADBIGRAM
(1,9),(1,8),0.0802309 # DEPENDENCYPART_HEADBIGRAM
(1,9),(4,8),0.0648773 # DEPENDENCYPART_HEADBIGRAM
(1,9),(6,8),0.105089 # DEPENDENCYPART_HEADBIGRAM
(1,9),(10,8),0.194615 # DEPENDENCYPART_HEADBIGRAM
(1,9),(11,8),0.187841 # DEPENDENCYPART_HEADBIGRAM
(1,9),(13,8),0.162199 # DEPENDENCYPART_HEADBIGRAM
(1,9),(14,8),0.173456 # DEPENDENCYPART_HEADBIGRAM
(1,9),(15,8),0.173481 # DEPENDENCYPART_HEADBIGRAM
(1,9),(16,8),0.173989 # DEPENDENCYPART_HEADBIGRAM
(1,9),(19,8),0.168662 # DEPENDENCYPART_HEADBIGRAM
(1,11),(4,10),0.0578777 # DEPENDENCYPART_HEADBIGRAM
(1,11),(6,10),0.0741327 # DEPENDENCYPART_HEADBIGRAM
(1,11),(7,10),0.0663816 # DEPENDENCYPART_HEADBIGRAM
(1,11),(8,10),0.0533386 # DEPENDENCYPART_HEADBIGRAM
(1,11),(9,10),-0.0311025 # DEPENDENCYPART_HEADBIGRAM
(1,11),(11,10),0.213049 # DEPENDENCYPART_HEADBIGRAM
(1,11),(13,10),0.191221 # DEPENDENCYPART_HEADBIGRAM
(1,11),(14,10),0.164025 # DEPENDENCYPART_HEADBIGRAM
(1,11),(15,10),0.164025 # DEPENDENCYPART_HEADBIGRAM
(1,11),(19,10),0.170212 # DEPENDENCYPART_HEADBIGRAM
(1,12),(1,11),0.144445 # DEPENDENCYPART_HEADBIGRAM
(1,12),(4,11),0.0526561 # DEPENDENCYPART_HEADBIGRAM
(1,12),(6,11),0.228592 # DEPENDENCYPART_HEADBIGRAM
(1,12),(8,11),0.221372 # DEPENDENCYPART_HEADBIGRAM
(1,12),(9,11),0.196314 # DEPENDENCYPART_HEADBIGRAM
(1,12),(10,11),0.252776 # DEPENDENCYPART_HEADBIGRAM
(1,12),(13,11),0.123839 # DEPENDENCYPART_HEADBIGRAM
(1,12),(14,11),0.159491 # DEPENDENCYPART_HEADBIGRAM
(1,12),(15,11),0.161024 # DEPENDENCYPART_HEADBIGRAM
(1,23),(4,22),0.0245903 # DEPENDENCYPART_HEADBIGRAM
(1,23),(8,22),0.0142437 # DEPENDENCYPART_HEADBIGRAM
(1,23),(14,22),0.109644 # DEPENDENCYPART_HEADBIGRAM
(1,23),(15,22),0.109658 # DEPENDENCYPART_HEADBIGRAM
(1,23),(17,22),0.0121589 # DEPENDENCYPART_HEADBIGRAM
(1,23),(19,22),0.017233 # DEPENDENCYPART_HEADBIGRAM
(1,23),(20,22),0.0777498 # DEPENDENCYPART_HEADBIGRAM
(2,5),(0,4),-0.0755746 # DEPENDENCYPART_HEADBIGRAM
(2,5),(1,4),-0.075761 # DEPENDENCYPART_HEADBIGRAM
(2,5),(3,4),0.138957 # DEPENDENCYPART_HEADBIGRAM
(2,5),(6,4),0.130248 # DEPENDENCYPART_HEADBIGRAM
(2,5),(8,4),0.143414 # DEPENDENCYPART_HEADBIGRAM
(2,5),(11,4),0.165859 # DEPENDENCYPART_HEADBIGRAM
(2,5),(13,4),0.165826 # DEPENDENCYPART_HEADBIGRAM
(2,5),(14,4),0.162256 # DEPENDENCYPART_HEADBIGRAM
(2,5),(15,4),0.167183 # DEPENDENCYPART_HEADBIGRAM
(2,5),(17,4),0.170319 # DEPENDENCYPART_HEADBIGRAM
(3,4),(1,3),-0.0669779 # DEPENDENCYPART_HEADBIGRAM
(3,4),(4,3),-0.0205973 # DEPENDENCYPART_HEADBIGRAM
(3,4),(6,3),0.195992 # DEPENDENCYPART_HEADBIGRAM
(3,4),(8,3),0.195992 # DEPENDENCYPART_HEADBIGRAM
(3,4),(13,3),0.134609 # DEPENDENCYPART_HEADBIGRAM
(3,5),(0,4),-0.0628217 # DEPENDENCYPART_HEADBIGRAM
(3,5),(1,4),-0.0687978 # DEPENDENCYPART_HEADBIGRAM
(3,5),(3,4),0.0111965 # DEPENDENCYPART_HEADBIGRAM
(3,5),(6,4),0.164788 # DEPENDENCYPART_HEADBIGRAM
(3,5),(8,4),0.150336 # DEPENDENCYPART_HEADBIGRAM
(3,5),(11,4),0.163253 # DEPENDENCYPART_HEADBIGRAM
(3,5),(13,4),0.148926 # DEPENDENCYPART_HEADBIGRAM
(3,5),(14,4),0.167735 # DEPENDENCYPART_HEADBIGRAM
(3,5),(15,4),0.173701 # DEPENDENCYPART_HEADBIGRAM
(3,5),(17,4),0.175553 # DEPENDENCYPART_HEADBIGRAM
(3,6),(1,5),-0.0111237 # DEPENDENCYPART_HEADBIGRAM
(3,6),(2,5),-0.0716318 # DEPENDENCYPART_HEADBIGRAM
(3,6),(3,5),0.136915 # DEPENDENCYPART_HEADBIGRAM
(3,6),(4,5),0.0584763 # DEPENDENCYPART_HEADBIGRAM
(3,6),(6,5),0.278298 # DEPENDENCYPART_HEADBIGRAM
(3,6),(7,5),0.173369 # DEPENDENCYPART_HEADBIGRAM
(3,6),(8,5),0.237218 # DEPENDENCYPART_HEADBIGRAM
(3,6),(13,5),0.157134 # DEPENDENCYPART_HEADBIGRAM
(3,6),(14,5),0.174236 # DEPENDENCYPART_HEADBIGRAM
(3,6),(15,5),0.174254 # DEPENDENCYPART_HEADBIGRAM
(3,12),(1,11),-0.0260215 # DEPENDENCYPART_HEADBIGRAM
(3,12),(4,11),0.0582962 # DEPENDENCYPART_HEADBIGRAM
(3,12),(6,11),0.186475 # DEPENDENCYPART_HEADBIGRAM
(3,12),(8,11),0.195135 # DEPENDENCYPART_HEADBIGRAM
(3,12),(9,11),0.148315 # DEPENDENCYPART_HEADBIGRAM
(3,12),(10,11),0.250218 # DEPENDENCYPART_HEADBIGRAM
(3,12),(13,11),0.132503 # DEPENDENCYPART_HEADBIGRAM
(3,12),(14,11),0.172469 # DEPENDENCYPART_HEADBIGRAM
(3,12),(15,11),0.172549 # DEPENDENCYPART_HEADBIGRAM
(4,2),(3,1),-0.0877815 # DEPENDENCYPART_HEADBIGRAM
(4,2),(4,1),0.143694 # DEPENDENCYPART_HEADBIGRAM
(4,2),(6,1),0.0912693 # DEPENDENCYPART_HEADBIGRAM
(4,2),(8,1),0.0890435 # DEPENDENCYPART_HEADBIGRAM
(4,2),(10,1),0.0888771 # DEPENDENCYPART_HEADBIGRAM
(4,2),(13,1),0.08647 # DEPENDENCYPART_HEADBIGRAM
(4,2),(19,1),0.0935922 # DEPENDENCYPART_HEADBIGRAM
(4,3),(1,2),-0.166239 # DEPENDENCYPART_HEADBIGRAM
(4,3),(4,2),0.0766949 # DEPENDENCYPART_HEADBIGRAM
(4,5),(0,4),0.0238725 # DEPENDENCYPART_HEADBIGRAM
(4,5),(1,4),-0.00123848 # DEPENDENCYPART_HEADBIGRAM
(4,5),(3,4),0.042961 # DEPENDENCYPART_HEADBIGRAM
(4,5),(6,4),-0.0072359 # DEPENDENCYPART_HEADBIGRAM
(4,5),(8,4),0.0560326 # DEPENDENCYPART_HEADBIGRAM
(4,5),(11,4),0.231785 # DEPENDENCYPART_HEADBIGRAM
(4,5),(13,4),0.321262 # DEPENDENCYPART_HEADBIGRAM
(4,5),(14,4),0.291507 # DEPENDENCYPART_HEADBIGRAM
(4,5),(15,4),0.317155 # DEPENDENCYPART_HEADBIGRAM
(4,5),(17,4),0.29249 # DEPENDENCYPART_HEADBIGRAM
(4,6),(1,5),-0.00134797 # DEPENDENCYPART_HEADBIGRAM
(4,6),(2,5),-0.0620669 # DEPENDENCYPART_HEADBIGRAM
(4,6),(3,5),-0.0626663 # DEPENDENCYPART_HEADBIGRAM
(4,6),(4,5),0.231402 # DEPENDENCYPART_HEADBIGRAM
(4,6),(6,5),0.315303 # DEPENDENCYPART_HEADBIGRAM
(4,6),(7,5),0.174149 # DEPENDENCYPART_HEADBIGRAM
(4,6),(8,5),0.237523 # DEPENDENCYPART_HEADBIGRAM
(4,6),(13,5),0.159328 # DEPENDENCYPART_HEADBIGRAM
(4,6),(14,5),0.176431 # DEPENDENCYPART_HEADBIGRAM
(4,6),(15,5),0.176449 # DEPENDENCYPART_HEADBIGRAM
(4,7),(1,6),-0.0541986 # DEPENDENCYPART_HEADBIGRAM
(4,7),(3,6),-0.0660899 # DEPENDENCYPART_HEADBIGRAM
(4,7),(4,6),0.0799922 # DEPENDENCYPART_HEADBIGRAM
(4,7),(8,6),0.185023 # DEPENDENCYPART_HEADBIGRAM
(4,7),(10,6),0.182989 # DEPENDENCYPART_HEADBIGRAM
(4,7),(11,6),0.182988 # DEPENDENCYPART_HEADBIGRAM
(4,7),(13,6),0.174215 # DEPENDENCYPART_HEADBIGRAM
(4,7),(14,6),0.17367 # DEPENDENCYPART_HEADBIGRAM
(4,7),(15,6),0.17367 # DEPENDENCYPART_HEADBIGRAM
(4,7),(19,6),0.174188 # DEPENDENCYPART_HEADBIGRAM
(4,8),(0,7),-0.0621413 # DEPENDENCYPART_HEADBIGRAM
(4,8),(1,7),-0.0656328 # DEPENDENCYPART_HEADBIGRAM
(4,8),(4,7),0.0782985 # DEPENDENCYPART_HEADBIGRAM
(4,8),(6,7),0.0686699 # DEPENDENCYPART_HEADBIGRAM
(4,8),(8,7),0.224432 # DEPENDENCYPART_HEADBIGRAM
(4,8),(10,7),0.170803 # DEPENDENCYPART_HEADBIGRAM
(4,8),(11,7),0.170803 # DEPENDENCYPART_HEADBIGRAM
(4,8),(13,7),0.171013 # DEPENDENCYPART_HEADBIGRAM
(4,8),(14,7),0.174287 # DEPENDENCYPART_HEADBIGRAM
(4,8),(15,7),0.174287 # DEPENDENCYPART_HEADBIGRAM
(4,9),(1,8),-0.0616324 # DEPENDENCYPART_HEADBIGRAM
(4,9),(4,8),0.061624 # DEPENDENCYPART_HEADBIGRAM
(4,9),(6,8),0.137196 # DEPENDENCYPART_HEADBIGRAM
(4,9),(10,8),0.16782 # DEPENDENCYPART_HEADBIGRAM
(4,9),(11,8),0.191744 # DEPENDENCYPART_HEADBIGRAM
(4,9),(13,8),0.190972 # DEPENDENCYPART_HEADBIGRAM
(4,9),(14,8),0.179635 # DEPENDENCYPART_HEADBIGRAM
(4,9),(15,8),0.179637 # DEPENDENCYPART_HEADBIGRAM
(4,9),(16,8),0.191646 # DEPENDENCYPART_HEADBIGRAM
(4,9),(19,8),0.168031 # DEPENDENCYPART_HEADBIGRAM
(4,10),(1,9),0.0163144 # DEPENDENCYPART_HEADBIGRAM
(4,10),(4,9),0.0586667 # DEPENDENCYPART_HEADBIGRAM
(4,10),(6,9),0.147966 # DEPENDENCYPART_HEADBIGRAM
(4,10),(7,9),0.0713275 # DEPENDENCYPART_HEADBIGRAM
(4,10),(8,9),0.14839 # DEPENDENCYPART_HEADBIGRAM
(4,10),(13,9),0.172189 # DEPENDENCYPART_HEADBIGRAM
(4,11),(4,10),0.112697 # DEPENDENCYPART_HEADBIGRAM
(4,11),(6,10),0.0529164 # DEPENDENCYPART_HEADBIGRAM
(4,11),(7,10),0.066594 # DEPENDENCYPART_HEADBIGRAM
(4,11),(8,10),0.0314433 # DEPENDENCYPART_HEADBIGRAM
(4,11),(9,10),0.0210598 # DEPENDENCYPART_HEADBIGRAM
(4,11),(11,10),0.243189 # DEPENDENCYPART_HEADBIGRAM
(4,11),(13,10),0.172817 # DEPENDENCYPART_HEADBIGRAM
(4,11),(14,10),0.169191 # DEPENDENCYPART_HEADBIGRAM
(4,11),(15,10),0.169863 # DEPENDENCYPART_HEADBIGRAM
(4,11),(19,10),0.172208 # DEPENDENCYPART_HEADBIGRAM
(4,12),(1,11),-0.0260552 # DEPENDENCYPART_HEADBIGRAM
(4,12),(4,11),0.108476 # DEPENDENCYPART_HEADBIGRAM
(4,12),(6,11),0.186866 # DEPENDENCYPART_HEADBIGRAM
(4,12),(8,11),0.195526 # DEPENDENCYPART_HEADBIGRAM
(4,12),(9,11),0.152063 # DEPENDENCYPART_HEADBIGRAM
(4,12),(10,11),0.250609 # DEPENDENCYPART_HEADBIGRAM
(4,12),(13,11),0.132503 # DEPENDENCYPART_HEADBIGRAM
(4,12),(14,11),0.172469 # DEPENDENCYPART_HEADBIGRAM
(4,12),(15,11),0.172549 # DEPENDENCYPART_HEADBIGRAM
(4,13),(1,12),-0.088256 # DEPENDENCYPART_HEADBIGRAM
(4,13),(3,12),-0.0831503 # DEPENDENCYPART_HEADBIGRAM
(4,13),(4,12),0.00143909 # DEPENDENCYPART_HEADBIGRAM
(4,13),(6,12),0.0351999 # DEPENDENCYPART_HEADBIGRAM
(4,13),(8,12),0.0672053 # DEPENDENCYPART_HEADBIGRAM
(4,13),(9,12),0.0909071 # DEPENDENCYPART_HEADBIGRAM
(4,13),(10,12),-0.0139035 # DEPENDENCYPART_HEADBIGRAM
(4,13),(11,12),-0.0139035 # DEPENDENCYPART_HEADBIGRAM
(4,13),(13,12),0.196393 # DEPENDENCYPART_HEADBIGRAM
(4,13),(15,12),0.170449 # DEPENDENCYPART_HEADBIGRAM
(4,14),(0,13),-0.0829097 # DEPENDENCYPART_HEADBIGRAM
(4,14),(4,13),0.0460131 # DEPENDENCYPART_HEADBIGRAM
(4,14),(8,13),0.0663778 # DEPENDENCYPART_HEADBIGRAM
(4,14),(9,13),0.0625039 # DEPENDENCYPART_HEADBIGRAM
(4,14),(10,13),0.0663754 # DEPENDENCYPART_HEADBIGRAM
(4,14),(11,13),0.0699332 # DEPENDENCYPART_HEADBIGRAM
(4,14),(14,13),0.255994 # DEPENDENCYPART_HEADBIGRAM
(4,14),(15,13),0.173351 # DEPENDENCYPART_HEADBIGRAM
(4,15),(0,14),-0.0610905 # DEPENDENCYPART_HEADBIGRAM
(4,15),(4,14),0.072628 # DEPENDENCYPART_HEADBIGRAM
(4,15),(8,14),0.0724434 # DEPENDENCYPART_HEADBIGRAM
(4,15),(9,14),0.0724614 # DEPENDENCYPART_HEADBIGRAM
(4,15),(10,14),0.0724553 # DEPENDENCYPART_HEADBIGRAM
(4,15),(11,14),0.0724553 # DEPENDENCYPART_HEADBIGRAM
(4,15),(13,14),0.0692872 # DEPENDENCYPART_HEADBIGRAM
(4,15),(15,14),0.174146 # DEPENDENCYPART_HEADBIGRAM
(4,15),(19,14),0.174076 # DEPENDENCYPART_HEADBIGRAM
(4,16),(0,15),-0.0633289 # DEPENDENCYPART_HEADBIGRAM
(4,16),(4,15),0.0641847 # DEPENDENCYPART_HEADBIGRAM
(4,16),(8,15),0.0715962 # DEPENDENCYPART_HEADBIGRAM
(4,16),(9,15),0.0714973 # DEPENDENCYPART_HEADBIGRAM
(4,16),(10,15),0.0702545 # DEPENDENCYPART_HEADBIGRAM
(4,16),(13,15),0.0585675 # DEPENDENCYPART_HEADBIGRAM
(4,16),(14,15),0.11887 # DEPENDENCYPART_HEADBIGRAM
(4,16),(16,15),0.174245 # DEPENDENCYPART_HEADBIGRAM
(4,16),(19,15),0.174191 # DEPENDENCYPART_HEADBIGRAM
(4,20),(8,19),0.069049 # DEPENDENCYPART_HEADBIGRAM
(4,20),(9,19),0.12534 # DEPENDENCYPART_HEADBIGRAM
(4,20),(10,19),0.0729284 # DEPENDENCYPART_HEADBIGRAM
(4,20),(13,19),0.0649313 # DEPENDENCYPART_HEADBIGRAM
(4,20),(14,19),0.0749484 # DEPENDENCYPART_HEADBIGRAM
(4,20),(15,19),0.0752512 # DEPENDENCYPART_HEADBIGRAM
(4,20),(16,19),0.154989 # DEPENDENCYPART_HEADBIGRAM
(4,20),(17,19),-0.0304491 # DEPENDENCYPART_HEADBIGRAM
(4,20),(20,19),0.170266 # DEPENDENCYPART_HEADBIGRAM
(4,20),(22,19),0.175399 # DEPENDENCYPART_HEADBIGRAM
(4,22),(20,21),0.0589128 # DEPENDENCYPART_HEADBIGRAM
(4,22),(22,21),0.205034 # DEPENDENCYPART_HEADBIGRAM
(4,23),(4,22),0.0927236 # DEPENDENCYPART_HEADBIGRAM
(4,23),(8,22),0.0571583 # DEPENDENCYPART_HEADBIGRAM
(4,23),(14,22),0.131141 # DEPENDENCYPART_HEADBIGRAM
(4,23),(15,22),0.13503 # DEPENDENCYPART_HEADBIGRAM
(4,23),(17,22),0.0301367 # DEPENDENCYPART_HEADBIGRAM
(4,23),(19,22),0.0166578 # DEPENDENCYPART_HEADBIGRAM
(4,23),(20,22),0.051037 # DEPENDENCYPART_HEADBIGRAM
(6,3),(1,2),-0.237835 # DEPENDENCYPART_HEADBIGRAM
(6,3),(4,2),-0.0854684 # DEPENDENCYPART_HEADBIGRAM
(6,4),(1,3),-0.272774 # DEPENDENCYPART_HEADBIGRAM
(6,4),(4,3),-0.114026 # DEPENDENCYPART_HEADBIGRAM
(6,4),(6,3),0.33049 # DEPENDENCYPART_HEADBIGRAM
(6,4),(8,3),0.0929947 # DEPENDENCYPART_HEADBIGRAM
(6,4),(13,3),0.0805396 # DEPENDENCYPART_HEADBIGRAM
(6,5),(0,4),-0.16384 # DEPENDENCYPART_HEADBIGRAM
(6,5),(1,4),-0.166715 # DEPENDENCYPART_HEADBIGRAM
(6,5),(3,4),-0.128568 # DEPENDENCYPART_HEADBIGRAM
(6,5),(6,4),-0.031286 # DEPENDENCYPART_HEADBIGRAM
(6,5),(8,4),0.100321 # DEPENDENCYPART_HEADBIGRAM
(6,5),(11,4),0.16332 # DEPENDENCYPART_HEADBIGRAM
(6,5),(13,4),0.157554 # DEPENDENCYPART_HEADBIGRAM
(6,5),(14,4),0.170231 # DEPENDENCYPART_HEADBIGRAM
(6,5),(15,4),0.107004 # DEPENDENCYPART_HEADBIGRAM
(6,5),(17,4),0.0981839 # DEPENDENCYPART_HEADBIGRAM
(6,7),(1,6),0.00235236 # DEPENDENCYPART_HEADBIGRAM
(6,7),(3,6),-0.0315149 # DEPENDENCYPART_HEADBIGRAM
(6,7),(4,6),-0.00954997 # DEPENDENCYPART_HEADBIGRAM
(6,7),(8,6),0.221812 # DEPENDENCYPART_HEADBIGRAM
(6,7),(10,6),0.223293 # DEPENDENCYPART_HEADBIGRAM
(6,7),(11,6),0.230078 # DEPENDENCYPART_HEADBIGRAM
(6,7),(13,6),0.17873 # DEPENDENCYPART_HEADBIGRAM
(6,7),(14,6),0.174139 # DEPENDENCYPART_HEADBIGRAM
(6,7),(15,6),0.177175 # DEPENDENCYPART_HEADBIGRAM
(6,7),(19,6),0.174736 # DEPENDENCYPART_HEADBIGRAM
(6,8),(0,7),-0.0614844 # DEPENDENCYPART_HEADBIGRAM
(6,8),(1,7),-0.0505951 # DEPENDENCYPART_HEADBIGRAM
(6,8),(4,7),-0.0619189 # DEPENDENCYPART_HEADBIGRAM
(6,8),(6,7),0.104597 # DEPENDENCYPART_HEADBIGRAM
(6,8),(8,7),0.15541 # DEPENDENCYPART_HEADBIGRAM
(6,8),(10,7),0.184824 # DEPENDENCYPART_HEADBIGRAM
(6,8),(11,7),0.184824 # DEPENDENCYPART_HEADBIGRAM
(6,8),(13,7),0.163281 # DEPENDENCYPART_HEADBIGRAM
(6,8),(14,7),0.173609 # DEPENDENCYPART_HEADBIGRAM
(6,8),(15,7),0.173609 # DEPENDENCYPART_HEADBIGRAM
(6,9),(1,8),-0.0485212 # DEPENDENCYPART_HEADBIGRAM
(6,9),(4,8),-0.0679308 # DEPENDENCYPART_HEADBIGRAM
(6,9),(6,8),0.0599945 # DEPENDENCYPART_HEADBIGRAM
(6,9),(10,8),0.194667 # DEPENDENCYPART_HEADBIGRAM
(6,9),(11,8),0.217813 # DEPENDENCYPART_HEADBIGRAM
(6,9),(13,8),0.192171 # DEPENDENCYPART_HEADBIGRAM
(6,9),(14,8),0.179132 # DEPENDENCYPART_HEADBIGRAM
(6,9),(15,8),0.179158 # DEPENDENCYPART_HEADBIGRAM
(6,9),(16,8),0.179665 # DEPENDENCYPART_HEADBIGRAM
(6,9),(19,8),0.169041 # DEPENDENCYPART_HEADBIGRAM
(6,10),(1,9),0.0502293 # DEPENDENCYPART_HEADBIGRAM
(6,10),(4,9),-0.0712942 # DEPENDENCYPART_HEADBIGRAM
(6,10),(6,9),-0.0245992 # DEPENDENCYPART_HEADBIGRAM
(6,10),(7,9),0.0629092 # DEPENDENCYPART_HEADBIGRAM
(6,10),(8,9),0.153165 # DEPENDENCYPART_HEADBIGRAM
(6,10),(13,9),0.184444 # DEPENDENCYPART_HEADBIGRAM
(6,11),(4,10),-0.0755907 # DEPENDENCYPART_HEADBIGRAM
(6,11),(6,10),0.032668 # DEPENDENCYPART_HEADBIGRAM
(6,11),(7,10),0.0789074 # DEPENDENCYPART_HEADBIGRAM
(6,11),(8,10),0.100546 # DEPENDENCYPART_HEADBIGRAM
(6,11),(9,10),0.0161082 # DEPENDENCYPART_HEADBIGRAM
(6,11),(11,10),0.288808 # DEPENDENCYPART_HEADBIGRAM
(6,11),(13,10),0.189526 # DEPENDENCYPART_HEADBIGRAM
(6,11),(14,10),0.162331 # DEPENDENCYPART_HEADBIGRAM
(6,11),(15,10),0.162331 # DEPENDENCYPART_HEADBIGRAM
(6,11),(19,10),0.169869 # DEPENDENCYPART_HEADBIGRAM
(6,12),(1,11),-0.0174927 # DEPENDENCYPART_HEADBIGRAM
(6,12),(4,11),-0.0951652 # DEPENDENCYPART_HEADBIGRAM
(6,12),(6,11),0.156048 # DEPENDENCYPART_HEADBIGRAM
(6,12),(8,11),0.17533 # DEPENDENCYPART_HEADBIGRAM
(6,12),(9,11),0.196557 # DEPENDENCYPART_HEADBIGRAM
(6,12),(10,11),0.253398 # DEPENDENCYPART_HEADBIGRAM
(6,12),(13,11),0.119533 # DEPENDENCYPART_HEADBIGRAM
(6,12),(14,11),0.153691 # DEPENDENCYPART_HEADBIGRAM
(6,12),(15,11),0.155224 # DEPENDENCYPART_HEADBIGRAM
(7,5),(0,4),-0.160221 # DEPENDENCYPART_HEADBIGRAM
(7,5),(1,4),-0.160221 # DEPENDENCYPART_HEADBIGRAM
(7,5),(3,4),-0.134442 # DEPENDENCYPART_HEADBIGRAM
(7,5),(6,4),-0.10236 # DEPENDENCYPART_HEADBIGRAM
(7,5),(8,4),0.109399 # DEPENDENCYPART_HEADBIGRAM
(7,5),(11,4),0.170031 # DEPENDENCYPART_HEADBIGRAM
(7,5),(13,4),0.170031 # DEPENDENCYPART_HEADBIGRAM
(7,5),(14,4),0.170031 # DEPENDENCYPART_HEADBIGRAM
(7,5),(15,4),0.111567 # DEPENDENCYPART_HEADBIGRAM
(7,5),(17,4),0.111567 # DEPENDENCYPART_HEADBIGRAM
(7,9),(1,8),-0.0614225 # DEPENDENCYPART_HEADBIGRAM
(7,9),(4,8),-0.0651558 # DEPENDENCYPART_HEADBIGRAM
(7,9),(6,8),-0.0452657 # DEPENDENCYPART_HEADBIGRAM
(7,9),(10,8),0.17173 # DEPENDENCYPART_HEADBIGRAM
(7,9),(11,8),0.167618 # DEPENDENCYPART_HEADBIGRAM
(7,9),(13,8),0.167617 # DEPENDENCYPART_HEADBIGRAM
(7,9),(14,8),0.173398 # DEPENDENCYPART_HEADBIGRAM
(7,9),(15,8),0.173398 # DEPENDENCYPART_HEADBIGRAM
(7,9),(16,8),0.173398 # DEPENDENCYPART_HEADBIGRAM
(7,9),(19,8),0.173853 # DEPENDENCYPART_HEADBIGRAM
(7,10),(1,9),-0.0642971 # DEPENDENCYPART_HEADBIGRAM
(7,10),(4,9),-0.0656104 # DEPENDENCYPART_HEADBIGRAM
(7,10),(6,9),-0.0656104 # DEPENDENCYPART_HEADBIGRAM
(7,10),(7,9),0.0656481 # DEPENDENCYPART_HEADBIGRAM
(7,10),(8,9),0.062962 # DEPENDENCYPART_HEADBIGRAM
(7,10),(13,9),0.174293 # DEPENDENCYPART_HEADBIGRAM
(8,3),(1,2),-0.237835 # DEPENDENCYPART_HEADBIGRAM
(8,3),(4,2),-0.085469 # DEPENDENCYPART_HEADBIGRAM
(8,4),(1,3),-0.228562 # DEPENDENCYPART_HEADBIGRAM
(8,4),(4,3),-0.054849 # DEPENDENCYPART_HEADBIGRAM
(8,4),(6,3),-0.0879944 # DEPENDENCYPART_HEADBIGRAM
(8,4),(8,3),0.204872 # DEPENDENCYPART_HEADBIGRAM
(8,4),(13,3),0.081912 # DEPENDENCYPART_HEADBIGRAM
(8,5),(0,4),-0.190548 # DEPENDENCYPART_HEADBIGRAM
(8,5),(1,4),-0.193426 # DEPENDENCYPART_HEADBIGRAM
(8,5),(3,4),-0.151055 # DEPENDENCYPART_HEADBIGRAM
(8,5),(6,4),-0.108014 # DEPENDENCYPART_HEADBIGRAM
(8,5),(8,4),0.0818181 # DEPENDENCYPART_HEADBIGRAM
(8,5),(11,4),0.123117 # DEPENDENCYPART_HEADBIGRAM
(8,5),(13,4),0.117144 # DEPENDENCYPART_HEADBIGRAM
(8,5),(14,4),0.130032 # DEPENDENCYPART_HEADBIGRAM
(8,5),(15,4),0.100332 # DEPENDENCYPART_HEADBIGRAM
(8,5),(17,4),0.0915126 # DEPENDENCYPART_HEADBIGRAM
(8,6),(1,5),-0.130202 # DEPENDENCYPART_HEADBIGRAM
(8,6),(2,5),-0.187616 # DEPENDENCYPART_HEADBIGRAM
(8,6),(3,5),-0.0173999 # DEPENDENCYPART_HEADBIGRAM
(8,6),(4,5),-0.0176477 # DEPENDENCYPART_HEADBIGRAM
(8,6),(6,5),-0.0323308 # DEPENDENCYPART_HEADBIGRAM
(8,6),(7,5),-0.0897642 # DEPENDENCYPART_HEADBIGRAM
(8,6),(8,5),0.18114 # DEPENDENCYPART_HEADBIGRAM
(8,6),(13,5),0.194918 # DEPENDENCYPART_HEADBIGRAM
(8,6),(14,5),0.109193 # DEPENDENCYPART_HEADBIGRAM
(8,6),(15,5),0.110074 # DEPENDENCYPART_HEADBIGRAM
(8,7),(1,6),-0.199722 # DEPENDENCYPART_HEADBIGRAM
(8,7),(3,6),-0.20445 # DEPENDENCYPART_HEADBIGRAM
