# _root_ `` Most of the action was during the night session , '' said Michael Moore , trading manager at Continental Bank .
#goldHeads=6,6,2,5,3,13,6,10,10,7,6,6,0,15,13,15,18,15,18,21,19,13,
#predictedHeads=13,6,2,5,3,13,6,10,10,7,13,13,0,15,13,15,18,15,18,21,19,13,
(20,21),(21,17),(21,15),-0.0641704 # DEPENDENCYPART_GRANDSIBL
(20,21),(21,17),(21,14),-0.0641704 # DEPENDENCYPART_GRANDSIBL
(20,21),(21,17),(21,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(20,21),(21,17),(21,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(20,21),(21,17),(21,-1),-0.0748124 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,21),(21,16),(21,15),-0.0700439 # DEPENDENCYPART_GRANDSIBL
(20,21),(21,16),(21,14),-0.0700439 # DEPENDENCYPART_GRANDSIBL
(20,21),(21,16),(21,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(20,21),(21,16),(21,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(20,21),(21,16),(21,-1),-0.0133961 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,21),(21,15),(21,14),-0.0642456 # DEPENDENCYPART_GRANDSIBL
(20,21),(21,15),(21,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(20,21),(21,15),(21,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(20,21),(21,15),(21,-1),0.00140106 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,21),(21,14),(21,2),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(20,21),(21,14),(21,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(20,21),(21,14),(21,-1),0.00450754 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,21),(21,2),(21,1),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(20,21),(21,2),(21,-1),-0.064342 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,21),(21,1),(21,-1),-0.0639941 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,1),(1,1),(1,2),0.10307 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,1),(1,1),(1,23),-0.0631249 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(21,1),(1,2),(1,23),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,1),(1,1),(1,-1),-0.0381204 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(21,2),(2,2),(2,3),0.0989045 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,2),(2,2),(2,4),0.101043 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,2),(2,2),(2,5),0.101811 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,2),(2,2),(2,6),0.10307 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,2),(2,2),(2,7),0.0998618 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,2),(2,2),(2,10),0.101811 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,2),(2,2),(2,11),0.102326 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,2),(2,2),(2,12),0.10307 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,2),(2,2),(2,13),0.10307 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,2),(2,2),(2,15),0.103034 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,2),(2,2),(2,16),0.102326 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,2),(2,2),(2,18),0.101811 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,2),(2,2),(2,19),0.0998618 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,2),(2,2),(2,21),-0.0641457 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(21,2),(2,2),(2,23),-0.100103 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(21,2),(2,3),(2,4),0.10307 # DEPENDENCYPART_GRANDSIBL
(21,2),(2,3),(2,5),0.10307 # DEPENDENCYPART_GRANDSIBL
(21,2),(2,3),(2,6),0.10307 # DEPENDENCYPART_GRANDSIBL
(21,2),(2,3),(2,7),0.10307 # DEPENDENCYPART_GRANDSIBL
(21,2),(2,3),(2,10),0.10307 # DEPENDENCYPART_GRANDSIBL
(21,2),(2,3),(2,11),0.103069 # DEPENDENCYPART_GRANDSIBL
(21,2),(2,3),(2,12),0.10307 # DEPENDENCYPART_GRANDSIBL
(21,2),(2,3),(2,13),0.10307 # DEPENDENCYPART_GRANDSIBL
(21,2),(2,3),(2,15),0.10307 # DEPENDENCYPART_GRANDSIBL
(21,2),(2,3),(2,16),0.103069 # DEPENDENCYPART_GRANDSIBL
(21,2),(2,3),(2,18),0.10307 # DEPENDENCYPART_GRANDSIBL
(21,2),(2,3),(2,19),0.10307 # DEPENDENCYPART_GRANDSIBL
(21,2),(2,3),(2,21),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,2),(2,3),(2,23),-0.0683157 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,2),(2,4),(2,5),0.10307 # DEPENDENCYPART_GRANDSIBL
(21,2),(2,4),(2,6),0.10307 # DEPENDENCYPART_GRANDSIBL
(21,2),(2,4),(2,7),0.10307 # DEPENDENCYPART_GRANDSIBL
(21,2),(2,4),(2,10),0.10307 # DEPENDENCYPART_GRANDSIBL
(21,2),(2,4),(2,11),0.10307 # DEPENDENCYPART_GRANDSIBL
(21,2),(2,4),(2,12),0.10307 # DEPENDENCYPART_GRANDSIBL
(21,2),(2,4),(2,13),0.10307 # DEPENDENCYPART_GRANDSIBL
(21,2),(2,4),(2,15),0.10307 # DEPENDENCYPART_GRANDSIBL
(21,2),(2,4),(2,16),0.10307 # DEPENDENCYPART_GRANDSIBL
(21,2),(2,4),(2,18),0.10307 # DEPENDENCYPART_GRANDSIBL
(21,2),(2,4),(2,19),0.10307 # DEPENDENCYPART_GRANDSIBL
(21,2),(2,4),(2,21),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,2),(2,4),(2,23),-0.0628451 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,2),(2,5),(2,6),0.10307 # DEPENDENCYPART_GRANDSIBL
(21,2),(2,5),(2,7),0.103066 # DEPENDENCYPART_GRANDSIBL
(21,2),(2,5),(2,10),0.10307 # DEPENDENCYPART_GRANDSIBL
(21,2),(2,5),(2,11),0.10307 # DEPENDENCYPART_GRANDSIBL
(21,2),(2,5),(2,12),0.10307 # DEPENDENCYPART_GRANDSIBL
(21,2),(2,5),(2,13),0.10307 # DEPENDENCYPART_GRANDSIBL
(21,2),(2,5),(2,15),0.10307 # DEPENDENCYPART_GRANDSIBL
(21,2),(2,5),(2,16),0.10307 # DEPENDENCYPART_GRANDSIBL
(21,2),(2,5),(2,18),0.10307 # DEPENDENCYPART_GRANDSIBL
(21,2),(2,5),(2,19),0.103066 # DEPENDENCYPART_GRANDSIBL
(21,2),(2,5),(2,21),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,2),(2,5),(2,23),-0.0653973 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,2),(2,6),(2,7),0.10307 # DEPENDENCYPART_GRANDSIBL
(21,2),(2,6),(2,10),0.10307 # DEPENDENCYPART_GRANDSIBL
(21,2),(2,6),(2,11),0.10307 # DEPENDENCYPART_GRANDSIBL
(21,2),(2,6),(2,12),0.10307 # DEPENDENCYPART_GRANDSIBL
(21,2),(2,6),(2,13),0.10307 # DEPENDENCYPART_GRANDSIBL
(21,2),(2,6),(2,15),0.10307 # DEPENDENCYPART_GRANDSIBL
(21,2),(2,6),(2,16),0.10307 # DEPENDENCYPART_GRANDSIBL
(21,2),(2,6),(2,18),0.10307 # DEPENDENCYPART_GRANDSIBL
(21,2),(2,6),(2,19),0.10307 # DEPENDENCYPART_GRANDSIBL
(21,2),(2,6),(2,21),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,2),(2,6),(2,23),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,2),(2,7),(2,10),0.10307 # DEPENDENCYPART_GRANDSIBL
(21,2),(2,7),(2,11),0.103069 # DEPENDENCYPART_GRANDSIBL
(21,2),(2,7),(2,12),0.10307 # DEPENDENCYPART_GRANDSIBL
(21,2),(2,7),(2,13),0.10307 # DEPENDENCYPART_GRANDSIBL
(21,2),(2,7),(2,15),0.10307 # DEPENDENCYPART_GRANDSIBL
(21,2),(2,7),(2,16),0.103069 # DEPENDENCYPART_GRANDSIBL
(21,2),(2,7),(2,18),0.10307 # DEPENDENCYPART_GRANDSIBL
(21,2),(2,7),(2,19),0.10307 # DEPENDENCYPART_GRANDSIBL
(21,2),(2,7),(2,21),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,2),(2,7),(2,23),-0.0673551 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,2),(2,10),(2,11),0.10307 # DEPENDENCYPART_GRANDSIBL
(21,2),(2,10),(2,12),0.10307 # DEPENDENCYPART_GRANDSIBL
(21,2),(2,10),(2,13),0.10307 # DEPENDENCYPART_GRANDSIBL
(21,2),(2,10),(2,15),0.10307 # DEPENDENCYPART_GRANDSIBL
(21,2),(2,10),(2,16),0.10307 # DEPENDENCYPART_GRANDSIBL
(21,2),(2,10),(2,18),0.10307 # DEPENDENCYPART_GRANDSIBL
(21,2),(2,10),(2,19),0.103066 # DEPENDENCYPART_GRANDSIBL
(21,2),(2,10),(2,21),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,2),(2,10),(2,23),-0.0653973 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,2),(2,11),(2,12),0.10307 # DEPENDENCYPART_GRANDSIBL
(21,2),(2,11),(2,13),0.10307 # DEPENDENCYPART_GRANDSIBL
(21,2),(2,11),(2,15),0.103053 # DEPENDENCYPART_GRANDSIBL
(21,2),(2,11),(2,16),0.10307 # DEPENDENCYPART_GRANDSIBL
(21,2),(2,11),(2,18),0.10307 # DEPENDENCYPART_GRANDSIBL
(21,2),(2,11),(2,19),0.10307 # DEPENDENCYPART_GRANDSIBL
(21,2),(2,11),(2,21),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,2),(2,11),(2,23),-0.0648636 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,2),(2,12),(2,13),0.10307 # DEPENDENCYPART_GRANDSIBL
(21,2),(2,12),(2,15),0.10307 # DEPENDENCYPART_GRANDSIBL
(21,2),(2,12),(2,16),0.10307 # DEPENDENCYPART_GRANDSIBL
(21,2),(2,12),(2,18),0.10307 # DEPENDENCYPART_GRANDSIBL
(21,2),(2,12),(2,19),0.10307 # DEPENDENCYPART_GRANDSIBL
(21,2),(2,12),(2,21),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,2),(2,12),(2,23),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,2),(2,13),(2,15),0.10307 # DEPENDENCYPART_GRANDSIBL
(21,2),(2,13),(2,16),0.10307 # DEPENDENCYPART_GRANDSIBL
(21,2),(2,13),(2,18),0.10307 # DEPENDENCYPART_GRANDSIBL
(21,2),(2,13),(2,19),0.10307 # DEPENDENCYPART_GRANDSIBL
(21,2),(2,13),(2,21),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,2),(2,13),(2,23),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,2),(2,15),(2,16),0.10307 # DEPENDENCYPART_GRANDSIBL
(21,2),(2,15),(2,18),0.10307 # DEPENDENCYPART_GRANDSIBL
(21,2),(2,15),(2,19),0.10307 # DEPENDENCYPART_GRANDSIBL
(21,2),(2,15),(2,21),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,2),(2,15),(2,23),-0.0642559 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,2),(2,16),(2,18),0.10307 # DEPENDENCYPART_GRANDSIBL
(21,2),(2,16),(2,19),0.10307 # DEPENDENCYPART_GRANDSIBL
(21,2),(2,16),(2,21),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,2),(2,16),(2,23),-0.0648636 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,2),(2,18),(2,19),0.103066 # DEPENDENCYPART_GRANDSIBL
(21,2),(2,18),(2,21),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,2),(2,18),(2,23),-0.0653973 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,2),(2,19),(2,21),-0.0641457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,2),(2,19),(2,23),-0.0673551 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,2),(2,21),(2,23),-0.0642559 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(21,2),(2,2),(2,1),-0.0420111 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,2),(2,2),(2,-1),-0.0821979 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(21,2),(2,1),(2,-1),-0.0420111 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,14),(14,14),(14,15),0.206903 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,14),(14,14),(14,16),0.114173 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,14),(14,14),(14,17),0.0929212 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,14),(14,14),(14,18),0.0929746 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,14),(14,14),(14,19),0.184125 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,14),(14,14),(14,21),-0.0791486 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(21,14),(14,14),(14,23),0.183088 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(21,14),(14,15),(14,16),0.0845826 # DEPENDENCYPART_GRANDSIBL
(21,14),(14,15),(14,17),0.0981945 # DEPENDENCYPART_GRANDSIBL
(21,14),(14,15),(14,18),0.0981853 # DEPENDENCYPART_GRANDSIBL
(21,14),(14,15),(14,19),0.099262 # DEPENDENCYPART_GRANDSIBL
(21,14),(14,15),(14,21),-0.0642456 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,14),(14,15),(14,23),-0.00960437 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,14),(14,16),(14,17),0.100431 # DEPENDENCYPART_GRANDSIBL
(21,14),(14,16),(14,18),0.100431 # DEPENDENCYPART_GRANDSIBL
(21,14),(14,16),(14,19),0.114647 # DEPENDENCYPART_GRANDSIBL
(21,14),(14,16),(14,21),-0.0700449 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,14),(14,16),(14,23),-0.0120616 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,14),(14,17),(14,18),0.10248 # DEPENDENCYPART_GRANDSIBL
(21,14),(14,17),(14,19),0.102721 # DEPENDENCYPART_GRANDSIBL
(21,14),(14,17),(14,21),-0.0641704 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,14),(14,17),(14,23),-0.075042 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,14),(14,18),(14,19),0.102721 # DEPENDENCYPART_GRANDSIBL
(21,14),(14,18),(14,21),-0.0641704 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,14),(14,18),(14,23),-0.0751194 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,14),(14,19),(14,21),-0.0641486 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,14),(14,19),(14,23),-0.0342934 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,14),(14,21),(14,23),-0.0108036 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(21,14),(14,14),(14,-1),0.167603 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(21,15),(15,15),(15,16),0.114173 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,15),(15,15),(15,17),0.0929212 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,15),(15,15),(15,18),0.0929746 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,15),(15,15),(15,19),0.184127 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,15),(15,15),(15,20),0.20699 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,15),(15,15),(15,21),-0.0791486 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(21,15),(15,15),(15,22),-0.0641537 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,15),(15,15),(15,23),0.173034 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(21,15),(15,16),(15,17),0.100431 # DEPENDENCYPART_GRANDSIBL
(21,15),(15,16),(15,18),0.100431 # DEPENDENCYPART_GRANDSIBL
(21,15),(15,16),(15,19),0.114647 # DEPENDENCYPART_GRANDSIBL
(21,15),(15,16),(15,20),0.0721297 # DEPENDENCYPART_GRANDSIBL
(21,15),(15,16),(15,21),-0.0700449 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,15),(15,16),(15,22),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(21,15),(15,16),(15,23),-0.0120616 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,15),(15,17),(15,18),0.10248 # DEPENDENCYPART_GRANDSIBL
(21,15),(15,17),(15,19),0.102721 # DEPENDENCYPART_GRANDSIBL
(21,15),(15,17),(15,20),0.0987577 # DEPENDENCYPART_GRANDSIBL
(21,15),(15,17),(15,21),-0.0641704 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,15),(15,17),(15,22),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(21,15),(15,17),(15,23),-0.075042 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,15),(15,18),(15,19),0.102721 # DEPENDENCYPART_GRANDSIBL
(21,15),(15,18),(15,20),0.0987574 # DEPENDENCYPART_GRANDSIBL
(21,15),(15,18),(15,21),-0.0641704 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,15),(15,18),(15,22),-0.0641457 # DEPENDENCYPART_GRANDSIBL
(21,15),(15,18),(15,23),-0.0751194 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,15),(15,19),(15,20),0.103211 # DEPENDENCYPART_GRANDSIBL
(21,15),(15,19),(15,21),-0.0641486 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,15),(15,19),(15,22),-0.064147 # DEPENDENCYPART_GRANDSIBL
(21,15),(15,19),(15,23),-0.0342921 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,15),(15,20),(15,21),-0.0642456 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,15),(15,20),(15,22),-0.0641603 # DEPENDENCYPART_GRANDSIBL
(21,15),(15,20),(15,23),-0.00891161 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,15),(15,21),(15,22),-0.0641603 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,15),(15,21),(15,23),-0.0108047 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(21,15),(15,22),(15,23),-0.0821404 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,15),(15,15),(15,14),-0.132169 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,15),(15,15),(15,13),-0.0359263 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,15),(15,15),(15,12),-0.0219367 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,15),(15,15),(15,11),0.0849458 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,15),(15,15),(15,10),-0.0233187 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,15),(15,15),(15,9),-0.0233187 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,15),(15,15),(15,8),-0.0291602 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,15),(15,15),(15,7),-0.0216623 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,15),(15,15),(15,6),-0.0350126 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,15),(15,15),(15,5),-0.0233187 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,15),(15,15),(15,2),-0.0420274 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,15),(15,15),(15,1),-0.0341211 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,15),(15,15),(15,-1),0.157594 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(21,15),(15,14),(15,13),-0.0421262 # DEPENDENCYPART_GRANDSIBL
(21,15),(15,14),(15,12),-0.0493707 # DEPENDENCYPART_GRANDSIBL
(21,15),(15,14),(15,11),-0.0150707 # DEPENDENCYPART_GRANDSIBL
(21,15),(15,14),(15,10),-0.0461784 # DEPENDENCYPART_GRANDSIBL
(21,15),(15,14),(15,9),-0.0467137 # DEPENDENCYPART_GRANDSIBL
(21,15),(15,14),(15,8),-0.0158308 # DEPENDENCYPART_GRANDSIBL
(21,15),(15,14),(15,7),-0.0471678 # DEPENDENCYPART_GRANDSIBL
(21,15),(15,14),(15,6),-0.042128 # DEPENDENCYPART_GRANDSIBL
(21,15),(15,14),(15,5),-0.0461784 # DEPENDENCYPART_GRANDSIBL
(21,15),(15,14),(15,2),-0.0421176 # DEPENDENCYPART_GRANDSIBL
(21,15),(15,14),(15,1),-0.0488249 # DEPENDENCYPART_GRANDSIBL
(21,15),(15,14),(15,-1),0.0326293 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,15),(15,13),(15,12),-0.0420112 # DEPENDENCYPART_GRANDSIBL
(21,15),(15,13),(15,11),-0.0378731 # DEPENDENCYPART_GRANDSIBL
(21,15),(15,13),(15,10),-0.0420139 # DEPENDENCYPART_GRANDSIBL
(21,15),(15,13),(15,9),-0.0420139 # DEPENDENCYPART_GRANDSIBL
(21,15),(15,13),(15,8),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(21,15),(15,13),(15,7),-0.043405 # DEPENDENCYPART_GRANDSIBL
(21,15),(15,13),(15,6),-0.0420234 # DEPENDENCYPART_GRANDSIBL
(21,15),(15,13),(15,5),-0.0420139 # DEPENDENCYPART_GRANDSIBL
(21,15),(15,13),(15,2),-0.0420362 # DEPENDENCYPART_GRANDSIBL
(21,15),(15,13),(15,1),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(21,15),(15,13),(15,-1),-0.0419219 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,15),(15,12),(15,11),-0.0424877 # DEPENDENCYPART_GRANDSIBL
(21,15),(15,12),(15,10),-0.0420973 # DEPENDENCYPART_GRANDSIBL
(21,15),(15,12),(15,9),-0.0420973 # DEPENDENCYPART_GRANDSIBL
(21,15),(15,12),(15,8),-0.0420113 # DEPENDENCYPART_GRANDSIBL
(21,15),(15,12),(15,7),-0.0420143 # DEPENDENCYPART_GRANDSIBL
(21,15),(15,12),(15,6),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(21,15),(15,12),(15,5),-0.0420973 # DEPENDENCYPART_GRANDSIBL
(21,15),(15,12),(15,2),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(21,15),(15,12),(15,1),-0.0321669 # DEPENDENCYPART_GRANDSIBL
(21,15),(15,12),(15,-1),-0.0563613 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,15),(15,11),(15,10),-0.152945 # DEPENDENCYPART_GRANDSIBL
(21,15),(15,11),(15,9),-0.152974 # DEPENDENCYPART_GRANDSIBL
(21,15),(15,11),(15,8),-0.0474317 # DEPENDENCYPART_GRANDSIBL
(21,15),(15,11),(15,7),-0.0649937 # DEPENDENCYPART_GRANDSIBL
(21,15),(15,11),(15,6),-0.0433194 # DEPENDENCYPART_GRANDSIBL
(21,15),(15,11),(15,5),-0.152944 # DEPENDENCYPART_GRANDSIBL
(21,15),(15,11),(15,2),-0.0421242 # DEPENDENCYPART_GRANDSIBL
(21,15),(15,11),(15,1),-0.04365 # DEPENDENCYPART_GRANDSIBL
(21,15),(15,11),(15,-1),-0.0814084 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,15),(15,10),(15,9),-0.0445383 # DEPENDENCYPART_GRANDSIBL
(21,15),(15,10),(15,8),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(21,15),(15,10),(15,7),-0.0436006 # DEPENDENCYPART_GRANDSIBL
(21,15),(15,10),(15,6),-0.0420575 # DEPENDENCYPART_GRANDSIBL
(21,15),(15,10),(15,5),-0.0445383 # DEPENDENCYPART_GRANDSIBL
(21,15),(15,10),(15,2),-0.0420118 # DEPENDENCYPART_GRANDSIBL
(21,15),(15,10),(15,1),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(21,15),(15,10),(15,-1),-0.112674 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,15),(15,9),(15,8),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(21,15),(15,9),(15,7),-0.0436006 # DEPENDENCYPART_GRANDSIBL
(21,15),(15,9),(15,6),-0.0420575 # DEPENDENCYPART_GRANDSIBL
(21,15),(15,9),(15,5),-0.0445383 # DEPENDENCYPART_GRANDSIBL
(21,15),(15,9),(15,2),-0.0420118 # DEPENDENCYPART_GRANDSIBL
(21,15),(15,9),(15,1),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(21,15),(15,9),(15,-1),-0.113238 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,15),(15,8),(15,7),-0.0426149 # DEPENDENCYPART_GRANDSIBL
(21,15),(15,8),(15,6),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(21,15),(15,8),(15,5),-0.042711 # DEPENDENCYPART_GRANDSIBL
(21,15),(15,8),(15,2),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(21,15),(15,8),(15,1),-0.0421678 # DEPENDENCYPART_GRANDSIBL
(21,15),(15,8),(15,-1),-0.0327895 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,15),(15,7),(15,6),-0.0421196 # DEPENDENCYPART_GRANDSIBL
(21,15),(15,7),(15,5),-0.0431612 # DEPENDENCYPART_GRANDSIBL
(21,15),(15,7),(15,2),-0.0420143 # DEPENDENCYPART_GRANDSIBL
(21,15),(15,7),(15,1),-0.0420521 # DEPENDENCYPART_GRANDSIBL
(21,15),(15,7),(15,-1),-0.0996143 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,15),(15,6),(15,5),-0.0420139 # DEPENDENCYPART_GRANDSIBL
(21,15),(15,6),(15,2),-0.0420362 # DEPENDENCYPART_GRANDSIBL
(21,15),(15,6),(15,1),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(21,15),(15,6),(15,-1),-0.0424557 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,15),(15,5),(15,2),-0.0420118 # DEPENDENCYPART_GRANDSIBL
(21,15),(15,5),(15,1),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(21,15),(15,5),(15,-1),-0.112673 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,15),(15,2),(15,1),-0.0420111 # DEPENDENCYPART_GRANDSIBL
(21,15),(15,2),(15,-1),-0.042497 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,15),(15,1),(15,-1),-0.0430791 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
