# _root_ The number of U.S. temporary workers fell about 1 % in the 12 months ending Aug. 31 , after sliding nearly 3.5 % in July , said Kidder Peabody 's Mr. Arthur .
#goldHeads=2,7,2,6,6,3,27,10,8,7,7,14,14,11,14,15,16,7,7,19,23,21,20,20,24,27,0,29,32,29,32,27,27,
#predictedHeads=2,7,2,6,6,3,27,10,8,7,7,14,14,11,14,15,16,7,7,19,23,21,20,20,24,27,0,29,32,29,32,27,27,
(15,25),(25,27),-0.212505 # DEPENDENCYPART_GRANDPAR
(15,25),(25,29),-0.368094 # DEPENDENCYPART_GRANDPAR
(15,25),(25,30),-1.4601 # DEPENDENCYPART_GRANDPAR
(15,25),(25,32),-0.522643 # DEPENDENCYPART_GRANDPAR
(15,29),(29,25),-0.293358 # DEPENDENCYPART_GRANDPAR
(15,29),(29,27),-0.179695 # DEPENDENCYPART_GRANDPAR
(15,29),(29,28),-0.432986 # DEPENDENCYPART_GRANDPAR
(15,29),(29,30),-1.4792 # DEPENDENCYPART_GRANDPAR
(15,29),(29,31),-0.459911 # DEPENDENCYPART_GRANDPAR
(15,29),(29,32),-0.537288 # DEPENDENCYPART_GRANDPAR
(15,32),(32,7),-0.539253 # DEPENDENCYPART_GRANDPAR
(15,32),(32,25),-0.310518 # DEPENDENCYPART_GRANDPAR
(15,32),(32,28),-0.44991 # DEPENDENCYPART_GRANDPAR
(15,32),(32,29),-0.234507 # DEPENDENCYPART_GRANDPAR
(15,32),(32,30),-0.900056 # DEPENDENCYPART_GRANDPAR
(15,32),(32,31),-0.61868 # DEPENDENCYPART_GRANDPAR
(15,32),(32,33),-0.668152 # DEPENDENCYPART_GRANDPAR
(16,12),(12,13),-0.324101 # DEPENDENCYPART_GRANDPAR
(16,13),(13,9),-0.816616 # DEPENDENCYPART_GRANDPAR
(16,13),(13,11),-0.436257 # DEPENDENCYPART_GRANDPAR
(16,13),(13,12),-0.707228 # DEPENDENCYPART_GRANDPAR
(16,13),(13,14),-0.51763 # DEPENDENCYPART_GRANDPAR
(16,13),(13,15),-0.321968 # DEPENDENCYPART_GRANDPAR
(16,13),(13,16),-1.54523 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(16,14),(14,4),-0.236353 # DEPENDENCYPART_GRANDPAR
(16,14),(14,6),-0.492812 # DEPENDENCYPART_GRANDPAR
(16,14),(14,8),-0.30348 # DEPENDENCYPART_GRANDPAR
(16,14),(14,9),-0.606039 # DEPENDENCYPART_GRANDPAR
(16,14),(14,10),-0.467622 # DEPENDENCYPART_GRANDPAR
(16,14),(14,11),-0.180057 # DEPENDENCYPART_GRANDPAR
(16,14),(14,12),-0.410039 # DEPENDENCYPART_GRANDPAR
(16,14),(14,13),-0.434937 # DEPENDENCYPART_GRANDPAR
(16,14),(14,15),-0.254756 # DEPENDENCYPART_GRANDPAR
(16,14),(14,16),-1.57956 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(16,14),(14,17),-0.641654 # DEPENDENCYPART_GRANDPAR
(16,14),(14,18),-1.2529 # DEPENDENCYPART_GRANDPAR
(16,14),(14,19),-0.649659 # DEPENDENCYPART_GRANDPAR
(16,14),(14,20),-0.739713 # DEPENDENCYPART_GRANDPAR
(16,14),(14,21),-0.69314 # DEPENDENCYPART_GRANDPAR
(16,14),(14,23),-0.88939 # DEPENDENCYPART_GRANDPAR
(16,14),(14,24),-0.679953 # DEPENDENCYPART_GRANDPAR
(16,14),(14,26),-1.04352 # DEPENDENCYPART_GRANDPAR
(16,15),(15,2),-0.664895 # DEPENDENCYPART_GRANDPAR
(16,15),(15,6),-0.59439 # DEPENDENCYPART_GRANDPAR
(16,15),(15,8),-0.573857 # DEPENDENCYPART_GRANDPAR
(16,15),(15,10),-0.474247 # DEPENDENCYPART_GRANDPAR
(16,15),(15,11),-0.258402 # DEPENDENCYPART_GRANDPAR
(16,15),(15,12),-0.573501 # DEPENDENCYPART_GRANDPAR
(16,15),(15,13),-0.548242 # DEPENDENCYPART_GRANDPAR
(16,15),(15,14),-0.580777 # DEPENDENCYPART_GRANDPAR
(16,15),(15,16),-1.55668 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(16,15),(15,17),-0.592632 # DEPENDENCYPART_GRANDPAR
(16,15),(15,18),-1.16643 # DEPENDENCYPART_GRANDPAR
(16,15),(15,19),-0.740455 # DEPENDENCYPART_GRANDPAR
(16,15),(15,20),-0.807829 # DEPENDENCYPART_GRANDPAR
(16,15),(15,21),-0.698297 # DEPENDENCYPART_GRANDPAR
(16,15),(15,23),-0.891866 # DEPENDENCYPART_GRANDPAR
(16,15),(15,24),-0.729038 # DEPENDENCYPART_GRANDPAR
(16,15),(15,25),-1.11051 # DEPENDENCYPART_GRANDPAR
(16,15),(15,26),-0.957048 # DEPENDENCYPART_GRANDPAR
(16,15),(15,29),-1.00467 # DEPENDENCYPART_GRANDPAR
(16,15),(15,32),-1.18209 # DEPENDENCYPART_GRANDPAR
(16,17),(17,12),-0.905544 # DEPENDENCYPART_GRANDPAR
(16,17),(17,13),-0.917779 # DEPENDENCYPART_GRANDPAR
(16,17),(17,14),-1.0005 # DEPENDENCYPART_GRANDPAR
(16,17),(17,15),-0.822381 # DEPENDENCYPART_GRANDPAR
(16,17),(17,16),-1.16952 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(16,17),(17,18),-0.826978 # DEPENDENCYPART_GRANDPAR
(16,17),(17,19),-0.502861 # DEPENDENCYPART_GRANDPAR
(16,17),(17,21),-0.481304 # DEPENDENCYPART_GRANDPAR
(16,19),(19,17),-0.0947194 # DEPENDENCYPART_GRANDPAR
(16,19),(19,18),-0.604539 # DEPENDENCYPART_GRANDPAR
(16,19),(19,20),-0.493805 # DEPENDENCYPART_GRANDPAR
(16,19),(19,21),-0.289648 # DEPENDENCYPART_GRANDPAR
(16,19),(19,22),-0.435889 # DEPENDENCYPART_GRANDPAR
(16,19),(19,23),-0.367375 # DEPENDENCYPART_GRANDPAR
(16,19),(19,24),-0.380168 # DEPENDENCYPART_GRANDPAR
(16,19),(19,26),-0.497609 # DEPENDENCYPART_GRANDPAR
(16,19),(19,27),-0.652683 # DEPENDENCYPART_GRANDPAR
(16,20),(20,2),-1.18605 # DEPENDENCYPART_GRANDPAR
(16,20),(20,14),-1.02456 # DEPENDENCYPART_GRANDPAR
(16,20),(20,16),-1.08696 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(16,20),(20,17),-0.107865 # DEPENDENCYPART_GRANDPAR
(16,20),(20,19),-0.218926 # DEPENDENCYPART_GRANDPAR
(16,20),(20,21),-0.296759 # DEPENDENCYPART_GRANDPAR
(16,20),(20,22),-0.50456 # DEPENDENCYPART_GRANDPAR
(16,20),(20,23),-0.34132 # DEPENDENCYPART_GRANDPAR
(16,20),(20,24),-0.196598 # DEPENDENCYPART_GRANDPAR
(16,20),(20,25),-0.545008 # DEPENDENCYPART_GRANDPAR
(16,20),(20,26),-0.421878 # DEPENDENCYPART_GRANDPAR
(16,20),(20,27),-0.734839 # DEPENDENCYPART_GRANDPAR
(16,20),(20,29),-0.41664 # DEPENDENCYPART_GRANDPAR
(16,20),(20,31),-0.954942 # DEPENDENCYPART_GRANDPAR
(16,20),(20,32),-0.582254 # DEPENDENCYPART_GRANDPAR
(16,21),(21,22),-0.604298 # DEPENDENCYPART_GRANDPAR
(16,21),(21,23),-0.417346 # DEPENDENCYPART_GRANDPAR
(16,21),(21,24),-0.311779 # DEPENDENCYPART_GRANDPAR
(16,21),(21,25),-0.577162 # DEPENDENCYPART_GRANDPAR
(16,21),(21,27),-0.662499 # DEPENDENCYPART_GRANDPAR
(16,22),(22,17),-0.14091 # DEPENDENCYPART_GRANDPAR
(16,22),(22,19),-0.320053 # DEPENDENCYPART_GRANDPAR
(16,22),(22,21),-0.136874 # DEPENDENCYPART_GRANDPAR
(16,22),(22,23),-0.694626 # DEPENDENCYPART_GRANDPAR
(16,23),(23,8),-0.937784 # DEPENDENCYPART_GRANDPAR
(16,23),(23,12),-1.09637 # DEPENDENCYPART_GRANDPAR
(16,23),(23,13),-0.956204 # DEPENDENCYPART_GRANDPAR
(16,23),(23,16),-1.10201 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(16,23),(23,17),0.0295512 # DEPENDENCYPART_GRANDPAR
(16,23),(23,19),-0.278583 # DEPENDENCYPART_GRANDPAR
(16,23),(23,20),-0.121755 # DEPENDENCYPART_GRANDPAR
(16,23),(23,21),0.00158105 # DEPENDENCYPART_GRANDPAR
(16,23),(23,22),-0.236875 # DEPENDENCYPART_GRANDPAR
(16,23),(23,24),-0.305704 # DEPENDENCYPART_GRANDPAR
(16,23),(23,25),-0.733647 # DEPENDENCYPART_GRANDPAR
(16,23),(23,26),-0.545815 # DEPENDENCYPART_GRANDPAR
(16,23),(23,27),-0.561038 # DEPENDENCYPART_GRANDPAR
(16,23),(23,29),-0.589325 # DEPENDENCYPART_GRANDPAR
(16,23),(23,31),-1.12032 # DEPENDENCYPART_GRANDPAR
(16,23),(23,32),-0.752633 # DEPENDENCYPART_GRANDPAR
(16,24),(24,23),-0.242999 # DEPENDENCYPART_GRANDPAR
(16,24),(24,25),-0.460722 # DEPENDENCYPART_GRANDPAR
(16,24),(24,27),-0.886767 # DEPENDENCYPART_GRANDPAR
(16,24),(24,29),-0.259299 # DEPENDENCYPART_GRANDPAR
(16,24),(24,31),-0.838148 # DEPENDENCYPART_GRANDPAR
(16,24),(24,32),-0.428136 # DEPENDENCYPART_GRANDPAR
(16,25),(25,26),-0.344207 # DEPENDENCYPART_GRANDPAR
(16,25),(25,27),-0.645269 # DEPENDENCYPART_GRANDPAR
(16,25),(25,29),-0.424411 # DEPENDENCYPART_GRANDPAR
(16,25),(25,30),-1.09237 # DEPENDENCYPART_GRANDPAR
(16,25),(25,32),-0.553376 # DEPENDENCYPART_GRANDPAR
(16,27),(27,2),-1.10656 # DEPENDENCYPART_GRANDPAR
(16,27),(27,4),-0.896528 # DEPENDENCYPART_GRANDPAR
(16,27),(27,6),-1.02454 # DEPENDENCYPART_GRANDPAR
(16,27),(27,7),-0.862654 # DEPENDENCYPART_GRANDPAR
(16,27),(27,8),-0.864139 # DEPENDENCYPART_GRANDPAR
(16,27),(27,10),-0.973735 # DEPENDENCYPART_GRANDPAR
(16,27),(27,11),-0.766308 # DEPENDENCYPART_GRANDPAR
(16,27),(27,14),-0.984244 # DEPENDENCYPART_GRANDPAR
(16,27),(27,15),-0.82539 # DEPENDENCYPART_GRANDPAR
(16,27),(27,16),-1.10041 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(16,27),(27,17),-0.0864113 # DEPENDENCYPART_GRANDPAR
(16,27),(27,18),-0.819997 # DEPENDENCYPART_GRANDPAR
(16,27),(27,19),-0.174321 # DEPENDENCYPART_GRANDPAR
(16,27),(27,20),-0.294361 # DEPENDENCYPART_GRANDPAR
(16,27),(27,21),-0.205294 # DEPENDENCYPART_GRANDPAR
(16,27),(27,22),-0.366118 # DEPENDENCYPART_GRANDPAR
(16,27),(27,23),-0.342417 # DEPENDENCYPART_GRANDPAR
(16,27),(27,24),-0.120477 # DEPENDENCYPART_GRANDPAR
(16,27),(27,25),-0.656694 # DEPENDENCYPART_GRANDPAR
(16,27),(27,26),-0.610612 # DEPENDENCYPART_GRANDPAR
(16,27),(27,28),-0.534068 # DEPENDENCYPART_GRANDPAR
(16,27),(27,29),-0.433855 # DEPENDENCYPART_GRANDPAR
(16,27),(27,30),-0.903335 # DEPENDENCYPART_GRANDPAR
(16,27),(27,31),-0.996078 # DEPENDENCYPART_GRANDPAR
(16,27),(27,32),-0.59788 # DEPENDENCYPART_GRANDPAR
(16,27),(27,33),-0.918791 # DEPENDENCYPART_GRANDPAR
(16,29),(29,25),-0.365961 # DEPENDENCYPART_GRANDPAR
(16,29),(29,27),-0.526824 # DEPENDENCYPART_GRANDPAR
(16,29),(29,28),-0.367207 # DEPENDENCYPART_GRANDPAR
(16,29),(29,30),-1.11618 # DEPENDENCYPART_GRANDPAR
(16,29),(29,31),-0.729567 # DEPENDENCYPART_GRANDPAR
(16,29),(29,32),-0.57977 # DEPENDENCYPART_GRANDPAR
(16,32),(32,7),-0.942088 # DEPENDENCYPART_GRANDPAR
(16,32),(32,25),-0.430261 # DEPENDENCYPART_GRANDPAR
(16,32),(32,28),-0.431021 # DEPENDENCYPART_GRANDPAR
(16,32),(32,29),-0.304795 # DEPENDENCYPART_GRANDPAR
(16,32),(32,30),-0.607194 # DEPENDENCYPART_GRANDPAR
(16,32),(32,31),-0.880332 # DEPENDENCYPART_GRANDPAR
(16,32),(32,33),-0.749421 # DEPENDENCYPART_GRANDPAR
(17,12),(12,13),-0.390533 # DEPENDENCYPART_GRANDPAR
(17,13),(13,9),-0.133581 # DEPENDENCYPART_GRANDPAR
(17,13),(13,11),-0.0596063 # DEPENDENCYPART_GRANDPAR
(17,13),(13,12),-0.210317 # DEPENDENCYPART_GRANDPAR
(17,13),(13,14),0.00499426 # DEPENDENCYPART_GRANDPAR
(17,13),(13,15),-0.163636 # DEPENDENCYPART_GRANDPAR
(17,13),(13,16),-0.177548 # DEPENDENCYPART_GRANDPAR
(17,14),(14,4),-0.183085 # DEPENDENCYPART_GRANDPAR
(17,14),(14,6),-0.00665328 # DEPENDENCYPART_GRANDPAR
(17,14),(14,8),-0.216098 # DEPENDENCYPART_GRANDPAR
(17,14),(14,9),-0.357303 # DEPENDENCYPART_GRANDPAR
(17,14),(14,10),-0.300203 # DEPENDENCYPART_GRANDPAR
(17,14),(14,11),-0.26376 # DEPENDENCYPART_GRANDPAR
(17,14),(14,12),-0.340449 # DEPENDENCYPART_GRANDPAR
(17,14),(14,13),-0.28576 # DEPENDENCYPART_GRANDPAR
(17,14),(14,15),-0.15356 # DEPENDENCYPART_GRANDPAR
(17,14),(14,16),-0.177747 # DEPENDENCYPART_GRANDPAR
(17,14),(14,17),-1.36968 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(17,14),(14,18),-0.737995 # DEPENDENCYPART_GRANDPAR
(17,14),(14,19),-0.634889 # DEPENDENCYPART_GRANDPAR
(17,14),(14,20),-0.647404 # DEPENDENCYPART_GRANDPAR
(17,14),(14,21),-0.712124 # DEPENDENCYPART_GRANDPAR
(17,14),(14,23),-0.634511 # DEPENDENCYPART_GRANDPAR
(17,14),(14,24),-0.69666 # DEPENDENCYPART_GRANDPAR
(17,14),(14,26),-0.87192 # DEPENDENCYPART_GRANDPAR
(17,15),(15,2),-0.261851 # DEPENDENCYPART_GRANDPAR
(17,15),(15,6),0.0642744 # DEPENDENCYPART_GRANDPAR
(17,15),(15,8),-0.316617 # DEPENDENCYPART_GRANDPAR
(17,15),(15,10),-0.12201 # DEPENDENCYPART_GRANDPAR
(17,15),(15,11),-0.185432 # DEPENDENCYPART_GRANDPAR
(17,15),(15,12),-0.301608 # DEPENDENCYPART_GRANDPAR
(17,15),(15,13),-0.256358 # DEPENDENCYPART_GRANDPAR
(17,15),(15,14),0.0822234 # DEPENDENCYPART_GRANDPAR
(17,15),(15,16),-0.0781766 # DEPENDENCYPART_GRANDPAR
(17,15),(15,17),-1.32013 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(17,15),(15,18),-0.649445 # DEPENDENCYPART_GRANDPAR
(17,15),(15,19),-0.723909 # DEPENDENCYPART_GRANDPAR
(17,15),(15,20),-0.713794 # DEPENDENCYPART_GRANDPAR
(17,15),(15,21),-0.715558 # DEPENDENCYPART_GRANDPAR
(17,15),(15,23),-0.635648 # DEPENDENCYPART_GRANDPAR
(17,15),(15,24),-0.743976 # DEPENDENCYPART_GRANDPAR
(17,15),(15,25),-0.744361 # DEPENDENCYPART_GRANDPAR
(17,15),(15,26),-0.783371 # DEPENDENCYPART_GRANDPAR
(17,15),(15,29),-0.833053 # DEPENDENCYPART_GRANDPAR
(17,15),(15,32),-0.966317 # DEPENDENCYPART_GRANDPAR
(17,16),(16,12),-0.304886 # DEPENDENCYPART_GRANDPAR
(17,16),(16,13),-0.152531 # DEPENDENCYPART_GRANDPAR
(17,16),(16,14),0.00523648 # DEPENDENCYPART_GRANDPAR
(17,16),(16,15),-0.1555 # DEPENDENCYPART_GRANDPAR
(17,16),(16,17),-1.33612 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(17,16),(16,18),-0.776971 # DEPENDENCYPART_GRANDPAR
(17,16),(16,19),-0.712318 # DEPENDENCYPART_GRANDPAR
(17,16),(16,20),-0.705282 # DEPENDENCYPART_GRANDPAR
(17,16),(16,21),-0.71074 # DEPENDENCYPART_GRANDPAR
(17,16),(16,22),-0.793584 # DEPENDENCYPART_GRANDPAR
(17,16),(16,23),-0.642345 # DEPENDENCYPART_GRANDPAR
(17,16),(16,24),-0.731457 # DEPENDENCYPART_GRANDPAR
(17,16),(16,25),-0.791095 # DEPENDENCYPART_GRANDPAR
(17,16),(16,26),-0.910897 # DEPENDENCYPART_GRANDPAR
(17,16),(16,27),-0.768528 # DEPENDENCYPART_GRANDPAR
(17,16),(16,29),-0.848387 # DEPENDENCYPART_GRANDPAR
(17,16),(16,32),-1.01293 # DEPENDENCYPART_GRANDPAR
(17,16),(16,33),-1.07616 # DEPENDENCYPART_GRANDPAR
(17,19),(19,17),-0.966559 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(17,19),(19,18),-0.264643 # DEPENDENCYPART_GRANDPAR
(17,19),(19,20),-0.311966 # DEPENDENCYPART_GRANDPAR
(17,19),(19,21),-0.279565 # DEPENDENCYPART_GRANDPAR
(17,19),(19,22),-0.164999 # DEPENDENCYPART_GRANDPAR
(17,19),(19,23),-0.0184871 # DEPENDENCYPART_GRANDPAR
(17,19),(19,24),-0.407999 # DEPENDENCYPART_GRANDPAR
(17,19),(19,26),-0.373418 # DEPENDENCYPART_GRANDPAR
(17,19),(19,27),-0.25366 # DEPENDENCYPART_GRANDPAR
(17,21),(21,22),-0.299406 # DEPENDENCYPART_GRANDPAR
(17,21),(21,23),-0.071538 # DEPENDENCYPART_GRANDPAR
(17,21),(21,24),-0.31855 # DEPENDENCYPART_GRANDPAR
(17,21),(21,25),-0.287963 # DEPENDENCYPART_GRANDPAR
(17,21),(21,27),-0.301804 # DEPENDENCYPART_GRANDPAR
(19,17),(17,12),-0.286556 # DEPENDENCYPART_GRANDPAR
(19,17),(17,13),-0.0488589 # DEPENDENCYPART_GRANDPAR
(19,17),(17,14),-0.170737 # DEPENDENCYPART_GRANDPAR
(19,17),(17,15),0.112604 # DEPENDENCYPART_GRANDPAR
(19,17),(17,16),-0.20734 # DEPENDENCYPART_GRANDPAR
(19,17),(17,18),-0.124733 # DEPENDENCYPART_GRANDPAR
(19,17),(17,19),-1.15465 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(19,17),(17,21),-0.429954 # DEPENDENCYPART_GRANDPAR
(19,20),(20,2),-1.16405 # DEPENDENCYPART_GRANDPAR
(19,20),(20,14),-0.797428 # DEPENDENCYPART_GRANDPAR
(19,20),(20,16),-0.809698 # DEPENDENCYPART_GRANDPAR
(19,20),(20,17),-0.550285 # DEPENDENCYPART_GRANDPAR
(19,20),(20,19),-0.515099 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(19,20),(20,21),0.36343 # DEPENDENCYPART_GRANDPAR
(19,20),(20,22),0.0854075 # DEPENDENCYPART_GRANDPAR
(19,20),(20,23),0.455902 # DEPENDENCYPART_GRANDPAR
(19,20),(20,24),0.627634 # DEPENDENCYPART_GRANDPAR
(19,20),(20,25),-0.0445446 # DEPENDENCYPART_GRANDPAR
(19,20),(20,26),-0.244535 # DEPENDENCYPART_GRANDPAR
(19,20),(20,27),0.0948626 # DEPENDENCYPART_GRANDPAR
(19,20),(20,29),-0.489875 # DEPENDENCYPART_GRANDPAR
(19,20),(20,31),-1.08023 # DEPENDENCYPART_GRANDPAR
(19,20),(20,32),-0.373726 # DEPENDENCYPART_GRANDPAR
(19,21),(21,22),-0.314783 # DEPENDENCYPART_GRANDPAR
(19,21),(21,23),-0.0340719 # DEPENDENCYPART_GRANDPAR
(19,21),(21,24),0.328656 # DEPENDENCYPART_GRANDPAR
(19,21),(21,25),-0.41856 # DEPENDENCYPART_GRANDPAR
(19,21),(21,27),-0.139778 # DEPENDENCYPART_GRANDPAR
(19,22),(22,17),-0.59681 # DEPENDENCYPART_GRANDPAR
(19,22),(22,19),-0.591879 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(19,22),(22,21),0.292812 # DEPENDENCYPART_GRANDPAR
(19,22),(22,23),-0.0503413 # DEPENDENCYPART_GRANDPAR
(19,23),(23,8),-0.644544 # DEPENDENCYPART_GRANDPAR
(19,23),(23,12),-1.25453 # DEPENDENCYPART_GRANDPAR
(19,23),(23,13),-0.886328 # DEPENDENCYPART_GRANDPAR
(19,23),(23,16),-1.03137 # DEPENDENCYPART_GRANDPAR
(19,23),(23,17),-0.717403 # DEPENDENCYPART_GRANDPAR
(19,23),(23,19),-0.820682 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(19,23),(23,20),0.6927 # DEPENDENCYPART_GRANDPAR
(19,23),(23,21),0.0498298 # DEPENDENCYPART_GRANDPAR
(19,23),(23,22),-0.229404 # DEPENDENCYPART_GRANDPAR
(19,23),(23,24),0.484369 # DEPENDENCYPART_GRANDPAR
(19,23),(23,25),-0.309053 # DEPENDENCYPART_GRANDPAR
(19,23),(23,26),-0.491403 # DEPENDENCYPART_GRANDPAR
(19,23),(23,27),-0.0596272 # DEPENDENCYPART_GRANDPAR
(19,23),(23,29),-0.72271 # DEPENDENCYPART_GRANDPAR
(19,23),(23,31),-1.30543 # DEPENDENCYPART_GRANDPAR
(19,23),(23,32),-0.604817 # DEPENDENCYPART_GRANDPAR
(19,24),(24,23),0.198701 # DEPENDENCYPART_GRANDPAR
(19,24),(24,25),-0.157603 # DEPENDENCYPART_GRANDPAR
(19,24),(24,27),-0.212698 # DEPENDENCYPART_GRANDPAR
(19,24),(24,29),-0.599585 # DEPENDENCYPART_GRANDPAR
(19,24),(24,31),-1.22943 # DEPENDENCYPART_GRANDPAR
(19,24),(24,32),-0.48704 # DEPENDENCYPART_GRANDPAR
(19,27),(27,2),-1.15971 # DEPENDENCYPART_GRANDPAR
(19,27),(27,4),-0.999751 # DEPENDENCYPART_GRANDPAR
(19,27),(27,6),-0.866728 # DEPENDENCYPART_GRANDPAR
(19,27),(27,7),-0.62076 # DEPENDENCYPART_GRANDPAR
(19,27),(27,8),-0.517773 # DEPENDENCYPART_GRANDPAR
(19,27),(27,10),-0.919029 # DEPENDENCYPART_GRANDPAR
(19,27),(27,11),-0.709574 # DEPENDENCYPART_GRANDPAR
(19,27),(27,14),-0.829344 # DEPENDENCYPART_GRANDPAR
(19,27),(27,15),-0.566981 # DEPENDENCYPART_GRANDPAR
(19,27),(27,16),-0.873454 # DEPENDENCYPART_GRANDPAR
(19,27),(27,17),-0.622272 # DEPENDENCYPART_GRANDPAR
(19,27),(27,18),-0.98711 # DEPENDENCYPART_GRANDPAR
(19,27),(27,19),-0.532819 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(19,27),(27,20),0.904158 # DEPENDENCYPART_GRANDPAR
(19,27),(27,21),0.072168 # DEPENDENCYPART_GRANDPAR
(19,27),(27,22),-0.0490564 # DEPENDENCYPART_GRANDPAR
(19,27),(27,23),0.463782 # DEPENDENCYPART_GRANDPAR
(19,27),(27,24),0.142584 # DEPENDENCYPART_GRANDPAR
(19,27),(27,25),-0.040918 # DEPENDENCYPART_GRANDPAR
(19,27),(27,26),-0.226219 # DEPENDENCYPART_GRANDPAR
(19,27),(27,28),-0.763189 # DEPENDENCYPART_GRANDPAR
(19,27),(27,29),-0.522005 # DEPENDENCYPART_GRANDPAR
(19,27),(27,30),-0.622591 # DEPENDENCYPART_GRANDPAR
(19,27),(27,31),-1.13484 # DEPENDENCYPART_GRANDPAR
(19,27),(27,32),-0.404274 # DEPENDENCYPART_GRANDPAR
(19,27),(27,33),-0.908874 # DEPENDENCYPART_GRANDPAR
(20,2),(2,1),-0.304336 # DEPENDENCYPART_GRANDPAR
(20,2),(2,3),-0.0300853 # DEPENDENCYPART_GRANDPAR
(20,2),(2,4),-0.346414 # DEPENDENCYPART_GRANDPAR
(20,2),(2,5),-0.335242 # DEPENDENCYPART_GRANDPAR
(20,2),(2,6),-0.408318 # DEPENDENCYPART_GRANDPAR
(20,2),(2,7),-0.0439593 # DEPENDENCYPART_GRANDPAR
(20,2),(2,8),-0.36965 # DEPENDENCYPART_GRANDPAR
(20,2),(2,9),-0.430969 # DEPENDENCYPART_GRANDPAR
(20,2),(2,10),-0.287738 # DEPENDENCYPART_GRANDPAR
(20,2),(2,11),-0.162386 # DEPENDENCYPART_GRANDPAR
(20,2),(2,15),-0.285731 # DEPENDENCYPART_GRANDPAR
(20,2),(2,18),-0.535031 # DEPENDENCYPART_GRANDPAR
(20,2),(2,19),-0.0747544 # DEPENDENCYPART_GRANDPAR
(20,2),(2,20),-1.20358 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(20,2),(2,24),-0.359126 # DEPENDENCYPART_GRANDPAR
(20,2),(2,33),-1.00195 # DEPENDENCYPART_GRANDPAR
(20,14),(14,4),-0.299303 # DEPENDENCYPART_GRANDPAR
(20,14),(14,6),-0.337448 # DEPENDENCYPART_GRANDPAR
(20,14),(14,8),-0.348336 # DEPENDENCYPART_GRANDPAR
(20,14),(14,9),-0.477891 # DEPENDENCYPART_GRANDPAR
(20,14),(14,10),-0.2809 # DEPENDENCYPART_GRANDPAR
(20,14),(14,11),-0.347761 # DEPENDENCYPART_GRANDPAR
(20,14),(14,12),-0.165573 # DEPENDENCYPART_GRANDPAR
(20,14),(14,13),-0.562795 # DEPENDENCYPART_GRANDPAR
(20,14),(14,15),-0.304284 # DEPENDENCYPART_GRANDPAR
(20,14),(14,16),-0.382664 # DEPENDENCYPART_GRANDPAR
(20,14),(14,17),-0.32207 # DEPENDENCYPART_GRANDPAR
(20,14),(14,18),-0.473405 # DEPENDENCYPART_GRANDPAR
(20,14),(14,19),-0.0101529 # DEPENDENCYPART_GRANDPAR
(20,14),(14,20),-1.10096 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(20,14),(14,21),0.0620383 # DEPENDENCYPART_GRANDPAR
(20,14),(14,23),-0.371748 # DEPENDENCYPART_GRANDPAR
(20,14),(14,24),-0.291818 # DEPENDENCYPART_GRANDPAR
(20,14),(14,26),-0.580269 # DEPENDENCYPART_GRANDPAR
(20,16),(16,12),-0.204372 # DEPENDENCYPART_GRANDPAR
(20,16),(16,13),-0.377185 # DEPENDENCYPART_GRANDPAR
(20,16),(16,14),-0.269016 # DEPENDENCYPART_GRANDPAR
(20,16),(16,15),-0.0660746 # DEPENDENCYPART_GRANDPAR
(20,16),(16,17),-0.377701 # DEPENDENCYPART_GRANDPAR
(20,16),(16,18),-0.407124 # DEPENDENCYPART_GRANDPAR
(20,16),(16,19),-0.00374088 # DEPENDENCYPART_GRANDPAR
(20,16),(16,20),-1.13287 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(20,16),(16,21),0.0882457 # DEPENDENCYPART_GRANDPAR
(20,16),(16,22),-0.276799 # DEPENDENCYPART_GRANDPAR
(20,16),(16,23),-0.353965 # DEPENDENCYPART_GRANDPAR
(20,16),(16,24),-0.304882 # DEPENDENCYPART_GRANDPAR
(20,16),(16,25),-0.515506 # DEPENDENCYPART_GRANDPAR
(20,16),(16,26),-0.594461 # DEPENDENCYPART_GRANDPAR
(20,16),(16,27),-0.452409 # DEPENDENCYPART_GRANDPAR
(20,16),(16,29),-0.678578 # DEPENDENCYPART_GRANDPAR
