# _root_ Synchronized circuit breakers would not have halted the slide in prices on Friday , but they probably would have made for smoother , less volatile executions .
#goldHeads=3,3,4,0,4,4,6,9,7,9,10,9,12,4,4,18,18,15,18,19,20,26,26,25,26,21,4,
#predictedHeads=3,3,4,0,4,4,6,9,7,7,10,11,12,4,4,18,18,15,18,19,20,26,20,25,26,21,4,
(10,12),(12,26),-0.295147 # DEPENDENCYPART_GRANDPAR
(10,13),(13,11),0.938703 # DEPENDENCYPART_GRANDPAR
(10,13),(13,14),-0.261745 # DEPENDENCYPART_GRANDPAR
(10,13),(13,15),-0.617045 # DEPENDENCYPART_GRANDPAR
(10,13),(13,16),-0.559066 # DEPENDENCYPART_GRANDPAR
(10,13),(13,18),-0.217617 # DEPENDENCYPART_GRANDPAR
(10,13),(13,20),-0.626917 # DEPENDENCYPART_GRANDPAR
(10,15),(15,13),-0.575512 # DEPENDENCYPART_GRANDPAR
(10,15),(15,16),-0.607146 # DEPENDENCYPART_GRANDPAR
(10,15),(15,17),0.240261 # DEPENDENCYPART_GRANDPAR
(10,15),(15,18),-0.253445 # DEPENDENCYPART_GRANDPAR
(10,15),(15,19),-0.976249 # DEPENDENCYPART_GRANDPAR
(10,15),(15,20),-0.562192 # DEPENDENCYPART_GRANDPAR
(10,15),(15,21),0.191267 # DEPENDENCYPART_GRANDPAR
(10,15),(15,22),-0.358975 # DEPENDENCYPART_GRANDPAR
(10,15),(15,24),-0.48021 # DEPENDENCYPART_GRANDPAR
(10,18),(18,1),-0.824111 # DEPENDENCYPART_GRANDPAR
(10,18),(18,2),-0.961072 # DEPENDENCYPART_GRANDPAR
(10,18),(18,3),-0.944504 # DEPENDENCYPART_GRANDPAR
(10,18),(18,4),-0.776663 # DEPENDENCYPART_GRANDPAR
(10,18),(18,5),-0.676425 # DEPENDENCYPART_GRANDPAR
(10,18),(18,6),-0.753879 # DEPENDENCYPART_GRANDPAR
(10,18),(18,7),-0.721987 # DEPENDENCYPART_GRANDPAR
(10,18),(18,8),-1.01282 # DEPENDENCYPART_GRANDPAR
(10,18),(18,9),-0.799249 # DEPENDENCYPART_GRANDPAR
(10,18),(18,10),-1.20157 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(10,18),(18,11),0.795407 # DEPENDENCYPART_GRANDPAR
(10,18),(18,12),-0.186996 # DEPENDENCYPART_GRANDPAR
(10,18),(18,13),-0.476879 # DEPENDENCYPART_GRANDPAR
(10,18),(18,14),-0.540524 # DEPENDENCYPART_GRANDPAR
(10,18),(18,15),-0.598361 # DEPENDENCYPART_GRANDPAR
(10,18),(18,16),-0.530981 # DEPENDENCYPART_GRANDPAR
(10,18),(18,17),-0.264676 # DEPENDENCYPART_GRANDPAR
(10,18),(18,19),-0.680865 # DEPENDENCYPART_GRANDPAR
(10,18),(18,20),-0.574789 # DEPENDENCYPART_GRANDPAR
(10,18),(18,21),-0.287201 # DEPENDENCYPART_GRANDPAR
(10,18),(18,22),-0.463648 # DEPENDENCYPART_GRANDPAR
(10,18),(18,23),0.0668923 # DEPENDENCYPART_GRANDPAR
(10,18),(18,24),-0.487282 # DEPENDENCYPART_GRANDPAR
(10,18),(18,26),-0.386487 # DEPENDENCYPART_GRANDPAR
(10,18),(18,27),-1.39857 # DEPENDENCYPART_GRANDPAR
(10,27),(27,26),-0.519753 # DEPENDENCYPART_GRANDPAR
(11,9),(9,1),-0.824967 # DEPENDENCYPART_GRANDPAR
(11,9),(9,5),-0.754832 # DEPENDENCYPART_GRANDPAR
(11,9),(9,7),-0.628389 # DEPENDENCYPART_GRANDPAR
(11,9),(9,8),-0.871449 # DEPENDENCYPART_GRANDPAR
(11,9),(9,10),-0.586278 # DEPENDENCYPART_GRANDPAR
(11,9),(9,11),-1.30697 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(11,9),(9,12),-0.781012 # DEPENDENCYPART_GRANDPAR
(11,9),(9,13),-0.689282 # DEPENDENCYPART_GRANDPAR
(11,9),(9,14),-0.792758 # DEPENDENCYPART_GRANDPAR
(11,9),(9,15),-0.696521 # DEPENDENCYPART_GRANDPAR
(11,9),(9,16),-0.782369 # DEPENDENCYPART_GRANDPAR
(11,9),(9,17),-0.589585 # DEPENDENCYPART_GRANDPAR
(11,9),(9,18),-0.636915 # DEPENDENCYPART_GRANDPAR
(11,9),(9,20),-0.725416 # DEPENDENCYPART_GRANDPAR
(11,9),(9,21),-0.898612 # DEPENDENCYPART_GRANDPAR
(11,9),(9,27),-1.3561 # DEPENDENCYPART_GRANDPAR
(11,12),(12,9),-1.11502 # DEPENDENCYPART_GRANDPAR
(11,12),(12,10),-1.25267 # DEPENDENCYPART_GRANDPAR
(11,12),(12,11),-0.749103 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(11,12),(12,13),-0.014517 # DEPENDENCYPART_GRANDPAR
(11,12),(12,14),-0.0977647 # DEPENDENCYPART_GRANDPAR
(11,12),(12,15),-0.232699 # DEPENDENCYPART_GRANDPAR
(11,12),(12,16),-0.241356 # DEPENDENCYPART_GRANDPAR
(11,12),(12,18),-0.151656 # DEPENDENCYPART_GRANDPAR
(11,12),(12,26),0.0442176 # DEPENDENCYPART_GRANDPAR
(11,13),(13,11),-0.751445 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(11,13),(13,14),0.0254751 # DEPENDENCYPART_GRANDPAR
(11,13),(13,15),-0.072768 # DEPENDENCYPART_GRANDPAR
(11,13),(13,16),-0.247191 # DEPENDENCYPART_GRANDPAR
(11,13),(13,18),-0.118321 # DEPENDENCYPART_GRANDPAR
(11,13),(13,20),-0.178268 # DEPENDENCYPART_GRANDPAR
(11,15),(15,13),-0.123365 # DEPENDENCYPART_GRANDPAR
(11,15),(15,16),-0.260459 # DEPENDENCYPART_GRANDPAR
(11,15),(15,17),0.102266 # DEPENDENCYPART_GRANDPAR
(11,15),(15,18),-0.158561 # DEPENDENCYPART_GRANDPAR
(11,15),(15,19),0.219639 # DEPENDENCYPART_GRANDPAR
(11,15),(15,20),-0.170428 # DEPENDENCYPART_GRANDPAR
(11,15),(15,21),-0.23907 # DEPENDENCYPART_GRANDPAR
(11,15),(15,22),-0.0336209 # DEPENDENCYPART_GRANDPAR
(11,15),(15,24),-0.330027 # DEPENDENCYPART_GRANDPAR
(11,17),(17,16),-0.128321 # DEPENDENCYPART_GRANDPAR
(11,17),(17,19),0.310069 # DEPENDENCYPART_GRANDPAR
(11,17),(17,21),-0.208298 # DEPENDENCYPART_GRANDPAR
(11,18),(18,1),-1.19567 # DEPENDENCYPART_GRANDPAR
(11,18),(18,2),-1.34192 # DEPENDENCYPART_GRANDPAR
(11,18),(18,3),-1.21268 # DEPENDENCYPART_GRANDPAR
(11,18),(18,4),-0.971862 # DEPENDENCYPART_GRANDPAR
(11,18),(18,5),-1.13225 # DEPENDENCYPART_GRANDPAR
(11,18),(18,6),-0.874142 # DEPENDENCYPART_GRANDPAR
(11,18),(18,7),-0.992522 # DEPENDENCYPART_GRANDPAR
(11,18),(18,8),-1.17129 # DEPENDENCYPART_GRANDPAR
(11,18),(18,9),-0.904642 # DEPENDENCYPART_GRANDPAR
(11,18),(18,10),-1.30116 # DEPENDENCYPART_GRANDPAR
(11,18),(18,11),-0.712185 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(11,18),(18,12),-0.0313241 # DEPENDENCYPART_GRANDPAR
(11,18),(18,13),0.0587451 # DEPENDENCYPART_GRANDPAR
(11,18),(18,14),-0.119138 # DEPENDENCYPART_GRANDPAR
(11,18),(18,15),-0.0486956 # DEPENDENCYPART_GRANDPAR
(11,18),(18,16),0.0281993 # DEPENDENCYPART_GRANDPAR
(11,18),(18,17),0.11748 # DEPENDENCYPART_GRANDPAR
(11,18),(18,19),0.488078 # DEPENDENCYPART_GRANDPAR
(11,18),(18,20),-0.259401 # DEPENDENCYPART_GRANDPAR
(11,18),(18,21),-0.215045 # DEPENDENCYPART_GRANDPAR
(11,18),(18,22),-0.230717 # DEPENDENCYPART_GRANDPAR
(11,18),(18,23),-0.509089 # DEPENDENCYPART_GRANDPAR
(11,18),(18,24),-0.370732 # DEPENDENCYPART_GRANDPAR
(11,18),(18,26),-0.16765 # DEPENDENCYPART_GRANDPAR
(11,18),(18,27),-0.855631 # DEPENDENCYPART_GRANDPAR
(11,20),(20,3),-1.35011 # DEPENDENCYPART_GRANDPAR
(11,20),(20,4),-1.03883 # DEPENDENCYPART_GRANDPAR
(11,20),(20,10),-1.39085 # DEPENDENCYPART_GRANDPAR
(11,20),(20,11),-0.838494 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(11,20),(20,12),-0.130263 # DEPENDENCYPART_GRANDPAR
(11,20),(20,13),-0.119768 # DEPENDENCYPART_GRANDPAR
(11,20),(20,16),-0.270631 # DEPENDENCYPART_GRANDPAR
(11,20),(20,17),0.0107827 # DEPENDENCYPART_GRANDPAR
(11,20),(20,21),-0.211641 # DEPENDENCYPART_GRANDPAR
(11,20),(20,22),-0.182484 # DEPENDENCYPART_GRANDPAR
(11,20),(20,23),-0.504329 # DEPENDENCYPART_GRANDPAR
(11,20),(20,24),-0.276131 # DEPENDENCYPART_GRANDPAR
(11,20),(20,25),-0.545677 # DEPENDENCYPART_GRANDPAR
(11,20),(20,26),-0.144129 # DEPENDENCYPART_GRANDPAR
(11,20),(20,27),-0.906184 # DEPENDENCYPART_GRANDPAR
(11,21),(21,22),-0.098013 # DEPENDENCYPART_GRANDPAR
(11,21),(21,23),-0.353269 # DEPENDENCYPART_GRANDPAR
(11,21),(21,24),-0.264726 # DEPENDENCYPART_GRANDPAR
(11,21),(21,25),-0.437732 # DEPENDENCYPART_GRANDPAR
(11,21),(21,26),-0.0522559 # DEPENDENCYPART_GRANDPAR
(11,26),(26,22),-0.0243307 # DEPENDENCYPART_GRANDPAR
(11,26),(26,23),-0.453003 # DEPENDENCYPART_GRANDPAR
(11,26),(26,24),-0.414706 # DEPENDENCYPART_GRANDPAR
(11,26),(26,25),-0.468663 # DEPENDENCYPART_GRANDPAR
(12,9),(9,1),-0.412694 # DEPENDENCYPART_GRANDPAR
(12,9),(9,5),-0.300831 # DEPENDENCYPART_GRANDPAR
(12,9),(9,7),-0.326309 # DEPENDENCYPART_GRANDPAR
(12,9),(9,8),-0.509946 # DEPENDENCYPART_GRANDPAR
(12,9),(9,10),-0.13984 # DEPENDENCYPART_GRANDPAR
(12,9),(9,11),-0.321092 # DEPENDENCYPART_GRANDPAR
(12,9),(9,12),-1.594 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(12,9),(9,13),-0.167481 # DEPENDENCYPART_GRANDPAR
(12,9),(9,14),-0.946771 # DEPENDENCYPART_GRANDPAR
(12,9),(9,15),-1.14118 # DEPENDENCYPART_GRANDPAR
(12,9),(9,16),-1.25474 # DEPENDENCYPART_GRANDPAR
(12,9),(9,17),-0.769273 # DEPENDENCYPART_GRANDPAR
(12,9),(9,18),-0.802756 # DEPENDENCYPART_GRANDPAR
(12,9),(9,20),-1.33415 # DEPENDENCYPART_GRANDPAR
(12,9),(9,21),-0.920311 # DEPENDENCYPART_GRANDPAR
(12,9),(9,27),-1.76979 # DEPENDENCYPART_GRANDPAR
(12,10),(10,9),-0.308849 # DEPENDENCYPART_GRANDPAR
(12,10),(10,11),-0.275484 # DEPENDENCYPART_GRANDPAR
(12,10),(10,12),-1.56856 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(12,10),(10,13),-0.0653843 # DEPENDENCYPART_GRANDPAR
(12,10),(10,14),-0.80603 # DEPENDENCYPART_GRANDPAR
(12,10),(10,15),-1.09055 # DEPENDENCYPART_GRANDPAR
(12,10),(10,18),-0.764534 # DEPENDENCYPART_GRANDPAR
(12,10),(10,27),-1.70474 # DEPENDENCYPART_GRANDPAR
(12,11),(11,8),-0.459333 # DEPENDENCYPART_GRANDPAR
(12,11),(11,9),-0.278068 # DEPENDENCYPART_GRANDPAR
(12,11),(11,12),-1.57165 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(12,11),(11,13),-0.141478 # DEPENDENCYPART_GRANDPAR
(12,11),(11,14),-0.965909 # DEPENDENCYPART_GRANDPAR
(12,11),(11,15),-1.12389 # DEPENDENCYPART_GRANDPAR
(12,11),(11,17),-0.773514 # DEPENDENCYPART_GRANDPAR
(12,11),(11,18),-0.838413 # DEPENDENCYPART_GRANDPAR
(12,11),(11,20),-1.37278 # DEPENDENCYPART_GRANDPAR
(12,11),(11,21),-0.919628 # DEPENDENCYPART_GRANDPAR
(12,11),(11,23),-0.835383 # DEPENDENCYPART_GRANDPAR
(12,11),(11,26),-1.17284 # DEPENDENCYPART_GRANDPAR
(12,13),(13,11),-1.16768 # DEPENDENCYPART_GRANDPAR
(12,13),(13,14),-0.317646 # DEPENDENCYPART_GRANDPAR
(12,13),(13,15),-0.610078 # DEPENDENCYPART_GRANDPAR
(12,13),(13,16),-0.561186 # DEPENDENCYPART_GRANDPAR
(12,13),(13,18),-0.167029 # DEPENDENCYPART_GRANDPAR
(12,13),(13,20),-0.724747 # DEPENDENCYPART_GRANDPAR
(12,15),(15,13),0.441064 # DEPENDENCYPART_GRANDPAR
(12,15),(15,16),-0.692427 # DEPENDENCYPART_GRANDPAR
(12,15),(15,17),0.146472 # DEPENDENCYPART_GRANDPAR
(12,15),(15,18),-0.272963 # DEPENDENCYPART_GRANDPAR
(12,15),(15,19),-0.790908 # DEPENDENCYPART_GRANDPAR
(12,15),(15,20),-0.763264 # DEPENDENCYPART_GRANDPAR
(12,15),(15,21),0.138397 # DEPENDENCYPART_GRANDPAR
(12,15),(15,22),-0.448343 # DEPENDENCYPART_GRANDPAR
(12,15),(15,24),-0.425897 # DEPENDENCYPART_GRANDPAR
(12,16),(16,17),-0.206514 # DEPENDENCYPART_GRANDPAR
(12,16),(16,19),-0.854611 # DEPENDENCYPART_GRANDPAR
(12,16),(16,20),-0.814083 # DEPENDENCYPART_GRANDPAR
(12,18),(18,1),-0.951103 # DEPENDENCYPART_GRANDPAR
(12,18),(18,2),-1.08353 # DEPENDENCYPART_GRANDPAR
(12,18),(18,3),-1.10658 # DEPENDENCYPART_GRANDPAR
(12,18),(18,4),-0.917457 # DEPENDENCYPART_GRANDPAR
(12,18),(18,5),-0.807597 # DEPENDENCYPART_GRANDPAR
(12,18),(18,6),-0.836157 # DEPENDENCYPART_GRANDPAR
(12,18),(18,7),-0.858059 # DEPENDENCYPART_GRANDPAR
(12,18),(18,8),-1.1691 # DEPENDENCYPART_GRANDPAR
(12,18),(18,9),-1.01729 # DEPENDENCYPART_GRANDPAR
(12,18),(18,10),-0.782532 # DEPENDENCYPART_GRANDPAR
(12,18),(18,11),-1.12831 # DEPENDENCYPART_GRANDPAR
(12,18),(18,12),-1.12431 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(12,18),(18,13),0.601794 # DEPENDENCYPART_GRANDPAR
(12,18),(18,14),-0.30061 # DEPENDENCYPART_GRANDPAR
(12,18),(18,15),-0.634016 # DEPENDENCYPART_GRANDPAR
(12,18),(18,16),-0.553157 # DEPENDENCYPART_GRANDPAR
(12,18),(18,17),-0.142757 # DEPENDENCYPART_GRANDPAR
(12,18),(18,19),-0.481921 # DEPENDENCYPART_GRANDPAR
(12,18),(18,20),-0.793246 # DEPENDENCYPART_GRANDPAR
(12,18),(18,21),-0.315935 # DEPENDENCYPART_GRANDPAR
(12,18),(18,22),-0.572917 # DEPENDENCYPART_GRANDPAR
(12,18),(18,23),-0.198776 # DEPENDENCYPART_GRANDPAR
(12,18),(18,24),-0.441891 # DEPENDENCYPART_GRANDPAR
(12,18),(18,26),-0.501289 # DEPENDENCYPART_GRANDPAR
(12,18),(18,27),-1.44384 # DEPENDENCYPART_GRANDPAR
(12,26),(26,22),-0.383756 # DEPENDENCYPART_GRANDPAR
(12,26),(26,23),0.173506 # DEPENDENCYPART_GRANDPAR
(12,26),(26,24),-0.437254 # DEPENDENCYPART_GRANDPAR
(12,26),(26,25),-0.781019 # DEPENDENCYPART_GRANDPAR
(13,11),(11,8),-0.799235 # DEPENDENCYPART_GRANDPAR
(13,11),(11,9),-0.549245 # DEPENDENCYPART_GRANDPAR
(13,11),(11,12),-0.489674 # DEPENDENCYPART_GRANDPAR
(13,11),(11,13),-1.45855 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(13,11),(11,14),-0.858257 # DEPENDENCYPART_GRANDPAR
(13,11),(11,15),-0.911054 # DEPENDENCYPART_GRANDPAR
(13,11),(11,17),-0.48664 # DEPENDENCYPART_GRANDPAR
(13,11),(11,18),-0.858353 # DEPENDENCYPART_GRANDPAR
(13,11),(11,20),-0.735611 # DEPENDENCYPART_GRANDPAR
(13,11),(11,21),-0.696534 # DEPENDENCYPART_GRANDPAR
(13,11),(11,23),-1.03452 # DEPENDENCYPART_GRANDPAR
(13,11),(11,26),-0.889931 # DEPENDENCYPART_GRANDPAR
(13,15),(15,13),-1.09428 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(13,15),(15,16),-0.0723421 # DEPENDENCYPART_GRANDPAR
(13,15),(15,17),-0.0191691 # DEPENDENCYPART_GRANDPAR
(13,15),(15,18),-0.483614 # DEPENDENCYPART_GRANDPAR
(13,15),(15,19),-0.312545 # DEPENDENCYPART_GRANDPAR
(13,15),(15,20),-0.279673 # DEPENDENCYPART_GRANDPAR
(13,15),(15,21),-0.443967 # DEPENDENCYPART_GRANDPAR
(13,15),(15,22),-0.312416 # DEPENDENCYPART_GRANDPAR
(13,15),(15,24),-0.573875 # DEPENDENCYPART_GRANDPAR
(13,16),(16,17),-0.0830163 # DEPENDENCYPART_GRANDPAR
(13,16),(16,19),-0.321883 # DEPENDENCYPART_GRANDPAR
(13,16),(16,20),-0.264312 # DEPENDENCYPART_GRANDPAR
(13,18),(18,1),-1.09052 # DEPENDENCYPART_GRANDPAR
(13,18),(18,2),-1.27375 # DEPENDENCYPART_GRANDPAR
(13,18),(18,3),-1.17845 # DEPENDENCYPART_GRANDPAR
(13,18),(18,4),-1.09303 # DEPENDENCYPART_GRANDPAR
(13,18),(18,5),-0.998144 # DEPENDENCYPART_GRANDPAR
(13,18),(18,6),-0.985565 # DEPENDENCYPART_GRANDPAR
(13,18),(18,7),-1.02458 # DEPENDENCYPART_GRANDPAR
(13,18),(18,8),-1.29733 # DEPENDENCYPART_GRANDPAR
(13,18),(18,9),-1.07585 # DEPENDENCYPART_GRANDPAR
(13,18),(18,10),-1.02849 # DEPENDENCYPART_GRANDPAR
(13,18),(18,11),-1.13695 # DEPENDENCYPART_GRANDPAR
(13,18),(18,12),-1.02737 # DEPENDENCYPART_GRANDPAR
(13,18),(18,13),-1.03107 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(13,18),(18,14),-0.449619 # DEPENDENCYPART_GRANDPAR
(13,18),(18,15),-0.569232 # DEPENDENCYPART_GRANDPAR
(13,18),(18,16),0.0651409 # DEPENDENCYPART_GRANDPAR
(13,18),(18,17),-0.0321605 # DEPENDENCYPART_GRANDPAR
(13,18),(18,19),-0.119343 # DEPENDENCYPART_GRANDPAR
(13,18),(18,20),-0.342173 # DEPENDENCYPART_GRANDPAR
(13,18),(18,21),-0.379281 # DEPENDENCYPART_GRANDPAR
(13,18),(18,22),-0.459306 # DEPENDENCYPART_GRANDPAR
(13,18),(18,23),-0.48514 # DEPENDENCYPART_GRANDPAR
(13,18),(18,24),-0.597659 # DEPENDENCYPART_GRANDPAR
(13,18),(18,26),-0.483245 # DEPENDENCYPART_GRANDPAR
(13,18),(18,27),-0.408893 # DEPENDENCYPART_GRANDPAR
(13,20),(20,3),-1.23034 # DEPENDENCYPART_GRANDPAR
(13,20),(20,4),-1.07582 # DEPENDENCYPART_GRANDPAR
(13,20),(20,10),-0.995974 # DEPENDENCYPART_GRANDPAR
(13,20),(20,11),-1.18886 # DEPENDENCYPART_GRANDPAR
(13,20),(20,12),-1.0404 # DEPENDENCYPART_GRANDPAR
(13,20),(20,13),-1.02065 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(13,20),(20,16),-0.0558823 # DEPENDENCYPART_GRANDPAR
(13,20),(20,17),0.00840597 # DEPENDENCYPART_GRANDPAR
(13,20),(20,21),-0.359571 # DEPENDENCYPART_GRANDPAR
(13,20),(20,22),-0.349239 # DEPENDENCYPART_GRANDPAR
(13,20),(20,23),-0.45148 # DEPENDENCYPART_GRANDPAR
(13,20),(20,24),-0.462593 # DEPENDENCYPART_GRANDPAR
(13,20),(20,25),-0.626119 # DEPENDENCYPART_GRANDPAR
(13,20),(20,26),-0.363757 # DEPENDENCYPART_GRANDPAR
(13,20),(20,27),-0.372579 # DEPENDENCYPART_GRANDPAR
(15,13),(13,11),-0.273714 # DEPENDENCYPART_GRANDPAR
(15,13),(13,14),-0.396407 # DEPENDENCYPART_GRANDPAR
(15,13),(13,15),-0.936321 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(15,13),(13,16),0.670618 # DEPENDENCYPART_GRANDPAR
(15,13),(13,18),0.160089 # DEPENDENCYPART_GRANDPAR
(15,13),(13,20),-0.420924 # DEPENDENCYPART_GRANDPAR
(15,16),(16,17),0.474829 # DEPENDENCYPART_GRANDPAR
(15,16),(16,19),0.693445 # DEPENDENCYPART_GRANDPAR
(15,16),(16,20),0.0502159 # DEPENDENCYPART_GRANDPAR
(15,17),(17,16),1.01265 # DEPENDENCYPART_GRANDPAR
(15,17),(17,19),0.868853 # DEPENDENCYPART_GRANDPAR
(15,17),(17,21),-0.0308358 # DEPENDENCYPART_GRANDPAR
(15,18),(18,1),-0.460423 # DEPENDENCYPART_GRANDPAR
(15,18),(18,2),-0.598792 # DEPENDENCYPART_GRANDPAR
(15,18),(18,3),-0.787196 # DEPENDENCYPART_GRANDPAR
(15,18),(18,4),-0.735461 # DEPENDENCYPART_GRANDPAR
(15,18),(18,5),-0.782077 # DEPENDENCYPART_GRANDPAR
(15,18),(18,6),-0.680995 # DEPENDENCYPART_GRANDPAR
(15,18),(18,7),-0.488067 # DEPENDENCYPART_GRANDPAR
(15,18),(18,8),-0.824645 # DEPENDENCYPART_GRANDPAR
(15,18),(18,9),-0.574455 # DEPENDENCYPART_GRANDPAR
(15,18),(18,10),-0.60625 # DEPENDENCYPART_GRANDPAR
(15,18),(18,11),-0.706978 # DEPENDENCYPART_GRANDPAR
(15,18),(18,12),-0.641596 # DEPENDENCYPART_GRANDPAR
(15,18),(18,13),-0.628619 # DEPENDENCYPART_GRANDPAR
(15,18),(18,14),-0.87734 # DEPENDENCYPART_GRANDPAR
(15,18),(18,15),-0.586423 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(15,18),(18,16),1.28948 # DEPENDENCYPART_GRANDPAR
(15,18),(18,17),0.527711 # DEPENDENCYPART_GRANDPAR
(15,18),(18,19),1.1726 # DEPENDENCYPART_GRANDPAR
(15,18),(18,20),0.188488 # DEPENDENCYPART_GRANDPAR
(15,18),(18,21),0.100424 # DEPENDENCYPART_GRANDPAR
(15,18),(18,22),0.175108 # DEPENDENCYPART_GRANDPAR
(15,18),(18,23),0.0786727 # DEPENDENCYPART_GRANDPAR
(15,18),(18,24),-0.0583557 # DEPENDENCYPART_GRANDPAR
(15,18),(18,26),-0.0784196 # DEPENDENCYPART_GRANDPAR
(15,18),(18,27),-0.605795 # DEPENDENCYPART_GRANDPAR
(15,19),(19,3),-0.800855 # DEPENDENCYPART_GRANDPAR
(15,19),(19,4),-0.709453 # DEPENDENCYPART_GRANDPAR
(15,19),(19,9),-0.601117 # DEPENDENCYPART_GRANDPAR
(15,19),(19,10),-0.582955 # DEPENDENCYPART_GRANDPAR
(15,19),(19,11),-0.721017 # DEPENDENCYPART_GRANDPAR
(15,19),(19,12),-0.626959 # DEPENDENCYPART_GRANDPAR
(15,19),(19,16),1.24944 # DEPENDENCYPART_GRANDPAR
(15,19),(19,17),0.591189 # DEPENDENCYPART_GRANDPAR
(15,19),(19,20),0.410994 # DEPENDENCYPART_GRANDPAR
(15,19),(19,21),0.130719 # DEPENDENCYPART_GRANDPAR
(15,19),(19,22),0.163322 # DEPENDENCYPART_GRANDPAR
(15,19),(19,23),-0.0538048 # DEPENDENCYPART_GRANDPAR
(15,19),(19,24),-0.0447973 # DEPENDENCYPART_GRANDPAR
(15,19),(19,26),-0.0469312 # DEPENDENCYPART_GRANDPAR
(15,19),(19,27),-0.541699 # DEPENDENCYPART_GRANDPAR
(15,20),(20,3),-0.831241 # DEPENDENCYPART_GRANDPAR
(15,20),(20,4),-0.710459 # DEPENDENCYPART_GRANDPAR
(15,20),(20,10),-0.555674 # DEPENDENCYPART_GRANDPAR
(15,20),(20,11),-0.751044 # DEPENDENCYPART_GRANDPAR
(15,20),(20,12),-0.636584 # DEPENDENCYPART_GRANDPAR
(15,20),(20,13),-0.62348 # DEPENDENCYPART_GRANDPAR
(15,20),(20,16),1.17083 # DEPENDENCYPART_GRANDPAR
(15,20),(20,17),0.643655 # DEPENDENCYPART_GRANDPAR
(15,20),(20,21),0.0655958 # DEPENDENCYPART_GRANDPAR
(15,20),(20,22),0.202527 # DEPENDENCYPART_GRANDPAR
(15,20),(20,23),0.0995939 # DEPENDENCYPART_GRANDPAR
(15,20),(20,24),0.00947128 # DEPENDENCYPART_GRANDPAR
(15,20),(20,25),0.0223382 # DEPENDENCYPART_GRANDPAR
(15,20),(20,26),-0.0630502 # DEPENDENCYPART_GRANDPAR
(15,20),(20,27),-0.651067 # DEPENDENCYPART_GRANDPAR
(15,21),(21,22),0.0212467 # DEPENDENCYPART_GRANDPAR
(15,21),(21,23),-0.15991 # DEPENDENCYPART_GRANDPAR
(15,21),(21,24),-0.210508 # DEPENDENCYPART_GRANDPAR
(15,21),(21,25),-0.152746 # DEPENDENCYPART_GRANDPAR
(15,21),(21,26),-0.119469 # DEPENDENCYPART_GRANDPAR
(15,22),(22,17),0.617265 # DEPENDENCYPART_GRANDPAR
(15,22),(22,21),-0.0236606 # DEPENDENCYPART_GRANDPAR
(15,22),(22,23),0.0892938 # DEPENDENCYPART_GRANDPAR
(15,22),(22,24),-0.13961 # DEPENDENCYPART_GRANDPAR
(15,22),(22,25),-0.182856 # DEPENDENCYPART_GRANDPAR
(15,22),(22,26),-0.257613 # DEPENDENCYPART_GRANDPAR
(15,24),(24,22),0.0514987 # DEPENDENCYPART_GRANDPAR
(15,24),(24,23),0.109908 # DEPENDENCYPART_GRANDPAR
(15,24),(24,25),-0.275249 # DEPENDENCYPART_GRANDPAR
(15,24),(24,26),-0.228464 # DEPENDENCYPART_GRANDPAR
(15,24),(24,27),-0.786291 # DEPENDENCYPART_GRANDPAR
(16,17),(17,16),-0.770422 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(16,17),(17,19),-0.190788 # DEPENDENCYPART_GRANDPAR
(16,17),(17,21),-0.206422 # DEPENDENCYPART_GRANDPAR
(16,19),(19,3),-1.16295 # DEPENDENCYPART_GRANDPAR
(16,19),(19,4),-1.11476 # DEPENDENCYPART_GRANDPAR
(16,19),(19,9),-0.988351 # DEPENDENCYPART_GRANDPAR
(16,19),(19,10),-1.05415 # DEPENDENCYPART_GRANDPAR
(16,19),(19,11),-1.11995 # DEPENDENCYPART_GRANDPAR
(16,19),(19,12),-1.00927 # DEPENDENCYPART_GRANDPAR
(16,19),(19,16),-0.650394 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(16,19),(19,17),-0.141292 # DEPENDENCYPART_GRANDPAR
(16,19),(19,20),-0.106208 # DEPENDENCYPART_GRANDPAR
(16,19),(19,21),-0.287558 # DEPENDENCYPART_GRANDPAR
(16,19),(19,22),-0.244584 # DEPENDENCYPART_GRANDPAR
