# _root_ But analysts , while applauding the acquisition , say Applied 's chief executive faces a tough challenge in integrating the two companies .
#goldHeads=9,9,9,9,4,7,5,9,0,13,10,13,14,9,17,17,14,17,18,22,22,19,9,
#predictedHeads=9,9,2,9,4,7,5,9,0,13,10,13,14,9,17,17,14,17,18,22,22,19,9,
(22,16),(22,23),-0.145473 # DEPENDENCYPART_SIBL
(22,17),(22,18),-0.0192923 # DEPENDENCYPART_SIBL
(22,17),(22,19),0.0547217 # DEPENDENCYPART_SIBL
(22,17),(22,20),-0.526427 # DEPENDENCYPART_SIBL
(22,17),(22,21),-0.162448 # DEPENDENCYPART_SIBL
(22,17),(22,23),-0.0337778 # DEPENDENCYPART_SIBL
(22,18),(22,19),-0.0485261 # DEPENDENCYPART_SIBL
(22,18),(22,20),-0.205105 # DEPENDENCYPART_SIBL
(22,18),(22,21),-0.0481549 # DEPENDENCYPART_SIBL
(22,18),(22,23),0.00507167 # DEPENDENCYPART_SIBL
(22,19),(22,20),-0.284351 # DEPENDENCYPART_SIBL
(22,19),(22,21),-0.0663277 # DEPENDENCYPART_SIBL
(22,19),(22,23),0.0202203 # DEPENDENCYPART_SIBL
(22,20),(22,21),0.180767 # DEPENDENCYPART_SIBL
(22,20),(22,23),-0.213632 # DEPENDENCYPART_SIBL
(22,21),(22,23),0.0301171 # DEPENDENCYPART_SIBL
(0,9),(9,1),1.05825 # DEPENDENCYPART_GRANDPAR
(0,9),(9,2),1.11991 # DEPENDENCYPART_GRANDPAR
(0,9),(9,3),0.920384 # DEPENDENCYPART_GRANDPAR
(0,9),(9,4),0.390027 # DEPENDENCYPART_GRANDPAR
(0,9),(9,5),-0.175446 # DEPENDENCYPART_GRANDPAR
(0,9),(9,6),-0.634563 # DEPENDENCYPART_GRANDPAR
(0,9),(9,7),-0.16191 # DEPENDENCYPART_GRANDPAR
(0,9),(9,8),0.365922 # DEPENDENCYPART_GRANDPAR
(0,9),(9,10),-0.237247 # DEPENDENCYPART_GRANDPAR
(0,9),(9,11),-0.662481 # DEPENDENCYPART_GRANDPAR
(0,9),(9,12),-0.682569 # DEPENDENCYPART_GRANDPAR
(0,9),(9,13),-0.0513672 # DEPENDENCYPART_GRANDPAR
(0,9),(9,14),0.496546 # DEPENDENCYPART_GRANDPAR
(0,9),(9,17),0.0725137 # DEPENDENCYPART_GRANDPAR
(0,9),(9,18),-0.141314 # DEPENDENCYPART_GRANDPAR
(0,9),(9,19),-0.560998 # DEPENDENCYPART_GRANDPAR
(0,9),(9,22),0.190733 # DEPENDENCYPART_GRANDPAR
(0,9),(9,23),1.56993 # DEPENDENCYPART_GRANDPAR
(0,14),(14,1),0.73654 # DEPENDENCYPART_GRANDPAR
(0,14),(14,2),0.521907 # DEPENDENCYPART_GRANDPAR
(0,14),(14,3),0.572231 # DEPENDENCYPART_GRANDPAR
(0,14),(14,4),0.419289 # DEPENDENCYPART_GRANDPAR
(0,14),(14,5),-0.405576 # DEPENDENCYPART_GRANDPAR
(0,14),(14,7),-0.156276 # DEPENDENCYPART_GRANDPAR
(0,14),(14,8),0.0177692 # DEPENDENCYPART_GRANDPAR
(0,14),(14,9),0.290186 # DEPENDENCYPART_GRANDPAR
(0,14),(14,10),-0.304724 # DEPENDENCYPART_GRANDPAR
(0,14),(14,11),-0.699353 # DEPENDENCYPART_GRANDPAR
(0,14),(14,12),-0.778329 # DEPENDENCYPART_GRANDPAR
(0,14),(14,13),0.0725785 # DEPENDENCYPART_GRANDPAR
(0,14),(14,15),-0.525317 # DEPENDENCYPART_GRANDPAR
(0,14),(14,16),-0.61237 # DEPENDENCYPART_GRANDPAR
(0,14),(14,17),0.354025 # DEPENDENCYPART_GRANDPAR
(0,14),(14,18),0.0768949 # DEPENDENCYPART_GRANDPAR
(0,14),(14,19),-0.54011 # DEPENDENCYPART_GRANDPAR
(0,14),(14,22),0.330231 # DEPENDENCYPART_GRANDPAR
(0,14),(14,23),1.37335 # DEPENDENCYPART_GRANDPAR
(1,2),(2,1),-1.65488 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,2),(2,3),-0.730257 # DEPENDENCYPART_GRANDPAR
(1,2),(2,4),-1.09032 # DEPENDENCYPART_GRANDPAR
(1,2),(2,5),-0.780383 # DEPENDENCYPART_GRANDPAR
(1,2),(2,7),-1.34667 # DEPENDENCYPART_GRANDPAR
(1,2),(2,8),-0.671031 # DEPENDENCYPART_GRANDPAR
(1,2),(2,9),-1.04268 # DEPENDENCYPART_GRANDPAR
(1,2),(2,10),-1.46726 # DEPENDENCYPART_GRANDPAR
(1,2),(2,11),-1.38576 # DEPENDENCYPART_GRANDPAR
(1,2),(2,13),-1.40209 # DEPENDENCYPART_GRANDPAR
(1,2),(2,14),-0.908188 # DEPENDENCYPART_GRANDPAR
(1,2),(2,22),-1.73415 # DEPENDENCYPART_GRANDPAR
(1,3),(3,1),-1.58331 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,3),(3,2),0.139193 # DEPENDENCYPART_GRANDPAR
(1,3),(3,4),-0.928501 # DEPENDENCYPART_GRANDPAR
(1,14),(14,1),-1.60384 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,14),(14,2),0.0782844 # DEPENDENCYPART_GRANDPAR
(1,14),(14,3),-0.509807 # DEPENDENCYPART_GRANDPAR
(1,14),(14,4),-0.706949 # DEPENDENCYPART_GRANDPAR
(1,14),(14,5),-0.560427 # DEPENDENCYPART_GRANDPAR
(1,14),(14,7),-1.24304 # DEPENDENCYPART_GRANDPAR
(1,14),(14,8),-0.450581 # DEPENDENCYPART_GRANDPAR
(1,14),(14,9),-0.919994 # DEPENDENCYPART_GRANDPAR
(1,14),(14,10),-1.28909 # DEPENDENCYPART_GRANDPAR
(1,14),(14,11),-1.20408 # DEPENDENCYPART_GRANDPAR
(1,14),(14,12),-1.1456 # DEPENDENCYPART_GRANDPAR
(1,14),(14,13),-1.26174 # DEPENDENCYPART_GRANDPAR
(1,14),(14,15),-1.23922 # DEPENDENCYPART_GRANDPAR
(1,14),(14,16),-1.02345 # DEPENDENCYPART_GRANDPAR
(1,14),(14,17),-0.804176 # DEPENDENCYPART_GRANDPAR
(1,14),(14,18),-1.24281 # DEPENDENCYPART_GRANDPAR
(1,14),(14,19),-0.783138 # DEPENDENCYPART_GRANDPAR
(1,14),(14,22),-1.37499 # DEPENDENCYPART_GRANDPAR
(1,14),(14,23),-2.88857 # DEPENDENCYPART_GRANDPAR
(2,1),(1,2),-1.15299 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,1),(1,3),-0.57612 # DEPENDENCYPART_GRANDPAR
(2,1),(1,14),-0.50116 # DEPENDENCYPART_GRANDPAR
(2,3),(3,1),-0.959555 # DEPENDENCYPART_GRANDPAR
(2,3),(3,2),-0.757396 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,3),(3,4),-0.171488 # DEPENDENCYPART_GRANDPAR
(2,4),(4,1),-1.01229 # DEPENDENCYPART_GRANDPAR
(2,4),(4,2),-0.736875 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,4),(4,3),-0.0502831 # DEPENDENCYPART_GRANDPAR
(2,4),(4,5),-0.098308 # DEPENDENCYPART_GRANDPAR
(2,4),(4,7),-0.232104 # DEPENDENCYPART_GRANDPAR
(2,4),(4,8),-0.0691282 # DEPENDENCYPART_GRANDPAR
(2,4),(4,9),-0.314435 # DEPENDENCYPART_GRANDPAR
(2,4),(4,14),-0.0962175 # DEPENDENCYPART_GRANDPAR
(2,4),(4,19),-0.373961 # DEPENDENCYPART_GRANDPAR
(2,5),(5,1),-1.06943 # DEPENDENCYPART_GRANDPAR
(2,5),(5,2),-0.770952 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,5),(5,3),-0.182485 # DEPENDENCYPART_GRANDPAR
(2,5),(5,4),-0.265964 # DEPENDENCYPART_GRANDPAR
(2,5),(5,6),-0.330669 # DEPENDENCYPART_GRANDPAR
(2,5),(5,7),-0.0360103 # DEPENDENCYPART_GRANDPAR
(2,5),(5,8),0.00358384 # DEPENDENCYPART_GRANDPAR
(2,5),(5,9),-0.277229 # DEPENDENCYPART_GRANDPAR
(2,5),(5,10),-0.0890405 # DEPENDENCYPART_GRANDPAR
(2,5),(5,11),-1.03412 # DEPENDENCYPART_GRANDPAR
(2,5),(5,12),-0.373838 # DEPENDENCYPART_GRANDPAR
(2,5),(5,13),-0.300299 # DEPENDENCYPART_GRANDPAR
(2,5),(5,14),-0.109137 # DEPENDENCYPART_GRANDPAR
(2,5),(5,17),-0.30522 # DEPENDENCYPART_GRANDPAR
(2,5),(5,18),-0.398394 # DEPENDENCYPART_GRANDPAR
(2,5),(5,19),-0.219261 # DEPENDENCYPART_GRANDPAR
(2,5),(5,22),-0.231146 # DEPENDENCYPART_GRANDPAR
(2,7),(7,1),-1.1023 # DEPENDENCYPART_GRANDPAR
(2,7),(7,2),-0.669027 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,7),(7,3),-0.0085221 # DEPENDENCYPART_GRANDPAR
(2,7),(7,4),-0.104652 # DEPENDENCYPART_GRANDPAR
(2,7),(7,5),0.0593144 # DEPENDENCYPART_GRANDPAR
(2,7),(7,6),-0.185178 # DEPENDENCYPART_GRANDPAR
(2,7),(7,8),0.0452648 # DEPENDENCYPART_GRANDPAR
(2,7),(7,9),-0.189284 # DEPENDENCYPART_GRANDPAR
(2,7),(7,10),-0.194969 # DEPENDENCYPART_GRANDPAR
(2,7),(7,11),-1.20802 # DEPENDENCYPART_GRANDPAR
(2,7),(7,12),-0.459057 # DEPENDENCYPART_GRANDPAR
(2,7),(7,13),-0.345005 # DEPENDENCYPART_GRANDPAR
(2,7),(7,14),-0.0233179 # DEPENDENCYPART_GRANDPAR
(2,7),(7,17),-0.358721 # DEPENDENCYPART_GRANDPAR
(2,7),(7,18),-0.385365 # DEPENDENCYPART_GRANDPAR
(2,7),(7,19),-0.278605 # DEPENDENCYPART_GRANDPAR
(2,7),(7,22),-0.245171 # DEPENDENCYPART_GRANDPAR
(2,7),(7,23),-0.656684 # DEPENDENCYPART_GRANDPAR
(2,9),(9,1),-0.980034 # DEPENDENCYPART_GRANDPAR
(2,9),(9,2),-0.553124 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,9),(9,3),-0.067818 # DEPENDENCYPART_GRANDPAR
(2,9),(9,4),-0.118031 # DEPENDENCYPART_GRANDPAR
(2,9),(9,5),0.036323 # DEPENDENCYPART_GRANDPAR
(2,9),(9,6),-0.22376 # DEPENDENCYPART_GRANDPAR
(2,9),(9,7),-0.197381 # DEPENDENCYPART_GRANDPAR
(2,9),(9,8),-0.00181323 # DEPENDENCYPART_GRANDPAR
(2,9),(9,10),-0.161997 # DEPENDENCYPART_GRANDPAR
(2,9),(9,11),-0.955974 # DEPENDENCYPART_GRANDPAR
(2,9),(9,12),-0.25252 # DEPENDENCYPART_GRANDPAR
(2,9),(9,13),-0.372303 # DEPENDENCYPART_GRANDPAR
(2,9),(9,14),0.100447 # DEPENDENCYPART_GRANDPAR
(2,9),(9,17),-0.3832 # DEPENDENCYPART_GRANDPAR
(2,9),(9,18),-0.315401 # DEPENDENCYPART_GRANDPAR
(2,9),(9,19),-0.223938 # DEPENDENCYPART_GRANDPAR
(2,9),(9,22),-0.298564 # DEPENDENCYPART_GRANDPAR
(2,9),(9,23),-0.714727 # DEPENDENCYPART_GRANDPAR
(2,10),(10,1),-1.00301 # DEPENDENCYPART_GRANDPAR
(2,10),(10,2),-0.67491 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,10),(10,3),0.0394964 # DEPENDENCYPART_GRANDPAR
(2,10),(10,4),-0.0868266 # DEPENDENCYPART_GRANDPAR
(2,10),(10,5),-0.0138526 # DEPENDENCYPART_GRANDPAR
(2,10),(10,6),-0.0336868 # DEPENDENCYPART_GRANDPAR
(2,10),(10,7),-0.0889413 # DEPENDENCYPART_GRANDPAR
(2,10),(10,8),0.105501 # DEPENDENCYPART_GRANDPAR
(2,10),(10,9),-0.147643 # DEPENDENCYPART_GRANDPAR
(2,10),(10,11),-1.10747 # DEPENDENCYPART_GRANDPAR
(2,10),(10,12),-0.379958 # DEPENDENCYPART_GRANDPAR
(2,10),(10,13),-0.36044 # DEPENDENCYPART_GRANDPAR
(2,10),(10,14),-0.000678932 # DEPENDENCYPART_GRANDPAR
(2,10),(10,17),-0.375051 # DEPENDENCYPART_GRANDPAR
(2,11),(11,1),-0.925213 # DEPENDENCYPART_GRANDPAR
(2,11),(11,2),-0.775074 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,11),(11,4),-0.187094 # DEPENDENCYPART_GRANDPAR
(2,11),(11,8),-0.0616725 # DEPENDENCYPART_GRANDPAR
(2,11),(11,9),-0.21776 # DEPENDENCYPART_GRANDPAR
(2,11),(11,12),-0.238843 # DEPENDENCYPART_GRANDPAR
(2,13),(13,2),-0.668609 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,13),(13,3),-0.0528263 # DEPENDENCYPART_GRANDPAR
(2,13),(13,4),-0.096947 # DEPENDENCYPART_GRANDPAR
(2,13),(13,5),0.0698022 # DEPENDENCYPART_GRANDPAR
(2,13),(13,6),-0.232794 # DEPENDENCYPART_GRANDPAR
(2,13),(13,7),-0.0704072 # DEPENDENCYPART_GRANDPAR
(2,13),(13,8),0.0131784 # DEPENDENCYPART_GRANDPAR
(2,13),(13,9),-0.120696 # DEPENDENCYPART_GRANDPAR
(2,13),(13,10),-0.0731001 # DEPENDENCYPART_GRANDPAR
(2,13),(13,11),-0.098613 # DEPENDENCYPART_GRANDPAR
(2,13),(13,12),-0.0736016 # DEPENDENCYPART_GRANDPAR
(2,13),(13,14),-0.0198295 # DEPENDENCYPART_GRANDPAR
(2,13),(13,17),-0.371759 # DEPENDENCYPART_GRANDPAR
(2,13),(13,18),-0.412661 # DEPENDENCYPART_GRANDPAR
(2,13),(13,19),-0.277713 # DEPENDENCYPART_GRANDPAR
(2,13),(13,22),-0.249005 # DEPENDENCYPART_GRANDPAR
(2,14),(14,1),-0.843654 # DEPENDENCYPART_GRANDPAR
(2,14),(14,2),-0.727777 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,14),(14,3),-0.142146 # DEPENDENCYPART_GRANDPAR
(2,14),(14,4),0.0441699 # DEPENDENCYPART_GRANDPAR
(2,14),(14,5),0.0680573 # DEPENDENCYPART_GRANDPAR
(2,14),(14,7),-0.0169824 # DEPENDENCYPART_GRANDPAR
(2,14),(14,8),-0.0761412 # DEPENDENCYPART_GRANDPAR
(2,14),(14,9),-0.0694114 # DEPENDENCYPART_GRANDPAR
(2,14),(14,10),0.0537543 # DEPENDENCYPART_GRANDPAR
(2,14),(14,11),-0.546164 # DEPENDENCYPART_GRANDPAR
(2,14),(14,12),-0.21487 # DEPENDENCYPART_GRANDPAR
(2,14),(14,13),-0.238309 # DEPENDENCYPART_GRANDPAR
(2,14),(14,15),-0.691274 # DEPENDENCYPART_GRANDPAR
(2,14),(14,16),-0.494288 # DEPENDENCYPART_GRANDPAR
(2,14),(14,17),-0.429085 # DEPENDENCYPART_GRANDPAR
(2,14),(14,18),-0.397031 # DEPENDENCYPART_GRANDPAR
(2,14),(14,19),-0.331695 # DEPENDENCYPART_GRANDPAR
(2,14),(14,22),-0.260063 # DEPENDENCYPART_GRANDPAR
(2,14),(14,23),-0.840633 # DEPENDENCYPART_GRANDPAR
(2,22),(22,10),-0.0978613 # DEPENDENCYPART_GRANDPAR
(2,22),(22,12),-0.172325 # DEPENDENCYPART_GRANDPAR
(2,22),(22,13),-0.340136 # DEPENDENCYPART_GRANDPAR
(2,22),(22,15),-0.441907 # DEPENDENCYPART_GRANDPAR
(2,22),(22,16),-0.241625 # DEPENDENCYPART_GRANDPAR
(2,22),(22,17),-0.349521 # DEPENDENCYPART_GRANDPAR
(2,22),(22,18),-0.554935 # DEPENDENCYPART_GRANDPAR
(2,22),(22,19),-0.173877 # DEPENDENCYPART_GRANDPAR
(2,22),(22,20),-0.173592 # DEPENDENCYPART_GRANDPAR
(2,22),(22,21),-0.0320876 # DEPENDENCYPART_GRANDPAR
(2,22),(22,23),-0.661118 # DEPENDENCYPART_GRANDPAR
(3,1),(1,2),-0.237763 # DEPENDENCYPART_GRANDPAR
(3,1),(1,3),-1.8264 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,1),(1,14),-0.686468 # DEPENDENCYPART_GRANDPAR
(3,2),(2,1),-0.259964 # DEPENDENCYPART_GRANDPAR
(3,2),(2,3),-1.92965 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,2),(2,4),-0.535289 # DEPENDENCYPART_GRANDPAR
(3,2),(2,5),-0.662118 # DEPENDENCYPART_GRANDPAR
(3,2),(2,7),-0.948701 # DEPENDENCYPART_GRANDPAR
(3,2),(2,8),-0.956893 # DEPENDENCYPART_GRANDPAR
(3,2),(2,9),-0.383273 # DEPENDENCYPART_GRANDPAR
(3,2),(2,10),-1.07757 # DEPENDENCYPART_GRANDPAR
(3,2),(2,11),-1.21827 # DEPENDENCYPART_GRANDPAR
(3,2),(2,13),-1.10305 # DEPENDENCYPART_GRANDPAR
(3,2),(2,14),-0.677065 # DEPENDENCYPART_GRANDPAR
(3,2),(2,22),-1.3029 # DEPENDENCYPART_GRANDPAR
(3,4),(4,1),-0.665872 # DEPENDENCYPART_GRANDPAR
(3,4),(4,2),-0.686384 # DEPENDENCYPART_GRANDPAR
(3,4),(4,3),-1.39708 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,4),(4,5),-0.310378 # DEPENDENCYPART_GRANDPAR
(3,4),(4,7),-0.507132 # DEPENDENCYPART_GRANDPAR
(3,4),(4,8),-0.422416 # DEPENDENCYPART_GRANDPAR
(3,4),(4,9),0.187551 # DEPENDENCYPART_GRANDPAR
(3,4),(4,14),-0.15179 # DEPENDENCYPART_GRANDPAR
(3,4),(4,19),-0.688509 # DEPENDENCYPART_GRANDPAR
(4,1),(1,2),-0.361651 # DEPENDENCYPART_GRANDPAR
(4,1),(1,3),-0.733355 # DEPENDENCYPART_GRANDPAR
(4,1),(1,14),-0.358222 # DEPENDENCYPART_GRANDPAR
(4,2),(2,1),-0.356093 # DEPENDENCYPART_GRANDPAR
(4,2),(2,3),-0.652844 # DEPENDENCYPART_GRANDPAR
(4,2),(2,4),-1.0961 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,2),(2,5),0.578044 # DEPENDENCYPART_GRANDPAR
(4,2),(2,7),-0.462405 # DEPENDENCYPART_GRANDPAR
(4,2),(2,8),-0.919579 # DEPENDENCYPART_GRANDPAR
(4,2),(2,9),-0.552886 # DEPENDENCYPART_GRANDPAR
(4,2),(2,10),-1.287 # DEPENDENCYPART_GRANDPAR
(4,2),(2,11),-1.21721 # DEPENDENCYPART_GRANDPAR
(4,2),(2,13),-1.02911 # DEPENDENCYPART_GRANDPAR
(4,2),(2,14),-0.453997 # DEPENDENCYPART_GRANDPAR
(4,2),(2,22),-0.93539 # DEPENDENCYPART_GRANDPAR
(4,3),(3,1),-0.0658347 # DEPENDENCYPART_GRANDPAR
(4,3),(3,2),-0.350566 # DEPENDENCYPART_GRANDPAR
(4,3),(3,4),-1.01892 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,5),(5,1),-0.450065 # DEPENDENCYPART_GRANDPAR
(4,5),(5,2),-0.913702 # DEPENDENCYPART_GRANDPAR
(4,5),(5,3),-1.03704 # DEPENDENCYPART_GRANDPAR
(4,5),(5,4),-0.356225 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,5),(5,6),-0.425494 # DEPENDENCYPART_GRANDPAR
(4,5),(5,7),0.444282 # DEPENDENCYPART_GRANDPAR
(4,5),(5,8),-0.233126 # DEPENDENCYPART_GRANDPAR
(4,5),(5,9),0.0606176 # DEPENDENCYPART_GRANDPAR
(4,5),(5,10),-0.453687 # DEPENDENCYPART_GRANDPAR
(4,5),(5,11),-0.714744 # DEPENDENCYPART_GRANDPAR
(4,5),(5,12),-0.341859 # DEPENDENCYPART_GRANDPAR
(4,5),(5,13),-0.128969 # DEPENDENCYPART_GRANDPAR
(4,5),(5,14),0.161018 # DEPENDENCYPART_GRANDPAR
(4,5),(5,17),-0.254763 # DEPENDENCYPART_GRANDPAR
(4,5),(5,18),0.66716 # DEPENDENCYPART_GRANDPAR
(4,5),(5,19),0.0814476 # DEPENDENCYPART_GRANDPAR
(4,5),(5,22),-0.0715906 # DEPENDENCYPART_GRANDPAR
(4,7),(7,1),-0.606043 # DEPENDENCYPART_GRANDPAR
(4,7),(7,2),-1.02502 # DEPENDENCYPART_GRANDPAR
(4,7),(7,3),-1.25929 # DEPENDENCYPART_GRANDPAR
(4,7),(7,4),-0.679133 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,7),(7,5),1.11642 # DEPENDENCYPART_GRANDPAR
(4,7),(7,6),-0.949085 # DEPENDENCYPART_GRANDPAR
(4,7),(7,8),-0.341017 # DEPENDENCYPART_GRANDPAR
(4,7),(7,9),0.131884 # DEPENDENCYPART_GRANDPAR
(4,7),(7,10),-0.524066 # DEPENDENCYPART_GRANDPAR
(4,7),(7,11),-0.953823 # DEPENDENCYPART_GRANDPAR
(4,7),(7,12),-0.465702 # DEPENDENCYPART_GRANDPAR
(4,7),(7,13),-0.193364 # DEPENDENCYPART_GRANDPAR
(4,7),(7,14),0.165004 # DEPENDENCYPART_GRANDPAR
(4,7),(7,17),-0.328239 # DEPENDENCYPART_GRANDPAR
(4,7),(7,18),0.542341 # DEPENDENCYPART_GRANDPAR
(4,7),(7,19),0.0235793 # DEPENDENCYPART_GRANDPAR
(4,7),(7,22),-0.14295 # DEPENDENCYPART_GRANDPAR
(4,7),(7,23),-1.3367 # DEPENDENCYPART_GRANDPAR
(4,9),(9,1),-0.467629 # DEPENDENCYPART_GRANDPAR
(4,9),(9,2),-0.909751 # DEPENDENCYPART_GRANDPAR
(4,9),(9,3),-1.05676 # DEPENDENCYPART_GRANDPAR
(4,9),(9,4),-0.607346 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,9),(9,5),1.1659 # DEPENDENCYPART_GRANDPAR
(4,9),(9,6),-0.898904 # DEPENDENCYPART_GRANDPAR
(4,9),(9,7),0.429582 # DEPENDENCYPART_GRANDPAR
(4,9),(9,8),-0.255612 # DEPENDENCYPART_GRANDPAR
(4,9),(9,10),-0.410312 # DEPENDENCYPART_GRANDPAR
(4,9),(9,11),-0.581304 # DEPENDENCYPART_GRANDPAR
(4,9),(9,12),-0.137324 # DEPENDENCYPART_GRANDPAR
(4,9),(9,13),-0.0335443 # DEPENDENCYPART_GRANDPAR
(4,9),(9,14),0.367976 # DEPENDENCYPART_GRANDPAR
(4,9),(9,17),-0.165303 # DEPENDENCYPART_GRANDPAR
(4,9),(9,18),0.723973 # DEPENDENCYPART_GRANDPAR
(4,9),(9,19),0.171136 # DEPENDENCYPART_GRANDPAR
(4,9),(9,22),-0.0050531 # DEPENDENCYPART_GRANDPAR
(4,9),(9,23),-1.31728 # DEPENDENCYPART_GRANDPAR
(4,14),(14,1),-0.41302 # DEPENDENCYPART_GRANDPAR
(4,14),(14,2),-0.981618 # DEPENDENCYPART_GRANDPAR
(4,14),(14,3),-1.0898 # DEPENDENCYPART_GRANDPAR
(4,14),(14,4),-0.374137 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,14),(14,5),1.29975 # DEPENDENCYPART_GRANDPAR
(4,14),(14,7),0.637488 # DEPENDENCYPART_GRANDPAR
(4,14),(14,8),-0.178561 # DEPENDENCYPART_GRANDPAR
(4,14),(14,9),0.155653 # DEPENDENCYPART_GRANDPAR
(4,14),(14,10),-0.409915 # DEPENDENCYPART_GRANDPAR
(4,14),(14,11),-0.478168 # DEPENDENCYPART_GRANDPAR
(4,14),(14,12),-0.546086 # DEPENDENCYPART_GRANDPAR
(4,14),(14,13),0.0764903 # DEPENDENCYPART_GRANDPAR
(4,14),(14,15),-0.253127 # DEPENDENCYPART_GRANDPAR
(4,14),(14,16),-0.39168 # DEPENDENCYPART_GRANDPAR
(4,14),(14,17),0.114736 # DEPENDENCYPART_GRANDPAR
(4,14),(14,18),0.819439 # DEPENDENCYPART_GRANDPAR
(4,14),(14,19),0.251496 # DEPENDENCYPART_GRANDPAR
(4,14),(14,22),0.226441 # DEPENDENCYPART_GRANDPAR
(4,14),(14,23),-1.27889 # DEPENDENCYPART_GRANDPAR
(4,19),(19,17),0.0828477 # DEPENDENCYPART_GRANDPAR
(4,19),(19,18),0.458164 # DEPENDENCYPART_GRANDPAR
(4,19),(19,20),-1.39146 # DEPENDENCYPART_GRANDPAR
(4,19),(19,21),-0.882563 # DEPENDENCYPART_GRANDPAR
(4,19),(19,22),-0.0748256 # DEPENDENCYPART_GRANDPAR
(4,19),(19,23),-1.45589 # DEPENDENCYPART_GRANDPAR
(5,1),(1,2),-0.559659 # DEPENDENCYPART_GRANDPAR
(5,1),(1,3),-0.706695 # DEPENDENCYPART_GRANDPAR
(5,1),(1,14),-0.486278 # DEPENDENCYPART_GRANDPAR
(5,2),(2,1),-0.473448 # DEPENDENCYPART_GRANDPAR
(5,2),(2,3),-0.488045 # DEPENDENCYPART_GRANDPAR
(5,2),(2,4),-0.0351988 # DEPENDENCYPART_GRANDPAR
(5,2),(2,5),-1.0815 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,2),(2,7),-0.156644 # DEPENDENCYPART_GRANDPAR
(5,2),(2,8),-0.671732 # DEPENDENCYPART_GRANDPAR
(5,2),(2,9),-0.533888 # DEPENDENCYPART_GRANDPAR
(5,2),(2,10),-0.673305 # DEPENDENCYPART_GRANDPAR
(5,2),(2,11),-1.55272 # DEPENDENCYPART_GRANDPAR
(5,2),(2,13),-0.584982 # DEPENDENCYPART_GRANDPAR
(5,2),(2,14),-0.504293 # DEPENDENCYPART_GRANDPAR
(5,2),(2,22),-0.981468 # DEPENDENCYPART_GRANDPAR
(5,3),(3,1),-0.254204 # DEPENDENCYPART_GRANDPAR
(5,3),(3,2),-0.36328 # DEPENDENCYPART_GRANDPAR
(5,3),(3,4),-0.188667 # DEPENDENCYPART_GRANDPAR
(5,4),(4,1),-0.375708 # DEPENDENCYPART_GRANDPAR
(5,4),(4,2),-0.359872 # DEPENDENCYPART_GRANDPAR
(5,4),(4,3),-0.511588 # DEPENDENCYPART_GRANDPAR
(5,4),(4,5),-1.09739 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,4),(4,7),-0.14312 # DEPENDENCYPART_GRANDPAR
(5,4),(4,8),-0.523349 # DEPENDENCYPART_GRANDPAR
(5,4),(4,9),-0.515784 # DEPENDENCYPART_GRANDPAR
(5,4),(4,14),-0.499839 # DEPENDENCYPART_GRANDPAR
(5,4),(4,19),-0.65169 # DEPENDENCYPART_GRANDPAR
(5,6),(6,1),-0.724876 # DEPENDENCYPART_GRANDPAR
(5,6),(6,3),-1.03897 # DEPENDENCYPART_GRANDPAR
(5,6),(6,9),0.0422933 # DEPENDENCYPART_GRANDPAR
(5,7),(7,1),-0.836727 # DEPENDENCYPART_GRANDPAR
(5,7),(7,2),-0.961571 # DEPENDENCYPART_GRANDPAR
(5,7),(7,3),-1.21257 # DEPENDENCYPART_GRANDPAR
(5,7),(7,4),-0.684724 # DEPENDENCYPART_GRANDPAR
(5,7),(7,5),-0.690392 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,7),(7,6),0.847528 # DEPENDENCYPART_GRANDPAR
