# _root_ Mr. Eskandarian , who resigned his Della Femina post in September , becomes chairman and chief executive of Arnold .
#goldHeads=2,13,2,5,2,9,9,9,5,5,10,2,0,13,14,17,15,14,18,13,
#predictedHeads=2,13,2,5,2,9,9,9,5,5,10,2,0,13,14,17,15,14,18,13,
(0,13),(13,10),-0.515039 # DEPENDENCYPART_GRANDPAR
(0,13),(13,11),-0.959377 # DEPENDENCYPART_GRANDPAR
(0,13),(13,12),-0.22812 # DEPENDENCYPART_GRANDPAR
(0,13),(13,14),-0.314994 # DEPENDENCYPART_GRANDPAR
(0,13),(13,15),-0.553785 # DEPENDENCYPART_GRANDPAR
(0,13),(13,16),-0.947392 # DEPENDENCYPART_GRANDPAR
(0,13),(13,17),0.0751282 # DEPENDENCYPART_GRANDPAR
(0,13),(13,18),-0.0914422 # DEPENDENCYPART_GRANDPAR
(0,13),(13,19),-1.00504 # DEPENDENCYPART_GRANDPAR
(0,13),(13,20),1.67304 # DEPENDENCYPART_GRANDPAR
(1,2),(2,1),-0.97945 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,2),(2,3),-0.532413 # DEPENDENCYPART_GRANDPAR
(1,2),(2,4),-0.0392255 # DEPENDENCYPART_GRANDPAR
(1,2),(2,5),-0.291127 # DEPENDENCYPART_GRANDPAR
(1,2),(2,6),-0.722874 # DEPENDENCYPART_GRANDPAR
(1,2),(2,7),-0.281547 # DEPENDENCYPART_GRANDPAR
(1,2),(2,8),-0.302416 # DEPENDENCYPART_GRANDPAR
(1,2),(2,9),-0.494621 # DEPENDENCYPART_GRANDPAR
(1,2),(2,10),-0.0216882 # DEPENDENCYPART_GRANDPAR
(1,2),(2,11),-0.67326 # DEPENDENCYPART_GRANDPAR
(1,2),(2,12),-0.514489 # DEPENDENCYPART_GRANDPAR
(1,2),(2,13),-0.421692 # DEPENDENCYPART_GRANDPAR
(1,2),(2,14),-0.861445 # DEPENDENCYPART_GRANDPAR
(1,2),(2,15),-0.538624 # DEPENDENCYPART_GRANDPAR
(1,2),(2,17),-1.04984 # DEPENDENCYPART_GRANDPAR
(1,2),(2,18),-0.746806 # DEPENDENCYPART_GRANDPAR
(1,2),(2,19),-0.764478 # DEPENDENCYPART_GRANDPAR
(1,2),(2,20),-1.01465 # DEPENDENCYPART_GRANDPAR
(1,3),(3,4),-0.0343544 # DEPENDENCYPART_GRANDPAR
(1,3),(3,5),-0.299888 # DEPENDENCYPART_GRANDPAR
(1,4),(4,2),-0.174199 # DEPENDENCYPART_GRANDPAR
(1,4),(4,3),-0.694623 # DEPENDENCYPART_GRANDPAR
(1,4),(4,5),-0.270277 # DEPENDENCYPART_GRANDPAR
(1,4),(4,9),-0.413469 # DEPENDENCYPART_GRANDPAR
(1,5),(5,1),-1.19273 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,5),(5,2),-0.147004 # DEPENDENCYPART_GRANDPAR
(1,5),(5,3),-0.784523 # DEPENDENCYPART_GRANDPAR
(1,5),(5,4),0.829262 # DEPENDENCYPART_GRANDPAR
(1,5),(5,6),-0.567759 # DEPENDENCYPART_GRANDPAR
(1,5),(5,7),-0.20363 # DEPENDENCYPART_GRANDPAR
(1,5),(5,8),-0.219248 # DEPENDENCYPART_GRANDPAR
(1,5),(5,9),-0.190962 # DEPENDENCYPART_GRANDPAR
(1,5),(5,10),0.285099 # DEPENDENCYPART_GRANDPAR
(1,5),(5,11),-0.589981 # DEPENDENCYPART_GRANDPAR
(1,5),(5,12),-0.601627 # DEPENDENCYPART_GRANDPAR
(1,5),(5,13),-0.320768 # DEPENDENCYPART_GRANDPAR
(1,5),(5,14),-0.548329 # DEPENDENCYPART_GRANDPAR
(1,5),(5,15),-0.531766 # DEPENDENCYPART_GRANDPAR
(1,5),(5,17),-0.74459 # DEPENDENCYPART_GRANDPAR
(1,5),(5,18),-0.500967 # DEPENDENCYPART_GRANDPAR
(1,5),(5,19),-0.678048 # DEPENDENCYPART_GRANDPAR
(1,5),(5,20),-1.26236 # DEPENDENCYPART_GRANDPAR
(1,9),(9,1),-1.01564 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,9),(9,2),0.0179202 # DEPENDENCYPART_GRANDPAR
(1,9),(9,3),-0.613242 # DEPENDENCYPART_GRANDPAR
(1,9),(9,4),0.131695 # DEPENDENCYPART_GRANDPAR
(1,9),(9,5),-0.0275866 # DEPENDENCYPART_GRANDPAR
(1,9),(9,6),-0.465081 # DEPENDENCYPART_GRANDPAR
(1,9),(9,7),-0.255061 # DEPENDENCYPART_GRANDPAR
(1,9),(9,8),-0.269804 # DEPENDENCYPART_GRANDPAR
(1,9),(9,10),0.0668954 # DEPENDENCYPART_GRANDPAR
(1,9),(9,11),-0.762713 # DEPENDENCYPART_GRANDPAR
(1,9),(9,12),-0.636885 # DEPENDENCYPART_GRANDPAR
(1,9),(9,13),-0.274398 # DEPENDENCYPART_GRANDPAR
(1,9),(9,14),-0.709402 # DEPENDENCYPART_GRANDPAR
(1,9),(9,15),-0.69956 # DEPENDENCYPART_GRANDPAR
(1,9),(9,17),-0.871575 # DEPENDENCYPART_GRANDPAR
(1,9),(9,18),-0.327416 # DEPENDENCYPART_GRANDPAR
(1,9),(9,19),-0.86635 # DEPENDENCYPART_GRANDPAR
(1,9),(9,20),-1.06186 # DEPENDENCYPART_GRANDPAR
(1,10),(10,4),0.232992 # DEPENDENCYPART_GRANDPAR
(1,10),(10,9),-0.146966 # DEPENDENCYPART_GRANDPAR
(1,10),(10,11),-0.543702 # DEPENDENCYPART_GRANDPAR
(1,10),(10,12),-0.608614 # DEPENDENCYPART_GRANDPAR
(1,10),(10,13),-0.59376 # DEPENDENCYPART_GRANDPAR
(1,10),(10,14),-0.832817 # DEPENDENCYPART_GRANDPAR
(1,10),(10,15),-0.832893 # DEPENDENCYPART_GRANDPAR
(1,10),(10,17),-1.04652 # DEPENDENCYPART_GRANDPAR
(1,13),(13,1),-1.16179 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,13),(13,2),-0.122987 # DEPENDENCYPART_GRANDPAR
(1,13),(13,3),-0.67871 # DEPENDENCYPART_GRANDPAR
(1,13),(13,4),0.821167 # DEPENDENCYPART_GRANDPAR
(1,13),(13,5),-0.141057 # DEPENDENCYPART_GRANDPAR
(1,13),(13,6),-0.570798 # DEPENDENCYPART_GRANDPAR
(1,13),(13,7),-0.397102 # DEPENDENCYPART_GRANDPAR
(1,13),(13,8),-0.411991 # DEPENDENCYPART_GRANDPAR
(1,13),(13,9),-0.263519 # DEPENDENCYPART_GRANDPAR
(1,13),(13,10),0.149015 # DEPENDENCYPART_GRANDPAR
(1,13),(13,11),-0.761834 # DEPENDENCYPART_GRANDPAR
(1,13),(13,12),-0.660786 # DEPENDENCYPART_GRANDPAR
(1,13),(13,14),-0.608873 # DEPENDENCYPART_GRANDPAR
(1,13),(13,15),-0.61024 # DEPENDENCYPART_GRANDPAR
(1,13),(13,16),-1.07648 # DEPENDENCYPART_GRANDPAR
(1,13),(13,17),-0.822892 # DEPENDENCYPART_GRANDPAR
(1,13),(13,18),-0.561528 # DEPENDENCYPART_GRANDPAR
(1,13),(13,19),-0.717242 # DEPENDENCYPART_GRANDPAR
(1,13),(13,20),-1.25805 # DEPENDENCYPART_GRANDPAR
(1,20),(20,19),-1.03851 # DEPENDENCYPART_GRANDPAR
(2,1),(1,2),-1.17643 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,1),(1,3),-0.803255 # DEPENDENCYPART_GRANDPAR
(2,1),(1,4),-0.0138425 # DEPENDENCYPART_GRANDPAR
(2,1),(1,5),-0.171336 # DEPENDENCYPART_GRANDPAR
(2,1),(1,9),-0.600242 # DEPENDENCYPART_GRANDPAR
(2,1),(1,10),-0.344762 # DEPENDENCYPART_GRANDPAR
(2,1),(1,12),-0.955021 # DEPENDENCYPART_GRANDPAR
(2,1),(1,13),-0.637677 # DEPENDENCYPART_GRANDPAR
(2,1),(1,20),-1.36029 # DEPENDENCYPART_GRANDPAR
(2,3),(3,4),0.329312 # DEPENDENCYPART_GRANDPAR
(2,3),(3,5),0.305354 # DEPENDENCYPART_GRANDPAR
(2,4),(4,2),-0.590109 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,4),(4,3),-0.135022 # DEPENDENCYPART_GRANDPAR
(2,4),(4,5),0.334839 # DEPENDENCYPART_GRANDPAR
(2,4),(4,9),-0.0290399 # DEPENDENCYPART_GRANDPAR
(2,5),(5,1),-0.984434 # DEPENDENCYPART_GRANDPAR
(2,5),(5,2),-0.569742 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,5),(5,3),-0.231797 # DEPENDENCYPART_GRANDPAR
(2,5),(5,4),1.17384 # DEPENDENCYPART_GRANDPAR
(2,5),(5,6),-0.126366 # DEPENDENCYPART_GRANDPAR
(2,5),(5,7),0.143968 # DEPENDENCYPART_GRANDPAR
(2,5),(5,8),0.239937 # DEPENDENCYPART_GRANDPAR
(2,5),(5,9),0.186295 # DEPENDENCYPART_GRANDPAR
(2,5),(5,10),0.443397 # DEPENDENCYPART_GRANDPAR
(2,5),(5,11),-0.354411 # DEPENDENCYPART_GRANDPAR
(2,5),(5,12),-0.21715 # DEPENDENCYPART_GRANDPAR
(2,5),(5,13),-0.00501696 # DEPENDENCYPART_GRANDPAR
(2,5),(5,14),-0.179293 # DEPENDENCYPART_GRANDPAR
(2,5),(5,15),0.121303 # DEPENDENCYPART_GRANDPAR
(2,5),(5,17),-0.29838 # DEPENDENCYPART_GRANDPAR
(2,5),(5,18),-0.345884 # DEPENDENCYPART_GRANDPAR
(2,5),(5,19),-0.740693 # DEPENDENCYPART_GRANDPAR
(2,5),(5,20),-0.824455 # DEPENDENCYPART_GRANDPAR
(2,6),(6,2),-0.586185 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,6),(6,3),-0.129311 # DEPENDENCYPART_GRANDPAR
(2,6),(6,4),0.68394 # DEPENDENCYPART_GRANDPAR
(2,6),(6,5),0.399921 # DEPENDENCYPART_GRANDPAR
(2,6),(6,7),0.0268903 # DEPENDENCYPART_GRANDPAR
(2,6),(6,8),0.122789 # DEPENDENCYPART_GRANDPAR
(2,6),(6,10),0.201283 # DEPENDENCYPART_GRANDPAR
(2,7),(7,2),-0.353684 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,7),(7,4),0.590241 # DEPENDENCYPART_GRANDPAR
(2,7),(7,5),0.446152 # DEPENDENCYPART_GRANDPAR
(2,7),(7,6),-0.0982914 # DEPENDENCYPART_GRANDPAR
(2,7),(7,8),0.180828 # DEPENDENCYPART_GRANDPAR
(2,7),(7,10),0.173493 # DEPENDENCYPART_GRANDPAR
(2,7),(7,11),-0.412443 # DEPENDENCYPART_GRANDPAR
(2,7),(7,12),-0.104771 # DEPENDENCYPART_GRANDPAR
(2,7),(7,13),-0.0822839 # DEPENDENCYPART_GRANDPAR
(2,7),(7,14),-0.468465 # DEPENDENCYPART_GRANDPAR
(2,7),(7,15),0.14006 # DEPENDENCYPART_GRANDPAR
(2,8),(8,2),-0.358015 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,8),(8,4),0.590208 # DEPENDENCYPART_GRANDPAR
(2,8),(8,5),0.446136 # DEPENDENCYPART_GRANDPAR
(2,8),(8,6),-0.0983074 # DEPENDENCYPART_GRANDPAR
(2,8),(8,7),0.133322 # DEPENDENCYPART_GRANDPAR
(2,8),(8,9),-0.0938185 # DEPENDENCYPART_GRANDPAR
(2,8),(8,10),0.173175 # DEPENDENCYPART_GRANDPAR
(2,8),(8,11),-0.404213 # DEPENDENCYPART_GRANDPAR
(2,8),(8,12),-0.106901 # DEPENDENCYPART_GRANDPAR
(2,8),(8,13),-0.0804674 # DEPENDENCYPART_GRANDPAR
(2,8),(8,14),-0.468855 # DEPENDENCYPART_GRANDPAR
(2,8),(8,15),0.138555 # DEPENDENCYPART_GRANDPAR
(2,8),(8,20),-0.553756 # DEPENDENCYPART_GRANDPAR
(2,9),(9,1),-1.0912 # DEPENDENCYPART_GRANDPAR
(2,9),(9,2),-0.390887 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,9),(9,3),-0.048678 # DEPENDENCYPART_GRANDPAR
(2,9),(9,4),0.494437 # DEPENDENCYPART_GRANDPAR
(2,9),(9,5),0.579542 # DEPENDENCYPART_GRANDPAR
(2,9),(9,6),-0.0119888 # DEPENDENCYPART_GRANDPAR
(2,9),(9,7),0.105497 # DEPENDENCYPART_GRANDPAR
(2,9),(9,8),0.202342 # DEPENDENCYPART_GRANDPAR
(2,9),(9,10),0.242834 # DEPENDENCYPART_GRANDPAR
(2,9),(9,11),-0.519696 # DEPENDENCYPART_GRANDPAR
(2,9),(9,12),-0.244941 # DEPENDENCYPART_GRANDPAR
(2,9),(9,13),0.0488704 # DEPENDENCYPART_GRANDPAR
(2,9),(9,14),-0.332878 # DEPENDENCYPART_GRANDPAR
(2,9),(9,15),-0.0390212 # DEPENDENCYPART_GRANDPAR
(2,9),(9,17),-0.417876 # DEPENDENCYPART_GRANDPAR
(2,9),(9,18),-0.159966 # DEPENDENCYPART_GRANDPAR
(2,9),(9,19),-0.921548 # DEPENDENCYPART_GRANDPAR
(2,9),(9,20),-0.616474 # DEPENDENCYPART_GRANDPAR
(2,10),(10,4),0.591232 # DEPENDENCYPART_GRANDPAR
(2,10),(10,9),0.236545 # DEPENDENCYPART_GRANDPAR
(2,10),(10,11),-0.304089 # DEPENDENCYPART_GRANDPAR
(2,10),(10,12),-0.217898 # DEPENDENCYPART_GRANDPAR
(2,10),(10,13),-0.271752 # DEPENDENCYPART_GRANDPAR
(2,10),(10,14),-0.457524 # DEPENDENCYPART_GRANDPAR
(2,10),(10,15),-0.173585 # DEPENDENCYPART_GRANDPAR
(2,10),(10,17),-0.594052 # DEPENDENCYPART_GRANDPAR
(2,11),(11,6),-0.0999661 # DEPENDENCYPART_GRANDPAR
(2,11),(11,7),0.123849 # DEPENDENCYPART_GRANDPAR
(2,11),(11,8),0.221983 # DEPENDENCYPART_GRANDPAR
(2,11),(11,9),0.0619088 # DEPENDENCYPART_GRANDPAR
(2,11),(11,12),-0.216548 # DEPENDENCYPART_GRANDPAR
(2,11),(11,13),-0.0820637 # DEPENDENCYPART_GRANDPAR
(2,11),(11,14),-0.491786 # DEPENDENCYPART_GRANDPAR
(2,11),(11,15),0.125786 # DEPENDENCYPART_GRANDPAR
(2,11),(11,17),-0.603017 # DEPENDENCYPART_GRANDPAR
(2,11),(11,18),-0.549869 # DEPENDENCYPART_GRANDPAR
(2,13),(13,1),-0.975244 # DEPENDENCYPART_GRANDPAR
(2,13),(13,2),-0.536611 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,13),(13,3),-0.117572 # DEPENDENCYPART_GRANDPAR
(2,13),(13,4),1.18241 # DEPENDENCYPART_GRANDPAR
(2,13),(13,5),0.463079 # DEPENDENCYPART_GRANDPAR
(2,13),(13,6),-0.120698 # DEPENDENCYPART_GRANDPAR
(2,13),(13,7),-0.0413608 # DEPENDENCYPART_GRANDPAR
(2,13),(13,8),0.0553377 # DEPENDENCYPART_GRANDPAR
(2,13),(13,9),0.121497 # DEPENDENCYPART_GRANDPAR
(2,13),(13,10),0.331364 # DEPENDENCYPART_GRANDPAR
(2,13),(13,11),-0.518122 # DEPENDENCYPART_GRANDPAR
(2,13),(13,12),-0.269338 # DEPENDENCYPART_GRANDPAR
(2,13),(13,14),-0.231378 # DEPENDENCYPART_GRANDPAR
(2,13),(13,15),0.0507838 # DEPENDENCYPART_GRANDPAR
(2,13),(13,16),-0.805718 # DEPENDENCYPART_GRANDPAR
(2,13),(13,17),-0.368222 # DEPENDENCYPART_GRANDPAR
(2,13),(13,18),-0.393791 # DEPENDENCYPART_GRANDPAR
(2,13),(13,19),-0.771855 # DEPENDENCYPART_GRANDPAR
(2,13),(13,20),-0.812176 # DEPENDENCYPART_GRANDPAR
(2,14),(14,6),-0.0234862 # DEPENDENCYPART_GRANDPAR
(2,14),(14,9),0.328031 # DEPENDENCYPART_GRANDPAR
(2,14),(14,10),0.241542 # DEPENDENCYPART_GRANDPAR
(2,14),(14,11),-0.378598 # DEPENDENCYPART_GRANDPAR
(2,14),(14,12),-0.135765 # DEPENDENCYPART_GRANDPAR
(2,14),(14,13),0.0813936 # DEPENDENCYPART_GRANDPAR
(2,14),(14,15),0.0535706 # DEPENDENCYPART_GRANDPAR
(2,14),(14,16),-0.846141 # DEPENDENCYPART_GRANDPAR
(2,14),(14,17),-0.329922 # DEPENDENCYPART_GRANDPAR
(2,14),(14,18),-0.0795065 # DEPENDENCYPART_GRANDPAR
(2,14),(14,19),-0.928009 # DEPENDENCYPART_GRANDPAR
(2,14),(14,20),-0.623556 # DEPENDENCYPART_GRANDPAR
(2,15),(15,2),-0.736958 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,15),(15,16),-0.876302 # DEPENDENCYPART_GRANDPAR
(2,15),(15,17),-0.433595 # DEPENDENCYPART_GRANDPAR
(2,15),(15,18),-0.686896 # DEPENDENCYPART_GRANDPAR
(2,15),(15,19),-0.524879 # DEPENDENCYPART_GRANDPAR
(2,17),(17,6),-0.00634678 # DEPENDENCYPART_GRANDPAR
(2,17),(17,7),0.0804417 # DEPENDENCYPART_GRANDPAR
(2,17),(17,9),0.375149 # DEPENDENCYPART_GRANDPAR
(2,17),(17,10),0.299587 # DEPENDENCYPART_GRANDPAR
(2,17),(17,11),-0.403612 # DEPENDENCYPART_GRANDPAR
(2,17),(17,14),-0.0293035 # DEPENDENCYPART_GRANDPAR
(2,17),(17,15),0.0138084 # DEPENDENCYPART_GRANDPAR
(2,17),(17,16),-0.498507 # DEPENDENCYPART_GRANDPAR
(2,17),(17,18),-0.166817 # DEPENDENCYPART_GRANDPAR
(2,17),(17,19),-0.889857 # DEPENDENCYPART_GRANDPAR
(2,17),(17,20),-0.611479 # DEPENDENCYPART_GRANDPAR
(2,18),(18,17),-0.296359 # DEPENDENCYPART_GRANDPAR
(2,18),(18,19),-0.612052 # DEPENDENCYPART_GRANDPAR
(2,18),(18,20),-0.838162 # DEPENDENCYPART_GRANDPAR
(2,19),(19,16),-0.746256 # DEPENDENCYPART_GRANDPAR
(2,19),(19,17),-0.451633 # DEPENDENCYPART_GRANDPAR
(2,19),(19,20),-0.551003 # DEPENDENCYPART_GRANDPAR
(2,20),(20,19),-1.0953 # DEPENDENCYPART_GRANDPAR
(3,4),(4,2),-0.71137 # DEPENDENCYPART_GRANDPAR
(3,4),(4,3),-1.13995 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,4),(4,5),-0.119225 # DEPENDENCYPART_GRANDPAR
(3,4),(4,9),-0.351599 # DEPENDENCYPART_GRANDPAR
(3,5),(5,1),-0.805577 # DEPENDENCYPART_GRANDPAR
(3,5),(5,2),-0.711764 # DEPENDENCYPART_GRANDPAR
(3,5),(5,3),-1.28309 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,5),(5,4),0.398541 # DEPENDENCYPART_GRANDPAR
(3,5),(5,6),-0.41361 # DEPENDENCYPART_GRANDPAR
(3,5),(5,7),-0.228083 # DEPENDENCYPART_GRANDPAR
(3,5),(5,8),-0.270032 # DEPENDENCYPART_GRANDPAR
(3,5),(5,9),-0.269494 # DEPENDENCYPART_GRANDPAR
(3,5),(5,10),-0.233331 # DEPENDENCYPART_GRANDPAR
(3,5),(5,11),-0.382546 # DEPENDENCYPART_GRANDPAR
(3,5),(5,12),-0.295751 # DEPENDENCYPART_GRANDPAR
(3,5),(5,13),-0.0326215 # DEPENDENCYPART_GRANDPAR
(3,5),(5,14),-0.367374 # DEPENDENCYPART_GRANDPAR
(3,5),(5,15),-0.213397 # DEPENDENCYPART_GRANDPAR
(3,5),(5,17),-0.409761 # DEPENDENCYPART_GRANDPAR
(3,5),(5,18),-0.62805 # DEPENDENCYPART_GRANDPAR
(3,5),(5,19),-0.565771 # DEPENDENCYPART_GRANDPAR
(3,5),(5,20),-0.535913 # DEPENDENCYPART_GRANDPAR
(4,2),(2,1),-0.115928 # DEPENDENCYPART_GRANDPAR
(4,2),(2,3),-0.218425 # DEPENDENCYPART_GRANDPAR
(4,2),(2,4),-1.68036 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,2),(2,5),-0.443327 # DEPENDENCYPART_GRANDPAR
(4,2),(2,6),-0.771077 # DEPENDENCYPART_GRANDPAR
(4,2),(2,7),-0.794831 # DEPENDENCYPART_GRANDPAR
(4,2),(2,8),-0.863145 # DEPENDENCYPART_GRANDPAR
(4,2),(2,9),-0.74976 # DEPENDENCYPART_GRANDPAR
(4,2),(2,10),-0.800597 # DEPENDENCYPART_GRANDPAR
(4,2),(2,11),-0.982246 # DEPENDENCYPART_GRANDPAR
(4,2),(2,12),-0.882428 # DEPENDENCYPART_GRANDPAR
(4,2),(2,13),-0.576289 # DEPENDENCYPART_GRANDPAR
(4,2),(2,14),-0.789366 # DEPENDENCYPART_GRANDPAR
(4,2),(2,15),-0.583091 # DEPENDENCYPART_GRANDPAR
(4,2),(2,17),-0.723312 # DEPENDENCYPART_GRANDPAR
(4,2),(2,18),-1.0418 # DEPENDENCYPART_GRANDPAR
(4,2),(2,19),-1.13624 # DEPENDENCYPART_GRANDPAR
(4,2),(2,20),-0.92091 # DEPENDENCYPART_GRANDPAR
(4,3),(3,4),-1.67972 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,3),(3,5),-0.434471 # DEPENDENCYPART_GRANDPAR
(4,5),(5,1),-0.866943 # DEPENDENCYPART_GRANDPAR
(4,5),(5,2),-0.85417 # DEPENDENCYPART_GRANDPAR
(4,5),(5,3),-0.731766 # DEPENDENCYPART_GRANDPAR
(4,5),(5,4),-0.879844 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,5),(5,6),-0.345093 # DEPENDENCYPART_GRANDPAR
(4,5),(5,7),-0.282809 # DEPENDENCYPART_GRANDPAR
(4,5),(5,8),-0.351052 # DEPENDENCYPART_GRANDPAR
(4,5),(5,9),-0.186868 # DEPENDENCYPART_GRANDPAR
(4,5),(5,10),-0.305291 # DEPENDENCYPART_GRANDPAR
(4,5),(5,11),-0.47061 # DEPENDENCYPART_GRANDPAR
(4,5),(5,12),-0.373289 # DEPENDENCYPART_GRANDPAR
(4,5),(5,13),-0.184533 # DEPENDENCYPART_GRANDPAR
(4,5),(5,14),-0.213205 # DEPENDENCYPART_GRANDPAR
(4,5),(5,15),-0.0683772 # DEPENDENCYPART_GRANDPAR
(4,5),(5,17),-0.156866 # DEPENDENCYPART_GRANDPAR
(4,5),(5,18),-0.650952 # DEPENDENCYPART_GRANDPAR
(4,5),(5,19),-0.624132 # DEPENDENCYPART_GRANDPAR
(4,5),(5,20),-0.619233 # DEPENDENCYPART_GRANDPAR
(4,9),(9,1),-0.952439 # DEPENDENCYPART_GRANDPAR
(4,9),(9,2),-0.939346 # DEPENDENCYPART_GRANDPAR
(4,9),(9,3),-0.860357 # DEPENDENCYPART_GRANDPAR
(4,9),(9,4),-1.41046 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,9),(9,5),0.126384 # DEPENDENCYPART_GRANDPAR
(4,9),(9,6),-0.235862 # DEPENDENCYPART_GRANDPAR
(4,9),(9,7),-0.177256 # DEPENDENCYPART_GRANDPAR
(4,9),(9,8),-0.245299 # DEPENDENCYPART_GRANDPAR
(4,9),(9,10),-0.37683 # DEPENDENCYPART_GRANDPAR
(4,9),(9,11),-0.450078 # DEPENDENCYPART_GRANDPAR
(4,9),(9,12),-0.262966 # DEPENDENCYPART_GRANDPAR
(4,9),(9,13),-0.0600944 # DEPENDENCYPART_GRANDPAR
(4,9),(9,14),-0.251991 # DEPENDENCYPART_GRANDPAR
(4,9),(9,15),-0.0508273 # DEPENDENCYPART_GRANDPAR
(4,9),(9,17),-0.172133 # DEPENDENCYPART_GRANDPAR
(4,9),(9,18),-0.521674 # DEPENDENCYPART_GRANDPAR
(4,9),(9,19),-0.618144 # DEPENDENCYPART_GRANDPAR
(4,9),(9,20),-0.380207 # DEPENDENCYPART_GRANDPAR
(5,1),(1,2),-0.576003 # DEPENDENCYPART_GRANDPAR
(5,1),(1,3),-0.244961 # DEPENDENCYPART_GRANDPAR
(5,1),(1,4),-0.40911 # DEPENDENCYPART_GRANDPAR
(5,1),(1,5),-1.402 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,1),(1,9),-0.41824 # DEPENDENCYPART_GRANDPAR
(5,1),(1,10),-0.181441 # DEPENDENCYPART_GRANDPAR
(5,1),(1,12),-0.935971 # DEPENDENCYPART_GRANDPAR
(5,1),(1,13),-0.418434 # DEPENDENCYPART_GRANDPAR
(5,1),(1,20),-1.22468 # DEPENDENCYPART_GRANDPAR
(5,2),(2,1),0.302084 # DEPENDENCYPART_GRANDPAR
(5,2),(2,3),-0.21818 # DEPENDENCYPART_GRANDPAR
(5,2),(2,4),-0.392514 # DEPENDENCYPART_GRANDPAR
(5,2),(2,5),-1.40194 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,2),(2,6),-0.0974249 # DEPENDENCYPART_GRANDPAR
(5,2),(2,7),-0.404267 # DEPENDENCYPART_GRANDPAR
(5,2),(2,8),-0.669144 # DEPENDENCYPART_GRANDPAR
(5,2),(2,9),-0.418163 # DEPENDENCYPART_GRANDPAR
(5,2),(2,10),-0.180626 # DEPENDENCYPART_GRANDPAR
(5,2),(2,11),-0.686494 # DEPENDENCYPART_GRANDPAR
(5,2),(2,12),-0.935745 # DEPENDENCYPART_GRANDPAR
(5,2),(2,13),-0.418311 # DEPENDENCYPART_GRANDPAR
(5,2),(2,14),-0.946734 # DEPENDENCYPART_GRANDPAR
(5,2),(2,15),-0.543786 # DEPENDENCYPART_GRANDPAR
(5,2),(2,17),-0.740154 # DEPENDENCYPART_GRANDPAR
(5,2),(2,18),-0.293934 # DEPENDENCYPART_GRANDPAR
(5,2),(2,19),-1.05215 # DEPENDENCYPART_GRANDPAR
(5,2),(2,20),-1.22462 # DEPENDENCYPART_GRANDPAR
(5,3),(3,4),-0.431301 # DEPENDENCYPART_GRANDPAR
(5,3),(3,5),-1.31606 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,4),(4,2),-0.688791 # DEPENDENCYPART_GRANDPAR
(5,4),(4,3),-0.645163 # DEPENDENCYPART_GRANDPAR
(5,4),(4,5),-1.29955 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,4),(4,9),-0.23255 # DEPENDENCYPART_GRANDPAR
(5,6),(6,2),-1.20154 # DEPENDENCYPART_GRANDPAR
(5,6),(6,3),-1.09289 # DEPENDENCYPART_GRANDPAR
(5,6),(6,4),-0.685623 # DEPENDENCYPART_GRANDPAR
(5,6),(6,5),-0.815187 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,6),(6,7),0.25769 # DEPENDENCYPART_GRANDPAR
(5,6),(6,8),-0.00551185 # DEPENDENCYPART_GRANDPAR
(5,6),(6,10),0.178202 # DEPENDENCYPART_GRANDPAR
(5,7),(7,2),-1.33785 # DEPENDENCYPART_GRANDPAR
(5,7),(7,4),-0.758325 # DEPENDENCYPART_GRANDPAR
(5,7),(7,5),-0.705376 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,7),(7,6),0.595518 # DEPENDENCYPART_GRANDPAR
(5,7),(7,8),0.127849 # DEPENDENCYPART_GRANDPAR
(5,7),(7,10),0.193064 # DEPENDENCYPART_GRANDPAR
(5,7),(7,11),0.156525 # DEPENDENCYPART_GRANDPAR
