# _root_ The multibillion-dollar prospects , where the bidder must line up a consortium of banks and / or issue billions in high-yield debt , were where the damage was concentrated .
#goldHeads=3,3,24,3,9,7,8,3,8,9,12,9,12,13,9,15,15,15,18,19,22,20,3,0,29,27,28,24,28,24,
#predictedHeads=3,3,24,3,9,7,8,3,8,9,12,9,12,13,8,15,16,19,15,19,22,20,24,0,29,27,28,24,28,24,
(16,28),(28,26),-1.38566 # DEPENDENCYPART_GRANDPAR
(16,28),(28,27),-1.67075 # DEPENDENCYPART_GRANDPAR
(16,28),(28,29),-1.23685 # DEPENDENCYPART_GRANDPAR
(16,28),(28,30),-2.05362 # DEPENDENCYPART_GRANDPAR
(16,29),(29,3),-1.38761 # DEPENDENCYPART_GRANDPAR
(16,29),(29,4),-1.54908 # DEPENDENCYPART_GRANDPAR
(16,29),(29,5),-1.02279 # DEPENDENCYPART_GRANDPAR
(16,29),(29,8),-1.29425 # DEPENDENCYPART_GRANDPAR
(16,29),(29,20),-0.708909 # DEPENDENCYPART_GRANDPAR
(16,29),(29,22),-1.19257 # DEPENDENCYPART_GRANDPAR
(16,29),(29,25),-1.4461 # DEPENDENCYPART_GRANDPAR
(16,29),(29,26),-1.42501 # DEPENDENCYPART_GRANDPAR
(16,29),(29,27),-1.56958 # DEPENDENCYPART_GRANDPAR
(16,29),(29,28),-0.811468 # DEPENDENCYPART_GRANDPAR
(16,29),(29,30),-1.99638 # DEPENDENCYPART_GRANDPAR
(17,19),(19,7),-1.26331 # DEPENDENCYPART_GRANDPAR
(17,19),(19,12),-1.22441 # DEPENDENCYPART_GRANDPAR
(17,19),(19,14),-1.26025 # DEPENDENCYPART_GRANDPAR
(17,19),(19,16),-1.17895 # DEPENDENCYPART_GRANDPAR
(17,19),(19,17),-1.09679 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(17,19),(19,18),0.407031 # DEPENDENCYPART_GRANDPAR
(17,19),(19,20),-0.569847 # DEPENDENCYPART_GRANDPAR
(17,19),(19,21),-0.560249 # DEPENDENCYPART_GRANDPAR
(17,19),(19,22),-0.513952 # DEPENDENCYPART_GRANDPAR
(17,19),(19,23),-0.712888 # DEPENDENCYPART_GRANDPAR
(17,19),(19,24),-0.40341 # DEPENDENCYPART_GRANDPAR
(17,19),(19,25),-1.27726 # DEPENDENCYPART_GRANDPAR
(17,19),(19,27),-1.01313 # DEPENDENCYPART_GRANDPAR
(17,19),(19,28),-0.672352 # DEPENDENCYPART_GRANDPAR
(17,19),(19,29),-1.21518 # DEPENDENCYPART_GRANDPAR
(17,19),(19,30),-1.73477 # DEPENDENCYPART_GRANDPAR
(17,20),(20,19),0.321238 # DEPENDENCYPART_GRANDPAR
(17,20),(20,21),-0.618229 # DEPENDENCYPART_GRANDPAR
(17,20),(20,22),-0.361699 # DEPENDENCYPART_GRANDPAR
(17,20),(20,23),-0.819495 # DEPENDENCYPART_GRANDPAR
(17,20),(20,24),-0.519229 # DEPENDENCYPART_GRANDPAR
(17,20),(20,25),-1.27541 # DEPENDENCYPART_GRANDPAR
(17,20),(20,27),-0.909873 # DEPENDENCYPART_GRANDPAR
(17,22),(22,18),0.414548 # DEPENDENCYPART_GRANDPAR
(17,22),(22,19),0.260561 # DEPENDENCYPART_GRANDPAR
(17,22),(22,21),-0.63772 # DEPENDENCYPART_GRANDPAR
(17,22),(22,23),-0.642623 # DEPENDENCYPART_GRANDPAR
(17,22),(22,24),-0.376174 # DEPENDENCYPART_GRANDPAR
(17,22),(22,25),-1.19577 # DEPENDENCYPART_GRANDPAR
(17,22),(22,27),-1.01067 # DEPENDENCYPART_GRANDPAR
(17,22),(22,28),-0.656956 # DEPENDENCYPART_GRANDPAR
(17,22),(22,29),-1.06204 # DEPENDENCYPART_GRANDPAR
(17,24),(24,3),-1.24796 # DEPENDENCYPART_GRANDPAR
(17,24),(24,4),-1.34657 # DEPENDENCYPART_GRANDPAR
(17,24),(24,5),-1.13755 # DEPENDENCYPART_GRANDPAR
(17,24),(24,7),-1.14207 # DEPENDENCYPART_GRANDPAR
(17,24),(24,8),-1.18919 # DEPENDENCYPART_GRANDPAR
(17,24),(24,9),-1.12561 # DEPENDENCYPART_GRANDPAR
(17,24),(24,10),-1.20164 # DEPENDENCYPART_GRANDPAR
(17,24),(24,12),-1.10317 # DEPENDENCYPART_GRANDPAR
(17,24),(24,13),-1.02847 # DEPENDENCYPART_GRANDPAR
(17,24),(24,14),-1.16093 # DEPENDENCYPART_GRANDPAR
(17,24),(24,15),-1.15453 # DEPENDENCYPART_GRANDPAR
(17,24),(24,16),-1.09458 # DEPENDENCYPART_GRANDPAR
(17,24),(24,17),-1.25429 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(17,24),(24,18),0.224849 # DEPENDENCYPART_GRANDPAR
(17,24),(24,19),0.248316 # DEPENDENCYPART_GRANDPAR
(17,24),(24,20),-0.495209 # DEPENDENCYPART_GRANDPAR
(17,24),(24,21),-0.748781 # DEPENDENCYPART_GRANDPAR
(17,24),(24,22),-0.717844 # DEPENDENCYPART_GRANDPAR
(17,24),(24,23),-0.709261 # DEPENDENCYPART_GRANDPAR
(17,24),(24,25),-1.0034 # DEPENDENCYPART_GRANDPAR
(17,24),(24,26),-0.83979 # DEPENDENCYPART_GRANDPAR
(17,24),(24,27),-0.94614 # DEPENDENCYPART_GRANDPAR
(17,24),(24,28),-0.650611 # DEPENDENCYPART_GRANDPAR
(17,24),(24,29),-1.07489 # DEPENDENCYPART_GRANDPAR
(17,24),(24,30),-1.75938 # DEPENDENCYPART_GRANDPAR
(17,27),(27,25),-1.3063 # DEPENDENCYPART_GRANDPAR
(17,27),(27,26),-0.547751 # DEPENDENCYPART_GRANDPAR
(17,27),(27,28),-0.654096 # DEPENDENCYPART_GRANDPAR
(17,27),(27,29),-1.06527 # DEPENDENCYPART_GRANDPAR
(19,7),(7,1),-0.588295 # DEPENDENCYPART_GRANDPAR
(19,7),(7,2),-0.461645 # DEPENDENCYPART_GRANDPAR
(19,7),(7,3),-0.295305 # DEPENDENCYPART_GRANDPAR
(19,7),(7,4),-0.049731 # DEPENDENCYPART_GRANDPAR
(19,7),(7,5),-0.967154 # DEPENDENCYPART_GRANDPAR
(19,7),(7,6),-0.352435 # DEPENDENCYPART_GRANDPAR
(19,7),(7,8),-0.150521 # DEPENDENCYPART_GRANDPAR
(19,7),(7,9),-0.172341 # DEPENDENCYPART_GRANDPAR
(19,7),(7,10),-0.391892 # DEPENDENCYPART_GRANDPAR
(19,7),(7,12),-0.153031 # DEPENDENCYPART_GRANDPAR
(19,7),(7,13),-0.248413 # DEPENDENCYPART_GRANDPAR
(19,7),(7,15),-0.0561254 # DEPENDENCYPART_GRANDPAR
(19,12),(12,3),-0.26223 # DEPENDENCYPART_GRANDPAR
(19,12),(12,6),-0.269665 # DEPENDENCYPART_GRANDPAR
(19,12),(12,7),-0.288953 # DEPENDENCYPART_GRANDPAR
(19,12),(12,8),-0.21857 # DEPENDENCYPART_GRANDPAR
(19,12),(12,10),-0.27356 # DEPENDENCYPART_GRANDPAR
(19,12),(12,11),-0.179589 # DEPENDENCYPART_GRANDPAR
(19,12),(12,13),-0.237528 # DEPENDENCYPART_GRANDPAR
(19,12),(12,14),-0.328235 # DEPENDENCYPART_GRANDPAR
(19,12),(12,15),-0.0454893 # DEPENDENCYPART_GRANDPAR
(19,12),(12,16),0.534392 # DEPENDENCYPART_GRANDPAR
(19,12),(12,17),0.159127 # DEPENDENCYPART_GRANDPAR
(19,12),(12,20),-0.838302 # DEPENDENCYPART_GRANDPAR
(19,12),(12,22),-0.870186 # DEPENDENCYPART_GRANDPAR
(19,12),(12,23),-1.10353 # DEPENDENCYPART_GRANDPAR
(19,12),(12,24),-0.951342 # DEPENDENCYPART_GRANDPAR
(19,12),(12,28),-0.763309 # DEPENDENCYPART_GRANDPAR
(19,12),(12,29),-0.992788 # DEPENDENCYPART_GRANDPAR
(19,12),(12,30),-1.40278 # DEPENDENCYPART_GRANDPAR
(19,14),(14,11),-0.230845 # DEPENDENCYPART_GRANDPAR
(19,14),(14,12),-0.228892 # DEPENDENCYPART_GRANDPAR
(19,14),(14,15),-0.176907 # DEPENDENCYPART_GRANDPAR
(19,14),(14,16),0.463842 # DEPENDENCYPART_GRANDPAR
(19,14),(14,17),0.106362 # DEPENDENCYPART_GRANDPAR
(19,14),(14,19),-1.34586 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(19,14),(14,20),-0.763708 # DEPENDENCYPART_GRANDPAR
(19,14),(14,23),-1.05457 # DEPENDENCYPART_GRANDPAR
(19,14),(14,24),-0.905908 # DEPENDENCYPART_GRANDPAR
(19,16),(16,17),0.00719082 # DEPENDENCYPART_GRANDPAR
(19,16),(16,18),-0.194725 # DEPENDENCYPART_GRANDPAR
(19,16),(16,19),-1.28402 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(19,16),(16,20),-0.75187 # DEPENDENCYPART_GRANDPAR
(19,16),(16,21),-0.888028 # DEPENDENCYPART_GRANDPAR
(19,16),(16,22),-0.719266 # DEPENDENCYPART_GRANDPAR
(19,16),(16,24),-0.857126 # DEPENDENCYPART_GRANDPAR
(19,16),(16,28),-0.675661 # DEPENDENCYPART_GRANDPAR
(19,16),(16,29),-0.895758 # DEPENDENCYPART_GRANDPAR
(19,17),(17,18),-0.215163 # DEPENDENCYPART_GRANDPAR
(19,17),(17,19),-1.28513 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(19,17),(17,20),-0.75232 # DEPENDENCYPART_GRANDPAR
(19,17),(17,21),-0.888484 # DEPENDENCYPART_GRANDPAR
(19,17),(17,22),-0.727428 # DEPENDENCYPART_GRANDPAR
(19,17),(17,24),-0.857757 # DEPENDENCYPART_GRANDPAR
(19,17),(17,27),-0.913262 # DEPENDENCYPART_GRANDPAR
(19,20),(20,19),-0.825521 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(19,20),(20,21),-0.339533 # DEPENDENCYPART_GRANDPAR
(19,20),(20,22),-0.0523309 # DEPENDENCYPART_GRANDPAR
(19,20),(20,23),-0.352677 # DEPENDENCYPART_GRANDPAR
(19,20),(20,24),-0.446357 # DEPENDENCYPART_GRANDPAR
(19,20),(20,25),-0.567714 # DEPENDENCYPART_GRANDPAR
(19,20),(20,27),-0.293982 # DEPENDENCYPART_GRANDPAR
(19,22),(22,18),-0.762879 # DEPENDENCYPART_GRANDPAR
(19,22),(22,19),-0.821727 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(19,22),(22,21),-0.284031 # DEPENDENCYPART_GRANDPAR
(19,22),(22,23),-0.321931 # DEPENDENCYPART_GRANDPAR
(19,22),(22,24),-0.368348 # DEPENDENCYPART_GRANDPAR
(19,22),(22,25),-0.582433 # DEPENDENCYPART_GRANDPAR
(19,22),(22,27),-0.380919 # DEPENDENCYPART_GRANDPAR
(19,22),(22,28),-0.168353 # DEPENDENCYPART_GRANDPAR
(19,22),(22,29),-0.436936 # DEPENDENCYPART_GRANDPAR
(19,24),(24,3),-0.901771 # DEPENDENCYPART_GRANDPAR
(19,24),(24,4),-0.643406 # DEPENDENCYPART_GRANDPAR
(19,24),(24,5),-1.33178 # DEPENDENCYPART_GRANDPAR
(19,24),(24,7),-0.816967 # DEPENDENCYPART_GRANDPAR
(19,24),(24,8),-0.648113 # DEPENDENCYPART_GRANDPAR
(19,24),(24,9),-0.606648 # DEPENDENCYPART_GRANDPAR
(19,24),(24,10),-0.798801 # DEPENDENCYPART_GRANDPAR
(19,24),(24,12),-0.683613 # DEPENDENCYPART_GRANDPAR
(19,24),(24,13),-1.08833 # DEPENDENCYPART_GRANDPAR
(19,24),(24,14),-0.793467 # DEPENDENCYPART_GRANDPAR
(19,24),(24,15),-0.720913 # DEPENDENCYPART_GRANDPAR
(19,24),(24,16),-0.274036 # DEPENDENCYPART_GRANDPAR
(19,24),(24,17),-0.583802 # DEPENDENCYPART_GRANDPAR
(19,24),(24,18),-0.558096 # DEPENDENCYPART_GRANDPAR
(19,24),(24,19),-0.830712 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(19,24),(24,20),-0.1735 # DEPENDENCYPART_GRANDPAR
(19,24),(24,21),-0.376927 # DEPENDENCYPART_GRANDPAR
(19,24),(24,22),-0.339127 # DEPENDENCYPART_GRANDPAR
(19,24),(24,23),-0.503736 # DEPENDENCYPART_GRANDPAR
(19,24),(24,25),-0.411777 # DEPENDENCYPART_GRANDPAR
(19,24),(24,26),-0.347208 # DEPENDENCYPART_GRANDPAR
(19,24),(24,27),-0.406074 # DEPENDENCYPART_GRANDPAR
(19,24),(24,28),-0.265507 # DEPENDENCYPART_GRANDPAR
(19,24),(24,29),-0.332882 # DEPENDENCYPART_GRANDPAR
(19,24),(24,30),-0.969876 # DEPENDENCYPART_GRANDPAR
(19,25),(25,26),-0.407148 # DEPENDENCYPART_GRANDPAR
(19,25),(25,27),-0.456978 # DEPENDENCYPART_GRANDPAR
(19,27),(27,25),-0.485607 # DEPENDENCYPART_GRANDPAR
(19,27),(27,26),-0.258816 # DEPENDENCYPART_GRANDPAR
(19,27),(27,28),-0.190172 # DEPENDENCYPART_GRANDPAR
(19,27),(27,29),-0.472672 # DEPENDENCYPART_GRANDPAR
(19,28),(28,3),-0.915308 # DEPENDENCYPART_GRANDPAR
(19,28),(28,4),-0.63094 # DEPENDENCYPART_GRANDPAR
(19,28),(28,5),-1.33439 # DEPENDENCYPART_GRANDPAR
(19,28),(28,7),-0.792701 # DEPENDENCYPART_GRANDPAR
(19,28),(28,8),-0.64681 # DEPENDENCYPART_GRANDPAR
(19,28),(28,9),-0.604834 # DEPENDENCYPART_GRANDPAR
(19,28),(28,10),-0.796865 # DEPENDENCYPART_GRANDPAR
(19,28),(28,12),-0.659348 # DEPENDENCYPART_GRANDPAR
(19,28),(28,14),-0.807003 # DEPENDENCYPART_GRANDPAR
(19,28),(28,15),-0.748924 # DEPENDENCYPART_GRANDPAR
(19,28),(28,16),-0.297094 # DEPENDENCYPART_GRANDPAR
(19,28),(28,17),-0.606865 # DEPENDENCYPART_GRANDPAR
(19,28),(28,18),-0.537535 # DEPENDENCYPART_GRANDPAR
(19,28),(28,19),-1.07287 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(19,28),(28,20),-0.189033 # DEPENDENCYPART_GRANDPAR
(19,28),(28,21),-0.417882 # DEPENDENCYPART_GRANDPAR
(19,28),(28,22),-0.17018 # DEPENDENCYPART_GRANDPAR
(19,28),(28,23),-0.504118 # DEPENDENCYPART_GRANDPAR
(19,28),(28,25),-0.119068 # DEPENDENCYPART_GRANDPAR
(19,28),(28,26),-0.310317 # DEPENDENCYPART_GRANDPAR
(19,28),(28,27),-0.374637 # DEPENDENCYPART_GRANDPAR
(19,28),(28,29),-0.349058 # DEPENDENCYPART_GRANDPAR
(19,28),(28,30),-0.987036 # DEPENDENCYPART_GRANDPAR
(19,29),(29,3),-1.01157 # DEPENDENCYPART_GRANDPAR
(19,29),(29,4),-0.741576 # DEPENDENCYPART_GRANDPAR
(19,29),(29,5),-1.1795 # DEPENDENCYPART_GRANDPAR
(19,29),(29,8),-0.74855 # DEPENDENCYPART_GRANDPAR
(19,29),(29,20),-0.239091 # DEPENDENCYPART_GRANDPAR
(19,29),(29,22),-0.254722 # DEPENDENCYPART_GRANDPAR
(19,29),(29,25),-0.438827 # DEPENDENCYPART_GRANDPAR
(19,29),(29,26),-0.463267 # DEPENDENCYPART_GRANDPAR
(19,29),(29,27),-0.424333 # DEPENDENCYPART_GRANDPAR
(19,29),(29,28),-0.315022 # DEPENDENCYPART_GRANDPAR
(19,29),(29,30),-0.941091 # DEPENDENCYPART_GRANDPAR
(19,30),(30,29),-0.463661 # DEPENDENCYPART_GRANDPAR
(20,19),(19,7),-0.626683 # DEPENDENCYPART_GRANDPAR
(20,19),(19,12),-0.487491 # DEPENDENCYPART_GRANDPAR
(20,19),(19,14),-0.499879 # DEPENDENCYPART_GRANDPAR
(20,19),(19,16),-0.423757 # DEPENDENCYPART_GRANDPAR
(20,19),(19,17),-0.0746467 # DEPENDENCYPART_GRANDPAR
(20,19),(19,18),-0.331618 # DEPENDENCYPART_GRANDPAR
(20,19),(19,20),-1.77441 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(20,19),(19,21),-0.238683 # DEPENDENCYPART_GRANDPAR
(20,19),(19,22),-0.121103 # DEPENDENCYPART_GRANDPAR
(20,19),(19,23),-0.691968 # DEPENDENCYPART_GRANDPAR
(20,19),(19,24),-0.623857 # DEPENDENCYPART_GRANDPAR
(20,19),(19,25),-1.18381 # DEPENDENCYPART_GRANDPAR
(20,19),(19,27),-1.81282 # DEPENDENCYPART_GRANDPAR
(20,19),(19,28),-0.244447 # DEPENDENCYPART_GRANDPAR
(20,19),(19,29),-1.09882 # DEPENDENCYPART_GRANDPAR
(20,19),(19,30),-1.52221 # DEPENDENCYPART_GRANDPAR
(20,22),(22,18),-1.2286 # DEPENDENCYPART_GRANDPAR
(20,22),(22,19),-1.29504 # DEPENDENCYPART_GRANDPAR
(20,22),(22,21),1.00714 # DEPENDENCYPART_GRANDPAR
(20,22),(22,23),-0.0745386 # DEPENDENCYPART_GRANDPAR
(20,22),(22,24),-0.0722758 # DEPENDENCYPART_GRANDPAR
(20,22),(22,25),-0.835929 # DEPENDENCYPART_GRANDPAR
(20,22),(22,27),-1.00317 # DEPENDENCYPART_GRANDPAR
(20,22),(22,28),0.313197 # DEPENDENCYPART_GRANDPAR
(20,22),(22,29),-0.370989 # DEPENDENCYPART_GRANDPAR
(20,24),(24,3),-1.28339 # DEPENDENCYPART_GRANDPAR
(20,24),(24,4),-1.43161 # DEPENDENCYPART_GRANDPAR
(20,24),(24,5),-1.13572 # DEPENDENCYPART_GRANDPAR
(20,24),(24,7),-1.31685 # DEPENDENCYPART_GRANDPAR
(20,24),(24,8),-0.992312 # DEPENDENCYPART_GRANDPAR
(20,24),(24,9),-0.936663 # DEPENDENCYPART_GRANDPAR
(20,24),(24,10),-0.987839 # DEPENDENCYPART_GRANDPAR
(20,24),(24,12),-1.17806 # DEPENDENCYPART_GRANDPAR
(20,24),(24,13),-0.764857 # DEPENDENCYPART_GRANDPAR
(20,24),(24,14),-1.14844 # DEPENDENCYPART_GRANDPAR
(20,24),(24,15),-0.424581 # DEPENDENCYPART_GRANDPAR
(20,24),(24,16),-0.544159 # DEPENDENCYPART_GRANDPAR
(20,24),(24,17),-0.442445 # DEPENDENCYPART_GRANDPAR
(20,24),(24,18),-1.01339 # DEPENDENCYPART_GRANDPAR
(20,24),(24,19),-1.17516 # DEPENDENCYPART_GRANDPAR
(20,24),(24,20),-1.13599 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(20,24),(24,21),0.42766 # DEPENDENCYPART_GRANDPAR
(20,24),(24,22),0.363291 # DEPENDENCYPART_GRANDPAR
(20,24),(24,23),-0.196425 # DEPENDENCYPART_GRANDPAR
(20,24),(24,25),-0.663152 # DEPENDENCYPART_GRANDPAR
(20,24),(24,26),-0.810056 # DEPENDENCYPART_GRANDPAR
(20,24),(24,27),-0.800248 # DEPENDENCYPART_GRANDPAR
(20,24),(24,28),0.272305 # DEPENDENCYPART_GRANDPAR
(20,24),(24,29),-0.353086 # DEPENDENCYPART_GRANDPAR
(20,24),(24,30),-1.16796 # DEPENDENCYPART_GRANDPAR
(20,25),(25,26),-0.802523 # DEPENDENCYPART_GRANDPAR
(20,25),(25,27),-0.993899 # DEPENDENCYPART_GRANDPAR
(20,27),(27,25),-0.680122 # DEPENDENCYPART_GRANDPAR
(20,27),(27,26),-0.552318 # DEPENDENCYPART_GRANDPAR
(20,27),(27,28),0.335457 # DEPENDENCYPART_GRANDPAR
(20,27),(27,29),-0.377646 # DEPENDENCYPART_GRANDPAR
(22,19),(19,7),-0.331026 # DEPENDENCYPART_GRANDPAR
(22,19),(19,12),-0.300425 # DEPENDENCYPART_GRANDPAR
(22,19),(19,14),-0.149465 # DEPENDENCYPART_GRANDPAR
(22,19),(19,16),0.108824 # DEPENDENCYPART_GRANDPAR
(22,19),(19,17),-0.0399866 # DEPENDENCYPART_GRANDPAR
(22,19),(19,18),-0.199595 # DEPENDENCYPART_GRANDPAR
(22,19),(19,20),-0.202936 # DEPENDENCYPART_GRANDPAR
(22,19),(19,21),0.0769796 # DEPENDENCYPART_GRANDPAR
(22,19),(19,22),-1.34399 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(22,19),(19,23),-1.15026 # DEPENDENCYPART_GRANDPAR
(22,19),(19,24),-1.04236 # DEPENDENCYPART_GRANDPAR
(22,19),(19,25),-0.690602 # DEPENDENCYPART_GRANDPAR
(22,19),(19,27),-0.983949 # DEPENDENCYPART_GRANDPAR
(22,19),(19,28),-0.757313 # DEPENDENCYPART_GRANDPAR
(22,19),(19,29),-0.754671 # DEPENDENCYPART_GRANDPAR
(22,19),(19,30),-1.25902 # DEPENDENCYPART_GRANDPAR
(22,24),(24,3),-0.853331 # DEPENDENCYPART_GRANDPAR
(22,24),(24,4),-1.05773 # DEPENDENCYPART_GRANDPAR
(22,24),(24,5),-1.60477 # DEPENDENCYPART_GRANDPAR
(22,24),(24,7),-0.934524 # DEPENDENCYPART_GRANDPAR
(22,24),(24,8),-0.819301 # DEPENDENCYPART_GRANDPAR
(22,24),(24,9),-0.516199 # DEPENDENCYPART_GRANDPAR
(22,24),(24,10),-1.00152 # DEPENDENCYPART_GRANDPAR
(22,24),(24,12),-0.898607 # DEPENDENCYPART_GRANDPAR
(22,24),(24,13),-1.05533 # DEPENDENCYPART_GRANDPAR
(22,24),(24,14),-0.678483 # DEPENDENCYPART_GRANDPAR
(22,24),(24,15),-0.833627 # DEPENDENCYPART_GRANDPAR
(22,24),(24,16),-0.410345 # DEPENDENCYPART_GRANDPAR
(22,24),(24,17),-0.656335 # DEPENDENCYPART_GRANDPAR
(22,24),(24,18),-0.822777 # DEPENDENCYPART_GRANDPAR
(22,24),(24,19),-0.719562 # DEPENDENCYPART_GRANDPAR
(22,24),(24,20),-0.953801 # DEPENDENCYPART_GRANDPAR
(22,24),(24,21),-0.514661 # DEPENDENCYPART_GRANDPAR
(22,24),(24,22),-0.770384 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(22,24),(24,23),-0.51127 # DEPENDENCYPART_GRANDPAR
(22,24),(24,25),-0.288152 # DEPENDENCYPART_GRANDPAR
(22,24),(24,26),-0.697379 # DEPENDENCYPART_GRANDPAR
(22,24),(24,27),-0.213857 # DEPENDENCYPART_GRANDPAR
(22,24),(24,28),-0.220289 # DEPENDENCYPART_GRANDPAR
(22,24),(24,29),-0.102205 # DEPENDENCYPART_GRANDPAR
(22,24),(24,30),-0.884935 # DEPENDENCYPART_GRANDPAR
(22,25),(25,26),-0.793106 # DEPENDENCYPART_GRANDPAR
(22,25),(25,27),-0.37995 # DEPENDENCYPART_GRANDPAR
(22,27),(27,25),-0.369291 # DEPENDENCYPART_GRANDPAR
(22,27),(27,26),-0.538592 # DEPENDENCYPART_GRANDPAR
(22,27),(27,28),-0.192083 # DEPENDENCYPART_GRANDPAR
(22,27),(27,29),-0.199147 # DEPENDENCYPART_GRANDPAR
(22,28),(28,3),-0.871048 # DEPENDENCYPART_GRANDPAR
(22,28),(28,4),-1.05379 # DEPENDENCYPART_GRANDPAR
(22,28),(28,5),-1.61149 # DEPENDENCYPART_GRANDPAR
(22,28),(28,7),-0.914494 # DEPENDENCYPART_GRANDPAR
(22,28),(28,8),-0.822119 # DEPENDENCYPART_GRANDPAR
(22,28),(28,9),-0.518502 # DEPENDENCYPART_GRANDPAR
(22,28),(28,10),-1.0037 # DEPENDENCYPART_GRANDPAR
(22,28),(28,12),-0.878577 # DEPENDENCYPART_GRANDPAR
(22,28),(28,14),-0.6962 # DEPENDENCYPART_GRANDPAR
(22,28),(28,15),-0.866207 # DEPENDENCYPART_GRANDPAR
(22,28),(28,16),-0.437925 # DEPENDENCYPART_GRANDPAR
(22,28),(28,17),-0.683919 # DEPENDENCYPART_GRANDPAR
(22,28),(28,18),-0.806451 # DEPENDENCYPART_GRANDPAR
(22,28),(28,19),-0.737279 # DEPENDENCYPART_GRANDPAR
(22,28),(28,20),-0.983079 # DEPENDENCYPART_GRANDPAR
(22,28),(28,21),-0.518725 # DEPENDENCYPART_GRANDPAR
(22,28),(28,22),-0.661534 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(22,28),(28,23),-0.517909 # DEPENDENCYPART_GRANDPAR
(22,28),(28,25),0.0136077 # DEPENDENCYPART_GRANDPAR
(22,28),(28,26),-0.675956 # DEPENDENCYPART_GRANDPAR
(22,28),(28,27),-0.318687 # DEPENDENCYPART_GRANDPAR
(22,28),(28,29),-0.0536144 # DEPENDENCYPART_GRANDPAR
(22,28),(28,30),-0.876909 # DEPENDENCYPART_GRANDPAR
(22,29),(29,3),-0.93892 # DEPENDENCYPART_GRANDPAR
(22,29),(29,4),-1.12941 # DEPENDENCYPART_GRANDPAR
(22,29),(29,5),-1.42847 # DEPENDENCYPART_GRANDPAR
(22,29),(29,8),-0.871269 # DEPENDENCYPART_GRANDPAR
(22,29),(29,20),-1.029 # DEPENDENCYPART_GRANDPAR
(22,29),(29,22),-0.750085 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(22,29),(29,25),-0.256489 # DEPENDENCYPART_GRANDPAR
(22,29),(29,26),-0.761722 # DEPENDENCYPART_GRANDPAR
(22,29),(29,27),-0.37696 # DEPENDENCYPART_GRANDPAR
(22,29),(29,28),-0.253054 # DEPENDENCYPART_GRANDPAR
(22,29),(29,30),-0.807808 # DEPENDENCYPART_GRANDPAR
(24,3),(3,1),0.609709 # DEPENDENCYPART_GRANDPAR
(24,3),(3,2),-0.0729648 # DEPENDENCYPART_GRANDPAR
(24,3),(3,4),-0.0378077 # DEPENDENCYPART_GRANDPAR
(24,3),(3,5),-0.356287 # DEPENDENCYPART_GRANDPAR
(24,3),(3,6),0.393154 # DEPENDENCYPART_GRANDPAR
(24,3),(3,7),0.00317367 # DEPENDENCYPART_GRANDPAR
(24,3),(3,8),0.131774 # DEPENDENCYPART_GRANDPAR
(24,3),(3,9),-0.0108331 # DEPENDENCYPART_GRANDPAR
(24,3),(3,10),-0.157086 # DEPENDENCYPART_GRANDPAR
(24,3),(3,12),0.18988 # DEPENDENCYPART_GRANDPAR
(24,3),(3,13),0.333199 # DEPENDENCYPART_GRANDPAR
(24,3),(3,14),-0.0654857 # DEPENDENCYPART_GRANDPAR
(24,3),(3,15),-0.014116 # DEPENDENCYPART_GRANDPAR
(24,3),(3,16),-0.192419 # DEPENDENCYPART_GRANDPAR
(24,3),(3,17),-0.249293 # DEPENDENCYPART_GRANDPAR
(24,3),(3,23),0.46578 # DEPENDENCYPART_GRANDPAR
(24,3),(3,30),-0.531692 # DEPENDENCYPART_GRANDPAR
(24,4),(4,3),-0.465399 # DEPENDENCYPART_GRANDPAR
(24,4),(4,5),-0.365097 # DEPENDENCYPART_GRANDPAR
(24,5),(5,3),-0.493008 # DEPENDENCYPART_GRANDPAR
(24,5),(5,4),-0.279694 # DEPENDENCYPART_GRANDPAR
(24,5),(5,6),0.125875 # DEPENDENCYPART_GRANDPAR
(24,5),(5,7),-0.183628 # DEPENDENCYPART_GRANDPAR
(24,5),(5,8),-0.10687 # DEPENDENCYPART_GRANDPAR
(24,5),(5,10),-0.235055 # DEPENDENCYPART_GRANDPAR
(24,5),(5,12),-0.0114697 # DEPENDENCYPART_GRANDPAR
(24,5),(5,15),0.0183276 # DEPENDENCYPART_GRANDPAR
(24,7),(7,1),0.265717 # DEPENDENCYPART_GRANDPAR
