# _root_ Dins l' àmbit del Barri_Antic , el consistori també ha anunciat l' inici de la renovació del paviment del carrer Sobrerroca , que començarà el dia_10_de_juny .
#goldHeads=11,3,1,3,4,1,8,11,11,11,0,13,11,13,16,14,16,17,18,19,20,24,24,16,26,24,11,
#predictedHeads=11,3,1,3,4,1,8,11,11,11,0,13,11,13,16,14,16,17,18,19,20,24,24,18,26,24,11,
(24,16),(24,17),-0.162427 # DEPENDENCYPART_SIBL
(24,16),(24,18),-0.747553 # DEPENDENCYPART_SIBL
(24,16),(24,19),-0.162427 # DEPENDENCYPART_SIBL
(24,16),(24,20),-0.754243 # DEPENDENCYPART_SIBL
(24,16),(24,21),-0.747551 # DEPENDENCYPART_SIBL
(24,16),(24,22),-0.500937 # DEPENDENCYPART_SIBL
(24,16),(24,23),-0.710605 # DEPENDENCYPART_SIBL
(24,16),(24,26),-0.0219082 # DEPENDENCYPART_SIBL
(24,16),(24,27),0.0271059 # DEPENDENCYPART_SIBL
(24,17),(24,18),-0.0719304 # DEPENDENCYPART_SIBL
(24,17),(24,19),-0.181087 # DEPENDENCYPART_SIBL
(24,17),(24,20),-0.0819723 # DEPENDENCYPART_SIBL
(24,17),(24,21),-0.0719287 # DEPENDENCYPART_SIBL
(24,17),(24,22),-0.349694 # DEPENDENCYPART_SIBL
(24,17),(24,23),-0.486261 # DEPENDENCYPART_SIBL
(24,17),(24,26),-0.0155674 # DEPENDENCYPART_SIBL
(24,17),(24,27),-0.0432484 # DEPENDENCYPART_SIBL
(24,18),(24,19),-0.153354 # DEPENDENCYPART_SIBL
(24,18),(24,20),-0.74573 # DEPENDENCYPART_SIBL
(24,18),(24,21),-0.739038 # DEPENDENCYPART_SIBL
(24,18),(24,22),-0.492424 # DEPENDENCYPART_SIBL
(24,18),(24,23),-0.696841 # DEPENDENCYPART_SIBL
(24,18),(24,26),-0.0187826 # DEPENDENCYPART_SIBL
(24,18),(24,27),0.0322547 # DEPENDENCYPART_SIBL
(24,19),(24,20),-0.0819723 # DEPENDENCYPART_SIBL
(24,19),(24,21),-0.0719287 # DEPENDENCYPART_SIBL
(24,19),(24,22),-0.349694 # DEPENDENCYPART_SIBL
(24,19),(24,23),-0.486261 # DEPENDENCYPART_SIBL
(24,19),(24,26),-0.0155674 # DEPENDENCYPART_SIBL
(24,19),(24,27),-0.0432484 # DEPENDENCYPART_SIBL
(24,20),(24,21),-0.738255 # DEPENDENCYPART_SIBL
(24,20),(24,22),-0.491644 # DEPENDENCYPART_SIBL
(24,20),(24,23),-0.696246 # DEPENDENCYPART_SIBL
(24,20),(24,26),-0.0158517 # DEPENDENCYPART_SIBL
(24,20),(24,27),0.0369571 # DEPENDENCYPART_SIBL
(24,21),(24,22),-0.492423 # DEPENDENCYPART_SIBL
(24,21),(24,23),-0.696839 # DEPENDENCYPART_SIBL
(24,21),(24,26),-0.0187826 # DEPENDENCYPART_SIBL
(24,21),(24,27),0.0322547 # DEPENDENCYPART_SIBL
(24,22),(24,23),0.190403 # DEPENDENCYPART_SIBL
(24,22),(24,26),0.0434619 # DEPENDENCYPART_SIBL
(24,22),(24,27),-0.410036 # DEPENDENCYPART_SIBL
(24,23),(24,26),0.101346 # DEPENDENCYPART_SIBL
(24,23),(24,27),-0.465906 # DEPENDENCYPART_SIBL
(24,26),(24,27),0.00386678 # DEPENDENCYPART_SIBL
(26,25),(26,27),-0.0493924 # DEPENDENCYPART_SIBL
(0,1),(1,2),0.194966 # DEPENDENCYPART_GRANDPAR
(0,1),(1,3),0.21939 # DEPENDENCYPART_GRANDPAR
(0,1),(1,4),-0.0214903 # DEPENDENCYPART_GRANDPAR
(0,1),(1,5),-0.102407 # DEPENDENCYPART_GRANDPAR
(0,1),(1,6),-0.0530054 # DEPENDENCYPART_GRANDPAR
(0,1),(1,8),0.208408 # DEPENDENCYPART_GRANDPAR
(0,1),(1,9),0.486777 # DEPENDENCYPART_GRANDPAR
(0,1),(1,22),-0.419841 # DEPENDENCYPART_GRANDPAR
(0,1),(1,27),2.26419 # DEPENDENCYPART_GRANDPAR
(0,10),(10,1),1.15227 # DEPENDENCYPART_GRANDPAR
(0,10),(10,3),0.354686 # DEPENDENCYPART_GRANDPAR
(0,10),(10,4),-0.191476 # DEPENDENCYPART_GRANDPAR
(0,10),(10,6),-0.381103 # DEPENDENCYPART_GRANDPAR
(0,10),(10,8),0.379774 # DEPENDENCYPART_GRANDPAR
(0,10),(10,9),0.532661 # DEPENDENCYPART_GRANDPAR
(0,10),(10,11),0.667391 # DEPENDENCYPART_GRANDPAR
(0,10),(10,13),0.162662 # DEPENDENCYPART_GRANDPAR
(0,10),(10,14),-0.327466 # DEPENDENCYPART_GRANDPAR
(0,10),(10,22),-0.457153 # DEPENDENCYPART_GRANDPAR
(0,10),(10,24),0.375928 # DEPENDENCYPART_GRANDPAR
(0,10),(10,27),2.50111 # DEPENDENCYPART_GRANDPAR
(0,11),(11,1),1.00188 # DEPENDENCYPART_GRANDPAR
(0,11),(11,3),0.400337 # DEPENDENCYPART_GRANDPAR
(0,11),(11,4),-0.339128 # DEPENDENCYPART_GRANDPAR
(0,11),(11,5),0.0790327 # DEPENDENCYPART_GRANDPAR
(0,11),(11,6),-0.474406 # DEPENDENCYPART_GRANDPAR
(0,11),(11,7),-0.425531 # DEPENDENCYPART_GRANDPAR
(0,11),(11,8),0.425431 # DEPENDENCYPART_GRANDPAR
(0,11),(11,9),0.442194 # DEPENDENCYPART_GRANDPAR
(0,11),(11,10),1.08354 # DEPENDENCYPART_GRANDPAR
(0,11),(11,13),0.0928214 # DEPENDENCYPART_GRANDPAR
(0,11),(11,14),-0.321138 # DEPENDENCYPART_GRANDPAR
(0,11),(11,16),0.100707 # DEPENDENCYPART_GRANDPAR
(0,11),(11,17),-0.491893 # DEPENDENCYPART_GRANDPAR
(0,11),(11,18),-0.287634 # DEPENDENCYPART_GRANDPAR
(0,11),(11,19),-0.612822 # DEPENDENCYPART_GRANDPAR
(0,11),(11,20),0.211624 # DEPENDENCYPART_GRANDPAR
(0,11),(11,21),0.134712 # DEPENDENCYPART_GRANDPAR
(0,11),(11,22),-0.468301 # DEPENDENCYPART_GRANDPAR
(0,11),(11,24),0.391057 # DEPENDENCYPART_GRANDPAR
(0,11),(11,26),0.117085 # DEPENDENCYPART_GRANDPAR
(0,11),(11,27),2.51693 # DEPENDENCYPART_GRANDPAR
(0,24),(24,1),1.00385 # DEPENDENCYPART_GRANDPAR
(0,24),(24,3),0.374667 # DEPENDENCYPART_GRANDPAR
(0,24),(24,6),-0.449966 # DEPENDENCYPART_GRANDPAR
(0,24),(24,8),0.399759 # DEPENDENCYPART_GRANDPAR
(0,24),(24,9),0.426896 # DEPENDENCYPART_GRANDPAR
(0,24),(24,10),1.08767 # DEPENDENCYPART_GRANDPAR
(0,24),(24,11),0.559387 # DEPENDENCYPART_GRANDPAR
(0,24),(24,13),-0.0378722 # DEPENDENCYPART_GRANDPAR
(0,24),(24,16),0.00722488 # DEPENDENCYPART_GRANDPAR
(0,24),(24,17),-0.880089 # DEPENDENCYPART_GRANDPAR
(0,24),(24,18),-0.381469 # DEPENDENCYPART_GRANDPAR
(0,24),(24,19),-1.00102 # DEPENDENCYPART_GRANDPAR
(0,24),(24,20),0.0824957 # DEPENDENCYPART_GRANDPAR
(0,24),(24,21),0.0395872 # DEPENDENCYPART_GRANDPAR
(0,24),(24,22),-0.816801 # DEPENDENCYPART_GRANDPAR
(0,24),(24,23),-1.87224 # DEPENDENCYPART_GRANDPAR
(0,24),(24,26),0.165721 # DEPENDENCYPART_GRANDPAR
(0,24),(24,27),2.55074 # DEPENDENCYPART_GRANDPAR
(1,2),(2,1),-0.845643 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,2),(2,3),0.213596 # DEPENDENCYPART_GRANDPAR
(1,2),(2,4),-0.300829 # DEPENDENCYPART_GRANDPAR
(1,3),(3,1),-0.865886 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,3),(3,2),0.734308 # DEPENDENCYPART_GRANDPAR
(1,3),(3,4),-0.0341153 # DEPENDENCYPART_GRANDPAR
(1,3),(3,5),-0.0950968 # DEPENDENCYPART_GRANDPAR
(1,3),(3,6),-0.496945 # DEPENDENCYPART_GRANDPAR
(1,3),(3,8),-0.224008 # DEPENDENCYPART_GRANDPAR
(1,3),(3,9),-0.0398584 # DEPENDENCYPART_GRANDPAR
(1,3),(3,10),-0.388985 # DEPENDENCYPART_GRANDPAR
(1,3),(3,11),0.133214 # DEPENDENCYPART_GRANDPAR
(1,3),(3,13),-0.408492 # DEPENDENCYPART_GRANDPAR
(1,3),(3,14),-0.488577 # DEPENDENCYPART_GRANDPAR
(1,3),(3,17),-0.771945 # DEPENDENCYPART_GRANDPAR
(1,3),(3,19),-0.891686 # DEPENDENCYPART_GRANDPAR
(1,3),(3,21),-0.389912 # DEPENDENCYPART_GRANDPAR
(1,3),(3,27),-1.7114 # DEPENDENCYPART_GRANDPAR
(1,4),(4,2),0.857702 # DEPENDENCYPART_GRANDPAR
(1,4),(4,5),0.173463 # DEPENDENCYPART_GRANDPAR
(1,4),(4,6),-0.528396 # DEPENDENCYPART_GRANDPAR
(1,4),(4,8),0.0514676 # DEPENDENCYPART_GRANDPAR
(1,5),(5,2),0.73626 # DEPENDENCYPART_GRANDPAR
(1,5),(5,6),-0.463168 # DEPENDENCYPART_GRANDPAR
(1,5),(5,8),-0.173144 # DEPENDENCYPART_GRANDPAR
(1,5),(5,9),-0.011388 # DEPENDENCYPART_GRANDPAR
(1,5),(5,10),-0.353662 # DEPENDENCYPART_GRANDPAR
(1,5),(5,11),0.16708 # DEPENDENCYPART_GRANDPAR
(1,5),(5,13),-0.357627 # DEPENDENCYPART_GRANDPAR
(1,5),(5,14),-0.451375 # DEPENDENCYPART_GRANDPAR
(1,5),(5,21),-0.339048 # DEPENDENCYPART_GRANDPAR
(1,5),(5,27),-1.67769 # DEPENDENCYPART_GRANDPAR
(1,8),(8,1),-0.864043 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,8),(8,2),0.729097 # DEPENDENCYPART_GRANDPAR
(1,8),(8,4),-0.234969 # DEPENDENCYPART_GRANDPAR
(1,8),(8,6),-0.479517 # DEPENDENCYPART_GRANDPAR
(1,8),(8,7),-0.858938 # DEPENDENCYPART_GRANDPAR
(1,8),(8,9),-0.0127685 # DEPENDENCYPART_GRANDPAR
(1,8),(8,10),-0.354633 # DEPENDENCYPART_GRANDPAR
(1,8),(8,11),0.166144 # DEPENDENCYPART_GRANDPAR
(1,8),(8,13),-0.358799 # DEPENDENCYPART_GRANDPAR
(1,8),(8,14),-0.458112 # DEPENDENCYPART_GRANDPAR
(1,8),(8,17),-0.738944 # DEPENDENCYPART_GRANDPAR
(1,8),(8,19),-0.858686 # DEPENDENCYPART_GRANDPAR
(1,8),(8,21),-0.340219 # DEPENDENCYPART_GRANDPAR
(1,8),(8,24),-0.447075 # DEPENDENCYPART_GRANDPAR
(1,8),(8,27),-1.67797 # DEPENDENCYPART_GRANDPAR
(1,9),(9,1),-0.834532 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,9),(9,4),-0.166396 # DEPENDENCYPART_GRANDPAR
(1,9),(9,6),-0.283594 # DEPENDENCYPART_GRANDPAR
(1,9),(9,7),-0.757555 # DEPENDENCYPART_GRANDPAR
(1,9),(9,8),-0.0725631 # DEPENDENCYPART_GRANDPAR
(1,9),(9,10),-0.392332 # DEPENDENCYPART_GRANDPAR
(2,1),(1,2),-1.77836 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,1),(1,3),-1.23778 # DEPENDENCYPART_GRANDPAR
(2,1),(1,4),-0.621084 # DEPENDENCYPART_GRANDPAR
(2,1),(1,5),-1.40941 # DEPENDENCYPART_GRANDPAR
(2,1),(1,6),-1.16975 # DEPENDENCYPART_GRANDPAR
(2,1),(1,8),-1.83434 # DEPENDENCYPART_GRANDPAR
(2,1),(1,9),-1.04365 # DEPENDENCYPART_GRANDPAR
(2,1),(1,22),-1.39978 # DEPENDENCYPART_GRANDPAR
(2,1),(1,27),-1.39954 # DEPENDENCYPART_GRANDPAR
(2,3),(3,1),-1.22029 # DEPENDENCYPART_GRANDPAR
(2,3),(3,2),-0.998898 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,3),(3,4),0.17016 # DEPENDENCYPART_GRANDPAR
(2,3),(3,5),-0.707718 # DEPENDENCYPART_GRANDPAR
(2,3),(3,6),-0.441753 # DEPENDENCYPART_GRANDPAR
(2,3),(3,8),-1.1359 # DEPENDENCYPART_GRANDPAR
(2,3),(3,9),-0.413477 # DEPENDENCYPART_GRANDPAR
(2,3),(3,10),-0.289445 # DEPENDENCYPART_GRANDPAR
(2,3),(3,11),-0.214338 # DEPENDENCYPART_GRANDPAR
(2,3),(3,13),-1.31475 # DEPENDENCYPART_GRANDPAR
(2,3),(3,14),-0.0959668 # DEPENDENCYPART_GRANDPAR
(2,3),(3,17),-0.162471 # DEPENDENCYPART_GRANDPAR
(2,3),(3,19),-0.161583 # DEPENDENCYPART_GRANDPAR
(2,3),(3,21),-1.15002 # DEPENDENCYPART_GRANDPAR
(2,3),(3,27),-0.641352 # DEPENDENCYPART_GRANDPAR
(2,4),(4,2),-1.05873 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,4),(4,5),-0.702561 # DEPENDENCYPART_GRANDPAR
(2,4),(4,6),-0.55772 # DEPENDENCYPART_GRANDPAR
(2,4),(4,8),-1.12719 # DEPENDENCYPART_GRANDPAR
(3,1),(1,2),-0.0999664 # DEPENDENCYPART_GRANDPAR
(3,1),(1,3),-1.65473 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,1),(1,4),-0.674798 # DEPENDENCYPART_GRANDPAR
(3,1),(1,5),-1.02655 # DEPENDENCYPART_GRANDPAR
(3,1),(1,6),-1.01737 # DEPENDENCYPART_GRANDPAR
(3,1),(1,8),-0.953175 # DEPENDENCYPART_GRANDPAR
(3,1),(1,9),-0.796247 # DEPENDENCYPART_GRANDPAR
(3,1),(1,22),-0.862603 # DEPENDENCYPART_GRANDPAR
(3,1),(1,27),-2.42947 # DEPENDENCYPART_GRANDPAR
(3,2),(2,1),-0.649834 # DEPENDENCYPART_GRANDPAR
(3,2),(2,3),-1.61271 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,2),(2,4),-0.724204 # DEPENDENCYPART_GRANDPAR
(3,4),(4,2),-0.867065 # DEPENDENCYPART_GRANDPAR
(3,4),(4,5),0.0748588 # DEPENDENCYPART_GRANDPAR
(3,4),(4,6),-0.297347 # DEPENDENCYPART_GRANDPAR
(3,4),(4,8),0.157102 # DEPENDENCYPART_GRANDPAR
(3,5),(5,2),-0.893567 # DEPENDENCYPART_GRANDPAR
(3,5),(5,6),-0.13754 # DEPENDENCYPART_GRANDPAR
(3,5),(5,8),-0.153662 # DEPENDENCYPART_GRANDPAR
(3,5),(5,9),-0.250067 # DEPENDENCYPART_GRANDPAR
(3,5),(5,10),-0.379373 # DEPENDENCYPART_GRANDPAR
(3,5),(5,11),-0.409638 # DEPENDENCYPART_GRANDPAR
(3,5),(5,13),-0.387009 # DEPENDENCYPART_GRANDPAR
(3,5),(5,14),-0.356324 # DEPENDENCYPART_GRANDPAR
(3,5),(5,21),-0.757951 # DEPENDENCYPART_GRANDPAR
(3,5),(5,27),-1.63404 # DEPENDENCYPART_GRANDPAR
(3,8),(8,1),-1.19064 # DEPENDENCYPART_GRANDPAR
(3,8),(8,2),-0.893567 # DEPENDENCYPART_GRANDPAR
(3,8),(8,4),0.0598969 # DEPENDENCYPART_GRANDPAR
(3,8),(8,6),-0.00231389 # DEPENDENCYPART_GRANDPAR
(3,8),(8,7),-0.0582094 # DEPENDENCYPART_GRANDPAR
(3,8),(8,9),-0.251902 # DEPENDENCYPART_GRANDPAR
(3,8),(8,10),-0.38108 # DEPENDENCYPART_GRANDPAR
(3,8),(8,11),-0.411314 # DEPENDENCYPART_GRANDPAR
(3,8),(8,13),-0.388954 # DEPENDENCYPART_GRANDPAR
(3,8),(8,14),-0.367367 # DEPENDENCYPART_GRANDPAR
(3,8),(8,17),-0.509057 # DEPENDENCYPART_GRANDPAR
(3,8),(8,19),-0.49665 # DEPENDENCYPART_GRANDPAR
(3,8),(8,21),-0.759896 # DEPENDENCYPART_GRANDPAR
(3,8),(8,24),-0.563148 # DEPENDENCYPART_GRANDPAR
(3,8),(8,27),-1.63568 # DEPENDENCYPART_GRANDPAR
(3,9),(9,1),-1.27481 # DEPENDENCYPART_GRANDPAR
(3,9),(9,4),0.0672231 # DEPENDENCYPART_GRANDPAR
(3,9),(9,6),-0.13388 # DEPENDENCYPART_GRANDPAR
(3,9),(9,7),-0.200365 # DEPENDENCYPART_GRANDPAR
(3,9),(9,8),-0.163831 # DEPENDENCYPART_GRANDPAR
(3,9),(9,10),-0.28779 # DEPENDENCYPART_GRANDPAR
(3,10),(10,1),-1.41664 # DEPENDENCYPART_GRANDPAR
(3,10),(10,3),-0.791044 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,10),(10,4),0.112726 # DEPENDENCYPART_GRANDPAR
(3,10),(10,6),0.0451132 # DEPENDENCYPART_GRANDPAR
(3,10),(10,8),-0.0865376 # DEPENDENCYPART_GRANDPAR
(3,10),(10,9),0.030127 # DEPENDENCYPART_GRANDPAR
(3,10),(10,11),-0.213041 # DEPENDENCYPART_GRANDPAR
(3,10),(10,13),-0.194496 # DEPENDENCYPART_GRANDPAR
(3,10),(10,14),-0.352012 # DEPENDENCYPART_GRANDPAR
(3,10),(10,22),-0.00504485 # DEPENDENCYPART_GRANDPAR
(3,10),(10,24),-0.360441 # DEPENDENCYPART_GRANDPAR
(3,10),(10,27),-1.68643 # DEPENDENCYPART_GRANDPAR
(3,11),(11,1),-1.41251 # DEPENDENCYPART_GRANDPAR
(3,11),(11,3),-0.760536 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,11),(11,4),0.087477 # DEPENDENCYPART_GRANDPAR
(3,11),(11,5),-0.132539 # DEPENDENCYPART_GRANDPAR
(3,11),(11,6),-0.0214603 # DEPENDENCYPART_GRANDPAR
(3,11),(11,7),-0.380474 # DEPENDENCYPART_GRANDPAR
(3,11),(11,8),-0.056023 # DEPENDENCYPART_GRANDPAR
(3,11),(11,9),0.00714936 # DEPENDENCYPART_GRANDPAR
(3,11),(11,10),0.170886 # DEPENDENCYPART_GRANDPAR
(3,11),(11,13),-0.207531 # DEPENDENCYPART_GRANDPAR
(3,11),(11,14),-0.320936 # DEPENDENCYPART_GRANDPAR
(3,11),(11,16),-0.382 # DEPENDENCYPART_GRANDPAR
(3,11),(11,17),-0.475192 # DEPENDENCYPART_GRANDPAR
(3,11),(11,18),-0.529532 # DEPENDENCYPART_GRANDPAR
(3,11),(11,19),-0.462784 # DEPENDENCYPART_GRANDPAR
(3,11),(11,20),-0.488863 # DEPENDENCYPART_GRANDPAR
(3,11),(11,21),-0.585954 # DEPENDENCYPART_GRANDPAR
(3,11),(11,22),0.0404762 # DEPENDENCYPART_GRANDPAR
(3,11),(11,24),-0.337884 # DEPENDENCYPART_GRANDPAR
(3,11),(11,26),-0.237905 # DEPENDENCYPART_GRANDPAR
(3,11),(11,27),-1.64501 # DEPENDENCYPART_GRANDPAR
(3,13),(13,1),-1.19064 # DEPENDENCYPART_GRANDPAR
(3,13),(13,4),0.0614127 # DEPENDENCYPART_GRANDPAR
(3,13),(13,6),0.00391298 # DEPENDENCYPART_GRANDPAR
(3,13),(13,7),-0.0187433 # DEPENDENCYPART_GRANDPAR
(3,13),(13,8),-0.137245 # DEPENDENCYPART_GRANDPAR
(3,13),(13,9),0.0969038 # DEPENDENCYPART_GRANDPAR
(3,13),(13,10),-0.109151 # DEPENDENCYPART_GRANDPAR
(3,13),(13,11),-0.212203 # DEPENDENCYPART_GRANDPAR
(3,13),(13,12),-0.656868 # DEPENDENCYPART_GRANDPAR
(3,13),(13,14),-0.327049 # DEPENDENCYPART_GRANDPAR
(3,13),(13,16),-0.552015 # DEPENDENCYPART_GRANDPAR
(3,13),(13,17),-0.488865 # DEPENDENCYPART_GRANDPAR
(3,13),(13,18),-0.703224 # DEPENDENCYPART_GRANDPAR
(3,13),(13,19),-0.476458 # DEPENDENCYPART_GRANDPAR
(3,13),(13,20),-0.664473 # DEPENDENCYPART_GRANDPAR
(3,13),(13,21),-0.75963 # DEPENDENCYPART_GRANDPAR
(3,13),(13,22),0.00946311 # DEPENDENCYPART_GRANDPAR
(3,13),(13,24),-0.562582 # DEPENDENCYPART_GRANDPAR
(3,13),(13,26),-0.401763 # DEPENDENCYPART_GRANDPAR
(3,13),(13,27),-1.64084 # DEPENDENCYPART_GRANDPAR
(3,14),(14,12),-0.733496 # DEPENDENCYPART_GRANDPAR
(3,14),(14,15),-0.545327 # DEPENDENCYPART_GRANDPAR
(3,14),(14,16),-0.208014 # DEPENDENCYPART_GRANDPAR
(3,14),(14,17),-0.416425 # DEPENDENCYPART_GRANDPAR
(3,14),(14,18),-0.366508 # DEPENDENCYPART_GRANDPAR
(3,14),(14,19),-0.404017 # DEPENDENCYPART_GRANDPAR
(3,17),(17,15),-0.393281 # DEPENDENCYPART_GRANDPAR
(3,17),(17,18),-0.395382 # DEPENDENCYPART_GRANDPAR
(3,17),(17,19),-0.478761 # DEPENDENCYPART_GRANDPAR
(3,17),(17,20),-0.343618 # DEPENDENCYPART_GRANDPAR
(3,17),(17,22),-0.142576 # DEPENDENCYPART_GRANDPAR
(3,17),(17,26),-0.302435 # DEPENDENCYPART_GRANDPAR
(3,19),(19,17),-0.505827 # DEPENDENCYPART_GRANDPAR
(3,19),(19,20),-0.343618 # DEPENDENCYPART_GRANDPAR
(3,19),(19,21),-0.450723 # DEPENDENCYPART_GRANDPAR
(3,19),(19,24),-0.470572 # DEPENDENCYPART_GRANDPAR
(3,19),(19,26),-0.302435 # DEPENDENCYPART_GRANDPAR
(3,21),(21,19),-0.558418 # DEPENDENCYPART_GRANDPAR
(3,21),(21,20),-0.659702 # DEPENDENCYPART_GRANDPAR
(3,21),(21,22),0.0192201 # DEPENDENCYPART_GRANDPAR
(3,21),(21,24),-0.559387 # DEPENDENCYPART_GRANDPAR
(3,21),(21,26),-0.406042 # DEPENDENCYPART_GRANDPAR
(4,2),(2,1),-0.440095 # DEPENDENCYPART_GRANDPAR
(4,2),(2,3),-0.391706 # DEPENDENCYPART_GRANDPAR
(4,2),(2,4),-1.41616 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,5),(5,2),-1.162 # DEPENDENCYPART_GRANDPAR
(4,5),(5,6),-0.241767 # DEPENDENCYPART_GRANDPAR
(4,5),(5,8),0.153177 # DEPENDENCYPART_GRANDPAR
(4,5),(5,9),-0.144277 # DEPENDENCYPART_GRANDPAR
(4,5),(5,10),0.0878735 # DEPENDENCYPART_GRANDPAR
(4,5),(5,11),0.508696 # DEPENDENCYPART_GRANDPAR
(4,5),(5,13),-0.0729549 # DEPENDENCYPART_GRANDPAR
(4,5),(5,14),0.103338 # DEPENDENCYPART_GRANDPAR
(4,5),(5,21),0.344093 # DEPENDENCYPART_GRANDPAR
(4,5),(5,27),-1.20395 # DEPENDENCYPART_GRANDPAR
(4,8),(8,1),-0.948667 # DEPENDENCYPART_GRANDPAR
(4,8),(8,2),-1.162 # DEPENDENCYPART_GRANDPAR
(4,8),(8,4),-0.669215 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,8),(8,6),-0.0975659 # DEPENDENCYPART_GRANDPAR
(4,8),(8,7),-1.00069 # DEPENDENCYPART_GRANDPAR
(4,8),(8,9),-0.145644 # DEPENDENCYPART_GRANDPAR
(4,8),(8,10),0.0857007 # DEPENDENCYPART_GRANDPAR
(4,8),(8,11),0.506558 # DEPENDENCYPART_GRANDPAR
(4,8),(8,13),-0.0745684 # DEPENDENCYPART_GRANDPAR
(4,8),(8,14),0.0982992 # DEPENDENCYPART_GRANDPAR
(4,8),(8,17),-0.182041 # DEPENDENCYPART_GRANDPAR
(4,8),(8,19),-0.222438 # DEPENDENCYPART_GRANDPAR
(4,8),(8,21),0.342479 # DEPENDENCYPART_GRANDPAR
(4,8),(8,24),0.278097 # DEPENDENCYPART_GRANDPAR
(4,8),(8,27),-1.20422 # DEPENDENCYPART_GRANDPAR
(5,2),(2,1),0.00621746 # DEPENDENCYPART_GRANDPAR
(5,2),(2,3),0.588246 # DEPENDENCYPART_GRANDPAR
(5,2),(2,4),0.704317 # DEPENDENCYPART_GRANDPAR
(5,8),(8,1),-0.538228 # DEPENDENCYPART_GRANDPAR
(5,8),(8,2),-1.21882 # DEPENDENCYPART_GRANDPAR
(5,8),(8,4),-0.262997 # DEPENDENCYPART_GRANDPAR
(5,8),(8,6),0.401959 # DEPENDENCYPART_GRANDPAR
(5,8),(8,7),0.175648 # DEPENDENCYPART_GRANDPAR
(5,8),(8,9),-0.115405 # DEPENDENCYPART_GRANDPAR
(5,8),(8,10),-0.286693 # DEPENDENCYPART_GRANDPAR
(5,8),(8,11),-0.270784 # DEPENDENCYPART_GRANDPAR
(5,8),(8,13),-0.304137 # DEPENDENCYPART_GRANDPAR
(5,8),(8,14),-0.211098 # DEPENDENCYPART_GRANDPAR
(5,8),(8,17),-0.2472 # DEPENDENCYPART_GRANDPAR
(5,8),(8,19),-0.277165 # DEPENDENCYPART_GRANDPAR
(5,8),(8,21),-0.414031 # DEPENDENCYPART_GRANDPAR
(5,8),(8,24),-0.418307 # DEPENDENCYPART_GRANDPAR
(5,8),(8,27),-1.41318 # DEPENDENCYPART_GRANDPAR
(5,9),(9,1),-0.622397 # DEPENDENCYPART_GRANDPAR
(5,9),(9,4),-0.339343 # DEPENDENCYPART_GRANDPAR
(5,9),(9,6),0.260885 # DEPENDENCYPART_GRANDPAR
(5,9),(9,7),0.0102207 # DEPENDENCYPART_GRANDPAR
(5,9),(9,8),-0.223136 # DEPENDENCYPART_GRANDPAR
(5,9),(9,10),-0.201329 # DEPENDENCYPART_GRANDPAR
(5,10),(10,1),-0.764225 # DEPENDENCYPART_GRANDPAR
(5,10),(10,3),-0.708921 # DEPENDENCYPART_GRANDPAR
(5,10),(10,4),-0.500542 # DEPENDENCYPART_GRANDPAR
(5,10),(10,6),0.44738 # DEPENDENCYPART_GRANDPAR
(5,10),(10,8),-0.138361 # DEPENDENCYPART_GRANDPAR
(5,10),(10,9),0.171853 # DEPENDENCYPART_GRANDPAR
(5,10),(10,11),-0.0814916 # DEPENDENCYPART_GRANDPAR
(5,10),(10,13),-0.120615 # DEPENDENCYPART_GRANDPAR
(5,10),(10,14),-0.209086 # DEPENDENCYPART_GRANDPAR
(5,10),(10,22),0.0247758 # DEPENDENCYPART_GRANDPAR
(5,10),(10,24),-0.22458 # DEPENDENCYPART_GRANDPAR
(5,10),(10,27),-1.47348 # DEPENDENCYPART_GRANDPAR
(5,11),(11,1),-0.760093 # DEPENDENCYPART_GRANDPAR
(5,11),(11,3),-0.70456 # DEPENDENCYPART_GRANDPAR
(5,11),(11,4),-0.496411 # DEPENDENCYPART_GRANDPAR
(5,11),(11,5),-0.770498 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,11),(11,6),0.379313 # DEPENDENCYPART_GRANDPAR
(5,11),(11,7),-0.15861 # DEPENDENCYPART_GRANDPAR
(5,11),(11,8),-0.10934 # DEPENDENCYPART_GRANDPAR
(5,11),(11,9),0.14662 # DEPENDENCYPART_GRANDPAR
(5,11),(11,10),0.253482 # DEPENDENCYPART_GRANDPAR
(5,11),(11,13),-0.133654 # DEPENDENCYPART_GRANDPAR
