# _root_ Hi poden optar tots els músics , en solitari o en formació , que no disposin d' obra editada comercialment .
#goldHeads=3,3,0,5,6,3,8,6,8,8,8,11,8,16,16,6,16,17,18,19,3,
#predictedHeads=3,3,0,5,6,3,8,3,8,8,8,11,16,16,16,6,16,17,18,19,3,
(3,2),(2,8),-0.676753 # DEPENDENCYPART_GRANDPAR
(3,2),(2,9),-1.16789 # DEPENDENCYPART_GRANDPAR
(3,2),(2,10),-1.06653 # DEPENDENCYPART_GRANDPAR
(3,2),(2,11),-0.54971 # DEPENDENCYPART_GRANDPAR
(3,2),(2,13),-1.86192 # DEPENDENCYPART_GRANDPAR
(3,2),(2,15),-1.0377 # DEPENDENCYPART_GRANDPAR
(3,2),(2,16),-0.616752 # DEPENDENCYPART_GRANDPAR
(3,2),(2,19),-1.28517 # DEPENDENCYPART_GRANDPAR
(3,2),(2,20),-0.876326 # DEPENDENCYPART_GRANDPAR
(3,2),(2,21),-2.15966 # DEPENDENCYPART_GRANDPAR
(3,6),(6,1),-0.512054 # DEPENDENCYPART_GRANDPAR
(3,6),(6,2),-1.0972 # DEPENDENCYPART_GRANDPAR
(3,6),(6,3),-0.243949 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,6),(6,4),1.0981 # DEPENDENCYPART_GRANDPAR
(3,6),(6,5),0.198681 # DEPENDENCYPART_GRANDPAR
(3,6),(6,7),-0.378236 # DEPENDENCYPART_GRANDPAR
(3,6),(6,8),-0.0907371 # DEPENDENCYPART_GRANDPAR
(3,6),(6,9),-0.184742 # DEPENDENCYPART_GRANDPAR
(3,6),(6,10),-0.0114431 # DEPENDENCYPART_GRANDPAR
(3,6),(6,11),0.0363059 # DEPENDENCYPART_GRANDPAR
(3,6),(6,12),-0.27448 # DEPENDENCYPART_GRANDPAR
(3,6),(6,13),-0.898288 # DEPENDENCYPART_GRANDPAR
(3,6),(6,16),0.500894 # DEPENDENCYPART_GRANDPAR
(3,6),(6,19),-0.295207 # DEPENDENCYPART_GRANDPAR
(3,6),(6,20),-0.027505 # DEPENDENCYPART_GRANDPAR
(3,6),(6,21),-1.20513 # DEPENDENCYPART_GRANDPAR
(3,7),(7,6),0.135727 # DEPENDENCYPART_GRANDPAR
(3,8),(8,3),-0.311406 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,8),(8,4),0.995987 # DEPENDENCYPART_GRANDPAR
(3,8),(8,5),-0.00665551 # DEPENDENCYPART_GRANDPAR
(3,8),(8,6),0.341493 # DEPENDENCYPART_GRANDPAR
(3,8),(8,7),0.144058 # DEPENDENCYPART_GRANDPAR
(3,8),(8,9),-0.173255 # DEPENDENCYPART_GRANDPAR
(3,8),(8,10),-0.0681002 # DEPENDENCYPART_GRANDPAR
(3,8),(8,11),0.13125 # DEPENDENCYPART_GRANDPAR
(3,8),(8,12),-0.0711215 # DEPENDENCYPART_GRANDPAR
(3,8),(8,13),-0.702582 # DEPENDENCYPART_GRANDPAR
(3,8),(8,15),-0.226373 # DEPENDENCYPART_GRANDPAR
(3,8),(8,16),0.573274 # DEPENDENCYPART_GRANDPAR
(3,8),(8,17),-0.182663 # DEPENDENCYPART_GRANDPAR
(3,8),(8,20),0.055557 # DEPENDENCYPART_GRANDPAR
(3,8),(8,21),-1.12166 # DEPENDENCYPART_GRANDPAR
(3,9),(9,5),0.0077622 # DEPENDENCYPART_GRANDPAR
(3,9),(9,6),0.312502 # DEPENDENCYPART_GRANDPAR
(3,9),(9,7),-0.0485399 # DEPENDENCYPART_GRANDPAR
(3,9),(9,8),0.261493 # DEPENDENCYPART_GRANDPAR
(3,9),(9,10),-0.0840474 # DEPENDENCYPART_GRANDPAR
(3,9),(9,11),0.107846 # DEPENDENCYPART_GRANDPAR
(3,9),(9,12),-0.302369 # DEPENDENCYPART_GRANDPAR
(3,9),(9,13),-0.791504 # DEPENDENCYPART_GRANDPAR
(3,9),(9,16),0.421432 # DEPENDENCYPART_GRANDPAR
(3,9),(9,17),-0.0936504 # DEPENDENCYPART_GRANDPAR
(3,9),(9,19),-0.329638 # DEPENDENCYPART_GRANDPAR
(3,9),(9,20),0.00350861 # DEPENDENCYPART_GRANDPAR
(3,11),(11,5),-0.00665551 # DEPENDENCYPART_GRANDPAR
(3,11),(11,7),0.144058 # DEPENDENCYPART_GRANDPAR
(3,11),(11,8),0.187908 # DEPENDENCYPART_GRANDPAR
(3,11),(11,9),-0.308702 # DEPENDENCYPART_GRANDPAR
(3,11),(11,10),0.00843333 # DEPENDENCYPART_GRANDPAR
(3,11),(11,12),-0.0711215 # DEPENDENCYPART_GRANDPAR
(3,11),(11,13),-0.702582 # DEPENDENCYPART_GRANDPAR
(3,11),(11,15),-0.226373 # DEPENDENCYPART_GRANDPAR
(3,11),(11,16),0.573274 # DEPENDENCYPART_GRANDPAR
(3,11),(11,17),-0.182663 # DEPENDENCYPART_GRANDPAR
(3,12),(12,7),-0.306703 # DEPENDENCYPART_GRANDPAR
(3,12),(12,8),0.226744 # DEPENDENCYPART_GRANDPAR
(3,12),(12,9),-0.169632 # DEPENDENCYPART_GRANDPAR
(3,12),(12,10),0.070452 # DEPENDENCYPART_GRANDPAR
(3,12),(12,11),0.353787 # DEPENDENCYPART_GRANDPAR
(3,12),(12,13),-0.915511 # DEPENDENCYPART_GRANDPAR
(3,12),(12,16),0.523879 # DEPENDENCYPART_GRANDPAR
(3,12),(12,17),0.00554384 # DEPENDENCYPART_GRANDPAR
(3,12),(12,19),-0.29339 # DEPENDENCYPART_GRANDPAR
(3,12),(12,20),-0.0277452 # DEPENDENCYPART_GRANDPAR
(3,12),(12,21),-1.21774 # DEPENDENCYPART_GRANDPAR
(3,15),(15,13),-0.527246 # DEPENDENCYPART_GRANDPAR
(3,15),(15,17),0.0267686 # DEPENDENCYPART_GRANDPAR
(3,16),(16,1),-0.928504 # DEPENDENCYPART_GRANDPAR
(3,16),(16,2),-1.48325 # DEPENDENCYPART_GRANDPAR
(3,16),(16,3),-0.475399 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,16),(16,5),-0.03687 # DEPENDENCYPART_GRANDPAR
(3,16),(16,6),0.227945 # DEPENDENCYPART_GRANDPAR
(3,16),(16,7),0.0768512 # DEPENDENCYPART_GRANDPAR
(3,16),(16,8),0.0226597 # DEPENDENCYPART_GRANDPAR
(3,16),(16,9),-0.299418 # DEPENDENCYPART_GRANDPAR
(3,16),(16,10),-0.0976653 # DEPENDENCYPART_GRANDPAR
(3,16),(16,11),0.149703 # DEPENDENCYPART_GRANDPAR
(3,16),(16,12),-0.21514 # DEPENDENCYPART_GRANDPAR
(3,16),(16,13),-0.4432 # DEPENDENCYPART_GRANDPAR
(3,16),(16,14),-0.311432 # DEPENDENCYPART_GRANDPAR
(3,16),(16,15),0.0481187 # DEPENDENCYPART_GRANDPAR
(3,16),(16,17),-0.114706 # DEPENDENCYPART_GRANDPAR
(3,16),(16,18),-0.396284 # DEPENDENCYPART_GRANDPAR
(3,16),(16,19),-0.267264 # DEPENDENCYPART_GRANDPAR
(3,16),(16,20),0.0517066 # DEPENDENCYPART_GRANDPAR
(3,16),(16,21),-1.08648 # DEPENDENCYPART_GRANDPAR
(3,19),(19,11),0.388682 # DEPENDENCYPART_GRANDPAR
(3,19),(19,17),0.0619116 # DEPENDENCYPART_GRANDPAR
(3,19),(19,20),0.00349114 # DEPENDENCYPART_GRANDPAR
(3,19),(19,21),-1.24389 # DEPENDENCYPART_GRANDPAR
(3,20),(20,8),0.137084 # DEPENDENCYPART_GRANDPAR
(3,20),(20,11),0.264127 # DEPENDENCYPART_GRANDPAR
(3,20),(20,13),-0.415366 # DEPENDENCYPART_GRANDPAR
(3,20),(20,17),0.121178 # DEPENDENCYPART_GRANDPAR
(3,20),(20,18),-0.398507 # DEPENDENCYPART_GRANDPAR
(3,20),(20,19),-0.383216 # DEPENDENCYPART_GRANDPAR
(3,20),(20,21),-1.22236 # DEPENDENCYPART_GRANDPAR
(4,6),(6,1),-1.05792 # DEPENDENCYPART_GRANDPAR
(4,6),(6,2),-1.35114 # DEPENDENCYPART_GRANDPAR
(4,6),(6,3),-1.04033 # DEPENDENCYPART_GRANDPAR
(4,6),(6,4),-1.55967 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,6),(6,5),-0.366885 # DEPENDENCYPART_GRANDPAR
(4,6),(6,7),-0.585313 # DEPENDENCYPART_GRANDPAR
(4,6),(6,8),-0.522688 # DEPENDENCYPART_GRANDPAR
(4,6),(6,9),-0.936604 # DEPENDENCYPART_GRANDPAR
(4,6),(6,10),-0.514402 # DEPENDENCYPART_GRANDPAR
(4,6),(6,11),-0.487019 # DEPENDENCYPART_GRANDPAR
(4,6),(6,12),-1.09682 # DEPENDENCYPART_GRANDPAR
(4,6),(6,13),-0.560139 # DEPENDENCYPART_GRANDPAR
(4,6),(6,16),-0.507096 # DEPENDENCYPART_GRANDPAR
(4,6),(6,19),-0.976623 # DEPENDENCYPART_GRANDPAR
(4,6),(6,20),-0.608145 # DEPENDENCYPART_GRANDPAR
(4,6),(6,21),-0.617142 # DEPENDENCYPART_GRANDPAR
(4,8),(8,3),-1.03644 # DEPENDENCYPART_GRANDPAR
(4,8),(8,4),-1.53456 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,8),(8,5),-0.407946 # DEPENDENCYPART_GRANDPAR
(4,8),(8,6),-0.708169 # DEPENDENCYPART_GRANDPAR
(4,8),(8,7),-0.518647 # DEPENDENCYPART_GRANDPAR
(4,8),(8,9),-1.00278 # DEPENDENCYPART_GRANDPAR
(4,8),(8,10),-0.588851 # DEPENDENCYPART_GRANDPAR
(4,8),(8,11),-0.534428 # DEPENDENCYPART_GRANDPAR
(4,8),(8,12),-1.15162 # DEPENDENCYPART_GRANDPAR
(4,8),(8,13),-0.661518 # DEPENDENCYPART_GRANDPAR
(4,8),(8,15),-0.600412 # DEPENDENCYPART_GRANDPAR
(4,8),(8,16),-0.559135 # DEPENDENCYPART_GRANDPAR
(4,8),(8,17),-0.762131 # DEPENDENCYPART_GRANDPAR
(4,8),(8,20),-0.633055 # DEPENDENCYPART_GRANDPAR
(4,8),(8,21),-0.727203 # DEPENDENCYPART_GRANDPAR
(5,4),(4,6),-1.22704 # DEPENDENCYPART_GRANDPAR
(5,4),(4,8),-1.01664 # DEPENDENCYPART_GRANDPAR
(5,6),(6,1),-1.38644 # DEPENDENCYPART_GRANDPAR
(5,6),(6,2),-1.58918 # DEPENDENCYPART_GRANDPAR
(5,6),(6,3),-1.35746 # DEPENDENCYPART_GRANDPAR
(5,6),(6,4),-1.43921 # DEPENDENCYPART_GRANDPAR
(5,6),(6,5),-1.3707 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,6),(6,7),-0.44152 # DEPENDENCYPART_GRANDPAR
(5,6),(6,8),-0.333963 # DEPENDENCYPART_GRANDPAR
(5,6),(6,9),-0.798785 # DEPENDENCYPART_GRANDPAR
(5,6),(6,10),-0.368777 # DEPENDENCYPART_GRANDPAR
(5,6),(6,11),-0.282827 # DEPENDENCYPART_GRANDPAR
(5,6),(6,12),-0.966243 # DEPENDENCYPART_GRANDPAR
(5,6),(6,13),-0.403425 # DEPENDENCYPART_GRANDPAR
(5,6),(6,16),-0.389738 # DEPENDENCYPART_GRANDPAR
(5,6),(6,19),-0.873823 # DEPENDENCYPART_GRANDPAR
(5,6),(6,20),-0.512476 # DEPENDENCYPART_GRANDPAR
(5,6),(6,21),-0.469355 # DEPENDENCYPART_GRANDPAR
(6,1),(1,2),-0.617631 # DEPENDENCYPART_GRANDPAR
(6,1),(1,3),-0.252772 # DEPENDENCYPART_GRANDPAR
(6,1),(1,6),-1.40202 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,1),(1,7),-0.395312 # DEPENDENCYPART_GRANDPAR
(6,1),(1,9),-0.655358 # DEPENDENCYPART_GRANDPAR
(6,2),(2,1),-0.599302 # DEPENDENCYPART_GRANDPAR
(6,2),(2,3),-0.301054 # DEPENDENCYPART_GRANDPAR
(6,2),(2,6),-1.57356 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,2),(2,7),-0.54994 # DEPENDENCYPART_GRANDPAR
(6,2),(2,8),-0.694385 # DEPENDENCYPART_GRANDPAR
(6,2),(2,9),-0.739846 # DEPENDENCYPART_GRANDPAR
(6,2),(2,10),-0.659071 # DEPENDENCYPART_GRANDPAR
(6,2),(2,11),-0.709707 # DEPENDENCYPART_GRANDPAR
(6,2),(2,13),-0.592183 # DEPENDENCYPART_GRANDPAR
(6,2),(2,15),-0.455685 # DEPENDENCYPART_GRANDPAR
(6,2),(2,16),-0.76411 # DEPENDENCYPART_GRANDPAR
(6,2),(2,19),-1.1229 # DEPENDENCYPART_GRANDPAR
(6,2),(2,20),-0.648767 # DEPENDENCYPART_GRANDPAR
(6,2),(2,21),-1.62081 # DEPENDENCYPART_GRANDPAR
(6,3),(3,1),-0.58292 # DEPENDENCYPART_GRANDPAR
(6,3),(3,2),-0.66822 # DEPENDENCYPART_GRANDPAR
(6,3),(3,6),-1.57354 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,3),(3,7),-0.54994 # DEPENDENCYPART_GRANDPAR
(6,3),(3,8),-0.694384 # DEPENDENCYPART_GRANDPAR
(6,3),(3,9),-0.739846 # DEPENDENCYPART_GRANDPAR
(6,3),(3,10),-0.659071 # DEPENDENCYPART_GRANDPAR
(6,3),(3,11),-0.709706 # DEPENDENCYPART_GRANDPAR
(6,3),(3,12),-0.8609 # DEPENDENCYPART_GRANDPAR
(6,3),(3,13),-0.592183 # DEPENDENCYPART_GRANDPAR
(6,3),(3,15),-0.455685 # DEPENDENCYPART_GRANDPAR
(6,3),(3,16),-0.764175 # DEPENDENCYPART_GRANDPAR
(6,3),(3,19),-1.1229 # DEPENDENCYPART_GRANDPAR
(6,3),(3,20),-0.648767 # DEPENDENCYPART_GRANDPAR
(6,3),(3,21),-1.62081 # DEPENDENCYPART_GRANDPAR
(6,4),(4,6),-1.45219 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,4),(4,8),-0.638461 # DEPENDENCYPART_GRANDPAR
(6,5),(5,4),0.523447 # DEPENDENCYPART_GRANDPAR
(6,5),(5,6),-1.46258 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,7),(7,6),-0.698102 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,8),(8,3),-1.10883 # DEPENDENCYPART_GRANDPAR
(6,8),(8,4),-0.470412 # DEPENDENCYPART_GRANDPAR
(6,8),(8,5),-0.160305 # DEPENDENCYPART_GRANDPAR
(6,8),(8,6),-0.441981 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,8),(8,7),0.427373 # DEPENDENCYPART_GRANDPAR
(6,8),(8,9),0.0409832 # DEPENDENCYPART_GRANDPAR
(6,8),(8,10),0.243391 # DEPENDENCYPART_GRANDPAR
(6,8),(8,11),0.0189515 # DEPENDENCYPART_GRANDPAR
(6,8),(8,12),0.170362 # DEPENDENCYPART_GRANDPAR
(6,8),(8,13),0.274699 # DEPENDENCYPART_GRANDPAR
(6,8),(8,15),0.220905 # DEPENDENCYPART_GRANDPAR
(6,8),(8,16),-0.0128734 # DEPENDENCYPART_GRANDPAR
(6,8),(8,17),-0.0811136 # DEPENDENCYPART_GRANDPAR
(6,8),(8,20),0.141466 # DEPENDENCYPART_GRANDPAR
(6,8),(8,21),-0.811561 # DEPENDENCYPART_GRANDPAR
(6,9),(9,5),-0.164006 # DEPENDENCYPART_GRANDPAR
(6,9),(9,6),-0.562309 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,9),(9,7),0.595649 # DEPENDENCYPART_GRANDPAR
(6,9),(9,8),0.367703 # DEPENDENCYPART_GRANDPAR
(6,9),(9,10),0.302614 # DEPENDENCYPART_GRANDPAR
(6,9),(9,11),0.187731 # DEPENDENCYPART_GRANDPAR
(6,9),(9,12),0.158024 # DEPENDENCYPART_GRANDPAR
(6,9),(9,13),0.365586 # DEPENDENCYPART_GRANDPAR
(6,9),(9,16),0.0780295 # DEPENDENCYPART_GRANDPAR
(6,9),(9,17),0.0211 # DEPENDENCYPART_GRANDPAR
(6,9),(9,19),-0.274379 # DEPENDENCYPART_GRANDPAR
(6,9),(9,20),0.205911 # DEPENDENCYPART_GRANDPAR
(6,11),(11,5),-0.160305 # DEPENDENCYPART_GRANDPAR
(6,11),(11,7),0.427373 # DEPENDENCYPART_GRANDPAR
(6,11),(11,8),0.336163 # DEPENDENCYPART_GRANDPAR
(6,11),(11,9),-0.0239262 # DEPENDENCYPART_GRANDPAR
(6,11),(11,10),0.257997 # DEPENDENCYPART_GRANDPAR
(6,11),(11,12),0.170362 # DEPENDENCYPART_GRANDPAR
(6,11),(11,13),0.274699 # DEPENDENCYPART_GRANDPAR
(6,11),(11,15),0.220905 # DEPENDENCYPART_GRANDPAR
(6,11),(11,16),-0.0128734 # DEPENDENCYPART_GRANDPAR
(6,11),(11,17),-0.0811136 # DEPENDENCYPART_GRANDPAR
(6,12),(12,7),0.618124 # DEPENDENCYPART_GRANDPAR
(6,12),(12,8),0.266445 # DEPENDENCYPART_GRANDPAR
(6,12),(12,9),0.0406349 # DEPENDENCYPART_GRANDPAR
(6,12),(12,10),0.148779 # DEPENDENCYPART_GRANDPAR
(6,12),(12,11),0.251123 # DEPENDENCYPART_GRANDPAR
(6,12),(12,13),0.401194 # DEPENDENCYPART_GRANDPAR
(6,12),(12,16),0.0298012 # DEPENDENCYPART_GRANDPAR
(6,12),(12,17),-0.0411308 # DEPENDENCYPART_GRANDPAR
(6,12),(12,19),-0.286442 # DEPENDENCYPART_GRANDPAR
(6,12),(12,20),0.0968612 # DEPENDENCYPART_GRANDPAR
(6,12),(12,21),-0.718859 # DEPENDENCYPART_GRANDPAR
(6,16),(16,1),-1.4602 # DEPENDENCYPART_GRANDPAR
(6,16),(16,2),-1.62121 # DEPENDENCYPART_GRANDPAR
(6,16),(16,3),-1.24215 # DEPENDENCYPART_GRANDPAR
(6,16),(16,5),-0.214276 # DEPENDENCYPART_GRANDPAR
(6,16),(16,6),-0.625684 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,16),(16,7),0.526465 # DEPENDENCYPART_GRANDPAR
(6,16),(16,8),0.476627 # DEPENDENCYPART_GRANDPAR
(6,16),(16,9),0.0407314 # DEPENDENCYPART_GRANDPAR
(6,16),(16,10),0.049097 # DEPENDENCYPART_GRANDPAR
(6,16),(16,11),0.461305 # DEPENDENCYPART_GRANDPAR
(6,16),(16,12),0.0702614 # DEPENDENCYPART_GRANDPAR
(6,16),(16,13),0.484222 # DEPENDENCYPART_GRANDPAR
(6,16),(16,14),1.37997 # DEPENDENCYPART_GRANDPAR
(6,16),(16,15),0.388476 # DEPENDENCYPART_GRANDPAR
(6,16),(16,17),-0.0506686 # DEPENDENCYPART_GRANDPAR
(6,16),(16,18),-0.37438 # DEPENDENCYPART_GRANDPAR
(6,16),(16,19),-0.218125 # DEPENDENCYPART_GRANDPAR
(6,16),(16,20),0.176168 # DEPENDENCYPART_GRANDPAR
(6,16),(16,21),-0.761274 # DEPENDENCYPART_GRANDPAR
(6,19),(19,11),0.353839 # DEPENDENCYPART_GRANDPAR
(6,19),(19,17),0.108797 # DEPENDENCYPART_GRANDPAR
(6,19),(19,20),0.222713 # DEPENDENCYPART_GRANDPAR
(6,19),(19,21),-0.765847 # DEPENDENCYPART_GRANDPAR
(6,20),(20,8),0.257433 # DEPENDENCYPART_GRANDPAR
(6,20),(20,11),0.242111 # DEPENDENCYPART_GRANDPAR
(6,20),(20,13),0.4565 # DEPENDENCYPART_GRANDPAR
(6,20),(20,17),0.11382 # DEPENDENCYPART_GRANDPAR
(6,20),(20,18),-0.561853 # DEPENDENCYPART_GRANDPAR
(6,20),(20,19),-0.270511 # DEPENDENCYPART_GRANDPAR
(6,20),(20,21),-0.942756 # DEPENDENCYPART_GRANDPAR
(7,6),(6,1),-0.524613 # DEPENDENCYPART_GRANDPAR
(7,6),(6,2),-0.58017 # DEPENDENCYPART_GRANDPAR
(7,6),(6,3),-0.534146 # DEPENDENCYPART_GRANDPAR
(7,6),(6,4),-0.866358 # DEPENDENCYPART_GRANDPAR
(7,6),(6,5),-0.788438 # DEPENDENCYPART_GRANDPAR
(7,6),(6,7),-1.89621 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(7,6),(6,8),-0.450039 # DEPENDENCYPART_GRANDPAR
(7,6),(6,9),-0.818647 # DEPENDENCYPART_GRANDPAR
(7,6),(6,10),-0.993444 # DEPENDENCYPART_GRANDPAR
(7,6),(6,11),-0.614128 # DEPENDENCYPART_GRANDPAR
(7,6),(6,12),-0.893892 # DEPENDENCYPART_GRANDPAR
(7,6),(6,13),-0.868398 # DEPENDENCYPART_GRANDPAR
(7,6),(6,16),-0.782637 # DEPENDENCYPART_GRANDPAR
(7,6),(6,19),-1.05222 # DEPENDENCYPART_GRANDPAR
(7,6),(6,20),-0.928054 # DEPENDENCYPART_GRANDPAR
(7,6),(6,21),-0.987908 # DEPENDENCYPART_GRANDPAR
(8,3),(3,1),-0.36745 # DEPENDENCYPART_GRANDPAR
(8,3),(3,2),-0.372106 # DEPENDENCYPART_GRANDPAR
(8,3),(3,6),-0.406232 # DEPENDENCYPART_GRANDPAR
(8,3),(3,7),0.174665 # DEPENDENCYPART_GRANDPAR
(8,3),(3,8),-1.93912 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,3),(3,9),-0.174631 # DEPENDENCYPART_GRANDPAR
(8,3),(3,10),-0.865852 # DEPENDENCYPART_GRANDPAR
(8,3),(3,11),-1.03448 # DEPENDENCYPART_GRANDPAR
(8,3),(3,12),-1.03298 # DEPENDENCYPART_GRANDPAR
(8,3),(3,13),-1.29755 # DEPENDENCYPART_GRANDPAR
(8,3),(3,15),-0.291706 # DEPENDENCYPART_GRANDPAR
(8,3),(3,16),-0.718863 # DEPENDENCYPART_GRANDPAR
(8,3),(3,19),-0.930482 # DEPENDENCYPART_GRANDPAR
(8,3),(3,20),-0.465113 # DEPENDENCYPART_GRANDPAR
(8,3),(3,21),-1.48196 # DEPENDENCYPART_GRANDPAR
(8,4),(4,6),-0.231447 # DEPENDENCYPART_GRANDPAR
(8,4),(4,8),-1.88843 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,5),(5,4),-0.576715 # DEPENDENCYPART_GRANDPAR
(8,5),(5,6),-0.247269 # DEPENDENCYPART_GRANDPAR
(8,6),(6,1),-0.430737 # DEPENDENCYPART_GRANDPAR
(8,6),(6,2),-0.322413 # DEPENDENCYPART_GRANDPAR
(8,6),(6,3),-0.223115 # DEPENDENCYPART_GRANDPAR
(8,6),(6,4),-0.439869 # DEPENDENCYPART_GRANDPAR
(8,6),(6,5),-0.383266 # DEPENDENCYPART_GRANDPAR
(8,6),(6,7),0.0360874 # DEPENDENCYPART_GRANDPAR
(8,6),(6,8),-1.81227 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,6),(6,9),-0.188428 # DEPENDENCYPART_GRANDPAR
(8,6),(6,10),-0.862995 # DEPENDENCYPART_GRANDPAR
(8,6),(6,11),-0.907622 # DEPENDENCYPART_GRANDPAR
(8,6),(6,12),-1.00427 # DEPENDENCYPART_GRANDPAR
(8,6),(6,13),-1.32083 # DEPENDENCYPART_GRANDPAR
(8,6),(6,16),-0.634957 # DEPENDENCYPART_GRANDPAR
(8,6),(6,19),-0.944279 # DEPENDENCYPART_GRANDPAR
(8,6),(6,20),-0.464119 # DEPENDENCYPART_GRANDPAR
(8,6),(6,21),-1.51292 # DEPENDENCYPART_GRANDPAR
(8,7),(7,6),-0.475019 # DEPENDENCYPART_GRANDPAR
(8,9),(9,5),-1.29999 # DEPENDENCYPART_GRANDPAR
(8,9),(9,6),-1.12907 # DEPENDENCYPART_GRANDPAR
(8,9),(9,7),-0.813532 # DEPENDENCYPART_GRANDPAR
(8,9),(9,8),-1.07642 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,9),(9,10),-0.0648141 # DEPENDENCYPART_GRANDPAR
(8,9),(9,11),-0.294648 # DEPENDENCYPART_GRANDPAR
(8,9),(9,12),-0.164995 # DEPENDENCYPART_GRANDPAR
(8,9),(9,13),-0.469572 # DEPENDENCYPART_GRANDPAR
(8,9),(9,16),0.211123 # DEPENDENCYPART_GRANDPAR
(8,9),(9,17),-0.376089 # DEPENDENCYPART_GRANDPAR
(8,9),(9,19),-0.169718 # DEPENDENCYPART_GRANDPAR
(8,9),(9,20),0.254571 # DEPENDENCYPART_GRANDPAR
(8,11),(11,5),-1.3095 # DEPENDENCYPART_GRANDPAR
(8,11),(11,7),-0.833701 # DEPENDENCYPART_GRANDPAR
(8,11),(11,8),-0.956418 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,11),(11,9),0.78218 # DEPENDENCYPART_GRANDPAR
(8,11),(11,10),0.0900072 # DEPENDENCYPART_GRANDPAR
(8,11),(11,12),-0.0175645 # DEPENDENCYPART_GRANDPAR
(8,11),(11,13),-0.417823 # DEPENDENCYPART_GRANDPAR
(8,11),(11,15),0.382531 # DEPENDENCYPART_GRANDPAR
(8,11),(11,16),0.237666 # DEPENDENCYPART_GRANDPAR
(8,11),(11,17),-0.31113 # DEPENDENCYPART_GRANDPAR
(8,12),(12,7),-0.934104 # DEPENDENCYPART_GRANDPAR
(8,12),(12,8),-1.05261 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,12),(12,9),0.777121 # DEPENDENCYPART_GRANDPAR
(8,12),(12,10),-0.0101579 # DEPENDENCYPART_GRANDPAR
(8,12),(12,11),-0.147965 # DEPENDENCYPART_GRANDPAR
(8,12),(12,13),-0.452181 # DEPENDENCYPART_GRANDPAR
(8,12),(12,16),0.363766 # DEPENDENCYPART_GRANDPAR
(8,12),(12,17),-0.118096 # DEPENDENCYPART_GRANDPAR
(8,12),(12,19),-0.0493662 # DEPENDENCYPART_GRANDPAR
(8,12),(12,20),0.248177 # DEPENDENCYPART_GRANDPAR
(8,12),(12,21),-0.663856 # DEPENDENCYPART_GRANDPAR
(8,15),(15,13),-0.191186 # DEPENDENCYPART_GRANDPAR
(8,15),(15,17),-0.351864 # DEPENDENCYPART_GRANDPAR
(8,16),(16,1),-1.23121 # DEPENDENCYPART_GRANDPAR
(8,16),(16,2),-1.34099 # DEPENDENCYPART_GRANDPAR
(8,16),(16,3),-1.29074 # DEPENDENCYPART_GRANDPAR
(8,16),(16,5),-1.36086 # DEPENDENCYPART_GRANDPAR
(8,16),(16,6),-1.24508 # DEPENDENCYPART_GRANDPAR
(8,16),(16,7),-0.910672 # DEPENDENCYPART_GRANDPAR
(8,16),(16,8),-1.06695 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,16),(16,9),0.603084 # DEPENDENCYPART_GRANDPAR
(8,16),(16,10),-0.077418 # DEPENDENCYPART_GRANDPAR
(8,16),(16,11),-0.162303 # DEPENDENCYPART_GRANDPAR
(8,16),(16,12),-0.192689 # DEPENDENCYPART_GRANDPAR
(8,16),(16,13),-0.208326 # DEPENDENCYPART_GRANDPAR
(8,16),(16,14),0.842767 # DEPENDENCYPART_GRANDPAR
(8,16),(16,15),0.811871 # DEPENDENCYPART_GRANDPAR
(8,16),(16,17),-0.387543 # DEPENDENCYPART_GRANDPAR
(8,16),(16,18),-0.167365 # DEPENDENCYPART_GRANDPAR
(8,16),(16,19),-0.0247487 # DEPENDENCYPART_GRANDPAR
(8,16),(16,20),0.429277 # DEPENDENCYPART_GRANDPAR
