# _root_ A_més_a_més , el 40% de la població de Rússia viu en la pobresa , en_especial després de l' última crisi .
#goldHeads=10,1,4,10,4,7,5,4,8,0,10,13,11,16,16,10,16,20,20,17,10,
#predictedHeads=10,1,4,10,4,7,5,7,8,0,10,13,11,16,16,10,16,20,20,17,10,
(8,10),(10,3),-1.44993 # DEPENDENCYPART_GRANDPAR
(8,10),(10,4),-1.37701 # DEPENDENCYPART_GRANDPAR
(8,10),(10,5),-0.97458 # DEPENDENCYPART_GRANDPAR
(8,10),(10,6),-1.48784 # DEPENDENCYPART_GRANDPAR
(8,10),(10,7),-1.28539 # DEPENDENCYPART_GRANDPAR
(8,10),(10,8),-0.752617 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(8,10),(10,9),0.338668 # DEPENDENCYPART_GRANDPAR
(8,10),(10,11),-0.172192 # DEPENDENCYPART_GRANDPAR
(8,10),(10,13),-0.017471 # DEPENDENCYPART_GRANDPAR
(8,10),(10,14),-0.331936 # DEPENDENCYPART_GRANDPAR
(8,10),(10,15),-0.429468 # DEPENDENCYPART_GRANDPAR
(8,10),(10,16),-0.243057 # DEPENDENCYPART_GRANDPAR
(8,10),(10,17),-0.250444 # DEPENDENCYPART_GRANDPAR
(8,10),(10,19),-0.322893 # DEPENDENCYPART_GRANDPAR
(8,10),(10,20),-0.134756 # DEPENDENCYPART_GRANDPAR
(8,10),(10,21),-0.987147 # DEPENDENCYPART_GRANDPAR
(8,15),(15,11),-0.236877 # DEPENDENCYPART_GRANDPAR
(8,15),(15,13),0.0489692 # DEPENDENCYPART_GRANDPAR
(8,15),(15,14),-0.0985772 # DEPENDENCYPART_GRANDPAR
(8,15),(15,16),-0.430805 # DEPENDENCYPART_GRANDPAR
(8,15),(15,17),-0.275556 # DEPENDENCYPART_GRANDPAR
(8,15),(15,20),-0.237308 # DEPENDENCYPART_GRANDPAR
(8,15),(15,21),-1.13386 # DEPENDENCYPART_GRANDPAR
(8,17),(17,14),-0.413048 # DEPENDENCYPART_GRANDPAR
(8,17),(17,15),-0.223307 # DEPENDENCYPART_GRANDPAR
(8,17),(17,16),-0.151463 # DEPENDENCYPART_GRANDPAR
(8,17),(17,18),-0.579128 # DEPENDENCYPART_GRANDPAR
(8,17),(17,19),-0.318217 # DEPENDENCYPART_GRANDPAR
(8,17),(17,20),-0.133885 # DEPENDENCYPART_GRANDPAR
(8,17),(17,21),-1.10216 # DEPENDENCYPART_GRANDPAR
(9,6),(6,4),-0.243221 # DEPENDENCYPART_GRANDPAR
(9,6),(6,5),0.254498 # DEPENDENCYPART_GRANDPAR
(9,6),(6,7),0.786563 # DEPENDENCYPART_GRANDPAR
(9,6),(6,8),1.2879 # DEPENDENCYPART_GRANDPAR
(9,8),(8,4),-0.123961 # DEPENDENCYPART_GRANDPAR
(9,8),(8,6),-0.59875 # DEPENDENCYPART_GRANDPAR
(9,8),(8,9),-1.98875 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(9,8),(8,10),-0.751355 # DEPENDENCYPART_GRANDPAR
(9,8),(8,15),-0.982417 # DEPENDENCYPART_GRANDPAR
(9,8),(8,17),-1.08619 # DEPENDENCYPART_GRANDPAR
(9,10),(10,1),-1.07049 # DEPENDENCYPART_GRANDPAR
(9,10),(10,2),-1.17805 # DEPENDENCYPART_GRANDPAR
(9,10),(10,3),-1.52756 # DEPENDENCYPART_GRANDPAR
(9,10),(10,4),-1.06294 # DEPENDENCYPART_GRANDPAR
(9,10),(10,5),-0.564364 # DEPENDENCYPART_GRANDPAR
(9,10),(10,6),-1.33641 # DEPENDENCYPART_GRANDPAR
(9,10),(10,7),-0.680705 # DEPENDENCYPART_GRANDPAR
(9,10),(10,8),-0.283729 # DEPENDENCYPART_GRANDPAR
(9,10),(10,9),-1.0643 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(9,10),(10,11),-0.162366 # DEPENDENCYPART_GRANDPAR
(9,10),(10,13),-0.165593 # DEPENDENCYPART_GRANDPAR
(9,10),(10,14),0.0179454 # DEPENDENCYPART_GRANDPAR
(9,10),(10,15),-0.192835 # DEPENDENCYPART_GRANDPAR
(9,10),(10,16),-0.180164 # DEPENDENCYPART_GRANDPAR
(9,10),(10,17),-0.24662 # DEPENDENCYPART_GRANDPAR
(9,10),(10,19),-0.194377 # DEPENDENCYPART_GRANDPAR
(9,10),(10,20),-0.332868 # DEPENDENCYPART_GRANDPAR
(9,10),(10,21),-0.713009 # DEPENDENCYPART_GRANDPAR
(10,1),(1,2),0.566329 # DEPENDENCYPART_GRANDPAR
(10,1),(1,4),0.018828 # DEPENDENCYPART_GRANDPAR
(10,1),(1,5),0.38437 # DEPENDENCYPART_GRANDPAR
(10,1),(1,8),0.221868 # DEPENDENCYPART_GRANDPAR
(10,1),(1,10),-1.39351 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(10,1),(1,14),-0.94138 # DEPENDENCYPART_GRANDPAR
(10,1),(1,21),-1.39141 # DEPENDENCYPART_GRANDPAR
(10,3),(3,1),-0.275239 # DEPENDENCYPART_GRANDPAR
(10,3),(3,5),0.403518 # DEPENDENCYPART_GRANDPAR
(10,3),(3,6),-0.168272 # DEPENDENCYPART_GRANDPAR
(10,4),(4,2),0.180943 # DEPENDENCYPART_GRANDPAR
(10,4),(4,3),1.02655 # DEPENDENCYPART_GRANDPAR
(10,4),(4,5),0.301528 # DEPENDENCYPART_GRANDPAR
(10,4),(4,7),0.151219 # DEPENDENCYPART_GRANDPAR
(10,4),(4,8),0.139027 # DEPENDENCYPART_GRANDPAR
(10,4),(4,10),-1.34394 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(10,4),(4,11),0.0841213 # DEPENDENCYPART_GRANDPAR
(10,4),(4,13),-0.447597 # DEPENDENCYPART_GRANDPAR
(10,4),(4,14),-0.902151 # DEPENDENCYPART_GRANDPAR
(10,4),(4,21),-1.35176 # DEPENDENCYPART_GRANDPAR
(10,5),(5,1),-0.203674 # DEPENDENCYPART_GRANDPAR
(10,5),(5,2),0.19217 # DEPENDENCYPART_GRANDPAR
(10,5),(5,3),0.874782 # DEPENDENCYPART_GRANDPAR
(10,5),(5,4),0.0148226 # DEPENDENCYPART_GRANDPAR
(10,5),(5,6),-0.220978 # DEPENDENCYPART_GRANDPAR
(10,5),(5,7),0.0225939 # DEPENDENCYPART_GRANDPAR
(10,5),(5,8),-0.0101695 # DEPENDENCYPART_GRANDPAR
(10,5),(5,9),-0.350582 # DEPENDENCYPART_GRANDPAR
(10,5),(5,10),-1.49345 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(10,5),(5,14),-1.08464 # DEPENDENCYPART_GRANDPAR
(10,5),(5,15),-0.746601 # DEPENDENCYPART_GRANDPAR
(10,5),(5,16),-0.697082 # DEPENDENCYPART_GRANDPAR
(10,5),(5,17),-0.532737 # DEPENDENCYPART_GRANDPAR
(10,6),(6,4),-0.0251796 # DEPENDENCYPART_GRANDPAR
(10,6),(6,5),0.256577 # DEPENDENCYPART_GRANDPAR
(10,6),(6,7),0.321268 # DEPENDENCYPART_GRANDPAR
(10,6),(6,8),0.316321 # DEPENDENCYPART_GRANDPAR
(10,7),(7,1),-0.297835 # DEPENDENCYPART_GRANDPAR
(10,7),(7,2),0.0985323 # DEPENDENCYPART_GRANDPAR
(10,7),(7,3),1.22661 # DEPENDENCYPART_GRANDPAR
(10,7),(7,5),0.368599 # DEPENDENCYPART_GRANDPAR
(10,7),(7,6),0.124857 # DEPENDENCYPART_GRANDPAR
(10,7),(7,8),0.30049 # DEPENDENCYPART_GRANDPAR
(10,7),(7,9),0.0447888 # DEPENDENCYPART_GRANDPAR
(10,7),(7,10),-1.37185 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(10,7),(7,11),0.117364 # DEPENDENCYPART_GRANDPAR
(10,7),(7,15),-0.60464 # DEPENDENCYPART_GRANDPAR
(10,7),(7,16),-0.555123 # DEPENDENCYPART_GRANDPAR
(10,7),(7,17),-0.222011 # DEPENDENCYPART_GRANDPAR
(10,7),(7,20),-0.765661 # DEPENDENCYPART_GRANDPAR
(10,7),(7,21),-1.42499 # DEPENDENCYPART_GRANDPAR
(10,8),(8,4),0.0148226 # DEPENDENCYPART_GRANDPAR
(10,8),(8,6),-0.247002 # DEPENDENCYPART_GRANDPAR
(10,8),(8,9),-0.350582 # DEPENDENCYPART_GRANDPAR
(10,8),(8,10),-1.49345 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(10,8),(8,15),-0.746601 # DEPENDENCYPART_GRANDPAR
(10,8),(8,17),-0.532737 # DEPENDENCYPART_GRANDPAR
(10,9),(9,6),0.119076 # DEPENDENCYPART_GRANDPAR
(10,9),(9,8),0.200509 # DEPENDENCYPART_GRANDPAR
(10,9),(9,10),-1.37183 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(10,11),(11,4),-0.759025 # DEPENDENCYPART_GRANDPAR
(10,11),(11,12),-0.123283 # DEPENDENCYPART_GRANDPAR
(10,11),(11,13),0.387911 # DEPENDENCYPART_GRANDPAR
(10,11),(11,14),-0.0647097 # DEPENDENCYPART_GRANDPAR
(10,11),(11,15),0.0411806 # DEPENDENCYPART_GRANDPAR
(10,11),(11,16),0.0569451 # DEPENDENCYPART_GRANDPAR
(10,11),(11,17),-0.13474 # DEPENDENCYPART_GRANDPAR
(10,11),(11,20),0.12002 # DEPENDENCYPART_GRANDPAR
(10,13),(13,1),-0.884937 # DEPENDENCYPART_GRANDPAR
(10,13),(13,5),0.0416927 # DEPENDENCYPART_GRANDPAR
(10,13),(13,8),-0.120809 # DEPENDENCYPART_GRANDPAR
(10,13),(13,11),0.604071 # DEPENDENCYPART_GRANDPAR
(10,13),(13,12),0.136939 # DEPENDENCYPART_GRANDPAR
(10,13),(13,14),-0.241152 # DEPENDENCYPART_GRANDPAR
(10,13),(13,15),-0.0314361 # DEPENDENCYPART_GRANDPAR
(10,13),(13,16),-0.0242498 # DEPENDENCYPART_GRANDPAR
(10,13),(13,17),0.0865883 # DEPENDENCYPART_GRANDPAR
(10,13),(13,19),-0.0103338 # DEPENDENCYPART_GRANDPAR
(10,13),(13,20),-0.0574538 # DEPENDENCYPART_GRANDPAR
(10,13),(13,21),-0.677788 # DEPENDENCYPART_GRANDPAR
(10,15),(15,11),0.448337 # DEPENDENCYPART_GRANDPAR
(10,15),(15,13),0.235126 # DEPENDENCYPART_GRANDPAR
(10,15),(15,14),0.202327 # DEPENDENCYPART_GRANDPAR
(10,15),(15,16),0.145285 # DEPENDENCYPART_GRANDPAR
(10,15),(15,17),0.174081 # DEPENDENCYPART_GRANDPAR
(10,15),(15,20),0.0360977 # DEPENDENCYPART_GRANDPAR
(10,15),(15,21),-0.716169 # DEPENDENCYPART_GRANDPAR
(10,16),(16,5),-0.121472 # DEPENDENCYPART_GRANDPAR
(10,16),(16,8),-0.283973 # DEPENDENCYPART_GRANDPAR
(10,16),(16,11),0.556015 # DEPENDENCYPART_GRANDPAR
(10,16),(16,13),0.274387 # DEPENDENCYPART_GRANDPAR
(10,16),(16,14),0.430532 # DEPENDENCYPART_GRANDPAR
(10,16),(16,15),0.155337 # DEPENDENCYPART_GRANDPAR
(10,16),(16,17),0.370729 # DEPENDENCYPART_GRANDPAR
(10,16),(16,20),0.0843259 # DEPENDENCYPART_GRANDPAR
(10,16),(16,21),-0.713294 # DEPENDENCYPART_GRANDPAR
(10,17),(17,14),0.0109901 # DEPENDENCYPART_GRANDPAR
(10,17),(17,15),-0.0906988 # DEPENDENCYPART_GRANDPAR
(10,17),(17,16),-0.092043 # DEPENDENCYPART_GRANDPAR
(10,17),(17,18),-0.456203 # DEPENDENCYPART_GRANDPAR
(10,17),(17,19),0.0418095 # DEPENDENCYPART_GRANDPAR
(10,17),(17,20),-0.0598518 # DEPENDENCYPART_GRANDPAR
(10,17),(17,21),-0.691268 # DEPENDENCYPART_GRANDPAR
(10,19),(19,16),0.199319 # DEPENDENCYPART_GRANDPAR
(10,19),(19,18),-0.469704 # DEPENDENCYPART_GRANDPAR
(10,19),(19,20),-0.095659 # DEPENDENCYPART_GRANDPAR
(10,19),(19,21),-0.739728 # DEPENDENCYPART_GRANDPAR
(10,20),(20,2),-0.676812 # DEPENDENCYPART_GRANDPAR
(10,20),(20,5),0.0416916 # DEPENDENCYPART_GRANDPAR
(10,20),(20,8),-0.12081 # DEPENDENCYPART_GRANDPAR
(10,20),(20,11),0.644852 # DEPENDENCYPART_GRANDPAR
(10,20),(20,14),-0.16472 # DEPENDENCYPART_GRANDPAR
(10,20),(20,15),0.0767035 # DEPENDENCYPART_GRANDPAR
(10,20),(20,16),0.163755 # DEPENDENCYPART_GRANDPAR
(10,20),(20,17),0.240689 # DEPENDENCYPART_GRANDPAR
(10,20),(20,18),-0.268123 # DEPENDENCYPART_GRANDPAR
(10,20),(20,19),0.0171699 # DEPENDENCYPART_GRANDPAR
(10,20),(20,21),-0.69693 # DEPENDENCYPART_GRANDPAR
(11,4),(4,2),-0.451594 # DEPENDENCYPART_GRANDPAR
(11,4),(4,3),-0.536628 # DEPENDENCYPART_GRANDPAR
(11,4),(4,5),-0.30248 # DEPENDENCYPART_GRANDPAR
(11,4),(4,7),-0.535715 # DEPENDENCYPART_GRANDPAR
(11,4),(4,8),-0.178492 # DEPENDENCYPART_GRANDPAR
(11,4),(4,10),-0.523172 # DEPENDENCYPART_GRANDPAR
(11,4),(4,11),-1.48301 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(11,4),(4,13),-0.174366 # DEPENDENCYPART_GRANDPAR
(11,4),(4,14),-1.08597 # DEPENDENCYPART_GRANDPAR
(11,4),(4,21),-1.2466 # DEPENDENCYPART_GRANDPAR
(11,13),(13,1),-1.06476 # DEPENDENCYPART_GRANDPAR
(11,13),(13,5),-0.942913 # DEPENDENCYPART_GRANDPAR
(11,13),(13,8),-0.818924 # DEPENDENCYPART_GRANDPAR
(11,13),(13,11),-0.732334 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(11,13),(13,12),1.01167 # DEPENDENCYPART_GRANDPAR
(11,13),(13,14),-0.362203 # DEPENDENCYPART_GRANDPAR
(11,13),(13,15),0.02121 # DEPENDENCYPART_GRANDPAR
(11,13),(13,16),0.0743369 # DEPENDENCYPART_GRANDPAR
(11,13),(13,17),0.0802707 # DEPENDENCYPART_GRANDPAR
(11,13),(13,19),0.466248 # DEPENDENCYPART_GRANDPAR
(11,13),(13,20),-0.139254 # DEPENDENCYPART_GRANDPAR
(11,13),(13,21),-0.528314 # DEPENDENCYPART_GRANDPAR
(11,15),(15,11),-0.702517 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(11,15),(15,13),0.68233 # DEPENDENCYPART_GRANDPAR
(11,15),(15,14),-0.0242234 # DEPENDENCYPART_GRANDPAR
(11,15),(15,16),0.149488 # DEPENDENCYPART_GRANDPAR
(11,15),(15,17),-0.037687 # DEPENDENCYPART_GRANDPAR
(11,15),(15,20),0.0484675 # DEPENDENCYPART_GRANDPAR
(11,15),(15,21),-0.626044 # DEPENDENCYPART_GRANDPAR
(11,16),(16,5),-0.986055 # DEPENDENCYPART_GRANDPAR
(11,16),(16,8),-0.862067 # DEPENDENCYPART_GRANDPAR
(11,16),(16,11),-0.657054 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(11,16),(16,13),0.702267 # DEPENDENCYPART_GRANDPAR
(11,16),(16,14),0.113475 # DEPENDENCYPART_GRANDPAR
(11,16),(16,15),0.385444 # DEPENDENCYPART_GRANDPAR
(11,16),(16,17),0.0427525 # DEPENDENCYPART_GRANDPAR
(11,16),(16,20),0.0476473 # DEPENDENCYPART_GRANDPAR
(11,16),(16,21),-0.656858 # DEPENDENCYPART_GRANDPAR
(11,17),(17,14),-0.339339 # DEPENDENCYPART_GRANDPAR
(11,17),(17,15),0.403434 # DEPENDENCYPART_GRANDPAR
(11,17),(17,16),0.407436 # DEPENDENCYPART_GRANDPAR
(11,17),(17,18),0.0796512 # DEPENDENCYPART_GRANDPAR
(11,17),(17,19),0.409134 # DEPENDENCYPART_GRANDPAR
(11,17),(17,20),0.0357242 # DEPENDENCYPART_GRANDPAR
(11,17),(17,21),-0.673584 # DEPENDENCYPART_GRANDPAR
(11,20),(20,2),-1.36936 # DEPENDENCYPART_GRANDPAR
(11,20),(20,5),-0.942914 # DEPENDENCYPART_GRANDPAR
(11,20),(20,8),-0.818925 # DEPENDENCYPART_GRANDPAR
(11,20),(20,11),-0.711777 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(11,20),(20,14),-0.259934 # DEPENDENCYPART_GRANDPAR
(11,20),(20,15),0.29543 # DEPENDENCYPART_GRANDPAR
(11,20),(20,16),0.388766 # DEPENDENCYPART_GRANDPAR
(11,20),(20,17),0.0677928 # DEPENDENCYPART_GRANDPAR
(11,20),(20,18),0.288935 # DEPENDENCYPART_GRANDPAR
(11,20),(20,19),0.546403 # DEPENDENCYPART_GRANDPAR
(11,20),(20,21),-0.529147 # DEPENDENCYPART_GRANDPAR
(13,1),(1,2),-0.223092 # DEPENDENCYPART_GRANDPAR
(13,1),(1,4),-0.643839 # DEPENDENCYPART_GRANDPAR
(13,1),(1,5),-0.235536 # DEPENDENCYPART_GRANDPAR
(13,1),(1,8),-0.166145 # DEPENDENCYPART_GRANDPAR
(13,1),(1,10),-0.313587 # DEPENDENCYPART_GRANDPAR
(13,1),(1,14),-0.786459 # DEPENDENCYPART_GRANDPAR
(13,1),(1,21),-1.29241 # DEPENDENCYPART_GRANDPAR
(13,5),(5,1),-0.653714 # DEPENDENCYPART_GRANDPAR
(13,5),(5,2),-0.317762 # DEPENDENCYPART_GRANDPAR
(13,5),(5,3),-0.894067 # DEPENDENCYPART_GRANDPAR
(13,5),(5,4),-0.573095 # DEPENDENCYPART_GRANDPAR
(13,5),(5,6),-0.282459 # DEPENDENCYPART_GRANDPAR
(13,5),(5,7),-0.173096 # DEPENDENCYPART_GRANDPAR
(13,5),(5,8),-0.0851048 # DEPENDENCYPART_GRANDPAR
(13,5),(5,9),-0.433209 # DEPENDENCYPART_GRANDPAR
(13,5),(5,10),-0.284127 # DEPENDENCYPART_GRANDPAR
(13,5),(5,14),-0.853467 # DEPENDENCYPART_GRANDPAR
(13,5),(5,15),-0.928684 # DEPENDENCYPART_GRANDPAR
(13,5),(5,16),-0.829698 # DEPENDENCYPART_GRANDPAR
(13,5),(5,17),-0.947842 # DEPENDENCYPART_GRANDPAR
(13,8),(8,4),-0.573095 # DEPENDENCYPART_GRANDPAR
(13,8),(8,6),-0.554821 # DEPENDENCYPART_GRANDPAR
(13,8),(8,9),-0.433209 # DEPENDENCYPART_GRANDPAR
(13,8),(8,10),-0.284127 # DEPENDENCYPART_GRANDPAR
(13,8),(8,15),-0.928684 # DEPENDENCYPART_GRANDPAR
(13,8),(8,17),-0.947842 # DEPENDENCYPART_GRANDPAR
(13,11),(11,4),-0.665348 # DEPENDENCYPART_GRANDPAR
(13,11),(11,12),0.275048 # DEPENDENCYPART_GRANDPAR
(13,11),(11,13),-1.78378 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(13,11),(11,14),-0.850597 # DEPENDENCYPART_GRANDPAR
(13,11),(11,15),-0.919868 # DEPENDENCYPART_GRANDPAR
(13,11),(11,16),-0.820882 # DEPENDENCYPART_GRANDPAR
(13,11),(11,17),-0.939968 # DEPENDENCYPART_GRANDPAR
(13,11),(11,20),-1.05879 # DEPENDENCYPART_GRANDPAR
(13,15),(15,11),-0.729145 # DEPENDENCYPART_GRANDPAR
(13,15),(15,13),-0.968942 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(13,15),(15,14),0.123712 # DEPENDENCYPART_GRANDPAR
(13,15),(15,16),-0.0919038 # DEPENDENCYPART_GRANDPAR
(13,15),(15,17),-0.0844249 # DEPENDENCYPART_GRANDPAR
(13,15),(15,20),-0.127129 # DEPENDENCYPART_GRANDPAR
(13,15),(15,21),-0.720887 # DEPENDENCYPART_GRANDPAR
(13,16),(16,5),-0.954239 # DEPENDENCYPART_GRANDPAR
(13,16),(16,8),-0.884848 # DEPENDENCYPART_GRANDPAR
(13,16),(16,11),-0.729723 # DEPENDENCYPART_GRANDPAR
(13,16),(16,13),-0.997684 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(13,16),(16,14),0.166149 # DEPENDENCYPART_GRANDPAR
(13,16),(16,15),-0.0763242 # DEPENDENCYPART_GRANDPAR
(13,16),(16,17),-0.116988 # DEPENDENCYPART_GRANDPAR
(13,16),(16,20),-0.199976 # DEPENDENCYPART_GRANDPAR
(13,16),(16,21),-0.83721 # DEPENDENCYPART_GRANDPAR
(13,17),(17,14),0.0404196 # DEPENDENCYPART_GRANDPAR
(13,17),(17,15),-0.144899 # DEPENDENCYPART_GRANDPAR
(13,17),(17,16),-0.155086 # DEPENDENCYPART_GRANDPAR
(13,17),(17,18),-0.666371 # DEPENDENCYPART_GRANDPAR
(13,17),(17,19),-0.122345 # DEPENDENCYPART_GRANDPAR
(13,17),(17,20),0.0964767 # DEPENDENCYPART_GRANDPAR
(13,17),(17,21),-0.567001 # DEPENDENCYPART_GRANDPAR
(13,19),(19,16),0.0552243 # DEPENDENCYPART_GRANDPAR
(13,19),(19,18),-0.524614 # DEPENDENCYPART_GRANDPAR
(13,19),(19,20),-0.150279 # DEPENDENCYPART_GRANDPAR
(13,19),(19,21),-0.635452 # DEPENDENCYPART_GRANDPAR
(13,20),(20,2),-1.10916 # DEPENDENCYPART_GRANDPAR
(13,20),(20,5),-0.808371 # DEPENDENCYPART_GRANDPAR
(13,20),(20,8),-0.738981 # DEPENDENCYPART_GRANDPAR
(13,20),(20,11),-0.626931 # DEPENDENCYPART_GRANDPAR
(13,20),(20,14),0.181446 # DEPENDENCYPART_GRANDPAR
(13,20),(20,15),-0.0993541 # DEPENDENCYPART_GRANDPAR
(13,20),(20,16),0.00383113 # DEPENDENCYPART_GRANDPAR
(13,20),(20,17),-0.0996679 # DEPENDENCYPART_GRANDPAR
(13,20),(20,18),-0.536399 # DEPENDENCYPART_GRANDPAR
(13,20),(20,19),-0.237039 # DEPENDENCYPART_GRANDPAR
(13,20),(20,21),-0.530878 # DEPENDENCYPART_GRANDPAR
(15,11),(11,4),-0.378069 # DEPENDENCYPART_GRANDPAR
(15,11),(11,12),-0.257789 # DEPENDENCYPART_GRANDPAR
(15,11),(11,13),0.0995831 # DEPENDENCYPART_GRANDPAR
(15,11),(11,14),-0.110819 # DEPENDENCYPART_GRANDPAR
(15,11),(11,15),-1.70085 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(15,11),(11,16),-0.643249 # DEPENDENCYPART_GRANDPAR
(15,11),(11,17),-1.07462 # DEPENDENCYPART_GRANDPAR
(15,11),(11,20),-0.952428 # DEPENDENCYPART_GRANDPAR
(15,13),(13,1),-0.430406 # DEPENDENCYPART_GRANDPAR
(15,13),(13,5),-0.177716 # DEPENDENCYPART_GRANDPAR
(15,13),(13,8),-0.181663 # DEPENDENCYPART_GRANDPAR
(15,13),(13,11),-0.186876 # DEPENDENCYPART_GRANDPAR
(15,13),(13,12),-0.166026 # DEPENDENCYPART_GRANDPAR
(15,13),(13,14),-0.084035 # DEPENDENCYPART_GRANDPAR
(15,13),(13,15),-1.69695 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(15,13),(13,16),-0.639344 # DEPENDENCYPART_GRANDPAR
(15,13),(13,17),-0.95014 # DEPENDENCYPART_GRANDPAR
(15,13),(13,19),-1.0897 # DEPENDENCYPART_GRANDPAR
(15,13),(13,20),-0.92433 # DEPENDENCYPART_GRANDPAR
(15,13),(13,21),-1.18749 # DEPENDENCYPART_GRANDPAR
(15,16),(16,5),-0.926513 # DEPENDENCYPART_GRANDPAR
(15,16),(16,8),-0.930461 # DEPENDENCYPART_GRANDPAR
(15,16),(16,11),-0.848423 # DEPENDENCYPART_GRANDPAR
(15,16),(16,13),-0.880104 # DEPENDENCYPART_GRANDPAR
(15,16),(16,14),-0.906274 # DEPENDENCYPART_GRANDPAR
(15,16),(16,15),-0.923721 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(15,16),(16,17),-0.226971 # DEPENDENCYPART_GRANDPAR
(15,16),(16,20),-0.189557 # DEPENDENCYPART_GRANDPAR
(15,16),(16,21),-0.618257 # DEPENDENCYPART_GRANDPAR
(15,17),(17,14),-0.934401 # DEPENDENCYPART_GRANDPAR
(15,17),(17,15),-0.943725 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(15,17),(17,16),0.0476923 # DEPENDENCYPART_GRANDPAR
(15,17),(17,18),-0.429761 # DEPENDENCYPART_GRANDPAR
(15,17),(17,19),-0.224492 # DEPENDENCYPART_GRANDPAR
(15,17),(17,20),0.0806379 # DEPENDENCYPART_GRANDPAR
(15,17),(17,21),-0.425501 # DEPENDENCYPART_GRANDPAR
(15,20),(20,2),-1.46164 # DEPENDENCYPART_GRANDPAR
(15,20),(20,5),-0.839572 # DEPENDENCYPART_GRANDPAR
(15,20),(20,8),-0.843519 # DEPENDENCYPART_GRANDPAR
(15,20),(20,11),-0.783773 # DEPENDENCYPART_GRANDPAR
(15,20),(20,14),-0.958363 # DEPENDENCYPART_GRANDPAR
(15,20),(20,15),-0.929051 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(15,20),(20,16),0.136098 # DEPENDENCYPART_GRANDPAR
(15,20),(20,17),-0.235505 # DEPENDENCYPART_GRANDPAR
(15,20),(20,18),-0.327437 # DEPENDENCYPART_GRANDPAR
(15,20),(20,19),-0.289463 # DEPENDENCYPART_GRANDPAR
(15,20),(20,21),-0.390585 # DEPENDENCYPART_GRANDPAR
(16,5),(5,1),-0.11549 # DEPENDENCYPART_GRANDPAR
(16,5),(5,2),-0.622677 # DEPENDENCYPART_GRANDPAR
(16,5),(5,3),-0.268054 # DEPENDENCYPART_GRANDPAR
(16,5),(5,4),-0.045496 # DEPENDENCYPART_GRANDPAR
(16,5),(5,6),-0.123913 # DEPENDENCYPART_GRANDPAR
(16,5),(5,7),0.129581 # DEPENDENCYPART_GRANDPAR
(16,5),(5,8),-0.173058 # DEPENDENCYPART_GRANDPAR
(16,5),(5,9),0.00764003 # DEPENDENCYPART_GRANDPAR
(16,5),(5,10),-0.153599 # DEPENDENCYPART_GRANDPAR
(16,5),(5,14),-0.102495 # DEPENDENCYPART_GRANDPAR
(16,5),(5,15),-0.0524967 # DEPENDENCYPART_GRANDPAR
(16,5),(5,16),-1.52904 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(16,5),(5,17),-0.662276 # DEPENDENCYPART_GRANDPAR
(16,8),(8,4),-0.045496 # DEPENDENCYPART_GRANDPAR
(16,8),(8,6),-0.0435957 # DEPENDENCYPART_GRANDPAR
(16,8),(8,9),0.00764003 # DEPENDENCYPART_GRANDPAR
(16,8),(8,10),-0.153599 # DEPENDENCYPART_GRANDPAR
(16,8),(8,15),-0.0524967 # DEPENDENCYPART_GRANDPAR
(16,8),(8,17),-0.662276 # DEPENDENCYPART_GRANDPAR
(16,11),(11,4),-0.180678 # DEPENDENCYPART_GRANDPAR
(16,11),(11,12),-0.0381745 # DEPENDENCYPART_GRANDPAR
(16,11),(11,13),0.249834 # DEPENDENCYPART_GRANDPAR
(16,11),(11,14),-0.0052743 # DEPENDENCYPART_GRANDPAR
(16,11),(11,15),-0.0100631 # DEPENDENCYPART_GRANDPAR
(16,11),(11,16),-1.5284 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(16,11),(11,17),-0.663464 # DEPENDENCYPART_GRANDPAR
