# _root_ As a U.S.-based company , Blue Arrow would have to amortize the good will over as many as 40 years , creating a continuing drag on reported earnings .
#goldHeads=8,4,4,1,8,7,8,0,8,9,10,14,14,11,11,17,20,17,17,15,9,9,25,25,22,25,28,26,8,
#predictedHeads=8,4,4,1,8,7,8,0,8,9,10,14,14,11,11,17,20,17,17,15,11,11,25,25,22,25,28,26,8,
(17,21),(17,25),0.499328 # DEPENDENCYPART_SIBL
(17,21),(17,26),0.121819 # DEPENDENCYPART_SIBL
(17,21),(17,27),0.436347 # DEPENDENCYPART_SIBL
(17,21),(17,28),0.286779 # DEPENDENCYPART_SIBL
(17,21),(17,29),0.0914336 # DEPENDENCYPART_SIBL
(17,22),(17,24),-0.095149 # DEPENDENCYPART_SIBL
(17,22),(17,25),-0.0472618 # DEPENDENCYPART_SIBL
(17,22),(17,26),0.0106637 # DEPENDENCYPART_SIBL
(17,22),(17,27),-0.00286514 # DEPENDENCYPART_SIBL
(17,22),(17,28),-0.0527605 # DEPENDENCYPART_SIBL
(17,22),(17,29),0.0952323 # DEPENDENCYPART_SIBL
(17,24),(17,25),-0.0521612 # DEPENDENCYPART_SIBL
(17,24),(17,26),0.00446056 # DEPENDENCYPART_SIBL
(17,24),(17,27),-0.00285302 # DEPENDENCYPART_SIBL
(17,24),(17,28),-0.055263 # DEPENDENCYPART_SIBL
(17,24),(17,29),0.0815627 # DEPENDENCYPART_SIBL
(17,25),(17,26),-0.00769383 # DEPENDENCYPART_SIBL
(17,25),(17,27),-0.0170289 # DEPENDENCYPART_SIBL
(17,25),(17,28),-0.238511 # DEPENDENCYPART_SIBL
(17,25),(17,29),-0.025938 # DEPENDENCYPART_SIBL
(17,26),(17,27),0.0417061 # DEPENDENCYPART_SIBL
(17,26),(17,28),-0.0490871 # DEPENDENCYPART_SIBL
(17,26),(17,29),-0.00145947 # DEPENDENCYPART_SIBL
(17,27),(17,28),-0.0902387 # DEPENDENCYPART_SIBL
(17,27),(17,29),0.11892 # DEPENDENCYPART_SIBL
(17,28),(17,29),0.0816326 # DEPENDENCYPART_SIBL
(18,16),(18,17),0.228235 # DEPENDENCYPART_SIBL
(18,16),(18,19),0.145774 # DEPENDENCYPART_SIBL
(18,16),(18,20),-0.0229994 # DEPENDENCYPART_SIBL
(18,16),(18,21),0.0354268 # DEPENDENCYPART_SIBL
(18,16),(18,22),-0.031477 # DEPENDENCYPART_SIBL
(18,16),(18,27),0.104882 # DEPENDENCYPART_SIBL
(18,17),(18,19),-0.10161 # DEPENDENCYPART_SIBL
(18,17),(18,20),-0.0386741 # DEPENDENCYPART_SIBL
(18,17),(18,21),-0.0652918 # DEPENDENCYPART_SIBL
(18,17),(18,22),-0.0540508 # DEPENDENCYPART_SIBL
(18,17),(18,27),-0.0178565 # DEPENDENCYPART_SIBL
(18,19),(18,20),-0.640886 # DEPENDENCYPART_SIBL
(18,19),(18,21),-0.0961963 # DEPENDENCYPART_SIBL
(18,19),(18,22),-0.454397 # DEPENDENCYPART_SIBL
(18,19),(18,27),-0.373625 # DEPENDENCYPART_SIBL
(18,20),(18,21),-0.0855946 # DEPENDENCYPART_SIBL
(18,20),(18,22),-0.548346 # DEPENDENCYPART_SIBL
(18,20),(18,27),-0.436801 # DEPENDENCYPART_SIBL
(18,21),(18,22),0.121605 # DEPENDENCYPART_SIBL
(18,21),(18,27),0.082443 # DEPENDENCYPART_SIBL
(18,22),(18,27),-0.359132 # DEPENDENCYPART_SIBL
(19,15),(19,17),0.0297494 # DEPENDENCYPART_SIBL
(19,15),(19,18),0.0125178 # DEPENDENCYPART_SIBL
(19,15),(19,20),0.0100079 # DEPENDENCYPART_SIBL
(19,15),(19,22),-0.0126273 # DEPENDENCYPART_SIBL
(19,17),(19,18),0.158677 # DEPENDENCYPART_SIBL
(19,17),(19,20),0.0372967 # DEPENDENCYPART_SIBL
(19,17),(19,22),0.0437311 # DEPENDENCYPART_SIBL
(19,18),(19,20),0.0291326 # DEPENDENCYPART_SIBL
(19,18),(19,22),0.0109686 # DEPENDENCYPART_SIBL
(19,20),(19,22),-0.0256477 # DEPENDENCYPART_SIBL
(20,12),(20,16),0.0175896 # DEPENDENCYPART_SIBL
(20,12),(20,17),0.0876574 # DEPENDENCYPART_SIBL
(20,12),(20,18),0.0536845 # DEPENDENCYPART_SIBL
(20,12),(20,19),0.0416608 # DEPENDENCYPART_SIBL
(20,12),(20,21),-0.0846784 # DEPENDENCYPART_SIBL
(20,12),(20,22),-0.0315277 # DEPENDENCYPART_SIBL
(20,12),(20,24),-0.0431632 # DEPENDENCYPART_SIBL
(20,12),(20,25),-0.0586805 # DEPENDENCYPART_SIBL
(20,12),(20,26),0.156152 # DEPENDENCYPART_SIBL
(20,12),(20,27),0.220424 # DEPENDENCYPART_SIBL
(20,12),(20,28),0.0088246 # DEPENDENCYPART_SIBL
(20,16),(20,17),0.178648 # DEPENDENCYPART_SIBL
(20,16),(20,18),0.163358 # DEPENDENCYPART_SIBL
(20,16),(20,19),-0.230645 # DEPENDENCYPART_SIBL
(20,16),(20,21),-0.106024 # DEPENDENCYPART_SIBL
(20,16),(20,22),-0.0396645 # DEPENDENCYPART_SIBL
(20,16),(20,24),-0.0378296 # DEPENDENCYPART_SIBL
(20,16),(20,25),-0.0344157 # DEPENDENCYPART_SIBL
(20,16),(20,26),0.080932 # DEPENDENCYPART_SIBL
(20,16),(20,27),-0.0183397 # DEPENDENCYPART_SIBL
(20,16),(20,28),0.0403315 # DEPENDENCYPART_SIBL
(20,17),(20,18),0.125692 # DEPENDENCYPART_SIBL
(20,17),(20,19),-0.179937 # DEPENDENCYPART_SIBL
(20,17),(20,21),0.0466474 # DEPENDENCYPART_SIBL
(20,17),(20,22),0.103614 # DEPENDENCYPART_SIBL
(20,17),(20,24),0.105594 # DEPENDENCYPART_SIBL
(20,17),(20,25),0.0800966 # DEPENDENCYPART_SIBL
(20,17),(20,26),0.140389 # DEPENDENCYPART_SIBL
(20,17),(20,27),0.129644 # DEPENDENCYPART_SIBL
(20,17),(20,28),0.102732 # DEPENDENCYPART_SIBL
(20,18),(20,19),0.0435621 # DEPENDENCYPART_SIBL
(20,18),(20,21),-0.199164 # DEPENDENCYPART_SIBL
(20,18),(20,22),-0.0550918 # DEPENDENCYPART_SIBL
(20,18),(20,24),-0.0493261 # DEPENDENCYPART_SIBL
(20,18),(20,25),-0.0812373 # DEPENDENCYPART_SIBL
(20,18),(20,26),-0.0243779 # DEPENDENCYPART_SIBL
(20,18),(20,27),-0.0687073 # DEPENDENCYPART_SIBL
(20,18),(20,28),-0.0113653 # DEPENDENCYPART_SIBL
(20,19),(20,21),-0.101899 # DEPENDENCYPART_SIBL
(20,19),(20,22),-0.0552444 # DEPENDENCYPART_SIBL
(20,19),(20,24),-0.0462331 # DEPENDENCYPART_SIBL
(20,19),(20,25),-0.103864 # DEPENDENCYPART_SIBL
(20,19),(20,26),-0.0918112 # DEPENDENCYPART_SIBL
(20,19),(20,27),-0.0872974 # DEPENDENCYPART_SIBL
(20,19),(20,28),-0.037443 # DEPENDENCYPART_SIBL
(20,21),(20,22),0.452373 # DEPENDENCYPART_SIBL
(20,21),(20,24),0.440402 # DEPENDENCYPART_SIBL
(20,21),(20,25),0.506197 # DEPENDENCYPART_SIBL
(20,21),(20,26),0.134329 # DEPENDENCYPART_SIBL
(20,21),(20,27),0.387281 # DEPENDENCYPART_SIBL
(20,21),(20,28),0.622424 # DEPENDENCYPART_SIBL
(20,22),(20,24),-0.146303 # DEPENDENCYPART_SIBL
(20,22),(20,25),-0.0778201 # DEPENDENCYPART_SIBL
(20,22),(20,26),-0.0805261 # DEPENDENCYPART_SIBL
(20,22),(20,27),-0.0674648 # DEPENDENCYPART_SIBL
(20,22),(20,28),-0.0262779 # DEPENDENCYPART_SIBL
(20,24),(20,25),-0.0823494 # DEPENDENCYPART_SIBL
(20,24),(20,26),-0.0865942 # DEPENDENCYPART_SIBL
(20,24),(20,27),-0.0672648 # DEPENDENCYPART_SIBL
(20,24),(20,28),-0.0286192 # DEPENDENCYPART_SIBL
(20,25),(20,26),-0.074022 # DEPENDENCYPART_SIBL
(20,25),(20,27),-0.0229176 # DEPENDENCYPART_SIBL
(20,25),(20,28),-0.121768 # DEPENDENCYPART_SIBL
(20,26),(20,27),0.111128 # DEPENDENCYPART_SIBL
(20,26),(20,28),0.0891612 # DEPENDENCYPART_SIBL
(20,27),(20,28),0.0103572 # DEPENDENCYPART_SIBL
(22,18),(22,19),0.0839838 # DEPENDENCYPART_SIBL
(22,18),(22,20),-0.0602577 # DEPENDENCYPART_SIBL
(22,18),(22,23),-0.0604669 # DEPENDENCYPART_SIBL
(22,18),(22,24),-0.0272763 # DEPENDENCYPART_SIBL
(22,18),(22,25),-0.0571844 # DEPENDENCYPART_SIBL
(22,18),(22,26),-0.0838562 # DEPENDENCYPART_SIBL
(22,18),(22,27),-0.0398677 # DEPENDENCYPART_SIBL
(22,18),(22,28),-0.0449049 # DEPENDENCYPART_SIBL
(22,18),(22,29),0.0369694 # DEPENDENCYPART_SIBL
(22,19),(22,20),-0.0582359 # DEPENDENCYPART_SIBL
(22,19),(22,23),-0.00229036 # DEPENDENCYPART_SIBL
(22,19),(22,24),-0.0508857 # DEPENDENCYPART_SIBL
(22,19),(22,25),-0.0254334 # DEPENDENCYPART_SIBL
(22,19),(22,26),-0.0886096 # DEPENDENCYPART_SIBL
(22,19),(22,27),-0.0220886 # DEPENDENCYPART_SIBL
(22,19),(22,28),-0.033943 # DEPENDENCYPART_SIBL
(22,19),(22,29),-0.0439723 # DEPENDENCYPART_SIBL
(22,20),(22,23),-0.0140541 # DEPENDENCYPART_SIBL
(22,20),(22,24),-0.00494492 # DEPENDENCYPART_SIBL
(22,20),(22,25),-0.0449361 # DEPENDENCYPART_SIBL
(22,20),(22,26),-0.0595807 # DEPENDENCYPART_SIBL
(22,20),(22,27),0.0130316 # DEPENDENCYPART_SIBL
(22,20),(22,28),-0.0309356 # DEPENDENCYPART_SIBL
(22,20),(22,29),0.0242191 # DEPENDENCYPART_SIBL
(22,23),(22,24),-0.0241016 # DEPENDENCYPART_SIBL
(22,23),(22,25),-0.0877832 # DEPENDENCYPART_SIBL
(22,23),(22,26),-0.057695 # DEPENDENCYPART_SIBL
(22,23),(22,27),-0.0408614 # DEPENDENCYPART_SIBL
(22,23),(22,28),-0.143445 # DEPENDENCYPART_SIBL
(22,23),(22,29),-0.0515942 # DEPENDENCYPART_SIBL
(22,24),(22,25),-0.23335 # DEPENDENCYPART_SIBL
(22,24),(22,26),-0.111688 # DEPENDENCYPART_SIBL
(22,24),(22,27),-0.162965 # DEPENDENCYPART_SIBL
(22,24),(22,28),-0.249634 # DEPENDENCYPART_SIBL
(22,24),(22,29),-0.00766419 # DEPENDENCYPART_SIBL
(22,25),(22,26),0.0196477 # DEPENDENCYPART_SIBL
(22,25),(22,27),-0.0277782 # DEPENDENCYPART_SIBL
(22,25),(22,28),-0.363603 # DEPENDENCYPART_SIBL
(22,25),(22,29),-0.0390981 # DEPENDENCYPART_SIBL
(22,26),(22,27),-0.105368 # DEPENDENCYPART_SIBL
(22,26),(22,28),-0.208238 # DEPENDENCYPART_SIBL
(22,26),(22,29),-0.00261582 # DEPENDENCYPART_SIBL
(22,27),(22,28),-0.325753 # DEPENDENCYPART_SIBL
(22,27),(22,29),0.033527 # DEPENDENCYPART_SIBL
(22,28),(22,29),0.0155217 # DEPENDENCYPART_SIBL
(23,24),(23,28),-0.0103133 # DEPENDENCYPART_SIBL
(24,20),(24,23),-0.103157 # DEPENDENCYPART_SIBL
(24,20),(24,25),-0.0452775 # DEPENDENCYPART_SIBL
(24,20),(24,26),-0.0629327 # DEPENDENCYPART_SIBL
(24,20),(24,27),0.0131462 # DEPENDENCYPART_SIBL
(24,20),(24,28),-0.0249955 # DEPENDENCYPART_SIBL
(24,23),(24,25),-0.0646124 # DEPENDENCYPART_SIBL
(24,23),(24,26),0.0673494 # DEPENDENCYPART_SIBL
(24,23),(24,27),0.215903 # DEPENDENCYPART_SIBL
(24,23),(24,28),-0.0254494 # DEPENDENCYPART_SIBL
(24,25),(24,26),0.00371708 # DEPENDENCYPART_SIBL
(24,25),(24,27),-0.0329909 # DEPENDENCYPART_SIBL
(24,25),(24,28),-0.365977 # DEPENDENCYPART_SIBL
(24,26),(24,27),-0.11733 # DEPENDENCYPART_SIBL
(24,26),(24,28),-0.217365 # DEPENDENCYPART_SIBL
(24,27),(24,28),-0.32187 # DEPENDENCYPART_SIBL
(25,17),(25,19),0.0488898 # DEPENDENCYPART_SIBL
(25,17),(25,20),0.0279584 # DEPENDENCYPART_SIBL
(25,17),(25,23),-0.184954 # DEPENDENCYPART_SIBL
(25,17),(25,24),0.0322155 # DEPENDENCYPART_SIBL
(25,17),(25,26),0.0953482 # DEPENDENCYPART_SIBL
(25,17),(25,27),0.0965087 # DEPENDENCYPART_SIBL
(25,17),(25,28),0.0241819 # DEPENDENCYPART_SIBL
(25,19),(25,20),0.0473208 # DEPENDENCYPART_SIBL
(25,19),(25,23),-0.389828 # DEPENDENCYPART_SIBL
(25,19),(25,24),0.0973093 # DEPENDENCYPART_SIBL
(25,19),(25,26),0.0355797 # DEPENDENCYPART_SIBL
(25,19),(25,27),-0.00529052 # DEPENDENCYPART_SIBL
(25,19),(25,28),-0.0272241 # DEPENDENCYPART_SIBL
(25,20),(25,23),-0.334459 # DEPENDENCYPART_SIBL
(25,20),(25,24),0.0280676 # DEPENDENCYPART_SIBL
(25,20),(25,26),-0.0284991 # DEPENDENCYPART_SIBL
(25,20),(25,27),-0.0109191 # DEPENDENCYPART_SIBL
(25,20),(25,28),-0.0829452 # DEPENDENCYPART_SIBL
(25,23),(25,24),0.5758 # DEPENDENCYPART_SIBL
(25,23),(25,26),0.184022 # DEPENDENCYPART_SIBL
(25,23),(25,27),0.517921 # DEPENDENCYPART_SIBL
(25,23),(25,28),0.0510025 # DEPENDENCYPART_SIBL
(25,24),(25,26),0.132114 # DEPENDENCYPART_SIBL
(25,24),(25,27),0.120461 # DEPENDENCYPART_SIBL
(25,24),(25,28),0.045384 # DEPENDENCYPART_SIBL
(25,26),(25,27),0.0517639 # DEPENDENCYPART_SIBL
(25,26),(25,28),0.0932366 # DEPENDENCYPART_SIBL
(25,27),(25,28),-0.0227953 # DEPENDENCYPART_SIBL
(26,24),(26,25),-0.023367 # DEPENDENCYPART_SIBL
(26,24),(26,27),0.00256049 # DEPENDENCYPART_SIBL
(26,24),(26,28),-0.131269 # DEPENDENCYPART_SIBL
(26,25),(26,27),0.00852132 # DEPENDENCYPART_SIBL
(26,25),(26,28),-0.139737 # DEPENDENCYPART_SIBL
(26,27),(26,28),-0.44724 # DEPENDENCYPART_SIBL
(27,25),(27,26),-0.024783 # DEPENDENCYPART_SIBL
(27,25),(27,28),0.033241 # DEPENDENCYPART_SIBL
(27,26),(27,28),-0.0259069 # DEPENDENCYPART_SIBL
(28,19),(28,23),-0.1511 # DEPENDENCYPART_SIBL
(28,19),(28,24),0.161809 # DEPENDENCYPART_SIBL
(28,19),(28,25),0.145505 # DEPENDENCYPART_SIBL
(28,19),(28,26),0.100442 # DEPENDENCYPART_SIBL
(28,19),(28,27),0.211734 # DEPENDENCYPART_SIBL
(28,19),(28,29),-0.0292929 # DEPENDENCYPART_SIBL
(28,23),(28,24),0.219897 # DEPENDENCYPART_SIBL
(28,23),(28,25),-0.00215388 # DEPENDENCYPART_SIBL
(28,23),(28,26),0.00930404 # DEPENDENCYPART_SIBL
(28,23),(28,27),0.300386 # DEPENDENCYPART_SIBL
(28,23),(28,29),-0.0593842 # DEPENDENCYPART_SIBL
(28,24),(28,25),0.058217 # DEPENDENCYPART_SIBL
(28,24),(28,26),-0.0214584 # DEPENDENCYPART_SIBL
(28,24),(28,27),0.0466164 # DEPENDENCYPART_SIBL
(28,24),(28,29),0.0259778 # DEPENDENCYPART_SIBL
(28,25),(28,26),0.0598975 # DEPENDENCYPART_SIBL
(28,25),(28,27),0.0127934 # DEPENDENCYPART_SIBL
(28,25),(28,29),0.0116025 # DEPENDENCYPART_SIBL
(28,26),(28,27),-0.0102894 # DEPENDENCYPART_SIBL
(28,26),(28,29),-0.00776265 # DEPENDENCYPART_SIBL
(28,27),(28,29),-0.00331403 # DEPENDENCYPART_SIBL
(0,1),(1,2),-0.585638 # DEPENDENCYPART_GRANDPAR
(0,1),(1,3),-0.298322 # DEPENDENCYPART_GRANDPAR
(0,1),(1,4),-0.106379 # DEPENDENCYPART_GRANDPAR
(0,1),(1,5),0.825755 # DEPENDENCYPART_GRANDPAR
(0,1),(1,6),0.309746 # DEPENDENCYPART_GRANDPAR
(0,1),(1,7),0.132557 # DEPENDENCYPART_GRANDPAR
(0,1),(1,8),0.504771 # DEPENDENCYPART_GRANDPAR
(0,1),(1,9),-0.0593373 # DEPENDENCYPART_GRANDPAR
(0,1),(1,10),-0.177983 # DEPENDENCYPART_GRANDPAR
(0,1),(1,29),1.44928 # DEPENDENCYPART_GRANDPAR
(0,4),(4,1),0.883601 # DEPENDENCYPART_GRANDPAR
(0,4),(4,2),-0.39941 # DEPENDENCYPART_GRANDPAR
(0,4),(4,3),-0.309566 # DEPENDENCYPART_GRANDPAR
(0,4),(4,5),0.786056 # DEPENDENCYPART_GRANDPAR
(0,4),(4,6),0.419438 # DEPENDENCYPART_GRANDPAR
(0,4),(4,7),0.238024 # DEPENDENCYPART_GRANDPAR
(0,4),(4,8),0.433131 # DEPENDENCYPART_GRANDPAR
(0,4),(4,9),-0.0126051 # DEPENDENCYPART_GRANDPAR
(0,4),(4,10),-0.124481 # DEPENDENCYPART_GRANDPAR
(0,4),(4,14),0.0204148 # DEPENDENCYPART_GRANDPAR
(0,4),(4,15),-0.594341 # DEPENDENCYPART_GRANDPAR
(0,4),(4,16),-0.812301 # DEPENDENCYPART_GRANDPAR
(0,4),(4,17),-0.0361089 # DEPENDENCYPART_GRANDPAR
(0,4),(4,21),0.367858 # DEPENDENCYPART_GRANDPAR
(0,4),(4,29),1.73822 # DEPENDENCYPART_GRANDPAR
(0,8),(8,1),0.99226 # DEPENDENCYPART_GRANDPAR
(0,8),(8,2),-0.753018 # DEPENDENCYPART_GRANDPAR
(0,8),(8,3),-0.330843 # DEPENDENCYPART_GRANDPAR
(0,8),(8,4),0.0717078 # DEPENDENCYPART_GRANDPAR
(0,8),(8,5),1.06023 # DEPENDENCYPART_GRANDPAR
(0,8),(8,6),0.306098 # DEPENDENCYPART_GRANDPAR
(0,8),(8,7),0.127385 # DEPENDENCYPART_GRANDPAR
(0,8),(8,9),0.53491 # DEPENDENCYPART_GRANDPAR
(0,8),(8,10),0.127908 # DEPENDENCYPART_GRANDPAR
(0,8),(8,11),0.317213 # DEPENDENCYPART_GRANDPAR
(0,8),(8,14),0.0779267 # DEPENDENCYPART_GRANDPAR
(0,8),(8,15),-0.371309 # DEPENDENCYPART_GRANDPAR
(0,8),(8,16),-0.424173 # DEPENDENCYPART_GRANDPAR
(0,8),(8,18),-0.417017 # DEPENDENCYPART_GRANDPAR
(0,8),(8,21),0.420671 # DEPENDENCYPART_GRANDPAR
(0,8),(8,22),-0.0346413 # DEPENDENCYPART_GRANDPAR
(0,8),(8,29),2.02972 # DEPENDENCYPART_GRANDPAR
(0,9),(9,1),0.972171 # DEPENDENCYPART_GRANDPAR
(0,9),(9,4),-0.0614912 # DEPENDENCYPART_GRANDPAR
(0,9),(9,5),1.28985 # DEPENDENCYPART_GRANDPAR
(0,9),(9,6),0.460596 # DEPENDENCYPART_GRANDPAR
(0,9),(9,7),0.281883 # DEPENDENCYPART_GRANDPAR
(0,9),(9,8),0.175026 # DEPENDENCYPART_GRANDPAR
(0,9),(9,10),-0.146896 # DEPENDENCYPART_GRANDPAR
(0,9),(9,11),-0.0538832 # DEPENDENCYPART_GRANDPAR
(0,9),(9,13),-1.23096 # DEPENDENCYPART_GRANDPAR
(0,9),(9,14),-0.0667917 # DEPENDENCYPART_GRANDPAR
(0,9),(9,15),-0.526795 # DEPENDENCYPART_GRANDPAR
(0,9),(9,16),-0.722974 # DEPENDENCYPART_GRANDPAR
(0,9),(9,17),0.00120656 # DEPENDENCYPART_GRANDPAR
(0,9),(9,18),-0.661675 # DEPENDENCYPART_GRANDPAR
(0,9),(9,21),0.340457 # DEPENDENCYPART_GRANDPAR
(0,9),(9,22),-0.136134 # DEPENDENCYPART_GRANDPAR
(0,9),(9,24),-1.22616 # DEPENDENCYPART_GRANDPAR
(0,9),(9,26),-0.546322 # DEPENDENCYPART_GRANDPAR
(0,9),(9,29),2.03614 # DEPENDENCYPART_GRANDPAR
(1,2),(2,1),-0.858444 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,2),(2,5),-0.541701 # DEPENDENCYPART_GRANDPAR
(1,3),(3,1),-0.839152 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,3),(3,2),0.953243 # DEPENDENCYPART_GRANDPAR
(1,3),(3,5),-0.536832 # DEPENDENCYPART_GRANDPAR
(1,3),(3,7),-0.268904 # DEPENDENCYPART_GRANDPAR
(1,4),(4,1),-0.795921 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,4),(4,2),1.23692 # DEPENDENCYPART_GRANDPAR
(1,4),(4,3),0.46011 # DEPENDENCYPART_GRANDPAR
(1,4),(4,5),-0.322657 # DEPENDENCYPART_GRANDPAR
(1,4),(4,6),-0.346894 # DEPENDENCYPART_GRANDPAR
(1,4),(4,7),-0.181947 # DEPENDENCYPART_GRANDPAR
(1,4),(4,8),0.0627228 # DEPENDENCYPART_GRANDPAR
(1,4),(4,9),-0.0558254 # DEPENDENCYPART_GRANDPAR
(1,4),(4,10),0.135703 # DEPENDENCYPART_GRANDPAR
(1,4),(4,14),0.0706892 # DEPENDENCYPART_GRANDPAR
(1,4),(4,15),-0.131897 # DEPENDENCYPART_GRANDPAR
(1,4),(4,16),-0.255562 # DEPENDENCYPART_GRANDPAR
(1,4),(4,17),-0.653512 # DEPENDENCYPART_GRANDPAR
(1,4),(4,21),-0.0727313 # DEPENDENCYPART_GRANDPAR
(1,4),(4,29),-1.84313 # DEPENDENCYPART_GRANDPAR
(1,6),(6,4),0.912395 # DEPENDENCYPART_GRANDPAR
(1,6),(6,5),-0.324068 # DEPENDENCYPART_GRANDPAR
(1,6),(6,7),-0.106473 # DEPENDENCYPART_GRANDPAR
(1,6),(6,14),-0.0393091 # DEPENDENCYPART_GRANDPAR
(1,7),(7,1),-0.726417 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,7),(7,2),1.03066 # DEPENDENCYPART_GRANDPAR
(1,7),(7,3),0.572679 # DEPENDENCYPART_GRANDPAR
(1,7),(7,4),0.912826 # DEPENDENCYPART_GRANDPAR
(1,7),(7,5),-0.323964 # DEPENDENCYPART_GRANDPAR
(1,7),(7,6),-0.219835 # DEPENDENCYPART_GRANDPAR
(1,7),(7,8),0.00977115 # DEPENDENCYPART_GRANDPAR
(1,7),(7,9),-0.017653 # DEPENDENCYPART_GRANDPAR
(1,7),(7,14),-0.0365482 # DEPENDENCYPART_GRANDPAR
(1,8),(8,1),-0.934911 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,8),(8,2),0.660586 # DEPENDENCYPART_GRANDPAR
(1,8),(8,3),0.0909075 # DEPENDENCYPART_GRANDPAR
(1,8),(8,4),0.464257 # DEPENDENCYPART_GRANDPAR
(1,8),(8,5),-0.606304 # DEPENDENCYPART_GRANDPAR
(1,8),(8,6),-0.474467 # DEPENDENCYPART_GRANDPAR
(1,8),(8,7),-0.316721 # DEPENDENCYPART_GRANDPAR
(1,8),(8,9),0.180965 # DEPENDENCYPART_GRANDPAR
(1,8),(8,10),-0.161805 # DEPENDENCYPART_GRANDPAR
(1,8),(8,11),-0.405404 # DEPENDENCYPART_GRANDPAR
(1,8),(8,14),-0.27236 # DEPENDENCYPART_GRANDPAR
(1,8),(8,15),-0.0921548 # DEPENDENCYPART_GRANDPAR
(1,8),(8,16),-0.17374 # DEPENDENCYPART_GRANDPAR
(1,8),(8,18),-0.269945 # DEPENDENCYPART_GRANDPAR
(1,8),(8,21),-0.333901 # DEPENDENCYPART_GRANDPAR
(1,8),(8,22),-0.658627 # DEPENDENCYPART_GRANDPAR
(1,8),(8,29),-2.12691 # DEPENDENCYPART_GRANDPAR
(1,9),(9,1),-0.851941 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,9),(9,4),0.628263 # DEPENDENCYPART_GRANDPAR
(1,9),(9,5),-0.474736 # DEPENDENCYPART_GRANDPAR
(1,9),(9,6),-0.354276 # DEPENDENCYPART_GRANDPAR
(1,9),(9,7),-0.196531 # DEPENDENCYPART_GRANDPAR
(1,9),(9,8),-0.040368 # DEPENDENCYPART_GRANDPAR
(1,9),(9,10),-0.144405 # DEPENDENCYPART_GRANDPAR
(1,9),(9,11),-0.602087 # DEPENDENCYPART_GRANDPAR
(1,9),(9,13),-0.760451 # DEPENDENCYPART_GRANDPAR
(1,9),(9,14),-0.103608 # DEPENDENCYPART_GRANDPAR
(1,9),(9,15),-0.133405 # DEPENDENCYPART_GRANDPAR
(1,9),(9,16),-0.194263 # DEPENDENCYPART_GRANDPAR
(1,9),(9,17),-0.76116 # DEPENDENCYPART_GRANDPAR
(1,9),(9,18),-0.336148 # DEPENDENCYPART_GRANDPAR
(1,9),(9,21),-0.373705 # DEPENDENCYPART_GRANDPAR
(1,9),(9,22),-0.564096 # DEPENDENCYPART_GRANDPAR
(1,9),(9,24),-0.515467 # DEPENDENCYPART_GRANDPAR
(1,9),(9,26),-1.20045 # DEPENDENCYPART_GRANDPAR
(1,9),(9,29),-1.94215 # DEPENDENCYPART_GRANDPAR
(1,10),(10,1),-0.888286 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(1,10),(10,4),0.826799 # DEPENDENCYPART_GRANDPAR
(1,10),(10,5),-0.60358 # DEPENDENCYPART_GRANDPAR
(1,10),(10,7),-0.211706 # DEPENDENCYPART_GRANDPAR
(1,10),(10,11),-0.514735 # DEPENDENCYPART_GRANDPAR
(1,10),(10,12),-0.955136 # DEPENDENCYPART_GRANDPAR
(1,10),(10,14),-0.119152 # DEPENDENCYPART_GRANDPAR
(1,10),(10,15),-0.150421 # DEPENDENCYPART_GRANDPAR
(1,10),(10,16),-0.173727 # DEPENDENCYPART_GRANDPAR
(1,10),(10,21),-0.417211 # DEPENDENCYPART_GRANDPAR
(1,29),(29,28),-0.991003 # DEPENDENCYPART_GRANDPAR
(2,1),(1,2),-1.71709 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,1),(1,3),-0.646236 # DEPENDENCYPART_GRANDPAR
(2,1),(1,4),-0.73217 # DEPENDENCYPART_GRANDPAR
(2,1),(1,5),-0.784466 # DEPENDENCYPART_GRANDPAR
(2,1),(1,6),-0.776456 # DEPENDENCYPART_GRANDPAR
(2,1),(1,7),-0.74244 # DEPENDENCYPART_GRANDPAR
(2,1),(1,8),-0.8646 # DEPENDENCYPART_GRANDPAR
(2,1),(1,9),-1.40136 # DEPENDENCYPART_GRANDPAR
(2,1),(1,10),-1.18471 # DEPENDENCYPART_GRANDPAR
(2,1),(1,29),-2.19408 # DEPENDENCYPART_GRANDPAR
(3,1),(1,2),-0.509031 # DEPENDENCYPART_GRANDPAR
(3,1),(1,3),-1.76582 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,1),(1,4),-0.437599 # DEPENDENCYPART_GRANDPAR
(3,1),(1,5),-1.10265 # DEPENDENCYPART_GRANDPAR
(3,1),(1,6),-0.745025 # DEPENDENCYPART_GRANDPAR
(3,1),(1,7),-0.755299 # DEPENDENCYPART_GRANDPAR
