# _root_ From 1974 to 1984 , prices for the best yearlings at the summer sales rose 918 % to an average of $ 544,681 .
#goldHeads=15,1,1,3,15,15,6,10,10,7,15,14,14,11,0,17,15,15,20,18,20,23,21,15,
#predictedHeads=15,1,1,3,15,15,6,10,10,7,10,14,14,11,0,17,15,15,20,18,20,23,21,15,
(1,4),(1,6),(1,21),0.00249349 # DEPENDENCYPART_TRISIBL
(1,4),(1,6),(1,25),-0.00196861 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,4),(1,7),(1,10),-0.115305 # DEPENDENCYPART_TRISIBL
(1,4),(1,7),(1,11),-0.06201 # DEPENDENCYPART_TRISIBL
(1,4),(1,7),(1,15),-0.0667867 # DEPENDENCYPART_TRISIBL
(1,4),(1,7),(1,21),-0.00227091 # DEPENDENCYPART_TRISIBL
(1,4),(1,7),(1,25),0.0189693 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,4),(1,10),(1,11),-0.0665793 # DEPENDENCYPART_TRISIBL
(1,4),(1,10),(1,15),-0.066571 # DEPENDENCYPART_TRISIBL
(1,4),(1,10),(1,21),0.00249349 # DEPENDENCYPART_TRISIBL
(1,4),(1,10),(1,25),-0.00196861 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,4),(1,11),(1,15),-0.0630379 # DEPENDENCYPART_TRISIBL
(1,4),(1,11),(1,21),-0.0059681 # DEPENDENCYPART_TRISIBL
(1,4),(1,11),(1,25),0.0102795 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,4),(1,15),(1,21),0.000933163 # DEPENDENCYPART_TRISIBL
(1,4),(1,15),(1,25),-0.0532665 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,4),(1,21),(1,25),0.0451098 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,5),(1,6),(1,7),-0.0244363 # DEPENDENCYPART_TRISIBL
(1,5),(1,6),(1,10),-0.0912053 # DEPENDENCYPART_TRISIBL
(1,5),(1,6),(1,11),-0.039594 # DEPENDENCYPART_TRISIBL
(1,5),(1,6),(1,15),-0.0568951 # DEPENDENCYPART_TRISIBL
(1,5),(1,6),(1,21),-0.0460623 # DEPENDENCYPART_TRISIBL
(1,5),(1,6),(1,25),-0.145458 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,5),(1,7),(1,10),-0.0604012 # DEPENDENCYPART_TRISIBL
(1,5),(1,7),(1,11),-0.0540937 # DEPENDENCYPART_TRISIBL
(1,5),(1,7),(1,15),-0.0293791 # DEPENDENCYPART_TRISIBL
(1,5),(1,7),(1,21),-0.0603098 # DEPENDENCYPART_TRISIBL
(1,5),(1,7),(1,25),-0.0776948 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,5),(1,10),(1,11),-0.0394502 # DEPENDENCYPART_TRISIBL
(1,5),(1,10),(1,15),-0.0568949 # DEPENDENCYPART_TRISIBL
(1,5),(1,10),(1,21),-0.0459184 # DEPENDENCYPART_TRISIBL
(1,5),(1,10),(1,25),-0.148479 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,5),(1,11),(1,15),-0.0266742 # DEPENDENCYPART_TRISIBL
(1,5),(1,11),(1,21),-0.0600638 # DEPENDENCYPART_TRISIBL
(1,5),(1,11),(1,25),-0.0798864 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,5),(1,15),(1,21),-0.0268904 # DEPENDENCYPART_TRISIBL
(1,5),(1,15),(1,25),-0.0943954 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,5),(1,21),(1,25),-0.0811263 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,6),(1,7),(1,10),-0.134994 # DEPENDENCYPART_TRISIBL
(1,6),(1,7),(1,11),-0.0681872 # DEPENDENCYPART_TRISIBL
(1,6),(1,7),(1,15),-0.036241 # DEPENDENCYPART_TRISIBL
(1,6),(1,7),(1,21),-0.0726202 # DEPENDENCYPART_TRISIBL
(1,6),(1,7),(1,25),0.0579111 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,6),(1,10),(1,11),-0.068335 # DEPENDENCYPART_TRISIBL
(1,6),(1,10),(1,15),-0.0568597 # DEPENDENCYPART_TRISIBL
(1,6),(1,10),(1,21),-0.0705514 # DEPENDENCYPART_TRISIBL
(1,6),(1,10),(1,25),-0.00915442 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,6),(1,11),(1,15),-0.0282369 # DEPENDENCYPART_TRISIBL
(1,6),(1,11),(1,21),-0.0563363 # DEPENDENCYPART_TRISIBL
(1,6),(1,11),(1,25),0.0505904 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,6),(1,15),(1,21),-0.0794076 # DEPENDENCYPART_TRISIBL
(1,6),(1,15),(1,25),-0.0567229 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,6),(1,21),(1,25),0.0732216 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,7),(1,10),(1,11),-0.0897744 # DEPENDENCYPART_TRISIBL
(1,7),(1,10),(1,15),-0.0917826 # DEPENDENCYPART_TRISIBL
(1,7),(1,10),(1,21),-0.124219 # DEPENDENCYPART_TRISIBL
(1,7),(1,10),(1,25),-0.00313058 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,7),(1,11),(1,15),-0.0992103 # DEPENDENCYPART_TRISIBL
(1,7),(1,11),(1,21),-0.0523963 # DEPENDENCYPART_TRISIBL
(1,7),(1,11),(1,25),-0.115882 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,7),(1,15),(1,21),-0.0892912 # DEPENDENCYPART_TRISIBL
(1,7),(1,15),(1,25),-0.106234 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,7),(1,21),(1,25),-0.147551 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,10),(1,11),(1,15),-0.036855 # DEPENDENCYPART_TRISIBL
(1,10),(1,11),(1,21),-0.0557194 # DEPENDENCYPART_TRISIBL
(1,10),(1,11),(1,25),0.055 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,10),(1,15),(1,21),-0.0788607 # DEPENDENCYPART_TRISIBL
(1,10),(1,15),(1,25),-0.0586269 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,10),(1,21),(1,25),0.0776313 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,11),(1,15),(1,21),-0.0884384 # DEPENDENCYPART_TRISIBL
(1,11),(1,15),(1,25),-0.116108 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,11),(1,21),(1,25),-0.213117 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,15),(1,21),(1,25),-0.0300166 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,2),(2,3),(2,4),-0.0496219 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,3),(2,5),-0.0892848 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,3),(2,7),-0.0697684 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,3),(2,25),-0.19838 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(2,2),(2,4),(2,5),-0.0700484 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,4),(2,7),-0.113972 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,4),(2,25),-0.307605 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(2,2),(2,5),(2,7),-0.226987 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,5),(2,25),-0.389289 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(2,2),(2,7),(2,25),-0.175065 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(2,3),(2,4),(2,5),-0.061365 # DEPENDENCYPART_TRISIBL
(2,3),(2,4),(2,7),-0.0598103 # DEPENDENCYPART_TRISIBL
(2,3),(2,4),(2,25),-0.0960194 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,3),(2,5),(2,7),-0.024402 # DEPENDENCYPART_TRISIBL
(2,3),(2,5),(2,25),-0.117371 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,3),(2,7),(2,25),-0.0847119 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,4),(2,5),(2,7),-0.082418 # DEPENDENCYPART_TRISIBL
(2,4),(2,5),(2,25),-0.161509 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,4),(2,7),(2,25),-0.110896 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,5),(2,7),(2,25),-0.136238 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,2),(2,1),(2,-1),-0.289854 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,3),(3,4),(3,5),-0.0350491 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,4),(3,6),-0.0771044 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,4),(3,7),-0.0661001 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,4),(3,10),-0.081893 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,4),(3,11),-0.0905964 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,4),(3,18),-0.0476551 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,4),(3,25),0.0742855 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(3,3),(3,5),(3,6),-0.145401 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,5),(3,7),-0.179438 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,5),(3,10),-0.149478 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,5),(3,11),-0.196153 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,5),(3,18),-0.154327 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,5),(3,25),-0.216397 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(3,3),(3,6),(3,7),0.00476939 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,6),(3,10),-0.139051 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,6),(3,11),0.00380867 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,6),(3,18),-0.0499268 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,6),(3,25),0.186317 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(3,3),(3,7),(3,10),-0.0627677 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,7),(3,11),-0.0617461 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,7),(3,18),-0.0813471 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,7),(3,25),-0.160418 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(3,3),(3,10),(3,11),0.00537892 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,10),(3,18),-0.0514396 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,10),(3,25),0.196414 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(3,3),(3,11),(3,18),-0.075082 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,11),(3,25),-0.165616 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(3,3),(3,18),(3,25),-0.0631998 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(3,4),(3,5),(3,6),-0.0883361 # DEPENDENCYPART_TRISIBL
(3,4),(3,5),(3,7),-0.077716 # DEPENDENCYPART_TRISIBL
(3,4),(3,5),(3,10),-0.0883361 # DEPENDENCYPART_TRISIBL
(3,4),(3,5),(3,11),-0.0850097 # DEPENDENCYPART_TRISIBL
(3,4),(3,5),(3,18),-0.023778 # DEPENDENCYPART_TRISIBL
(3,4),(3,5),(3,25),-0.129851 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,4),(3,6),(3,7),-0.0625361 # DEPENDENCYPART_TRISIBL
(3,4),(3,6),(3,10),-0.0962212 # DEPENDENCYPART_TRISIBL
(3,4),(3,6),(3,11),-0.0659399 # DEPENDENCYPART_TRISIBL
(3,4),(3,6),(3,18),-0.0317915 # DEPENDENCYPART_TRISIBL
(3,4),(3,6),(3,25),-0.0503938 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,4),(3,7),(3,10),-0.101733 # DEPENDENCYPART_TRISIBL
(3,4),(3,7),(3,11),-0.0675589 # DEPENDENCYPART_TRISIBL
(3,4),(3,7),(3,18),-0.0416745 # DEPENDENCYPART_TRISIBL
(3,4),(3,7),(3,25),-0.0674695 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,4),(3,10),(3,11),-0.0659399 # DEPENDENCYPART_TRISIBL
(3,4),(3,10),(3,18),-0.0317915 # DEPENDENCYPART_TRISIBL
(3,4),(3,10),(3,25),-0.0503938 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,4),(3,11),(3,18),-0.0438503 # DEPENDENCYPART_TRISIBL
(3,4),(3,11),(3,25),-0.0812401 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,4),(3,18),(3,25),-0.0585136 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,5),(3,6),(3,7),-0.0398313 # DEPENDENCYPART_TRISIBL
(3,5),(3,6),(3,10),-0.0815958 # DEPENDENCYPART_TRISIBL
(3,5),(3,6),(3,11),-0.0552043 # DEPENDENCYPART_TRISIBL
(3,5),(3,6),(3,18),-0.0995862 # DEPENDENCYPART_TRISIBL
(3,5),(3,6),(3,25),-0.113399 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,5),(3,7),(3,10),-0.0534044 # DEPENDENCYPART_TRISIBL
(3,5),(3,7),(3,11),-0.0696545 # DEPENDENCYPART_TRISIBL
(3,5),(3,7),(3,18),-0.0944201 # DEPENDENCYPART_TRISIBL
(3,5),(3,7),(3,25),-0.0878342 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,5),(3,10),(3,11),-0.0550604 # DEPENDENCYPART_TRISIBL
(3,5),(3,10),(3,18),-0.0995862 # DEPENDENCYPART_TRISIBL
(3,5),(3,10),(3,25),-0.116419 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,5),(3,11),(3,18),-0.0944201 # DEPENDENCYPART_TRISIBL
(3,5),(3,11),(3,25),-0.0888316 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,5),(3,18),(3,25),-0.121507 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,6),(3,7),(3,10),-0.108711 # DEPENDENCYPART_TRISIBL
(3,6),(3,7),(3,11),-0.0528276 # DEPENDENCYPART_TRISIBL
(3,6),(3,7),(3,18),-0.0242321 # DEPENDENCYPART_TRISIBL
(3,6),(3,7),(3,25),0.0042763 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,6),(3,10),(3,11),-0.0434396 # DEPENDENCYPART_TRISIBL
(3,6),(3,10),(3,18),-0.0760107 # DEPENDENCYPART_TRISIBL
(3,6),(3,10),(3,25),-0.0900602 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,6),(3,11),(3,18),-0.0259301 # DEPENDENCYPART_TRISIBL
(3,6),(3,11),(3,25),0.00408096 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,6),(3,18),(3,25),-0.0843007 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,7),(3,10),(3,11),-0.0716491 # DEPENDENCYPART_TRISIBL
(3,7),(3,10),(3,18),-0.0667014 # DEPENDENCYPART_TRISIBL
(3,7),(3,10),(3,25),-0.0241629 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,7),(3,11),(3,18),-0.0549687 # DEPENDENCYPART_TRISIBL
(3,7),(3,11),(3,25),-0.0552091 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,7),(3,18),(3,25),-0.0743431 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,10),(3,11),(3,18),-0.0236562 # DEPENDENCYPART_TRISIBL
(3,10),(3,11),(3,25),0.00374304 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,10),(3,18),(3,25),-0.0847967 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,11),(3,18),(3,25),-0.0978068 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,3),(3,2),(3,1),-0.131124 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,2),(3,-1),-0.310018 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,3),(3,1),(3,-1),-0.313106 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,2),(3,1),(3,-1),-0.0647658 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,4),(4,5),(4,7),-0.227012 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,5),(4,25),-0.38968 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(4,4),(4,7),(4,25),-0.17645 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(4,5),(4,7),(4,25),-0.135831 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,4),(4,3),(4,2),-0.0314849 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,3),(4,-1),-0.453544 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,4),(4,2),(4,-1),-0.104292 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,3),(4,2),(4,-1),0.0045351 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,6),(6,7),(6,8),-0.162412 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,7),(6,9),-0.119245 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,7),(6,10),-0.152606 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,7),(6,11),-0.015746 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,7),(6,13),-0.147134 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,7),(6,14),-0.158961 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,7),(6,15),-0.14115 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,7),(6,17),-0.17764 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,7),(6,24),-0.146741 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,7),(6,25),-0.118491 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(6,6),(6,8),(6,9),-0.0315956 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,8),(6,10),-0.202063 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,8),(6,11),-0.140439 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,8),(6,13),-0.199749 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,8),(6,14),-0.213945 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,8),(6,15),-0.156797 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,8),(6,17),-0.215873 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,8),(6,24),-0.135689 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,8),(6,25),-0.239738 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(6,6),(6,9),(6,10),-0.184874 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,9),(6,11),-0.106285 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,9),(6,13),-0.180898 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,9),(6,14),-0.196984 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,9),(6,15),-0.102889 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,9),(6,17),-0.195841 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,9),(6,24),-0.143916 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,9),(6,25),-0.089321 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(6,6),(6,10),(6,11),-0.0931326 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,10),(6,13),-0.114341 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,10),(6,14),-0.130131 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,10),(6,15),-0.110373 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,10),(6,17),-0.119007 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,10),(6,24),-0.117337 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,10),(6,25),-0.128241 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(6,6),(6,11),(6,13),-0.159961 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,11),(6,14),-0.171788 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,11),(6,15),-0.12644 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,11),(6,17),-0.190467 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,11),(6,24),-0.174291 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,11),(6,25),-0.110631 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(6,6),(6,13),(6,14),-0.130222 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,13),(6,15),-0.111107 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,13),(6,17),-0.119099 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,13),(6,24),-0.117737 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,13),(6,25),-0.129611 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(6,6),(6,14),(6,15),-0.11462 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,14),(6,17),-0.110682 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,14),(6,24),-0.12035 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,14),(6,25),-0.127881 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(6,6),(6,15),(6,17),-0.157474 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,15),(6,24),-0.0646326 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,15),(6,25),-0.140208 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(6,6),(6,17),(6,24),-0.13044 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,17),(6,25),-0.113881 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(6,6),(6,24),(6,25),-0.223901 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(6,7),(6,8),(6,9),-0.0248657 # DEPENDENCYPART_TRISIBL
(6,7),(6,8),(6,10),-0.0354739 # DEPENDENCYPART_TRISIBL
(6,7),(6,8),(6,11),-0.0354046 # DEPENDENCYPART_TRISIBL
(6,7),(6,8),(6,13),-0.0354821 # DEPENDENCYPART_TRISIBL
(6,7),(6,8),(6,14),-0.03596 # DEPENDENCYPART_TRISIBL
(6,7),(6,8),(6,15),-0.104762 # DEPENDENCYPART_TRISIBL
(6,7),(6,8),(6,17),-0.0443888 # DEPENDENCYPART_TRISIBL
(6,7),(6,8),(6,24),-0.101845 # DEPENDENCYPART_TRISIBL
(6,7),(6,8),(6,25),-0.113373 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,7),(6,9),(6,10),-0.0418151 # DEPENDENCYPART_TRISIBL
(6,7),(6,9),(6,11),-0.0474633 # DEPENDENCYPART_TRISIBL
(6,7),(6,9),(6,13),-0.0418218 # DEPENDENCYPART_TRISIBL
(6,7),(6,9),(6,14),-0.0423017 # DEPENDENCYPART_TRISIBL
(6,7),(6,9),(6,15),-0.111539 # DEPENDENCYPART_TRISIBL
(6,7),(6,9),(6,17),-0.050896 # DEPENDENCYPART_TRISIBL
(6,7),(6,9),(6,24),-0.111978 # DEPENDENCYPART_TRISIBL
(6,7),(6,9),(6,25),-0.0874442 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,7),(6,10),(6,11),-0.0597464 # DEPENDENCYPART_TRISIBL
(6,7),(6,10),(6,13),-0.050107 # DEPENDENCYPART_TRISIBL
(6,7),(6,10),(6,14),-0.0506602 # DEPENDENCYPART_TRISIBL
(6,7),(6,10),(6,15),-0.0969185 # DEPENDENCYPART_TRISIBL
(6,7),(6,10),(6,17),-0.0597177 # DEPENDENCYPART_TRISIBL
(6,7),(6,10),(6,24),-0.100506 # DEPENDENCYPART_TRISIBL
(6,7),(6,10),(6,25),-0.0306816 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,7),(6,11),(6,13),-0.0321695 # DEPENDENCYPART_TRISIBL
(6,7),(6,11),(6,14),-0.0329587 # DEPENDENCYPART_TRISIBL
(6,7),(6,11),(6,15),-0.1421 # DEPENDENCYPART_TRISIBL
(6,7),(6,11),(6,17),-0.0416368 # DEPENDENCYPART_TRISIBL
(6,7),(6,11),(6,24),-0.107682 # DEPENDENCYPART_TRISIBL
(6,7),(6,11),(6,25),-0.04402 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,7),(6,13),(6,14),-0.0506602 # DEPENDENCYPART_TRISIBL
(6,7),(6,13),(6,15),-0.0969187 # DEPENDENCYPART_TRISIBL
(6,7),(6,13),(6,17),-0.0597177 # DEPENDENCYPART_TRISIBL
(6,7),(6,13),(6,24),-0.100819 # DEPENDENCYPART_TRISIBL
(6,7),(6,13),(6,25),-0.0286556 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,7),(6,14),(6,15),-0.0969225 # DEPENDENCYPART_TRISIBL
(6,7),(6,14),(6,17),-0.0599021 # DEPENDENCYPART_TRISIBL
(6,7),(6,14),(6,24),-0.0966285 # DEPENDENCYPART_TRISIBL
(6,7),(6,14),(6,25),-0.0303736 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,7),(6,15),(6,17),-0.0337389 # DEPENDENCYPART_TRISIBL
(6,7),(6,15),(6,24),-0.11255 # DEPENDENCYPART_TRISIBL
(6,7),(6,15),(6,25),-0.0958528 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,7),(6,17),(6,24),-0.102533 # DEPENDENCYPART_TRISIBL
(6,7),(6,17),(6,25),-0.0438433 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,7),(6,24),(6,25),-0.0692508 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,8),(6,9),(6,10),-0.0797256 # DEPENDENCYPART_TRISIBL
(6,8),(6,9),(6,11),-0.0786759 # DEPENDENCYPART_TRISIBL
(6,8),(6,9),(6,13),-0.0797279 # DEPENDENCYPART_TRISIBL
(6,8),(6,9),(6,14),-0.079904 # DEPENDENCYPART_TRISIBL
(6,8),(6,9),(6,15),-0.0814245 # DEPENDENCYPART_TRISIBL
(6,8),(6,9),(6,17),-0.0770911 # DEPENDENCYPART_TRISIBL
(6,8),(6,9),(6,24),-0.0605727 # DEPENDENCYPART_TRISIBL
(6,8),(6,9),(6,25),-0.0560943 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,8),(6,10),(6,11),-0.0750025 # DEPENDENCYPART_TRISIBL
(6,8),(6,10),(6,13),-0.0806228 # DEPENDENCYPART_TRISIBL
(6,8),(6,10),(6,14),-0.0807965 # DEPENDENCYPART_TRISIBL
