# _root_ That puts the real strategic decisions in the hands of others : bean counters , budgeteers , and pork-barrelers .
#goldHeads=2,0,6,6,6,2,2,9,7,9,10,11,14,18,18,18,18,11,18,2,
#predictedHeads=2,0,6,6,6,2,2,9,7,9,10,11,14,18,18,18,18,11,18,2,
(7,8),(3,7),-0.070778 # DEPENDENCYPART_HEADBIGRAM
(7,8),(4,7),-0.0910179 # DEPENDENCYPART_HEADBIGRAM
(7,8),(5,7),-0.0309921 # DEPENDENCYPART_HEADBIGRAM
(7,8),(6,7),0.00710097 # DEPENDENCYPART_HEADBIGRAM
(7,8),(9,7),0.120237 # DEPENDENCYPART_HEADBIGRAM
(7,8),(11,7),0.163756 # DEPENDENCYPART_HEADBIGRAM
(7,8),(12,7),0.125639 # DEPENDENCYPART_HEADBIGRAM
(7,8),(14,7),0.134845 # DEPENDENCYPART_HEADBIGRAM
(7,8),(18,7),0.0992282 # DEPENDENCYPART_HEADBIGRAM
(7,9),(7,8),0.175409 # DEPENDENCYPART_HEADBIGRAM
(7,9),(9,8),0.384936 # DEPENDENCYPART_HEADBIGRAM
(7,9),(10,8),0.0688993 # DEPENDENCYPART_HEADBIGRAM
(7,9),(11,8),-0.000532841 # DEPENDENCYPART_HEADBIGRAM
(7,9),(14,8),0.00710591 # DEPENDENCYPART_HEADBIGRAM
(7,9),(16,8),0.00710591 # DEPENDENCYPART_HEADBIGRAM
(7,9),(18,8),0.0802316 # DEPENDENCYPART_HEADBIGRAM
(7,10),(2,9),-0.0352375 # DEPENDENCYPART_HEADBIGRAM
(7,10),(4,9),-0.00381493 # DEPENDENCYPART_HEADBIGRAM
(7,10),(5,9),-0.00384507 # DEPENDENCYPART_HEADBIGRAM
(7,10),(6,9),0.203366 # DEPENDENCYPART_HEADBIGRAM
(7,10),(7,9),-0.0826434 # DEPENDENCYPART_HEADBIGRAM
(7,10),(10,9),0.171732 # DEPENDENCYPART_HEADBIGRAM
(7,10),(11,9),0.185525 # DEPENDENCYPART_HEADBIGRAM
(7,10),(14,9),0.153419 # DEPENDENCYPART_HEADBIGRAM
(7,10),(16,9),0.179088 # DEPENDENCYPART_HEADBIGRAM
(7,10),(18,9),0.0446329 # DEPENDENCYPART_HEADBIGRAM
(7,11),(2,10),-0.103429 # DEPENDENCYPART_HEADBIGRAM
(7,11),(4,10),-0.0638553 # DEPENDENCYPART_HEADBIGRAM
(7,11),(6,10),-0.0583485 # DEPENDENCYPART_HEADBIGRAM
(7,11),(7,10),0.0852609 # DEPENDENCYPART_HEADBIGRAM
(7,11),(8,10),0.0862267 # DEPENDENCYPART_HEADBIGRAM
(7,11),(9,10),0.108959 # DEPENDENCYPART_HEADBIGRAM
(7,11),(11,10),0.0359515 # DEPENDENCYPART_HEADBIGRAM
(7,11),(12,10),0.0931584 # DEPENDENCYPART_HEADBIGRAM
(7,11),(14,10),0.0970883 # DEPENDENCYPART_HEADBIGRAM
(7,11),(18,10),0.0883108 # DEPENDENCYPART_HEADBIGRAM
(7,12),(2,11),-0.0625359 # DEPENDENCYPART_HEADBIGRAM
(7,12),(6,11),-0.0698975 # DEPENDENCYPART_HEADBIGRAM
(7,12),(7,11),0.0793115 # DEPENDENCYPART_HEADBIGRAM
(7,12),(9,11),0.0936526 # DEPENDENCYPART_HEADBIGRAM
(7,12),(10,11),0.176655 # DEPENDENCYPART_HEADBIGRAM
(7,12),(13,11),0.0698423 # DEPENDENCYPART_HEADBIGRAM
(7,12),(14,11),0.0723991 # DEPENDENCYPART_HEADBIGRAM
(7,12),(16,11),0.0723991 # DEPENDENCYPART_HEADBIGRAM
(7,12),(18,11),0.103034 # DEPENDENCYPART_HEADBIGRAM
(7,13),(2,12),-0.0750436 # DEPENDENCYPART_HEADBIGRAM
(7,13),(6,12),-0.0661774 # DEPENDENCYPART_HEADBIGRAM
(7,13),(7,12),0.0729148 # DEPENDENCYPART_HEADBIGRAM
(7,13),(9,12),0.104656 # DEPENDENCYPART_HEADBIGRAM
(7,13),(10,12),0.105486 # DEPENDENCYPART_HEADBIGRAM
(7,13),(11,12),0.0974004 # DEPENDENCYPART_HEADBIGRAM
(7,13),(13,12),0.0732953 # DEPENDENCYPART_HEADBIGRAM
(7,13),(14,12),0.091348 # DEPENDENCYPART_HEADBIGRAM
(7,13),(16,12),0.0913623 # DEPENDENCYPART_HEADBIGRAM
(7,13),(18,12),0.0981388 # DEPENDENCYPART_HEADBIGRAM
(7,14),(2,13),-0.0577252 # DEPENDENCYPART_HEADBIGRAM
(7,14),(6,13),-0.0624014 # DEPENDENCYPART_HEADBIGRAM
(7,14),(7,13),-0.0169781 # DEPENDENCYPART_HEADBIGRAM
(7,14),(9,13),0.104612 # DEPENDENCYPART_HEADBIGRAM
(7,14),(10,13),0.101056 # DEPENDENCYPART_HEADBIGRAM
(7,14),(11,13),0.0685901 # DEPENDENCYPART_HEADBIGRAM
(7,14),(12,13),0.0784957 # DEPENDENCYPART_HEADBIGRAM
(7,14),(14,13),0.249217 # DEPENDENCYPART_HEADBIGRAM
(7,14),(16,13),0.0907089 # DEPENDENCYPART_HEADBIGRAM
(7,14),(18,13),0.0720132 # DEPENDENCYPART_HEADBIGRAM
(7,15),(6,14),-0.0716496 # DEPENDENCYPART_HEADBIGRAM
(7,15),(7,14),0.185794 # DEPENDENCYPART_HEADBIGRAM
(7,15),(9,14),0.0841199 # DEPENDENCYPART_HEADBIGRAM
(7,15),(10,14),0.0969366 # DEPENDENCYPART_HEADBIGRAM
(7,15),(11,14),0.0861861 # DEPENDENCYPART_HEADBIGRAM
(7,15),(13,14),0.143155 # DEPENDENCYPART_HEADBIGRAM
(7,15),(16,14),0.0586759 # DEPENDENCYPART_HEADBIGRAM
(7,15),(18,14),0.108712 # DEPENDENCYPART_HEADBIGRAM
(7,15),(19,14),0.0706461 # DEPENDENCYPART_HEADBIGRAM
(7,16),(2,15),-0.0816139 # DEPENDENCYPART_HEADBIGRAM
(7,16),(4,15),-0.0533596 # DEPENDENCYPART_HEADBIGRAM
(7,16),(6,15),-0.0636643 # DEPENDENCYPART_HEADBIGRAM
(7,16),(7,15),0.0519573 # DEPENDENCYPART_HEADBIGRAM
(7,16),(9,15),0.157192 # DEPENDENCYPART_HEADBIGRAM
(7,16),(11,15),0.197945 # DEPENDENCYPART_HEADBIGRAM
(7,16),(13,15),0.228538 # DEPENDENCYPART_HEADBIGRAM
(7,16),(14,15),0.228538 # DEPENDENCYPART_HEADBIGRAM
(7,16),(16,15),0.0547132 # DEPENDENCYPART_HEADBIGRAM
(7,16),(18,15),0.0831731 # DEPENDENCYPART_HEADBIGRAM
(7,17),(6,16),-0.0716496 # DEPENDENCYPART_HEADBIGRAM
(7,17),(7,16),0.185794 # DEPENDENCYPART_HEADBIGRAM
(7,17),(9,16),0.095482 # DEPENDENCYPART_HEADBIGRAM
(7,17),(10,16),0.108299 # DEPENDENCYPART_HEADBIGRAM
(7,17),(11,16),0.0861861 # DEPENDENCYPART_HEADBIGRAM
(7,17),(13,16),0.0852576 # DEPENDENCYPART_HEADBIGRAM
(7,17),(14,16),0.1466 # DEPENDENCYPART_HEADBIGRAM
(7,17),(18,16),0.0967419 # DEPENDENCYPART_HEADBIGRAM
(7,17),(19,16),0.0706461 # DEPENDENCYPART_HEADBIGRAM
(7,18),(2,17),-0.0698086 # DEPENDENCYPART_HEADBIGRAM
(7,18),(6,17),-0.104581 # DEPENDENCYPART_HEADBIGRAM
(7,18),(7,17),0.0983547 # DEPENDENCYPART_HEADBIGRAM
(7,18),(9,17),0.148882 # DEPENDENCYPART_HEADBIGRAM
(7,18),(11,17),0.148783 # DEPENDENCYPART_HEADBIGRAM
(7,18),(13,17),0.104945 # DEPENDENCYPART_HEADBIGRAM
(7,18),(14,17),0.1046 # DEPENDENCYPART_HEADBIGRAM
(7,18),(16,17),0.0926533 # DEPENDENCYPART_HEADBIGRAM
(7,18),(18,17),0.194614 # DEPENDENCYPART_HEADBIGRAM
(7,18),(19,17),0.0731731 # DEPENDENCYPART_HEADBIGRAM
(7,19),(0,18),-0.079194 # DEPENDENCYPART_HEADBIGRAM
(7,19),(2,18),-0.0654243 # DEPENDENCYPART_HEADBIGRAM
(7,19),(4,18),-0.0444903 # DEPENDENCYPART_HEADBIGRAM
(7,19),(6,18),-0.0537284 # DEPENDENCYPART_HEADBIGRAM
(7,19),(7,18),0.100627 # DEPENDENCYPART_HEADBIGRAM
(7,19),(9,18),0.104299 # DEPENDENCYPART_HEADBIGRAM
(7,19),(10,18),0.109371 # DEPENDENCYPART_HEADBIGRAM
(7,19),(11,18),0.104299 # DEPENDENCYPART_HEADBIGRAM
(7,19),(14,18),0.104375 # DEPENDENCYPART_HEADBIGRAM
(7,19),(16,18),0.104662 # DEPENDENCYPART_HEADBIGRAM
(8,10),(2,9),-0.0648787 # DEPENDENCYPART_HEADBIGRAM
(8,10),(4,9),-0.0656271 # DEPENDENCYPART_HEADBIGRAM
(8,10),(5,9),-0.0656272 # DEPENDENCYPART_HEADBIGRAM
(8,10),(6,9),-0.0665268 # DEPENDENCYPART_HEADBIGRAM
(8,10),(7,9),-0.0848983 # DEPENDENCYPART_HEADBIGRAM
(8,10),(10,9),0.0741847 # DEPENDENCYPART_HEADBIGRAM
(8,10),(11,9),0.0940226 # DEPENDENCYPART_HEADBIGRAM
(8,10),(14,9),0.0875192 # DEPENDENCYPART_HEADBIGRAM
(8,10),(16,9),0.0942359 # DEPENDENCYPART_HEADBIGRAM
(8,10),(18,9),0.0939378 # DEPENDENCYPART_HEADBIGRAM
(9,3),(0,2),0.0293661 # DEPENDENCYPART_HEADBIGRAM
(9,3),(1,2),-0.10236 # DEPENDENCYPART_HEADBIGRAM
(9,3),(18,2),0.138382 # DEPENDENCYPART_HEADBIGRAM
(9,4),(2,3),-0.13117 # DEPENDENCYPART_HEADBIGRAM
(9,4),(4,3),-0.110841 # DEPENDENCYPART_HEADBIGRAM
(9,4),(5,3),-0.126291 # DEPENDENCYPART_HEADBIGRAM
(9,4),(6,3),-0.150056 # DEPENDENCYPART_HEADBIGRAM
(9,4),(9,3),0.146888 # DEPENDENCYPART_HEADBIGRAM
(9,4),(18,3),0.120295 # DEPENDENCYPART_HEADBIGRAM
(9,5),(2,4),-0.187537 # DEPENDENCYPART_HEADBIGRAM
(9,5),(3,4),-0.13053 # DEPENDENCYPART_HEADBIGRAM
(9,5),(5,4),-0.0633866 # DEPENDENCYPART_HEADBIGRAM
(9,5),(6,4),-0.137175 # DEPENDENCYPART_HEADBIGRAM
(9,5),(9,4),0.157935 # DEPENDENCYPART_HEADBIGRAM
(9,5),(18,4),0.11043 # DEPENDENCYPART_HEADBIGRAM
(9,6),(2,5),-0.217758 # DEPENDENCYPART_HEADBIGRAM
(9,6),(3,5),-0.147085 # DEPENDENCYPART_HEADBIGRAM
(9,6),(4,5),-0.125739 # DEPENDENCYPART_HEADBIGRAM
(9,6),(6,5),-0.121701 # DEPENDENCYPART_HEADBIGRAM
(9,6),(7,5),-0.120664 # DEPENDENCYPART_HEADBIGRAM
(9,6),(9,5),0.0260072 # DEPENDENCYPART_HEADBIGRAM
(9,6),(14,5),0.0639498 # DEPENDENCYPART_HEADBIGRAM
(9,6),(18,5),0.0856336 # DEPENDENCYPART_HEADBIGRAM
(9,7),(0,6),-0.151535 # DEPENDENCYPART_HEADBIGRAM
(9,7),(2,6),-0.150651 # DEPENDENCYPART_HEADBIGRAM
(9,7),(4,6),-0.141923 # DEPENDENCYPART_HEADBIGRAM
(9,7),(7,6),-0.118021 # DEPENDENCYPART_HEADBIGRAM
(9,7),(9,6),0.0741719 # DEPENDENCYPART_HEADBIGRAM
(9,7),(10,6),0.11962 # DEPENDENCYPART_HEADBIGRAM
(9,7),(18,6),0.101368 # DEPENDENCYPART_HEADBIGRAM
(9,8),(2,7),0.0702236 # DEPENDENCYPART_HEADBIGRAM
(9,8),(3,7),-0.102877 # DEPENDENCYPART_HEADBIGRAM
(9,8),(4,7),-0.138477 # DEPENDENCYPART_HEADBIGRAM
(9,8),(5,7),-0.149443 # DEPENDENCYPART_HEADBIGRAM
(9,8),(6,7),-0.000895931 # DEPENDENCYPART_HEADBIGRAM
(9,8),(9,7),0.0284686 # DEPENDENCYPART_HEADBIGRAM
(9,8),(11,7),0.198905 # DEPENDENCYPART_HEADBIGRAM
(9,8),(12,7),0.155726 # DEPENDENCYPART_HEADBIGRAM
(9,8),(14,7),0.0831813 # DEPENDENCYPART_HEADBIGRAM
(9,8),(18,7),0.234793 # DEPENDENCYPART_HEADBIGRAM
(9,10),(2,9),-0.0734497 # DEPENDENCYPART_HEADBIGRAM
(9,10),(4,9),-0.027778 # DEPENDENCYPART_HEADBIGRAM
(9,10),(5,9),-0.0340832 # DEPENDENCYPART_HEADBIGRAM
(9,10),(6,9),-0.00692899 # DEPENDENCYPART_HEADBIGRAM
(9,10),(7,9),0.0275142 # DEPENDENCYPART_HEADBIGRAM
(9,10),(10,9),-0.0556592 # DEPENDENCYPART_HEADBIGRAM
(9,10),(11,9),0.0725154 # DEPENDENCYPART_HEADBIGRAM
(9,10),(14,9),0.182392 # DEPENDENCYPART_HEADBIGRAM
(9,10),(16,9),0.160333 # DEPENDENCYPART_HEADBIGRAM
(9,10),(18,9),0.341992 # DEPENDENCYPART_HEADBIGRAM
(9,11),(2,10),-0.0902644 # DEPENDENCYPART_HEADBIGRAM
(9,11),(4,10),-0.0486761 # DEPENDENCYPART_HEADBIGRAM
(9,11),(6,10),-0.0702539 # DEPENDENCYPART_HEADBIGRAM
(9,11),(7,10),-0.0688844 # DEPENDENCYPART_HEADBIGRAM
(9,11),(8,10),-0.0467846 # DEPENDENCYPART_HEADBIGRAM
(9,11),(9,10),0.0233642 # DEPENDENCYPART_HEADBIGRAM
(9,11),(11,10),0.136203 # DEPENDENCYPART_HEADBIGRAM
(9,11),(12,10),0.0917352 # DEPENDENCYPART_HEADBIGRAM
(9,11),(14,10),0.088712 # DEPENDENCYPART_HEADBIGRAM
(9,11),(18,10),0.0945689 # DEPENDENCYPART_HEADBIGRAM
(9,12),(2,11),-0.0744242 # DEPENDENCYPART_HEADBIGRAM
(9,12),(6,11),-0.0577664 # DEPENDENCYPART_HEADBIGRAM
(9,12),(7,11),-0.0287662 # DEPENDENCYPART_HEADBIGRAM
(9,12),(9,11),0.116914 # DEPENDENCYPART_HEADBIGRAM
(9,12),(10,11),0.179612 # DEPENDENCYPART_HEADBIGRAM
(9,12),(13,11),0.0716849 # DEPENDENCYPART_HEADBIGRAM
(9,12),(14,11),0.0742432 # DEPENDENCYPART_HEADBIGRAM
(9,12),(16,11),0.0742418 # DEPENDENCYPART_HEADBIGRAM
(9,12),(18,11),0.0834195 # DEPENDENCYPART_HEADBIGRAM
(9,13),(2,12),-0.0721417 # DEPENDENCYPART_HEADBIGRAM
(9,13),(6,12),-0.0545406 # DEPENDENCYPART_HEADBIGRAM
(9,13),(7,12),-0.0613668 # DEPENDENCYPART_HEADBIGRAM
(9,13),(9,12),0.129662 # DEPENDENCYPART_HEADBIGRAM
(9,13),(10,12),0.0987794 # DEPENDENCYPART_HEADBIGRAM
(9,13),(11,12),0.106405 # DEPENDENCYPART_HEADBIGRAM
(9,13),(13,12),0.122428 # DEPENDENCYPART_HEADBIGRAM
(9,13),(14,12),0.1026 # DEPENDENCYPART_HEADBIGRAM
(9,13),(16,12),0.104013 # DEPENDENCYPART_HEADBIGRAM
(9,13),(18,12),0.114087 # DEPENDENCYPART_HEADBIGRAM
(9,14),(2,13),-0.0886799 # DEPENDENCYPART_HEADBIGRAM
(9,14),(6,13),-0.0538551 # DEPENDENCYPART_HEADBIGRAM
(9,14),(7,13),-0.055613 # DEPENDENCYPART_HEADBIGRAM
(9,14),(9,13),0.176069 # DEPENDENCYPART_HEADBIGRAM
(9,14),(10,13),0.180285 # DEPENDENCYPART_HEADBIGRAM
(9,14),(11,13),0.159527 # DEPENDENCYPART_HEADBIGRAM
(9,14),(12,13),0.160452 # DEPENDENCYPART_HEADBIGRAM
(9,14),(14,13),0.28512 # DEPENDENCYPART_HEADBIGRAM
(9,14),(16,13),0.0982681 # DEPENDENCYPART_HEADBIGRAM
(9,14),(18,13),0.0519848 # DEPENDENCYPART_HEADBIGRAM
(9,15),(6,14),-0.0937986 # DEPENDENCYPART_HEADBIGRAM
(9,15),(7,14),-0.0666938 # DEPENDENCYPART_HEADBIGRAM
(9,15),(9,14),0.159891 # DEPENDENCYPART_HEADBIGRAM
(9,15),(10,14),0.0751055 # DEPENDENCYPART_HEADBIGRAM
(9,15),(11,14),0.127774 # DEPENDENCYPART_HEADBIGRAM
(9,15),(13,14),0.182439 # DEPENDENCYPART_HEADBIGRAM
(9,15),(16,14),0.0372126 # DEPENDENCYPART_HEADBIGRAM
(9,15),(18,14),0.0497414 # DEPENDENCYPART_HEADBIGRAM
(9,15),(19,14),0.0491827 # DEPENDENCYPART_HEADBIGRAM
(9,16),(2,15),-0.0778344 # DEPENDENCYPART_HEADBIGRAM
(9,16),(4,15),-0.0557452 # DEPENDENCYPART_HEADBIGRAM
(9,16),(6,15),-0.0638073 # DEPENDENCYPART_HEADBIGRAM
(9,16),(7,15),-0.0576175 # DEPENDENCYPART_HEADBIGRAM
(9,16),(9,15),0.154778 # DEPENDENCYPART_HEADBIGRAM
(9,16),(11,15),0.178204 # DEPENDENCYPART_HEADBIGRAM
(9,16),(13,15),0.208798 # DEPENDENCYPART_HEADBIGRAM
(9,16),(14,15),0.208798 # DEPENDENCYPART_HEADBIGRAM
(9,16),(16,15),0.162845 # DEPENDENCYPART_HEADBIGRAM
(9,16),(18,15),0.165601 # DEPENDENCYPART_HEADBIGRAM
(9,17),(6,16),-0.0937986 # DEPENDENCYPART_HEADBIGRAM
(9,17),(7,16),-0.0666938 # DEPENDENCYPART_HEADBIGRAM
(9,17),(9,16),0.152278 # DEPENDENCYPART_HEADBIGRAM
(9,17),(10,16),0.0864677 # DEPENDENCYPART_HEADBIGRAM
(9,17),(11,16),0.127774 # DEPENDENCYPART_HEADBIGRAM
(9,17),(13,16),0.124542 # DEPENDENCYPART_HEADBIGRAM
(9,17),(14,16),0.179674 # DEPENDENCYPART_HEADBIGRAM
(9,17),(18,16),0.0377713 # DEPENDENCYPART_HEADBIGRAM
(9,17),(19,16),0.0491827 # DEPENDENCYPART_HEADBIGRAM
(9,18),(2,17),-0.0817792 # DEPENDENCYPART_HEADBIGRAM
(9,18),(6,17),-0.0775343 # DEPENDENCYPART_HEADBIGRAM
(9,18),(7,17),-0.0598803 # DEPENDENCYPART_HEADBIGRAM
(9,18),(9,17),0.0449094 # DEPENDENCYPART_HEADBIGRAM
(9,18),(11,17),0.120835 # DEPENDENCYPART_HEADBIGRAM
(9,18),(13,17),0.127401 # DEPENDENCYPART_HEADBIGRAM
(9,18),(14,17),0.127395 # DEPENDENCYPART_HEADBIGRAM
(9,18),(16,17),0.0974534 # DEPENDENCYPART_HEADBIGRAM
(9,18),(18,17),0.181518 # DEPENDENCYPART_HEADBIGRAM
(9,18),(19,17),0.0810563 # DEPENDENCYPART_HEADBIGRAM
(9,19),(0,18),-0.00545414 # DEPENDENCYPART_HEADBIGRAM
(9,19),(2,18),0.00130066 # DEPENDENCYPART_HEADBIGRAM
(9,19),(4,18),-0.0663445 # DEPENDENCYPART_HEADBIGRAM
(9,19),(6,18),-0.025317 # DEPENDENCYPART_HEADBIGRAM
(9,19),(7,18),0.0106941 # DEPENDENCYPART_HEADBIGRAM
(9,19),(9,18),0.0240149 # DEPENDENCYPART_HEADBIGRAM
(9,19),(10,18),0.176016 # DEPENDENCYPART_HEADBIGRAM
(9,19),(11,18),0.150289 # DEPENDENCYPART_HEADBIGRAM
(9,19),(14,18),0.142784 # DEPENDENCYPART_HEADBIGRAM
(9,19),(16,18),0.143739 # DEPENDENCYPART_HEADBIGRAM
(9,20),(6,19),-0.0481912 # DEPENDENCYPART_HEADBIGRAM
(9,20),(7,19),-0.0676376 # DEPENDENCYPART_HEADBIGRAM
(9,20),(9,19),0.0919048 # DEPENDENCYPART_HEADBIGRAM
(9,20),(10,19),0.125515 # DEPENDENCYPART_HEADBIGRAM
(9,20),(11,19),0.185749 # DEPENDENCYPART_HEADBIGRAM
(9,20),(13,19),0.18728 # DEPENDENCYPART_HEADBIGRAM
(9,20),(14,19),0.129923 # DEPENDENCYPART_HEADBIGRAM
(9,20),(16,19),0.129961 # DEPENDENCYPART_HEADBIGRAM
(9,20),(18,19),0.17481 # DEPENDENCYPART_HEADBIGRAM
(10,6),(2,5),-0.151487 # DEPENDENCYPART_HEADBIGRAM
(10,6),(3,5),-0.14678 # DEPENDENCYPART_HEADBIGRAM
(10,6),(4,5),-0.149291 # DEPENDENCYPART_HEADBIGRAM
(10,6),(6,5),-0.108811 # DEPENDENCYPART_HEADBIGRAM
(10,6),(7,5),-0.141676 # DEPENDENCYPART_HEADBIGRAM
(10,6),(9,5),-0.138863 # DEPENDENCYPART_HEADBIGRAM
(10,6),(14,5),0.0636419 # DEPENDENCYPART_HEADBIGRAM
(10,6),(18,5),0.142323 # DEPENDENCYPART_HEADBIGRAM
(10,8),(2,7),-0.113623 # DEPENDENCYPART_HEADBIGRAM
(10,8),(3,7),-0.0957362 # DEPENDENCYPART_HEADBIGRAM
(10,8),(4,7),-0.0969938 # DEPENDENCYPART_HEADBIGRAM
(10,8),(5,7),-0.0891226 # DEPENDENCYPART_HEADBIGRAM
(10,8),(6,7),-0.0914248 # DEPENDENCYPART_HEADBIGRAM
(10,8),(9,7),-0.127891 # DEPENDENCYPART_HEADBIGRAM
(10,8),(11,7),0.160083 # DEPENDENCYPART_HEADBIGRAM
(10,8),(12,7),0.162054 # DEPENDENCYPART_HEADBIGRAM
(10,8),(14,7),0.0763679 # DEPENDENCYPART_HEADBIGRAM
(10,8),(18,7),0.117701 # DEPENDENCYPART_HEADBIGRAM
(10,9),(7,8),-0.153937 # DEPENDENCYPART_HEADBIGRAM
(10,9),(9,8),-0.0458989 # DEPENDENCYPART_HEADBIGRAM
(10,9),(10,8),0.152303 # DEPENDENCYPART_HEADBIGRAM
(10,9),(11,8),0.0394988 # DEPENDENCYPART_HEADBIGRAM
(10,9),(14,8),0.016699 # DEPENDENCYPART_HEADBIGRAM
(10,9),(16,8),0.016699 # DEPENDENCYPART_HEADBIGRAM
(10,9),(18,8),0.0712504 # DEPENDENCYPART_HEADBIGRAM
(10,11),(2,10),-0.0358685 # DEPENDENCYPART_HEADBIGRAM
(10,11),(4,10),-0.125663 # DEPENDENCYPART_HEADBIGRAM
(10,11),(6,10),0.21526 # DEPENDENCYPART_HEADBIGRAM
(10,11),(7,10),0.0931432 # DEPENDENCYPART_HEADBIGRAM
(10,11),(8,10),-0.0280454 # DEPENDENCYPART_HEADBIGRAM
(10,11),(9,10),0.217137 # DEPENDENCYPART_HEADBIGRAM
(10,11),(11,10),-0.0376209 # DEPENDENCYPART_HEADBIGRAM
(10,11),(12,10),0.113195 # DEPENDENCYPART_HEADBIGRAM
(10,11),(14,10),0.18739 # DEPENDENCYPART_HEADBIGRAM
(10,11),(18,10),0.225959 # DEPENDENCYPART_HEADBIGRAM
(10,12),(2,11),-0.0633993 # DEPENDENCYPART_HEADBIGRAM
(10,12),(6,11),-0.0655632 # DEPENDENCYPART_HEADBIGRAM
(10,12),(7,11),-0.0300746 # DEPENDENCYPART_HEADBIGRAM
(10,12),(9,11),-0.0658083 # DEPENDENCYPART_HEADBIGRAM
(10,12),(10,11),0.0686612 # DEPENDENCYPART_HEADBIGRAM
(10,12),(13,11),0.0852522 # DEPENDENCYPART_HEADBIGRAM
(10,12),(14,11),0.0850912 # DEPENDENCYPART_HEADBIGRAM
(10,12),(16,11),0.0850912 # DEPENDENCYPART_HEADBIGRAM
(10,12),(18,11),0.0993332 # DEPENDENCYPART_HEADBIGRAM
(10,13),(2,12),-0.0804866 # DEPENDENCYPART_HEADBIGRAM
(10,13),(6,12),-0.0695495 # DEPENDENCYPART_HEADBIGRAM
(10,13),(7,12),-0.0620511 # DEPENDENCYPART_HEADBIGRAM
(10,13),(9,12),-0.0688078 # DEPENDENCYPART_HEADBIGRAM
(10,13),(10,12),0.0884676 # DEPENDENCYPART_HEADBIGRAM
(10,13),(11,12),0.0885585 # DEPENDENCYPART_HEADBIGRAM
(10,13),(13,12),0.0700266 # DEPENDENCYPART_HEADBIGRAM
(10,13),(14,12),0.0894231 # DEPENDENCYPART_HEADBIGRAM
(10,13),(16,12),0.0908355 # DEPENDENCYPART_HEADBIGRAM
(10,13),(18,12),0.106327 # DEPENDENCYPART_HEADBIGRAM
(10,14),(2,13),-0.0720169 # DEPENDENCYPART_HEADBIGRAM
(10,14),(6,13),-0.0630247 # DEPENDENCYPART_HEADBIGRAM
(10,14),(7,13),-0.103385 # DEPENDENCYPART_HEADBIGRAM
(10,14),(9,13),-0.0671713 # DEPENDENCYPART_HEADBIGRAM
(10,14),(10,13),0.0281492 # DEPENDENCYPART_HEADBIGRAM
(10,14),(11,13),0.150736 # DEPENDENCYPART_HEADBIGRAM
(10,14),(12,13),0.160948 # DEPENDENCYPART_HEADBIGRAM
(10,14),(14,13),0.363481 # DEPENDENCYPART_HEADBIGRAM
(10,14),(16,13),0.0889902 # DEPENDENCYPART_HEADBIGRAM
(10,14),(18,13),0.0786374 # DEPENDENCYPART_HEADBIGRAM
(10,16),(2,15),-0.0632277 # DEPENDENCYPART_HEADBIGRAM
(10,16),(4,15),-0.0563999 # DEPENDENCYPART_HEADBIGRAM
(10,16),(6,15),-0.0565465 # DEPENDENCYPART_HEADBIGRAM
(10,16),(7,15),-0.0414964 # DEPENDENCYPART_HEADBIGRAM
(10,16),(9,15),-0.0565465 # DEPENDENCYPART_HEADBIGRAM
(10,16),(11,15),0.202552 # DEPENDENCYPART_HEADBIGRAM
(10,16),(13,15),0.233144 # DEPENDENCYPART_HEADBIGRAM
(10,16),(14,15),0.233144 # DEPENDENCYPART_HEADBIGRAM
(10,16),(16,15),0.016842 # DEPENDENCYPART_HEADBIGRAM
(10,16),(18,15),0.0845364 # DEPENDENCYPART_HEADBIGRAM
(10,18),(2,17),-0.0723917 # DEPENDENCYPART_HEADBIGRAM
(10,18),(6,17),-0.106227 # DEPENDENCYPART_HEADBIGRAM
(10,18),(7,17),-0.0583123 # DEPENDENCYPART_HEADBIGRAM
(10,18),(9,17),-0.103757 # DEPENDENCYPART_HEADBIGRAM
(10,18),(11,17),0.0894251 # DEPENDENCYPART_HEADBIGRAM
(10,18),(13,17),0.0960961 # DEPENDENCYPART_HEADBIGRAM
(10,18),(14,17),0.0957513 # DEPENDENCYPART_HEADBIGRAM
(10,18),(16,17),0.0661481 # DEPENDENCYPART_HEADBIGRAM
(10,18),(18,17),0.0909315 # DEPENDENCYPART_HEADBIGRAM
(10,18),(19,17),0.072493 # DEPENDENCYPART_HEADBIGRAM
(10,19),(0,18),-0.0948682 # DEPENDENCYPART_HEADBIGRAM
(10,19),(2,18),-0.0798871 # DEPENDENCYPART_HEADBIGRAM
(10,19),(4,18),-0.0585388 # DEPENDENCYPART_HEADBIGRAM
(10,19),(6,18),-0.0675819 # DEPENDENCYPART_HEADBIGRAM
(10,19),(7,18),-0.0592938 # DEPENDENCYPART_HEADBIGRAM
(10,19),(9,18),-0.0598159 # DEPENDENCYPART_HEADBIGRAM
(10,19),(10,18),0.0976263 # DEPENDENCYPART_HEADBIGRAM
(10,19),(11,18),0.103949 # DEPENDENCYPART_HEADBIGRAM
(10,19),(14,18),0.103414 # DEPENDENCYPART_HEADBIGRAM
(10,19),(16,18),0.104369 # DEPENDENCYPART_HEADBIGRAM
(11,7),(0,6),-0.132452 # DEPENDENCYPART_HEADBIGRAM
(11,7),(2,6),-0.126222 # DEPENDENCYPART_HEADBIGRAM
