# _root_ George M. Salem , analyst at Prudential-Bache Securities Inc. , called the results `` mildly disappointing . ''
#goldHeads=3,3,11,3,3,5,8,6,8,3,0,13,11,16,16,11,11,11,
#predictedHeads=3,3,11,3,3,5,8,6,8,3,0,13,11,16,16,11,11,11,
(2,9),(9,7),-0.659683 # DEPENDENCYPART_GRANDPAR
(2,9),(9,8),-0.290355 # DEPENDENCYPART_GRANDPAR
(2,9),(9,10),-0.434492 # DEPENDENCYPART_GRANDPAR
(2,9),(9,11),-0.491185 # DEPENDENCYPART_GRANDPAR
(2,9),(9,13),-0.59275 # DEPENDENCYPART_GRANDPAR
(2,11),(11,1),-0.906034 # DEPENDENCYPART_GRANDPAR
(2,11),(11,2),-0.876247 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,11),(11,3),-0.0934491 # DEPENDENCYPART_GRANDPAR
(2,11),(11,4),-0.686283 # DEPENDENCYPART_GRANDPAR
(2,11),(11,5),-0.149483 # DEPENDENCYPART_GRANDPAR
(2,11),(11,6),0.465202 # DEPENDENCYPART_GRANDPAR
(2,11),(11,7),-0.534818 # DEPENDENCYPART_GRANDPAR
(2,11),(11,8),-0.178157 # DEPENDENCYPART_GRANDPAR
(2,11),(11,9),-0.728179 # DEPENDENCYPART_GRANDPAR
(2,11),(11,10),-0.469372 # DEPENDENCYPART_GRANDPAR
(2,11),(11,12),-0.822612 # DEPENDENCYPART_GRANDPAR
(2,11),(11,13),-0.285447 # DEPENDENCYPART_GRANDPAR
(2,11),(11,14),-0.592713 # DEPENDENCYPART_GRANDPAR
(2,11),(11,15),-0.409274 # DEPENDENCYPART_GRANDPAR
(2,11),(11,16),-0.307917 # DEPENDENCYPART_GRANDPAR
(2,11),(11,17),-1.09367 # DEPENDENCYPART_GRANDPAR
(2,11),(11,18),-0.560218 # DEPENDENCYPART_GRANDPAR
(2,13),(13,3),-0.107179 # DEPENDENCYPART_GRANDPAR
(2,13),(13,6),0.440431 # DEPENDENCYPART_GRANDPAR
(2,13),(13,8),-0.174306 # DEPENDENCYPART_GRANDPAR
(2,13),(13,12),-0.62747 # DEPENDENCYPART_GRANDPAR
(2,13),(13,14),-0.589727 # DEPENDENCYPART_GRANDPAR
(2,13),(13,15),-0.418864 # DEPENDENCYPART_GRANDPAR
(2,13),(13,16),-0.365823 # DEPENDENCYPART_GRANDPAR
(2,13),(13,17),-0.869258 # DEPENDENCYPART_GRANDPAR
(2,13),(13,18),-0.457458 # DEPENDENCYPART_GRANDPAR
(2,14),(14,3),-0.121598 # DEPENDENCYPART_GRANDPAR
(2,14),(14,12),-0.80862 # DEPENDENCYPART_GRANDPAR
(2,14),(14,13),-0.45088 # DEPENDENCYPART_GRANDPAR
(2,14),(14,15),-0.478187 # DEPENDENCYPART_GRANDPAR
(2,16),(16,2),-0.901303 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,16),(16,3),-0.123701 # DEPENDENCYPART_GRANDPAR
(2,16),(16,5),-0.05513 # DEPENDENCYPART_GRANDPAR
(2,16),(16,6),0.286475 # DEPENDENCYPART_GRANDPAR
(2,16),(16,8),-0.217738 # DEPENDENCYPART_GRANDPAR
(2,16),(16,10),-0.403054 # DEPENDENCYPART_GRANDPAR
(2,16),(16,12),-0.681786 # DEPENDENCYPART_GRANDPAR
(2,16),(16,13),-0.360633 # DEPENDENCYPART_GRANDPAR
(2,16),(16,14),-0.718878 # DEPENDENCYPART_GRANDPAR
(2,16),(16,15),-0.362228 # DEPENDENCYPART_GRANDPAR
(2,16),(16,17),-0.931732 # DEPENDENCYPART_GRANDPAR
(2,16),(16,18),-0.528883 # DEPENDENCYPART_GRANDPAR
(2,17),(17,14),-0.735306 # DEPENDENCYPART_GRANDPAR
(2,17),(17,15),-0.526927 # DEPENDENCYPART_GRANDPAR
(2,17),(17,16),-0.566058 # DEPENDENCYPART_GRANDPAR
(2,17),(17,18),-0.698665 # DEPENDENCYPART_GRANDPAR
(2,18),(18,15),-0.458715 # DEPENDENCYPART_GRANDPAR
(2,18),(18,16),-0.51903 # DEPENDENCYPART_GRANDPAR
(2,18),(18,17),-1.10641 # DEPENDENCYPART_GRANDPAR
(3,1),(1,2),-0.33763 # DEPENDENCYPART_GRANDPAR
(3,1),(1,3),-1.30922 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,1),(1,4),-1.02413 # DEPENDENCYPART_GRANDPAR
(3,1),(1,5),-0.565073 # DEPENDENCYPART_GRANDPAR
(3,1),(1,6),0.0159234 # DEPENDENCYPART_GRANDPAR
(3,1),(1,8),-0.636135 # DEPENDENCYPART_GRANDPAR
(3,1),(1,10),-0.901489 # DEPENDENCYPART_GRANDPAR
(3,2),(2,1),-0.499678 # DEPENDENCYPART_GRANDPAR
(3,2),(2,3),-1.30916 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,2),(2,4),-1.02408 # DEPENDENCYPART_GRANDPAR
(3,2),(2,5),-0.565018 # DEPENDENCYPART_GRANDPAR
(3,2),(2,6),0.0152364 # DEPENDENCYPART_GRANDPAR
(3,2),(2,7),-0.974432 # DEPENDENCYPART_GRANDPAR
(3,2),(2,8),-0.636074 # DEPENDENCYPART_GRANDPAR
(3,2),(2,9),-0.810847 # DEPENDENCYPART_GRANDPAR
(3,2),(2,10),-0.90144 # DEPENDENCYPART_GRANDPAR
(3,2),(2,11),-0.697661 # DEPENDENCYPART_GRANDPAR
(3,2),(2,13),-0.76893 # DEPENDENCYPART_GRANDPAR
(3,2),(2,14),-1.02123 # DEPENDENCYPART_GRANDPAR
(3,2),(2,16),-0.878948 # DEPENDENCYPART_GRANDPAR
(3,2),(2,17),-1.22517 # DEPENDENCYPART_GRANDPAR
(3,2),(2,18),-0.941617 # DEPENDENCYPART_GRANDPAR
(3,4),(4,5),-0.0539389 # DEPENDENCYPART_GRANDPAR
(3,5),(5,1),-1.21791 # DEPENDENCYPART_GRANDPAR
(3,5),(5,2),-1.12369 # DEPENDENCYPART_GRANDPAR
(3,5),(5,3),-0.510595 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,5),(5,4),-0.219069 # DEPENDENCYPART_GRANDPAR
(3,5),(5,6),0.819804 # DEPENDENCYPART_GRANDPAR
(3,5),(5,7),-0.322175 # DEPENDENCYPART_GRANDPAR
(3,5),(5,8),-0.00803496 # DEPENDENCYPART_GRANDPAR
(3,5),(5,9),-0.172323 # DEPENDENCYPART_GRANDPAR
(3,5),(5,10),-0.192823 # DEPENDENCYPART_GRANDPAR
(3,5),(5,11),0.0498669 # DEPENDENCYPART_GRANDPAR
(3,5),(5,13),-0.122954 # DEPENDENCYPART_GRANDPAR
(3,5),(5,14),-0.399757 # DEPENDENCYPART_GRANDPAR
(3,5),(5,15),-0.284513 # DEPENDENCYPART_GRANDPAR
(3,5),(5,16),-0.263098 # DEPENDENCYPART_GRANDPAR
(3,5),(5,17),-0.47118 # DEPENDENCYPART_GRANDPAR
(3,5),(5,18),-0.259926 # DEPENDENCYPART_GRANDPAR
(3,6),(6,4),-0.217609 # DEPENDENCYPART_GRANDPAR
(3,6),(6,5),0.275356 # DEPENDENCYPART_GRANDPAR
(3,6),(6,7),-0.134124 # DEPENDENCYPART_GRANDPAR
(3,6),(6,8),0.208673 # DEPENDENCYPART_GRANDPAR
(3,6),(6,9),-0.0817862 # DEPENDENCYPART_GRANDPAR
(3,6),(6,10),-0.192695 # DEPENDENCYPART_GRANDPAR
(3,6),(6,11),-0.384317 # DEPENDENCYPART_GRANDPAR
(3,6),(6,13),-0.242223 # DEPENDENCYPART_GRANDPAR
(3,6),(6,14),-0.445892 # DEPENDENCYPART_GRANDPAR
(3,6),(6,15),-0.391253 # DEPENDENCYPART_GRANDPAR
(3,6),(6,16),-0.230969 # DEPENDENCYPART_GRANDPAR
(3,6),(6,17),-0.755442 # DEPENDENCYPART_GRANDPAR
(3,6),(6,18),-0.351643 # DEPENDENCYPART_GRANDPAR
(3,7),(7,8),0.0844464 # DEPENDENCYPART_GRANDPAR
(3,7),(7,9),0.115043 # DEPENDENCYPART_GRANDPAR
(3,7),(7,10),-0.0517196 # DEPENDENCYPART_GRANDPAR
(3,8),(8,1),-1.26106 # DEPENDENCYPART_GRANDPAR
(3,8),(8,2),-1.16683 # DEPENDENCYPART_GRANDPAR
(3,8),(8,3),-0.447875 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,8),(8,4),-0.386158 # DEPENDENCYPART_GRANDPAR
(3,8),(8,5),0.0551699 # DEPENDENCYPART_GRANDPAR
(3,8),(8,6),0.660218 # DEPENDENCYPART_GRANDPAR
(3,8),(8,7),-0.110822 # DEPENDENCYPART_GRANDPAR
(3,8),(8,9),0.103402 # DEPENDENCYPART_GRANDPAR
(3,8),(8,10),-0.0227895 # DEPENDENCYPART_GRANDPAR
(3,8),(8,11),-0.212978 # DEPENDENCYPART_GRANDPAR
(3,8),(8,12),-0.871805 # DEPENDENCYPART_GRANDPAR
(3,8),(8,13),-0.251631 # DEPENDENCYPART_GRANDPAR
(3,8),(8,14),-0.443285 # DEPENDENCYPART_GRANDPAR
(3,8),(8,15),-0.450297 # DEPENDENCYPART_GRANDPAR
(3,8),(8,16),-0.443789 # DEPENDENCYPART_GRANDPAR
(3,8),(8,17),-0.444605 # DEPENDENCYPART_GRANDPAR
(3,8),(8,18),-0.368224 # DEPENDENCYPART_GRANDPAR
(3,9),(9,2),-1.16421 # DEPENDENCYPART_GRANDPAR
(3,9),(9,3),-0.816472 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,9),(9,4),-0.484306 # DEPENDENCYPART_GRANDPAR
(3,9),(9,5),0.0484393 # DEPENDENCYPART_GRANDPAR
(3,9),(9,6),0.611184 # DEPENDENCYPART_GRANDPAR
(3,9),(9,7),-0.505543 # DEPENDENCYPART_GRANDPAR
(3,9),(9,8),-0.139 # DEPENDENCYPART_GRANDPAR
(3,9),(9,10),-0.259776 # DEPENDENCYPART_GRANDPAR
(3,9),(9,11),-0.289068 # DEPENDENCYPART_GRANDPAR
(3,9),(9,13),-0.30217 # DEPENDENCYPART_GRANDPAR
(3,11),(11,1),-1.10386 # DEPENDENCYPART_GRANDPAR
(3,11),(11,2),-1.00964 # DEPENDENCYPART_GRANDPAR
(3,11),(11,3),-0.714253 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,11),(11,4),-0.428568 # DEPENDENCYPART_GRANDPAR
(3,11),(11,5),0.0953065 # DEPENDENCYPART_GRANDPAR
(3,11),(11,6),0.748542 # DEPENDENCYPART_GRANDPAR
(3,11),(11,7),-0.380716 # DEPENDENCYPART_GRANDPAR
(3,11),(11,8),-0.0268393 # DEPENDENCYPART_GRANDPAR
(3,11),(11,9),-0.343237 # DEPENDENCYPART_GRANDPAR
(3,11),(11,10),-0.305928 # DEPENDENCYPART_GRANDPAR
(3,11),(11,12),-0.805049 # DEPENDENCYPART_GRANDPAR
(3,11),(11,13),0.000932106 # DEPENDENCYPART_GRANDPAR
(3,11),(11,14),-0.411105 # DEPENDENCYPART_GRANDPAR
(3,11),(11,15),-0.257801 # DEPENDENCYPART_GRANDPAR
(3,11),(11,16),-0.162251 # DEPENDENCYPART_GRANDPAR
(3,11),(11,17),-0.758224 # DEPENDENCYPART_GRANDPAR
(3,11),(11,18),-0.325917 # DEPENDENCYPART_GRANDPAR
(3,13),(13,3),-0.727985 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,13),(13,6),0.723769 # DEPENDENCYPART_GRANDPAR
(3,13),(13,8),-0.0229906 # DEPENDENCYPART_GRANDPAR
(3,13),(13,12),-0.61034 # DEPENDENCYPART_GRANDPAR
(3,13),(13,14),-0.408119 # DEPENDENCYPART_GRANDPAR
(3,13),(13,15),-0.267392 # DEPENDENCYPART_GRANDPAR
(3,13),(13,16),-0.220157 # DEPENDENCYPART_GRANDPAR
(3,13),(13,17),-0.533809 # DEPENDENCYPART_GRANDPAR
(3,13),(13,18),-0.223156 # DEPENDENCYPART_GRANDPAR
(3,14),(14,3),-0.742404 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,14),(14,12),-0.791491 # DEPENDENCYPART_GRANDPAR
(3,14),(14,13),-0.164502 # DEPENDENCYPART_GRANDPAR
(3,14),(14,15),-0.326715 # DEPENDENCYPART_GRANDPAR
(3,15),(15,6),0.703299 # DEPENDENCYPART_GRANDPAR
(3,15),(15,13),-0.151955 # DEPENDENCYPART_GRANDPAR
(3,15),(15,14),-0.576611 # DEPENDENCYPART_GRANDPAR
(3,15),(15,16),-0.31298 # DEPENDENCYPART_GRANDPAR
(3,15),(15,17),-0.667888 # DEPENDENCYPART_GRANDPAR
(3,15),(15,18),-0.309111 # DEPENDENCYPART_GRANDPAR
(3,16),(16,2),-1.0316 # DEPENDENCYPART_GRANDPAR
(3,16),(16,3),-0.744507 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,16),(16,5),0.189657 # DEPENDENCYPART_GRANDPAR
(3,16),(16,6),0.569812 # DEPENDENCYPART_GRANDPAR
(3,16),(16,8),-0.0664228 # DEPENDENCYPART_GRANDPAR
(3,16),(16,10),-0.239612 # DEPENDENCYPART_GRANDPAR
(3,16),(16,12),-0.664657 # DEPENDENCYPART_GRANDPAR
(3,16),(16,13),-0.0742554 # DEPENDENCYPART_GRANDPAR
(3,16),(16,14),-0.53727 # DEPENDENCYPART_GRANDPAR
(3,16),(16,15),-0.210694 # DEPENDENCYPART_GRANDPAR
(3,16),(16,17),-0.596282 # DEPENDENCYPART_GRANDPAR
(3,16),(16,18),-0.294581 # DEPENDENCYPART_GRANDPAR
(3,17),(17,14),-0.553697 # DEPENDENCYPART_GRANDPAR
(3,17),(17,15),-0.375393 # DEPENDENCYPART_GRANDPAR
(3,17),(17,16),-0.419534 # DEPENDENCYPART_GRANDPAR
(3,17),(17,18),-0.464363 # DEPENDENCYPART_GRANDPAR
(3,18),(18,15),-0.307182 # DEPENDENCYPART_GRANDPAR
(3,18),(18,16),-0.372506 # DEPENDENCYPART_GRANDPAR
(3,18),(18,17),-0.771851 # DEPENDENCYPART_GRANDPAR
(4,5),(5,1),-0.885755 # DEPENDENCYPART_GRANDPAR
(4,5),(5,2),-0.928357 # DEPENDENCYPART_GRANDPAR
(4,5),(5,3),-0.844462 # DEPENDENCYPART_GRANDPAR
(4,5),(5,4),-1.34392 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(4,5),(5,6),-0.47743 # DEPENDENCYPART_GRANDPAR
(4,5),(5,7),-0.428045 # DEPENDENCYPART_GRANDPAR
(4,5),(5,8),-0.449678 # DEPENDENCYPART_GRANDPAR
(4,5),(5,9),-0.522197 # DEPENDENCYPART_GRANDPAR
(4,5),(5,10),-0.385055 # DEPENDENCYPART_GRANDPAR
(4,5),(5,11),-0.2723 # DEPENDENCYPART_GRANDPAR
(4,5),(5,13),-0.555359 # DEPENDENCYPART_GRANDPAR
(4,5),(5,14),-0.657318 # DEPENDENCYPART_GRANDPAR
(4,5),(5,15),-0.556523 # DEPENDENCYPART_GRANDPAR
(4,5),(5,16),-0.788102 # DEPENDENCYPART_GRANDPAR
(4,5),(5,17),-0.46651 # DEPENDENCYPART_GRANDPAR
(4,5),(5,18),-0.535492 # DEPENDENCYPART_GRANDPAR
(5,1),(1,2),-0.0328076 # DEPENDENCYPART_GRANDPAR
(5,1),(1,3),0.260224 # DEPENDENCYPART_GRANDPAR
(5,1),(1,4),0.123183 # DEPENDENCYPART_GRANDPAR
(5,1),(1,5),-1.2169 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,1),(1,6),-0.525329 # DEPENDENCYPART_GRANDPAR
(5,1),(1,8),-0.668661 # DEPENDENCYPART_GRANDPAR
(5,1),(1,10),-1.1161 # DEPENDENCYPART_GRANDPAR
(5,2),(2,1),-0.153643 # DEPENDENCYPART_GRANDPAR
(5,2),(2,3),0.257039 # DEPENDENCYPART_GRANDPAR
(5,2),(2,4),0.119174 # DEPENDENCYPART_GRANDPAR
(5,2),(2,5),-1.2169 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,2),(2,6),-0.525697 # DEPENDENCYPART_GRANDPAR
(5,2),(2,7),-0.765435 # DEPENDENCYPART_GRANDPAR
(5,2),(2,8),-0.668656 # DEPENDENCYPART_GRANDPAR
(5,2),(2,9),-0.8536 # DEPENDENCYPART_GRANDPAR
(5,2),(2,10),-1.1161 # DEPENDENCYPART_GRANDPAR
(5,2),(2,11),-0.893461 # DEPENDENCYPART_GRANDPAR
(5,2),(2,13),-0.732556 # DEPENDENCYPART_GRANDPAR
(5,2),(2,14),-0.857292 # DEPENDENCYPART_GRANDPAR
(5,2),(2,16),-0.870686 # DEPENDENCYPART_GRANDPAR
(5,2),(2,17),-1.02524 # DEPENDENCYPART_GRANDPAR
(5,2),(2,18),-0.756297 # DEPENDENCYPART_GRANDPAR
(5,3),(3,1),-0.142627 # DEPENDENCYPART_GRANDPAR
(5,3),(3,2),-0.0478396 # DEPENDENCYPART_GRANDPAR
(5,3),(3,4),0.123663 # DEPENDENCYPART_GRANDPAR
(5,3),(3,5),-1.2169 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,3),(3,6),-0.525329 # DEPENDENCYPART_GRANDPAR
(5,3),(3,7),-0.765434 # DEPENDENCYPART_GRANDPAR
(5,3),(3,8),-0.668656 # DEPENDENCYPART_GRANDPAR
(5,3),(3,9),-0.853599 # DEPENDENCYPART_GRANDPAR
(5,3),(3,10),-1.1161 # DEPENDENCYPART_GRANDPAR
(5,3),(3,11),-0.893461 # DEPENDENCYPART_GRANDPAR
(5,3),(3,13),-0.732556 # DEPENDENCYPART_GRANDPAR
(5,3),(3,14),-0.857292 # DEPENDENCYPART_GRANDPAR
(5,3),(3,15),-0.783945 # DEPENDENCYPART_GRANDPAR
(5,3),(3,16),-0.870686 # DEPENDENCYPART_GRANDPAR
(5,3),(3,17),-1.02524 # DEPENDENCYPART_GRANDPAR
(5,3),(3,18),-0.756297 # DEPENDENCYPART_GRANDPAR
(5,4),(4,5),-1.12672 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,6),(6,4),-0.45378 # DEPENDENCYPART_GRANDPAR
(5,6),(6,5),-0.552443 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,6),(6,7),0.0971899 # DEPENDENCYPART_GRANDPAR
(5,6),(6,8),0.275038 # DEPENDENCYPART_GRANDPAR
(5,6),(6,9),-0.14502 # DEPENDENCYPART_GRANDPAR
(5,6),(6,10),-0.422025 # DEPENDENCYPART_GRANDPAR
(5,6),(6,11),-0.568855 # DEPENDENCYPART_GRANDPAR
(5,6),(6,13),-0.0736244 # DEPENDENCYPART_GRANDPAR
(5,6),(6,14),-0.372413 # DEPENDENCYPART_GRANDPAR
(5,6),(6,15),-0.329796 # DEPENDENCYPART_GRANDPAR
(5,6),(6,16),-0.251829 # DEPENDENCYPART_GRANDPAR
(5,6),(6,17),-0.736482 # DEPENDENCYPART_GRANDPAR
(5,6),(6,18),-0.222769 # DEPENDENCYPART_GRANDPAR
(5,7),(7,8),0.0393309 # DEPENDENCYPART_GRANDPAR
(5,7),(7,9),0.0417652 # DEPENDENCYPART_GRANDPAR
(5,7),(7,10),-0.26634 # DEPENDENCYPART_GRANDPAR
(5,8),(8,1),-0.89241 # DEPENDENCYPART_GRANDPAR
(5,8),(8,2),-0.784989 # DEPENDENCYPART_GRANDPAR
(5,8),(8,3),-0.45899 # DEPENDENCYPART_GRANDPAR
(5,8),(8,4),-0.607692 # DEPENDENCYPART_GRANDPAR
(5,8),(8,5),-0.70133 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,8),(8,6),0.122774 # DEPENDENCYPART_GRANDPAR
(5,8),(8,7),-0.0137809 # DEPENDENCYPART_GRANDPAR
(5,8),(8,9),0.0185008 # DEPENDENCYPART_GRANDPAR
(5,8),(8,10),-0.260375 # DEPENDENCYPART_GRANDPAR
(5,8),(8,11),-0.472173 # DEPENDENCYPART_GRANDPAR
(5,8),(8,12),-0.489927 # DEPENDENCYPART_GRANDPAR
(5,8),(8,13),-0.228671 # DEPENDENCYPART_GRANDPAR
(5,8),(8,14),-0.380942 # DEPENDENCYPART_GRANDPAR
(5,8),(8,15),-0.4374 # DEPENDENCYPART_GRANDPAR
(5,8),(8,16),-0.420681 # DEPENDENCYPART_GRANDPAR
(5,8),(8,17),-0.566879 # DEPENDENCYPART_GRANDPAR
(5,8),(8,18),-0.338826 # DEPENDENCYPART_GRANDPAR
(5,9),(9,2),-0.78294 # DEPENDENCYPART_GRANDPAR
(5,9),(9,3),-0.456941 # DEPENDENCYPART_GRANDPAR
(5,9),(9,4),-0.607601 # DEPENDENCYPART_GRANDPAR
(5,9),(9,5),-0.651553 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,9),(9,6),0.138525 # DEPENDENCYPART_GRANDPAR
(5,9),(9,7),-0.317003 # DEPENDENCYPART_GRANDPAR
(5,9),(9,8),-0.225198 # DEPENDENCYPART_GRANDPAR
(5,9),(9,10),-0.205359 # DEPENDENCYPART_GRANDPAR
(5,9),(9,11),-0.33961 # DEPENDENCYPART_GRANDPAR
(5,9),(9,13),-0.0722152 # DEPENDENCYPART_GRANDPAR
(5,11),(11,1),-0.811248 # DEPENDENCYPART_GRANDPAR
(5,11),(11,2),-0.703826 # DEPENDENCYPART_GRANDPAR
(5,11),(11,3),-0.377828 # DEPENDENCYPART_GRANDPAR
(5,11),(11,4),-0.43234 # DEPENDENCYPART_GRANDPAR
(5,11),(11,5),-0.562446 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,11),(11,6),0.331426 # DEPENDENCYPART_GRANDPAR
(5,11),(11,7),-0.150479 # DEPENDENCYPART_GRANDPAR
(5,11),(11,8),-0.0826301 # DEPENDENCYPART_GRANDPAR
(5,11),(11,9),-0.3518 # DEPENDENCYPART_GRANDPAR
(5,11),(11,10),-0.402653 # DEPENDENCYPART_GRANDPAR
(5,11),(11,12),-0.459195 # DEPENDENCYPART_GRANDPAR
(5,11),(11,13),0.00229126 # DEPENDENCYPART_GRANDPAR
(5,11),(11,14),-0.378695 # DEPENDENCYPART_GRANDPAR
(5,11),(11,15),-0.209232 # DEPENDENCYPART_GRANDPAR
(5,11),(11,16),-0.26007 # DEPENDENCYPART_GRANDPAR
(5,11),(11,17),-0.78636 # DEPENDENCYPART_GRANDPAR
(5,11),(11,18),-0.26095 # DEPENDENCYPART_GRANDPAR
(5,13),(13,3),-0.445877 # DEPENDENCYPART_GRANDPAR
(5,13),(13,6),0.224201 # DEPENDENCYPART_GRANDPAR
(5,13),(13,8),-0.152978 # DEPENDENCYPART_GRANDPAR
(5,13),(13,12),-0.375563 # DEPENDENCYPART_GRANDPAR
(5,13),(13,14),-0.380402 # DEPENDENCYPART_GRANDPAR
(5,13),(13,15),-0.281239 # DEPENDENCYPART_GRANDPAR
(5,13),(13,16),-0.349662 # DEPENDENCYPART_GRANDPAR
(5,13),(13,17),-0.609234 # DEPENDENCYPART_GRANDPAR
(5,13),(13,18),-0.208253 # DEPENDENCYPART_GRANDPAR
(5,14),(14,3),-0.370321 # DEPENDENCYPART_GRANDPAR
(5,14),(14,12),-0.49349 # DEPENDENCYPART_GRANDPAR
(5,14),(14,13),-0.24109 # DEPENDENCYPART_GRANDPAR
(5,14),(14,15),-0.275923 # DEPENDENCYPART_GRANDPAR
(5,15),(15,6),0.243762 # DEPENDENCYPART_GRANDPAR
(5,15),(15,13),-0.110409 # DEPENDENCYPART_GRANDPAR
(5,15),(15,14),-0.350517 # DEPENDENCYPART_GRANDPAR
(5,15),(15,16),-0.322928 # DEPENDENCYPART_GRANDPAR
(5,15),(15,17),-0.635068 # DEPENDENCYPART_GRANDPAR
(5,15),(15,18),-0.16774 # DEPENDENCYPART_GRANDPAR
(5,16),(16,2),-0.75818 # DEPENDENCYPART_GRANDPAR
(5,16),(16,3),-0.432181 # DEPENDENCYPART_GRANDPAR
(5,16),(16,5),-0.513117 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(5,16),(16,6),0.0588785 # DEPENDENCYPART_GRANDPAR
(5,16),(16,8),-0.104041 # DEPENDENCYPART_GRANDPAR
(5,16),(16,10),-0.429408 # DEPENDENCYPART_GRANDPAR
(5,16),(16,12),-0.3 # DEPENDENCYPART_GRANDPAR
(5,16),(16,13),-0.136316 # DEPENDENCYPART_GRANDPAR
(5,16),(16,14),-0.412899 # DEPENDENCYPART_GRANDPAR
(5,16),(16,15),-0.174782 # DEPENDENCYPART_GRANDPAR
(5,16),(16,17),-0.634922 # DEPENDENCYPART_GRANDPAR
(5,16),(16,18),-0.187586 # DEPENDENCYPART_GRANDPAR
(5,17),(17,14),-0.423025 # DEPENDENCYPART_GRANDPAR
(5,17),(17,15),-0.353277 # DEPENDENCYPART_GRANDPAR
(5,17),(17,16),-0.426242 # DEPENDENCYPART_GRANDPAR
(5,17),(17,18),-0.337067 # DEPENDENCYPART_GRANDPAR
(5,18),(18,15),-0.340405 # DEPENDENCYPART_GRANDPAR
(5,18),(18,16),-0.416701 # DEPENDENCYPART_GRANDPAR
(5,18),(18,17),-0.548586 # DEPENDENCYPART_GRANDPAR
(6,4),(4,5),-0.272264 # DEPENDENCYPART_GRANDPAR
(6,5),(5,1),-0.483479 # DEPENDENCYPART_GRANDPAR
(6,5),(5,2),-0.453689 # DEPENDENCYPART_GRANDPAR
(6,5),(5,3),-0.418911 # DEPENDENCYPART_GRANDPAR
(6,5),(5,4),-0.648739 # DEPENDENCYPART_GRANDPAR
(6,5),(5,6),-1.39972 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,5),(5,7),-0.0970843 # DEPENDENCYPART_GRANDPAR
(6,5),(5,8),0.223702 # DEPENDENCYPART_GRANDPAR
(6,5),(5,9),-0.242951 # DEPENDENCYPART_GRANDPAR
(6,5),(5,10),-0.857885 # DEPENDENCYPART_GRANDPAR
(6,5),(5,11),-0.487385 # DEPENDENCYPART_GRANDPAR
(6,5),(5,13),-1.09288 # DEPENDENCYPART_GRANDPAR
(6,5),(5,14),-0.870394 # DEPENDENCYPART_GRANDPAR
(6,5),(5,15),-1.2625 # DEPENDENCYPART_GRANDPAR
(6,5),(5,16),-1.18219 # DEPENDENCYPART_GRANDPAR
(6,5),(5,17),-1.26032 # DEPENDENCYPART_GRANDPAR
(6,5),(5,18),-1.14667 # DEPENDENCYPART_GRANDPAR
(6,7),(7,8),1.14593 # DEPENDENCYPART_GRANDPAR
(6,7),(7,9),1.16389 # DEPENDENCYPART_GRANDPAR
(6,7),(7,10),0.0152288 # DEPENDENCYPART_GRANDPAR
(6,8),(8,1),-1.20022 # DEPENDENCYPART_GRANDPAR
(6,8),(8,2),-1.17076 # DEPENDENCYPART_GRANDPAR
(6,8),(8,3),-1.13702 # DEPENDENCYPART_GRANDPAR
(6,8),(8,4),-1.34584 # DEPENDENCYPART_GRANDPAR
(6,8),(8,5),-0.936224 # DEPENDENCYPART_GRANDPAR
(6,8),(8,6),-0.608961 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(6,8),(8,7),1.12632 # DEPENDENCYPART_GRANDPAR
(6,8),(8,9),1.24482 # DEPENDENCYPART_GRANDPAR
(6,8),(8,10),0.082639 # DEPENDENCYPART_GRANDPAR
(6,8),(8,11),0.28323 # DEPENDENCYPART_GRANDPAR
(6,8),(8,12),-0.226417 # DEPENDENCYPART_GRANDPAR
(6,8),(8,13),-0.304478 # DEPENDENCYPART_GRANDPAR
(6,8),(8,14),-0.0971162 # DEPENDENCYPART_GRANDPAR
