# _root_ Interprovincial Pipe Line Co. , an oil pipeline operator rumored to be mulling a gas pipeline proposal of its own , said that is n't in the cards .
#goldHeads=4,4,4,22,4,9,9,9,4,9,12,10,12,17,17,17,13,17,20,18,4,0,24,22,24,24,28,26,22,
#predictedHeads=4,4,4,22,4,9,9,9,4,9,12,10,12,17,17,17,13,17,20,18,4,0,24,22,24,24,28,26,22,
(24,22),(22,23),(22,29),-0.144701 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,23),(22,30),-0.0611898 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(24,22),(22,24),(22,25),-0.14484 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,22),(22,24),(22,26),-0.155444 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,22),(22,24),(22,29),-0.144704 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,22),(22,24),(22,30),-0.126728 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(24,22),(22,25),(22,26),-0.1481 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,25),(22,29),-0.144701 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,25),(22,30),-0.178925 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(24,22),(22,26),(22,29),-0.144701 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,26),(22,30),-0.11233 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(24,22),(22,29),(22,30),-0.143021 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(24,22),(22,22),(22,21),-0.134067 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,22),(22,22),(22,20),0.00069896 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,22),(22,22),(22,18),-0.0996801 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,22),(22,22),(22,17),0.0640915 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,22),(22,22),(22,16),0.0553849 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,22),(22,22),(22,15),0.0561533 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,22),(22,22),(22,14),-0.0447028 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,22),(22,22),(22,13),-0.0504244 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,22),(22,22),(22,12),-0.0441683 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,22),(22,22),(22,11),0.0938647 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,22),(22,22),(22,10),-0.0503977 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,22),(22,22),(22,9),0.0560617 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,22),(22,22),(22,6),-0.0411227 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,22),(22,22),(22,5),-0.134067 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,22),(22,22),(22,4),0.0487129 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,22),(22,22),(22,3),0.0460161 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,22),(22,22),(22,2),0.0553864 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,22),(22,22),(22,1),0.0553864 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,22),(22,22),(22,-1),0.113854 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(24,22),(22,21),(22,20),-0.0300947 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,21),(22,18),-0.0180103 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,21),(22,17),-0.053733 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,21),(22,16),-0.053733 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,21),(22,15),-0.053733 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,21),(22,14),-0.0196345 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,21),(22,13),0.0537886 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,21),(22,12),0.0458781 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,21),(22,11),-6.14568e-05 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,21),(22,10),0.0537877 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,21),(22,9),-0.0537335 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,21),(22,6),-0.0196062 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,21),(22,5),-0.00586131 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,21),(22,4),-0.054043 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,21),(22,3),-0.053733 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,21),(22,2),-0.053733 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,21),(22,1),-0.053733 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,21),(22,-1),0.143912 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(24,22),(22,20),(22,18),-0.000171398 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,20),(22,17),-0.0371898 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,20),(22,16),-0.0371898 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,20),(22,15),-0.0371898 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,20),(22,14),-0.021749 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,20),(22,13),-0.0223285 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,20),(22,12),-0.0235702 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,20),(22,11),-0.0313683 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,20),(22,10),-0.0223285 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,20),(22,9),-0.0371898 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,20),(22,6),-0.0213214 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,20),(22,5),8.76917e-05 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,20),(22,4),-0.0371906 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,20),(22,3),-0.0371898 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,20),(22,2),-0.0371898 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,20),(22,1),-0.0371898 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,20),(22,-1),-0.0223181 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(24,22),(22,18),(22,17),-0.0172561 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,18),(22,16),-0.0171468 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,18),(22,15),-0.0171468 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,18),(22,14),-0.0158971 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,18),(22,13),-0.0434774 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,18),(22,12),-0.0466635 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,18),(22,11),-0.0483622 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,18),(22,10),-0.0434774 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,18),(22,9),-0.017199 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,18),(22,6),-0.0157882 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,18),(22,5),0.0632619 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,18),(22,4),-0.0171468 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,18),(22,3),-0.0173416 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,18),(22,2),-0.0171468 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,18),(22,1),-0.0171468 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,18),(22,-1),0.0147922 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(24,22),(22,17),(22,16),-0.00477131 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,17),(22,15),-0.00395121 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,17),(22,14),-0.0217892 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,17),(22,13),-0.0504999 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,17),(22,12),-0.0510568 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,17),(22,11),-0.023861 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,17),(22,10),-0.0504999 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,17),(22,9),-0.00374355 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,17),(22,6),-0.0217666 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,17),(22,5),-0.0243771 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,17),(22,4),-0.00455069 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,17),(22,3),-0.00374365 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,17),(22,2),-0.00374355 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,17),(22,1),-0.00374355 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,17),(22,-1),-0.0654545 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(24,22),(22,16),(22,15),-0.00410477 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,16),(22,14),-0.0217892 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,16),(22,13),-0.0500573 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,16),(22,12),-0.0506142 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,16),(22,11),-0.0268636 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,16),(22,10),-0.0500573 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,16),(22,9),-0.00389711 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,16),(22,6),-0.0217666 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,16),(22,5),-0.0243771 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,16),(22,4),-0.00470425 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,16),(22,3),-0.00389721 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,16),(22,2),-0.00389711 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,16),(22,1),-0.00389711 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,16),(22,-1),-0.0699774 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(24,22),(22,15),(22,14),-0.0217892 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,15),(22,13),-0.0499241 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,15),(22,12),-0.0504809 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,15),(22,11),-0.02635 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,15),(22,10),-0.0499241 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,15),(22,9),-0.00374355 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,15),(22,6),-0.0217666 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,15),(22,5),-0.0243771 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,15),(22,4),-0.00455069 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,15),(22,3),-0.00374365 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,15),(22,2),-0.00374355 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,15),(22,1),-0.00374355 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,15),(22,-1),-0.0703616 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(24,22),(22,14),(22,13),-0.0245894 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,14),(22,12),-0.0245894 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,14),(22,11),-0.0220823 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,14),(22,10),-0.0245894 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,14),(22,9),-0.024677 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,14),(22,6),-0.0197937 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,14),(22,5),-0.0198317 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,14),(22,4),-0.024677 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,14),(22,3),-0.024677 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,14),(22,2),-0.024677 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,14),(22,1),-0.024677 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,14),(22,-1),-0.046733 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(24,22),(22,13),(22,12),0.000581868 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,13),(22,11),-0.0221869 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,13),(22,10),0.00131498 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,13),(22,9),-0.0270842 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,13),(22,6),-0.0203723 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,13),(22,5),-0.00550335 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,13),(22,4),-0.0270842 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,13),(22,3),-0.0270842 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,13),(22,2),-0.0270842 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,13),(22,1),-0.0270842 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,13),(22,-1),0.00095437 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(24,22),(22,12),(22,11),-0.0188687 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,12),(22,10),0.00149588 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,12),(22,9),-0.0275055 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,12),(22,6),-0.0203723 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,12),(22,5),-0.0119721 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,12),(22,4),-0.0275055 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,12),(22,3),-0.0275055 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,12),(22,2),-0.0275055 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,12),(22,1),-0.0275055 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,12),(22,-1),-0.00519668 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(24,22),(22,11),(22,10),-0.0133124 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,11),(22,9),-0.033441 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,11),(22,6),-0.0194774 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,11),(22,5),-0.000220421 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,11),(22,4),-0.033441 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,11),(22,3),-0.033441 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,11),(22,2),-0.033441 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,11),(22,1),-0.033441 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,11),(22,-1),-0.0287748 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(24,22),(22,10),(22,9),-0.0270842 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,10),(22,6),-0.0203723 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,10),(22,5),-0.00550668 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,10),(22,4),-0.0270842 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,10),(22,3),-0.0270842 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,10),(22,2),-0.0270842 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,10),(22,1),-0.0270842 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,10),(22,-1),0.000983405 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(24,22),(22,9),(22,6),-0.0217666 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,9),(22,5),-0.0243771 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,9),(22,4),-0.00455069 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,9),(22,3),-0.00374365 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,9),(22,2),-0.00374355 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,9),(22,1),-0.00374355 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,9),(22,-1),-0.0716768 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(24,22),(22,6),(22,5),-0.019745 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,6),(22,4),-0.0243733 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,6),(22,3),-0.0243733 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,6),(22,2),-0.0243733 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,6),(22,1),-0.0243733 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,6),(22,-1),-0.0451874 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(24,22),(22,5),(22,4),-0.054043 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,5),(22,3),-0.053733 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,5),(22,2),-0.053733 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,5),(22,1),-0.053733 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,5),(22,-1),0.143912 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(24,22),(22,4),(22,3),-0.00383511 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,4),(22,2),-0.00383501 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,4),(22,1),-0.00383501 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,4),(22,-1),-0.0725325 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(24,22),(22,3),(22,2),-0.00538922 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,3),(22,1),-0.00538922 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,3),(22,-1),-0.0783113 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(24,22),(22,2),(22,1),-0.00374355 # DEPENDENCYPART_GRANDSIBL
(24,22),(22,2),(22,-1),-0.0699759 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(24,22),(22,1),(22,-1),-0.0699759 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(24,23),(23,23),(23,24),-0.138711 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,23),(23,23),(23,30),0.04794 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(24,23),(23,24),(23,30),-0.103245 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(24,23),(23,23),(23,-1),0.0495915 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(24,25),(25,25),(25,26),-0.00368424 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,25),(25,25),(25,27),-0.0061562 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,25),(25,25),(25,28),-0.00373339 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,25),(25,25),(25,30),0.15031 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(24,25),(25,26),(25,27),-0.0194628 # DEPENDENCYPART_GRANDSIBL
(24,25),(25,26),(25,28),-0.0160426 # DEPENDENCYPART_GRANDSIBL
(24,25),(25,26),(25,30),-0.0446465 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(24,25),(25,27),(25,28),-0.0177711 # DEPENDENCYPART_GRANDSIBL
(24,25),(25,27),(25,30),-0.0184492 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(24,25),(25,28),(25,30),0.0626292 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(24,25),(25,25),(25,24),0.0865746 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,25),(25,25),(25,23),-0.134816 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,25),(25,25),(25,20),-0.144703 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,25),(25,25),(25,-1),-0.0579514 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(24,25),(25,24),(25,23),-0.144706 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,25),(25,24),(25,20),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,25),(25,24),(25,-1),-0.164451 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(24,25),(25,23),(25,20),-0.144701 # DEPENDENCYPART_GRANDSIBL
(24,25),(25,23),(25,-1),-0.12929 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(24,25),(25,20),(25,-1),-0.135898 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(24,26),(26,26),(26,27),0.0118054 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,26),(26,26),(26,28),0.0221696 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,26),(26,26),(26,29),-0.0213501 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,26),(26,26),(26,30),-0.034923 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(24,26),(26,27),(26,28),-0.0261056 # DEPENDENCYPART_GRANDSIBL
(24,26),(26,27),(26,29),-0.0194985 # DEPENDENCYPART_GRANDSIBL
(24,26),(26,27),(26,30),0.0259387 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(24,26),(26,28),(26,29),-0.0219821 # DEPENDENCYPART_GRANDSIBL
(24,26),(26,28),(26,30),0.0817261 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(24,26),(26,29),(26,30),-0.0251138 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(24,26),(26,26),(26,25),0.174419 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,26),(26,26),(26,23),-0.108154 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,26),(26,26),(26,-1),0.00809649 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(24,26),(26,25),(26,23),-0.14471 # DEPENDENCYPART_GRANDSIBL
(24,26),(26,25),(26,-1),-0.124168 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(24,26),(26,23),(26,-1),-0.161135 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(24,28),(28,28),(28,29),0.0050904 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,28),(28,28),(28,30),0.00301274 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(24,28),(28,29),(28,30),-0.0137179 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(24,28),(28,28),(28,27),0.109076 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,28),(28,28),(28,26),0.180429 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,28),(28,28),(28,25),0.117534 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,28),(28,28),(28,23),-0.0641903 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,28),(28,28),(28,19),-0.152218 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,28),(28,28),(28,-1),-0.183286 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(24,28),(28,27),(28,26),0.122077 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,27),(28,25),0.10668 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,27),(28,23),-0.127798 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,27),(28,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,27),(28,-1),-0.219405 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(24,28),(28,26),(28,25),0.123767 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,26),(28,23),-0.146594 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,26),(28,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,26),(28,-1),-0.0267697 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(24,28),(28,25),(28,23),-0.145052 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,25),(28,19),-0.14787 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,25),(28,-1),-0.128767 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(24,28),(28,23),(28,19),-0.144701 # DEPENDENCYPART_GRANDSIBL
(24,28),(28,23),(28,-1),-0.0670605 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(24,28),(28,19),(28,-1),-0.213578 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(24,29),(29,29),(29,30),0.0323273 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(24,29),(29,29),(29,26),0.0970314 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,29),(29,29),(29,-1),0.0670367 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(24,29),(29,26),(29,-1),-0.168707 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,20),(20,20),(20,21),0.108253 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,20),(20,20),(20,22),0.108845 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,20),(20,20),(20,23),0.114616 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,20),(20,20),(20,24),0.108845 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,20),(20,20),(20,25),-0.144725 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,20),(20,20),(20,26),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,20),(20,20),(20,30),-0.180814 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(25,20),(20,21),(20,22),0.10954 # DEPENDENCYPART_GRANDSIBL
(25,20),(20,21),(20,23),0.10954 # DEPENDENCYPART_GRANDSIBL
(25,20),(20,21),(20,24),0.10954 # DEPENDENCYPART_GRANDSIBL
(25,20),(20,21),(20,25),-0.144701 # DEPENDENCYPART_GRANDSIBL
(25,20),(20,21),(20,26),-0.144702 # DEPENDENCYPART_GRANDSIBL
(25,20),(20,21),(20,30),-0.144722 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,20),(20,22),(20,23),0.10954 # DEPENDENCYPART_GRANDSIBL
(25,20),(20,22),(20,24),0.10954 # DEPENDENCYPART_GRANDSIBL
(25,20),(20,22),(20,25),-0.144701 # DEPENDENCYPART_GRANDSIBL
(25,20),(20,22),(20,26),-0.144701 # DEPENDENCYPART_GRANDSIBL
(25,20),(20,22),(20,30),-0.145395 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,20),(20,23),(20,24),0.109539 # DEPENDENCYPART_GRANDSIBL
(25,20),(20,23),(20,25),-0.144701 # DEPENDENCYPART_GRANDSIBL
(25,20),(20,23),(20,26),-0.144701 # DEPENDENCYPART_GRANDSIBL
(25,20),(20,23),(20,30),-0.140396 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,20),(20,24),(20,25),-0.144701 # DEPENDENCYPART_GRANDSIBL
(25,20),(20,24),(20,26),-0.144701 # DEPENDENCYPART_GRANDSIBL
(25,20),(20,24),(20,30),-0.145395 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,20),(20,25),(20,26),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,20),(20,25),(20,30),-0.157932 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(25,20),(20,26),(20,30),-0.140235 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,20),(20,20),(20,19),-0.019441 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,20),(20,20),(20,18),-0.0356393 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,20),(20,20),(20,17),-0.0261441 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
