# _root_ Nearby Paul Craig Roberts , a distinguished supply-sider with monetarist sympathies , argues the case for Sir Alan .
#goldHeads=13,4,4,13,4,8,8,4,8,11,9,4,0,15,13,15,18,16,13,
#predictedHeads=4,4,4,13,4,8,8,4,8,11,9,4,0,15,13,15,18,16,13,
(11,11),(11,7),(11,2),-0.0216106 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,7),(11,-1),-0.205372 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,11),(11,6),(11,5),-0.00728229 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,6),(11,4),-0.163764 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,6),(11,2),-0.152912 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,6),(11,-1),-0.167555 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,11),(11,5),(11,4),-0.074612 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,5),(11,2),-0.0637612 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,5),(11,-1),-0.399755 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,11),(11,4),(11,2),-0.170327 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,4),(11,-1),-0.168734 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,11),(11,2),(11,-1),-0.182496 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,10),(11,9),(11,8),-0.0839068 # DEPENDENCYPART_TRISIBL
(11,10),(11,9),(11,7),-0.088322 # DEPENDENCYPART_TRISIBL
(11,10),(11,9),(11,6),0.0195316 # DEPENDENCYPART_TRISIBL
(11,10),(11,9),(11,5),-0.132421 # DEPENDENCYPART_TRISIBL
(11,10),(11,9),(11,4),-0.084721 # DEPENDENCYPART_TRISIBL
(11,10),(11,9),(11,2),-0.0850597 # DEPENDENCYPART_TRISIBL
(11,10),(11,9),(11,-1),-0.0799035 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,10),(11,8),(11,7),-0.0276568 # DEPENDENCYPART_TRISIBL
(11,10),(11,8),(11,6),0.00045796 # DEPENDENCYPART_TRISIBL
(11,10),(11,8),(11,5),-0.161146 # DEPENDENCYPART_TRISIBL
(11,10),(11,8),(11,4),-0.0400547 # DEPENDENCYPART_TRISIBL
(11,10),(11,8),(11,2),-0.0411327 # DEPENDENCYPART_TRISIBL
(11,10),(11,8),(11,-1),-0.108102 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,10),(11,7),(11,6),0.0866308 # DEPENDENCYPART_TRISIBL
(11,10),(11,7),(11,5),-0.132968 # DEPENDENCYPART_TRISIBL
(11,10),(11,7),(11,4),-0.0852444 # DEPENDENCYPART_TRISIBL
(11,10),(11,7),(11,2),-0.0855831 # DEPENDENCYPART_TRISIBL
(11,10),(11,7),(11,-1),-0.217844 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,10),(11,6),(11,5),-0.152983 # DEPENDENCYPART_TRISIBL
(11,10),(11,6),(11,4),-0.143538 # DEPENDENCYPART_TRISIBL
(11,10),(11,6),(11,2),-0.143877 # DEPENDENCYPART_TRISIBL
(11,10),(11,6),(11,-1),-0.0176233 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,10),(11,5),(11,4),-0.155969 # DEPENDENCYPART_TRISIBL
(11,10),(11,5),(11,2),-0.15552 # DEPENDENCYPART_TRISIBL
(11,10),(11,5),(11,-1),-0.23643 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,10),(11,4),(11,2),-0.0411337 # DEPENDENCYPART_TRISIBL
(11,10),(11,4),(11,-1),-0.108409 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,10),(11,2),(11,-1),-0.101239 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,9),(11,8),(11,7),-0.104788 # DEPENDENCYPART_TRISIBL
(11,9),(11,8),(11,6),-0.073871 # DEPENDENCYPART_TRISIBL
(11,9),(11,8),(11,5),-0.079356 # DEPENDENCYPART_TRISIBL
(11,9),(11,8),(11,4),-0.0529905 # DEPENDENCYPART_TRISIBL
(11,9),(11,8),(11,2),-0.0529909 # DEPENDENCYPART_TRISIBL
(11,9),(11,8),(11,-1),-0.12566 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,9),(11,7),(11,6),-0.0754125 # DEPENDENCYPART_TRISIBL
(11,9),(11,7),(11,5),-0.0941371 # DEPENDENCYPART_TRISIBL
(11,9),(11,7),(11,4),-0.103299 # DEPENDENCYPART_TRISIBL
(11,9),(11,7),(11,2),-0.1033 # DEPENDENCYPART_TRISIBL
(11,9),(11,7),(11,-1),-0.125551 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,9),(11,6),(11,5),-0.0907017 # DEPENDENCYPART_TRISIBL
(11,9),(11,6),(11,4),-0.0957966 # DEPENDENCYPART_TRISIBL
(11,9),(11,6),(11,2),-0.095797 # DEPENDENCYPART_TRISIBL
(11,9),(11,6),(11,-1),-0.122135 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,9),(11,5),(11,4),-0.0815326 # DEPENDENCYPART_TRISIBL
(11,9),(11,5),(11,2),-0.0815334 # DEPENDENCYPART_TRISIBL
(11,9),(11,5),(11,-1),-0.0769868 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,9),(11,4),(11,2),-0.0529909 # DEPENDENCYPART_TRISIBL
(11,9),(11,4),(11,-1),-0.12566 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,9),(11,2),(11,-1),-0.12566 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,8),(11,7),(11,6),0.0857994 # DEPENDENCYPART_TRISIBL
(11,8),(11,7),(11,5),-0.132968 # DEPENDENCYPART_TRISIBL
(11,8),(11,7),(11,4),-0.0852444 # DEPENDENCYPART_TRISIBL
(11,8),(11,7),(11,2),-0.0855831 # DEPENDENCYPART_TRISIBL
(11,8),(11,7),(11,-1),-0.217844 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,8),(11,6),(11,5),-0.152983 # DEPENDENCYPART_TRISIBL
(11,8),(11,6),(11,4),-0.143538 # DEPENDENCYPART_TRISIBL
(11,8),(11,6),(11,2),-0.143877 # DEPENDENCYPART_TRISIBL
(11,8),(11,6),(11,-1),-0.0176233 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,8),(11,5),(11,4),-0.155969 # DEPENDENCYPART_TRISIBL
(11,8),(11,5),(11,2),-0.15552 # DEPENDENCYPART_TRISIBL
(11,8),(11,5),(11,-1),-0.23643 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,8),(11,4),(11,2),-0.0411337 # DEPENDENCYPART_TRISIBL
(11,8),(11,4),(11,-1),-0.108409 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,8),(11,2),(11,-1),-0.101239 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,7),(11,6),(11,5),-0.0254147 # DEPENDENCYPART_TRISIBL
(11,7),(11,6),(11,4),-0.0580529 # DEPENDENCYPART_TRISIBL
(11,7),(11,6),(11,2),-0.0580529 # DEPENDENCYPART_TRISIBL
(11,7),(11,6),(11,-1),0.0453273 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,7),(11,5),(11,4),-0.016645 # DEPENDENCYPART_TRISIBL
(11,7),(11,5),(11,2),-0.016645 # DEPENDENCYPART_TRISIBL
(11,7),(11,5),(11,-1),-0.230023 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,7),(11,4),(11,2),-0.0573045 # DEPENDENCYPART_TRISIBL
(11,7),(11,4),(11,-1),-0.153714 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,7),(11,2),(11,-1),-0.153714 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,6),(11,5),(11,4),-0.11599 # DEPENDENCYPART_TRISIBL
(11,6),(11,5),(11,2),-0.11599 # DEPENDENCYPART_TRISIBL
(11,6),(11,5),(11,-1),-0.146769 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,6),(11,4),(11,2),-0.123604 # DEPENDENCYPART_TRISIBL
(11,6),(11,4),(11,-1),-0.0839756 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,6),(11,2),(11,-1),-0.0839756 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,5),(11,4),(11,2),0.000601233 # DEPENDENCYPART_TRISIBL
(11,5),(11,4),(11,-1),-0.123214 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,5),(11,2),(11,-1),-0.12321 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,4),(11,2),(11,-1),-0.10169 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,13),(13,14),(13,15),-0.147709 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,14),(13,16),-0.0356656 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,14),(13,17),-0.141462 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,14),(13,18),-0.14349 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,14),(13,19),-0.0782738 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,14),(13,20),-0.121082 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(13,13),(13,15),(13,16),0.0554639 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,15),(13,17),-0.0326284 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,15),(13,18),-0.036685 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,15),(13,19),-0.0226559 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,15),(13,20),0.00931119 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(13,13),(13,16),(13,17),-0.0831043 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,16),(13,18),-0.085132 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,16),(13,19),-0.128954 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,16),(13,20),-0.0871563 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(13,13),(13,17),(13,18),-0.0460448 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,17),(13,19),-0.026262 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,17),(13,20),-0.000827626 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(13,13),(13,18),(13,19),-0.026262 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,18),(13,20),0.000974192 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(13,13),(13,19),(13,20),-0.154507 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(13,14),(13,15),(13,16),-0.0911622 # DEPENDENCYPART_TRISIBL
(13,14),(13,15),(13,17),-0.0858878 # DEPENDENCYPART_TRISIBL
(13,14),(13,15),(13,18),-0.0858878 # DEPENDENCYPART_TRISIBL
(13,14),(13,15),(13,19),0.00681852 # DEPENDENCYPART_TRISIBL
(13,14),(13,15),(13,20),-0.103713 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,14),(13,16),(13,17),-0.0822796 # DEPENDENCYPART_TRISIBL
(13,14),(13,16),(13,18),-0.0822796 # DEPENDENCYPART_TRISIBL
(13,14),(13,16),(13,19),-0.0414261 # DEPENDENCYPART_TRISIBL
(13,14),(13,16),(13,20),-0.0741589 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,14),(13,17),(13,18),-0.0858789 # DEPENDENCYPART_TRISIBL
(13,14),(13,17),(13,19),0.00682011 # DEPENDENCYPART_TRISIBL
(13,14),(13,17),(13,20),-0.103711 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,14),(13,18),(13,19),0.00682011 # DEPENDENCYPART_TRISIBL
(13,14),(13,18),(13,20),-0.103711 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,14),(13,19),(13,20),-0.121358 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,15),(13,16),(13,17),-0.131363 # DEPENDENCYPART_TRISIBL
(13,15),(13,16),(13,18),-0.131357 # DEPENDENCYPART_TRISIBL
(13,15),(13,16),(13,19),-0.0764377 # DEPENDENCYPART_TRISIBL
(13,15),(13,16),(13,20),-0.0448076 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,15),(13,17),(13,18),-0.130919 # DEPENDENCYPART_TRISIBL
(13,15),(13,17),(13,19),-0.0599887 # DEPENDENCYPART_TRISIBL
(13,15),(13,17),(13,20),-0.00288451 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,15),(13,18),(13,19),-0.0599887 # DEPENDENCYPART_TRISIBL
(13,15),(13,18),(13,20),-0.0046574 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,15),(13,19),(13,20),0.0212098 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,16),(13,17),(13,18),-0.0825974 # DEPENDENCYPART_TRISIBL
(13,16),(13,17),(13,19),-0.0902599 # DEPENDENCYPART_TRISIBL
(13,16),(13,17),(13,20),-0.0399668 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,16),(13,18),(13,19),-0.0902599 # DEPENDENCYPART_TRISIBL
(13,16),(13,18),(13,20),-0.0399665 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,16),(13,19),(13,20),-0.0464928 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,17),(13,18),(13,19),-0.0518793 # DEPENDENCYPART_TRISIBL
(13,17),(13,18),(13,20),-0.0342257 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,17),(13,19),(13,20),-0.00479709 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,18),(13,19),(13,20),-0.00349885 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,13),(13,12),(13,11),-0.224849 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,12),(13,10),-0.224849 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,12),(13,9),-0.193001 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,12),(13,8),-0.224849 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,12),(13,7),-0.158757 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,12),(13,6),-0.181679 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,12),(13,5),-0.152854 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,12),(13,4),-0.22485 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,12),(13,3),-0.226875 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,12),(13,2),-0.21873 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,12),(13,1),-0.186018 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,12),(13,-1),-0.315471 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,13),(13,11),(13,10),-0.0755185 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,11),(13,9),0.00756601 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,11),(13,8),-0.0755185 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,11),(13,7),-0.0178676 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,11),(13,6),-0.0540173 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,11),(13,5),0.131322 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,11),(13,4),-0.0755198 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,11),(13,3),-0.0775441 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,11),(13,2),-0.0630226 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,11),(13,1),-0.155273 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,11),(13,-1),0.0055371 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,13),(13,10),(13,9),0.00756601 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,10),(13,8),-0.0755185 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,10),(13,7),-0.0178676 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,10),(13,6),-0.0541801 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,10),(13,5),0.131322 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,10),(13,4),-0.0755198 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,10),(13,3),-0.0775441 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,10),(13,2),-0.0630226 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,10),(13,1),-0.154877 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,10),(13,-1),0.0055371 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,13),(13,9),(13,8),-0.0411885 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,9),(13,7),-0.101442 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,9),(13,6),-0.152182 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,9),(13,5),-0.086053 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,9),(13,4),-0.0411894 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,9),(13,3),-0.0432141 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,9),(13,2),-0.0350678 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,9),(13,1),-0.133531 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,9),(13,-1),-0.182872 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,13),(13,8),(13,7),-0.0178676 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,8),(13,6),-0.0540173 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,8),(13,5),0.131322 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,8),(13,4),-0.0755198 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,8),(13,3),-0.0775441 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,8),(13,2),-0.0630226 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,8),(13,1),-0.155273 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,8),(13,-1),0.0055371 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,13),(13,7),(13,6),-0.112447 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,7),(13,5),0.0833443 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,7),(13,4),0.00256059 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,7),(13,3),0.000535847 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,7),(13,2),0.00868214 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,7),(13,1),-0.121429 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,7),(13,-1),-0.0557564 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,13),(13,6),(13,5),0.0357825 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,6),(13,4),-0.0883336 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,6),(13,3),-0.0903584 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,6),(13,2),-0.0822121 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,6),(13,1),-0.142853 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,6),(13,-1),-0.112628 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,13),(13,5),(13,4),-0.22485 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,5),(13,3),-0.226875 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,5),(13,2),-0.21873 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,5),(13,1),-0.186018 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,5),(13,-1),-0.315471 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,13),(13,4),(13,3),-0.0748706 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,4),(13,2),-0.0603492 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,4),(13,1),-0.155273 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,4),(13,-1),0.0035365 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,13),(13,3),(13,2),-0.0622967 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,3),(13,1),-0.155273 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,3),(13,-1),0.00781379 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,13),(13,2),(13,1),-0.15535 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,2),(13,-1),-0.0023459 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,13),(13,1),(13,-1),-0.0653022 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,12),(13,11),(13,10),-0.13521 # DEPENDENCYPART_TRISIBL
(13,12),(13,11),(13,9),0.068558 # DEPENDENCYPART_TRISIBL
(13,12),(13,11),(13,8),-0.13521 # DEPENDENCYPART_TRISIBL
(13,12),(13,11),(13,7),-0.107094 # DEPENDENCYPART_TRISIBL
(13,12),(13,11),(13,6),-0.0593756 # DEPENDENCYPART_TRISIBL
(13,12),(13,11),(13,5),0.0831982 # DEPENDENCYPART_TRISIBL
(13,12),(13,11),(13,4),-0.135825 # DEPENDENCYPART_TRISIBL
(13,12),(13,11),(13,3),-0.135213 # DEPENDENCYPART_TRISIBL
(13,12),(13,11),(13,2),-0.136468 # DEPENDENCYPART_TRISIBL
(13,12),(13,11),(13,1),-0.00562757 # DEPENDENCYPART_TRISIBL
(13,12),(13,11),(13,-1),0.00944988 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,12),(13,10),(13,9),0.068558 # DEPENDENCYPART_TRISIBL
(13,12),(13,10),(13,8),-0.13521 # DEPENDENCYPART_TRISIBL
(13,12),(13,10),(13,7),-0.107094 # DEPENDENCYPART_TRISIBL
(13,12),(13,10),(13,6),-0.0593756 # DEPENDENCYPART_TRISIBL
(13,12),(13,10),(13,5),0.0831982 # DEPENDENCYPART_TRISIBL
(13,12),(13,10),(13,4),-0.135825 # DEPENDENCYPART_TRISIBL
(13,12),(13,10),(13,3),-0.135213 # DEPENDENCYPART_TRISIBL
(13,12),(13,10),(13,2),-0.136468 # DEPENDENCYPART_TRISIBL
(13,12),(13,10),(13,1),-0.00562757 # DEPENDENCYPART_TRISIBL
(13,12),(13,10),(13,-1),0.00944988 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,12),(13,9),(13,8),-0.0899782 # DEPENDENCYPART_TRISIBL
(13,12),(13,9),(13,7),-0.106606 # DEPENDENCYPART_TRISIBL
(13,12),(13,9),(13,6),-0.0382851 # DEPENDENCYPART_TRISIBL
(13,12),(13,9),(13,5),0.512935 # DEPENDENCYPART_TRISIBL
(13,12),(13,9),(13,4),-0.0902854 # DEPENDENCYPART_TRISIBL
(13,12),(13,9),(13,3),-0.0899796 # DEPENDENCYPART_TRISIBL
(13,12),(13,9),(13,2),-0.0906071 # DEPENDENCYPART_TRISIBL
(13,12),(13,9),(13,1),-0.0462342 # DEPENDENCYPART_TRISIBL
(13,12),(13,9),(13,-1),-0.0292537 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,12),(13,8),(13,7),-0.107094 # DEPENDENCYPART_TRISIBL
(13,12),(13,8),(13,6),-0.0593756 # DEPENDENCYPART_TRISIBL
(13,12),(13,8),(13,5),0.0831982 # DEPENDENCYPART_TRISIBL
(13,12),(13,8),(13,4),-0.135825 # DEPENDENCYPART_TRISIBL
(13,12),(13,8),(13,3),-0.135213 # DEPENDENCYPART_TRISIBL
(13,12),(13,8),(13,2),-0.136468 # DEPENDENCYPART_TRISIBL
(13,12),(13,8),(13,1),-0.00562757 # DEPENDENCYPART_TRISIBL
(13,12),(13,8),(13,-1),0.00944988 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,12),(13,7),(13,6),-0.080912 # DEPENDENCYPART_TRISIBL
(13,12),(13,7),(13,5),0.326182 # DEPENDENCYPART_TRISIBL
(13,12),(13,7),(13,4),-0.170949 # DEPENDENCYPART_TRISIBL
(13,12),(13,7),(13,3),-0.170643 # DEPENDENCYPART_TRISIBL
(13,12),(13,7),(13,2),-0.171271 # DEPENDENCYPART_TRISIBL
(13,12),(13,7),(13,1),-0.0506547 # DEPENDENCYPART_TRISIBL
(13,12),(13,7),(13,-1),-0.0186128 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,12),(13,6),(13,5),0.197753 # DEPENDENCYPART_TRISIBL
(13,12),(13,6),(13,4),-0.13125 # DEPENDENCYPART_TRISIBL
(13,12),(13,6),(13,3),-0.130944 # DEPENDENCYPART_TRISIBL
(13,12),(13,6),(13,2),-0.131572 # DEPENDENCYPART_TRISIBL
(13,12),(13,6),(13,1),-0.0389589 # DEPENDENCYPART_TRISIBL
(13,12),(13,6),(13,-1),-0.0599932 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,12),(13,5),(13,4),-0.202931 # DEPENDENCYPART_TRISIBL
(13,12),(13,5),(13,3),-0.202626 # DEPENDENCYPART_TRISIBL
(13,12),(13,5),(13,2),-0.203253 # DEPENDENCYPART_TRISIBL
(13,12),(13,5),(13,1),-0.0408752 # DEPENDENCYPART_TRISIBL
(13,12),(13,5),(13,-1),-0.130298 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,12),(13,4),(13,3),-0.136008 # DEPENDENCYPART_TRISIBL
(13,12),(13,4),(13,2),-0.137263 # DEPENDENCYPART_TRISIBL
(13,12),(13,4),(13,1),-0.00562757 # DEPENDENCYPART_TRISIBL
(13,12),(13,4),(13,-1),0.00943117 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,12),(13,3),(13,2),-0.136468 # DEPENDENCYPART_TRISIBL
(13,12),(13,3),(13,1),-0.00562757 # DEPENDENCYPART_TRISIBL
(13,12),(13,3),(13,-1),0.00944988 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,12),(13,2),(13,1),-0.00562757 # DEPENDENCYPART_TRISIBL
(13,12),(13,2),(13,-1),0.00943536 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,12),(13,1),(13,-1),0.000311308 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,11),(13,10),(13,9),-0.0486575 # DEPENDENCYPART_TRISIBL
(13,11),(13,10),(13,8),-0.224357 # DEPENDENCYPART_TRISIBL
(13,11),(13,10),(13,7),-0.111809 # DEPENDENCYPART_TRISIBL
(13,11),(13,10),(13,6),-0.0352325 # DEPENDENCYPART_TRISIBL
(13,11),(13,10),(13,5),-0.0318341 # DEPENDENCYPART_TRISIBL
(13,11),(13,10),(13,4),-0.225171 # DEPENDENCYPART_TRISIBL
