# _root_ Trade Representative Carla Hills , who along with Agriculture Secretary Clayton Yeutter unveiled the proposal , said she is confident it will gain considerable support from the U.S. 's trading partners .
#goldHeads=4,4,4,17,4,13,13,7,12,12,12,8,4,15,13,4,0,19,17,19,22,20,22,25,23,25,28,31,28,31,26,17,
#predictedHeads=4,4,4,17,4,13,13,7,12,12,12,13,4,15,13,4,0,19,17,19,22,20,22,25,23,25,28,31,28,31,26,17,
(3,3),(3,2),(3,1),-0.214684 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,2),(3,-1),-0.18891 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,3),(3,1),(3,-1),-0.202972 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,2),(3,1),(3,-1),-0.137248 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,4),(4,5),(4,7),-0.26115 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,5),(4,8),-0.222956 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,5),(4,9),-0.0725908 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,5),(4,10),-0.0541781 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,5),(4,11),-0.0723718 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,5),(4,12),-0.0723962 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,5),(4,13),-0.164572 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,5),(4,15),-0.0765979 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,5),(4,16),-0.270869 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,5),(4,17),-0.160379 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,5),(4,19),-0.155572 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,5),(4,26),-0.234279 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,5),(4,32),-0.227678 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,5),(4,33),-0.728571 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(4,4),(4,7),(4,8),-0.0795345 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,7),(4,9),-0.140183 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,7),(4,10),-0.130367 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,7),(4,11),-0.140037 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,7),(4,12),-0.140072 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,7),(4,13),-0.12337 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,7),(4,15),-0.143857 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,7),(4,16),-0.0672635 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,7),(4,17),-0.111074 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,7),(4,19),-0.14144 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,7),(4,26),-0.107357 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,7),(4,32),-0.158204 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,7),(4,33),-0.111349 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(4,4),(4,8),(4,9),-0.134567 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,8),(4,10),-0.12475 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,8),(4,11),-0.134421 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,8),(4,12),-0.134455 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,8),(4,13),-0.122375 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,8),(4,15),-0.13824 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,8),(4,16),-0.0899732 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,8),(4,17),-0.110079 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,8),(4,19),-0.140445 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,8),(4,26),-0.0931883 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,8),(4,32),-0.167747 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,8),(4,33),-0.047006 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(4,4),(4,9),(4,10),-0.0853115 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,9),(4,11),-0.0941232 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,9),(4,12),-0.0941441 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,9),(4,13),-0.0944454 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,9),(4,15),-0.0979221 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,9),(4,16),-0.118507 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,9),(4,17),-0.0867103 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,9),(4,19),-0.0924554 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,9),(4,26),-0.0228793 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,9),(4,32),-0.113237 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,9),(4,33),-0.109629 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(4,4),(4,10),(4,11),-0.0949593 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,10),(4,12),-0.0949802 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,10),(4,13),-0.0946472 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,10),(4,15),-0.0987582 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,10),(4,16),-0.119143 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,10),(4,17),-0.0869121 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,10),(4,19),-0.0926572 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,10),(4,26),-0.0171799 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,10),(4,32),-0.116338 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,10),(4,33),-0.113848 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(4,4),(4,11),(4,12),-0.0941441 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,11),(4,13),-0.0944454 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,11),(4,15),-0.0979221 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,11),(4,16),-0.118507 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,11),(4,17),-0.0867103 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,11),(4,19),-0.0924554 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,11),(4,26),-0.0228793 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,11),(4,32),-0.113237 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,11),(4,33),-0.107389 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(4,4),(4,12),(4,13),-0.0944643 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,12),(4,15),-0.0979221 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,12),(4,16),-0.118507 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,12),(4,17),-0.0867292 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,12),(4,19),-0.0924743 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,12),(4,26),-0.0228793 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,12),(4,32),-0.113251 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,12),(4,33),-0.107564 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(4,4),(4,13),(4,15),-0.147011 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,13),(4,16),-0.0445781 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,13),(4,17),-0.0610985 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,13),(4,19),-0.073197 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,13),(4,26),-0.145652 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,13),(4,32),-0.0914748 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,13),(4,33),-0.0955401 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(4,4),(4,15),(4,16),-0.119201 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,15),(4,17),-0.0920524 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,15),(4,19),-0.0977975 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,15),(4,26),-0.0239705 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,15),(4,32),-0.113337 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,15),(4,33),-0.108789 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(4,4),(4,16),(4,17),-0.160379 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,16),(4,19),-0.155572 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,16),(4,26),-0.234279 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,16),(4,32),-0.227678 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,16),(4,33),-0.728571 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(4,4),(4,17),(4,19),-0.0728381 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,17),(4,26),-0.1515 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,17),(4,32),-0.0632299 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,17),(4,33),-0.119953 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(4,4),(4,19),(4,26),-0.152866 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,19),(4,32),-0.0439268 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,19),(4,33),-0.0858594 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(4,4),(4,26),(4,32),-0.15177 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,26),(4,33),-0.118782 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(4,4),(4,32),(4,33),-0.1952 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(4,5),(4,7),(4,8),-0.0242315 # DEPENDENCYPART_TRISIBL
(4,5),(4,7),(4,9),0.0118171 # DEPENDENCYPART_TRISIBL
(4,5),(4,7),(4,10),0.011695 # DEPENDENCYPART_TRISIBL
(4,5),(4,7),(4,11),0.0118171 # DEPENDENCYPART_TRISIBL
(4,5),(4,7),(4,12),0.0118171 # DEPENDENCYPART_TRISIBL
(4,5),(4,7),(4,13),0.0461162 # DEPENDENCYPART_TRISIBL
(4,5),(4,7),(4,15),0.0118163 # DEPENDENCYPART_TRISIBL
(4,5),(4,7),(4,16),0.31231 # DEPENDENCYPART_TRISIBL
(4,5),(4,7),(4,17),0.0417797 # DEPENDENCYPART_TRISIBL
(4,5),(4,7),(4,19),0.0647708 # DEPENDENCYPART_TRISIBL
(4,5),(4,7),(4,26),-0.0302022 # DEPENDENCYPART_TRISIBL
(4,5),(4,7),(4,32),-0.0981636 # DEPENDENCYPART_TRISIBL
(4,5),(4,7),(4,33),-0.0788367 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,5),(4,8),(4,9),0.0109894 # DEPENDENCYPART_TRISIBL
(4,5),(4,8),(4,10),0.0108673 # DEPENDENCYPART_TRISIBL
(4,5),(4,8),(4,11),0.0109894 # DEPENDENCYPART_TRISIBL
(4,5),(4,8),(4,12),0.0109894 # DEPENDENCYPART_TRISIBL
(4,5),(4,8),(4,13),0.0444423 # DEPENDENCYPART_TRISIBL
(4,5),(4,8),(4,15),0.0109885 # DEPENDENCYPART_TRISIBL
(4,5),(4,8),(4,16),0.370661 # DEPENDENCYPART_TRISIBL
(4,5),(4,8),(4,17),0.0401059 # DEPENDENCYPART_TRISIBL
(4,5),(4,8),(4,19),0.0630969 # DEPENDENCYPART_TRISIBL
(4,5),(4,8),(4,26),-0.0296844 # DEPENDENCYPART_TRISIBL
(4,5),(4,8),(4,32),-0.0936983 # DEPENDENCYPART_TRISIBL
(4,5),(4,8),(4,33),-0.103356 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,5),(4,9),(4,10),-0.0680264 # DEPENDENCYPART_TRISIBL
(4,5),(4,9),(4,11),-0.0679044 # DEPENDENCYPART_TRISIBL
(4,5),(4,9),(4,12),-0.0679044 # DEPENDENCYPART_TRISIBL
(4,5),(4,9),(4,13),-0.0325819 # DEPENDENCYPART_TRISIBL
(4,5),(4,9),(4,15),-0.0679052 # DEPENDENCYPART_TRISIBL
(4,5),(4,9),(4,16),0.459396 # DEPENDENCYPART_TRISIBL
(4,5),(4,9),(4,17),-0.0368029 # DEPENDENCYPART_TRISIBL
(4,5),(4,9),(4,19),-0.00858815 # DEPENDENCYPART_TRISIBL
(4,5),(4,9),(4,26),-0.0509975 # DEPENDENCYPART_TRISIBL
(4,5),(4,9),(4,32),-0.189095 # DEPENDENCYPART_TRISIBL
(4,5),(4,9),(4,33),-0.0847069 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,5),(4,10),(4,11),-0.0679044 # DEPENDENCYPART_TRISIBL
(4,5),(4,10),(4,12),-0.0679044 # DEPENDENCYPART_TRISIBL
(4,5),(4,10),(4,13),-0.0325819 # DEPENDENCYPART_TRISIBL
(4,5),(4,10),(4,15),-0.0679052 # DEPENDENCYPART_TRISIBL
(4,5),(4,10),(4,16),0.45119 # DEPENDENCYPART_TRISIBL
(4,5),(4,10),(4,17),-0.0368029 # DEPENDENCYPART_TRISIBL
(4,5),(4,10),(4,19),-0.00858815 # DEPENDENCYPART_TRISIBL
(4,5),(4,10),(4,26),-0.0509975 # DEPENDENCYPART_TRISIBL
(4,5),(4,10),(4,32),-0.190313 # DEPENDENCYPART_TRISIBL
(4,5),(4,10),(4,33),-0.0636728 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,5),(4,11),(4,12),-0.0679044 # DEPENDENCYPART_TRISIBL
(4,5),(4,11),(4,13),-0.0325819 # DEPENDENCYPART_TRISIBL
(4,5),(4,11),(4,15),-0.0679052 # DEPENDENCYPART_TRISIBL
(4,5),(4,11),(4,16),0.459541 # DEPENDENCYPART_TRISIBL
(4,5),(4,11),(4,17),-0.0368029 # DEPENDENCYPART_TRISIBL
(4,5),(4,11),(4,19),-0.00858815 # DEPENDENCYPART_TRISIBL
(4,5),(4,11),(4,26),-0.0509975 # DEPENDENCYPART_TRISIBL
(4,5),(4,11),(4,32),-0.189095 # DEPENDENCYPART_TRISIBL
(4,5),(4,11),(4,33),-0.0847054 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,5),(4,12),(4,13),-0.0325819 # DEPENDENCYPART_TRISIBL
(4,5),(4,12),(4,15),-0.0679052 # DEPENDENCYPART_TRISIBL
(4,5),(4,12),(4,16),0.459541 # DEPENDENCYPART_TRISIBL
(4,5),(4,12),(4,17),-0.0368029 # DEPENDENCYPART_TRISIBL
(4,5),(4,12),(4,19),-0.00858815 # DEPENDENCYPART_TRISIBL
(4,5),(4,12),(4,26),-0.0509975 # DEPENDENCYPART_TRISIBL
(4,5),(4,12),(4,32),-0.189095 # DEPENDENCYPART_TRISIBL
(4,5),(4,12),(4,33),-0.0847125 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,5),(4,13),(4,15),-0.0246435 # DEPENDENCYPART_TRISIBL
(4,5),(4,13),(4,16),0.542829 # DEPENDENCYPART_TRISIBL
(4,5),(4,13),(4,17),-0.0739238 # DEPENDENCYPART_TRISIBL
(4,5),(4,13),(4,19),-0.0492275 # DEPENDENCYPART_TRISIBL
(4,5),(4,13),(4,26),0.0116696 # DEPENDENCYPART_TRISIBL
(4,5),(4,13),(4,32),-0.10097 # DEPENDENCYPART_TRISIBL
(4,5),(4,13),(4,33),-0.0535188 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,5),(4,15),(4,16),0.459523 # DEPENDENCYPART_TRISIBL
(4,5),(4,15),(4,17),-0.0368029 # DEPENDENCYPART_TRISIBL
(4,5),(4,15),(4,19),-0.00858815 # DEPENDENCYPART_TRISIBL
(4,5),(4,15),(4,26),-0.0509975 # DEPENDENCYPART_TRISIBL
(4,5),(4,15),(4,32),-0.189095 # DEPENDENCYPART_TRISIBL
(4,5),(4,15),(4,33),-0.0859664 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,5),(4,16),(4,17),-0.0800236 # DEPENDENCYPART_TRISIBL
(4,5),(4,16),(4,19),-0.0553176 # DEPENDENCYPART_TRISIBL
(4,5),(4,16),(4,26),-0.04828 # DEPENDENCYPART_TRISIBL
(4,5),(4,16),(4,32),-0.105322 # DEPENDENCYPART_TRISIBL
(4,5),(4,16),(4,33),-0.273101 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,5),(4,17),(4,19),-0.049556 # DEPENDENCYPART_TRISIBL
(4,5),(4,17),(4,26),0.0115857 # DEPENDENCYPART_TRISIBL
(4,5),(4,17),(4,32),-0.111627 # DEPENDENCYPART_TRISIBL
(4,5),(4,17),(4,33),-0.0482199 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,5),(4,19),(4,26),0.0113005 # DEPENDENCYPART_TRISIBL
(4,5),(4,19),(4,32),-0.0981866 # DEPENDENCYPART_TRISIBL
(4,5),(4,19),(4,33),-0.0406497 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,5),(4,26),(4,32),-0.101967 # DEPENDENCYPART_TRISIBL
(4,5),(4,26),(4,33),-0.0962373 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,5),(4,32),(4,33),-0.307585 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,7),(4,8),(4,9),-0.0433906 # DEPENDENCYPART_TRISIBL
(4,7),(4,8),(4,10),-0.0433908 # DEPENDENCYPART_TRISIBL
(4,7),(4,8),(4,11),-0.0433906 # DEPENDENCYPART_TRISIBL
(4,7),(4,8),(4,12),-0.0433909 # DEPENDENCYPART_TRISIBL
(4,7),(4,8),(4,13),-0.127389 # DEPENDENCYPART_TRISIBL
(4,7),(4,8),(4,15),-0.0437466 # DEPENDENCYPART_TRISIBL
(4,7),(4,8),(4,16),0.0265328 # DEPENDENCYPART_TRISIBL
(4,7),(4,8),(4,17),-0.135606 # DEPENDENCYPART_TRISIBL
(4,7),(4,8),(4,19),-0.144557 # DEPENDENCYPART_TRISIBL
(4,7),(4,8),(4,26),-0.0269261 # DEPENDENCYPART_TRISIBL
(4,7),(4,8),(4,32),-0.0783629 # DEPENDENCYPART_TRISIBL
(4,7),(4,8),(4,33),-0.0955533 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,7),(4,9),(4,10),-0.0485082 # DEPENDENCYPART_TRISIBL
(4,7),(4,9),(4,11),-0.048508 # DEPENDENCYPART_TRISIBL
(4,7),(4,9),(4,12),-0.0485086 # DEPENDENCYPART_TRISIBL
(4,7),(4,9),(4,13),-0.0738119 # DEPENDENCYPART_TRISIBL
(4,7),(4,9),(4,15),-0.0488648 # DEPENDENCYPART_TRISIBL
(4,7),(4,9),(4,16),-0.0754878 # DEPENDENCYPART_TRISIBL
(4,7),(4,9),(4,17),-0.0816141 # DEPENDENCYPART_TRISIBL
(4,7),(4,9),(4,19),-0.0874437 # DEPENDENCYPART_TRISIBL
(4,7),(4,9),(4,26),-0.0617021 # DEPENDENCYPART_TRISIBL
(4,7),(4,9),(4,32),-0.07964 # DEPENDENCYPART_TRISIBL
(4,7),(4,9),(4,33),-0.0750094 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,7),(4,10),(4,11),-0.0487679 # DEPENDENCYPART_TRISIBL
(4,7),(4,10),(4,12),-0.0487685 # DEPENDENCYPART_TRISIBL
(4,7),(4,10),(4,13),-0.0738119 # DEPENDENCYPART_TRISIBL
(4,7),(4,10),(4,15),-0.0491247 # DEPENDENCYPART_TRISIBL
(4,7),(4,10),(4,16),-0.0754878 # DEPENDENCYPART_TRISIBL
(4,7),(4,10),(4,17),-0.0816141 # DEPENDENCYPART_TRISIBL
(4,7),(4,10),(4,19),-0.0874437 # DEPENDENCYPART_TRISIBL
(4,7),(4,10),(4,26),-0.0617021 # DEPENDENCYPART_TRISIBL
(4,7),(4,10),(4,32),-0.0796477 # DEPENDENCYPART_TRISIBL
(4,7),(4,10),(4,33),-0.0762074 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,7),(4,11),(4,12),-0.0485086 # DEPENDENCYPART_TRISIBL
(4,7),(4,11),(4,13),-0.0738119 # DEPENDENCYPART_TRISIBL
(4,7),(4,11),(4,15),-0.0488648 # DEPENDENCYPART_TRISIBL
(4,7),(4,11),(4,16),-0.0754878 # DEPENDENCYPART_TRISIBL
(4,7),(4,11),(4,17),-0.0816141 # DEPENDENCYPART_TRISIBL
(4,7),(4,11),(4,19),-0.0874437 # DEPENDENCYPART_TRISIBL
(4,7),(4,11),(4,26),-0.0617021 # DEPENDENCYPART_TRISIBL
(4,7),(4,11),(4,32),-0.07964 # DEPENDENCYPART_TRISIBL
(4,7),(4,11),(4,33),-0.0750094 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,7),(4,12),(4,13),-0.0738119 # DEPENDENCYPART_TRISIBL
(4,7),(4,12),(4,15),-0.0488647 # DEPENDENCYPART_TRISIBL
(4,7),(4,12),(4,16),-0.0754878 # DEPENDENCYPART_TRISIBL
(4,7),(4,12),(4,17),-0.0816141 # DEPENDENCYPART_TRISIBL
(4,7),(4,12),(4,19),-0.0874437 # DEPENDENCYPART_TRISIBL
(4,7),(4,12),(4,26),-0.0617021 # DEPENDENCYPART_TRISIBL
(4,7),(4,12),(4,32),-0.0796447 # DEPENDENCYPART_TRISIBL
(4,7),(4,12),(4,33),-0.0750094 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,7),(4,13),(4,15),-0.0329131 # DEPENDENCYPART_TRISIBL
(4,7),(4,13),(4,16),-0.0709527 # DEPENDENCYPART_TRISIBL
(4,7),(4,13),(4,17),-0.111946 # DEPENDENCYPART_TRISIBL
(4,7),(4,13),(4,19),-0.118229 # DEPENDENCYPART_TRISIBL
(4,7),(4,13),(4,26),-0.0273456 # DEPENDENCYPART_TRISIBL
(4,7),(4,13),(4,32),-0.107756 # DEPENDENCYPART_TRISIBL
(4,7),(4,13),(4,33),-0.0899623 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,7),(4,15),(4,16),-0.0754878 # DEPENDENCYPART_TRISIBL
(4,7),(4,15),(4,17),-0.0816141 # DEPENDENCYPART_TRISIBL
(4,7),(4,15),(4,19),-0.0874437 # DEPENDENCYPART_TRISIBL
(4,7),(4,15),(4,26),-0.0617021 # DEPENDENCYPART_TRISIBL
(4,7),(4,15),(4,32),-0.07964 # DEPENDENCYPART_TRISIBL
(4,7),(4,15),(4,33),-0.0750809 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,7),(4,16),(4,17),-0.0243584 # DEPENDENCYPART_TRISIBL
(4,7),(4,16),(4,19),-0.0293459 # DEPENDENCYPART_TRISIBL
(4,7),(4,16),(4,26),0.0460996 # DEPENDENCYPART_TRISIBL
(4,7),(4,16),(4,32),-0.0950235 # DEPENDENCYPART_TRISIBL
(4,7),(4,16),(4,33),-0.193568 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,7),(4,17),(4,19),-0.114506 # DEPENDENCYPART_TRISIBL
(4,7),(4,17),(4,26),-0.0276539 # DEPENDENCYPART_TRISIBL
(4,7),(4,17),(4,32),-0.111864 # DEPENDENCYPART_TRISIBL
(4,7),(4,17),(4,33),-0.0759716 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,7),(4,19),(4,26),-0.027986 # DEPENDENCYPART_TRISIBL
(4,7),(4,19),(4,32),-0.120493 # DEPENDENCYPART_TRISIBL
(4,7),(4,19),(4,33),-0.113317 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,7),(4,26),(4,32),-0.0888274 # DEPENDENCYPART_TRISIBL
(4,7),(4,26),(4,33),-0.0534463 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,7),(4,32),(4,33),-0.0758941 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,8),(4,9),(4,10),-0.0519333 # DEPENDENCYPART_TRISIBL
(4,8),(4,9),(4,11),-0.0519331 # DEPENDENCYPART_TRISIBL
(4,8),(4,9),(4,12),-0.0519337 # DEPENDENCYPART_TRISIBL
(4,8),(4,9),(4,13),-0.0718959 # DEPENDENCYPART_TRISIBL
(4,8),(4,9),(4,15),-0.0522899 # DEPENDENCYPART_TRISIBL
(4,8),(4,9),(4,16),-0.0699041 # DEPENDENCYPART_TRISIBL
(4,8),(4,9),(4,17),-0.0796982 # DEPENDENCYPART_TRISIBL
(4,8),(4,9),(4,19),-0.0855278 # DEPENDENCYPART_TRISIBL
(4,8),(4,9),(4,26),-0.0601465 # DEPENDENCYPART_TRISIBL
(4,8),(4,9),(4,32),-0.0896564 # DEPENDENCYPART_TRISIBL
(4,8),(4,9),(4,33),-0.0223133 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,8),(4,10),(4,11),-0.0521931 # DEPENDENCYPART_TRISIBL
(4,8),(4,10),(4,12),-0.0521936 # DEPENDENCYPART_TRISIBL
(4,8),(4,10),(4,13),-0.0718959 # DEPENDENCYPART_TRISIBL
(4,8),(4,10),(4,15),-0.0525499 # DEPENDENCYPART_TRISIBL
(4,8),(4,10),(4,16),-0.0699041 # DEPENDENCYPART_TRISIBL
(4,8),(4,10),(4,17),-0.0796982 # DEPENDENCYPART_TRISIBL
(4,8),(4,10),(4,19),-0.0855278 # DEPENDENCYPART_TRISIBL
(4,8),(4,10),(4,26),-0.0601465 # DEPENDENCYPART_TRISIBL
(4,8),(4,10),(4,32),-0.0896641 # DEPENDENCYPART_TRISIBL
(4,8),(4,10),(4,33),-0.0235112 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,8),(4,11),(4,12),-0.0519337 # DEPENDENCYPART_TRISIBL
(4,8),(4,11),(4,13),-0.0718959 # DEPENDENCYPART_TRISIBL
(4,8),(4,11),(4,15),-0.0522899 # DEPENDENCYPART_TRISIBL
(4,8),(4,11),(4,16),-0.0699041 # DEPENDENCYPART_TRISIBL
(4,8),(4,11),(4,17),-0.0796982 # DEPENDENCYPART_TRISIBL
(4,8),(4,11),(4,19),-0.0855278 # DEPENDENCYPART_TRISIBL
(4,8),(4,11),(4,26),-0.0601465 # DEPENDENCYPART_TRISIBL
