# _root_ If the pound falls closer to 2.80 marks , the Bank of England may raise Britain 's base lending rate by one percentage point to 16 % , says Mr. Rendell .
#goldHeads=4,3,4,14,4,5,8,6,14,11,14,11,12,29,14,20,16,20,20,15,15,24,24,21,15,27,25,29,0,31,29,29,
#predictedHeads=4,3,4,14,4,4,8,6,14,11,14,11,12,29,14,20,16,20,20,15,15,24,24,21,15,27,25,29,0,31,29,29,
(4,21),(12,20),0.25471 # DEPENDENCYPART_HEADBIGRAM
(4,21),(14,20),0.0819865 # DEPENDENCYPART_HEADBIGRAM
(4,21),(15,20),0.0886964 # DEPENDENCYPART_HEADBIGRAM
(4,21),(19,20),-0.0385186 # DEPENDENCYPART_HEADBIGRAM
(4,21),(21,20),0.140468 # DEPENDENCYPART_HEADBIGRAM
(4,21),(22,20),0.104161 # DEPENDENCYPART_HEADBIGRAM
(4,21),(24,20),-0.0188328 # DEPENDENCYPART_HEADBIGRAM
(4,21),(27,20),-0.0209561 # DEPENDENCYPART_HEADBIGRAM
(4,21),(29,20),0.0977514 # DEPENDENCYPART_HEADBIGRAM
(4,28),(8,27),0.0258939 # DEPENDENCYPART_HEADBIGRAM
(4,28),(15,27),0.216128 # DEPENDENCYPART_HEADBIGRAM
(4,28),(16,27),0.0411194 # DEPENDENCYPART_HEADBIGRAM
(4,28),(20,27),0.0315084 # DEPENDENCYPART_HEADBIGRAM
(4,28),(21,27),0.198555 # DEPENDENCYPART_HEADBIGRAM
(4,28),(22,27),0.0907991 # DEPENDENCYPART_HEADBIGRAM
(4,28),(23,27),0.00943376 # DEPENDENCYPART_HEADBIGRAM
(4,28),(24,27),0.00342895 # DEPENDENCYPART_HEADBIGRAM
(4,28),(25,27),0.158215 # DEPENDENCYPART_HEADBIGRAM
(4,28),(29,27),0.0870404 # DEPENDENCYPART_HEADBIGRAM
(4,29),(4,28),0.369615 # DEPENDENCYPART_HEADBIGRAM
(4,29),(8,28),0.189601 # DEPENDENCYPART_HEADBIGRAM
(4,29),(11,28),0.193179 # DEPENDENCYPART_HEADBIGRAM
(4,29),(15,28),0.124669 # DEPENDENCYPART_HEADBIGRAM
(4,29),(20,28),0.15947 # DEPENDENCYPART_HEADBIGRAM
(4,29),(22,28),0.131655 # DEPENDENCYPART_HEADBIGRAM
(4,29),(24,28),0.157167 # DEPENDENCYPART_HEADBIGRAM
(4,29),(25,28),0.105728 # DEPENDENCYPART_HEADBIGRAM
(4,29),(27,28),0.151475 # DEPENDENCYPART_HEADBIGRAM
(4,29),(29,28),0.154544 # DEPENDENCYPART_HEADBIGRAM
(4,32),(20,31),0.0262062 # DEPENDENCYPART_HEADBIGRAM
(4,32),(21,31),0.175265 # DEPENDENCYPART_HEADBIGRAM
(4,32),(23,31),0.070868 # DEPENDENCYPART_HEADBIGRAM
(4,32),(24,31),0.0532992 # DEPENDENCYPART_HEADBIGRAM
(4,32),(25,31),0.119556 # DEPENDENCYPART_HEADBIGRAM
(4,32),(26,31),0.11537 # DEPENDENCYPART_HEADBIGRAM
(4,32),(27,31),0.0157197 # DEPENDENCYPART_HEADBIGRAM
(4,32),(29,31),0.148287 # DEPENDENCYPART_HEADBIGRAM
(4,32),(30,31),0.160509 # DEPENDENCYPART_HEADBIGRAM
(4,32),(32,31),0.0239584 # DEPENDENCYPART_HEADBIGRAM
(5,3),(1,2),-0.132505 # DEPENDENCYPART_HEADBIGRAM
(5,3),(3,2),-0.131112 # DEPENDENCYPART_HEADBIGRAM
(5,3),(4,2),-0.127135 # DEPENDENCYPART_HEADBIGRAM
(5,3),(7,2),0.109132 # DEPENDENCYPART_HEADBIGRAM
(5,3),(8,2),0.0656654 # DEPENDENCYPART_HEADBIGRAM
(5,4),(0,3),-0.147039 # DEPENDENCYPART_HEADBIGRAM
(5,4),(1,3),-0.177024 # DEPENDENCYPART_HEADBIGRAM
(5,4),(4,3),-0.0573849 # DEPENDENCYPART_HEADBIGRAM
(5,4),(5,3),0.12392 # DEPENDENCYPART_HEADBIGRAM
(5,4),(7,3),0.0876437 # DEPENDENCYPART_HEADBIGRAM
(5,4),(8,3),0.0863607 # DEPENDENCYPART_HEADBIGRAM
(5,4),(14,3),0.0856526 # DEPENDENCYPART_HEADBIGRAM
(5,4),(20,3),0.0846076 # DEPENDENCYPART_HEADBIGRAM
(5,4),(29,3),0.081194 # DEPENDENCYPART_HEADBIGRAM
(5,6),(1,5),-0.0629343 # DEPENDENCYPART_HEADBIGRAM
(5,6),(3,5),-0.0642102 # DEPENDENCYPART_HEADBIGRAM
(5,6),(4,5),-0.0516133 # DEPENDENCYPART_HEADBIGRAM
(5,6),(7,5),0.0904236 # DEPENDENCYPART_HEADBIGRAM
(5,6),(8,5),0.113368 # DEPENDENCYPART_HEADBIGRAM
(5,12),(4,11),-0.00568216 # DEPENDENCYPART_HEADBIGRAM
(5,12),(6,11),0.112911 # DEPENDENCYPART_HEADBIGRAM
(5,12),(7,11),0.115984 # DEPENDENCYPART_HEADBIGRAM
(5,12),(8,11),0.124434 # DEPENDENCYPART_HEADBIGRAM
(5,12),(13,11),0.103252 # DEPENDENCYPART_HEADBIGRAM
(5,12),(14,11),0.087056 # DEPENDENCYPART_HEADBIGRAM
(5,12),(15,11),0.0829793 # DEPENDENCYPART_HEADBIGRAM
(5,12),(16,11),0.0912225 # DEPENDENCYPART_HEADBIGRAM
(5,12),(20,11),0.102086 # DEPENDENCYPART_HEADBIGRAM
(5,12),(29,11),0.0959369 # DEPENDENCYPART_HEADBIGRAM
(5,14),(8,13),0.114489 # DEPENDENCYPART_HEADBIGRAM
(5,14),(11,13),0.145543 # DEPENDENCYPART_HEADBIGRAM
(5,14),(12,13),0.143122 # DEPENDENCYPART_HEADBIGRAM
(5,14),(14,13),0.139959 # DEPENDENCYPART_HEADBIGRAM
(5,14),(15,13),0.0949194 # DEPENDENCYPART_HEADBIGRAM
(5,14),(16,13),0.0898112 # DEPENDENCYPART_HEADBIGRAM
(5,14),(18,13),0.0898112 # DEPENDENCYPART_HEADBIGRAM
(5,14),(20,13),0.0968525 # DEPENDENCYPART_HEADBIGRAM
(5,14),(24,13),0.0957456 # DEPENDENCYPART_HEADBIGRAM
(5,14),(29,13),0.0959391 # DEPENDENCYPART_HEADBIGRAM
(6,7),(0,6),-0.0584008 # DEPENDENCYPART_HEADBIGRAM
(6,7),(1,6),-0.0288053 # DEPENDENCYPART_HEADBIGRAM
(6,7),(3,6),-0.0773668 # DEPENDENCYPART_HEADBIGRAM
(6,7),(4,6),-0.0423025 # DEPENDENCYPART_HEADBIGRAM
(6,7),(5,6),-0.0364072 # DEPENDENCYPART_HEADBIGRAM
(6,7),(7,6),-0.0393439 # DEPENDENCYPART_HEADBIGRAM
(6,7),(8,6),0.0644824 # DEPENDENCYPART_HEADBIGRAM
(6,7),(12,6),0.106585 # DEPENDENCYPART_HEADBIGRAM
(6,8),(1,7),-0.020529 # DEPENDENCYPART_HEADBIGRAM
(6,8),(4,7),-0.0635941 # DEPENDENCYPART_HEADBIGRAM
(6,8),(6,7),0.0103353 # DEPENDENCYPART_HEADBIGRAM
(6,8),(8,7),0.158748 # DEPENDENCYPART_HEADBIGRAM
(6,8),(11,7),0.0839195 # DEPENDENCYPART_HEADBIGRAM
(6,8),(14,7),0.0981359 # DEPENDENCYPART_HEADBIGRAM
(6,9),(1,8),-0.0556971 # DEPENDENCYPART_HEADBIGRAM
(6,9),(3,8),-0.0477552 # DEPENDENCYPART_HEADBIGRAM
(6,9),(4,8),-0.0609282 # DEPENDENCYPART_HEADBIGRAM
(6,9),(6,8),0.00446675 # DEPENDENCYPART_HEADBIGRAM
(6,9),(7,8),0.169287 # DEPENDENCYPART_HEADBIGRAM
(6,9),(11,8),0.0985616 # DEPENDENCYPART_HEADBIGRAM
(6,9),(12,8),0.115113 # DEPENDENCYPART_HEADBIGRAM
(6,9),(14,8),0.0881726 # DEPENDENCYPART_HEADBIGRAM
(6,9),(15,8),0.0847773 # DEPENDENCYPART_HEADBIGRAM
(6,9),(20,8),0.104639 # DEPENDENCYPART_HEADBIGRAM
(6,11),(8,10),0.0592618 # DEPENDENCYPART_HEADBIGRAM
(6,11),(11,10),0.0420004 # DEPENDENCYPART_HEADBIGRAM
(6,11),(12,10),0.091839 # DEPENDENCYPART_HEADBIGRAM
(6,11),(13,10),0.0632543 # DEPENDENCYPART_HEADBIGRAM
(6,11),(14,10),0.0754955 # DEPENDENCYPART_HEADBIGRAM
(6,11),(16,10),0.0780175 # DEPENDENCYPART_HEADBIGRAM
(6,11),(20,10),0.0780175 # DEPENDENCYPART_HEADBIGRAM
(6,11),(24,10),0.0850231 # DEPENDENCYPART_HEADBIGRAM
(6,12),(4,11),0.0175323 # DEPENDENCYPART_HEADBIGRAM
(6,12),(6,11),0.149516 # DEPENDENCYPART_HEADBIGRAM
(6,12),(7,11),0.126556 # DEPENDENCYPART_HEADBIGRAM
(6,12),(8,11),0.122128 # DEPENDENCYPART_HEADBIGRAM
(6,12),(13,11),0.0927743 # DEPENDENCYPART_HEADBIGRAM
(6,12),(14,11),0.0837733 # DEPENDENCYPART_HEADBIGRAM
(6,12),(15,11),0.11013 # DEPENDENCYPART_HEADBIGRAM
(6,12),(16,11),0.0807461 # DEPENDENCYPART_HEADBIGRAM
(6,12),(20,11),0.0920344 # DEPENDENCYPART_HEADBIGRAM
(6,12),(29,11),0.123173 # DEPENDENCYPART_HEADBIGRAM
(7,2),(2,1),-0.126527 # DEPENDENCYPART_HEADBIGRAM
(7,2),(3,1),-0.138998 # DEPENDENCYPART_HEADBIGRAM
(7,2),(4,1),-0.129924 # DEPENDENCYPART_HEADBIGRAM
(7,2),(6,1),-0.128675 # DEPENDENCYPART_HEADBIGRAM
(7,2),(7,1),0.0883229 # DEPENDENCYPART_HEADBIGRAM
(7,2),(8,1),0.0635838 # DEPENDENCYPART_HEADBIGRAM
(7,2),(14,1),0.0836844 # DEPENDENCYPART_HEADBIGRAM
(7,2),(15,1),0.0853534 # DEPENDENCYPART_HEADBIGRAM
(7,2),(29,1),0.0778856 # DEPENDENCYPART_HEADBIGRAM
(7,3),(1,2),-0.117099 # DEPENDENCYPART_HEADBIGRAM
(7,3),(3,2),-0.0995986 # DEPENDENCYPART_HEADBIGRAM
(7,3),(4,2),-0.128392 # DEPENDENCYPART_HEADBIGRAM
(7,3),(7,2),0.0399114 # DEPENDENCYPART_HEADBIGRAM
(7,3),(8,2),0.154366 # DEPENDENCYPART_HEADBIGRAM
(7,5),(0,4),-0.164392 # DEPENDENCYPART_HEADBIGRAM
(7,5),(1,4),-0.131268 # DEPENDENCYPART_HEADBIGRAM
(7,5),(2,4),-0.147471 # DEPENDENCYPART_HEADBIGRAM
(7,5),(3,4),-0.149805 # DEPENDENCYPART_HEADBIGRAM
(7,5),(5,4),-0.128187 # DEPENDENCYPART_HEADBIGRAM
(7,5),(14,4),0.114313 # DEPENDENCYPART_HEADBIGRAM
(7,5),(15,4),0.0898576 # DEPENDENCYPART_HEADBIGRAM
(7,5),(29,4),0.110545 # DEPENDENCYPART_HEADBIGRAM
(7,6),(1,5),-0.114281 # DEPENDENCYPART_HEADBIGRAM
(7,6),(3,5),-0.114256 # DEPENDENCYPART_HEADBIGRAM
(7,6),(4,5),-0.116022 # DEPENDENCYPART_HEADBIGRAM
(7,6),(7,5),0.139523 # DEPENDENCYPART_HEADBIGRAM
(7,6),(8,5),0.0889539 # DEPENDENCYPART_HEADBIGRAM
(7,8),(1,7),-0.0453002 # DEPENDENCYPART_HEADBIGRAM
(7,8),(4,7),-0.0884302 # DEPENDENCYPART_HEADBIGRAM
(7,8),(6,7),-0.106797 # DEPENDENCYPART_HEADBIGRAM
(7,8),(8,7),-0.0298245 # DEPENDENCYPART_HEADBIGRAM
(7,8),(11,7),0.228277 # DEPENDENCYPART_HEADBIGRAM
(7,8),(14,7),0.108402 # DEPENDENCYPART_HEADBIGRAM
(7,9),(1,8),-0.0640518 # DEPENDENCYPART_HEADBIGRAM
(7,9),(3,8),-0.0613202 # DEPENDENCYPART_HEADBIGRAM
(7,9),(4,8),-0.0679097 # DEPENDENCYPART_HEADBIGRAM
(7,9),(6,8),-0.063398 # DEPENDENCYPART_HEADBIGRAM
(7,9),(7,8),0.0591687 # DEPENDENCYPART_HEADBIGRAM
(7,9),(11,8),0.0979267 # DEPENDENCYPART_HEADBIGRAM
(7,9),(12,8),0.101427 # DEPENDENCYPART_HEADBIGRAM
(7,9),(14,8),0.0962846 # DEPENDENCYPART_HEADBIGRAM
(7,9),(15,8),0.089829 # DEPENDENCYPART_HEADBIGRAM
(7,9),(20,8),0.101311 # DEPENDENCYPART_HEADBIGRAM
(7,11),(8,10),0.0748983 # DEPENDENCYPART_HEADBIGRAM
(7,11),(11,10),0.0260209 # DEPENDENCYPART_HEADBIGRAM
(7,11),(12,10),0.0929254 # DEPENDENCYPART_HEADBIGRAM
(7,11),(13,10),0.082647 # DEPENDENCYPART_HEADBIGRAM
(7,11),(14,10),0.0754944 # DEPENDENCYPART_HEADBIGRAM
(7,11),(16,10),0.0974102 # DEPENDENCYPART_HEADBIGRAM
(7,11),(20,10),0.0974102 # DEPENDENCYPART_HEADBIGRAM
(7,11),(24,10),0.104411 # DEPENDENCYPART_HEADBIGRAM
(7,14),(8,13),0.114795 # DEPENDENCYPART_HEADBIGRAM
(7,14),(11,13),0.145849 # DEPENDENCYPART_HEADBIGRAM
(7,14),(12,13),0.141574 # DEPENDENCYPART_HEADBIGRAM
(7,14),(14,13),0.0975015 # DEPENDENCYPART_HEADBIGRAM
(7,14),(15,13),0.0946634 # DEPENDENCYPART_HEADBIGRAM
(7,14),(16,13),0.0899642 # DEPENDENCYPART_HEADBIGRAM
(7,14),(18,13),0.0899642 # DEPENDENCYPART_HEADBIGRAM
(7,14),(20,13),0.0970055 # DEPENDENCYPART_HEADBIGRAM
(7,14),(24,13),0.0958986 # DEPENDENCYPART_HEADBIGRAM
(7,14),(29,13),0.095683 # DEPENDENCYPART_HEADBIGRAM
(8,2),(2,1),-0.117276 # DEPENDENCYPART_HEADBIGRAM
(8,2),(3,1),-0.139576 # DEPENDENCYPART_HEADBIGRAM
(8,2),(4,1),-0.0976951 # DEPENDENCYPART_HEADBIGRAM
(8,2),(6,1),-0.147534 # DEPENDENCYPART_HEADBIGRAM
(8,2),(7,1),-0.115835 # DEPENDENCYPART_HEADBIGRAM
(8,2),(8,1),0.0417968 # DEPENDENCYPART_HEADBIGRAM
(8,2),(14,1),0.0916844 # DEPENDENCYPART_HEADBIGRAM
(8,2),(15,1),0.124761 # DEPENDENCYPART_HEADBIGRAM
(8,2),(29,1),0.112953 # DEPENDENCYPART_HEADBIGRAM
(8,3),(1,2),-0.130796 # DEPENDENCYPART_HEADBIGRAM
(8,3),(3,2),-0.0197037 # DEPENDENCYPART_HEADBIGRAM
(8,3),(4,2),-0.130539 # DEPENDENCYPART_HEADBIGRAM
(8,3),(7,2),-0.135053 # DEPENDENCYPART_HEADBIGRAM
(8,3),(8,2),0.0878973 # DEPENDENCYPART_HEADBIGRAM
(8,5),(0,4),-0.201719 # DEPENDENCYPART_HEADBIGRAM
(8,5),(1,4),-0.142839 # DEPENDENCYPART_HEADBIGRAM
(8,5),(2,4),-0.0866159 # DEPENDENCYPART_HEADBIGRAM
(8,5),(3,4),-0.0658138 # DEPENDENCYPART_HEADBIGRAM
(8,5),(5,4),-0.126791 # DEPENDENCYPART_HEADBIGRAM
(8,5),(14,4),0.116735 # DEPENDENCYPART_HEADBIGRAM
(8,5),(15,4),0.103259 # DEPENDENCYPART_HEADBIGRAM
(8,5),(29,4),0.116376 # DEPENDENCYPART_HEADBIGRAM
(8,6),(1,5),-0.114322 # DEPENDENCYPART_HEADBIGRAM
(8,6),(3,5),-0.113565 # DEPENDENCYPART_HEADBIGRAM
(8,6),(4,5),-0.106881 # DEPENDENCYPART_HEADBIGRAM
(8,6),(7,5),-0.123644 # DEPENDENCYPART_HEADBIGRAM
(8,6),(8,5),0.0758659 # DEPENDENCYPART_HEADBIGRAM
(8,7),(0,6),-0.0940703 # DEPENDENCYPART_HEADBIGRAM
(8,7),(1,6),-0.0576916 # DEPENDENCYPART_HEADBIGRAM
(8,7),(3,6),-0.145752 # DEPENDENCYPART_HEADBIGRAM
(8,7),(4,6),-0.223789 # DEPENDENCYPART_HEADBIGRAM
(8,7),(5,6),-0.181988 # DEPENDENCYPART_HEADBIGRAM
(8,7),(7,6),0.0688242 # DEPENDENCYPART_HEADBIGRAM
(8,7),(8,6),0.0402312 # DEPENDENCYPART_HEADBIGRAM
(8,7),(12,6),0.128971 # DEPENDENCYPART_HEADBIGRAM
(8,9),(1,8),-0.0276749 # DEPENDENCYPART_HEADBIGRAM
(8,9),(3,8),-0.00159161 # DEPENDENCYPART_HEADBIGRAM
(8,9),(4,8),0.0220949 # DEPENDENCYPART_HEADBIGRAM
(8,9),(6,8),0.00771441 # DEPENDENCYPART_HEADBIGRAM
(8,9),(7,8),-0.054325 # DEPENDENCYPART_HEADBIGRAM
(8,9),(11,8),0.132591 # DEPENDENCYPART_HEADBIGRAM
(8,9),(12,8),0.0782712 # DEPENDENCYPART_HEADBIGRAM
(8,9),(14,8),0.284804 # DEPENDENCYPART_HEADBIGRAM
(8,9),(15,8),0.271508 # DEPENDENCYPART_HEADBIGRAM
(8,9),(20,8),0.333539 # DEPENDENCYPART_HEADBIGRAM
(8,10),(3,9),-0.092056 # DEPENDENCYPART_HEADBIGRAM
(8,10),(4,9),-0.102917 # DEPENDENCYPART_HEADBIGRAM
(8,10),(6,9),-0.0556967 # DEPENDENCYPART_HEADBIGRAM
(8,10),(7,9),-0.0404715 # DEPENDENCYPART_HEADBIGRAM
(8,10),(8,9),0.107119 # DEPENDENCYPART_HEADBIGRAM
(8,10),(10,9),0.0837083 # DEPENDENCYPART_HEADBIGRAM
(8,10),(14,9),0.183479 # DEPENDENCYPART_HEADBIGRAM
(8,10),(15,9),0.0539905 # DEPENDENCYPART_HEADBIGRAM
(8,10),(20,9),0.0646034 # DEPENDENCYPART_HEADBIGRAM
(8,10),(29,9),0.0473337 # DEPENDENCYPART_HEADBIGRAM
(8,11),(8,10),0.0845978 # DEPENDENCYPART_HEADBIGRAM
(8,11),(11,10),0.0310884 # DEPENDENCYPART_HEADBIGRAM
(8,11),(12,10),0.0837141 # DEPENDENCYPART_HEADBIGRAM
(8,11),(13,10),0.0528174 # DEPENDENCYPART_HEADBIGRAM
(8,11),(14,10),0.0828981 # DEPENDENCYPART_HEADBIGRAM
(8,11),(16,10),0.0674058 # DEPENDENCYPART_HEADBIGRAM
(8,11),(20,10),0.067492 # DEPENDENCYPART_HEADBIGRAM
(8,11),(24,10),0.0745864 # DEPENDENCYPART_HEADBIGRAM
(8,12),(4,11),-0.01925 # DEPENDENCYPART_HEADBIGRAM
(8,12),(6,11),0.0357281 # DEPENDENCYPART_HEADBIGRAM
(8,12),(7,11),-0.0260369 # DEPENDENCYPART_HEADBIGRAM
(8,12),(8,11),0.116896 # DEPENDENCYPART_HEADBIGRAM
(8,12),(13,11),0.0509646 # DEPENDENCYPART_HEADBIGRAM
(8,12),(14,11),0.0559198 # DEPENDENCYPART_HEADBIGRAM
(8,12),(15,11),0.0580379 # DEPENDENCYPART_HEADBIGRAM
(8,12),(16,11),0.0191986 # DEPENDENCYPART_HEADBIGRAM
(8,12),(20,11),0.0463992 # DEPENDENCYPART_HEADBIGRAM
(8,12),(29,11),0.0883999 # DEPENDENCYPART_HEADBIGRAM
(8,13),(4,12),-0.0970154 # DEPENDENCYPART_HEADBIGRAM
(8,13),(5,12),-0.0610739 # DEPENDENCYPART_HEADBIGRAM
(8,13),(6,12),-0.0578733 # DEPENDENCYPART_HEADBIGRAM
(8,13),(8,12),0.028537 # DEPENDENCYPART_HEADBIGRAM
(8,13),(10,12),0.104316 # DEPENDENCYPART_HEADBIGRAM
(8,13),(11,12),0.0848751 # DEPENDENCYPART_HEADBIGRAM
(8,13),(13,12),0.112706 # DEPENDENCYPART_HEADBIGRAM
(8,13),(14,12),0.0869083 # DEPENDENCYPART_HEADBIGRAM
(8,13),(15,12),0.0510721 # DEPENDENCYPART_HEADBIGRAM
(8,13),(20,12),0.0857572 # DEPENDENCYPART_HEADBIGRAM
(8,14),(8,13),0.102531 # DEPENDENCYPART_HEADBIGRAM
(8,14),(11,13),0.153946 # DEPENDENCYPART_HEADBIGRAM
(8,14),(12,13),0.140405 # DEPENDENCYPART_HEADBIGRAM
(8,14),(14,13),0.156073 # DEPENDENCYPART_HEADBIGRAM
(8,14),(15,13),0.0884882 # DEPENDENCYPART_HEADBIGRAM
(8,14),(16,13),0.0940129 # DEPENDENCYPART_HEADBIGRAM
(8,14),(18,13),0.0940129 # DEPENDENCYPART_HEADBIGRAM
(8,14),(20,13),0.101054 # DEPENDENCYPART_HEADBIGRAM
(8,14),(24,13),0.0999473 # DEPENDENCYPART_HEADBIGRAM
(8,14),(29,13),0.0894958 # DEPENDENCYPART_HEADBIGRAM
(8,15),(0,14),-0.0718582 # DEPENDENCYPART_HEADBIGRAM
(8,15),(4,14),-0.072135 # DEPENDENCYPART_HEADBIGRAM
(8,15),(5,14),-0.0581574 # DEPENDENCYPART_HEADBIGRAM
(8,15),(7,14),-0.0570852 # DEPENDENCYPART_HEADBIGRAM
(8,15),(8,14),0.078722 # DEPENDENCYPART_HEADBIGRAM
(8,15),(11,14),0.0940711 # DEPENDENCYPART_HEADBIGRAM
(8,15),(12,14),0.10422 # DEPENDENCYPART_HEADBIGRAM
(8,15),(13,14),0.0975715 # DEPENDENCYPART_HEADBIGRAM
(8,15),(15,14),0.0853606 # DEPENDENCYPART_HEADBIGRAM
(8,15),(29,14),0.0842656 # DEPENDENCYPART_HEADBIGRAM
(8,20),(12,19),0.160273 # DEPENDENCYPART_HEADBIGRAM
(8,20),(14,19),0.110755 # DEPENDENCYPART_HEADBIGRAM
(8,20),(15,19),0.0705834 # DEPENDENCYPART_HEADBIGRAM
(8,20),(16,19),0.107997 # DEPENDENCYPART_HEADBIGRAM
(8,20),(18,19),0.0815972 # DEPENDENCYPART_HEADBIGRAM
(8,20),(20,19),0.162192 # DEPENDENCYPART_HEADBIGRAM
(8,20),(21,19),0.0787974 # DEPENDENCYPART_HEADBIGRAM
(8,20),(24,19),0.0998262 # DEPENDENCYPART_HEADBIGRAM
(8,20),(27,19),0.100191 # DEPENDENCYPART_HEADBIGRAM
(8,20),(29,19),0.0545545 # DEPENDENCYPART_HEADBIGRAM
(8,27),(15,26),0.0937125 # DEPENDENCYPART_HEADBIGRAM
(8,27),(20,26),0.0678641 # DEPENDENCYPART_HEADBIGRAM
(8,27),(21,26),0.0688581 # DEPENDENCYPART_HEADBIGRAM
(8,27),(22,26),0.0971999 # DEPENDENCYPART_HEADBIGRAM
(8,27),(23,26),0.0675 # DEPENDENCYPART_HEADBIGRAM
(8,27),(24,26),0.0629769 # DEPENDENCYPART_HEADBIGRAM
(8,27),(25,26),0.0693695 # DEPENDENCYPART_HEADBIGRAM
(8,27),(27,26),0.334539 # DEPENDENCYPART_HEADBIGRAM
(8,27),(29,26),0.0818478 # DEPENDENCYPART_HEADBIGRAM
(8,28),(8,27),0.101748 # DEPENDENCYPART_HEADBIGRAM
(8,28),(15,27),0.0686216 # DEPENDENCYPART_HEADBIGRAM
(8,28),(16,27),0.136057 # DEPENDENCYPART_HEADBIGRAM
(8,28),(20,27),0.119522 # DEPENDENCYPART_HEADBIGRAM
(8,28),(21,27),0.072943 # DEPENDENCYPART_HEADBIGRAM
(8,28),(22,27),0.156717 # DEPENDENCYPART_HEADBIGRAM
(8,28),(23,27),0.156279 # DEPENDENCYPART_HEADBIGRAM
(8,28),(24,27),0.145296 # DEPENDENCYPART_HEADBIGRAM
(8,28),(25,27),0.205764 # DEPENDENCYPART_HEADBIGRAM
(8,28),(29,27),0.0159721 # DEPENDENCYPART_HEADBIGRAM
(8,29),(4,28),0.0194548 # DEPENDENCYPART_HEADBIGRAM
(8,29),(8,28),0.083339 # DEPENDENCYPART_HEADBIGRAM
(8,29),(11,28),0.0988038 # DEPENDENCYPART_HEADBIGRAM
(8,29),(15,28),0.216856 # DEPENDENCYPART_HEADBIGRAM
(8,29),(20,28),0.0699041 # DEPENDENCYPART_HEADBIGRAM
(8,29),(22,28),0.126977 # DEPENDENCYPART_HEADBIGRAM
(8,29),(24,28),0.0677169 # DEPENDENCYPART_HEADBIGRAM
(8,29),(25,28),0.107926 # DEPENDENCYPART_HEADBIGRAM
(8,29),(27,28),0.0550806 # DEPENDENCYPART_HEADBIGRAM
(8,29),(29,28),0.0711638 # DEPENDENCYPART_HEADBIGRAM
(8,32),(20,31),0.0860735 # DEPENDENCYPART_HEADBIGRAM
(8,32),(21,31),0.12066 # DEPENDENCYPART_HEADBIGRAM
(8,32),(23,31),0.117586 # DEPENDENCYPART_HEADBIGRAM
(8,32),(24,31),0.125093 # DEPENDENCYPART_HEADBIGRAM
(8,32),(25,31),0.0459916 # DEPENDENCYPART_HEADBIGRAM
(8,32),(26,31),0.0938196 # DEPENDENCYPART_HEADBIGRAM
(8,32),(27,31),0.149567 # DEPENDENCYPART_HEADBIGRAM
(8,32),(29,31),0.111702 # DEPENDENCYPART_HEADBIGRAM
(8,32),(30,31),0.167928 # DEPENDENCYPART_HEADBIGRAM
(8,32),(32,31),0.0699867 # DEPENDENCYPART_HEADBIGRAM
(10,9),(1,8),-0.162004 # DEPENDENCYPART_HEADBIGRAM
(10,9),(3,8),-0.0600422 # DEPENDENCYPART_HEADBIGRAM
(10,9),(4,8),-0.055253 # DEPENDENCYPART_HEADBIGRAM
(10,9),(6,8),-0.0619397 # DEPENDENCYPART_HEADBIGRAM
(10,9),(7,8),-0.0617869 # DEPENDENCYPART_HEADBIGRAM
(10,9),(11,8),0.102029 # DEPENDENCYPART_HEADBIGRAM
(10,9),(12,8),0.100522 # DEPENDENCYPART_HEADBIGRAM
(10,9),(14,8),0.103529 # DEPENDENCYPART_HEADBIGRAM
(10,9),(15,8),0.112274 # DEPENDENCYPART_HEADBIGRAM
(10,9),(20,8),0.0761724 # DEPENDENCYPART_HEADBIGRAM
(10,12),(4,11),-0.0648768 # DEPENDENCYPART_HEADBIGRAM
(10,12),(6,11),-0.0656485 # DEPENDENCYPART_HEADBIGRAM
(10,12),(7,11),-0.065612 # DEPENDENCYPART_HEADBIGRAM
(10,12),(8,11),-0.0665278 # DEPENDENCYPART_HEADBIGRAM
(10,12),(13,11),0.094022 # DEPENDENCYPART_HEADBIGRAM
(10,12),(14,11),0.088343 # DEPENDENCYPART_HEADBIGRAM
(10,12),(15,11),0.0862673 # DEPENDENCYPART_HEADBIGRAM
(10,12),(16,11),0.0875183 # DEPENDENCYPART_HEADBIGRAM
(10,12),(20,11),0.0942324 # DEPENDENCYPART_HEADBIGRAM
(10,12),(29,11),0.0950144 # DEPENDENCYPART_HEADBIGRAM
(11,7),(0,6),-0.124134 # DEPENDENCYPART_HEADBIGRAM
(11,7),(1,6),-0.07358 # DEPENDENCYPART_HEADBIGRAM
(11,7),(3,6),-0.161374 # DEPENDENCYPART_HEADBIGRAM
(11,7),(4,6),-0.204159 # DEPENDENCYPART_HEADBIGRAM
(11,7),(5,6),-0.156472 # DEPENDENCYPART_HEADBIGRAM
(11,7),(7,6),0.0148691 # DEPENDENCYPART_HEADBIGRAM
(11,7),(8,6),-0.142755 # DEPENDENCYPART_HEADBIGRAM
(11,7),(12,6),0.135458 # DEPENDENCYPART_HEADBIGRAM
(11,8),(1,7),-0.19267 # DEPENDENCYPART_HEADBIGRAM
(11,8),(4,7),-0.161 # DEPENDENCYPART_HEADBIGRAM
(11,8),(6,7),-0.13976 # DEPENDENCYPART_HEADBIGRAM
