# _root_ In addition to increasing costs as a result of greater financial exposure for members , these measures could have other , far-reaching repercussions .
#goldHeads=18,1,2,3,4,4,8,6,8,12,12,9,12,13,18,17,18,0,18,22,22,23,19,18,
#predictedHeads=18,1,2,5,3,5,8,6,8,12,12,9,12,13,18,17,18,0,18,23,23,23,19,18,
(12,13),(4,12),-0.0213468 # DEPENDENCYPART_HEADBIGRAM
(12,13),(5,12),-0.0406725 # DEPENDENCYPART_HEADBIGRAM
(12,13),(6,12),0.0778309 # DEPENDENCYPART_HEADBIGRAM
(12,13),(8,12),-0.0210815 # DEPENDENCYPART_HEADBIGRAM
(12,13),(9,12),-0.0353976 # DEPENDENCYPART_HEADBIGRAM
(12,13),(13,12),-0.0421143 # DEPENDENCYPART_HEADBIGRAM
(12,13),(14,12),0.0898467 # DEPENDENCYPART_HEADBIGRAM
(12,13),(18,12),0.276446 # DEPENDENCYPART_HEADBIGRAM
(12,13),(22,12),0.206961 # DEPENDENCYPART_HEADBIGRAM
(12,14),(4,13),-0.0616059 # DEPENDENCYPART_HEADBIGRAM
(12,14),(5,13),0.0173911 # DEPENDENCYPART_HEADBIGRAM
(12,14),(8,13),0.0091649 # DEPENDENCYPART_HEADBIGRAM
(12,14),(9,13),-0.0719957 # DEPENDENCYPART_HEADBIGRAM
(12,14),(10,13),-0.0625583 # DEPENDENCYPART_HEADBIGRAM
(12,14),(11,13),-0.0626642 # DEPENDENCYPART_HEADBIGRAM
(12,14),(12,13),0.0282533 # DEPENDENCYPART_HEADBIGRAM
(12,14),(14,13),0.136331 # DEPENDENCYPART_HEADBIGRAM
(12,14),(18,13),0.0859849 # DEPENDENCYPART_HEADBIGRAM
(12,14),(19,13),0.0894374 # DEPENDENCYPART_HEADBIGRAM
(12,15),(4,14),-0.108943 # DEPENDENCYPART_HEADBIGRAM
(12,15),(5,14),-0.0921389 # DEPENDENCYPART_HEADBIGRAM
(12,15),(6,14),-0.0238934 # DEPENDENCYPART_HEADBIGRAM
(12,15),(8,14),-0.0907791 # DEPENDENCYPART_HEADBIGRAM
(12,15),(9,14),-0.07758 # DEPENDENCYPART_HEADBIGRAM
(12,15),(11,14),-0.0633716 # DEPENDENCYPART_HEADBIGRAM
(12,15),(12,14),0.0785612 # DEPENDENCYPART_HEADBIGRAM
(12,15),(13,14),0.281972 # DEPENDENCYPART_HEADBIGRAM
(12,15),(17,14),0.0439427 # DEPENDENCYPART_HEADBIGRAM
(12,15),(18,14),0.0766963 # DEPENDENCYPART_HEADBIGRAM
(12,16),(2,15),-0.0921718 # DEPENDENCYPART_HEADBIGRAM
(12,16),(4,15),-0.0938999 # DEPENDENCYPART_HEADBIGRAM
(12,16),(5,15),-0.09099 # DEPENDENCYPART_HEADBIGRAM
(12,16),(8,15),-0.0916686 # DEPENDENCYPART_HEADBIGRAM
(12,16),(12,15),0.104928 # DEPENDENCYPART_HEADBIGRAM
(12,16),(13,15),0.122348 # DEPENDENCYPART_HEADBIGRAM
(12,16),(14,15),0.0709271 # DEPENDENCYPART_HEADBIGRAM
(12,16),(17,15),0.0629305 # DEPENDENCYPART_HEADBIGRAM
(12,16),(18,15),0.179849 # DEPENDENCYPART_HEADBIGRAM
(12,16),(19,15),0.057163 # DEPENDENCYPART_HEADBIGRAM
(12,17),(8,16),-0.0649065 # DEPENDENCYPART_HEADBIGRAM
(12,17),(12,16),0.0828623 # DEPENDENCYPART_HEADBIGRAM
(12,17),(14,16),0.0586934 # DEPENDENCYPART_HEADBIGRAM
(12,17),(17,16),0.0182639 # DEPENDENCYPART_HEADBIGRAM
(12,17),(18,16),0.10327 # DEPENDENCYPART_HEADBIGRAM
(12,17),(19,16),0.0748767 # DEPENDENCYPART_HEADBIGRAM
(12,17),(20,16),0.0748605 # DEPENDENCYPART_HEADBIGRAM
(12,17),(23,16),0.0724774 # DEPENDENCYPART_HEADBIGRAM
(12,18),(8,17),-0.0520995 # DEPENDENCYPART_HEADBIGRAM
(12,18),(9,17),-0.0628088 # DEPENDENCYPART_HEADBIGRAM
(12,18),(12,17),0.102531 # DEPENDENCYPART_HEADBIGRAM
(12,18),(13,17),0.100657 # DEPENDENCYPART_HEADBIGRAM
(12,18),(14,17),0.122892 # DEPENDENCYPART_HEADBIGRAM
(12,18),(18,17),0.178521 # DEPENDENCYPART_HEADBIGRAM
(12,18),(19,17),0.0884552 # DEPENDENCYPART_HEADBIGRAM
(12,18),(20,17),0.0897853 # DEPENDENCYPART_HEADBIGRAM
(12,18),(22,17),0.0897763 # DEPENDENCYPART_HEADBIGRAM
(12,18),(23,17),0.101054 # DEPENDENCYPART_HEADBIGRAM
(12,19),(0,18),-0.0734451 # DEPENDENCYPART_HEADBIGRAM
(12,19),(5,18),-0.064206 # DEPENDENCYPART_HEADBIGRAM
(12,19),(8,18),-0.0637793 # DEPENDENCYPART_HEADBIGRAM
(12,19),(9,18),-0.0605055 # DEPENDENCYPART_HEADBIGRAM
(12,19),(11,18),-0.0579616 # DEPENDENCYPART_HEADBIGRAM
(12,19),(12,18),0.0762376 # DEPENDENCYPART_HEADBIGRAM
(12,19),(13,18),0.0954759 # DEPENDENCYPART_HEADBIGRAM
(12,19),(14,18),0.0937808 # DEPENDENCYPART_HEADBIGRAM
(12,19),(17,18),0.0972847 # DEPENDENCYPART_HEADBIGRAM
(12,19),(19,18),0.0832597 # DEPENDENCYPART_HEADBIGRAM
(12,20),(0,19),-0.0287372 # DEPENDENCYPART_HEADBIGRAM
(12,20),(4,19),-0.0861761 # DEPENDENCYPART_HEADBIGRAM
(12,20),(8,19),-0.0620826 # DEPENDENCYPART_HEADBIGRAM
(12,20),(12,19),0.10702 # DEPENDENCYPART_HEADBIGRAM
(12,20),(14,19),0.102149 # DEPENDENCYPART_HEADBIGRAM
(12,20),(16,19),0.105625 # DEPENDENCYPART_HEADBIGRAM
(12,20),(17,19),0.10053 # DEPENDENCYPART_HEADBIGRAM
(12,20),(18,19),0.111063 # DEPENDENCYPART_HEADBIGRAM
(12,20),(20,19),0.128595 # DEPENDENCYPART_HEADBIGRAM
(12,20),(23,19),0.0939189 # DEPENDENCYPART_HEADBIGRAM
(12,21),(8,20),-0.05797 # DEPENDENCYPART_HEADBIGRAM
(12,21),(12,20),0.125986 # DEPENDENCYPART_HEADBIGRAM
(12,21),(13,20),0.112835 # DEPENDENCYPART_HEADBIGRAM
(12,21),(14,20),0.108462 # DEPENDENCYPART_HEADBIGRAM
(12,21),(16,20),0.108354 # DEPENDENCYPART_HEADBIGRAM
(12,21),(17,20),0.110866 # DEPENDENCYPART_HEADBIGRAM
(12,21),(18,20),0.11735 # DEPENDENCYPART_HEADBIGRAM
(12,21),(19,20),0.117512 # DEPENDENCYPART_HEADBIGRAM
(12,21),(22,20),0.0977952 # DEPENDENCYPART_HEADBIGRAM
(12,21),(23,20),0.0928713 # DEPENDENCYPART_HEADBIGRAM
(12,23),(14,22),0.0859694 # DEPENDENCYPART_HEADBIGRAM
(12,23),(19,22),0.0508296 # DEPENDENCYPART_HEADBIGRAM
(12,23),(20,22),0.101844 # DEPENDENCYPART_HEADBIGRAM
(12,23),(23,22),0.0989798 # DEPENDENCYPART_HEADBIGRAM
(12,24),(8,23),-0.0518664 # DEPENDENCYPART_HEADBIGRAM
(12,24),(9,23),-0.0823437 # DEPENDENCYPART_HEADBIGRAM
(12,24),(12,23),0.0944359 # DEPENDENCYPART_HEADBIGRAM
(12,24),(13,23),0.180708 # DEPENDENCYPART_HEADBIGRAM
(12,24),(14,23),0.199502 # DEPENDENCYPART_HEADBIGRAM
(12,24),(17,23),0.193106 # DEPENDENCYPART_HEADBIGRAM
(12,24),(18,23),0.130167 # DEPENDENCYPART_HEADBIGRAM
(12,24),(19,23),0.0766044 # DEPENDENCYPART_HEADBIGRAM
(12,24),(20,23),0.102664 # DEPENDENCYPART_HEADBIGRAM
(12,24),(22,23),0.18482 # DEPENDENCYPART_HEADBIGRAM
(13,10),(2,9),-0.232046 # DEPENDENCYPART_HEADBIGRAM
(13,10),(3,9),-0.141997 # DEPENDENCYPART_HEADBIGRAM
(13,10),(4,9),-0.0453529 # DEPENDENCYPART_HEADBIGRAM
(13,10),(5,9),-0.196084 # DEPENDENCYPART_HEADBIGRAM
(13,10),(6,9),-0.10669 # DEPENDENCYPART_HEADBIGRAM
(13,10),(7,9),-0.126714 # DEPENDENCYPART_HEADBIGRAM
(13,10),(8,9),-0.217415 # DEPENDENCYPART_HEADBIGRAM
(13,10),(10,9),-0.135637 # DEPENDENCYPART_HEADBIGRAM
(13,10),(12,9),-0.169804 # DEPENDENCYPART_HEADBIGRAM
(13,10),(18,9),0.0863714 # DEPENDENCYPART_HEADBIGRAM
(13,11),(5,10),-0.125998 # DEPENDENCYPART_HEADBIGRAM
(13,11),(6,10),-0.125853 # DEPENDENCYPART_HEADBIGRAM
(13,11),(8,10),-0.144166 # DEPENDENCYPART_HEADBIGRAM
(13,11),(9,10),-0.144051 # DEPENDENCYPART_HEADBIGRAM
(13,11),(11,10),-0.107085 # DEPENDENCYPART_HEADBIGRAM
(13,11),(12,10),-0.128313 # DEPENDENCYPART_HEADBIGRAM
(13,11),(13,10),0.126464 # DEPENDENCYPART_HEADBIGRAM
(13,11),(14,10),0.137215 # DEPENDENCYPART_HEADBIGRAM
(13,12),(6,11),-0.150361 # DEPENDENCYPART_HEADBIGRAM
(13,12),(8,11),-0.149822 # DEPENDENCYPART_HEADBIGRAM
(13,12),(9,11),-0.206629 # DEPENDENCYPART_HEADBIGRAM
(13,12),(10,11),-0.191527 # DEPENDENCYPART_HEADBIGRAM
(13,12),(12,11),-0.0826155 # DEPENDENCYPART_HEADBIGRAM
(13,12),(13,11),0.106663 # DEPENDENCYPART_HEADBIGRAM
(13,12),(14,11),0.093859 # DEPENDENCYPART_HEADBIGRAM
(13,12),(18,11),0.096641 # DEPENDENCYPART_HEADBIGRAM
(13,14),(4,13),0.0162103 # DEPENDENCYPART_HEADBIGRAM
(13,14),(5,13),-0.037925 # DEPENDENCYPART_HEADBIGRAM
(13,14),(8,13),0.0341942 # DEPENDENCYPART_HEADBIGRAM
(13,14),(9,13),0.068375 # DEPENDENCYPART_HEADBIGRAM
(13,14),(10,13),0.0405941 # DEPENDENCYPART_HEADBIGRAM
(13,14),(11,13),0.0402245 # DEPENDENCYPART_HEADBIGRAM
(13,14),(12,13),0.045171 # DEPENDENCYPART_HEADBIGRAM
(13,14),(14,13),-0.0499863 # DEPENDENCYPART_HEADBIGRAM
(13,14),(18,13),0.103519 # DEPENDENCYPART_HEADBIGRAM
(13,14),(19,13),0.230813 # DEPENDENCYPART_HEADBIGRAM
(13,15),(4,14),-0.0501405 # DEPENDENCYPART_HEADBIGRAM
(13,15),(5,14),-0.0738449 # DEPENDENCYPART_HEADBIGRAM
(13,15),(6,14),-0.0665854 # DEPENDENCYPART_HEADBIGRAM
(13,15),(8,14),-0.0741206 # DEPENDENCYPART_HEADBIGRAM
(13,15),(9,14),-0.0916931 # DEPENDENCYPART_HEADBIGRAM
(13,15),(11,14),-0.0626212 # DEPENDENCYPART_HEADBIGRAM
(13,15),(12,14),-0.0753794 # DEPENDENCYPART_HEADBIGRAM
(13,15),(13,14),0.111871 # DEPENDENCYPART_HEADBIGRAM
(13,15),(17,14),0.0784374 # DEPENDENCYPART_HEADBIGRAM
(13,15),(18,14),0.08973 # DEPENDENCYPART_HEADBIGRAM
(13,17),(8,16),-0.0899858 # DEPENDENCYPART_HEADBIGRAM
(13,17),(12,16),-0.0905798 # DEPENDENCYPART_HEADBIGRAM
(13,17),(14,16),0.0275941 # DEPENDENCYPART_HEADBIGRAM
(13,17),(17,16),0.0687059 # DEPENDENCYPART_HEADBIGRAM
(13,17),(18,16),0.0862901 # DEPENDENCYPART_HEADBIGRAM
(13,17),(19,16),0.0708729 # DEPENDENCYPART_HEADBIGRAM
(13,17),(20,16),0.0749876 # DEPENDENCYPART_HEADBIGRAM
(13,17),(23,16),0.0364232 # DEPENDENCYPART_HEADBIGRAM
(13,18),(8,17),-0.0577227 # DEPENDENCYPART_HEADBIGRAM
(13,18),(9,17),-0.0588928 # DEPENDENCYPART_HEADBIGRAM
(13,18),(12,17),-0.0564745 # DEPENDENCYPART_HEADBIGRAM
(13,18),(13,17),0.0774902 # DEPENDENCYPART_HEADBIGRAM
(13,18),(14,17),0.101504 # DEPENDENCYPART_HEADBIGRAM
(13,18),(18,17),0.190778 # DEPENDENCYPART_HEADBIGRAM
(13,18),(19,17),0.0956327 # DEPENDENCYPART_HEADBIGRAM
(13,18),(20,17),0.0975974 # DEPENDENCYPART_HEADBIGRAM
(13,18),(22,17),0.0975974 # DEPENDENCYPART_HEADBIGRAM
(13,18),(23,17),0.0963082 # DEPENDENCYPART_HEADBIGRAM
(13,20),(0,19),-0.0543645 # DEPENDENCYPART_HEADBIGRAM
(13,20),(4,19),-0.0513772 # DEPENDENCYPART_HEADBIGRAM
(13,20),(8,19),-0.0593166 # DEPENDENCYPART_HEADBIGRAM
(13,20),(12,19),-0.0582216 # DEPENDENCYPART_HEADBIGRAM
(13,20),(14,19),0.104946 # DEPENDENCYPART_HEADBIGRAM
(13,20),(16,19),0.107555 # DEPENDENCYPART_HEADBIGRAM
(13,20),(17,19),0.103141 # DEPENDENCYPART_HEADBIGRAM
(13,20),(18,19),0.0826881 # DEPENDENCYPART_HEADBIGRAM
(13,20),(20,19),0.095784 # DEPENDENCYPART_HEADBIGRAM
(13,20),(23,19),0.0961554 # DEPENDENCYPART_HEADBIGRAM
(13,23),(14,22),0.0923211 # DEPENDENCYPART_HEADBIGRAM
(13,23),(19,22),0.073522 # DEPENDENCYPART_HEADBIGRAM
(13,23),(20,22),0.0717425 # DEPENDENCYPART_HEADBIGRAM
(13,23),(23,22),0.21996 # DEPENDENCYPART_HEADBIGRAM
(14,10),(2,9),-0.106727 # DEPENDENCYPART_HEADBIGRAM
(14,10),(3,9),-0.148624 # DEPENDENCYPART_HEADBIGRAM
(14,10),(4,9),-0.0180612 # DEPENDENCYPART_HEADBIGRAM
(14,10),(5,9),-0.0458343 # DEPENDENCYPART_HEADBIGRAM
(14,10),(6,9),-0.0855807 # DEPENDENCYPART_HEADBIGRAM
(14,10),(7,9),-0.0973138 # DEPENDENCYPART_HEADBIGRAM
(14,10),(8,9),-0.0889345 # DEPENDENCYPART_HEADBIGRAM
(14,10),(10,9),-0.145064 # DEPENDENCYPART_HEADBIGRAM
(14,10),(12,9),-0.10093 # DEPENDENCYPART_HEADBIGRAM
(14,10),(18,9),0.0912986 # DEPENDENCYPART_HEADBIGRAM
(14,11),(5,10),-0.138717 # DEPENDENCYPART_HEADBIGRAM
(14,11),(6,10),-0.127871 # DEPENDENCYPART_HEADBIGRAM
(14,11),(8,10),-0.14265 # DEPENDENCYPART_HEADBIGRAM
(14,11),(9,10),-0.144896 # DEPENDENCYPART_HEADBIGRAM
(14,11),(11,10),-0.067861 # DEPENDENCYPART_HEADBIGRAM
(14,11),(12,10),-0.13718 # DEPENDENCYPART_HEADBIGRAM
(14,11),(13,10),-0.129712 # DEPENDENCYPART_HEADBIGRAM
(14,11),(14,10),0.159811 # DEPENDENCYPART_HEADBIGRAM
(14,12),(6,11),-0.154012 # DEPENDENCYPART_HEADBIGRAM
(14,12),(8,11),-0.166106 # DEPENDENCYPART_HEADBIGRAM
(14,12),(9,11),-0.203534 # DEPENDENCYPART_HEADBIGRAM
(14,12),(10,11),-0.167413 # DEPENDENCYPART_HEADBIGRAM
(14,12),(12,11),-0.174766 # DEPENDENCYPART_HEADBIGRAM
(14,12),(13,11),-0.127376 # DEPENDENCYPART_HEADBIGRAM
(14,12),(14,11),0.121208 # DEPENDENCYPART_HEADBIGRAM
(14,12),(18,11),0.0940082 # DEPENDENCYPART_HEADBIGRAM
(14,13),(3,12),-0.049932 # DEPENDENCYPART_HEADBIGRAM
(14,13),(4,12),-0.134984 # DEPENDENCYPART_HEADBIGRAM
(14,13),(5,12),-0.169091 # DEPENDENCYPART_HEADBIGRAM
(14,13),(6,12),-0.15066 # DEPENDENCYPART_HEADBIGRAM
(14,13),(8,12),-0.184081 # DEPENDENCYPART_HEADBIGRAM
(14,13),(9,12),-0.173589 # DEPENDENCYPART_HEADBIGRAM
(14,13),(13,12),-0.113469 # DEPENDENCYPART_HEADBIGRAM
(14,13),(14,12),0.112104 # DEPENDENCYPART_HEADBIGRAM
(14,13),(18,12),0.0821229 # DEPENDENCYPART_HEADBIGRAM
(14,13),(22,12),0.0710992 # DEPENDENCYPART_HEADBIGRAM
(14,15),(4,14),-0.0171556 # DEPENDENCYPART_HEADBIGRAM
(14,15),(5,14),-0.056353 # DEPENDENCYPART_HEADBIGRAM
(14,15),(6,14),-0.0652514 # DEPENDENCYPART_HEADBIGRAM
(14,15),(8,14),-0.0695761 # DEPENDENCYPART_HEADBIGRAM
(14,15),(9,14),-0.0739665 # DEPENDENCYPART_HEADBIGRAM
(14,15),(11,14),-0.0603961 # DEPENDENCYPART_HEADBIGRAM
(14,15),(12,14),-0.0456459 # DEPENDENCYPART_HEADBIGRAM
(14,15),(13,14),-0.0716248 # DEPENDENCYPART_HEADBIGRAM
(14,15),(17,14),0.106301 # DEPENDENCYPART_HEADBIGRAM
(14,15),(18,14),0.11989 # DEPENDENCYPART_HEADBIGRAM
(14,16),(2,15),-0.0921792 # DEPENDENCYPART_HEADBIGRAM
(14,16),(4,15),-0.0935988 # DEPENDENCYPART_HEADBIGRAM
(14,16),(5,15),-0.0909803 # DEPENDENCYPART_HEADBIGRAM
(14,16),(8,15),-0.0916589 # DEPENDENCYPART_HEADBIGRAM
(14,16),(12,15),-0.0926023 # DEPENDENCYPART_HEADBIGRAM
(14,16),(13,15),-0.0413505 # DEPENDENCYPART_HEADBIGRAM
(14,16),(14,15),0.107239 # DEPENDENCYPART_HEADBIGRAM
(14,16),(17,15),0.0629293 # DEPENDENCYPART_HEADBIGRAM
(14,16),(18,15),0.179685 # DEPENDENCYPART_HEADBIGRAM
(14,16),(19,15),0.0573074 # DEPENDENCYPART_HEADBIGRAM
(14,17),(8,16),-0.0649065 # DEPENDENCYPART_HEADBIGRAM
(14,17),(12,16),-0.0655005 # DEPENDENCYPART_HEADBIGRAM
(14,17),(14,16),0.0744239 # DEPENDENCYPART_HEADBIGRAM
(14,17),(17,16),0.0202887 # DEPENDENCYPART_HEADBIGRAM
(14,17),(18,16),0.10327 # DEPENDENCYPART_HEADBIGRAM
(14,17),(19,16),0.0748761 # DEPENDENCYPART_HEADBIGRAM
(14,17),(20,16),0.0748605 # DEPENDENCYPART_HEADBIGRAM
(14,17),(23,16),0.0724774 # DEPENDENCYPART_HEADBIGRAM
(14,18),(8,17),-0.0533692 # DEPENDENCYPART_HEADBIGRAM
(14,18),(9,17),-0.0641292 # DEPENDENCYPART_HEADBIGRAM
(14,18),(12,17),-0.052121 # DEPENDENCYPART_HEADBIGRAM
(14,18),(13,17),-0.0632969 # DEPENDENCYPART_HEADBIGRAM
(14,18),(14,17),0.0950264 # DEPENDENCYPART_HEADBIGRAM
(14,18),(18,17),0.267021 # DEPENDENCYPART_HEADBIGRAM
(14,18),(19,17),0.090365 # DEPENDENCYPART_HEADBIGRAM
(14,18),(20,17),0.0973106 # DEPENDENCYPART_HEADBIGRAM
(14,18),(22,17),0.0973016 # DEPENDENCYPART_HEADBIGRAM
(14,18),(23,17),0.100662 # DEPENDENCYPART_HEADBIGRAM
(14,19),(0,18),-0.0761437 # DEPENDENCYPART_HEADBIGRAM
(14,19),(5,18),-0.0669046 # DEPENDENCYPART_HEADBIGRAM
(14,19),(8,18),-0.0662064 # DEPENDENCYPART_HEADBIGRAM
(14,19),(9,18),-0.0629326 # DEPENDENCYPART_HEADBIGRAM
(14,19),(11,18),-0.0603887 # DEPENDENCYPART_HEADBIGRAM
(14,19),(12,18),-0.0662008 # DEPENDENCYPART_HEADBIGRAM
(14,19),(13,18),-0.0611314 # DEPENDENCYPART_HEADBIGRAM
(14,19),(14,18),0.0713797 # DEPENDENCYPART_HEADBIGRAM
(14,19),(17,18),0.089964 # DEPENDENCYPART_HEADBIGRAM
(14,19),(19,18),0.0714756 # DEPENDENCYPART_HEADBIGRAM
(14,20),(0,19),-0.0308044 # DEPENDENCYPART_HEADBIGRAM
(14,20),(4,19),-0.0891227 # DEPENDENCYPART_HEADBIGRAM
(14,20),(8,19),-0.0570798 # DEPENDENCYPART_HEADBIGRAM
(14,20),(12,19),-0.0554548 # DEPENDENCYPART_HEADBIGRAM
(14,20),(14,19),0.107155 # DEPENDENCYPART_HEADBIGRAM
(14,20),(16,19),0.105625 # DEPENDENCYPART_HEADBIGRAM
(14,20),(17,19),0.105533 # DEPENDENCYPART_HEADBIGRAM
(14,20),(18,19),0.112099 # DEPENDENCYPART_HEADBIGRAM
(14,20),(20,19),0.128595 # DEPENDENCYPART_HEADBIGRAM
(14,20),(23,19),0.0989216 # DEPENDENCYPART_HEADBIGRAM
(14,21),(8,20),-0.05797 # DEPENDENCYPART_HEADBIGRAM
(14,21),(12,20),-0.0586185 # DEPENDENCYPART_HEADBIGRAM
(14,21),(13,20),-0.0553994 # DEPENDENCYPART_HEADBIGRAM
(14,21),(14,20),0.125494 # DEPENDENCYPART_HEADBIGRAM
(14,21),(16,20),0.108354 # DEPENDENCYPART_HEADBIGRAM
(14,21),(17,20),0.110866 # DEPENDENCYPART_HEADBIGRAM
(14,21),(18,20),0.11735 # DEPENDENCYPART_HEADBIGRAM
(14,21),(19,20),0.117512 # DEPENDENCYPART_HEADBIGRAM
(14,21),(22,20),0.0977932 # DEPENDENCYPART_HEADBIGRAM
(14,21),(23,20),0.0928713 # DEPENDENCYPART_HEADBIGRAM
(14,22),(2,21),-0.0977204 # DEPENDENCYPART_HEADBIGRAM
(14,22),(5,21),-0.0991628 # DEPENDENCYPART_HEADBIGRAM
(14,22),(8,21),-0.0976505 # DEPENDENCYPART_HEADBIGRAM
(14,22),(12,21),-0.0975775 # DEPENDENCYPART_HEADBIGRAM
(14,22),(14,21),0.110185 # DEPENDENCYPART_HEADBIGRAM
(14,22),(18,21),0.104672 # DEPENDENCYPART_HEADBIGRAM
(14,22),(19,21),0.0734129 # DEPENDENCYPART_HEADBIGRAM
(14,22),(20,21),0.101114 # DEPENDENCYPART_HEADBIGRAM
(14,22),(22,21),0.139443 # DEPENDENCYPART_HEADBIGRAM
(14,22),(23,21),0.0545504 # DEPENDENCYPART_HEADBIGRAM
(14,23),(14,22),0.0976153 # DEPENDENCYPART_HEADBIGRAM
(14,23),(19,22),0.0394419 # DEPENDENCYPART_HEADBIGRAM
(14,23),(20,22),0.0848787 # DEPENDENCYPART_HEADBIGRAM
(14,23),(23,22),0.130615 # DEPENDENCYPART_HEADBIGRAM
(14,24),(8,23),-0.0567174 # DEPENDENCYPART_HEADBIGRAM
(14,24),(9,23),-0.0872155 # DEPENDENCYPART_HEADBIGRAM
(14,24),(12,23),-0.0564046 # DEPENDENCYPART_HEADBIGRAM
(14,24),(13,23),-0.0470512 # DEPENDENCYPART_HEADBIGRAM
(14,24),(14,23),0.102599 # DEPENDENCYPART_HEADBIGRAM
(14,24),(17,23),0.136909 # DEPENDENCYPART_HEADBIGRAM
(14,24),(18,23),0.123513 # DEPENDENCYPART_HEADBIGRAM
(14,24),(19,23),0.0687704 # DEPENDENCYPART_HEADBIGRAM
(14,24),(20,23),0.0960087 # DEPENDENCYPART_HEADBIGRAM
(14,24),(22,23),0.149412 # DEPENDENCYPART_HEADBIGRAM
(16,19),(0,18),-0.0604997 # DEPENDENCYPART_HEADBIGRAM
(16,19),(5,18),-0.0601767 # DEPENDENCYPART_HEADBIGRAM
(16,19),(8,18),-0.0594742 # DEPENDENCYPART_HEADBIGRAM
(16,19),(9,18),-0.0596124 # DEPENDENCYPART_HEADBIGRAM
(16,19),(11,18),-0.0594714 # DEPENDENCYPART_HEADBIGRAM
(16,19),(12,18),-0.0594742 # DEPENDENCYPART_HEADBIGRAM
(16,19),(13,18),-0.0579338 # DEPENDENCYPART_HEADBIGRAM
(16,19),(14,18),-0.0578657 # DEPENDENCYPART_HEADBIGRAM
(16,19),(17,18),0.096157 # DEPENDENCYPART_HEADBIGRAM
(16,19),(19,18),0.0803429 # DEPENDENCYPART_HEADBIGRAM
(16,20),(0,19),-0.0564561 # DEPENDENCYPART_HEADBIGRAM
(16,20),(4,19),-0.0564561 # DEPENDENCYPART_HEADBIGRAM
(16,20),(8,19),-0.056484 # DEPENDENCYPART_HEADBIGRAM
(16,20),(12,19),-0.0562524 # DEPENDENCYPART_HEADBIGRAM
(16,20),(14,19),-0.056691 # DEPENDENCYPART_HEADBIGRAM
(16,20),(16,19),0.106675 # DEPENDENCYPART_HEADBIGRAM
(16,20),(17,19),0.100413 # DEPENDENCYPART_HEADBIGRAM
(16,20),(18,19),0.100469 # DEPENDENCYPART_HEADBIGRAM
(16,20),(20,19),0.113477 # DEPENDENCYPART_HEADBIGRAM
(16,20),(23,19),0.0982708 # DEPENDENCYPART_HEADBIGRAM
(17,14),(4,13),-0.100535 # DEPENDENCYPART_HEADBIGRAM
(17,14),(5,13),0.0633173 # DEPENDENCYPART_HEADBIGRAM
(17,14),(8,13),-0.0106109 # DEPENDENCYPART_HEADBIGRAM
(17,14),(9,13),-0.178105 # DEPENDENCYPART_HEADBIGRAM
(17,14),(10,13),-0.158449 # DEPENDENCYPART_HEADBIGRAM
(17,14),(11,13),-0.0432199 # DEPENDENCYPART_HEADBIGRAM
(17,14),(12,13),0.107787 # DEPENDENCYPART_HEADBIGRAM
(17,14),(14,13),-0.085498 # DEPENDENCYPART_HEADBIGRAM
(17,14),(18,13),0.0993069 # DEPENDENCYPART_HEADBIGRAM
(17,14),(19,13),0.107492 # DEPENDENCYPART_HEADBIGRAM
(17,15),(4,14),-0.196511 # DEPENDENCYPART_HEADBIGRAM
(17,15),(5,14),-0.194896 # DEPENDENCYPART_HEADBIGRAM
(17,15),(6,14),-0.111908 # DEPENDENCYPART_HEADBIGRAM
(17,15),(8,14),-0.192578 # DEPENDENCYPART_HEADBIGRAM
(17,15),(9,14),-0.0664765 # DEPENDENCYPART_HEADBIGRAM
(17,15),(11,14),-0.063088 # DEPENDENCYPART_HEADBIGRAM
(17,15),(12,14),-0.0957945 # DEPENDENCYPART_HEADBIGRAM
(17,15),(13,14),-0.0134287 # DEPENDENCYPART_HEADBIGRAM
(17,15),(17,14),0.247102 # DEPENDENCYPART_HEADBIGRAM
(17,15),(18,14),0.0946749 # DEPENDENCYPART_HEADBIGRAM
(17,16),(2,15),-0.204625 # DEPENDENCYPART_HEADBIGRAM
(17,16),(4,15),-0.353467 # DEPENDENCYPART_HEADBIGRAM
(17,16),(5,15),-0.18217 # DEPENDENCYPART_HEADBIGRAM
(17,16),(8,15),-0.181344 # DEPENDENCYPART_HEADBIGRAM
(17,16),(12,15),-0.178712 # DEPENDENCYPART_HEADBIGRAM
(17,16),(13,15),-0.13336 # DEPENDENCYPART_HEADBIGRAM
(17,16),(14,15),-0.208045 # DEPENDENCYPART_HEADBIGRAM
(17,16),(17,15),0.115445 # DEPENDENCYPART_HEADBIGRAM
(17,16),(18,15),0.368918 # DEPENDENCYPART_HEADBIGRAM
(17,16),(19,15),0.247865 # DEPENDENCYPART_HEADBIGRAM
(17,18),(8,17),-0.0479312 # DEPENDENCYPART_HEADBIGRAM
(17,18),(9,17),-0.0777007 # DEPENDENCYPART_HEADBIGRAM
(17,18),(12,17),-0.06418 # DEPENDENCYPART_HEADBIGRAM
(17,18),(13,17),-0.0908281 # DEPENDENCYPART_HEADBIGRAM
(17,18),(14,17),-0.0641802 # DEPENDENCYPART_HEADBIGRAM
(17,18),(18,17),-0.00906515 # DEPENDENCYPART_HEADBIGRAM
