# _root_ All the while , Ms. Bartlett had been busy at her assignment , serene in her sense of self-tilth .
#goldHeads=3,3,7,7,6,7,0,7,14,9,12,10,14,8,14,17,15,17,18,7,
#predictedHeads=3,3,7,7,6,7,0,7,8,8,12,10,8,8,14,17,15,17,18,7,
(12,15),(12,18),(12,20),-0.0874949 # DEPENDENCYPART_TRISIBL
(12,15),(12,18),(12,21),-0.0785462 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,15),(12,19),(12,20),-0.0798298 # DEPENDENCYPART_TRISIBL
(12,15),(12,19),(12,21),-0.0167515 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,15),(12,20),(12,21),-0.0655041 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,17),(12,18),(12,19),-0.102864 # DEPENDENCYPART_TRISIBL
(12,17),(12,18),(12,20),-0.081897 # DEPENDENCYPART_TRISIBL
(12,17),(12,18),(12,21),-0.0708704 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,17),(12,19),(12,20),-0.0745138 # DEPENDENCYPART_TRISIBL
(12,17),(12,19),(12,21),-0.107997 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,17),(12,20),(12,21),-0.00509068 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,18),(12,19),(12,20),-0.113901 # DEPENDENCYPART_TRISIBL
(12,18),(12,19),(12,21),-0.0135274 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,18),(12,20),(12,21),-0.0632626 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,19),(12,20),(12,21),-0.0161994 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,12),(12,11),(12,10),-0.178387 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,11),(12,9),-0.188183 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,11),(12,8),-0.144198 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,11),(12,7),-0.138808 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,11),(12,6),-0.16781 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,11),(12,4),-0.230179 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,11),(12,3),-0.0895773 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,11),(12,-1),-0.0887848 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,12),(12,10),(12,9),-0.212561 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,10),(12,8),-0.172224 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,10),(12,7),-0.170001 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,10),(12,6),-0.0332602 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,10),(12,4),-0.145558 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,10),(12,3),0.0378015 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,10),(12,-1),-0.077891 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,12),(12,9),(12,8),-0.122589 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,9),(12,7),-0.121341 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,9),(12,6),-0.132675 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,9),(12,4),-0.18741 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,9),(12,3),-0.0649927 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,9),(12,-1),-0.175969 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,12),(12,8),(12,7),-0.133734 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,8),(12,6),-0.0895473 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,8),(12,4),-0.105848 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,8),(12,3),-0.0164061 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,8),(12,-1),-0.233876 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,12),(12,7),(12,6),-0.0850666 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,7),(12,4),-0.10098 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,7),(12,3),-0.0119255 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,7),(12,-1),-0.246523 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,12),(12,6),(12,4),-0.235877 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,6),(12,3),-0.0857866 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,6),(12,-1),-0.193038 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,12),(12,4),(12,3),-0.0729789 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,4),(12,-1),-0.475914 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,12),(12,3),(12,-1),-0.169127 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,11),(12,10),(12,9),-0.0982534 # DEPENDENCYPART_TRISIBL
(12,11),(12,10),(12,8),-0.126343 # DEPENDENCYPART_TRISIBL
(12,11),(12,10),(12,7),-0.12502 # DEPENDENCYPART_TRISIBL
(12,11),(12,10),(12,6),-0.0984773 # DEPENDENCYPART_TRISIBL
(12,11),(12,10),(12,4),-0.0967757 # DEPENDENCYPART_TRISIBL
(12,11),(12,10),(12,3),-0.100704 # DEPENDENCYPART_TRISIBL
(12,11),(12,10),(12,-1),-0.0766045 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,11),(12,9),(12,8),-0.119051 # DEPENDENCYPART_TRISIBL
(12,11),(12,9),(12,7),-0.11758 # DEPENDENCYPART_TRISIBL
(12,11),(12,9),(12,6),-0.102328 # DEPENDENCYPART_TRISIBL
(12,11),(12,9),(12,4),-0.0470336 # DEPENDENCYPART_TRISIBL
(12,11),(12,9),(12,3),-0.104555 # DEPENDENCYPART_TRISIBL
(12,11),(12,9),(12,-1),-0.136995 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,11),(12,8),(12,7),-0.121037 # DEPENDENCYPART_TRISIBL
(12,11),(12,8),(12,6),-0.107722 # DEPENDENCYPART_TRISIBL
(12,11),(12,8),(12,4),-0.0515446 # DEPENDENCYPART_TRISIBL
(12,11),(12,8),(12,3),-0.110016 # DEPENDENCYPART_TRISIBL
(12,11),(12,8),(12,-1),-0.16036 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,11),(12,7),(12,6),-0.107757 # DEPENDENCYPART_TRISIBL
(12,11),(12,7),(12,4),-0.0515453 # DEPENDENCYPART_TRISIBL
(12,11),(12,7),(12,3),-0.110052 # DEPENDENCYPART_TRISIBL
(12,11),(12,7),(12,-1),-0.156957 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,11),(12,6),(12,4),-0.0627695 # DEPENDENCYPART_TRISIBL
(12,11),(12,6),(12,3),-0.109874 # DEPENDENCYPART_TRISIBL
(12,11),(12,6),(12,-1),-0.092304 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,11),(12,4),(12,3),-0.106453 # DEPENDENCYPART_TRISIBL
(12,11),(12,4),(12,-1),-0.162504 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,11),(12,3),(12,-1),-0.0887246 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,10),(12,9),(12,8),-0.13551 # DEPENDENCYPART_TRISIBL
(12,10),(12,9),(12,7),-0.136061 # DEPENDENCYPART_TRISIBL
(12,10),(12,9),(12,6),-0.126929 # DEPENDENCYPART_TRISIBL
(12,10),(12,9),(12,4),-0.115438 # DEPENDENCYPART_TRISIBL
(12,10),(12,9),(12,3),-0.121169 # DEPENDENCYPART_TRISIBL
(12,10),(12,9),(12,-1),-0.201937 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,10),(12,8),(12,7),-0.143836 # DEPENDENCYPART_TRISIBL
(12,10),(12,8),(12,6),-0.12761 # DEPENDENCYPART_TRISIBL
(12,10),(12,8),(12,4),-0.118705 # DEPENDENCYPART_TRISIBL
(12,10),(12,8),(12,3),-0.126186 # DEPENDENCYPART_TRISIBL
(12,10),(12,8),(12,-1),-0.178834 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,10),(12,7),(12,6),-0.127802 # DEPENDENCYPART_TRISIBL
(12,10),(12,7),(12,4),-0.118706 # DEPENDENCYPART_TRISIBL
(12,10),(12,7),(12,3),-0.126379 # DEPENDENCYPART_TRISIBL
(12,10),(12,7),(12,-1),-0.179053 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,10),(12,6),(12,4),-0.0998315 # DEPENDENCYPART_TRISIBL
(12,10),(12,6),(12,3),-0.0704562 # DEPENDENCYPART_TRISIBL
(12,10),(12,6),(12,-1),-0.177058 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,10),(12,4),(12,3),-0.0907301 # DEPENDENCYPART_TRISIBL
(12,10),(12,4),(12,-1),-0.178283 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,10),(12,3),(12,-1),-0.173044 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,9),(12,8),(12,7),-0.0973027 # DEPENDENCYPART_TRISIBL
(12,9),(12,8),(12,6),-0.0325836 # DEPENDENCYPART_TRISIBL
(12,9),(12,8),(12,4),-0.0552601 # DEPENDENCYPART_TRISIBL
(12,9),(12,8),(12,3),-0.0342059 # DEPENDENCYPART_TRISIBL
(12,9),(12,8),(12,-1),-0.171104 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,9),(12,7),(12,6),-0.0326005 # DEPENDENCYPART_TRISIBL
(12,9),(12,7),(12,4),-0.0553046 # DEPENDENCYPART_TRISIBL
(12,9),(12,7),(12,3),-0.0342228 # DEPENDENCYPART_TRISIBL
(12,9),(12,7),(12,-1),-0.171224 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,9),(12,6),(12,4),-0.100153 # DEPENDENCYPART_TRISIBL
(12,9),(12,6),(12,3),-0.023851 # DEPENDENCYPART_TRISIBL
(12,9),(12,6),(12,-1),-0.149683 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,9),(12,4),(12,3),-0.124495 # DEPENDENCYPART_TRISIBL
(12,9),(12,4),(12,-1),-0.37332 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,9),(12,3),(12,-1),-0.152553 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,8),(12,7),(12,6),-0.0955256 # DEPENDENCYPART_TRISIBL
(12,8),(12,7),(12,4),-0.0632908 # DEPENDENCYPART_TRISIBL
(12,8),(12,7),(12,3),-0.0971523 # DEPENDENCYPART_TRISIBL
(12,8),(12,7),(12,-1),-0.205827 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,8),(12,6),(12,4),-0.0507205 # DEPENDENCYPART_TRISIBL
(12,8),(12,6),(12,3),-0.0515377 # DEPENDENCYPART_TRISIBL
(12,8),(12,6),(12,-1),-0.190483 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,8),(12,4),(12,3),-0.0334401 # DEPENDENCYPART_TRISIBL
(12,8),(12,4),(12,-1),-0.28781 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,8),(12,3),(12,-1),-0.18944 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,7),(12,6),(12,4),-0.0608753 # DEPENDENCYPART_TRISIBL
(12,7),(12,6),(12,3),-0.0571903 # DEPENDENCYPART_TRISIBL
(12,7),(12,6),(12,-1),-0.16872 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,7),(12,4),(12,3),-0.0410078 # DEPENDENCYPART_TRISIBL
(12,7),(12,4),(12,-1),-0.274383 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,7),(12,3),(12,-1),-0.167678 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,6),(12,4),(12,3),-0.13239 # DEPENDENCYPART_TRISIBL
(12,6),(12,4),(12,-1),-0.210317 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,6),(12,3),(12,-1),-0.0748435 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,4),(12,3),(12,-1),-0.147056 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,13),(13,15),(13,21),-0.427949 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(14,14),(14,15),(14,17),-0.110838 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,15),(14,18),-0.116381 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,15),(14,19),-0.113242 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,15),(14,20),-0.137757 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,15),(14,21),-0.139835 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(14,14),(14,17),(14,18),-0.0669878 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,17),(14,19),-0.156901 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,17),(14,20),-0.0834916 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,17),(14,21),-0.0926864 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(14,14),(14,18),(14,19),-0.102462 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,18),(14,20),-0.134835 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,18),(14,21),-0.0792846 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(14,14),(14,19),(14,20),-0.0885558 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,19),(14,21),-0.0800169 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(14,14),(14,20),(14,21),-0.194764 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(14,15),(14,17),(14,18),-0.127031 # DEPENDENCYPART_TRISIBL
(14,15),(14,17),(14,19),-0.0488399 # DEPENDENCYPART_TRISIBL
(14,15),(14,17),(14,20),-0.0469595 # DEPENDENCYPART_TRISIBL
(14,15),(14,17),(14,21),-0.0338254 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,15),(14,18),(14,19),-0.0270106 # DEPENDENCYPART_TRISIBL
(14,15),(14,18),(14,20),-0.0394393 # DEPENDENCYPART_TRISIBL
(14,15),(14,18),(14,21),-0.0976246 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,15),(14,19),(14,20),-0.0469595 # DEPENDENCYPART_TRISIBL
(14,15),(14,19),(14,21),-0.0335767 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,15),(14,20),(14,21),-0.0923456 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,17),(14,18),(14,19),-0.108308 # DEPENDENCYPART_TRISIBL
(14,17),(14,18),(14,20),-0.081258 # DEPENDENCYPART_TRISIBL
(14,17),(14,18),(14,21),-0.0332019 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,17),(14,19),(14,20),-0.0855529 # DEPENDENCYPART_TRISIBL
(14,17),(14,19),(14,21),-0.0756891 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,17),(14,20),(14,21),-0.0706033 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,18),(14,19),(14,20),-0.0727416 # DEPENDENCYPART_TRISIBL
(14,18),(14,19),(14,21),-0.0347232 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,18),(14,20),(14,21),-0.0942224 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,19),(14,20),(14,21),-0.0817306 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,14),(14,13),(14,12),0.0267332 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,13),(14,11),-0.150814 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,13),(14,10),-0.226719 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,13),(14,9),-0.174324 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,13),(14,3),0.101339 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,13),(14,-1),-0.450093 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,14),(14,12),(14,11),-0.128319 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,12),(14,10),-0.146637 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,12),(14,9),-0.116158 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,12),(14,3),0.0149092 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,12),(14,-1),-0.0913254 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,14),(14,11),(14,10),-0.12056 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,11),(14,9),-0.123531 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,11),(14,3),-0.0166727 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,11),(14,-1),-0.185332 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,14),(14,10),(14,9),-0.140507 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,10),(14,3),0.0190161 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,10),(14,-1),-0.164545 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,14),(14,9),(14,3),0.0136227 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,9),(14,-1),-0.21192 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,14),(14,3),(14,-1),-0.0643932 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,13),(14,12),(14,11),-0.0508228 # DEPENDENCYPART_TRISIBL
(14,13),(14,12),(14,10),-0.0649074 # DEPENDENCYPART_TRISIBL
(14,13),(14,12),(14,9),-0.028203 # DEPENDENCYPART_TRISIBL
(14,13),(14,12),(14,3),0.0719038 # DEPENDENCYPART_TRISIBL
(14,13),(14,12),(14,-1),-0.139962 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,13),(14,11),(14,10),-0.0754094 # DEPENDENCYPART_TRISIBL
(14,13),(14,11),(14,9),-0.0646058 # DEPENDENCYPART_TRISIBL
(14,13),(14,11),(14,3),-0.0595038 # DEPENDENCYPART_TRISIBL
(14,13),(14,11),(14,-1),-0.213356 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,13),(14,10),(14,9),-0.067626 # DEPENDENCYPART_TRISIBL
(14,13),(14,10),(14,3),-0.0507721 # DEPENDENCYPART_TRISIBL
(14,13),(14,10),(14,-1),-0.255588 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,13),(14,9),(14,3),-0.0661243 # DEPENDENCYPART_TRISIBL
(14,13),(14,9),(14,-1),-0.142261 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,13),(14,3),(14,-1),-0.149929 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,12),(14,11),(14,10),-0.0913708 # DEPENDENCYPART_TRISIBL
(14,12),(14,11),(14,9),-0.05219 # DEPENDENCYPART_TRISIBL
(14,12),(14,11),(14,3),-0.147016 # DEPENDENCYPART_TRISIBL
(14,12),(14,11),(14,-1),-0.121391 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,12),(14,10),(14,9),-0.0434623 # DEPENDENCYPART_TRISIBL
(14,12),(14,10),(14,3),-0.152317 # DEPENDENCYPART_TRISIBL
(14,12),(14,10),(14,-1),-0.131438 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,12),(14,9),(14,3),-0.137263 # DEPENDENCYPART_TRISIBL
(14,12),(14,9),(14,-1),-0.140645 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,12),(14,3),(14,-1),-0.0228949 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,11),(14,10),(14,9),-0.0934053 # DEPENDENCYPART_TRISIBL
(14,11),(14,10),(14,3),-0.0953057 # DEPENDENCYPART_TRISIBL
(14,11),(14,10),(14,-1),-0.0465674 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,11),(14,9),(14,3),-0.0980663 # DEPENDENCYPART_TRISIBL
(14,11),(14,9),(14,-1),-0.102757 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,11),(14,3),(14,-1),-0.101428 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,10),(14,9),(14,3),-0.122785 # DEPENDENCYPART_TRISIBL
(14,10),(14,9),(14,-1),-0.10813 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,10),(14,3),(14,-1),-0.117641 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,9),(14,3),(14,-1),-0.14098 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,15),(15,16),(15,17),0.0168159 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,16),(15,18),-0.157017 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,16),(15,19),0.0130139 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,16),(15,20),-0.119597 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,16),(15,21),0.0665762 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(15,15),(15,17),(15,18),0.00699687 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,17),(15,19),-0.0585496 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,17),(15,20),-0.0238416 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,17),(15,21),0.33463 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(15,15),(15,18),(15,19),0.109582 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,18),(15,20),-0.146412 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,18),(15,21),-0.0665882 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(15,15),(15,19),(15,20),-0.0289057 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,19),(15,21),0.346746 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(15,15),(15,20),(15,21),-0.0892483 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(15,16),(15,17),(15,18),-0.0619641 # DEPENDENCYPART_TRISIBL
(15,16),(15,17),(15,19),-0.085027 # DEPENDENCYPART_TRISIBL
(15,16),(15,17),(15,20),-0.0709469 # DEPENDENCYPART_TRISIBL
(15,16),(15,17),(15,21),-0.0398536 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,16),(15,18),(15,19),-0.0881359 # DEPENDENCYPART_TRISIBL
(15,16),(15,18),(15,20),-0.0637022 # DEPENDENCYPART_TRISIBL
(15,16),(15,18),(15,21),-0.105509 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,16),(15,19),(15,20),-0.070946 # DEPENDENCYPART_TRISIBL
(15,16),(15,19),(15,21),-0.0412333 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,16),(15,20),(15,21),-0.111119 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,17),(15,18),(15,19),-0.162222 # DEPENDENCYPART_TRISIBL
(15,17),(15,18),(15,20),-0.0821212 # DEPENDENCYPART_TRISIBL
(15,17),(15,18),(15,21),0.0906426 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,17),(15,19),(15,20),-0.0882268 # DEPENDENCYPART_TRISIBL
(15,17),(15,19),(15,21),-0.00536846 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,17),(15,20),(15,21),0.0478949 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,18),(15,19),(15,20),-0.0875229 # DEPENDENCYPART_TRISIBL
(15,18),(15,19),(15,21),0.12415 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,18),(15,20),(15,21),-0.0579875 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,19),(15,20),(15,21),0.0367719 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,15),(15,14),(15,13),-0.183807 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,14),(15,12),-0.113023 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,14),(15,10),-0.172821 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,14),(15,-1),-0.350362 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,15),(15,13),(15,12),-0.0831312 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,13),(15,10),-0.230716 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,13),(15,-1),-0.226198 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,15),(15,12),(15,10),-0.153381 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,12),(15,-1),-0.194606 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,15),(15,10),(15,-1),-0.153508 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,14),(15,13),(15,12),-0.109956 # DEPENDENCYPART_TRISIBL
(15,14),(15,13),(15,10),-0.11161 # DEPENDENCYPART_TRISIBL
(15,14),(15,13),(15,-1),-0.292525 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,14),(15,12),(15,10),-0.117111 # DEPENDENCYPART_TRISIBL
(15,14),(15,12),(15,-1),-0.14693 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,14),(15,10),(15,-1),-0.132392 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,13),(15,12),(15,10),-0.0560087 # DEPENDENCYPART_TRISIBL
(15,13),(15,12),(15,-1),-0.128691 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,13),(15,10),(15,-1),-0.23312 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,12),(15,10),(15,-1),-0.139936 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(17,17),(17,18),(17,19),-0.114764 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(17,17),(17,18),(17,20),-0.179275 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(17,17),(17,18),(17,21),-0.0699822 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(17,17),(17,19),(17,20),-0.113935 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(17,17),(17,19),(17,21),-0.128678 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(17,17),(17,20),(17,21),-0.212895 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(17,18),(17,19),(17,20),-0.113901 # DEPENDENCYPART_TRISIBL
(17,18),(17,19),(17,21),-0.00893843 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(17,18),(17,20),(17,21),-0.05809 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(17,19),(17,20),(17,21),-0.0102721 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(17,17),(17,16),(17,15),-0.24739 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(17,17),(17,16),(17,14),-0.188113 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(17,17),(17,16),(17,13),-0.230184 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(17,17),(17,16),(17,12),-0.175382 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(17,17),(17,16),(17,10),-0.178388 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
