# _root_ UNC also is selling new parts , if needed , directly to the military instead of through a prime contractor .
#goldHeads=3,3,0,3,6,4,4,9,4,4,4,4,14,12,16,4,16,20,20,17,3,
#predictedHeads=3,3,0,3,6,4,4,9,4,9,9,11,14,12,16,14,16,20,20,17,3,
(1,6),(1,7),(1,9),-0.123941 # DEPENDENCYPART_TRISIBL
(1,6),(1,7),(1,10),-0.0784023 # DEPENDENCYPART_TRISIBL
(1,6),(1,7),(1,11),-0.0141631 # DEPENDENCYPART_TRISIBL
(1,6),(1,7),(1,20),-0.0756822 # DEPENDENCYPART_TRISIBL
(1,6),(1,7),(1,21),-0.0920569 # DEPENDENCYPART_TRISIBL
(1,6),(1,7),(1,22),-0.041391 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,6),(1,8),(1,9),-0.0891452 # DEPENDENCYPART_TRISIBL
(1,6),(1,8),(1,10),-0.0203936 # DEPENDENCYPART_TRISIBL
(1,6),(1,8),(1,11),-0.0533306 # DEPENDENCYPART_TRISIBL
(1,6),(1,8),(1,20),-0.102665 # DEPENDENCYPART_TRISIBL
(1,6),(1,8),(1,21),-0.0775208 # DEPENDENCYPART_TRISIBL
(1,6),(1,8),(1,22),-0.12637 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,6),(1,9),(1,10),-0.0227181 # DEPENDENCYPART_TRISIBL
(1,6),(1,9),(1,11),-0.0502343 # DEPENDENCYPART_TRISIBL
(1,6),(1,9),(1,20),-0.0815762 # DEPENDENCYPART_TRISIBL
(1,6),(1,9),(1,21),-0.0738657 # DEPENDENCYPART_TRISIBL
(1,6),(1,9),(1,22),-0.12773 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,6),(1,10),(1,11),-0.0141631 # DEPENDENCYPART_TRISIBL
(1,6),(1,10),(1,20),-0.0756822 # DEPENDENCYPART_TRISIBL
(1,6),(1,10),(1,21),-0.0920569 # DEPENDENCYPART_TRISIBL
(1,6),(1,10),(1,22),-0.041391 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,6),(1,11),(1,20),-0.0845216 # DEPENDENCYPART_TRISIBL
(1,6),(1,11),(1,21),-0.0824783 # DEPENDENCYPART_TRISIBL
(1,6),(1,11),(1,22),-0.0785255 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,6),(1,20),(1,21),-0.0762803 # DEPENDENCYPART_TRISIBL
(1,6),(1,20),(1,22),-0.119759 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,6),(1,21),(1,22),-0.0236811 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,7),(1,8),(1,9),0.0467074 # DEPENDENCYPART_TRISIBL
(1,7),(1,8),(1,10),0.302268 # DEPENDENCYPART_TRISIBL
(1,7),(1,8),(1,11),-0.0747825 # DEPENDENCYPART_TRISIBL
(1,7),(1,8),(1,20),0.0106107 # DEPENDENCYPART_TRISIBL
(1,7),(1,8),(1,21),-0.0978994 # DEPENDENCYPART_TRISIBL
(1,7),(1,8),(1,22),-0.0916268 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,7),(1,9),(1,10),0.547467 # DEPENDENCYPART_TRISIBL
(1,7),(1,9),(1,11),-0.0643808 # DEPENDENCYPART_TRISIBL
(1,7),(1,9),(1,20),-0.0249014 # DEPENDENCYPART_TRISIBL
(1,7),(1,9),(1,21),-0.100972 # DEPENDENCYPART_TRISIBL
(1,7),(1,9),(1,22),-0.0514467 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,7),(1,10),(1,11),-0.0621006 # DEPENDENCYPART_TRISIBL
(1,7),(1,10),(1,20),-0.0155737 # DEPENDENCYPART_TRISIBL
(1,7),(1,10),(1,21),-0.105321 # DEPENDENCYPART_TRISIBL
(1,7),(1,10),(1,22),-0.27047 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,7),(1,11),(1,20),0.169787 # DEPENDENCYPART_TRISIBL
(1,7),(1,11),(1,21),-0.127732 # DEPENDENCYPART_TRISIBL
(1,7),(1,11),(1,22),-0.214025 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,7),(1,20),(1,21),-0.191749 # DEPENDENCYPART_TRISIBL
(1,7),(1,20),(1,22),-0.0802487 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,7),(1,21),(1,22),-0.304943 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,8),(1,9),(1,10),-0.0701358 # DEPENDENCYPART_TRISIBL
(1,8),(1,9),(1,11),-0.0725407 # DEPENDENCYPART_TRISIBL
(1,8),(1,9),(1,20),-0.0400236 # DEPENDENCYPART_TRISIBL
(1,8),(1,9),(1,21),-0.114679 # DEPENDENCYPART_TRISIBL
(1,8),(1,9),(1,22),-0.111734 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,8),(1,10),(1,11),-0.0443623 # DEPENDENCYPART_TRISIBL
(1,8),(1,10),(1,20),0.0731725 # DEPENDENCYPART_TRISIBL
(1,8),(1,10),(1,21),-0.107238 # DEPENDENCYPART_TRISIBL
(1,8),(1,10),(1,22),-0.207143 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,8),(1,11),(1,20),-0.0621669 # DEPENDENCYPART_TRISIBL
(1,8),(1,11),(1,21),-0.0817876 # DEPENDENCYPART_TRISIBL
(1,8),(1,11),(1,22),-0.150869 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,8),(1,20),(1,21),-0.0860901 # DEPENDENCYPART_TRISIBL
(1,8),(1,20),(1,22),-0.0929204 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,8),(1,21),(1,22),-0.0943042 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,9),(1,10),(1,11),-0.0475048 # DEPENDENCYPART_TRISIBL
(1,9),(1,10),(1,20),-0.103683 # DEPENDENCYPART_TRISIBL
(1,9),(1,10),(1,21),-0.078674 # DEPENDENCYPART_TRISIBL
(1,9),(1,10),(1,22),-0.0385451 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,9),(1,11),(1,20),-0.0610388 # DEPENDENCYPART_TRISIBL
(1,9),(1,11),(1,21),-0.0308376 # DEPENDENCYPART_TRISIBL
(1,9),(1,11),(1,22),-0.0661271 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,9),(1,20),(1,21),-0.0499832 # DEPENDENCYPART_TRISIBL
(1,9),(1,20),(1,22),-0.108707 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,9),(1,21),(1,22),-0.0650062 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,10),(1,11),(1,20),0.169787 # DEPENDENCYPART_TRISIBL
(1,10),(1,11),(1,21),-0.127732 # DEPENDENCYPART_TRISIBL
(1,10),(1,11),(1,22),-0.214025 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,10),(1,20),(1,21),-0.191749 # DEPENDENCYPART_TRISIBL
(1,10),(1,20),(1,22),-0.0802487 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,10),(1,21),(1,22),-0.304943 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,11),(1,20),(1,21),-0.062254 # DEPENDENCYPART_TRISIBL
(1,11),(1,20),(1,22),-0.0790669 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,11),(1,21),(1,22),-0.17064 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,20),(1,21),(1,22),-0.0195481 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,2),(2,3),(2,4),-0.18149 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,3),(2,6),-0.115633 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,3),(2,7),0.00831662 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,3),(2,11),-0.0949848 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,3),(2,22),-0.195137 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(2,2),(2,4),(2,6),-0.100628 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,4),(2,7),-0.00996872 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,4),(2,11),-0.0858825 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,4),(2,22),-0.18929 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(2,2),(2,6),(2,7),0.00777699 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,6),(2,11),-0.0473907 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,6),(2,22),-0.107667 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(2,2),(2,7),(2,11),-0.17414 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,7),(2,22),-0.298865 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(2,2),(2,11),(2,22),-0.14497 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(2,3),(2,4),(2,6),-0.0635826 # DEPENDENCYPART_TRISIBL
(2,3),(2,4),(2,7),-0.0729309 # DEPENDENCYPART_TRISIBL
(2,3),(2,4),(2,11),-0.0687516 # DEPENDENCYPART_TRISIBL
(2,3),(2,4),(2,22),-0.154503 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,3),(2,6),(2,7),-0.0534633 # DEPENDENCYPART_TRISIBL
(2,3),(2,6),(2,11),-0.0635561 # DEPENDENCYPART_TRISIBL
(2,3),(2,6),(2,22),-0.0595327 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,3),(2,7),(2,11),-0.0446429 # DEPENDENCYPART_TRISIBL
(2,3),(2,7),(2,22),-0.125577 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,3),(2,11),(2,22),-0.120074 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,4),(2,6),(2,7),-0.0468388 # DEPENDENCYPART_TRISIBL
(2,4),(2,6),(2,11),-0.0586624 # DEPENDENCYPART_TRISIBL
(2,4),(2,6),(2,22),-0.0568909 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,4),(2,7),(2,11),-0.0340623 # DEPENDENCYPART_TRISIBL
(2,4),(2,7),(2,22),-0.14284 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,4),(2,11),(2,22),-0.120036 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,6),(2,7),(2,11),-0.0120278 # DEPENDENCYPART_TRISIBL
(2,6),(2,7),(2,22),-0.0241629 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,6),(2,11),(2,22),-0.0614996 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,7),(2,11),(2,22),-0.212758 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,2),(2,1),(2,-1),-0.0893677 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,3),(3,4),(3,5),-0.0928589 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,4),(3,6),-0.0318408 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,4),(3,7),0.03247 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,4),(3,8),-0.130445 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,4),(3,9),0.00994667 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,4),(3,10),0.03247 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,4),(3,11),-0.0186096 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,4),(3,12),-0.0553037 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,4),(3,14),-0.0806063 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,4),(3,15),-0.0504568 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,4),(3,21),0.0613713 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,4),(3,22),0.105454 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(3,3),(3,5),(3,6),-0.0507947 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,5),(3,7),0.00820965 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,5),(3,8),-0.123533 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,5),(3,9),0.0368851 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,5),(3,10),0.00820965 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,5),(3,11),-0.0219989 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,5),(3,12),-0.00638373 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,5),(3,14),-0.103509 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,5),(3,15),-0.0544006 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,5),(3,21),0.0335594 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,5),(3,22),0.0306843 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(3,3),(3,6),(3,7),0.0640894 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,6),(3,8),-0.101031 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,6),(3,9),0.033863 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,6),(3,10),0.0640894 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,6),(3,11),0.0427381 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,6),(3,12),0.0779958 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,6),(3,14),-0.0371395 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,6),(3,15),-0.000767021 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,6),(3,21),0.0592309 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,6),(3,22),0.0874039 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(3,3),(3,7),(3,8),-0.324392 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,7),(3,9),-0.117426 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,7),(3,10),-0.117796 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,7),(3,11),-0.185127 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,7),(3,12),-0.120102 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,7),(3,14),-0.107429 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,7),(3,15),-0.219644 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,7),(3,21),-0.028047 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,7),(3,22),-0.147269 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(3,3),(3,8),(3,9),-0.0676424 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,8),(3,10),-0.0384685 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,8),(3,11),-0.0288239 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,8),(3,12),-0.0550394 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,8),(3,14),-0.0565564 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,8),(3,15),-0.0654416 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,8),(3,21),-0.0783816 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,8),(3,22),-0.105162 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(3,3),(3,9),(3,10),0.0312578 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,9),(3,11),-0.0284588 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,9),(3,12),-0.0574618 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,9),(3,14),-0.0802099 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,9),(3,15),-0.0603061 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,9),(3,21),0.0613342 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,9),(3,22),0.0867521 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(3,3),(3,10),(3,11),-0.185127 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,10),(3,12),-0.120102 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,10),(3,14),-0.107429 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,10),(3,15),-0.219644 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,10),(3,21),-0.028047 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,10),(3,22),-0.147269 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(3,3),(3,11),(3,12),-0.0705006 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,11),(3,14),-0.0299989 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,11),(3,15),-0.0929818 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,11),(3,21),0.020791 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,11),(3,22),-0.0181222 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(3,3),(3,12),(3,14),-0.0503363 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,12),(3,15),-0.053465 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,12),(3,21),-0.072368 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,12),(3,22),-0.0150429 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(3,3),(3,14),(3,15),-0.0543741 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,14),(3,21),0.0276398 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,14),(3,22),0.0595653 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(3,3),(3,15),(3,21),0.0169949 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(3,3),(3,15),(3,22),-0.00932687 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(3,3),(3,21),(3,22),-0.127554 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(3,4),(3,5),(3,6),-0.063466 # DEPENDENCYPART_TRISIBL
(3,4),(3,5),(3,7),-0.0857536 # DEPENDENCYPART_TRISIBL
(3,4),(3,5),(3,8),-0.0385807 # DEPENDENCYPART_TRISIBL
(3,4),(3,5),(3,9),-0.104667 # DEPENDENCYPART_TRISIBL
(3,4),(3,5),(3,10),-0.0857536 # DEPENDENCYPART_TRISIBL
(3,4),(3,5),(3,11),-0.0571958 # DEPENDENCYPART_TRISIBL
(3,4),(3,5),(3,12),-0.0682694 # DEPENDENCYPART_TRISIBL
(3,4),(3,5),(3,14),-0.0652662 # DEPENDENCYPART_TRISIBL
(3,4),(3,5),(3,15),-0.057942 # DEPENDENCYPART_TRISIBL
(3,4),(3,5),(3,21),-0.0412615 # DEPENDENCYPART_TRISIBL
(3,4),(3,5),(3,22),-0.111402 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,4),(3,6),(3,7),-0.043562 # DEPENDENCYPART_TRISIBL
(3,4),(3,6),(3,8),-0.00320776 # DEPENDENCYPART_TRISIBL
(3,4),(3,6),(3,9),-0.119245 # DEPENDENCYPART_TRISIBL
(3,4),(3,6),(3,10),-0.043562 # DEPENDENCYPART_TRISIBL
(3,4),(3,6),(3,11),-0.0649549 # DEPENDENCYPART_TRISIBL
(3,4),(3,6),(3,12),-0.0747126 # DEPENDENCYPART_TRISIBL
(3,4),(3,6),(3,14),-0.066823 # DEPENDENCYPART_TRISIBL
(3,4),(3,6),(3,15),-0.0658205 # DEPENDENCYPART_TRISIBL
(3,4),(3,6),(3,21),-0.0111627 # DEPENDENCYPART_TRISIBL
(3,4),(3,6),(3,22),-0.0765484 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,4),(3,7),(3,8),0.0232782 # DEPENDENCYPART_TRISIBL
(3,4),(3,7),(3,9),-0.098355 # DEPENDENCYPART_TRISIBL
(3,4),(3,7),(3,10),-0.0945362 # DEPENDENCYPART_TRISIBL
(3,4),(3,7),(3,11),0.02838 # DEPENDENCYPART_TRISIBL
(3,4),(3,7),(3,12),-0.0519522 # DEPENDENCYPART_TRISIBL
(3,4),(3,7),(3,14),-0.062821 # DEPENDENCYPART_TRISIBL
(3,4),(3,7),(3,15),0.0270179 # DEPENDENCYPART_TRISIBL
(3,4),(3,7),(3,21),-0.0625874 # DEPENDENCYPART_TRISIBL
(3,4),(3,7),(3,22),-0.0952632 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,4),(3,8),(3,9),-0.0651656 # DEPENDENCYPART_TRISIBL
(3,4),(3,8),(3,10),-0.0681194 # DEPENDENCYPART_TRISIBL
(3,4),(3,8),(3,11),-0.0700466 # DEPENDENCYPART_TRISIBL
(3,4),(3,8),(3,12),-0.0724186 # DEPENDENCYPART_TRISIBL
(3,4),(3,8),(3,14),-0.0675475 # DEPENDENCYPART_TRISIBL
(3,4),(3,8),(3,15),-0.0708061 # DEPENDENCYPART_TRISIBL
(3,4),(3,8),(3,21),0.00393982 # DEPENDENCYPART_TRISIBL
(3,4),(3,8),(3,22),-0.0638734 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,4),(3,9),(3,10),-0.0915436 # DEPENDENCYPART_TRISIBL
(3,4),(3,9),(3,11),-0.0666586 # DEPENDENCYPART_TRISIBL
(3,4),(3,9),(3,12),-0.0686853 # DEPENDENCYPART_TRISIBL
(3,4),(3,9),(3,14),-0.0671562 # DEPENDENCYPART_TRISIBL
(3,4),(3,9),(3,15),-0.0674048 # DEPENDENCYPART_TRISIBL
(3,4),(3,9),(3,21),-0.0897764 # DEPENDENCYPART_TRISIBL
(3,4),(3,9),(3,22),-0.0779534 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,4),(3,10),(3,11),0.02838 # DEPENDENCYPART_TRISIBL
(3,4),(3,10),(3,12),-0.0519522 # DEPENDENCYPART_TRISIBL
(3,4),(3,10),(3,14),-0.062821 # DEPENDENCYPART_TRISIBL
(3,4),(3,10),(3,15),0.0270179 # DEPENDENCYPART_TRISIBL
(3,4),(3,10),(3,21),-0.0625874 # DEPENDENCYPART_TRISIBL
(3,4),(3,10),(3,22),-0.0952632 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,4),(3,11),(3,12),-0.0719842 # DEPENDENCYPART_TRISIBL
(3,4),(3,11),(3,14),-0.0693217 # DEPENDENCYPART_TRISIBL
(3,4),(3,11),(3,15),-0.0713477 # DEPENDENCYPART_TRISIBL
(3,4),(3,11),(3,21),0.0445661 # DEPENDENCYPART_TRISIBL
(3,4),(3,11),(3,22),-0.124625 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,4),(3,12),(3,14),-0.0655737 # DEPENDENCYPART_TRISIBL
(3,4),(3,12),(3,15),-0.0655653 # DEPENDENCYPART_TRISIBL
(3,4),(3,12),(3,21),-0.0652212 # DEPENDENCYPART_TRISIBL
(3,4),(3,12),(3,22),-0.106173 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,4),(3,14),(3,15),-0.057942 # DEPENDENCYPART_TRISIBL
(3,4),(3,14),(3,21),-0.0412615 # DEPENDENCYPART_TRISIBL
(3,4),(3,14),(3,22),-0.110275 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,4),(3,15),(3,21),0.0447276 # DEPENDENCYPART_TRISIBL
(3,4),(3,15),(3,22),-0.12467 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,4),(3,21),(3,22),0.00406533 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,5),(3,6),(3,7),-0.00317294 # DEPENDENCYPART_TRISIBL
(3,5),(3,6),(3,8),-0.0722756 # DEPENDENCYPART_TRISIBL
(3,5),(3,6),(3,9),-0.110672 # DEPENDENCYPART_TRISIBL
(3,5),(3,6),(3,10),-0.00317294 # DEPENDENCYPART_TRISIBL
(3,5),(3,6),(3,11),-0.0882978 # DEPENDENCYPART_TRISIBL
(3,5),(3,6),(3,12),-0.0112939 # DEPENDENCYPART_TRISIBL
(3,5),(3,6),(3,14),-0.0997448 # DEPENDENCYPART_TRISIBL
(3,5),(3,6),(3,15),-0.0886526 # DEPENDENCYPART_TRISIBL
(3,5),(3,6),(3,21),-0.078033 # DEPENDENCYPART_TRISIBL
(3,5),(3,6),(3,22),-0.0230043 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,5),(3,7),(3,8),0.0594427 # DEPENDENCYPART_TRISIBL
(3,5),(3,7),(3,9),-0.0272121 # DEPENDENCYPART_TRISIBL
(3,5),(3,7),(3,10),0.0252726 # DEPENDENCYPART_TRISIBL
(3,5),(3,7),(3,11),-0.117818 # DEPENDENCYPART_TRISIBL
(3,5),(3,7),(3,12),-0.0240699 # DEPENDENCYPART_TRISIBL
(3,5),(3,7),(3,14),-0.109323 # DEPENDENCYPART_TRISIBL
(3,5),(3,7),(3,15),-0.118293 # DEPENDENCYPART_TRISIBL
(3,5),(3,7),(3,21),-0.070538 # DEPENDENCYPART_TRISIBL
(3,5),(3,7),(3,22),-0.104081 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,5),(3,8),(3,9),-0.114369 # DEPENDENCYPART_TRISIBL
(3,5),(3,8),(3,10),0.0344809 # DEPENDENCYPART_TRISIBL
(3,5),(3,8),(3,11),-0.0987421 # DEPENDENCYPART_TRISIBL
(3,5),(3,8),(3,12),-0.020347 # DEPENDENCYPART_TRISIBL
(3,5),(3,8),(3,14),-0.108096 # DEPENDENCYPART_TRISIBL
(3,5),(3,8),(3,15),-0.0990969 # DEPENDENCYPART_TRISIBL
(3,5),(3,8),(3,21),0.0403022 # DEPENDENCYPART_TRISIBL
(3,5),(3,8),(3,22),0.00628317 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,5),(3,9),(3,10),0.0609339 # DEPENDENCYPART_TRISIBL
(3,5),(3,9),(3,11),-0.0660334 # DEPENDENCYPART_TRISIBL
(3,5),(3,9),(3,12),-0.0180743 # DEPENDENCYPART_TRISIBL
(3,5),(3,9),(3,14),-0.0952864 # DEPENDENCYPART_TRISIBL
(3,5),(3,9),(3,15),-0.0663889 # DEPENDENCYPART_TRISIBL
(3,5),(3,9),(3,21),-0.0670413 # DEPENDENCYPART_TRISIBL
(3,5),(3,9),(3,22),-0.0584841 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,5),(3,10),(3,11),-0.117818 # DEPENDENCYPART_TRISIBL
(3,5),(3,10),(3,12),-0.0240699 # DEPENDENCYPART_TRISIBL
(3,5),(3,10),(3,14),-0.109323 # DEPENDENCYPART_TRISIBL
(3,5),(3,10),(3,15),-0.118293 # DEPENDENCYPART_TRISIBL
(3,5),(3,10),(3,21),-0.070538 # DEPENDENCYPART_TRISIBL
(3,5),(3,10),(3,22),-0.104081 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(3,5),(3,11),(3,12),-0.0273042 # DEPENDENCYPART_TRISIBL
(3,5),(3,11),(3,14),-0.101605 # DEPENDENCYPART_TRISIBL
(3,5),(3,11),(3,15),-0.0960131 # DEPENDENCYPART_TRISIBL
(3,5),(3,11),(3,21),-0.0271558 # DEPENDENCYPART_TRISIBL
