# _root_ The DAX Index of 30 West German blue chips plunged 12.8 % , a one-day record , wiping out the summer 's gains .
#goldHeads=3,3,10,3,9,9,9,9,4,0,12,10,12,16,16,12,12,10,18,21,23,21,18,10,
#predictedHeads=3,3,10,3,9,7,9,9,4,0,12,10,10,16,16,12,10,10,18,21,23,21,18,10,
(16,19),(16,24),0.0761754 # DEPENDENCYPART_SIBL
(16,21),(16,22),-0.0627556 # DEPENDENCYPART_SIBL
(16,21),(16,23),-0.112376 # DEPENDENCYPART_SIBL
(16,21),(16,24),0.0573518 # DEPENDENCYPART_SIBL
(16,22),(16,23),-0.0984045 # DEPENDENCYPART_SIBL
(16,22),(16,24),-0.155811 # DEPENDENCYPART_SIBL
(16,23),(16,24),0.0130908 # DEPENDENCYPART_SIBL
(18,9),(18,12),-0.128943 # DEPENDENCYPART_SIBL
(18,9),(18,16),-0.114688 # DEPENDENCYPART_SIBL
(18,9),(18,17),0.127934 # DEPENDENCYPART_SIBL
(18,9),(18,19),0.056296 # DEPENDENCYPART_SIBL
(18,9),(18,20),-0.0193331 # DEPENDENCYPART_SIBL
(18,9),(18,21),0.0257665 # DEPENDENCYPART_SIBL
(18,9),(18,22),-0.0203274 # DEPENDENCYPART_SIBL
(18,9),(18,23),0.0626452 # DEPENDENCYPART_SIBL
(18,9),(18,24),0.0627738 # DEPENDENCYPART_SIBL
(18,12),(18,16),-0.205377 # DEPENDENCYPART_SIBL
(18,12),(18,17),0.0863024 # DEPENDENCYPART_SIBL
(18,12),(18,19),0.000572589 # DEPENDENCYPART_SIBL
(18,12),(18,20),-0.0387147 # DEPENDENCYPART_SIBL
(18,12),(18,21),0.0472601 # DEPENDENCYPART_SIBL
(18,12),(18,22),0.0441783 # DEPENDENCYPART_SIBL
(18,12),(18,23),0.0585982 # DEPENDENCYPART_SIBL
(18,12),(18,24),-0.0136774 # DEPENDENCYPART_SIBL
(18,16),(18,17),0.116794 # DEPENDENCYPART_SIBL
(18,16),(18,19),0.00113876 # DEPENDENCYPART_SIBL
(18,16),(18,20),-0.0415851 # DEPENDENCYPART_SIBL
(18,16),(18,21),0.0468946 # DEPENDENCYPART_SIBL
(18,16),(18,22),0.0466695 # DEPENDENCYPART_SIBL
(18,16),(18,23),0.0625034 # DEPENDENCYPART_SIBL
(18,16),(18,24),0.0241515 # DEPENDENCYPART_SIBL
(18,17),(18,19),0.159977 # DEPENDENCYPART_SIBL
(18,17),(18,20),-0.0251761 # DEPENDENCYPART_SIBL
(18,17),(18,21),-0.00786323 # DEPENDENCYPART_SIBL
(18,17),(18,22),-0.214753 # DEPENDENCYPART_SIBL
(18,17),(18,23),0.0123265 # DEPENDENCYPART_SIBL
(18,17),(18,24),0.127601 # DEPENDENCYPART_SIBL
(18,19),(18,20),0.0242089 # DEPENDENCYPART_SIBL
(18,19),(18,21),0.0926547 # DEPENDENCYPART_SIBL
(18,19),(18,22),-0.0547039 # DEPENDENCYPART_SIBL
(18,19),(18,23),0.162783 # DEPENDENCYPART_SIBL
(18,19),(18,24),-0.0512845 # DEPENDENCYPART_SIBL
(18,20),(18,21),-0.137941 # DEPENDENCYPART_SIBL
(18,20),(18,22),-0.087026 # DEPENDENCYPART_SIBL
(18,20),(18,23),-0.108183 # DEPENDENCYPART_SIBL
(18,20),(18,24),-0.111206 # DEPENDENCYPART_SIBL
(18,21),(18,22),-0.0606636 # DEPENDENCYPART_SIBL
(18,21),(18,23),-0.319442 # DEPENDENCYPART_SIBL
(18,21),(18,24),0.0070014 # DEPENDENCYPART_SIBL
(18,22),(18,23),-0.212371 # DEPENDENCYPART_SIBL
(18,22),(18,24),-0.0868108 # DEPENDENCYPART_SIBL
(18,23),(18,24),0.0544297 # DEPENDENCYPART_SIBL
(19,16),(19,17),0.0370292 # DEPENDENCYPART_SIBL
(19,16),(19,20),-0.0585249 # DEPENDENCYPART_SIBL
(19,16),(19,21),0.0695579 # DEPENDENCYPART_SIBL
(19,16),(19,23),0.0145715 # DEPENDENCYPART_SIBL
(19,17),(19,20),-0.0433354 # DEPENDENCYPART_SIBL
(19,17),(19,21),0.0144322 # DEPENDENCYPART_SIBL
(19,17),(19,23),-0.0232629 # DEPENDENCYPART_SIBL
(19,20),(19,21),-0.136005 # DEPENDENCYPART_SIBL
(19,20),(19,23),-0.0358684 # DEPENDENCYPART_SIBL
(19,21),(19,23),-0.216491 # DEPENDENCYPART_SIBL
(21,14),(21,16),0.378094 # DEPENDENCYPART_SIBL
(21,14),(21,19),0.0117677 # DEPENDENCYPART_SIBL
(21,14),(21,20),-0.765685 # DEPENDENCYPART_SIBL
(21,14),(21,22),0.075501 # DEPENDENCYPART_SIBL
(21,14),(21,23),-0.0215241 # DEPENDENCYPART_SIBL
(21,14),(21,24),-0.0581958 # DEPENDENCYPART_SIBL
(21,16),(21,19),0.046472 # DEPENDENCYPART_SIBL
(21,16),(21,20),-0.447521 # DEPENDENCYPART_SIBL
(21,16),(21,22),0.203071 # DEPENDENCYPART_SIBL
(21,16),(21,23),0.100399 # DEPENDENCYPART_SIBL
(21,16),(21,24),0.059231 # DEPENDENCYPART_SIBL
(21,19),(21,20),-0.319858 # DEPENDENCYPART_SIBL
(21,19),(21,22),-0.0556922 # DEPENDENCYPART_SIBL
(21,19),(21,23),-0.0590125 # DEPENDENCYPART_SIBL
(21,19),(21,24),-0.0540238 # DEPENDENCYPART_SIBL
(21,20),(21,22),0.382787 # DEPENDENCYPART_SIBL
(21,20),(21,23),-0.123595 # DEPENDENCYPART_SIBL
(21,20),(21,24),-0.193573 # DEPENDENCYPART_SIBL
(21,22),(21,23),-0.11117 # DEPENDENCYPART_SIBL
(21,22),(21,24),-0.163207 # DEPENDENCYPART_SIBL
(21,23),(21,24),0.0116009 # DEPENDENCYPART_SIBL
(23,5),(23,6),0.212562 # DEPENDENCYPART_SIBL
(23,5),(23,7),0.159706 # DEPENDENCYPART_SIBL
(23,5),(23,14),-0.173757 # DEPENDENCYPART_SIBL
(23,5),(23,15),0.216313 # DEPENDENCYPART_SIBL
(23,5),(23,16),0.135063 # DEPENDENCYPART_SIBL
(23,5),(23,18),0.155805 # DEPENDENCYPART_SIBL
(23,5),(23,19),0.0995288 # DEPENDENCYPART_SIBL
(23,5),(23,20),-0.327618 # DEPENDENCYPART_SIBL
(23,5),(23,21),0.11406 # DEPENDENCYPART_SIBL
(23,5),(23,22),0.061378 # DEPENDENCYPART_SIBL
(23,5),(23,24),-0.0158237 # DEPENDENCYPART_SIBL
(23,6),(23,7),-0.518429 # DEPENDENCYPART_SIBL
(23,6),(23,14),-0.214155 # DEPENDENCYPART_SIBL
(23,6),(23,15),-0.232346 # DEPENDENCYPART_SIBL
(23,6),(23,16),0.00130846 # DEPENDENCYPART_SIBL
(23,6),(23,18),0.00923233 # DEPENDENCYPART_SIBL
(23,6),(23,19),-0.0665884 # DEPENDENCYPART_SIBL
(23,6),(23,20),-0.561388 # DEPENDENCYPART_SIBL
(23,6),(23,21),0.0111148 # DEPENDENCYPART_SIBL
(23,6),(23,22),-0.0759509 # DEPENDENCYPART_SIBL
(23,6),(23,24),-0.138525 # DEPENDENCYPART_SIBL
(23,7),(23,14),-0.19631 # DEPENDENCYPART_SIBL
(23,7),(23,15),-0.106483 # DEPENDENCYPART_SIBL
(23,7),(23,16),0.0436025 # DEPENDENCYPART_SIBL
(23,7),(23,18),0.0273365 # DEPENDENCYPART_SIBL
(23,7),(23,19),-0.0491795 # DEPENDENCYPART_SIBL
(23,7),(23,20),-0.54376 # DEPENDENCYPART_SIBL
(23,7),(23,21),0.0534089 # DEPENDENCYPART_SIBL
(23,7),(23,22),-0.0584338 # DEPENDENCYPART_SIBL
(23,7),(23,24),-0.132575 # DEPENDENCYPART_SIBL
(23,14),(23,15),0.0731706 # DEPENDENCYPART_SIBL
(23,14),(23,16),0.218334 # DEPENDENCYPART_SIBL
(23,14),(23,18),0.212984 # DEPENDENCYPART_SIBL
(23,14),(23,19),-0.015945 # DEPENDENCYPART_SIBL
(23,14),(23,20),-0.577323 # DEPENDENCYPART_SIBL
(23,14),(23,21),0.0063437 # DEPENDENCYPART_SIBL
(23,14),(23,22),-0.0208189 # DEPENDENCYPART_SIBL
(23,14),(23,24),-0.0804876 # DEPENDENCYPART_SIBL
(23,15),(23,16),0.0347083 # DEPENDENCYPART_SIBL
(23,15),(23,18),0.0432314 # DEPENDENCYPART_SIBL
(23,15),(23,19),-0.0325969 # DEPENDENCYPART_SIBL
(23,15),(23,20),-0.527289 # DEPENDENCYPART_SIBL
(23,15),(23,21),0.0445146 # DEPENDENCYPART_SIBL
(23,15),(23,22),-0.0418511 # DEPENDENCYPART_SIBL
(23,15),(23,24),-0.14034 # DEPENDENCYPART_SIBL
(23,16),(23,18),0.0931566 # DEPENDENCYPART_SIBL
(23,16),(23,19),0.00255919 # DEPENDENCYPART_SIBL
(23,16),(23,20),-0.445274 # DEPENDENCYPART_SIBL
(23,16),(23,21),-0.0262566 # DEPENDENCYPART_SIBL
(23,16),(23,22),0.00586058 # DEPENDENCYPART_SIBL
(23,16),(23,24),-0.0651979 # DEPENDENCYPART_SIBL
(23,18),(23,19),-0.0191561 # DEPENDENCYPART_SIBL
(23,18),(23,20),-0.286924 # DEPENDENCYPART_SIBL
(23,18),(23,21),0.0267583 # DEPENDENCYPART_SIBL
(23,18),(23,22),-0.00220548 # DEPENDENCYPART_SIBL
(23,18),(23,24),-0.00701807 # DEPENDENCYPART_SIBL
(23,19),(23,20),-0.251769 # DEPENDENCYPART_SIBL
(23,19),(23,21),-0.0278249 # DEPENDENCYPART_SIBL
(23,19),(23,22),-0.00234048 # DEPENDENCYPART_SIBL
(23,19),(23,24),-0.0821529 # DEPENDENCYPART_SIBL
(23,20),(23,21),0.0630357 # DEPENDENCYPART_SIBL
(23,20),(23,22),-0.0200468 # DEPENDENCYPART_SIBL
(23,20),(23,24),-0.149206 # DEPENDENCYPART_SIBL
(23,21),(23,22),-0.0181916 # DEPENDENCYPART_SIBL
(23,21),(23,24),-0.0815088 # DEPENDENCYPART_SIBL
(23,22),(23,24),0.104896 # DEPENDENCYPART_SIBL
(0,2),(2,1),0.112926 # DEPENDENCYPART_GRANDPAR
(0,2),(2,3),0.523476 # DEPENDENCYPART_GRANDPAR
(0,2),(2,4),-0.225466 # DEPENDENCYPART_GRANDPAR
(0,2),(2,5),-0.154396 # DEPENDENCYPART_GRANDPAR
(0,2),(2,9),-0.0381545 # DEPENDENCYPART_GRANDPAR
(0,2),(2,10),0.141957 # DEPENDENCYPART_GRANDPAR
(0,2),(2,13),0.20282 # DEPENDENCYPART_GRANDPAR
(0,2),(2,24),1.20846 # DEPENDENCYPART_GRANDPAR
(0,3),(3,1),0.112726 # DEPENDENCYPART_GRANDPAR
(0,3),(3,2),0.241678 # DEPENDENCYPART_GRANDPAR
(0,3),(3,4),-0.227625 # DEPENDENCYPART_GRANDPAR
(0,3),(3,5),-0.111644 # DEPENDENCYPART_GRANDPAR
(0,3),(3,6),-0.497826 # DEPENDENCYPART_GRANDPAR
(0,3),(3,7),-0.543505 # DEPENDENCYPART_GRANDPAR
(0,3),(3,8),-0.523958 # DEPENDENCYPART_GRANDPAR
(0,3),(3,9),-0.0218981 # DEPENDENCYPART_GRANDPAR
(0,3),(3,10),0.153088 # DEPENDENCYPART_GRANDPAR
(0,3),(3,12),0.0750573 # DEPENDENCYPART_GRANDPAR
(0,3),(3,13),0.28761 # DEPENDENCYPART_GRANDPAR
(0,3),(3,16),-0.175108 # DEPENDENCYPART_GRANDPAR
(0,3),(3,17),0.119979 # DEPENDENCYPART_GRANDPAR
(0,3),(3,22),-1.26218 # DEPENDENCYPART_GRANDPAR
(0,3),(3,23),0.601835 # DEPENDENCYPART_GRANDPAR
(0,3),(3,24),1.202 # DEPENDENCYPART_GRANDPAR
(0,9),(9,1),-0.220934 # DEPENDENCYPART_GRANDPAR
(0,9),(9,2),-0.000910917 # DEPENDENCYPART_GRANDPAR
(0,9),(9,3),0.251183 # DEPENDENCYPART_GRANDPAR
(0,9),(9,4),-0.439011 # DEPENDENCYPART_GRANDPAR
(0,9),(9,5),-0.50721 # DEPENDENCYPART_GRANDPAR
(0,9),(9,6),-0.796834 # DEPENDENCYPART_GRANDPAR
(0,9),(9,7),-0.868285 # DEPENDENCYPART_GRANDPAR
(0,9),(9,8),-0.788444 # DEPENDENCYPART_GRANDPAR
(0,9),(9,10),0.102838 # DEPENDENCYPART_GRANDPAR
(0,9),(9,11),-0.301566 # DEPENDENCYPART_GRANDPAR
(0,9),(9,12),0.170646 # DEPENDENCYPART_GRANDPAR
(0,9),(9,13),-0.0122008 # DEPENDENCYPART_GRANDPAR
(0,9),(9,16),-0.0984329 # DEPENDENCYPART_GRANDPAR
(0,9),(9,17),-0.179831 # DEPENDENCYPART_GRANDPAR
(0,9),(9,18),0.264904 # DEPENDENCYPART_GRANDPAR
(0,9),(9,24),1.55183 # DEPENDENCYPART_GRANDPAR
(0,10),(10,1),-0.0784951 # DEPENDENCYPART_GRANDPAR
(0,10),(10,2),0.0820796 # DEPENDENCYPART_GRANDPAR
(0,10),(10,3),0.377919 # DEPENDENCYPART_GRANDPAR
(0,10),(10,4),-0.292238 # DEPENDENCYPART_GRANDPAR
(0,10),(10,5),-0.408019 # DEPENDENCYPART_GRANDPAR
(0,10),(10,6),-0.588224 # DEPENDENCYPART_GRANDPAR
(0,10),(10,7),-0.6672 # DEPENDENCYPART_GRANDPAR
(0,10),(10,8),-0.603703 # DEPENDENCYPART_GRANDPAR
(0,10),(10,9),-0.16876 # DEPENDENCYPART_GRANDPAR
(0,10),(10,11),-0.261009 # DEPENDENCYPART_GRANDPAR
(0,10),(10,12),0.206088 # DEPENDENCYPART_GRANDPAR
(0,10),(10,13),0.3008 # DEPENDENCYPART_GRANDPAR
(0,10),(10,14),-0.23002 # DEPENDENCYPART_GRANDPAR
(0,10),(10,15),-0.476007 # DEPENDENCYPART_GRANDPAR
(0,10),(10,16),0.00110782 # DEPENDENCYPART_GRANDPAR
(0,10),(10,17),0.133169 # DEPENDENCYPART_GRANDPAR
(0,10),(10,18),0.517458 # DEPENDENCYPART_GRANDPAR
(0,10),(10,19),0.388773 # DEPENDENCYPART_GRANDPAR
(0,10),(10,21),0.107396 # DEPENDENCYPART_GRANDPAR
(0,10),(10,22),-1.02671 # DEPENDENCYPART_GRANDPAR
(0,10),(10,23),0.696468 # DEPENDENCYPART_GRANDPAR
(0,10),(10,24),1.74536 # DEPENDENCYPART_GRANDPAR
(1,4),(4,3),-0.187954 # DEPENDENCYPART_GRANDPAR
(1,4),(4,5),-0.321561 # DEPENDENCYPART_GRANDPAR
(1,4),(4,6),-0.410002 # DEPENDENCYPART_GRANDPAR
(1,4),(4,7),-0.446197 # DEPENDENCYPART_GRANDPAR
(1,4),(4,8),-0.44334 # DEPENDENCYPART_GRANDPAR
(1,4),(4,9),-0.0897537 # DEPENDENCYPART_GRANDPAR
(1,4),(4,10),-0.792486 # DEPENDENCYPART_GRANDPAR
(1,4),(4,12),-0.618452 # DEPENDENCYPART_GRANDPAR
(1,4),(4,16),-0.824008 # DEPENDENCYPART_GRANDPAR
(1,4),(4,23),-0.224503 # DEPENDENCYPART_GRANDPAR
(1,4),(4,24),-1.60399 # DEPENDENCYPART_GRANDPAR
(2,1),(1,4),-0.828172 # DEPENDENCYPART_GRANDPAR
(2,3),(3,1),-1.11502 # DEPENDENCYPART_GRANDPAR
(2,3),(3,2),-0.709103 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,3),(3,4),-0.45464 # DEPENDENCYPART_GRANDPAR
(2,3),(3,5),-0.0461515 # DEPENDENCYPART_GRANDPAR
(2,3),(3,6),-0.12787 # DEPENDENCYPART_GRANDPAR
(2,3),(3,7),-0.287025 # DEPENDENCYPART_GRANDPAR
(2,3),(3,8),-0.297868 # DEPENDENCYPART_GRANDPAR
(2,3),(3,9),-0.233828 # DEPENDENCYPART_GRANDPAR
(2,3),(3,10),-0.402148 # DEPENDENCYPART_GRANDPAR
(2,3),(3,12),-0.443038 # DEPENDENCYPART_GRANDPAR
(2,3),(3,13),-0.505958 # DEPENDENCYPART_GRANDPAR
(2,3),(3,16),-0.644715 # DEPENDENCYPART_GRANDPAR
(2,3),(3,17),-0.617418 # DEPENDENCYPART_GRANDPAR
(2,3),(3,22),-1.2677 # DEPENDENCYPART_GRANDPAR
(2,3),(3,23),-0.69025 # DEPENDENCYPART_GRANDPAR
(2,3),(3,24),-1.07268 # DEPENDENCYPART_GRANDPAR
(2,4),(4,3),0.303554 # DEPENDENCYPART_GRANDPAR
(2,4),(4,5),-0.0988996 # DEPENDENCYPART_GRANDPAR
(2,4),(4,6),-0.000801699 # DEPENDENCYPART_GRANDPAR
(2,4),(4,7),-0.133116 # DEPENDENCYPART_GRANDPAR
(2,4),(4,8),-0.116949 # DEPENDENCYPART_GRANDPAR
(2,4),(4,9),-0.321519 # DEPENDENCYPART_GRANDPAR
(2,4),(4,10),-0.54901 # DEPENDENCYPART_GRANDPAR
(2,4),(4,12),-0.424605 # DEPENDENCYPART_GRANDPAR
(2,4),(4,16),-0.576597 # DEPENDENCYPART_GRANDPAR
(2,4),(4,23),-0.787894 # DEPENDENCYPART_GRANDPAR
(2,4),(4,24),-1.33446 # DEPENDENCYPART_GRANDPAR
(2,5),(5,3),0.222437 # DEPENDENCYPART_GRANDPAR
(2,5),(5,4),-0.286534 # DEPENDENCYPART_GRANDPAR
(2,5),(5,6),-0.249705 # DEPENDENCYPART_GRANDPAR
(2,5),(5,7),-0.425151 # DEPENDENCYPART_GRANDPAR
(2,5),(5,10),-0.542924 # DEPENDENCYPART_GRANDPAR
(2,5),(5,12),-0.719548 # DEPENDENCYPART_GRANDPAR
(2,5),(5,13),-0.85312 # DEPENDENCYPART_GRANDPAR
(2,5),(5,18),-0.690355 # DEPENDENCYPART_GRANDPAR
(2,9),(9,1),-1.16683 # DEPENDENCYPART_GRANDPAR
(2,9),(9,2),-0.944411 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,9),(9,3),0.303484 # DEPENDENCYPART_GRANDPAR
(2,9),(9,4),-0.240308 # DEPENDENCYPART_GRANDPAR
(2,9),(9,5),-0.0515691 # DEPENDENCYPART_GRANDPAR
(2,9),(9,6),0.0723816 # DEPENDENCYPART_GRANDPAR
(2,9),(9,7),-0.0825548 # DEPENDENCYPART_GRANDPAR
(2,9),(9,8),-0.0497613 # DEPENDENCYPART_GRANDPAR
(2,9),(9,10),-0.294454 # DEPENDENCYPART_GRANDPAR
(2,9),(9,11),-0.287373 # DEPENDENCYPART_GRANDPAR
(2,9),(9,12),-0.335311 # DEPENDENCYPART_GRANDPAR
(2,9),(9,13),-0.522276 # DEPENDENCYPART_GRANDPAR
(2,9),(9,16),-0.490577 # DEPENDENCYPART_GRANDPAR
(2,9),(9,17),-0.633736 # DEPENDENCYPART_GRANDPAR
(2,9),(9,18),-0.441717 # DEPENDENCYPART_GRANDPAR
(2,9),(9,24),-1.13525 # DEPENDENCYPART_GRANDPAR
(2,10),(10,1),-1.03496 # DEPENDENCYPART_GRANDPAR
(2,10),(10,2),-0.966517 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,10),(10,3),0.302983 # DEPENDENCYPART_GRANDPAR
(2,10),(10,4),-0.244327 # DEPENDENCYPART_GRANDPAR
(2,10),(10,5),-0.091354 # DEPENDENCYPART_GRANDPAR
(2,10),(10,6),-0.00592217 # DEPENDENCYPART_GRANDPAR
(2,10),(10,7),-0.161147 # DEPENDENCYPART_GRANDPAR
(2,10),(10,8),-0.154384 # DEPENDENCYPART_GRANDPAR
(2,10),(10,9),-0.16993 # DEPENDENCYPART_GRANDPAR
(2,10),(10,11),-0.259147 # DEPENDENCYPART_GRANDPAR
(2,10),(10,12),-0.158037 # DEPENDENCYPART_GRANDPAR
(2,10),(10,13),-0.585617 # DEPENDENCYPART_GRANDPAR
(2,10),(10,14),-1.01841 # DEPENDENCYPART_GRANDPAR
(2,10),(10,15),-0.588478 # DEPENDENCYPART_GRANDPAR
(2,10),(10,16),-0.337208 # DEPENDENCYPART_GRANDPAR
(2,10),(10,17),-0.697077 # DEPENDENCYPART_GRANDPAR
(2,10),(10,18),-0.377905 # DEPENDENCYPART_GRANDPAR
(2,10),(10,19),-0.394733 # DEPENDENCYPART_GRANDPAR
(2,10),(10,21),-0.445691 # DEPENDENCYPART_GRANDPAR
(2,10),(10,22),-1.06279 # DEPENDENCYPART_GRANDPAR
(2,10),(10,23),-0.498806 # DEPENDENCYPART_GRANDPAR
(2,10),(10,24),-1.31982 # DEPENDENCYPART_GRANDPAR
(2,24),(24,23),-0.691414 # DEPENDENCYPART_GRANDPAR
(3,1),(1,4),-0.456906 # DEPENDENCYPART_GRANDPAR
(3,2),(2,1),-0.19546 # DEPENDENCYPART_GRANDPAR
(3,2),(2,3),-1.37459 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,2),(2,4),-0.549276 # DEPENDENCYPART_GRANDPAR
(3,2),(2,5),-0.663271 # DEPENDENCYPART_GRANDPAR
(3,2),(2,9),-0.481257 # DEPENDENCYPART_GRANDPAR
(3,2),(2,10),-0.629908 # DEPENDENCYPART_GRANDPAR
(3,2),(2,13),-1.03002 # DEPENDENCYPART_GRANDPAR
(3,2),(2,24),-1.59922 # DEPENDENCYPART_GRANDPAR
(3,4),(4,3),-0.768283 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,4),(4,5),-0.0732394 # DEPENDENCYPART_GRANDPAR
(3,4),(4,6),0.17549 # DEPENDENCYPART_GRANDPAR
(3,4),(4,7),0.0686764 # DEPENDENCYPART_GRANDPAR
(3,4),(4,8),0.158033 # DEPENDENCYPART_GRANDPAR
(3,4),(4,9),0.0658039 # DEPENDENCYPART_GRANDPAR
(3,4),(4,10),-0.314615 # DEPENDENCYPART_GRANDPAR
(3,4),(4,12),-0.384956 # DEPENDENCYPART_GRANDPAR
(3,4),(4,16),-0.541649 # DEPENDENCYPART_GRANDPAR
(3,4),(4,23),-0.423725 # DEPENDENCYPART_GRANDPAR
(3,4),(4,24),-1.09962 # DEPENDENCYPART_GRANDPAR
(3,5),(5,3),-0.86399 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,5),(5,4),0.071799 # DEPENDENCYPART_GRANDPAR
(3,5),(5,6),-0.0434356 # DEPENDENCYPART_GRANDPAR
(3,5),(5,7),-0.19338 # DEPENDENCYPART_GRANDPAR
(3,5),(5,10),-0.279179 # DEPENDENCYPART_GRANDPAR
(3,5),(5,12),-0.609867 # DEPENDENCYPART_GRANDPAR
(3,5),(5,13),-0.471019 # DEPENDENCYPART_GRANDPAR
(3,5),(5,18),-0.483506 # DEPENDENCYPART_GRANDPAR
(3,6),(6,1),-0.641687 # DEPENDENCYPART_GRANDPAR
(3,6),(6,2),-0.561634 # DEPENDENCYPART_GRANDPAR
(3,6),(6,3),-0.800358 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,6),(6,4),0.166858 # DEPENDENCYPART_GRANDPAR
(3,6),(6,5),0.0441449 # DEPENDENCYPART_GRANDPAR
(3,6),(6,7),0.175072 # DEPENDENCYPART_GRANDPAR
(3,6),(6,8),0.268249 # DEPENDENCYPART_GRANDPAR
(3,6),(6,10),-0.0720035 # DEPENDENCYPART_GRANDPAR
(3,6),(6,13),-0.120955 # DEPENDENCYPART_GRANDPAR
(3,7),(7,2),-0.561439 # DEPENDENCYPART_GRANDPAR
(3,7),(7,3),-0.824737 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,7),(7,4),0.163247 # DEPENDENCYPART_GRANDPAR
(3,7),(7,5),0.0408933 # DEPENDENCYPART_GRANDPAR
(3,7),(7,6),0.203781 # DEPENDENCYPART_GRANDPAR
(3,7),(7,8),0.416517 # DEPENDENCYPART_GRANDPAR
(3,7),(7,9),0.208981 # DEPENDENCYPART_GRANDPAR
(3,7),(7,10),-0.0228145 # DEPENDENCYPART_GRANDPAR
(3,7),(7,11),-0.135809 # DEPENDENCYPART_GRANDPAR
(3,7),(7,12),-0.172912 # DEPENDENCYPART_GRANDPAR
(3,7),(7,13),-0.0733869 # DEPENDENCYPART_GRANDPAR
(3,7),(7,17),-0.222736 # DEPENDENCYPART_GRANDPAR
(3,7),(7,18),-0.224312 # DEPENDENCYPART_GRANDPAR
(3,8),(8,3),-0.818013 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,8),(8,5),0.0411283 # DEPENDENCYPART_GRANDPAR
(3,8),(8,6),0.209567 # DEPENDENCYPART_GRANDPAR
(3,8),(8,7),0.103439 # DEPENDENCYPART_GRANDPAR
(3,8),(8,10),-0.0687228 # DEPENDENCYPART_GRANDPAR
(3,8),(8,12),-0.214067 # DEPENDENCYPART_GRANDPAR
(3,9),(9,1),-0.769859 # DEPENDENCYPART_GRANDPAR
(3,9),(9,2),-0.582274 # DEPENDENCYPART_GRANDPAR
(3,9),(9,3),-0.761994 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,9),(9,4),0.147736 # DEPENDENCYPART_GRANDPAR
(3,9),(9,5),-0.00377038 # DEPENDENCYPART_GRANDPAR
(3,9),(9,6),0.295325 # DEPENDENCYPART_GRANDPAR
(3,9),(9,7),0.16589 # DEPENDENCYPART_GRANDPAR
(3,9),(9,8),0.271873 # DEPENDENCYPART_GRANDPAR
(3,9),(9,10),-0.0331969 # DEPENDENCYPART_GRANDPAR
(3,9),(9,11),-0.0377162 # DEPENDENCYPART_GRANDPAR
(3,9),(9,12),-0.226491 # DEPENDENCYPART_GRANDPAR
(3,9),(9,13),-0.152754 # DEPENDENCYPART_GRANDPAR
(3,9),(9,16),-0.388702 # DEPENDENCYPART_GRANDPAR
(3,9),(9,17),-0.302104 # DEPENDENCYPART_GRANDPAR
(3,9),(9,18),-0.237468 # DEPENDENCYPART_GRANDPAR
(3,9),(9,24),-0.873539 # DEPENDENCYPART_GRANDPAR
(3,10),(10,1),-0.637995 # DEPENDENCYPART_GRANDPAR
(3,10),(10,2),-0.546115 # DEPENDENCYPART_GRANDPAR
(3,10),(10,3),-0.76272 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(3,10),(10,4),0.135419 # DEPENDENCYPART_GRANDPAR
(3,10),(10,5),-0.0428606 # DEPENDENCYPART_GRANDPAR
(3,10),(10,6),0.214517 # DEPENDENCYPART_GRANDPAR
(3,10),(10,7),0.0847932 # DEPENDENCYPART_GRANDPAR
(3,10),(10,8),0.164746 # DEPENDENCYPART_GRANDPAR
(3,10),(10,9),0.106504 # DEPENDENCYPART_GRANDPAR
(3,10),(10,11),0.0190296 # DEPENDENCYPART_GRANDPAR
(3,10),(10,12),-0.01307 # DEPENDENCYPART_GRANDPAR
(3,10),(10,13),-0.184365 # DEPENDENCYPART_GRANDPAR
(3,10),(10,14),-0.613219 # DEPENDENCYPART_GRANDPAR
(3,10),(10,15),-0.195967 # DEPENDENCYPART_GRANDPAR
(3,10),(10,16),-0.202473 # DEPENDENCYPART_GRANDPAR
(3,10),(10,17),-0.333715 # DEPENDENCYPART_GRANDPAR
(3,10),(10,18),-0.146008 # DEPENDENCYPART_GRANDPAR
(3,10),(10,19),-0.115036 # DEPENDENCYPART_GRANDPAR
(3,10),(10,21),-0.239712 # DEPENDENCYPART_GRANDPAR
(3,10),(10,22),-0.779435 # DEPENDENCYPART_GRANDPAR
(3,10),(10,23),-0.160218 # DEPENDENCYPART_GRANDPAR
(3,10),(10,24),-1.03061 # DEPENDENCYPART_GRANDPAR
(3,12),(12,1),-0.823628 # DEPENDENCYPART_GRANDPAR
(3,12),(12,2),-0.656125 # DEPENDENCYPART_GRANDPAR
