# _root_ A Ford spokesman said the Dearborn , Mich. , auto maker is n't aware of any injuries caused by the windshield problem .
#goldHeads=3,3,4,0,11,8,8,11,8,11,12,4,12,12,14,17,15,17,18,22,22,19,4,
#predictedHeads=3,3,4,0,11,8,8,11,8,11,12,4,12,12,14,17,15,17,18,22,22,19,4,
(19,18),(18,18),(18,3),0.041196 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,18),(18,18),(18,-1),-0.0443572 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(19,18),(18,17),(18,16),-0.0420089 # DEPENDENCYPART_GRANDSIBL
(19,18),(18,17),(18,15),-0.00204702 # DEPENDENCYPART_GRANDSIBL
(19,18),(18,17),(18,14),-0.0429317 # DEPENDENCYPART_GRANDSIBL
(19,18),(18,17),(18,13),-0.0417263 # DEPENDENCYPART_GRANDSIBL
(19,18),(18,17),(18,12),-0.027532 # DEPENDENCYPART_GRANDSIBL
(19,18),(18,17),(18,11),-0.0480406 # DEPENDENCYPART_GRANDSIBL
(19,18),(18,17),(18,9),-0.0742858 # DEPENDENCYPART_GRANDSIBL
(19,18),(18,17),(18,8),-0.0480406 # DEPENDENCYPART_GRANDSIBL
(19,18),(18,17),(18,7),-0.0742858 # DEPENDENCYPART_GRANDSIBL
(19,18),(18,17),(18,4),-0.0331884 # DEPENDENCYPART_GRANDSIBL
(19,18),(18,17),(18,3),-0.0480406 # DEPENDENCYPART_GRANDSIBL
(19,18),(18,17),(18,-1),-0.0654908 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,18),(18,16),(18,15),-0.043238 # DEPENDENCYPART_GRANDSIBL
(19,18),(18,16),(18,14),-0.0419995 # DEPENDENCYPART_GRANDSIBL
(19,18),(18,16),(18,13),-0.0419997 # DEPENDENCYPART_GRANDSIBL
(19,18),(18,16),(18,12),-0.0427326 # DEPENDENCYPART_GRANDSIBL
(19,18),(18,16),(18,11),-0.0395206 # DEPENDENCYPART_GRANDSIBL
(19,18),(18,16),(18,9),-0.0420138 # DEPENDENCYPART_GRANDSIBL
(19,18),(18,16),(18,8),-0.0395206 # DEPENDENCYPART_GRANDSIBL
(19,18),(18,16),(18,7),-0.0420138 # DEPENDENCYPART_GRANDSIBL
(19,18),(18,16),(18,4),-0.0427337 # DEPENDENCYPART_GRANDSIBL
(19,18),(18,16),(18,3),-0.0395206 # DEPENDENCYPART_GRANDSIBL
(19,18),(18,16),(18,-1),-0.0420678 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,18),(18,15),(18,14),-0.0420102 # DEPENDENCYPART_GRANDSIBL
(19,18),(18,15),(18,13),-0.0406334 # DEPENDENCYPART_GRANDSIBL
(19,18),(18,15),(18,12),-0.0330942 # DEPENDENCYPART_GRANDSIBL
(19,18),(18,15),(18,11),-0.050393 # DEPENDENCYPART_GRANDSIBL
(19,18),(18,15),(18,9),-0.0400885 # DEPENDENCYPART_GRANDSIBL
(19,18),(18,15),(18,8),-0.050393 # DEPENDENCYPART_GRANDSIBL
(19,18),(18,15),(18,7),-0.0400885 # DEPENDENCYPART_GRANDSIBL
(19,18),(18,15),(18,4),-0.0330743 # DEPENDENCYPART_GRANDSIBL
(19,18),(18,15),(18,3),-0.050393 # DEPENDENCYPART_GRANDSIBL
(19,18),(18,15),(18,-1),-0.052414 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,18),(18,14),(18,13),-0.0422323 # DEPENDENCYPART_GRANDSIBL
(19,18),(18,14),(18,12),-0.0458165 # DEPENDENCYPART_GRANDSIBL
(19,18),(18,14),(18,11),-0.0460112 # DEPENDENCYPART_GRANDSIBL
(19,18),(18,14),(18,9),-0.0460607 # DEPENDENCYPART_GRANDSIBL
(19,18),(18,14),(18,8),-0.0460112 # DEPENDENCYPART_GRANDSIBL
(19,18),(18,14),(18,7),-0.0460607 # DEPENDENCYPART_GRANDSIBL
(19,18),(18,14),(18,4),-0.0458165 # DEPENDENCYPART_GRANDSIBL
(19,18),(18,14),(18,3),-0.0460112 # DEPENDENCYPART_GRANDSIBL
(19,18),(18,14),(18,-1),-0.0393437 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,18),(18,13),(18,12),-0.0750527 # DEPENDENCYPART_GRANDSIBL
(19,18),(18,13),(18,11),-0.0526097 # DEPENDENCYPART_GRANDSIBL
(19,18),(18,13),(18,9),-0.051805 # DEPENDENCYPART_GRANDSIBL
(19,18),(18,13),(18,8),-0.0525808 # DEPENDENCYPART_GRANDSIBL
(19,18),(18,13),(18,7),-0.051805 # DEPENDENCYPART_GRANDSIBL
(19,18),(18,13),(18,4),-0.0749545 # DEPENDENCYPART_GRANDSIBL
(19,18),(18,13),(18,3),-0.0525808 # DEPENDENCYPART_GRANDSIBL
(19,18),(18,13),(18,-1),-0.0431432 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,18),(18,12),(18,11),-0.0452754 # DEPENDENCYPART_GRANDSIBL
(19,18),(18,12),(18,9),-0.0396369 # DEPENDENCYPART_GRANDSIBL
(19,18),(18,12),(18,8),-0.0452754 # DEPENDENCYPART_GRANDSIBL
(19,18),(18,12),(18,7),-0.0396369 # DEPENDENCYPART_GRANDSIBL
(19,18),(18,12),(18,4),-0.0322356 # DEPENDENCYPART_GRANDSIBL
(19,18),(18,12),(18,3),-0.0452754 # DEPENDENCYPART_GRANDSIBL
(19,18),(18,12),(18,-1),-0.0640708 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,18),(18,11),(18,9),-0.0742866 # DEPENDENCYPART_GRANDSIBL
(19,18),(18,11),(18,8),-0.0480406 # DEPENDENCYPART_GRANDSIBL
(19,18),(18,11),(18,7),-0.0742866 # DEPENDENCYPART_GRANDSIBL
(19,18),(18,11),(18,4),-0.0331884 # DEPENDENCYPART_GRANDSIBL
(19,18),(18,11),(18,3),-0.0480406 # DEPENDENCYPART_GRANDSIBL
(19,18),(18,11),(18,-1),-0.0655317 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,18),(18,9),(18,8),-0.0543586 # DEPENDENCYPART_GRANDSIBL
(19,18),(18,9),(18,7),-0.0423426 # DEPENDENCYPART_GRANDSIBL
(19,18),(18,9),(18,4),-0.0561196 # DEPENDENCYPART_GRANDSIBL
(19,18),(18,9),(18,3),-0.0543586 # DEPENDENCYPART_GRANDSIBL
(19,18),(18,9),(18,-1),-0.0301833 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,18),(18,8),(18,7),-0.0742858 # DEPENDENCYPART_GRANDSIBL
(19,18),(18,8),(18,4),-0.0331884 # DEPENDENCYPART_GRANDSIBL
(19,18),(18,8),(18,3),-0.0480406 # DEPENDENCYPART_GRANDSIBL
(19,18),(18,8),(18,-1),-0.0654908 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,18),(18,7),(18,4),-0.0561196 # DEPENDENCYPART_GRANDSIBL
(19,18),(18,7),(18,3),-0.0543586 # DEPENDENCYPART_GRANDSIBL
(19,18),(18,7),(18,-1),-0.0301833 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,18),(18,4),(18,3),-0.0452754 # DEPENDENCYPART_GRANDSIBL
(19,18),(18,4),(18,-1),-0.0610744 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,18),(18,3),(18,-1),-0.0654932 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,20),(20,20),(20,21),-0.0359265 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,20),(20,20),(20,24),-0.0798737 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(19,20),(20,21),(20,24),-0.0357744 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,20),(20,20),(20,-1),-0.164712 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(19,21),(21,21),(21,22),-0.184472 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,21),(21,21),(21,24),0.156611 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(19,21),(21,22),(21,24),-0.12761 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,21),(21,21),(21,20),0.102813 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,21),(21,21),(21,-1),-0.134568 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(19,21),(21,20),(21,-1),-0.0704525 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,22),(22,22),(22,23),-0.0674484 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,22),(22,24),0.157599 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(19,22),(22,23),(22,24),-0.0612187 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,22),(22,22),(22,21),0.189811 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,22),(22,20),0.102933 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,22),(22,19),0.169504 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(19,22),(22,22),(22,18),-0.133873 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,22),(22,17),-0.133547 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,22),(22,16),-0.132916 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,22),(22,15),-0.138044 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,22),(22,-1),-0.135168 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(19,22),(22,21),(22,20),0.0309984 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,21),(22,19),0.116004 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,22),(22,21),(22,18),-0.125239 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,21),(22,17),-0.127185 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,21),(22,16),-0.125925 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,21),(22,15),-0.125964 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,21),(22,-1),-0.0974557 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,22),(22,20),(22,19),0.0895677 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,22),(22,20),(22,18),-0.124885 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,20),(22,17),-0.125424 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,20),(22,16),-0.124897 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,20),(22,15),-0.125212 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,20),(22,-1),-0.0691357 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,22),(22,19),(22,18),-0.124908 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,19),(22,17),-0.124941 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,19),(22,16),-0.124888 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,19),(22,15),-0.124886 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(19,22),(22,19),(22,-1),-0.109532 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(19,22),(22,18),(22,17),-0.12511 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,18),(22,16),-0.12499 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,18),(22,15),-0.124907 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,18),(22,-1),-0.102501 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,22),(22,17),(22,16),-0.125925 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,17),(22,15),-0.125964 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,17),(22,-1),-0.0974557 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,22),(22,16),(22,15),-0.125056 # DEPENDENCYPART_GRANDSIBL
(19,22),(22,16),(22,-1),-0.0917059 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(19,22),(22,15),(22,-1),-0.0928658 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,21),(21,21),(21,22),-0.0437043 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,21),(21,21),(21,24),-0.0769474 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,21),(21,22),(21,24),-0.0446235 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,21),(21,21),(21,20),0.116729 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,21),(21,21),(21,-1),-0.146207 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,21),(21,20),(21,-1),-0.130429 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(21,20),(20,20),(20,21),-0.126784 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(21,20),(20,20),(20,24),0.147137 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(21,20),(20,21),(20,24),-0.131135 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(21,20),(20,20),(20,-1),0.211264 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(21,22),(22,22),(22,23),0.0853674 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,22),(22,22),(22,24),0.0903841 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(21,22),(22,23),(22,24),0.0957853 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,22),(22,22),(22,21),0.151571 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(21,22),(22,22),(22,20),-0.125504 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,22),(22,22),(22,19),-0.143886 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,22),(22,22),(22,18),-0.15429 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,22),(22,22),(22,17),-0.141313 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,22),(22,22),(22,16),-0.125504 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,22),(22,22),(22,15),-0.150131 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,22),(22,22),(22,-1),0.0162347 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(21,22),(22,21),(22,20),-0.12581 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,22),(22,21),(22,19),-0.125035 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,22),(22,21),(22,18),-0.125545 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,22),(22,21),(22,17),-0.125449 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,22),(22,21),(22,16),-0.125403 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,22),(22,21),(22,15),-0.12504 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,22),(22,21),(22,-1),-0.143152 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(21,22),(22,20),(22,19),-0.12489 # DEPENDENCYPART_GRANDSIBL
(21,22),(22,20),(22,18),-0.125175 # DEPENDENCYPART_GRANDSIBL
(21,22),(22,20),(22,17),-0.124885 # DEPENDENCYPART_GRANDSIBL
(21,22),(22,20),(22,16),-0.124885 # DEPENDENCYPART_GRANDSIBL
(21,22),(22,20),(22,15),-0.12489 # DEPENDENCYPART_GRANDSIBL
(21,22),(22,20),(22,-1),-0.165146 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,22),(22,19),(22,18),-0.125119 # DEPENDENCYPART_GRANDSIBL
(21,22),(22,19),(22,17),-0.124885 # DEPENDENCYPART_GRANDSIBL
(21,22),(22,19),(22,16),-0.124885 # DEPENDENCYPART_GRANDSIBL
(21,22),(22,19),(22,15),-0.126496 # DEPENDENCYPART_GRANDSIBL
(21,22),(22,19),(22,-1),-0.100473 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,22),(22,18),(22,17),-0.124957 # DEPENDENCYPART_GRANDSIBL
(21,22),(22,18),(22,16),-0.124975 # DEPENDENCYPART_GRANDSIBL
(21,22),(22,18),(22,15),-0.124893 # DEPENDENCYPART_GRANDSIBL
(21,22),(22,18),(22,-1),-0.174226 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,22),(22,17),(22,16),-0.125403 # DEPENDENCYPART_GRANDSIBL
(21,22),(22,17),(22,15),-0.12504 # DEPENDENCYPART_GRANDSIBL
(21,22),(22,17),(22,-1),-0.143152 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,22),(22,16),(22,15),-0.124887 # DEPENDENCYPART_GRANDSIBL
(21,22),(22,16),(22,-1),-0.143604 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,22),(22,15),(22,-1),-0.0684782 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,15),(15,15),(15,16),0.143128 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,15),(15,15),(15,17),0.0597857 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,15),(15,15),(15,18),0.118012 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,15),(15,15),(15,19),0.0981155 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,15),(15,15),(15,22),-0.145803 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(22,15),(15,15),(15,24),0.0176544 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(22,15),(15,16),(15,17),0.147129 # DEPENDENCYPART_GRANDSIBL
(22,15),(15,16),(15,18),0.119159 # DEPENDENCYPART_GRANDSIBL
(22,15),(15,16),(15,19),0.119146 # DEPENDENCYPART_GRANDSIBL
(22,15),(15,16),(15,22),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,15),(15,16),(15,24),-0.152865 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,15),(15,17),(15,18),0.119145 # DEPENDENCYPART_GRANDSIBL
(22,15),(15,17),(15,19),0.118077 # DEPENDENCYPART_GRANDSIBL
(22,15),(15,17),(15,22),-0.125348 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,15),(15,17),(15,24),-0.143308 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,15),(15,18),(15,19),0.119158 # DEPENDENCYPART_GRANDSIBL
(22,15),(15,18),(15,22),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,15),(15,18),(15,24),-0.124298 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,15),(15,19),(15,22),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,15),(15,19),(15,24),-0.151858 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,15),(15,22),(15,24),-0.143392 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(22,15),(15,15),(15,14),-0.0321408 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,15),(15,15),(15,13),-0.0969755 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,15),(15,15),(15,11),0.103604 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,15),(15,15),(15,-1),-0.419324 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(22,15),(15,14),(15,13),-0.0278978 # DEPENDENCYPART_GRANDSIBL
(22,15),(15,14),(15,11),-0.0439844 # DEPENDENCYPART_GRANDSIBL
(22,15),(15,14),(15,-1),-0.0137673 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,15),(15,13),(15,11),-0.0482734 # DEPENDENCYPART_GRANDSIBL
(22,15),(15,13),(15,-1),-0.0364047 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,15),(15,11),(15,-1),0.0473176 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,16),(16,16),(16,18),0.13122 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,16),(16,16),(16,19),0.102975 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,16),(16,16),(16,24),0.0635307 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(22,16),(16,18),(16,19),0.119164 # DEPENDENCYPART_GRANDSIBL
(22,16),(16,18),(16,24),-0.115751 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,16),(16,19),(16,24),-0.142556 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,16),(16,16),(16,-1),0.121255 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(22,17),(17,17),(17,18),0.12547 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,17),(17,17),(17,19),0.190528 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,17),(17,17),(17,22),-0.141313 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(22,17),(17,17),(17,24),0.0255413 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(22,17),(17,18),(17,19),0.1174 # DEPENDENCYPART_GRANDSIBL
(22,17),(17,18),(17,22),-0.124957 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,17),(17,18),(17,24),-0.174229 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,17),(17,19),(17,22),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,17),(17,19),(17,24),-0.100457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,17),(17,22),(17,24),-0.143704 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(22,17),(17,17),(17,16),-0.0577378 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,17),(17,17),(17,15),-0.0214076 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,17),(17,17),(17,14),-0.0647593 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,17),(17,17),(17,13),-0.0717733 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,17),(17,17),(17,-1),0.0976007 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(22,17),(17,16),(17,15),-0.043385 # DEPENDENCYPART_GRANDSIBL
(22,17),(17,16),(17,14),-0.0384331 # DEPENDENCYPART_GRANDSIBL
(22,17),(17,16),(17,13),-0.0507187 # DEPENDENCYPART_GRANDSIBL
(22,17),(17,16),(17,-1),-0.0568851 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,17),(17,15),(17,14),-0.0387517 # DEPENDENCYPART_GRANDSIBL
(22,17),(17,15),(17,13),-0.0426268 # DEPENDENCYPART_GRANDSIBL
(22,17),(17,15),(17,-1),-0.0513377 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,17),(17,14),(17,13),-0.0479308 # DEPENDENCYPART_GRANDSIBL
(22,17),(17,14),(17,-1),-0.0496714 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,17),(17,13),(17,-1),-0.0820646 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,18),(18,18),(18,19),0.206031 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,18),(18,18),(18,21),0.168335 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,18),(18,18),(18,22),-0.175298 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(22,18),(18,18),(18,23),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,18),(18,18),(18,24),0.052047 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(22,18),(18,19),(18,21),0.109596 # DEPENDENCYPART_GRANDSIBL
(22,18),(18,19),(18,22),-0.125063 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,18),(18,19),(18,23),-0.124968 # DEPENDENCYPART_GRANDSIBL
(22,18),(18,19),(18,24),-0.183883 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,18),(18,21),(18,22),-0.124895 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,18),(18,21),(18,23),-0.124886 # DEPENDENCYPART_GRANDSIBL
(22,18),(18,21),(18,24),-0.0248782 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,18),(18,22),(18,23),-0.124886 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,18),(18,22),(18,24),-0.0223652 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(22,18),(18,23),(18,24),-0.128645 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,18),(18,18),(18,17),-0.0339305 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,18),(18,18),(18,16),-0.0349119 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,18),(18,18),(18,15),-0.0298566 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,18),(18,18),(18,14),-0.00766459 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,18),(18,18),(18,13),-0.00399916 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,18),(18,18),(18,12),-0.0364367 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,18),(18,18),(18,11),-0.0339613 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,18),(18,18),(18,9),-0.0734404 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,18),(18,18),(18,8),-0.0339305 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,18),(18,18),(18,7),-0.0734404 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,18),(18,18),(18,4),-0.0420881 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,18),(18,18),(18,3),-0.0342462 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,18),(18,18),(18,-1),0.0637782 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(22,18),(18,17),(18,16),-0.0426017 # DEPENDENCYPART_GRANDSIBL
(22,18),(18,17),(18,15),-0.01952 # DEPENDENCYPART_GRANDSIBL
(22,18),(18,17),(18,14),-0.038947 # DEPENDENCYPART_GRANDSIBL
(22,18),(18,17),(18,13),-0.032767 # DEPENDENCYPART_GRANDSIBL
(22,18),(18,17),(18,12),-0.0547623 # DEPENDENCYPART_GRANDSIBL
(22,18),(18,17),(18,11),-0.0344718 # DEPENDENCYPART_GRANDSIBL
(22,18),(18,17),(18,9),-0.0677127 # DEPENDENCYPART_GRANDSIBL
(22,18),(18,17),(18,8),-0.0344718 # DEPENDENCYPART_GRANDSIBL
(22,18),(18,17),(18,7),-0.0677127 # DEPENDENCYPART_GRANDSIBL
(22,18),(18,17),(18,4),-0.0550114 # DEPENDENCYPART_GRANDSIBL
(22,18),(18,17),(18,3),-0.0344718 # DEPENDENCYPART_GRANDSIBL
(22,18),(18,17),(18,-1),-0.0486508 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,18),(18,16),(18,15),-0.0529388 # DEPENDENCYPART_GRANDSIBL
(22,18),(18,16),(18,14),-0.040026 # DEPENDENCYPART_GRANDSIBL
(22,18),(18,16),(18,13),-0.0435123 # DEPENDENCYPART_GRANDSIBL
(22,18),(18,16),(18,12),-0.0388287 # DEPENDENCYPART_GRANDSIBL
(22,18),(18,16),(18,11),-0.0441043 # DEPENDENCYPART_GRANDSIBL
(22,18),(18,16),(18,9),-0.042167 # DEPENDENCYPART_GRANDSIBL
(22,18),(18,16),(18,8),-0.0441043 # DEPENDENCYPART_GRANDSIBL
(22,18),(18,16),(18,7),-0.042167 # DEPENDENCYPART_GRANDSIBL
(22,18),(18,16),(18,4),-0.0388287 # DEPENDENCYPART_GRANDSIBL
(22,18),(18,16),(18,3),-0.0441045 # DEPENDENCYPART_GRANDSIBL
(22,18),(18,16),(18,-1),-0.0305177 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,18),(18,15),(18,14),-0.0459541 # DEPENDENCYPART_GRANDSIBL
