# _root_ `` Parenthood , '' this summer 's successful and amusing movie about parents and children , apparently was only the beginning .
#goldHeads=2,18,2,2,6,11,6,9,11,9,2,11,14,12,14,2,18,0,21,21,18,18,
#predictedHeads=18,18,2,2,6,11,6,9,11,9,2,11,14,12,14,2,18,0,21,21,18,18,
(9,10),(9,15),(9,17),-0.0938997 # DEPENDENCYPART_TRISIBL
(9,10),(9,15),(9,18),-0.0102914 # DEPENDENCYPART_TRISIBL
(9,10),(9,15),(9,21),0.0678011 # DEPENDENCYPART_TRISIBL
(9,10),(9,15),(9,22),-0.122655 # DEPENDENCYPART_TRISIBL
(9,10),(9,15),(9,23),-0.0897205 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,10),(9,16),(9,17),-0.0885878 # DEPENDENCYPART_TRISIBL
(9,10),(9,16),(9,18),-0.0459873 # DEPENDENCYPART_TRISIBL
(9,10),(9,16),(9,21),-0.0272462 # DEPENDENCYPART_TRISIBL
(9,10),(9,16),(9,22),-0.095016 # DEPENDENCYPART_TRISIBL
(9,10),(9,16),(9,23),-0.0429478 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,10),(9,17),(9,18),-0.0671825 # DEPENDENCYPART_TRISIBL
(9,10),(9,17),(9,21),-0.0332359 # DEPENDENCYPART_TRISIBL
(9,10),(9,17),(9,22),-0.0831239 # DEPENDENCYPART_TRISIBL
(9,10),(9,17),(9,23),-0.0358588 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,10),(9,18),(9,21),-0.0299712 # DEPENDENCYPART_TRISIBL
(9,10),(9,18),(9,22),-0.132945 # DEPENDENCYPART_TRISIBL
(9,10),(9,18),(9,23),-0.0532029 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,10),(9,21),(9,22),-0.122659 # DEPENDENCYPART_TRISIBL
(9,10),(9,21),(9,23),-0.0898295 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,10),(9,22),(9,23),-0.133569 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,11),(9,12),(9,13),-0.140846 # DEPENDENCYPART_TRISIBL
(9,11),(9,12),(9,14),-0.131665 # DEPENDENCYPART_TRISIBL
(9,11),(9,12),(9,15),-0.140846 # DEPENDENCYPART_TRISIBL
(9,11),(9,12),(9,16),-0.0124499 # DEPENDENCYPART_TRISIBL
(9,11),(9,12),(9,17),-0.0370372 # DEPENDENCYPART_TRISIBL
(9,11),(9,12),(9,18),-0.0379213 # DEPENDENCYPART_TRISIBL
(9,11),(9,12),(9,21),-0.118167 # DEPENDENCYPART_TRISIBL
(9,11),(9,12),(9,22),-0.1275 # DEPENDENCYPART_TRISIBL
(9,11),(9,12),(9,23),-0.0409265 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,11),(9,13),(9,14),-0.129001 # DEPENDENCYPART_TRISIBL
(9,11),(9,13),(9,15),-0.114368 # DEPENDENCYPART_TRISIBL
(9,11),(9,13),(9,16),-0.059242 # DEPENDENCYPART_TRISIBL
(9,11),(9,13),(9,17),-0.0193713 # DEPENDENCYPART_TRISIBL
(9,11),(9,13),(9,18),-0.0374609 # DEPENDENCYPART_TRISIBL
(9,11),(9,13),(9,21),-0.0989316 # DEPENDENCYPART_TRISIBL
(9,11),(9,13),(9,22),-0.147244 # DEPENDENCYPART_TRISIBL
(9,11),(9,13),(9,23),-0.0354139 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,11),(9,14),(9,15),-0.119086 # DEPENDENCYPART_TRISIBL
(9,11),(9,14),(9,16),-0.0307841 # DEPENDENCYPART_TRISIBL
(9,11),(9,14),(9,17),-0.0453192 # DEPENDENCYPART_TRISIBL
(9,11),(9,14),(9,18),-0.0617785 # DEPENDENCYPART_TRISIBL
(9,11),(9,14),(9,21),-0.106705 # DEPENDENCYPART_TRISIBL
(9,11),(9,14),(9,22),-0.105584 # DEPENDENCYPART_TRISIBL
(9,11),(9,14),(9,23),-0.116134 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,11),(9,15),(9,16),-0.0592411 # DEPENDENCYPART_TRISIBL
(9,11),(9,15),(9,17),-0.0193713 # DEPENDENCYPART_TRISIBL
(9,11),(9,15),(9,18),-0.0374623 # DEPENDENCYPART_TRISIBL
(9,11),(9,15),(9,21),-0.0989316 # DEPENDENCYPART_TRISIBL
(9,11),(9,15),(9,22),-0.147244 # DEPENDENCYPART_TRISIBL
(9,11),(9,15),(9,23),-0.0354143 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,11),(9,16),(9,17),0.0357512 # DEPENDENCYPART_TRISIBL
(9,11),(9,16),(9,18),-0.0143091 # DEPENDENCYPART_TRISIBL
(9,11),(9,16),(9,21),-0.149676 # DEPENDENCYPART_TRISIBL
(9,11),(9,16),(9,22),-0.146171 # DEPENDENCYPART_TRISIBL
(9,11),(9,16),(9,23),-0.0877815 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,11),(9,17),(9,18),-0.0707859 # DEPENDENCYPART_TRISIBL
(9,11),(9,17),(9,21),-0.0991227 # DEPENDENCYPART_TRISIBL
(9,11),(9,17),(9,22),-0.124887 # DEPENDENCYPART_TRISIBL
(9,11),(9,17),(9,23),0.0158685 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,11),(9,18),(9,21),-0.0792502 # DEPENDENCYPART_TRISIBL
(9,11),(9,18),(9,22),-0.0815829 # DEPENDENCYPART_TRISIBL
(9,11),(9,18),(9,23),-0.0452697 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,11),(9,21),(9,22),-0.147245 # DEPENDENCYPART_TRISIBL
(9,11),(9,21),(9,23),-0.0373114 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,11),(9,22),(9,23),-0.124699 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,12),(9,13),(9,14),-0.0937546 # DEPENDENCYPART_TRISIBL
(9,12),(9,13),(9,15),-0.0805792 # DEPENDENCYPART_TRISIBL
(9,12),(9,13),(9,16),-0.0454738 # DEPENDENCYPART_TRISIBL
(9,12),(9,13),(9,17),-0.090276 # DEPENDENCYPART_TRISIBL
(9,12),(9,13),(9,18),-0.134407 # DEPENDENCYPART_TRISIBL
(9,12),(9,13),(9,21),-0.0748992 # DEPENDENCYPART_TRISIBL
(9,12),(9,13),(9,22),-0.0153858 # DEPENDENCYPART_TRISIBL
(9,12),(9,13),(9,23),-0.0815989 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,12),(9,14),(9,15),-0.0598428 # DEPENDENCYPART_TRISIBL
(9,12),(9,14),(9,16),-0.0778557 # DEPENDENCYPART_TRISIBL
(9,12),(9,14),(9,17),-0.086465 # DEPENDENCYPART_TRISIBL
(9,12),(9,14),(9,18),-0.138439 # DEPENDENCYPART_TRISIBL
(9,12),(9,14),(9,21),-0.0541628 # DEPENDENCYPART_TRISIBL
(9,12),(9,14),(9,22),-0.0664159 # DEPENDENCYPART_TRISIBL
(9,12),(9,14),(9,23),-0.122293 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,12),(9,15),(9,16),-0.0454738 # DEPENDENCYPART_TRISIBL
(9,12),(9,15),(9,17),-0.090276 # DEPENDENCYPART_TRISIBL
(9,12),(9,15),(9,18),-0.134407 # DEPENDENCYPART_TRISIBL
(9,12),(9,15),(9,21),-0.0748992 # DEPENDENCYPART_TRISIBL
(9,12),(9,15),(9,22),-0.0153858 # DEPENDENCYPART_TRISIBL
(9,12),(9,15),(9,23),-0.0816001 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,12),(9,16),(9,17),-0.0957627 # DEPENDENCYPART_TRISIBL
(9,12),(9,16),(9,18),-0.158048 # DEPENDENCYPART_TRISIBL
(9,12),(9,16),(9,21),0.0585533 # DEPENDENCYPART_TRISIBL
(9,12),(9,16),(9,22),-0.00814721 # DEPENDENCYPART_TRISIBL
(9,12),(9,16),(9,23),-0.149813 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,12),(9,17),(9,18),-0.126509 # DEPENDENCYPART_TRISIBL
(9,12),(9,17),(9,21),-0.0554325 # DEPENDENCYPART_TRISIBL
(9,12),(9,17),(9,22),-0.0275622 # DEPENDENCYPART_TRISIBL
(9,12),(9,17),(9,23),-0.0933475 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,12),(9,18),(9,21),-0.0527453 # DEPENDENCYPART_TRISIBL
(9,12),(9,18),(9,22),-0.0168101 # DEPENDENCYPART_TRISIBL
(9,12),(9,18),(9,23),-0.137193 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,12),(9,21),(9,22),-0.0153951 # DEPENDENCYPART_TRISIBL
(9,12),(9,21),(9,23),-0.0798102 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,12),(9,22),(9,23),-0.1444 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,13),(9,14),(9,15),-0.118819 # DEPENDENCYPART_TRISIBL
(9,13),(9,14),(9,16),-0.0303562 # DEPENDENCYPART_TRISIBL
(9,13),(9,14),(9,17),-0.045337 # DEPENDENCYPART_TRISIBL
(9,13),(9,14),(9,18),-0.0651009 # DEPENDENCYPART_TRISIBL
(9,13),(9,14),(9,21),-0.106438 # DEPENDENCYPART_TRISIBL
(9,13),(9,14),(9,22),-0.105715 # DEPENDENCYPART_TRISIBL
(9,13),(9,14),(9,23),-0.114292 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,13),(9,15),(9,16),-0.0587743 # DEPENDENCYPART_TRISIBL
(9,13),(9,15),(9,17),-0.0193891 # DEPENDENCYPART_TRISIBL
(9,13),(9,15),(9,18),-0.0407846 # DEPENDENCYPART_TRISIBL
(9,13),(9,15),(9,21),-0.0983933 # DEPENDENCYPART_TRISIBL
(9,13),(9,15),(9,22),-0.147354 # DEPENDENCYPART_TRISIBL
(9,13),(9,15),(9,23),-0.0334193 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,13),(9,16),(9,17),0.0357157 # DEPENDENCYPART_TRISIBL
(9,13),(9,16),(9,18),-0.0209554 # DEPENDENCYPART_TRISIBL
(9,13),(9,16),(9,21),-0.149413 # DEPENDENCYPART_TRISIBL
(9,13),(9,16),(9,22),-0.146303 # DEPENDENCYPART_TRISIBL
(9,13),(9,16),(9,23),-0.0860011 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,13),(9,17),(9,18),-0.0741083 # DEPENDENCYPART_TRISIBL
(9,13),(9,17),(9,21),-0.0988557 # DEPENDENCYPART_TRISIBL
(9,13),(9,17),(9,22),-0.125018 # DEPENDENCYPART_TRISIBL
(9,13),(9,17),(9,23),0.0177119 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,13),(9,18),(9,21),-0.0789833 # DEPENDENCYPART_TRISIBL
(9,13),(9,18),(9,22),-0.0817147 # DEPENDENCYPART_TRISIBL
(9,13),(9,18),(9,23),-0.0449733 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,13),(9,21),(9,22),-0.147354 # DEPENDENCYPART_TRISIBL
(9,13),(9,21),(9,23),-0.0353163 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,13),(9,22),(9,23),-0.121584 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,14),(9,15),(9,16),-0.075506 # DEPENDENCYPART_TRISIBL
(9,14),(9,15),(9,17),-0.058786 # DEPENDENCYPART_TRISIBL
(9,14),(9,15),(9,18),-0.0569176 # DEPENDENCYPART_TRISIBL
(9,14),(9,15),(9,21),-0.085181 # DEPENDENCYPART_TRISIBL
(9,14),(9,15),(9,22),-0.0641719 # DEPENDENCYPART_TRISIBL
(9,14),(9,15),(9,23),-0.106646 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,14),(9,16),(9,17),-0.0485857 # DEPENDENCYPART_TRISIBL
(9,14),(9,16),(9,18),-0.0239984 # DEPENDENCYPART_TRISIBL
(9,14),(9,16),(9,21),-0.0694265 # DEPENDENCYPART_TRISIBL
(9,14),(9,16),(9,22),-0.0633823 # DEPENDENCYPART_TRISIBL
(9,14),(9,16),(9,23),-0.0906027 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,14),(9,17),(9,18),-0.0544706 # DEPENDENCYPART_TRISIBL
(9,14),(9,17),(9,21),-0.0779757 # DEPENDENCYPART_TRISIBL
(9,14),(9,17),(9,22),-0.0527195 # DEPENDENCYPART_TRISIBL
(9,14),(9,17),(9,23),-0.0729739 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,14),(9,18),(9,21),-0.0788027 # DEPENDENCYPART_TRISIBL
(9,14),(9,18),(9,22),-0.0638007 # DEPENDENCYPART_TRISIBL
(9,14),(9,18),(9,23),-0.100379 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,14),(9,21),(9,22),-0.0641719 # DEPENDENCYPART_TRISIBL
(9,14),(9,21),(9,23),-0.106646 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,14),(9,22),(9,23),0.0593908 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,15),(9,16),(9,17),0.0346507 # DEPENDENCYPART_TRISIBL
(9,15),(9,16),(9,18),0.0026598 # DEPENDENCYPART_TRISIBL
(9,15),(9,16),(9,21),-0.149486 # DEPENDENCYPART_TRISIBL
(9,15),(9,16),(9,22),-0.146149 # DEPENDENCYPART_TRISIBL
(9,15),(9,16),(9,23),-0.090579 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,15),(9,17),(9,18),-0.0623088 # DEPENDENCYPART_TRISIBL
(9,15),(9,17),(9,21),-0.0989332 # DEPENDENCYPART_TRISIBL
(9,15),(9,17),(9,22),-0.124865 # DEPENDENCYPART_TRISIBL
(9,15),(9,17),(9,23),0.0128546 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,15),(9,18),(9,21),-0.0790607 # DEPENDENCYPART_TRISIBL
(9,15),(9,18),(9,22),-0.0815608 # DEPENDENCYPART_TRISIBL
(9,15),(9,18),(9,23),-0.0495175 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,15),(9,21),(9,22),-0.1472 # DEPENDENCYPART_TRISIBL
(9,15),(9,21),(9,23),-0.0404099 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,15),(9,22),(9,23),-0.127004 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,16),(9,17),(9,18),-0.0154684 # DEPENDENCYPART_TRISIBL
(9,16),(9,17),(9,21),-0.031859 # DEPENDENCYPART_TRISIBL
(9,16),(9,17),(9,22),-0.0551371 # DEPENDENCYPART_TRISIBL
(9,16),(9,17),(9,23),-0.0375133 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,16),(9,18),(9,21),-0.0733295 # DEPENDENCYPART_TRISIBL
(9,16),(9,18),(9,22),0.0150253 # DEPENDENCYPART_TRISIBL
(9,16),(9,18),(9,23),-0.0770939 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,16),(9,21),(9,22),-0.0907062 # DEPENDENCYPART_TRISIBL
(9,16),(9,21),(9,23),-0.0472465 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,16),(9,22),(9,23),-0.171713 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,17),(9,18),(9,21),-0.0599974 # DEPENDENCYPART_TRISIBL
(9,17),(9,18),(9,22),0.0458343 # DEPENDENCYPART_TRISIBL
(9,17),(9,18),(9,23),-0.113757 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,17),(9,21),(9,22),-0.0916394 # DEPENDENCYPART_TRISIBL
(9,17),(9,21),(9,23),-0.0709634 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,17),(9,22),(9,23),-0.287634 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,18),(9,21),(9,22),0.108685 # DEPENDENCYPART_TRISIBL
(9,18),(9,21),(9,23),-0.113402 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,18),(9,22),(9,23),0.0740946 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,21),(9,22),(9,23),-0.12281 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,9),(9,8),(9,6),-0.0979936 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,8),(9,5),-0.183078 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,8),(9,4),-0.0881214 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,8),(9,3),0.0208066 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,8),(9,2),-0.0974301 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,8),(9,1),-0.0589958 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,8),(9,-1),0.063195 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,9),(9,6),(9,5),-0.0724736 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,6),(9,4),-0.0908307 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,6),(9,3),-0.000568449 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,6),(9,2),-0.0772261 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,6),(9,1),-0.0221327 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,6),(9,-1),0.0608219 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,9),(9,5),(9,4),-0.109068 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,5),(9,3),0.0245405 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,5),(9,2),-0.121769 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,5),(9,1),-0.079776 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,5),(9,-1),-0.0523303 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,9),(9,4),(9,3),-0.0334117 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,4),(9,2),-0.0371221 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,4),(9,1),-0.100183 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,4),(9,-1),-0.139732 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,9),(9,3),(9,2),-0.0549779 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,3),(9,1),-0.0928134 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,3),(9,-1),-0.221113 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,9),(9,2),(9,1),-0.0221327 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,2),(9,-1),0.0666414 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,9),(9,1),(9,-1),-0.302832 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,8),(9,6),(9,5),-0.028388 # DEPENDENCYPART_TRISIBL
(9,8),(9,6),(9,4),-0.0628747 # DEPENDENCYPART_TRISIBL
(9,8),(9,6),(9,3),-0.0903504 # DEPENDENCYPART_TRISIBL
(9,8),(9,6),(9,2),-0.0658603 # DEPENDENCYPART_TRISIBL
(9,8),(9,6),(9,1),-0.0854454 # DEPENDENCYPART_TRISIBL
(9,8),(9,6),(9,-1),-0.0242257 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,8),(9,5),(9,4),-0.0630505 # DEPENDENCYPART_TRISIBL
(9,8),(9,5),(9,3),-0.0705843 # DEPENDENCYPART_TRISIBL
(9,8),(9,5),(9,2),-0.0887299 # DEPENDENCYPART_TRISIBL
(9,8),(9,5),(9,1),-0.067257 # DEPENDENCYPART_TRISIBL
(9,8),(9,5),(9,-1),0.0625996 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,8),(9,4),(9,3),-0.0444174 # DEPENDENCYPART_TRISIBL
(9,8),(9,4),(9,2),-0.085248 # DEPENDENCYPART_TRISIBL
(9,8),(9,4),(9,1),-0.0832581 # DEPENDENCYPART_TRISIBL
(9,8),(9,4),(9,-1),-0.0412292 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,8),(9,3),(9,2),-0.0908884 # DEPENDENCYPART_TRISIBL
(9,8),(9,3),(9,1),-0.0823172 # DEPENDENCYPART_TRISIBL
(9,8),(9,3),(9,-1),-0.0991215 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,8),(9,2),(9,1),-0.0854454 # DEPENDENCYPART_TRISIBL
(9,8),(9,2),(9,-1),-0.0242216 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,8),(9,1),(9,-1),-0.0441703 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,6),(9,5),(9,4),-0.0656914 # DEPENDENCYPART_TRISIBL
(9,6),(9,5),(9,3),-0.112897 # DEPENDENCYPART_TRISIBL
(9,6),(9,5),(9,2),-0.140492 # DEPENDENCYPART_TRISIBL
(9,6),(9,5),(9,1),-0.0378966 # DEPENDENCYPART_TRISIBL
(9,6),(9,5),(9,-1),0.0324478 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,6),(9,4),(9,3),0.0028831 # DEPENDENCYPART_TRISIBL
(9,6),(9,4),(9,2),-0.11055 # DEPENDENCYPART_TRISIBL
(9,6),(9,4),(9,1),-0.0808756 # DEPENDENCYPART_TRISIBL
(9,6),(9,4),(9,-1),-0.0931425 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,6),(9,3),(9,2),0.117542 # DEPENDENCYPART_TRISIBL
(9,6),(9,3),(9,1),-0.098008 # DEPENDENCYPART_TRISIBL
(9,6),(9,3),(9,-1),-0.239281 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,6),(9,2),(9,1),-0.0709137 # DEPENDENCYPART_TRISIBL
(9,6),(9,2),(9,-1),-0.0624104 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,6),(9,1),(9,-1),-0.0525161 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,5),(9,4),(9,3),-0.0794237 # DEPENDENCYPART_TRISIBL
(9,5),(9,4),(9,2),-0.0996131 # DEPENDENCYPART_TRISIBL
(9,5),(9,4),(9,1),-0.0418732 # DEPENDENCYPART_TRISIBL
(9,5),(9,4),(9,-1),-0.10858 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,5),(9,3),(9,2),-0.111628 # DEPENDENCYPART_TRISIBL
(9,5),(9,3),(9,1),-0.0457671 # DEPENDENCYPART_TRISIBL
(9,5),(9,3),(9,-1),-0.127578 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,5),(9,2),(9,1),-0.0218013 # DEPENDENCYPART_TRISIBL
(9,5),(9,2),(9,-1),-0.144679 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,5),(9,1),(9,-1),-0.0863639 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,4),(9,3),(9,2),-0.136476 # DEPENDENCYPART_TRISIBL
(9,4),(9,3),(9,1),0.100009 # DEPENDENCYPART_TRISIBL
(9,4),(9,3),(9,-1),-0.0509244 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,4),(9,2),(9,1),0.0212172 # DEPENDENCYPART_TRISIBL
(9,4),(9,2),(9,-1),-0.121277 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,4),(9,1),(9,-1),-0.121926 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,3),(9,2),(9,1),-0.0123543 # DEPENDENCYPART_TRISIBL
(9,3),(9,2),(9,-1),-0.0018435 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,3),(9,1),(9,-1),0.00795544 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,2),(9,1),(9,-1),-0.0470343 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(10,10),(10,11),(10,12),-0.0732871 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(10,10),(10,11),(10,23),-0.140652 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(10,10),(10,12),(10,23),-0.107773 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(10,11),(10,12),(10,23),-0.0678991 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(10,10),(10,8),(10,6),-0.0245546 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(10,10),(10,8),(10,2),-0.0239996 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(10,10),(10,8),(10,-1),-0.124971 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(10,10),(10,6),(10,2),-0.104262 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(10,10),(10,6),(10,-1),-0.113683 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(10,10),(10,2),(10,-1),-0.107862 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(10,8),(10,6),(10,2),-0.0544848 # DEPENDENCYPART_TRISIBL
(10,8),(10,6),(10,-1),-0.102155 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(10,8),(10,2),(10,-1),-0.102151 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(10,6),(10,2),(10,-1),-0.049803 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,11),(11,12),(11,13),-0.181855 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,12),(11,14),-0.14708 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,12),(11,15),-0.182258 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,12),(11,16),-0.0586887 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,12),(11,17),-0.0757387 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,12),(11,18),-0.0815432 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,12),(11,19),-0.107972 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,12),(11,21),-0.197483 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,12),(11,22),-0.166586 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,12),(11,23),-0.123517 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(11,11),(11,13),(11,14),-0.133649 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,13),(11,15),-0.11697 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,13),(11,16),-0.121474 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,13),(11,17),-0.0491164 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,13),(11,18),-0.0675773 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,13),(11,19),-0.0891587 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,13),(11,21),-0.129679 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,13),(11,22),-0.119555 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,13),(11,23),-0.112448 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(11,11),(11,14),(11,15),-0.161064 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,14),(11,16),-0.105327 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,14),(11,17),-0.059487 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,14),(11,18),-0.0334262 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,14),(11,19),-0.0836616 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,14),(11,21),-0.172155 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
