# _root_ In 1987 , it sold a 2.5 % stake in the Veslefrikk field to the Swedish national oil company , resulting in a $ 7 million after-tax gain .
#goldHeads=5,1,5,5,0,9,8,9,5,9,13,13,10,5,19,19,19,19,14,5,5,21,28,28,24,24,28,22,5,
#predictedHeads=5,1,5,5,0,9,8,9,5,9,13,13,10,5,19,19,19,19,14,19,19,21,28,28,24,24,28,22,5,
(9,9),(9,20),(9,30),-0.710219 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(9,9),(9,21),(9,22),-0.0655088 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,21),(9,28),-0.148498 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,21),(9,29),-0.0915413 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,21),(9,30),-0.0839514 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(9,9),(9,22),(9,28),-0.124619 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,22),(9,29),-0.163301 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,22),(9,30),-0.0680064 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(9,9),(9,28),(9,29),-0.116272 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,28),(9,30),-0.0854386 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(9,9),(9,29),(9,30),-0.178115 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(9,10),(9,11),(9,12),-0.0480527 # DEPENDENCYPART_TRISIBL
(9,10),(9,11),(9,13),-0.0480686 # DEPENDENCYPART_TRISIBL
(9,10),(9,11),(9,14),-0.0335495 # DEPENDENCYPART_TRISIBL
(9,10),(9,11),(9,16),-0.0480248 # DEPENDENCYPART_TRISIBL
(9,10),(9,11),(9,17),-0.048199 # DEPENDENCYPART_TRISIBL
(9,10),(9,11),(9,18),-0.0495233 # DEPENDENCYPART_TRISIBL
(9,10),(9,11),(9,19),-0.0579495 # DEPENDENCYPART_TRISIBL
(9,10),(9,11),(9,20),-0.0190023 # DEPENDENCYPART_TRISIBL
(9,10),(9,11),(9,21),-0.0654365 # DEPENDENCYPART_TRISIBL
(9,10),(9,11),(9,22),-0.0588032 # DEPENDENCYPART_TRISIBL
(9,10),(9,11),(9,28),-0.0460578 # DEPENDENCYPART_TRISIBL
(9,10),(9,11),(9,29),-0.0889773 # DEPENDENCYPART_TRISIBL
(9,10),(9,11),(9,30),-0.141788 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,10),(9,12),(9,13),-0.0552721 # DEPENDENCYPART_TRISIBL
(9,10),(9,12),(9,14),-0.0417443 # DEPENDENCYPART_TRISIBL
(9,10),(9,12),(9,16),-0.054625 # DEPENDENCYPART_TRISIBL
(9,10),(9,12),(9,17),-0.0547992 # DEPENDENCYPART_TRISIBL
(9,10),(9,12),(9,18),-0.0567276 # DEPENDENCYPART_TRISIBL
(9,10),(9,12),(9,19),-0.0651561 # DEPENDENCYPART_TRISIBL
(9,10),(9,12),(9,20),-0.0587387 # DEPENDENCYPART_TRISIBL
(9,10),(9,12),(9,21),-0.0510798 # DEPENDENCYPART_TRISIBL
(9,10),(9,12),(9,22),-0.0891041 # DEPENDENCYPART_TRISIBL
(9,10),(9,12),(9,28),-0.0532611 # DEPENDENCYPART_TRISIBL
(9,10),(9,12),(9,29),-0.0798298 # DEPENDENCYPART_TRISIBL
(9,10),(9,12),(9,30),-0.0240245 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,10),(9,13),(9,14),-0.0417443 # DEPENDENCYPART_TRISIBL
(9,10),(9,13),(9,16),-0.054625 # DEPENDENCYPART_TRISIBL
(9,10),(9,13),(9,17),-0.0547992 # DEPENDENCYPART_TRISIBL
(9,10),(9,13),(9,18),-0.0567276 # DEPENDENCYPART_TRISIBL
(9,10),(9,13),(9,19),-0.0651561 # DEPENDENCYPART_TRISIBL
(9,10),(9,13),(9,20),-0.0587387 # DEPENDENCYPART_TRISIBL
(9,10),(9,13),(9,21),-0.0510799 # DEPENDENCYPART_TRISIBL
(9,10),(9,13),(9,22),-0.0891041 # DEPENDENCYPART_TRISIBL
(9,10),(9,13),(9,28),-0.0532611 # DEPENDENCYPART_TRISIBL
(9,10),(9,13),(9,29),-0.0798298 # DEPENDENCYPART_TRISIBL
(9,10),(9,13),(9,30),-0.0265607 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,10),(9,14),(9,16),-0.0552603 # DEPENDENCYPART_TRISIBL
(9,10),(9,14),(9,17),-0.0554346 # DEPENDENCYPART_TRISIBL
(9,10),(9,14),(9,18),-0.0540195 # DEPENDENCYPART_TRISIBL
(9,10),(9,14),(9,19),-0.0624588 # DEPENDENCYPART_TRISIBL
(9,10),(9,14),(9,20),0.0809339 # DEPENDENCYPART_TRISIBL
(9,10),(9,14),(9,21),-0.0605482 # DEPENDENCYPART_TRISIBL
(9,10),(9,14),(9,22),-0.0417877 # DEPENDENCYPART_TRISIBL
(9,10),(9,14),(9,28),-0.0505538 # DEPENDENCYPART_TRISIBL
(9,10),(9,14),(9,29),-0.110673 # DEPENDENCYPART_TRISIBL
(9,10),(9,14),(9,30),-0.0580638 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,10),(9,16),(9,17),-0.0522853 # DEPENDENCYPART_TRISIBL
(9,10),(9,16),(9,18),-0.0546891 # DEPENDENCYPART_TRISIBL
(9,10),(9,16),(9,19),-0.0631153 # DEPENDENCYPART_TRISIBL
(9,10),(9,16),(9,20),0.0170265 # DEPENDENCYPART_TRISIBL
(9,10),(9,16),(9,21),-0.0648287 # DEPENDENCYPART_TRISIBL
(9,10),(9,16),(9,22),-0.0804139 # DEPENDENCYPART_TRISIBL
(9,10),(9,16),(9,28),-0.051219 # DEPENDENCYPART_TRISIBL
(9,10),(9,16),(9,29),-0.0928617 # DEPENDENCYPART_TRISIBL
(9,10),(9,16),(9,30),-0.07479 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,10),(9,17),(9,18),-0.0546923 # DEPENDENCYPART_TRISIBL
(9,10),(9,17),(9,19),-0.0631185 # DEPENDENCYPART_TRISIBL
(9,10),(9,17),(9,20),0.0170254 # DEPENDENCYPART_TRISIBL
(9,10),(9,17),(9,21),-0.0648287 # DEPENDENCYPART_TRISIBL
(9,10),(9,17),(9,22),-0.0804139 # DEPENDENCYPART_TRISIBL
(9,10),(9,17),(9,28),-0.0512222 # DEPENDENCYPART_TRISIBL
(9,10),(9,17),(9,29),-0.0928617 # DEPENDENCYPART_TRISIBL
(9,10),(9,17),(9,30),-0.0753031 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,10),(9,18),(9,19),-0.0651562 # DEPENDENCYPART_TRISIBL
(9,10),(9,18),(9,20),-0.0587391 # DEPENDENCYPART_TRISIBL
(9,10),(9,18),(9,21),-0.0510816 # DEPENDENCYPART_TRISIBL
(9,10),(9,18),(9,22),-0.0891041 # DEPENDENCYPART_TRISIBL
(9,10),(9,18),(9,28),-0.0532611 # DEPENDENCYPART_TRISIBL
(9,10),(9,18),(9,29),-0.07983 # DEPENDENCYPART_TRISIBL
(9,10),(9,18),(9,30),-0.0242997 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,10),(9,19),(9,20),-0.0590702 # DEPENDENCYPART_TRISIBL
(9,10),(9,19),(9,21),-0.051482 # DEPENDENCYPART_TRISIBL
(9,10),(9,19),(9,22),-0.0891427 # DEPENDENCYPART_TRISIBL
(9,10),(9,19),(9,28),-0.053452 # DEPENDENCYPART_TRISIBL
(9,10),(9,19),(9,29),-0.0805591 # DEPENDENCYPART_TRISIBL
(9,10),(9,19),(9,30),-0.0297096 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,10),(9,20),(9,21),0.0203351 # DEPENDENCYPART_TRISIBL
(9,10),(9,20),(9,22),0.0402709 # DEPENDENCYPART_TRISIBL
(9,10),(9,20),(9,28),0.0763217 # DEPENDENCYPART_TRISIBL
(9,10),(9,20),(9,29),-0.0933311 # DEPENDENCYPART_TRISIBL
(9,10),(9,20),(9,30),-0.170413 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,10),(9,21),(9,22),-0.0679141 # DEPENDENCYPART_TRISIBL
(9,10),(9,21),(9,28),-0.0250447 # DEPENDENCYPART_TRISIBL
(9,10),(9,21),(9,29),-0.10595 # DEPENDENCYPART_TRISIBL
(9,10),(9,21),(9,30),-0.0784243 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,10),(9,22),(9,28),-0.0302739 # DEPENDENCYPART_TRISIBL
(9,10),(9,22),(9,29),-0.0951707 # DEPENDENCYPART_TRISIBL
(9,10),(9,22),(9,30),-0.0737104 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,10),(9,28),(9,29),-0.0799038 # DEPENDENCYPART_TRISIBL
(9,10),(9,28),(9,30),-0.024059 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,10),(9,29),(9,30),-0.0708237 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,11),(9,12),(9,13),-0.0771762 # DEPENDENCYPART_TRISIBL
(9,11),(9,12),(9,14),-0.0650727 # DEPENDENCYPART_TRISIBL
(9,11),(9,12),(9,16),-0.0627784 # DEPENDENCYPART_TRISIBL
(9,11),(9,12),(9,17),-0.0628122 # DEPENDENCYPART_TRISIBL
(9,11),(9,12),(9,18),-0.0771765 # DEPENDENCYPART_TRISIBL
(9,11),(9,12),(9,19),-0.0771832 # DEPENDENCYPART_TRISIBL
(9,11),(9,12),(9,20),-0.0738677 # DEPENDENCYPART_TRISIBL
(9,11),(9,12),(9,21),-0.0965502 # DEPENDENCYPART_TRISIBL
(9,11),(9,12),(9,22),-0.0830242 # DEPENDENCYPART_TRISIBL
(9,11),(9,12),(9,28),-0.0771785 # DEPENDENCYPART_TRISIBL
(9,11),(9,12),(9,29),-0.0458583 # DEPENDENCYPART_TRISIBL
(9,11),(9,12),(9,30),-0.129733 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,11),(9,13),(9,14),-0.0650727 # DEPENDENCYPART_TRISIBL
(9,11),(9,13),(9,16),-0.0627784 # DEPENDENCYPART_TRISIBL
(9,11),(9,13),(9,17),-0.0628122 # DEPENDENCYPART_TRISIBL
(9,11),(9,13),(9,18),-0.0771781 # DEPENDENCYPART_TRISIBL
(9,11),(9,13),(9,19),-0.0771848 # DEPENDENCYPART_TRISIBL
(9,11),(9,13),(9,20),-0.0738677 # DEPENDENCYPART_TRISIBL
(9,11),(9,13),(9,21),-0.0965502 # DEPENDENCYPART_TRISIBL
(9,11),(9,13),(9,22),-0.0830242 # DEPENDENCYPART_TRISIBL
(9,11),(9,13),(9,28),-0.0771801 # DEPENDENCYPART_TRISIBL
(9,11),(9,13),(9,29),-0.0458583 # DEPENDENCYPART_TRISIBL
(9,11),(9,13),(9,30),-0.129733 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,11),(9,14),(9,16),-0.0624599 # DEPENDENCYPART_TRISIBL
(9,11),(9,14),(9,17),-0.0624936 # DEPENDENCYPART_TRISIBL
(9,11),(9,14),(9,18),-0.0694192 # DEPENDENCYPART_TRISIBL
(9,11),(9,14),(9,19),-0.0694259 # DEPENDENCYPART_TRISIBL
(9,11),(9,14),(9,20),-0.0707028 # DEPENDENCYPART_TRISIBL
(9,11),(9,14),(9,21),-0.09185 # DEPENDENCYPART_TRISIBL
(9,11),(9,14),(9,22),-0.0776353 # DEPENDENCYPART_TRISIBL
(9,11),(9,14),(9,28),-0.0694212 # DEPENDENCYPART_TRISIBL
(9,11),(9,14),(9,29),-0.0597213 # DEPENDENCYPART_TRISIBL
(9,11),(9,14),(9,30),-0.109517 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,11),(9,16),(9,17),-0.0610078 # DEPENDENCYPART_TRISIBL
(9,11),(9,16),(9,18),-0.0715539 # DEPENDENCYPART_TRISIBL
(9,11),(9,16),(9,19),-0.0715605 # DEPENDENCYPART_TRISIBL
(9,11),(9,16),(9,20),-0.0709147 # DEPENDENCYPART_TRISIBL
(9,11),(9,16),(9,21),-0.0923887 # DEPENDENCYPART_TRISIBL
(9,11),(9,16),(9,22),-0.0852522 # DEPENDENCYPART_TRISIBL
(9,11),(9,16),(9,28),-0.0715559 # DEPENDENCYPART_TRISIBL
(9,11),(9,16),(9,29),-0.0587032 # DEPENDENCYPART_TRISIBL
(9,11),(9,16),(9,30),-0.0519754 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,11),(9,17),(9,18),-0.0716456 # DEPENDENCYPART_TRISIBL
(9,11),(9,17),(9,19),-0.0716522 # DEPENDENCYPART_TRISIBL
(9,11),(9,17),(9,20),-0.0709147 # DEPENDENCYPART_TRISIBL
(9,11),(9,17),(9,21),-0.0923888 # DEPENDENCYPART_TRISIBL
(9,11),(9,17),(9,22),-0.085264 # DEPENDENCYPART_TRISIBL
(9,11),(9,17),(9,28),-0.0716475 # DEPENDENCYPART_TRISIBL
(9,11),(9,17),(9,29),-0.0587032 # DEPENDENCYPART_TRISIBL
(9,11),(9,17),(9,30),-0.052089 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,11),(9,18),(9,19),-0.0771832 # DEPENDENCYPART_TRISIBL
(9,11),(9,18),(9,20),-0.0738677 # DEPENDENCYPART_TRISIBL
(9,11),(9,18),(9,21),-0.0965502 # DEPENDENCYPART_TRISIBL
(9,11),(9,18),(9,22),-0.0830243 # DEPENDENCYPART_TRISIBL
(9,11),(9,18),(9,28),-0.0771785 # DEPENDENCYPART_TRISIBL
(9,11),(9,18),(9,29),-0.0458583 # DEPENDENCYPART_TRISIBL
(9,11),(9,18),(9,30),-0.129733 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,11),(9,19),(9,20),-0.0738677 # DEPENDENCYPART_TRISIBL
(9,11),(9,19),(9,21),-0.0965603 # DEPENDENCYPART_TRISIBL
(9,11),(9,19),(9,22),-0.0830264 # DEPENDENCYPART_TRISIBL
(9,11),(9,19),(9,28),-0.0772294 # DEPENDENCYPART_TRISIBL
(9,11),(9,19),(9,29),-0.045859 # DEPENDENCYPART_TRISIBL
(9,11),(9,19),(9,30),-0.129741 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,11),(9,20),(9,21),-0.119033 # DEPENDENCYPART_TRISIBL
(9,11),(9,20),(9,22),-0.0846782 # DEPENDENCYPART_TRISIBL
(9,11),(9,20),(9,28),-0.0753906 # DEPENDENCYPART_TRISIBL
(9,11),(9,20),(9,29),-0.0574421 # DEPENDENCYPART_TRISIBL
(9,11),(9,20),(9,30),-0.113318 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,11),(9,21),(9,22),-0.084395 # DEPENDENCYPART_TRISIBL
(9,11),(9,21),(9,28),-0.0717998 # DEPENDENCYPART_TRISIBL
(9,11),(9,21),(9,29),-0.0420518 # DEPENDENCYPART_TRISIBL
(9,11),(9,21),(9,30),-0.129893 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,11),(9,22),(9,28),-0.0717964 # DEPENDENCYPART_TRISIBL
(9,11),(9,22),(9,29),-0.0699595 # DEPENDENCYPART_TRISIBL
(9,11),(9,22),(9,30),-0.138744 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,11),(9,28),(9,29),-0.0458592 # DEPENDENCYPART_TRISIBL
(9,11),(9,28),(9,30),-0.129733 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,11),(9,29),(9,30),-0.121914 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,12),(9,13),(9,14),-0.0369381 # DEPENDENCYPART_TRISIBL
(9,12),(9,13),(9,16),-0.0869373 # DEPENDENCYPART_TRISIBL
(9,12),(9,13),(9,17),-0.0874246 # DEPENDENCYPART_TRISIBL
(9,12),(9,13),(9,18),-0.0810231 # DEPENDENCYPART_TRISIBL
(9,12),(9,13),(9,19),-0.0844421 # DEPENDENCYPART_TRISIBL
(9,12),(9,13),(9,20),-0.0434142 # DEPENDENCYPART_TRISIBL
(9,12),(9,13),(9,21),-0.0917606 # DEPENDENCYPART_TRISIBL
(9,12),(9,13),(9,22),-0.0378612 # DEPENDENCYPART_TRISIBL
(9,12),(9,13),(9,28),-0.0826602 # DEPENDENCYPART_TRISIBL
(9,12),(9,13),(9,29),-0.0759655 # DEPENDENCYPART_TRISIBL
(9,12),(9,13),(9,30),-0.114601 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,12),(9,14),(9,16),-0.0819501 # DEPENDENCYPART_TRISIBL
(9,12),(9,14),(9,17),-0.0824217 # DEPENDENCYPART_TRISIBL
(9,12),(9,14),(9,18),-0.0558718 # DEPENDENCYPART_TRISIBL
(9,12),(9,14),(9,19),-0.0639072 # DEPENDENCYPART_TRISIBL
(9,12),(9,14),(9,20),-0.0417147 # DEPENDENCYPART_TRISIBL
(9,12),(9,14),(9,21),-0.0831277 # DEPENDENCYPART_TRISIBL
(9,12),(9,14),(9,22),-0.0404119 # DEPENDENCYPART_TRISIBL
(9,12),(9,14),(9,28),-0.0582244 # DEPENDENCYPART_TRISIBL
(9,12),(9,14),(9,29),-0.0766843 # DEPENDENCYPART_TRISIBL
(9,12),(9,14),(9,30),-0.107619 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,12),(9,16),(9,17),-0.0815402 # DEPENDENCYPART_TRISIBL
(9,12),(9,16),(9,18),-0.0666031 # DEPENDENCYPART_TRISIBL
(9,12),(9,16),(9,19),-0.0741267 # DEPENDENCYPART_TRISIBL
(9,12),(9,16),(9,20),-0.0543305 # DEPENDENCYPART_TRISIBL
(9,12),(9,16),(9,21),-0.0900178 # DEPENDENCYPART_TRISIBL
(9,12),(9,16),(9,22),-0.0481323 # DEPENDENCYPART_TRISIBL
(9,12),(9,16),(9,28),-0.0682402 # DEPENDENCYPART_TRISIBL
(9,12),(9,16),(9,29),-0.0673426 # DEPENDENCYPART_TRISIBL
(9,12),(9,16),(9,30),-0.092907 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,12),(9,17),(9,18),-0.0671494 # DEPENDENCYPART_TRISIBL
(9,12),(9,17),(9,19),-0.074673 # DEPENDENCYPART_TRISIBL
(9,12),(9,17),(9,20),-0.0543307 # DEPENDENCYPART_TRISIBL
(9,12),(9,17),(9,21),-0.0900178 # DEPENDENCYPART_TRISIBL
(9,12),(9,17),(9,22),-0.0481323 # DEPENDENCYPART_TRISIBL
(9,12),(9,17),(9,28),-0.0687864 # DEPENDENCYPART_TRISIBL
(9,12),(9,17),(9,29),-0.0674162 # DEPENDENCYPART_TRISIBL
(9,12),(9,17),(9,30),-0.0929431 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,12),(9,18),(9,19),-0.0849083 # DEPENDENCYPART_TRISIBL
(9,12),(9,18),(9,20),-0.0434157 # DEPENDENCYPART_TRISIBL
(9,12),(9,18),(9,21),-0.0917638 # DEPENDENCYPART_TRISIBL
(9,12),(9,18),(9,22),-0.037846 # DEPENDENCYPART_TRISIBL
(9,12),(9,18),(9,28),-0.0831265 # DEPENDENCYPART_TRISIBL
(9,12),(9,18),(9,29),-0.0759655 # DEPENDENCYPART_TRISIBL
(9,12),(9,18),(9,30),-0.115891 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,12),(9,19),(9,20),-0.0438542 # DEPENDENCYPART_TRISIBL
(9,12),(9,19),(9,21),-0.0924369 # DEPENDENCYPART_TRISIBL
(9,12),(9,19),(9,22),-0.0345818 # DEPENDENCYPART_TRISIBL
(9,12),(9,19),(9,28),-0.082263 # DEPENDENCYPART_TRISIBL
(9,12),(9,19),(9,29),-0.0761018 # DEPENDENCYPART_TRISIBL
(9,12),(9,19),(9,30),-0.105369 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,12),(9,20),(9,21),-0.113232 # DEPENDENCYPART_TRISIBL
(9,12),(9,20),(9,22),-0.0445023 # DEPENDENCYPART_TRISIBL
(9,12),(9,20),(9,28),-0.0771025 # DEPENDENCYPART_TRISIBL
(9,12),(9,20),(9,29),-0.0919974 # DEPENDENCYPART_TRISIBL
(9,12),(9,20),(9,30),-0.0342429 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,12),(9,21),(9,22),-0.0703528 # DEPENDENCYPART_TRISIBL
(9,12),(9,21),(9,28),-0.0825717 # DEPENDENCYPART_TRISIBL
(9,12),(9,21),(9,29),-0.076681 # DEPENDENCYPART_TRISIBL
(9,12),(9,21),(9,30),-0.125902 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,12),(9,22),(9,28),-0.108298 # DEPENDENCYPART_TRISIBL
(9,12),(9,22),(9,29),-0.0774718 # DEPENDENCYPART_TRISIBL
(9,12),(9,22),(9,30),-0.0924253 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,12),(9,28),(9,29),-0.0759655 # DEPENDENCYPART_TRISIBL
(9,12),(9,28),(9,30),-0.114586 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,12),(9,29),(9,30),-0.0166958 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,13),(9,14),(9,16),-0.0819501 # DEPENDENCYPART_TRISIBL
(9,13),(9,14),(9,17),-0.0824217 # DEPENDENCYPART_TRISIBL
(9,13),(9,14),(9,18),-0.0499859 # DEPENDENCYPART_TRISIBL
(9,13),(9,14),(9,19),-0.0580213 # DEPENDENCYPART_TRISIBL
(9,13),(9,14),(9,20),-0.0420078 # DEPENDENCYPART_TRISIBL
(9,13),(9,14),(9,21),-0.0831401 # DEPENDENCYPART_TRISIBL
(9,13),(9,14),(9,22),-0.0404681 # DEPENDENCYPART_TRISIBL
(9,13),(9,14),(9,28),-0.0523385 # DEPENDENCYPART_TRISIBL
(9,13),(9,14),(9,29),-0.0710747 # DEPENDENCYPART_TRISIBL
(9,13),(9,14),(9,30),-0.11682 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,13),(9,16),(9,17),-0.0815402 # DEPENDENCYPART_TRISIBL
(9,13),(9,16),(9,18),-0.0607172 # DEPENDENCYPART_TRISIBL
(9,13),(9,16),(9,19),-0.0682408 # DEPENDENCYPART_TRISIBL
(9,13),(9,16),(9,20),-0.0546173 # DEPENDENCYPART_TRISIBL
(9,13),(9,16),(9,21),-0.0900294 # DEPENDENCYPART_TRISIBL
(9,13),(9,16),(9,22),-0.0481885 # DEPENDENCYPART_TRISIBL
(9,13),(9,16),(9,28),-0.0623543 # DEPENDENCYPART_TRISIBL
(9,13),(9,16),(9,29),-0.0617327 # DEPENDENCYPART_TRISIBL
(9,13),(9,16),(9,30),-0.102043 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,13),(9,17),(9,18),-0.0612635 # DEPENDENCYPART_TRISIBL
(9,13),(9,17),(9,19),-0.0687871 # DEPENDENCYPART_TRISIBL
(9,13),(9,17),(9,20),-0.0546176 # DEPENDENCYPART_TRISIBL
(9,13),(9,17),(9,21),-0.0900294 # DEPENDENCYPART_TRISIBL
(9,13),(9,17),(9,22),-0.0481885 # DEPENDENCYPART_TRISIBL
(9,13),(9,17),(9,28),-0.0629006 # DEPENDENCYPART_TRISIBL
(9,13),(9,17),(9,29),-0.0618063 # DEPENDENCYPART_TRISIBL
(9,13),(9,17),(9,30),-0.10208 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,13),(9,18),(9,19),-0.0790224 # DEPENDENCYPART_TRISIBL
(9,13),(9,18),(9,20),-0.0437102 # DEPENDENCYPART_TRISIBL
(9,13),(9,18),(9,21),-0.0917827 # DEPENDENCYPART_TRISIBL
(9,13),(9,18),(9,22),-0.0379027 # DEPENDENCYPART_TRISIBL
(9,13),(9,18),(9,28),-0.0772406 # DEPENDENCYPART_TRISIBL
(9,13),(9,18),(9,29),-0.0703627 # DEPENDENCYPART_TRISIBL
(9,13),(9,18),(9,30),-0.125461 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,13),(9,19),(9,20),-0.0441486 # DEPENDENCYPART_TRISIBL
(9,13),(9,19),(9,21),-0.0924558 # DEPENDENCYPART_TRISIBL
(9,13),(9,19),(9,22),-0.0346385 # DEPENDENCYPART_TRISIBL
(9,13),(9,19),(9,28),-0.0763771 # DEPENDENCYPART_TRISIBL
(9,13),(9,19),(9,29),-0.070499 # DEPENDENCYPART_TRISIBL
(9,13),(9,19),(9,30),-0.114939 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,13),(9,20),(9,21),-0.113243 # DEPENDENCYPART_TRISIBL
(9,13),(9,20),(9,22),-0.0446063 # DEPENDENCYPART_TRISIBL
(9,13),(9,20),(9,28),-0.0653306 # DEPENDENCYPART_TRISIBL
(9,13),(9,20),(9,29),-0.0863875 # DEPENDENCYPART_TRISIBL
(9,13),(9,20),(9,30),-0.0436284 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,13),(9,21),(9,22),-0.0704091 # DEPENDENCYPART_TRISIBL
(9,13),(9,21),(9,28),-0.0766858 # DEPENDENCYPART_TRISIBL
(9,13),(9,21),(9,29),-0.0711954 # DEPENDENCYPART_TRISIBL
(9,13),(9,21),(9,30),-0.135934 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,13),(9,22),(9,28),-0.102412 # DEPENDENCYPART_TRISIBL
(9,13),(9,22),(9,29),-0.0661201 # DEPENDENCYPART_TRISIBL
(9,13),(9,22),(9,30),-0.0999291 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,13),(9,28),(9,29),-0.0703627 # DEPENDENCYPART_TRISIBL
(9,13),(9,28),(9,30),-0.124156 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,13),(9,29),(9,30),-0.0349493 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,14),(9,16),(9,17),-0.0543792 # DEPENDENCYPART_TRISIBL
(9,14),(9,16),(9,18),-0.0313872 # DEPENDENCYPART_TRISIBL
(9,14),(9,16),(9,19),-0.0318604 # DEPENDENCYPART_TRISIBL
(9,14),(9,16),(9,20),-0.0350761 # DEPENDENCYPART_TRISIBL
(9,14),(9,16),(9,21),-0.0715948 # DEPENDENCYPART_TRISIBL
(9,14),(9,16),(9,22),-0.0556088 # DEPENDENCYPART_TRISIBL
(9,14),(9,16),(9,28),-0.0309732 # DEPENDENCYPART_TRISIBL
(9,14),(9,16),(9,29),-0.0468663 # DEPENDENCYPART_TRISIBL
(9,14),(9,16),(9,30),-0.106115 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,14),(9,17),(9,18),-0.0313872 # DEPENDENCYPART_TRISIBL
(9,14),(9,17),(9,19),-0.0318604 # DEPENDENCYPART_TRISIBL
(9,14),(9,17),(9,20),-0.0350761 # DEPENDENCYPART_TRISIBL
(9,14),(9,17),(9,21),-0.0715948 # DEPENDENCYPART_TRISIBL
(9,14),(9,17),(9,22),-0.0556088 # DEPENDENCYPART_TRISIBL
(9,14),(9,17),(9,28),-0.0309732 # DEPENDENCYPART_TRISIBL
(9,14),(9,17),(9,29),-0.0468663 # DEPENDENCYPART_TRISIBL
(9,14),(9,17),(9,30),-0.106115 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,14),(9,18),(9,19),-0.0297803 # DEPENDENCYPART_TRISIBL
(9,14),(9,18),(9,20),-0.0475624 # DEPENDENCYPART_TRISIBL
(9,14),(9,18),(9,21),-0.0810241 # DEPENDENCYPART_TRISIBL
(9,14),(9,18),(9,22),-0.0458829 # DEPENDENCYPART_TRISIBL
(9,14),(9,18),(9,28),-0.0288886 # DEPENDENCYPART_TRISIBL
(9,14),(9,18),(9,29),-0.0293799 # DEPENDENCYPART_TRISIBL
