# _root_ Departing from its newspaper ads featuring prim sketches of a suit or a coat , Brooks Brothers is marketing an updated image in a new campaign that carries the slogan , `` The Surprise of Brooks Brothers . ''
#goldHeads=18,1,5,5,2,5,8,6,8,11,12,9,14,12,18,17,18,0,18,22,22,19,19,26,26,23,28,26,30,28,30,30,34,30,34,37,35,18,18,
#predictedHeads=18,1,5,5,2,5,8,6,8,11,12,9,14,12,18,17,18,0,18,22,22,19,19,26,26,23,28,26,30,28,28,28,34,28,34,37,35,18,18,
(1,5),(1,15),(1,40),-0.0713663 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,5),(1,18),(1,19),-0.103656 # DEPENDENCYPART_TRISIBL
(1,5),(1,18),(1,38),-0.0650489 # DEPENDENCYPART_TRISIBL
(1,5),(1,18),(1,39),-0.062504 # DEPENDENCYPART_TRISIBL
(1,5),(1,18),(1,40),-0.0205691 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,5),(1,19),(1,38),-0.0565829 # DEPENDENCYPART_TRISIBL
(1,5),(1,19),(1,39),-0.0613039 # DEPENDENCYPART_TRISIBL
(1,5),(1,19),(1,40),-0.0403359 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,5),(1,38),(1,39),-0.00946365 # DEPENDENCYPART_TRISIBL
(1,5),(1,38),(1,40),0.00889956 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,5),(1,39),(1,40),-0.0624687 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,6),(1,8),(1,9),-0.0156507 # DEPENDENCYPART_TRISIBL
(1,6),(1,8),(1,12),-0.13875 # DEPENDENCYPART_TRISIBL
(1,6),(1,8),(1,15),-0.0995092 # DEPENDENCYPART_TRISIBL
(1,6),(1,8),(1,18),-0.087794 # DEPENDENCYPART_TRISIBL
(1,6),(1,8),(1,19),-0.088572 # DEPENDENCYPART_TRISIBL
(1,6),(1,8),(1,38),-0.019438 # DEPENDENCYPART_TRISIBL
(1,6),(1,8),(1,39),-0.0489452 # DEPENDENCYPART_TRISIBL
(1,6),(1,8),(1,40),-0.0674752 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,6),(1,9),(1,12),-0.154291 # DEPENDENCYPART_TRISIBL
(1,6),(1,9),(1,15),-0.102475 # DEPENDENCYPART_TRISIBL
(1,6),(1,9),(1,18),-0.0806144 # DEPENDENCYPART_TRISIBL
(1,6),(1,9),(1,19),-0.081867 # DEPENDENCYPART_TRISIBL
(1,6),(1,9),(1,38),0.0345847 # DEPENDENCYPART_TRISIBL
(1,6),(1,9),(1,39),-0.037145 # DEPENDENCYPART_TRISIBL
(1,6),(1,9),(1,40),-0.0535344 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,6),(1,12),(1,15),-0.104017 # DEPENDENCYPART_TRISIBL
(1,6),(1,12),(1,18),-0.0681379 # DEPENDENCYPART_TRISIBL
(1,6),(1,12),(1,19),-0.068637 # DEPENDENCYPART_TRISIBL
(1,6),(1,12),(1,38),-0.110482 # DEPENDENCYPART_TRISIBL
(1,6),(1,12),(1,39),-0.0449593 # DEPENDENCYPART_TRISIBL
(1,6),(1,12),(1,40),-0.144944 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,6),(1,15),(1,18),-0.0450237 # DEPENDENCYPART_TRISIBL
(1,6),(1,15),(1,19),-0.0490069 # DEPENDENCYPART_TRISIBL
(1,6),(1,15),(1,38),-0.105901 # DEPENDENCYPART_TRISIBL
(1,6),(1,15),(1,39),0.0407121 # DEPENDENCYPART_TRISIBL
(1,6),(1,15),(1,40),-0.0927073 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,6),(1,18),(1,19),-0.119411 # DEPENDENCYPART_TRISIBL
(1,6),(1,18),(1,38),-0.125373 # DEPENDENCYPART_TRISIBL
(1,6),(1,18),(1,39),-0.0628647 # DEPENDENCYPART_TRISIBL
(1,6),(1,18),(1,40),-0.0487932 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,6),(1,19),(1,38),-0.119564 # DEPENDENCYPART_TRISIBL
(1,6),(1,19),(1,39),-0.0623916 # DEPENDENCYPART_TRISIBL
(1,6),(1,19),(1,40),-0.0625809 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,6),(1,38),(1,39),0.0845469 # DEPENDENCYPART_TRISIBL
(1,6),(1,38),(1,40),0.00320693 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,6),(1,39),(1,40),-0.0627095 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,8),(1,9),(1,12),-0.160975 # DEPENDENCYPART_TRISIBL
(1,8),(1,9),(1,15),-0.0166989 # DEPENDENCYPART_TRISIBL
(1,8),(1,9),(1,18),-0.0855403 # DEPENDENCYPART_TRISIBL
(1,8),(1,9),(1,19),-0.0774299 # DEPENDENCYPART_TRISIBL
(1,8),(1,9),(1,38),-0.0483225 # DEPENDENCYPART_TRISIBL
(1,8),(1,9),(1,39),-0.0727719 # DEPENDENCYPART_TRISIBL
(1,8),(1,9),(1,40),-0.0286167 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,8),(1,12),(1,15),-0.0363504 # DEPENDENCYPART_TRISIBL
(1,8),(1,12),(1,18),-0.0997494 # DEPENDENCYPART_TRISIBL
(1,8),(1,12),(1,19),-0.0906397 # DEPENDENCYPART_TRISIBL
(1,8),(1,12),(1,38),-0.0591988 # DEPENDENCYPART_TRISIBL
(1,8),(1,12),(1,39),-0.0754651 # DEPENDENCYPART_TRISIBL
(1,8),(1,12),(1,40),-0.0720243 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,8),(1,15),(1,18),-0.0623851 # DEPENDENCYPART_TRISIBL
(1,8),(1,15),(1,19),-0.0481701 # DEPENDENCYPART_TRISIBL
(1,8),(1,15),(1,38),-0.120506 # DEPENDENCYPART_TRISIBL
(1,8),(1,15),(1,39),0.0141848 # DEPENDENCYPART_TRISIBL
(1,8),(1,15),(1,40),-0.0786691 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,8),(1,18),(1,19),-0.101311 # DEPENDENCYPART_TRISIBL
(1,8),(1,18),(1,38),-0.0650487 # DEPENDENCYPART_TRISIBL
(1,8),(1,18),(1,39),-0.062504 # DEPENDENCYPART_TRISIBL
(1,8),(1,18),(1,40),-0.0285768 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,8),(1,19),(1,38),-0.0565828 # DEPENDENCYPART_TRISIBL
(1,8),(1,19),(1,39),-0.0613039 # DEPENDENCYPART_TRISIBL
(1,8),(1,19),(1,40),-0.0483436 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,8),(1,38),(1,39),-0.00946365 # DEPENDENCYPART_TRISIBL
(1,8),(1,38),(1,40),0.00224455 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,8),(1,39),(1,40),-0.0697746 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,9),(1,12),(1,15),-0.11126 # DEPENDENCYPART_TRISIBL
(1,9),(1,12),(1,18),-0.141774 # DEPENDENCYPART_TRISIBL
(1,9),(1,12),(1,19),-0.129594 # DEPENDENCYPART_TRISIBL
(1,9),(1,12),(1,38),-0.134566 # DEPENDENCYPART_TRISIBL
(1,9),(1,12),(1,39),-0.0969263 # DEPENDENCYPART_TRISIBL
(1,9),(1,12),(1,40),-0.0931401 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,9),(1,15),(1,18),-0.0630835 # DEPENDENCYPART_TRISIBL
(1,9),(1,15),(1,19),-0.053384 # DEPENDENCYPART_TRISIBL
(1,9),(1,15),(1,38),-0.045934 # DEPENDENCYPART_TRISIBL
(1,9),(1,15),(1,39),-0.110469 # DEPENDENCYPART_TRISIBL
(1,9),(1,15),(1,40),-0.199719 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,9),(1,18),(1,19),-0.0932262 # DEPENDENCYPART_TRISIBL
(1,9),(1,18),(1,38),-0.105436 # DEPENDENCYPART_TRISIBL
(1,9),(1,18),(1,39),-0.107826 # DEPENDENCYPART_TRISIBL
(1,9),(1,18),(1,40),-0.0775377 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,9),(1,19),(1,38),-0.103495 # DEPENDENCYPART_TRISIBL
(1,9),(1,19),(1,39),-0.105923 # DEPENDENCYPART_TRISIBL
(1,9),(1,19),(1,40),-0.0628912 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,9),(1,38),(1,39),-0.0164087 # DEPENDENCYPART_TRISIBL
(1,9),(1,38),(1,40),-0.0358988 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,9),(1,39),(1,40),-0.103682 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,12),(1,15),(1,18),0.00625869 # DEPENDENCYPART_TRISIBL
(1,12),(1,15),(1,19),0.00112972 # DEPENDENCYPART_TRISIBL
(1,12),(1,15),(1,38),-0.0877625 # DEPENDENCYPART_TRISIBL
(1,12),(1,15),(1,39),-0.0293706 # DEPENDENCYPART_TRISIBL
(1,12),(1,15),(1,40),-0.143896 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,12),(1,18),(1,19),-0.0371447 # DEPENDENCYPART_TRISIBL
(1,12),(1,18),(1,38),-0.0829719 # DEPENDENCYPART_TRISIBL
(1,12),(1,18),(1,39),-0.0613497 # DEPENDENCYPART_TRISIBL
(1,12),(1,18),(1,40),-0.054237 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,12),(1,19),(1,38),-0.0801786 # DEPENDENCYPART_TRISIBL
(1,12),(1,19),(1,39),-0.0611458 # DEPENDENCYPART_TRISIBL
(1,12),(1,19),(1,40),-0.0536703 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,12),(1,38),(1,39),0.013133 # DEPENDENCYPART_TRISIBL
(1,12),(1,38),(1,40),-0.0379272 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,12),(1,39),(1,40),-0.0993978 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,15),(1,18),(1,19),-0.0309797 # DEPENDENCYPART_TRISIBL
(1,15),(1,18),(1,38),0.0420181 # DEPENDENCYPART_TRISIBL
(1,15),(1,18),(1,39),-0.111845 # DEPENDENCYPART_TRISIBL
(1,15),(1,18),(1,40),0.0350335 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,15),(1,19),(1,38),0.0466363 # DEPENDENCYPART_TRISIBL
(1,15),(1,19),(1,39),-0.111845 # DEPENDENCYPART_TRISIBL
(1,15),(1,19),(1,40),0.0300537 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,15),(1,38),(1,39),-0.131627 # DEPENDENCYPART_TRISIBL
(1,15),(1,38),(1,40),-0.138374 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,15),(1,39),(1,40),0.0208749 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,18),(1,19),(1,38),-0.12683 # DEPENDENCYPART_TRISIBL
(1,18),(1,19),(1,39),-0.0459729 # DEPENDENCYPART_TRISIBL
(1,18),(1,19),(1,40),-0.072143 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,18),(1,38),(1,39),0.0960219 # DEPENDENCYPART_TRISIBL
(1,18),(1,38),(1,40),-0.00165223 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,18),(1,39),(1,40),-0.0711904 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,19),(1,38),(1,39),0.0852365 # DEPENDENCYPART_TRISIBL
(1,19),(1,38),(1,40),0.011281 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,19),(1,39),(1,40),-0.0570585 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,38),(1,39),(1,40),0.117254 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,2),(2,4),(2,5),-0.0541121 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,4),(2,6),-0.126965 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,4),(2,7),-0.0421488 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,4),(2,8),-0.0546492 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,4),(2,9),0.0288752 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,4),(2,11),-0.0561938 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,4),(2,12),-0.189623 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,4),(2,40),0.143778 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(2,2),(2,5),(2,6),-0.129076 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,5),(2,7),-0.0421488 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,5),(2,8),-0.0547988 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,5),(2,9),0.0315198 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,5),(2,11),-0.0563434 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,5),(2,12),-0.190268 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,5),(2,40),0.145015 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(2,2),(2,6),(2,7),-0.0880193 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,6),(2,8),-0.0382212 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,6),(2,9),-0.0680955 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,6),(2,11),-0.0393304 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,6),(2,12),-0.135993 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,6),(2,40),0.0212629 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(2,2),(2,7),(2,8),-0.0439225 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,7),(2,9),-0.131592 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,7),(2,11),-0.0450288 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,7),(2,12),-0.114462 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,7),(2,40),-0.0274499 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(2,2),(2,8),(2,9),0.0305097 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,8),(2,11),-0.0561656 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,8),(2,12),-0.189616 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,8),(2,40),0.140252 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(2,2),(2,9),(2,11),0.104374 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,9),(2,12),-0.0237738 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,9),(2,40),-0.150432 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(2,2),(2,11),(2,12),-0.189627 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,11),(2,40),0.128706 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(2,2),(2,12),(2,40),0.0760889 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(2,4),(2,5),(2,6),-0.0598321 # DEPENDENCYPART_TRISIBL
(2,4),(2,5),(2,7),-0.0812369 # DEPENDENCYPART_TRISIBL
(2,4),(2,5),(2,8),-0.134263 # DEPENDENCYPART_TRISIBL
(2,4),(2,5),(2,9),-0.0700065 # DEPENDENCYPART_TRISIBL
(2,4),(2,5),(2,11),-0.134478 # DEPENDENCYPART_TRISIBL
(2,4),(2,5),(2,12),-0.144898 # DEPENDENCYPART_TRISIBL
(2,4),(2,5),(2,40),-0.0147156 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,4),(2,6),(2,7),-0.079966 # DEPENDENCYPART_TRISIBL
(2,4),(2,6),(2,8),-0.113267 # DEPENDENCYPART_TRISIBL
(2,4),(2,6),(2,9),-0.0788378 # DEPENDENCYPART_TRISIBL
(2,4),(2,6),(2,11),-0.113473 # DEPENDENCYPART_TRISIBL
(2,4),(2,6),(2,12),-0.11867 # DEPENDENCYPART_TRISIBL
(2,4),(2,6),(2,40),-0.0554125 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,4),(2,7),(2,8),-0.116866 # DEPENDENCYPART_TRISIBL
(2,4),(2,7),(2,9),-0.0725578 # DEPENDENCYPART_TRISIBL
(2,4),(2,7),(2,11),-0.117072 # DEPENDENCYPART_TRISIBL
(2,4),(2,7),(2,12),-0.11494 # DEPENDENCYPART_TRISIBL
(2,4),(2,7),(2,40),0.00855152 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,4),(2,8),(2,9),-0.0700043 # DEPENDENCYPART_TRISIBL
(2,4),(2,8),(2,11),-0.134478 # DEPENDENCYPART_TRISIBL
(2,4),(2,8),(2,12),-0.144898 # DEPENDENCYPART_TRISIBL
(2,4),(2,8),(2,40),-0.0142757 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,4),(2,9),(2,11),-0.131637 # DEPENDENCYPART_TRISIBL
(2,4),(2,9),(2,12),-0.134231 # DEPENDENCYPART_TRISIBL
(2,4),(2,9),(2,40),0.0770384 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,4),(2,11),(2,12),-0.144898 # DEPENDENCYPART_TRISIBL
(2,4),(2,11),(2,40),-0.0144663 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,4),(2,12),(2,40),-0.111512 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,5),(2,6),(2,7),-0.079966 # DEPENDENCYPART_TRISIBL
(2,5),(2,6),(2,8),-0.113329 # DEPENDENCYPART_TRISIBL
(2,5),(2,6),(2,9),-0.0788378 # DEPENDENCYPART_TRISIBL
(2,5),(2,6),(2,11),-0.113535 # DEPENDENCYPART_TRISIBL
(2,5),(2,6),(2,12),-0.11867 # DEPENDENCYPART_TRISIBL
(2,5),(2,6),(2,40),-0.0500668 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,5),(2,7),(2,8),-0.116928 # DEPENDENCYPART_TRISIBL
(2,5),(2,7),(2,9),-0.0725578 # DEPENDENCYPART_TRISIBL
(2,5),(2,7),(2,11),-0.117134 # DEPENDENCYPART_TRISIBL
(2,5),(2,7),(2,12),-0.11494 # DEPENDENCYPART_TRISIBL
(2,5),(2,7),(2,40),0.0135501 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,5),(2,8),(2,9),-0.0700043 # DEPENDENCYPART_TRISIBL
(2,5),(2,8),(2,11),-0.13452 # DEPENDENCYPART_TRISIBL
(2,5),(2,8),(2,12),-0.144898 # DEPENDENCYPART_TRISIBL
(2,5),(2,8),(2,40),-0.00944716 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,5),(2,9),(2,11),-0.13178 # DEPENDENCYPART_TRISIBL
(2,5),(2,9),(2,12),-0.134231 # DEPENDENCYPART_TRISIBL
(2,5),(2,9),(2,40),0.0859326 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,5),(2,11),(2,12),-0.144898 # DEPENDENCYPART_TRISIBL
(2,5),(2,11),(2,40),-0.00963778 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,5),(2,12),(2,40),-0.107158 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,6),(2,7),(2,8),-0.0682349 # DEPENDENCYPART_TRISIBL
(2,6),(2,7),(2,9),-0.0129087 # DEPENDENCYPART_TRISIBL
(2,6),(2,7),(2,11),-0.0682805 # DEPENDENCYPART_TRISIBL
(2,6),(2,7),(2,12),-0.107649 # DEPENDENCYPART_TRISIBL
(2,6),(2,7),(2,40),-0.0735291 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,6),(2,8),(2,9),-0.00358576 # DEPENDENCYPART_TRISIBL
(2,6),(2,8),(2,11),-0.0748936 # DEPENDENCYPART_TRISIBL
(2,6),(2,8),(2,12),-0.109842 # DEPENDENCYPART_TRISIBL
(2,6),(2,8),(2,40),-0.0850629 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,6),(2,9),(2,11),-0.0699868 # DEPENDENCYPART_TRISIBL
(2,6),(2,9),(2,12),-0.115103 # DEPENDENCYPART_TRISIBL
(2,6),(2,9),(2,40),-0.0300095 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,6),(2,11),(2,12),-0.109842 # DEPENDENCYPART_TRISIBL
(2,6),(2,11),(2,40),-0.0850657 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,6),(2,12),(2,40),-0.120792 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,7),(2,8),(2,9),-0.0375918 # DEPENDENCYPART_TRISIBL
(2,7),(2,8),(2,11),-0.0681609 # DEPENDENCYPART_TRISIBL
(2,7),(2,8),(2,12),-0.0744382 # DEPENDENCYPART_TRISIBL
(2,7),(2,8),(2,40),-0.0917135 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,7),(2,9),(2,11),-0.0826657 # DEPENDENCYPART_TRISIBL
(2,7),(2,9),(2,12),-0.0740325 # DEPENDENCYPART_TRISIBL
(2,7),(2,9),(2,40),-0.0557731 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,7),(2,11),(2,12),-0.0744382 # DEPENDENCYPART_TRISIBL
(2,7),(2,11),(2,40),-0.0917135 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,7),(2,12),(2,40),-0.100539 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,8),(2,9),(2,11),-0.131618 # DEPENDENCYPART_TRISIBL
(2,8),(2,9),(2,12),-0.134231 # DEPENDENCYPART_TRISIBL
(2,8),(2,9),(2,40),0.0804019 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,8),(2,11),(2,12),-0.144898 # DEPENDENCYPART_TRISIBL
(2,8),(2,11),(2,40),-0.0127564 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,8),(2,12),(2,40),-0.109803 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,9),(2,11),(2,12),-0.0803807 # DEPENDENCYPART_TRISIBL
(2,9),(2,11),(2,40),0.105301 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,9),(2,12),(2,40),0.0120134 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,11),(2,12),(2,40),-0.10553 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,2),(2,1),(2,-1),-0.219883 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,4),(4,5),(4,6),-0.101897 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,5),(4,8),-0.115925 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,5),(4,9),-0.0724313 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,5),(4,40),-0.114298 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(4,4),(4,6),(4,8),-0.139629 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,6),(4,9),-0.116783 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,6),(4,40),-0.0911052 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(4,4),(4,8),(4,9),-0.0734413 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,8),(4,40),-0.118184 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(4,4),(4,9),(4,40),-0.0605107 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(4,5),(4,6),(4,8),-0.0691107 # DEPENDENCYPART_TRISIBL
(4,5),(4,6),(4,9),-0.0840243 # DEPENDENCYPART_TRISIBL
(4,5),(4,6),(4,40),-0.118421 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,5),(4,8),(4,9),-0.0755025 # DEPENDENCYPART_TRISIBL
(4,5),(4,8),(4,40),-0.124332 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,5),(4,9),(4,40),-0.0909795 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,6),(4,8),(4,9),-0.00581171 # DEPENDENCYPART_TRISIBL
(4,6),(4,8),(4,40),-0.122665 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,6),(4,9),(4,40),-0.0798714 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,8),(4,9),(4,40),-0.0964986 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,4),(4,3),(4,2),-0.189946 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,3),(4,1),-0.138507 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,3),(4,-1),-0.108296 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,4),(4,2),(4,1),-0.127281 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,2),(4,-1),-0.12756 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,4),(4,1),(4,-1),-0.207379 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,3),(4,2),(4,1),-0.0934764 # DEPENDENCYPART_TRISIBL
(4,3),(4,2),(4,-1),-0.0205297 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,3),(4,1),(4,-1),-0.108765 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,2),(4,1),(4,-1),-0.12732 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,5),(5,6),(5,7),-0.0935273 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,6),(5,8),-0.139759 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,6),(5,9),-0.116776 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,6),(5,11),-0.141406 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,6),(5,12),-0.135014 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,6),(5,14),-0.139758 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,6),(5,15),-0.0519515 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,6),(5,18),-0.0995694 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,6),(5,31),-0.0519515 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,6),(5,40),-0.0652572 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(5,5),(5,7),(5,8),-0.182733 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,7),(5,9),-0.115797 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,7),(5,11),-0.184378 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,7),(5,12),-0.1092 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,7),(5,14),-0.182733 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,7),(5,15),-0.13503 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,7),(5,18),-0.11229 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,7),(5,31),-0.13503 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,7),(5,40),-0.0674809 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(5,5),(5,8),(5,9),-0.0734343 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,8),(5,11),-0.117959 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
