# _root_ In the third quarter , wages and salaries in all private industry rose 1.2 % , compared with 1 % increases in both the second quarter and in the third quarter of 1988 .
#goldHeads=13,4,4,1,13,7,13,7,7,12,12,9,0,15,13,13,13,17,21,21,18,27,26,26,26,22,21,27,31,31,28,31,32,13,
#predictedHeads=13,4,4,1,13,7,13,7,7,12,12,9,0,15,13,13,13,17,20,21,18,21,27,26,26,22,21,27,31,31,28,31,32,13,
(13,13),(13,12),(13,7),-0.105904 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,12),(13,6),-0.0738167 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,12),(13,5),0.133187 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,12),(13,4),-0.0966964 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,12),(13,3),-0.155414 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,12),(13,1),-0.177736 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,12),(13,-1),0.0168222 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,13),(13,11),(13,10),-0.199993 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,11),(13,9),-0.179809 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,11),(13,8),-0.14025 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,11),(13,7),-0.14317 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,11),(13,6),-0.133901 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,11),(13,5),0.00108671 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,11),(13,4),-0.151953 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,11),(13,3),-0.206858 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,11),(13,1),-0.179809 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,11),(13,-1),-0.106217 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,13),(13,10),(13,9),-0.196112 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,10),(13,8),-0.0711213 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,10),(13,7),-0.0298233 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,10),(13,6),-0.0647722 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,10),(13,5),0.00533684 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,10),(13,4),-0.0819462 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,10),(13,3),-0.156705 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,10),(13,1),-0.196112 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,10),(13,-1),-0.0957459 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,13),(13,9),(13,8),-0.00271496 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,9),(13,7),-0.212483 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,9),(13,6),0.00363316 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,9),(13,5),-0.125616 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,9),(13,4),-0.0135423 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,9),(13,3),-0.1555 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,9),(13,1),-0.350559 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,9),(13,-1),-0.179481 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,13),(13,8),(13,7),-0.109258 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,8),(13,6),-0.0673873 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,8),(13,5),0.123742 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,8),(13,4),-0.090267 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,8),(13,3),-0.154467 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,8),(13,1),-0.172047 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,8),(13,-1),0.016526 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,13),(13,7),(13,6),-0.111824 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,7),(13,5),0.17282 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,7),(13,4),-0.129008 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,7),(13,3),-0.103641 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,7),(13,1),-0.0987183 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,7),(13,-1),-0.0648134 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,13),(13,6),(13,5),0.127055 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,6),(13,4),-0.0904522 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,6),(13,3),-0.157132 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,6),(13,1),-0.172446 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,6),(13,-1),0.026263 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,13),(13,5),(13,4),-0.291842 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,5),(13,3),-0.242889 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,5),(13,1),-0.318684 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,5),(13,-1),-0.355349 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,13),(13,4),(13,3),-0.163675 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,4),(13,1),-0.176745 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,4),(13,-1),0.0367447 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,13),(13,3),(13,1),-0.185727 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,3),(13,-1),-0.106456 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,13),(13,1),(13,-1),-0.179481 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,12),(13,11),(13,10),-0.0592275 # DEPENDENCYPART_TRISIBL
(13,12),(13,11),(13,9),-0.026362 # DEPENDENCYPART_TRISIBL
(13,12),(13,11),(13,8),-0.188571 # DEPENDENCYPART_TRISIBL
(13,12),(13,11),(13,7),-0.130908 # DEPENDENCYPART_TRISIBL
(13,12),(13,11),(13,6),-0.189204 # DEPENDENCYPART_TRISIBL
(13,12),(13,11),(13,5),-0.0648691 # DEPENDENCYPART_TRISIBL
(13,12),(13,11),(13,4),-0.184915 # DEPENDENCYPART_TRISIBL
(13,12),(13,11),(13,3),-0.0312259 # DEPENDENCYPART_TRISIBL
(13,12),(13,11),(13,1),-0.026362 # DEPENDENCYPART_TRISIBL
(13,12),(13,11),(13,-1),-0.115299 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,12),(13,10),(13,9),-0.0288366 # DEPENDENCYPART_TRISIBL
(13,12),(13,10),(13,8),-0.205449 # DEPENDENCYPART_TRISIBL
(13,12),(13,10),(13,7),-0.126558 # DEPENDENCYPART_TRISIBL
(13,12),(13,10),(13,6),-0.206081 # DEPENDENCYPART_TRISIBL
(13,12),(13,10),(13,5),-0.0660327 # DEPENDENCYPART_TRISIBL
(13,12),(13,10),(13,4),-0.201794 # DEPENDENCYPART_TRISIBL
(13,12),(13,10),(13,3),-0.044964 # DEPENDENCYPART_TRISIBL
(13,12),(13,10),(13,1),-0.0288366 # DEPENDENCYPART_TRISIBL
(13,12),(13,10),(13,-1),-0.00936568 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,12),(13,9),(13,8),-0.199612 # DEPENDENCYPART_TRISIBL
(13,12),(13,9),(13,7),-0.099201 # DEPENDENCYPART_TRISIBL
(13,12),(13,9),(13,6),-0.200244 # DEPENDENCYPART_TRISIBL
(13,12),(13,9),(13,5),-0.0408689 # DEPENDENCYPART_TRISIBL
(13,12),(13,9),(13,4),-0.195986 # DEPENDENCYPART_TRISIBL
(13,12),(13,9),(13,3),-0.00467533 # DEPENDENCYPART_TRISIBL
(13,12),(13,9),(13,1),0.0716829 # DEPENDENCYPART_TRISIBL
(13,12),(13,9),(13,-1),-0.0154926 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,12),(13,8),(13,7),-0.166762 # DEPENDENCYPART_TRISIBL
(13,12),(13,8),(13,6),-0.263796 # DEPENDENCYPART_TRISIBL
(13,12),(13,8),(13,5),-0.06901 # DEPENDENCYPART_TRISIBL
(13,12),(13,8),(13,4),-0.259508 # DEPENDENCYPART_TRISIBL
(13,12),(13,8),(13,3),-0.0609309 # DEPENDENCYPART_TRISIBL
(13,12),(13,8),(13,1),0.000651787 # DEPENDENCYPART_TRISIBL
(13,12),(13,8),(13,-1),-0.159798 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,12),(13,7),(13,6),-0.193943 # DEPENDENCYPART_TRISIBL
(13,12),(13,7),(13,5),-0.0587001 # DEPENDENCYPART_TRISIBL
(13,12),(13,7),(13,4),-0.189655 # DEPENDENCYPART_TRISIBL
(13,12),(13,7),(13,3),-0.0465905 # DEPENDENCYPART_TRISIBL
(13,12),(13,7),(13,1),-0.0927255 # DEPENDENCYPART_TRISIBL
(13,12),(13,7),(13,-1),-0.133775 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,12),(13,6),(13,5),-0.06901 # DEPENDENCYPART_TRISIBL
(13,12),(13,6),(13,4),-0.259508 # DEPENDENCYPART_TRISIBL
(13,12),(13,6),(13,3),-0.0609309 # DEPENDENCYPART_TRISIBL
(13,12),(13,6),(13,1),0.000978115 # DEPENDENCYPART_TRISIBL
(13,12),(13,6),(13,-1),-0.159798 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,12),(13,5),(13,4),-0.196774 # DEPENDENCYPART_TRISIBL
(13,12),(13,5),(13,3),0.0211327 # DEPENDENCYPART_TRISIBL
(13,12),(13,5),(13,1),0.0860385 # DEPENDENCYPART_TRISIBL
(13,12),(13,5),(13,-1),-0.206199 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,12),(13,4),(13,3),-0.0613506 # DEPENDENCYPART_TRISIBL
(13,12),(13,4),(13,1),0.000935168 # DEPENDENCYPART_TRISIBL
(13,12),(13,4),(13,-1),-0.165873 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,12),(13,3),(13,1),-0.0270324 # DEPENDENCYPART_TRISIBL
(13,12),(13,3),(13,-1),-0.116874 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,12),(13,1),(13,-1),-0.0154926 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,11),(13,10),(13,9),-0.101053 # DEPENDENCYPART_TRISIBL
(13,11),(13,10),(13,8),-0.0915445 # DEPENDENCYPART_TRISIBL
(13,11),(13,10),(13,7),-0.159979 # DEPENDENCYPART_TRISIBL
(13,11),(13,10),(13,6),-0.0915445 # DEPENDENCYPART_TRISIBL
(13,11),(13,10),(13,5),-0.086573 # DEPENDENCYPART_TRISIBL
(13,11),(13,10),(13,4),-0.0926524 # DEPENDENCYPART_TRISIBL
(13,11),(13,10),(13,3),-0.0788607 # DEPENDENCYPART_TRISIBL
(13,11),(13,10),(13,1),-0.101053 # DEPENDENCYPART_TRISIBL
(13,11),(13,10),(13,-1),-0.0690953 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,11),(13,9),(13,8),-0.111791 # DEPENDENCYPART_TRISIBL
(13,11),(13,9),(13,7),-0.148246 # DEPENDENCYPART_TRISIBL
(13,11),(13,9),(13,6),-0.111791 # DEPENDENCYPART_TRISIBL
(13,11),(13,9),(13,5),-0.0725194 # DEPENDENCYPART_TRISIBL
(13,11),(13,9),(13,4),-0.112899 # DEPENDENCYPART_TRISIBL
(13,11),(13,9),(13,3),-0.0876124 # DEPENDENCYPART_TRISIBL
(13,11),(13,9),(13,1),-0.0996886 # DEPENDENCYPART_TRISIBL
(13,11),(13,9),(13,-1),-0.0433577 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,11),(13,8),(13,7),-0.158315 # DEPENDENCYPART_TRISIBL
(13,11),(13,8),(13,6),-0.0983164 # DEPENDENCYPART_TRISIBL
(13,11),(13,8),(13,5),-0.109328 # DEPENDENCYPART_TRISIBL
(13,11),(13,8),(13,4),-0.0994278 # DEPENDENCYPART_TRISIBL
(13,11),(13,8),(13,3),-0.0729274 # DEPENDENCYPART_TRISIBL
(13,11),(13,8),(13,1),-0.111279 # DEPENDENCYPART_TRISIBL
(13,11),(13,8),(13,-1),-0.0924815 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,11),(13,7),(13,6),-0.0977171 # DEPENDENCYPART_TRISIBL
(13,11),(13,7),(13,5),-0.0708157 # DEPENDENCYPART_TRISIBL
(13,11),(13,7),(13,4),-0.0988251 # DEPENDENCYPART_TRISIBL
(13,11),(13,7),(13,3),-0.0799765 # DEPENDENCYPART_TRISIBL
(13,11),(13,7),(13,1),-0.105596 # DEPENDENCYPART_TRISIBL
(13,11),(13,7),(13,-1),-0.143461 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,11),(13,6),(13,5),-0.109328 # DEPENDENCYPART_TRISIBL
(13,11),(13,6),(13,4),-0.0994278 # DEPENDENCYPART_TRISIBL
(13,11),(13,6),(13,3),-0.0729274 # DEPENDENCYPART_TRISIBL
(13,11),(13,6),(13,1),-0.111279 # DEPENDENCYPART_TRISIBL
(13,11),(13,6),(13,-1),-0.0924815 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,11),(13,5),(13,4),-0.0520259 # DEPENDENCYPART_TRISIBL
(13,11),(13,5),(13,3),0.0366424 # DEPENDENCYPART_TRISIBL
(13,11),(13,5),(13,1),-0.0645313 # DEPENDENCYPART_TRISIBL
(13,11),(13,5),(13,-1),-0.223848 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,11),(13,4),(13,3),-0.0741062 # DEPENDENCYPART_TRISIBL
(13,11),(13,4),(13,1),-0.111296 # DEPENDENCYPART_TRISIBL
(13,11),(13,4),(13,-1),-0.0924556 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,11),(13,3),(13,1),-0.100763 # DEPENDENCYPART_TRISIBL
(13,11),(13,3),(13,-1),-0.111658 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,11),(13,1),(13,-1),-0.0433577 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,10),(13,9),(13,8),-0.149404 # DEPENDENCYPART_TRISIBL
(13,10),(13,9),(13,7),-0.127754 # DEPENDENCYPART_TRISIBL
(13,10),(13,9),(13,6),-0.149404 # DEPENDENCYPART_TRISIBL
(13,10),(13,9),(13,5),-0.0668953 # DEPENDENCYPART_TRISIBL
(13,10),(13,9),(13,4),-0.149404 # DEPENDENCYPART_TRISIBL
(13,10),(13,9),(13,3),-0.110612 # DEPENDENCYPART_TRISIBL
(13,10),(13,9),(13,1),-0.0937279 # DEPENDENCYPART_TRISIBL
(13,10),(13,9),(13,-1),-0.072496 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,10),(13,8),(13,7),-0.122682 # DEPENDENCYPART_TRISIBL
(13,10),(13,8),(13,6),-0.15002 # DEPENDENCYPART_TRISIBL
(13,10),(13,8),(13,5),-0.0346525 # DEPENDENCYPART_TRISIBL
(13,10),(13,8),(13,4),-0.15002 # DEPENDENCYPART_TRISIBL
(13,10),(13,8),(13,3),-0.12745 # DEPENDENCYPART_TRISIBL
(13,10),(13,8),(13,1),-0.0711053 # DEPENDENCYPART_TRISIBL
(13,10),(13,8),(13,-1),-0.083868 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,10),(13,7),(13,6),-0.143813 # DEPENDENCYPART_TRISIBL
(13,10),(13,7),(13,5),-0.0415355 # DEPENDENCYPART_TRISIBL
(13,10),(13,7),(13,4),-0.143813 # DEPENDENCYPART_TRISIBL
(13,10),(13,7),(13,3),-0.114267 # DEPENDENCYPART_TRISIBL
(13,10),(13,7),(13,1),-0.0795646 # DEPENDENCYPART_TRISIBL
(13,10),(13,7),(13,-1),-0.0685452 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,10),(13,6),(13,5),-0.0346525 # DEPENDENCYPART_TRISIBL
(13,10),(13,6),(13,4),-0.15002 # DEPENDENCYPART_TRISIBL
(13,10),(13,6),(13,3),-0.12745 # DEPENDENCYPART_TRISIBL
(13,10),(13,6),(13,1),-0.0711053 # DEPENDENCYPART_TRISIBL
(13,10),(13,6),(13,-1),-0.083868 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,10),(13,5),(13,4),-0.184231 # DEPENDENCYPART_TRISIBL
(13,10),(13,5),(13,3),-0.120981 # DEPENDENCYPART_TRISIBL
(13,10),(13,5),(13,1),-0.0467284 # DEPENDENCYPART_TRISIBL
(13,10),(13,5),(13,-1),-0.160741 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,10),(13,4),(13,3),-0.12745 # DEPENDENCYPART_TRISIBL
(13,10),(13,4),(13,1),-0.0711292 # DEPENDENCYPART_TRISIBL
(13,10),(13,4),(13,-1),-0.0838683 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,10),(13,3),(13,1),-0.0865573 # DEPENDENCYPART_TRISIBL
(13,10),(13,3),(13,-1),-0.106627 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,10),(13,1),(13,-1),-0.072496 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,9),(13,8),(13,7),-0.191382 # DEPENDENCYPART_TRISIBL
(13,9),(13,8),(13,6),-0.201829 # DEPENDENCYPART_TRISIBL
(13,9),(13,8),(13,5),0.0370029 # DEPENDENCYPART_TRISIBL
(13,9),(13,8),(13,4),-0.201407 # DEPENDENCYPART_TRISIBL
(13,9),(13,8),(13,3),-0.0822158 # DEPENDENCYPART_TRISIBL
(13,9),(13,8),(13,1),-0.136251 # DEPENDENCYPART_TRISIBL
(13,9),(13,8),(13,-1),-0.116997 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,9),(13,7),(13,6),-0.16213 # DEPENDENCYPART_TRISIBL
(13,9),(13,7),(13,5),-0.0623242 # DEPENDENCYPART_TRISIBL
(13,9),(13,7),(13,4),-0.161708 # DEPENDENCYPART_TRISIBL
(13,9),(13,7),(13,3),-0.0771093 # DEPENDENCYPART_TRISIBL
(13,9),(13,7),(13,1),-0.135368 # DEPENDENCYPART_TRISIBL
(13,9),(13,7),(13,-1),-0.113181 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,9),(13,6),(13,5),0.0367331 # DEPENDENCYPART_TRISIBL
(13,9),(13,6),(13,4),-0.201407 # DEPENDENCYPART_TRISIBL
(13,9),(13,6),(13,3),-0.0822158 # DEPENDENCYPART_TRISIBL
(13,9),(13,6),(13,1),-0.136251 # DEPENDENCYPART_TRISIBL
(13,9),(13,6),(13,-1),-0.116997 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,9),(13,5),(13,4),-0.0456181 # DEPENDENCYPART_TRISIBL
(13,9),(13,5),(13,3),-0.0496519 # DEPENDENCYPART_TRISIBL
(13,9),(13,5),(13,1),-0.0731105 # DEPENDENCYPART_TRISIBL
(13,9),(13,5),(13,-1),-0.212978 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,9),(13,4),(13,3),-0.0822164 # DEPENDENCYPART_TRISIBL
(13,9),(13,4),(13,1),-0.136259 # DEPENDENCYPART_TRISIBL
(13,9),(13,4),(13,-1),-0.117007 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,9),(13,3),(13,1),-0.0990651 # DEPENDENCYPART_TRISIBL
(13,9),(13,3),(13,-1),-0.162418 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,9),(13,1),(13,-1),-0.0591804 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,8),(13,7),(13,6),-0.197566 # DEPENDENCYPART_TRISIBL
(13,8),(13,7),(13,5),-0.0579724 # DEPENDENCYPART_TRISIBL
(13,8),(13,7),(13,4),-0.193278 # DEPENDENCYPART_TRISIBL
(13,8),(13,7),(13,3),-0.0542037 # DEPENDENCYPART_TRISIBL
(13,8),(13,7),(13,1),-0.0895462 # DEPENDENCYPART_TRISIBL
(13,8),(13,7),(13,-1),-0.113427 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,8),(13,6),(13,5),-0.0685854 # DEPENDENCYPART_TRISIBL
(13,8),(13,6),(13,4),-0.263776 # DEPENDENCYPART_TRISIBL
(13,8),(13,6),(13,3),-0.0646932 # DEPENDENCYPART_TRISIBL
(13,8),(13,6),(13,1),0.00436252 # DEPENDENCYPART_TRISIBL
(13,8),(13,6),(13,-1),-0.136816 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,8),(13,5),(13,4),-0.211629 # DEPENDENCYPART_TRISIBL
(13,8),(13,5),(13,3),0.0167969 # DEPENDENCYPART_TRISIBL
(13,8),(13,5),(13,1),0.0921054 # DEPENDENCYPART_TRISIBL
(13,8),(13,5),(13,-1),-0.180407 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,8),(13,4),(13,3),-0.0651129 # DEPENDENCYPART_TRISIBL
(13,8),(13,4),(13,1),0.00431958 # DEPENDENCYPART_TRISIBL
(13,8),(13,4),(13,-1),-0.142891 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,8),(13,3),(13,1),-0.0237803 # DEPENDENCYPART_TRISIBL
(13,8),(13,3),(13,-1),-0.0931696 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,8),(13,1),(13,-1),0.00895796 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,7),(13,6),(13,5),-0.0317628 # DEPENDENCYPART_TRISIBL
(13,7),(13,6),(13,4),-0.131434 # DEPENDENCYPART_TRISIBL
(13,7),(13,6),(13,3),-0.0802411 # DEPENDENCYPART_TRISIBL
(13,7),(13,6),(13,1),-0.0476184 # DEPENDENCYPART_TRISIBL
(13,7),(13,6),(13,-1),-0.110179 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,7),(13,5),(13,4),-0.060056 # DEPENDENCYPART_TRISIBL
(13,7),(13,5),(13,3),-0.144457 # DEPENDENCYPART_TRISIBL
(13,7),(13,5),(13,1),0.129265 # DEPENDENCYPART_TRISIBL
(13,7),(13,5),(13,-1),-0.193441 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,7),(13,4),(13,3),-0.0802411 # DEPENDENCYPART_TRISIBL
(13,7),(13,4),(13,1),-0.0476307 # DEPENDENCYPART_TRISIBL
(13,7),(13,4),(13,-1),-0.110181 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,7),(13,3),(13,1),-0.0344092 # DEPENDENCYPART_TRISIBL
(13,7),(13,3),(13,-1),-0.121439 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,7),(13,1),(13,-1),-0.00133661 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,6),(13,5),(13,4),-0.215517 # DEPENDENCYPART_TRISIBL
(13,6),(13,5),(13,3),0.0167968 # DEPENDENCYPART_TRISIBL
(13,6),(13,5),(13,1),0.105037 # DEPENDENCYPART_TRISIBL
(13,6),(13,5),(13,-1),-0.185869 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,6),(13,4),(13,3),-0.065113 # DEPENDENCYPART_TRISIBL
(13,6),(13,4),(13,1),0.0108199 # DEPENDENCYPART_TRISIBL
(13,6),(13,4),(13,-1),-0.148473 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,6),(13,3),(13,1),-0.0172783 # DEPENDENCYPART_TRISIBL
(13,6),(13,3),(13,-1),-0.0999893 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,6),(13,1),(13,-1),0.00334917 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,5),(13,4),(13,3),-0.041329 # DEPENDENCYPART_TRISIBL
(13,5),(13,4),(13,1),0.119629 # DEPENDENCYPART_TRISIBL
(13,5),(13,4),(13,-1),-0.0248255 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,5),(13,3),(13,1),-0.0284429 # DEPENDENCYPART_TRISIBL
(13,5),(13,3),(13,-1),-0.0286754 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,5),(13,1),(13,-1),-0.0591333 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,4),(13,3),(13,1),-0.0191627 # DEPENDENCYPART_TRISIBL
(13,4),(13,3),(13,-1),-0.121547 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,4),(13,1),(13,-1),-0.0244292 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,3),(13,1),(13,-1),-0.0523951 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,14),(14,15),(14,16),-0.0313245 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,15),(14,17),-0.0269698 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,15),(14,35),-0.0592804 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(14,14),(14,16),(14,17),-0.0649177 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,16),(14,35),-0.391579 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(14,14),(14,17),(14,35),-0.137309 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(14,15),(14,16),(14,17),-0.0754099 # DEPENDENCYPART_TRISIBL
(14,15),(14,16),(14,35),-0.095689 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,15),(14,17),(14,35),-0.062329 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,16),(14,17),(14,35),-0.046238 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,14),(14,12),(14,10),-0.138033 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,12),(14,-1),-0.337682 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,14),(14,10),(14,-1),-0.282963 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,12),(14,10),(14,-1),-0.166538 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,15),(15,16),(15,17),-0.166989 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,16),(15,18),-0.235147 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,16),(15,19),-0.0997503 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,16),(15,20),-0.102963 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,16),(15,21),-0.0890747 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,16),(15,23),-0.0434931 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,16),(15,27),-0.0407939 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,16),(15,35),-0.733549 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(15,15),(15,17),(15,18),-0.13506 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,17),(15,19),-0.153058 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
