# _root_ Simulated golf games , in which players hit golf balls into nets , have been installed at airports in Denver and Pittsburgh ... .
#goldHeads=3,3,14,3,8,5,8,3,10,8,8,11,3,0,14,15,16,17,18,21,19,21,14,14,
#predictedHeads=3,3,14,3,8,5,8,3,10,8,8,11,3,0,14,15,16,17,18,21,19,21,14,14,
(8,10),(8,11),(8,23),0.00896018 # DEPENDENCYPART_TRISIBL
(8,10),(8,11),(8,24),-0.036488 # DEPENDENCYPART_TRISIBL
(8,10),(8,11),(8,25),-0.0542897 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,10),(8,12),(8,13),0.00532142 # DEPENDENCYPART_TRISIBL
(8,10),(8,12),(8,14),-0.0549102 # DEPENDENCYPART_TRISIBL
(8,10),(8,12),(8,15),-0.0540249 # DEPENDENCYPART_TRISIBL
(8,10),(8,12),(8,16),-0.0531653 # DEPENDENCYPART_TRISIBL
(8,10),(8,12),(8,17),-0.0487962 # DEPENDENCYPART_TRISIBL
(8,10),(8,12),(8,19),-0.00528627 # DEPENDENCYPART_TRISIBL
(8,10),(8,12),(8,21),-0.189497 # DEPENDENCYPART_TRISIBL
(8,10),(8,12),(8,23),-0.0508304 # DEPENDENCYPART_TRISIBL
(8,10),(8,12),(8,24),-0.0629736 # DEPENDENCYPART_TRISIBL
(8,10),(8,12),(8,25),-0.0293114 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,10),(8,13),(8,14),-0.0468384 # DEPENDENCYPART_TRISIBL
(8,10),(8,13),(8,15),-0.0570022 # DEPENDENCYPART_TRISIBL
(8,10),(8,13),(8,16),-0.0559788 # DEPENDENCYPART_TRISIBL
(8,10),(8,13),(8,17),0.031623 # DEPENDENCYPART_TRISIBL
(8,10),(8,13),(8,19),0.0434442 # DEPENDENCYPART_TRISIBL
(8,10),(8,13),(8,21),-0.100638 # DEPENDENCYPART_TRISIBL
(8,10),(8,13),(8,23),-0.0613703 # DEPENDENCYPART_TRISIBL
(8,10),(8,13),(8,24),-0.0493257 # DEPENDENCYPART_TRISIBL
(8,10),(8,13),(8,25),-0.0763825 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,10),(8,14),(8,15),-0.071608 # DEPENDENCYPART_TRISIBL
(8,10),(8,14),(8,16),-0.0704025 # DEPENDENCYPART_TRISIBL
(8,10),(8,14),(8,17),-0.00721742 # DEPENDENCYPART_TRISIBL
(8,10),(8,14),(8,19),0.00419165 # DEPENDENCYPART_TRISIBL
(8,10),(8,14),(8,21),-0.167329 # DEPENDENCYPART_TRISIBL
(8,10),(8,14),(8,23),-0.0324804 # DEPENDENCYPART_TRISIBL
(8,10),(8,14),(8,24),-0.0451644 # DEPENDENCYPART_TRISIBL
(8,10),(8,14),(8,25),-0.0277788 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,10),(8,15),(8,16),-0.0694626 # DEPENDENCYPART_TRISIBL
(8,10),(8,15),(8,17),-0.0143157 # DEPENDENCYPART_TRISIBL
(8,10),(8,15),(8,19),-0.00290666 # DEPENDENCYPART_TRISIBL
(8,10),(8,15),(8,21),-0.167142 # DEPENDENCYPART_TRISIBL
(8,10),(8,15),(8,23),-0.0297442 # DEPENDENCYPART_TRISIBL
(8,10),(8,15),(8,24),-0.0494879 # DEPENDENCYPART_TRISIBL
(8,10),(8,15),(8,25),-0.0158652 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,10),(8,16),(8,17),-0.0142984 # DEPENDENCYPART_TRISIBL
(8,10),(8,16),(8,19),-0.0028893 # DEPENDENCYPART_TRISIBL
(8,10),(8,16),(8,21),-0.167142 # DEPENDENCYPART_TRISIBL
(8,10),(8,16),(8,23),-0.029633 # DEPENDENCYPART_TRISIBL
(8,10),(8,16),(8,24),-0.0395026 # DEPENDENCYPART_TRISIBL
(8,10),(8,16),(8,25),-0.0261706 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,10),(8,17),(8,19),0.0174093 # DEPENDENCYPART_TRISIBL
(8,10),(8,17),(8,21),-0.15014 # DEPENDENCYPART_TRISIBL
(8,10),(8,17),(8,23),-0.00175305 # DEPENDENCYPART_TRISIBL
(8,10),(8,17),(8,24),-0.0206906 # DEPENDENCYPART_TRISIBL
(8,10),(8,17),(8,25),-0.0394963 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,10),(8,19),(8,21),-0.153344 # DEPENDENCYPART_TRISIBL
(8,10),(8,19),(8,23),0.0274798 # DEPENDENCYPART_TRISIBL
(8,10),(8,19),(8,24),-0.0196322 # DEPENDENCYPART_TRISIBL
(8,10),(8,19),(8,25),-0.0203198 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,10),(8,21),(8,23),-0.0389688 # DEPENDENCYPART_TRISIBL
(8,10),(8,21),(8,24),-0.0557431 # DEPENDENCYPART_TRISIBL
(8,10),(8,21),(8,25),-0.0959316 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,10),(8,23),(8,24),-0.0879895 # DEPENDENCYPART_TRISIBL
(8,10),(8,23),(8,25),-0.0882823 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,10),(8,24),(8,25),0.000707 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,11),(8,12),(8,13),-0.0506445 # DEPENDENCYPART_TRISIBL
(8,11),(8,12),(8,14),-0.0194568 # DEPENDENCYPART_TRISIBL
(8,11),(8,12),(8,15),-0.0159104 # DEPENDENCYPART_TRISIBL
(8,11),(8,12),(8,16),-0.0154224 # DEPENDENCYPART_TRISIBL
(8,11),(8,12),(8,17),-0.0709531 # DEPENDENCYPART_TRISIBL
(8,11),(8,12),(8,19),-0.110085 # DEPENDENCYPART_TRISIBL
(8,11),(8,12),(8,21),-0.107065 # DEPENDENCYPART_TRISIBL
(8,11),(8,12),(8,23),-0.0781108 # DEPENDENCYPART_TRISIBL
(8,11),(8,12),(8,24),-0.0257192 # DEPENDENCYPART_TRISIBL
(8,11),(8,12),(8,25),0.0106947 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,11),(8,13),(8,14),-0.0448428 # DEPENDENCYPART_TRISIBL
(8,11),(8,13),(8,15),-0.0235408 # DEPENDENCYPART_TRISIBL
(8,11),(8,13),(8,16),-0.0229337 # DEPENDENCYPART_TRISIBL
(8,11),(8,13),(8,17),-0.0546091 # DEPENDENCYPART_TRISIBL
(8,11),(8,13),(8,19),-0.0952945 # DEPENDENCYPART_TRISIBL
(8,11),(8,13),(8,21),-0.107898 # DEPENDENCYPART_TRISIBL
(8,11),(8,13),(8,23),-0.064656 # DEPENDENCYPART_TRISIBL
(8,11),(8,13),(8,24),-0.0622446 # DEPENDENCYPART_TRISIBL
(8,11),(8,13),(8,25),-0.149498 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,11),(8,14),(8,15),-0.0370302 # DEPENDENCYPART_TRISIBL
(8,11),(8,14),(8,16),-0.0365198 # DEPENDENCYPART_TRISIBL
(8,11),(8,14),(8,17),-0.0811646 # DEPENDENCYPART_TRISIBL
(8,11),(8,14),(8,19),-0.117988 # DEPENDENCYPART_TRISIBL
(8,11),(8,14),(8,21),-0.122456 # DEPENDENCYPART_TRISIBL
(8,11),(8,14),(8,23),-0.0345675 # DEPENDENCYPART_TRISIBL
(8,11),(8,14),(8,24),-0.0594333 # DEPENDENCYPART_TRISIBL
(8,11),(8,14),(8,25),-0.0516906 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,11),(8,15),(8,16),-0.0364328 # DEPENDENCYPART_TRISIBL
(8,11),(8,15),(8,17),-0.0809961 # DEPENDENCYPART_TRISIBL
(8,11),(8,15),(8,19),-0.117819 # DEPENDENCYPART_TRISIBL
(8,11),(8,15),(8,21),-0.122359 # DEPENDENCYPART_TRISIBL
(8,11),(8,15),(8,23),-0.0343828 # DEPENDENCYPART_TRISIBL
(8,11),(8,15),(8,24),-0.0622011 # DEPENDENCYPART_TRISIBL
(8,11),(8,15),(8,25),-0.0359145 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,11),(8,16),(8,17),-0.080996 # DEPENDENCYPART_TRISIBL
(8,11),(8,16),(8,19),-0.117819 # DEPENDENCYPART_TRISIBL
(8,11),(8,16),(8,21),-0.122358 # DEPENDENCYPART_TRISIBL
(8,11),(8,16),(8,23),-0.0343743 # DEPENDENCYPART_TRISIBL
(8,11),(8,16),(8,24),-0.0682212 # DEPENDENCYPART_TRISIBL
(8,11),(8,16),(8,25),-0.039334 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,11),(8,17),(8,19),-0.0881164 # DEPENDENCYPART_TRISIBL
(8,11),(8,17),(8,21),-0.14015 # DEPENDENCYPART_TRISIBL
(8,11),(8,17),(8,23),-0.0622532 # DEPENDENCYPART_TRISIBL
(8,11),(8,17),(8,24),-0.0533174 # DEPENDENCYPART_TRISIBL
(8,11),(8,17),(8,25),0.00487449 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,11),(8,19),(8,21),-0.142844 # DEPENDENCYPART_TRISIBL
(8,11),(8,19),(8,23),-0.0539524 # DEPENDENCYPART_TRISIBL
(8,11),(8,19),(8,24),-0.0491496 # DEPENDENCYPART_TRISIBL
(8,11),(8,19),(8,25),-0.0107955 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,11),(8,21),(8,23),-0.070465 # DEPENDENCYPART_TRISIBL
(8,11),(8,21),(8,24),-0.063345 # DEPENDENCYPART_TRISIBL
(8,11),(8,21),(8,25),-0.073856 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,11),(8,23),(8,24),-0.0346575 # DEPENDENCYPART_TRISIBL
(8,11),(8,23),(8,25),-0.0787065 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,11),(8,24),(8,25),-0.00304155 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,12),(8,13),(8,14),-0.0468384 # DEPENDENCYPART_TRISIBL
(8,12),(8,13),(8,15),-0.0570022 # DEPENDENCYPART_TRISIBL
(8,12),(8,13),(8,16),-0.0559788 # DEPENDENCYPART_TRISIBL
(8,12),(8,13),(8,17),0.031623 # DEPENDENCYPART_TRISIBL
(8,12),(8,13),(8,19),0.0434442 # DEPENDENCYPART_TRISIBL
(8,12),(8,13),(8,21),-0.100638 # DEPENDENCYPART_TRISIBL
(8,12),(8,13),(8,23),-0.0613703 # DEPENDENCYPART_TRISIBL
(8,12),(8,13),(8,24),-0.0493257 # DEPENDENCYPART_TRISIBL
(8,12),(8,13),(8,25),-0.0763825 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,12),(8,14),(8,15),-0.071608 # DEPENDENCYPART_TRISIBL
(8,12),(8,14),(8,16),-0.0704025 # DEPENDENCYPART_TRISIBL
(8,12),(8,14),(8,17),-0.00721742 # DEPENDENCYPART_TRISIBL
(8,12),(8,14),(8,19),0.00419165 # DEPENDENCYPART_TRISIBL
(8,12),(8,14),(8,21),-0.167329 # DEPENDENCYPART_TRISIBL
(8,12),(8,14),(8,23),-0.0324804 # DEPENDENCYPART_TRISIBL
(8,12),(8,14),(8,24),-0.0451644 # DEPENDENCYPART_TRISIBL
(8,12),(8,14),(8,25),-0.0277788 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,12),(8,15),(8,16),-0.0694626 # DEPENDENCYPART_TRISIBL
(8,12),(8,15),(8,17),-0.0143157 # DEPENDENCYPART_TRISIBL
(8,12),(8,15),(8,19),-0.00290666 # DEPENDENCYPART_TRISIBL
(8,12),(8,15),(8,21),-0.167142 # DEPENDENCYPART_TRISIBL
(8,12),(8,15),(8,23),-0.0297442 # DEPENDENCYPART_TRISIBL
(8,12),(8,15),(8,24),-0.0494879 # DEPENDENCYPART_TRISIBL
(8,12),(8,15),(8,25),-0.0158652 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,12),(8,16),(8,17),-0.0142984 # DEPENDENCYPART_TRISIBL
(8,12),(8,16),(8,19),-0.0028893 # DEPENDENCYPART_TRISIBL
(8,12),(8,16),(8,21),-0.167142 # DEPENDENCYPART_TRISIBL
(8,12),(8,16),(8,23),-0.029633 # DEPENDENCYPART_TRISIBL
(8,12),(8,16),(8,24),-0.0395026 # DEPENDENCYPART_TRISIBL
(8,12),(8,16),(8,25),-0.0261706 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,12),(8,17),(8,19),0.0174093 # DEPENDENCYPART_TRISIBL
(8,12),(8,17),(8,21),-0.15014 # DEPENDENCYPART_TRISIBL
(8,12),(8,17),(8,23),-0.00175305 # DEPENDENCYPART_TRISIBL
(8,12),(8,17),(8,24),-0.0206906 # DEPENDENCYPART_TRISIBL
(8,12),(8,17),(8,25),-0.0394963 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,12),(8,19),(8,21),-0.153344 # DEPENDENCYPART_TRISIBL
(8,12),(8,19),(8,23),0.0274798 # DEPENDENCYPART_TRISIBL
(8,12),(8,19),(8,24),-0.0196322 # DEPENDENCYPART_TRISIBL
(8,12),(8,19),(8,25),-0.0203198 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,12),(8,21),(8,23),-0.0389688 # DEPENDENCYPART_TRISIBL
(8,12),(8,21),(8,24),-0.0557431 # DEPENDENCYPART_TRISIBL
(8,12),(8,21),(8,25),-0.0959316 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,12),(8,23),(8,24),-0.0879895 # DEPENDENCYPART_TRISIBL
(8,12),(8,23),(8,25),-0.0882823 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,12),(8,24),(8,25),0.000707 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,13),(8,14),(8,15),-0.0272875 # DEPENDENCYPART_TRISIBL
(8,13),(8,14),(8,16),-0.0257771 # DEPENDENCYPART_TRISIBL
(8,13),(8,14),(8,17),0.0140683 # DEPENDENCYPART_TRISIBL
(8,13),(8,14),(8,19),0.0165269 # DEPENDENCYPART_TRISIBL
(8,13),(8,14),(8,21),-0.0962695 # DEPENDENCYPART_TRISIBL
(8,13),(8,14),(8,23),0.0194579 # DEPENDENCYPART_TRISIBL
(8,13),(8,14),(8,24),0.0481524 # DEPENDENCYPART_TRISIBL
(8,13),(8,14),(8,25),0.00967544 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,13),(8,15),(8,16),-0.024648 # DEPENDENCYPART_TRISIBL
(8,13),(8,15),(8,17),0.0147149 # DEPENDENCYPART_TRISIBL
(8,13),(8,15),(8,19),0.0171735 # DEPENDENCYPART_TRISIBL
(8,13),(8,15),(8,21),-0.0959338 # DEPENDENCYPART_TRISIBL
(8,13),(8,15),(8,23),0.0194768 # DEPENDENCYPART_TRISIBL
(8,13),(8,15),(8,24),0.0672087 # DEPENDENCYPART_TRISIBL
(8,13),(8,15),(8,25),0.0156682 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,13),(8,16),(8,17),0.0147149 # DEPENDENCYPART_TRISIBL
(8,13),(8,16),(8,19),0.0171735 # DEPENDENCYPART_TRISIBL
(8,13),(8,16),(8,21),-0.0959338 # DEPENDENCYPART_TRISIBL
(8,13),(8,16),(8,23),0.0194768 # DEPENDENCYPART_TRISIBL
(8,13),(8,16),(8,24),0.0685015 # DEPENDENCYPART_TRISIBL
(8,13),(8,16),(8,25),0.0231229 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,13),(8,17),(8,19),-0.0391114 # DEPENDENCYPART_TRISIBL
(8,13),(8,17),(8,21),-0.114124 # DEPENDENCYPART_TRISIBL
(8,13),(8,17),(8,23),0.0642887 # DEPENDENCYPART_TRISIBL
(8,13),(8,17),(8,24),-0.0191751 # DEPENDENCYPART_TRISIBL
(8,13),(8,17),(8,25),-0.0119749 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,13),(8,19),(8,21),-0.118239 # DEPENDENCYPART_TRISIBL
(8,13),(8,19),(8,23),0.0568215 # DEPENDENCYPART_TRISIBL
(8,13),(8,19),(8,24),0.0137227 # DEPENDENCYPART_TRISIBL
(8,13),(8,19),(8,25),-0.026755 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,13),(8,21),(8,23),0.0135832 # DEPENDENCYPART_TRISIBL
(8,13),(8,21),(8,24),0.0410074 # DEPENDENCYPART_TRISIBL
(8,13),(8,21),(8,25),-0.0855482 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,13),(8,23),(8,24),-0.0148961 # DEPENDENCYPART_TRISIBL
(8,13),(8,23),(8,25),-0.0832747 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,13),(8,24),(8,25),-0.101037 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,14),(8,15),(8,16),-0.109071 # DEPENDENCYPART_TRISIBL
(8,14),(8,15),(8,17),-0.0233188 # DEPENDENCYPART_TRISIBL
(8,14),(8,15),(8,19),-0.0209235 # DEPENDENCYPART_TRISIBL
(8,14),(8,15),(8,21),-0.18167 # DEPENDENCYPART_TRISIBL
(8,14),(8,15),(8,23),-0.0776275 # DEPENDENCYPART_TRISIBL
(8,14),(8,15),(8,24),-0.0943588 # DEPENDENCYPART_TRISIBL
(8,14),(8,15),(8,25),-0.0568275 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,14),(8,16),(8,17),-0.0232335 # DEPENDENCYPART_TRISIBL
(8,14),(8,16),(8,19),-0.0208382 # DEPENDENCYPART_TRISIBL
(8,14),(8,16),(8,21),-0.181636 # DEPENDENCYPART_TRISIBL
(8,14),(8,16),(8,23),-0.0775501 # DEPENDENCYPART_TRISIBL
(8,14),(8,16),(8,24),-0.0916034 # DEPENDENCYPART_TRISIBL
(8,14),(8,16),(8,25),-0.0638761 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,14),(8,17),(8,19),-0.0295893 # DEPENDENCYPART_TRISIBL
(8,14),(8,17),(8,21),-0.188907 # DEPENDENCYPART_TRISIBL
(8,14),(8,17),(8,23),-0.0731851 # DEPENDENCYPART_TRISIBL
(8,14),(8,17),(8,24),0.00921818 # DEPENDENCYPART_TRISIBL
(8,14),(8,17),(8,25),-0.0348661 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,14),(8,19),(8,21),-0.18883 # DEPENDENCYPART_TRISIBL
(8,14),(8,19),(8,23),-0.0697016 # DEPENDENCYPART_TRISIBL
(8,14),(8,19),(8,24),0.0198898 # DEPENDENCYPART_TRISIBL
(8,14),(8,19),(8,25),-0.000918472 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,14),(8,21),(8,23),-0.0805582 # DEPENDENCYPART_TRISIBL
(8,14),(8,21),(8,24),-0.0993486 # DEPENDENCYPART_TRISIBL
(8,14),(8,21),(8,25),-0.146463 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,14),(8,23),(8,24),0.0124007 # DEPENDENCYPART_TRISIBL
(8,14),(8,23),(8,25),-0.0807017 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,14),(8,24),(8,25),0.0086476 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,15),(8,16),(8,17),-0.0422911 # DEPENDENCYPART_TRISIBL
(8,15),(8,16),(8,19),-0.0398958 # DEPENDENCYPART_TRISIBL
(8,15),(8,16),(8,21),-0.182837 # DEPENDENCYPART_TRISIBL
(8,15),(8,16),(8,23),-0.0791534 # DEPENDENCYPART_TRISIBL
(8,15),(8,16),(8,24),-0.0614466 # DEPENDENCYPART_TRISIBL
(8,15),(8,16),(8,25),-0.0683531 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,15),(8,17),(8,19),-0.0488543 # DEPENDENCYPART_TRISIBL
(8,15),(8,17),(8,21),-0.190839 # DEPENDENCYPART_TRISIBL
(8,15),(8,17),(8,23),-0.0748995 # DEPENDENCYPART_TRISIBL
(8,15),(8,17),(8,24),0.0548837 # DEPENDENCYPART_TRISIBL
(8,15),(8,17),(8,25),-0.0480655 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,15),(8,19),(8,21),-0.190763 # DEPENDENCYPART_TRISIBL
(8,15),(8,19),(8,23),-0.071416 # DEPENDENCYPART_TRISIBL
(8,15),(8,19),(8,24),0.0655553 # DEPENDENCYPART_TRISIBL
(8,15),(8,19),(8,25),-0.0141179 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,15),(8,21),(8,23),-0.0831406 # DEPENDENCYPART_TRISIBL
(8,15),(8,21),(8,24),-0.0723155 # DEPENDENCYPART_TRISIBL
(8,15),(8,21),(8,25),-0.153008 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,15),(8,23),(8,24),0.0391495 # DEPENDENCYPART_TRISIBL
(8,15),(8,23),(8,25),-0.0864341 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,15),(8,24),(8,25),0.0121663 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,16),(8,17),(8,19),-0.0465235 # DEPENDENCYPART_TRISIBL
(8,16),(8,17),(8,21),-0.185117 # DEPENDENCYPART_TRISIBL
(8,16),(8,17),(8,23),-0.073152 # DEPENDENCYPART_TRISIBL
(8,16),(8,17),(8,24),0.0203895 # DEPENDENCYPART_TRISIBL
(8,16),(8,17),(8,25),-0.042951 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,16),(8,19),(8,21),-0.185041 # DEPENDENCYPART_TRISIBL
(8,16),(8,19),(8,23),-0.0696684 # DEPENDENCYPART_TRISIBL
(8,16),(8,19),(8,24),0.0310612 # DEPENDENCYPART_TRISIBL
(8,16),(8,19),(8,25),-0.00900341 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,16),(8,21),(8,23),-0.0805249 # DEPENDENCYPART_TRISIBL
(8,16),(8,21),(8,24),-0.0896819 # DEPENDENCYPART_TRISIBL
(8,16),(8,21),(8,25),-0.15638 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,16),(8,23),(8,24),0.0217281 # DEPENDENCYPART_TRISIBL
(8,16),(8,23),(8,25),-0.0920292 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,16),(8,24),(8,25),-0.000547054 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,17),(8,19),(8,21),-0.149645 # DEPENDENCYPART_TRISIBL
(8,17),(8,19),(8,23),-0.038067 # DEPENDENCYPART_TRISIBL
(8,17),(8,19),(8,24),-0.0523632 # DEPENDENCYPART_TRISIBL
(8,17),(8,19),(8,25),-0.0630598 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,17),(8,21),(8,23),-0.0585207 # DEPENDENCYPART_TRISIBL
(8,17),(8,21),(8,24),-0.0594871 # DEPENDENCYPART_TRISIBL
(8,17),(8,21),(8,25),-0.130289 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,17),(8,23),(8,24),-0.035007 # DEPENDENCYPART_TRISIBL
(8,17),(8,23),(8,25),-0.114032 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,17),(8,24),(8,25),-0.0567567 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,19),(8,21),(8,23),-0.0837823 # DEPENDENCYPART_TRISIBL
(8,19),(8,21),(8,24),-0.0439589 # DEPENDENCYPART_TRISIBL
(8,19),(8,21),(8,25),-0.0820767 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,19),(8,23),(8,24),-0.00625068 # DEPENDENCYPART_TRISIBL
(8,19),(8,23),(8,25),-0.0949972 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,19),(8,24),(8,25),-0.027768 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,21),(8,23),(8,24),-0.0408901 # DEPENDENCYPART_TRISIBL
(8,21),(8,23),(8,25),-0.112198 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,21),(8,24),(8,25),-0.0402794 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,23),(8,24),(8,25),-0.00148196 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,8),(8,7),(8,6),-0.0984254 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,7),(8,5),-0.136221 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,7),(8,4),0.128501 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,7),(8,3),-0.0757759 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,7),(8,2),-0.066936 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,7),(8,1),-0.144828 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,7),(8,-1),-0.00376157 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,8),(8,6),(8,5),-0.253134 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,6),(8,4),-0.0397171 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,6),(8,3),-0.126727 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,6),(8,2),-0.121294 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,6),(8,1),-0.14707 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,6),(8,-1),0.00455064 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,8),(8,5),(8,4),-0.124681 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,5),(8,3),-0.00771822 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,5),(8,2),-0.00227395 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,5),(8,1),-0.146227 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,5),(8,-1),-0.183262 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,8),(8,4),(8,3),-0.281073 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,4),(8,2),-0.274379 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,4),(8,1),-0.234785 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,4),(8,-1),-0.359758 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,8),(8,3),(8,2),-0.0642781 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,3),(8,1),-0.144775 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,3),(8,-1),-0.0140578 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,8),(8,2),(8,1),-0.144729 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,2),(8,-1),-0.00251464 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,8),(8,1),(8,-1),-0.10852 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,7),(8,6),(8,5),-0.0167208 # DEPENDENCYPART_TRISIBL
(8,7),(8,6),(8,4),-0.049661 # DEPENDENCYPART_TRISIBL
(8,7),(8,6),(8,3),-0.199764 # DEPENDENCYPART_TRISIBL
(8,7),(8,6),(8,2),-0.198503 # DEPENDENCYPART_TRISIBL
(8,7),(8,6),(8,1),-0.0470617 # DEPENDENCYPART_TRISIBL
(8,7),(8,6),(8,-1),-0.0566888 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,7),(8,5),(8,4),-0.0432652 # DEPENDENCYPART_TRISIBL
(8,7),(8,5),(8,3),-0.201069 # DEPENDENCYPART_TRISIBL
(8,7),(8,5),(8,2),-0.199809 # DEPENDENCYPART_TRISIBL
(8,7),(8,5),(8,1),-0.00853873 # DEPENDENCYPART_TRISIBL
(8,7),(8,5),(8,-1),0.0494967 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,7),(8,4),(8,3),-0.223876 # DEPENDENCYPART_TRISIBL
(8,7),(8,4),(8,2),-0.221403 # DEPENDENCYPART_TRISIBL
