# _root_ But the guidelines could `` make it impossible to commercialize research , '' says Kenneth Smith , associate provost and vice president for research at Massachusetts Institute of Technology .
#goldHeads=4,3,4,14,4,4,10,10,10,6,10,14,14,0,16,14,16,19,20,16,22,20,22,23,20,27,25,27,28,14,
#predictedHeads=4,3,4,14,4,4,10,10,10,6,10,14,14,0,16,14,16,19,20,16,22,20,22,23,22,27,25,27,28,14,
(14,8),(14,3),(14,2),-0.0140578 # DEPENDENCYPART_TRISIBL
(14,8),(14,3),(14,1),-0.105464 # DEPENDENCYPART_TRISIBL
(14,8),(14,3),(14,-1),-0.103932 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,8),(14,2),(14,1),-0.112848 # DEPENDENCYPART_TRISIBL
(14,8),(14,2),(14,-1),-0.0539735 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,8),(14,1),(14,-1),-0.107284 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,7),(14,6),(14,5),-0.162784 # DEPENDENCYPART_TRISIBL
(14,7),(14,6),(14,4),-0.0469386 # DEPENDENCYPART_TRISIBL
(14,7),(14,6),(14,3),-0.0613264 # DEPENDENCYPART_TRISIBL
(14,7),(14,6),(14,2),-0.0747246 # DEPENDENCYPART_TRISIBL
(14,7),(14,6),(14,1),-0.0687776 # DEPENDENCYPART_TRISIBL
(14,7),(14,6),(14,-1),-0.0649569 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,7),(14,5),(14,4),-0.0460956 # DEPENDENCYPART_TRISIBL
(14,7),(14,5),(14,3),-0.0893571 # DEPENDENCYPART_TRISIBL
(14,7),(14,5),(14,2),-0.0942764 # DEPENDENCYPART_TRISIBL
(14,7),(14,5),(14,1),-0.0529528 # DEPENDENCYPART_TRISIBL
(14,7),(14,5),(14,-1),-0.123424 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,7),(14,4),(14,3),-0.064258 # DEPENDENCYPART_TRISIBL
(14,7),(14,4),(14,2),-0.0900943 # DEPENDENCYPART_TRISIBL
(14,7),(14,4),(14,1),-0.0549824 # DEPENDENCYPART_TRISIBL
(14,7),(14,4),(14,-1),0.0149898 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,7),(14,3),(14,2),-0.0976767 # DEPENDENCYPART_TRISIBL
(14,7),(14,3),(14,1),-0.047098 # DEPENDENCYPART_TRISIBL
(14,7),(14,3),(14,-1),-0.021721 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,7),(14,2),(14,1),-0.0549566 # DEPENDENCYPART_TRISIBL
(14,7),(14,2),(14,-1),-0.0587381 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,7),(14,1),(14,-1),-0.0162308 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,6),(14,5),(14,4),-0.095739 # DEPENDENCYPART_TRISIBL
(14,6),(14,5),(14,3),-0.11642 # DEPENDENCYPART_TRISIBL
(14,6),(14,5),(14,2),-0.031148 # DEPENDENCYPART_TRISIBL
(14,6),(14,5),(14,1),-0.0213701 # DEPENDENCYPART_TRISIBL
(14,6),(14,5),(14,-1),-0.0634284 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,6),(14,4),(14,3),-0.0724623 # DEPENDENCYPART_TRISIBL
(14,6),(14,4),(14,2),-0.0375657 # DEPENDENCYPART_TRISIBL
(14,6),(14,4),(14,1),-0.0509366 # DEPENDENCYPART_TRISIBL
(14,6),(14,4),(14,-1),-0.0817261 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,6),(14,3),(14,2),-0.0466037 # DEPENDENCYPART_TRISIBL
(14,6),(14,3),(14,1),-0.038168 # DEPENDENCYPART_TRISIBL
(14,6),(14,3),(14,-1),-0.062402 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,6),(14,2),(14,1),-0.0597515 # DEPENDENCYPART_TRISIBL
(14,6),(14,2),(14,-1),-0.0449238 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,6),(14,1),(14,-1),-0.0646992 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,5),(14,4),(14,3),-0.0430127 # DEPENDENCYPART_TRISIBL
(14,5),(14,4),(14,2),-0.036562 # DEPENDENCYPART_TRISIBL
(14,5),(14,4),(14,1),-0.0836575 # DEPENDENCYPART_TRISIBL
(14,5),(14,4),(14,-1),-0.131444 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,5),(14,3),(14,2),-0.0424927 # DEPENDENCYPART_TRISIBL
(14,5),(14,3),(14,1),-0.0941069 # DEPENDENCYPART_TRISIBL
(14,5),(14,3),(14,-1),-0.0732287 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,5),(14,2),(14,1),-0.0915018 # DEPENDENCYPART_TRISIBL
(14,5),(14,2),(14,-1),-0.137269 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,5),(14,1),(14,-1),-0.121961 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,4),(14,3),(14,2),-0.0673325 # DEPENDENCYPART_TRISIBL
(14,4),(14,3),(14,1),-0.0772875 # DEPENDENCYPART_TRISIBL
(14,4),(14,3),(14,-1),-0.0285394 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,4),(14,2),(14,1),-0.068687 # DEPENDENCYPART_TRISIBL
(14,4),(14,2),(14,-1),-0.0461946 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,4),(14,1),(14,-1),-0.108005 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,3),(14,2),(14,1),-0.122411 # DEPENDENCYPART_TRISIBL
(14,3),(14,2),(14,-1),0.0476496 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,3),(14,1),(14,-1),0.0319087 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,2),(14,1),(14,-1),-0.0795122 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,15),(15,16),(15,22),-0.0873941 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,16),(15,31),-0.114219 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(15,15),(15,22),(15,31),-0.110618 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(15,16),(15,22),(15,31),-0.131172 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,16),(16,17),(16,18),-0.117284 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,17),(16,19),-0.0580839 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,17),(16,20),-0.00998284 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,17),(16,21),-0.0623738 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,17),(16,22),-0.0084846 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,17),(16,23),-0.232128 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,17),(16,24),-0.0585449 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,17),(16,25),-0.231449 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,17),(16,27),-0.0587037 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,17),(16,28),-0.227726 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,17),(16,30),-0.200598 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,17),(16,31),-0.687121 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(16,16),(16,18),(16,19),-0.184416 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,18),(16,20),-0.0948254 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,18),(16,21),-0.191232 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,18),(16,22),-0.154303 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,18),(16,23),-0.123138 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,18),(16,24),-0.18433 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,18),(16,25),-0.106428 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,18),(16,27),-0.18503 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,18),(16,28),-0.115794 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,18),(16,30),-0.143936 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,18),(16,31),-0.0839153 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(16,16),(16,19),(16,20),-0.129617 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,19),(16,21),-0.121419 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,19),(16,22),-0.0892749 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,19),(16,23),-0.109889 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,19),(16,24),-0.11534 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,19),(16,25),-0.0934559 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,19),(16,27),-0.118787 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,19),(16,28),-0.0750238 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,19),(16,30),-0.116264 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,19),(16,31),-0.118594 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(16,16),(16,20),(16,21),-0.165506 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,20),(16,22),-0.13081 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,20),(16,23),-0.0635804 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,20),(16,24),-0.161561 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,20),(16,25),-0.0672988 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,20),(16,27),-0.162272 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,20),(16,28),-0.0668964 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,20),(16,30),-0.0363191 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,20),(16,31),-0.0751413 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(16,16),(16,21),(16,22),-0.0904919 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,21),(16,23),-0.111852 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,21),(16,24),-0.116557 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,21),(16,25),-0.0954189 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,21),(16,27),-0.120004 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,21),(16,28),-0.0769868 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,21),(16,30),-0.117125 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,21),(16,31),-0.124997 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(16,16),(16,22),(16,23),-0.10172 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,22),(16,24),-0.11036 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,22),(16,25),-0.0852864 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,22),(16,27),-0.113807 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,22),(16,28),-0.0668543 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,22),(16,30),-0.111965 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,22),(16,31),-0.113739 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(16,16),(16,23),(16,24),-0.1534 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,23),(16,25),-0.0147347 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,23),(16,27),-0.153683 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,23),(16,28),-0.0582848 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,23),(16,30),-0.144661 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,23),(16,31),-0.119619 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(16,16),(16,24),(16,25),-0.091001 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,24),(16,27),-0.11888 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,24),(16,28),-0.0725689 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,24),(16,30),-0.118796 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,24),(16,31),-0.122456 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(16,16),(16,25),(16,27),-0.16651 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,25),(16,28),-0.108268 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,25),(16,30),-0.172211 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,25),(16,31),-0.111758 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(16,16),(16,27),(16,28),-0.0752573 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,27),(16,30),-0.116264 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,27),(16,31),-0.118265 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(16,16),(16,28),(16,30),-0.16952 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,28),(16,31),-0.064431 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(16,16),(16,30),(16,31),-0.220111 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(16,17),(16,18),(16,19),0.0514078 # DEPENDENCYPART_TRISIBL
(16,17),(16,18),(16,20),-0.0359798 # DEPENDENCYPART_TRISIBL
(16,17),(16,18),(16,21),0.0512793 # DEPENDENCYPART_TRISIBL
(16,17),(16,18),(16,22),0.0552513 # DEPENDENCYPART_TRISIBL
(16,17),(16,18),(16,23),-0.0589435 # DEPENDENCYPART_TRISIBL
(16,17),(16,18),(16,24),0.051404 # DEPENDENCYPART_TRISIBL
(16,17),(16,18),(16,25),-0.0751451 # DEPENDENCYPART_TRISIBL
(16,17),(16,18),(16,27),0.0514075 # DEPENDENCYPART_TRISIBL
(16,17),(16,18),(16,28),-0.0854628 # DEPENDENCYPART_TRISIBL
(16,17),(16,18),(16,30),-0.139909 # DEPENDENCYPART_TRISIBL
(16,17),(16,18),(16,31),-0.16789 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,17),(16,19),(16,20),-0.0627873 # DEPENDENCYPART_TRISIBL
(16,17),(16,19),(16,21),-0.0833837 # DEPENDENCYPART_TRISIBL
(16,17),(16,19),(16,22),-0.0790673 # DEPENDENCYPART_TRISIBL
(16,17),(16,19),(16,23),-0.00758481 # DEPENDENCYPART_TRISIBL
(16,17),(16,19),(16,24),-0.0832978 # DEPENDENCYPART_TRISIBL
(16,17),(16,19),(16,25),-0.0279149 # DEPENDENCYPART_TRISIBL
(16,17),(16,19),(16,27),-0.0832962 # DEPENDENCYPART_TRISIBL
(16,17),(16,19),(16,28),-0.0392148 # DEPENDENCYPART_TRISIBL
(16,17),(16,19),(16,30),-0.240184 # DEPENDENCYPART_TRISIBL
(16,17),(16,19),(16,31),-0.0993177 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,17),(16,20),(16,21),-0.0228565 # DEPENDENCYPART_TRISIBL
(16,17),(16,20),(16,22),-0.0185385 # DEPENDENCYPART_TRISIBL
(16,17),(16,20),(16,23),-0.0442041 # DEPENDENCYPART_TRISIBL
(16,17),(16,20),(16,24),-0.0227713 # DEPENDENCYPART_TRISIBL
(16,17),(16,20),(16,25),-0.0597238 # DEPENDENCYPART_TRISIBL
(16,17),(16,20),(16,27),-0.0227697 # DEPENDENCYPART_TRISIBL
(16,17),(16,20),(16,28),-0.0695056 # DEPENDENCYPART_TRISIBL
(16,17),(16,20),(16,30),-0.10124 # DEPENDENCYPART_TRISIBL
(16,17),(16,20),(16,31),-0.103493 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,17),(16,21),(16,22),-0.0790673 # DEPENDENCYPART_TRISIBL
(16,17),(16,21),(16,23),-0.00760133 # DEPENDENCYPART_TRISIBL
(16,17),(16,21),(16,24),-0.0832978 # DEPENDENCYPART_TRISIBL
(16,17),(16,21),(16,25),-0.0279314 # DEPENDENCYPART_TRISIBL
(16,17),(16,21),(16,27),-0.0832962 # DEPENDENCYPART_TRISIBL
(16,17),(16,21),(16,28),-0.0392314 # DEPENDENCYPART_TRISIBL
(16,17),(16,21),(16,30),-0.240184 # DEPENDENCYPART_TRISIBL
(16,17),(16,21),(16,31),-0.0993926 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,17),(16,22),(16,23),-0.00790893 # DEPENDENCYPART_TRISIBL
(16,17),(16,22),(16,24),-0.0849594 # DEPENDENCYPART_TRISIBL
(16,17),(16,22),(16,25),-0.028239 # DEPENDENCYPART_TRISIBL
(16,17),(16,22),(16,27),-0.0849578 # DEPENDENCYPART_TRISIBL
(16,17),(16,22),(16,28),-0.039539 # DEPENDENCYPART_TRISIBL
(16,17),(16,22),(16,30),-0.240297 # DEPENDENCYPART_TRISIBL
(16,17),(16,22),(16,31),-0.0571467 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,17),(16,23),(16,24),0.0105875 # DEPENDENCYPART_TRISIBL
(16,17),(16,23),(16,25),-0.0496542 # DEPENDENCYPART_TRISIBL
(16,17),(16,23),(16,27),0.0105891 # DEPENDENCYPART_TRISIBL
(16,17),(16,23),(16,28),-0.060702 # DEPENDENCYPART_TRISIBL
(16,17),(16,23),(16,30),-0.110678 # DEPENDENCYPART_TRISIBL
(16,17),(16,23),(16,31),-0.0556157 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,17),(16,24),(16,25),-0.0279387 # DEPENDENCYPART_TRISIBL
(16,17),(16,24),(16,27),-0.0833383 # DEPENDENCYPART_TRISIBL
(16,17),(16,24),(16,28),-0.0392387 # DEPENDENCYPART_TRISIBL
(16,17),(16,24),(16,30),-0.240184 # DEPENDENCYPART_TRISIBL
(16,17),(16,24),(16,31),-0.100365 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,17),(16,25),(16,27),0.0113167 # DEPENDENCYPART_TRISIBL
(16,17),(16,25),(16,28),-0.0604837 # DEPENDENCYPART_TRISIBL
(16,17),(16,25),(16,30),-0.108889 # DEPENDENCYPART_TRISIBL
(16,17),(16,25),(16,31),-0.0718417 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,17),(16,27),(16,28),-0.0392148 # DEPENDENCYPART_TRISIBL
(16,17),(16,27),(16,30),-0.240184 # DEPENDENCYPART_TRISIBL
(16,17),(16,27),(16,31),-0.099761 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,17),(16,28),(16,30),-0.0967458 # DEPENDENCYPART_TRISIBL
(16,17),(16,28),(16,31),-0.0728352 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,17),(16,30),(16,31),-0.278704 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,18),(16,19),(16,20),-0.0875529 # DEPENDENCYPART_TRISIBL
(16,18),(16,19),(16,21),-0.0650441 # DEPENDENCYPART_TRISIBL
(16,18),(16,19),(16,22),-0.0591339 # DEPENDENCYPART_TRISIBL
(16,18),(16,19),(16,23),-0.0410533 # DEPENDENCYPART_TRISIBL
(16,18),(16,19),(16,24),-0.065044 # DEPENDENCYPART_TRISIBL
(16,18),(16,19),(16,25),-0.0430522 # DEPENDENCYPART_TRISIBL
(16,18),(16,19),(16,27),-0.0650438 # DEPENDENCYPART_TRISIBL
(16,18),(16,19),(16,28),-0.0527535 # DEPENDENCYPART_TRISIBL
(16,18),(16,19),(16,30),-0.0890562 # DEPENDENCYPART_TRISIBL
(16,18),(16,19),(16,31),-0.0919716 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,18),(16,20),(16,21),-0.0751732 # DEPENDENCYPART_TRISIBL
(16,18),(16,20),(16,22),-0.0692558 # DEPENDENCYPART_TRISIBL
(16,18),(16,20),(16,23),-0.0305485 # DEPENDENCYPART_TRISIBL
(16,18),(16,20),(16,24),-0.075173 # DEPENDENCYPART_TRISIBL
(16,18),(16,20),(16,25),-0.0399438 # DEPENDENCYPART_TRISIBL
(16,18),(16,20),(16,27),-0.0751729 # DEPENDENCYPART_TRISIBL
(16,18),(16,20),(16,28),-0.0445304 # DEPENDENCYPART_TRISIBL
(16,18),(16,20),(16,30),-0.0685735 # DEPENDENCYPART_TRISIBL
(16,18),(16,20),(16,31),-0.105301 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,18),(16,21),(16,22),-0.0602856 # DEPENDENCYPART_TRISIBL
(16,18),(16,21),(16,23),-0.0410533 # DEPENDENCYPART_TRISIBL
(16,18),(16,21),(16,24),-0.0661957 # DEPENDENCYPART_TRISIBL
(16,18),(16,21),(16,25),-0.0430522 # DEPENDENCYPART_TRISIBL
(16,18),(16,21),(16,27),-0.0661955 # DEPENDENCYPART_TRISIBL
(16,18),(16,21),(16,28),-0.0527535 # DEPENDENCYPART_TRISIBL
(16,18),(16,21),(16,30),-0.0890562 # DEPENDENCYPART_TRISIBL
(16,18),(16,21),(16,31),-0.093857 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,18),(16,22),(16,23),-0.0410539 # DEPENDENCYPART_TRISIBL
(16,18),(16,22),(16,24),-0.0657461 # DEPENDENCYPART_TRISIBL
(16,18),(16,22),(16,25),-0.0430528 # DEPENDENCYPART_TRISIBL
(16,18),(16,22),(16,27),-0.0657459 # DEPENDENCYPART_TRISIBL
(16,18),(16,22),(16,28),-0.052754 # DEPENDENCYPART_TRISIBL
(16,18),(16,22),(16,30),-0.0890563 # DEPENDENCYPART_TRISIBL
(16,18),(16,22),(16,31),-0.0924095 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,18),(16,23),(16,24),-0.0834065 # DEPENDENCYPART_TRISIBL
(16,18),(16,23),(16,25),-0.0569728 # DEPENDENCYPART_TRISIBL
(16,18),(16,23),(16,27),-0.0834064 # DEPENDENCYPART_TRISIBL
(16,18),(16,23),(16,28),-0.0655899 # DEPENDENCYPART_TRISIBL
(16,18),(16,23),(16,30),-0.0303211 # DEPENDENCYPART_TRISIBL
(16,18),(16,23),(16,31),-0.109234 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,18),(16,24),(16,25),-0.0430522 # DEPENDENCYPART_TRISIBL
(16,18),(16,24),(16,27),-0.0650457 # DEPENDENCYPART_TRISIBL
(16,18),(16,24),(16,28),-0.0527535 # DEPENDENCYPART_TRISIBL
(16,18),(16,24),(16,30),-0.0890562 # DEPENDENCYPART_TRISIBL
(16,18),(16,24),(16,31),-0.0919716 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,18),(16,25),(16,27),-0.0812015 # DEPENDENCYPART_TRISIBL
(16,18),(16,25),(16,28),-0.062912 # DEPENDENCYPART_TRISIBL
(16,18),(16,25),(16,30),-0.0329475 # DEPENDENCYPART_TRISIBL
(16,18),(16,25),(16,31),-0.0959617 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,18),(16,27),(16,28),-0.0527535 # DEPENDENCYPART_TRISIBL
(16,18),(16,27),(16,30),-0.0890562 # DEPENDENCYPART_TRISIBL
(16,18),(16,27),(16,31),-0.0919716 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,18),(16,28),(16,30),-0.0426796 # DEPENDENCYPART_TRISIBL
(16,18),(16,28),(16,31),-0.0796963 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,18),(16,30),(16,31),-0.0859528 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,19),(16,20),(16,21),-0.0834253 # DEPENDENCYPART_TRISIBL
(16,19),(16,20),(16,22),-0.081563 # DEPENDENCYPART_TRISIBL
(16,19),(16,20),(16,23),-0.0735352 # DEPENDENCYPART_TRISIBL
(16,19),(16,20),(16,24),-0.0834344 # DEPENDENCYPART_TRISIBL
(16,19),(16,20),(16,25),-0.053634 # DEPENDENCYPART_TRISIBL
(16,19),(16,20),(16,27),-0.0834212 # DEPENDENCYPART_TRISIBL
(16,19),(16,20),(16,28),-0.0661575 # DEPENDENCYPART_TRISIBL
(16,19),(16,20),(16,30),-0.0839838 # DEPENDENCYPART_TRISIBL
(16,19),(16,20),(16,31),-0.186888 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,19),(16,21),(16,22),-0.0673833 # DEPENDENCYPART_TRISIBL
(16,19),(16,21),(16,23),-0.091002 # DEPENDENCYPART_TRISIBL
(16,19),(16,21),(16,24),-0.0691869 # DEPENDENCYPART_TRISIBL
(16,19),(16,21),(16,25),-0.0705384 # DEPENDENCYPART_TRISIBL
(16,19),(16,21),(16,27),-0.0691737 # DEPENDENCYPART_TRISIBL
(16,19),(16,21),(16,28),-0.0755028 # DEPENDENCYPART_TRISIBL
(16,19),(16,21),(16,30),-0.0869641 # DEPENDENCYPART_TRISIBL
(16,19),(16,21),(16,31),-0.129336 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,19),(16,22),(16,23),-0.0912471 # DEPENDENCYPART_TRISIBL
(16,19),(16,22),(16,24),-0.0694031 # DEPENDENCYPART_TRISIBL
(16,19),(16,22),(16,25),-0.0707835 # DEPENDENCYPART_TRISIBL
(16,19),(16,22),(16,27),-0.0693899 # DEPENDENCYPART_TRISIBL
(16,19),(16,22),(16,28),-0.0757478 # DEPENDENCYPART_TRISIBL
(16,19),(16,22),(16,30),-0.0870548 # DEPENDENCYPART_TRISIBL
(16,19),(16,22),(16,31),-0.13132 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,19),(16,23),(16,24),-0.0823428 # DEPENDENCYPART_TRISIBL
(16,19),(16,23),(16,25),-0.0867745 # DEPENDENCYPART_TRISIBL
(16,19),(16,23),(16,27),-0.0823296 # DEPENDENCYPART_TRISIBL
(16,19),(16,23),(16,28),-0.0939553 # DEPENDENCYPART_TRISIBL
(16,19),(16,23),(16,30),-0.101577 # DEPENDENCYPART_TRISIBL
(16,19),(16,23),(16,31),-0.125989 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,19),(16,24),(16,25),-0.0705385 # DEPENDENCYPART_TRISIBL
(16,19),(16,24),(16,27),-0.0691756 # DEPENDENCYPART_TRISIBL
(16,19),(16,24),(16,28),-0.0755029 # DEPENDENCYPART_TRISIBL
(16,19),(16,24),(16,30),-0.086965 # DEPENDENCYPART_TRISIBL
(16,19),(16,24),(16,31),-0.127198 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,19),(16,25),(16,27),-0.0841701 # DEPENDENCYPART_TRISIBL
(16,19),(16,25),(16,28),-0.0769452 # DEPENDENCYPART_TRISIBL
(16,19),(16,25),(16,30),-0.0960279 # DEPENDENCYPART_TRISIBL
(16,19),(16,25),(16,31),-0.129612 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,19),(16,27),(16,28),-0.0755073 # DEPENDENCYPART_TRISIBL
(16,19),(16,27),(16,30),-0.0869641 # DEPENDENCYPART_TRISIBL
(16,19),(16,27),(16,31),-0.129501 # DEPENDENCYPART_TRISIBL_LAST_SIBS
