# _root_ In the U.S. , radiation limits are set and monitored by the Nuclear Regulatory Commission , which licenses reactors that process the topaz .
#goldHeads=7,3,1,7,6,7,0,9,7,9,9,15,15,15,11,15,18,15,18,21,19,23,21,7,
#predictedHeads=7,3,1,7,6,7,0,9,7,9,10,15,15,15,11,15,18,15,18,21,19,23,21,7,
(21,8),(8,10),(8,11),0.130403 # DEPENDENCYPART_GRANDSIBL
(21,8),(8,10),(8,15),0.0932319 # DEPENDENCYPART_GRANDSIBL
(21,8),(8,10),(8,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(21,8),(8,10),(8,25),-0.121111 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,8),(8,11),(8,15),0.126082 # DEPENDENCYPART_GRANDSIBL
(21,8),(8,11),(8,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(21,8),(8,11),(8,25),-0.138403 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,8),(8,15),(8,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(21,8),(8,15),(8,25),-0.122125 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,8),(8,24),(8,25),-0.14435 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,8),(8,8),(8,7),-0.0547724 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,8),(8,8),(8,6),0.0131799 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,8),(8,8),(8,4),-0.124147 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,8),(8,8),(8,1),-0.0744895 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,8),(8,8),(8,-1),0.0476056 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(21,8),(8,7),(8,6),-0.0679601 # DEPENDENCYPART_GRANDSIBL
(21,8),(8,7),(8,4),-0.0507094 # DEPENDENCYPART_GRANDSIBL
(21,8),(8,7),(8,1),-0.0385852 # DEPENDENCYPART_GRANDSIBL
(21,8),(8,7),(8,-1),-0.0668669 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,8),(8,6),(8,4),-0.0746276 # DEPENDENCYPART_GRANDSIBL
(21,8),(8,6),(8,1),-0.0752967 # DEPENDENCYPART_GRANDSIBL
(21,8),(8,6),(8,-1),-0.0661588 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,8),(8,4),(8,1),-0.029077 # DEPENDENCYPART_GRANDSIBL
(21,8),(8,4),(8,-1),0.0823054 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,8),(8,1),(8,-1),-0.0444221 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,9),(9,9),(9,10),0.16753 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,9),(9,9),(9,11),0.216317 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,9),(9,9),(9,12),0.0768691 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,9),(9,9),(9,13),0.137238 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,9),(9,9),(9,14),0.136635 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,9),(9,9),(9,15),0.136107 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,9),(9,9),(9,16),0.0359647 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,9),(9,9),(9,18),0.167739 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,9),(9,9),(9,19),0.137238 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,9),(9,9),(9,21),-0.147236 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(21,9),(9,9),(9,23),-0.14867 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,9),(9,9),(9,24),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,9),(9,9),(9,25),-0.132267 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(21,9),(9,10),(9,11),0.104745 # DEPENDENCYPART_GRANDSIBL
(21,9),(9,10),(9,12),0.115776 # DEPENDENCYPART_GRANDSIBL
(21,9),(9,10),(9,13),0.104558 # DEPENDENCYPART_GRANDSIBL
(21,9),(9,10),(9,14),0.104558 # DEPENDENCYPART_GRANDSIBL
(21,9),(9,10),(9,15),0.104517 # DEPENDENCYPART_GRANDSIBL
(21,9),(9,10),(9,16),0.117753 # DEPENDENCYPART_GRANDSIBL
(21,9),(9,10),(9,18),0.0704673 # DEPENDENCYPART_GRANDSIBL
(21,9),(9,10),(9,19),0.104558 # DEPENDENCYPART_GRANDSIBL
(21,9),(9,10),(9,21),-0.114493 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,9),(9,10),(9,23),-0.133136 # DEPENDENCYPART_GRANDSIBL
(21,9),(9,10),(9,24),-0.125315 # DEPENDENCYPART_GRANDSIBL
(21,9),(9,10),(9,25),-0.136553 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,9),(9,11),(9,12),0.114665 # DEPENDENCYPART_GRANDSIBL
(21,9),(9,11),(9,13),0.111711 # DEPENDENCYPART_GRANDSIBL
(21,9),(9,11),(9,14),0.111711 # DEPENDENCYPART_GRANDSIBL
(21,9),(9,11),(9,15),0.11171 # DEPENDENCYPART_GRANDSIBL
(21,9),(9,11),(9,16),0.0898876 # DEPENDENCYPART_GRANDSIBL
(21,9),(9,11),(9,18),0.108445 # DEPENDENCYPART_GRANDSIBL
(21,9),(9,11),(9,19),0.111711 # DEPENDENCYPART_GRANDSIBL
(21,9),(9,11),(9,21),-0.124957 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,9),(9,11),(9,23),-0.125006 # DEPENDENCYPART_GRANDSIBL
(21,9),(9,11),(9,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(21,9),(9,11),(9,25),-0.0337481 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,9),(9,12),(9,13),0.11768 # DEPENDENCYPART_GRANDSIBL
(21,9),(9,12),(9,14),0.11768 # DEPENDENCYPART_GRANDSIBL
(21,9),(9,12),(9,15),0.11768 # DEPENDENCYPART_GRANDSIBL
(21,9),(9,12),(9,16),0.111229 # DEPENDENCYPART_GRANDSIBL
(21,9),(9,12),(9,18),0.111572 # DEPENDENCYPART_GRANDSIBL
(21,9),(9,12),(9,19),0.11768 # DEPENDENCYPART_GRANDSIBL
(21,9),(9,12),(9,21),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,9),(9,12),(9,23),-0.125179 # DEPENDENCYPART_GRANDSIBL
(21,9),(9,12),(9,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(21,9),(9,12),(9,25),-0.082358 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,9),(9,13),(9,14),0.127397 # DEPENDENCYPART_GRANDSIBL
(21,9),(9,13),(9,15),0.137384 # DEPENDENCYPART_GRANDSIBL
(21,9),(9,13),(9,16),0.22437 # DEPENDENCYPART_GRANDSIBL
(21,9),(9,13),(9,18),0.0961802 # DEPENDENCYPART_GRANDSIBL
(21,9),(9,13),(9,19),0.127407 # DEPENDENCYPART_GRANDSIBL
(21,9),(9,13),(9,21),-0.127028 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,9),(9,13),(9,23),-0.125649 # DEPENDENCYPART_GRANDSIBL
(21,9),(9,13),(9,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(21,9),(9,13),(9,25),-0.156454 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,9),(9,14),(9,15),0.137202 # DEPENDENCYPART_GRANDSIBL
(21,9),(9,14),(9,16),0.224337 # DEPENDENCYPART_GRANDSIBL
(21,9),(9,14),(9,18),0.0961802 # DEPENDENCYPART_GRANDSIBL
(21,9),(9,14),(9,19),0.127225 # DEPENDENCYPART_GRANDSIBL
(21,9),(9,14),(9,21),-0.127028 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,9),(9,14),(9,23),-0.125649 # DEPENDENCYPART_GRANDSIBL
(21,9),(9,14),(9,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(21,9),(9,14),(9,25),-0.156549 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,9),(9,15),(9,16),0.223079 # DEPENDENCYPART_GRANDSIBL
(21,9),(9,15),(9,18),0.0961802 # DEPENDENCYPART_GRANDSIBL
(21,9),(9,15),(9,19),0.131003 # DEPENDENCYPART_GRANDSIBL
(21,9),(9,15),(9,21),-0.127028 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,9),(9,15),(9,23),-0.125649 # DEPENDENCYPART_GRANDSIBL
(21,9),(9,15),(9,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(21,9),(9,15),(9,25),-0.147104 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,9),(9,16),(9,18),0.139788 # DEPENDENCYPART_GRANDSIBL
(21,9),(9,16),(9,19),0.219178 # DEPENDENCYPART_GRANDSIBL
(21,9),(9,16),(9,21),-0.149254 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,9),(9,16),(9,23),-0.1302 # DEPENDENCYPART_GRANDSIBL
(21,9),(9,16),(9,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(21,9),(9,16),(9,25),-0.179628 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,9),(9,18),(9,19),0.104569 # DEPENDENCYPART_GRANDSIBL
(21,9),(9,18),(9,21),-0.114493 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,9),(9,18),(9,23),-0.133136 # DEPENDENCYPART_GRANDSIBL
(21,9),(9,18),(9,24),-0.125315 # DEPENDENCYPART_GRANDSIBL
(21,9),(9,18),(9,25),-0.13642 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,9),(9,19),(9,21),-0.127028 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,9),(9,19),(9,23),-0.125649 # DEPENDENCYPART_GRANDSIBL
(21,9),(9,19),(9,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(21,9),(9,19),(9,25),-0.156454 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,9),(9,21),(9,23),-0.133136 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,9),(9,21),(9,24),-0.125315 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,9),(9,21),(9,25),-0.138432 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(21,9),(9,23),(9,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(21,9),(9,23),(9,25),-0.156454 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,9),(9,24),(9,25),-0.132413 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,9),(9,9),(9,8),-0.110452 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,9),(9,9),(9,7),-0.140209 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,9),(9,9),(9,6),-0.0345638 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,9),(9,9),(9,5),-0.0388485 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,9),(9,9),(9,4),0.0206023 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,9),(9,9),(9,3),-0.0642164 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,9),(9,9),(9,2),-0.0876449 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,9),(9,9),(9,1),0.0647821 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,9),(9,9),(9,-1),-0.213499 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(21,9),(9,8),(9,7),-0.0475663 # DEPENDENCYPART_GRANDSIBL
(21,9),(9,8),(9,6),-0.0732281 # DEPENDENCYPART_GRANDSIBL
(21,9),(9,8),(9,5),-0.0728382 # DEPENDENCYPART_GRANDSIBL
(21,9),(9,8),(9,4),-0.0566214 # DEPENDENCYPART_GRANDSIBL
(21,9),(9,8),(9,3),-0.072884 # DEPENDENCYPART_GRANDSIBL
(21,9),(9,8),(9,2),-0.0362537 # DEPENDENCYPART_GRANDSIBL
(21,9),(9,8),(9,1),-0.00424259 # DEPENDENCYPART_GRANDSIBL
(21,9),(9,8),(9,-1),-0.156017 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,9),(9,7),(9,6),-0.0702132 # DEPENDENCYPART_GRANDSIBL
(21,9),(9,7),(9,5),-0.0698233 # DEPENDENCYPART_GRANDSIBL
(21,9),(9,7),(9,4),-0.0601337 # DEPENDENCYPART_GRANDSIBL
(21,9),(9,7),(9,3),-0.0698691 # DEPENDENCYPART_GRANDSIBL
(21,9),(9,7),(9,2),-0.0363242 # DEPENDENCYPART_GRANDSIBL
(21,9),(9,7),(9,1),-0.0061405 # DEPENDENCYPART_GRANDSIBL
(21,9),(9,7),(9,-1),-0.179981 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,9),(9,6),(9,5),0.0246155 # DEPENDENCYPART_GRANDSIBL
(21,9),(9,6),(9,4),-0.106747 # DEPENDENCYPART_GRANDSIBL
(21,9),(9,6),(9,3),0.0237866 # DEPENDENCYPART_GRANDSIBL
(21,9),(9,6),(9,2),0.0248933 # DEPENDENCYPART_GRANDSIBL
(21,9),(9,6),(9,1),-0.0623036 # DEPENDENCYPART_GRANDSIBL
(21,9),(9,6),(9,-1),-0.0149145 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,9),(9,5),(9,4),-0.106747 # DEPENDENCYPART_GRANDSIBL
(21,9),(9,5),(9,3),0.0237845 # DEPENDENCYPART_GRANDSIBL
(21,9),(9,5),(9,2),0.0248933 # DEPENDENCYPART_GRANDSIBL
(21,9),(9,5),(9,1),-0.0617265 # DEPENDENCYPART_GRANDSIBL
(21,9),(9,5),(9,-1),-0.0193843 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,9),(9,4),(9,3),-0.00357578 # DEPENDENCYPART_GRANDSIBL
(21,9),(9,4),(9,2),-0.0605833 # DEPENDENCYPART_GRANDSIBL
(21,9),(9,4),(9,1),-0.124871 # DEPENDENCYPART_GRANDSIBL
(21,9),(9,4),(9,-1),-0.0202752 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,9),(9,3),(9,2),0.023046 # DEPENDENCYPART_GRANDSIBL
(21,9),(9,3),(9,1),-0.0617265 # DEPENDENCYPART_GRANDSIBL
(21,9),(9,3),(9,-1),-0.0413144 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,9),(9,2),(9,1),-0.0381567 # DEPENDENCYPART_GRANDSIBL
(21,9),(9,2),(9,-1),0.0338617 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,9),(9,1),(9,-1),-0.0445643 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,11),(11,11),(11,12),0.0990389 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,11),(11,11),(11,13),0.0991214 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,11),(11,11),(11,14),0.0991206 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,11),(11,11),(11,15),0.0950495 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,11),(11,11),(11,16),0.118604 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,11),(11,11),(11,18),0.170325 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,11),(11,11),(11,19),0.0991214 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,11),(11,11),(11,25),0.0564905 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(21,11),(11,12),(11,13),0.121881 # DEPENDENCYPART_GRANDSIBL
(21,11),(11,12),(11,14),0.121881 # DEPENDENCYPART_GRANDSIBL
(21,11),(11,12),(11,15),0.121881 # DEPENDENCYPART_GRANDSIBL
(21,11),(11,12),(11,16),0.122094 # DEPENDENCYPART_GRANDSIBL
(21,11),(11,12),(11,18),0.119142 # DEPENDENCYPART_GRANDSIBL
(21,11),(11,12),(11,19),0.121881 # DEPENDENCYPART_GRANDSIBL
(21,11),(11,12),(11,25),-0.18093 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,11),(11,13),(11,14),0.114473 # DEPENDENCYPART_GRANDSIBL
(21,11),(11,13),(11,15),0.114474 # DEPENDENCYPART_GRANDSIBL
(21,11),(11,13),(11,16),0.140968 # DEPENDENCYPART_GRANDSIBL
(21,11),(11,13),(11,18),0.11703 # DEPENDENCYPART_GRANDSIBL
(21,11),(11,13),(11,19),0.114474 # DEPENDENCYPART_GRANDSIBL
(21,11),(11,13),(11,25),-0.201837 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,11),(11,14),(11,15),0.114474 # DEPENDENCYPART_GRANDSIBL
(21,11),(11,14),(11,16),0.140968 # DEPENDENCYPART_GRANDSIBL
(21,11),(11,14),(11,18),0.11703 # DEPENDENCYPART_GRANDSIBL
(21,11),(11,14),(11,19),0.114474 # DEPENDENCYPART_GRANDSIBL
(21,11),(11,14),(11,25),-0.201839 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,11),(11,15),(11,16),0.140968 # DEPENDENCYPART_GRANDSIBL
(21,11),(11,15),(11,18),0.11703 # DEPENDENCYPART_GRANDSIBL
(21,11),(11,15),(11,19),0.114474 # DEPENDENCYPART_GRANDSIBL
(21,11),(11,15),(11,25),-0.205912 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,11),(11,16),(11,18),0.116823 # DEPENDENCYPART_GRANDSIBL
(21,11),(11,16),(11,19),0.110041 # DEPENDENCYPART_GRANDSIBL
(21,11),(11,16),(11,25),-0.136903 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,11),(11,18),(11,19),0.117911 # DEPENDENCYPART_GRANDSIBL
(21,11),(11,18),(11,25),-0.059677 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,11),(11,19),(11,25),-0.201837 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,11),(11,11),(11,10),0.0604915 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,11),(11,11),(11,9),0.0401491 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,11),(11,11),(11,-1),-0.159124 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(21,11),(11,10),(11,9),-0.0461368 # DEPENDENCYPART_GRANDSIBL
(21,11),(11,10),(11,-1),-0.0126245 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,11),(11,9),(11,-1),0.00910418 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,16),(16,16),(16,25),-0.0821897 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(21,16),(16,16),(16,-1),0.00568885 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(21,17),(17,17),(17,25),-0.0679907 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(21,17),(17,17),(17,-1),0.00936172 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(21,18),(18,18),(18,19),0.161266 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,18),(18,18),(18,21),-0.106817 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(21,18),(18,18),(18,23),-0.177989 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,18),(18,18),(18,24),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,18),(18,18),(18,25),-0.250013 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(21,18),(18,19),(18,21),-0.12319 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,18),(18,19),(18,23),-0.128004 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,19),(18,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,19),(18,25),-0.122541 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,18),(18,21),(18,23),-0.125469 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,18),(18,21),(18,24),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,18),(18,21),(18,25),-0.121405 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(21,18),(18,23),(18,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,23),(18,25),-0.122541 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,18),(18,24),(18,25),-0.14435 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,18),(18,18),(18,17),-0.0732078 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,18),(18,18),(18,16),-0.124284 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,18),(18,18),(18,15),0.00783262 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,18),(18,18),(18,11),-0.0593194 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,18),(18,18),(18,10),-0.0616192 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,18),(18,18),(18,9),-0.0477247 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,18),(18,18),(18,8),-0.0625991 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,18),(18,18),(18,7),-0.0565544 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,18),(18,18),(18,4),-0.124284 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,18),(18,18),(18,3),0.0151743 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,18),(18,18),(18,1),-0.0706893 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,18),(18,18),(18,-1),0.0454944 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(21,18),(18,17),(18,16),-0.0520672 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,17),(18,15),-0.0424833 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,17),(18,11),-0.0430294 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,17),(18,10),-0.0419992 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,17),(18,9),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,17),(18,8),-0.0419992 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,17),(18,7),-0.0419992 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,17),(18,4),-0.0520672 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,17),(18,3),-0.0424833 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,17),(18,1),-0.0433419 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,17),(18,-1),-0.0965585 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,18),(18,16),(18,15),-0.0708147 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,16),(18,11),-0.0529937 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,16),(18,10),0.0380172 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,16),(18,9),-0.0667797 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,16),(18,8),0.0380658 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,16),(18,7),0.0355315 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,16),(18,4),-0.0303597 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,16),(18,3),-0.070823 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,16),(18,1),-0.0311391 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,16),(18,-1),0.083433 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,18),(18,15),(18,11),-0.0728839 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,15),(18,10),-0.0879991 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,15),(18,9),-0.0140585 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,15),(18,8),-0.0880105 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,15),(18,7),-0.0935106 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,15),(18,4),-0.0753974 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,15),(18,3),-0.00820842 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,15),(18,1),-0.0650269 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,15),(18,-1),-0.077827 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,18),(18,11),(18,10),-0.0676645 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,11),(18,9),-0.0402192 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,11),(18,8),-0.0716891 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,11),(18,7),-0.0597544 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,11),(18,4),0.0439586 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,11),(18,3),-0.0104261 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,11),(18,1),-0.102558 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,11),(18,-1),-0.0169575 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,18),(18,10),(18,9),-0.0398 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,10),(18,8),-0.0115838 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,10),(18,7),-0.0101866 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,10),(18,4),-0.0564606 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,10),(18,3),-0.0673011 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,10),(18,1),-0.0373167 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,10),(18,-1),-0.0674277 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,18),(18,9),(18,8),-0.110944 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,9),(18,7),-0.157485 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,9),(18,4),-0.165216 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,9),(18,3),-0.0480378 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,9),(18,1),-0.250444 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,9),(18,-1),-0.0635501 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,18),(18,8),(18,7),-0.0101987 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,8),(18,4),-0.0566137 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,8),(18,3),-0.0673011 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,8),(18,1),-0.0373176 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,8),(18,-1),-0.0722885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,18),(18,7),(18,4),-0.0507062 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,7),(18,3),-0.0679601 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,7),(18,1),-0.0385756 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,7),(18,-1),-0.0716829 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,18),(18,4),(18,3),-0.070823 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,4),(18,1),-0.0311391 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,4),(18,-1),0.083433 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,18),(18,3),(18,1),-0.0641442 # DEPENDENCYPART_GRANDSIBL
(21,18),(18,3),(18,-1),-0.0742821 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,18),(18,1),(18,-1),-0.0306323 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,19),(19,19),(19,21),-0.0934837 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
