# _root_ `` For $ 10 million , you can move $ 100 million of stocks , '' a specialist on the Big Board gripes .
#goldHeads=8,8,2,3,3,8,8,23,8,9,10,10,10,13,8,8,18,23,18,22,22,19,0,23,
#predictedHeads=23,8,2,3,3,8,8,23,8,9,10,10,10,13,23,23,18,23,18,22,22,19,0,23,
(9,9),(9,16),(9,24),-0.0984163 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,16),(9,25),-0.230363 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(9,9),(9,18),(9,19),0.0781508 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,18),(9,22),-0.0140143 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,18),(9,23),0.0195958 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,18),(9,24),-0.0180325 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,18),(9,25),0.0128172 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(9,9),(9,19),(9,22),-0.0647494 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,19),(9,23),-0.0576541 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,19),(9,24),-0.163208 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,19),(9,25),-0.0666391 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(9,9),(9,22),(9,23),0.0192432 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,22),(9,24),-0.0248822 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,22),(9,25),0.00906753 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(9,9),(9,23),(9,24),0.00941113 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,23),(9,25),0.0219217 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(9,9),(9,24),(9,25),-0.15327 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(9,10),(9,11),(9,12),-0.0453449 # DEPENDENCYPART_TRISIBL
(9,10),(9,11),(9,13),-0.067487 # DEPENDENCYPART_TRISIBL
(9,10),(9,11),(9,14),-0.0871295 # DEPENDENCYPART_TRISIBL
(9,10),(9,11),(9,15),-0.0378965 # DEPENDENCYPART_TRISIBL
(9,10),(9,11),(9,16),-0.0715721 # DEPENDENCYPART_TRISIBL
(9,10),(9,11),(9,18),-0.0871245 # DEPENDENCYPART_TRISIBL
(9,10),(9,11),(9,19),-0.0681763 # DEPENDENCYPART_TRISIBL
(9,10),(9,11),(9,22),-0.0871245 # DEPENDENCYPART_TRISIBL
(9,10),(9,11),(9,23),-0.0885024 # DEPENDENCYPART_TRISIBL
(9,10),(9,11),(9,24),-0.127024 # DEPENDENCYPART_TRISIBL
(9,10),(9,11),(9,25),-0.131047 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,10),(9,12),(9,13),-0.0683356 # DEPENDENCYPART_TRISIBL
(9,10),(9,12),(9,14),-0.088404 # DEPENDENCYPART_TRISIBL
(9,10),(9,12),(9,15),-0.0385334 # DEPENDENCYPART_TRISIBL
(9,10),(9,12),(9,16),-0.0715721 # DEPENDENCYPART_TRISIBL
(9,10),(9,12),(9,18),-0.088399 # DEPENDENCYPART_TRISIBL
(9,10),(9,12),(9,19),-0.0690249 # DEPENDENCYPART_TRISIBL
(9,10),(9,12),(9,22),-0.088399 # DEPENDENCYPART_TRISIBL
(9,10),(9,12),(9,23),-0.0886426 # DEPENDENCYPART_TRISIBL
(9,10),(9,12),(9,24),-0.127024 # DEPENDENCYPART_TRISIBL
(9,10),(9,12),(9,25),-0.130893 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,10),(9,13),(9,14),-0.0957715 # DEPENDENCYPART_TRISIBL
(9,10),(9,13),(9,15),0.00907745 # DEPENDENCYPART_TRISIBL
(9,10),(9,13),(9,16),-0.0712528 # DEPENDENCYPART_TRISIBL
(9,10),(9,13),(9,18),-0.0957665 # DEPENDENCYPART_TRISIBL
(9,10),(9,13),(9,19),-0.0747565 # DEPENDENCYPART_TRISIBL
(9,10),(9,13),(9,22),-0.0957665 # DEPENDENCYPART_TRISIBL
(9,10),(9,13),(9,23),-0.0640527 # DEPENDENCYPART_TRISIBL
(9,10),(9,13),(9,24),-0.124501 # DEPENDENCYPART_TRISIBL
(9,10),(9,13),(9,25),-0.0551506 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,10),(9,14),(9,15),0.0514886 # DEPENDENCYPART_TRISIBL
(9,10),(9,14),(9,16),-0.0711708 # DEPENDENCYPART_TRISIBL
(9,10),(9,14),(9,18),-0.0935252 # DEPENDENCYPART_TRISIBL
(9,10),(9,14),(9,19),-0.0780597 # DEPENDENCYPART_TRISIBL
(9,10),(9,14),(9,22),-0.0935252 # DEPENDENCYPART_TRISIBL
(9,10),(9,14),(9,23),-0.076528 # DEPENDENCYPART_TRISIBL
(9,10),(9,14),(9,24),-0.157548 # DEPENDENCYPART_TRISIBL
(9,10),(9,14),(9,25),-0.0412192 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,10),(9,15),(9,16),-0.07117 # DEPENDENCYPART_TRISIBL
(9,10),(9,15),(9,18),-0.111368 # DEPENDENCYPART_TRISIBL
(9,10),(9,15),(9,19),-0.0995788 # DEPENDENCYPART_TRISIBL
(9,10),(9,15),(9,22),-0.111368 # DEPENDENCYPART_TRISIBL
(9,10),(9,15),(9,23),-0.0494897 # DEPENDENCYPART_TRISIBL
(9,10),(9,15),(9,24),-0.140888 # DEPENDENCYPART_TRISIBL
(9,10),(9,15),(9,25),-0.113103 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,10),(9,16),(9,18),-0.0870278 # DEPENDENCYPART_TRISIBL
(9,10),(9,16),(9,19),-0.064351 # DEPENDENCYPART_TRISIBL
(9,10),(9,16),(9,22),-0.0870278 # DEPENDENCYPART_TRISIBL
(9,10),(9,16),(9,23),-0.0737915 # DEPENDENCYPART_TRISIBL
(9,10),(9,16),(9,24),-0.124244 # DEPENDENCYPART_TRISIBL
(9,10),(9,16),(9,25),-0.0819856 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,10),(9,18),(9,19),-0.0780597 # DEPENDENCYPART_TRISIBL
(9,10),(9,18),(9,22),-0.0935252 # DEPENDENCYPART_TRISIBL
(9,10),(9,18),(9,23),-0.076528 # DEPENDENCYPART_TRISIBL
(9,10),(9,18),(9,24),-0.157548 # DEPENDENCYPART_TRISIBL
(9,10),(9,18),(9,25),-0.0412192 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,10),(9,19),(9,22),-0.094944 # DEPENDENCYPART_TRISIBL
(9,10),(9,19),(9,23),-0.0651625 # DEPENDENCYPART_TRISIBL
(9,10),(9,19),(9,24),-0.110839 # DEPENDENCYPART_TRISIBL
(9,10),(9,19),(9,25),-0.0444391 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,10),(9,22),(9,23),-0.076528 # DEPENDENCYPART_TRISIBL
(9,10),(9,22),(9,24),-0.157548 # DEPENDENCYPART_TRISIBL
(9,10),(9,22),(9,25),-0.0412192 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,10),(9,23),(9,24),-0.130312 # DEPENDENCYPART_TRISIBL
(9,10),(9,23),(9,25),-0.0788979 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,10),(9,24),(9,25),-0.0764935 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,11),(9,12),(9,13),0.0567005 # DEPENDENCYPART_TRISIBL
(9,11),(9,12),(9,14),-0.117827 # DEPENDENCYPART_TRISIBL
(9,11),(9,12),(9,15),-0.0844451 # DEPENDENCYPART_TRISIBL
(9,11),(9,12),(9,16),-0.0517153 # DEPENDENCYPART_TRISIBL
(9,11),(9,12),(9,18),-0.117823 # DEPENDENCYPART_TRISIBL
(9,11),(9,12),(9,19),-0.034776 # DEPENDENCYPART_TRISIBL
(9,11),(9,12),(9,22),-0.117823 # DEPENDENCYPART_TRISIBL
(9,11),(9,12),(9,23),-0.0361858 # DEPENDENCYPART_TRISIBL
(9,11),(9,12),(9,24),-0.0400398 # DEPENDENCYPART_TRISIBL
(9,11),(9,12),(9,25),-0.0143547 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,11),(9,13),(9,14),-0.0972639 # DEPENDENCYPART_TRISIBL
(9,11),(9,13),(9,15),-0.0445984 # DEPENDENCYPART_TRISIBL
(9,11),(9,13),(9,16),-0.053167 # DEPENDENCYPART_TRISIBL
(9,11),(9,13),(9,18),-0.0972548 # DEPENDENCYPART_TRISIBL
(9,11),(9,13),(9,19),-0.0439336 # DEPENDENCYPART_TRISIBL
(9,11),(9,13),(9,22),-0.0972553 # DEPENDENCYPART_TRISIBL
(9,11),(9,13),(9,23),-0.0608846 # DEPENDENCYPART_TRISIBL
(9,11),(9,13),(9,24),0.0108226 # DEPENDENCYPART_TRISIBL
(9,11),(9,13),(9,25),-0.0185639 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,11),(9,14),(9,15),-0.0730538 # DEPENDENCYPART_TRISIBL
(9,11),(9,14),(9,16),-0.0523182 # DEPENDENCYPART_TRISIBL
(9,11),(9,14),(9,18),-0.115993 # DEPENDENCYPART_TRISIBL
(9,11),(9,14),(9,19),-0.0384002 # DEPENDENCYPART_TRISIBL
(9,11),(9,14),(9,22),-0.115993 # DEPENDENCYPART_TRISIBL
(9,11),(9,14),(9,23),-0.0375784 # DEPENDENCYPART_TRISIBL
(9,11),(9,14),(9,24),-3.14191e-05 # DEPENDENCYPART_TRISIBL
(9,11),(9,14),(9,25),-0.0293253 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,11),(9,15),(9,16),-0.0308816 # DEPENDENCYPART_TRISIBL
(9,11),(9,15),(9,18),-0.118819 # DEPENDENCYPART_TRISIBL
(9,11),(9,15),(9,19),-0.0357021 # DEPENDENCYPART_TRISIBL
(9,11),(9,15),(9,22),-0.11882 # DEPENDENCYPART_TRISIBL
(9,11),(9,15),(9,23),-0.0989473 # DEPENDENCYPART_TRISIBL
(9,11),(9,15),(9,24),-0.014589 # DEPENDENCYPART_TRISIBL
(9,11),(9,15),(9,25),-0.046091 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,11),(9,16),(9,18),-0.0990339 # DEPENDENCYPART_TRISIBL
(9,11),(9,16),(9,19),-0.0411766 # DEPENDENCYPART_TRISIBL
(9,11),(9,16),(9,22),-0.0990344 # DEPENDENCYPART_TRISIBL
(9,11),(9,16),(9,23),-0.049923 # DEPENDENCYPART_TRISIBL
(9,11),(9,16),(9,24),-0.0272833 # DEPENDENCYPART_TRISIBL
(9,11),(9,16),(9,25),-0.0315897 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,11),(9,18),(9,19),-0.0384001 # DEPENDENCYPART_TRISIBL
(9,11),(9,18),(9,22),-0.115993 # DEPENDENCYPART_TRISIBL
(9,11),(9,18),(9,23),-0.0374646 # DEPENDENCYPART_TRISIBL
(9,11),(9,18),(9,24),-3.14172e-05 # DEPENDENCYPART_TRISIBL
(9,11),(9,18),(9,25),-0.0293228 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,11),(9,19),(9,22),-0.092956 # DEPENDENCYPART_TRISIBL
(9,11),(9,19),(9,23),-0.0640278 # DEPENDENCYPART_TRISIBL
(9,11),(9,19),(9,24),0.00591741 # DEPENDENCYPART_TRISIBL
(9,11),(9,19),(9,25),-0.0249832 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,11),(9,22),(9,23),-0.0374646 # DEPENDENCYPART_TRISIBL
(9,11),(9,22),(9,24),-3.21526e-05 # DEPENDENCYPART_TRISIBL
(9,11),(9,22),(9,25),-0.0293228 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,11),(9,23),(9,24),-0.0805281 # DEPENDENCYPART_TRISIBL
(9,11),(9,23),(9,25),-0.0117342 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,11),(9,24),(9,25),-0.0121439 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,12),(9,13),(9,14),-0.100847 # DEPENDENCYPART_TRISIBL
(9,12),(9,13),(9,15),-0.0279636 # DEPENDENCYPART_TRISIBL
(9,12),(9,13),(9,16),-0.0531658 # DEPENDENCYPART_TRISIBL
(9,12),(9,13),(9,18),-0.100838 # DEPENDENCYPART_TRISIBL
(9,12),(9,13),(9,19),-0.0587094 # DEPENDENCYPART_TRISIBL
(9,12),(9,13),(9,22),-0.100839 # DEPENDENCYPART_TRISIBL
(9,12),(9,13),(9,23),-0.0602877 # DEPENDENCYPART_TRISIBL
(9,12),(9,13),(9,24),0.012708 # DEPENDENCYPART_TRISIBL
(9,12),(9,13),(9,25),-0.0192673 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,12),(9,14),(9,15),-0.0680203 # DEPENDENCYPART_TRISIBL
(9,12),(9,14),(9,16),-0.0523171 # DEPENDENCYPART_TRISIBL
(9,12),(9,14),(9,18),-0.118633 # DEPENDENCYPART_TRISIBL
(9,12),(9,14),(9,19),-0.0445781 # DEPENDENCYPART_TRISIBL
(9,12),(9,14),(9,22),-0.118634 # DEPENDENCYPART_TRISIBL
(9,12),(9,14),(9,23),-0.0367815 # DEPENDENCYPART_TRISIBL
(9,12),(9,14),(9,24),-0.00218187 # DEPENDENCYPART_TRISIBL
(9,12),(9,14),(9,25),-0.0331552 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,12),(9,15),(9,16),-0.0308805 # DEPENDENCYPART_TRISIBL
(9,12),(9,15),(9,18),-0.125126 # DEPENDENCYPART_TRISIBL
(9,12),(9,15),(9,19),-0.0505718 # DEPENDENCYPART_TRISIBL
(9,12),(9,15),(9,22),-0.125127 # DEPENDENCYPART_TRISIBL
(9,12),(9,15),(9,23),-0.0943473 # DEPENDENCYPART_TRISIBL
(9,12),(9,15),(9,24),-0.0164626 # DEPENDENCYPART_TRISIBL
(9,12),(9,15),(9,25),-0.0662583 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,12),(9,16),(9,18),-0.100705 # DEPENDENCYPART_TRISIBL
(9,12),(9,16),(9,19),-0.0526432 # DEPENDENCYPART_TRISIBL
(9,12),(9,16),(9,22),-0.100705 # DEPENDENCYPART_TRISIBL
(9,12),(9,16),(9,23),-0.0496629 # DEPENDENCYPART_TRISIBL
(9,12),(9,16),(9,24),-0.0286129 # DEPENDENCYPART_TRISIBL
(9,12),(9,16),(9,25),-0.0350959 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,12),(9,18),(9,19),-0.0445781 # DEPENDENCYPART_TRISIBL
(9,12),(9,18),(9,22),-0.118634 # DEPENDENCYPART_TRISIBL
(9,12),(9,18),(9,23),-0.0366678 # DEPENDENCYPART_TRISIBL
(9,12),(9,18),(9,24),-0.00218187 # DEPENDENCYPART_TRISIBL
(9,12),(9,18),(9,25),-0.0331527 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,12),(9,19),(9,22),-0.0965393 # DEPENDENCYPART_TRISIBL
(9,12),(9,19),(9,23),-0.0634309 # DEPENDENCYPART_TRISIBL
(9,12),(9,19),(9,24),0.00780281 # DEPENDENCYPART_TRISIBL
(9,12),(9,19),(9,25),-0.0256867 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,12),(9,22),(9,23),-0.0366678 # DEPENDENCYPART_TRISIBL
(9,12),(9,22),(9,24),-0.00218261 # DEPENDENCYPART_TRISIBL
(9,12),(9,22),(9,25),-0.0331527 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,12),(9,23),(9,24),-0.0839242 # DEPENDENCYPART_TRISIBL
(9,12),(9,23),(9,25),-0.0083755 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,12),(9,24),(9,25),-0.0175078 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,13),(9,14),(9,15),-0.0607517 # DEPENDENCYPART_TRISIBL
(9,13),(9,14),(9,16),-0.109366 # DEPENDENCYPART_TRISIBL
(9,13),(9,14),(9,18),-0.0631042 # DEPENDENCYPART_TRISIBL
(9,13),(9,14),(9,19),-0.119902 # DEPENDENCYPART_TRISIBL
(9,13),(9,14),(9,22),-0.0631307 # DEPENDENCYPART_TRISIBL
(9,13),(9,14),(9,23),-0.0617809 # DEPENDENCYPART_TRISIBL
(9,13),(9,14),(9,24),-0.0780301 # DEPENDENCYPART_TRISIBL
(9,13),(9,14),(9,25),-0.0270986 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,13),(9,15),(9,16),-0.108555 # DEPENDENCYPART_TRISIBL
(9,13),(9,15),(9,18),0.157491 # DEPENDENCYPART_TRISIBL
(9,13),(9,15),(9,19),-0.0762112 # DEPENDENCYPART_TRISIBL
(9,13),(9,15),(9,22),0.157458 # DEPENDENCYPART_TRISIBL
(9,13),(9,15),(9,23),-0.0798752 # DEPENDENCYPART_TRISIBL
(9,13),(9,15),(9,24),-0.102338 # DEPENDENCYPART_TRISIBL
(9,13),(9,15),(9,25),-0.242401 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,13),(9,16),(9,18),-0.00301591 # DEPENDENCYPART_TRISIBL
(9,13),(9,16),(9,19),-0.0987782 # DEPENDENCYPART_TRISIBL
(9,13),(9,16),(9,22),-0.0030386 # DEPENDENCYPART_TRISIBL
(9,13),(9,16),(9,23),-0.0774332 # DEPENDENCYPART_TRISIBL
(9,13),(9,16),(9,24),-0.0972552 # DEPENDENCYPART_TRISIBL
(9,13),(9,16),(9,25),-0.13717 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,13),(9,18),(9,19),-0.11933 # DEPENDENCYPART_TRISIBL
(9,13),(9,18),(9,22),-0.0631303 # DEPENDENCYPART_TRISIBL
(9,13),(9,18),(9,23),-0.0617187 # DEPENDENCYPART_TRISIBL
(9,13),(9,18),(9,24),-0.0770372 # DEPENDENCYPART_TRISIBL
(9,13),(9,18),(9,25),-0.0245801 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,13),(9,19),(9,22),0.0224375 # DEPENDENCYPART_TRISIBL
(9,13),(9,19),(9,23),-0.105086 # DEPENDENCYPART_TRISIBL
(9,13),(9,19),(9,24),-0.0778531 # DEPENDENCYPART_TRISIBL
(9,13),(9,19),(9,25),-0.0791741 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,13),(9,22),(9,23),-0.0617243 # DEPENDENCYPART_TRISIBL
(9,13),(9,22),(9,24),-0.0770398 # DEPENDENCYPART_TRISIBL
(9,13),(9,22),(9,25),-0.0248673 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,13),(9,23),(9,24),-0.113055 # DEPENDENCYPART_TRISIBL
(9,13),(9,23),(9,25),-0.0684296 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,13),(9,24),(9,25),-0.0282369 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,14),(9,15),(9,16),0.0440907 # DEPENDENCYPART_TRISIBL
(9,14),(9,15),(9,18),-0.173884 # DEPENDENCYPART_TRISIBL
(9,14),(9,15),(9,19),-0.00363092 # DEPENDENCYPART_TRISIBL
(9,14),(9,15),(9,22),-0.17384 # DEPENDENCYPART_TRISIBL
(9,14),(9,15),(9,23),-0.0546213 # DEPENDENCYPART_TRISIBL
(9,14),(9,15),(9,24),-0.051178 # DEPENDENCYPART_TRISIBL
(9,14),(9,15),(9,25),-0.0626001 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,14),(9,16),(9,18),-0.123428 # DEPENDENCYPART_TRISIBL
(9,14),(9,16),(9,19),0.0551703 # DEPENDENCYPART_TRISIBL
(9,14),(9,16),(9,22),-0.12353 # DEPENDENCYPART_TRISIBL
(9,14),(9,16),(9,23),-0.0742092 # DEPENDENCYPART_TRISIBL
(9,14),(9,16),(9,24),-0.0643124 # DEPENDENCYPART_TRISIBL
(9,14),(9,16),(9,25),-0.0307849 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,14),(9,18),(9,19),-0.104872 # DEPENDENCYPART_TRISIBL
(9,14),(9,18),(9,22),-0.148388 # DEPENDENCYPART_TRISIBL
(9,14),(9,18),(9,23),-0.0506122 # DEPENDENCYPART_TRISIBL
(9,14),(9,18),(9,24),-0.0651162 # DEPENDENCYPART_TRISIBL
(9,14),(9,18),(9,25),-0.0122291 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,14),(9,19),(9,22),-0.176639 # DEPENDENCYPART_TRISIBL
(9,14),(9,19),(9,23),-0.0693906 # DEPENDENCYPART_TRISIBL
(9,14),(9,19),(9,24),-0.0267016 # DEPENDENCYPART_TRISIBL
(9,14),(9,19),(9,25),-0.0191427 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,14),(9,22),(9,23),-0.0507436 # DEPENDENCYPART_TRISIBL
(9,14),(9,22),(9,24),-0.0651145 # DEPENDENCYPART_TRISIBL
(9,14),(9,22),(9,25),-0.0125712 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,14),(9,23),(9,24),-0.0467675 # DEPENDENCYPART_TRISIBL
(9,14),(9,23),(9,25),-0.0122403 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,14),(9,24),(9,25),0.0184644 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,15),(9,16),(9,18),-0.0333789 # DEPENDENCYPART_TRISIBL
(9,15),(9,16),(9,19),0.0420711 # DEPENDENCYPART_TRISIBL
(9,15),(9,16),(9,22),-0.0333863 # DEPENDENCYPART_TRISIBL
(9,15),(9,16),(9,23),0.0888079 # DEPENDENCYPART_TRISIBL
(9,15),(9,16),(9,24),-0.0600623 # DEPENDENCYPART_TRISIBL
(9,15),(9,16),(9,25),0.0169879 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,15),(9,18),(9,19),-0.0752515 # DEPENDENCYPART_TRISIBL
(9,15),(9,18),(9,22),-0.126191 # DEPENDENCYPART_TRISIBL
(9,15),(9,18),(9,23),-0.0349323 # DEPENDENCYPART_TRISIBL
(9,15),(9,18),(9,24),0.0125766 # DEPENDENCYPART_TRISIBL
(9,15),(9,18),(9,25),0.0234201 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,15),(9,19),(9,22),-0.0995585 # DEPENDENCYPART_TRISIBL
(9,15),(9,19),(9,23),0.0300935 # DEPENDENCYPART_TRISIBL
(9,15),(9,19),(9,24),0.0177661 # DEPENDENCYPART_TRISIBL
(9,15),(9,19),(9,25),-0.0197527 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,15),(9,22),(9,23),-0.0349323 # DEPENDENCYPART_TRISIBL
(9,15),(9,22),(9,24),0.0125757 # DEPENDENCYPART_TRISIBL
(9,15),(9,22),(9,25),0.0205511 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,15),(9,23),(9,24),0.0624975 # DEPENDENCYPART_TRISIBL
(9,15),(9,23),(9,25),0.0257503 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,15),(9,24),(9,25),-0.0992526 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,16),(9,18),(9,19),0.0160498 # DEPENDENCYPART_TRISIBL
(9,16),(9,18),(9,22),-0.0575696 # DEPENDENCYPART_TRISIBL
(9,16),(9,18),(9,23),-0.0760908 # DEPENDENCYPART_TRISIBL
(9,16),(9,18),(9,24),-0.151922 # DEPENDENCYPART_TRISIBL
(9,16),(9,18),(9,25),0.0618222 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,16),(9,19),(9,22),-0.0638198 # DEPENDENCYPART_TRISIBL
(9,16),(9,19),(9,23),-0.0504093 # DEPENDENCYPART_TRISIBL
(9,16),(9,19),(9,24),-0.157749 # DEPENDENCYPART_TRISIBL
(9,16),(9,19),(9,25),-0.0167231 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,16),(9,22),(9,23),-0.0760908 # DEPENDENCYPART_TRISIBL
(9,16),(9,22),(9,24),-0.151922 # DEPENDENCYPART_TRISIBL
(9,16),(9,22),(9,25),0.0618254 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,16),(9,23),(9,24),-0.121307 # DEPENDENCYPART_TRISIBL
(9,16),(9,23),(9,25),-0.0200633 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,16),(9,24),(9,25),-0.0964528 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,18),(9,19),(9,22),-0.179432 # DEPENDENCYPART_TRISIBL
(9,18),(9,19),(9,23),-0.0734114 # DEPENDENCYPART_TRISIBL
(9,18),(9,19),(9,24),-0.0339158 # DEPENDENCYPART_TRISIBL
(9,18),(9,19),(9,25),-0.0352557 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,18),(9,22),(9,23),-0.0540776 # DEPENDENCYPART_TRISIBL
(9,18),(9,22),(9,24),-0.0656922 # DEPENDENCYPART_TRISIBL
(9,18),(9,22),(9,25),-0.0358921 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,18),(9,23),(9,24),-0.0429281 # DEPENDENCYPART_TRISIBL
(9,18),(9,23),(9,25),-0.040101 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,18),(9,24),(9,25),0.00260323 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,19),(9,22),(9,23),-0.0476429 # DEPENDENCYPART_TRISIBL
(9,19),(9,22),(9,24),-0.0349538 # DEPENDENCYPART_TRISIBL
(9,19),(9,22),(9,25),0.00617417 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,19),(9,23),(9,24),-0.0961954 # DEPENDENCYPART_TRISIBL
(9,19),(9,23),(9,25),-0.0331986 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,19),(9,24),(9,25),-0.0294067 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,22),(9,23),(9,24),-0.0336459 # DEPENDENCYPART_TRISIBL
(9,22),(9,23),(9,25),-0.0450634 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,22),(9,24),(9,25),-0.00630845 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,23),(9,24),(9,25),0.0129084 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,9),(9,8),(9,7),-0.133173 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,8),(9,6),-0.0507019 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,8),(9,5),-0.143856 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,8),(9,2),-0.289829 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,8),(9,1),-0.16159 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,8),(9,-1),-0.123572 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,9),(9,7),(9,6),-0.0424571 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,7),(9,5),-0.154609 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,7),(9,2),-0.276639 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,7),(9,1),-0.112285 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,7),(9,-1),-0.0699605 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,9),(9,6),(9,5),-0.1989 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,6),(9,2),-0.293207 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,6),(9,1),-0.163976 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,6),(9,-1),-0.364107 # DEPENDENCYPART_TRISIBL_LAST_SIBS
