# _root_ The establishment of the separate company , to be called Courtaulds Textiles , could be effective as early as next year 's first quarter .
#goldHeads=2,14,2,6,6,3,6,9,6,9,12,10,6,0,14,15,15,17,17,21,24,21,24,19,14,
#predictedHeads=2,14,2,6,6,3,6,9,6,9,12,10,6,0,14,15,15,17,17,21,24,21,24,19,14,
(15,15),(15,13),(15,2),-0.266106 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,13),(15,-1),-0.392989 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,15),(15,9),(15,6),0.0204862 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,9),(15,2),0.0231737 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,9),(15,-1),-0.10048 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,15),(15,6),(15,2),-0.0622543 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(15,15),(15,6),(15,-1),-0.045928 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,15),(15,2),(15,-1),-0.0413263 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,14),(15,13),(15,9),-0.157414 # DEPENDENCYPART_TRISIBL
(15,14),(15,13),(15,6),-0.102698 # DEPENDENCYPART_TRISIBL
(15,14),(15,13),(15,2),-0.102698 # DEPENDENCYPART_TRISIBL
(15,14),(15,13),(15,-1),-0.132118 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,14),(15,9),(15,6),-0.100892 # DEPENDENCYPART_TRISIBL
(15,14),(15,9),(15,2),-0.100892 # DEPENDENCYPART_TRISIBL
(15,14),(15,9),(15,-1),-0.125268 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,14),(15,6),(15,2),-0.101839 # DEPENDENCYPART_TRISIBL
(15,14),(15,6),(15,-1),-0.057015 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,14),(15,2),(15,-1),-0.0588188 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,13),(15,9),(15,6),-0.203693 # DEPENDENCYPART_TRISIBL
(15,13),(15,9),(15,2),-0.217547 # DEPENDENCYPART_TRISIBL
(15,13),(15,9),(15,-1),-0.0387364 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,13),(15,6),(15,2),-0.163655 # DEPENDENCYPART_TRISIBL
(15,13),(15,6),(15,-1),-0.0291262 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,13),(15,2),(15,-1),-0.023083 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,9),(15,6),(15,2),-0.120967 # DEPENDENCYPART_TRISIBL
(15,9),(15,6),(15,-1),-0.0598818 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,9),(15,2),(15,-1),-0.0640826 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(15,6),(15,2),(15,-1),-0.136518 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,16),(16,17),(16,18),-0.0680949 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,17),(16,19),-0.0776381 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,17),(16,20),-0.0974413 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,17),(16,21),-0.0829994 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,17),(16,23),-0.0812589 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,17),(16,24),-0.121194 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,17),(16,25),-0.131491 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,17),(16,26),-0.110802 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(16,16),(16,18),(16,19),-0.102191 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,18),(16,20),-0.094265 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,18),(16,21),-0.10423 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,18),(16,23),-0.0780826 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,18),(16,24),-0.142425 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,18),(16,25),-0.12225 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,18),(16,26),-0.149109 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(16,16),(16,19),(16,20),-0.0833337 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,19),(16,21),-0.0651735 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,19),(16,23),-0.0790631 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,19),(16,24),-0.105505 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,19),(16,25),-0.145342 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,19),(16,26),-0.0994926 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(16,16),(16,20),(16,21),-0.0944345 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,20),(16,23),-0.0669324 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,20),(16,24),-0.142387 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,20),(16,25),-0.123944 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,20),(16,26),-0.098653 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(16,16),(16,21),(16,23),-0.0776382 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,21),(16,24),-0.150503 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,21),(16,25),-0.0910322 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,21),(16,26),-0.065103 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(16,16),(16,23),(16,24),-0.139959 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,23),(16,25),-0.122554 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,23),(16,26),-0.0751313 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(16,16),(16,24),(16,25),-0.0886215 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,24),(16,26),-0.0382498 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(16,16),(16,25),(16,26),-0.183591 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(16,17),(16,18),(16,19),-0.0823658 # DEPENDENCYPART_TRISIBL
(16,17),(16,18),(16,20),-0.0406631 # DEPENDENCYPART_TRISIBL
(16,17),(16,18),(16,21),-0.0252773 # DEPENDENCYPART_TRISIBL
(16,17),(16,18),(16,23),-0.0402114 # DEPENDENCYPART_TRISIBL
(16,17),(16,18),(16,24),-0.0378033 # DEPENDENCYPART_TRISIBL
(16,17),(16,18),(16,25),-0.0675997 # DEPENDENCYPART_TRISIBL
(16,17),(16,18),(16,26),-0.0869883 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,17),(16,19),(16,20),-0.0490134 # DEPENDENCYPART_TRISIBL
(16,17),(16,19),(16,21),-0.0284464 # DEPENDENCYPART_TRISIBL
(16,17),(16,19),(16,23),-0.0473693 # DEPENDENCYPART_TRISIBL
(16,17),(16,19),(16,24),-0.0351705 # DEPENDENCYPART_TRISIBL
(16,17),(16,19),(16,25),-0.0744779 # DEPENDENCYPART_TRISIBL
(16,17),(16,19),(16,26),-0.0491922 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,17),(16,20),(16,21),-0.0671532 # DEPENDENCYPART_TRISIBL
(16,17),(16,20),(16,23),-0.0551373 # DEPENDENCYPART_TRISIBL
(16,17),(16,20),(16,24),-0.0724644 # DEPENDENCYPART_TRISIBL
(16,17),(16,20),(16,25),-0.0560147 # DEPENDENCYPART_TRISIBL
(16,17),(16,20),(16,26),-0.0539397 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,17),(16,21),(16,23),-0.0464115 # DEPENDENCYPART_TRISIBL
(16,17),(16,21),(16,24),-0.0678985 # DEPENDENCYPART_TRISIBL
(16,17),(16,21),(16,25),-0.0703401 # DEPENDENCYPART_TRISIBL
(16,17),(16,21),(16,26),-0.0116483 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,17),(16,23),(16,24),-0.0724637 # DEPENDENCYPART_TRISIBL
(16,17),(16,23),(16,25),-0.0534691 # DEPENDENCYPART_TRISIBL
(16,17),(16,23),(16,26),-0.0549009 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,17),(16,24),(16,25),-0.0577935 # DEPENDENCYPART_TRISIBL
(16,17),(16,24),(16,26),-0.0220282 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,17),(16,25),(16,26),-0.0942711 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,18),(16,19),(16,20),-0.0488122 # DEPENDENCYPART_TRISIBL
(16,18),(16,19),(16,21),-0.0361312 # DEPENDENCYPART_TRISIBL
(16,18),(16,19),(16,23),-0.0471681 # DEPENDENCYPART_TRISIBL
(16,18),(16,19),(16,24),-0.0428553 # DEPENDENCYPART_TRISIBL
(16,18),(16,19),(16,25),-0.0675916 # DEPENDENCYPART_TRISIBL
(16,18),(16,19),(16,26),-0.0664964 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,18),(16,20),(16,21),-0.0716471 # DEPENDENCYPART_TRISIBL
(16,18),(16,20),(16,23),-0.0547874 # DEPENDENCYPART_TRISIBL
(16,18),(16,20),(16,24),-0.0769582 # DEPENDENCYPART_TRISIBL
(16,18),(16,20),(16,25),-0.0471592 # DEPENDENCYPART_TRISIBL
(16,18),(16,20),(16,26),-0.0716987 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,18),(16,21),(16,23),-0.0464358 # DEPENDENCYPART_TRISIBL
(16,18),(16,21),(16,24),-0.0753874 # DEPENDENCYPART_TRISIBL
(16,18),(16,21),(16,25),-0.0653936 # DEPENDENCYPART_TRISIBL
(16,18),(16,21),(16,26),-0.0443899 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,18),(16,23),(16,24),-0.0769576 # DEPENDENCYPART_TRISIBL
(16,18),(16,23),(16,25),-0.0446136 # DEPENDENCYPART_TRISIBL
(16,18),(16,23),(16,26),-0.0726599 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,18),(16,24),(16,25),-0.052847 # DEPENDENCYPART_TRISIBL
(16,18),(16,24),(16,26),-0.0547698 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,18),(16,25),(16,26),-0.126185 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,19),(16,20),(16,21),-0.0468255 # DEPENDENCYPART_TRISIBL
(16,19),(16,20),(16,23),-0.0508759 # DEPENDENCYPART_TRISIBL
(16,19),(16,20),(16,24),-0.0413443 # DEPENDENCYPART_TRISIBL
(16,19),(16,20),(16,25),-0.0762956 # DEPENDENCYPART_TRISIBL
(16,19),(16,20),(16,26),-0.0812871 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,19),(16,21),(16,23),-0.0519659 # DEPENDENCYPART_TRISIBL
(16,19),(16,21),(16,24),-0.0486007 # DEPENDENCYPART_TRISIBL
(16,19),(16,21),(16,25),-0.0588214 # DEPENDENCYPART_TRISIBL
(16,19),(16,21),(16,26),-0.0409951 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,19),(16,23),(16,24),-0.0415755 # DEPENDENCYPART_TRISIBL
(16,19),(16,23),(16,25),-0.076904 # DEPENDENCYPART_TRISIBL
(16,19),(16,23),(16,26),-0.0850017 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,19),(16,24),(16,25),-0.0594806 # DEPENDENCYPART_TRISIBL
(16,19),(16,24),(16,26),-0.0376482 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,19),(16,25),(16,26),-0.0669419 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,20),(16,21),(16,23),-0.0812721 # DEPENDENCYPART_TRISIBL
(16,20),(16,21),(16,24),-0.0494129 # DEPENDENCYPART_TRISIBL
(16,20),(16,21),(16,25),-0.0913734 # DEPENDENCYPART_TRISIBL
(16,20),(16,21),(16,26),-0.0717074 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,20),(16,23),(16,24),-0.0555076 # DEPENDENCYPART_TRISIBL
(16,20),(16,23),(16,25),-0.0789784 # DEPENDENCYPART_TRISIBL
(16,20),(16,23),(16,26),-0.0781798 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,20),(16,24),(16,25),-0.0925701 # DEPENDENCYPART_TRISIBL
(16,20),(16,24),(16,26),-0.079885 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,20),(16,25),(16,26),-0.0919512 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,21),(16,23),(16,24),-0.0831368 # DEPENDENCYPART_TRISIBL
(16,21),(16,23),(16,25),-0.0469489 # DEPENDENCYPART_TRISIBL
(16,21),(16,23),(16,26),-0.0671301 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,21),(16,24),(16,25),-0.0722575 # DEPENDENCYPART_TRISIBL
(16,21),(16,24),(16,26),-0.090161 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,21),(16,25),(16,26),-0.099284 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,23),(16,24),(16,25),-0.0868835 # DEPENDENCYPART_TRISIBL
(16,23),(16,24),(16,26),-0.0788808 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,23),(16,25),(16,26),-0.089707 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,24),(16,25),(16,26),-0.0767264 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,16),(16,15),(16,13),-0.0483678 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,15),(16,12),-0.0203152 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,15),(16,6),-0.0337478 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,15),(16,2),-0.0199901 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,15),(16,-1),-0.249121 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,16),(16,13),(16,12),0.0242095 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,13),(16,6),0.0202358 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,13),(16,2),0.0245386 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,13),(16,-1),-0.453133 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,16),(16,12),(16,6),-0.12799 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,12),(16,2),-0.117359 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,12),(16,-1),-0.0952183 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,16),(16,6),(16,2),-0.117984 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(16,16),(16,6),(16,-1),-0.102353 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,16),(16,2),(16,-1),-0.0942989 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,15),(16,13),(16,12),-0.0519418 # DEPENDENCYPART_TRISIBL
(16,15),(16,13),(16,6),-0.0457007 # DEPENDENCYPART_TRISIBL
(16,15),(16,13),(16,2),-0.0519418 # DEPENDENCYPART_TRISIBL
(16,15),(16,13),(16,-1),-0.181107 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,15),(16,12),(16,6),-0.078204 # DEPENDENCYPART_TRISIBL
(16,15),(16,12),(16,2),-0.0912875 # DEPENDENCYPART_TRISIBL
(16,15),(16,12),(16,-1),-0.101037 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,15),(16,6),(16,2),-0.0920418 # DEPENDENCYPART_TRISIBL
(16,15),(16,6),(16,-1),-0.09629 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,15),(16,2),(16,-1),-0.101038 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,13),(16,12),(16,6),0.0852794 # DEPENDENCYPART_TRISIBL
(16,13),(16,12),(16,2),0.0728897 # DEPENDENCYPART_TRISIBL
(16,13),(16,12),(16,-1),-0.141 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,13),(16,6),(16,2),0.0727161 # DEPENDENCYPART_TRISIBL
(16,13),(16,6),(16,-1),-0.150306 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,13),(16,2),(16,-1),-0.142187 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,12),(16,6),(16,2),-0.152256 # DEPENDENCYPART_TRISIBL
(16,12),(16,6),(16,-1),-0.0768305 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,12),(16,2),(16,-1),-0.0803939 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,6),(16,2),(16,-1),-0.0885849 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(17,17),(17,18),(17,19),-0.0103479 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(17,17),(17,18),(17,20),0.0092081 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(17,17),(17,18),(17,21),-0.102056 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(17,17),(17,18),(17,24),-0.151991 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(17,17),(17,18),(17,25),-0.201151 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(17,17),(17,18),(17,26),-0.124881 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(17,17),(17,19),(17,20),-0.0462362 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(17,17),(17,19),(17,21),-0.074791 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(17,17),(17,19),(17,24),-0.126863 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(17,17),(17,19),(17,25),-0.197219 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(17,17),(17,19),(17,26),-0.173232 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(17,17),(17,20),(17,21),-0.0997489 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(17,17),(17,20),(17,24),-0.159442 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(17,17),(17,20),(17,25),-0.169438 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(17,17),(17,20),(17,26),-0.201914 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(17,17),(17,21),(17,24),-0.151242 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(17,17),(17,21),(17,25),-0.120339 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(17,17),(17,21),(17,26),-0.113371 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(17,17),(17,24),(17,25),-0.117928 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(17,17),(17,24),(17,26),-0.0916654 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(17,17),(17,25),(17,26),-0.257417 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(17,18),(17,19),(17,20),-0.0365252 # DEPENDENCYPART_TRISIBL
(17,18),(17,19),(17,21),0.071283 # DEPENDENCYPART_TRISIBL
(17,18),(17,19),(17,24),0.0645766 # DEPENDENCYPART_TRISIBL
(17,18),(17,19),(17,25),-0.0865672 # DEPENDENCYPART_TRISIBL
(17,18),(17,19),(17,26),-0.07381 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(17,18),(17,20),(17,21),-0.0493045 # DEPENDENCYPART_TRISIBL
(17,18),(17,20),(17,24),-0.0545979 # DEPENDENCYPART_TRISIBL
(17,18),(17,20),(17,25),-0.056489 # DEPENDENCYPART_TRISIBL
(17,18),(17,20),(17,26),-0.0134317 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(17,18),(17,21),(17,24),-0.0494679 # DEPENDENCYPART_TRISIBL
(17,18),(17,21),(17,25),-0.0927865 # DEPENDENCYPART_TRISIBL
(17,18),(17,21),(17,26),-0.00934292 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(17,18),(17,24),(17,25),-0.0802399 # DEPENDENCYPART_TRISIBL
(17,18),(17,24),(17,26),-0.0277921 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(17,18),(17,25),(17,26),-0.116856 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(17,19),(17,20),(17,21),-0.0490275 # DEPENDENCYPART_TRISIBL
(17,19),(17,20),(17,24),-0.0437125 # DEPENDENCYPART_TRISIBL
(17,19),(17,20),(17,25),-0.0870644 # DEPENDENCYPART_TRISIBL
(17,19),(17,20),(17,26),-0.0733276 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(17,19),(17,21),(17,24),-0.0489099 # DEPENDENCYPART_TRISIBL
(17,19),(17,21),(17,25),-0.0696209 # DEPENDENCYPART_TRISIBL
(17,19),(17,21),(17,26),0.0246044 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(17,19),(17,24),(17,25),-0.0702804 # DEPENDENCYPART_TRISIBL
(17,19),(17,24),(17,26),0.0299894 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(17,19),(17,25),(17,26),-0.0677665 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(17,20),(17,21),(17,24),-0.0593416 # DEPENDENCYPART_TRISIBL
(17,20),(17,21),(17,25),-0.091484 # DEPENDENCYPART_TRISIBL
(17,20),(17,21),(17,26),-0.100604 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(17,20),(17,24),(17,25),-0.0926806 # DEPENDENCYPART_TRISIBL
(17,20),(17,24),(17,26),-0.10827 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(17,20),(17,25),(17,26),-0.108843 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(17,21),(17,24),(17,25),-0.0711409 # DEPENDENCYPART_TRISIBL
(17,21),(17,24),(17,26),-0.11892 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(17,21),(17,25),(17,26),-0.125344 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(17,24),(17,25),(17,26),-0.103465 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(17,17),(17,16),(17,15),-0.142024 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(17,17),(17,16),(17,13),-0.12966 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(17,17),(17,16),(17,12),-0.16472 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(17,17),(17,16),(17,11),-0.165078 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(17,17),(17,16),(17,9),-0.142024 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(17,17),(17,16),(17,8),-0.19206 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(17,17),(17,16),(17,6),-0.172905 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(17,17),(17,16),(17,2),-0.164394 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(17,17),(17,16),(17,-1),-0.203347 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(17,17),(17,15),(17,13),-0.0932409 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(17,17),(17,15),(17,12),-0.0461974 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(17,17),(17,15),(17,11),-0.0465605 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(17,17),(17,15),(17,9),-0.145508 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(17,17),(17,15),(17,8),-0.0977882 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(17,17),(17,15),(17,6),-0.0555898 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(17,17),(17,15),(17,2),-0.0458721 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(17,17),(17,15),(17,-1),-0.13822 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(17,17),(17,13),(17,12),-0.157111 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(17,17),(17,13),(17,11),-0.157465 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(17,17),(17,13),(17,9),-0.173599 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(17,17),(17,13),(17,8),-0.227534 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(17,17),(17,13),(17,6),-0.157045 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(17,17),(17,13),(17,2),-0.156782 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(17,17),(17,13),(17,-1),-0.320912 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(17,17),(17,12),(17,11),-0.16823 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(17,17),(17,12),(17,9),-0.118128 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(17,17),(17,12),(17,8),-0.231964 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(17,17),(17,12),(17,6),-0.17377 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(17,17),(17,12),(17,2),-0.167179 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(17,17),(17,12),(17,-1),-0.104234 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(17,17),(17,11),(17,9),-0.118128 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(17,17),(17,11),(17,8),-0.231964 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(17,17),(17,11),(17,6),-0.173841 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(17,17),(17,11),(17,2),-0.16725 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(17,17),(17,11),(17,-1),-0.107736 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(17,17),(17,9),(17,8),-0.0977882 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(17,17),(17,9),(17,6),-0.0555898 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(17,17),(17,9),(17,2),-0.0458721 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(17,17),(17,9),(17,-1),-0.13822 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(17,17),(17,8),(17,6),-0.171716 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(17,17),(17,8),(17,2),-0.179731 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(17,17),(17,8),(17,-1),-0.246345 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(17,17),(17,6),(17,2),-0.167313 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(17,17),(17,6),(17,-1),-0.108594 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(17,17),(17,2),(17,-1),-0.103315 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(17,16),(17,15),(17,13),-0.0877481 # DEPENDENCYPART_TRISIBL
(17,16),(17,15),(17,12),-0.0925754 # DEPENDENCYPART_TRISIBL
(17,16),(17,15),(17,11),-0.0925754 # DEPENDENCYPART_TRISIBL
(17,16),(17,15),(17,9),-0.109173 # DEPENDENCYPART_TRISIBL
(17,16),(17,15),(17,8),-0.121753 # DEPENDENCYPART_TRISIBL
(17,16),(17,15),(17,6),-0.0983022 # DEPENDENCYPART_TRISIBL
(17,16),(17,15),(17,2),-0.0925754 # DEPENDENCYPART_TRISIBL
(17,16),(17,15),(17,-1),-0.155445 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(17,16),(17,13),(17,12),-0.112198 # DEPENDENCYPART_TRISIBL
(17,16),(17,13),(17,11),-0.112198 # DEPENDENCYPART_TRISIBL
(17,16),(17,13),(17,9),-0.0589401 # DEPENDENCYPART_TRISIBL
