# _root_ For the year ended March 31 , Dentsu sales rose 19 % to $ 8.9 billion from $ 7.5 billion , and net income jumped 59 % to $ 102 million from $ 64 million .
#goldHeads=22,3,1,3,4,5,22,9,10,22,12,10,10,13,14,14,10,17,18,18,22,0,24,25,22,27,25,25,28,29,29,25,32,33,33,22,
#predictedHeads=10,3,1,3,4,5,10,9,10,22,12,10,10,13,14,14,10,17,18,18,22,0,24,25,22,27,25,25,28,29,29,25,32,33,33,22,
(14,24),(18,23),0.0828418 # DEPENDENCYPART_HEADBIGRAM
(14,24),(19,23),0.0807812 # DEPENDENCYPART_HEADBIGRAM
(14,24),(22,23),0.0752966 # DEPENDENCYPART_HEADBIGRAM
(14,24),(24,23),0.0978594 # DEPENDENCYPART_HEADBIGRAM
(14,24),(25,23),0.080199 # DEPENDENCYPART_HEADBIGRAM
(14,24),(26,23),0.074246 # DEPENDENCYPART_HEADBIGRAM
(14,24),(27,23),0.0739255 # DEPENDENCYPART_HEADBIGRAM
(14,25),(13,24),-0.0576352 # DEPENDENCYPART_HEADBIGRAM
(14,25),(14,24),0.0895263 # DEPENDENCYPART_HEADBIGRAM
(14,25),(17,24),0.082158 # DEPENDENCYPART_HEADBIGRAM
(14,25),(18,24),0.104972 # DEPENDENCYPART_HEADBIGRAM
(14,25),(19,24),0.0545677 # DEPENDENCYPART_HEADBIGRAM
(14,25),(22,24),0.115123 # DEPENDENCYPART_HEADBIGRAM
(14,25),(23,24),0.118193 # DEPENDENCYPART_HEADBIGRAM
(14,25),(25,24),0.0888849 # DEPENDENCYPART_HEADBIGRAM
(14,25),(26,24),0.0774963 # DEPENDENCYPART_HEADBIGRAM
(14,25),(27,24),0.0712411 # DEPENDENCYPART_HEADBIGRAM
(15,11),(0,10),-0.0500324 # DEPENDENCYPART_HEADBIGRAM
(15,11),(3,10),-0.114226 # DEPENDENCYPART_HEADBIGRAM
(15,11),(4,10),-0.113731 # DEPENDENCYPART_HEADBIGRAM
(15,11),(5,10),-0.098091 # DEPENDENCYPART_HEADBIGRAM
(15,11),(6,10),-0.0946943 # DEPENDENCYPART_HEADBIGRAM
(15,11),(8,10),-0.108831 # DEPENDENCYPART_HEADBIGRAM
(15,11),(9,10),-0.109088 # DEPENDENCYPART_HEADBIGRAM
(15,11),(12,10),-0.110365 # DEPENDENCYPART_HEADBIGRAM
(15,11),(22,10),0.105272 # DEPENDENCYPART_HEADBIGRAM
(15,11),(25,10),0.0839904 # DEPENDENCYPART_HEADBIGRAM
(15,12),(5,11),-0.101288 # DEPENDENCYPART_HEADBIGRAM
(15,12),(9,11),-0.0955345 # DEPENDENCYPART_HEADBIGRAM
(15,12),(10,11),-0.0940653 # DEPENDENCYPART_HEADBIGRAM
(15,12),(12,11),-0.0341407 # DEPENDENCYPART_HEADBIGRAM
(15,12),(13,11),-0.107774 # DEPENDENCYPART_HEADBIGRAM
(15,12),(14,11),-0.108247 # DEPENDENCYPART_HEADBIGRAM
(15,12),(15,11),0.118858 # DEPENDENCYPART_HEADBIGRAM
(15,12),(22,11),0.0868542 # DEPENDENCYPART_HEADBIGRAM
(15,12),(25,11),0.0875802 # DEPENDENCYPART_HEADBIGRAM
(15,13),(5,12),-0.0985128 # DEPENDENCYPART_HEADBIGRAM
(15,13),(9,12),-0.0999124 # DEPENDENCYPART_HEADBIGRAM
(15,13),(10,12),-0.152682 # DEPENDENCYPART_HEADBIGRAM
(15,13),(11,12),-0.144927 # DEPENDENCYPART_HEADBIGRAM
(15,13),(13,12),-0.114618 # DEPENDENCYPART_HEADBIGRAM
(15,13),(14,12),-0.10689 # DEPENDENCYPART_HEADBIGRAM
(15,13),(15,12),0.0959085 # DEPENDENCYPART_HEADBIGRAM
(15,13),(17,12),0.0761408 # DEPENDENCYPART_HEADBIGRAM
(15,13),(22,12),0.106219 # DEPENDENCYPART_HEADBIGRAM
(15,13),(25,12),0.086911 # DEPENDENCYPART_HEADBIGRAM
(15,14),(0,13),-0.0979882 # DEPENDENCYPART_HEADBIGRAM
(15,14),(4,13),-0.0797162 # DEPENDENCYPART_HEADBIGRAM
(15,14),(9,13),-0.0807396 # DEPENDENCYPART_HEADBIGRAM
(15,14),(10,13),-0.0633556 # DEPENDENCYPART_HEADBIGRAM
(15,14),(12,13),-0.0766865 # DEPENDENCYPART_HEADBIGRAM
(15,14),(14,13),-0.125018 # DEPENDENCYPART_HEADBIGRAM
(15,14),(15,13),0.0856456 # DEPENDENCYPART_HEADBIGRAM
(15,14),(17,13),0.0771003 # DEPENDENCYPART_HEADBIGRAM
(15,14),(22,13),0.137073 # DEPENDENCYPART_HEADBIGRAM
(15,14),(25,13),0.103914 # DEPENDENCYPART_HEADBIGRAM
(15,16),(10,15),-0.0818572 # DEPENDENCYPART_HEADBIGRAM
(15,16),(12,15),-0.075685 # DEPENDENCYPART_HEADBIGRAM
(15,16),(13,15),-0.11388 # DEPENDENCYPART_HEADBIGRAM
(15,16),(14,15),-0.0852004 # DEPENDENCYPART_HEADBIGRAM
(15,16),(16,15),0.0369691 # DEPENDENCYPART_HEADBIGRAM
(15,16),(17,15),0.0646869 # DEPENDENCYPART_HEADBIGRAM
(15,16),(18,15),0.0808677 # DEPENDENCYPART_HEADBIGRAM
(15,16),(19,15),0.080755 # DEPENDENCYPART_HEADBIGRAM
(15,16),(22,15),0.079995 # DEPENDENCYPART_HEADBIGRAM
(15,16),(25,15),0.0719691 # DEPENDENCYPART_HEADBIGRAM
(15,17),(12,16),-0.0614389 # DEPENDENCYPART_HEADBIGRAM
(15,17),(13,16),-0.0616622 # DEPENDENCYPART_HEADBIGRAM
(15,17),(14,16),-0.0694516 # DEPENDENCYPART_HEADBIGRAM
(15,17),(15,16),0.0717582 # DEPENDENCYPART_HEADBIGRAM
(15,17),(17,16),0.0669535 # DEPENDENCYPART_HEADBIGRAM
(15,17),(18,16),0.0747656 # DEPENDENCYPART_HEADBIGRAM
(15,17),(19,16),0.0775268 # DEPENDENCYPART_HEADBIGRAM
(15,17),(20,16),0.0775268 # DEPENDENCYPART_HEADBIGRAM
(15,17),(22,16),0.0793547 # DEPENDENCYPART_HEADBIGRAM
(15,17),(25,16),0.0793619 # DEPENDENCYPART_HEADBIGRAM
(15,18),(4,17),0.000540114 # DEPENDENCYPART_HEADBIGRAM
(15,18),(10,17),-0.00363542 # DEPENDENCYPART_HEADBIGRAM
(15,18),(12,17),-0.05081 # DEPENDENCYPART_HEADBIGRAM
(15,18),(13,17),-0.0484042 # DEPENDENCYPART_HEADBIGRAM
(15,18),(14,17),-0.0637663 # DEPENDENCYPART_HEADBIGRAM
(15,18),(15,17),0.0777312 # DEPENDENCYPART_HEADBIGRAM
(15,18),(16,17),0.0868523 # DEPENDENCYPART_HEADBIGRAM
(15,18),(18,17),0.0935999 # DEPENDENCYPART_HEADBIGRAM
(15,18),(22,17),0.0580392 # DEPENDENCYPART_HEADBIGRAM
(15,18),(25,17),0.139851 # DEPENDENCYPART_HEADBIGRAM
(15,19),(10,18),-0.0690375 # DEPENDENCYPART_HEADBIGRAM
(15,19),(14,18),-0.0607826 # DEPENDENCYPART_HEADBIGRAM
(15,19),(15,18),0.0873877 # DEPENDENCYPART_HEADBIGRAM
(15,19),(16,18),0.0907995 # DEPENDENCYPART_HEADBIGRAM
(15,19),(17,18),0.0871415 # DEPENDENCYPART_HEADBIGRAM
(15,19),(19,18),0.125823 # DEPENDENCYPART_HEADBIGRAM
(15,19),(20,18),0.0802963 # DEPENDENCYPART_HEADBIGRAM
(15,19),(22,18),0.0735532 # DEPENDENCYPART_HEADBIGRAM
(15,19),(24,18),0.0769857 # DEPENDENCYPART_HEADBIGRAM
(15,19),(25,18),0.0700334 # DEPENDENCYPART_HEADBIGRAM
(15,20),(12,19),-0.0590205 # DEPENDENCYPART_HEADBIGRAM
(15,20),(15,19),0.0775051 # DEPENDENCYPART_HEADBIGRAM
(15,20),(16,19),0.0945816 # DEPENDENCYPART_HEADBIGRAM
(15,20),(17,19),0.0682223 # DEPENDENCYPART_HEADBIGRAM
(15,20),(18,19),0.0734144 # DEPENDENCYPART_HEADBIGRAM
(15,20),(20,19),0.0729667 # DEPENDENCYPART_HEADBIGRAM
(15,20),(22,19),0.0809179 # DEPENDENCYPART_HEADBIGRAM
(15,20),(24,19),0.0798669 # DEPENDENCYPART_HEADBIGRAM
(15,20),(25,19),0.0767387 # DEPENDENCYPART_HEADBIGRAM
(15,20),(27,19),0.0799902 # DEPENDENCYPART_HEADBIGRAM
(16,14),(0,13),-0.0979882 # DEPENDENCYPART_HEADBIGRAM
(16,14),(4,13),-0.0862734 # DEPENDENCYPART_HEADBIGRAM
(16,14),(9,13),-0.0808207 # DEPENDENCYPART_HEADBIGRAM
(16,14),(10,13),-0.0699129 # DEPENDENCYPART_HEADBIGRAM
(16,14),(12,13),-0.0767676 # DEPENDENCYPART_HEADBIGRAM
(16,14),(14,13),-0.125118 # DEPENDENCYPART_HEADBIGRAM
(16,14),(15,13),-0.110745 # DEPENDENCYPART_HEADBIGRAM
(16,14),(17,13),0.0762346 # DEPENDENCYPART_HEADBIGRAM
(16,14),(22,13),0.137073 # DEPENDENCYPART_HEADBIGRAM
(16,14),(25,13),0.100478 # DEPENDENCYPART_HEADBIGRAM
(16,15),(10,14),-0.130397 # DEPENDENCYPART_HEADBIGRAM
(16,15),(11,14),-0.106087 # DEPENDENCYPART_HEADBIGRAM
(16,15),(12,14),-0.124527 # DEPENDENCYPART_HEADBIGRAM
(16,15),(13,14),-0.124827 # DEPENDENCYPART_HEADBIGRAM
(16,15),(15,14),-0.116626 # DEPENDENCYPART_HEADBIGRAM
(16,15),(16,14),0.051909 # DEPENDENCYPART_HEADBIGRAM
(16,15),(17,14),0.0705404 # DEPENDENCYPART_HEADBIGRAM
(16,15),(18,14),0.0728794 # DEPENDENCYPART_HEADBIGRAM
(16,15),(22,14),0.069734 # DEPENDENCYPART_HEADBIGRAM
(16,15),(25,14),0.0676574 # DEPENDENCYPART_HEADBIGRAM
(16,17),(12,16),-0.089151 # DEPENDENCYPART_HEADBIGRAM
(16,17),(13,16),-0.0811661 # DEPENDENCYPART_HEADBIGRAM
(16,17),(14,16),-0.122146 # DEPENDENCYPART_HEADBIGRAM
(16,17),(15,16),-0.0623825 # DEPENDENCYPART_HEADBIGRAM
(16,17),(17,16),0.0327582 # DEPENDENCYPART_HEADBIGRAM
(16,17),(18,16),0.0453339 # DEPENDENCYPART_HEADBIGRAM
(16,17),(19,16),0.0724842 # DEPENDENCYPART_HEADBIGRAM
(16,17),(20,16),0.0724442 # DEPENDENCYPART_HEADBIGRAM
(16,17),(22,16),0.184217 # DEPENDENCYPART_HEADBIGRAM
(16,17),(25,16),0.174619 # DEPENDENCYPART_HEADBIGRAM
(16,18),(4,17),0.00411757 # DEPENDENCYPART_HEADBIGRAM
(16,18),(10,17),0.000131086 # DEPENDENCYPART_HEADBIGRAM
(16,18),(12,17),-0.0534053 # DEPENDENCYPART_HEADBIGRAM
(16,18),(13,17),-0.0490661 # DEPENDENCYPART_HEADBIGRAM
(16,18),(14,17),-0.0655732 # DEPENDENCYPART_HEADBIGRAM
(16,18),(15,17),-0.0624415 # DEPENDENCYPART_HEADBIGRAM
(16,18),(16,17),0.0697809 # DEPENDENCYPART_HEADBIGRAM
(16,18),(18,17),0.0797634 # DEPENDENCYPART_HEADBIGRAM
(16,18),(22,17),0.0577444 # DEPENDENCYPART_HEADBIGRAM
(16,18),(25,17),0.143072 # DEPENDENCYPART_HEADBIGRAM
(16,19),(10,18),-0.0724724 # DEPENDENCYPART_HEADBIGRAM
(16,19),(14,18),-0.0611135 # DEPENDENCYPART_HEADBIGRAM
(16,19),(15,18),-0.0586746 # DEPENDENCYPART_HEADBIGRAM
(16,19),(16,18),0.0752411 # DEPENDENCYPART_HEADBIGRAM
(16,19),(17,18),0.086454 # DEPENDENCYPART_HEADBIGRAM
(16,19),(19,18),0.124995 # DEPENDENCYPART_HEADBIGRAM
(16,19),(20,18),0.080016 # DEPENDENCYPART_HEADBIGRAM
(16,19),(22,18),0.072615 # DEPENDENCYPART_HEADBIGRAM
(16,19),(24,18),0.0755442 # DEPENDENCYPART_HEADBIGRAM
(16,19),(25,18),0.0665985 # DEPENDENCYPART_HEADBIGRAM
(16,20),(12,19),-0.0590266 # DEPENDENCYPART_HEADBIGRAM
(16,20),(15,19),-0.0582032 # DEPENDENCYPART_HEADBIGRAM
(16,20),(16,19),0.0808976 # DEPENDENCYPART_HEADBIGRAM
(16,20),(17,19),0.0681928 # DEPENDENCYPART_HEADBIGRAM
(16,20),(18,19),0.0734144 # DEPENDENCYPART_HEADBIGRAM
(16,20),(20,19),0.072848 # DEPENDENCYPART_HEADBIGRAM
(16,20),(22,19),0.0809179 # DEPENDENCYPART_HEADBIGRAM
(16,20),(24,19),0.0798608 # DEPENDENCYPART_HEADBIGRAM
(16,20),(25,19),0.0767377 # DEPENDENCYPART_HEADBIGRAM
(16,20),(27,19),0.079984 # DEPENDENCYPART_HEADBIGRAM
(17,12),(5,11),-0.103907 # DEPENDENCYPART_HEADBIGRAM
(17,12),(9,11),-0.0982141 # DEPENDENCYPART_HEADBIGRAM
(17,12),(10,11),-0.102447 # DEPENDENCYPART_HEADBIGRAM
(17,12),(12,11),0.0464451 # DEPENDENCYPART_HEADBIGRAM
(17,12),(13,11),-0.138347 # DEPENDENCYPART_HEADBIGRAM
(17,12),(14,11),-0.0776759 # DEPENDENCYPART_HEADBIGRAM
(17,12),(15,11),-0.109772 # DEPENDENCYPART_HEADBIGRAM
(17,12),(22,11),0.0767869 # DEPENDENCYPART_HEADBIGRAM
(17,12),(25,11),0.0802357 # DEPENDENCYPART_HEADBIGRAM
(17,13),(5,12),-0.11038 # DEPENDENCYPART_HEADBIGRAM
(17,13),(9,12),-0.120031 # DEPENDENCYPART_HEADBIGRAM
(17,13),(10,12),-0.0929481 # DEPENDENCYPART_HEADBIGRAM
(17,13),(11,12),-0.0893386 # DEPENDENCYPART_HEADBIGRAM
(17,13),(13,12),-0.11348 # DEPENDENCYPART_HEADBIGRAM
(17,13),(14,12),-0.107828 # DEPENDENCYPART_HEADBIGRAM
(17,13),(15,12),-0.108713 # DEPENDENCYPART_HEADBIGRAM
(17,13),(17,12),0.119048 # DEPENDENCYPART_HEADBIGRAM
(17,13),(22,12),0.101515 # DEPENDENCYPART_HEADBIGRAM
(17,13),(25,12),0.0806532 # DEPENDENCYPART_HEADBIGRAM
(17,14),(0,13),-0.10115 # DEPENDENCYPART_HEADBIGRAM
(17,14),(4,13),-0.103684 # DEPENDENCYPART_HEADBIGRAM
(17,14),(9,13),-0.0914882 # DEPENDENCYPART_HEADBIGRAM
(17,14),(10,13),-0.0920232 # DEPENDENCYPART_HEADBIGRAM
(17,14),(12,13),-0.0977727 # DEPENDENCYPART_HEADBIGRAM
(17,14),(14,13),-0.063831 # DEPENDENCYPART_HEADBIGRAM
(17,14),(15,13),-0.106885 # DEPENDENCYPART_HEADBIGRAM
(17,14),(17,13),0.0840135 # DEPENDENCYPART_HEADBIGRAM
(17,14),(22,13),0.087304 # DEPENDENCYPART_HEADBIGRAM
(17,14),(25,13),0.0870732 # DEPENDENCYPART_HEADBIGRAM
(17,15),(10,14),-0.105001 # DEPENDENCYPART_HEADBIGRAM
(17,15),(11,14),-0.104829 # DEPENDENCYPART_HEADBIGRAM
(17,15),(12,14),-0.116133 # DEPENDENCYPART_HEADBIGRAM
(17,15),(13,14),-0.118214 # DEPENDENCYPART_HEADBIGRAM
(17,15),(15,14),-0.0990323 # DEPENDENCYPART_HEADBIGRAM
(17,15),(16,14),-0.10744 # DEPENDENCYPART_HEADBIGRAM
(17,15),(17,14),0.112926 # DEPENDENCYPART_HEADBIGRAM
(17,15),(18,14),0.0758406 # DEPENDENCYPART_HEADBIGRAM
(17,15),(22,14),0.0798271 # DEPENDENCYPART_HEADBIGRAM
(17,15),(25,14),0.0850145 # DEPENDENCYPART_HEADBIGRAM
(17,16),(10,15),-0.10608 # DEPENDENCYPART_HEADBIGRAM
(17,16),(12,15),-0.111966 # DEPENDENCYPART_HEADBIGRAM
(17,16),(13,15),-0.15796 # DEPENDENCYPART_HEADBIGRAM
(17,16),(14,15),-0.145461 # DEPENDENCYPART_HEADBIGRAM
(17,16),(16,15),-0.0769704 # DEPENDENCYPART_HEADBIGRAM
(17,16),(17,15),0.0437697 # DEPENDENCYPART_HEADBIGRAM
(17,16),(18,15),0.0789542 # DEPENDENCYPART_HEADBIGRAM
(17,16),(19,15),0.0788351 # DEPENDENCYPART_HEADBIGRAM
(17,16),(22,15),0.0857219 # DEPENDENCYPART_HEADBIGRAM
(17,16),(25,15),0.0855261 # DEPENDENCYPART_HEADBIGRAM
(17,18),(4,17),-0.0496758 # DEPENDENCYPART_HEADBIGRAM
(17,18),(10,17),-0.0239842 # DEPENDENCYPART_HEADBIGRAM
(17,18),(12,17),-0.0727705 # DEPENDENCYPART_HEADBIGRAM
(17,18),(13,17),-0.0583209 # DEPENDENCYPART_HEADBIGRAM
(17,18),(14,17),-0.0837168 # DEPENDENCYPART_HEADBIGRAM
(17,18),(15,17),-0.0937302 # DEPENDENCYPART_HEADBIGRAM
(17,18),(16,17),-0.0907004 # DEPENDENCYPART_HEADBIGRAM
(17,18),(18,17),-0.0784931 # DEPENDENCYPART_HEADBIGRAM
(17,18),(22,17),0.0606938 # DEPENDENCYPART_HEADBIGRAM
(17,18),(25,17),0.103605 # DEPENDENCYPART_HEADBIGRAM
(17,19),(10,18),-0.0579441 # DEPENDENCYPART_HEADBIGRAM
(17,19),(14,18),-0.0591868 # DEPENDENCYPART_HEADBIGRAM
(17,19),(15,18),-0.0589278 # DEPENDENCYPART_HEADBIGRAM
(17,19),(16,18),-0.0586452 # DEPENDENCYPART_HEADBIGRAM
(17,19),(17,18),0.103147 # DEPENDENCYPART_HEADBIGRAM
(17,19),(19,18),0.219098 # DEPENDENCYPART_HEADBIGRAM
(17,19),(20,18),0.0802093 # DEPENDENCYPART_HEADBIGRAM
(17,19),(22,18),0.0772428 # DEPENDENCYPART_HEADBIGRAM
(17,19),(24,18),0.080792 # DEPENDENCYPART_HEADBIGRAM
(17,19),(25,18),0.0807217 # DEPENDENCYPART_HEADBIGRAM
(17,20),(12,19),-0.0639666 # DEPENDENCYPART_HEADBIGRAM
(17,20),(15,19),-0.0582342 # DEPENDENCYPART_HEADBIGRAM
(17,20),(16,19),-0.0582426 # DEPENDENCYPART_HEADBIGRAM
(17,20),(17,19),-0.0142893 # DEPENDENCYPART_HEADBIGRAM
(17,20),(18,19),0.0734144 # DEPENDENCYPART_HEADBIGRAM
(17,20),(20,19),0.132616 # DEPENDENCYPART_HEADBIGRAM
(17,20),(22,19),0.0809572 # DEPENDENCYPART_HEADBIGRAM
(17,20),(24,19),0.0723438 # DEPENDENCYPART_HEADBIGRAM
(17,20),(25,19),0.0808954 # DEPENDENCYPART_HEADBIGRAM
(17,20),(27,19),0.0703445 # DEPENDENCYPART_HEADBIGRAM
(17,21),(15,20),-0.0590601 # DEPENDENCYPART_HEADBIGRAM
(17,21),(16,20),-0.0590603 # DEPENDENCYPART_HEADBIGRAM
(17,21),(17,20),0.1206 # DEPENDENCYPART_HEADBIGRAM
(17,21),(18,20),0.0632947 # DEPENDENCYPART_HEADBIGRAM
(17,21),(19,20),0.0793692 # DEPENDENCYPART_HEADBIGRAM
(17,21),(22,20),0.0759512 # DEPENDENCYPART_HEADBIGRAM
(17,21),(24,20),0.0781881 # DEPENDENCYPART_HEADBIGRAM
(17,21),(25,20),0.0781405 # DEPENDENCYPART_HEADBIGRAM
(17,21),(27,20),0.0792898 # DEPENDENCYPART_HEADBIGRAM
(17,22),(4,21),-0.0652519 # DEPENDENCYPART_HEADBIGRAM
(17,22),(5,21),-0.0831882 # DEPENDENCYPART_HEADBIGRAM
(17,22),(10,21),-0.064989 # DEPENDENCYPART_HEADBIGRAM
(17,22),(14,21),-0.0649638 # DEPENDENCYPART_HEADBIGRAM
(17,22),(17,21),0.0916305 # DEPENDENCYPART_HEADBIGRAM
(17,22),(18,21),0.0869678 # DEPENDENCYPART_HEADBIGRAM
(17,22),(20,21),0.0806719 # DEPENDENCYPART_HEADBIGRAM
(17,22),(22,21),0.0539255 # DEPENDENCYPART_HEADBIGRAM
(17,22),(24,21),0.0705701 # DEPENDENCYPART_HEADBIGRAM
(17,22),(25,21),0.0827658 # DEPENDENCYPART_HEADBIGRAM
(17,23),(0,22),-0.0361775 # DEPENDENCYPART_HEADBIGRAM
(17,23),(4,22),-0.0462994 # DEPENDENCYPART_HEADBIGRAM
(17,23),(5,22),-0.0536137 # DEPENDENCYPART_HEADBIGRAM
(17,23),(10,22),-0.0463267 # DEPENDENCYPART_HEADBIGRAM
(17,23),(13,22),-0.0519802 # DEPENDENCYPART_HEADBIGRAM
(17,23),(17,22),0.0874252 # DEPENDENCYPART_HEADBIGRAM
(17,23),(18,22),0.0908823 # DEPENDENCYPART_HEADBIGRAM
(17,23),(24,22),0.0810402 # DEPENDENCYPART_HEADBIGRAM
(17,23),(25,22),0.0880345 # DEPENDENCYPART_HEADBIGRAM
(17,23),(27,22),0.0810368 # DEPENDENCYPART_HEADBIGRAM
(17,24),(10,23),-0.0743421 # DEPENDENCYPART_HEADBIGRAM
(17,24),(14,23),-0.0598108 # DEPENDENCYPART_HEADBIGRAM
(17,24),(17,23),0.0820639 # DEPENDENCYPART_HEADBIGRAM
(17,24),(18,23),0.0874514 # DEPENDENCYPART_HEADBIGRAM
(17,24),(19,23),0.0705274 # DEPENDENCYPART_HEADBIGRAM
(17,24),(22,23),0.160203 # DEPENDENCYPART_HEADBIGRAM
(17,24),(24,23),0.176156 # DEPENDENCYPART_HEADBIGRAM
(17,24),(25,23),0.0653805 # DEPENDENCYPART_HEADBIGRAM
(17,24),(26,23),0.0691187 # DEPENDENCYPART_HEADBIGRAM
(17,24),(27,23),0.0589019 # DEPENDENCYPART_HEADBIGRAM
(17,25),(13,24),-0.0580046 # DEPENDENCYPART_HEADBIGRAM
(17,25),(14,24),-0.0503202 # DEPENDENCYPART_HEADBIGRAM
(17,25),(17,24),0.0114417 # DEPENDENCYPART_HEADBIGRAM
(17,25),(18,24),0.079532 # DEPENDENCYPART_HEADBIGRAM
(17,25),(19,24),0.096386 # DEPENDENCYPART_HEADBIGRAM
(17,25),(22,24),0.231614 # DEPENDENCYPART_HEADBIGRAM
(17,25),(23,24),0.183925 # DEPENDENCYPART_HEADBIGRAM
(17,25),(25,24),0.0863545 # DEPENDENCYPART_HEADBIGRAM
(17,25),(26,24),0.0763852 # DEPENDENCYPART_HEADBIGRAM
(17,25),(27,24),0.0662175 # DEPENDENCYPART_HEADBIGRAM
(17,28),(12,27),-0.0633537 # DEPENDENCYPART_HEADBIGRAM
(17,28),(18,27),0.0961625 # DEPENDENCYPART_HEADBIGRAM
(17,28),(22,27),0.123525 # DEPENDENCYPART_HEADBIGRAM
(17,28),(24,27),0.080972 # DEPENDENCYPART_HEADBIGRAM
(17,28),(25,27),0.0920456 # DEPENDENCYPART_HEADBIGRAM
(17,28),(26,27),0.094846 # DEPENDENCYPART_HEADBIGRAM
(17,28),(28,27),0.0696259 # DEPENDENCYPART_HEADBIGRAM
(17,28),(29,27),0.0811804 # DEPENDENCYPART_HEADBIGRAM
(17,28),(30,27),0.0779445 # DEPENDENCYPART_HEADBIGRAM
(17,28),(32,27),0.0543496 # DEPENDENCYPART_HEADBIGRAM
(17,32),(27,31),0.0883406 # DEPENDENCYPART_HEADBIGRAM
(17,32),(28,31),0.0923864 # DEPENDENCYPART_HEADBIGRAM
(17,32),(29,31),0.0988391 # DEPENDENCYPART_HEADBIGRAM
(17,32),(30,31),0.104825 # DEPENDENCYPART_HEADBIGRAM
(17,32),(32,31),0.0659258 # DEPENDENCYPART_HEADBIGRAM
(17,32),(33,31),0.0768486 # DEPENDENCYPART_HEADBIGRAM
(17,32),(34,31),0.0806215 # DEPENDENCYPART_HEADBIGRAM
(17,32),(35,31),0.0806215 # DEPENDENCYPART_HEADBIGRAM
(18,14),(0,13),-0.101165 # DEPENDENCYPART_HEADBIGRAM
(18,14),(4,13),-0.0916749 # DEPENDENCYPART_HEADBIGRAM
(18,14),(9,13),-0.091248 # DEPENDENCYPART_HEADBIGRAM
(18,14),(10,13),-0.0793963 # DEPENDENCYPART_HEADBIGRAM
(18,14),(12,13),-0.0975366 # DEPENDENCYPART_HEADBIGRAM
(18,14),(14,13),-0.1084 # DEPENDENCYPART_HEADBIGRAM
(18,14),(15,13),-0.109129 # DEPENDENCYPART_HEADBIGRAM
(18,14),(17,13),-0.10695 # DEPENDENCYPART_HEADBIGRAM
(18,14),(22,13),0.0877488 # DEPENDENCYPART_HEADBIGRAM
(18,14),(25,13),0.0931916 # DEPENDENCYPART_HEADBIGRAM
(18,15),(10,14),-0.0998967 # DEPENDENCYPART_HEADBIGRAM
(18,15),(11,14),-0.0998967 # DEPENDENCYPART_HEADBIGRAM
(18,15),(12,14),-0.100944 # DEPENDENCYPART_HEADBIGRAM
(18,15),(13,14),-0.100944 # DEPENDENCYPART_HEADBIGRAM
(18,15),(15,14),-0.0869934 # DEPENDENCYPART_HEADBIGRAM
(18,15),(16,14),-0.106885 # DEPENDENCYPART_HEADBIGRAM
(18,15),(17,14),-0.106887 # DEPENDENCYPART_HEADBIGRAM
(18,15),(18,14),0.288568 # DEPENDENCYPART_HEADBIGRAM
(18,15),(22,14),0.0846293 # DEPENDENCYPART_HEADBIGRAM
(18,15),(25,14),0.0877147 # DEPENDENCYPART_HEADBIGRAM
(18,16),(10,15),-0.106122 # DEPENDENCYPART_HEADBIGRAM
(18,16),(12,15),-0.106417 # DEPENDENCYPART_HEADBIGRAM
(18,16),(13,15),-0.1563 # DEPENDENCYPART_HEADBIGRAM
(18,16),(14,15),-0.145461 # DEPENDENCYPART_HEADBIGRAM
(18,16),(16,15),-0.112634 # DEPENDENCYPART_HEADBIGRAM
(18,16),(17,15),-0.111969 # DEPENDENCYPART_HEADBIGRAM
(18,16),(18,15),0.354512 # DEPENDENCYPART_HEADBIGRAM
(18,16),(19,15),0.0789334 # DEPENDENCYPART_HEADBIGRAM
(18,16),(22,15),0.0837307 # DEPENDENCYPART_HEADBIGRAM
(18,16),(25,15),0.0855923 # DEPENDENCYPART_HEADBIGRAM
(18,17),(12,16),-0.103141 # DEPENDENCYPART_HEADBIGRAM
(18,17),(13,16),-0.100578 # DEPENDENCYPART_HEADBIGRAM
(18,17),(14,16),-0.136302 # DEPENDENCYPART_HEADBIGRAM
(18,17),(15,16),-0.102791 # DEPENDENCYPART_HEADBIGRAM
(18,17),(17,16),-0.0799206 # DEPENDENCYPART_HEADBIGRAM
(18,17),(18,16),0.139357 # DEPENDENCYPART_HEADBIGRAM
(18,17),(19,16),0.0872876 # DEPENDENCYPART_HEADBIGRAM
(18,17),(20,16),0.0872276 # DEPENDENCYPART_HEADBIGRAM
(18,17),(22,16),0.0855056 # DEPENDENCYPART_HEADBIGRAM
(18,17),(25,16),0.0868869 # DEPENDENCYPART_HEADBIGRAM
(18,19),(10,18),-0.101907 # DEPENDENCYPART_HEADBIGRAM
(18,19),(14,18),-0.0275309 # DEPENDENCYPART_HEADBIGRAM
(18,19),(15,18),-0.0645961 # DEPENDENCYPART_HEADBIGRAM
(18,19),(16,18),-0.148922 # DEPENDENCYPART_HEADBIGRAM
(18,19),(17,18),-0.129112 # DEPENDENCYPART_HEADBIGRAM
(18,19),(19,18),-0.146933 # DEPENDENCYPART_HEADBIGRAM
(18,19),(20,18),-0.00664855 # DEPENDENCYPART_HEADBIGRAM
(18,19),(22,18),0.0466221 # DEPENDENCYPART_HEADBIGRAM
(18,19),(24,18),0.180168 # DEPENDENCYPART_HEADBIGRAM
