# _root_ While Allianz officials were n't willing to comment in any detail on their plans , they said Allianz currently holds between 5 % and 10 % of Navigation Mixte , an apparent increase from the 5 % stake that Navigation Mixte officials had earlier announced .
#goldHeads=4,3,4,17,4,4,8,6,8,11,9,8,14,12,17,17,0,20,20,17,24,24,24,20,24,24,24,29,27,24,33,33,24,33,38,37,38,34,45,42,42,43,38,43,43,17,
#predictedHeads=4,3,4,17,4,4,8,6,8,11,9,11,14,12,17,17,0,20,20,17,24,24,24,20,24,24,26,29,27,24,33,33,24,33,38,37,38,34,43,42,42,43,38,45,43,17,
(43,33),(43,29),(43,14),-0.274636 # DEPENDENCYPART_TRISIBL
(43,33),(43,29),(43,11),-0.269047 # DEPENDENCYPART_TRISIBL
(43,33),(43,29),(43,9),0.014181 # DEPENDENCYPART_TRISIBL
(43,33),(43,29),(43,4),-0.130595 # DEPENDENCYPART_TRISIBL
(43,33),(43,29),(43,1),-0.0265776 # DEPENDENCYPART_TRISIBL
(43,33),(43,29),(43,-1),-0.141431 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(43,33),(43,26),(43,25),-0.122947 # DEPENDENCYPART_TRISIBL
(43,33),(43,26),(43,24),-0.172232 # DEPENDENCYPART_TRISIBL
(43,33),(43,26),(43,22),-0.140964 # DEPENDENCYPART_TRISIBL
(43,33),(43,26),(43,21),-0.0136057 # DEPENDENCYPART_TRISIBL
(43,33),(43,26),(43,19),-0.0805203 # DEPENDENCYPART_TRISIBL
(43,33),(43,26),(43,18),-0.266143 # DEPENDENCYPART_TRISIBL
(43,33),(43,26),(43,15),-0.0735878 # DEPENDENCYPART_TRISIBL
(43,33),(43,26),(43,14),-0.271721 # DEPENDENCYPART_TRISIBL
(43,33),(43,26),(43,11),-0.266132 # DEPENDENCYPART_TRISIBL
(43,33),(43,26),(43,9),0.0112383 # DEPENDENCYPART_TRISIBL
(43,33),(43,26),(43,4),-0.131047 # DEPENDENCYPART_TRISIBL
(43,33),(43,26),(43,1),-0.0295204 # DEPENDENCYPART_TRISIBL
(43,33),(43,26),(43,-1),-0.139377 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(43,33),(43,25),(43,24),-0.114262 # DEPENDENCYPART_TRISIBL
(43,33),(43,25),(43,22),-0.106141 # DEPENDENCYPART_TRISIBL
(43,33),(43,25),(43,21),0.00443586 # DEPENDENCYPART_TRISIBL
(43,33),(43,25),(43,19),-0.0544427 # DEPENDENCYPART_TRISIBL
(43,33),(43,25),(43,18),-0.193334 # DEPENDENCYPART_TRISIBL
(43,33),(43,25),(43,15),-0.0339409 # DEPENDENCYPART_TRISIBL
(43,33),(43,25),(43,14),-0.198913 # DEPENDENCYPART_TRISIBL
(43,33),(43,25),(43,11),-0.193325 # DEPENDENCYPART_TRISIBL
(43,33),(43,25),(43,9),0.0058159 # DEPENDENCYPART_TRISIBL
(43,33),(43,25),(43,4),-0.119128 # DEPENDENCYPART_TRISIBL
(43,33),(43,25),(43,1),-0.0337342 # DEPENDENCYPART_TRISIBL
(43,33),(43,25),(43,-1),-0.127226 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(43,33),(43,24),(43,22),-0.120572 # DEPENDENCYPART_TRISIBL
(43,33),(43,24),(43,21),-0.0989625 # DEPENDENCYPART_TRISIBL
(43,33),(43,24),(43,19),-0.0842199 # DEPENDENCYPART_TRISIBL
(43,33),(43,24),(43,18),-0.198266 # DEPENDENCYPART_TRISIBL
(43,33),(43,24),(43,15),-0.0631414 # DEPENDENCYPART_TRISIBL
(43,33),(43,24),(43,14),-0.203889 # DEPENDENCYPART_TRISIBL
(43,33),(43,24),(43,11),-0.198253 # DEPENDENCYPART_TRISIBL
(43,33),(43,24),(43,9),-0.0786569 # DEPENDENCYPART_TRISIBL
(43,33),(43,24),(43,4),-0.14606 # DEPENDENCYPART_TRISIBL
(43,33),(43,24),(43,1),-0.117293 # DEPENDENCYPART_TRISIBL
(43,33),(43,24),(43,-1),-0.117718 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(43,33),(43,22),(43,21),0.0036467 # DEPENDENCYPART_TRISIBL
(43,33),(43,22),(43,19),-0.0543867 # DEPENDENCYPART_TRISIBL
(43,33),(43,22),(43,18),-0.186113 # DEPENDENCYPART_TRISIBL
(43,33),(43,22),(43,15),-0.0339509 # DEPENDENCYPART_TRISIBL
(43,33),(43,22),(43,14),-0.191692 # DEPENDENCYPART_TRISIBL
(43,33),(43,22),(43,11),-0.186104 # DEPENDENCYPART_TRISIBL
(43,33),(43,22),(43,9),0.00502674 # DEPENDENCYPART_TRISIBL
(43,33),(43,22),(43,4),-0.119126 # DEPENDENCYPART_TRISIBL
(43,33),(43,22),(43,1),-0.0345233 # DEPENDENCYPART_TRISIBL
(43,33),(43,22),(43,-1),-0.148143 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(43,33),(43,21),(43,19),0.000187021 # DEPENDENCYPART_TRISIBL
(43,33),(43,21),(43,18),-0.190775 # DEPENDENCYPART_TRISIBL
(43,33),(43,21),(43,15),-0.0497838 # DEPENDENCYPART_TRISIBL
(43,33),(43,21),(43,14),-0.196353 # DEPENDENCYPART_TRISIBL
(43,33),(43,21),(43,11),-0.190765 # DEPENDENCYPART_TRISIBL
(43,33),(43,21),(43,9),0.0400843 # DEPENDENCYPART_TRISIBL
(43,33),(43,21),(43,4),-0.167997 # DEPENDENCYPART_TRISIBL
(43,33),(43,21),(43,1),-0.013791 # DEPENDENCYPART_TRISIBL
(43,33),(43,21),(43,-1),-0.0180402 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(43,33),(43,19),(43,18),-0.233431 # DEPENDENCYPART_TRISIBL
(43,33),(43,19),(43,15),-0.0515857 # DEPENDENCYPART_TRISIBL
(43,33),(43,19),(43,14),-0.239009 # DEPENDENCYPART_TRISIBL
(43,33),(43,19),(43,11),-0.233421 # DEPENDENCYPART_TRISIBL
(43,33),(43,19),(43,9),0.00922246 # DEPENDENCYPART_TRISIBL
(43,33),(43,19),(43,4),-0.130159 # DEPENDENCYPART_TRISIBL
(43,33),(43,19),(43,1),-0.0314299 # DEPENDENCYPART_TRISIBL
(43,33),(43,19),(43,-1),-0.00454841 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(43,33),(43,18),(43,15),-0.0735878 # DEPENDENCYPART_TRISIBL
(43,33),(43,18),(43,14),-0.274762 # DEPENDENCYPART_TRISIBL
(43,33),(43,18),(43,11),-0.269174 # DEPENDENCYPART_TRISIBL
(43,33),(43,18),(43,9),0.014181 # DEPENDENCYPART_TRISIBL
(43,33),(43,18),(43,4),-0.130597 # DEPENDENCYPART_TRISIBL
(43,33),(43,18),(43,1),-0.0265776 # DEPENDENCYPART_TRISIBL
(43,33),(43,18),(43,-1),-0.141023 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(43,33),(43,15),(43,14),-0.229706 # DEPENDENCYPART_TRISIBL
(43,33),(43,15),(43,11),-0.223436 # DEPENDENCYPART_TRISIBL
(43,33),(43,15),(43,9),0.119271 # DEPENDENCYPART_TRISIBL
(43,33),(43,15),(43,4),0.0530165 # DEPENDENCYPART_TRISIBL
(43,33),(43,15),(43,1),0.0548924 # DEPENDENCYPART_TRISIBL
(43,33),(43,15),(43,-1),-0.190434 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(43,33),(43,14),(43,11),-0.269174 # DEPENDENCYPART_TRISIBL
(43,33),(43,14),(43,9),0.0138585 # DEPENDENCYPART_TRISIBL
(43,33),(43,14),(43,4),-0.130707 # DEPENDENCYPART_TRISIBL
(43,33),(43,14),(43,1),-0.0269001 # DEPENDENCYPART_TRISIBL
(43,33),(43,14),(43,-1),-0.142736 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(43,33),(43,11),(43,9),0.014181 # DEPENDENCYPART_TRISIBL
(43,33),(43,11),(43,4),-0.130595 # DEPENDENCYPART_TRISIBL
(43,33),(43,11),(43,1),-0.0265776 # DEPENDENCYPART_TRISIBL
(43,33),(43,11),(43,-1),-0.140912 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(43,33),(43,9),(43,4),-0.16608 # DEPENDENCYPART_TRISIBL
(43,33),(43,9),(43,1),0.0229576 # DEPENDENCYPART_TRISIBL
(43,33),(43,9),(43,-1),0.0115212 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(43,33),(43,4),(43,1),0.0135896 # DEPENDENCYPART_TRISIBL
(43,33),(43,4),(43,-1),-0.0939139 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(43,33),(43,1),(43,-1),0.0967905 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(43,32),(43,31),(43,30),-0.0842299 # DEPENDENCYPART_TRISIBL
(43,32),(43,31),(43,29),-0.0883712 # DEPENDENCYPART_TRISIBL
(43,32),(43,31),(43,26),-0.087595 # DEPENDENCYPART_TRISIBL
(43,32),(43,31),(43,25),-0.102571 # DEPENDENCYPART_TRISIBL
(43,32),(43,31),(43,24),-0.160287 # DEPENDENCYPART_TRISIBL
(43,32),(43,31),(43,22),-0.0996304 # DEPENDENCYPART_TRISIBL
(43,32),(43,31),(43,21),-0.105385 # DEPENDENCYPART_TRISIBL
(43,32),(43,31),(43,19),-0.0548678 # DEPENDENCYPART_TRISIBL
(43,32),(43,31),(43,18),-0.0859814 # DEPENDENCYPART_TRISIBL
(43,32),(43,31),(43,15),-0.0842299 # DEPENDENCYPART_TRISIBL
(43,32),(43,31),(43,14),-0.08757 # DEPENDENCYPART_TRISIBL
(43,32),(43,31),(43,11),-0.0874266 # DEPENDENCYPART_TRISIBL
(43,32),(43,31),(43,9),-0.105982 # DEPENDENCYPART_TRISIBL
(43,32),(43,31),(43,4),-0.10412 # DEPENDENCYPART_TRISIBL
(43,32),(43,31),(43,1),-0.106274 # DEPENDENCYPART_TRISIBL
(43,32),(43,31),(43,-1),-0.0969707 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(43,32),(43,30),(43,29),-0.0526304 # DEPENDENCYPART_TRISIBL
(43,32),(43,30),(43,26),-0.0535652 # DEPENDENCYPART_TRISIBL
(43,32),(43,30),(43,25),-0.106702 # DEPENDENCYPART_TRISIBL
(43,32),(43,30),(43,24),-0.1674 # DEPENDENCYPART_TRISIBL
(43,32),(43,30),(43,22),-0.103761 # DEPENDENCYPART_TRISIBL
(43,32),(43,30),(43,21),-0.0673759 # DEPENDENCYPART_TRISIBL
(43,32),(43,30),(43,19),-0.100733 # DEPENDENCYPART_TRISIBL
(43,32),(43,30),(43,18),-0.0499393 # DEPENDENCYPART_TRISIBL
(43,32),(43,30),(43,15),-0.0813401 # DEPENDENCYPART_TRISIBL
(43,32),(43,30),(43,14),-0.0514827 # DEPENDENCYPART_TRISIBL
(43,32),(43,30),(43,11),-0.0513845 # DEPENDENCYPART_TRISIBL
(43,32),(43,30),(43,9),-0.0647682 # DEPENDENCYPART_TRISIBL
(43,32),(43,30),(43,4),-0.00953742 # DEPENDENCYPART_TRISIBL
(43,32),(43,30),(43,1),-0.0682656 # DEPENDENCYPART_TRISIBL
(43,32),(43,30),(43,-1),-0.231152 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(43,32),(43,29),(43,26),-0.0980499 # DEPENDENCYPART_TRISIBL
(43,32),(43,29),(43,25),-0.0976607 # DEPENDENCYPART_TRISIBL
(43,32),(43,29),(43,24),-0.158392 # DEPENDENCYPART_TRISIBL
(43,32),(43,29),(43,22),-0.0964745 # DEPENDENCYPART_TRISIBL
(43,32),(43,29),(43,21),-0.112534 # DEPENDENCYPART_TRISIBL
(43,32),(43,29),(43,19),-0.0783107 # DEPENDENCYPART_TRISIBL
(43,32),(43,29),(43,18),-0.0975546 # DEPENDENCYPART_TRISIBL
(43,32),(43,29),(43,15),-0.10933 # DEPENDENCYPART_TRISIBL
(43,32),(43,29),(43,14),-0.0990955 # DEPENDENCYPART_TRISIBL
(43,32),(43,29),(43,11),-0.0989973 # DEPENDENCYPART_TRISIBL
(43,32),(43,29),(43,9),-0.111639 # DEPENDENCYPART_TRISIBL
(43,32),(43,29),(43,4),-0.0996794 # DEPENDENCYPART_TRISIBL
(43,32),(43,29),(43,1),-0.114566 # DEPENDENCYPART_TRISIBL
(43,32),(43,29),(43,-1),-0.103224 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(43,32),(43,26),(43,25),-0.103056 # DEPENDENCYPART_TRISIBL
(43,32),(43,26),(43,24),-0.158399 # DEPENDENCYPART_TRISIBL
(43,32),(43,26),(43,22),-0.10187 # DEPENDENCYPART_TRISIBL
(43,32),(43,26),(43,21),-0.113386 # DEPENDENCYPART_TRISIBL
(43,32),(43,26),(43,19),-0.0784314 # DEPENDENCYPART_TRISIBL
(43,32),(43,26),(43,18),-0.0941052 # DEPENDENCYPART_TRISIBL
(43,32),(43,26),(43,15),-0.10933 # DEPENDENCYPART_TRISIBL
(43,32),(43,26),(43,14),-0.095646 # DEPENDENCYPART_TRISIBL
(43,32),(43,26),(43,11),-0.0955478 # DEPENDENCYPART_TRISIBL
(43,32),(43,26),(43,9),-0.112491 # DEPENDENCYPART_TRISIBL
(43,32),(43,26),(43,4),-0.0964259 # DEPENDENCYPART_TRISIBL
(43,32),(43,26),(43,1),-0.115418 # DEPENDENCYPART_TRISIBL
(43,32),(43,26),(43,-1),-0.116037 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(43,32),(43,25),(43,24),-0.149364 # DEPENDENCYPART_TRISIBL
(43,32),(43,25),(43,22),-0.091653 # DEPENDENCYPART_TRISIBL
(43,32),(43,25),(43,21),-0.105584 # DEPENDENCYPART_TRISIBL
(43,32),(43,25),(43,19),-0.0868597 # DEPENDENCYPART_TRISIBL
(43,32),(43,25),(43,18),-0.0845421 # DEPENDENCYPART_TRISIBL
(43,32),(43,25),(43,15),-0.0823721 # DEPENDENCYPART_TRISIBL
(43,32),(43,25),(43,14),-0.0860854 # DEPENDENCYPART_TRISIBL
(43,32),(43,25),(43,11),-0.0859873 # DEPENDENCYPART_TRISIBL
(43,32),(43,25),(43,9),-0.104504 # DEPENDENCYPART_TRISIBL
(43,32),(43,25),(43,4),-0.0993257 # DEPENDENCYPART_TRISIBL
(43,32),(43,25),(43,1),-0.106442 # DEPENDENCYPART_TRISIBL
(43,32),(43,25),(43,-1),-0.0880162 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(43,32),(43,24),(43,22),-0.0985619 # DEPENDENCYPART_TRISIBL
(43,32),(43,24),(43,21),-0.106914 # DEPENDENCYPART_TRISIBL
(43,32),(43,24),(43,19),-0.0847081 # DEPENDENCYPART_TRISIBL
(43,32),(43,24),(43,18),-0.0970144 # DEPENDENCYPART_TRISIBL
(43,32),(43,24),(43,15),-0.0708179 # DEPENDENCYPART_TRISIBL
(43,32),(43,24),(43,14),-0.0985577 # DEPENDENCYPART_TRISIBL
(43,32),(43,24),(43,11),-0.0984595 # DEPENDENCYPART_TRISIBL
(43,32),(43,24),(43,9),-0.105793 # DEPENDENCYPART_TRISIBL
(43,32),(43,24),(43,4),-0.101411 # DEPENDENCYPART_TRISIBL
(43,32),(43,24),(43,1),-0.107802 # DEPENDENCYPART_TRISIBL
(43,32),(43,24),(43,-1),-0.15076 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(43,32),(43,22),(43,21),-0.105539 # DEPENDENCYPART_TRISIBL
(43,32),(43,22),(43,19),-0.085895 # DEPENDENCYPART_TRISIBL
(43,32),(43,22),(43,18),-0.0843613 # DEPENDENCYPART_TRISIBL
(43,32),(43,22),(43,15),-0.0823721 # DEPENDENCYPART_TRISIBL
(43,32),(43,22),(43,14),-0.0859046 # DEPENDENCYPART_TRISIBL
(43,32),(43,22),(43,11),-0.0858064 # DEPENDENCYPART_TRISIBL
(43,32),(43,22),(43,9),-0.10446 # DEPENDENCYPART_TRISIBL
(43,32),(43,22),(43,4),-0.099326 # DEPENDENCYPART_TRISIBL
(43,32),(43,22),(43,1),-0.106398 # DEPENDENCYPART_TRISIBL
(43,32),(43,22),(43,-1),-0.0923366 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(43,32),(43,21),(43,19),-0.0708936 # DEPENDENCYPART_TRISIBL
(43,32),(43,21),(43,18),-0.110191 # DEPENDENCYPART_TRISIBL
(43,32),(43,21),(43,15),-0.0707427 # DEPENDENCYPART_TRISIBL
(43,32),(43,21),(43,14),-0.111781 # DEPENDENCYPART_TRISIBL
(43,32),(43,21),(43,11),-0.111636 # DEPENDENCYPART_TRISIBL
(43,32),(43,21),(43,9),-0.09952 # DEPENDENCYPART_TRISIBL
(43,32),(43,21),(43,4),-0.10201 # DEPENDENCYPART_TRISIBL
(43,32),(43,21),(43,1),-0.101477 # DEPENDENCYPART_TRISIBL
(43,32),(43,21),(43,-1),-0.0514898 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(43,32),(43,19),(43,18),-0.0999751 # DEPENDENCYPART_TRISIBL
(43,32),(43,19),(43,15),-0.08422 # DEPENDENCYPART_TRISIBL
(43,32),(43,19),(43,14),-0.101518 # DEPENDENCYPART_TRISIBL
(43,32),(43,19),(43,11),-0.10142 # DEPENDENCYPART_TRISIBL
(43,32),(43,19),(43,9),-0.107887 # DEPENDENCYPART_TRISIBL
(43,32),(43,19),(43,4),-0.105623 # DEPENDENCYPART_TRISIBL
(43,32),(43,19),(43,1),-0.109608 # DEPENDENCYPART_TRISIBL
(43,32),(43,19),(43,-1),-0.129885 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(43,32),(43,18),(43,15),-0.10933 # DEPENDENCYPART_TRISIBL
(43,32),(43,18),(43,14),-0.099095 # DEPENDENCYPART_TRISIBL
(43,32),(43,18),(43,11),-0.0989969 # DEPENDENCYPART_TRISIBL
(43,32),(43,18),(43,9),-0.111639 # DEPENDENCYPART_TRISIBL
(43,32),(43,18),(43,4),-0.0996794 # DEPENDENCYPART_TRISIBL
(43,32),(43,18),(43,1),-0.114566 # DEPENDENCYPART_TRISIBL
(43,32),(43,18),(43,-1),-0.100324 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(43,32),(43,15),(43,14),-0.0514827 # DEPENDENCYPART_TRISIBL
(43,32),(43,15),(43,11),-0.0513845 # DEPENDENCYPART_TRISIBL
(43,32),(43,15),(43,9),-0.0647682 # DEPENDENCYPART_TRISIBL
(43,32),(43,15),(43,4),-0.00953742 # DEPENDENCYPART_TRISIBL
(43,32),(43,15),(43,1),-0.0682656 # DEPENDENCYPART_TRISIBL
(43,32),(43,15),(43,-1),-0.231152 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(43,32),(43,14),(43,11),-0.0989982 # DEPENDENCYPART_TRISIBL
(43,32),(43,14),(43,9),-0.111639 # DEPENDENCYPART_TRISIBL
(43,32),(43,14),(43,4),-0.0996794 # DEPENDENCYPART_TRISIBL
(43,32),(43,14),(43,1),-0.114566 # DEPENDENCYPART_TRISIBL
(43,32),(43,14),(43,-1),-0.103818 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(43,32),(43,11),(43,9),-0.111639 # DEPENDENCYPART_TRISIBL
(43,32),(43,11),(43,4),-0.0996794 # DEPENDENCYPART_TRISIBL
(43,32),(43,11),(43,1),-0.114566 # DEPENDENCYPART_TRISIBL
(43,32),(43,11),(43,-1),-0.103555 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(43,32),(43,9),(43,4),-0.102404 # DEPENDENCYPART_TRISIBL
(43,32),(43,9),(43,1),-0.101849 # DEPENDENCYPART_TRISIBL
(43,32),(43,9),(43,-1),-0.0542916 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(43,32),(43,4),(43,1),-0.105548 # DEPENDENCYPART_TRISIBL
(43,32),(43,4),(43,-1),-0.159193 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(43,32),(43,1),(43,-1),-0.0433035 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(43,31),(43,30),(43,29),-0.178753 # DEPENDENCYPART_TRISIBL
(43,31),(43,30),(43,26),-0.178845 # DEPENDENCYPART_TRISIBL
(43,31),(43,30),(43,25),-0.106374 # DEPENDENCYPART_TRISIBL
(43,31),(43,30),(43,24),-0.1461 # DEPENDENCYPART_TRISIBL
(43,31),(43,30),(43,22),-0.106374 # DEPENDENCYPART_TRISIBL
(43,31),(43,30),(43,21),-0.0332946 # DEPENDENCYPART_TRISIBL
(43,31),(43,30),(43,19),-0.0456944 # DEPENDENCYPART_TRISIBL
(43,31),(43,30),(43,18),-0.178694 # DEPENDENCYPART_TRISIBL
(43,31),(43,30),(43,15),-0.0637665 # DEPENDENCYPART_TRISIBL
(43,31),(43,30),(43,14),-0.178802 # DEPENDENCYPART_TRISIBL
(43,31),(43,30),(43,11),-0.178694 # DEPENDENCYPART_TRISIBL
(43,31),(43,30),(43,9),-0.0373429 # DEPENDENCYPART_TRISIBL
(43,31),(43,30),(43,4),-0.00491453 # DEPENDENCYPART_TRISIBL
(43,31),(43,30),(43,1),-0.0253754 # DEPENDENCYPART_TRISIBL
(43,31),(43,30),(43,-1),-0.171117 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(43,31),(43,29),(43,26),-0.143436 # DEPENDENCYPART_TRISIBL
(43,31),(43,29),(43,25),-0.105492 # DEPENDENCYPART_TRISIBL
(43,31),(43,29),(43,24),-0.121718 # DEPENDENCYPART_TRISIBL
(43,31),(43,29),(43,22),-0.105492 # DEPENDENCYPART_TRISIBL
(43,31),(43,29),(43,21),-0.0669921 # DEPENDENCYPART_TRISIBL
(43,31),(43,29),(43,19),-0.0721268 # DEPENDENCYPART_TRISIBL
(43,31),(43,29),(43,18),-0.143282 # DEPENDENCYPART_TRISIBL
(43,31),(43,29),(43,15),-0.0488885 # DEPENDENCYPART_TRISIBL
(43,31),(43,29),(43,14),-0.14339 # DEPENDENCYPART_TRISIBL
(43,31),(43,29),(43,11),-0.143282 # DEPENDENCYPART_TRISIBL
(43,31),(43,29),(43,9),-0.0713013 # DEPENDENCYPART_TRISIBL
(43,31),(43,29),(43,4),-0.0812677 # DEPENDENCYPART_TRISIBL
(43,31),(43,29),(43,1),-0.0566954 # DEPENDENCYPART_TRISIBL
(43,31),(43,29),(43,-1),-0.10843 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(43,31),(43,26),(43,25),-0.105687 # DEPENDENCYPART_TRISIBL
(43,31),(43,26),(43,24),-0.121718 # DEPENDENCYPART_TRISIBL
(43,31),(43,26),(43,22),-0.105686 # DEPENDENCYPART_TRISIBL
(43,31),(43,26),(43,21),-0.0669948 # DEPENDENCYPART_TRISIBL
(43,31),(43,26),(43,19),-0.0721457 # DEPENDENCYPART_TRISIBL
(43,31),(43,26),(43,18),-0.143287 # DEPENDENCYPART_TRISIBL
(43,31),(43,26),(43,15),-0.0488909 # DEPENDENCYPART_TRISIBL
(43,31),(43,26),(43,14),-0.143395 # DEPENDENCYPART_TRISIBL
(43,31),(43,26),(43,11),-0.143287 # DEPENDENCYPART_TRISIBL
(43,31),(43,26),(43,9),-0.0713041 # DEPENDENCYPART_TRISIBL
(43,31),(43,26),(43,4),-0.0812857 # DEPENDENCYPART_TRISIBL
(43,31),(43,26),(43,1),-0.0566982 # DEPENDENCYPART_TRISIBL
(43,31),(43,26),(43,-1),-0.109589 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(43,31),(43,25),(43,24),-0.12114 # DEPENDENCYPART_TRISIBL
(43,31),(43,25),(43,22),-0.103022 # DEPENDENCYPART_TRISIBL
(43,31),(43,25),(43,21),-0.0774416 # DEPENDENCYPART_TRISIBL
(43,31),(43,25),(43,19),-0.0653632 # DEPENDENCYPART_TRISIBL
(43,31),(43,25),(43,18),-0.137125 # DEPENDENCYPART_TRISIBL
(43,31),(43,25),(43,15),-0.0633493 # DEPENDENCYPART_TRISIBL
(43,31),(43,25),(43,14),-0.137233 # DEPENDENCYPART_TRISIBL
(43,31),(43,25),(43,11),-0.137125 # DEPENDENCYPART_TRISIBL
(43,31),(43,25),(43,9),-0.0813399 # DEPENDENCYPART_TRISIBL
(43,31),(43,25),(43,4),-0.0791402 # DEPENDENCYPART_TRISIBL
(43,31),(43,25),(43,1),-0.0695378 # DEPENDENCYPART_TRISIBL
(43,31),(43,25),(43,-1),-0.139099 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(43,31),(43,24),(43,22),-0.102685 # DEPENDENCYPART_TRISIBL
(43,31),(43,24),(43,21),-0.0700311 # DEPENDENCYPART_TRISIBL
(43,31),(43,24),(43,19),-0.0662414 # DEPENDENCYPART_TRISIBL
(43,31),(43,24),(43,18),-0.137693 # DEPENDENCYPART_TRISIBL
(43,31),(43,24),(43,15),-0.0503068 # DEPENDENCYPART_TRISIBL
(43,31),(43,24),(43,14),-0.137801 # DEPENDENCYPART_TRISIBL
(43,31),(43,24),(43,11),-0.137693 # DEPENDENCYPART_TRISIBL
(43,31),(43,24),(43,9),-0.0748667 # DEPENDENCYPART_TRISIBL
(43,31),(43,24),(43,4),-0.0802463 # DEPENDENCYPART_TRISIBL
(43,31),(43,24),(43,1),-0.0621164 # DEPENDENCYPART_TRISIBL
(43,31),(43,24),(43,-1),-0.0798219 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(43,31),(43,22),(43,21),-0.0774394 # DEPENDENCYPART_TRISIBL
(43,31),(43,22),(43,19),-0.0653644 # DEPENDENCYPART_TRISIBL
(43,31),(43,22),(43,18),-0.137071 # DEPENDENCYPART_TRISIBL
(43,31),(43,22),(43,15),-0.0633493 # DEPENDENCYPART_TRISIBL
(43,31),(43,22),(43,14),-0.137179 # DEPENDENCYPART_TRISIBL
(43,31),(43,22),(43,11),-0.137071 # DEPENDENCYPART_TRISIBL
(43,31),(43,22),(43,9),-0.0813377 # DEPENDENCYPART_TRISIBL
(43,31),(43,22),(43,4),-0.0789794 # DEPENDENCYPART_TRISIBL
(43,31),(43,22),(43,1),-0.0695355 # DEPENDENCYPART_TRISIBL
(43,31),(43,22),(43,-1),-0.138973 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(43,31),(43,21),(43,19),-0.0583675 # DEPENDENCYPART_TRISIBL
(43,31),(43,21),(43,18),-0.142627 # DEPENDENCYPART_TRISIBL
(43,31),(43,21),(43,15),-0.0761274 # DEPENDENCYPART_TRISIBL
(43,31),(43,21),(43,14),-0.142843 # DEPENDENCYPART_TRISIBL
(43,31),(43,21),(43,11),-0.142627 # DEPENDENCYPART_TRISIBL
(43,31),(43,21),(43,9),-0.0884367 # DEPENDENCYPART_TRISIBL
(43,31),(43,21),(43,4),-0.0843145 # DEPENDENCYPART_TRISIBL
(43,31),(43,21),(43,1),-0.0760084 # DEPENDENCYPART_TRISIBL
(43,31),(43,21),(43,-1),-0.0661789 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(43,31),(43,19),(43,18),-0.135201 # DEPENDENCYPART_TRISIBL
(43,31),(43,19),(43,15),-0.0603395 # DEPENDENCYPART_TRISIBL
(43,31),(43,19),(43,14),-0.135309 # DEPENDENCYPART_TRISIBL
(43,31),(43,19),(43,11),-0.135201 # DEPENDENCYPART_TRISIBL
(43,31),(43,19),(43,9),-0.0784146 # DEPENDENCYPART_TRISIBL
(43,31),(43,19),(43,4),-0.0812121 # DEPENDENCYPART_TRISIBL
(43,31),(43,19),(43,1),-0.0634305 # DEPENDENCYPART_TRISIBL
(43,31),(43,19),(43,-1),-0.122025 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(43,31),(43,18),(43,15),-0.0488885 # DEPENDENCYPART_TRISIBL
(43,31),(43,18),(43,14),-0.14339 # DEPENDENCYPART_TRISIBL
(43,31),(43,18),(43,11),-0.143282 # DEPENDENCYPART_TRISIBL
(43,31),(43,18),(43,9),-0.0713013 # DEPENDENCYPART_TRISIBL
