# _root_ He said that even though virtually all corn seeds currently planted are hybrids , the genetic approach will obviate the need for mechanical emasculation of anthers , which costs U.S. seed producers about $ 70 million annually .
#goldHeads=2,0,18,12,12,7,9,9,12,11,9,18,12,18,17,17,18,2,18,21,19,21,24,22,24,25,24,29,24,32,32,29,34,29,34,34,29,2,
#predictedHeads=2,0,18,12,12,9,9,9,12,11,9,18,12,18,17,17,18,2,18,21,19,21,24,22,24,25,26,29,26,32,32,29,34,29,34,34,34,2,
(32,35),(35,31),(35,-1),-0.0585553 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(32,36),(36,36),(36,37),-0.0872036 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(32,36),(36,36),(36,39),0.108674 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(32,36),(36,37),(36,39),-0.0745908 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(32,36),(36,36),(36,35),0.102533 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(32,36),(36,36),(36,34),0.144604 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(32,36),(36,36),(36,31),-0.127159 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(32,36),(36,36),(36,-1),-0.0805337 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(32,36),(36,35),(36,34),0.124641 # DEPENDENCYPART_GRANDSIBL
(32,36),(36,35),(36,31),-0.124887 # DEPENDENCYPART_GRANDSIBL
(32,36),(36,35),(36,-1),-0.152788 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(32,36),(36,34),(36,31),-0.124885 # DEPENDENCYPART_GRANDSIBL
(32,36),(36,34),(36,-1),-0.0586201 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(32,36),(36,31),(36,-1),-0.0512609 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(32,37),(37,37),(37,39),-0.0055949 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(32,37),(37,37),(37,34),0.117644 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(32,37),(37,37),(37,33),0.110801 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(32,37),(37,37),(37,32),0.108522 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(32,37),(37,37),(37,31),-0.128362 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(32,37),(37,37),(37,30),-0.128362 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(32,37),(37,37),(37,26),-0.128362 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(32,37),(37,37),(37,21),-0.128362 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(32,37),(37,37),(37,17),-0.128362 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(32,37),(37,37),(37,-1),-0.186123 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(32,37),(37,34),(37,33),0.11916 # DEPENDENCYPART_GRANDSIBL
(32,37),(37,34),(37,32),0.119059 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(32,37),(37,34),(37,31),-0.124885 # DEPENDENCYPART_GRANDSIBL
(32,37),(37,34),(37,30),-0.124885 # DEPENDENCYPART_GRANDSIBL
(32,37),(37,34),(37,26),-0.124885 # DEPENDENCYPART_GRANDSIBL
(32,37),(37,34),(37,21),-0.124885 # DEPENDENCYPART_GRANDSIBL
(32,37),(37,34),(37,17),-0.124885 # DEPENDENCYPART_GRANDSIBL
(32,37),(37,34),(37,-1),-0.126289 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(32,37),(37,33),(37,32),0.122669 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(32,37),(37,33),(37,31),-0.124885 # DEPENDENCYPART_GRANDSIBL
(32,37),(37,33),(37,30),-0.124885 # DEPENDENCYPART_GRANDSIBL
(32,37),(37,33),(37,26),-0.124885 # DEPENDENCYPART_GRANDSIBL
(32,37),(37,33),(37,21),-0.124885 # DEPENDENCYPART_GRANDSIBL
(32,37),(37,33),(37,17),-0.124885 # DEPENDENCYPART_GRANDSIBL
(32,37),(37,33),(37,-1),-0.109896 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(32,37),(37,32),(37,31),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(32,37),(37,32),(37,30),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(32,37),(37,32),(37,26),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(32,37),(37,32),(37,21),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(32,37),(37,32),(37,17),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(32,37),(37,32),(37,-1),-0.133809 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(32,37),(37,31),(37,30),-0.124885 # DEPENDENCYPART_GRANDSIBL
(32,37),(37,31),(37,26),-0.124885 # DEPENDENCYPART_GRANDSIBL
(32,37),(37,31),(37,21),-0.124885 # DEPENDENCYPART_GRANDSIBL
(32,37),(37,31),(37,17),-0.124885 # DEPENDENCYPART_GRANDSIBL
(32,37),(37,31),(37,-1),-0.133809 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(32,37),(37,30),(37,26),-0.124885 # DEPENDENCYPART_GRANDSIBL
(32,37),(37,30),(37,21),-0.124885 # DEPENDENCYPART_GRANDSIBL
(32,37),(37,30),(37,17),-0.124885 # DEPENDENCYPART_GRANDSIBL
(32,37),(37,30),(37,-1),-0.133813 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(32,37),(37,26),(37,21),-0.124885 # DEPENDENCYPART_GRANDSIBL
(32,37),(37,26),(37,17),-0.124885 # DEPENDENCYPART_GRANDSIBL
(32,37),(37,26),(37,-1),-0.133809 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(32,37),(37,21),(37,17),-0.124885 # DEPENDENCYPART_GRANDSIBL
(32,37),(37,21),(37,-1),-0.133809 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(32,37),(37,17),(37,-1),-0.133809 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(33,28),(28,28),(28,39),-0.083916 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(33,28),(28,28),(28,-1),0.025153 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(33,32),(32,32),(32,33),-0.136031 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(33,32),(32,32),(32,34),-0.12674 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(33,32),(32,32),(32,35),-0.124998 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(33,32),(32,32),(32,36),-0.124998 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(33,32),(32,32),(32,37),-0.125271 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(33,32),(32,32),(32,39),-0.120234 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(33,32),(32,33),(32,34),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(33,32),(32,33),(32,35),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(33,32),(32,33),(32,36),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(33,32),(32,33),(32,37),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(33,32),(32,33),(32,39),-0.107264 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(33,32),(32,34),(32,35),-0.124885 # DEPENDENCYPART_GRANDSIBL
(33,32),(32,34),(32,36),-0.124885 # DEPENDENCYPART_GRANDSIBL
(33,32),(32,34),(32,37),-0.124885 # DEPENDENCYPART_GRANDSIBL
(33,32),(32,34),(32,39),-0.187402 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(33,32),(32,35),(32,36),-0.124885 # DEPENDENCYPART_GRANDSIBL
(33,32),(32,35),(32,37),-0.12626 # DEPENDENCYPART_GRANDSIBL
(33,32),(32,35),(32,39),-0.237904 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(33,32),(32,36),(32,37),-0.12626 # DEPENDENCYPART_GRANDSIBL
(33,32),(32,36),(32,39),-0.242846 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(33,32),(32,37),(32,39),-0.159795 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(33,32),(32,32),(32,31),-0.168058 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(33,32),(32,32),(32,30),-0.171962 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(33,32),(32,32),(32,29),-0.054389 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(33,32),(32,32),(32,27),-0.0809541 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(33,32),(32,32),(32,26),-0.168058 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(33,32),(32,32),(32,23),-0.0264003 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(33,32),(32,32),(32,-1),0.0989478 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(33,32),(32,31),(32,30),-0.0505612 # DEPENDENCYPART_GRANDSIBL
(33,32),(32,31),(32,29),-0.0571811 # DEPENDENCYPART_GRANDSIBL
(33,32),(32,31),(32,27),-0.0806091 # DEPENDENCYPART_GRANDSIBL
(33,32),(32,31),(32,26),-0.0505612 # DEPENDENCYPART_GRANDSIBL
(33,32),(32,31),(32,23),-0.0457825 # DEPENDENCYPART_GRANDSIBL
(33,32),(32,31),(32,-1),-0.117145 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(33,32),(32,30),(32,29),-0.0571811 # DEPENDENCYPART_GRANDSIBL
(33,32),(32,30),(32,27),-0.0806329 # DEPENDENCYPART_GRANDSIBL
(33,32),(32,30),(32,26),-0.0505612 # DEPENDENCYPART_GRANDSIBL
(33,32),(32,30),(32,23),-0.0457825 # DEPENDENCYPART_GRANDSIBL
(33,32),(32,30),(32,-1),-0.12292 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(33,32),(32,29),(32,27),0.016075 # DEPENDENCYPART_GRANDSIBL
(33,32),(32,29),(32,26),-0.044295 # DEPENDENCYPART_GRANDSIBL
(33,32),(32,29),(32,23),-0.0403277 # DEPENDENCYPART_GRANDSIBL
(33,32),(32,29),(32,-1),-0.0866514 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(33,32),(32,27),(32,26),-0.0806494 # DEPENDENCYPART_GRANDSIBL
(33,32),(32,27),(32,23),-0.0540031 # DEPENDENCYPART_GRANDSIBL
(33,32),(32,27),(32,-1),-0.066491 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(33,32),(32,26),(32,23),-0.0457825 # DEPENDENCYPART_GRANDSIBL
(33,32),(32,26),(32,-1),-0.118999 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(33,32),(32,23),(32,-1),-0.0564401 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(33,34),(34,34),(34,35),-0.0989769 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(33,34),(34,34),(34,36),-0.0889514 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(33,34),(34,34),(34,37),-0.0447125 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(33,34),(34,34),(34,39),-0.0795963 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(33,34),(34,35),(34,36),0.0170644 # DEPENDENCYPART_GRANDSIBL
(33,34),(34,35),(34,37),-0.0344047 # DEPENDENCYPART_GRANDSIBL
(33,34),(34,35),(34,39),-0.0515391 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(33,34),(34,36),(34,37),-0.0317031 # DEPENDENCYPART_GRANDSIBL
(33,34),(34,36),(34,39),-0.0271652 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(33,34),(34,37),(34,39),-0.0422095 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(33,34),(34,34),(34,33),0.169527 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(33,34),(34,34),(34,31),-0.124992 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(33,34),(34,34),(34,-1),-0.37745 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(33,34),(34,33),(34,31),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(33,34),(34,33),(34,-1),-0.107723 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(33,34),(34,31),(34,-1),-0.0959611 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(33,35),(35,35),(35,36),-0.0748803 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(33,35),(35,35),(35,37),-0.0151971 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(33,35),(35,35),(35,39),0.133171 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(33,35),(35,36),(35,37),-0.0421261 # DEPENDENCYPART_GRANDSIBL
(33,35),(35,36),(35,39),-0.0522584 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(33,35),(35,37),(35,39),-0.0189904 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(33,35),(35,35),(35,34),0.050422 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(33,35),(35,35),(35,33),0.124893 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(33,35),(35,35),(35,31),-0.126001 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(33,35),(35,35),(35,-1),0.0385012 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(33,35),(35,34),(35,33),0.0989845 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(33,35),(35,34),(35,31),-0.124886 # DEPENDENCYPART_GRANDSIBL
(33,35),(35,34),(35,-1),-0.189885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(33,35),(35,33),(35,31),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(33,35),(35,33),(35,-1),-0.141038 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(33,35),(35,31),(35,-1),-0.113136 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(33,36),(36,36),(36,37),-0.0172356 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(33,36),(36,36),(36,39),0.127932 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(33,36),(36,37),(36,39),-0.0216163 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(33,36),(36,36),(36,35),0.146842 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(33,36),(36,36),(36,34),0.0363628 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(33,36),(36,36),(36,31),-0.126028 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(33,36),(36,36),(36,-1),0.0352335 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(33,36),(36,35),(36,34),0.103082 # DEPENDENCYPART_GRANDSIBL
(33,36),(36,35),(36,31),-0.124885 # DEPENDENCYPART_GRANDSIBL
(33,36),(36,35),(36,-1),-0.127547 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(33,36),(36,34),(36,31),-0.124886 # DEPENDENCYPART_GRANDSIBL
(33,36),(36,34),(36,-1),-0.208525 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(33,36),(36,31),(36,-1),-0.113184 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(33,37),(37,37),(37,39),-0.0487002 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(33,37),(37,37),(37,34),0.113967 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(33,37),(37,37),(37,33),0.118175 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(33,37),(37,37),(37,32),-0.132434 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(33,37),(37,37),(37,31),-0.132434 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(33,37),(37,37),(37,30),-0.132434 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(33,37),(37,37),(37,26),-0.132434 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(33,37),(37,37),(37,21),-0.132434 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(33,37),(37,37),(37,17),-0.132434 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(33,37),(37,37),(37,-1),-0.182345 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(33,37),(37,34),(37,33),0.119161 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(33,37),(37,34),(37,32),-0.124885 # DEPENDENCYPART_GRANDSIBL
(33,37),(37,34),(37,31),-0.124885 # DEPENDENCYPART_GRANDSIBL
(33,37),(37,34),(37,30),-0.124885 # DEPENDENCYPART_GRANDSIBL
(33,37),(37,34),(37,26),-0.124885 # DEPENDENCYPART_GRANDSIBL
(33,37),(37,34),(37,21),-0.124885 # DEPENDENCYPART_GRANDSIBL
(33,37),(37,34),(37,17),-0.124885 # DEPENDENCYPART_GRANDSIBL
(33,37),(37,34),(37,-1),-0.13009 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(33,37),(37,33),(37,32),-0.124897 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(33,37),(37,33),(37,31),-0.124897 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(33,37),(37,33),(37,30),-0.124897 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(33,37),(37,33),(37,26),-0.124897 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(33,37),(37,33),(37,21),-0.124897 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(33,37),(37,33),(37,17),-0.124897 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(33,37),(37,33),(37,-1),-0.133824 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(33,37),(37,32),(37,31),-0.125216 # DEPENDENCYPART_GRANDSIBL
(33,37),(37,32),(37,30),-0.125216 # DEPENDENCYPART_GRANDSIBL
(33,37),(37,32),(37,26),-0.125216 # DEPENDENCYPART_GRANDSIBL
(33,37),(37,32),(37,21),-0.125216 # DEPENDENCYPART_GRANDSIBL
(33,37),(37,32),(37,17),-0.125216 # DEPENDENCYPART_GRANDSIBL
(33,37),(37,32),(37,-1),-0.0599404 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(33,37),(37,31),(37,30),-0.125216 # DEPENDENCYPART_GRANDSIBL
(33,37),(37,31),(37,26),-0.125216 # DEPENDENCYPART_GRANDSIBL
(33,37),(37,31),(37,21),-0.125216 # DEPENDENCYPART_GRANDSIBL
(33,37),(37,31),(37,17),-0.125216 # DEPENDENCYPART_GRANDSIBL
(33,37),(37,31),(37,-1),-0.0647444 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(33,37),(37,30),(37,26),-0.125216 # DEPENDENCYPART_GRANDSIBL
(33,37),(37,30),(37,21),-0.125216 # DEPENDENCYPART_GRANDSIBL
(33,37),(37,30),(37,17),-0.125216 # DEPENDENCYPART_GRANDSIBL
(33,37),(37,30),(37,-1),-0.0655162 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(33,37),(37,26),(37,21),-0.125216 # DEPENDENCYPART_GRANDSIBL
(33,37),(37,26),(37,17),-0.125216 # DEPENDENCYPART_GRANDSIBL
(33,37),(37,26),(37,-1),-0.0647381 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(33,37),(37,21),(37,17),-0.125216 # DEPENDENCYPART_GRANDSIBL
(33,37),(37,21),(37,-1),-0.0647381 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(33,37),(37,17),(37,-1),-0.0647393 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(34,31),(31,31),(31,32),0.0992775 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(34,31),(31,31),(31,33),0.114882 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(34,31),(31,31),(31,34),-0.124885 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(34,31),(31,31),(31,35),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(34,31),(31,31),(31,37),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(34,31),(31,31),(31,39),-0.24662 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(34,31),(31,32),(31,33),0.11893 # DEPENDENCYPART_GRANDSIBL
(34,31),(31,32),(31,34),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(34,31),(31,32),(31,35),-0.124885 # DEPENDENCYPART_GRANDSIBL
(34,31),(31,32),(31,37),-0.124885 # DEPENDENCYPART_GRANDSIBL
(34,31),(31,32),(31,39),-0.13186 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(34,31),(31,33),(31,34),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(34,31),(31,33),(31,35),-0.124885 # DEPENDENCYPART_GRANDSIBL
(34,31),(31,33),(31,37),-0.124885 # DEPENDENCYPART_GRANDSIBL
(34,31),(31,33),(31,39),-0.137932 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(34,31),(31,34),(31,35),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(34,31),(31,34),(31,37),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(34,31),(31,34),(31,39),-0.129455 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(34,31),(31,35),(31,37),-0.124885 # DEPENDENCYPART_GRANDSIBL
(34,31),(31,35),(31,39),-0.139007 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(34,31),(31,37),(31,39),-0.13668 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(34,31),(31,31),(31,30),-0.042933 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(34,31),(31,31),(31,28),-0.0420088 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(34,31),(31,31),(31,-1),-0.0400958 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(34,31),(31,30),(31,28),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(34,31),(31,30),(31,-1),-0.0435886 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(34,31),(31,28),(31,-1),-0.0420088 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(34,33),(33,33),(33,34),-0.12586 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(34,33),(33,33),(33,35),-0.128424 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(34,33),(33,33),(33,36),-0.128424 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(34,33),(33,33),(33,37),-0.12631 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(34,33),(33,33),(33,39),0.0853912 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(34,33),(33,34),(33,35),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(34,33),(33,34),(33,36),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(34,33),(33,34),(33,37),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(34,33),(33,34),(33,39),-0.127682 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(34,33),(33,35),(33,36),-0.124885 # DEPENDENCYPART_GRANDSIBL
(34,33),(33,35),(33,37),-0.124885 # DEPENDENCYPART_GRANDSIBL
(34,33),(33,35),(33,39),-0.138203 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(34,33),(33,36),(33,37),-0.124885 # DEPENDENCYPART_GRANDSIBL
(34,33),(33,36),(33,39),-0.138456 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(34,33),(33,37),(33,39),-0.122943 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(34,33),(33,33),(33,32),0.0494597 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(34,33),(33,33),(33,28),-0.0410191 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(34,33),(33,33),(33,-1),0.022826 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(34,33),(33,32),(33,28),-0.0419988 # DEPENDENCYPART_GRANDSIBL
(34,33),(33,32),(33,-1),0.0536665 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(34,33),(33,28),(33,-1),-0.0410191 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(34,35),(35,35),(35,36),-0.0308033 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(34,35),(35,35),(35,37),-0.046354 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(34,35),(35,35),(35,39),0.229997 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(34,35),(35,36),(35,37),-0.0419989 # DEPENDENCYPART_GRANDSIBL
(34,35),(35,36),(35,39),-0.0422946 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(34,35),(35,37),(35,39),-0.0471194 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(34,35),(35,35),(35,34),0.0906268 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(34,35),(35,35),(35,33),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(34,35),(35,35),(35,31),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(34,35),(35,35),(35,-1),0.0415298 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(34,35),(35,34),(35,33),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(34,35),(35,34),(35,31),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(34,35),(35,34),(35,-1),-0.156347 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(34,35),(35,33),(35,31),-0.124885 # DEPENDENCYPART_GRANDSIBL
(34,35),(35,33),(35,-1),-0.125712 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(34,35),(35,31),(35,-1),-0.128157 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(34,36),(36,36),(36,37),-0.0477361 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(34,36),(36,36),(36,39),0.305858 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(34,36),(36,37),(36,39),-0.0483593 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(34,36),(36,36),(36,35),0.0986423 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(34,36),(36,36),(36,34),0.0905944 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(34,36),(36,36),(36,31),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(34,36),(36,36),(36,-1),0.106171 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(34,36),(36,35),(36,34),0.119154 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(34,36),(36,35),(36,31),-0.124885 # DEPENDENCYPART_GRANDSIBL
(34,36),(36,35),(36,-1),-0.14541 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(34,36),(36,34),(36,31),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(34,36),(36,34),(36,-1),-0.156382 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(34,36),(36,31),(36,-1),-0.128158 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(34,37),(37,37),(37,39),-0.000802587 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(34,37),(37,37),(37,34),0.119058 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(34,37),(37,37),(37,33),-0.12626 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(34,37),(37,37),(37,32),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
