# _root_ `` I find myself in an adversary relationship with Laurel Bank , and I am not inclined to extend myself as far as any favors are concerned , '' the judge wrote back in a letter attached to the grand jury 's report .
#goldHeads=32,3,13,3,3,8,8,5,8,11,9,13,32,15,13,15,15,19,17,19,19,21,26,25,26,21,26,32,32,31,32,0,32,32,36,34,36,37,41,41,43,41,38,32,
#predictedHeads=32,3,13,3,3,8,8,5,8,11,9,13,32,15,13,15,15,19,17,19,19,21,26,25,26,21,26,32,32,31,32,0,32,32,36,34,36,37,41,41,43,41,38,32,
(13,13),(13,16),(13,29),-0.147466 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,16),(13,32),0.026061 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,16),(13,44),-0.14557 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,16),(13,45),-0.133801 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(13,13),(13,17),(13,18),-0.0566706 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,17),(13,19),0.0080796 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,17),(13,21),-0.0854003 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,17),(13,22),-0.108295 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,17),(13,26),0.0105925 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,17),(13,27),0.0101079 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,17),(13,28),-0.0749005 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,17),(13,29),-0.0802312 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,17),(13,32),0.0121438 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,17),(13,44),-0.189901 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,17),(13,45),0.0166669 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(13,13),(13,18),(13,19),-0.0631558 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,18),(13,21),-0.0752214 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,18),(13,22),-0.108014 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,18),(13,26),-0.0613688 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,18),(13,27),-0.0611275 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,18),(13,28),-0.0620063 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,18),(13,29),-0.128073 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,18),(13,32),-0.0590916 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,18),(13,44),-0.10732 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,18),(13,45),-0.0299001 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(13,13),(13,19),(13,21),-0.107928 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,19),(13,22),-0.141006 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,19),(13,26),-0.0765387 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,19),(13,27),-0.079109 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,19),(13,28),0.0362948 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,19),(13,29),-0.107574 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,19),(13,32),-0.0771766 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,19),(13,44),0.173671 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,19),(13,45),0.0167402 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(13,13),(13,21),(13,22),-0.140433 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,21),(13,26),-0.014006 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,21),(13,27),0.0104731 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,21),(13,28),-0.103642 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,21),(13,29),-0.147384 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,21),(13,32),0.00483745 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,21),(13,44),-0.159602 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,21),(13,45),-0.0784045 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(13,13),(13,22),(13,26),-0.00213593 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,22),(13,27),0.0223432 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,22),(13,28),-0.0902867 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,22),(13,29),-0.147375 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,22),(13,32),0.0167075 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,22),(13,44),-0.144168 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,22),(13,45),-0.0931003 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(13,13),(13,26),(13,27),-0.0891588 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,26),(13,28),0.0361111 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,26),(13,29),-0.10766 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,26),(13,32),-0.0872264 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,26),(13,44),0.183493 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,26),(13,45),0.0193502 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(13,13),(13,27),(13,28),0.0288401 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,27),(13,29),-0.107767 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,27),(13,32),-0.0771771 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,27),(13,44),0.176208 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,27),(13,45),0.0244313 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(13,13),(13,28),(13,29),-0.10824 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,28),(13,32),0.0412844 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,28),(13,44),-0.12033 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,28),(13,45),-0.278024 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(13,13),(13,29),(13,32),-0.0549092 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,29),(13,44),-0.103173 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,29),(13,45),-0.127873 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(13,13),(13,32),(13,44),0.174349 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,32),(13,45),0.0165235 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(13,13),(13,44),(13,45),-0.118045 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(13,14),(13,15),(13,16),-0.0747975 # DEPENDENCYPART_TRISIBL
(13,14),(13,15),(13,17),-0.0761015 # DEPENDENCYPART_TRISIBL
(13,14),(13,15),(13,18),-0.0699755 # DEPENDENCYPART_TRISIBL
(13,14),(13,15),(13,19),-0.0892483 # DEPENDENCYPART_TRISIBL
(13,14),(13,15),(13,21),-0.0747624 # DEPENDENCYPART_TRISIBL
(13,14),(13,15),(13,22),-0.073975 # DEPENDENCYPART_TRISIBL
(13,14),(13,15),(13,26),-0.090353 # DEPENDENCYPART_TRISIBL
(13,14),(13,15),(13,27),-0.0892483 # DEPENDENCYPART_TRISIBL
(13,14),(13,15),(13,28),-0.0743273 # DEPENDENCYPART_TRISIBL
(13,14),(13,15),(13,29),-0.0831542 # DEPENDENCYPART_TRISIBL
(13,14),(13,15),(13,32),-0.0892619 # DEPENDENCYPART_TRISIBL
(13,14),(13,15),(13,44),-0.0736834 # DEPENDENCYPART_TRISIBL
(13,14),(13,15),(13,45),-0.126519 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,14),(13,16),(13,17),-0.0774059 # DEPENDENCYPART_TRISIBL
(13,14),(13,16),(13,18),-0.0594487 # DEPENDENCYPART_TRISIBL
(13,14),(13,16),(13,19),-0.0922399 # DEPENDENCYPART_TRISIBL
(13,14),(13,16),(13,21),-0.0685857 # DEPENDENCYPART_TRISIBL
(13,14),(13,16),(13,22),-0.0677984 # DEPENDENCYPART_TRISIBL
(13,14),(13,16),(13,26),-0.093084 # DEPENDENCYPART_TRISIBL
(13,14),(13,16),(13,27),-0.0922399 # DEPENDENCYPART_TRISIBL
(13,14),(13,16),(13,28),-0.0375099 # DEPENDENCYPART_TRISIBL
(13,14),(13,16),(13,29),-0.0833607 # DEPENDENCYPART_TRISIBL
(13,14),(13,16),(13,32),-0.0922504 # DEPENDENCYPART_TRISIBL
(13,14),(13,16),(13,44),-0.0848443 # DEPENDENCYPART_TRISIBL
(13,14),(13,16),(13,45),-0.123455 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,14),(13,17),(13,18),-0.0694368 # DEPENDENCYPART_TRISIBL
(13,14),(13,17),(13,19),-0.0836932 # DEPENDENCYPART_TRISIBL
(13,14),(13,17),(13,21),-0.0742134 # DEPENDENCYPART_TRISIBL
(13,14),(13,17),(13,22),-0.0734262 # DEPENDENCYPART_TRISIBL
(13,14),(13,17),(13,26),-0.0845374 # DEPENDENCYPART_TRISIBL
(13,14),(13,17),(13,27),-0.0836932 # DEPENDENCYPART_TRISIBL
(13,14),(13,17),(13,28),-0.0599892 # DEPENDENCYPART_TRISIBL
(13,14),(13,17),(13,29),-0.0826578 # DEPENDENCYPART_TRISIBL
(13,14),(13,17),(13,32),-0.0837037 # DEPENDENCYPART_TRISIBL
(13,14),(13,17),(13,44),-0.0651748 # DEPENDENCYPART_TRISIBL
(13,14),(13,17),(13,45),-0.110598 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,14),(13,18),(13,19),-0.0850293 # DEPENDENCYPART_TRISIBL
(13,14),(13,18),(13,21),-0.075737 # DEPENDENCYPART_TRISIBL
(13,14),(13,18),(13,22),-0.0752995 # DEPENDENCYPART_TRISIBL
(13,14),(13,18),(13,26),-0.0858734 # DEPENDENCYPART_TRISIBL
(13,14),(13,18),(13,27),-0.0850293 # DEPENDENCYPART_TRISIBL
(13,14),(13,18),(13,28),-0.0692836 # DEPENDENCYPART_TRISIBL
(13,14),(13,18),(13,29),-0.0827072 # DEPENDENCYPART_TRISIBL
(13,14),(13,18),(13,32),-0.0850398 # DEPENDENCYPART_TRISIBL
(13,14),(13,18),(13,44),-0.0722132 # DEPENDENCYPART_TRISIBL
(13,14),(13,18),(13,45),-0.110497 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,14),(13,19),(13,21),-0.0747624 # DEPENDENCYPART_TRISIBL
(13,14),(13,19),(13,22),-0.073975 # DEPENDENCYPART_TRISIBL
(13,14),(13,19),(13,26),-0.0903529 # DEPENDENCYPART_TRISIBL
(13,14),(13,19),(13,27),-0.0892483 # DEPENDENCYPART_TRISIBL
(13,14),(13,19),(13,28),-0.0743273 # DEPENDENCYPART_TRISIBL
(13,14),(13,19),(13,29),-0.0831542 # DEPENDENCYPART_TRISIBL
(13,14),(13,19),(13,32),-0.0892619 # DEPENDENCYPART_TRISIBL
(13,14),(13,19),(13,44),-0.0736811 # DEPENDENCYPART_TRISIBL
(13,14),(13,19),(13,45),-0.126516 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,14),(13,21),(13,22),-0.0622643 # DEPENDENCYPART_TRISIBL
(13,14),(13,21),(13,26),-0.0940274 # DEPENDENCYPART_TRISIBL
(13,14),(13,21),(13,27),-0.0931833 # DEPENDENCYPART_TRISIBL
(13,14),(13,21),(13,28),-0.0276616 # DEPENDENCYPART_TRISIBL
(13,14),(13,21),(13,29),-0.0833614 # DEPENDENCYPART_TRISIBL
(13,14),(13,21),(13,32),-0.0931938 # DEPENDENCYPART_TRISIBL
(13,14),(13,21),(13,44),-0.0799924 # DEPENDENCYPART_TRISIBL
(13,14),(13,21),(13,45),-0.114877 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,14),(13,22),(13,26),-0.0940027 # DEPENDENCYPART_TRISIBL
(13,14),(13,22),(13,27),-0.0931586 # DEPENDENCYPART_TRISIBL
(13,14),(13,22),(13,28),-0.0380158 # DEPENDENCYPART_TRISIBL
(13,14),(13,22),(13,29),-0.0833607 # DEPENDENCYPART_TRISIBL
(13,14),(13,22),(13,32),-0.0931691 # DEPENDENCYPART_TRISIBL
(13,14),(13,22),(13,44),-0.0848443 # DEPENDENCYPART_TRISIBL
(13,14),(13,22),(13,45),-0.122661 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,14),(13,26),(13,27),-0.0908777 # DEPENDENCYPART_TRISIBL
(13,14),(13,26),(13,28),-0.0748489 # DEPENDENCYPART_TRISIBL
(13,14),(13,26),(13,29),-0.0831542 # DEPENDENCYPART_TRISIBL
(13,14),(13,26),(13,32),-0.0908913 # DEPENDENCYPART_TRISIBL
(13,14),(13,26),(13,44),-0.0738009 # DEPENDENCYPART_TRISIBL
(13,14),(13,26),(13,45),-0.126888 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,14),(13,27),(13,28),-0.0743273 # DEPENDENCYPART_TRISIBL
(13,14),(13,27),(13,29),-0.0831542 # DEPENDENCYPART_TRISIBL
(13,14),(13,27),(13,32),-0.0892619 # DEPENDENCYPART_TRISIBL
(13,14),(13,27),(13,44),-0.0736811 # DEPENDENCYPART_TRISIBL
(13,14),(13,27),(13,45),-0.126515 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,14),(13,28),(13,29),-0.0940147 # DEPENDENCYPART_TRISIBL
(13,14),(13,28),(13,32),-0.0838358 # DEPENDENCYPART_TRISIBL
(13,14),(13,28),(13,44),-0.072424 # DEPENDENCYPART_TRISIBL
(13,14),(13,28),(13,45),-0.121615 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,14),(13,29),(13,32),-0.0894884 # DEPENDENCYPART_TRISIBL
(13,14),(13,29),(13,44),-0.0718285 # DEPENDENCYPART_TRISIBL
(13,14),(13,29),(13,45),-0.11122 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,14),(13,32),(13,44),-0.0737656 # DEPENDENCYPART_TRISIBL
(13,14),(13,32),(13,45),-0.126544 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,14),(13,44),(13,45),-0.115874 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,15),(13,16),(13,17),-0.055514 # DEPENDENCYPART_TRISIBL
(13,15),(13,16),(13,18),-0.0727376 # DEPENDENCYPART_TRISIBL
(13,15),(13,16),(13,19),-0.124386 # DEPENDENCYPART_TRISIBL
(13,15),(13,16),(13,21),-0.0580144 # DEPENDENCYPART_TRISIBL
(13,15),(13,16),(13,22),-0.0556189 # DEPENDENCYPART_TRISIBL
(13,15),(13,16),(13,26),-0.124842 # DEPENDENCYPART_TRISIBL
(13,15),(13,16),(13,27),-0.12419 # DEPENDENCYPART_TRISIBL
(13,15),(13,16),(13,28),-0.0716382 # DEPENDENCYPART_TRISIBL
(13,15),(13,16),(13,29),-0.00468709 # DEPENDENCYPART_TRISIBL
(13,15),(13,16),(13,32),-0.124272 # DEPENDENCYPART_TRISIBL
(13,15),(13,16),(13,44),0.0117132 # DEPENDENCYPART_TRISIBL
(13,15),(13,16),(13,45),-0.121722 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,15),(13,17),(13,18),-0.0716136 # DEPENDENCYPART_TRISIBL
(13,15),(13,17),(13,19),-0.114816 # DEPENDENCYPART_TRISIBL
(13,15),(13,17),(13,21),-0.0555642 # DEPENDENCYPART_TRISIBL
(13,15),(13,17),(13,22),-0.0531935 # DEPENDENCYPART_TRISIBL
(13,15),(13,17),(13,26),-0.114844 # DEPENDENCYPART_TRISIBL
(13,15),(13,17),(13,27),-0.11462 # DEPENDENCYPART_TRISIBL
(13,15),(13,17),(13,28),-0.0776363 # DEPENDENCYPART_TRISIBL
(13,15),(13,17),(13,29),-0.0030761 # DEPENDENCYPART_TRISIBL
(13,15),(13,17),(13,32),-0.114702 # DEPENDENCYPART_TRISIBL
(13,15),(13,17),(13,44),0.00326296 # DEPENDENCYPART_TRISIBL
(13,15),(13,17),(13,45),-0.130656 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,15),(13,18),(13,19),-0.109909 # DEPENDENCYPART_TRISIBL
(13,15),(13,18),(13,21),-0.0558553 # DEPENDENCYPART_TRISIBL
(13,15),(13,18),(13,22),-0.0534733 # DEPENDENCYPART_TRISIBL
(13,15),(13,18),(13,26),-0.109904 # DEPENDENCYPART_TRISIBL
(13,15),(13,18),(13,27),-0.109712 # DEPENDENCYPART_TRISIBL
(13,15),(13,18),(13,28),-0.0798899 # DEPENDENCYPART_TRISIBL
(13,15),(13,18),(13,29),-0.00127101 # DEPENDENCYPART_TRISIBL
(13,15),(13,18),(13,32),-0.109794 # DEPENDENCYPART_TRISIBL
(13,15),(13,18),(13,44),-0.00347476 # DEPENDENCYPART_TRISIBL
(13,15),(13,18),(13,45),-0.103112 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,15),(13,19),(13,21),-0.0593919 # DEPENDENCYPART_TRISIBL
(13,15),(13,19),(13,22),-0.0563944 # DEPENDENCYPART_TRISIBL
(13,15),(13,19),(13,26),-0.128274 # DEPENDENCYPART_TRISIBL
(13,15),(13,19),(13,27),-0.127203 # DEPENDENCYPART_TRISIBL
(13,15),(13,19),(13,28),-0.0892194 # DEPENDENCYPART_TRISIBL
(13,15),(13,19),(13,29),-0.0213492 # DEPENDENCYPART_TRISIBL
(13,15),(13,19),(13,32),-0.127284 # DEPENDENCYPART_TRISIBL
(13,15),(13,19),(13,44),-0.090917 # DEPENDENCYPART_TRISIBL
(13,15),(13,19),(13,45),-0.0758729 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,15),(13,21),(13,22),-0.0559659 # DEPENDENCYPART_TRISIBL
(13,15),(13,21),(13,26),-0.124397 # DEPENDENCYPART_TRISIBL
(13,15),(13,21),(13,27),-0.123745 # DEPENDENCYPART_TRISIBL
(13,15),(13,21),(13,28),-0.0722351 # DEPENDENCYPART_TRISIBL
(13,15),(13,21),(13,29),-0.0046638 # DEPENDENCYPART_TRISIBL
(13,15),(13,21),(13,32),-0.123827 # DEPENDENCYPART_TRISIBL
(13,15),(13,21),(13,44),0.00938008 # DEPENDENCYPART_TRISIBL
(13,15),(13,21),(13,45),-0.117915 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,15),(13,22),(13,26),-0.124064 # DEPENDENCYPART_TRISIBL
(13,15),(13,22),(13,27),-0.123412 # DEPENDENCYPART_TRISIBL
(13,15),(13,22),(13,28),-0.0716382 # DEPENDENCYPART_TRISIBL
(13,15),(13,22),(13,29),-0.00463426 # DEPENDENCYPART_TRISIBL
(13,15),(13,22),(13,32),-0.123494 # DEPENDENCYPART_TRISIBL
(13,15),(13,22),(13,44),0.0117206 # DEPENDENCYPART_TRISIBL
(13,15),(13,22),(13,45),-0.120553 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,15),(13,26),(13,27),-0.127808 # DEPENDENCYPART_TRISIBL
(13,15),(13,26),(13,28),-0.0892871 # DEPENDENCYPART_TRISIBL
(13,15),(13,26),(13,29),-0.0227793 # DEPENDENCYPART_TRISIBL
(13,15),(13,26),(13,32),-0.127888 # DEPENDENCYPART_TRISIBL
(13,15),(13,26),(13,44),-0.0911574 # DEPENDENCYPART_TRISIBL
(13,15),(13,26),(13,45),-0.0736906 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,15),(13,27),(13,28),-0.0892193 # DEPENDENCYPART_TRISIBL
(13,15),(13,27),(13,29),-0.0213492 # DEPENDENCYPART_TRISIBL
(13,15),(13,27),(13,32),-0.127284 # DEPENDENCYPART_TRISIBL
(13,15),(13,27),(13,44),-0.090917 # DEPENDENCYPART_TRISIBL
(13,15),(13,27),(13,45),-0.0758361 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,15),(13,28),(13,29),0.0537839 # DEPENDENCYPART_TRISIBL
(13,15),(13,28),(13,32),-0.0673243 # DEPENDENCYPART_TRISIBL
(13,15),(13,28),(13,44),-0.0170716 # DEPENDENCYPART_TRISIBL
(13,15),(13,28),(13,45),-0.0889219 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,15),(13,29),(13,32),-0.112553 # DEPENDENCYPART_TRISIBL
(13,15),(13,29),(13,44),-0.00421453 # DEPENDENCYPART_TRISIBL
(13,15),(13,29),(13,45),-0.104392 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,15),(13,32),(13,44),-0.090917 # DEPENDENCYPART_TRISIBL
(13,15),(13,32),(13,45),-0.0759474 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,15),(13,44),(13,45),0.0511849 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,16),(13,17),(13,18),-0.0887938 # DEPENDENCYPART_TRISIBL
(13,16),(13,17),(13,19),-0.0497404 # DEPENDENCYPART_TRISIBL
(13,16),(13,17),(13,21),-0.125217 # DEPENDENCYPART_TRISIBL
(13,16),(13,17),(13,22),-0.10076 # DEPENDENCYPART_TRISIBL
(13,16),(13,17),(13,26),-0.0569874 # DEPENDENCYPART_TRISIBL
(13,16),(13,17),(13,27),-0.0484731 # DEPENDENCYPART_TRISIBL
(13,16),(13,17),(13,28),0.00227502 # DEPENDENCYPART_TRISIBL
(13,16),(13,17),(13,29),-0.0789249 # DEPENDENCYPART_TRISIBL
(13,16),(13,17),(13,32),-0.0492587 # DEPENDENCYPART_TRISIBL
(13,16),(13,17),(13,44),-0.0582507 # DEPENDENCYPART_TRISIBL
(13,16),(13,17),(13,45),-0.0902419 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,16),(13,18),(13,19),-0.0528006 # DEPENDENCYPART_TRISIBL
(13,16),(13,18),(13,21),-0.12011 # DEPENDENCYPART_TRISIBL
(13,16),(13,18),(13,22),-0.104983 # DEPENDENCYPART_TRISIBL
(13,16),(13,18),(13,26),-0.0579434 # DEPENDENCYPART_TRISIBL
(13,16),(13,18),(13,27),-0.0515333 # DEPENDENCYPART_TRISIBL
(13,16),(13,18),(13,28),-0.0204443 # DEPENDENCYPART_TRISIBL
(13,16),(13,18),(13,29),-0.0870638 # DEPENDENCYPART_TRISIBL
(13,16),(13,18),(13,32),-0.0523189 # DEPENDENCYPART_TRISIBL
(13,16),(13,18),(13,44),-0.0451636 # DEPENDENCYPART_TRISIBL
(13,16),(13,18),(13,45),-0.0638173 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,16),(13,19),(13,21),-0.126333 # DEPENDENCYPART_TRISIBL
(13,16),(13,19),(13,22),-0.110145 # DEPENDENCYPART_TRISIBL
(13,16),(13,19),(13,26),-0.0841295 # DEPENDENCYPART_TRISIBL
(13,16),(13,19),(13,27),-0.0761318 # DEPENDENCYPART_TRISIBL
(13,16),(13,19),(13,28),-0.0252848 # DEPENDENCYPART_TRISIBL
(13,16),(13,19),(13,29),-0.0980044 # DEPENDENCYPART_TRISIBL
(13,16),(13,19),(13,32),-0.0769174 # DEPENDENCYPART_TRISIBL
(13,16),(13,19),(13,44),0.0396697 # DEPENDENCYPART_TRISIBL
(13,16),(13,19),(13,45),-0.0977565 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,16),(13,21),(13,22),-0.114688 # DEPENDENCYPART_TRISIBL
(13,16),(13,21),(13,26),-0.0359123 # DEPENDENCYPART_TRISIBL
(13,16),(13,21),(13,27),-0.0287746 # DEPENDENCYPART_TRISIBL
(13,16),(13,21),(13,28),-0.0487667 # DEPENDENCYPART_TRISIBL
(13,16),(13,21),(13,29),-0.0882458 # DEPENDENCYPART_TRISIBL
(13,16),(13,21),(13,32),-0.029553 # DEPENDENCYPART_TRISIBL
(13,16),(13,21),(13,44),-0.0857992 # DEPENDENCYPART_TRISIBL
(13,16),(13,21),(13,45),-0.178839 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,16),(13,22),(13,26),-0.0357067 # DEPENDENCYPART_TRISIBL
(13,16),(13,22),(13,27),-0.0285691 # DEPENDENCYPART_TRISIBL
(13,16),(13,22),(13,28),-0.0442894 # DEPENDENCYPART_TRISIBL
(13,16),(13,22),(13,29),-0.0881832 # DEPENDENCYPART_TRISIBL
(13,16),(13,22),(13,32),-0.0293475 # DEPENDENCYPART_TRISIBL
(13,16),(13,22),(13,44),-0.0923347 # DEPENDENCYPART_TRISIBL
(13,16),(13,22),(13,45),-0.15655 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,16),(13,26),(13,27),-0.0761519 # DEPENDENCYPART_TRISIBL
(13,16),(13,26),(13,28),-0.0265792 # DEPENDENCYPART_TRISIBL
(13,16),(13,26),(13,29),-0.104382 # DEPENDENCYPART_TRISIBL
(13,16),(13,26),(13,32),-0.0769375 # DEPENDENCYPART_TRISIBL
(13,16),(13,26),(13,44),0.0334512 # DEPENDENCYPART_TRISIBL
(13,16),(13,26),(13,45),-0.103347 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,16),(13,27),(13,28),-0.0252848 # DEPENDENCYPART_TRISIBL
(13,16),(13,27),(13,29),-0.0930293 # DEPENDENCYPART_TRISIBL
(13,16),(13,27),(13,32),-0.0769174 # DEPENDENCYPART_TRISIBL
(13,16),(13,27),(13,44),0.0396934 # DEPENDENCYPART_TRISIBL
(13,16),(13,27),(13,45),-0.0945708 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,16),(13,28),(13,29),-0.111397 # DEPENDENCYPART_TRISIBL
(13,16),(13,28),(13,32),-0.0392332 # DEPENDENCYPART_TRISIBL
(13,16),(13,28),(13,44),-0.0421982 # DEPENDENCYPART_TRISIBL
(13,16),(13,28),(13,45),-0.197784 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,16),(13,29),(13,32),-0.0435942 # DEPENDENCYPART_TRISIBL
(13,16),(13,29),(13,44),-0.0552555 # DEPENDENCYPART_TRISIBL
(13,16),(13,29),(13,45),-0.1499 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,16),(13,32),(13,44),0.0396696 # DEPENDENCYPART_TRISIBL
(13,16),(13,32),(13,45),-0.0972629 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,16),(13,44),(13,45),-0.283726 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,17),(13,18),(13,19),-0.059674 # DEPENDENCYPART_TRISIBL
(13,17),(13,18),(13,21),-0.0811356 # DEPENDENCYPART_TRISIBL
(13,17),(13,18),(13,22),-0.0841451 # DEPENDENCYPART_TRISIBL
(13,17),(13,18),(13,26),-0.0644539 # DEPENDENCYPART_TRISIBL
(13,17),(13,18),(13,27),-0.059674 # DEPENDENCYPART_TRISIBL
(13,17),(13,18),(13,28),-0.0632042 # DEPENDENCYPART_TRISIBL
(13,17),(13,18),(13,29),-0.0906047 # DEPENDENCYPART_TRISIBL
(13,17),(13,18),(13,32),-0.059674 # DEPENDENCYPART_TRISIBL
