# _root_ Among active stocks , MCI Communications rose 7\/8 to 43 on 2.2 million shares , Mentor Graphics added 1\/8 to 16 3\/8 on turnover of 1.5 million shares .
#goldHeads=7,3,1,7,6,7,0,7,7,9,7,14,14,11,7,17,18,7,18,18,22,20,18,23,24,27,28,25,7,
#predictedHeads=7,3,1,7,6,7,18,7,7,9,7,13,14,11,18,17,18,0,18,18,22,20,18,23,24,27,28,25,18,
(22,24),(22,26),(22,27),-0.0555097 # DEPENDENCYPART_TRISIBL
(22,24),(22,26),(22,30),-0.113667 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,24),(22,27),(22,30),-0.113824 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,25),(22,26),(22,27),-0.0685451 # DEPENDENCYPART_TRISIBL
(22,25),(22,26),(22,30),-0.142949 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,25),(22,27),(22,30),-0.143426 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,26),(22,27),(22,30),-0.0523431 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,22),(22,21),(22,20),-0.165854 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,21),(22,19),-0.148841 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,21),(22,-1),-0.0612846 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,22),(22,20),(22,19),-0.0293027 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,20),(22,-1),-0.433596 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,22),(22,19),(22,-1),-0.0682905 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,21),(22,20),(22,19),-0.0553746 # DEPENDENCYPART_TRISIBL
(22,21),(22,20),(22,-1),-0.173984 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,21),(22,19),(22,-1),-0.10233 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,20),(22,19),(22,-1),0.00704837 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(23,23),(23,24),(23,25),-0.00466154 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(23,23),(23,24),(23,26),-0.0826289 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(23,23),(23,24),(23,27),-0.0602344 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(23,23),(23,24),(23,28),-0.103929 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(23,23),(23,24),(23,30),0.26886 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(23,23),(23,25),(23,26),-0.117252 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(23,23),(23,25),(23,27),-0.0959096 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(23,23),(23,25),(23,28),0.0829694 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(23,23),(23,25),(23,30),-0.0903182 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(23,23),(23,26),(23,27),-0.0210457 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(23,23),(23,26),(23,28),-0.0674489 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(23,23),(23,26),(23,30),0.0916655 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(23,23),(23,27),(23,28),-0.0625322 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(23,23),(23,27),(23,30),0.0728604 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(23,23),(23,28),(23,30),0.264963 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(23,24),(23,25),(23,26),-0.0551399 # DEPENDENCYPART_TRISIBL
(23,24),(23,25),(23,27),-0.0552438 # DEPENDENCYPART_TRISIBL
(23,24),(23,25),(23,28),-0.132982 # DEPENDENCYPART_TRISIBL
(23,24),(23,25),(23,30),0.00652523 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(23,24),(23,26),(23,27),-0.0542952 # DEPENDENCYPART_TRISIBL
(23,24),(23,26),(23,28),-0.115417 # DEPENDENCYPART_TRISIBL
(23,24),(23,26),(23,30),-0.108522 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(23,24),(23,27),(23,28),-0.115417 # DEPENDENCYPART_TRISIBL
(23,24),(23,27),(23,30),-0.108678 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(23,24),(23,28),(23,30),-0.0934975 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(23,25),(23,26),(23,27),-0.071939 # DEPENDENCYPART_TRISIBL
(23,25),(23,26),(23,28),-0.0424244 # DEPENDENCYPART_TRISIBL
(23,25),(23,26),(23,30),-0.0711321 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(23,25),(23,27),(23,28),-0.0424301 # DEPENDENCYPART_TRISIBL
(23,25),(23,27),(23,30),-0.0715917 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(23,25),(23,28),(23,30),0.116466 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(23,26),(23,27),(23,28),-0.0954373 # DEPENDENCYPART_TRISIBL
(23,26),(23,27),(23,30),-0.0591432 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(23,26),(23,28),(23,30),-0.0227946 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(23,27),(23,28),(23,30),0.000319775 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(23,23),(23,22),(23,21),-0.114875 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(23,23),(23,22),(23,20),-0.14695 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(23,23),(23,22),(23,-1),-0.288845 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(23,23),(23,21),(23,20),-0.147353 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(23,23),(23,21),(23,-1),-0.284595 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(23,23),(23,20),(23,-1),-0.264095 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(23,22),(23,21),(23,20),-0.064941 # DEPENDENCYPART_TRISIBL
(23,22),(23,21),(23,-1),-0.0875019 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(23,22),(23,20),(23,-1),-0.139519 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(23,21),(23,20),(23,-1),-0.134885 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(24,24),(24,25),(24,26),-0.185875 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(24,24),(24,25),(24,27),-0.178962 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(24,24),(24,25),(24,28),-0.144897 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(24,24),(24,25),(24,29),-0.16952 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(24,24),(24,25),(24,30),-0.06641 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(24,24),(24,26),(24,27),-0.107387 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(24,24),(24,26),(24,28),-0.192225 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(24,24),(24,26),(24,29),-0.0906452 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(24,24),(24,26),(24,30),-0.0829038 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(24,24),(24,27),(24,28),-0.19041 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(24,24),(24,27),(24,29),-0.0925468 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(24,24),(24,27),(24,30),-0.0973959 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(24,24),(24,28),(24,29),-0.119304 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(24,24),(24,28),(24,30),-0.116996 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(24,24),(24,29),(24,30),-0.219314 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(24,25),(24,26),(24,27),-0.075515 # DEPENDENCYPART_TRISIBL
(24,25),(24,26),(24,28),-0.0498115 # DEPENDENCYPART_TRISIBL
(24,25),(24,26),(24,29),-0.107674 # DEPENDENCYPART_TRISIBL
(24,25),(24,26),(24,30),-0.11956 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(24,25),(24,27),(24,28),-0.0498173 # DEPENDENCYPART_TRISIBL
(24,25),(24,27),(24,29),-0.107676 # DEPENDENCYPART_TRISIBL
(24,25),(24,27),(24,30),-0.120418 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(24,25),(24,28),(24,29),-0.108285 # DEPENDENCYPART_TRISIBL
(24,25),(24,28),(24,30),-0.000540746 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(24,25),(24,29),(24,30),-0.0696566 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(24,26),(24,27),(24,28),-0.0932974 # DEPENDENCYPART_TRISIBL
(24,26),(24,27),(24,29),-0.0777326 # DEPENDENCYPART_TRISIBL
(24,26),(24,27),(24,30),-0.12802 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(24,26),(24,28),(24,29),-0.0670084 # DEPENDENCYPART_TRISIBL
(24,26),(24,28),(24,30),-0.108033 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(24,26),(24,29),(24,30),-0.113993 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(24,27),(24,28),(24,29),-0.0654587 # DEPENDENCYPART_TRISIBL
(24,27),(24,28),(24,30),-0.0918177 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(24,27),(24,29),(24,30),-0.0946332 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(24,28),(24,29),(24,30),-0.0376394 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(24,24),(24,22),(24,21),-0.173923 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(24,24),(24,22),(24,19),-0.177551 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(24,24),(24,22),(24,-1),-0.122376 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(24,24),(24,21),(24,19),-0.173962 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(24,24),(24,21),(24,-1),-0.120581 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(24,24),(24,19),(24,-1),-0.119498 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(24,22),(24,21),(24,19),-0.070746 # DEPENDENCYPART_TRISIBL
(24,22),(24,21),(24,-1),-0.094766 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(24,22),(24,19),(24,-1),-0.0928601 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(24,21),(24,19),(24,-1),-0.0779639 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(25,25),(25,26),(25,27),-0.0307107 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(25,25),(25,26),(25,28),-0.0721874 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(25,25),(25,26),(25,30),0.144207 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(25,25),(25,27),(25,28),-0.0672706 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(25,25),(25,27),(25,30),0.125402 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(25,25),(25,28),(25,30),0.32107 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(25,26),(25,27),(25,28),-0.0982035 # DEPENDENCYPART_TRISIBL
(25,26),(25,27),(25,30),-0.0738529 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(25,26),(25,28),(25,30),-0.036984 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(25,27),(25,28),(25,30),-0.0138696 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(25,25),(25,24),(25,20),-0.183706 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(25,25),(25,24),(25,-1),-0.202207 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(25,25),(25,20),(25,-1),-0.268665 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(25,24),(25,20),(25,-1),-0.147263 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(26,26),(26,27),(26,30),-0.340124 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(26,26),(26,22),(26,-1),-0.11266 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(27,27),(27,26),(27,25),-0.173931 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(27,27),(27,26),(27,24),-0.0690593 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(27,27),(27,26),(27,-1),-0.146928 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(27,27),(27,25),(27,24),-0.0114043 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(27,27),(27,25),(27,-1),-0.277714 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(27,27),(27,24),(27,-1),-0.368466 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(27,26),(27,25),(27,24),-0.082312 # DEPENDENCYPART_TRISIBL
(27,26),(27,25),(27,-1),-0.0410779 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(27,26),(27,24),(27,-1),-0.101671 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(27,25),(27,24),(27,-1),-0.0963832 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(28,28),(28,29),(28,30),-0.234312 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(28,28),(28,27),(28,26),-0.177697 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(28,28),(28,27),(28,25),-0.151536 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(28,28),(28,27),(28,24),-0.157148 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(28,28),(28,27),(28,23),-0.12288 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(28,28),(28,27),(28,22),-0.175138 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(28,28),(28,27),(28,21),-0.179022 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(28,28),(28,27),(28,-1),-0.083423 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(28,28),(28,26),(28,25),-0.149511 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(28,28),(28,26),(28,24),-0.160848 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(28,28),(28,26),(28,23),-0.120855 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(28,28),(28,26),(28,22),-0.172281 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(28,28),(28,26),(28,21),-0.176165 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(28,28),(28,26),(28,-1),-0.0656232 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(28,28),(28,25),(28,24),-0.0258623 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(28,28),(28,25),(28,23),-0.180901 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(28,28),(28,25),(28,22),-0.143614 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(28,28),(28,25),(28,21),-0.146616 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(28,28),(28,25),(28,-1),-0.0394006 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(28,28),(28,24),(28,23),-0.120376 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(28,28),(28,24),(28,22),-0.124342 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(28,28),(28,24),(28,21),-0.125648 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(28,28),(28,24),(28,-1),-0.14731 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(28,28),(28,23),(28,22),-0.14237 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(28,28),(28,23),(28,21),-0.145372 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(28,28),(28,23),(28,-1),-0.0631536 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(28,28),(28,22),(28,21),-0.180026 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(28,28),(28,22),(28,-1),-0.0694 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(28,28),(28,21),(28,-1),-0.0676053 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(28,27),(28,26),(28,25),-0.114161 # DEPENDENCYPART_TRISIBL
(28,27),(28,26),(28,24),-0.114961 # DEPENDENCYPART_TRISIBL
(28,27),(28,26),(28,23),-0.11332 # DEPENDENCYPART_TRISIBL
(28,27),(28,26),(28,22),-0.0709361 # DEPENDENCYPART_TRISIBL
(28,27),(28,26),(28,21),-0.0703225 # DEPENDENCYPART_TRISIBL
(28,27),(28,26),(28,-1),-0.108995 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(28,27),(28,25),(28,24),-0.0946633 # DEPENDENCYPART_TRISIBL
(28,27),(28,25),(28,23),-0.10456 # DEPENDENCYPART_TRISIBL
(28,27),(28,25),(28,22),-0.0378266 # DEPENDENCYPART_TRISIBL
(28,27),(28,25),(28,21),-0.0371007 # DEPENDENCYPART_TRISIBL
(28,27),(28,25),(28,-1),-0.101773 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(28,27),(28,24),(28,23),-0.107973 # DEPENDENCYPART_TRISIBL
(28,27),(28,24),(28,22),-0.0676272 # DEPENDENCYPART_TRISIBL
(28,27),(28,24),(28,21),-0.0670209 # DEPENDENCYPART_TRISIBL
(28,27),(28,24),(28,-1),-0.125922 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(28,27),(28,23),(28,22),-0.0381956 # DEPENDENCYPART_TRISIBL
(28,27),(28,23),(28,21),-0.0374697 # DEPENDENCYPART_TRISIBL
(28,27),(28,23),(28,-1),-0.119102 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(28,27),(28,22),(28,21),-0.0703876 # DEPENDENCYPART_TRISIBL
(28,27),(28,22),(28,-1),-0.108925 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(28,27),(28,21),(28,-1),-0.110629 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(28,26),(28,25),(28,24),-0.0888864 # DEPENDENCYPART_TRISIBL
(28,26),(28,25),(28,23),-0.0944596 # DEPENDENCYPART_TRISIBL
(28,26),(28,25),(28,22),-0.037021 # DEPENDENCYPART_TRISIBL
(28,26),(28,25),(28,21),-0.036295 # DEPENDENCYPART_TRISIBL
(28,26),(28,25),(28,-1),-0.0956678 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(28,26),(28,24),(28,23),-0.0970566 # DEPENDENCYPART_TRISIBL
(28,26),(28,24),(28,22),-0.067064 # DEPENDENCYPART_TRISIBL
(28,26),(28,24),(28,21),-0.0664577 # DEPENDENCYPART_TRISIBL
(28,26),(28,24),(28,-1),-0.130277 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(28,26),(28,23),(28,22),-0.03739 # DEPENDENCYPART_TRISIBL
(28,26),(28,23),(28,21),-0.036664 # DEPENDENCYPART_TRISIBL
(28,26),(28,23),(28,-1),-0.112997 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(28,26),(28,22),(28,21),-0.0699179 # DEPENDENCYPART_TRISIBL
(28,26),(28,22),(28,-1),-0.0988007 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(28,26),(28,21),(28,-1),-0.100505 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(28,25),(28,24),(28,23),-0.110311 # DEPENDENCYPART_TRISIBL
(28,25),(28,24),(28,22),-0.0950572 # DEPENDENCYPART_TRISIBL
(28,25),(28,24),(28,21),-0.0954683 # DEPENDENCYPART_TRISIBL
(28,25),(28,24),(28,-1),-0.159413 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(28,25),(28,23),(28,22),-0.0816367 # DEPENDENCYPART_TRISIBL
(28,25),(28,23),(28,21),-0.0818424 # DEPENDENCYPART_TRISIBL
(28,25),(28,23),(28,-1),-0.134839 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(28,25),(28,22),(28,21),-0.0851063 # DEPENDENCYPART_TRISIBL
(28,25),(28,22),(28,-1),-0.162966 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(28,25),(28,21),(28,-1),-0.162745 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(28,24),(28,23),(28,22),-0.0521642 # DEPENDENCYPART_TRISIBL
(28,24),(28,23),(28,21),-0.0523107 # DEPENDENCYPART_TRISIBL
(28,24),(28,23),(28,-1),-0.0918549 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(28,24),(28,22),(28,21),-0.0403504 # DEPENDENCYPART_TRISIBL
(28,24),(28,22),(28,-1),-0.0947638 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(28,24),(28,21),(28,-1),-0.0931501 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(28,23),(28,22),(28,21),-0.0858199 # DEPENDENCYPART_TRISIBL
(28,23),(28,22),(28,-1),-0.127037 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(28,23),(28,21),(28,-1),-0.126815 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(28,22),(28,21),(28,-1),-0.109314 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(0,3),(1,2),0.151118 # DEPENDENCYPART_HEADBIGRAM
(0,3),(3,2),0.140248 # DEPENDENCYPART_HEADBIGRAM
(0,3),(5,2),0.068786 # DEPENDENCYPART_HEADBIGRAM
(0,3),(7,2),0.0741094 # DEPENDENCYPART_HEADBIGRAM
(0,3),(18,2),0.0796494 # DEPENDENCYPART_HEADBIGRAM
(0,6),(1,5),0.176593 # DEPENDENCYPART_HEADBIGRAM
(0,6),(3,5),0.0516716 # DEPENDENCYPART_HEADBIGRAM
(0,6),(6,5),0.251312 # DEPENDENCYPART_HEADBIGRAM
(0,6),(7,5),0.0752191 # DEPENDENCYPART_HEADBIGRAM
(0,6),(8,5),0.0802142 # DEPENDENCYPART_HEADBIGRAM
(0,7),(0,6),0.0814209 # DEPENDENCYPART_HEADBIGRAM
(0,7),(1,6),0.282322 # DEPENDENCYPART_HEADBIGRAM
(0,7),(5,6),0.123833 # DEPENDENCYPART_HEADBIGRAM
(0,7),(7,6),0.253994 # DEPENDENCYPART_HEADBIGRAM
(0,7),(18,6),-0.00715735 # DEPENDENCYPART_HEADBIGRAM
(0,18),(7,17),0.0474343 # DEPENDENCYPART_HEADBIGRAM
(0,18),(16,17),0.0581178 # DEPENDENCYPART_HEADBIGRAM
(0,18),(18,17),0.24631 # DEPENDENCYPART_HEADBIGRAM
(1,2),(0,1),-0.0950771 # DEPENDENCYPART_HEADBIGRAM
(1,2),(2,1),0.0206644 # DEPENDENCYPART_HEADBIGRAM
(1,2),(3,1),0.118219 # DEPENDENCYPART_HEADBIGRAM
(1,2),(7,1),0.0308484 # DEPENDENCYPART_HEADBIGRAM
(1,2),(14,1),0.113532 # DEPENDENCYPART_HEADBIGRAM
(1,2),(18,1),0.0363937 # DEPENDENCYPART_HEADBIGRAM
(1,3),(1,2),0.101598 # DEPENDENCYPART_HEADBIGRAM
(1,3),(3,2),0.273065 # DEPENDENCYPART_HEADBIGRAM
(1,3),(5,2),0.0647419 # DEPENDENCYPART_HEADBIGRAM
(1,3),(7,2),0.0660111 # DEPENDENCYPART_HEADBIGRAM
(1,3),(18,2),0.0668429 # DEPENDENCYPART_HEADBIGRAM
(1,4),(0,3),-0.0471567 # DEPENDENCYPART_HEADBIGRAM
(1,4),(1,3),0.15059 # DEPENDENCYPART_HEADBIGRAM
(1,4),(2,3),0.111504 # DEPENDENCYPART_HEADBIGRAM
(1,4),(5,3),0.0450887 # DEPENDENCYPART_HEADBIGRAM
(1,4),(7,3),0.0813204 # DEPENDENCYPART_HEADBIGRAM
(1,4),(18,3),0.0856392 # DEPENDENCYPART_HEADBIGRAM
(1,5),(1,4),0.00786222 # DEPENDENCYPART_HEADBIGRAM
(1,5),(2,4),0.0832343 # DEPENDENCYPART_HEADBIGRAM
(1,5),(3,4),0.12956 # DEPENDENCYPART_HEADBIGRAM
(1,5),(5,4),0.00619655 # DEPENDENCYPART_HEADBIGRAM
(1,5),(6,4),0.0987301 # DEPENDENCYPART_HEADBIGRAM
(1,5),(7,4),0.0522668 # DEPENDENCYPART_HEADBIGRAM
(1,5),(18,4),0.0538644 # DEPENDENCYPART_HEADBIGRAM
(1,6),(1,5),0.0454758 # DEPENDENCYPART_HEADBIGRAM
(1,6),(3,5),0.141317 # DEPENDENCYPART_HEADBIGRAM
(1,6),(6,5),0.311884 # DEPENDENCYPART_HEADBIGRAM
(1,6),(7,5),0.0647404 # DEPENDENCYPART_HEADBIGRAM
(1,6),(8,5),0.0911021 # DEPENDENCYPART_HEADBIGRAM
(1,7),(0,6),-0.0503341 # DEPENDENCYPART_HEADBIGRAM
(1,7),(1,6),0.00875451 # DEPENDENCYPART_HEADBIGRAM
(1,7),(5,6),0.180342 # DEPENDENCYPART_HEADBIGRAM
(1,7),(7,6),0.0971603 # DEPENDENCYPART_HEADBIGRAM
(1,7),(18,6),0.071854 # DEPENDENCYPART_HEADBIGRAM
(1,9),(3,8),0.10572 # DEPENDENCYPART_HEADBIGRAM
(1,9),(5,8),0.10572 # DEPENDENCYPART_HEADBIGRAM
(1,9),(7,8),0.0925341 # DEPENDENCYPART_HEADBIGRAM
(1,9),(9,8),0.0774515 # DEPENDENCYPART_HEADBIGRAM
(1,9),(10,8),0.0789086 # DEPENDENCYPART_HEADBIGRAM
(1,9),(12,8),0.0776789 # DEPENDENCYPART_HEADBIGRAM
(1,9),(14,8),0.0855936 # DEPENDENCYPART_HEADBIGRAM
(1,9),(18,8),0.0811574 # DEPENDENCYPART_HEADBIGRAM
(1,18),(7,17),0.095516 # DEPENDENCYPART_HEADBIGRAM
(1,18),(16,17),0.114628 # DEPENDENCYPART_HEADBIGRAM
(1,18),(18,17),0.0831124 # DEPENDENCYPART_HEADBIGRAM
(2,3),(1,2),-0.0707416 # DEPENDENCYPART_HEADBIGRAM
(2,3),(3,2),-0.00424694 # DEPENDENCYPART_HEADBIGRAM
(2,3),(5,2),0.11409 # DEPENDENCYPART_HEADBIGRAM
(2,3),(7,2),0.133549 # DEPENDENCYPART_HEADBIGRAM
(2,3),(18,2),0.121535 # DEPENDENCYPART_HEADBIGRAM
(2,4),(0,3),-0.0664909 # DEPENDENCYPART_HEADBIGRAM
(2,4),(1,3),-0.0574625 # DEPENDENCYPART_HEADBIGRAM
(2,4),(2,3),0.0954329 # DEPENDENCYPART_HEADBIGRAM
(2,4),(5,3),0.075718 # DEPENDENCYPART_HEADBIGRAM
(2,4),(7,3),0.0753125 # DEPENDENCYPART_HEADBIGRAM
(2,4),(18,3),0.0752561 # DEPENDENCYPART_HEADBIGRAM
(2,7),(0,6),-0.0588254 # DEPENDENCYPART_HEADBIGRAM
(2,7),(1,6),-0.0451456 # DEPENDENCYPART_HEADBIGRAM
(2,7),(5,6),0.159346 # DEPENDENCYPART_HEADBIGRAM
(2,7),(7,6),0.211547 # DEPENDENCYPART_HEADBIGRAM
(2,7),(18,6),0.0761599 # DEPENDENCYPART_HEADBIGRAM
(3,2),(0,1),-0.00741517 # DEPENDENCYPART_HEADBIGRAM
(3,2),(2,1),-0.116986 # DEPENDENCYPART_HEADBIGRAM
(3,2),(3,1),0.0260971 # DEPENDENCYPART_HEADBIGRAM
(3,2),(7,1),0.0562299 # DEPENDENCYPART_HEADBIGRAM
(3,2),(14,1),0.134099 # DEPENDENCYPART_HEADBIGRAM
(3,2),(18,1),0.0701228 # DEPENDENCYPART_HEADBIGRAM
(3,4),(0,3),-0.0757141 # DEPENDENCYPART_HEADBIGRAM
(3,4),(1,3),-0.100073 # DEPENDENCYPART_HEADBIGRAM
(3,4),(2,3),-0.0666872 # DEPENDENCYPART_HEADBIGRAM
(3,4),(5,3),0.028333 # DEPENDENCYPART_HEADBIGRAM
(3,4),(7,3),0.123189 # DEPENDENCYPART_HEADBIGRAM
(3,4),(18,3),0.22531 # DEPENDENCYPART_HEADBIGRAM
