# _root_ The Dutch unit , known as Celtona B.V. , is a leading maker of consumer and away-from-home tissue products for the Benelux region .
#goldHeads=3,3,10,3,3,5,8,6,3,0,13,13,10,13,16,19,16,19,14,19,23,23,20,10,
#predictedHeads=3,3,10,3,3,5,8,6,3,0,13,13,10,13,16,14,19,19,16,19,23,23,20,10,
(20,19),(19,13),(19,12),-0.0345224 # DEPENDENCYPART_GRANDSIBL
(20,19),(19,13),(19,11),-0.0211626 # DEPENDENCYPART_GRANDSIBL
(20,19),(19,13),(19,5),-0.0348997 # DEPENDENCYPART_GRANDSIBL
(20,19),(19,13),(19,-1),-0.0714357 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,19),(19,12),(19,11),-0.019463 # DEPENDENCYPART_GRANDSIBL
(20,19),(19,12),(19,5),-0.0199592 # DEPENDENCYPART_GRANDSIBL
(20,19),(19,12),(19,-1),-0.0159871 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,19),(19,11),(19,5),-0.0208354 # DEPENDENCYPART_GRANDSIBL
(20,19),(19,11),(19,-1),0.0265919 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,19),(19,5),(19,-1),-0.0139342 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,21),(21,21),(21,25),-0.0501695 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,21),(21,21),(21,-1),-0.189719 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,22),(22,22),(22,23),-0.115757 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,22),(22,22),(22,25),0.165826 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,22),(22,23),(22,25),-0.0816362 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,22),(22,22),(22,21),0.0550394 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,22),(22,22),(22,-1),-0.210122 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,22),(22,21),(22,-1),-0.0821874 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,23),(23,23),(23,24),-0.0468703 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,23),(23,23),(23,25),0.170085 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,23),(23,24),(23,25),-0.0446417 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,23),(23,23),(23,22),0.186205 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,23),(23,23),(23,21),0.0550436 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,23),(23,23),(23,20),0.143266 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,23),(23,23),(23,19),-0.15016 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,23),(23,23),(23,18),-0.15016 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,23),(23,23),(23,17),-0.145638 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,23),(23,23),(23,16),-0.151556 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,23),(23,23),(23,15),-0.15016 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,23),(23,23),(23,14),-0.155693 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,23),(23,23),(23,13),-0.15016 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,23),(23,23),(23,11),-0.148693 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,23),(23,23),(23,-1),-0.210122 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,23),(23,22),(23,21),0.0925122 # DEPENDENCYPART_GRANDSIBL
(20,23),(23,22),(23,20),0.11533 # DEPENDENCYPART_GRANDSIBL
(20,23),(23,22),(23,19),-0.148212 # DEPENDENCYPART_GRANDSIBL
(20,23),(23,22),(23,18),-0.148212 # DEPENDENCYPART_GRANDSIBL
(20,23),(23,22),(23,17),-0.144706 # DEPENDENCYPART_GRANDSIBL
(20,23),(23,22),(23,16),-0.144764 # DEPENDENCYPART_GRANDSIBL
(20,23),(23,22),(23,15),-0.148212 # DEPENDENCYPART_GRANDSIBL
(20,23),(23,22),(23,14),-0.144938 # DEPENDENCYPART_GRANDSIBL
(20,23),(23,22),(23,13),-0.148212 # DEPENDENCYPART_GRANDSIBL
(20,23),(23,22),(23,11),-0.149247 # DEPENDENCYPART_GRANDSIBL
(20,23),(23,22),(23,-1),-0.111095 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,23),(23,21),(23,20),0.106211 # DEPENDENCYPART_GRANDSIBL
(20,23),(23,21),(23,19),-0.144789 # DEPENDENCYPART_GRANDSIBL
(20,23),(23,21),(23,18),-0.144789 # DEPENDENCYPART_GRANDSIBL
(20,23),(23,21),(23,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,23),(23,21),(23,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,23),(23,21),(23,15),-0.144789 # DEPENDENCYPART_GRANDSIBL
(20,23),(23,21),(23,14),-0.144725 # DEPENDENCYPART_GRANDSIBL
(20,23),(23,21),(23,13),-0.144789 # DEPENDENCYPART_GRANDSIBL
(20,23),(23,21),(23,11),-0.145008 # DEPENDENCYPART_GRANDSIBL
(20,23),(23,21),(23,-1),-0.0821666 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,23),(23,20),(23,19),-0.144708 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,23),(23,20),(23,18),-0.144708 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,23),(23,20),(23,17),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,23),(23,20),(23,16),-0.144702 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,23),(23,20),(23,15),-0.144708 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,23),(23,20),(23,14),-0.145166 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,23),(23,20),(23,13),-0.144708 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,23),(23,20),(23,11),-0.144707 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,23),(23,20),(23,-1),-0.110798 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,23),(23,19),(23,18),-0.148212 # DEPENDENCYPART_GRANDSIBL
(20,23),(23,19),(23,17),-0.144706 # DEPENDENCYPART_GRANDSIBL
(20,23),(23,19),(23,16),-0.144764 # DEPENDENCYPART_GRANDSIBL
(20,23),(23,19),(23,15),-0.148212 # DEPENDENCYPART_GRANDSIBL
(20,23),(23,19),(23,14),-0.144938 # DEPENDENCYPART_GRANDSIBL
(20,23),(23,19),(23,13),-0.148212 # DEPENDENCYPART_GRANDSIBL
(20,23),(23,19),(23,11),-0.149247 # DEPENDENCYPART_GRANDSIBL
(20,23),(23,19),(23,-1),-0.111103 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,23),(23,18),(23,17),-0.144706 # DEPENDENCYPART_GRANDSIBL
(20,23),(23,18),(23,16),-0.144764 # DEPENDENCYPART_GRANDSIBL
(20,23),(23,18),(23,15),-0.148212 # DEPENDENCYPART_GRANDSIBL
(20,23),(23,18),(23,14),-0.144938 # DEPENDENCYPART_GRANDSIBL
(20,23),(23,18),(23,13),-0.148212 # DEPENDENCYPART_GRANDSIBL
(20,23),(23,18),(23,11),-0.149247 # DEPENDENCYPART_GRANDSIBL
(20,23),(23,18),(23,-1),-0.111106 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,23),(23,17),(23,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,23),(23,17),(23,15),-0.145984 # DEPENDENCYPART_GRANDSIBL
(20,23),(23,17),(23,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(20,23),(23,17),(23,13),-0.145984 # DEPENDENCYPART_GRANDSIBL
(20,23),(23,17),(23,11),-0.146985 # DEPENDENCYPART_GRANDSIBL
(20,23),(23,17),(23,-1),-0.098336 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,23),(23,16),(23,15),0.156693 # DEPENDENCYPART_GRANDSIBL
(20,23),(23,16),(23,14),0.0979186 # DEPENDENCYPART_GRANDSIBL
(20,23),(23,16),(23,13),0.105033 # DEPENDENCYPART_GRANDSIBL
(20,23),(23,16),(23,11),0.0978962 # DEPENDENCYPART_GRANDSIBL
(20,23),(23,16),(23,-1),-0.0315597 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,23),(23,15),(23,14),-0.144938 # DEPENDENCYPART_GRANDSIBL
(20,23),(23,15),(23,13),-0.148212 # DEPENDENCYPART_GRANDSIBL
(20,23),(23,15),(23,11),-0.149247 # DEPENDENCYPART_GRANDSIBL
(20,23),(23,15),(23,-1),-0.109733 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,23),(23,14),(23,13),-0.144709 # DEPENDENCYPART_GRANDSIBL
(20,23),(23,14),(23,11),-0.144713 # DEPENDENCYPART_GRANDSIBL
(20,23),(23,14),(23,-1),-0.101338 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,23),(23,13),(23,11),-0.149247 # DEPENDENCYPART_GRANDSIBL
(20,23),(23,13),(23,-1),-0.111096 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,23),(23,11),(23,-1),-0.138101 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,24),(24,24),(24,25),-0.0840229 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,24),(24,24),(24,23),0.105882 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,24),(24,24),(24,-1),-0.199927 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,24),(24,23),(24,-1),-0.148359 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,21),(21,21),(21,25),0.0952689 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(22,21),(21,21),(21,-1),0.214463 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(22,23),(23,23),(23,24),0.0757667 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,23),(23,23),(23,25),0.133552 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(22,23),(23,24),(23,25),0.0744321 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,23),(23,23),(23,22),0.161031 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,23),(23,23),(23,21),-0.144702 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,23),(23,23),(23,20),-0.156447 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,23),(23,23),(23,19),-0.155839 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,23),(23,23),(23,18),-0.155839 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,23),(23,23),(23,17),-0.147939 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,23),(23,23),(23,16),-0.1512 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,23),(23,23),(23,15),-0.155839 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,23),(23,23),(23,14),-0.158083 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,23),(23,23),(23,13),-0.155839 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,23),(23,23),(23,11),-0.144702 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,23),(23,23),(23,-1),-0.0183774 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(22,23),(23,22),(23,21),-0.145039 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,23),(23,22),(23,20),-0.144878 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,23),(23,22),(23,19),-0.145195 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,23),(23,22),(23,18),-0.145195 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,23),(23,22),(23,17),-0.144729 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,23),(23,22),(23,16),-0.14471 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,23),(23,22),(23,15),-0.145195 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,23),(23,22),(23,14),-0.14479 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,23),(23,22),(23,13),-0.145195 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,23),(23,22),(23,11),-0.145184 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,23),(23,22),(23,-1),-0.173847 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(22,23),(23,21),(23,20),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,21),(23,19),-0.144709 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,21),(23,18),-0.144709 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,21),(23,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,21),(23,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,21),(23,15),-0.144709 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,21),(23,14),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,21),(23,13),-0.144709 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,21),(23,11),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,21),(23,-1),-0.159238 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,23),(23,20),(23,19),-0.14498 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,20),(23,18),-0.14498 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,20),(23,17),-0.144702 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,20),(23,16),-0.144702 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,20),(23,15),-0.14498 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,20),(23,14),-0.146551 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,20),(23,13),-0.14498 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,20),(23,11),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,20),(23,-1),-0.11929 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,23),(23,19),(23,18),-0.145195 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,19),(23,17),-0.144729 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,19),(23,16),-0.14471 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,19),(23,15),-0.145195 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,19),(23,14),-0.14479 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,19),(23,13),-0.145195 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,19),(23,11),-0.145184 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,19),(23,-1),-0.173892 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,23),(23,18),(23,17),-0.144729 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,18),(23,16),-0.14471 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,18),(23,15),-0.145195 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,18),(23,14),-0.14479 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,18),(23,13),-0.145195 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,18),(23,11),-0.145184 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,18),(23,-1),-0.173847 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,23),(23,17),(23,16),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,17),(23,15),-0.144705 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,17),(23,14),-0.144704 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,17),(23,13),-0.144705 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,17),(23,11),-0.144716 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,17),(23,-1),-0.193454 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,23),(23,16),(23,15),0.0204004 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,16),(23,14),0.0218814 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,16),(23,13),0.0318861 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,16),(23,11),-0.0446413 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,16),(23,-1),-0.226199 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,23),(23,15),(23,14),-0.14479 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,15),(23,13),-0.145195 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,15),(23,11),-0.145184 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,15),(23,-1),-0.173852 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,23),(23,14),(23,13),-0.145255 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,14),(23,11),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,14),(23,-1),-0.0828521 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,23),(23,13),(23,11),-0.145184 # DEPENDENCYPART_GRANDSIBL
(22,23),(23,13),(23,-1),-0.174107 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,23),(23,11),(23,-1),-0.0888489 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,11),(11,11),(11,12),0.122871 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,11),(11,11),(11,14),0.0817237 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,11),(11,11),(11,25),0.0743863 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(23,11),(11,12),(11,14),0.10954 # DEPENDENCYPART_GRANDSIBL
(23,11),(11,12),(11,25),-0.133788 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,11),(11,14),(11,25),-0.173278 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,11),(11,11),(11,9),-0.0263125 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,11),(11,11),(11,-1),0.193063 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(23,11),(11,9),(11,-1),-0.0129583 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,13),(13,13),(13,14),0.198089 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,13),(13,13),(13,15),0.163272 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,13),(13,13),(13,16),0.0279649 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,13),(13,13),(13,17),0.0814042 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,13),(13,13),(13,18),0.16328 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,13),(13,13),(13,19),0.167731 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,13),(13,13),(13,20),0.139985 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,13),(13,13),(13,23),-0.155839 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,13),(13,13),(13,24),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,13),(13,13),(13,25),-0.0265985 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(23,13),(13,14),(13,15),0.101972 # DEPENDENCYPART_GRANDSIBL
(23,13),(13,14),(13,16),0.109315 # DEPENDENCYPART_GRANDSIBL
(23,13),(13,14),(13,17),0.105559 # DEPENDENCYPART_GRANDSIBL
(23,13),(13,14),(13,18),0.101967 # DEPENDENCYPART_GRANDSIBL
(23,13),(13,14),(13,19),0.101972 # DEPENDENCYPART_GRANDSIBL
(23,13),(13,14),(13,20),0.112567 # DEPENDENCYPART_GRANDSIBL
(23,13),(13,14),(13,23),-0.145255 # DEPENDENCYPART_GRANDSIBL
(23,13),(13,14),(13,24),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,13),(13,14),(13,25),-0.0850549 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,13),(13,15),(13,16),0.0996388 # DEPENDENCYPART_GRANDSIBL
(23,13),(13,15),(13,17),0.132211 # DEPENDENCYPART_GRANDSIBL
(23,13),(13,15),(13,18),0.0875465 # DEPENDENCYPART_GRANDSIBL
(23,13),(13,15),(13,19),0.0875465 # DEPENDENCYPART_GRANDSIBL
(23,13),(13,15),(13,20),0.109918 # DEPENDENCYPART_GRANDSIBL
(23,13),(13,15),(13,23),-0.145195 # DEPENDENCYPART_GRANDSIBL
(23,13),(13,15),(13,24),-0.144801 # DEPENDENCYPART_GRANDSIBL
(23,13),(13,15),(13,25),-0.176276 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,13),(13,16),(13,17),0.322478 # DEPENDENCYPART_GRANDSIBL
(23,13),(13,16),(13,18),0.286028 # DEPENDENCYPART_GRANDSIBL
(23,13),(13,16),(13,19),0.240994 # DEPENDENCYPART_GRANDSIBL
(23,13),(13,16),(13,20),0.249662 # DEPENDENCYPART_GRANDSIBL
(23,13),(13,16),(13,23),-0.0896726 # DEPENDENCYPART_GRANDSIBL
(23,13),(13,16),(13,24),0.0415155 # DEPENDENCYPART_GRANDSIBL
(23,13),(13,16),(13,25),-0.226199 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,13),(13,17),(13,18),0.123548 # DEPENDENCYPART_GRANDSIBL
(23,13),(13,17),(13,19),0.123548 # DEPENDENCYPART_GRANDSIBL
(23,13),(13,17),(13,20),0.114084 # DEPENDENCYPART_GRANDSIBL
(23,13),(13,17),(13,23),-0.144705 # DEPENDENCYPART_GRANDSIBL
(23,13),(13,17),(13,24),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,13),(13,17),(13,25),-0.195242 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,13),(13,18),(13,19),0.0875485 # DEPENDENCYPART_GRANDSIBL
(23,13),(13,18),(13,20),0.109913 # DEPENDENCYPART_GRANDSIBL
(23,13),(13,18),(13,23),-0.145195 # DEPENDENCYPART_GRANDSIBL
(23,13),(13,18),(13,24),-0.144801 # DEPENDENCYPART_GRANDSIBL
(23,13),(13,18),(13,25),-0.176272 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,13),(13,19),(13,20),0.109918 # DEPENDENCYPART_GRANDSIBL
(23,13),(13,19),(13,23),-0.145195 # DEPENDENCYPART_GRANDSIBL
(23,13),(13,19),(13,24),-0.144801 # DEPENDENCYPART_GRANDSIBL
(23,13),(13,19),(13,25),-0.176316 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,13),(13,20),(13,23),-0.14498 # DEPENDENCYPART_GRANDSIBL
(23,13),(13,20),(13,24),-0.144701 # DEPENDENCYPART_GRANDSIBL
(23,13),(13,20),(13,25),-0.121493 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,13),(13,23),(13,24),-0.144801 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,13),(13,23),(13,25),-0.176273 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(23,13),(13,24),(13,25),-0.151487 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,13),(13,13),(13,12),0.0479581 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,13),(13,13),(13,11),-0.0492252 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,13),(13,13),(13,9),0.132892 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,13),(13,13),(13,8),-0.134188 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,13),(13,13),(13,6),0.000654829 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,13),(13,13),(13,4),0.132892 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,13),(13,13),(13,3),-0.135103 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,13),(13,13),(13,2),-0.0418572 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,13),(13,13),(13,1),-0.0081101 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,13),(13,13),(13,-1),0.128185 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(23,13),(13,12),(13,11),-0.0145912 # DEPENDENCYPART_GRANDSIBL
(23,13),(13,12),(13,9),-0.0272748 # DEPENDENCYPART_GRANDSIBL
(23,13),(13,12),(13,8),-0.0233325 # DEPENDENCYPART_GRANDSIBL
(23,13),(13,12),(13,6),-0.0237247 # DEPENDENCYPART_GRANDSIBL
(23,13),(13,12),(13,4),-0.0272748 # DEPENDENCYPART_GRANDSIBL
(23,13),(13,12),(13,3),-0.0233325 # DEPENDENCYPART_GRANDSIBL
(23,13),(13,12),(13,2),-0.0198766 # DEPENDENCYPART_GRANDSIBL
(23,13),(13,12),(13,1),-0.0196989 # DEPENDENCYPART_GRANDSIBL
(23,13),(13,12),(13,-1),0.00252096 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,13),(13,11),(13,9),-0.0207824 # DEPENDENCYPART_GRANDSIBL
(23,13),(13,11),(13,8),-0.0115753 # DEPENDENCYPART_GRANDSIBL
(23,13),(13,11),(13,6),-0.0227867 # DEPENDENCYPART_GRANDSIBL
(23,13),(13,11),(13,4),-0.0207824 # DEPENDENCYPART_GRANDSIBL
(23,13),(13,11),(13,3),-0.0115753 # DEPENDENCYPART_GRANDSIBL
(23,13),(13,11),(13,2),-0.0214603 # DEPENDENCYPART_GRANDSIBL
(23,13),(13,11),(13,1),-0.0195306 # DEPENDENCYPART_GRANDSIBL
(23,13),(13,11),(13,-1),-0.0721396 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,13),(13,9),(13,8),0.133759 # DEPENDENCYPART_GRANDSIBL
(23,13),(13,9),(13,6),0.00286108 # DEPENDENCYPART_GRANDSIBL
(23,13),(13,9),(13,4),-0.0232074 # DEPENDENCYPART_GRANDSIBL
(23,13),(13,9),(13,3),0.131505 # DEPENDENCYPART_GRANDSIBL
(23,13),(13,9),(13,2),-0.0310298 # DEPENDENCYPART_GRANDSIBL
(23,13),(13,9),(13,1),-0.0232994 # DEPENDENCYPART_GRANDSIBL
(23,13),(13,9),(13,-1),-0.0201644 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,13),(13,8),(13,6),-0.0199702 # DEPENDENCYPART_GRANDSIBL
(23,13),(13,8),(13,4),0.00403969 # DEPENDENCYPART_GRANDSIBL
(23,13),(13,8),(13,3),-0.00139332 # DEPENDENCYPART_GRANDSIBL
(23,13),(13,8),(13,2),-0.0326095 # DEPENDENCYPART_GRANDSIBL
(23,13),(13,8),(13,1),-0.00905889 # DEPENDENCYPART_GRANDSIBL
(23,13),(13,8),(13,-1),0.0229104 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,13),(13,6),(13,4),-0.0481119 # DEPENDENCYPART_GRANDSIBL
(23,13),(13,6),(13,3),-0.0215313 # DEPENDENCYPART_GRANDSIBL
(23,13),(13,6),(13,2),-0.0184827 # DEPENDENCYPART_GRANDSIBL
(23,13),(13,6),(13,1),-0.0194514 # DEPENDENCYPART_GRANDSIBL
(23,13),(13,6),(13,-1),-0.0125605 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,13),(13,4),(13,3),0.131505 # DEPENDENCYPART_GRANDSIBL
(23,13),(13,4),(13,2),-0.0310298 # DEPENDENCYPART_GRANDSIBL
(23,13),(13,4),(13,1),-0.0232994 # DEPENDENCYPART_GRANDSIBL
(23,13),(13,4),(13,-1),-0.0201644 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,13),(13,3),(13,2),-0.0326095 # DEPENDENCYPART_GRANDSIBL
