# _root_ `` It 's impossible to overstate how much this means to the families of these patients , '' said Samuel Broder , director of the National Cancer Institute and a main developer of AZT .
#goldHeads=19,3,19,3,6,3,8,10,10,6,10,13,11,13,16,14,19,19,0,21,19,21,29,23,28,28,28,24,21,32,32,29,32,33,19,
#predictedHeads=19,3,19,3,6,3,10,7,10,6,10,13,11,13,16,14,19,19,0,21,19,21,21,23,28,28,28,29,24,32,32,29,32,33,19,
(29,21),(29,19),(29,13),-0.125605 # DEPENDENCYPART_TRISIBL
(29,21),(29,19),(29,12),0.088286 # DEPENDENCYPART_TRISIBL
(29,21),(29,19),(29,11),-0.141657 # DEPENDENCYPART_TRISIBL
(29,21),(29,19),(29,10),-0.215132 # DEPENDENCYPART_TRISIBL
(29,21),(29,19),(29,9),0.0160098 # DEPENDENCYPART_TRISIBL
(29,21),(29,19),(29,8),0.0059427 # DEPENDENCYPART_TRISIBL
(29,21),(29,19),(29,6),-0.21484 # DEPENDENCYPART_TRISIBL
(29,21),(29,19),(29,5),-0.141657 # DEPENDENCYPART_TRISIBL
(29,21),(29,19),(29,4),0.00346966 # DEPENDENCYPART_TRISIBL
(29,21),(29,19),(29,3),-0.215903 # DEPENDENCYPART_TRISIBL
(29,21),(29,19),(29,1),-0.0952262 # DEPENDENCYPART_TRISIBL
(29,21),(29,19),(29,-1),-0.111394 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(29,21),(29,17),(29,16),0.117919 # DEPENDENCYPART_TRISIBL
(29,21),(29,17),(29,15),-0.0151892 # DEPENDENCYPART_TRISIBL
(29,21),(29,17),(29,14),-0.0647737 # DEPENDENCYPART_TRISIBL
(29,21),(29,17),(29,13),0.117914 # DEPENDENCYPART_TRISIBL
(29,21),(29,17),(29,12),0.0386634 # DEPENDENCYPART_TRISIBL
(29,21),(29,17),(29,11),-0.0927183 # DEPENDENCYPART_TRISIBL
(29,21),(29,17),(29,10),-0.213826 # DEPENDENCYPART_TRISIBL
(29,21),(29,17),(29,9),-0.0207192 # DEPENDENCYPART_TRISIBL
(29,21),(29,17),(29,8),0.0348958 # DEPENDENCYPART_TRISIBL
(29,21),(29,17),(29,6),-0.213501 # DEPENDENCYPART_TRISIBL
(29,21),(29,17),(29,5),-0.0927183 # DEPENDENCYPART_TRISIBL
(29,21),(29,17),(29,4),0.0358929 # DEPENDENCYPART_TRISIBL
(29,21),(29,17),(29,3),-0.210908 # DEPENDENCYPART_TRISIBL
(29,21),(29,17),(29,1),-0.098008 # DEPENDENCYPART_TRISIBL
(29,21),(29,17),(29,-1),-0.233794 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(29,21),(29,16),(29,15),-0.0178913 # DEPENDENCYPART_TRISIBL
(29,21),(29,16),(29,14),-0.160281 # DEPENDENCYPART_TRISIBL
(29,21),(29,16),(29,13),-0.147474 # DEPENDENCYPART_TRISIBL
(29,21),(29,16),(29,12),0.0572351 # DEPENDENCYPART_TRISIBL
(29,21),(29,16),(29,11),-0.13506 # DEPENDENCYPART_TRISIBL
(29,21),(29,16),(29,10),-0.193423 # DEPENDENCYPART_TRISIBL
(29,21),(29,16),(29,9),-0.0272364 # DEPENDENCYPART_TRISIBL
(29,21),(29,16),(29,8),0.039544 # DEPENDENCYPART_TRISIBL
(29,21),(29,16),(29,6),-0.193026 # DEPENDENCYPART_TRISIBL
(29,21),(29,16),(29,5),-0.13506 # DEPENDENCYPART_TRISIBL
(29,21),(29,16),(29,4),0.0372412 # DEPENDENCYPART_TRISIBL
(29,21),(29,16),(29,3),-0.19111 # DEPENDENCYPART_TRISIBL
(29,21),(29,16),(29,1),-0.0709137 # DEPENDENCYPART_TRISIBL
(29,21),(29,16),(29,-1),-0.0569287 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(29,21),(29,15),(29,14),-0.112012 # DEPENDENCYPART_TRISIBL
(29,21),(29,15),(29,13),-0.13371 # DEPENDENCYPART_TRISIBL
(29,21),(29,15),(29,12),0.0470166 # DEPENDENCYPART_TRISIBL
(29,21),(29,15),(29,11),-0.121488 # DEPENDENCYPART_TRISIBL
(29,21),(29,15),(29,10),-0.188786 # DEPENDENCYPART_TRISIBL
(29,21),(29,15),(29,9),-0.014147 # DEPENDENCYPART_TRISIBL
(29,21),(29,15),(29,8),0.0100393 # DEPENDENCYPART_TRISIBL
(29,21),(29,15),(29,6),-0.188494 # DEPENDENCYPART_TRISIBL
(29,21),(29,15),(29,5),-0.121488 # DEPENDENCYPART_TRISIBL
(29,21),(29,15),(29,4),0.00760686 # DEPENDENCYPART_TRISIBL
(29,21),(29,15),(29,3),-0.188392 # DEPENDENCYPART_TRISIBL
(29,21),(29,15),(29,1),-0.0362655 # DEPENDENCYPART_TRISIBL
(29,21),(29,15),(29,-1),0.0479838 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(29,21),(29,14),(29,13),-0.136165 # DEPENDENCYPART_TRISIBL
(29,21),(29,14),(29,12),0.0646907 # DEPENDENCYPART_TRISIBL
(29,21),(29,14),(29,11),-0.1196 # DEPENDENCYPART_TRISIBL
(29,21),(29,14),(29,10),-0.208833 # DEPENDENCYPART_TRISIBL
(29,21),(29,14),(29,9),0.00200169 # DEPENDENCYPART_TRISIBL
(29,21),(29,14),(29,8),-0.000935679 # DEPENDENCYPART_TRISIBL
(29,21),(29,14),(29,6),-0.208467 # DEPENDENCYPART_TRISIBL
(29,21),(29,14),(29,5),-0.1196 # DEPENDENCYPART_TRISIBL
(29,21),(29,14),(29,4),-0.00293522 # DEPENDENCYPART_TRISIBL
(29,21),(29,14),(29,3),-0.208514 # DEPENDENCYPART_TRISIBL
(29,21),(29,14),(29,1),-0.0811664 # DEPENDENCYPART_TRISIBL
(29,21),(29,14),(29,-1),-0.0508783 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(29,21),(29,13),(29,12),0.0567727 # DEPENDENCYPART_TRISIBL
(29,21),(29,13),(29,11),-0.13506 # DEPENDENCYPART_TRISIBL
(29,21),(29,13),(29,10),-0.193423 # DEPENDENCYPART_TRISIBL
(29,21),(29,13),(29,9),-0.0276989 # DEPENDENCYPART_TRISIBL
(29,21),(29,13),(29,8),0.039544 # DEPENDENCYPART_TRISIBL
(29,21),(29,13),(29,6),-0.193026 # DEPENDENCYPART_TRISIBL
(29,21),(29,13),(29,5),-0.13506 # DEPENDENCYPART_TRISIBL
(29,21),(29,13),(29,4),0.0372412 # DEPENDENCYPART_TRISIBL
(29,21),(29,13),(29,3),-0.19111 # DEPENDENCYPART_TRISIBL
(29,21),(29,13),(29,1),-0.0709137 # DEPENDENCYPART_TRISIBL
(29,21),(29,13),(29,-1),-0.0569259 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(29,21),(29,12),(29,11),-0.123899 # DEPENDENCYPART_TRISIBL
(29,21),(29,12),(29,10),-0.19011 # DEPENDENCYPART_TRISIBL
(29,21),(29,12),(29,9),-0.0170494 # DEPENDENCYPART_TRISIBL
(29,21),(29,12),(29,8),0.00633248 # DEPENDENCYPART_TRISIBL
(29,21),(29,12),(29,6),-0.189818 # DEPENDENCYPART_TRISIBL
(29,21),(29,12),(29,5),-0.123899 # DEPENDENCYPART_TRISIBL
(29,21),(29,12),(29,4),0.00390007 # DEPENDENCYPART_TRISIBL
(29,21),(29,12),(29,3),-0.189716 # DEPENDENCYPART_TRISIBL
(29,21),(29,12),(29,1),-0.0184364 # DEPENDENCYPART_TRISIBL
(29,21),(29,12),(29,-1),0.0697206 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(29,21),(29,11),(29,10),-0.179573 # DEPENDENCYPART_TRISIBL
(29,21),(29,11),(29,9),-0.00719438 # DEPENDENCYPART_TRISIBL
(29,21),(29,11),(29,8),0.00148345 # DEPENDENCYPART_TRISIBL
(29,21),(29,11),(29,6),-0.179281 # DEPENDENCYPART_TRISIBL
(29,21),(29,11),(29,5),-0.114415 # DEPENDENCYPART_TRISIBL
(29,21),(29,11),(29,4),-0.00099256 # DEPENDENCYPART_TRISIBL
(29,21),(29,11),(29,3),-0.179178 # DEPENDENCYPART_TRISIBL
(29,21),(29,11),(29,1),-0.0766165 # DEPENDENCYPART_TRISIBL
(29,21),(29,11),(29,-1),-0.0919549 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(29,21),(29,10),(29,9),0.016776 # DEPENDENCYPART_TRISIBL
(29,21),(29,10),(29,8),0.00597346 # DEPENDENCYPART_TRISIBL
(29,21),(29,10),(29,6),-0.222831 # DEPENDENCYPART_TRISIBL
(29,21),(29,10),(29,5),-0.141657 # DEPENDENCYPART_TRISIBL
(29,21),(29,10),(29,4),0.00350042 # DEPENDENCYPART_TRISIBL
(29,21),(29,10),(29,3),-0.223895 # DEPENDENCYPART_TRISIBL
(29,21),(29,10),(29,1),-0.0952262 # DEPENDENCYPART_TRISIBL
(29,21),(29,10),(29,-1),-0.104548 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(29,21),(29,9),(29,8),0.00997969 # DEPENDENCYPART_TRISIBL
(29,21),(29,9),(29,6),-0.188579 # DEPENDENCYPART_TRISIBL
(29,21),(29,9),(29,5),-0.121475 # DEPENDENCYPART_TRISIBL
(29,21),(29,9),(29,4),0.00754728 # DEPENDENCYPART_TRISIBL
(29,21),(29,9),(29,3),-0.188476 # DEPENDENCYPART_TRISIBL
(29,21),(29,9),(29,1),-0.0378966 # DEPENDENCYPART_TRISIBL
(29,21),(29,9),(29,-1),0.0435526 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(29,21),(29,8),(29,6),-0.184274 # DEPENDENCYPART_TRISIBL
(29,21),(29,8),(29,5),-0.109787 # DEPENDENCYPART_TRISIBL
(29,21),(29,8),(29,4),0.0714429 # DEPENDENCYPART_TRISIBL
(29,21),(29,8),(29,3),-0.18434 # DEPENDENCYPART_TRISIBL
(29,21),(29,8),(29,1),-0.0528071 # DEPENDENCYPART_TRISIBL
(29,21),(29,8),(29,-1),-0.017513 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(29,21),(29,6),(29,5),-0.141657 # DEPENDENCYPART_TRISIBL
(29,21),(29,6),(29,4),0.00350263 # DEPENDENCYPART_TRISIBL
(29,21),(29,6),(29,3),-0.223893 # DEPENDENCYPART_TRISIBL
(29,21),(29,6),(29,1),-0.0952262 # DEPENDENCYPART_TRISIBL
(29,21),(29,6),(29,-1),-0.104443 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(29,21),(29,5),(29,4),-0.00099256 # DEPENDENCYPART_TRISIBL
(29,21),(29,5),(29,3),-0.179178 # DEPENDENCYPART_TRISIBL
(29,21),(29,5),(29,1),-0.0766165 # DEPENDENCYPART_TRISIBL
(29,21),(29,5),(29,-1),-0.0919549 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(29,21),(29,4),(29,3),-0.1841 # DEPENDENCYPART_TRISIBL
(29,21),(29,4),(29,1),-0.0528071 # DEPENDENCYPART_TRISIBL
(29,21),(29,4),(29,-1),-0.00359749 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(29,21),(29,3),(29,1),-0.095692 # DEPENDENCYPART_TRISIBL
(29,21),(29,3),(29,-1),-0.110358 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(29,21),(29,1),(29,-1),-0.0470342 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(29,20),(29,19),(29,17),-0.114504 # DEPENDENCYPART_TRISIBL
(29,20),(29,19),(29,16),-0.12568 # DEPENDENCYPART_TRISIBL
(29,20),(29,19),(29,15),0.0209027 # DEPENDENCYPART_TRISIBL
(29,20),(29,19),(29,14),-0.0844824 # DEPENDENCYPART_TRISIBL
(29,20),(29,19),(29,13),-0.125679 # DEPENDENCYPART_TRISIBL
(29,20),(29,19),(29,12),0.088286 # DEPENDENCYPART_TRISIBL
(29,20),(29,19),(29,11),-0.141657 # DEPENDENCYPART_TRISIBL
(29,20),(29,19),(29,10),-0.215132 # DEPENDENCYPART_TRISIBL
(29,20),(29,19),(29,9),0.0160099 # DEPENDENCYPART_TRISIBL
(29,20),(29,19),(29,8),0.0059427 # DEPENDENCYPART_TRISIBL
(29,20),(29,19),(29,6),-0.21484 # DEPENDENCYPART_TRISIBL
(29,20),(29,19),(29,5),-0.141657 # DEPENDENCYPART_TRISIBL
(29,20),(29,19),(29,4),0.00346966 # DEPENDENCYPART_TRISIBL
(29,20),(29,19),(29,3),-0.215903 # DEPENDENCYPART_TRISIBL
(29,20),(29,19),(29,1),-0.0952262 # DEPENDENCYPART_TRISIBL
(29,20),(29,19),(29,-1),-0.111804 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(29,20),(29,17),(29,16),0.117845 # DEPENDENCYPART_TRISIBL
(29,20),(29,17),(29,15),-0.0151892 # DEPENDENCYPART_TRISIBL
(29,20),(29,17),(29,14),-0.0647737 # DEPENDENCYPART_TRISIBL
(29,20),(29,17),(29,13),0.11784 # DEPENDENCYPART_TRISIBL
(29,20),(29,17),(29,12),0.0386634 # DEPENDENCYPART_TRISIBL
(29,20),(29,17),(29,11),-0.0927183 # DEPENDENCYPART_TRISIBL
(29,20),(29,17),(29,10),-0.213826 # DEPENDENCYPART_TRISIBL
(29,20),(29,17),(29,9),-0.0207192 # DEPENDENCYPART_TRISIBL
(29,20),(29,17),(29,8),0.0348958 # DEPENDENCYPART_TRISIBL
(29,20),(29,17),(29,6),-0.213501 # DEPENDENCYPART_TRISIBL
(29,20),(29,17),(29,5),-0.0927183 # DEPENDENCYPART_TRISIBL
(29,20),(29,17),(29,4),0.0358929 # DEPENDENCYPART_TRISIBL
(29,20),(29,17),(29,3),-0.210908 # DEPENDENCYPART_TRISIBL
(29,20),(29,17),(29,1),-0.098008 # DEPENDENCYPART_TRISIBL
(29,20),(29,17),(29,-1),-0.2342 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(29,20),(29,16),(29,15),-0.0178913 # DEPENDENCYPART_TRISIBL
(29,20),(29,16),(29,14),-0.160281 # DEPENDENCYPART_TRISIBL
(29,20),(29,16),(29,13),-0.147549 # DEPENDENCYPART_TRISIBL
(29,20),(29,16),(29,12),0.0572351 # DEPENDENCYPART_TRISIBL
(29,20),(29,16),(29,11),-0.13506 # DEPENDENCYPART_TRISIBL
(29,20),(29,16),(29,10),-0.193423 # DEPENDENCYPART_TRISIBL
(29,20),(29,16),(29,9),-0.0272364 # DEPENDENCYPART_TRISIBL
(29,20),(29,16),(29,8),0.039544 # DEPENDENCYPART_TRISIBL
(29,20),(29,16),(29,6),-0.193026 # DEPENDENCYPART_TRISIBL
(29,20),(29,16),(29,5),-0.13506 # DEPENDENCYPART_TRISIBL
(29,20),(29,16),(29,4),0.0372412 # DEPENDENCYPART_TRISIBL
(29,20),(29,16),(29,3),-0.19111 # DEPENDENCYPART_TRISIBL
(29,20),(29,16),(29,1),-0.0709137 # DEPENDENCYPART_TRISIBL
(29,20),(29,16),(29,-1),-0.0573337 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(29,20),(29,15),(29,14),-0.112012 # DEPENDENCYPART_TRISIBL
(29,20),(29,15),(29,13),-0.133784 # DEPENDENCYPART_TRISIBL
(29,20),(29,15),(29,12),0.0470166 # DEPENDENCYPART_TRISIBL
(29,20),(29,15),(29,11),-0.121488 # DEPENDENCYPART_TRISIBL
(29,20),(29,15),(29,10),-0.188786 # DEPENDENCYPART_TRISIBL
(29,20),(29,15),(29,9),-0.014147 # DEPENDENCYPART_TRISIBL
(29,20),(29,15),(29,8),0.0100393 # DEPENDENCYPART_TRISIBL
(29,20),(29,15),(29,6),-0.188494 # DEPENDENCYPART_TRISIBL
(29,20),(29,15),(29,5),-0.121488 # DEPENDENCYPART_TRISIBL
(29,20),(29,15),(29,4),0.00760686 # DEPENDENCYPART_TRISIBL
(29,20),(29,15),(29,3),-0.188392 # DEPENDENCYPART_TRISIBL
(29,20),(29,15),(29,1),-0.0362655 # DEPENDENCYPART_TRISIBL
(29,20),(29,15),(29,-1),0.0475788 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(29,20),(29,14),(29,13),-0.136239 # DEPENDENCYPART_TRISIBL
(29,20),(29,14),(29,12),0.0646907 # DEPENDENCYPART_TRISIBL
(29,20),(29,14),(29,11),-0.1196 # DEPENDENCYPART_TRISIBL
(29,20),(29,14),(29,10),-0.208833 # DEPENDENCYPART_TRISIBL
(29,20),(29,14),(29,9),0.0020017 # DEPENDENCYPART_TRISIBL
(29,20),(29,14),(29,8),-0.000935679 # DEPENDENCYPART_TRISIBL
(29,20),(29,14),(29,6),-0.208467 # DEPENDENCYPART_TRISIBL
(29,20),(29,14),(29,5),-0.1196 # DEPENDENCYPART_TRISIBL
(29,20),(29,14),(29,4),-0.00293522 # DEPENDENCYPART_TRISIBL
(29,20),(29,14),(29,3),-0.208514 # DEPENDENCYPART_TRISIBL
(29,20),(29,14),(29,1),-0.0811664 # DEPENDENCYPART_TRISIBL
(29,20),(29,14),(29,-1),-0.0512833 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(29,20),(29,13),(29,12),0.0567727 # DEPENDENCYPART_TRISIBL
(29,20),(29,13),(29,11),-0.13506 # DEPENDENCYPART_TRISIBL
(29,20),(29,13),(29,10),-0.193423 # DEPENDENCYPART_TRISIBL
(29,20),(29,13),(29,9),-0.0276989 # DEPENDENCYPART_TRISIBL
(29,20),(29,13),(29,8),0.039544 # DEPENDENCYPART_TRISIBL
(29,20),(29,13),(29,6),-0.193026 # DEPENDENCYPART_TRISIBL
(29,20),(29,13),(29,5),-0.13506 # DEPENDENCYPART_TRISIBL
(29,20),(29,13),(29,4),0.0372412 # DEPENDENCYPART_TRISIBL
(29,20),(29,13),(29,3),-0.19111 # DEPENDENCYPART_TRISIBL
(29,20),(29,13),(29,1),-0.0709137 # DEPENDENCYPART_TRISIBL
(29,20),(29,13),(29,-1),-0.057331 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(29,20),(29,12),(29,11),-0.123899 # DEPENDENCYPART_TRISIBL
(29,20),(29,12),(29,10),-0.19011 # DEPENDENCYPART_TRISIBL
(29,20),(29,12),(29,9),-0.0170494 # DEPENDENCYPART_TRISIBL
(29,20),(29,12),(29,8),0.00633248 # DEPENDENCYPART_TRISIBL
(29,20),(29,12),(29,6),-0.189818 # DEPENDENCYPART_TRISIBL
(29,20),(29,12),(29,5),-0.123899 # DEPENDENCYPART_TRISIBL
(29,20),(29,12),(29,4),0.00390007 # DEPENDENCYPART_TRISIBL
(29,20),(29,12),(29,3),-0.189716 # DEPENDENCYPART_TRISIBL
(29,20),(29,12),(29,1),-0.0184364 # DEPENDENCYPART_TRISIBL
(29,20),(29,12),(29,-1),0.0693156 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(29,20),(29,11),(29,10),-0.179573 # DEPENDENCYPART_TRISIBL
(29,20),(29,11),(29,9),-0.00719436 # DEPENDENCYPART_TRISIBL
(29,20),(29,11),(29,8),0.00148345 # DEPENDENCYPART_TRISIBL
(29,20),(29,11),(29,6),-0.179281 # DEPENDENCYPART_TRISIBL
(29,20),(29,11),(29,5),-0.114415 # DEPENDENCYPART_TRISIBL
(29,20),(29,11),(29,4),-0.00099256 # DEPENDENCYPART_TRISIBL
(29,20),(29,11),(29,3),-0.179178 # DEPENDENCYPART_TRISIBL
(29,20),(29,11),(29,1),-0.0766165 # DEPENDENCYPART_TRISIBL
(29,20),(29,11),(29,-1),-0.0923599 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(29,20),(29,10),(29,9),0.016776 # DEPENDENCYPART_TRISIBL
(29,20),(29,10),(29,8),0.00597346 # DEPENDENCYPART_TRISIBL
(29,20),(29,10),(29,6),-0.222831 # DEPENDENCYPART_TRISIBL
(29,20),(29,10),(29,5),-0.141657 # DEPENDENCYPART_TRISIBL
(29,20),(29,10),(29,4),0.00350042 # DEPENDENCYPART_TRISIBL
(29,20),(29,10),(29,3),-0.223895 # DEPENDENCYPART_TRISIBL
(29,20),(29,10),(29,1),-0.0952262 # DEPENDENCYPART_TRISIBL
(29,20),(29,10),(29,-1),-0.104957 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(29,20),(29,9),(29,8),0.00997969 # DEPENDENCYPART_TRISIBL
(29,20),(29,9),(29,6),-0.188579 # DEPENDENCYPART_TRISIBL
(29,20),(29,9),(29,5),-0.121475 # DEPENDENCYPART_TRISIBL
(29,20),(29,9),(29,4),0.00754728 # DEPENDENCYPART_TRISIBL
(29,20),(29,9),(29,3),-0.188476 # DEPENDENCYPART_TRISIBL
(29,20),(29,9),(29,1),-0.0378966 # DEPENDENCYPART_TRISIBL
(29,20),(29,9),(29,-1),0.0431476 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(29,20),(29,8),(29,6),-0.184274 # DEPENDENCYPART_TRISIBL
(29,20),(29,8),(29,5),-0.109787 # DEPENDENCYPART_TRISIBL
(29,20),(29,8),(29,4),0.0714429 # DEPENDENCYPART_TRISIBL
(29,20),(29,8),(29,3),-0.18434 # DEPENDENCYPART_TRISIBL
(29,20),(29,8),(29,1),-0.0528071 # DEPENDENCYPART_TRISIBL
(29,20),(29,8),(29,-1),-0.0179192 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(29,20),(29,6),(29,5),-0.141657 # DEPENDENCYPART_TRISIBL
(29,20),(29,6),(29,4),0.00350263 # DEPENDENCYPART_TRISIBL
(29,20),(29,6),(29,3),-0.223893 # DEPENDENCYPART_TRISIBL
(29,20),(29,6),(29,1),-0.0952262 # DEPENDENCYPART_TRISIBL
(29,20),(29,6),(29,-1),-0.104852 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(29,20),(29,5),(29,4),-0.00099256 # DEPENDENCYPART_TRISIBL
(29,20),(29,5),(29,3),-0.179178 # DEPENDENCYPART_TRISIBL
(29,20),(29,5),(29,1),-0.0766165 # DEPENDENCYPART_TRISIBL
(29,20),(29,5),(29,-1),-0.0923599 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(29,20),(29,4),(29,3),-0.1841 # DEPENDENCYPART_TRISIBL
(29,20),(29,4),(29,1),-0.0528071 # DEPENDENCYPART_TRISIBL
(29,20),(29,4),(29,-1),-0.00400377 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(29,20),(29,3),(29,1),-0.095692 # DEPENDENCYPART_TRISIBL
(29,20),(29,3),(29,-1),-0.110767 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(29,20),(29,1),(29,-1),-0.0474392 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(29,19),(29,17),(29,16),-0.0779019 # DEPENDENCYPART_TRISIBL
(29,19),(29,17),(29,15),-0.051605 # DEPENDENCYPART_TRISIBL
(29,19),(29,17),(29,14),0.0436966 # DEPENDENCYPART_TRISIBL
(29,19),(29,17),(29,13),-0.0779016 # DEPENDENCYPART_TRISIBL
(29,19),(29,17),(29,12),-0.0444294 # DEPENDENCYPART_TRISIBL
(29,19),(29,17),(29,11),-0.0568335 # DEPENDENCYPART_TRISIBL
(29,19),(29,17),(29,10),-0.0151557 # DEPENDENCYPART_TRISIBL
(29,19),(29,17),(29,9),-0.0430199 # DEPENDENCYPART_TRISIBL
(29,19),(29,17),(29,8),0.00944625 # DEPENDENCYPART_TRISIBL
(29,19),(29,17),(29,6),-0.015104 # DEPENDENCYPART_TRISIBL
(29,19),(29,17),(29,5),-0.0568335 # DEPENDENCYPART_TRISIBL
(29,19),(29,17),(29,4),0.00965098 # DEPENDENCYPART_TRISIBL
(29,19),(29,17),(29,3),-0.000123232 # DEPENDENCYPART_TRISIBL
(29,19),(29,17),(29,1),-0.0522891 # DEPENDENCYPART_TRISIBL
(29,19),(29,17),(29,-1),-0.132054 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(29,19),(29,16),(29,15),-0.0649203 # DEPENDENCYPART_TRISIBL
(29,19),(29,16),(29,14),0.0613935 # DEPENDENCYPART_TRISIBL
(29,19),(29,16),(29,13),-0.048878 # DEPENDENCYPART_TRISIBL
(29,19),(29,16),(29,12),-0.062009 # DEPENDENCYPART_TRISIBL
(29,19),(29,16),(29,11),-0.0541476 # DEPENDENCYPART_TRISIBL
(29,19),(29,16),(29,10),-0.188662 # DEPENDENCYPART_TRISIBL
(29,19),(29,16),(29,9),-0.0472506 # DEPENDENCYPART_TRISIBL
(29,19),(29,16),(29,8),-0.0309061 # DEPENDENCYPART_TRISIBL
(29,19),(29,16),(29,6),-0.18861 # DEPENDENCYPART_TRISIBL
(29,19),(29,16),(29,5),-0.0541476 # DEPENDENCYPART_TRISIBL
(29,19),(29,16),(29,4),-0.0306826 # DEPENDENCYPART_TRISIBL
(29,19),(29,16),(29,3),-0.175424 # DEPENDENCYPART_TRISIBL
(29,19),(29,16),(29,1),-0.04861 # DEPENDENCYPART_TRISIBL
(29,19),(29,16),(29,-1),-0.0218722 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(29,19),(29,15),(29,14),0.0219101 # DEPENDENCYPART_TRISIBL
(29,19),(29,15),(29,13),-0.0252937 # DEPENDENCYPART_TRISIBL
(29,19),(29,15),(29,12),-0.0499063 # DEPENDENCYPART_TRISIBL
(29,19),(29,15),(29,11),-0.0277297 # DEPENDENCYPART_TRISIBL
(29,19),(29,15),(29,10),-0.139598 # DEPENDENCYPART_TRISIBL
(29,19),(29,15),(29,9),-0.0484608 # DEPENDENCYPART_TRISIBL
(29,19),(29,15),(29,8),-0.027539 # DEPENDENCYPART_TRISIBL
(29,19),(29,15),(29,6),-0.139546 # DEPENDENCYPART_TRISIBL
(29,19),(29,15),(29,5),-0.0277297 # DEPENDENCYPART_TRISIBL
(29,19),(29,15),(29,4),-0.0273342 # DEPENDENCYPART_TRISIBL
(29,19),(29,15),(29,3),-0.12626 # DEPENDENCYPART_TRISIBL
(29,19),(29,15),(29,1),-0.041344 # DEPENDENCYPART_TRISIBL
(29,19),(29,15),(29,-1),-0.025284 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(29,19),(29,14),(29,13),0.00380072 # DEPENDENCYPART_TRISIBL
(29,19),(29,14),(29,12),-0.0508176 # DEPENDENCYPART_TRISIBL
(29,19),(29,14),(29,11),-0.0539195 # DEPENDENCYPART_TRISIBL
(29,19),(29,14),(29,10),-0.155212 # DEPENDENCYPART_TRISIBL
(29,19),(29,14),(29,9),-0.0494214 # DEPENDENCYPART_TRISIBL
(29,19),(29,14),(29,8),-0.0118616 # DEPENDENCYPART_TRISIBL
(29,19),(29,14),(29,6),-0.155151 # DEPENDENCYPART_TRISIBL
(29,19),(29,14),(29,5),-0.0539195 # DEPENDENCYPART_TRISIBL
(29,19),(29,14),(29,4),-0.0116478 # DEPENDENCYPART_TRISIBL
(29,19),(29,14),(29,3),-0.141864 # DEPENDENCYPART_TRISIBL
(29,19),(29,14),(29,1),-0.0428902 # DEPENDENCYPART_TRISIBL
(29,19),(29,14),(29,-1),0.0105363 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(29,19),(29,13),(29,12),-0.0620124 # DEPENDENCYPART_TRISIBL
(29,19),(29,13),(29,11),-0.0541476 # DEPENDENCYPART_TRISIBL
(29,19),(29,13),(29,10),-0.188662 # DEPENDENCYPART_TRISIBL
(29,19),(29,13),(29,9),-0.0472541 # DEPENDENCYPART_TRISIBL
(29,19),(29,13),(29,8),-0.030934 # DEPENDENCYPART_TRISIBL
(29,19),(29,13),(29,6),-0.18861 # DEPENDENCYPART_TRISIBL
(29,19),(29,13),(29,5),-0.0541476 # DEPENDENCYPART_TRISIBL
(29,19),(29,13),(29,4),-0.0307106 # DEPENDENCYPART_TRISIBL
(29,19),(29,13),(29,3),-0.175424 # DEPENDENCYPART_TRISIBL
(29,19),(29,13),(29,1),-0.04861 # DEPENDENCYPART_TRISIBL
