# _root_ The `` anti-hooligan '' law , which would deprive troublemakers of cards , must be ratified by the House of Lords and is expected to become effective early next year .
#goldHeads=5,5,5,5,22,5,8,5,8,9,9,11,5,22,14,15,16,19,17,19,20,0,22,23,26,24,26,30,30,26,22,
#predictedHeads=5,5,5,5,14,5,8,5,8,9,10,11,5,0,14,15,16,19,22,19,20,17,22,23,26,24,26,30,30,26,14,
(22,18),(22,12),(22,3),-0.0995298 # DEPENDENCYPART_TRISIBL
(22,18),(22,12),(22,2),-0.0352315 # DEPENDENCYPART_TRISIBL
(22,18),(22,12),(22,1),-0.156051 # DEPENDENCYPART_TRISIBL
(22,18),(22,12),(22,-1),-0.125931 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,18),(22,11),(22,10),-0.112613 # DEPENDENCYPART_TRISIBL
(22,18),(22,11),(22,9),-0.104434 # DEPENDENCYPART_TRISIBL
(22,18),(22,11),(22,8),-0.0698157 # DEPENDENCYPART_TRISIBL
(22,18),(22,11),(22,7),-0.0710637 # DEPENDENCYPART_TRISIBL
(22,18),(22,11),(22,6),-0.0827514 # DEPENDENCYPART_TRISIBL
(22,18),(22,11),(22,5),-0.112912 # DEPENDENCYPART_TRISIBL
(22,18),(22,11),(22,3),-0.0870682 # DEPENDENCYPART_TRISIBL
(22,18),(22,11),(22,2),-0.0539181 # DEPENDENCYPART_TRISIBL
(22,18),(22,11),(22,1),-0.149252 # DEPENDENCYPART_TRISIBL
(22,18),(22,11),(22,-1),-0.0309466 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,18),(22,10),(22,9),-0.100945 # DEPENDENCYPART_TRISIBL
(22,18),(22,10),(22,8),-0.0690283 # DEPENDENCYPART_TRISIBL
(22,18),(22,10),(22,7),-0.0704768 # DEPENDENCYPART_TRISIBL
(22,18),(22,10),(22,6),-0.0826335 # DEPENDENCYPART_TRISIBL
(22,18),(22,10),(22,5),-0.118908 # DEPENDENCYPART_TRISIBL
(22,18),(22,10),(22,3),-0.0995298 # DEPENDENCYPART_TRISIBL
(22,18),(22,10),(22,2),-0.0352315 # DEPENDENCYPART_TRISIBL
(22,18),(22,10),(22,1),-0.156051 # DEPENDENCYPART_TRISIBL
(22,18),(22,10),(22,-1),-0.125931 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,18),(22,9),(22,8),-0.0694834 # DEPENDENCYPART_TRISIBL
(22,18),(22,9),(22,7),-0.0720466 # DEPENDENCYPART_TRISIBL
(22,18),(22,9),(22,6),-0.0830469 # DEPENDENCYPART_TRISIBL
(22,18),(22,9),(22,5),-0.11569 # DEPENDENCYPART_TRISIBL
(22,18),(22,9),(22,3),-0.0928067 # DEPENDENCYPART_TRISIBL
(22,18),(22,9),(22,2),-0.0550985 # DEPENDENCYPART_TRISIBL
(22,18),(22,9),(22,1),-0.144036 # DEPENDENCYPART_TRISIBL
(22,18),(22,9),(22,-1),-0.133217 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,18),(22,8),(22,7),-0.0704298 # DEPENDENCYPART_TRISIBL
(22,18),(22,8),(22,6),-0.0778766 # DEPENDENCYPART_TRISIBL
(22,18),(22,8),(22,5),-0.106818 # DEPENDENCYPART_TRISIBL
(22,18),(22,8),(22,3),-0.0899506 # DEPENDENCYPART_TRISIBL
(22,18),(22,8),(22,2),-0.0523028 # DEPENDENCYPART_TRISIBL
(22,18),(22,8),(22,1),-0.141863 # DEPENDENCYPART_TRISIBL
(22,18),(22,8),(22,-1),-0.0996477 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,18),(22,7),(22,6),-0.0779443 # DEPENDENCYPART_TRISIBL
(22,18),(22,7),(22,5),-0.103928 # DEPENDENCYPART_TRISIBL
(22,18),(22,7),(22,3),-0.0899367 # DEPENDENCYPART_TRISIBL
(22,18),(22,7),(22,2),-0.0508485 # DEPENDENCYPART_TRISIBL
(22,18),(22,7),(22,1),-0.141848 # DEPENDENCYPART_TRISIBL
(22,18),(22,7),(22,-1),-0.112327 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,18),(22,6),(22,5),-0.12011 # DEPENDENCYPART_TRISIBL
(22,18),(22,6),(22,3),-0.0972546 # DEPENDENCYPART_TRISIBL
(22,18),(22,6),(22,2),-0.0549837 # DEPENDENCYPART_TRISIBL
(22,18),(22,6),(22,1),-0.142081 # DEPENDENCYPART_TRISIBL
(22,18),(22,6),(22,-1),-0.118899 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,18),(22,5),(22,3),-0.0995298 # DEPENDENCYPART_TRISIBL
(22,18),(22,5),(22,2),-0.0352315 # DEPENDENCYPART_TRISIBL
(22,18),(22,5),(22,1),-0.156051 # DEPENDENCYPART_TRISIBL
(22,18),(22,5),(22,-1),-0.125931 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,18),(22,3),(22,2),-0.0441871 # DEPENDENCYPART_TRISIBL
(22,18),(22,3),(22,1),-0.166165 # DEPENDENCYPART_TRISIBL
(22,18),(22,3),(22,-1),-0.0970334 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,18),(22,2),(22,1),-0.142081 # DEPENDENCYPART_TRISIBL
(22,18),(22,2),(22,-1),-0.0703574 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,18),(22,1),(22,-1),-0.120599 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,17),(22,16),(22,15),-0.149865 # DEPENDENCYPART_TRISIBL
(22,17),(22,16),(22,14),-0.0881229 # DEPENDENCYPART_TRISIBL
(22,17),(22,16),(22,13),-0.119397 # DEPENDENCYPART_TRISIBL
(22,17),(22,16),(22,12),-0.130111 # DEPENDENCYPART_TRISIBL
(22,17),(22,16),(22,11),-0.100414 # DEPENDENCYPART_TRISIBL
(22,17),(22,16),(22,10),-0.130111 # DEPENDENCYPART_TRISIBL
(22,17),(22,16),(22,9),-0.149283 # DEPENDENCYPART_TRISIBL
(22,17),(22,16),(22,8),-0.0907996 # DEPENDENCYPART_TRISIBL
(22,17),(22,16),(22,7),-0.0581196 # DEPENDENCYPART_TRISIBL
(22,17),(22,16),(22,6),-0.119397 # DEPENDENCYPART_TRISIBL
(22,17),(22,16),(22,5),-0.13015 # DEPENDENCYPART_TRISIBL
(22,17),(22,16),(22,3),-0.0702866 # DEPENDENCYPART_TRISIBL
(22,17),(22,16),(22,2),-0.0703671 # DEPENDENCYPART_TRISIBL
(22,17),(22,16),(22,1),-0.073366 # DEPENDENCYPART_TRISIBL
(22,17),(22,16),(22,-1),-0.0680114 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,17),(22,15),(22,14),-0.088342 # DEPENDENCYPART_TRISIBL
(22,17),(22,15),(22,13),-0.119397 # DEPENDENCYPART_TRISIBL
(22,17),(22,15),(22,12),-0.130118 # DEPENDENCYPART_TRISIBL
(22,17),(22,15),(22,11),-0.100414 # DEPENDENCYPART_TRISIBL
(22,17),(22,15),(22,10),-0.130118 # DEPENDENCYPART_TRISIBL
(22,17),(22,15),(22,9),-0.149383 # DEPENDENCYPART_TRISIBL
(22,17),(22,15),(22,8),-0.0910186 # DEPENDENCYPART_TRISIBL
(22,17),(22,15),(22,7),-0.0581196 # DEPENDENCYPART_TRISIBL
(22,17),(22,15),(22,6),-0.119397 # DEPENDENCYPART_TRISIBL
(22,17),(22,15),(22,5),-0.130157 # DEPENDENCYPART_TRISIBL
(22,17),(22,15),(22,3),-0.0702866 # DEPENDENCYPART_TRISIBL
(22,17),(22,15),(22,2),-0.0703713 # DEPENDENCYPART_TRISIBL
(22,17),(22,15),(22,1),-0.073366 # DEPENDENCYPART_TRISIBL
(22,17),(22,15),(22,-1),-0.0680153 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,17),(22,14),(22,13),-0.103087 # DEPENDENCYPART_TRISIBL
(22,17),(22,14),(22,12),-0.116812 # DEPENDENCYPART_TRISIBL
(22,17),(22,14),(22,11),-0.0890894 # DEPENDENCYPART_TRISIBL
(22,17),(22,14),(22,10),-0.116812 # DEPENDENCYPART_TRISIBL
(22,17),(22,14),(22,9),-0.122177 # DEPENDENCYPART_TRISIBL
(22,17),(22,14),(22,8),-0.0859125 # DEPENDENCYPART_TRISIBL
(22,17),(22,14),(22,7),-0.0562977 # DEPENDENCYPART_TRISIBL
(22,17),(22,14),(22,6),-0.103087 # DEPENDENCYPART_TRISIBL
(22,17),(22,14),(22,5),-0.116851 # DEPENDENCYPART_TRISIBL
(22,17),(22,14),(22,3),-0.0700063 # DEPENDENCYPART_TRISIBL
(22,17),(22,14),(22,2),-0.0632915 # DEPENDENCYPART_TRISIBL
(22,17),(22,14),(22,1),-0.0689607 # DEPENDENCYPART_TRISIBL
(22,17),(22,14),(22,-1),-0.075855 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,17),(22,13),(22,12),-0.0904169 # DEPENDENCYPART_TRISIBL
(22,17),(22,13),(22,11),-0.0125624 # DEPENDENCYPART_TRISIBL
(22,17),(22,13),(22,10),-0.0904169 # DEPENDENCYPART_TRISIBL
(22,17),(22,13),(22,9),-0.172185 # DEPENDENCYPART_TRISIBL
(22,17),(22,13),(22,8),-0.103895 # DEPENDENCYPART_TRISIBL
(22,17),(22,13),(22,7),-0.0312311 # DEPENDENCYPART_TRISIBL
(22,17),(22,13),(22,6),-0.104142 # DEPENDENCYPART_TRISIBL
(22,17),(22,13),(22,5),-0.0904922 # DEPENDENCYPART_TRISIBL
(22,17),(22,13),(22,3),-0.0638875 # DEPENDENCYPART_TRISIBL
(22,17),(22,13),(22,2),-0.0671152 # DEPENDENCYPART_TRISIBL
(22,17),(22,13),(22,1),-0.0560241 # DEPENDENCYPART_TRISIBL
(22,17),(22,13),(22,-1),-0.0827615 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,17),(22,12),(22,11),-0.119033 # DEPENDENCYPART_TRISIBL
(22,17),(22,12),(22,10),-0.130261 # DEPENDENCYPART_TRISIBL
(22,17),(22,12),(22,9),-0.142614 # DEPENDENCYPART_TRISIBL
(22,17),(22,12),(22,8),-0.0876532 # DEPENDENCYPART_TRISIBL
(22,17),(22,12),(22,7),-0.0581856 # DEPENDENCYPART_TRISIBL
(22,17),(22,12),(22,6),-0.108512 # DEPENDENCYPART_TRISIBL
(22,17),(22,12),(22,5),-0.130303 # DEPENDENCYPART_TRISIBL
(22,17),(22,12),(22,3),-0.0759919 # DEPENDENCYPART_TRISIBL
(22,17),(22,12),(22,2),-0.0554663 # DEPENDENCYPART_TRISIBL
(22,17),(22,12),(22,1),-0.0699006 # DEPENDENCYPART_TRISIBL
(22,17),(22,12),(22,-1),-0.011986 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,17),(22,11),(22,10),-0.129063 # DEPENDENCYPART_TRISIBL
(22,17),(22,11),(22,9),-0.0732022 # DEPENDENCYPART_TRISIBL
(22,17),(22,11),(22,8),-0.0865174 # DEPENDENCYPART_TRISIBL
(22,17),(22,11),(22,7),-0.0563239 # DEPENDENCYPART_TRISIBL
(22,17),(22,11),(22,6),-0.110954 # DEPENDENCYPART_TRISIBL
(22,17),(22,11),(22,5),-0.129102 # DEPENDENCYPART_TRISIBL
(22,17),(22,11),(22,3),-0.0707724 # DEPENDENCYPART_TRISIBL
(22,17),(22,11),(22,2),-0.0634151 # DEPENDENCYPART_TRISIBL
(22,17),(22,11),(22,1),-0.0721394 # DEPENDENCYPART_TRISIBL
(22,17),(22,11),(22,-1),-0.0406184 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,17),(22,10),(22,9),-0.142614 # DEPENDENCYPART_TRISIBL
(22,17),(22,10),(22,8),-0.0876532 # DEPENDENCYPART_TRISIBL
(22,17),(22,10),(22,7),-0.0581856 # DEPENDENCYPART_TRISIBL
(22,17),(22,10),(22,6),-0.108512 # DEPENDENCYPART_TRISIBL
(22,17),(22,10),(22,5),-0.130303 # DEPENDENCYPART_TRISIBL
(22,17),(22,10),(22,3),-0.0759919 # DEPENDENCYPART_TRISIBL
(22,17),(22,10),(22,2),-0.0554663 # DEPENDENCYPART_TRISIBL
(22,17),(22,10),(22,1),-0.0699006 # DEPENDENCYPART_TRISIBL
(22,17),(22,10),(22,-1),-0.011986 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,17),(22,9),(22,8),-0.0907996 # DEPENDENCYPART_TRISIBL
(22,17),(22,9),(22,7),-0.0581196 # DEPENDENCYPART_TRISIBL
(22,17),(22,9),(22,6),-0.119397 # DEPENDENCYPART_TRISIBL
(22,17),(22,9),(22,5),-0.13015 # DEPENDENCYPART_TRISIBL
(22,17),(22,9),(22,3),-0.0702866 # DEPENDENCYPART_TRISIBL
(22,17),(22,9),(22,2),-0.0703671 # DEPENDENCYPART_TRISIBL
(22,17),(22,9),(22,1),-0.073366 # DEPENDENCYPART_TRISIBL
(22,17),(22,9),(22,-1),-0.0680114 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,17),(22,8),(22,7),-0.0562977 # DEPENDENCYPART_TRISIBL
(22,17),(22,8),(22,6),-0.103087 # DEPENDENCYPART_TRISIBL
(22,17),(22,8),(22,5),-0.11784 # DEPENDENCYPART_TRISIBL
(22,17),(22,8),(22,3),-0.0700063 # DEPENDENCYPART_TRISIBL
(22,17),(22,8),(22,2),-0.0633009 # DEPENDENCYPART_TRISIBL
(22,17),(22,8),(22,1),-0.0689619 # DEPENDENCYPART_TRISIBL
(22,17),(22,8),(22,-1),-0.0780054 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,17),(22,7),(22,6),-0.103114 # DEPENDENCYPART_TRISIBL
(22,17),(22,7),(22,5),-0.113526 # DEPENDENCYPART_TRISIBL
(22,17),(22,7),(22,3),-0.0700063 # DEPENDENCYPART_TRISIBL
(22,17),(22,7),(22,2),-0.062073 # DEPENDENCYPART_TRISIBL
(22,17),(22,7),(22,1),-0.0685427 # DEPENDENCYPART_TRISIBL
(22,17),(22,7),(22,-1),-0.0378649 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,17),(22,6),(22,5),-0.0904922 # DEPENDENCYPART_TRISIBL
(22,17),(22,6),(22,3),-0.0638875 # DEPENDENCYPART_TRISIBL
(22,17),(22,6),(22,2),-0.0671152 # DEPENDENCYPART_TRISIBL
(22,17),(22,6),(22,1),-0.0560241 # DEPENDENCYPART_TRISIBL
(22,17),(22,6),(22,-1),-0.0827615 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,17),(22,5),(22,3),-0.0759919 # DEPENDENCYPART_TRISIBL
(22,17),(22,5),(22,2),-0.0554663 # DEPENDENCYPART_TRISIBL
(22,17),(22,5),(22,1),-0.0699006 # DEPENDENCYPART_TRISIBL
(22,17),(22,5),(22,-1),-0.0120033 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,17),(22,3),(22,2),-0.0635633 # DEPENDENCYPART_TRISIBL
(22,17),(22,3),(22,1),-0.0824805 # DEPENDENCYPART_TRISIBL
(22,17),(22,3),(22,-1),-0.0529115 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,17),(22,2),(22,1),-0.071965 # DEPENDENCYPART_TRISIBL
(22,17),(22,2),(22,-1),-0.0677483 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,17),(22,1),(22,-1),-0.0126334 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,16),(22,15),(22,14),-0.111426 # DEPENDENCYPART_TRISIBL
(22,16),(22,15),(22,13),-0.0422875 # DEPENDENCYPART_TRISIBL
(22,16),(22,15),(22,12),-0.0797953 # DEPENDENCYPART_TRISIBL
(22,16),(22,15),(22,11),-0.0576717 # DEPENDENCYPART_TRISIBL
(22,16),(22,15),(22,10),-0.0797953 # DEPENDENCYPART_TRISIBL
(22,16),(22,15),(22,9),-0.18245 # DEPENDENCYPART_TRISIBL
(22,16),(22,15),(22,8),-0.11968 # DEPENDENCYPART_TRISIBL
(22,16),(22,15),(22,7),-0.0636077 # DEPENDENCYPART_TRISIBL
(22,16),(22,15),(22,6),-0.0422875 # DEPENDENCYPART_TRISIBL
(22,16),(22,15),(22,5),-0.0798382 # DEPENDENCYPART_TRISIBL
(22,16),(22,15),(22,3),-0.0268299 # DEPENDENCYPART_TRISIBL
(22,16),(22,15),(22,2),-0.0471823 # DEPENDENCYPART_TRISIBL
(22,16),(22,15),(22,1),-0.0542636 # DEPENDENCYPART_TRISIBL
(22,16),(22,15),(22,-1),-0.108145 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,16),(22,14),(22,13),-0.0113734 # DEPENDENCYPART_TRISIBL
(22,16),(22,14),(22,12),-0.0381912 # DEPENDENCYPART_TRISIBL
(22,16),(22,14),(22,11),-0.0255016 # DEPENDENCYPART_TRISIBL
(22,16),(22,14),(22,10),-0.0381912 # DEPENDENCYPART_TRISIBL
(22,16),(22,14),(22,9),-0.166614 # DEPENDENCYPART_TRISIBL
(22,16),(22,14),(22,8),-0.11351 # DEPENDENCYPART_TRISIBL
(22,16),(22,14),(22,7),-0.0522246 # DEPENDENCYPART_TRISIBL
(22,16),(22,14),(22,6),-0.0113734 # DEPENDENCYPART_TRISIBL
(22,16),(22,14),(22,5),-0.0382341 # DEPENDENCYPART_TRISIBL
(22,16),(22,14),(22,3),-0.0273998 # DEPENDENCYPART_TRISIBL
(22,16),(22,14),(22,2),-0.0623355 # DEPENDENCYPART_TRISIBL
(22,16),(22,14),(22,1),-0.0504104 # DEPENDENCYPART_TRISIBL
(22,16),(22,14),(22,-1),-0.0694782 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,16),(22,13),(22,12),-0.0768962 # DEPENDENCYPART_TRISIBL
(22,16),(22,13),(22,11),0.0606421 # DEPENDENCYPART_TRISIBL
(22,16),(22,13),(22,10),-0.0768962 # DEPENDENCYPART_TRISIBL
(22,16),(22,13),(22,9),-0.0317631 # DEPENDENCYPART_TRISIBL
(22,16),(22,13),(22,8),-0.175114 # DEPENDENCYPART_TRISIBL
(22,16),(22,13),(22,7),-0.0550952 # DEPENDENCYPART_TRISIBL
(22,16),(22,13),(22,6),-0.0325302 # DEPENDENCYPART_TRISIBL
(22,16),(22,13),(22,5),-0.0769399 # DEPENDENCYPART_TRISIBL
(22,16),(22,13),(22,3),0.0100928 # DEPENDENCYPART_TRISIBL
(22,16),(22,13),(22,2),-0.0657254 # DEPENDENCYPART_TRISIBL
(22,16),(22,13),(22,1),-0.044343 # DEPENDENCYPART_TRISIBL
(22,16),(22,13),(22,-1),-0.148723 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,16),(22,12),(22,11),0.0741763 # DEPENDENCYPART_TRISIBL
(22,16),(22,12),(22,10),-0.0488203 # DEPENDENCYPART_TRISIBL
(22,16),(22,12),(22,9),-0.201108 # DEPENDENCYPART_TRISIBL
(22,16),(22,12),(22,8),-0.12469 # DEPENDENCYPART_TRISIBL
(22,16),(22,12),(22,7),-0.0337147 # DEPENDENCYPART_TRISIBL
(22,16),(22,12),(22,6),0.0417721 # DEPENDENCYPART_TRISIBL
(22,16),(22,12),(22,5),-0.0488838 # DEPENDENCYPART_TRISIBL
(22,16),(22,12),(22,3),-0.0301579 # DEPENDENCYPART_TRISIBL
(22,16),(22,12),(22,2),-0.0644621 # DEPENDENCYPART_TRISIBL
(22,16),(22,12),(22,1),-0.0618794 # DEPENDENCYPART_TRISIBL
(22,16),(22,12),(22,-1),-0.0417533 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,16),(22,11),(22,10),0.00360739 # DEPENDENCYPART_TRISIBL
(22,16),(22,11),(22,9),-0.167707 # DEPENDENCYPART_TRISIBL
(22,16),(22,11),(22,8),-0.115132 # DEPENDENCYPART_TRISIBL
(22,16),(22,11),(22,7),-0.0516095 # DEPENDENCYPART_TRISIBL
(22,16),(22,11),(22,6),-0.0211817 # DEPENDENCYPART_TRISIBL
(22,16),(22,11),(22,5),0.00356449 # DEPENDENCYPART_TRISIBL
(22,16),(22,11),(22,3),-0.0112942 # DEPENDENCYPART_TRISIBL
(22,16),(22,11),(22,2),-0.0563359 # DEPENDENCYPART_TRISIBL
(22,16),(22,11),(22,1),-0.0507453 # DEPENDENCYPART_TRISIBL
(22,16),(22,11),(22,-1),-0.00702982 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,16),(22,10),(22,9),-0.201108 # DEPENDENCYPART_TRISIBL
(22,16),(22,10),(22,8),-0.12469 # DEPENDENCYPART_TRISIBL
(22,16),(22,10),(22,7),-0.0337147 # DEPENDENCYPART_TRISIBL
(22,16),(22,10),(22,6),0.0417721 # DEPENDENCYPART_TRISIBL
(22,16),(22,10),(22,5),-0.0488838 # DEPENDENCYPART_TRISIBL
(22,16),(22,10),(22,3),-0.0301579 # DEPENDENCYPART_TRISIBL
(22,16),(22,10),(22,2),-0.0644621 # DEPENDENCYPART_TRISIBL
(22,16),(22,10),(22,1),-0.0618794 # DEPENDENCYPART_TRISIBL
(22,16),(22,10),(22,-1),-0.041647 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,16),(22,9),(22,8),-0.119206 # DEPENDENCYPART_TRISIBL
(22,16),(22,9),(22,7),-0.0636077 # DEPENDENCYPART_TRISIBL
(22,16),(22,9),(22,6),-0.0422875 # DEPENDENCYPART_TRISIBL
(22,16),(22,9),(22,5),-0.0798361 # DEPENDENCYPART_TRISIBL
(22,16),(22,9),(22,3),-0.0268296 # DEPENDENCYPART_TRISIBL
(22,16),(22,9),(22,2),-0.0471622 # DEPENDENCYPART_TRISIBL
(22,16),(22,9),(22,1),-0.0542613 # DEPENDENCYPART_TRISIBL
(22,16),(22,9),(22,-1),-0.107583 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,16),(22,8),(22,7),-0.052235 # DEPENDENCYPART_TRISIBL
(22,16),(22,8),(22,6),-0.0115586 # DEPENDENCYPART_TRISIBL
(22,16),(22,8),(22,5),-0.0388137 # DEPENDENCYPART_TRISIBL
(22,16),(22,8),(22,3),-0.0277401 # DEPENDENCYPART_TRISIBL
(22,16),(22,8),(22,2),-0.0625726 # DEPENDENCYPART_TRISIBL
(22,16),(22,8),(22,1),-0.0504184 # DEPENDENCYPART_TRISIBL
(22,16),(22,8),(22,-1),-0.0720385 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,16),(22,7),(22,6),-0.0173162 # DEPENDENCYPART_TRISIBL
(22,16),(22,7),(22,5),-0.028975 # DEPENDENCYPART_TRISIBL
(22,16),(22,7),(22,3),-0.0262789 # DEPENDENCYPART_TRISIBL
(22,16),(22,7),(22,2),-0.0567205 # DEPENDENCYPART_TRISIBL
(22,16),(22,7),(22,1),-0.0501906 # DEPENDENCYPART_TRISIBL
(22,16),(22,7),(22,-1),0.0647937 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,16),(22,6),(22,5),-0.0769399 # DEPENDENCYPART_TRISIBL
(22,16),(22,6),(22,3),0.0100928 # DEPENDENCYPART_TRISIBL
(22,16),(22,6),(22,2),-0.0657254 # DEPENDENCYPART_TRISIBL
(22,16),(22,6),(22,1),-0.044343 # DEPENDENCYPART_TRISIBL
(22,16),(22,6),(22,-1),-0.148723 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,16),(22,5),(22,3),-0.0301579 # DEPENDENCYPART_TRISIBL
(22,16),(22,5),(22,2),-0.0644622 # DEPENDENCYPART_TRISIBL
(22,16),(22,5),(22,1),-0.0618794 # DEPENDENCYPART_TRISIBL
(22,16),(22,5),(22,-1),-0.0439562 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,16),(22,3),(22,2),-0.0607147 # DEPENDENCYPART_TRISIBL
(22,16),(22,3),(22,1),-0.0504767 # DEPENDENCYPART_TRISIBL
(22,16),(22,3),(22,-1),-0.0373114 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,16),(22,2),(22,1),-0.0449904 # DEPENDENCYPART_TRISIBL
(22,16),(22,2),(22,-1),-0.0490252 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,16),(22,1),(22,-1),-0.0262214 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,15),(22,14),(22,13),-0.0122757 # DEPENDENCYPART_TRISIBL
(22,15),(22,14),(22,12),-0.0467179 # DEPENDENCYPART_TRISIBL
(22,15),(22,14),(22,11),-0.030513 # DEPENDENCYPART_TRISIBL
(22,15),(22,14),(22,10),-0.0467179 # DEPENDENCYPART_TRISIBL
(22,15),(22,14),(22,9),-0.167433 # DEPENDENCYPART_TRISIBL
(22,15),(22,14),(22,8),-0.114082 # DEPENDENCYPART_TRISIBL
(22,15),(22,14),(22,7),-0.0522471 # DEPENDENCYPART_TRISIBL
(22,15),(22,14),(22,6),-0.0122757 # DEPENDENCYPART_TRISIBL
(22,15),(22,14),(22,5),-0.0467608 # DEPENDENCYPART_TRISIBL
(22,15),(22,14),(22,3),-0.0281932 # DEPENDENCYPART_TRISIBL
(22,15),(22,14),(22,2),-0.0629587 # DEPENDENCYPART_TRISIBL
(22,15),(22,14),(22,1),-0.0509359 # DEPENDENCYPART_TRISIBL
(22,15),(22,14),(22,-1),-0.0750399 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,15),(22,13),(22,12),-0.0890132 # DEPENDENCYPART_TRISIBL
(22,15),(22,13),(22,11),0.0548645 # DEPENDENCYPART_TRISIBL
(22,15),(22,13),(22,10),-0.0890132 # DEPENDENCYPART_TRISIBL
(22,15),(22,13),(22,9),-0.0330671 # DEPENDENCYPART_TRISIBL
(22,15),(22,13),(22,8),-0.17565 # DEPENDENCYPART_TRISIBL
(22,15),(22,13),(22,7),-0.0551065 # DEPENDENCYPART_TRISIBL
(22,15),(22,13),(22,6),-0.0333258 # DEPENDENCYPART_TRISIBL
(22,15),(22,13),(22,5),-0.089057 # DEPENDENCYPART_TRISIBL
(22,15),(22,13),(22,3),0.00965224 # DEPENDENCYPART_TRISIBL
(22,15),(22,13),(22,2),-0.0663215 # DEPENDENCYPART_TRISIBL
(22,15),(22,13),(22,1),-0.0449692 # DEPENDENCYPART_TRISIBL
(22,15),(22,13),(22,-1),-0.152911 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,15),(22,12),(22,11),0.0662245 # DEPENDENCYPART_TRISIBL
(22,15),(22,12),(22,10),-0.0563995 # DEPENDENCYPART_TRISIBL
(22,15),(22,12),(22,9),-0.201924 # DEPENDENCYPART_TRISIBL
(22,15),(22,12),(22,8),-0.125227 # DEPENDENCYPART_TRISIBL
(22,15),(22,12),(22,7),-0.0337259 # DEPENDENCYPART_TRISIBL
(22,15),(22,12),(22,6),0.0409049 # DEPENDENCYPART_TRISIBL
(22,15),(22,12),(22,5),-0.056463 # DEPENDENCYPART_TRISIBL
(22,15),(22,12),(22,3),-0.0306843 # DEPENDENCYPART_TRISIBL
(22,15),(22,12),(22,2),-0.0654836 # DEPENDENCYPART_TRISIBL
(22,15),(22,12),(22,1),-0.062696 # DEPENDENCYPART_TRISIBL
(22,15),(22,12),(22,-1),-0.0456287 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,15),(22,11),(22,10),-0.00432179 # DEPENDENCYPART_TRISIBL
(22,15),(22,11),(22,9),-0.168508 # DEPENDENCYPART_TRISIBL
(22,15),(22,11),(22,8),-0.115668 # DEPENDENCYPART_TRISIBL
(22,15),(22,11),(22,7),-0.0516207 # DEPENDENCYPART_TRISIBL
(22,15),(22,11),(22,6),-0.0219773 # DEPENDENCYPART_TRISIBL
(22,15),(22,11),(22,5),-0.00436469 # DEPENDENCYPART_TRISIBL
(22,15),(22,11),(22,3),-0.0117347 # DEPENDENCYPART_TRISIBL
(22,15),(22,11),(22,2),-0.056932 # DEPENDENCYPART_TRISIBL
(22,15),(22,11),(22,1),-0.0512686 # DEPENDENCYPART_TRISIBL
