# _root_ The company 's conduct `` does not even raise a question of wrongful corporate intent , ratification or cover-up , '' GE 's brief asserts .
#goldHeads=2,4,2,6,6,25,6,6,6,11,9,11,18,18,18,18,18,12,18,25,25,24,22,25,0,25,
#predictedHeads=2,4,2,6,6,25,6,6,6,11,9,11,15,15,18,18,18,12,18,25,25,24,22,25,0,25,
(11,14),(11,18),(11,22),-0.075554 # DEPENDENCYPART_TRISIBL
(11,14),(11,18),(11,24),-0.075554 # DEPENDENCYPART_TRISIBL
(11,14),(11,18),(11,25),-0.0555546 # DEPENDENCYPART_TRISIBL
(11,14),(11,18),(11,26),-0.0693978 # DEPENDENCYPART_TRISIBL
(11,14),(11,18),(11,27),-0.109805 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,14),(11,19),(11,20),-0.0660944 # DEPENDENCYPART_TRISIBL
(11,14),(11,19),(11,21),-0.0905806 # DEPENDENCYPART_TRISIBL
(11,14),(11,19),(11,22),-0.0668876 # DEPENDENCYPART_TRISIBL
(11,14),(11,19),(11,24),-0.0668876 # DEPENDENCYPART_TRISIBL
(11,14),(11,19),(11,25),-0.0543896 # DEPENDENCYPART_TRISIBL
(11,14),(11,19),(11,26),-0.0890622 # DEPENDENCYPART_TRISIBL
(11,14),(11,19),(11,27),-0.0970449 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,14),(11,20),(11,21),-0.0752595 # DEPENDENCYPART_TRISIBL
(11,14),(11,20),(11,22),-0.0739476 # DEPENDENCYPART_TRISIBL
(11,14),(11,20),(11,24),-0.0739476 # DEPENDENCYPART_TRISIBL
(11,14),(11,20),(11,25),0.0540819 # DEPENDENCYPART_TRISIBL
(11,14),(11,20),(11,26),-0.0761148 # DEPENDENCYPART_TRISIBL
(11,14),(11,20),(11,27),-0.0289311 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,14),(11,21),(11,22),-0.0784394 # DEPENDENCYPART_TRISIBL
(11,14),(11,21),(11,24),-0.0784394 # DEPENDENCYPART_TRISIBL
(11,14),(11,21),(11,25),-0.0449098 # DEPENDENCYPART_TRISIBL
(11,14),(11,21),(11,26),-0.0669685 # DEPENDENCYPART_TRISIBL
(11,14),(11,21),(11,27),-0.0711439 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,14),(11,22),(11,24),-0.0668876 # DEPENDENCYPART_TRISIBL
(11,14),(11,22),(11,25),-0.0543896 # DEPENDENCYPART_TRISIBL
(11,14),(11,22),(11,26),-0.0890622 # DEPENDENCYPART_TRISIBL
(11,14),(11,22),(11,27),-0.0970449 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,14),(11,24),(11,25),-0.0543896 # DEPENDENCYPART_TRISIBL
(11,14),(11,24),(11,26),-0.0890622 # DEPENDENCYPART_TRISIBL
(11,14),(11,24),(11,27),-0.0970449 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,14),(11,25),(11,26),-0.0965752 # DEPENDENCYPART_TRISIBL
(11,14),(11,25),(11,27),-0.0889123 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,14),(11,26),(11,27),-0.0887151 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,15),(11,16),(11,17),-0.0825078 # DEPENDENCYPART_TRISIBL
(11,15),(11,16),(11,18),-0.102727 # DEPENDENCYPART_TRISIBL
(11,15),(11,16),(11,19),-0.0825752 # DEPENDENCYPART_TRISIBL
(11,15),(11,16),(11,20),-0.0429547 # DEPENDENCYPART_TRISIBL
(11,15),(11,16),(11,21),0.0396254 # DEPENDENCYPART_TRISIBL
(11,15),(11,16),(11,22),-0.0825038 # DEPENDENCYPART_TRISIBL
(11,15),(11,16),(11,24),-0.0825038 # DEPENDENCYPART_TRISIBL
(11,15),(11,16),(11,25),-0.0997537 # DEPENDENCYPART_TRISIBL
(11,15),(11,16),(11,26),-0.129898 # DEPENDENCYPART_TRISIBL
(11,15),(11,16),(11,27),-0.0237147 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,15),(11,17),(11,18),-0.116738 # DEPENDENCYPART_TRISIBL
(11,15),(11,17),(11,19),-0.0692356 # DEPENDENCYPART_TRISIBL
(11,15),(11,17),(11,20),-0.0463071 # DEPENDENCYPART_TRISIBL
(11,15),(11,17),(11,21),-0.0488442 # DEPENDENCYPART_TRISIBL
(11,15),(11,17),(11,22),-0.069164 # DEPENDENCYPART_TRISIBL
(11,15),(11,17),(11,24),-0.069164 # DEPENDENCYPART_TRISIBL
(11,15),(11,17),(11,25),-0.0863758 # DEPENDENCYPART_TRISIBL
(11,15),(11,17),(11,26),-0.0934933 # DEPENDENCYPART_TRISIBL
(11,15),(11,17),(11,27),-0.117646 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,15),(11,18),(11,19),-0.0766173 # DEPENDENCYPART_TRISIBL
(11,15),(11,18),(11,20),-0.0475773 # DEPENDENCYPART_TRISIBL
(11,15),(11,18),(11,21),-0.0469001 # DEPENDENCYPART_TRISIBL
(11,15),(11,18),(11,22),-0.076546 # DEPENDENCYPART_TRISIBL
(11,15),(11,18),(11,24),-0.076546 # DEPENDENCYPART_TRISIBL
(11,15),(11,18),(11,25),-0.0858707 # DEPENDENCYPART_TRISIBL
(11,15),(11,18),(11,26),-0.0958374 # DEPENDENCYPART_TRISIBL
(11,15),(11,18),(11,27),-0.15118 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,15),(11,19),(11,20),-0.0463071 # DEPENDENCYPART_TRISIBL
(11,15),(11,19),(11,21),-0.0488548 # DEPENDENCYPART_TRISIBL
(11,15),(11,19),(11,22),-0.069164 # DEPENDENCYPART_TRISIBL
(11,15),(11,19),(11,24),-0.069164 # DEPENDENCYPART_TRISIBL
(11,15),(11,19),(11,25),-0.0863758 # DEPENDENCYPART_TRISIBL
(11,15),(11,19),(11,26),-0.0933242 # DEPENDENCYPART_TRISIBL
(11,15),(11,19),(11,27),-0.117708 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,15),(11,20),(11,21),0.0396254 # DEPENDENCYPART_TRISIBL
(11,15),(11,20),(11,22),-0.0825038 # DEPENDENCYPART_TRISIBL
(11,15),(11,20),(11,24),-0.0825038 # DEPENDENCYPART_TRISIBL
(11,15),(11,20),(11,25),-0.0997537 # DEPENDENCYPART_TRISIBL
(11,15),(11,20),(11,26),-0.129898 # DEPENDENCYPART_TRISIBL
(11,15),(11,20),(11,27),-0.0237147 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,15),(11,21),(11,22),-0.0635785 # DEPENDENCYPART_TRISIBL
(11,15),(11,21),(11,24),-0.0635785 # DEPENDENCYPART_TRISIBL
(11,15),(11,21),(11,25),-0.0870077 # DEPENDENCYPART_TRISIBL
(11,15),(11,21),(11,26),-0.0964889 # DEPENDENCYPART_TRISIBL
(11,15),(11,21),(11,27),-0.0710592 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,15),(11,22),(11,24),-0.069164 # DEPENDENCYPART_TRISIBL
(11,15),(11,22),(11,25),-0.0863758 # DEPENDENCYPART_TRISIBL
(11,15),(11,22),(11,26),-0.0933242 # DEPENDENCYPART_TRISIBL
(11,15),(11,22),(11,27),-0.117647 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,15),(11,24),(11,25),-0.0863758 # DEPENDENCYPART_TRISIBL
(11,15),(11,24),(11,26),-0.0933242 # DEPENDENCYPART_TRISIBL
(11,15),(11,24),(11,27),-0.117646 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,15),(11,25),(11,26),-0.0978357 # DEPENDENCYPART_TRISIBL
(11,15),(11,25),(11,27),-0.118669 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,15),(11,26),(11,27),-0.0187161 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,16),(11,17),(11,18),-0.0724932 # DEPENDENCYPART_TRISIBL
(11,16),(11,17),(11,19),-0.0825822 # DEPENDENCYPART_TRISIBL
(11,16),(11,17),(11,20),0.505905 # DEPENDENCYPART_TRISIBL
(11,16),(11,17),(11,21),-0.105938 # DEPENDENCYPART_TRISIBL
(11,16),(11,17),(11,22),-0.0825822 # DEPENDENCYPART_TRISIBL
(11,16),(11,17),(11,24),-0.0825822 # DEPENDENCYPART_TRISIBL
(11,16),(11,17),(11,25),-0.052276 # DEPENDENCYPART_TRISIBL
(11,16),(11,17),(11,26),-0.234686 # DEPENDENCYPART_TRISIBL
(11,16),(11,17),(11,27),-0.0989791 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,16),(11,18),(11,19),-0.0157365 # DEPENDENCYPART_TRISIBL
(11,16),(11,18),(11,20),0.491908 # DEPENDENCYPART_TRISIBL
(11,16),(11,18),(11,21),-0.109949 # DEPENDENCYPART_TRISIBL
(11,16),(11,18),(11,22),-0.0157365 # DEPENDENCYPART_TRISIBL
(11,16),(11,18),(11,24),-0.0157365 # DEPENDENCYPART_TRISIBL
(11,16),(11,18),(11,25),-0.0468518 # DEPENDENCYPART_TRISIBL
(11,16),(11,18),(11,26),-0.0986264 # DEPENDENCYPART_TRISIBL
(11,16),(11,18),(11,27),-0.132872 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,16),(11,19),(11,20),0.505905 # DEPENDENCYPART_TRISIBL
(11,16),(11,19),(11,21),-0.105938 # DEPENDENCYPART_TRISIBL
(11,16),(11,19),(11,22),-0.0825822 # DEPENDENCYPART_TRISIBL
(11,16),(11,19),(11,24),-0.0825822 # DEPENDENCYPART_TRISIBL
(11,16),(11,19),(11,25),-0.052276 # DEPENDENCYPART_TRISIBL
(11,16),(11,19),(11,26),-0.234686 # DEPENDENCYPART_TRISIBL
(11,16),(11,19),(11,27),-0.0989805 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,16),(11,20),(11,21),-0.104147 # DEPENDENCYPART_TRISIBL
(11,16),(11,20),(11,22),-0.000274231 # DEPENDENCYPART_TRISIBL
(11,16),(11,20),(11,24),-0.000274231 # DEPENDENCYPART_TRISIBL
(11,16),(11,20),(11,25),-0.0553567 # DEPENDENCYPART_TRISIBL
(11,16),(11,20),(11,26),-0.130455 # DEPENDENCYPART_TRISIBL
(11,16),(11,20),(11,27),-0.229828 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,16),(11,21),(11,22),0.149305 # DEPENDENCYPART_TRISIBL
(11,16),(11,21),(11,24),0.149305 # DEPENDENCYPART_TRISIBL
(11,16),(11,21),(11,25),0.0415689 # DEPENDENCYPART_TRISIBL
(11,16),(11,21),(11,26),-0.138726 # DEPENDENCYPART_TRISIBL
(11,16),(11,21),(11,27),-0.182435 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,16),(11,22),(11,24),-0.0825827 # DEPENDENCYPART_TRISIBL
(11,16),(11,22),(11,25),-0.052276 # DEPENDENCYPART_TRISIBL
(11,16),(11,22),(11,26),-0.234686 # DEPENDENCYPART_TRISIBL
(11,16),(11,22),(11,27),-0.0992633 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,16),(11,24),(11,25),-0.052276 # DEPENDENCYPART_TRISIBL
(11,16),(11,24),(11,26),-0.234686 # DEPENDENCYPART_TRISIBL
(11,16),(11,24),(11,27),-0.0989791 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,16),(11,25),(11,26),-0.0746928 # DEPENDENCYPART_TRISIBL
(11,16),(11,25),(11,27),-0.0614242 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,16),(11,26),(11,27),-0.278468 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,17),(11,18),(11,19),-0.0766148 # DEPENDENCYPART_TRISIBL
(11,17),(11,18),(11,20),-0.0467517 # DEPENDENCYPART_TRISIBL
(11,17),(11,18),(11,21),-0.0468988 # DEPENDENCYPART_TRISIBL
(11,17),(11,18),(11,22),-0.0765435 # DEPENDENCYPART_TRISIBL
(11,17),(11,18),(11,24),-0.0765435 # DEPENDENCYPART_TRISIBL
(11,17),(11,18),(11,25),-0.08587 # DEPENDENCYPART_TRISIBL
(11,17),(11,18),(11,26),-0.0918364 # DEPENDENCYPART_TRISIBL
(11,17),(11,18),(11,27),-0.16239 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,17),(11,19),(11,20),-0.0454815 # DEPENDENCYPART_TRISIBL
(11,17),(11,19),(11,21),-0.0488535 # DEPENDENCYPART_TRISIBL
(11,17),(11,19),(11,22),-0.0691615 # DEPENDENCYPART_TRISIBL
(11,17),(11,19),(11,24),-0.0691615 # DEPENDENCYPART_TRISIBL
(11,17),(11,19),(11,25),-0.0863752 # DEPENDENCYPART_TRISIBL
(11,17),(11,19),(11,26),-0.0893232 # DEPENDENCYPART_TRISIBL
(11,17),(11,19),(11,27),-0.128919 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,17),(11,20),(11,21),0.0396267 # DEPENDENCYPART_TRISIBL
(11,17),(11,20),(11,22),-0.0825013 # DEPENDENCYPART_TRISIBL
(11,17),(11,20),(11,24),-0.0825013 # DEPENDENCYPART_TRISIBL
(11,17),(11,20),(11,25),-0.099753 # DEPENDENCYPART_TRISIBL
(11,17),(11,20),(11,26),-0.125897 # DEPENDENCYPART_TRISIBL
(11,17),(11,20),(11,27),-0.0349237 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,17),(11,21),(11,22),-0.063576 # DEPENDENCYPART_TRISIBL
(11,17),(11,21),(11,24),-0.063576 # DEPENDENCYPART_TRISIBL
(11,17),(11,21),(11,25),-0.0870071 # DEPENDENCYPART_TRISIBL
(11,17),(11,21),(11,26),-0.0924879 # DEPENDENCYPART_TRISIBL
(11,17),(11,21),(11,27),-0.0822679 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,17),(11,22),(11,24),-0.0691615 # DEPENDENCYPART_TRISIBL
(11,17),(11,22),(11,25),-0.0863752 # DEPENDENCYPART_TRISIBL
(11,17),(11,22),(11,26),-0.0893232 # DEPENDENCYPART_TRISIBL
(11,17),(11,22),(11,27),-0.128857 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,17),(11,24),(11,25),-0.0863752 # DEPENDENCYPART_TRISIBL
(11,17),(11,24),(11,26),-0.0893232 # DEPENDENCYPART_TRISIBL
(11,17),(11,24),(11,27),-0.128857 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,17),(11,25),(11,26),-0.0938241 # DEPENDENCYPART_TRISIBL
(11,17),(11,25),(11,27),-0.129717 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,17),(11,26),(11,27),-0.0373819 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,18),(11,19),(11,20),-0.0731394 # DEPENDENCYPART_TRISIBL
(11,18),(11,19),(11,21),-0.028724 # DEPENDENCYPART_TRISIBL
(11,18),(11,19),(11,22),-0.0886023 # DEPENDENCYPART_TRISIBL
(11,18),(11,19),(11,24),-0.0886023 # DEPENDENCYPART_TRISIBL
(11,18),(11,19),(11,25),-0.0540227 # DEPENDENCYPART_TRISIBL
(11,18),(11,19),(11,26),-0.0855888 # DEPENDENCYPART_TRISIBL
(11,18),(11,19),(11,27),-0.158788 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,18),(11,20),(11,21),0.00103967 # DEPENDENCYPART_TRISIBL
(11,18),(11,20),(11,22),-0.110224 # DEPENDENCYPART_TRISIBL
(11,18),(11,20),(11,24),-0.110224 # DEPENDENCYPART_TRISIBL
(11,18),(11,20),(11,25),-0.0373394 # DEPENDENCYPART_TRISIBL
(11,18),(11,20),(11,26),-0.0817232 # DEPENDENCYPART_TRISIBL
(11,18),(11,20),(11,27),-0.0414774 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,18),(11,21),(11,22),-0.0856394 # DEPENDENCYPART_TRISIBL
(11,18),(11,21),(11,24),-0.0856394 # DEPENDENCYPART_TRISIBL
(11,18),(11,21),(11,25),-0.0605062 # DEPENDENCYPART_TRISIBL
(11,18),(11,21),(11,26),-0.0573906 # DEPENDENCYPART_TRISIBL
(11,18),(11,21),(11,27),-0.1232 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,18),(11,22),(11,24),-0.0886023 # DEPENDENCYPART_TRISIBL
(11,18),(11,22),(11,25),-0.0540227 # DEPENDENCYPART_TRISIBL
(11,18),(11,22),(11,26),-0.0855888 # DEPENDENCYPART_TRISIBL
(11,18),(11,22),(11,27),-0.158788 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,18),(11,24),(11,25),-0.0540227 # DEPENDENCYPART_TRISIBL
(11,18),(11,24),(11,26),-0.0855888 # DEPENDENCYPART_TRISIBL
(11,18),(11,24),(11,27),-0.158788 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,18),(11,25),(11,26),-0.0783919 # DEPENDENCYPART_TRISIBL
(11,18),(11,25),(11,27),-0.113708 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,18),(11,26),(11,27),-0.0892351 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,19),(11,20),(11,21),0.0396267 # DEPENDENCYPART_TRISIBL
(11,19),(11,20),(11,22),-0.0794611 # DEPENDENCYPART_TRISIBL
(11,19),(11,20),(11,24),-0.0794611 # DEPENDENCYPART_TRISIBL
(11,19),(11,20),(11,25),-0.0997538 # DEPENDENCYPART_TRISIBL
(11,19),(11,20),(11,26),-0.12382 # DEPENDENCYPART_TRISIBL
(11,19),(11,20),(11,27),-0.0339938 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,19),(11,21),(11,22),-0.0574956 # DEPENDENCYPART_TRISIBL
(11,19),(11,21),(11,24),-0.0574956 # DEPENDENCYPART_TRISIBL
(11,19),(11,21),(11,25),-0.0870086 # DEPENDENCYPART_TRISIBL
(11,19),(11,21),(11,26),-0.0904115 # DEPENDENCYPART_TRISIBL
(11,19),(11,21),(11,27),-0.081367 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,19),(11,22),(11,24),-0.0661213 # DEPENDENCYPART_TRISIBL
(11,19),(11,22),(11,25),-0.086376 # DEPENDENCYPART_TRISIBL
(11,19),(11,22),(11,26),-0.0872468 # DEPENDENCYPART_TRISIBL
(11,19),(11,22),(11,27),-0.128026 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,19),(11,24),(11,25),-0.086376 # DEPENDENCYPART_TRISIBL
(11,19),(11,24),(11,26),-0.0872468 # DEPENDENCYPART_TRISIBL
(11,19),(11,24),(11,27),-0.128026 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,19),(11,25),(11,26),-0.0917476 # DEPENDENCYPART_TRISIBL
(11,19),(11,25),(11,27),-0.128787 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,19),(11,26),(11,27),-0.0362519 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,20),(11,21),(11,22),0.149305 # DEPENDENCYPART_TRISIBL
(11,20),(11,21),(11,24),0.149305 # DEPENDENCYPART_TRISIBL
(11,20),(11,21),(11,25),0.0415689 # DEPENDENCYPART_TRISIBL
(11,20),(11,21),(11,26),-0.138726 # DEPENDENCYPART_TRISIBL
(11,20),(11,21),(11,27),-0.182435 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,20),(11,22),(11,24),-0.0825827 # DEPENDENCYPART_TRISIBL
(11,20),(11,22),(11,25),-0.052276 # DEPENDENCYPART_TRISIBL
(11,20),(11,22),(11,26),-0.234686 # DEPENDENCYPART_TRISIBL
(11,20),(11,22),(11,27),-0.0992633 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,20),(11,24),(11,25),-0.052276 # DEPENDENCYPART_TRISIBL
(11,20),(11,24),(11,26),-0.234686 # DEPENDENCYPART_TRISIBL
(11,20),(11,24),(11,27),-0.0989791 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,20),(11,25),(11,26),-0.0746928 # DEPENDENCYPART_TRISIBL
(11,20),(11,25),(11,27),-0.0614242 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,20),(11,26),(11,27),-0.278468 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,21),(11,22),(11,24),-0.0524741 # DEPENDENCYPART_TRISIBL
(11,21),(11,22),(11,25),-0.0801228 # DEPENDENCYPART_TRISIBL
(11,21),(11,22),(11,26),-0.124573 # DEPENDENCYPART_TRISIBL
(11,21),(11,22),(11,27),-0.0486634 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,21),(11,24),(11,25),-0.0801228 # DEPENDENCYPART_TRISIBL
(11,21),(11,24),(11,26),-0.124573 # DEPENDENCYPART_TRISIBL
(11,21),(11,24),(11,27),-0.0486618 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,21),(11,25),(11,26),-0.131688 # DEPENDENCYPART_TRISIBL
(11,21),(11,25),(11,27),-0.0396615 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,21),(11,26),(11,27),-0.108644 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,22),(11,24),(11,25),-0.0864057 # DEPENDENCYPART_TRISIBL
(11,22),(11,24),(11,26),-0.0872477 # DEPENDENCYPART_TRISIBL
(11,22),(11,24),(11,27),-0.128146 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,22),(11,25),(11,26),-0.0917481 # DEPENDENCYPART_TRISIBL
(11,22),(11,25),(11,27),-0.128836 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,22),(11,26),(11,27),-0.0363007 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,24),(11,25),(11,26),-0.0917477 # DEPENDENCYPART_TRISIBL
(11,24),(11,25),(11,27),-0.128658 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,24),(11,26),(11,27),-0.0361223 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,25),(11,26),(11,27),-0.08027 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,11),(11,10),(11,9),-0.144801 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,10),(11,8),-0.126972 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,10),(11,7),-0.118957 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,10),(11,5),-0.139741 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,10),(11,2),-0.157461 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,10),(11,-1),-0.136626 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,11),(11,9),(11,8),-0.125356 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,9),(11,7),-0.0998105 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,9),(11,5),-0.152644 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,9),(11,2),-0.0344872 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,9),(11,-1),-0.188844 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,11),(11,8),(11,7),-0.129372 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,8),(11,5),-0.102053 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,8),(11,2),-0.0872068 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,8),(11,-1),-0.140878 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,11),(11,7),(11,5),-0.097691 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,7),(11,2),-0.102608 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,7),(11,-1),-0.138972 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,11),(11,5),(11,2),-0.0319565 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(11,11),(11,5),(11,-1),-0.273033 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,11),(11,2),(11,-1),-0.170477 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,10),(11,9),(11,8),-0.0194816 # DEPENDENCYPART_TRISIBL
(11,10),(11,9),(11,7),-0.00116206 # DEPENDENCYPART_TRISIBL
(11,10),(11,9),(11,5),-0.0308565 # DEPENDENCYPART_TRISIBL
(11,10),(11,9),(11,2),-0.115321 # DEPENDENCYPART_TRISIBL
(11,10),(11,9),(11,-1),-0.172885 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,10),(11,8),(11,7),0.0679617 # DEPENDENCYPART_TRISIBL
(11,10),(11,8),(11,5),-0.0146675 # DEPENDENCYPART_TRISIBL
(11,10),(11,8),(11,2),-0.113058 # DEPENDENCYPART_TRISIBL
(11,10),(11,8),(11,-1),-0.0342823 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,10),(11,7),(11,5),-0.0150928 # DEPENDENCYPART_TRISIBL
(11,10),(11,7),(11,2),-0.113081 # DEPENDENCYPART_TRISIBL
(11,10),(11,7),(11,-1),-0.081694 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,10),(11,5),(11,2),-0.0591958 # DEPENDENCYPART_TRISIBL
(11,10),(11,5),(11,-1),-0.0706076 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,10),(11,2),(11,-1),-0.0873259 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,9),(11,8),(11,7),-0.0570009 # DEPENDENCYPART_TRISIBL
(11,9),(11,8),(11,5),-0.0517392 # DEPENDENCYPART_TRISIBL
(11,9),(11,8),(11,2),-0.0431754 # DEPENDENCYPART_TRISIBL
(11,9),(11,8),(11,-1),-0.161347 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,9),(11,7),(11,5),-0.0518962 # DEPENDENCYPART_TRISIBL
(11,9),(11,7),(11,2),-0.0370856 # DEPENDENCYPART_TRISIBL
(11,9),(11,7),(11,-1),-0.154881 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,9),(11,5),(11,2),-0.0584411 # DEPENDENCYPART_TRISIBL
(11,9),(11,5),(11,-1),-0.234268 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,9),(11,2),(11,-1),-0.16051 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,8),(11,7),(11,5),-0.0723542 # DEPENDENCYPART_TRISIBL
(11,8),(11,7),(11,2),-0.0321521 # DEPENDENCYPART_TRISIBL
(11,8),(11,7),(11,-1),-0.0966168 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,8),(11,5),(11,2),-0.0342464 # DEPENDENCYPART_TRISIBL
(11,8),(11,5),(11,-1),-0.141266 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,8),(11,2),(11,-1),-0.0725625 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,7),(11,5),(11,2),-0.0144848 # DEPENDENCYPART_TRISIBL
(11,7),(11,5),(11,-1),-0.142721 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,7),(11,2),(11,-1),-0.0755638 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,5),(11,2),(11,-1),-0.046309 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,12),(12,13),(12,14),-0.0548038 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,13),(12,15),-0.0600629 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,13),(12,16),-0.0813784 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,13),(12,17),-0.0630609 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,13),(12,18),-0.119243 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,13),(12,19),-0.0602035 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,13),(12,21),-0.146015 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
