# _root_ `` We are still only half way through the turnaround of this company , and there are many more things to do , '' President Kume says .
#goldHeads=27,3,15,3,7,7,8,3,10,8,10,13,11,15,27,17,15,19,20,17,22,20,27,27,26,27,0,27,
#predictedHeads=27,3,15,3,7,7,3,3,10,8,10,13,11,15,27,17,15,19,20,17,22,20,27,27,26,27,0,27,
(7,7),(7,8),(7,14),-0.0714975 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,8),(7,17),-0.125086 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,8),(7,20),-0.144011 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,8),(7,23),-0.0714975 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,8),(7,24),-0.192042 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,8),(7,27),-0.126813 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,8),(7,29),-0.131909 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(7,7),(7,10),(7,11),-0.0487885 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,10),(7,13),-0.0423863 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,10),(7,14),-0.11881 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,10),(7,17),-0.107112 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,10),(7,20),-0.101309 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,10),(7,23),-0.11881 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,10),(7,24),-0.151188 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,10),(7,27),-0.105531 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,10),(7,29),-0.0702252 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(7,7),(7,11),(7,13),-0.0660857 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,11),(7,14),-0.0462232 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,11),(7,17),-0.140247 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,11),(7,20),-0.120931 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,11),(7,23),-0.0462232 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,11),(7,24),-0.20061 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,11),(7,27),-0.141974 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,11),(7,29),-0.0269452 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(7,7),(7,13),(7,14),-0.122945 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,13),(7,17),-0.109988 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,13),(7,20),-0.0933669 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,13),(7,23),-0.122945 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,13),(7,24),-0.149577 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,13),(7,27),-0.108407 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,13),(7,29),-0.066482 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(7,7),(7,14),(7,17),-0.160786 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,14),(7,20),-0.0846073 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,14),(7,23),-0.272887 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,14),(7,24),-0.0435327 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,14),(7,27),-0.179894 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,14),(7,29),-0.689473 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(7,7),(7,17),(7,20),-0.151898 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,17),(7,23),-0.042934 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,17),(7,24),-0.105363 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,17),(7,27),-0.0858495 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,17),(7,29),-0.0323007 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(7,7),(7,20),(7,23),-0.11874 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,20),(7,24),-0.151188 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,20),(7,27),-0.106429 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,20),(7,29),-0.0715483 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(7,7),(7,23),(7,24),-0.0435327 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,23),(7,27),-0.179894 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,23),(7,29),-0.689473 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(7,7),(7,24),(7,27),-0.131184 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,24),(7,29),-0.119622 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(7,7),(7,27),(7,29),-0.0316841 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(7,8),(7,10),(7,11),-0.143753 # DEPENDENCYPART_TRISIBL
(7,8),(7,10),(7,13),-0.0661219 # DEPENDENCYPART_TRISIBL
(7,8),(7,10),(7,14),-0.0741524 # DEPENDENCYPART_TRISIBL
(7,8),(7,10),(7,17),-0.0965059 # DEPENDENCYPART_TRISIBL
(7,8),(7,10),(7,20),-0.0563047 # DEPENDENCYPART_TRISIBL
(7,8),(7,10),(7,23),-0.0741524 # DEPENDENCYPART_TRISIBL
(7,8),(7,10),(7,24),-0.0769386 # DEPENDENCYPART_TRISIBL
(7,8),(7,10),(7,27),-0.0675926 # DEPENDENCYPART_TRISIBL
(7,8),(7,10),(7,29),-0.0747686 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,8),(7,11),(7,13),-0.0645321 # DEPENDENCYPART_TRISIBL
(7,8),(7,11),(7,14),0.0287517 # DEPENDENCYPART_TRISIBL
(7,8),(7,11),(7,17),-0.155556 # DEPENDENCYPART_TRISIBL
(7,8),(7,11),(7,20),-0.0545337 # DEPENDENCYPART_TRISIBL
(7,8),(7,11),(7,23),0.0287517 # DEPENDENCYPART_TRISIBL
(7,8),(7,11),(7,24),-0.0547904 # DEPENDENCYPART_TRISIBL
(7,8),(7,11),(7,27),-0.131458 # DEPENDENCYPART_TRISIBL
(7,8),(7,11),(7,29),-0.112639 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,8),(7,13),(7,14),-0.0744839 # DEPENDENCYPART_TRISIBL
(7,8),(7,13),(7,17),-0.096908 # DEPENDENCYPART_TRISIBL
(7,8),(7,13),(7,20),-0.0564956 # DEPENDENCYPART_TRISIBL
(7,8),(7,13),(7,23),-0.0744839 # DEPENDENCYPART_TRISIBL
(7,8),(7,13),(7,24),-0.0769389 # DEPENDENCYPART_TRISIBL
(7,8),(7,13),(7,27),-0.0679948 # DEPENDENCYPART_TRISIBL
(7,8),(7,13),(7,29),-0.0804536 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,8),(7,14),(7,17),-0.0388075 # DEPENDENCYPART_TRISIBL
(7,8),(7,14),(7,20),0.0730921 # DEPENDENCYPART_TRISIBL
(7,8),(7,14),(7,23),-0.0701356 # DEPENDENCYPART_TRISIBL
(7,8),(7,14),(7,24),-0.113405 # DEPENDENCYPART_TRISIBL
(7,8),(7,14),(7,27),-0.00958868 # DEPENDENCYPART_TRISIBL
(7,8),(7,14),(7,29),-0.208293 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,8),(7,17),(7,20),-0.0404912 # DEPENDENCYPART_TRISIBL
(7,8),(7,17),(7,23),-0.0703873 # DEPENDENCYPART_TRISIBL
(7,8),(7,17),(7,24),-0.075895 # DEPENDENCYPART_TRISIBL
(7,8),(7,17),(7,27),-0.102019 # DEPENDENCYPART_TRISIBL
(7,8),(7,17),(7,29),-0.0919151 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,8),(7,20),(7,23),-0.0741524 # DEPENDENCYPART_TRISIBL
(7,8),(7,20),(7,24),-0.0769386 # DEPENDENCYPART_TRISIBL
(7,8),(7,20),(7,27),-0.0676048 # DEPENDENCYPART_TRISIBL
(7,8),(7,20),(7,29),-0.0747837 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,8),(7,23),(7,24),-0.113405 # DEPENDENCYPART_TRISIBL
(7,8),(7,23),(7,27),-0.00958868 # DEPENDENCYPART_TRISIBL
(7,8),(7,23),(7,29),-0.208293 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,8),(7,24),(7,27),-0.0304336 # DEPENDENCYPART_TRISIBL
(7,8),(7,24),(7,29),-0.13369 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,8),(7,27),(7,29),-0.108714 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,10),(7,11),(7,13),-0.110498 # DEPENDENCYPART_TRISIBL
(7,10),(7,11),(7,14),-0.0293388 # DEPENDENCYPART_TRISIBL
(7,10),(7,11),(7,17),-0.0506478 # DEPENDENCYPART_TRISIBL
(7,10),(7,11),(7,20),-0.0995287 # DEPENDENCYPART_TRISIBL
(7,10),(7,11),(7,23),-0.0293388 # DEPENDENCYPART_TRISIBL
(7,10),(7,11),(7,24),-0.0287573 # DEPENDENCYPART_TRISIBL
(7,10),(7,11),(7,27),-0.0777719 # DEPENDENCYPART_TRISIBL
(7,10),(7,11),(7,29),-0.0756962 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,10),(7,13),(7,14),-0.0458169 # DEPENDENCYPART_TRISIBL
(7,10),(7,13),(7,17),-0.0864097 # DEPENDENCYPART_TRISIBL
(7,10),(7,13),(7,20),-0.0773373 # DEPENDENCYPART_TRISIBL
(7,10),(7,13),(7,23),-0.0458169 # DEPENDENCYPART_TRISIBL
(7,10),(7,13),(7,24),-0.0338143 # DEPENDENCYPART_TRISIBL
(7,10),(7,13),(7,27),-0.101553 # DEPENDENCYPART_TRISIBL
(7,10),(7,13),(7,29),-0.105309 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,10),(7,14),(7,17),-0.103005 # DEPENDENCYPART_TRISIBL
(7,10),(7,14),(7,20),-0.0680423 # DEPENDENCYPART_TRISIBL
(7,10),(7,14),(7,23),-0.0803577 # DEPENDENCYPART_TRISIBL
(7,10),(7,14),(7,24),0.0949731 # DEPENDENCYPART_TRISIBL
(7,10),(7,14),(7,27),-0.127048 # DEPENDENCYPART_TRISIBL
(7,10),(7,14),(7,29),-0.0323415 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,10),(7,17),(7,20),-0.0777369 # DEPENDENCYPART_TRISIBL
(7,10),(7,17),(7,23),-0.0264354 # DEPENDENCYPART_TRISIBL
(7,10),(7,17),(7,24),-0.0333506 # DEPENDENCYPART_TRISIBL
(7,10),(7,17),(7,27),-0.102486 # DEPENDENCYPART_TRISIBL
(7,10),(7,17),(7,29),-0.123598 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,10),(7,20),(7,23),-0.0453765 # DEPENDENCYPART_TRISIBL
(7,10),(7,20),(7,24),-0.0338143 # DEPENDENCYPART_TRISIBL
(7,10),(7,20),(7,27),-0.100876 # DEPENDENCYPART_TRISIBL
(7,10),(7,20),(7,29),-0.114542 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,10),(7,23),(7,24),0.0949731 # DEPENDENCYPART_TRISIBL
(7,10),(7,23),(7,27),-0.127048 # DEPENDENCYPART_TRISIBL
(7,10),(7,23),(7,29),-0.0323415 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,10),(7,24),(7,27),-0.102778 # DEPENDENCYPART_TRISIBL
(7,10),(7,24),(7,29),-0.0914515 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,10),(7,27),(7,29),-0.122218 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,11),(7,13),(7,14),-0.0785539 # DEPENDENCYPART_TRISIBL
(7,11),(7,13),(7,17),-0.0882739 # DEPENDENCYPART_TRISIBL
(7,11),(7,13),(7,20),-0.0310403 # DEPENDENCYPART_TRISIBL
(7,11),(7,13),(7,23),-0.0785539 # DEPENDENCYPART_TRISIBL
(7,11),(7,13),(7,24),-0.109531 # DEPENDENCYPART_TRISIBL
(7,11),(7,13),(7,27),-0.0593606 # DEPENDENCYPART_TRISIBL
(7,11),(7,13),(7,29),-0.0293535 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,11),(7,14),(7,17),0.0132579 # DEPENDENCYPART_TRISIBL
(7,11),(7,14),(7,20),0.134737 # DEPENDENCYPART_TRISIBL
(7,11),(7,14),(7,23),-0.0710676 # DEPENDENCYPART_TRISIBL
(7,11),(7,14),(7,24),-0.169816 # DEPENDENCYPART_TRISIBL
(7,11),(7,14),(7,27),0.0424767 # DEPENDENCYPART_TRISIBL
(7,11),(7,14),(7,29),-0.226496 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,11),(7,17),(7,20),-0.0288127 # DEPENDENCYPART_TRISIBL
(7,11),(7,17),(7,23),-0.078686 # DEPENDENCYPART_TRISIBL
(7,11),(7,17),(7,24),-0.108071 # DEPENDENCYPART_TRISIBL
(7,11),(7,17),(7,27),-0.100186 # DEPENDENCYPART_TRISIBL
(7,11),(7,17),(7,29),-0.0412273 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,11),(7,20),(7,23),-0.0782224 # DEPENDENCYPART_TRISIBL
(7,11),(7,20),(7,24),-0.109531 # DEPENDENCYPART_TRISIBL
(7,11),(7,20),(7,27),-0.0589706 # DEPENDENCYPART_TRISIBL
(7,11),(7,20),(7,29),-0.0236836 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,11),(7,23),(7,24),-0.169816 # DEPENDENCYPART_TRISIBL
(7,11),(7,23),(7,27),0.0424767 # DEPENDENCYPART_TRISIBL
(7,11),(7,23),(7,29),-0.226496 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,11),(7,24),(7,27),-0.0185949 # DEPENDENCYPART_TRISIBL
(7,11),(7,24),(7,29),-0.105879 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,11),(7,27),(7,29),-0.0580265 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,13),(7,14),(7,17),-0.0920419 # DEPENDENCYPART_TRISIBL
(7,13),(7,14),(7,20),-0.0690195 # DEPENDENCYPART_TRISIBL
(7,13),(7,14),(7,23),-0.0852461 # DEPENDENCYPART_TRISIBL
(7,13),(7,14),(7,24),0.0925299 # DEPENDENCYPART_TRISIBL
(7,13),(7,14),(7,27),-0.116084 # DEPENDENCYPART_TRISIBL
(7,13),(7,14),(7,29),-0.0145181 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,13),(7,17),(7,20),-0.0775213 # DEPENDENCYPART_TRISIBL
(7,13),(7,17),(7,23),-0.0310831 # DEPENDENCYPART_TRISIBL
(7,13),(7,17),(7,24),-0.0348065 # DEPENDENCYPART_TRISIBL
(7,13),(7,17),(7,27),-0.0982167 # DEPENDENCYPART_TRISIBL
(7,13),(7,17),(7,29),-0.122826 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,13),(7,20),(7,23),-0.0501851 # DEPENDENCYPART_TRISIBL
(7,13),(7,20),(7,24),-0.0352935 # DEPENDENCYPART_TRISIBL
(7,13),(7,20),(7,27),-0.0947031 # DEPENDENCYPART_TRISIBL
(7,13),(7,20),(7,29),-0.100082 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,13),(7,23),(7,24),0.0925299 # DEPENDENCYPART_TRISIBL
(7,13),(7,23),(7,27),-0.116084 # DEPENDENCYPART_TRISIBL
(7,13),(7,23),(7,29),-0.0145181 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,13),(7,24),(7,27),-0.0984629 # DEPENDENCYPART_TRISIBL
(7,13),(7,24),(7,29),-0.0847548 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,13),(7,27),(7,29),-0.121446 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,14),(7,17),(7,20),-0.0247442 # DEPENDENCYPART_TRISIBL
(7,14),(7,17),(7,23),0.560946 # DEPENDENCYPART_TRISIBL
(7,14),(7,17),(7,24),-0.122251 # DEPENDENCYPART_TRISIBL
(7,14),(7,17),(7,27),-0.067435 # DEPENDENCYPART_TRISIBL
(7,14),(7,17),(7,29),-0.0459468 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,14),(7,20),(7,23),0.455929 # DEPENDENCYPART_TRISIBL
(7,14),(7,20),(7,24),-0.12765 # DEPENDENCYPART_TRISIBL
(7,14),(7,20),(7,27),-0.026298 # DEPENDENCYPART_TRISIBL
(7,14),(7,20),(7,29),-0.0871583 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,14),(7,23),(7,24),-0.119864 # DEPENDENCYPART_TRISIBL
(7,14),(7,23),(7,27),-0.0726283 # DEPENDENCYPART_TRISIBL
(7,14),(7,23),(7,29),-0.272077 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,14),(7,24),(7,27),0.0815454 # DEPENDENCYPART_TRISIBL
(7,14),(7,24),(7,29),-0.195257 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,14),(7,27),(7,29),-0.0643655 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,17),(7,20),(7,23),-0.0249068 # DEPENDENCYPART_TRISIBL
(7,17),(7,20),(7,24),-0.0347709 # DEPENDENCYPART_TRISIBL
(7,17),(7,20),(7,27),-0.130034 # DEPENDENCYPART_TRISIBL
(7,17),(7,20),(7,29),-0.0938316 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,17),(7,23),(7,24),0.130906 # DEPENDENCYPART_TRISIBL
(7,17),(7,23),(7,27),-0.0995413 # DEPENDENCYPART_TRISIBL
(7,17),(7,23),(7,29),-0.0161515 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,17),(7,24),(7,27),-0.136841 # DEPENDENCYPART_TRISIBL
(7,17),(7,24),(7,29),-0.0621757 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,17),(7,27),(7,29),-0.11303 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,20),(7,23),(7,24),0.0942972 # DEPENDENCYPART_TRISIBL
(7,20),(7,23),(7,27),-0.132048 # DEPENDENCYPART_TRISIBL
(7,20),(7,23),(7,29),-0.0226123 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,20),(7,24),(7,27),-0.106005 # DEPENDENCYPART_TRISIBL
(7,20),(7,24),(7,29),-0.0835133 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,20),(7,27),(7,29),-0.115067 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,23),(7,24),(7,27),0.0815454 # DEPENDENCYPART_TRISIBL
(7,23),(7,24),(7,29),-0.195257 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,23),(7,27),(7,29),-0.0643655 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,24),(7,27),(7,29),-0.0555434 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,7),(7,6),(7,5),-0.167601 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,6),(7,4),-0.163528 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,6),(7,3),-0.116866 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,6),(7,2),-0.165676 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,6),(7,1),-0.23513 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,6),(7,-1),-0.140196 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,7),(7,5),(7,4),-0.216368 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,5),(7,3),-0.160992 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,5),(7,2),-0.13824 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,5),(7,1),-0.188054 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,5),(7,-1),-0.114663 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,7),(7,4),(7,3),-0.159505 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,4),(7,2),-0.139223 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,4),(7,1),-0.186123 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,4),(7,-1),-0.185193 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,7),(7,3),(7,2),-0.142272 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,3),(7,1),-0.164332 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,3),(7,-1),-0.222395 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,7),(7,2),(7,1),-0.179755 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,2),(7,-1),-0.0940246 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,7),(7,1),(7,-1),-0.380893 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,6),(7,5),(7,4),-0.0959666 # DEPENDENCYPART_TRISIBL
(7,6),(7,5),(7,3),-0.100173 # DEPENDENCYPART_TRISIBL
(7,6),(7,5),(7,2),-0.0630713 # DEPENDENCYPART_TRISIBL
(7,6),(7,5),(7,1),-0.080844 # DEPENDENCYPART_TRISIBL
(7,6),(7,5),(7,-1),-0.105796 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,6),(7,4),(7,3),-0.100144 # DEPENDENCYPART_TRISIBL
(7,6),(7,4),(7,2),-0.066724 # DEPENDENCYPART_TRISIBL
(7,6),(7,4),(7,1),-0.0808433 # DEPENDENCYPART_TRISIBL
(7,6),(7,4),(7,-1),-0.123448 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,6),(7,3),(7,2),-0.0642173 # DEPENDENCYPART_TRISIBL
(7,6),(7,3),(7,1),-0.124865 # DEPENDENCYPART_TRISIBL
(7,6),(7,3),(7,-1),-0.187242 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,6),(7,2),(7,1),-0.0979146 # DEPENDENCYPART_TRISIBL
(7,6),(7,2),(7,-1),-0.0424071 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,6),(7,1),(7,-1),-0.166669 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,5),(7,4),(7,3),-0.115877 # DEPENDENCYPART_TRISIBL
(7,5),(7,4),(7,2),-0.0838135 # DEPENDENCYPART_TRISIBL
(7,5),(7,4),(7,1),-0.0871581 # DEPENDENCYPART_TRISIBL
(7,5),(7,4),(7,-1),-0.114041 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,5),(7,3),(7,2),-0.092822 # DEPENDENCYPART_TRISIBL
(7,5),(7,3),(7,1),-0.0861154 # DEPENDENCYPART_TRISIBL
(7,5),(7,3),(7,-1),-0.153954 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,5),(7,2),(7,1),-0.0485539 # DEPENDENCYPART_TRISIBL
(7,5),(7,2),(7,-1),-0.162525 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,5),(7,1),(7,-1),-0.156824 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,4),(7,3),(7,2),-0.0971504 # DEPENDENCYPART_TRISIBL
(7,4),(7,3),(7,1),-0.0855586 # DEPENDENCYPART_TRISIBL
(7,4),(7,3),(7,-1),-0.151647 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,4),(7,2),(7,1),-0.0424868 # DEPENDENCYPART_TRISIBL
(7,4),(7,2),(7,-1),-0.168891 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,4),(7,1),(7,-1),-0.150896 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,3),(7,2),(7,1),-0.0611235 # DEPENDENCYPART_TRISIBL
(7,3),(7,2),(7,-1),-0.108031 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,3),(7,1),(7,-1),-0.263895 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,2),(7,1),(7,-1),-0.13429 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,8),(8,9),(8,10),-0.00671058 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,9),(8,11),-0.193693 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,9),(8,13),0.0201218 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,9),(8,15),-0.110532 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,9),(8,29),-0.143935 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(8,8),(8,10),(8,11),0.00336924 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,10),(8,13),-0.00787883 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,10),(8,15),-0.175171 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,10),(8,29),0.246262 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(8,8),(8,11),(8,13),0.153844 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,11),(8,15),-0.0168907 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,11),(8,29),-0.143389 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(8,8),(8,13),(8,15),-0.176175 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,13),(8,29),0.237538 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(8,8),(8,15),(8,29),0.116426 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(8,9),(8,10),(8,11),-0.0175975 # DEPENDENCYPART_TRISIBL
(8,9),(8,10),(8,13),-0.0811789 # DEPENDENCYPART_TRISIBL
(8,9),(8,10),(8,15),-0.0784683 # DEPENDENCYPART_TRISIBL
(8,9),(8,10),(8,29),-0.0452851 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,9),(8,11),(8,13),-0.0706578 # DEPENDENCYPART_TRISIBL
(8,9),(8,11),(8,15),-0.0734047 # DEPENDENCYPART_TRISIBL
(8,9),(8,11),(8,29),-0.0783094 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,9),(8,13),(8,15),-0.0784734 # DEPENDENCYPART_TRISIBL
(8,9),(8,13),(8,29),-0.0452883 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,9),(8,15),(8,29),-0.0812306 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,10),(8,11),(8,13),-0.161738 # DEPENDENCYPART_TRISIBL
(8,10),(8,11),(8,15),-0.163289 # DEPENDENCYPART_TRISIBL
(8,10),(8,11),(8,29),0.0562303 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,10),(8,13),(8,15),-0.19693 # DEPENDENCYPART_TRISIBL
(8,10),(8,13),(8,29),-0.0246395 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,10),(8,15),(8,29),-0.173987 # DEPENDENCYPART_TRISIBL_LAST_SIBS
