# _root_ Terms for the venture , which would be jointly owned by both companies , were n't disclosed .
#goldHeads=15,1,4,2,4,7,4,7,10,8,10,13,11,4,0,15,15,15,
#predictedHeads=15,1,4,2,4,7,4,7,10,8,10,13,11,4,0,15,15,15,
(4,7),(4,13),(4,19),-0.0606351 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,7),(4,14),(4,15),-0.0409562 # DEPENDENCYPART_TRISIBL
(4,7),(4,14),(4,16),-0.0462021 # DEPENDENCYPART_TRISIBL
(4,7),(4,14),(4,17),-0.0343034 # DEPENDENCYPART_TRISIBL
(4,7),(4,14),(4,18),-0.0663253 # DEPENDENCYPART_TRISIBL
(4,7),(4,14),(4,19),-0.003357 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,7),(4,15),(4,16),-0.0570865 # DEPENDENCYPART_TRISIBL
(4,7),(4,15),(4,17),-0.0644101 # DEPENDENCYPART_TRISIBL
(4,7),(4,15),(4,18),-0.0347059 # DEPENDENCYPART_TRISIBL
(4,7),(4,15),(4,19),-0.0821273 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,7),(4,16),(4,17),-0.0620549 # DEPENDENCYPART_TRISIBL
(4,7),(4,16),(4,18),-0.063882 # DEPENDENCYPART_TRISIBL
(4,7),(4,16),(4,19),-0.0416558 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,7),(4,17),(4,18),-0.0347054 # DEPENDENCYPART_TRISIBL
(4,7),(4,17),(4,19),-0.0819513 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,7),(4,18),(4,19),-0.0141978 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,8),(4,9),(4,10),-0.12113 # DEPENDENCYPART_TRISIBL
(4,8),(4,9),(4,11),-0.00687182 # DEPENDENCYPART_TRISIBL
(4,8),(4,9),(4,13),-0.0582133 # DEPENDENCYPART_TRISIBL
(4,8),(4,9),(4,14),-0.0306886 # DEPENDENCYPART_TRISIBL
(4,8),(4,9),(4,15),-0.130523 # DEPENDENCYPART_TRISIBL
(4,8),(4,9),(4,16),-0.0661993 # DEPENDENCYPART_TRISIBL
(4,8),(4,9),(4,17),-0.121288 # DEPENDENCYPART_TRISIBL
(4,8),(4,9),(4,18),-0.0200637 # DEPENDENCYPART_TRISIBL
(4,8),(4,9),(4,19),-0.0617948 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,8),(4,10),(4,11),-0.00277702 # DEPENDENCYPART_TRISIBL
(4,8),(4,10),(4,13),-0.0641739 # DEPENDENCYPART_TRISIBL
(4,8),(4,10),(4,14),-0.0442426 # DEPENDENCYPART_TRISIBL
(4,8),(4,10),(4,15),-0.144865 # DEPENDENCYPART_TRISIBL
(4,8),(4,10),(4,16),-0.0668228 # DEPENDENCYPART_TRISIBL
(4,8),(4,10),(4,17),-0.135987 # DEPENDENCYPART_TRISIBL
(4,8),(4,10),(4,18),-0.0779194 # DEPENDENCYPART_TRISIBL
(4,8),(4,10),(4,19),-0.103862 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,8),(4,11),(4,13),-0.0744141 # DEPENDENCYPART_TRISIBL
(4,8),(4,11),(4,14),-0.00202787 # DEPENDENCYPART_TRISIBL
(4,8),(4,11),(4,15),-0.130148 # DEPENDENCYPART_TRISIBL
(4,8),(4,11),(4,16),-0.0666579 # DEPENDENCYPART_TRISIBL
(4,8),(4,11),(4,17),-0.124643 # DEPENDENCYPART_TRISIBL
(4,8),(4,11),(4,18),0.0269725 # DEPENDENCYPART_TRISIBL
(4,8),(4,11),(4,19),-0.043191 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,8),(4,13),(4,14),-0.0287327 # DEPENDENCYPART_TRISIBL
(4,8),(4,13),(4,15),-0.127955 # DEPENDENCYPART_TRISIBL
(4,8),(4,13),(4,16),-0.0611193 # DEPENDENCYPART_TRISIBL
(4,8),(4,13),(4,17),-0.11904 # DEPENDENCYPART_TRISIBL
(4,8),(4,13),(4,18),-0.02616 # DEPENDENCYPART_TRISIBL
(4,8),(4,13),(4,19),-0.104926 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,8),(4,14),(4,15),-0.0998033 # DEPENDENCYPART_TRISIBL
(4,8),(4,14),(4,16),-0.0425798 # DEPENDENCYPART_TRISIBL
(4,8),(4,14),(4,17),-0.083968 # DEPENDENCYPART_TRISIBL
(4,8),(4,14),(4,18),-0.0704469 # DEPENDENCYPART_TRISIBL
(4,8),(4,14),(4,19),-0.0301197 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,8),(4,15),(4,16),-0.0668228 # DEPENDENCYPART_TRISIBL
(4,8),(4,15),(4,17),-0.136503 # DEPENDENCYPART_TRISIBL
(4,8),(4,15),(4,18),-0.0741541 # DEPENDENCYPART_TRISIBL
(4,8),(4,15),(4,19),-0.0969681 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,8),(4,16),(4,17),-0.124422 # DEPENDENCYPART_TRISIBL
(4,8),(4,16),(4,18),-0.0200722 # DEPENDENCYPART_TRISIBL
(4,8),(4,16),(4,19),-0.0618967 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,8),(4,17),(4,18),-0.0786798 # DEPENDENCYPART_TRISIBL
(4,8),(4,17),(4,19),-0.103873 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,8),(4,18),(4,19),-0.0573715 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,9),(4,10),(4,11),-0.0812929 # DEPENDENCYPART_TRISIBL
(4,9),(4,10),(4,13),-0.0701488 # DEPENDENCYPART_TRISIBL
(4,9),(4,10),(4,14),-0.00964123 # DEPENDENCYPART_TRISIBL
(4,9),(4,10),(4,15),-0.0721858 # DEPENDENCYPART_TRISIBL
(4,9),(4,10),(4,16),-0.101761 # DEPENDENCYPART_TRISIBL
(4,9),(4,10),(4,17),-0.0716239 # DEPENDENCYPART_TRISIBL
(4,9),(4,10),(4,18),-0.0554028 # DEPENDENCYPART_TRISIBL
(4,9),(4,10),(4,19),-0.103756 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,9),(4,11),(4,13),-0.0494095 # DEPENDENCYPART_TRISIBL
(4,9),(4,11),(4,14),-0.00588184 # DEPENDENCYPART_TRISIBL
(4,9),(4,11),(4,15),-0.0351561 # DEPENDENCYPART_TRISIBL
(4,9),(4,11),(4,16),-0.091509 # DEPENDENCYPART_TRISIBL
(4,9),(4,11),(4,17),-0.0346619 # DEPENDENCYPART_TRISIBL
(4,9),(4,11),(4,18),-0.0736041 # DEPENDENCYPART_TRISIBL
(4,9),(4,11),(4,19),-0.07473 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,9),(4,13),(4,14),0.135369 # DEPENDENCYPART_TRISIBL
(4,9),(4,13),(4,15),-0.0565912 # DEPENDENCYPART_TRISIBL
(4,9),(4,13),(4,16),-0.0899183 # DEPENDENCYPART_TRISIBL
(4,9),(4,13),(4,17),-0.0554506 # DEPENDENCYPART_TRISIBL
(4,9),(4,13),(4,18),-0.0653208 # DEPENDENCYPART_TRISIBL
(4,9),(4,13),(4,19),-0.0770671 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,9),(4,14),(4,15),-0.0661807 # DEPENDENCYPART_TRISIBL
(4,9),(4,14),(4,16),-0.106401 # DEPENDENCYPART_TRISIBL
(4,9),(4,14),(4,17),-0.0676312 # DEPENDENCYPART_TRISIBL
(4,9),(4,14),(4,18),-0.0556413 # DEPENDENCYPART_TRISIBL
(4,9),(4,14),(4,19),-0.291409 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,9),(4,15),(4,16),-0.101761 # DEPENDENCYPART_TRISIBL
(4,9),(4,15),(4,17),-0.0716252 # DEPENDENCYPART_TRISIBL
(4,9),(4,15),(4,18),-0.0599388 # DEPENDENCYPART_TRISIBL
(4,9),(4,15),(4,19),-0.102286 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,9),(4,16),(4,17),-0.037431 # DEPENDENCYPART_TRISIBL
(4,9),(4,16),(4,18),-0.0723474 # DEPENDENCYPART_TRISIBL
(4,9),(4,16),(4,19),-0.157822 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,9),(4,17),(4,18),-0.0619781 # DEPENDENCYPART_TRISIBL
(4,9),(4,17),(4,19),-0.102491 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,9),(4,18),(4,19),-0.1657 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,10),(4,11),(4,13),-0.078001 # DEPENDENCYPART_TRISIBL
(4,10),(4,11),(4,14),-0.00201672 # DEPENDENCYPART_TRISIBL
(4,10),(4,11),(4,15),-0.123258 # DEPENDENCYPART_TRISIBL
(4,10),(4,11),(4,16),-0.0690058 # DEPENDENCYPART_TRISIBL
(4,10),(4,11),(4,17),-0.117753 # DEPENDENCYPART_TRISIBL
(4,10),(4,11),(4,18),0.00334505 # DEPENDENCYPART_TRISIBL
(4,10),(4,11),(4,19),-0.0490247 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,10),(4,13),(4,14),-0.028562 # DEPENDENCYPART_TRISIBL
(4,10),(4,13),(4,15),-0.121508 # DEPENDENCYPART_TRISIBL
(4,10),(4,13),(4,16),-0.0635443 # DEPENDENCYPART_TRISIBL
(4,10),(4,13),(4,17),-0.112594 # DEPENDENCYPART_TRISIBL
(4,10),(4,13),(4,18),-0.0499218 # DEPENDENCYPART_TRISIBL
(4,10),(4,13),(4,19),-0.10572 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,10),(4,14),(4,15),-0.0895683 # DEPENDENCYPART_TRISIBL
(4,10),(4,14),(4,16),-0.0482458 # DEPENDENCYPART_TRISIBL
(4,10),(4,14),(4,17),-0.073733 # DEPENDENCYPART_TRISIBL
(4,10),(4,14),(4,18),-0.0785801 # DEPENDENCYPART_TRISIBL
(4,10),(4,14),(4,19),-0.0291993 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,10),(4,15),(4,16),-0.069253 # DEPENDENCYPART_TRISIBL
(4,10),(4,15),(4,17),-0.128508 # DEPENDENCYPART_TRISIBL
(4,10),(4,15),(4,18),-0.0803787 # DEPENDENCYPART_TRISIBL
(4,10),(4,15),(4,19),-0.104225 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,10),(4,16),(4,17),-0.116004 # DEPENDENCYPART_TRISIBL
(4,10),(4,16),(4,18),-0.0306714 # DEPENDENCYPART_TRISIBL
(4,10),(4,16),(4,19),-0.0618192 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,10),(4,17),(4,18),-0.0849044 # DEPENDENCYPART_TRISIBL
(4,10),(4,17),(4,19),-0.111129 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,10),(4,18),(4,19),-0.0570628 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,11),(4,13),(4,14),-0.0789305 # DEPENDENCYPART_TRISIBL
(4,11),(4,13),(4,15),-0.0697562 # DEPENDENCYPART_TRISIBL
(4,11),(4,13),(4,16),-0.0597442 # DEPENDENCYPART_TRISIBL
(4,11),(4,13),(4,17),-0.0497347 # DEPENDENCYPART_TRISIBL
(4,11),(4,13),(4,18),-0.0997134 # DEPENDENCYPART_TRISIBL
(4,11),(4,13),(4,19),-0.0567478 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,11),(4,14),(4,15),-0.0173571 # DEPENDENCYPART_TRISIBL
(4,11),(4,14),(4,16),-0.00693764 # DEPENDENCYPART_TRISIBL
(4,11),(4,14),(4,17),0.012839 # DEPENDENCYPART_TRISIBL
(4,11),(4,14),(4,18),-0.120493 # DEPENDENCYPART_TRISIBL
(4,11),(4,14),(4,19),-0.187391 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,11),(4,15),(4,16),-0.0517816 # DEPENDENCYPART_TRISIBL
(4,11),(4,15),(4,17),-0.0964783 # DEPENDENCYPART_TRISIBL
(4,11),(4,15),(4,18),-0.133929 # DEPENDENCYPART_TRISIBL
(4,11),(4,15),(4,19),-0.0352726 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,11),(4,16),(4,17),-0.0805182 # DEPENDENCYPART_TRISIBL
(4,11),(4,16),(4,18),-0.0934764 # DEPENDENCYPART_TRISIBL
(4,11),(4,16),(4,19),-0.116412 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,11),(4,17),(4,18),-0.135486 # DEPENDENCYPART_TRISIBL
(4,11),(4,17),(4,19),-0.0221976 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,11),(4,18),(4,19),-0.0655762 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,13),(4,14),(4,15),-0.125675 # DEPENDENCYPART_TRISIBL
(4,13),(4,14),(4,16),-0.0034862 # DEPENDENCYPART_TRISIBL
(4,13),(4,14),(4,17),-0.122487 # DEPENDENCYPART_TRISIBL
(4,13),(4,14),(4,18),-0.0935125 # DEPENDENCYPART_TRISIBL
(4,13),(4,14),(4,19),-0.0411027 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,13),(4,15),(4,16),-0.037539 # DEPENDENCYPART_TRISIBL
(4,13),(4,15),(4,17),-0.0954152 # DEPENDENCYPART_TRISIBL
(4,13),(4,15),(4,18),-0.0800912 # DEPENDENCYPART_TRISIBL
(4,13),(4,15),(4,19),-0.136369 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,13),(4,16),(4,17),-0.0927201 # DEPENDENCYPART_TRISIBL
(4,13),(4,16),(4,18),-0.083976 # DEPENDENCYPART_TRISIBL
(4,13),(4,16),(4,19),-0.0848132 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,13),(4,17),(4,18),-0.0788896 # DEPENDENCYPART_TRISIBL
(4,13),(4,17),(4,19),-0.134511 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,13),(4,18),(4,19),-0.0305013 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,14),(4,15),(4,16),-0.0644101 # DEPENDENCYPART_TRISIBL
(4,14),(4,15),(4,17),-0.0700918 # DEPENDENCYPART_TRISIBL
(4,14),(4,15),(4,18),-0.116173 # DEPENDENCYPART_TRISIBL
(4,14),(4,15),(4,19),-0.0521816 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,14),(4,16),(4,17),-0.0431955 # DEPENDENCYPART_TRISIBL
(4,14),(4,16),(4,18),-0.127743 # DEPENDENCYPART_TRISIBL
(4,14),(4,16),(4,19),-0.215351 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,14),(4,17),(4,18),-0.100971 # DEPENDENCYPART_TRISIBL
(4,14),(4,17),(4,19),-0.0494558 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,14),(4,18),(4,19),-0.306 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,15),(4,16),(4,17),-0.109151 # DEPENDENCYPART_TRISIBL
(4,15),(4,16),(4,18),-0.0347249 # DEPENDENCYPART_TRISIBL
(4,15),(4,16),(4,19),-0.0718893 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,15),(4,17),(4,18),-0.0905426 # DEPENDENCYPART_TRISIBL
(4,15),(4,17),(4,19),-0.127528 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,15),(4,18),(4,19),-0.07124 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,16),(4,17),(4,18),-0.0496675 # DEPENDENCYPART_TRISIBL
(4,16),(4,17),(4,19),-0.0549929 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,16),(4,18),(4,19),-0.165308 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,17),(4,18),(4,19),-0.0797514 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,4),(4,3),(4,2),-0.275937 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,3),(4,1),-0.264397 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,3),(4,-1),-0.169875 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,4),(4,2),(4,1),-0.0428287 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(4,4),(4,2),(4,-1),-0.175427 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,4),(4,1),(4,-1),-0.204227 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,3),(4,2),(4,1),-0.208809 # DEPENDENCYPART_TRISIBL
(4,3),(4,2),(4,-1),-0.0982177 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,3),(4,1),(4,-1),-0.16304 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,2),(4,1),(4,-1),-0.224076 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,7),(7,8),(7,9),-0.145061 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,8),(7,10),-0.146272 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,8),(7,11),0.0353218 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,8),(7,14),-0.00896594 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,8),(7,15),-0.151795 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,8),(7,16),-0.150654 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,8),(7,18),0.103109 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,8),(7,19),0.139527 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(7,7),(7,9),(7,10),0.0136627 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,9),(7,11),-0.00200822 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,9),(7,14),-0.117501 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,9),(7,15),0.00657068 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,9),(7,16),-0.0517193 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,9),(7,18),-0.0757273 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,9),(7,19),-0.00888354 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(7,7),(7,10),(7,11),0.0193536 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,10),(7,14),-0.00381408 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,10),(7,15),-0.161823 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,10),(7,16),-0.145068 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,10),(7,18),0.109963 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,10),(7,19),0.137003 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(7,7),(7,11),(7,14),-0.101744 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,11),(7,15),0.00143757 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,11),(7,16),-0.0980205 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,11),(7,18),-0.0954056 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,11),(7,19),-0.180684 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(7,7),(7,14),(7,15),-0.0402731 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,14),(7,16),-0.139376 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,14),(7,18),-0.0671504 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,14),(7,19),-0.287967 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(7,7),(7,15),(7,16),-0.145766 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,15),(7,18),0.10877 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,15),(7,19),0.122329 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(7,7),(7,16),(7,18),-0.0924393 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,16),(7,19),-0.00226007 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(7,7),(7,18),(7,19),-0.146248 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(7,8),(7,9),(7,10),-0.146279 # DEPENDENCYPART_TRISIBL
(7,8),(7,9),(7,11),-0.024511 # DEPENDENCYPART_TRISIBL
(7,8),(7,9),(7,14),-0.0735447 # DEPENDENCYPART_TRISIBL
(7,8),(7,9),(7,15),-0.15581 # DEPENDENCYPART_TRISIBL
(7,8),(7,9),(7,16),-0.0723556 # DEPENDENCYPART_TRISIBL
(7,8),(7,9),(7,18),-0.0186236 # DEPENDENCYPART_TRISIBL
(7,8),(7,9),(7,19),-0.0713807 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,8),(7,10),(7,11),-0.0295131 # DEPENDENCYPART_TRISIBL
(7,8),(7,10),(7,14),-0.0934191 # DEPENDENCYPART_TRISIBL
(7,8),(7,10),(7,15),-0.151582 # DEPENDENCYPART_TRISIBL
(7,8),(7,10),(7,16),-0.073324 # DEPENDENCYPART_TRISIBL
(7,8),(7,10),(7,18),-0.132814 # DEPENDENCYPART_TRISIBL
(7,8),(7,10),(7,19),-0.101806 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,8),(7,11),(7,14),-0.0664734 # DEPENDENCYPART_TRISIBL
(7,8),(7,11),(7,15),-0.123873 # DEPENDENCYPART_TRISIBL
(7,8),(7,11),(7,16),-0.0722847 # DEPENDENCYPART_TRISIBL
(7,8),(7,11),(7,18),0.0334241 # DEPENDENCYPART_TRISIBL
(7,8),(7,11),(7,19),0.019523 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,8),(7,14),(7,15),-0.172135 # DEPENDENCYPART_TRISIBL
(7,8),(7,14),(7,16),-0.0318894 # DEPENDENCYPART_TRISIBL
(7,8),(7,14),(7,18),-0.0730794 # DEPENDENCYPART_TRISIBL
(7,8),(7,14),(7,19),0.0692762 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,8),(7,15),(7,16),-0.0733241 # DEPENDENCYPART_TRISIBL
(7,8),(7,15),(7,18),-0.129048 # DEPENDENCYPART_TRISIBL
(7,8),(7,15),(7,19),-0.0982816 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,8),(7,16),(7,18),-0.0186322 # DEPENDENCYPART_TRISIBL
(7,8),(7,16),(7,19),-0.0714564 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,8),(7,18),(7,19),0.196502 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,9),(7,10),(7,11),-0.09753 # DEPENDENCYPART_TRISIBL
(7,9),(7,10),(7,14),-0.14066 # DEPENDENCYPART_TRISIBL
(7,9),(7,10),(7,15),-0.043011 # DEPENDENCYPART_TRISIBL
(7,9),(7,10),(7,16),-0.11915 # DEPENDENCYPART_TRISIBL
(7,9),(7,10),(7,18),-0.0185869 # DEPENDENCYPART_TRISIBL
(7,9),(7,10),(7,19),0.122365 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,9),(7,11),(7,14),-0.0695562 # DEPENDENCYPART_TRISIBL
(7,9),(7,11),(7,15),0.0249706 # DEPENDENCYPART_TRISIBL
(7,9),(7,11),(7,16),-0.0957736 # DEPENDENCYPART_TRISIBL
(7,9),(7,11),(7,18),-0.0393447 # DEPENDENCYPART_TRISIBL
(7,9),(7,11),(7,19),-0.0524667 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,9),(7,14),(7,15),0.00580056 # DEPENDENCYPART_TRISIBL
(7,9),(7,14),(7,16),-0.0949437 # DEPENDENCYPART_TRISIBL
(7,9),(7,14),(7,18),-0.0207805 # DEPENDENCYPART_TRISIBL
(7,9),(7,14),(7,19),-0.156307 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,9),(7,15),(7,16),-0.11915 # DEPENDENCYPART_TRISIBL
(7,9),(7,15),(7,18),-0.0231073 # DEPENDENCYPART_TRISIBL
(7,9),(7,15),(7,19),0.122279 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,9),(7,16),(7,18),-0.0391015 # DEPENDENCYPART_TRISIBL
(7,9),(7,16),(7,19),-0.0975582 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,9),(7,18),(7,19),-0.140195 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,10),(7,11),(7,14),-0.0641493 # DEPENDENCYPART_TRISIBL
(7,10),(7,11),(7,15),-0.111356 # DEPENDENCYPART_TRISIBL
(7,10),(7,11),(7,16),-0.0745259 # DEPENDENCYPART_TRISIBL
(7,10),(7,11),(7,18),0.00606931 # DEPENDENCYPART_TRISIBL
(7,10),(7,11),(7,19),-0.0280219 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,10),(7,14),(7,15),-0.151238 # DEPENDENCYPART_TRISIBL
(7,10),(7,14),(7,16),-0.0377133 # DEPENDENCYPART_TRISIBL
(7,10),(7,14),(7,18),-0.0834578 # DEPENDENCYPART_TRISIBL
(7,10),(7,14),(7,19),0.0299553 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,10),(7,15),(7,16),-0.0756356 # DEPENDENCYPART_TRISIBL
(7,10),(7,15),(7,18),-0.135565 # DEPENDENCYPART_TRISIBL
(7,10),(7,15),(7,19),-0.140709 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,10),(7,16),(7,18),-0.033074 # DEPENDENCYPART_TRISIBL
(7,10),(7,16),(7,19),-0.103983 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,10),(7,18),(7,19),0.144847 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,11),(7,14),(7,15),-0.0204625 # DEPENDENCYPART_TRISIBL
(7,11),(7,14),(7,16),-0.0259445 # DEPENDENCYPART_TRISIBL
(7,11),(7,14),(7,18),-0.0953105 # DEPENDENCYPART_TRISIBL
(7,11),(7,14),(7,19),-0.180465 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,11),(7,15),(7,16),-0.0620742 # DEPENDENCYPART_TRISIBL
(7,11),(7,15),(7,18),-0.0998316 # DEPENDENCYPART_TRISIBL
(7,11),(7,15),(7,19),-0.0238512 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,11),(7,16),(7,18),-0.0753307 # DEPENDENCYPART_TRISIBL
(7,11),(7,16),(7,19),-0.107797 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,11),(7,18),(7,19),-0.0968632 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,14),(7,15),(7,16),-0.0601008 # DEPENDENCYPART_TRISIBL
(7,14),(7,15),(7,18),-0.100188 # DEPENDENCYPART_TRISIBL
(7,14),(7,15),(7,19),-0.0361284 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,14),(7,16),(7,18),-0.124391 # DEPENDENCYPART_TRISIBL
(7,14),(7,16),(7,19),-0.147563 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,14),(7,18),(7,19),-0.196377 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,15),(7,16),(7,18),-0.037116 # DEPENDENCYPART_TRISIBL
(7,15),(7,16),(7,19),-0.111706 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,15),(7,18),(7,19),0.13603 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,16),(7,18),(7,19),-0.135243 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,7),(7,6),(7,5),-0.0477834 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,6),(7,4),-0.0969254 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
