# _root_ `` The price of poker has gone up , '' crows Charles M. Neinas , the College Football Association 's executive director .
#goldHeads=11,3,6,3,4,11,6,7,11,11,0,14,14,11,14,19,19,19,22,19,22,14,11,
#predictedHeads=11,3,6,3,4,11,6,7,11,11,0,14,14,11,14,19,19,19,22,19,22,14,11,
(11,9),(11,6),(11,5),-0.216781 # DEPENDENCYPART_TRISIBL
(11,9),(11,6),(11,4),-0.0881816 # DEPENDENCYPART_TRISIBL
(11,9),(11,6),(11,3),-0.208501 # DEPENDENCYPART_TRISIBL
(11,9),(11,6),(11,1),0.416593 # DEPENDENCYPART_TRISIBL
(11,9),(11,6),(11,-1),-0.0155754 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,9),(11,5),(11,4),0.0571616 # DEPENDENCYPART_TRISIBL
(11,9),(11,5),(11,3),-0.159625 # DEPENDENCYPART_TRISIBL
(11,9),(11,5),(11,1),0.175551 # DEPENDENCYPART_TRISIBL
(11,9),(11,5),(11,-1),-0.0162493 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,9),(11,4),(11,3),-0.122426 # DEPENDENCYPART_TRISIBL
(11,9),(11,4),(11,1),0.287219 # DEPENDENCYPART_TRISIBL
(11,9),(11,4),(11,-1),-0.0433453 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,9),(11,3),(11,1),0.175551 # DEPENDENCYPART_TRISIBL
(11,9),(11,3),(11,-1),-0.0178679 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,9),(11,1),(11,-1),-0.0313485 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,8),(11,7),(11,6),-0.1359 # DEPENDENCYPART_TRISIBL
(11,8),(11,7),(11,5),-0.0325398 # DEPENDENCYPART_TRISIBL
(11,8),(11,7),(11,4),-0.111033 # DEPENDENCYPART_TRISIBL
(11,8),(11,7),(11,3),-0.0332792 # DEPENDENCYPART_TRISIBL
(11,8),(11,7),(11,1),-0.0990787 # DEPENDENCYPART_TRISIBL
(11,8),(11,7),(11,-1),-0.146359 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,8),(11,6),(11,5),-0.03307 # DEPENDENCYPART_TRISIBL
(11,8),(11,6),(11,4),-0.111033 # DEPENDENCYPART_TRISIBL
(11,8),(11,6),(11,3),-0.0338093 # DEPENDENCYPART_TRISIBL
(11,8),(11,6),(11,1),-0.0999753 # DEPENDENCYPART_TRISIBL
(11,8),(11,6),(11,-1),-0.147262 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,8),(11,5),(11,4),-0.0753152 # DEPENDENCYPART_TRISIBL
(11,8),(11,5),(11,3),-0.141663 # DEPENDENCYPART_TRISIBL
(11,8),(11,5),(11,1),-0.0948499 # DEPENDENCYPART_TRISIBL
(11,8),(11,5),(11,-1),-0.0975085 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,8),(11,4),(11,3),-0.0711931 # DEPENDENCYPART_TRISIBL
(11,8),(11,4),(11,1),-0.0809543 # DEPENDENCYPART_TRISIBL
(11,8),(11,4),(11,-1),-0.0821463 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,8),(11,3),(11,1),-0.0948499 # DEPENDENCYPART_TRISIBL
(11,8),(11,3),(11,-1),-0.0956164 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,8),(11,1),(11,-1),-0.0995143 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,7),(11,6),(11,5),-0.106006 # DEPENDENCYPART_TRISIBL
(11,7),(11,6),(11,4),-0.0771896 # DEPENDENCYPART_TRISIBL
(11,7),(11,6),(11,3),-0.10665 # DEPENDENCYPART_TRISIBL
(11,7),(11,6),(11,1),-0.0340414 # DEPENDENCYPART_TRISIBL
(11,7),(11,6),(11,-1),-0.149015 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,7),(11,5),(11,4),-0.0834252 # DEPENDENCYPART_TRISIBL
(11,7),(11,5),(11,3),-0.108751 # DEPENDENCYPART_TRISIBL
(11,7),(11,5),(11,1),0.0608919 # DEPENDENCYPART_TRISIBL
(11,7),(11,5),(11,-1),-0.0751587 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,7),(11,4),(11,3),-0.0872559 # DEPENDENCYPART_TRISIBL
(11,7),(11,4),(11,1),0.0020332 # DEPENDENCYPART_TRISIBL
(11,7),(11,4),(11,-1),-0.0203997 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,7),(11,3),(11,1),0.0608919 # DEPENDENCYPART_TRISIBL
(11,7),(11,3),(11,-1),-0.0778508 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,7),(11,1),(11,-1),-0.137357 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,6),(11,5),(11,4),-0.0769851 # DEPENDENCYPART_TRISIBL
(11,6),(11,5),(11,3),-0.116789 # DEPENDENCYPART_TRISIBL
(11,6),(11,5),(11,1),0.0622811 # DEPENDENCYPART_TRISIBL
(11,6),(11,5),(11,-1),-0.0625591 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,6),(11,4),(11,3),-0.0942661 # DEPENDENCYPART_TRISIBL
(11,6),(11,4),(11,1),0.00388136 # DEPENDENCYPART_TRISIBL
(11,6),(11,4),(11,-1),-0.003334 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,6),(11,3),(11,1),0.0622811 # DEPENDENCYPART_TRISIBL
(11,6),(11,3),(11,-1),-0.0652512 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,6),(11,1),(11,-1),-0.105711 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,5),(11,4),(11,3),-0.198003 # DEPENDENCYPART_TRISIBL
(11,5),(11,4),(11,1),-0.144684 # DEPENDENCYPART_TRISIBL
(11,5),(11,4),(11,-1),-0.0660947 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,5),(11,3),(11,1),-0.155065 # DEPENDENCYPART_TRISIBL
(11,5),(11,3),(11,-1),-0.124025 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,5),(11,1),(11,-1),-0.0999701 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,4),(11,3),(11,1),-0.0829291 # DEPENDENCYPART_TRISIBL
(11,4),(11,3),(11,-1),-0.112219 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,4),(11,1),(11,-1),-0.190147 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(11,3),(11,1),(11,-1),-0.0895559 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,12),(12,13),(12,14),-0.0949149 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,13),(12,15),-0.119467 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,13),(12,22),-0.0585534 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,13),(12,24),-0.105092 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(12,12),(12,14),(12,15),-0.119467 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,14),(12,22),-0.0585098 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,14),(12,24),-0.104197 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(12,12),(12,15),(12,22),-0.0132223 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(12,12),(12,15),(12,24),-0.725686 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(12,12),(12,22),(12,24),-0.124953 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(12,13),(12,14),(12,15),-0.0434139 # DEPENDENCYPART_TRISIBL
(12,13),(12,14),(12,22),-0.0854654 # DEPENDENCYPART_TRISIBL
(12,13),(12,14),(12,24),-0.114326 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,13),(12,15),(12,22),-0.0814248 # DEPENDENCYPART_TRISIBL
(12,13),(12,15),(12,24),-0.0339606 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,13),(12,22),(12,24),-0.118403 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,14),(12,15),(12,22),-0.0813813 # DEPENDENCYPART_TRISIBL
(12,14),(12,15),(12,24),-0.0337375 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,14),(12,22),(12,24),-0.118236 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,15),(12,22),(12,24),-0.0395641 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(12,12),(12,10),(12,-1),-0.398421 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,13),(13,14),(13,15),-0.118515 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,14),(13,19),-0.0854539 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,14),(13,22),-0.0585642 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,14),(13,24),-0.10385 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(13,13),(13,15),(13,19),-0.0680167 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,15),(13,22),-0.0133312 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,15),(13,24),-0.725576 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(13,13),(13,19),(13,22),-0.0586074 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,19),(13,24),-0.0997772 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(13,13),(13,22),(13,24),-0.124606 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(13,14),(13,15),(13,19),-0.0756448 # DEPENDENCYPART_TRISIBL
(13,14),(13,15),(13,22),-0.0813807 # DEPENDENCYPART_TRISIBL
(13,14),(13,15),(13,24),-0.0337432 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,14),(13,19),(13,22),-0.0816618 # DEPENDENCYPART_TRISIBL
(13,14),(13,19),(13,24),-0.113739 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,14),(13,22),(13,24),-0.118234 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,15),(13,19),(13,22),-0.0686537 # DEPENDENCYPART_TRISIBL
(13,15),(13,19),(13,24),-0.0798599 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,15),(13,22),(13,24),-0.0395641 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,19),(13,22),(13,24),-0.118578 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,13),(13,12),(13,10),-0.0780002 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,12),(13,9),-0.237245 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,12),(13,-1),-0.188177 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,13),(13,10),(13,9),-0.243774 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(13,13),(13,10),(13,-1),-0.398097 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,13),(13,9),(13,-1),-0.475596 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,12),(13,10),(13,9),-0.0167621 # DEPENDENCYPART_TRISIBL
(13,12),(13,10),(13,-1),-0.238789 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,12),(13,9),(13,-1),-0.213181 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(13,10),(13,9),(13,-1),-0.199969 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,14),(14,15),(14,17),-0.0761485 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,15),(14,18),-0.0723321 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,15),(14,19),-0.067837 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,15),(14,20),-0.0354543 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,15),(14,21),-0.0544933 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,15),(14,22),-0.0131514 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,15),(14,23),-0.227658 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,15),(14,24),-0.725027 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(14,14),(14,17),(14,18),-0.0934631 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,17),(14,19),-0.0860687 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,17),(14,20),0.00983783 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,17),(14,21),-0.0900322 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,17),(14,22),-0.0591789 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,17),(14,23),-0.113227 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,17),(14,24),-0.103551 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(14,14),(14,18),(14,19),-0.0853667 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,18),(14,20),0.00983783 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,18),(14,21),-0.0893303 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,18),(14,22),-0.058477 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,18),(14,23),-0.113227 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,18),(14,24),-0.100396 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(14,14),(14,19),(14,20),0.00983783 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,19),(14,21),-0.0893708 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,19),(14,22),-0.0585175 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,19),(14,23),-0.117689 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,19),(14,24),-0.0988496 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(14,14),(14,20),(14,21),-0.13767 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,20),(14,22),-0.110103 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,20),(14,23),-0.13949 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,20),(14,24),0.0518538 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(14,14),(14,21),(14,22),-0.0611744 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,21),(14,23),-0.113014 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,21),(14,24),-0.108233 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(14,14),(14,22),(14,23),-0.110824 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,22),(14,24),-0.123678 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(14,14),(14,23),(14,24),-0.19253 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(14,15),(14,17),(14,18),-0.0679048 # DEPENDENCYPART_TRISIBL
(14,15),(14,17),(14,19),-0.0613721 # DEPENDENCYPART_TRISIBL
(14,15),(14,17),(14,20),-0.0539152 # DEPENDENCYPART_TRISIBL
(14,15),(14,17),(14,21),-0.0697197 # DEPENDENCYPART_TRISIBL
(14,15),(14,17),(14,22),-0.0686541 # DEPENDENCYPART_TRISIBL
(14,15),(14,17),(14,23),-0.189094 # DEPENDENCYPART_TRISIBL
(14,15),(14,17),(14,24),-0.0795609 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,15),(14,18),(14,19),-0.0613716 # DEPENDENCYPART_TRISIBL
(14,15),(14,18),(14,20),-0.0539152 # DEPENDENCYPART_TRISIBL
(14,15),(14,18),(14,21),-0.0697193 # DEPENDENCYPART_TRISIBL
(14,15),(14,18),(14,22),-0.0686537 # DEPENDENCYPART_TRISIBL
(14,15),(14,18),(14,23),-0.189094 # DEPENDENCYPART_TRISIBL
(14,15),(14,18),(14,24),-0.07947 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,15),(14,19),(14,20),-0.0539152 # DEPENDENCYPART_TRISIBL
(14,15),(14,19),(14,21),-0.0697193 # DEPENDENCYPART_TRISIBL
(14,15),(14,19),(14,22),-0.0686537 # DEPENDENCYPART_TRISIBL
(14,15),(14,19),(14,23),-0.189094 # DEPENDENCYPART_TRISIBL
(14,15),(14,19),(14,24),-0.0798599 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,15),(14,20),(14,21),0.00977584 # DEPENDENCYPART_TRISIBL
(14,15),(14,20),(14,22),0.0109795 # DEPENDENCYPART_TRISIBL
(14,15),(14,20),(14,23),-0.126426 # DEPENDENCYPART_TRISIBL
(14,15),(14,20),(14,24),-0.209378 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,15),(14,21),(14,22),-0.0686541 # DEPENDENCYPART_TRISIBL
(14,15),(14,21),(14,23),-0.189885 # DEPENDENCYPART_TRISIBL
(14,15),(14,21),(14,24),-0.0616755 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,15),(14,22),(14,23),-0.189307 # DEPENDENCYPART_TRISIBL
(14,15),(14,22),(14,24),-0.0395641 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,15),(14,23),(14,24),-0.304943 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,17),(14,18),(14,19),-0.082016 # DEPENDENCYPART_TRISIBL
(14,17),(14,18),(14,20),-0.0452483 # DEPENDENCYPART_TRISIBL
(14,17),(14,18),(14,21),-0.083528 # DEPENDENCYPART_TRISIBL
(14,17),(14,18),(14,22),-0.0859016 # DEPENDENCYPART_TRISIBL
(14,17),(14,18),(14,23),-0.0768214 # DEPENDENCYPART_TRISIBL
(14,17),(14,18),(14,24),-0.11423 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,17),(14,19),(14,20),-0.0452483 # DEPENDENCYPART_TRISIBL
(14,17),(14,19),(14,21),-0.0798117 # DEPENDENCYPART_TRISIBL
(14,17),(14,19),(14,22),-0.0821853 # DEPENDENCYPART_TRISIBL
(14,17),(14,19),(14,23),-0.0768215 # DEPENDENCYPART_TRISIBL
(14,17),(14,19),(14,24),-0.113768 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,17),(14,20),(14,21),-0.0785337 # DEPENDENCYPART_TRISIBL
(14,17),(14,20),(14,22),-0.0805767 # DEPENDENCYPART_TRISIBL
(14,17),(14,20),(14,23),-0.0807511 # DEPENDENCYPART_TRISIBL
(14,17),(14,20),(14,24),-0.0563857 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,17),(14,21),(14,22),-0.0860825 # DEPENDENCYPART_TRISIBL
(14,17),(14,21),(14,23),-0.0769423 # DEPENDENCYPART_TRISIBL
(14,17),(14,21),(14,24),-0.115488 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,17),(14,22),(14,23),-0.0770647 # DEPENDENCYPART_TRISIBL
(14,17),(14,22),(14,24),-0.118263 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,17),(14,23),(14,24),-0.0163248 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,18),(14,19),(14,20),-0.0452483 # DEPENDENCYPART_TRISIBL
(14,18),(14,19),(14,21),-0.0796492 # DEPENDENCYPART_TRISIBL
(14,18),(14,19),(14,22),-0.0820228 # DEPENDENCYPART_TRISIBL
(14,18),(14,19),(14,23),-0.0759655 # DEPENDENCYPART_TRISIBL
(14,18),(14,19),(14,24),-0.106456 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,18),(14,20),(14,21),-0.0786128 # DEPENDENCYPART_TRISIBL
(14,18),(14,20),(14,22),-0.0806558 # DEPENDENCYPART_TRISIBL
(14,18),(14,20),(14,23),-0.0803231 # DEPENDENCYPART_TRISIBL
(14,18),(14,20),(14,24),-0.0520485 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,18),(14,21),(14,22),-0.0859201 # DEPENDENCYPART_TRISIBL
(14,18),(14,21),(14,23),-0.0760864 # DEPENDENCYPART_TRISIBL
(14,18),(14,21),(14,24),-0.108176 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,18),(14,22),(14,23),-0.0762088 # DEPENDENCYPART_TRISIBL
(14,18),(14,22),(14,24),-0.110951 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,18),(14,23),(14,24),-0.0107603 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,19),(14,20),(14,21),-0.0807274 # DEPENDENCYPART_TRISIBL
(14,19),(14,20),(14,22),-0.0827705 # DEPENDENCYPART_TRISIBL
(14,19),(14,20),(14,23),-0.0812032 # DEPENDENCYPART_TRISIBL
(14,19),(14,20),(14,24),-0.0565808 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,19),(14,21),(14,22),-0.0880347 # DEPENDENCYPART_TRISIBL
(14,19),(14,21),(14,23),-0.0769665 # DEPENDENCYPART_TRISIBL
(14,19),(14,21),(14,24),-0.115705 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,19),(14,22),(14,23),-0.0770889 # DEPENDENCYPART_TRISIBL
(14,19),(14,22),(14,24),-0.11848 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,19),(14,23),(14,24),-0.0209822 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,20),(14,21),(14,22),-0.0453977 # DEPENDENCYPART_TRISIBL
(14,20),(14,21),(14,23),-0.069401 # DEPENDENCYPART_TRISIBL
(14,20),(14,21),(14,24),-0.0811746 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,20),(14,22),(14,23),-0.069401 # DEPENDENCYPART_TRISIBL
(14,20),(14,22),(14,24),-0.0811751 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,20),(14,23),(14,24),-0.0928942 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,21),(14,22),(14,23),-0.0783518 # DEPENDENCYPART_TRISIBL
(14,21),(14,22),(14,24),-0.115457 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,21),(14,23),(14,24),-0.0106183 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,22),(14,23),(14,24),-0.00498221 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,14),(14,13),(14,12),-0.200096 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,13),(14,9),-0.237244 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,13),(14,3),-0.210335 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,13),(14,-1),-0.193154 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,14),(14,12),(14,9),-0.237245 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,12),(14,3),-0.224592 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,12),(14,-1),-0.185509 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,14),(14,9),(14,3),-0.152643 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(14,14),(14,9),(14,-1),-0.474263 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,14),(14,3),(14,-1),-0.178094 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,13),(14,12),(14,9),-0.162543 # DEPENDENCYPART_TRISIBL
(14,13),(14,12),(14,3),-0.0590671 # DEPENDENCYPART_TRISIBL
(14,13),(14,12),(14,-1),-0.133875 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,13),(14,9),(14,3),-0.120348 # DEPENDENCYPART_TRISIBL
(14,13),(14,9),(14,-1),-0.209424 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,13),(14,3),(14,-1),-0.129447 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,12),(14,9),(14,3),-0.125604 # DEPENDENCYPART_TRISIBL
(14,12),(14,9),(14,-1),-0.212119 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,12),(14,3),(14,-1),-0.140517 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(14,9),(14,3),(14,-1),-0.138409 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(16,16),(16,15),(16,-1),-0.542766 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(17,17),(17,18),(17,19),-0.0853673 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(17,17),(17,18),(17,20),0.00983783 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(17,17),(17,18),(17,23),-0.113227 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(17,17),(17,18),(17,24),-0.100576 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(17,17),(17,19),(17,20),0.00983783 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(17,17),(17,19),(17,23),-0.11769 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(17,17),(17,19),(17,24),-0.0990289 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(17,17),(17,20),(17,23),-0.13949 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(17,17),(17,20),(17,24),0.0519073 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(17,17),(17,23),(17,24),-0.192477 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(17,18),(17,19),(17,20),-0.0452483 # DEPENDENCYPART_TRISIBL
(17,18),(17,19),(17,23),-0.0759655 # DEPENDENCYPART_TRISIBL
(17,18),(17,19),(17,24),-0.10728 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(17,18),(17,20),(17,23),-0.0803231 # DEPENDENCYPART_TRISIBL
(17,18),(17,20),(17,24),-0.0528724 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(17,18),(17,23),(17,24),-0.0120443 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(17,19),(17,20),(17,23),-0.0812032 # DEPENDENCYPART_TRISIBL
(17,19),(17,20),(17,24),-0.0574047 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(17,19),(17,23),(17,24),-0.0222661 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(17,20),(17,23),(17,24),-0.0928942 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(17,17),(17,16),(17,-1),-0.162987 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,18),(18,19),(18,20),0.00983783 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(18,18),(18,19),(18,22),-0.0589531 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(18,18),(18,19),(18,24),-0.106689 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(18,18),(18,20),(18,22),-0.110537 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(18,18),(18,20),(18,24),0.0446961 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(18,18),(18,22),(18,24),-0.131518 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(18,19),(18,20),(18,22),-0.0828664 # DEPENDENCYPART_TRISIBL
(18,19),(18,20),(18,24),-0.0569862 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,19),(18,22),(18,24),-0.118887 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,20),(18,22),(18,24),-0.0811751 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,18),(18,17),(18,16),-0.0803233 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(18,18),(18,17),(18,-1),-0.18297 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,18),(18,16),(18,-1),-0.160382 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(18,17),(18,16),(18,-1),-0.0649389 # DEPENDENCYPART_TRISIBL_LAST_SIBS
