# _root_ `` We went to six companies over two days pitching the prospect , '' says Tim Parker , a Santa Fe exploration manager .
#goldHeads=3,3,15,3,6,4,3,9,7,3,12,10,3,3,0,17,15,17,23,23,23,23,17,15,
#predictedHeads=15,3,15,3,6,4,3,9,7,3,12,10,15,15,0,17,15,17,23,23,23,23,17,15,
(6,12),(6,13),(6,23),-0.0840076 # DEPENDENCYPART_TRISIBL
(6,12),(6,13),(6,24),-0.12397 # DEPENDENCYPART_TRISIBL
(6,12),(6,13),(6,25),-0.038689 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,12),(6,14),(6,15),-0.0936156 # DEPENDENCYPART_TRISIBL
(6,12),(6,14),(6,18),-0.0526632 # DEPENDENCYPART_TRISIBL
(6,12),(6,14),(6,23),-0.0643437 # DEPENDENCYPART_TRISIBL
(6,12),(6,14),(6,24),-0.0905615 # DEPENDENCYPART_TRISIBL
(6,12),(6,14),(6,25),-0.0843171 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,12),(6,15),(6,18),-0.0152164 # DEPENDENCYPART_TRISIBL
(6,12),(6,15),(6,23),-0.0699262 # DEPENDENCYPART_TRISIBL
(6,12),(6,15),(6,24),-0.0937276 # DEPENDENCYPART_TRISIBL
(6,12),(6,15),(6,25),-0.129011 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,12),(6,18),(6,23),-0.0840076 # DEPENDENCYPART_TRISIBL
(6,12),(6,18),(6,24),-0.12397 # DEPENDENCYPART_TRISIBL
(6,12),(6,18),(6,25),-0.038689 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,12),(6,23),(6,24),-0.0874508 # DEPENDENCYPART_TRISIBL
(6,12),(6,23),(6,25),-0.129111 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,12),(6,24),(6,25),-0.0411874 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,13),(6,14),(6,15),0.0432839 # DEPENDENCYPART_TRISIBL
(6,13),(6,14),(6,18),0.287369 # DEPENDENCYPART_TRISIBL
(6,13),(6,14),(6,23),0.148932 # DEPENDENCYPART_TRISIBL
(6,13),(6,14),(6,24),-0.144227 # DEPENDENCYPART_TRISIBL
(6,13),(6,14),(6,25),-0.188235 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,13),(6,15),(6,18),0.566246 # DEPENDENCYPART_TRISIBL
(6,13),(6,15),(6,23),-0.0203091 # DEPENDENCYPART_TRISIBL
(6,13),(6,15),(6,24),-0.0818104 # DEPENDENCYPART_TRISIBL
(6,13),(6,15),(6,25),-0.079885 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,13),(6,18),(6,23),-0.000517434 # DEPENDENCYPART_TRISIBL
(6,13),(6,18),(6,24),-0.135957 # DEPENDENCYPART_TRISIBL
(6,13),(6,18),(6,25),-0.235525 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,13),(6,23),(6,24),-0.240568 # DEPENDENCYPART_TRISIBL
(6,13),(6,23),(6,25),-0.0955923 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,13),(6,24),(6,25),-0.284151 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,14),(6,15),(6,18),0.077154 # DEPENDENCYPART_TRISIBL
(6,14),(6,15),(6,23),-0.0409871 # DEPENDENCYPART_TRISIBL
(6,14),(6,15),(6,24),-0.134762 # DEPENDENCYPART_TRISIBL
(6,14),(6,15),(6,25),-0.0463068 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,14),(6,18),(6,23),-0.0491455 # DEPENDENCYPART_TRISIBL
(6,14),(6,18),(6,24),-0.114744 # DEPENDENCYPART_TRISIBL
(6,14),(6,18),(6,25),-0.123597 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,14),(6,23),(6,24),-0.124573 # DEPENDENCYPART_TRISIBL
(6,14),(6,23),(6,25),-0.0491113 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,14),(6,24),(6,25),-0.109266 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,15),(6,18),(6,23),-0.0743819 # DEPENDENCYPART_TRISIBL
(6,15),(6,18),(6,24),-0.0760887 # DEPENDENCYPART_TRISIBL
(6,15),(6,18),(6,25),0.000454354 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,15),(6,23),(6,24),-0.0329505 # DEPENDENCYPART_TRISIBL
(6,15),(6,23),(6,25),-0.0877083 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,15),(6,24),(6,25),-0.0444504 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,18),(6,23),(6,24),-0.240568 # DEPENDENCYPART_TRISIBL
(6,18),(6,23),(6,25),-0.0955923 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,18),(6,24),(6,25),-0.284151 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,23),(6,24),(6,25),-0.0343099 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,6),(6,5),(6,4),-0.131468 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,5),(6,3),-0.137015 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,5),(6,1),-0.171473 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,5),(6,-1),-0.12675 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,6),(6,4),(6,3),-0.100791 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,4),(6,1),-0.150511 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,4),(6,-1),-0.14347 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,6),(6,3),(6,1),-0.155868 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,3),(6,-1),-0.215224 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,6),(6,1),(6,-1),-0.295359 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,5),(6,4),(6,3),-0.0848065 # DEPENDENCYPART_TRISIBL
(6,5),(6,4),(6,1),-0.0626203 # DEPENDENCYPART_TRISIBL
(6,5),(6,4),(6,-1),-0.185375 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,5),(6,3),(6,1),-0.0640749 # DEPENDENCYPART_TRISIBL
(6,5),(6,3),(6,-1),-0.138134 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,5),(6,1),(6,-1),-0.125356 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,4),(6,3),(6,1),-0.0831758 # DEPENDENCYPART_TRISIBL
(6,4),(6,3),(6,-1),-0.150944 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,4),(6,1),(6,-1),-0.143907 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,3),(6,1),(6,-1),-0.221234 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,7),(7,8),(7,9),-0.0599357 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,8),(7,10),-0.142249 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,8),(7,12),-0.0617581 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,8),(7,14),-0.159196 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,8),(7,15),-0.158758 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,8),(7,17),-0.0616104 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,8),(7,25),-0.0106316 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(7,7),(7,9),(7,10),-0.12367 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,9),(7,12),-0.0799107 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,9),(7,14),-0.144501 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,9),(7,15),-0.1411 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,9),(7,17),-0.0797623 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,9),(7,25),0.153642 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(7,7),(7,10),(7,12),-0.0525193 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,10),(7,14),-0.143003 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,10),(7,15),-0.142169 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,10),(7,17),-0.0523716 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,10),(7,25),0.0311594 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(7,7),(7,12),(7,14),-0.144501 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,12),(7,15),-0.146419 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,12),(7,17),-0.0946413 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,12),(7,25),0.151127 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(7,7),(7,14),(7,15),-0.129732 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,14),(7,17),-0.0131297 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,14),(7,25),-0.136784 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(7,7),(7,15),(7,17),-0.0543317 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,15),(7,25),0.0341791 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(7,7),(7,17),(7,25),0.14514 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(7,8),(7,9),(7,10),-0.0641753 # DEPENDENCYPART_TRISIBL
(7,8),(7,9),(7,12),-0.116031 # DEPENDENCYPART_TRISIBL
(7,8),(7,9),(7,14),-0.0580548 # DEPENDENCYPART_TRISIBL
(7,8),(7,9),(7,15),-0.0611807 # DEPENDENCYPART_TRISIBL
(7,8),(7,9),(7,17),-0.116031 # DEPENDENCYPART_TRISIBL
(7,8),(7,9),(7,25),-0.0231017 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,8),(7,10),(7,12),-0.105017 # DEPENDENCYPART_TRISIBL
(7,8),(7,10),(7,14),-0.0579888 # DEPENDENCYPART_TRISIBL
(7,8),(7,10),(7,15),-0.0613268 # DEPENDENCYPART_TRISIBL
(7,8),(7,10),(7,17),-0.105017 # DEPENDENCYPART_TRISIBL
(7,8),(7,10),(7,25),-0.0688271 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,8),(7,12),(7,14),-0.0580548 # DEPENDENCYPART_TRISIBL
(7,8),(7,12),(7,15),-0.061176 # DEPENDENCYPART_TRISIBL
(7,8),(7,12),(7,17),-0.115888 # DEPENDENCYPART_TRISIBL
(7,8),(7,12),(7,25),-0.022319 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,8),(7,14),(7,15),-0.0600774 # DEPENDENCYPART_TRISIBL
(7,8),(7,14),(7,17),-0.105936 # DEPENDENCYPART_TRISIBL
(7,8),(7,14),(7,25),-0.0687928 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,8),(7,15),(7,17),-0.105017 # DEPENDENCYPART_TRISIBL
(7,8),(7,15),(7,25),-0.0688728 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,8),(7,17),(7,25),-0.022319 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,9),(7,10),(7,12),-0.113883 # DEPENDENCYPART_TRISIBL
(7,9),(7,10),(7,14),-0.058727 # DEPENDENCYPART_TRISIBL
(7,9),(7,10),(7,15),-0.0742426 # DEPENDENCYPART_TRISIBL
(7,9),(7,10),(7,17),-0.113883 # DEPENDENCYPART_TRISIBL
(7,9),(7,10),(7,25),-0.0842791 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,9),(7,12),(7,14),-0.0628048 # DEPENDENCYPART_TRISIBL
(7,9),(7,12),(7,15),-0.0679244 # DEPENDENCYPART_TRISIBL
(7,9),(7,12),(7,17),-0.134854 # DEPENDENCYPART_TRISIBL
(7,9),(7,12),(7,25),-0.0662672 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,9),(7,14),(7,15),-0.0714591 # DEPENDENCYPART_TRISIBL
(7,9),(7,14),(7,17),-0.117056 # DEPENDENCYPART_TRISIBL
(7,9),(7,14),(7,25),0.0217761 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,9),(7,15),(7,17),-0.113948 # DEPENDENCYPART_TRISIBL
(7,9),(7,15),(7,25),-0.0835884 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,9),(7,17),(7,25),-0.0662713 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,10),(7,12),(7,14),-0.0393529 # DEPENDENCYPART_TRISIBL
(7,10),(7,12),(7,15),-0.102604 # DEPENDENCYPART_TRISIBL
(7,10),(7,12),(7,17),-0.0745018 # DEPENDENCYPART_TRISIBL
(7,10),(7,12),(7,25),-0.0853595 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,10),(7,14),(7,15),-0.10088 # DEPENDENCYPART_TRISIBL
(7,10),(7,14),(7,17),-0.0671335 # DEPENDENCYPART_TRISIBL
(7,10),(7,14),(7,25),-0.0614225 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,10),(7,15),(7,17),-0.0702675 # DEPENDENCYPART_TRISIBL
(7,10),(7,15),(7,25),-0.081365 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,10),(7,17),(7,25),-0.0853595 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,12),(7,14),(7,15),-0.0683739 # DEPENDENCYPART_TRISIBL
(7,12),(7,14),(7,17),-0.11631 # DEPENDENCYPART_TRISIBL
(7,12),(7,14),(7,25),0.0108039 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,12),(7,15),(7,17),-0.113201 # DEPENDENCYPART_TRISIBL
(7,12),(7,15),(7,25),-0.100417 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,12),(7,17),(7,25),-0.0830679 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,14),(7,15),(7,17),-0.0466418 # DEPENDENCYPART_TRISIBL
(7,14),(7,15),(7,25),-0.08901 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,14),(7,17),(7,25),-0.0255036 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,15),(7,17),(7,25),-0.0632983 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,7),(7,6),(7,5),-0.0807617 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,6),(7,4),-0.182919 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,6),(7,-1),-0.150855 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,7),(7,5),(7,4),-0.146457 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,5),(7,-1),-0.247723 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,7),(7,4),(7,-1),-0.247007 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,6),(7,5),(7,4),-0.0823716 # DEPENDENCYPART_TRISIBL
(7,6),(7,5),(7,-1),-0.164431 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,6),(7,4),(7,-1),-0.163492 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,5),(7,4),(7,-1),-0.133294 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,8),(8,10),(8,12),-0.127969 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,10),(8,17),-0.127821 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,10),(8,25),-0.147979 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(8,8),(8,12),(8,17),-0.146485 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,12),(8,25),-0.115333 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(8,8),(8,17),(8,25),-0.117507 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(8,10),(8,12),(8,17),-0.0712044 # DEPENDENCYPART_TRISIBL
(8,10),(8,12),(8,25),-0.0770169 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,10),(8,17),(8,25),-0.0770169 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,12),(8,17),(8,25),-0.10706 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,8),(8,7),(8,5),-0.143357 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(8,8),(8,7),(8,-1),-0.223005 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,8),(8,5),(8,-1),-0.0974212 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(8,7),(8,5),(8,-1),-0.0792767 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,9),(9,10),(9,12),-0.147948 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,10),(9,13),-0.0432817 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,10),(9,14),-0.13545 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,10),(9,15),-0.115996 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,10),(9,17),-0.14778 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,10),(9,18),-0.0432817 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,10),(9,23),-0.13277 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,10),(9,25),-0.102335 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(9,9),(9,12),(9,13),-0.110336 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,12),(9,14),-0.166726 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,12),(9,15),-0.134445 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,12),(9,17),-0.1239 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,12),(9,18),-0.110336 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,12),(9,23),-0.10482 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,12),(9,25),-0.114246 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(9,9),(9,13),(9,14),-0.0872301 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,13),(9,15),-0.187809 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,13),(9,17),-0.0660421 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,13),(9,18),-0.198004 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,13),(9,23),-0.0403654 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,13),(9,25),-0.683997 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(9,9),(9,14),(9,15),-0.143723 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,14),(9,17),-0.188867 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,14),(9,18),-0.0752608 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,14),(9,23),-0.171709 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,14),(9,25),-0.158149 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(9,9),(9,15),(9,17),-0.150611 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,15),(9,18),-0.026602 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,15),(9,23),-0.135602 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,15),(9,25),-0.111106 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(9,9),(9,17),(9,18),-0.110336 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,17),(9,23),-0.10485 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,17),(9,25),-0.116423 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(9,9),(9,18),(9,23),-0.0403654 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(9,9),(9,18),(9,25),-0.683997 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(9,9),(9,23),(9,25),-0.122115 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(9,10),(9,12),(9,13),-0.085837 # DEPENDENCYPART_TRISIBL
(9,10),(9,12),(9,14),-0.0247973 # DEPENDENCYPART_TRISIBL
(9,10),(9,12),(9,15),-0.108422 # DEPENDENCYPART_TRISIBL
(9,10),(9,12),(9,17),-0.0712005 # DEPENDENCYPART_TRISIBL
(9,10),(9,12),(9,18),-0.085837 # DEPENDENCYPART_TRISIBL
(9,10),(9,12),(9,23),-0.0712106 # DEPENDENCYPART_TRISIBL
(9,10),(9,12),(9,25),-0.123979 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,10),(9,13),(9,14),0.0812324 # DEPENDENCYPART_TRISIBL
(9,10),(9,13),(9,15),-0.0776697 # DEPENDENCYPART_TRISIBL
(9,10),(9,13),(9,17),-0.0820537 # DEPENDENCYPART_TRISIBL
(9,10),(9,13),(9,18),-0.0916887 # DEPENDENCYPART_TRISIBL
(9,10),(9,13),(9,23),-0.0820718 # DEPENDENCYPART_TRISIBL
(9,10),(9,13),(9,25),-0.0527419 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,10),(9,14),(9,15),-0.107205 # DEPENDENCYPART_TRISIBL
(9,10),(9,14),(9,17),-0.0450833 # DEPENDENCYPART_TRISIBL
(9,10),(9,14),(9,18),-0.0812783 # DEPENDENCYPART_TRISIBL
(9,10),(9,14),(9,23),-0.045093 # DEPENDENCYPART_TRISIBL
(9,10),(9,14),(9,25),-0.0951156 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,10),(9,15),(9,17),-0.0702006 # DEPENDENCYPART_TRISIBL
(9,10),(9,15),(9,18),-0.0844722 # DEPENDENCYPART_TRISIBL
(9,10),(9,15),(9,23),-0.0702103 # DEPENDENCYPART_TRISIBL
(9,10),(9,15),(9,25),-0.116966 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,10),(9,17),(9,18),-0.085837 # DEPENDENCYPART_TRISIBL
(9,10),(9,17),(9,23),-0.0712106 # DEPENDENCYPART_TRISIBL
(9,10),(9,17),(9,25),-0.123979 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,10),(9,18),(9,23),-0.0820718 # DEPENDENCYPART_TRISIBL
(9,10),(9,18),(9,25),-0.0527419 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,10),(9,23),(9,25),-0.125952 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,12),(9,13),(9,14),0.0396267 # DEPENDENCYPART_TRISIBL
(9,12),(9,13),(9,15),-0.10839 # DEPENDENCYPART_TRISIBL
(9,12),(9,13),(9,17),-0.0828213 # DEPENDENCYPART_TRISIBL
(9,12),(9,13),(9,18),-0.0421291 # DEPENDENCYPART_TRISIBL
(9,12),(9,13),(9,23),-0.0836619 # DEPENDENCYPART_TRISIBL
(9,12),(9,13),(9,25),-0.0349888 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,12),(9,14),(9,15),-0.0936156 # DEPENDENCYPART_TRISIBL
(9,12),(9,14),(9,17),-0.063885 # DEPENDENCYPART_TRISIBL
(9,12),(9,14),(9,18),-0.0526619 # DEPENDENCYPART_TRISIBL
(9,12),(9,14),(9,23),-0.0643197 # DEPENDENCYPART_TRISIBL
(9,12),(9,14),(9,25),-0.0820725 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,12),(9,15),(9,17),-0.0694675 # DEPENDENCYPART_TRISIBL
(9,12),(9,15),(9,18),-0.015214 # DEPENDENCYPART_TRISIBL
(9,12),(9,15),(9,23),-0.0699022 # DEPENDENCYPART_TRISIBL
(9,12),(9,15),(9,25),-0.125961 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,12),(9,17),(9,18),-0.0454814 # DEPENDENCYPART_TRISIBL
(9,12),(9,17),(9,23),-0.0699066 # DEPENDENCYPART_TRISIBL
(9,12),(9,17),(9,25),-0.128682 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,12),(9,18),(9,23),-0.0836619 # DEPENDENCYPART_TRISIBL
(9,12),(9,18),(9,25),-0.0349888 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,12),(9,23),(9,25),-0.126889 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,13),(9,14),(9,15),0.0433045 # DEPENDENCYPART_TRISIBL
(9,13),(9,14),(9,17),0.149293 # DEPENDENCYPART_TRISIBL
(9,13),(9,14),(9,18),0.280298 # DEPENDENCYPART_TRISIBL
(9,13),(9,14),(9,23),0.14892 # DEPENDENCYPART_TRISIBL
(9,13),(9,14),(9,25),-0.175651 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,13),(9,15),(9,17),-0.0200767 # DEPENDENCYPART_TRISIBL
(9,13),(9,15),(9,18),0.552092 # DEPENDENCYPART_TRISIBL
(9,13),(9,15),(9,23),-0.0203196 # DEPENDENCYPART_TRISIBL
(9,13),(9,15),(9,25),-0.0610636 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,13),(9,17),(9,18),0.505081 # DEPENDENCYPART_TRISIBL
(9,13),(9,17),(9,23),-0.0828441 # DEPENDENCYPART_TRISIBL
(9,13),(9,17),(9,25),-0.0960243 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,13),(9,18),(9,23),-0.000528013 # DEPENDENCYPART_TRISIBL
(9,13),(9,18),(9,25),-0.22304 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,13),(9,23),(9,25),-0.0833515 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,14),(9,15),(9,17),-0.0409805 # DEPENDENCYPART_TRISIBL
(9,14),(9,15),(9,18),0.077154 # DEPENDENCYPART_TRISIBL
(9,14),(9,15),(9,23),-0.0409871 # DEPENDENCYPART_TRISIBL
(9,14),(9,15),(9,25),-0.0463078 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,14),(9,17),(9,18),0.111188 # DEPENDENCYPART_TRISIBL
(9,14),(9,17),(9,23),-0.0524786 # DEPENDENCYPART_TRISIBL
(9,14),(9,17),(9,25),-0.0488702 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,14),(9,18),(9,23),-0.0491455 # DEPENDENCYPART_TRISIBL
(9,14),(9,18),(9,25),-0.123598 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,14),(9,23),(9,25),-0.0491134 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,15),(9,17),(9,18),-0.0858389 # DEPENDENCYPART_TRISIBL
(9,15),(9,17),(9,23),-0.0630428 # DEPENDENCYPART_TRISIBL
(9,15),(9,17),(9,25),-0.0893513 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,15),(9,18),(9,23),-0.0744858 # DEPENDENCYPART_TRISIBL
(9,15),(9,18),(9,25),-0.00927602 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,15),(9,23),(9,25),-0.0913251 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,17),(9,18),(9,23),-0.0836646 # DEPENDENCYPART_TRISIBL
(9,17),(9,18),(9,25),-0.0363313 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,17),(9,23),(9,25),-0.128259 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(9,18),(9,23),(9,25),-0.0833515 # DEPENDENCYPART_TRISIBL_LAST_SIBS
