# _root_ On the other hand , so long as Mr. Gorbachev is easing his grip on his empire , everyone we 've heard agrees that the U.S. can benefit by engaging him .
#goldHeads=23,4,4,1,23,23,6,11,10,11,6,11,14,12,14,17,15,23,23,21,19,21,0,27,26,27,23,27,28,29,30,23,
#predictedHeads=23,4,4,1,23,11,6,11,10,11,23,11,14,12,14,17,15,23,23,21,19,21,0,27,26,27,23,27,28,29,30,23,
(27,26),(27,18),(27,8),0.138204 # DEPENDENCYPART_TRISIBL
(27,26),(27,18),(27,7),-0.0730069 # DEPENDENCYPART_TRISIBL
(27,26),(27,18),(27,6),-0.0804217 # DEPENDENCYPART_TRISIBL
(27,26),(27,18),(27,5),-0.125275 # DEPENDENCYPART_TRISIBL
(27,26),(27,18),(27,4),-0.160564 # DEPENDENCYPART_TRISIBL
(27,26),(27,18),(27,1),0.0904579 # DEPENDENCYPART_TRISIBL
(27,26),(27,18),(27,-1),-0.215798 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(27,26),(27,17),(27,15),-0.0519794 # DEPENDENCYPART_TRISIBL
(27,26),(27,17),(27,14),-0.163988 # DEPENDENCYPART_TRISIBL
(27,26),(27,17),(27,12),-0.0848277 # DEPENDENCYPART_TRISIBL
(27,26),(27,17),(27,11),-0.0931535 # DEPENDENCYPART_TRISIBL
(27,26),(27,17),(27,10),-0.164345 # DEPENDENCYPART_TRISIBL
(27,26),(27,17),(27,8),-0.0137379 # DEPENDENCYPART_TRISIBL
(27,26),(27,17),(27,7),-0.0524876 # DEPENDENCYPART_TRISIBL
(27,26),(27,17),(27,6),-0.0511922 # DEPENDENCYPART_TRISIBL
(27,26),(27,17),(27,5),-0.100484 # DEPENDENCYPART_TRISIBL
(27,26),(27,17),(27,4),-0.162663 # DEPENDENCYPART_TRISIBL
(27,26),(27,17),(27,1),-0.0519794 # DEPENDENCYPART_TRISIBL
(27,26),(27,17),(27,-1),-0.128878 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(27,26),(27,15),(27,14),-0.167881 # DEPENDENCYPART_TRISIBL
(27,26),(27,15),(27,12),-0.0894069 # DEPENDENCYPART_TRISIBL
(27,26),(27,15),(27,11),-0.0974077 # DEPENDENCYPART_TRISIBL
(27,26),(27,15),(27,10),-0.168238 # DEPENDENCYPART_TRISIBL
(27,26),(27,15),(27,8),-0.015828 # DEPENDENCYPART_TRISIBL
(27,26),(27,15),(27,7),-0.0112755 # DEPENDENCYPART_TRISIBL
(27,26),(27,15),(27,6),0.00431593 # DEPENDENCYPART_TRISIBL
(27,26),(27,15),(27,5),-0.150937 # DEPENDENCYPART_TRISIBL
(27,26),(27,15),(27,4),-0.166426 # DEPENDENCYPART_TRISIBL
(27,26),(27,15),(27,1),-0.0449024 # DEPENDENCYPART_TRISIBL
(27,26),(27,15),(27,-1),-0.0186913 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(27,26),(27,14),(27,12),-0.0848277 # DEPENDENCYPART_TRISIBL
(27,26),(27,14),(27,11),-0.0931535 # DEPENDENCYPART_TRISIBL
(27,26),(27,14),(27,10),-0.164345 # DEPENDENCYPART_TRISIBL
(27,26),(27,14),(27,8),-0.0137379 # DEPENDENCYPART_TRISIBL
(27,26),(27,14),(27,7),-0.0524876 # DEPENDENCYPART_TRISIBL
(27,26),(27,14),(27,6),-0.0511922 # DEPENDENCYPART_TRISIBL
(27,26),(27,14),(27,5),-0.100484 # DEPENDENCYPART_TRISIBL
(27,26),(27,14),(27,4),-0.162663 # DEPENDENCYPART_TRISIBL
(27,26),(27,14),(27,1),-0.0519794 # DEPENDENCYPART_TRISIBL
(27,26),(27,14),(27,-1),-0.128879 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(27,26),(27,12),(27,11),-0.0675928 # DEPENDENCYPART_TRISIBL
(27,26),(27,12),(27,10),-0.156664 # DEPENDENCYPART_TRISIBL
(27,26),(27,12),(27,8),0.0142045 # DEPENDENCYPART_TRISIBL
(27,26),(27,12),(27,7),-0.0320379 # DEPENDENCYPART_TRISIBL
(27,26),(27,12),(27,6),-0.0312173 # DEPENDENCYPART_TRISIBL
(27,26),(27,12),(27,5),-0.112899 # DEPENDENCYPART_TRISIBL
(27,26),(27,12),(27,4),-0.154853 # DEPENDENCYPART_TRISIBL
(27,26),(27,12),(27,1),-0.023384 # DEPENDENCYPART_TRISIBL
(27,26),(27,12),(27,-1),-0.117655 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(27,26),(27,11),(27,10),-0.157277 # DEPENDENCYPART_TRISIBL
(27,26),(27,11),(27,8),0.0188811 # DEPENDENCYPART_TRISIBL
(27,26),(27,11),(27,7),-0.0320782 # DEPENDENCYPART_TRISIBL
(27,26),(27,11),(27,6),-0.0312576 # DEPENDENCYPART_TRISIBL
(27,26),(27,11),(27,5),-0.113113 # DEPENDENCYPART_TRISIBL
(27,26),(27,11),(27,4),-0.155466 # DEPENDENCYPART_TRISIBL
(27,26),(27,11),(27,1),-0.0187074 # DEPENDENCYPART_TRISIBL
(27,26),(27,11),(27,-1),-0.130233 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(27,26),(27,10),(27,8),-0.0137477 # DEPENDENCYPART_TRISIBL
(27,26),(27,10),(27,7),-0.0524876 # DEPENDENCYPART_TRISIBL
(27,26),(27,10),(27,6),-0.0511922 # DEPENDENCYPART_TRISIBL
(27,26),(27,10),(27,5),-0.100484 # DEPENDENCYPART_TRISIBL
(27,26),(27,10),(27,4),-0.162667 # DEPENDENCYPART_TRISIBL
(27,26),(27,10),(27,1),-0.0519892 # DEPENDENCYPART_TRISIBL
(27,26),(27,10),(27,-1),-0.128883 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(27,26),(27,8),(27,7),-0.00354373 # DEPENDENCYPART_TRISIBL
(27,26),(27,8),(27,6),0.0120477 # DEPENDENCYPART_TRISIBL
(27,26),(27,8),(27,5),-0.15166 # DEPENDENCYPART_TRISIBL
(27,26),(27,8),(27,4),-0.164748 # DEPENDENCYPART_TRISIBL
(27,26),(27,8),(27,1),-0.0607952 # DEPENDENCYPART_TRISIBL
(27,26),(27,8),(27,-1),0.0179359 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(27,26),(27,7),(27,6),-0.0450745 # DEPENDENCYPART_TRISIBL
(27,26),(27,7),(27,5),-0.119307 # DEPENDENCYPART_TRISIBL
(27,26),(27,7),(27,4),-0.137346 # DEPENDENCYPART_TRISIBL
(27,26),(27,7),(27,1),-0.0498226 # DEPENDENCYPART_TRISIBL
(27,26),(27,7),(27,-1),-0.0390006 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(27,26),(27,6),(27,5),-0.125393 # DEPENDENCYPART_TRISIBL
(27,26),(27,6),(27,4),-0.137363 # DEPENDENCYPART_TRISIBL
(27,26),(27,6),(27,1),-0.0498314 # DEPENDENCYPART_TRISIBL
(27,26),(27,6),(27,-1),-0.0275968 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(27,26),(27,5),(27,4),-0.160564 # DEPENDENCYPART_TRISIBL
(27,26),(27,5),(27,1),0.0904579 # DEPENDENCYPART_TRISIBL
(27,26),(27,5),(27,-1),-0.215798 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(27,26),(27,4),(27,1),-0.0519794 # DEPENDENCYPART_TRISIBL
(27,26),(27,4),(27,-1),-0.12903 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(27,26),(27,1),(27,-1),-0.0186913 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(27,25),(27,24),(27,23),-0.0612157 # DEPENDENCYPART_TRISIBL
(27,25),(27,24),(27,22),-0.0612157 # DEPENDENCYPART_TRISIBL
(27,25),(27,24),(27,21),-0.0617981 # DEPENDENCYPART_TRISIBL
(27,25),(27,24),(27,19),-0.108447 # DEPENDENCYPART_TRISIBL
(27,25),(27,24),(27,18),-0.0751513 # DEPENDENCYPART_TRISIBL
(27,25),(27,24),(27,17),-0.108447 # DEPENDENCYPART_TRISIBL
(27,25),(27,24),(27,15),-0.0578952 # DEPENDENCYPART_TRISIBL
(27,25),(27,24),(27,14),-0.108447 # DEPENDENCYPART_TRISIBL
(27,25),(27,24),(27,12),-0.0612158 # DEPENDENCYPART_TRISIBL
(27,25),(27,24),(27,11),-0.0625332 # DEPENDENCYPART_TRISIBL
(27,25),(27,24),(27,10),-0.108448 # DEPENDENCYPART_TRISIBL
(27,25),(27,24),(27,8),-0.063826 # DEPENDENCYPART_TRISIBL
(27,25),(27,24),(27,7),-0.0525139 # DEPENDENCYPART_TRISIBL
(27,25),(27,24),(27,6),-0.0526713 # DEPENDENCYPART_TRISIBL
(27,25),(27,24),(27,5),-0.0751513 # DEPENDENCYPART_TRISIBL
(27,25),(27,24),(27,4),-0.108447 # DEPENDENCYPART_TRISIBL
(27,25),(27,24),(27,1),-0.0578952 # DEPENDENCYPART_TRISIBL
(27,25),(27,24),(27,-1),-0.057682 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(27,25),(27,23),(27,22),-0.0459968 # DEPENDENCYPART_TRISIBL
(27,25),(27,23),(27,21),-0.0465792 # DEPENDENCYPART_TRISIBL
(27,25),(27,23),(27,19),-0.107191 # DEPENDENCYPART_TRISIBL
(27,25),(27,23),(27,18),-0.0698988 # DEPENDENCYPART_TRISIBL
(27,25),(27,23),(27,17),-0.107191 # DEPENDENCYPART_TRISIBL
(27,25),(27,23),(27,15),-0.0549111 # DEPENDENCYPART_TRISIBL
(27,25),(27,23),(27,14),-0.107191 # DEPENDENCYPART_TRISIBL
(27,25),(27,23),(27,12),-0.0459969 # DEPENDENCYPART_TRISIBL
(27,25),(27,23),(27,11),-0.0473876 # DEPENDENCYPART_TRISIBL
(27,25),(27,23),(27,10),-0.107192 # DEPENDENCYPART_TRISIBL
(27,25),(27,23),(27,8),-0.0607488 # DEPENDENCYPART_TRISIBL
(27,25),(27,23),(27,7),-0.0423779 # DEPENDENCYPART_TRISIBL
(27,25),(27,23),(27,6),-0.0422972 # DEPENDENCYPART_TRISIBL
(27,25),(27,23),(27,5),-0.0698988 # DEPENDENCYPART_TRISIBL
(27,25),(27,23),(27,4),-0.107191 # DEPENDENCYPART_TRISIBL
(27,25),(27,23),(27,1),-0.0549111 # DEPENDENCYPART_TRISIBL
(27,25),(27,23),(27,-1),-0.160911 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(27,25),(27,22),(27,21),-0.0465792 # DEPENDENCYPART_TRISIBL
(27,25),(27,22),(27,19),-0.107191 # DEPENDENCYPART_TRISIBL
(27,25),(27,22),(27,18),-0.0698988 # DEPENDENCYPART_TRISIBL
(27,25),(27,22),(27,17),-0.107191 # DEPENDENCYPART_TRISIBL
(27,25),(27,22),(27,15),-0.0549111 # DEPENDENCYPART_TRISIBL
(27,25),(27,22),(27,14),-0.107191 # DEPENDENCYPART_TRISIBL
(27,25),(27,22),(27,12),-0.0459969 # DEPENDENCYPART_TRISIBL
(27,25),(27,22),(27,11),-0.0473876 # DEPENDENCYPART_TRISIBL
(27,25),(27,22),(27,10),-0.107192 # DEPENDENCYPART_TRISIBL
(27,25),(27,22),(27,8),-0.0607488 # DEPENDENCYPART_TRISIBL
(27,25),(27,22),(27,7),-0.0423779 # DEPENDENCYPART_TRISIBL
(27,25),(27,22),(27,6),-0.0422972 # DEPENDENCYPART_TRISIBL
(27,25),(27,22),(27,5),-0.0698988 # DEPENDENCYPART_TRISIBL
(27,25),(27,22),(27,4),-0.107191 # DEPENDENCYPART_TRISIBL
(27,25),(27,22),(27,1),-0.0549111 # DEPENDENCYPART_TRISIBL
(27,25),(27,22),(27,-1),-0.160911 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(27,25),(27,21),(27,19),-0.107191 # DEPENDENCYPART_TRISIBL
(27,25),(27,21),(27,18),-0.0698988 # DEPENDENCYPART_TRISIBL
(27,25),(27,21),(27,17),-0.107191 # DEPENDENCYPART_TRISIBL
(27,25),(27,21),(27,15),-0.0549111 # DEPENDENCYPART_TRISIBL
(27,25),(27,21),(27,14),-0.107191 # DEPENDENCYPART_TRISIBL
(27,25),(27,21),(27,12),-0.0459981 # DEPENDENCYPART_TRISIBL
(27,25),(27,21),(27,11),-0.0473888 # DEPENDENCYPART_TRISIBL
(27,25),(27,21),(27,10),-0.107192 # DEPENDENCYPART_TRISIBL
(27,25),(27,21),(27,8),-0.0607488 # DEPENDENCYPART_TRISIBL
(27,25),(27,21),(27,7),-0.0423779 # DEPENDENCYPART_TRISIBL
(27,25),(27,21),(27,6),-0.0422972 # DEPENDENCYPART_TRISIBL
(27,25),(27,21),(27,5),-0.0698988 # DEPENDENCYPART_TRISIBL
(27,25),(27,21),(27,4),-0.107191 # DEPENDENCYPART_TRISIBL
(27,25),(27,21),(27,1),-0.0549111 # DEPENDENCYPART_TRISIBL
(27,25),(27,21),(27,-1),-0.160911 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(27,25),(27,19),(27,18),-0.0702262 # DEPENDENCYPART_TRISIBL
(27,25),(27,19),(27,17),-0.114473 # DEPENDENCYPART_TRISIBL
(27,25),(27,19),(27,15),-0.0400005 # DEPENDENCYPART_TRISIBL
(27,25),(27,19),(27,14),-0.114473 # DEPENDENCYPART_TRISIBL
(27,25),(27,19),(27,12),-0.0567199 # DEPENDENCYPART_TRISIBL
(27,25),(27,19),(27,11),-0.0579038 # DEPENDENCYPART_TRISIBL
(27,25),(27,19),(27,10),-0.114475 # DEPENDENCYPART_TRISIBL
(27,25),(27,19),(27,8),-0.0458062 # DEPENDENCYPART_TRISIBL
(27,25),(27,19),(27,7),-0.0448754 # DEPENDENCYPART_TRISIBL
(27,25),(27,19),(27,6),-0.0448011 # DEPENDENCYPART_TRISIBL
(27,25),(27,19),(27,5),-0.0702262 # DEPENDENCYPART_TRISIBL
(27,25),(27,19),(27,4),-0.114473 # DEPENDENCYPART_TRISIBL
(27,25),(27,19),(27,1),-0.0400005 # DEPENDENCYPART_TRISIBL
(27,25),(27,19),(27,-1),-0.127127 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(27,25),(27,18),(27,17),-0.112715 # DEPENDENCYPART_TRISIBL
(27,25),(27,18),(27,15),-0.0251007 # DEPENDENCYPART_TRISIBL
(27,25),(27,18),(27,14),-0.112715 # DEPENDENCYPART_TRISIBL
(27,25),(27,18),(27,12),-0.0306613 # DEPENDENCYPART_TRISIBL
(27,25),(27,18),(27,11),-0.0308567 # DEPENDENCYPART_TRISIBL
(27,25),(27,18),(27,10),-0.112716 # DEPENDENCYPART_TRISIBL
(27,25),(27,18),(27,8),-0.0346441 # DEPENDENCYPART_TRISIBL
(27,25),(27,18),(27,7),-0.0448354 # DEPENDENCYPART_TRISIBL
(27,25),(27,18),(27,6),-0.0447891 # DEPENDENCYPART_TRISIBL
(27,25),(27,18),(27,5),-0.0681735 # DEPENDENCYPART_TRISIBL
(27,25),(27,18),(27,4),-0.112715 # DEPENDENCYPART_TRISIBL
(27,25),(27,18),(27,1),-0.0251007 # DEPENDENCYPART_TRISIBL
(27,25),(27,18),(27,-1),-0.136286 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(27,25),(27,17),(27,15),-0.0400005 # DEPENDENCYPART_TRISIBL
(27,25),(27,17),(27,14),-0.114473 # DEPENDENCYPART_TRISIBL
(27,25),(27,17),(27,12),-0.0567199 # DEPENDENCYPART_TRISIBL
(27,25),(27,17),(27,11),-0.0579038 # DEPENDENCYPART_TRISIBL
(27,25),(27,17),(27,10),-0.114475 # DEPENDENCYPART_TRISIBL
(27,25),(27,17),(27,8),-0.0458062 # DEPENDENCYPART_TRISIBL
(27,25),(27,17),(27,7),-0.0448754 # DEPENDENCYPART_TRISIBL
(27,25),(27,17),(27,6),-0.0448011 # DEPENDENCYPART_TRISIBL
(27,25),(27,17),(27,5),-0.0702262 # DEPENDENCYPART_TRISIBL
(27,25),(27,17),(27,4),-0.114473 # DEPENDENCYPART_TRISIBL
(27,25),(27,17),(27,1),-0.0400005 # DEPENDENCYPART_TRISIBL
(27,25),(27,17),(27,-1),-0.127127 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(27,25),(27,15),(27,14),-0.108718 # DEPENDENCYPART_TRISIBL
(27,25),(27,15),(27,12),-0.0603864 # DEPENDENCYPART_TRISIBL
(27,25),(27,15),(27,11),-0.0617038 # DEPENDENCYPART_TRISIBL
(27,25),(27,15),(27,10),-0.108719 # DEPENDENCYPART_TRISIBL
(27,25),(27,15),(27,8),-0.0637251 # DEPENDENCYPART_TRISIBL
(27,25),(27,15),(27,7),-0.0516906 # DEPENDENCYPART_TRISIBL
(27,25),(27,15),(27,6),-0.0518479 # DEPENDENCYPART_TRISIBL
(27,25),(27,15),(27,5),-0.0750606 # DEPENDENCYPART_TRISIBL
(27,25),(27,15),(27,4),-0.108718 # DEPENDENCYPART_TRISIBL
(27,25),(27,15),(27,1),-0.0577942 # DEPENDENCYPART_TRISIBL
(27,25),(27,15),(27,-1),-0.071068 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(27,25),(27,14),(27,12),-0.0567199 # DEPENDENCYPART_TRISIBL
(27,25),(27,14),(27,11),-0.0579038 # DEPENDENCYPART_TRISIBL
(27,25),(27,14),(27,10),-0.114475 # DEPENDENCYPART_TRISIBL
(27,25),(27,14),(27,8),-0.0458062 # DEPENDENCYPART_TRISIBL
(27,25),(27,14),(27,7),-0.0448754 # DEPENDENCYPART_TRISIBL
(27,25),(27,14),(27,6),-0.0448011 # DEPENDENCYPART_TRISIBL
(27,25),(27,14),(27,5),-0.0702262 # DEPENDENCYPART_TRISIBL
(27,25),(27,14),(27,4),-0.114473 # DEPENDENCYPART_TRISIBL
(27,25),(27,14),(27,1),-0.0400005 # DEPENDENCYPART_TRISIBL
(27,25),(27,14),(27,-1),-0.127127 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(27,25),(27,12),(27,11),-0.0473876 # DEPENDENCYPART_TRISIBL
(27,25),(27,12),(27,10),-0.107192 # DEPENDENCYPART_TRISIBL
(27,25),(27,12),(27,8),-0.0607488 # DEPENDENCYPART_TRISIBL
(27,25),(27,12),(27,7),-0.0423779 # DEPENDENCYPART_TRISIBL
(27,25),(27,12),(27,6),-0.0422972 # DEPENDENCYPART_TRISIBL
(27,25),(27,12),(27,5),-0.0698988 # DEPENDENCYPART_TRISIBL
(27,25),(27,12),(27,4),-0.107191 # DEPENDENCYPART_TRISIBL
(27,25),(27,12),(27,1),-0.0549111 # DEPENDENCYPART_TRISIBL
(27,25),(27,12),(27,-1),-0.160911 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(27,25),(27,11),(27,10),-0.107519 # DEPENDENCYPART_TRISIBL
(27,25),(27,11),(27,8),-0.0609234 # DEPENDENCYPART_TRISIBL
(27,25),(27,11),(27,7),-0.042378 # DEPENDENCYPART_TRISIBL
(27,25),(27,11),(27,6),-0.0422974 # DEPENDENCYPART_TRISIBL
(27,25),(27,11),(27,5),-0.0698988 # DEPENDENCYPART_TRISIBL
(27,25),(27,11),(27,4),-0.107517 # DEPENDENCYPART_TRISIBL
(27,25),(27,11),(27,1),-0.0550857 # DEPENDENCYPART_TRISIBL
(27,25),(27,11),(27,-1),-0.161099 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(27,25),(27,10),(27,8),-0.0458062 # DEPENDENCYPART_TRISIBL
(27,25),(27,10),(27,7),-0.0448754 # DEPENDENCYPART_TRISIBL
(27,25),(27,10),(27,6),-0.0448011 # DEPENDENCYPART_TRISIBL
(27,25),(27,10),(27,5),-0.0702262 # DEPENDENCYPART_TRISIBL
(27,25),(27,10),(27,4),-0.114473 # DEPENDENCYPART_TRISIBL
(27,25),(27,10),(27,1),-0.0400005 # DEPENDENCYPART_TRISIBL
(27,25),(27,10),(27,-1),-0.127127 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(27,25),(27,8),(27,7),-0.052216 # DEPENDENCYPART_TRISIBL
(27,25),(27,8),(27,6),-0.0523733 # DEPENDENCYPART_TRISIBL
(27,25),(27,8),(27,5),-0.0772887 # DEPENDENCYPART_TRISIBL
(27,25),(27,8),(27,4),-0.108742 # DEPENDENCYPART_TRISIBL
(27,25),(27,8),(27,1),-0.0578486 # DEPENDENCYPART_TRISIBL
(27,25),(27,8),(27,-1),-0.0729401 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(27,25),(27,7),(27,6),-0.0259672 # DEPENDENCYPART_TRISIBL
(27,25),(27,7),(27,5),-0.0695306 # DEPENDENCYPART_TRISIBL
(27,25),(27,7),(27,4),-0.103831 # DEPENDENCYPART_TRISIBL
(27,25),(27,7),(27,1),-0.0545886 # DEPENDENCYPART_TRISIBL
(27,25),(27,7),(27,-1),-0.139821 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(27,25),(27,6),(27,5),-0.0695558 # DEPENDENCYPART_TRISIBL
(27,25),(27,6),(27,4),-0.103831 # DEPENDENCYPART_TRISIBL
(27,25),(27,6),(27,1),-0.0590117 # DEPENDENCYPART_TRISIBL
(27,25),(27,6),(27,-1),-0.140045 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(27,25),(27,5),(27,4),-0.112715 # DEPENDENCYPART_TRISIBL
(27,25),(27,5),(27,1),-0.0251007 # DEPENDENCYPART_TRISIBL
(27,25),(27,5),(27,-1),-0.136286 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(27,25),(27,4),(27,1),-0.0400005 # DEPENDENCYPART_TRISIBL
(27,25),(27,4),(27,-1),-0.127127 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(27,25),(27,1),(27,-1),-0.071068 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(27,24),(27,23),(27,22),-0.101845 # DEPENDENCYPART_TRISIBL
(27,24),(27,23),(27,21),-0.10201 # DEPENDENCYPART_TRISIBL
(27,24),(27,23),(27,19),-0.132416 # DEPENDENCYPART_TRISIBL
(27,24),(27,23),(27,18),-0.114929 # DEPENDENCYPART_TRISIBL
(27,24),(27,23),(27,17),-0.132416 # DEPENDENCYPART_TRISIBL
(27,24),(27,23),(27,15),-0.108359 # DEPENDENCYPART_TRISIBL
(27,24),(27,23),(27,14),-0.132416 # DEPENDENCYPART_TRISIBL
(27,24),(27,23),(27,12),-0.101845 # DEPENDENCYPART_TRISIBL
(27,24),(27,23),(27,11),-0.100549 # DEPENDENCYPART_TRISIBL
(27,24),(27,23),(27,10),-0.132459 # DEPENDENCYPART_TRISIBL
(27,24),(27,23),(27,8),-0.104693 # DEPENDENCYPART_TRISIBL
(27,24),(27,23),(27,7),-0.0689236 # DEPENDENCYPART_TRISIBL
(27,24),(27,23),(27,6),-0.0717013 # DEPENDENCYPART_TRISIBL
(27,24),(27,23),(27,5),-0.114929 # DEPENDENCYPART_TRISIBL
(27,24),(27,23),(27,4),-0.132416 # DEPENDENCYPART_TRISIBL
(27,24),(27,23),(27,1),-0.108359 # DEPENDENCYPART_TRISIBL
(27,24),(27,23),(27,-1),-0.102108 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(27,24),(27,22),(27,21),-0.102023 # DEPENDENCYPART_TRISIBL
(27,24),(27,22),(27,19),-0.132416 # DEPENDENCYPART_TRISIBL
(27,24),(27,22),(27,18),-0.114929 # DEPENDENCYPART_TRISIBL
(27,24),(27,22),(27,17),-0.132416 # DEPENDENCYPART_TRISIBL
(27,24),(27,22),(27,15),-0.108359 # DEPENDENCYPART_TRISIBL
(27,24),(27,22),(27,14),-0.132416 # DEPENDENCYPART_TRISIBL
(27,24),(27,22),(27,12),-0.101857 # DEPENDENCYPART_TRISIBL
(27,24),(27,22),(27,11),-0.100561 # DEPENDENCYPART_TRISIBL
(27,24),(27,22),(27,10),-0.132459 # DEPENDENCYPART_TRISIBL
(27,24),(27,22),(27,8),-0.104693 # DEPENDENCYPART_TRISIBL
(27,24),(27,22),(27,7),-0.0689236 # DEPENDENCYPART_TRISIBL
(27,24),(27,22),(27,6),-0.0717013 # DEPENDENCYPART_TRISIBL
(27,24),(27,22),(27,5),-0.114929 # DEPENDENCYPART_TRISIBL
(27,24),(27,22),(27,4),-0.132416 # DEPENDENCYPART_TRISIBL
(27,24),(27,22),(27,1),-0.108359 # DEPENDENCYPART_TRISIBL
(27,24),(27,22),(27,-1),-0.102108 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(27,24),(27,21),(27,19),-0.132416 # DEPENDENCYPART_TRISIBL
(27,24),(27,21),(27,18),-0.114929 # DEPENDENCYPART_TRISIBL
(27,24),(27,21),(27,17),-0.132416 # DEPENDENCYPART_TRISIBL
(27,24),(27,21),(27,15),-0.108359 # DEPENDENCYPART_TRISIBL
(27,24),(27,21),(27,14),-0.132416 # DEPENDENCYPART_TRISIBL
(27,24),(27,21),(27,12),-0.101845 # DEPENDENCYPART_TRISIBL
(27,24),(27,21),(27,11),-0.100549 # DEPENDENCYPART_TRISIBL
(27,24),(27,21),(27,10),-0.132459 # DEPENDENCYPART_TRISIBL
(27,24),(27,21),(27,8),-0.104693 # DEPENDENCYPART_TRISIBL
(27,24),(27,21),(27,7),-0.0689426 # DEPENDENCYPART_TRISIBL
(27,24),(27,21),(27,6),-0.0717203 # DEPENDENCYPART_TRISIBL
(27,24),(27,21),(27,5),-0.114929 # DEPENDENCYPART_TRISIBL
(27,24),(27,21),(27,4),-0.132416 # DEPENDENCYPART_TRISIBL
(27,24),(27,21),(27,1),-0.108359 # DEPENDENCYPART_TRISIBL
(27,24),(27,21),(27,-1),-0.102156 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(27,24),(27,19),(27,18),-0.108189 # DEPENDENCYPART_TRISIBL
(27,24),(27,19),(27,17),-0.119939 # DEPENDENCYPART_TRISIBL
(27,24),(27,19),(27,15),-0.136624 # DEPENDENCYPART_TRISIBL
(27,24),(27,19),(27,14),-0.119939 # DEPENDENCYPART_TRISIBL
(27,24),(27,19),(27,12),-0.108602 # DEPENDENCYPART_TRISIBL
(27,24),(27,19),(27,11),-0.107491 # DEPENDENCYPART_TRISIBL
(27,24),(27,19),(27,10),-0.119988 # DEPENDENCYPART_TRISIBL
(27,24),(27,19),(27,8),-0.134925 # DEPENDENCYPART_TRISIBL
(27,24),(27,19),(27,7),-0.0861308 # DEPENDENCYPART_TRISIBL
(27,24),(27,19),(27,6),-0.0890468 # DEPENDENCYPART_TRISIBL
(27,24),(27,19),(27,5),-0.108189 # DEPENDENCYPART_TRISIBL
(27,24),(27,19),(27,4),-0.119939 # DEPENDENCYPART_TRISIBL
(27,24),(27,19),(27,1),-0.136624 # DEPENDENCYPART_TRISIBL
(27,24),(27,19),(27,-1),-0.0411324 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(27,24),(27,18),(27,17),-0.0513217 # DEPENDENCYPART_TRISIBL
(27,24),(27,18),(27,15),-0.0729862 # DEPENDENCYPART_TRISIBL
(27,24),(27,18),(27,14),-0.0513217 # DEPENDENCYPART_TRISIBL
(27,24),(27,18),(27,12),-0.143267 # DEPENDENCYPART_TRISIBL
(27,24),(27,18),(27,11),-0.14115 # DEPENDENCYPART_TRISIBL
(27,24),(27,18),(27,10),-0.0513655 # DEPENDENCYPART_TRISIBL
(27,24),(27,18),(27,8),-0.0722978 # DEPENDENCYPART_TRISIBL
(27,24),(27,18),(27,7),-0.0965967 # DEPENDENCYPART_TRISIBL
(27,24),(27,18),(27,6),-0.102176 # DEPENDENCYPART_TRISIBL
(27,24),(27,18),(27,5),-0.109814 # DEPENDENCYPART_TRISIBL
(27,24),(27,18),(27,4),-0.0513217 # DEPENDENCYPART_TRISIBL
(27,24),(27,18),(27,1),-0.0729862 # DEPENDENCYPART_TRISIBL
(27,24),(27,18),(27,-1),-0.0774969 # DEPENDENCYPART_TRISIBL_LAST_SIBS
