# _root_ It received more offers , but the auction was surprisingly won by IMA , which bid $ 28 a share and asked Mr. Gilleland to stay on as an equity participant .
#goldHeads=2,6,4,2,6,0,8,9,6,9,9,11,12,13,21,21,18,16,20,18,13,21,24,22,26,22,26,26,31,31,28,6,
#predictedHeads=2,6,4,2,6,0,8,9,6,9,9,11,12,13,21,21,18,16,20,18,13,21,24,22,26,22,26,26,31,31,28,6,
(2,9),(10,8),0.0715154 # DEPENDENCYPART_HEADBIGRAM
(2,9),(11,8),0.0519315 # DEPENDENCYPART_HEADBIGRAM
(2,9),(12,8),0.0502576 # DEPENDENCYPART_HEADBIGRAM
(2,9),(16,8),0.0575198 # DEPENDENCYPART_HEADBIGRAM
(2,9),(21,8),0.0667504 # DEPENDENCYPART_HEADBIGRAM
(2,10),(0,9),-0.0187579 # DEPENDENCYPART_HEADBIGRAM
(2,10),(2,9),0.0371396 # DEPENDENCYPART_HEADBIGRAM
(2,10),(3,9),0.0869242 # DEPENDENCYPART_HEADBIGRAM
(2,10),(4,9),0.0859521 # DEPENDENCYPART_HEADBIGRAM
(2,10),(6,9),0.112126 # DEPENDENCYPART_HEADBIGRAM
(2,10),(7,9),0.0900315 # DEPENDENCYPART_HEADBIGRAM
(2,10),(8,9),0.0846156 # DEPENDENCYPART_HEADBIGRAM
(2,10),(11,9),0.0528482 # DEPENDENCYPART_HEADBIGRAM
(2,10),(16,9),0.0528468 # DEPENDENCYPART_HEADBIGRAM
(2,10),(21,9),0.0918144 # DEPENDENCYPART_HEADBIGRAM
(2,11),(2,10),0.102977 # DEPENDENCYPART_HEADBIGRAM
(2,11),(4,10),0.0937747 # DEPENDENCYPART_HEADBIGRAM
(2,11),(6,10),0.0860722 # DEPENDENCYPART_HEADBIGRAM
(2,11),(8,10),0.0803573 # DEPENDENCYPART_HEADBIGRAM
(2,11),(9,10),0.0695752 # DEPENDENCYPART_HEADBIGRAM
(2,11),(11,10),0.0603559 # DEPENDENCYPART_HEADBIGRAM
(2,11),(12,10),0.0671715 # DEPENDENCYPART_HEADBIGRAM
(2,11),(13,10),0.0796298 # DEPENDENCYPART_HEADBIGRAM
(2,11),(16,10),0.0718507 # DEPENDENCYPART_HEADBIGRAM
(2,11),(21,10),0.068308 # DEPENDENCYPART_HEADBIGRAM
(2,12),(0,11),-0.0894679 # DEPENDENCYPART_HEADBIGRAM
(2,12),(2,11),0.00246346 # DEPENDENCYPART_HEADBIGRAM
(2,12),(4,11),0.0646479 # DEPENDENCYPART_HEADBIGRAM
(2,12),(6,11),0.038496 # DEPENDENCYPART_HEADBIGRAM
(2,12),(8,11),0.0674969 # DEPENDENCYPART_HEADBIGRAM
(2,12),(9,11),0.066426 # DEPENDENCYPART_HEADBIGRAM
(2,12),(10,11),0.0901806 # DEPENDENCYPART_HEADBIGRAM
(2,12),(12,11),0.0741816 # DEPENDENCYPART_HEADBIGRAM
(2,12),(16,11),0.062007 # DEPENDENCYPART_HEADBIGRAM
(2,12),(21,11),0.00692963 # DEPENDENCYPART_HEADBIGRAM
(2,14),(4,13),0.0262925 # DEPENDENCYPART_HEADBIGRAM
(2,14),(6,13),0.0983016 # DEPENDENCYPART_HEADBIGRAM
(2,14),(9,13),0.181757 # DEPENDENCYPART_HEADBIGRAM
(2,14),(10,13),0.0890188 # DEPENDENCYPART_HEADBIGRAM
(2,14),(11,13),0.213812 # DEPENDENCYPART_HEADBIGRAM
(2,14),(12,13),0.253166 # DEPENDENCYPART_HEADBIGRAM
(2,14),(16,13),0.0927354 # DEPENDENCYPART_HEADBIGRAM
(2,14),(21,13),0.0213987 # DEPENDENCYPART_HEADBIGRAM
(2,16),(16,15),0.0520912 # DEPENDENCYPART_HEADBIGRAM
(2,16),(20,15),0.0662161 # DEPENDENCYPART_HEADBIGRAM
(2,16),(21,15),0.0726501 # DEPENDENCYPART_HEADBIGRAM
(2,16),(22,15),0.05609 # DEPENDENCYPART_HEADBIGRAM
(2,16),(26,15),0.058829 # DEPENDENCYPART_HEADBIGRAM
(2,21),(13,20),0.0577856 # DEPENDENCYPART_HEADBIGRAM
(2,21),(16,20),0.127141 # DEPENDENCYPART_HEADBIGRAM
(2,21),(17,20),0.108801 # DEPENDENCYPART_HEADBIGRAM
(2,21),(18,20),0.101894 # DEPENDENCYPART_HEADBIGRAM
(2,21),(19,20),0.104225 # DEPENDENCYPART_HEADBIGRAM
(2,21),(21,20),0.045376 # DEPENDENCYPART_HEADBIGRAM
(2,21),(22,20),0.0952803 # DEPENDENCYPART_HEADBIGRAM
(2,21),(23,20),0.0378835 # DEPENDENCYPART_HEADBIGRAM
(2,21),(24,20),0.0364278 # DEPENDENCYPART_HEADBIGRAM
(2,21),(26,20),0.0922409 # DEPENDENCYPART_HEADBIGRAM
(2,32),(16,31),0.0450791 # DEPENDENCYPART_HEADBIGRAM
(2,32),(17,31),-0.000318688 # DEPENDENCYPART_HEADBIGRAM
(2,32),(21,31),0.252388 # DEPENDENCYPART_HEADBIGRAM
(2,32),(22,31),0.0414931 # DEPENDENCYPART_HEADBIGRAM
(2,32),(24,31),0.0836585 # DEPENDENCYPART_HEADBIGRAM
(2,32),(25,31),0.145114 # DEPENDENCYPART_HEADBIGRAM
(2,32),(26,31),0.0654197 # DEPENDENCYPART_HEADBIGRAM
(2,32),(28,31),0.0749639 # DEPENDENCYPART_HEADBIGRAM
(2,32),(30,31),0.109255 # DEPENDENCYPART_HEADBIGRAM
(2,32),(32,31),0.00943259 # DEPENDENCYPART_HEADBIGRAM
(3,8),(4,7),0.128802 # DEPENDENCYPART_HEADBIGRAM
(3,8),(6,7),0.0751269 # DEPENDENCYPART_HEADBIGRAM
(3,8),(8,7),0.0340147 # DEPENDENCYPART_HEADBIGRAM
(3,8),(9,7),0.0762166 # DEPENDENCYPART_HEADBIGRAM
(3,8),(21,7),0.0801149 # DEPENDENCYPART_HEADBIGRAM
(3,9),(2,8),-0.0538974 # DEPENDENCYPART_HEADBIGRAM
(3,9),(3,8),0.076172 # DEPENDENCYPART_HEADBIGRAM
(3,9),(4,8),0.0946596 # DEPENDENCYPART_HEADBIGRAM
(3,9),(6,8),0.206043 # DEPENDENCYPART_HEADBIGRAM
(3,9),(9,8),0.100945 # DEPENDENCYPART_HEADBIGRAM
(3,9),(10,8),0.0764246 # DEPENDENCYPART_HEADBIGRAM
(3,9),(11,8),0.0655969 # DEPENDENCYPART_HEADBIGRAM
(3,9),(12,8),0.0697027 # DEPENDENCYPART_HEADBIGRAM
(3,9),(16,8),0.0711852 # DEPENDENCYPART_HEADBIGRAM
(3,9),(21,8),0.0956267 # DEPENDENCYPART_HEADBIGRAM
(4,2),(2,1),-0.0826041 # DEPENDENCYPART_HEADBIGRAM
(4,2),(4,1),0.0710497 # DEPENDENCYPART_HEADBIGRAM
(4,2),(6,1),0.0811483 # DEPENDENCYPART_HEADBIGRAM
(4,2),(9,1),0.058944 # DEPENDENCYPART_HEADBIGRAM
(4,2),(16,1),0.0598105 # DEPENDENCYPART_HEADBIGRAM
(4,2),(21,1),0.0845209 # DEPENDENCYPART_HEADBIGRAM
(4,3),(0,2),-0.0800352 # DEPENDENCYPART_HEADBIGRAM
(4,3),(1,2),-0.104728 # DEPENDENCYPART_HEADBIGRAM
(4,3),(4,2),0.1042 # DEPENDENCYPART_HEADBIGRAM
(4,3),(6,2),0.17019 # DEPENDENCYPART_HEADBIGRAM
(4,3),(8,2),0.101829 # DEPENDENCYPART_HEADBIGRAM
(4,3),(9,2),0.100429 # DEPENDENCYPART_HEADBIGRAM
(4,3),(11,2),0.106728 # DEPENDENCYPART_HEADBIGRAM
(4,3),(16,2),0.0825403 # DEPENDENCYPART_HEADBIGRAM
(4,3),(21,2),0.160837 # DEPENDENCYPART_HEADBIGRAM
(4,3),(22,2),0.0806992 # DEPENDENCYPART_HEADBIGRAM
(4,5),(0,4),-0.0748023 # DEPENDENCYPART_HEADBIGRAM
(4,5),(2,4),0.0209001 # DEPENDENCYPART_HEADBIGRAM
(4,5),(6,4),0.0375734 # DEPENDENCYPART_HEADBIGRAM
(4,5),(8,4),0.0839782 # DEPENDENCYPART_HEADBIGRAM
(4,5),(9,4),0.19874 # DEPENDENCYPART_HEADBIGRAM
(4,5),(10,4),0.157937 # DEPENDENCYPART_HEADBIGRAM
(4,5),(11,4),0.238385 # DEPENDENCYPART_HEADBIGRAM
(4,5),(16,4),0.239404 # DEPENDENCYPART_HEADBIGRAM
(4,5),(21,4),0.317963 # DEPENDENCYPART_HEADBIGRAM
(4,5),(22,4),0.282222 # DEPENDENCYPART_HEADBIGRAM
(4,6),(2,5),-0.0789319 # DEPENDENCYPART_HEADBIGRAM
(4,6),(4,5),0.0501415 # DEPENDENCYPART_HEADBIGRAM
(4,6),(6,5),0.0563391 # DEPENDENCYPART_HEADBIGRAM
(4,6),(8,5),0.0628239 # DEPENDENCYPART_HEADBIGRAM
(4,6),(9,5),0.0564764 # DEPENDENCYPART_HEADBIGRAM
(4,6),(11,5),0.0584425 # DEPENDENCYPART_HEADBIGRAM
(4,6),(16,5),0.0599034 # DEPENDENCYPART_HEADBIGRAM
(4,6),(21,5),0.0594178 # DEPENDENCYPART_HEADBIGRAM
(4,7),(0,6),0.00863912 # DEPENDENCYPART_HEADBIGRAM
(4,7),(2,6),-0.0493997 # DEPENDENCYPART_HEADBIGRAM
(4,7),(4,6),0.0812576 # DEPENDENCYPART_HEADBIGRAM
(4,7),(8,6),0.0729584 # DEPENDENCYPART_HEADBIGRAM
(4,7),(9,6),0.105188 # DEPENDENCYPART_HEADBIGRAM
(4,7),(10,6),0.0809034 # DEPENDENCYPART_HEADBIGRAM
(4,7),(11,6),0.0974658 # DEPENDENCYPART_HEADBIGRAM
(4,7),(16,6),0.102242 # DEPENDENCYPART_HEADBIGRAM
(4,7),(21,6),0.0455466 # DEPENDENCYPART_HEADBIGRAM
(4,7),(22,6),0.100848 # DEPENDENCYPART_HEADBIGRAM
(4,8),(4,7),0.0758703 # DEPENDENCYPART_HEADBIGRAM
(4,8),(6,7),0.0733216 # DEPENDENCYPART_HEADBIGRAM
(4,8),(8,7),0.0409082 # DEPENDENCYPART_HEADBIGRAM
(4,8),(9,7),0.077953 # DEPENDENCYPART_HEADBIGRAM
(4,8),(21,7),0.0947129 # DEPENDENCYPART_HEADBIGRAM
(4,9),(2,8),-0.0963723 # DEPENDENCYPART_HEADBIGRAM
(4,9),(3,8),-0.046771 # DEPENDENCYPART_HEADBIGRAM
(4,9),(4,8),0.0939416 # DEPENDENCYPART_HEADBIGRAM
(4,9),(6,8),0.180777 # DEPENDENCYPART_HEADBIGRAM
(4,9),(9,8),0.355346 # DEPENDENCYPART_HEADBIGRAM
(4,9),(10,8),0.0769875 # DEPENDENCYPART_HEADBIGRAM
(4,9),(11,8),0.0400047 # DEPENDENCYPART_HEADBIGRAM
(4,9),(12,8),0.0793819 # DEPENDENCYPART_HEADBIGRAM
(4,9),(16,8),0.0380491 # DEPENDENCYPART_HEADBIGRAM
(4,9),(21,8),0.0872555 # DEPENDENCYPART_HEADBIGRAM
(4,10),(0,9),-0.0813822 # DEPENDENCYPART_HEADBIGRAM
(4,10),(2,9),-0.054612 # DEPENDENCYPART_HEADBIGRAM
(4,10),(3,9),-0.061553 # DEPENDENCYPART_HEADBIGRAM
(4,10),(4,9),0.0873415 # DEPENDENCYPART_HEADBIGRAM
(4,10),(6,9),0.109353 # DEPENDENCYPART_HEADBIGRAM
(4,10),(7,9),0.0903164 # DEPENDENCYPART_HEADBIGRAM
(4,10),(8,9),0.099928 # DEPENDENCYPART_HEADBIGRAM
(4,10),(11,9),0.0840678 # DEPENDENCYPART_HEADBIGRAM
(4,10),(16,9),0.0841251 # DEPENDENCYPART_HEADBIGRAM
(4,10),(21,9),0.114993 # DEPENDENCYPART_HEADBIGRAM
(4,11),(2,10),-0.0614201 # DEPENDENCYPART_HEADBIGRAM
(4,11),(4,10),0.02864 # DEPENDENCYPART_HEADBIGRAM
(4,11),(6,10),0.096887 # DEPENDENCYPART_HEADBIGRAM
(4,11),(8,10),0.0682661 # DEPENDENCYPART_HEADBIGRAM
(4,11),(9,10),0.0548433 # DEPENDENCYPART_HEADBIGRAM
(4,11),(11,10),0.0850133 # DEPENDENCYPART_HEADBIGRAM
(4,11),(12,10),0.0832383 # DEPENDENCYPART_HEADBIGRAM
(4,11),(13,10),0.0740047 # DEPENDENCYPART_HEADBIGRAM
(4,11),(16,10),0.060974 # DEPENDENCYPART_HEADBIGRAM
(4,11),(21,10),0.0748113 # DEPENDENCYPART_HEADBIGRAM
(4,13),(2,12),-0.0699631 # DEPENDENCYPART_HEADBIGRAM
(4,13),(6,12),0.111309 # DEPENDENCYPART_HEADBIGRAM
(4,13),(8,12),0.168198 # DEPENDENCYPART_HEADBIGRAM
(4,13),(9,12),0.0630098 # DEPENDENCYPART_HEADBIGRAM
(4,13),(10,12),0.0900909 # DEPENDENCYPART_HEADBIGRAM
(4,13),(11,12),0.0675647 # DEPENDENCYPART_HEADBIGRAM
(4,13),(13,12),0.127918 # DEPENDENCYPART_HEADBIGRAM
(4,13),(16,12),0.0657843 # DEPENDENCYPART_HEADBIGRAM
(4,13),(17,12),0.0739293 # DEPENDENCYPART_HEADBIGRAM
(4,13),(21,12),0.122803 # DEPENDENCYPART_HEADBIGRAM
(4,14),(4,13),0.128582 # DEPENDENCYPART_HEADBIGRAM
(4,14),(6,13),0.10474 # DEPENDENCYPART_HEADBIGRAM
(4,14),(9,13),0.0348738 # DEPENDENCYPART_HEADBIGRAM
(4,14),(10,13),0.0815035 # DEPENDENCYPART_HEADBIGRAM
(4,14),(11,13),0.0914041 # DEPENDENCYPART_HEADBIGRAM
(4,14),(12,13),0.113897 # DEPENDENCYPART_HEADBIGRAM
(4,14),(16,13),0.0324549 # DEPENDENCYPART_HEADBIGRAM
(4,14),(21,13),0.0669198 # DEPENDENCYPART_HEADBIGRAM
(4,16),(16,15),0.30024 # DEPENDENCYPART_HEADBIGRAM
(4,16),(20,15),0.0739085 # DEPENDENCYPART_HEADBIGRAM
(4,16),(21,15),0.0771431 # DEPENDENCYPART_HEADBIGRAM
(4,16),(22,15),0.0752733 # DEPENDENCYPART_HEADBIGRAM
(4,16),(26,15),0.0780123 # DEPENDENCYPART_HEADBIGRAM
(4,21),(13,20),0.0771993 # DEPENDENCYPART_HEADBIGRAM
(4,21),(16,20),0.0887859 # DEPENDENCYPART_HEADBIGRAM
(4,21),(17,20),0.103444 # DEPENDENCYPART_HEADBIGRAM
(4,21),(18,20),0.106355 # DEPENDENCYPART_HEADBIGRAM
(4,21),(19,20),0.106402 # DEPENDENCYPART_HEADBIGRAM
(4,21),(21,20),0.0131329 # DEPENDENCYPART_HEADBIGRAM
(4,21),(22,20),0.0569577 # DEPENDENCYPART_HEADBIGRAM
(4,21),(23,20),0.0512067 # DEPENDENCYPART_HEADBIGRAM
(4,21),(24,20),0.0508332 # DEPENDENCYPART_HEADBIGRAM
(4,21),(26,20),0.053047 # DEPENDENCYPART_HEADBIGRAM
(6,2),(2,1),-0.0406809 # DEPENDENCYPART_HEADBIGRAM
(6,2),(4,1),-0.115804 # DEPENDENCYPART_HEADBIGRAM
(6,2),(6,1),0.267428 # DEPENDENCYPART_HEADBIGRAM
(6,2),(9,1),0.0671987 # DEPENDENCYPART_HEADBIGRAM
(6,2),(16,1),0.0677501 # DEPENDENCYPART_HEADBIGRAM
(6,2),(21,1),0.0993797 # DEPENDENCYPART_HEADBIGRAM
(6,3),(0,2),-0.113729 # DEPENDENCYPART_HEADBIGRAM
(6,3),(1,2),-0.112271 # DEPENDENCYPART_HEADBIGRAM
(6,3),(4,2),-0.114336 # DEPENDENCYPART_HEADBIGRAM
(6,3),(6,2),0.0597397 # DEPENDENCYPART_HEADBIGRAM
(6,3),(8,2),0.0813828 # DEPENDENCYPART_HEADBIGRAM
(6,3),(9,2),0.0778952 # DEPENDENCYPART_HEADBIGRAM
(6,3),(11,2),0.0821456 # DEPENDENCYPART_HEADBIGRAM
(6,3),(16,2),0.0745136 # DEPENDENCYPART_HEADBIGRAM
(6,3),(21,2),0.143763 # DEPENDENCYPART_HEADBIGRAM
(6,3),(22,2),0.0745136 # DEPENDENCYPART_HEADBIGRAM
(6,4),(2,3),-0.19015 # DEPENDENCYPART_HEADBIGRAM
(6,4),(4,3),-0.0946565 # DEPENDENCYPART_HEADBIGRAM
(6,4),(6,3),0.0623764 # DEPENDENCYPART_HEADBIGRAM
(6,4),(8,3),0.116277 # DEPENDENCYPART_HEADBIGRAM
(6,5),(0,4),-0.0542695 # DEPENDENCYPART_HEADBIGRAM
(6,5),(2,4),-0.00542016 # DEPENDENCYPART_HEADBIGRAM
(6,5),(6,4),0.0606444 # DEPENDENCYPART_HEADBIGRAM
(6,5),(8,4),0.111495 # DEPENDENCYPART_HEADBIGRAM
(6,5),(9,4),0.103515 # DEPENDENCYPART_HEADBIGRAM
(6,5),(10,4),0.0960837 # DEPENDENCYPART_HEADBIGRAM
(6,5),(11,4),0.0981368 # DEPENDENCYPART_HEADBIGRAM
(6,5),(16,4),0.0810813 # DEPENDENCYPART_HEADBIGRAM
(6,5),(21,4),0.0375791 # DEPENDENCYPART_HEADBIGRAM
(6,5),(22,4),0.075833 # DEPENDENCYPART_HEADBIGRAM
(6,7),(0,6),-0.117617 # DEPENDENCYPART_HEADBIGRAM
(6,7),(2,6),-0.0866271 # DEPENDENCYPART_HEADBIGRAM
(6,7),(4,6),-0.0499336 # DEPENDENCYPART_HEADBIGRAM
(6,7),(8,6),0.103682 # DEPENDENCYPART_HEADBIGRAM
(6,7),(9,6),0.0567929 # DEPENDENCYPART_HEADBIGRAM
(6,7),(10,6),0.0752968 # DEPENDENCYPART_HEADBIGRAM
(6,7),(11,6),0.0585406 # DEPENDENCYPART_HEADBIGRAM
(6,7),(16,6),0.0556331 # DEPENDENCYPART_HEADBIGRAM
(6,7),(21,6),0.0782511 # DEPENDENCYPART_HEADBIGRAM
(6,7),(22,6),0.0655517 # DEPENDENCYPART_HEADBIGRAM
(6,8),(4,7),-0.105955 # DEPENDENCYPART_HEADBIGRAM
(6,8),(6,7),0.11492 # DEPENDENCYPART_HEADBIGRAM
(6,8),(8,7),0.186422 # DEPENDENCYPART_HEADBIGRAM
(6,8),(9,7),0.0764697 # DEPENDENCYPART_HEADBIGRAM
(6,8),(21,7),0.0846438 # DEPENDENCYPART_HEADBIGRAM
(6,9),(2,8),-0.103679 # DEPENDENCYPART_HEADBIGRAM
(6,9),(3,8),-0.0471985 # DEPENDENCYPART_HEADBIGRAM
(6,9),(4,8),-0.0399452 # DEPENDENCYPART_HEADBIGRAM
(6,9),(6,8),0.174272 # DEPENDENCYPART_HEADBIGRAM
(6,9),(9,8),0.277409 # DEPENDENCYPART_HEADBIGRAM
(6,9),(10,8),0.082589 # DEPENDENCYPART_HEADBIGRAM
(6,9),(11,8),0.0331207 # DEPENDENCYPART_HEADBIGRAM
(6,9),(12,8),0.0764552 # DEPENDENCYPART_HEADBIGRAM
(6,9),(16,8),0.0311614 # DEPENDENCYPART_HEADBIGRAM
(6,9),(21,8),0.117788 # DEPENDENCYPART_HEADBIGRAM
(6,10),(0,9),-0.0636234 # DEPENDENCYPART_HEADBIGRAM
(6,10),(2,9),-0.0723153 # DEPENDENCYPART_HEADBIGRAM
(6,10),(3,9),-0.05877 # DEPENDENCYPART_HEADBIGRAM
(6,10),(4,9),-0.0622519 # DEPENDENCYPART_HEADBIGRAM
(6,10),(6,9),0.0589684 # DEPENDENCYPART_HEADBIGRAM
(6,10),(7,9),0.0906046 # DEPENDENCYPART_HEADBIGRAM
(6,10),(8,9),0.0862911 # DEPENDENCYPART_HEADBIGRAM
(6,10),(11,9),0.0663622 # DEPENDENCYPART_HEADBIGRAM
(6,10),(16,9),0.0666451 # DEPENDENCYPART_HEADBIGRAM
(6,10),(21,9),0.0886574 # DEPENDENCYPART_HEADBIGRAM
(6,11),(2,10),-0.0885571 # DEPENDENCYPART_HEADBIGRAM
(6,11),(4,10),-0.0393337 # DEPENDENCYPART_HEADBIGRAM
(6,11),(6,10),0.109639 # DEPENDENCYPART_HEADBIGRAM
(6,11),(8,10),0.148325 # DEPENDENCYPART_HEADBIGRAM
(6,11),(9,10),0.110278 # DEPENDENCYPART_HEADBIGRAM
(6,11),(11,10),0.110826 # DEPENDENCYPART_HEADBIGRAM
(6,11),(12,10),0.0722288 # DEPENDENCYPART_HEADBIGRAM
(6,11),(13,10),0.0987767 # DEPENDENCYPART_HEADBIGRAM
(6,11),(16,10),0.0519299 # DEPENDENCYPART_HEADBIGRAM
(6,11),(21,10),0.083799 # DEPENDENCYPART_HEADBIGRAM
(6,12),(0,11),-0.051907 # DEPENDENCYPART_HEADBIGRAM
(6,12),(2,11),-0.0141189 # DEPENDENCYPART_HEADBIGRAM
(6,12),(4,11),-0.0474567 # DEPENDENCYPART_HEADBIGRAM
(6,12),(6,11),0.0573616 # DEPENDENCYPART_HEADBIGRAM
(6,12),(8,11),0.107246 # DEPENDENCYPART_HEADBIGRAM
(6,12),(9,11),0.148905 # DEPENDENCYPART_HEADBIGRAM
(6,12),(10,11),0.0877965 # DEPENDENCYPART_HEADBIGRAM
(6,12),(12,11),0.0771901 # DEPENDENCYPART_HEADBIGRAM
(6,12),(16,11),0.115234 # DEPENDENCYPART_HEADBIGRAM
(6,12),(21,11),0.051275 # DEPENDENCYPART_HEADBIGRAM
(6,13),(2,12),-0.0686003 # DEPENDENCYPART_HEADBIGRAM
(6,13),(6,12),0.104425 # DEPENDENCYPART_HEADBIGRAM
(6,13),(8,12),0.102599 # DEPENDENCYPART_HEADBIGRAM
(6,13),(9,12),0.0842004 # DEPENDENCYPART_HEADBIGRAM
(6,13),(10,12),0.0661124 # DEPENDENCYPART_HEADBIGRAM
(6,13),(11,12),0.0834825 # DEPENDENCYPART_HEADBIGRAM
(6,13),(13,12),0.0885934 # DEPENDENCYPART_HEADBIGRAM
(6,13),(16,12),0.076341 # DEPENDENCYPART_HEADBIGRAM
(6,13),(17,12),0.088201 # DEPENDENCYPART_HEADBIGRAM
(6,13),(21,12),0.0916732 # DEPENDENCYPART_HEADBIGRAM
(6,14),(4,13),-0.0489267 # DEPENDENCYPART_HEADBIGRAM
(6,14),(6,13),0.104104 # DEPENDENCYPART_HEADBIGRAM
(6,14),(9,13),0.101079 # DEPENDENCYPART_HEADBIGRAM
(6,14),(10,13),0.0889413 # DEPENDENCYPART_HEADBIGRAM
(6,14),(11,13),0.133408 # DEPENDENCYPART_HEADBIGRAM
(6,14),(12,13),0.0898248 # DEPENDENCYPART_HEADBIGRAM
(6,14),(16,13),0.0791748 # DEPENDENCYPART_HEADBIGRAM
(6,14),(21,13),0.0463249 # DEPENDENCYPART_HEADBIGRAM
(6,16),(16,15),0.0816486 # DEPENDENCYPART_HEADBIGRAM
(6,16),(20,15),0.0755857 # DEPENDENCYPART_HEADBIGRAM
(6,16),(21,15),0.0712491 # DEPENDENCYPART_HEADBIGRAM
(6,16),(22,15),0.0786833 # DEPENDENCYPART_HEADBIGRAM
(6,16),(26,15),0.0817753 # DEPENDENCYPART_HEADBIGRAM
(6,21),(13,20),0.0792104 # DEPENDENCYPART_HEADBIGRAM
(6,21),(16,20),0.12398 # DEPENDENCYPART_HEADBIGRAM
(6,21),(17,20),0.105034 # DEPENDENCYPART_HEADBIGRAM
(6,21),(18,20),0.106911 # DEPENDENCYPART_HEADBIGRAM
(6,21),(19,20),0.106178 # DEPENDENCYPART_HEADBIGRAM
(6,21),(21,20),0.0677967 # DEPENDENCYPART_HEADBIGRAM
(6,21),(22,20),0.0920777 # DEPENDENCYPART_HEADBIGRAM
(6,21),(23,20),0.0583617 # DEPENDENCYPART_HEADBIGRAM
(6,21),(24,20),0.0583596 # DEPENDENCYPART_HEADBIGRAM
(6,21),(26,20),0.088046 # DEPENDENCYPART_HEADBIGRAM
(6,22),(0,21),-0.0415651 # DEPENDENCYPART_HEADBIGRAM
(6,22),(2,21),-0.0875058 # DEPENDENCYPART_HEADBIGRAM
(6,22),(4,21),-0.0643823 # DEPENDENCYPART_HEADBIGRAM
(6,22),(6,21),0.10218 # DEPENDENCYPART_HEADBIGRAM
(6,22),(9,21),0.061128 # DEPENDENCYPART_HEADBIGRAM
(6,22),(11,21),0.0572754 # DEPENDENCYPART_HEADBIGRAM
(6,22),(12,21),0.0660092 # DEPENDENCYPART_HEADBIGRAM
(6,22),(13,21),0.080281 # DEPENDENCYPART_HEADBIGRAM
(6,22),(16,21),0.0550236 # DEPENDENCYPART_HEADBIGRAM
(6,22),(18,21),0.085554 # DEPENDENCYPART_HEADBIGRAM
(6,32),(16,31),0.195033 # DEPENDENCYPART_HEADBIGRAM
(6,32),(17,31),0.129058 # DEPENDENCYPART_HEADBIGRAM
(6,32),(21,31),0.180174 # DEPENDENCYPART_HEADBIGRAM
(6,32),(22,31),0.191093 # DEPENDENCYPART_HEADBIGRAM
(6,32),(24,31),0.00387807 # DEPENDENCYPART_HEADBIGRAM
(6,32),(25,31),0.114217 # DEPENDENCYPART_HEADBIGRAM
(6,32),(26,31),0.195487 # DEPENDENCYPART_HEADBIGRAM
(6,32),(28,31),-0.00711072 # DEPENDENCYPART_HEADBIGRAM
(6,32),(30,31),0.0446475 # DEPENDENCYPART_HEADBIGRAM
(6,32),(32,31),0.0536864 # DEPENDENCYPART_HEADBIGRAM
(7,9),(2,8),-0.0604582 # DEPENDENCYPART_HEADBIGRAM
(7,9),(3,8),-0.0627532 # DEPENDENCYPART_HEADBIGRAM
(7,9),(4,8),-0.0631268 # DEPENDENCYPART_HEADBIGRAM
(7,9),(6,8),-0.0590578 # DEPENDENCYPART_HEADBIGRAM
(7,9),(9,8),0.0695283 # DEPENDENCYPART_HEADBIGRAM
(7,9),(10,8),0.0801679 # DEPENDENCYPART_HEADBIGRAM
(7,9),(11,8),0.0765996 # DEPENDENCYPART_HEADBIGRAM
(7,9),(12,8),0.0790964 # DEPENDENCYPART_HEADBIGRAM
(7,9),(16,8),0.0789635 # DEPENDENCYPART_HEADBIGRAM
(7,9),(21,8),0.0809649 # DEPENDENCYPART_HEADBIGRAM
(8,2),(2,1),-0.108238 # DEPENDENCYPART_HEADBIGRAM
(8,2),(4,1),-0.114142 # DEPENDENCYPART_HEADBIGRAM
(8,2),(6,1),-0.110245 # DEPENDENCYPART_HEADBIGRAM
(8,2),(9,1),0.0601437 # DEPENDENCYPART_HEADBIGRAM
(8,2),(16,1),0.0597296 # DEPENDENCYPART_HEADBIGRAM
(8,2),(21,1),0.08444 # DEPENDENCYPART_HEADBIGRAM
(8,3),(0,2),-0.0878723 # DEPENDENCYPART_HEADBIGRAM
(8,3),(1,2),-0.112735 # DEPENDENCYPART_HEADBIGRAM
(8,3),(4,2),-0.119313 # DEPENDENCYPART_HEADBIGRAM
(8,3),(6,2),-0.058999 # DEPENDENCYPART_HEADBIGRAM
(8,3),(8,2),0.097209 # DEPENDENCYPART_HEADBIGRAM
(8,3),(9,2),0.0730263 # DEPENDENCYPART_HEADBIGRAM
(8,3),(11,2),0.0793248 # DEPENDENCYPART_HEADBIGRAM
(8,3),(16,2),0.0745582 # DEPENDENCYPART_HEADBIGRAM
(8,3),(21,2),0.152868 # DEPENDENCYPART_HEADBIGRAM
(8,3),(22,2),0.072717 # DEPENDENCYPART_HEADBIGRAM
(8,4),(2,3),-0.176464 # DEPENDENCYPART_HEADBIGRAM
(8,4),(4,3),-0.0978172 # DEPENDENCYPART_HEADBIGRAM
(8,4),(6,3),-0.108236 # DEPENDENCYPART_HEADBIGRAM
(8,4),(8,3),0.0245044 # DEPENDENCYPART_HEADBIGRAM
(8,5),(0,4),-0.163008 # DEPENDENCYPART_HEADBIGRAM
