# _root_ Under the Racketeer Influenced and Corrupt Organizations law , or RICO , the government has the authority to seek to freeze or seize a defendant 's assets before trial .
#goldHeads=15,8,8,5,8,5,8,10,10,1,10,10,14,15,0,17,15,19,17,22,22,19,22,25,27,25,22,19,28,15,
#predictedHeads=15,8,8,5,8,5,8,10,10,1,10,15,14,15,0,17,15,19,17,22,22,19,22,25,27,25,23,23,28,15,
(21,21),(21,18),(21,14),-0.0456271 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(21,21),(21,18),(21,12),-0.123099 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(21,21),(21,18),(21,11),-0.0560617 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(21,21),(21,18),(21,8),-0.0630045 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(21,21),(21,18),(21,-1),-0.0566995 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,21),(21,17),(21,15),-0.0125837 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(21,21),(21,17),(21,14),-0.0721803 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(21,21),(21,17),(21,12),0.124417 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(21,21),(21,17),(21,11),-0.0771512 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(21,21),(21,17),(21,8),-0.0867824 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(21,21),(21,17),(21,-1),0.0011995 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,21),(21,15),(21,14),0.00270338 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(21,21),(21,15),(21,12),0.0809462 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(21,21),(21,15),(21,11),0.00677408 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(21,21),(21,15),(21,8),-0.001381 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(21,21),(21,15),(21,-1),-0.0465348 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,21),(21,14),(21,12),0.128851 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(21,21),(21,14),(21,11),-0.0799193 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(21,21),(21,14),(21,8),-0.0895505 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(21,21),(21,14),(21,-1),0.0171172 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,21),(21,12),(21,11),-0.224467 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(21,21),(21,12),(21,8),-0.231528 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(21,21),(21,12),(21,-1),-0.314444 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,21),(21,11),(21,8),-0.084731 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(21,21),(21,11),(21,-1),0.00790787 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,21),(21,8),(21,-1),0.0179121 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,20),(21,19),(21,18),-0.0697957 # DEPENDENCYPART_TRISIBL
(21,20),(21,19),(21,17),-0.113932 # DEPENDENCYPART_TRISIBL
(21,20),(21,19),(21,15),-0.111196 # DEPENDENCYPART_TRISIBL
(21,20),(21,19),(21,14),-0.113932 # DEPENDENCYPART_TRISIBL
(21,20),(21,19),(21,12),-0.118197 # DEPENDENCYPART_TRISIBL
(21,20),(21,19),(21,11),-0.113932 # DEPENDENCYPART_TRISIBL
(21,20),(21,19),(21,8),-0.113932 # DEPENDENCYPART_TRISIBL
(21,20),(21,19),(21,-1),-0.02243 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,20),(21,18),(21,17),-0.110684 # DEPENDENCYPART_TRISIBL
(21,20),(21,18),(21,15),-0.100098 # DEPENDENCYPART_TRISIBL
(21,20),(21,18),(21,14),-0.110684 # DEPENDENCYPART_TRISIBL
(21,20),(21,18),(21,12),-0.115154 # DEPENDENCYPART_TRISIBL
(21,20),(21,18),(21,11),-0.110684 # DEPENDENCYPART_TRISIBL
(21,20),(21,18),(21,8),-0.110684 # DEPENDENCYPART_TRISIBL
(21,20),(21,18),(21,-1),-0.0940554 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,20),(21,17),(21,15),-0.1131 # DEPENDENCYPART_TRISIBL
(21,20),(21,17),(21,14),-0.118278 # DEPENDENCYPART_TRISIBL
(21,20),(21,17),(21,12),-0.156276 # DEPENDENCYPART_TRISIBL
(21,20),(21,17),(21,11),-0.118278 # DEPENDENCYPART_TRISIBL
(21,20),(21,17),(21,8),-0.118278 # DEPENDENCYPART_TRISIBL
(21,20),(21,17),(21,-1),-0.00360962 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,20),(21,15),(21,14),-0.113932 # DEPENDENCYPART_TRISIBL
(21,20),(21,15),(21,12),-0.118197 # DEPENDENCYPART_TRISIBL
(21,20),(21,15),(21,11),-0.113932 # DEPENDENCYPART_TRISIBL
(21,20),(21,15),(21,8),-0.113932 # DEPENDENCYPART_TRISIBL
(21,20),(21,15),(21,-1),-0.0227517 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,20),(21,14),(21,12),-0.156276 # DEPENDENCYPART_TRISIBL
(21,20),(21,14),(21,11),-0.118278 # DEPENDENCYPART_TRISIBL
(21,20),(21,14),(21,8),-0.118278 # DEPENDENCYPART_TRISIBL
(21,20),(21,14),(21,-1),0.00808595 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,20),(21,12),(21,11),-0.126291 # DEPENDENCYPART_TRISIBL
(21,20),(21,12),(21,8),-0.126291 # DEPENDENCYPART_TRISIBL
(21,20),(21,12),(21,-1),-0.119166 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,20),(21,11),(21,8),-0.118303 # DEPENDENCYPART_TRISIBL
(21,20),(21,11),(21,-1),-0.000118933 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,20),(21,8),(21,-1),-0.000116065 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,19),(21,18),(21,17),-0.0517314 # DEPENDENCYPART_TRISIBL
(21,19),(21,18),(21,15),-0.153278 # DEPENDENCYPART_TRISIBL
(21,19),(21,18),(21,14),-0.0533235 # DEPENDENCYPART_TRISIBL
(21,19),(21,18),(21,12),-0.00379466 # DEPENDENCYPART_TRISIBL
(21,19),(21,18),(21,11),-0.0517315 # DEPENDENCYPART_TRISIBL
(21,19),(21,18),(21,8),-0.0517541 # DEPENDENCYPART_TRISIBL
(21,19),(21,18),(21,-1),-0.078121 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,19),(21,17),(21,15),-0.143443 # DEPENDENCYPART_TRISIBL
(21,19),(21,17),(21,14),-0.106296 # DEPENDENCYPART_TRISIBL
(21,19),(21,17),(21,12),-0.021294 # DEPENDENCYPART_TRISIBL
(21,19),(21,17),(21,11),-0.1047 # DEPENDENCYPART_TRISIBL
(21,19),(21,17),(21,8),-0.104743 # DEPENDENCYPART_TRISIBL
(21,19),(21,17),(21,-1),-0.0635422 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,19),(21,15),(21,14),-0.0842312 # DEPENDENCYPART_TRISIBL
(21,19),(21,15),(21,12),-0.00359354 # DEPENDENCYPART_TRISIBL
(21,19),(21,15),(21,11),-0.0827586 # DEPENDENCYPART_TRISIBL
(21,19),(21,15),(21,8),-0.0827812 # DEPENDENCYPART_TRISIBL
(21,19),(21,15),(21,-1),-0.133376 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,19),(21,14),(21,12),-0.0224383 # DEPENDENCYPART_TRISIBL
(21,19),(21,14),(21,11),-0.104771 # DEPENDENCYPART_TRISIBL
(21,19),(21,14),(21,8),-0.104814 # DEPENDENCYPART_TRISIBL
(21,19),(21,14),(21,-1),-0.0654591 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,19),(21,12),(21,11),0.128415 # DEPENDENCYPART_TRISIBL
(21,19),(21,12),(21,8),0.128392 # DEPENDENCYPART_TRISIBL
(21,19),(21,12),(21,-1),-0.200183 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,19),(21,11),(21,8),-0.104739 # DEPENDENCYPART_TRISIBL
(21,19),(21,11),(21,-1),-0.0635411 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,19),(21,8),(21,-1),-0.0646963 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,18),(21,17),(21,15),-0.1131 # DEPENDENCYPART_TRISIBL
(21,18),(21,17),(21,14),-0.118278 # DEPENDENCYPART_TRISIBL
(21,18),(21,17),(21,12),-0.156276 # DEPENDENCYPART_TRISIBL
(21,18),(21,17),(21,11),-0.118278 # DEPENDENCYPART_TRISIBL
(21,18),(21,17),(21,8),-0.118278 # DEPENDENCYPART_TRISIBL
(21,18),(21,17),(21,-1),-0.00360962 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,18),(21,15),(21,14),-0.113932 # DEPENDENCYPART_TRISIBL
(21,18),(21,15),(21,12),-0.118197 # DEPENDENCYPART_TRISIBL
(21,18),(21,15),(21,11),-0.113932 # DEPENDENCYPART_TRISIBL
(21,18),(21,15),(21,8),-0.113932 # DEPENDENCYPART_TRISIBL
(21,18),(21,15),(21,-1),-0.0227517 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,18),(21,14),(21,12),-0.156276 # DEPENDENCYPART_TRISIBL
(21,18),(21,14),(21,11),-0.118278 # DEPENDENCYPART_TRISIBL
(21,18),(21,14),(21,8),-0.118278 # DEPENDENCYPART_TRISIBL
(21,18),(21,14),(21,-1),0.00808595 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,18),(21,12),(21,11),-0.126291 # DEPENDENCYPART_TRISIBL
(21,18),(21,12),(21,8),-0.126291 # DEPENDENCYPART_TRISIBL
(21,18),(21,12),(21,-1),-0.119166 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,18),(21,11),(21,8),-0.118303 # DEPENDENCYPART_TRISIBL
(21,18),(21,11),(21,-1),-0.000118933 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,18),(21,8),(21,-1),-0.000116065 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,17),(21,15),(21,14),-0.206838 # DEPENDENCYPART_TRISIBL
(21,17),(21,15),(21,12),-0.047582 # DEPENDENCYPART_TRISIBL
(21,17),(21,15),(21,11),-0.201741 # DEPENDENCYPART_TRISIBL
(21,17),(21,15),(21,8),-0.202872 # DEPENDENCYPART_TRISIBL
(21,17),(21,15),(21,-1),-0.0713689 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,17),(21,14),(21,12),-0.0318349 # DEPENDENCYPART_TRISIBL
(21,17),(21,14),(21,11),-0.224567 # DEPENDENCYPART_TRISIBL
(21,17),(21,14),(21,8),-0.227179 # DEPENDENCYPART_TRISIBL
(21,17),(21,14),(21,-1),-0.092216 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,17),(21,12),(21,11),-0.24656 # DEPENDENCYPART_TRISIBL
(21,17),(21,12),(21,8),-0.247224 # DEPENDENCYPART_TRISIBL
(21,17),(21,12),(21,-1),-0.13653 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,17),(21,11),(21,8),-0.229691 # DEPENDENCYPART_TRISIBL
(21,17),(21,11),(21,-1),-0.0884814 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,17),(21,8),(21,-1),-0.0901727 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,15),(21,14),(21,12),-0.0185828 # DEPENDENCYPART_TRISIBL
(21,15),(21,14),(21,11),-0.113164 # DEPENDENCYPART_TRISIBL
(21,15),(21,14),(21,8),-0.113207 # DEPENDENCYPART_TRISIBL
(21,15),(21,14),(21,-1),-0.0554418 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,15),(21,12),(21,11),0.118594 # DEPENDENCYPART_TRISIBL
(21,15),(21,12),(21,8),0.11857 # DEPENDENCYPART_TRISIBL
(21,15),(21,12),(21,-1),-0.200443 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,15),(21,11),(21,8),-0.113131 # DEPENDENCYPART_TRISIBL
(21,15),(21,11),(21,-1),-0.0535237 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,15),(21,8),(21,-1),-0.054679 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,14),(21,12),(21,11),-0.243723 # DEPENDENCYPART_TRISIBL
(21,14),(21,12),(21,8),-0.244386 # DEPENDENCYPART_TRISIBL
(21,14),(21,12),(21,-1),-0.12886 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,14),(21,11),(21,8),-0.222737 # DEPENDENCYPART_TRISIBL
(21,14),(21,11),(21,-1),-0.0833522 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,14),(21,8),(21,-1),-0.0850436 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,12),(21,11),(21,8),-0.135282 # DEPENDENCYPART_TRISIBL
(21,12),(21,11),(21,-1),0.0118022 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,12),(21,8),(21,-1),0.0114659 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,11),(21,8),(21,-1),-0.0980006 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,22),(22,23),(22,24),-0.11738 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,23),(22,25),0.0644997 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,23),(22,27),0.0664893 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,23),(22,28),0.00314256 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,23),(22,29),0.0627997 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,23),(22,30),0.119783 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,23),(22,31),0.00713286 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(22,22),(22,24),(22,25),-0.0571994 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,24),(22,27),-0.0547421 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,24),(22,28),-0.073103 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,24),(22,29),-0.0589926 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,24),(22,30),-0.14956 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,24),(22,31),-0.0657795 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(22,22),(22,25),(22,27),-0.109846 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,25),(22,28),-0.0455171 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,25),(22,29),-0.112863 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,25),(22,30),-0.18459 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,25),(22,31),0.00993365 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(22,22),(22,27),(22,28),-0.0369438 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,27),(22,29),-0.113396 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,27),(22,30),-0.185241 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,27),(22,31),0.017144 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(22,22),(22,28),(22,29),-0.0497516 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,28),(22,30),-0.220291 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,28),(22,31),-0.115239 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(22,22),(22,29),(22,30),-0.183414 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,29),(22,31),0.0143227 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(22,22),(22,30),(22,31),-0.132072 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(22,23),(22,24),(22,25),-0.0673985 # DEPENDENCYPART_TRISIBL
(22,23),(22,24),(22,27),-0.0674998 # DEPENDENCYPART_TRISIBL
(22,23),(22,24),(22,28),-0.0243619 # DEPENDENCYPART_TRISIBL
(22,23),(22,24),(22,29),-0.0673986 # DEPENDENCYPART_TRISIBL
(22,23),(22,24),(22,30),-0.0164338 # DEPENDENCYPART_TRISIBL
(22,23),(22,24),(22,31),-0.0783846 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,23),(22,25),(22,27),-0.0911425 # DEPENDENCYPART_TRISIBL
(22,23),(22,25),(22,28),0.0253436 # DEPENDENCYPART_TRISIBL
(22,23),(22,25),(22,29),-0.0910412 # DEPENDENCYPART_TRISIBL
(22,23),(22,25),(22,30),0.0749321 # DEPENDENCYPART_TRISIBL
(22,23),(22,25),(22,31),-0.0689004 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,23),(22,27),(22,28),0.0246838 # DEPENDENCYPART_TRISIBL
(22,23),(22,27),(22,29),-0.091046 # DEPENDENCYPART_TRISIBL
(22,23),(22,27),(22,30),0.0748414 # DEPENDENCYPART_TRISIBL
(22,23),(22,27),(22,31),-0.0689262 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,23),(22,28),(22,29),-0.0737232 # DEPENDENCYPART_TRISIBL
(22,23),(22,28),(22,30),0.0919951 # DEPENDENCYPART_TRISIBL
(22,23),(22,28),(22,31),-0.0197244 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,23),(22,29),(22,30),0.0749321 # DEPENDENCYPART_TRISIBL
(22,23),(22,29),(22,31),-0.0689002 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,23),(22,30),(22,31),0.0778064 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,24),(22,25),(22,27),-0.0823357 # DEPENDENCYPART_TRISIBL
(22,24),(22,25),(22,28),-0.0601791 # DEPENDENCYPART_TRISIBL
(22,24),(22,25),(22,29),-0.0823357 # DEPENDENCYPART_TRISIBL
(22,24),(22,25),(22,30),-0.0606754 # DEPENDENCYPART_TRISIBL
(22,24),(22,25),(22,31),-0.0460073 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,24),(22,27),(22,28),-0.0601791 # DEPENDENCYPART_TRISIBL
(22,24),(22,27),(22,29),-0.0823357 # DEPENDENCYPART_TRISIBL
(22,24),(22,27),(22,30),-0.0606773 # DEPENDENCYPART_TRISIBL
(22,24),(22,27),(22,31),-0.0460086 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,24),(22,28),(22,29),-0.0797237 # DEPENDENCYPART_TRISIBL
(22,24),(22,28),(22,30),-0.0690218 # DEPENDENCYPART_TRISIBL
(22,24),(22,28),(22,31),-0.056274 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,24),(22,29),(22,30),-0.060689 # DEPENDENCYPART_TRISIBL
(22,24),(22,29),(22,31),-0.0460849 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,24),(22,30),(22,31),-0.128794 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,25),(22,27),(22,28),-0.0298262 # DEPENDENCYPART_TRISIBL
(22,25),(22,27),(22,29),-0.113101 # DEPENDENCYPART_TRISIBL
(22,25),(22,27),(22,30),-0.134522 # DEPENDENCYPART_TRISIBL
(22,25),(22,27),(22,31),-0.073946 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,25),(22,28),(22,29),-0.134403 # DEPENDENCYPART_TRISIBL
(22,25),(22,28),(22,30),-0.12418 # DEPENDENCYPART_TRISIBL
(22,25),(22,28),(22,31),-0.0394082 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,25),(22,29),(22,30),-0.134522 # DEPENDENCYPART_TRISIBL
(22,25),(22,29),(22,31),-0.0731659 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,25),(22,30),(22,31),-0.138361 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,27),(22,28),(22,29),-0.133695 # DEPENDENCYPART_TRISIBL
(22,27),(22,28),(22,30),-0.124325 # DEPENDENCYPART_TRISIBL
(22,27),(22,28),(22,31),-0.0295457 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,27),(22,29),(22,30),-0.134668 # DEPENDENCYPART_TRISIBL
(22,27),(22,29),(22,31),-0.069417 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,27),(22,30),(22,31),-0.134813 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,28),(22,29),(22,30),-0.0289049 # DEPENDENCYPART_TRISIBL
(22,28),(22,29),(22,31),-0.0490862 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,28),(22,30),(22,31),-0.131478 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,29),(22,30),(22,31),-0.137085 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,22),(22,21),(22,20),0.141457 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,21),(22,19),-0.176061 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,21),(22,18),0.141457 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,21),(22,17),0.180215 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,21),(22,16),-0.0507715 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,21),(22,15),-0.159924 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,21),(22,14),0.170433 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,21),(22,13),-0.0507715 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,21),(22,12),0.0671363 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,21),(22,11),0.183835 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,21),(22,10),0.0163368 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,21),(22,9),0.0671363 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,21),(22,8),0.173183 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,21),(22,7),0.183817 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,21),(22,6),0.180552 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,21),(22,5),0.0541376 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,21),(22,4),0.183849 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,21),(22,3),0.183704 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,21),(22,2),-0.0507715 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,21),(22,1),0.038991 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,21),(22,-1),0.0578624 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,22),(22,20),(22,19),-0.113517 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,20),(22,18),-0.0966087 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,20),(22,17),-0.136546 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,20),(22,16),-0.0803755 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,20),(22,15),-0.101166 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,20),(22,14),-0.129416 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,20),(22,13),-0.0803755 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,20),(22,12),-0.0426371 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,20),(22,11),-0.130519 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,20),(22,10),-0.0734297 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,20),(22,9),-0.0426371 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,20),(22,8),-0.139958 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,20),(22,7),-0.130534 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,20),(22,6),-0.133804 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,20),(22,5),-0.0332278 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,20),(22,4),-0.130506 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,20),(22,3),-0.130651 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,20),(22,2),-0.0803755 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,20),(22,1),-0.116856 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,20),(22,-1),-0.0274045 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,22),(22,19),(22,18),0.140873 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,19),(22,17),0.180106 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,19),(22,16),-0.0507822 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,19),(22,15),-0.159924 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,19),(22,14),0.170324 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,19),(22,13),-0.0507822 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,19),(22,12),0.0671362 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,19),(22,11),0.183727 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,19),(22,10),0.0163367 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,19),(22,9),0.0671362 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,19),(22,8),0.173075 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,19),(22,7),0.183708 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,19),(22,6),0.180443 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,19),(22,5),0.0541375 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,19),(22,4),0.183741 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,19),(22,3),0.183596 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,19),(22,2),-0.0507822 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,19),(22,1),0.039393 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,19),(22,-1),0.0552983 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,22),(22,18),(22,17),-0.136546 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,18),(22,16),-0.0803755 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,18),(22,15),-0.101166 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,18),(22,14),-0.129416 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,18),(22,13),-0.0803755 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,18),(22,12),-0.0426371 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,18),(22,11),-0.130519 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,18),(22,10),-0.0734297 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
