# _root_ In a statement prepared by lawyers for the university and Connaught , the parties said they agreed that as a result of reaching a C 415 million research accord , `` It is unnecessary that there be a judgment on the merits { of the case } at this time . ''
#goldHeads=15,3,1,3,4,5,4,9,10,7,10,15,14,15,0,17,15,33,33,21,19,21,22,29,29,25,25,29,23,33,33,33,17,33,37,37,33,39,37,39,42,40,42,42,46,44,42,37,50,48,15,15,
#predictedHeads=15,3,1,3,4,5,6,10,10,7,10,15,14,15,0,17,15,33,17,21,19,21,22,29,29,25,25,29,23,17,33,33,17,33,37,37,33,39,37,39,42,40,44,42,46,44,44,37,50,48,15,15,
(29,39),(29,40),(29,50),-0.0780615 # DEPENDENCYPART_TRISIBL
(29,39),(29,40),(29,53),-0.136542 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(29,39),(29,42),(29,46),-0.0635305 # DEPENDENCYPART_TRISIBL
(29,39),(29,42),(29,50),-0.059163 # DEPENDENCYPART_TRISIBL
(29,39),(29,42),(29,53),-0.131665 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(29,39),(29,46),(29,50),-0.0591631 # DEPENDENCYPART_TRISIBL
(29,39),(29,46),(29,53),-0.131739 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(29,39),(29,50),(29,53),-0.129373 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(29,40),(29,42),(29,46),-0.0656417 # DEPENDENCYPART_TRISIBL
(29,40),(29,42),(29,50),-0.0696535 # DEPENDENCYPART_TRISIBL
(29,40),(29,42),(29,53),-0.070942 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(29,40),(29,46),(29,50),-0.0698073 # DEPENDENCYPART_TRISIBL
(29,40),(29,46),(29,53),-0.0714144 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(29,40),(29,50),(29,53),-0.0675986 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(29,42),(29,46),(29,50),-0.059163 # DEPENDENCYPART_TRISIBL
(29,42),(29,46),(29,53),-0.128733 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(29,42),(29,50),(29,53),-0.126366 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(29,46),(29,50),(29,53),-0.114959 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(29,29),(29,28),(29,27),-0.128034 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(29,29),(29,28),(29,26),-0.128337 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(29,29),(29,28),(29,25),-0.0723365 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(29,29),(29,28),(29,24),-0.0445309 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(29,29),(29,28),(29,23),-0.126178 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(29,29),(29,28),(29,22),-0.186172 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(29,29),(29,28),(29,20),-0.0445309 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(29,29),(29,28),(29,19),-0.0700577 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(29,29),(29,28),(29,-1),-0.168382 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(29,29),(29,27),(29,26),-0.171144 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(29,29),(29,27),(29,25),-0.203931 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(29,29),(29,27),(29,24),-0.125386 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(29,29),(29,27),(29,23),-0.148125 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(29,29),(29,27),(29,22),-0.16167 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(29,29),(29,27),(29,20),-0.125386 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(29,29),(29,27),(29,19),-0.126549 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(29,29),(29,27),(29,-1),-0.133491 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(29,29),(29,26),(29,25),-0.202525 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(29,29),(29,26),(29,24),-0.12555 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(29,29),(29,26),(29,23),-0.143904 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(29,29),(29,26),(29,22),-0.159604 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(29,29),(29,26),(29,20),-0.12555 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(29,29),(29,26),(29,19),-0.124483 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(29,29),(29,26),(29,-1),-0.112974 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(29,29),(29,25),(29,24),-0.0146594 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(29,29),(29,25),(29,23),-0.0776455 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(29,29),(29,25),(29,22),-0.202549 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(29,29),(29,25),(29,20),-0.0146594 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(29,29),(29,25),(29,19),-0.153041 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(29,29),(29,25),(29,-1),-0.240477 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(29,29),(29,24),(29,23),-0.145854 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(29,29),(29,24),(29,22),-0.181241 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(29,29),(29,24),(29,20),-0.128114 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(29,29),(29,24),(29,19),-0.136607 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(29,29),(29,24),(29,-1),-0.163974 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(29,29),(29,23),(29,22),-0.187806 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(29,29),(29,23),(29,20),-0.0281927 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(29,29),(29,23),(29,19),-0.132621 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(29,29),(29,23),(29,-1),-0.1995 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(29,29),(29,22),(29,20),-0.110752 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(29,29),(29,22),(29,19),-0.187564 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(29,29),(29,22),(29,-1),-0.0788838 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(29,29),(29,20),(29,19),-0.136607 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(29,29),(29,20),(29,-1),-0.163974 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(29,29),(29,19),(29,-1),-0.0767858 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(29,28),(29,27),(29,26),-0.0522634 # DEPENDENCYPART_TRISIBL
(29,28),(29,27),(29,25),-0.0932753 # DEPENDENCYPART_TRISIBL
(29,28),(29,27),(29,24),0.0347608 # DEPENDENCYPART_TRISIBL
(29,28),(29,27),(29,23),-0.0727279 # DEPENDENCYPART_TRISIBL
(29,28),(29,27),(29,22),-0.0800554 # DEPENDENCYPART_TRISIBL
(29,28),(29,27),(29,20),0.0347608 # DEPENDENCYPART_TRISIBL
(29,28),(29,27),(29,19),-0.0674395 # DEPENDENCYPART_TRISIBL
(29,28),(29,27),(29,-1),-0.0980318 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(29,28),(29,26),(29,25),-0.093252 # DEPENDENCYPART_TRISIBL
(29,28),(29,26),(29,24),0.0391261 # DEPENDENCYPART_TRISIBL
(29,28),(29,26),(29,23),-0.0727251 # DEPENDENCYPART_TRISIBL
(29,28),(29,26),(29,22),-0.0795342 # DEPENDENCYPART_TRISIBL
(29,28),(29,26),(29,20),0.0391261 # DEPENDENCYPART_TRISIBL
(29,28),(29,26),(29,19),-0.0669182 # DEPENDENCYPART_TRISIBL
(29,28),(29,26),(29,-1),-0.105265 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(29,28),(29,25),(29,24),0.0705651 # DEPENDENCYPART_TRISIBL
(29,28),(29,25),(29,23),-0.0888526 # DEPENDENCYPART_TRISIBL
(29,28),(29,25),(29,22),-0.0727396 # DEPENDENCYPART_TRISIBL
(29,28),(29,25),(29,20),0.0705651 # DEPENDENCYPART_TRISIBL
(29,28),(29,25),(29,19),-0.0603207 # DEPENDENCYPART_TRISIBL
(29,28),(29,25),(29,-1),-0.116079 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(29,28),(29,24),(29,23),-0.0757214 # DEPENDENCYPART_TRISIBL
(29,28),(29,24),(29,22),-0.0662805 # DEPENDENCYPART_TRISIBL
(29,28),(29,24),(29,20),-0.0115175 # DEPENDENCYPART_TRISIBL
(29,28),(29,24),(29,19),-0.0537438 # DEPENDENCYPART_TRISIBL
(29,28),(29,24),(29,-1),-0.0156063 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(29,28),(29,23),(29,22),-0.0663593 # DEPENDENCYPART_TRISIBL
(29,28),(29,23),(29,20),0.0865277 # DEPENDENCYPART_TRISIBL
(29,28),(29,23),(29,19),-0.0492234 # DEPENDENCYPART_TRISIBL
(29,28),(29,23),(29,-1),-0.214752 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(29,28),(29,22),(29,20),0.0203274 # DEPENDENCYPART_TRISIBL
(29,28),(29,22),(29,19),-0.070214 # DEPENDENCYPART_TRISIBL
(29,28),(29,22),(29,-1),-0.101997 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(29,28),(29,20),(29,19),-0.0537438 # DEPENDENCYPART_TRISIBL
(29,28),(29,20),(29,-1),-0.0156063 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(29,28),(29,19),(29,-1),-0.0640857 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(29,27),(29,26),(29,25),0.0155765 # DEPENDENCYPART_TRISIBL
(29,27),(29,26),(29,24),-0.0836201 # DEPENDENCYPART_TRISIBL
(29,27),(29,26),(29,23),-0.0545047 # DEPENDENCYPART_TRISIBL
(29,27),(29,26),(29,22),-0.11146 # DEPENDENCYPART_TRISIBL
(29,27),(29,26),(29,20),-0.0836201 # DEPENDENCYPART_TRISIBL
(29,27),(29,26),(29,19),-0.10365 # DEPENDENCYPART_TRISIBL
(29,27),(29,26),(29,-1),-0.0941463 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(29,27),(29,25),(29,24),-0.0997336 # DEPENDENCYPART_TRISIBL
(29,27),(29,25),(29,23),-0.0757926 # DEPENDENCYPART_TRISIBL
(29,27),(29,25),(29,22),-0.0890683 # DEPENDENCYPART_TRISIBL
(29,27),(29,25),(29,20),-0.0997336 # DEPENDENCYPART_TRISIBL
(29,27),(29,25),(29,19),-0.0812253 # DEPENDENCYPART_TRISIBL
(29,27),(29,25),(29,-1),-0.123124 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(29,27),(29,24),(29,23),-0.0772193 # DEPENDENCYPART_TRISIBL
(29,27),(29,24),(29,22),-0.119542 # DEPENDENCYPART_TRISIBL
(29,27),(29,24),(29,20),-0.0594074 # DEPENDENCYPART_TRISIBL
(29,27),(29,24),(29,19),-0.112521 # DEPENDENCYPART_TRISIBL
(29,27),(29,24),(29,-1),-0.00181945 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(29,27),(29,23),(29,22),-0.0996057 # DEPENDENCYPART_TRISIBL
(29,27),(29,23),(29,20),-0.0117141 # DEPENDENCYPART_TRISIBL
(29,27),(29,23),(29,19),-0.0926101 # DEPENDENCYPART_TRISIBL
(29,27),(29,23),(29,-1),-0.1523 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(29,27),(29,22),(29,20),-0.0573774 # DEPENDENCYPART_TRISIBL
(29,27),(29,22),(29,19),-0.0958858 # DEPENDENCYPART_TRISIBL
(29,27),(29,22),(29,-1),-0.0995961 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(29,27),(29,20),(29,19),-0.112521 # DEPENDENCYPART_TRISIBL
(29,27),(29,20),(29,-1),-0.00181945 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(29,27),(29,19),(29,-1),-0.123291 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(29,26),(29,25),(29,24),-0.0863969 # DEPENDENCYPART_TRISIBL
(29,26),(29,25),(29,23),-0.0817532 # DEPENDENCYPART_TRISIBL
(29,26),(29,25),(29,22),-0.0779763 # DEPENDENCYPART_TRISIBL
(29,26),(29,25),(29,20),-0.0863969 # DEPENDENCYPART_TRISIBL
(29,26),(29,25),(29,19),-0.0701334 # DEPENDENCYPART_TRISIBL
(29,26),(29,25),(29,-1),-0.115544 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(29,26),(29,24),(29,23),-0.0833044 # DEPENDENCYPART_TRISIBL
(29,26),(29,24),(29,22),-0.106697 # DEPENDENCYPART_TRISIBL
(29,26),(29,24),(29,20),-0.046255 # DEPENDENCYPART_TRISIBL
(29,26),(29,24),(29,19),-0.0996765 # DEPENDENCYPART_TRISIBL
(29,26),(29,24),(29,-1),0.00324797 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(29,26),(29,23),(29,22),-0.0895048 # DEPENDENCYPART_TRISIBL
(29,26),(29,23),(29,20),0.00522536 # DEPENDENCYPART_TRISIBL
(29,26),(29,23),(29,19),-0.0825092 # DEPENDENCYPART_TRISIBL
(29,26),(29,23),(29,-1),-0.146386 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(29,26),(29,22),(29,20),-0.044225 # DEPENDENCYPART_TRISIBL
(29,26),(29,22),(29,19),-0.0857852 # DEPENDENCYPART_TRISIBL
(29,26),(29,22),(29,-1),-0.0924632 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(29,26),(29,20),(29,19),-0.0996765 # DEPENDENCYPART_TRISIBL
(29,26),(29,20),(29,-1),0.00324797 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(29,26),(29,19),(29,-1),-0.116159 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(29,25),(29,24),(29,23),-0.0682226 # DEPENDENCYPART_TRISIBL
(29,25),(29,24),(29,22),-0.082241 # DEPENDENCYPART_TRISIBL
(29,25),(29,24),(29,20),-0.00559314 # DEPENDENCYPART_TRISIBL
(29,25),(29,24),(29,19),-0.0767896 # DEPENDENCYPART_TRISIBL
(29,25),(29,24),(29,-1),0.0428198 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(29,25),(29,23),(29,22),-0.0829742 # DEPENDENCYPART_TRISIBL
(29,25),(29,23),(29,20),0.00841592 # DEPENDENCYPART_TRISIBL
(29,25),(29,23),(29,19),-0.0775229 # DEPENDENCYPART_TRISIBL
(29,25),(29,23),(29,-1),-0.0596311 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(29,25),(29,22),(29,20),-0.00493408 # DEPENDENCYPART_TRISIBL
(29,25),(29,22),(29,19),-0.0778436 # DEPENDENCYPART_TRISIBL
(29,25),(29,22),(29,-1),-0.0764592 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(29,25),(29,20),(29,19),-0.0767896 # DEPENDENCYPART_TRISIBL
(29,25),(29,20),(29,-1),0.0428198 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(29,25),(29,19),(29,-1),-0.0742823 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(29,24),(29,23),(29,22),-0.0568261 # DEPENDENCYPART_TRISIBL
(29,24),(29,23),(29,20),-0.183896 # DEPENDENCYPART_TRISIBL
(29,24),(29,23),(29,19),-0.0623754 # DEPENDENCYPART_TRISIBL
(29,24),(29,23),(29,-1),-0.170921 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(29,24),(29,22),(29,20),-0.195682 # DEPENDENCYPART_TRISIBL
(29,24),(29,22),(29,19),-0.0652928 # DEPENDENCYPART_TRISIBL
(29,24),(29,22),(29,-1),-0.0771686 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(29,24),(29,20),(29,19),-0.0622578 # DEPENDENCYPART_TRISIBL
(29,24),(29,20),(29,-1),-0.16587 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(29,24),(29,19),(29,-1),-0.0914317 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(29,23),(29,22),(29,20),-0.000771107 # DEPENDENCYPART_TRISIBL
(29,23),(29,22),(29,19),-0.0591127 # DEPENDENCYPART_TRISIBL
(29,23),(29,22),(29,-1),-0.146886 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(29,23),(29,20),(29,19),-0.0557122 # DEPENDENCYPART_TRISIBL
(29,23),(29,20),(29,-1),0.0452345 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(29,23),(29,19),(29,-1),-0.128285 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(29,22),(29,20),(29,19),-0.0831091 # DEPENDENCYPART_TRISIBL
(29,22),(29,20),(29,-1),-0.160309 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(29,22),(29,19),(29,-1),-0.153519 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(29,20),(29,19),(29,-1),-0.0914317 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(32,32),(32,35),(32,37),-0.118338 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(32,32),(32,35),(32,53),-0.37816 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(32,32),(32,37),(32,53),-0.282488 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(32,35),(32,37),(32,53),-0.127985 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(33,33),(33,34),(33,35),-0.148084 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(33,33),(33,34),(33,37),0.00581566 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(33,33),(33,34),(33,39),-0.0386739 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(33,33),(33,34),(33,40),-0.0406276 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(33,33),(33,34),(33,42),-0.0382766 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(33,33),(33,34),(33,47),-0.114638 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(33,33),(33,34),(33,48),-0.0134457 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(33,33),(33,34),(33,51),0.0292118 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(33,33),(33,34),(33,52),-0.119527 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(33,33),(33,34),(33,53),0.0453925 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(33,33),(33,35),(33,37),-0.122551 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(33,33),(33,35),(33,39),-0.0949934 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(33,33),(33,35),(33,40),-0.098516 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(33,33),(33,35),(33,42),-0.0945957 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(33,33),(33,35),(33,47),-0.113253 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(33,33),(33,35),(33,48),-0.0706498 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(33,33),(33,35),(33,51),-0.0874499 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(33,33),(33,35),(33,52),-0.191375 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(33,33),(33,35),(33,53),-0.0757779 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(33,33),(33,37),(33,39),-0.044068 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(33,33),(33,37),(33,40),-0.0226815 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(33,33),(33,37),(33,42),-0.0436707 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(33,33),(33,37),(33,47),-0.119681 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(33,33),(33,37),(33,48),-0.0049497 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(33,33),(33,37),(33,51),0.0607033 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(33,33),(33,37),(33,52),-0.113554 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(33,33),(33,37),(33,53),0.100372 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(33,33),(33,39),(33,40),-0.0178065 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(33,33),(33,39),(33,42),-0.0352783 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(33,33),(33,39),(33,47),-0.113553 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(33,33),(33,39),(33,48),-0.014431 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(33,33),(33,39),(33,51),0.0466274 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(33,33),(33,39),(33,52),-0.0887951 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(33,33),(33,39),(33,53),0.0433247 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(33,33),(33,40),(33,42),-0.0811926 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(33,33),(33,40),(33,47),-0.108148 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(33,33),(33,40),(33,48),0.00332465 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(33,33),(33,40),(33,51),-0.115431 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(33,33),(33,40),(33,52),-0.192269 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(33,33),(33,40),(33,53),0.00604666 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(33,33),(33,42),(33,47),-0.113553 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(33,33),(33,42),(33,48),-0.010788 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(33,33),(33,42),(33,51),0.0467218 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(33,33),(33,42),(33,52),-0.0887951 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(33,33),(33,42),(33,53),0.0453898 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(33,33),(33,47),(33,48),-0.0776241 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(33,33),(33,47),(33,51),-0.0147538 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(33,33),(33,47),(33,52),-0.159189 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(33,33),(33,47),(33,53),-0.11881 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(33,33),(33,48),(33,51),-0.102622 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(33,33),(33,48),(33,52),-0.192581 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(33,33),(33,48),(33,53),-0.0512127 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(33,33),(33,51),(33,52),-0.355415 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(33,33),(33,51),(33,53),-0.119352 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(33,33),(33,52),(33,53),-0.155874 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(33,34),(33,35),(33,37),-0.113032 # DEPENDENCYPART_TRISIBL
(33,34),(33,35),(33,39),-0.117518 # DEPENDENCYPART_TRISIBL
(33,34),(33,35),(33,40),-0.103422 # DEPENDENCYPART_TRISIBL
(33,34),(33,35),(33,42),-0.117518 # DEPENDENCYPART_TRISIBL
(33,34),(33,35),(33,47),-0.0841313 # DEPENDENCYPART_TRISIBL
(33,34),(33,35),(33,48),-0.104267 # DEPENDENCYPART_TRISIBL
(33,34),(33,35),(33,51),0.0405567 # DEPENDENCYPART_TRISIBL
(33,34),(33,35),(33,52),-0.0624617 # DEPENDENCYPART_TRISIBL
(33,34),(33,35),(33,53),-0.00969592 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(33,34),(33,37),(33,39),-0.0753289 # DEPENDENCYPART_TRISIBL
(33,34),(33,37),(33,40),-0.0321755 # DEPENDENCYPART_TRISIBL
(33,34),(33,37),(33,42),-0.0753289 # DEPENDENCYPART_TRISIBL
(33,34),(33,37),(33,47),-0.0792112 # DEPENDENCYPART_TRISIBL
(33,34),(33,37),(33,48),-0.0363392 # DEPENDENCYPART_TRISIBL
(33,34),(33,37),(33,51),-0.10118 # DEPENDENCYPART_TRISIBL
(33,34),(33,37),(33,52),-0.0689581 # DEPENDENCYPART_TRISIBL
(33,34),(33,37),(33,53),-0.064265 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(33,34),(33,39),(33,40),-0.0581401 # DEPENDENCYPART_TRISIBL
(33,34),(33,39),(33,42),-0.109426 # DEPENDENCYPART_TRISIBL
(33,34),(33,39),(33,47),-0.0833069 # DEPENDENCYPART_TRISIBL
(33,34),(33,39),(33,48),-0.0542458 # DEPENDENCYPART_TRISIBL
(33,34),(33,39),(33,51),-0.0773067 # DEPENDENCYPART_TRISIBL
(33,34),(33,39),(33,52),-0.0648723 # DEPENDENCYPART_TRISIBL
(33,34),(33,39),(33,53),-0.0287801 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(33,34),(33,40),(33,42),-0.117687 # DEPENDENCYPART_TRISIBL
(33,34),(33,40),(33,47),-0.0841313 # DEPENDENCYPART_TRISIBL
(33,34),(33,40),(33,48),-0.101513 # DEPENDENCYPART_TRISIBL
(33,34),(33,40),(33,51),0.0355745 # DEPENDENCYPART_TRISIBL
(33,34),(33,40),(33,52),-0.0624617 # DEPENDENCYPART_TRISIBL
(33,34),(33,40),(33,53),0.00199883 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(33,34),(33,42),(33,47),-0.0833069 # DEPENDENCYPART_TRISIBL
(33,34),(33,42),(33,48),-0.0542458 # DEPENDENCYPART_TRISIBL
(33,34),(33,42),(33,51),-0.0773067 # DEPENDENCYPART_TRISIBL
(33,34),(33,42),(33,52),-0.0648723 # DEPENDENCYPART_TRISIBL
(33,34),(33,42),(33,53),-0.0287801 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(33,34),(33,47),(33,48),-0.0546734 # DEPENDENCYPART_TRISIBL
(33,34),(33,47),(33,51),-0.0440999 # DEPENDENCYPART_TRISIBL
(33,34),(33,47),(33,52),-0.0590362 # DEPENDENCYPART_TRISIBL
(33,34),(33,47),(33,53),-0.049619 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(33,34),(33,48),(33,51),0.0730155 # DEPENDENCYPART_TRISIBL
(33,34),(33,48),(33,52),-0.062462 # DEPENDENCYPART_TRISIBL
(33,34),(33,48),(33,53),0.000273397 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(33,34),(33,51),(33,52),-0.055762 # DEPENDENCYPART_TRISIBL
(33,34),(33,51),(33,53),-0.00048255 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(33,34),(33,52),(33,53),-0.0738302 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(33,35),(33,37),(33,39),-0.0759591 # DEPENDENCYPART_TRISIBL
(33,35),(33,37),(33,40),-0.0980416 # DEPENDENCYPART_TRISIBL
(33,35),(33,37),(33,42),-0.0759544 # DEPENDENCYPART_TRISIBL
(33,35),(33,37),(33,47),-0.0639713 # DEPENDENCYPART_TRISIBL
(33,35),(33,37),(33,48),-0.0961885 # DEPENDENCYPART_TRISIBL
(33,35),(33,37),(33,51),-0.112325 # DEPENDENCYPART_TRISIBL
(33,35),(33,37),(33,52),-0.10258 # DEPENDENCYPART_TRISIBL
(33,35),(33,37),(33,53),-0.135467 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(33,35),(33,39),(33,40),-0.0870306 # DEPENDENCYPART_TRISIBL
(33,35),(33,39),(33,42),-0.0870262 # DEPENDENCYPART_TRISIBL
(33,35),(33,39),(33,47),-0.0579116 # DEPENDENCYPART_TRISIBL
(33,35),(33,39),(33,48),-0.0852969 # DEPENDENCYPART_TRISIBL
