# _root_ The buy-back , coupled with a nearly completed earlier purchase of 20 million shares , would reduce shares outstanding by more than 26 % .
#goldHeads=2,16,2,2,4,10,8,10,10,5,10,13,14,11,2,0,16,17,18,17,22,24,22,20,16,
#predictedHeads=2,16,2,2,4,10,8,10,10,5,10,13,14,11,2,0,16,17,18,17,22,24,22,20,16,
(10,14),(14,13),0.188838 # DEPENDENCYPART_HEADBIGRAM
(10,14),(16,13),0.0758082 # DEPENDENCYPART_HEADBIGRAM
(10,14),(17,13),0.0674089 # DEPENDENCYPART_HEADBIGRAM
(10,14),(18,13),0.0486376 # DEPENDENCYPART_HEADBIGRAM
(10,15),(4,14),-0.103324 # DEPENDENCYPART_HEADBIGRAM
(10,15),(5,14),-0.0696649 # DEPENDENCYPART_HEADBIGRAM
(10,15),(7,14),-0.0722458 # DEPENDENCYPART_HEADBIGRAM
(10,15),(8,14),-0.103407 # DEPENDENCYPART_HEADBIGRAM
(10,15),(10,14),0.127373 # DEPENDENCYPART_HEADBIGRAM
(10,15),(11,14),0.0580045 # DEPENDENCYPART_HEADBIGRAM
(10,15),(16,14),0.0418414 # DEPENDENCYPART_HEADBIGRAM
(10,15),(17,14),0.0328335 # DEPENDENCYPART_HEADBIGRAM
(10,15),(18,14),0.0344539 # DEPENDENCYPART_HEADBIGRAM
(10,15),(19,14),0.0710753 # DEPENDENCYPART_HEADBIGRAM
(10,16),(2,15),-0.0597002 # DEPENDENCYPART_HEADBIGRAM
(10,16),(4,15),-0.0614377 # DEPENDENCYPART_HEADBIGRAM
(10,16),(8,15),-0.0613628 # DEPENDENCYPART_HEADBIGRAM
(10,16),(10,15),0.0789243 # DEPENDENCYPART_HEADBIGRAM
(10,16),(11,15),0.0786759 # DEPENDENCYPART_HEADBIGRAM
(10,16),(12,15),0.0850974 # DEPENDENCYPART_HEADBIGRAM
(10,16),(13,15),0.0898057 # DEPENDENCYPART_HEADBIGRAM
(10,16),(14,15),0.0861262 # DEPENDENCYPART_HEADBIGRAM
(10,16),(16,15),0.104681 # DEPENDENCYPART_HEADBIGRAM
(10,16),(17,15),0.0769685 # DEPENDENCYPART_HEADBIGRAM
(10,17),(0,16),-0.0576721 # DEPENDENCYPART_HEADBIGRAM
(10,17),(2,16),-0.0603716 # DEPENDENCYPART_HEADBIGRAM
(10,17),(4,16),-0.0707885 # DEPENDENCYPART_HEADBIGRAM
(10,17),(5,16),-0.0608913 # DEPENDENCYPART_HEADBIGRAM
(10,17),(8,16),-0.0709451 # DEPENDENCYPART_HEADBIGRAM
(10,17),(10,16),0.06929 # DEPENDENCYPART_HEADBIGRAM
(10,17),(11,16),0.0833326 # DEPENDENCYPART_HEADBIGRAM
(10,17),(12,16),0.0866217 # DEPENDENCYPART_HEADBIGRAM
(10,17),(13,16),0.0866217 # DEPENDENCYPART_HEADBIGRAM
(10,17),(14,16),0.0872809 # DEPENDENCYPART_HEADBIGRAM
(10,18),(0,17),-0.00516803 # DEPENDENCYPART_HEADBIGRAM
(10,18),(2,17),-0.0363226 # DEPENDENCYPART_HEADBIGRAM
(10,18),(4,17),-0.0836256 # DEPENDENCYPART_HEADBIGRAM
(10,18),(8,17),-0.0880185 # DEPENDENCYPART_HEADBIGRAM
(10,18),(10,17),0.0964043 # DEPENDENCYPART_HEADBIGRAM
(10,18),(11,17),0.0766333 # DEPENDENCYPART_HEADBIGRAM
(10,18),(12,17),0.0894998 # DEPENDENCYPART_HEADBIGRAM
(10,18),(14,17),0.107774 # DEPENDENCYPART_HEADBIGRAM
(10,18),(16,17),0.101793 # DEPENDENCYPART_HEADBIGRAM
(10,18),(18,17),0.0858485 # DEPENDENCYPART_HEADBIGRAM
(10,19),(2,18),-0.0747462 # DEPENDENCYPART_HEADBIGRAM
(10,19),(5,18),-0.0635406 # DEPENDENCYPART_HEADBIGRAM
(10,19),(8,18),-0.05472 # DEPENDENCYPART_HEADBIGRAM
(10,19),(10,18),0.0906202 # DEPENDENCYPART_HEADBIGRAM
(10,19),(11,18),0.105161 # DEPENDENCYPART_HEADBIGRAM
(10,19),(14,18),0.0920373 # DEPENDENCYPART_HEADBIGRAM
(10,19),(16,18),0.0932339 # DEPENDENCYPART_HEADBIGRAM
(10,19),(17,18),0.100041 # DEPENDENCYPART_HEADBIGRAM
(10,19),(19,18),0.0967375 # DEPENDENCYPART_HEADBIGRAM
(10,19),(20,18),0.0795758 # DEPENDENCYPART_HEADBIGRAM
(10,20),(2,19),-0.059825 # DEPENDENCYPART_HEADBIGRAM
(10,20),(10,19),0.087311 # DEPENDENCYPART_HEADBIGRAM
(10,20),(14,19),0.0942195 # DEPENDENCYPART_HEADBIGRAM
(10,20),(17,19),0.104154 # DEPENDENCYPART_HEADBIGRAM
(10,20),(18,19),0.087834 # DEPENDENCYPART_HEADBIGRAM
(10,20),(20,19),0.118862 # DEPENDENCYPART_HEADBIGRAM
(10,20),(23,19),0.0754853 # DEPENDENCYPART_HEADBIGRAM
(10,20),(24,19),0.0687788 # DEPENDENCYPART_HEADBIGRAM
(10,22),(12,21),0.0930831 # DEPENDENCYPART_HEADBIGRAM
(10,22),(13,21),0.0930798 # DEPENDENCYPART_HEADBIGRAM
(10,22),(17,21),0.10185 # DEPENDENCYPART_HEADBIGRAM
(10,22),(18,21),0.0882033 # DEPENDENCYPART_HEADBIGRAM
(10,22),(19,21),0.0872502 # DEPENDENCYPART_HEADBIGRAM
(10,22),(20,21),0.0965242 # DEPENDENCYPART_HEADBIGRAM
(10,22),(22,21),0.180365 # DEPENDENCYPART_HEADBIGRAM
(10,22),(24,21),0.0727244 # DEPENDENCYPART_HEADBIGRAM
(10,24),(14,23),0.0563873 # DEPENDENCYPART_HEADBIGRAM
(10,24),(18,23),0.0538272 # DEPENDENCYPART_HEADBIGRAM
(10,24),(19,23),0.0960625 # DEPENDENCYPART_HEADBIGRAM
(10,24),(20,23),0.0667674 # DEPENDENCYPART_HEADBIGRAM
(10,24),(21,23),0.0845787 # DEPENDENCYPART_HEADBIGRAM
(10,24),(22,23),0.0733432 # DEPENDENCYPART_HEADBIGRAM
(10,24),(24,23),0.30612 # DEPENDENCYPART_HEADBIGRAM
(10,25),(10,24),0.0855009 # DEPENDENCYPART_HEADBIGRAM
(10,25),(14,24),0.127138 # DEPENDENCYPART_HEADBIGRAM
(10,25),(17,24),0.116715 # DEPENDENCYPART_HEADBIGRAM
(10,25),(18,24),0.127138 # DEPENDENCYPART_HEADBIGRAM
(10,25),(19,24),0.100782 # DEPENDENCYPART_HEADBIGRAM
(10,25),(20,24),0.0880497 # DEPENDENCYPART_HEADBIGRAM
(10,25),(21,24),0.0947043 # DEPENDENCYPART_HEADBIGRAM
(10,25),(22,24),0.190527 # DEPENDENCYPART_HEADBIGRAM
(10,25),(23,24),0.167246 # DEPENDENCYPART_HEADBIGRAM
(10,25),(25,24),0.0713723 # DEPENDENCYPART_HEADBIGRAM
(11,9),(0,8),-0.0435627 # DEPENDENCYPART_HEADBIGRAM
(11,9),(1,8),-0.0605422 # DEPENDENCYPART_HEADBIGRAM
(11,9),(2,8),-0.067604 # DEPENDENCYPART_HEADBIGRAM
(11,9),(4,8),-0.145348 # DEPENDENCYPART_HEADBIGRAM
(11,9),(6,8),-0.10174 # DEPENDENCYPART_HEADBIGRAM
(11,9),(7,8),-0.103559 # DEPENDENCYPART_HEADBIGRAM
(11,9),(10,8),-0.110525 # DEPENDENCYPART_HEADBIGRAM
(11,9),(14,8),0.112607 # DEPENDENCYPART_HEADBIGRAM
(11,9),(16,8),0.096448 # DEPENDENCYPART_HEADBIGRAM
(11,9),(18,8),0.112607 # DEPENDENCYPART_HEADBIGRAM
(11,10),(5,9),-0.116164 # DEPENDENCYPART_HEADBIGRAM
(11,10),(7,9),-0.138053 # DEPENDENCYPART_HEADBIGRAM
(11,10),(8,9),-0.179134 # DEPENDENCYPART_HEADBIGRAM
(11,10),(10,9),-0.118485 # DEPENDENCYPART_HEADBIGRAM
(11,10),(11,9),0.114307 # DEPENDENCYPART_HEADBIGRAM
(11,10),(14,9),0.0777079 # DEPENDENCYPART_HEADBIGRAM
(11,12),(4,11),-0.12526 # DEPENDENCYPART_HEADBIGRAM
(11,12),(5,11),-0.0404341 # DEPENDENCYPART_HEADBIGRAM
(11,12),(7,11),-0.0624828 # DEPENDENCYPART_HEADBIGRAM
(11,12),(8,11),-0.0839696 # DEPENDENCYPART_HEADBIGRAM
(11,12),(9,11),-0.0861727 # DEPENDENCYPART_HEADBIGRAM
(11,12),(10,11),0.0496055 # DEPENDENCYPART_HEADBIGRAM
(11,12),(12,11),0.0509708 # DEPENDENCYPART_HEADBIGRAM
(11,12),(13,11),0.111722 # DEPENDENCYPART_HEADBIGRAM
(11,12),(14,11),0.251191 # DEPENDENCYPART_HEADBIGRAM
(11,12),(16,11),0.0809227 # DEPENDENCYPART_HEADBIGRAM
(11,13),(7,12),-0.0579703 # DEPENDENCYPART_HEADBIGRAM
(11,13),(8,12),-0.0576978 # DEPENDENCYPART_HEADBIGRAM
(11,13),(10,12),-0.0617882 # DEPENDENCYPART_HEADBIGRAM
(11,13),(11,12),0.097251 # DEPENDENCYPART_HEADBIGRAM
(11,13),(13,12),0.241102 # DEPENDENCYPART_HEADBIGRAM
(11,13),(14,12),0.0670006 # DEPENDENCYPART_HEADBIGRAM
(11,13),(16,12),0.0811749 # DEPENDENCYPART_HEADBIGRAM
(11,13),(18,12),0.0698955 # DEPENDENCYPART_HEADBIGRAM
(11,14),(7,13),-0.0489184 # DEPENDENCYPART_HEADBIGRAM
(11,14),(8,13),-0.067871 # DEPENDENCYPART_HEADBIGRAM
(11,14),(10,13),-0.0776141 # DEPENDENCYPART_HEADBIGRAM
(11,14),(11,13),0.0589558 # DEPENDENCYPART_HEADBIGRAM
(11,14),(12,13),0.164526 # DEPENDENCYPART_HEADBIGRAM
(11,14),(14,13),0.163807 # DEPENDENCYPART_HEADBIGRAM
(11,14),(16,13),0.0769148 # DEPENDENCYPART_HEADBIGRAM
(11,14),(17,13),0.0647716 # DEPENDENCYPART_HEADBIGRAM
(11,14),(18,13),0.0512437 # DEPENDENCYPART_HEADBIGRAM
(11,15),(4,14),-0.0619132 # DEPENDENCYPART_HEADBIGRAM
(11,15),(5,14),-0.0642995 # DEPENDENCYPART_HEADBIGRAM
(11,15),(7,14),-0.0663562 # DEPENDENCYPART_HEADBIGRAM
(11,15),(8,14),-0.0619088 # DEPENDENCYPART_HEADBIGRAM
(11,15),(10,14),-0.0663271 # DEPENDENCYPART_HEADBIGRAM
(11,15),(11,14),0.120953 # DEPENDENCYPART_HEADBIGRAM
(11,15),(16,14),0.0495107 # DEPENDENCYPART_HEADBIGRAM
(11,15),(17,14),0.079613 # DEPENDENCYPART_HEADBIGRAM
(11,15),(18,14),0.0625919 # DEPENDENCYPART_HEADBIGRAM
(11,15),(19,14),0.0732651 # DEPENDENCYPART_HEADBIGRAM
(11,16),(2,15),-0.058746 # DEPENDENCYPART_HEADBIGRAM
(11,16),(4,15),-0.058732 # DEPENDENCYPART_HEADBIGRAM
(11,16),(8,15),-0.0591861 # DEPENDENCYPART_HEADBIGRAM
(11,16),(10,15),-0.0585854 # DEPENDENCYPART_HEADBIGRAM
(11,16),(11,15),0.0916424 # DEPENDENCYPART_HEADBIGRAM
(11,16),(12,15),0.0943285 # DEPENDENCYPART_HEADBIGRAM
(11,16),(13,15),0.0973952 # DEPENDENCYPART_HEADBIGRAM
(11,16),(14,15),0.0954329 # DEPENDENCYPART_HEADBIGRAM
(11,16),(16,15),0.0705676 # DEPENDENCYPART_HEADBIGRAM
(11,16),(17,15),0.0800898 # DEPENDENCYPART_HEADBIGRAM
(11,17),(0,16),-0.0581902 # DEPENDENCYPART_HEADBIGRAM
(11,17),(2,16),-0.0584867 # DEPENDENCYPART_HEADBIGRAM
(11,17),(4,16),-0.0597954 # DEPENDENCYPART_HEADBIGRAM
(11,17),(5,16),-0.0579008 # DEPENDENCYPART_HEADBIGRAM
(11,17),(8,16),-0.059952 # DEPENDENCYPART_HEADBIGRAM
(11,17),(10,16),-0.0586433 # DEPENDENCYPART_HEADBIGRAM
(11,17),(11,16),0.089258 # DEPENDENCYPART_HEADBIGRAM
(11,17),(12,16),0.0866703 # DEPENDENCYPART_HEADBIGRAM
(11,17),(13,16),0.0866703 # DEPENDENCYPART_HEADBIGRAM
(11,17),(14,16),0.0893893 # DEPENDENCYPART_HEADBIGRAM
(11,18),(0,17),-0.0855513 # DEPENDENCYPART_HEADBIGRAM
(11,18),(2,17),-0.0617539 # DEPENDENCYPART_HEADBIGRAM
(11,18),(4,17),-0.0778491 # DEPENDENCYPART_HEADBIGRAM
(11,18),(8,17),-0.0787587 # DEPENDENCYPART_HEADBIGRAM
(11,18),(10,17),-0.0626635 # DEPENDENCYPART_HEADBIGRAM
(11,18),(11,17),0.079614 # DEPENDENCYPART_HEADBIGRAM
(11,18),(12,17),0.0883052 # DEPENDENCYPART_HEADBIGRAM
(11,18),(14,17),0.0888405 # DEPENDENCYPART_HEADBIGRAM
(11,18),(16,17),0.0842812 # DEPENDENCYPART_HEADBIGRAM
(11,18),(18,17),0.158915 # DEPENDENCYPART_HEADBIGRAM
(12,11),(2,10),-0.121628 # DEPENDENCYPART_HEADBIGRAM
(12,11),(4,10),-0.121866 # DEPENDENCYPART_HEADBIGRAM
(12,11),(5,10),-0.118596 # DEPENDENCYPART_HEADBIGRAM
(12,11),(7,10),-0.118273 # DEPENDENCYPART_HEADBIGRAM
(12,11),(8,10),-0.122368 # DEPENDENCYPART_HEADBIGRAM
(12,11),(11,10),-0.107967 # DEPENDENCYPART_HEADBIGRAM
(12,11),(13,10),0.0763973 # DEPENDENCYPART_HEADBIGRAM
(12,11),(14,10),0.0757216 # DEPENDENCYPART_HEADBIGRAM
(12,11),(16,10),0.082913 # DEPENDENCYPART_HEADBIGRAM
(12,11),(19,10),0.0827905 # DEPENDENCYPART_HEADBIGRAM
(12,13),(7,12),-0.0624186 # DEPENDENCYPART_HEADBIGRAM
(12,13),(8,12),-0.0808316 # DEPENDENCYPART_HEADBIGRAM
(12,13),(10,12),-0.0975719 # DEPENDENCYPART_HEADBIGRAM
(12,13),(11,12),-0.123208 # DEPENDENCYPART_HEADBIGRAM
(12,13),(13,12),0.0307066 # DEPENDENCYPART_HEADBIGRAM
(12,13),(14,12),0.052677 # DEPENDENCYPART_HEADBIGRAM
(12,13),(16,12),0.0808677 # DEPENDENCYPART_HEADBIGRAM
(12,13),(18,12),0.0573889 # DEPENDENCYPART_HEADBIGRAM
(12,15),(4,14),-0.0699759 # DEPENDENCYPART_HEADBIGRAM
(12,15),(5,14),-0.0686212 # DEPENDENCYPART_HEADBIGRAM
(12,15),(7,14),-0.0640236 # DEPENDENCYPART_HEADBIGRAM
(12,15),(8,14),-0.0702493 # DEPENDENCYPART_HEADBIGRAM
(12,15),(10,14),-0.0618859 # DEPENDENCYPART_HEADBIGRAM
(12,15),(11,14),-0.0349982 # DEPENDENCYPART_HEADBIGRAM
(12,15),(16,14),0.0554898 # DEPENDENCYPART_HEADBIGRAM
(12,15),(17,14),0.0717407 # DEPENDENCYPART_HEADBIGRAM
(12,15),(18,14),0.0701088 # DEPENDENCYPART_HEADBIGRAM
(12,15),(19,14),0.0736452 # DEPENDENCYPART_HEADBIGRAM
(12,16),(2,15),-0.0576495 # DEPENDENCYPART_HEADBIGRAM
(12,16),(4,15),-0.0576444 # DEPENDENCYPART_HEADBIGRAM
(12,16),(8,15),-0.0580984 # DEPENDENCYPART_HEADBIGRAM
(12,16),(10,15),-0.0574889 # DEPENDENCYPART_HEADBIGRAM
(12,16),(11,15),-0.0574838 # DEPENDENCYPART_HEADBIGRAM
(12,16),(12,15),0.0923367 # DEPENDENCYPART_HEADBIGRAM
(12,16),(13,15),0.0975196 # DEPENDENCYPART_HEADBIGRAM
(12,16),(14,15),0.0975094 # DEPENDENCYPART_HEADBIGRAM
(12,16),(16,15),0.0724679 # DEPENDENCYPART_HEADBIGRAM
(12,16),(17,15),0.0811774 # DEPENDENCYPART_HEADBIGRAM
(12,17),(0,16),-0.060346 # DEPENDENCYPART_HEADBIGRAM
(12,17),(2,16),-0.060346 # DEPENDENCYPART_HEADBIGRAM
(12,17),(4,16),-0.0603464 # DEPENDENCYPART_HEADBIGRAM
(12,17),(5,16),-0.0603461 # DEPENDENCYPART_HEADBIGRAM
(12,17),(8,16),-0.0599805 # DEPENDENCYPART_HEADBIGRAM
(12,17),(10,16),-0.0599801 # DEPENDENCYPART_HEADBIGRAM
(12,17),(11,16),-0.0587949 # DEPENDENCYPART_HEADBIGRAM
(12,17),(12,16),0.0837834 # DEPENDENCYPART_HEADBIGRAM
(12,17),(13,16),0.0940426 # DEPENDENCYPART_HEADBIGRAM
(12,17),(14,16),0.087493 # DEPENDENCYPART_HEADBIGRAM
(12,21),(8,20),-0.0468566 # DEPENDENCYPART_HEADBIGRAM
(12,21),(10,20),-0.0588194 # DEPENDENCYPART_HEADBIGRAM
(12,21),(14,20),0.0934233 # DEPENDENCYPART_HEADBIGRAM
(12,21),(16,20),0.0934076 # DEPENDENCYPART_HEADBIGRAM
(12,21),(17,20),0.104454 # DEPENDENCYPART_HEADBIGRAM
(12,21),(18,20),0.089815 # DEPENDENCYPART_HEADBIGRAM
(12,21),(19,20),0.0911424 # DEPENDENCYPART_HEADBIGRAM
(12,21),(21,20),0.0844796 # DEPENDENCYPART_HEADBIGRAM
(12,21),(22,20),0.0792721 # DEPENDENCYPART_HEADBIGRAM
(12,21),(24,20),0.0796839 # DEPENDENCYPART_HEADBIGRAM
(13,10),(5,9),-0.106739 # DEPENDENCYPART_HEADBIGRAM
(13,10),(7,9),-0.115636 # DEPENDENCYPART_HEADBIGRAM
(13,10),(8,9),-0.116979 # DEPENDENCYPART_HEADBIGRAM
(13,10),(10,9),-0.100097 # DEPENDENCYPART_HEADBIGRAM
(13,10),(11,9),-0.110514 # DEPENDENCYPART_HEADBIGRAM
(13,10),(14,9),0.0843232 # DEPENDENCYPART_HEADBIGRAM
(13,11),(2,10),-0.121633 # DEPENDENCYPART_HEADBIGRAM
(13,11),(4,10),-0.121866 # DEPENDENCYPART_HEADBIGRAM
(13,11),(5,10),-0.119027 # DEPENDENCYPART_HEADBIGRAM
(13,11),(7,10),-0.118273 # DEPENDENCYPART_HEADBIGRAM
(13,11),(8,10),-0.122368 # DEPENDENCYPART_HEADBIGRAM
(13,11),(11,10),-0.107959 # DEPENDENCYPART_HEADBIGRAM
(13,11),(13,10),0.0844719 # DEPENDENCYPART_HEADBIGRAM
(13,11),(14,10),0.0757114 # DEPENDENCYPART_HEADBIGRAM
(13,11),(16,10),0.082913 # DEPENDENCYPART_HEADBIGRAM
(13,11),(19,10),0.0827889 # DEPENDENCYPART_HEADBIGRAM
(13,12),(4,11),-0.0688724 # DEPENDENCYPART_HEADBIGRAM
(13,12),(5,11),-0.0868394 # DEPENDENCYPART_HEADBIGRAM
(13,12),(7,11),-0.0340596 # DEPENDENCYPART_HEADBIGRAM
(13,12),(8,11),-0.0997644 # DEPENDENCYPART_HEADBIGRAM
(13,12),(9,11),-0.123198 # DEPENDENCYPART_HEADBIGRAM
(13,12),(10,11),0.0136593 # DEPENDENCYPART_HEADBIGRAM
(13,12),(12,11),-0.101331 # DEPENDENCYPART_HEADBIGRAM
(13,12),(13,11),0.119321 # DEPENDENCYPART_HEADBIGRAM
(13,12),(14,11),0.101042 # DEPENDENCYPART_HEADBIGRAM
(13,12),(16,11),0.0610661 # DEPENDENCYPART_HEADBIGRAM
(13,15),(4,14),-0.0607683 # DEPENDENCYPART_HEADBIGRAM
(13,15),(5,14),-0.0602575 # DEPENDENCYPART_HEADBIGRAM
(13,15),(7,14),-0.0547945 # DEPENDENCYPART_HEADBIGRAM
(13,15),(8,14),-0.0610416 # DEPENDENCYPART_HEADBIGRAM
(13,15),(10,14),-0.0697822 # DEPENDENCYPART_HEADBIGRAM
(13,15),(11,14),-0.0437561 # DEPENDENCYPART_HEADBIGRAM
(13,15),(16,14),0.0763 # DEPENDENCYPART_HEADBIGRAM
(13,15),(17,14),0.0784631 # DEPENDENCYPART_HEADBIGRAM
(13,15),(18,14),0.0768423 # DEPENDENCYPART_HEADBIGRAM
(13,15),(19,14),0.0803806 # DEPENDENCYPART_HEADBIGRAM
(13,16),(2,15),-0.0576495 # DEPENDENCYPART_HEADBIGRAM
(13,16),(4,15),-0.0576444 # DEPENDENCYPART_HEADBIGRAM
(13,16),(8,15),-0.0580984 # DEPENDENCYPART_HEADBIGRAM
(13,16),(10,15),-0.0574889 # DEPENDENCYPART_HEADBIGRAM
(13,16),(11,15),-0.0574838 # DEPENDENCYPART_HEADBIGRAM
(13,16),(12,15),-0.0574838 # DEPENDENCYPART_HEADBIGRAM
(13,16),(13,15),0.098429 # DEPENDENCYPART_HEADBIGRAM
(13,16),(14,15),0.0975094 # DEPENDENCYPART_HEADBIGRAM
(13,16),(16,15),0.0724679 # DEPENDENCYPART_HEADBIGRAM
(13,16),(17,15),0.0811774 # DEPENDENCYPART_HEADBIGRAM
(13,21),(8,20),-0.0468564 # DEPENDENCYPART_HEADBIGRAM
(13,21),(10,20),-0.058862 # DEPENDENCYPART_HEADBIGRAM
(13,21),(14,20),0.0933807 # DEPENDENCYPART_HEADBIGRAM
(13,21),(16,20),0.0934076 # DEPENDENCYPART_HEADBIGRAM
(13,21),(17,20),0.104454 # DEPENDENCYPART_HEADBIGRAM
(13,21),(18,20),0.0897724 # DEPENDENCYPART_HEADBIGRAM
(13,21),(19,20),0.0911424 # DEPENDENCYPART_HEADBIGRAM
(13,21),(21,20),0.0844796 # DEPENDENCYPART_HEADBIGRAM
(13,21),(22,20),0.0792721 # DEPENDENCYPART_HEADBIGRAM
(13,21),(24,20),0.0795988 # DEPENDENCYPART_HEADBIGRAM
(14,4),(1,3),-0.118356 # DEPENDENCYPART_HEADBIGRAM
(14,4),(2,3),-0.124812 # DEPENDENCYPART_HEADBIGRAM
(14,4),(4,3),-0.168174 # DEPENDENCYPART_HEADBIGRAM
(14,4),(5,3),-0.118817 # DEPENDENCYPART_HEADBIGRAM
(14,4),(7,3),-0.10836 # DEPENDENCYPART_HEADBIGRAM
(14,4),(8,3),-0.074034 # DEPENDENCYPART_HEADBIGRAM
(14,4),(10,3),-0.125045 # DEPENDENCYPART_HEADBIGRAM
(14,4),(16,3),0.0568471 # DEPENDENCYPART_HEADBIGRAM
(14,5),(0,4),-0.055259 # DEPENDENCYPART_HEADBIGRAM
(14,5),(1,4),-0.099028 # DEPENDENCYPART_HEADBIGRAM
(14,5),(2,4),-0.0247163 # DEPENDENCYPART_HEADBIGRAM
(14,5),(5,4),-0.0791742 # DEPENDENCYPART_HEADBIGRAM
(14,5),(10,4),-0.0869857 # DEPENDENCYPART_HEADBIGRAM
(14,5),(14,4),0.0719233 # DEPENDENCYPART_HEADBIGRAM
(14,5),(16,4),0.0729917 # DEPENDENCYPART_HEADBIGRAM
(14,5),(18,4),0.0863948 # DEPENDENCYPART_HEADBIGRAM
(14,6),(2,5),-0.0273234 # DEPENDENCYPART_HEADBIGRAM
(14,6),(3,5),-0.10779 # DEPENDENCYPART_HEADBIGRAM
(14,6),(4,5),-0.0889193 # DEPENDENCYPART_HEADBIGRAM
(14,6),(6,5),-0.10514 # DEPENDENCYPART_HEADBIGRAM
(14,6),(7,5),-0.140875 # DEPENDENCYPART_HEADBIGRAM
(14,6),(8,5),-0.114619 # DEPENDENCYPART_HEADBIGRAM
(14,6),(10,5),-0.05685 # DEPENDENCYPART_HEADBIGRAM
(14,6),(14,5),0.0473417 # DEPENDENCYPART_HEADBIGRAM
(14,6),(16,5),0.116436 # DEPENDENCYPART_HEADBIGRAM
(14,6),(17,5),0.0469143 # DEPENDENCYPART_HEADBIGRAM
(14,7),(2,6),-0.102666 # DEPENDENCYPART_HEADBIGRAM
(14,7),(4,6),-0.102452 # DEPENDENCYPART_HEADBIGRAM
(14,7),(5,6),-0.106756 # DEPENDENCYPART_HEADBIGRAM
(14,7),(7,6),-0.112209 # DEPENDENCYPART_HEADBIGRAM
(14,7),(8,6),-0.108305 # DEPENDENCYPART_HEADBIGRAM
(14,7),(10,6),-0.111217 # DEPENDENCYPART_HEADBIGRAM
(14,7),(14,6),0.152454 # DEPENDENCYPART_HEADBIGRAM
(14,7),(16,6),0.0877759 # DEPENDENCYPART_HEADBIGRAM
(14,8),(0,7),-0.1001 # DEPENDENCYPART_HEADBIGRAM
(14,8),(2,7),-0.0995016 # DEPENDENCYPART_HEADBIGRAM
(14,8),(4,7),-0.113741 # DEPENDENCYPART_HEADBIGRAM
(14,8),(5,7),-0.0948661 # DEPENDENCYPART_HEADBIGRAM
(14,8),(6,7),-0.0938102 # DEPENDENCYPART_HEADBIGRAM
(14,8),(8,7),-0.045816 # DEPENDENCYPART_HEADBIGRAM
(14,8),(9,7),-0.109864 # DEPENDENCYPART_HEADBIGRAM
(14,8),(10,7),-0.113399 # DEPENDENCYPART_HEADBIGRAM
(14,8),(14,7),0.0669328 # DEPENDENCYPART_HEADBIGRAM
(14,8),(16,7),0.0823257 # DEPENDENCYPART_HEADBIGRAM
(14,9),(0,8),-0.0974093 # DEPENDENCYPART_HEADBIGRAM
(14,9),(1,8),-0.116447 # DEPENDENCYPART_HEADBIGRAM
(14,9),(2,8),-0.126835 # DEPENDENCYPART_HEADBIGRAM
(14,9),(4,8),-0.127466 # DEPENDENCYPART_HEADBIGRAM
(14,9),(6,8),-0.11662 # DEPENDENCYPART_HEADBIGRAM
(14,9),(7,8),-0.108935 # DEPENDENCYPART_HEADBIGRAM
(14,9),(10,8),-0.115665 # DEPENDENCYPART_HEADBIGRAM
(14,9),(14,8),0.0953059 # DEPENDENCYPART_HEADBIGRAM
(14,9),(16,8),0.0843307 # DEPENDENCYPART_HEADBIGRAM
(14,9),(18,8),0.0762353 # DEPENDENCYPART_HEADBIGRAM
(14,10),(5,9),-0.116884 # DEPENDENCYPART_HEADBIGRAM
(14,10),(7,9),-0.110121 # DEPENDENCYPART_HEADBIGRAM
(14,10),(8,9),-0.172878 # DEPENDENCYPART_HEADBIGRAM
(14,10),(10,9),-0.0929237 # DEPENDENCYPART_HEADBIGRAM
(14,10),(11,9),-0.113453 # DEPENDENCYPART_HEADBIGRAM
(14,10),(14,9),0.0382376 # DEPENDENCYPART_HEADBIGRAM
(14,11),(2,10),-0.105298 # DEPENDENCYPART_HEADBIGRAM
(14,11),(4,10),-0.0575004 # DEPENDENCYPART_HEADBIGRAM
(14,11),(5,10),-0.115783 # DEPENDENCYPART_HEADBIGRAM
(14,11),(7,10),-0.128812 # DEPENDENCYPART_HEADBIGRAM
(14,11),(8,10),-0.0310854 # DEPENDENCYPART_HEADBIGRAM
(14,11),(11,10),-0.0875082 # DEPENDENCYPART_HEADBIGRAM
(14,11),(13,10),-0.126853 # DEPENDENCYPART_HEADBIGRAM
(14,11),(14,10),0.0574272 # DEPENDENCYPART_HEADBIGRAM
(14,11),(16,10),0.0996414 # DEPENDENCYPART_HEADBIGRAM
(14,11),(19,10),0.0961793 # DEPENDENCYPART_HEADBIGRAM
(14,12),(4,11),-0.102911 # DEPENDENCYPART_HEADBIGRAM
(14,12),(5,11),-0.0520179 # DEPENDENCYPART_HEADBIGRAM
(14,12),(7,11),-0.0872495 # DEPENDENCYPART_HEADBIGRAM
(14,12),(8,11),-0.132077 # DEPENDENCYPART_HEADBIGRAM
(14,12),(9,11),-0.152122 # DEPENDENCYPART_HEADBIGRAM
(14,12),(10,11),-0.0743677 # DEPENDENCYPART_HEADBIGRAM
(14,12),(12,11),-0.088642 # DEPENDENCYPART_HEADBIGRAM
(14,12),(13,11),-0.124443 # DEPENDENCYPART_HEADBIGRAM
