# _root_ London-based LIT Holdings , the largest financer of traders in the Chicago options and futures markets , said yesterday it will incur a second-half loss as a result of the market plunge .
#goldHeads=3,3,18,3,7,7,3,7,8,7,16,16,14,16,14,10,3,0,18,21,18,21,25,25,22,22,28,26,28,32,32,29,18,
#predictedHeads=3,3,18,3,7,7,3,7,8,9,16,16,14,16,14,10,3,0,18,21,18,21,25,25,22,22,28,26,28,32,32,29,18,
(21,16),(21,13),(21,12),-0.175212 # DEPENDENCYPART_TRISIBL
(21,16),(21,13),(21,10),0.017805 # DEPENDENCYPART_TRISIBL
(21,16),(21,13),(21,9),-0.174667 # DEPENDENCYPART_TRISIBL
(21,16),(21,13),(21,8),-0.0291272 # DEPENDENCYPART_TRISIBL
(21,16),(21,13),(21,7),-0.174199 # DEPENDENCYPART_TRISIBL
(21,16),(21,13),(21,4),-0.0935937 # DEPENDENCYPART_TRISIBL
(21,16),(21,13),(21,2),-0.174199 # DEPENDENCYPART_TRISIBL
(21,16),(21,13),(21,-1),-0.110198 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,16),(21,12),(21,10),0.0178039 # DEPENDENCYPART_TRISIBL
(21,16),(21,12),(21,9),-0.175037 # DEPENDENCYPART_TRISIBL
(21,16),(21,12),(21,8),-0.0291282 # DEPENDENCYPART_TRISIBL
(21,16),(21,12),(21,7),-0.174569 # DEPENDENCYPART_TRISIBL
(21,16),(21,12),(21,4),-0.0935937 # DEPENDENCYPART_TRISIBL
(21,16),(21,12),(21,2),-0.174569 # DEPENDENCYPART_TRISIBL
(21,16),(21,12),(21,-1),-0.105297 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,16),(21,10),(21,9),-0.182889 # DEPENDENCYPART_TRISIBL
(21,16),(21,10),(21,8),-0.0345448 # DEPENDENCYPART_TRISIBL
(21,16),(21,10),(21,7),-0.182422 # DEPENDENCYPART_TRISIBL
(21,16),(21,10),(21,4),-0.15015 # DEPENDENCYPART_TRISIBL
(21,16),(21,10),(21,2),-0.182422 # DEPENDENCYPART_TRISIBL
(21,16),(21,10),(21,-1),0.0111076 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,16),(21,9),(21,8),-0.0291765 # DEPENDENCYPART_TRISIBL
(21,16),(21,9),(21,7),-0.17422 # DEPENDENCYPART_TRISIBL
(21,16),(21,9),(21,4),-0.0935937 # DEPENDENCYPART_TRISIBL
(21,16),(21,9),(21,2),-0.17422 # DEPENDENCYPART_TRISIBL
(21,16),(21,9),(21,-1),-0.107928 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,16),(21,8),(21,7),-0.181047 # DEPENDENCYPART_TRISIBL
(21,16),(21,8),(21,4),-0.155154 # DEPENDENCYPART_TRISIBL
(21,16),(21,8),(21,2),-0.181047 # DEPENDENCYPART_TRISIBL
(21,16),(21,8),(21,-1),0.00241937 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,16),(21,7),(21,4),-0.0935937 # DEPENDENCYPART_TRISIBL
(21,16),(21,7),(21,2),-0.174199 # DEPENDENCYPART_TRISIBL
(21,16),(21,7),(21,-1),-0.110065 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,16),(21,4),(21,2),-0.179389 # DEPENDENCYPART_TRISIBL
(21,16),(21,4),(21,-1),-0.208023 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,16),(21,2),(21,-1),-0.110065 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,15),(21,14),(21,13),-0.137222 # DEPENDENCYPART_TRISIBL
(21,15),(21,14),(21,12),-0.135443 # DEPENDENCYPART_TRISIBL
(21,15),(21,14),(21,10),0.0108403 # DEPENDENCYPART_TRISIBL
(21,15),(21,14),(21,9),-0.137638 # DEPENDENCYPART_TRISIBL
(21,15),(21,14),(21,8),-0.0351362 # DEPENDENCYPART_TRISIBL
(21,15),(21,14),(21,7),-0.137136 # DEPENDENCYPART_TRISIBL
(21,15),(21,14),(21,4),-0.0713197 # DEPENDENCYPART_TRISIBL
(21,15),(21,14),(21,2),-0.137136 # DEPENDENCYPART_TRISIBL
(21,15),(21,14),(21,-1),-0.120529 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,15),(21,13),(21,12),-0.179431 # DEPENDENCYPART_TRISIBL
(21,15),(21,13),(21,10),0.0191614 # DEPENDENCYPART_TRISIBL
(21,15),(21,13),(21,9),-0.178885 # DEPENDENCYPART_TRISIBL
(21,15),(21,13),(21,8),-0.0277707 # DEPENDENCYPART_TRISIBL
(21,15),(21,13),(21,7),-0.178417 # DEPENDENCYPART_TRISIBL
(21,15),(21,13),(21,4),-0.0929185 # DEPENDENCYPART_TRISIBL
(21,15),(21,13),(21,2),-0.178417 # DEPENDENCYPART_TRISIBL
(21,15),(21,13),(21,-1),-0.11622 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,15),(21,12),(21,10),0.0191604 # DEPENDENCYPART_TRISIBL
(21,15),(21,12),(21,9),-0.179255 # DEPENDENCYPART_TRISIBL
(21,15),(21,12),(21,8),-0.0277717 # DEPENDENCYPART_TRISIBL
(21,15),(21,12),(21,7),-0.178787 # DEPENDENCYPART_TRISIBL
(21,15),(21,12),(21,4),-0.0929185 # DEPENDENCYPART_TRISIBL
(21,15),(21,12),(21,2),-0.178787 # DEPENDENCYPART_TRISIBL
(21,15),(21,12),(21,-1),-0.111319 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,15),(21,10),(21,9),-0.185547 # DEPENDENCYPART_TRISIBL
(21,15),(21,10),(21,8),-0.0331376 # DEPENDENCYPART_TRISIBL
(21,15),(21,10),(21,7),-0.185081 # DEPENDENCYPART_TRISIBL
(21,15),(21,10),(21,4),-0.149477 # DEPENDENCYPART_TRISIBL
(21,15),(21,10),(21,2),-0.185081 # DEPENDENCYPART_TRISIBL
(21,15),(21,10),(21,-1),0.00631665 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,15),(21,9),(21,8),-0.02782 # DEPENDENCYPART_TRISIBL
(21,15),(21,9),(21,7),-0.178438 # DEPENDENCYPART_TRISIBL
(21,15),(21,9),(21,4),-0.0929185 # DEPENDENCYPART_TRISIBL
(21,15),(21,9),(21,2),-0.178438 # DEPENDENCYPART_TRISIBL
(21,15),(21,9),(21,-1),-0.113951 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,15),(21,8),(21,7),-0.183706 # DEPENDENCYPART_TRISIBL
(21,15),(21,8),(21,4),-0.15448 # DEPENDENCYPART_TRISIBL
(21,15),(21,8),(21,2),-0.183706 # DEPENDENCYPART_TRISIBL
(21,15),(21,8),(21,-1),-0.00237158 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,15),(21,7),(21,4),-0.0929185 # DEPENDENCYPART_TRISIBL
(21,15),(21,7),(21,2),-0.178417 # DEPENDENCYPART_TRISIBL
(21,15),(21,7),(21,-1),-0.116088 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,15),(21,4),(21,2),-0.182877 # DEPENDENCYPART_TRISIBL
(21,15),(21,4),(21,-1),-0.213151 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,15),(21,2),(21,-1),-0.116088 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,14),(21,13),(21,12),-0.0686253 # DEPENDENCYPART_TRISIBL
(21,14),(21,13),(21,10),-0.0433235 # DEPENDENCYPART_TRISIBL
(21,14),(21,13),(21,9),-0.0675417 # DEPENDENCYPART_TRISIBL
(21,14),(21,13),(21,8),-0.0524554 # DEPENDENCYPART_TRISIBL
(21,14),(21,13),(21,7),-0.0675005 # DEPENDENCYPART_TRISIBL
(21,14),(21,13),(21,4),-0.0474853 # DEPENDENCYPART_TRISIBL
(21,14),(21,13),(21,2),-0.0675005 # DEPENDENCYPART_TRISIBL
(21,14),(21,13),(21,-1),-0.104319 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,14),(21,12),(21,10),-0.0433235 # DEPENDENCYPART_TRISIBL
(21,14),(21,12),(21,9),-0.0675425 # DEPENDENCYPART_TRISIBL
(21,14),(21,12),(21,8),-0.0524554 # DEPENDENCYPART_TRISIBL
(21,14),(21,12),(21,7),-0.0675013 # DEPENDENCYPART_TRISIBL
(21,14),(21,12),(21,4),-0.0474853 # DEPENDENCYPART_TRISIBL
(21,14),(21,12),(21,2),-0.0675013 # DEPENDENCYPART_TRISIBL
(21,14),(21,12),(21,-1),-0.10466 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,14),(21,10),(21,9),-0.0747546 # DEPENDENCYPART_TRISIBL
(21,14),(21,10),(21,8),-0.0194474 # DEPENDENCYPART_TRISIBL
(21,14),(21,10),(21,7),-0.0747189 # DEPENDENCYPART_TRISIBL
(21,14),(21,10),(21,4),-0.0470516 # DEPENDENCYPART_TRISIBL
(21,14),(21,10),(21,2),-0.0747189 # DEPENDENCYPART_TRISIBL
(21,14),(21,10),(21,-1),-0.0374352 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,14),(21,9),(21,8),-0.0524554 # DEPENDENCYPART_TRISIBL
(21,14),(21,9),(21,7),-0.0675006 # DEPENDENCYPART_TRISIBL
(21,14),(21,9),(21,4),-0.0474853 # DEPENDENCYPART_TRISIBL
(21,14),(21,9),(21,2),-0.0675006 # DEPENDENCYPART_TRISIBL
(21,14),(21,9),(21,-1),-0.104374 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,14),(21,8),(21,7),-0.0734625 # DEPENDENCYPART_TRISIBL
(21,14),(21,8),(21,4),-0.0472145 # DEPENDENCYPART_TRISIBL
(21,14),(21,8),(21,2),-0.0734625 # DEPENDENCYPART_TRISIBL
(21,14),(21,8),(21,-1),-0.0350467 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,14),(21,7),(21,4),-0.0474853 # DEPENDENCYPART_TRISIBL
(21,14),(21,7),(21,2),-0.0675005 # DEPENDENCYPART_TRISIBL
(21,14),(21,7),(21,-1),-0.104319 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,14),(21,4),(21,2),-0.026302 # DEPENDENCYPART_TRISIBL
(21,14),(21,4),(21,-1),-0.162616 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,14),(21,2),(21,-1),-0.104319 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,13),(21,12),(21,10),0.0192745 # DEPENDENCYPART_TRISIBL
(21,13),(21,12),(21,9),-0.17986 # DEPENDENCYPART_TRISIBL
(21,13),(21,12),(21,8),-0.0276576 # DEPENDENCYPART_TRISIBL
(21,13),(21,12),(21,7),-0.179392 # DEPENDENCYPART_TRISIBL
(21,13),(21,12),(21,4),-0.0929184 # DEPENDENCYPART_TRISIBL
(21,13),(21,12),(21,2),-0.179392 # DEPENDENCYPART_TRISIBL
(21,13),(21,12),(21,-1),-0.10976 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,13),(21,10),(21,9),-0.185409 # DEPENDENCYPART_TRISIBL
(21,13),(21,10),(21,8),-0.0330202 # DEPENDENCYPART_TRISIBL
(21,13),(21,10),(21,7),-0.184942 # DEPENDENCYPART_TRISIBL
(21,13),(21,10),(21,4),-0.149477 # DEPENDENCYPART_TRISIBL
(21,13),(21,10),(21,2),-0.184942 # DEPENDENCYPART_TRISIBL
(21,13),(21,10),(21,-1),0.00390806 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,13),(21,9),(21,8),-0.0277059 # DEPENDENCYPART_TRISIBL
(21,13),(21,9),(21,7),-0.179043 # DEPENDENCYPART_TRISIBL
(21,13),(21,9),(21,4),-0.0929184 # DEPENDENCYPART_TRISIBL
(21,13),(21,9),(21,2),-0.179043 # DEPENDENCYPART_TRISIBL
(21,13),(21,9),(21,-1),-0.112391 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,13),(21,8),(21,7),-0.183567 # DEPENDENCYPART_TRISIBL
(21,13),(21,8),(21,4),-0.15448 # DEPENDENCYPART_TRISIBL
(21,13),(21,8),(21,2),-0.183567 # DEPENDENCYPART_TRISIBL
(21,13),(21,8),(21,-1),-0.00478016 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,13),(21,7),(21,4),-0.0929184 # DEPENDENCYPART_TRISIBL
(21,13),(21,7),(21,2),-0.179022 # DEPENDENCYPART_TRISIBL
(21,13),(21,7),(21,-1),-0.114529 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,13),(21,4),(21,2),-0.182614 # DEPENDENCYPART_TRISIBL
(21,13),(21,4),(21,-1),-0.212943 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,13),(21,2),(21,-1),-0.114529 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,12),(21,10),(21,9),-0.186661 # DEPENDENCYPART_TRISIBL
(21,12),(21,10),(21,8),-0.0330671 # DEPENDENCYPART_TRISIBL
(21,12),(21,10),(21,7),-0.186194 # DEPENDENCYPART_TRISIBL
(21,12),(21,10),(21,4),-0.149477 # DEPENDENCYPART_TRISIBL
(21,12),(21,10),(21,2),-0.186194 # DEPENDENCYPART_TRISIBL
(21,12),(21,10),(21,-1),0.00631324 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,12),(21,9),(21,8),-0.0277653 # DEPENDENCYPART_TRISIBL
(21,12),(21,9),(21,7),-0.180298 # DEPENDENCYPART_TRISIBL
(21,12),(21,9),(21,4),-0.0929188 # DEPENDENCYPART_TRISIBL
(21,12),(21,9),(21,2),-0.180298 # DEPENDENCYPART_TRISIBL
(21,12),(21,9),(21,-1),-0.110023 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,12),(21,8),(21,7),-0.184819 # DEPENDENCYPART_TRISIBL
(21,12),(21,8),(21,4),-0.15448 # DEPENDENCYPART_TRISIBL
(21,12),(21,8),(21,2),-0.184819 # DEPENDENCYPART_TRISIBL
(21,12),(21,8),(21,-1),-0.00237498 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,12),(21,7),(21,4),-0.0929188 # DEPENDENCYPART_TRISIBL
(21,12),(21,7),(21,2),-0.180277 # DEPENDENCYPART_TRISIBL
(21,12),(21,7),(21,-1),-0.11216 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,12),(21,4),(21,2),-0.184925 # DEPENDENCYPART_TRISIBL
(21,12),(21,4),(21,-1),-0.210751 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,12),(21,2),(21,-1),-0.11216 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,10),(21,9),(21,8),-0.131989 # DEPENDENCYPART_TRISIBL
(21,10),(21,9),(21,7),-0.101327 # DEPENDENCYPART_TRISIBL
(21,10),(21,9),(21,4),-0.0884217 # DEPENDENCYPART_TRISIBL
(21,10),(21,9),(21,2),-0.101327 # DEPENDENCYPART_TRISIBL
(21,10),(21,9),(21,-1),-0.0234116 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,10),(21,8),(21,7),-0.106339 # DEPENDENCYPART_TRISIBL
(21,10),(21,8),(21,4),-0.102836 # DEPENDENCYPART_TRISIBL
(21,10),(21,8),(21,2),-0.106339 # DEPENDENCYPART_TRISIBL
(21,10),(21,8),(21,-1),-0.000845597 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,10),(21,7),(21,4),-0.0884217 # DEPENDENCYPART_TRISIBL
(21,10),(21,7),(21,2),-0.101327 # DEPENDENCYPART_TRISIBL
(21,10),(21,7),(21,-1),-0.0233659 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,10),(21,4),(21,2),-0.0106171 # DEPENDENCYPART_TRISIBL
(21,10),(21,4),(21,-1),-0.0590693 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,10),(21,2),(21,-1),-0.0233659 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,9),(21,8),(21,7),-0.189784 # DEPENDENCYPART_TRISIBL
(21,9),(21,8),(21,4),-0.154717 # DEPENDENCYPART_TRISIBL
(21,9),(21,8),(21,2),-0.189784 # DEPENDENCYPART_TRISIBL
(21,9),(21,8),(21,-1),0.0121345 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,9),(21,7),(21,4),-0.0931549 # DEPENDENCYPART_TRISIBL
(21,9),(21,7),(21,2),-0.185241 # DEPENDENCYPART_TRISIBL
(21,9),(21,7),(21,-1),-0.0994383 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,9),(21,4),(21,2),-0.194404 # DEPENDENCYPART_TRISIBL
(21,9),(21,4),(21,-1),-0.18994 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,9),(21,2),(21,-1),-0.0994383 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,8),(21,7),(21,4),-0.0949539 # DEPENDENCYPART_TRISIBL
(21,8),(21,7),(21,2),-0.0818113 # DEPENDENCYPART_TRISIBL
(21,8),(21,7),(21,-1),-0.0799334 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,8),(21,4),(21,2),0.000848865 # DEPENDENCYPART_TRISIBL
(21,8),(21,4),(21,-1),-0.102441 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,8),(21,2),(21,-1),-0.0799334 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,7),(21,4),(21,2),-0.182603 # DEPENDENCYPART_TRISIBL
(21,7),(21,4),(21,-1),-0.209771 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,7),(21,2),(21,-1),-0.111343 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(21,4),(21,2),(21,-1),0.0514431 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,22),(22,23),(22,24),-0.120177 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,23),(22,25),-0.115761 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,23),(22,26),-0.0562459 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,23),(22,27),-0.0955807 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,23),(22,28),-0.115417 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,23),(22,29),-0.121327 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,23),(22,30),-0.111022 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,23),(22,31),-0.132616 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,23),(22,32),-0.123663 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,23),(22,33),-0.0820265 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,23),(22,34),-0.0907906 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(22,22),(22,24),(22,25),-0.0430482 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,24),(22,26),-0.0263219 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,24),(22,27),-0.0820964 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,24),(22,28),-0.0423928 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,24),(22,29),-0.0779104 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,24),(22,30),-0.0980947 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,24),(22,31),-0.0606185 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,24),(22,32),-0.050721 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,24),(22,33),-0.0261101 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,24),(22,34),-0.0219269 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(22,22),(22,25),(22,26),0.0680541 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,25),(22,27),-0.113886 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,25),(22,28),-0.0249129 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,25),(22,29),0.00508549 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,25),(22,30),-0.130565 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,25),(22,31),-0.0432073 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,25),(22,32),-0.0349276 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,25),(22,33),-0.0246393 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,25),(22,34),-0.00120635 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(22,22),(22,26),(22,27),-0.084575 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,26),(22,28),-0.0663136 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,26),(22,29),-0.107229 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,26),(22,30),-0.10187 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,26),(22,31),-0.0897798 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,26),(22,32),-0.0742042 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,26),(22,33),-0.153876 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,26),(22,34),-0.0756228 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(22,22),(22,27),(22,28),-0.115417 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,27),(22,29),-0.121327 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,27),(22,30),-0.111022 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,27),(22,31),-0.132616 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,27),(22,32),-0.123663 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,27),(22,33),-0.0820265 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,27),(22,34),-0.0907906 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(22,22),(22,28),(22,29),-0.0167893 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,28),(22,30),-0.130565 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,28),(22,31),-0.052075 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,28),(22,32),-0.0437953 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,28),(22,33),-0.0202694 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,28),(22,34),0.00232547 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(22,22),(22,29),(22,30),-0.109056 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,29),(22,31),-0.0857655 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,29),(22,32),-0.07019 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,29),(22,33),-0.116488 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,29),(22,34),-0.056833 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(22,22),(22,30),(22,31),-0.153266 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,30),(22,32),-0.144313 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,30),(22,33),-0.0798205 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,30),(22,34),-0.1236 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(22,22),(22,31),(22,32),-0.0491781 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,31),(22,33),-0.038341 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,31),(22,34),-0.0303369 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(22,22),(22,32),(22,33),-0.0193943 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(22,22),(22,32),(22,34),-0.00169434 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(22,22),(22,33),(22,34),-0.15702 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(22,23),(22,24),(22,25),-0.0785876 # DEPENDENCYPART_TRISIBL
(22,23),(22,24),(22,26),-0.0778206 # DEPENDENCYPART_TRISIBL
(22,23),(22,24),(22,27),-0.0696278 # DEPENDENCYPART_TRISIBL
(22,23),(22,24),(22,28),-0.0785873 # DEPENDENCYPART_TRISIBL
(22,23),(22,24),(22,29),-0.0732893 # DEPENDENCYPART_TRISIBL
(22,23),(22,24),(22,30),-0.0696533 # DEPENDENCYPART_TRISIBL
(22,23),(22,24),(22,31),-0.078659 # DEPENDENCYPART_TRISIBL
(22,23),(22,24),(22,32),-0.078619 # DEPENDENCYPART_TRISIBL
(22,23),(22,24),(22,33),-0.0565806 # DEPENDENCYPART_TRISIBL
(22,23),(22,24),(22,34),-0.0943294 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,23),(22,25),(22,26),-0.0774324 # DEPENDENCYPART_TRISIBL
(22,23),(22,25),(22,27),-0.0697829 # DEPENDENCYPART_TRISIBL
(22,23),(22,25),(22,28),-0.0852208 # DEPENDENCYPART_TRISIBL
(22,23),(22,25),(22,29),-0.063937 # DEPENDENCYPART_TRISIBL
(22,23),(22,25),(22,30),-0.0698055 # DEPENDENCYPART_TRISIBL
(22,23),(22,25),(22,31),-0.0852946 # DEPENDENCYPART_TRISIBL
(22,23),(22,25),(22,32),-0.0852683 # DEPENDENCYPART_TRISIBL
(22,23),(22,25),(22,33),0.000787422 # DEPENDENCYPART_TRISIBL
(22,23),(22,25),(22,34),-0.0744864 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,23),(22,26),(22,27),-0.069635 # DEPENDENCYPART_TRISIBL
(22,23),(22,26),(22,28),-0.0817641 # DEPENDENCYPART_TRISIBL
(22,23),(22,26),(22,29),-0.0727196 # DEPENDENCYPART_TRISIBL
(22,23),(22,26),(22,30),-0.0696666 # DEPENDENCYPART_TRISIBL
(22,23),(22,26),(22,31),-0.0818355 # DEPENDENCYPART_TRISIBL
(22,23),(22,26),(22,32),-0.0817958 # DEPENDENCYPART_TRISIBL
(22,23),(22,26),(22,33),-0.0405555 # DEPENDENCYPART_TRISIBL
(22,23),(22,26),(22,34),-0.0578666 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,23),(22,27),(22,28),-0.0774209 # DEPENDENCYPART_TRISIBL
(22,23),(22,27),(22,29),-0.0686059 # DEPENDENCYPART_TRISIBL
(22,23),(22,27),(22,30),-0.0696461 # DEPENDENCYPART_TRISIBL
(22,23),(22,27),(22,31),-0.0774918 # DEPENDENCYPART_TRISIBL
(22,23),(22,27),(22,32),-0.0774526 # DEPENDENCYPART_TRISIBL
(22,23),(22,27),(22,33),-0.0418791 # DEPENDENCYPART_TRISIBL
(22,23),(22,27),(22,34),-0.0822135 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,23),(22,28),(22,29),-0.0639364 # DEPENDENCYPART_TRISIBL
(22,23),(22,28),(22,30),-0.0698055 # DEPENDENCYPART_TRISIBL
(22,23),(22,28),(22,31),-0.0852946 # DEPENDENCYPART_TRISIBL
(22,23),(22,28),(22,32),-0.0852683 # DEPENDENCYPART_TRISIBL
(22,23),(22,28),(22,33),0.000739199 # DEPENDENCYPART_TRISIBL
(22,23),(22,28),(22,34),-0.0745665 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(22,23),(22,29),(22,30),-0.069675 # DEPENDENCYPART_TRISIBL
(22,23),(22,29),(22,31),-0.082106 # DEPENDENCYPART_TRISIBL
(22,23),(22,29),(22,32),-0.0820662 # DEPENDENCYPART_TRISIBL
