# _root_ Martin Fabi , Innopac 's president and chief executive , said Innopac viewed Mr. Pattison 's decision to seek control as a `` very positive '' move .
#goldHeads=2,11,2,7,4,7,2,9,7,2,0,13,11,15,17,15,13,19,17,19,13,27,27,25,27,27,21,11,
#predictedHeads=2,11,2,6,4,7,2,9,7,2,0,13,11,15,17,15,13,19,17,19,13,27,27,25,27,27,21,11,
(27,28),(28,27),(28,-1),-0.1457 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(28,27),(27,27),(27,28),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,27),(27,27),(27,29),-0.226117 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(28,27),(27,28),(27,29),-0.144701 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(28,27),(27,27),(27,26),-0.0194405 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,27),(27,27),(27,25),-0.0345681 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,27),(27,27),(27,24),-0.0223808 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,27),(27,27),(27,23),-0.0194405 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,27),(27,27),(27,22),-0.0320347 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,27),(27,27),(27,21),-0.0199348 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,27),(27,27),(27,20),-0.0312489 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,27),(27,27),(27,17),-0.0312489 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(28,27),(27,27),(27,-1),-0.0378867 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(28,27),(27,26),(27,25),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(28,27),(27,26),(27,24),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(28,27),(27,26),(27,23),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(28,27),(27,26),(27,22),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(28,27),(27,26),(27,21),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(28,27),(27,26),(27,20),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(28,27),(27,26),(27,17),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(28,27),(27,26),(27,-1),-0.0194405 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(28,27),(27,25),(27,24),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(28,27),(27,25),(27,23),-0.0194465 # DEPENDENCYPART_GRANDSIBL
(28,27),(27,25),(27,22),-0.0226257 # DEPENDENCYPART_GRANDSIBL
(28,27),(27,25),(27,21),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(28,27),(27,25),(27,20),-0.0194762 # DEPENDENCYPART_GRANDSIBL
(28,27),(27,25),(27,17),-0.0194762 # DEPENDENCYPART_GRANDSIBL
(28,27),(27,25),(27,-1),-0.0305036 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(28,27),(27,24),(27,23),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(28,27),(27,24),(27,22),-0.0194408 # DEPENDENCYPART_GRANDSIBL
(28,27),(27,24),(27,21),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(28,27),(27,24),(27,20),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(28,27),(27,24),(27,17),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(28,27),(27,24),(27,-1),-0.0223808 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(28,27),(27,23),(27,22),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(28,27),(27,23),(27,21),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(28,27),(27,23),(27,20),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(28,27),(27,23),(27,17),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(28,27),(27,23),(27,-1),-0.0194485 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(28,27),(27,22),(27,21),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(28,27),(27,22),(27,20),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(28,27),(27,22),(27,17),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(28,27),(27,22),(27,-1),-0.0363794 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(28,27),(27,21),(27,20),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(28,27),(27,21),(27,17),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(28,27),(27,21),(27,-1),-0.0200056 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(28,27),(27,20),(27,17),-0.0194833 # DEPENDENCYPART_GRANDSIBL
(28,27),(27,20),(27,-1),-0.0311565 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(28,27),(27,17),(27,-1),-0.0311565 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,0),(0,2),(0,7),-0.192407 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(0,0),(0,2),(0,11),-0.18846 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(0,0),(0,2),(0,13),-0.173276 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(0,0),(0,2),(0,29),0.27969 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(0,0),(0,7),(0,11),-0.187378 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(0,0),(0,7),(0,13),-0.176689 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(0,0),(0,7),(0,29),0.426314 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(0,0),(0,11),(0,13),-0.275815 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(0,0),(0,11),(0,29),0.804097 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(0,0),(0,13),(0,29),0.733882 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(0,2),(0,7),(0,11),-0.0887858 # DEPENDENCYPART_TRISIBL
(0,2),(0,7),(0,13),-0.0841263 # DEPENDENCYPART_TRISIBL
(0,2),(0,7),(0,29),-0.171242 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(0,2),(0,11),(0,13),-0.0907543 # DEPENDENCYPART_TRISIBL
(0,2),(0,11),(0,29),-0.122634 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(0,2),(0,13),(0,29),-0.117287 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(0,7),(0,11),(0,13),-0.0827792 # DEPENDENCYPART_TRISIBL
(0,7),(0,11),(0,29),-0.223673 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(0,7),(0,13),(0,29),-0.221071 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(0,11),(0,13),(0,29),-0.237155 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,1),(1,2),(1,3),-0.119002 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(1,1),(1,2),(1,4),-0.115687 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(1,1),(1,2),(1,5),-0.00471736 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(1,1),(1,2),(1,6),-0.0873971 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(1,1),(1,2),(1,7),-0.133643 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(1,1),(1,2),(1,10),-0.119002 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(1,1),(1,2),(1,11),-0.110577 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(1,1),(1,2),(1,29),-0.116863 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(1,1),(1,3),(1,4),-0.0543824 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(1,1),(1,3),(1,5),-0.0368885 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(1,1),(1,3),(1,6),-0.00478762 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(1,1),(1,3),(1,7),-0.0180347 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(1,1),(1,3),(1,10),-0.206723 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(1,1),(1,3),(1,11),-0.156514 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(1,1),(1,3),(1,29),-0.681373 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(1,1),(1,4),(1,5),-0.00471736 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(1,1),(1,4),(1,6),-0.0873971 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(1,1),(1,4),(1,7),-0.133643 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(1,1),(1,4),(1,10),-0.119002 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(1,1),(1,4),(1,11),-0.110577 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(1,1),(1,4),(1,29),-0.117296 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(1,1),(1,5),(1,6),-0.132216 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(1,1),(1,5),(1,7),-0.0489106 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(1,1),(1,5),(1,10),-0.0460462 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(1,1),(1,5),(1,11),-0.140076 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(1,1),(1,5),(1,29),0.0409859 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(1,1),(1,6),(1,7),-0.133727 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(1,1),(1,6),(1,10),-0.121862 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(1,1),(1,6),(1,11),-0.110636 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(1,1),(1,6),(1,29),-0.111378 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(1,1),(1,7),(1,10),-0.105325 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(1,1),(1,7),(1,11),-0.0753883 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(1,1),(1,7),(1,29),-0.071878 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(1,1),(1,10),(1,11),-0.156514 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(1,1),(1,10),(1,29),-0.681373 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(1,1),(1,11),(1,29),-0.10906 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(1,2),(1,3),(1,4),-0.0825013 # DEPENDENCYPART_TRISIBL
(1,2),(1,3),(1,5),-0.0712849 # DEPENDENCYPART_TRISIBL
(1,2),(1,3),(1,6),-0.0800253 # DEPENDENCYPART_TRISIBL
(1,2),(1,3),(1,7),-0.111277 # DEPENDENCYPART_TRISIBL
(1,2),(1,3),(1,10),-0.0421325 # DEPENDENCYPART_TRISIBL
(1,2),(1,3),(1,11),-0.108432 # DEPENDENCYPART_TRISIBL
(1,2),(1,3),(1,29),-0.0346515 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,2),(1,4),(1,5),-0.0698074 # DEPENDENCYPART_TRISIBL
(1,2),(1,4),(1,6),-0.0673712 # DEPENDENCYPART_TRISIBL
(1,2),(1,4),(1,7),-0.140758 # DEPENDENCYPART_TRISIBL
(1,2),(1,4),(1,10),-0.0454852 # DEPENDENCYPART_TRISIBL
(1,2),(1,4),(1,11),-0.0926022 # DEPENDENCYPART_TRISIBL
(1,2),(1,4),(1,29),-0.128575 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,2),(1,5),(1,6),-0.067511 # DEPENDENCYPART_TRISIBL
(1,2),(1,5),(1,7),-0.127544 # DEPENDENCYPART_TRISIBL
(1,2),(1,5),(1,10),-0.0390265 # DEPENDENCYPART_TRISIBL
(1,2),(1,5),(1,11),-0.088114 # DEPENDENCYPART_TRISIBL
(1,2),(1,5),(1,29),-0.0686685 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,2),(1,6),(1,7),-0.140949 # DEPENDENCYPART_TRISIBL
(1,2),(1,6),(1,10),-0.045513 # DEPENDENCYPART_TRISIBL
(1,2),(1,6),(1,11),-0.0926161 # DEPENDENCYPART_TRISIBL
(1,2),(1,6),(1,29),-0.13056 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,2),(1,7),(1,10),-0.0468603 # DEPENDENCYPART_TRISIBL
(1,2),(1,7),(1,11),-0.094121 # DEPENDENCYPART_TRISIBL
(1,2),(1,7),(1,29),-0.186071 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,2),(1,10),(1,11),-0.108432 # DEPENDENCYPART_TRISIBL
(1,2),(1,10),(1,29),-0.0346515 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,2),(1,11),(1,29),-0.131489 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,3),(1,4),(1,5),-0.065535 # DEPENDENCYPART_TRISIBL
(1,3),(1,4),(1,6),-0.0783536 # DEPENDENCYPART_TRISIBL
(1,3),(1,4),(1,7),-0.0626494 # DEPENDENCYPART_TRISIBL
(1,3),(1,4),(1,10),0.507469 # DEPENDENCYPART_TRISIBL
(1,3),(1,4),(1,11),-0.0611758 # DEPENDENCYPART_TRISIBL
(1,3),(1,4),(1,29),-0.0989002 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,3),(1,5),(1,6),0.0119113 # DEPENDENCYPART_TRISIBL
(1,3),(1,5),(1,7),-0.0349704 # DEPENDENCYPART_TRISIBL
(1,3),(1,5),(1,10),0.344732 # DEPENDENCYPART_TRISIBL
(1,3),(1,5),(1,11),-0.0377443 # DEPENDENCYPART_TRISIBL
(1,3),(1,5),(1,29),-0.192616 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,3),(1,6),(1,7),-0.0638217 # DEPENDENCYPART_TRISIBL
(1,3),(1,6),(1,10),0.517194 # DEPENDENCYPART_TRISIBL
(1,3),(1,6),(1,11),-0.0633234 # DEPENDENCYPART_TRISIBL
(1,3),(1,6),(1,29),-0.0567292 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,3),(1,7),(1,10),0.538683 # DEPENDENCYPART_TRISIBL
(1,3),(1,7),(1,11),-0.0571658 # DEPENDENCYPART_TRISIBL
(1,3),(1,7),(1,29),-0.10297 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,3),(1,10),(1,11),-0.0631875 # DEPENDENCYPART_TRISIBL
(1,3),(1,10),(1,29),-0.229749 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,3),(1,11),(1,29),-0.0733775 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,4),(1,5),(1,6),-0.0675113 # DEPENDENCYPART_TRISIBL
(1,4),(1,5),(1,7),-0.127544 # DEPENDENCYPART_TRISIBL
(1,4),(1,5),(1,10),-0.0390265 # DEPENDENCYPART_TRISIBL
(1,4),(1,5),(1,11),-0.088114 # DEPENDENCYPART_TRISIBL
(1,4),(1,5),(1,29),-0.0686693 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,4),(1,6),(1,7),-0.140949 # DEPENDENCYPART_TRISIBL
(1,4),(1,6),(1,10),-0.045513 # DEPENDENCYPART_TRISIBL
(1,4),(1,6),(1,11),-0.0926161 # DEPENDENCYPART_TRISIBL
(1,4),(1,6),(1,29),-0.130561 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,4),(1,7),(1,10),-0.0468603 # DEPENDENCYPART_TRISIBL
(1,4),(1,7),(1,11),-0.094121 # DEPENDENCYPART_TRISIBL
(1,4),(1,7),(1,29),-0.186072 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,4),(1,10),(1,11),-0.108432 # DEPENDENCYPART_TRISIBL
(1,4),(1,10),(1,29),-0.0346531 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,4),(1,11),(1,29),-0.13149 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,5),(1,6),(1,7),-0.0711653 # DEPENDENCYPART_TRISIBL
(1,5),(1,6),(1,10),-0.119421 # DEPENDENCYPART_TRISIBL
(1,5),(1,6),(1,11),-0.0609968 # DEPENDENCYPART_TRISIBL
(1,5),(1,6),(1,29),-0.0851119 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,5),(1,7),(1,10),-0.0507295 # DEPENDENCYPART_TRISIBL
(1,5),(1,7),(1,11),-0.0603649 # DEPENDENCYPART_TRISIBL
(1,5),(1,7),(1,29),-0.0788825 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,5),(1,10),(1,11),-0.0736976 # DEPENDENCYPART_TRISIBL
(1,5),(1,10),(1,29),-0.116507 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,5),(1,11),(1,29),-0.126926 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,6),(1,7),(1,10),-0.0476252 # DEPENDENCYPART_TRISIBL
(1,6),(1,7),(1,11),-0.10186 # DEPENDENCYPART_TRISIBL
(1,6),(1,7),(1,29),-0.143291 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,6),(1,10),(1,11),-0.126186 # DEPENDENCYPART_TRISIBL
(1,6),(1,10),(1,29),0.0487252 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,6),(1,11),(1,29),-0.0907414 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,7),(1,10),(1,11),-0.0396065 # DEPENDENCYPART_TRISIBL
(1,7),(1,10),(1,29),0.000303503 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,7),(1,11),(1,29),-0.103155 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,10),(1,11),(1,29),-0.0733775 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,2),(2,3),(2,4),-0.0543681 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,3),(2,5),-0.0368885 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,3),(2,6),-0.00477326 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,3),(2,7),-0.0180331 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,3),(2,9),-0.0411156 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,3),(2,10),-0.206723 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,3),(2,11),-0.156514 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,3),(2,12),-0.0543681 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,3),(2,13),-0.145827 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,3),(2,15),-0.0543701 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,3),(2,23),-0.0617284 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,3),(2,26),-0.0872222 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,3),(2,28),-0.200598 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,3),(2,29),-0.680489 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(2,2),(2,4),(2,5),-0.00471736 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,4),(2,6),-0.0873844 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,4),(2,7),-0.133643 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,4),(2,9),-0.108799 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,4),(2,10),-0.119002 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,4),(2,11),-0.110577 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,4),(2,12),-0.115675 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,4),(2,13),-0.100003 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,4),(2,15),-0.115676 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,4),(2,23),-0.0969867 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,4),(2,26),-0.166723 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,4),(2,28),-0.116264 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,4),(2,29),-0.116056 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(2,2),(2,5),(2,6),-0.132204 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,5),(2,7),-0.0489098 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,5),(2,9),-0.154199 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,5),(2,10),-0.0460459 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,5),(2,11),-0.140076 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,5),(2,12),-0.163046 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,5),(2,13),-0.134733 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,5),(2,15),-0.163047 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,5),(2,23),-0.0498946 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,5),(2,26),-0.170816 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,5),(2,28),-0.133945 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,5),(2,29),0.0418691 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(2,2),(2,6),(2,7),-0.133726 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,6),(2,9),-0.103819 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,6),(2,10),-0.121861 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,6),(2,11),-0.110636 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,6),(2,12),-0.110694 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,6),(2,13),-0.100062 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,6),(2,15),-0.110696 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,6),(2,23),-0.0969867 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,6),(2,26),-0.166723 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,6),(2,28),-0.111965 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,6),(2,29),-0.110138 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(2,2),(2,7),(2,9),-0.150933 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,7),(2,10),-0.105325 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,7),(2,11),-0.075388 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,7),(2,12),-0.159774 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,7),(2,13),-0.0693099 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,7),(2,15),-0.159775 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,7),(2,23),-0.096584 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,7),(2,26),-0.157037 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,7),(2,28),-0.0363191 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,7),(2,29),-0.0709948 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(2,2),(2,9),(2,10),-0.125779 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,9),(2,11),-0.110166 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,9),(2,12),-0.118694 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,9),(2,13),-0.099592 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,9),(2,15),-0.118695 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,9),(2,23),-0.0969876 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,9),(2,26),-0.166723 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,9),(2,28),-0.114604 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,9),(2,29),-0.120576 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(2,2),(2,10),(2,11),-0.156514 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,10),(2,12),-0.0543681 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,10),(2,13),-0.145827 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,10),(2,15),-0.0543701 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,10),(2,23),-0.0617284 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,10),(2,26),-0.0872222 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,10),(2,28),-0.200598 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,10),(2,29),-0.680489 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(2,2),(2,11),(2,12),-0.141708 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,11),(2,13),-0.0945575 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,11),(2,15),-0.14171 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,11),(2,23),-0.147289 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,11),(2,26),-0.13184 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,11),(2,28),-0.0359414 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,11),(2,29),-0.108177 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(2,2),(2,12),(2,13),-0.100003 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,12),(2,15),-0.115676 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,12),(2,23),-0.0969867 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,12),(2,26),-0.166723 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,12),(2,28),-0.116264 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,12),(2,29),-0.116056 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(2,2),(2,13),(2,15),-0.139558 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,13),(2,23),-0.146778 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,13),(2,26),-0.135579 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,13),(2,28),-0.0572653 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,13),(2,29),-0.108759 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(2,2),(2,15),(2,23),-0.0969867 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,15),(2,26),-0.166723 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,15),(2,28),-0.116264 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,15),(2,29),-0.115786 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(2,2),(2,23),(2,26),-0.190765 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(2,2),(2,23),(2,28),-0.133944 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
