# _root_ We think it is n't such a great burden , that it carries no stigma , and we are prepared to do it . ''
#goldHeads=2,17,4,13,4,9,9,9,4,13,13,13,2,15,13,17,0,19,17,19,22,20,22,17,17,
#predictedHeads=2,17,4,2,4,9,9,9,4,17,13,13,17,15,13,17,0,19,17,19,22,20,22,17,17,
(2,4),(2,17),(2,26),-0.149152 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,4),(2,19),(2,22),-0.126471 # DEPENDENCYPART_TRISIBL
(2,4),(2,19),(2,24),-0.125894 # DEPENDENCYPART_TRISIBL
(2,4),(2,19),(2,25),-0.0413485 # DEPENDENCYPART_TRISIBL
(2,4),(2,19),(2,26),-0.0688795 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,4),(2,22),(2,24),-0.129505 # DEPENDENCYPART_TRISIBL
(2,4),(2,22),(2,25),-0.0386086 # DEPENDENCYPART_TRISIBL
(2,4),(2,22),(2,26),-0.0702512 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,4),(2,24),(2,25),0.108888 # DEPENDENCYPART_TRISIBL
(2,4),(2,24),(2,26),0.0102401 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,4),(2,25),(2,26),-0.0663739 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,5),(2,6),(2,7),-0.0727686 # DEPENDENCYPART_TRISIBL
(2,5),(2,6),(2,8),-0.0830859 # DEPENDENCYPART_TRISIBL
(2,5),(2,6),(2,9),-0.170782 # DEPENDENCYPART_TRISIBL
(2,5),(2,6),(2,10),-0.0271928 # DEPENDENCYPART_TRISIBL
(2,5),(2,6),(2,13),-0.0467888 # DEPENDENCYPART_TRISIBL
(2,5),(2,6),(2,16),-0.0271928 # DEPENDENCYPART_TRISIBL
(2,5),(2,6),(2,17),-0.0990104 # DEPENDENCYPART_TRISIBL
(2,5),(2,6),(2,19),-0.0584975 # DEPENDENCYPART_TRISIBL
(2,5),(2,6),(2,22),-0.0500621 # DEPENDENCYPART_TRISIBL
(2,5),(2,6),(2,24),0.0175197 # DEPENDENCYPART_TRISIBL
(2,5),(2,6),(2,25),-0.0963234 # DEPENDENCYPART_TRISIBL
(2,5),(2,6),(2,26),0.0611596 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,5),(2,7),(2,8),-0.0899446 # DEPENDENCYPART_TRISIBL
(2,5),(2,7),(2,9),-0.0775003 # DEPENDENCYPART_TRISIBL
(2,5),(2,7),(2,10),-0.049441 # DEPENDENCYPART_TRISIBL
(2,5),(2,7),(2,13),-0.0268858 # DEPENDENCYPART_TRISIBL
(2,5),(2,7),(2,16),-0.049441 # DEPENDENCYPART_TRISIBL
(2,5),(2,7),(2,17),-0.0983405 # DEPENDENCYPART_TRISIBL
(2,5),(2,7),(2,19),-0.0364137 # DEPENDENCYPART_TRISIBL
(2,5),(2,7),(2,22),-0.0301592 # DEPENDENCYPART_TRISIBL
(2,5),(2,7),(2,24),-0.0048578 # DEPENDENCYPART_TRISIBL
(2,5),(2,7),(2,25),-0.0941824 # DEPENDENCYPART_TRISIBL
(2,5),(2,7),(2,26),-0.0402218 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,5),(2,8),(2,9),-0.170781 # DEPENDENCYPART_TRISIBL
(2,5),(2,8),(2,10),-0.0272634 # DEPENDENCYPART_TRISIBL
(2,5),(2,8),(2,13),-0.0467888 # DEPENDENCYPART_TRISIBL
(2,5),(2,8),(2,16),-0.0272634 # DEPENDENCYPART_TRISIBL
(2,5),(2,8),(2,17),-0.0990101 # DEPENDENCYPART_TRISIBL
(2,5),(2,8),(2,19),-0.0584975 # DEPENDENCYPART_TRISIBL
(2,5),(2,8),(2,22),-0.0500621 # DEPENDENCYPART_TRISIBL
(2,5),(2,8),(2,24),0.0170293 # DEPENDENCYPART_TRISIBL
(2,5),(2,8),(2,25),-0.0963234 # DEPENDENCYPART_TRISIBL
(2,5),(2,8),(2,26),0.0613464 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,5),(2,9),(2,10),0.0358839 # DEPENDENCYPART_TRISIBL
(2,5),(2,9),(2,13),-0.0222231 # DEPENDENCYPART_TRISIBL
(2,5),(2,9),(2,16),0.0358839 # DEPENDENCYPART_TRISIBL
(2,5),(2,9),(2,17),-0.124276 # DEPENDENCYPART_TRISIBL
(2,5),(2,9),(2,19),-0.0277944 # DEPENDENCYPART_TRISIBL
(2,5),(2,9),(2,22),-0.0254964 # DEPENDENCYPART_TRISIBL
(2,5),(2,9),(2,24),-0.0363782 # DEPENDENCYPART_TRISIBL
(2,5),(2,9),(2,25),-0.0969544 # DEPENDENCYPART_TRISIBL
(2,5),(2,9),(2,26),0.0161863 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,5),(2,10),(2,13),-0.0100428 # DEPENDENCYPART_TRISIBL
(2,5),(2,10),(2,16),-0.0522933 # DEPENDENCYPART_TRISIBL
(2,5),(2,10),(2,17),-0.0905891 # DEPENDENCYPART_TRISIBL
(2,5),(2,10),(2,19),-0.0232466 # DEPENDENCYPART_TRISIBL
(2,5),(2,10),(2,22),-0.0135101 # DEPENDENCYPART_TRISIBL
(2,5),(2,10),(2,24),0.0400569 # DEPENDENCYPART_TRISIBL
(2,5),(2,10),(2,25),-0.103909 # DEPENDENCYPART_TRISIBL
(2,5),(2,10),(2,26),-0.109098 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,5),(2,13),(2,16),-0.0367663 # DEPENDENCYPART_TRISIBL
(2,5),(2,13),(2,17),-0.0997978 # DEPENDENCYPART_TRISIBL
(2,5),(2,13),(2,19),-0.140233 # DEPENDENCYPART_TRISIBL
(2,5),(2,13),(2,22),-0.1332 # DEPENDENCYPART_TRISIBL
(2,5),(2,13),(2,24),-0.00851517 # DEPENDENCYPART_TRISIBL
(2,5),(2,13),(2,25),-0.107733 # DEPENDENCYPART_TRISIBL
(2,5),(2,13),(2,26),0.0935523 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,5),(2,16),(2,17),-0.0905891 # DEPENDENCYPART_TRISIBL
(2,5),(2,16),(2,19),-0.0232466 # DEPENDENCYPART_TRISIBL
(2,5),(2,16),(2,22),-0.0135101 # DEPENDENCYPART_TRISIBL
(2,5),(2,16),(2,24),0.0400569 # DEPENDENCYPART_TRISIBL
(2,5),(2,16),(2,25),-0.103909 # DEPENDENCYPART_TRISIBL
(2,5),(2,16),(2,26),-0.109098 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,5),(2,17),(2,19),-0.0197683 # DEPENDENCYPART_TRISIBL
(2,5),(2,17),(2,22),-0.0131968 # DEPENDENCYPART_TRISIBL
(2,5),(2,17),(2,24),-0.0161489 # DEPENDENCYPART_TRISIBL
(2,5),(2,17),(2,25),-0.107707 # DEPENDENCYPART_TRISIBL
(2,5),(2,17),(2,26),-0.0193668 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,5),(2,19),(2,22),-0.133232 # DEPENDENCYPART_TRISIBL
(2,5),(2,19),(2,24),-0.0184522 # DEPENDENCYPART_TRISIBL
(2,5),(2,19),(2,25),-0.110922 # DEPENDENCYPART_TRISIBL
(2,5),(2,19),(2,26),0.0760303 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,5),(2,22),(2,24),-0.00861075 # DEPENDENCYPART_TRISIBL
(2,5),(2,22),(2,25),-0.107735 # DEPENDENCYPART_TRISIBL
(2,5),(2,22),(2,26),0.0873955 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,5),(2,24),(2,25),-0.093639 # DEPENDENCYPART_TRISIBL
(2,5),(2,24),(2,26),-0.0483053 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,5),(2,25),(2,26),-0.0610282 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,6),(2,7),(2,8),-0.0798056 # DEPENDENCYPART_TRISIBL
(2,6),(2,7),(2,9),-0.0913449 # DEPENDENCYPART_TRISIBL
(2,6),(2,7),(2,10),-0.0268945 # DEPENDENCYPART_TRISIBL
(2,6),(2,7),(2,13),-0.0799849 # DEPENDENCYPART_TRISIBL
(2,6),(2,7),(2,16),-0.0268945 # DEPENDENCYPART_TRISIBL
(2,6),(2,7),(2,17),-0.0789454 # DEPENDENCYPART_TRISIBL
(2,6),(2,7),(2,19),-0.0874814 # DEPENDENCYPART_TRISIBL
(2,6),(2,7),(2,22),-0.0722663 # DEPENDENCYPART_TRISIBL
(2,6),(2,7),(2,24),-0.0563014 # DEPENDENCYPART_TRISIBL
(2,6),(2,7),(2,25),-0.0626566 # DEPENDENCYPART_TRISIBL
(2,6),(2,7),(2,26),-0.0808313 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,6),(2,8),(2,9),-0.0861676 # DEPENDENCYPART_TRISIBL
(2,6),(2,8),(2,10),-0.0401307 # DEPENDENCYPART_TRISIBL
(2,6),(2,8),(2,13),-0.0817485 # DEPENDENCYPART_TRISIBL
(2,6),(2,8),(2,16),-0.0401307 # DEPENDENCYPART_TRISIBL
(2,6),(2,8),(2,17),-0.0797966 # DEPENDENCYPART_TRISIBL
(2,6),(2,8),(2,19),-0.089245 # DEPENDENCYPART_TRISIBL
(2,6),(2,8),(2,22),-0.0740299 # DEPENDENCYPART_TRISIBL
(2,6),(2,8),(2,24),-0.0609248 # DEPENDENCYPART_TRISIBL
(2,6),(2,8),(2,25),-0.0665154 # DEPENDENCYPART_TRISIBL
(2,6),(2,8),(2,26),-0.108544 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,6),(2,9),(2,10),-0.0272593 # DEPENDENCYPART_TRISIBL
(2,6),(2,9),(2,13),-0.0876114 # DEPENDENCYPART_TRISIBL
(2,6),(2,9),(2,16),-0.0272593 # DEPENDENCYPART_TRISIBL
(2,6),(2,9),(2,17),-0.0889184 # DEPENDENCYPART_TRISIBL
(2,6),(2,9),(2,19),-0.0954606 # DEPENDENCYPART_TRISIBL
(2,6),(2,9),(2,22),-0.074956 # DEPENDENCYPART_TRISIBL
(2,6),(2,9),(2,24),-0.0867957 # DEPENDENCYPART_TRISIBL
(2,6),(2,9),(2,25),-0.06849 # DEPENDENCYPART_TRISIBL
(2,6),(2,9),(2,26),-0.0728773 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,6),(2,10),(2,13),-0.03698 # DEPENDENCYPART_TRISIBL
(2,6),(2,10),(2,16),-0.0317194 # DEPENDENCYPART_TRISIBL
(2,6),(2,10),(2,17),-0.109294 # DEPENDENCYPART_TRISIBL
(2,6),(2,10),(2,19),-0.0483844 # DEPENDENCYPART_TRISIBL
(2,6),(2,10),(2,22),-0.0301871 # DEPENDENCYPART_TRISIBL
(2,6),(2,10),(2,24),-0.0672116 # DEPENDENCYPART_TRISIBL
(2,6),(2,10),(2,25),-0.00858244 # DEPENDENCYPART_TRISIBL
(2,6),(2,10),(2,26),-0.118961 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,6),(2,13),(2,16),0.0339124 # DEPENDENCYPART_TRISIBL
(2,6),(2,13),(2,17),-0.0963042 # DEPENDENCYPART_TRISIBL
(2,6),(2,13),(2,19),-0.0827486 # DEPENDENCYPART_TRISIBL
(2,6),(2,13),(2,22),-0.0667543 # DEPENDENCYPART_TRISIBL
(2,6),(2,13),(2,24),-0.118058 # DEPENDENCYPART_TRISIBL
(2,6),(2,13),(2,25),-0.0725636 # DEPENDENCYPART_TRISIBL
(2,6),(2,13),(2,26),-0.0928332 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,6),(2,16),(2,17),-0.109294 # DEPENDENCYPART_TRISIBL
(2,6),(2,16),(2,19),-0.0483844 # DEPENDENCYPART_TRISIBL
(2,6),(2,16),(2,22),-0.0301871 # DEPENDENCYPART_TRISIBL
(2,6),(2,16),(2,24),-0.0672116 # DEPENDENCYPART_TRISIBL
(2,6),(2,16),(2,25),-0.00858244 # DEPENDENCYPART_TRISIBL
(2,6),(2,16),(2,26),-0.118961 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,6),(2,17),(2,19),-0.0895865 # DEPENDENCYPART_TRISIBL
(2,6),(2,17),(2,22),-0.0743477 # DEPENDENCYPART_TRISIBL
(2,6),(2,17),(2,24),-0.0442315 # DEPENDENCYPART_TRISIBL
(2,6),(2,17),(2,25),-0.0467611 # DEPENDENCYPART_TRISIBL
(2,6),(2,17),(2,26),-0.105785 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,6),(2,19),(2,22),-0.0672068 # DEPENDENCYPART_TRISIBL
(2,6),(2,19),(2,24),-0.118447 # DEPENDENCYPART_TRISIBL
(2,6),(2,19),(2,25),-0.0725636 # DEPENDENCYPART_TRISIBL
(2,6),(2,19),(2,26),-0.0894858 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,6),(2,22),(2,24),-0.113658 # DEPENDENCYPART_TRISIBL
(2,6),(2,22),(2,25),-0.0725636 # DEPENDENCYPART_TRISIBL
(2,6),(2,22),(2,26),-0.09311 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,6),(2,24),(2,25),-0.0609273 # DEPENDENCYPART_TRISIBL
(2,6),(2,24),(2,26),-0.0425227 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,6),(2,25),(2,26),-0.098175 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,7),(2,8),(2,9),-0.0786219 # DEPENDENCYPART_TRISIBL
(2,7),(2,8),(2,10),-0.0920064 # DEPENDENCYPART_TRISIBL
(2,7),(2,8),(2,13),-0.0847197 # DEPENDENCYPART_TRISIBL
(2,7),(2,8),(2,16),-0.0920064 # DEPENDENCYPART_TRISIBL
(2,7),(2,8),(2,17),-0.0879666 # DEPENDENCYPART_TRISIBL
(2,7),(2,8),(2,19),-0.08479 # DEPENDENCYPART_TRISIBL
(2,7),(2,8),(2,22),-0.084722 # DEPENDENCYPART_TRISIBL
(2,7),(2,8),(2,24),-0.0565814 # DEPENDENCYPART_TRISIBL
(2,7),(2,8),(2,25),-0.064773 # DEPENDENCYPART_TRISIBL
(2,7),(2,8),(2,26),-0.0944837 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,7),(2,9),(2,10),-0.0996733 # DEPENDENCYPART_TRISIBL
(2,7),(2,9),(2,13),-0.0909956 # DEPENDENCYPART_TRISIBL
(2,7),(2,9),(2,16),-0.0996733 # DEPENDENCYPART_TRISIBL
(2,7),(2,9),(2,17),-0.0903541 # DEPENDENCYPART_TRISIBL
(2,7),(2,9),(2,19),-0.0910596 # DEPENDENCYPART_TRISIBL
(2,7),(2,9),(2,22),-0.090998 # DEPENDENCYPART_TRISIBL
(2,7),(2,9),(2,24),0.000787147 # DEPENDENCYPART_TRISIBL
(2,7),(2,9),(2,25),-0.064948 # DEPENDENCYPART_TRISIBL
(2,7),(2,9),(2,26),-0.0746187 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,7),(2,10),(2,13),-0.0953975 # DEPENDENCYPART_TRISIBL
(2,7),(2,10),(2,16),-0.0902319 # DEPENDENCYPART_TRISIBL
(2,7),(2,10),(2,17),-0.0962978 # DEPENDENCYPART_TRISIBL
(2,7),(2,10),(2,19),-0.0954615 # DEPENDENCYPART_TRISIBL
(2,7),(2,10),(2,22),-0.0953999 # DEPENDENCYPART_TRISIBL
(2,7),(2,10),(2,24),-0.0455311 # DEPENDENCYPART_TRISIBL
(2,7),(2,10),(2,25),-0.073261 # DEPENDENCYPART_TRISIBL
(2,7),(2,10),(2,26),-0.0787794 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,7),(2,13),(2,16),-0.101066 # DEPENDENCYPART_TRISIBL
(2,7),(2,13),(2,17),-0.093103 # DEPENDENCYPART_TRISIBL
(2,7),(2,13),(2,19),-0.0838779 # DEPENDENCYPART_TRISIBL
(2,7),(2,13),(2,22),-0.0838125 # DEPENDENCYPART_TRISIBL
(2,7),(2,13),(2,24),0.00140411 # DEPENDENCYPART_TRISIBL
(2,7),(2,13),(2,25),-0.0645938 # DEPENDENCYPART_TRISIBL
(2,7),(2,13),(2,26),-0.0999906 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,7),(2,16),(2,17),-0.0962978 # DEPENDENCYPART_TRISIBL
(2,7),(2,16),(2,19),-0.0954615 # DEPENDENCYPART_TRISIBL
(2,7),(2,16),(2,22),-0.0953999 # DEPENDENCYPART_TRISIBL
(2,7),(2,16),(2,24),-0.0455311 # DEPENDENCYPART_TRISIBL
(2,7),(2,16),(2,25),-0.073261 # DEPENDENCYPART_TRISIBL
(2,7),(2,16),(2,26),-0.0787794 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,7),(2,17),(2,19),-0.0826016 # DEPENDENCYPART_TRISIBL
(2,7),(2,17),(2,22),-0.0825405 # DEPENDENCYPART_TRISIBL
(2,7),(2,17),(2,24),-0.0471153 # DEPENDENCYPART_TRISIBL
(2,7),(2,17),(2,25),-0.0646192 # DEPENDENCYPART_TRISIBL
(2,7),(2,17),(2,26),-0.0941923 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,7),(2,19),(2,22),-0.083813 # DEPENDENCYPART_TRISIBL
(2,7),(2,19),(2,24),0.00121441 # DEPENDENCYPART_TRISIBL
(2,7),(2,19),(2,25),-0.0645938 # DEPENDENCYPART_TRISIBL
(2,7),(2,19),(2,26),-0.100674 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,7),(2,22),(2,24),0.00137391 # DEPENDENCYPART_TRISIBL
(2,7),(2,22),(2,25),-0.064596 # DEPENDENCYPART_TRISIBL
(2,7),(2,22),(2,26),-0.0999918 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,7),(2,24),(2,25),-0.0291481 # DEPENDENCYPART_TRISIBL
(2,7),(2,24),(2,26),-0.112339 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,7),(2,25),(2,26),-0.0830522 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,8),(2,9),(2,10),-0.0255175 # DEPENDENCYPART_TRISIBL
(2,8),(2,9),(2,13),-0.0849267 # DEPENDENCYPART_TRISIBL
(2,8),(2,9),(2,16),-0.0255175 # DEPENDENCYPART_TRISIBL
(2,8),(2,9),(2,17),-0.0884483 # DEPENDENCYPART_TRISIBL
(2,8),(2,9),(2,19),-0.0927759 # DEPENDENCYPART_TRISIBL
(2,8),(2,9),(2,22),-0.0722714 # DEPENDENCYPART_TRISIBL
(2,8),(2,9),(2,24),-0.0816973 # DEPENDENCYPART_TRISIBL
(2,8),(2,9),(2,25),-0.0673731 # DEPENDENCYPART_TRISIBL
(2,8),(2,9),(2,26),-0.0419233 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,8),(2,10),(2,13),-0.0341208 # DEPENDENCYPART_TRISIBL
(2,8),(2,10),(2,16),-0.0308275 # DEPENDENCYPART_TRISIBL
(2,8),(2,10),(2,17),-0.108543 # DEPENDENCYPART_TRISIBL
(2,8),(2,10),(2,19),-0.0455252 # DEPENDENCYPART_TRISIBL
(2,8),(2,10),(2,22),-0.0273279 # DEPENDENCYPART_TRISIBL
(2,8),(2,10),(2,24),-0.0621132 # DEPENDENCYPART_TRISIBL
(2,8),(2,10),(2,25),-0.00636318 # DEPENDENCYPART_TRISIBL
(2,8),(2,10),(2,26),-0.103305 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,8),(2,13),(2,16),0.0348039 # DEPENDENCYPART_TRISIBL
(2,8),(2,13),(2,17),-0.0958361 # DEPENDENCYPART_TRISIBL
(2,8),(2,13),(2,19),-0.0800736 # DEPENDENCYPART_TRISIBL
(2,8),(2,13),(2,22),-0.0640792 # DEPENDENCYPART_TRISIBL
(2,8),(2,13),(2,24),-0.110513 # DEPENDENCYPART_TRISIBL
(2,8),(2,13),(2,25),-0.0714467 # DEPENDENCYPART_TRISIBL
(2,8),(2,13),(2,26),-0.0716246 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,8),(2,16),(2,17),-0.108543 # DEPENDENCYPART_TRISIBL
(2,8),(2,16),(2,19),-0.0455252 # DEPENDENCYPART_TRISIBL
(2,8),(2,16),(2,22),-0.0273279 # DEPENDENCYPART_TRISIBL
(2,8),(2,16),(2,24),-0.0621132 # DEPENDENCYPART_TRISIBL
(2,8),(2,16),(2,25),-0.00636318 # DEPENDENCYPART_TRISIBL
(2,8),(2,16),(2,26),-0.103305 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,8),(2,17),(2,19),-0.0869079 # DEPENDENCYPART_TRISIBL
(2,8),(2,17),(2,22),-0.0716691 # DEPENDENCYPART_TRISIBL
(2,8),(2,17),(2,24),-0.039129 # DEPENDENCYPART_TRISIBL
(2,8),(2,17),(2,25),-0.0456442 # DEPENDENCYPART_TRISIBL
(2,8),(2,17),(2,26),-0.085716 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,8),(2,19),(2,22),-0.0645317 # DEPENDENCYPART_TRISIBL
(2,8),(2,19),(2,24),-0.110903 # DEPENDENCYPART_TRISIBL
(2,8),(2,19),(2,25),-0.0714467 # DEPENDENCYPART_TRISIBL
(2,8),(2,19),(2,26),-0.0682772 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,8),(2,22),(2,24),-0.106114 # DEPENDENCYPART_TRISIBL
(2,8),(2,22),(2,25),-0.0714467 # DEPENDENCYPART_TRISIBL
(2,8),(2,22),(2,26),-0.0719014 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,8),(2,24),(2,25),-0.0597972 # DEPENDENCYPART_TRISIBL
(2,8),(2,24),(2,26),-0.0246029 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,8),(2,25),(2,26),-0.079364 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,9),(2,10),(2,13),-0.0461766 # DEPENDENCYPART_TRISIBL
(2,9),(2,10),(2,16),0.000565343 # DEPENDENCYPART_TRISIBL
(2,9),(2,10),(2,17),-0.129407 # DEPENDENCYPART_TRISIBL
(2,9),(2,10),(2,19),-0.0259987 # DEPENDENCYPART_TRISIBL
(2,9),(2,10),(2,22),-0.0541793 # DEPENDENCYPART_TRISIBL
(2,9),(2,10),(2,24),-0.123545 # DEPENDENCYPART_TRISIBL
(2,9),(2,10),(2,25),0.0133263 # DEPENDENCYPART_TRISIBL
(2,9),(2,10),(2,26),-0.081042 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,9),(2,13),(2,16),-0.0147261 # DEPENDENCYPART_TRISIBL
(2,9),(2,13),(2,17),-0.156026 # DEPENDENCYPART_TRISIBL
(2,9),(2,13),(2,19),-0.0858092 # DEPENDENCYPART_TRISIBL
(2,9),(2,13),(2,22),-0.108492 # DEPENDENCYPART_TRISIBL
(2,9),(2,13),(2,24),-0.0593599 # DEPENDENCYPART_TRISIBL
(2,9),(2,13),(2,25),-0.0617622 # DEPENDENCYPART_TRISIBL
(2,9),(2,13),(2,26),-0.0497517 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,9),(2,16),(2,17),-0.129407 # DEPENDENCYPART_TRISIBL
(2,9),(2,16),(2,19),-0.0259987 # DEPENDENCYPART_TRISIBL
(2,9),(2,16),(2,22),-0.0541793 # DEPENDENCYPART_TRISIBL
(2,9),(2,16),(2,24),-0.123545 # DEPENDENCYPART_TRISIBL
(2,9),(2,16),(2,25),0.0133263 # DEPENDENCYPART_TRISIBL
(2,9),(2,16),(2,26),-0.081042 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,9),(2,17),(2,19),-0.0790301 # DEPENDENCYPART_TRISIBL
(2,9),(2,17),(2,22),-0.101899 # DEPENDENCYPART_TRISIBL
(2,9),(2,17),(2,24),-0.0523277 # DEPENDENCYPART_TRISIBL
(2,9),(2,17),(2,25),-0.0811353 # DEPENDENCYPART_TRISIBL
(2,9),(2,17),(2,26),-0.10078 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,9),(2,19),(2,22),-0.109439 # DEPENDENCYPART_TRISIBL
(2,9),(2,19),(2,24),-0.0591261 # DEPENDENCYPART_TRISIBL
(2,9),(2,19),(2,25),-0.0618174 # DEPENDENCYPART_TRISIBL
(2,9),(2,19),(2,26),-0.0456759 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,9),(2,22),(2,24),-0.0613872 # DEPENDENCYPART_TRISIBL
(2,9),(2,22),(2,25),-0.0617637 # DEPENDENCYPART_TRISIBL
(2,9),(2,22),(2,26),-0.0576673 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,9),(2,24),(2,25),-0.00999792 # DEPENDENCYPART_TRISIBL
(2,9),(2,24),(2,26),-0.000761519 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,9),(2,25),(2,26),-0.071864 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,10),(2,13),(2,16),0.232795 # DEPENDENCYPART_TRISIBL
(2,10),(2,13),(2,17),-0.096755 # DEPENDENCYPART_TRISIBL
(2,10),(2,13),(2,19),-0.0378908 # DEPENDENCYPART_TRISIBL
(2,10),(2,13),(2,22),-0.0304528 # DEPENDENCYPART_TRISIBL
(2,10),(2,13),(2,24),0.0464499 # DEPENDENCYPART_TRISIBL
(2,10),(2,13),(2,25),-0.111845 # DEPENDENCYPART_TRISIBL
(2,10),(2,13),(2,26),0.0155287 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,10),(2,16),(2,17),-0.0856506 # DEPENDENCYPART_TRISIBL
(2,10),(2,16),(2,19),-0.0714759 # DEPENDENCYPART_TRISIBL
(2,10),(2,16),(2,22),-0.0643719 # DEPENDENCYPART_TRISIBL
(2,10),(2,16),(2,24),-0.0478258 # DEPENDENCYPART_TRISIBL
(2,10),(2,16),(2,25),-0.109369 # DEPENDENCYPART_TRISIBL
(2,10),(2,16),(2,26),-0.0764451 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,10),(2,17),(2,19),-0.040258 # DEPENDENCYPART_TRISIBL
(2,10),(2,17),(2,22),-0.0329781 # DEPENDENCYPART_TRISIBL
(2,10),(2,17),(2,24),0.0260548 # DEPENDENCYPART_TRISIBL
(2,10),(2,17),(2,25),-0.111052 # DEPENDENCYPART_TRISIBL
(2,10),(2,17),(2,26),-0.0828198 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,10),(2,19),(2,22),-0.0307423 # DEPENDENCYPART_TRISIBL
(2,10),(2,19),(2,24),0.0417734 # DEPENDENCYPART_TRISIBL
(2,10),(2,19),(2,25),-0.111845 # DEPENDENCYPART_TRISIBL
(2,10),(2,19),(2,26),0.00100023 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,10),(2,22),(2,24),0.047328 # DEPENDENCYPART_TRISIBL
(2,10),(2,22),(2,25),-0.111845 # DEPENDENCYPART_TRISIBL
(2,10),(2,22),(2,26),0.0182062 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,10),(2,24),(2,25),-0.131627 # DEPENDENCYPART_TRISIBL
(2,10),(2,24),(2,26),-0.143315 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,10),(2,25),(2,26),0.0182457 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,13),(2,16),(2,17),-0.192746 # DEPENDENCYPART_TRISIBL
(2,13),(2,16),(2,19),-0.0482367 # DEPENDENCYPART_TRISIBL
(2,13),(2,16),(2,22),-0.0546868 # DEPENDENCYPART_TRISIBL
(2,13),(2,16),(2,24),-0.105301 # DEPENDENCYPART_TRISIBL
(2,13),(2,16),(2,25),0.0511711 # DEPENDENCYPART_TRISIBL
(2,13),(2,16),(2,26),-0.0876166 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(2,13),(2,17),(2,19),-0.0773458 # DEPENDENCYPART_TRISIBL
