# _root_ But , IRS private ruling 8940061 notes , no rule or court case bears directly on the issue of adding land to a principal residence .
#goldHeads=14,7,5,5,7,5,14,7,11,11,14,13,11,0,14,14,18,16,18,19,20,20,25,25,22,14,
#predictedHeads=14,14,5,5,7,7,11,11,10,11,14,11,11,0,14,14,18,16,18,19,20,21,25,25,22,14,
(21,25),(25,24),(25,20),-0.144706 # DEPENDENCYPART_GRANDSIBL
(21,25),(25,24),(25,17),-0.144709 # DEPENDENCYPART_GRANDSIBL
(21,25),(25,24),(25,-1),-0.193455 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,25),(25,23),(25,22),0.10887 # DEPENDENCYPART_GRANDSIBL
(21,25),(25,23),(25,21),0.122033 # DEPENDENCYPART_GRANDSIBL
(21,25),(25,23),(25,20),-0.144724 # DEPENDENCYPART_GRANDSIBL
(21,25),(25,23),(25,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(21,25),(25,23),(25,-1),-0.0893485 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,25),(25,22),(25,21),0.11938 # DEPENDENCYPART_GRANDSIBL
(21,25),(25,22),(25,20),-0.144701 # DEPENDENCYPART_GRANDSIBL
(21,25),(25,22),(25,17),-0.145121 # DEPENDENCYPART_GRANDSIBL
(21,25),(25,22),(25,-1),-0.1075 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,25),(25,21),(25,20),-0.14473 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,25),(25,21),(25,17),-0.145039 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,25),(25,21),(25,-1),-0.173871 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(21,25),(25,20),(25,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(21,25),(25,20),(25,-1),-0.196596 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,25),(25,17),(25,-1),-0.159737 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(21,26),(26,26),(26,27),0.00309914 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(21,26),(26,26),(26,25),0.107958 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(21,26),(26,26),(26,-1),-0.113483 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(21,26),(26,25),(26,-1),-0.1457 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,21),(21,21),(21,22),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,21),(21,21),(21,23),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,21),(21,21),(21,24),-0.147721 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,21),(21,21),(21,25),-0.145835 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,21),(21,21),(21,26),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,21),(21,21),(21,27),-0.264746 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(22,21),(21,22),(21,23),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,21),(21,22),(21,24),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,21),(21,22),(21,25),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,21),(21,22),(21,26),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,21),(21,22),(21,27),-0.159048 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(22,21),(21,23),(21,24),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,21),(21,23),(21,25),-0.144774 # DEPENDENCYPART_GRANDSIBL
(22,21),(21,23),(21,26),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,21),(21,23),(21,27),-0.134884 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,21),(21,24),(21,25),-0.146861 # DEPENDENCYPART_GRANDSIBL
(22,21),(21,24),(21,26),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,21),(21,24),(21,27),-0.113668 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,21),(21,25),(21,26),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,21),(21,25),(21,27),-0.0928673 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,21),(21,26),(21,27),-0.144701 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,21),(21,21),(21,20),0.0071225 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,21),(21,21),(21,19),-0.0431446 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,21),(21,21),(21,18),-0.114879 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,21),(21,21),(21,17),-0.0291292 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,21),(21,21),(21,16),-0.0397666 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,21),(21,21),(21,15),-0.0416765 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,21),(21,21),(21,9),-0.0277902 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,21),(21,21),(21,-1),0.174919 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(22,21),(21,20),(21,19),-0.00599455 # DEPENDENCYPART_GRANDSIBL
(22,21),(21,20),(21,18),-0.0210952 # DEPENDENCYPART_GRANDSIBL
(22,21),(21,20),(21,17),-0.0194621 # DEPENDENCYPART_GRANDSIBL
(22,21),(21,20),(21,16),-0.00902508 # DEPENDENCYPART_GRANDSIBL
(22,21),(21,20),(21,15),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(22,21),(21,20),(21,9),-0.0194621 # DEPENDENCYPART_GRANDSIBL
(22,21),(21,20),(21,-1),-0.00859628 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,21),(21,19),(21,18),0.00687284 # DEPENDENCYPART_GRANDSIBL
(22,21),(21,19),(21,17),-0.0194802 # DEPENDENCYPART_GRANDSIBL
(22,21),(21,19),(21,16),0.0180434 # DEPENDENCYPART_GRANDSIBL
(22,21),(21,19),(21,15),-0.0196924 # DEPENDENCYPART_GRANDSIBL
(22,21),(21,19),(21,9),-0.0194709 # DEPENDENCYPART_GRANDSIBL
(22,21),(21,19),(21,-1),-0.0908285 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,21),(21,18),(21,17),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(22,21),(21,18),(21,16),-0.0219889 # DEPENDENCYPART_GRANDSIBL
(22,21),(21,18),(21,15),-0.0194939 # DEPENDENCYPART_GRANDSIBL
(22,21),(21,18),(21,9),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(22,21),(21,18),(21,-1),-0.0582079 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,21),(21,17),(21,16),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(22,21),(21,17),(21,15),-0.0197235 # DEPENDENCYPART_GRANDSIBL
(22,21),(21,17),(21,9),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(22,21),(21,17),(21,-1),-0.0372042 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,21),(21,16),(21,15),-0.0196924 # DEPENDENCYPART_GRANDSIBL
(22,21),(21,16),(21,9),-0.0194617 # DEPENDENCYPART_GRANDSIBL
(22,21),(21,16),(21,-1),-0.0648186 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,21),(21,15),(21,9),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(22,21),(21,15),(21,-1),-0.0456506 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,21),(21,9),(21,-1),-0.0347937 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,23),(23,23),(23,24),-0.0214674 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,23),(23,23),(23,27),-0.0395285 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(22,23),(23,24),(23,27),-0.0214674 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,23),(23,23),(23,-1),-0.155289 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(22,24),(24,24),(24,27),-0.0182881 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(22,24),(24,24),(24,23),0.115922 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,24),(24,24),(24,21),-0.14539 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,24),(24,24),(24,-1),-0.18675 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(22,24),(24,23),(24,21),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,24),(24,23),(24,-1),-0.138319 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,24),(24,21),(24,-1),-0.145299 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,25),(25,25),(25,26),-0.0237383 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,25),(25,25),(25,27),0.180114 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(22,25),(25,26),(25,27),-0.0263237 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,25),(25,25),(25,24),0.161455 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,25),(25,25),(25,23),0.137005 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,25),(25,25),(25,22),0.0943058 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,25),(25,25),(25,21),-0.145835 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,25),(25,25),(25,20),-0.150647 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,25),(25,25),(25,17),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,25),(25,25),(25,-1),-0.26009 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(22,25),(25,24),(25,23),0.115165 # DEPENDENCYPART_GRANDSIBL
(22,25),(25,24),(25,22),0.109534 # DEPENDENCYPART_GRANDSIBL
(22,25),(25,24),(25,21),-0.146861 # DEPENDENCYPART_GRANDSIBL
(22,25),(25,24),(25,20),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,25),(25,24),(25,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,25),(25,24),(25,-1),-0.113124 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,25),(25,23),(25,22),0.10954 # DEPENDENCYPART_GRANDSIBL
(22,25),(25,23),(25,21),-0.144774 # DEPENDENCYPART_GRANDSIBL
(22,25),(25,23),(25,20),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,25),(25,23),(25,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,25),(25,23),(25,-1),-0.134502 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,25),(25,22),(25,21),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,25),(25,22),(25,20),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,25),(25,22),(25,17),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,25),(25,22),(25,-1),-0.159048 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(22,25),(25,21),(25,20),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,25),(25,21),(25,17),-0.144786 # DEPENDENCYPART_GRANDSIBL
(22,25),(25,21),(25,-1),-0.0928696 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,25),(25,20),(25,17),-0.144701 # DEPENDENCYPART_GRANDSIBL
(22,25),(25,20),(25,-1),-0.171894 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,25),(25,17),(25,-1),-0.138197 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(22,26),(26,26),(26,27),-0.018958 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(22,26),(26,26),(26,25),0.109512 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(22,26),(26,26),(26,-1),-0.144077 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(22,26),(26,25),(26,-1),-0.144726 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(23,24),(24,24),(24,27),-0.0878289 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(23,24),(24,24),(24,23),0.106461 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,24),(24,24),(24,21),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,24),(24,24),(24,-1),-0.213721 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(23,24),(24,23),(24,21),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(23,24),(24,23),(24,-1),-0.147781 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(23,24),(24,21),(24,-1),-0.144701 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(24,21),(21,21),(21,22),0.104413 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,21),(21,21),(21,23),0.109507 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,21),(21,21),(21,24),-0.14637 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,21),(21,21),(21,25),-0.145338 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,21),(21,21),(21,26),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,21),(21,21),(21,27),-0.0768571 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(24,21),(21,22),(21,23),0.109529 # DEPENDENCYPART_GRANDSIBL
(24,21),(21,22),(21,24),-0.144701 # DEPENDENCYPART_GRANDSIBL
(24,21),(21,22),(21,25),-0.144701 # DEPENDENCYPART_GRANDSIBL
(24,21),(21,22),(21,26),-0.144701 # DEPENDENCYPART_GRANDSIBL
(24,21),(21,22),(21,27),-0.156641 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(24,21),(21,23),(21,24),-0.144701 # DEPENDENCYPART_GRANDSIBL
(24,21),(21,23),(21,25),-0.144701 # DEPENDENCYPART_GRANDSIBL
(24,21),(21,23),(21,26),-0.144701 # DEPENDENCYPART_GRANDSIBL
(24,21),(21,23),(21,27),-0.13844 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(24,21),(21,24),(21,25),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,21),(21,24),(21,26),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,21),(21,24),(21,27),-0.17027 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(24,21),(21,25),(21,26),-0.144701 # DEPENDENCYPART_GRANDSIBL
(24,21),(21,25),(21,27),-0.152346 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(24,21),(21,26),(21,27),-0.144701 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(24,21),(21,21),(21,20),-0.0400749 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,21),(21,21),(21,19),0.0184712 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,21),(21,21),(21,18),-0.0346136 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,21),(21,21),(21,17),0.0122335 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,21),(21,21),(21,16),0.00920613 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,21),(21,21),(21,15),-0.0237112 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,21),(21,21),(21,9),-0.0188773 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,21),(21,21),(21,-1),-0.0390824 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(24,21),(21,20),(21,19),-0.0195841 # DEPENDENCYPART_GRANDSIBL
(24,21),(21,20),(21,18),-0.0194556 # DEPENDENCYPART_GRANDSIBL
(24,21),(21,20),(21,17),-0.0219759 # DEPENDENCYPART_GRANDSIBL
(24,21),(21,20),(21,16),-0.019592 # DEPENDENCYPART_GRANDSIBL
(24,21),(21,20),(21,15),-0.0199731 # DEPENDENCYPART_GRANDSIBL
(24,21),(21,20),(21,9),-0.0208634 # DEPENDENCYPART_GRANDSIBL
(24,21),(21,20),(21,-1),-0.0353252 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(24,21),(21,19),(21,18),-0.0195317 # DEPENDENCYPART_GRANDSIBL
(24,21),(21,19),(21,17),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(24,21),(21,19),(21,16),-0.0156298 # DEPENDENCYPART_GRANDSIBL
(24,21),(21,19),(21,15),-0.0198755 # DEPENDENCYPART_GRANDSIBL
(24,21),(21,19),(21,9),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(24,21),(21,19),(21,-1),0.00766147 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(24,21),(21,18),(21,17),-0.0241659 # DEPENDENCYPART_GRANDSIBL
(24,21),(21,18),(21,16),-0.0160375 # DEPENDENCYPART_GRANDSIBL
(24,21),(21,18),(21,15),-0.0150667 # DEPENDENCYPART_GRANDSIBL
(24,21),(21,18),(21,9),-0.0227799 # DEPENDENCYPART_GRANDSIBL
(24,21),(21,18),(21,-1),-0.0456204 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(24,21),(21,17),(21,16),-0.0195267 # DEPENDENCYPART_GRANDSIBL
(24,21),(21,17),(21,15),-0.0180733 # DEPENDENCYPART_GRANDSIBL
(24,21),(21,17),(21,9),-0.0194584 # DEPENDENCYPART_GRANDSIBL
(24,21),(21,17),(21,-1),-0.00375132 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(24,21),(21,16),(21,15),-0.0198663 # DEPENDENCYPART_GRANDSIBL
(24,21),(21,16),(21,9),-0.0194405 # DEPENDENCYPART_GRANDSIBL
(24,21),(21,16),(21,-1),0.00421435 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(24,21),(21,15),(21,9),-0.020053 # DEPENDENCYPART_GRANDSIBL
(24,21),(21,15),(21,-1),-0.0149519 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(24,21),(21,9),(21,-1),-0.0259048 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(24,23),(23,23),(23,24),-0.146075 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(24,23),(23,23),(23,27),-0.123443 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(24,23),(23,24),(23,27),-0.146315 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(24,23),(23,23),(23,-1),0.00455499 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(25,17),(17,17),(17,19),0.0817206 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,17),(17,17),(17,20),0.122839 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,17),(17,17),(17,27),0.0952689 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(25,17),(17,19),(17,20),0.10954 # DEPENDENCYPART_GRANDSIBL
(25,17),(17,19),(17,27),-0.173678 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,17),(17,20),(17,27),-0.133841 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,17),(17,17),(17,-1),0.214463 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(25,20),(20,20),(20,21),0.131428 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,20),(20,20),(20,22),0.181517 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,20),(20,20),(20,23),0.0882056 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,20),(20,20),(20,24),0.0464795 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,20),(20,20),(20,25),-0.193413 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,20),(20,20),(20,26),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,20),(20,20),(20,27),-0.0227421 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(25,20),(20,21),(20,22),0.0923388 # DEPENDENCYPART_GRANDSIBL
(25,20),(20,21),(20,23),0.109881 # DEPENDENCYPART_GRANDSIBL
(25,20),(20,21),(20,24),0.10556 # DEPENDENCYPART_GRANDSIBL
(25,20),(20,21),(20,25),-0.144891 # DEPENDENCYPART_GRANDSIBL
(25,20),(20,21),(20,26),-0.144704 # DEPENDENCYPART_GRANDSIBL
(25,20),(20,21),(20,27),-0.0830489 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,20),(20,22),(20,23),0.109456 # DEPENDENCYPART_GRANDSIBL
(25,20),(20,22),(20,24),0.10741 # DEPENDENCYPART_GRANDSIBL
(25,20),(20,22),(20,25),-0.144744 # DEPENDENCYPART_GRANDSIBL
(25,20),(20,22),(20,26),-0.144701 # DEPENDENCYPART_GRANDSIBL
(25,20),(20,22),(20,27),-0.0953959 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,20),(20,23),(20,24),0.109525 # DEPENDENCYPART_GRANDSIBL
(25,20),(20,23),(20,25),-0.14479 # DEPENDENCYPART_GRANDSIBL
(25,20),(20,23),(20,26),-0.144701 # DEPENDENCYPART_GRANDSIBL
(25,20),(20,23),(20,27),-0.164004 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,20),(20,24),(20,25),-0.144961 # DEPENDENCYPART_GRANDSIBL
(25,20),(20,24),(20,26),-0.144701 # DEPENDENCYPART_GRANDSIBL
(25,20),(20,24),(20,27),-0.225514 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,20),(20,25),(20,26),-0.144704 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,20),(20,25),(20,27),-0.0828523 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(25,20),(20,26),(20,27),-0.145637 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,20),(20,20),(20,19),0.000386889 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,20),(20,20),(20,18),-0.0273116 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,20),(20,20),(20,7),-0.0241277 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,20),(20,20),(20,-1),0.0486762 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(25,20),(20,19),(20,18),-0.0147449 # DEPENDENCYPART_GRANDSIBL
(25,20),(20,19),(20,7),-0.0147404 # DEPENDENCYPART_GRANDSIBL
(25,20),(20,19),(20,-1),0.000269573 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,20),(20,18),(20,7),-0.00100566 # DEPENDENCYPART_GRANDSIBL
(25,20),(20,18),(20,-1),-0.0381805 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,20),(20,7),(20,-1),-0.0292471 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,21),(21,21),(21,22),0.16766 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,21),(21,21),(21,23),0.114008 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,21),(21,21),(21,24),0.0833309 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,21),(21,21),(21,25),-0.15584 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,21),(21,21),(21,26),-0.144701 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,21),(21,21),(21,27),-0.0265258 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(25,21),(21,22),(21,23),0.108971 # DEPENDENCYPART_GRANDSIBL
(25,21),(21,22),(21,24),0.109094 # DEPENDENCYPART_GRANDSIBL
(25,21),(21,22),(21,25),-0.144785 # DEPENDENCYPART_GRANDSIBL
(25,21),(21,22),(21,26),-0.144701 # DEPENDENCYPART_GRANDSIBL
(25,21),(21,22),(21,27),-0.102845 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,21),(21,23),(21,24),0.117394 # DEPENDENCYPART_GRANDSIBL
(25,21),(21,23),(21,25),-0.144717 # DEPENDENCYPART_GRANDSIBL
(25,21),(21,23),(21,26),-0.144701 # DEPENDENCYPART_GRANDSIBL
(25,21),(21,23),(21,27),-0.0888496 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,21),(21,24),(21,25),-0.144705 # DEPENDENCYPART_GRANDSIBL
(25,21),(21,24),(21,26),-0.144701 # DEPENDENCYPART_GRANDSIBL
(25,21),(21,24),(21,27),-0.193458 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,21),(21,25),(21,26),-0.144801 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,21),(21,25),(21,27),-0.173848 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(25,21),(21,26),(21,27),-0.151487 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,21),(21,21),(21,20),0.0478787 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,21),(21,21),(21,19),0.0122649 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,21),(21,21),(21,18),-0.131977 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,21),(21,21),(21,17),-0.00805288 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,21),(21,21),(21,16),0.00218246 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,21),(21,21),(21,15),-0.0301868 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,21),(21,21),(21,9),-0.0364568 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(25,21),(21,21),(21,-1),0.12955 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(25,21),(21,20),(21,19),-0.0237729 # DEPENDENCYPART_GRANDSIBL
(25,21),(21,20),(21,18),-0.0233145 # DEPENDENCYPART_GRANDSIBL
(25,21),(21,20),(21,17),-0.0196988 # DEPENDENCYPART_GRANDSIBL
(25,21),(21,20),(21,16),-0.0237202 # DEPENDENCYPART_GRANDSIBL
(25,21),(21,20),(21,15),-0.0198125 # DEPENDENCYPART_GRANDSIBL
(25,21),(21,20),(21,9),-0.0182265 # DEPENDENCYPART_GRANDSIBL
(25,21),(21,20),(21,-1),0.00246542 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,21),(21,19),(21,18),-0.0174279 # DEPENDENCYPART_GRANDSIBL
(25,21),(21,19),(21,17),-0.019452 # DEPENDENCYPART_GRANDSIBL
(25,21),(21,19),(21,16),-0.0358862 # DEPENDENCYPART_GRANDSIBL
(25,21),(21,19),(21,15),-0.0206715 # DEPENDENCYPART_GRANDSIBL
(25,21),(21,19),(21,9),-0.0194477 # DEPENDENCYPART_GRANDSIBL
(25,21),(21,19),(21,-1),-0.0047459 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,21),(21,18),(21,17),-0.00901918 # DEPENDENCYPART_GRANDSIBL
(25,21),(21,18),(21,16),-0.0197018 # DEPENDENCYPART_GRANDSIBL
(25,21),(21,18),(21,15),-0.0145043 # DEPENDENCYPART_GRANDSIBL
(25,21),(21,18),(21,9),-0.0188198 # DEPENDENCYPART_GRANDSIBL
(25,21),(21,18),(21,-1),0.0258948 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,21),(21,17),(21,16),-0.0221574 # DEPENDENCYPART_GRANDSIBL
(25,21),(21,17),(21,15),-0.0277851 # DEPENDENCYPART_GRANDSIBL
(25,21),(21,17),(21,9),-0.0200744 # DEPENDENCYPART_GRANDSIBL
(25,21),(21,17),(21,-1),-0.00947284 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(25,21),(21,16),(21,15),-0.0206403 # DEPENDENCYPART_GRANDSIBL
(25,21),(21,16),(21,9),-0.0194457 # DEPENDENCYPART_GRANDSIBL
