# _root_ But Merrill Lynch , in its statement about pulling out of index arbitrage , suggested that the current debate has missed the mark .
#goldHeads=15,3,15,15,15,7,5,7,8,9,10,13,11,15,0,20,19,19,20,15,20,23,21,15,
#predictedHeads=15,3,15,15,15,7,5,7,8,9,10,13,11,15,0,20,19,19,20,15,20,23,21,15,
(20,9),(9,12),(9,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(20,9),(9,12),(9,25),-0.137377 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,9),(9,13),(9,14),0.126361 # DEPENDENCYPART_GRANDSIBL
(20,9),(9,13),(9,15),0.112012 # DEPENDENCYPART_GRANDSIBL
(20,9),(9,13),(9,16),0.204048 # DEPENDENCYPART_GRANDSIBL
(20,9),(9,13),(9,19),0.108084 # DEPENDENCYPART_GRANDSIBL
(20,9),(9,13),(9,20),-0.124218 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,9),(9,13),(9,21),-0.123199 # DEPENDENCYPART_GRANDSIBL
(20,9),(9,13),(9,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(20,9),(9,13),(9,25),-0.135774 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,9),(9,14),(9,15),0.15761 # DEPENDENCYPART_GRANDSIBL
(20,9),(9,14),(9,16),0.0744594 # DEPENDENCYPART_GRANDSIBL
(20,9),(9,14),(9,19),0.12742 # DEPENDENCYPART_GRANDSIBL
(20,9),(9,14),(9,20),-0.14998 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,9),(9,14),(9,21),-0.149699 # DEPENDENCYPART_GRANDSIBL
(20,9),(9,14),(9,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(20,9),(9,14),(9,25),-0.0979711 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,9),(9,15),(9,16),0.187535 # DEPENDENCYPART_GRANDSIBL
(20,9),(9,15),(9,19),0.0931671 # DEPENDENCYPART_GRANDSIBL
(20,9),(9,15),(9,20),-0.125136 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,9),(9,15),(9,21),-0.125109 # DEPENDENCYPART_GRANDSIBL
(20,9),(9,15),(9,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(20,9),(9,15),(9,25),-0.10449 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,9),(9,16),(9,19),0.111936 # DEPENDENCYPART_GRANDSIBL
(20,9),(9,16),(9,20),-0.127001 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,9),(9,16),(9,21),-0.126934 # DEPENDENCYPART_GRANDSIBL
(20,9),(9,16),(9,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(20,9),(9,16),(9,25),-0.0495047 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,9),(9,19),(9,20),-0.124218 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,9),(9,19),(9,21),-0.123199 # DEPENDENCYPART_GRANDSIBL
(20,9),(9,19),(9,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(20,9),(9,19),(9,25),-0.133422 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,9),(9,20),(9,21),-0.125119 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,9),(9,20),(9,24),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,9),(9,20),(9,25),-0.109867 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,9),(9,21),(9,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(20,9),(9,21),(9,25),-0.105946 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,9),(9,24),(9,25),-0.14435 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,9),(9,9),(9,8),-0.0762852 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,9),(9,9),(9,7),0.072529 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,9),(9,9),(9,5),-0.0920213 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,9),(9,9),(9,-1),0.0535226 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,9),(9,8),(9,7),-0.0308696 # DEPENDENCYPART_GRANDSIBL
(20,9),(9,8),(9,5),-0.0738553 # DEPENDENCYPART_GRANDSIBL
(20,9),(9,8),(9,-1),-0.00391013 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,9),(9,7),(9,5),-0.025533 # DEPENDENCYPART_GRANDSIBL
(20,9),(9,7),(9,-1),-0.0696366 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,9),(9,5),(9,-1),-0.00599364 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,10),(10,10),(10,11),0.166874 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,10),(10,10),(10,12),0.10585 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,10),(10,10),(10,13),0.107571 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,10),(10,10),(10,14),0.0572902 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,10),(10,10),(10,15),0.112602 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,10),(10,10),(10,16),0.154021 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,10),(10,10),(10,20),-0.0989375 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,10),(10,10),(10,25),-0.0510658 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,10),(10,11),(10,12),0.126977 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,11),(10,13),0.126977 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,11),(10,14),0.10251 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,11),(10,15),0.10142 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,11),(10,16),0.124051 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,11),(10,20),-0.118233 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,10),(10,11),(10,25),-0.0924217 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,10),(10,12),(10,13),0.124694 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,12),(10,14),0.138285 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,12),(10,15),0.11758 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,12),(10,16),0.100466 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,12),(10,20),-0.124888 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,10),(10,12),(10,25),-0.118809 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,10),(10,13),(10,14),0.138285 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,13),(10,15),0.11758 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,13),(10,16),0.100466 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,13),(10,20),-0.124888 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,10),(10,13),(10,25),-0.117111 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,10),(10,14),(10,15),0.09733 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,14),(10,16),0.106556 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,14),(10,20),-0.125897 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,10),(10,14),(10,25),-0.172317 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,10),(10,15),(10,16),0.116461 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,15),(10,20),-0.124902 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,10),(10,15),(10,25),-0.154829 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,10),(10,16),(10,20),-0.121904 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,10),(10,16),(10,25),-0.114307 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,10),(10,20),(10,25),-0.150293 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,10),(10,10),(10,9),-0.0793201 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,10),(10,10),(10,8),-0.026081 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,10),(10,10),(10,7),-0.0264653 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,10),(10,10),(10,5),-0.028132 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,10),(10,10),(10,4),-0.0566801 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,10),(10,10),(10,3),-0.0264649 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,10),(10,10),(10,1),-0.0608614 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,10),(10,10),(10,-1),0.104052 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,10),(10,9),(10,8),-0.0347616 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,9),(10,7),-0.0316463 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,9),(10,5),-0.0261646 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,9),(10,4),-0.0399974 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,9),(10,3),-0.0316463 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,9),(10,1),-0.0423637 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,9),(10,-1),-0.0987699 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,10),(10,8),(10,7),-0.0624552 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,8),(10,5),-0.0229351 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,8),(10,4),-0.0323699 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,8),(10,3),-0.0624552 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,8),(10,1),-0.0429047 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,8),(10,-1),-0.0342809 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,10),(10,7),(10,5),-0.0781409 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,7),(10,4),-0.0647973 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,7),(10,3),-0.0433843 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,7),(10,1),-0.0438078 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,7),(10,-1),0.0337734 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,10),(10,5),(10,4),-0.0249764 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,5),(10,3),-0.0606678 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,5),(10,1),-0.0439684 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,5),(10,-1),-0.0319395 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,10),(10,4),(10,3),-0.0492624 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,4),(10,1),-0.0237538 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,4),(10,-1),-0.0782068 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,10),(10,3),(10,1),-0.0438078 # DEPENDENCYPART_GRANDSIBL
(20,10),(10,3),(10,-1),0.0337738 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,10),(10,1),(10,-1),-0.0486748 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,11),(11,11),(11,12),0.136558 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,11),(11,11),(11,13),0.134221 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,11),(11,11),(11,14),0.117412 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,11),(11,11),(11,15),0.181876 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,11),(11,11),(11,25),-0.110116 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,11),(11,12),(11,13),0.115379 # DEPENDENCYPART_GRANDSIBL
(20,11),(11,12),(11,14),0.128299 # DEPENDENCYPART_GRANDSIBL
(20,11),(11,12),(11,15),0.117149 # DEPENDENCYPART_GRANDSIBL
(20,11),(11,12),(11,25),-0.147464 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,11),(11,13),(11,14),0.128299 # DEPENDENCYPART_GRANDSIBL
(20,11),(11,13),(11,15),0.117149 # DEPENDENCYPART_GRANDSIBL
(20,11),(11,13),(11,25),-0.149821 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,11),(11,14),(11,15),0.116796 # DEPENDENCYPART_GRANDSIBL
(20,11),(11,14),(11,25),-0.150683 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,11),(11,15),(11,25),-0.0490907 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,11),(11,11),(11,10),0.00662309 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,11),(11,11),(11,8),-0.0784146 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,11),(11,11),(11,7),-0.0342456 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,11),(11,11),(11,-1),-0.180859 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,11),(11,10),(11,8),-0.0318123 # DEPENDENCYPART_GRANDSIBL
(20,11),(11,10),(11,7),-0.0455668 # DEPENDENCYPART_GRANDSIBL
(20,11),(11,10),(11,-1),0.00664231 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,11),(11,8),(11,7),0.00128031 # DEPENDENCYPART_GRANDSIBL
(20,11),(11,8),(11,-1),-0.116627 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,11),(11,7),(11,-1),-0.0109886 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,13),(13,13),(13,14),0.0311327 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,13),(13,13),(13,15),0.161045 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,13),(13,13),(13,19),0.0449087 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,13),(13,13),(13,20),-0.097869 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,13),(13,13),(13,23),-0.000107619 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,13),(13,13),(13,24),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,13),(13,13),(13,25),-0.194321 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,13),(13,14),(13,15),0.131383 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,14),(13,19),0.2007 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,14),(13,20),-0.141827 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,13),(13,14),(13,23),-0.142686 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,14),(13,24),-0.125335 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,14),(13,25),-0.132575 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,13),(13,15),(13,19),0.115665 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,15),(13,20),-0.122561 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,13),(13,15),(13,23),-0.127525 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,15),(13,24),-0.124895 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,15),(13,25),-0.0847437 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,13),(13,19),(13,20),-0.126022 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,13),(13,19),(13,23),-0.107638 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,19),(13,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,19),(13,25),-0.092593 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,13),(13,20),(13,23),-0.127528 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,13),(13,20),(13,24),-0.124895 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,13),(13,20),(13,25),-0.107953 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,13),(13,23),(13,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,23),(13,25),-0.0932943 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,13),(13,24),(13,25),-0.139006 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,13),(13,13),(13,12),-0.00778116 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,13),(13,13),(13,11),-0.114183 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,13),(13,13),(13,10),-0.0465404 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,13),(13,13),(13,9),-0.0116793 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,13),(13,13),(13,8),-0.0937649 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,13),(13,13),(13,6),-0.066197 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,13),(13,13),(13,4),0.0326297 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,13),(13,13),(13,-1),0.0512679 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,13),(13,12),(13,11),-0.0691827 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,12),(13,10),-0.0445124 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,12),(13,9),-0.0114476 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,12),(13,8),-0.0651692 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,12),(13,6),-0.00229164 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,12),(13,4),-0.0598152 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,12),(13,-1),-0.0374366 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,13),(13,11),(13,10),-0.0652214 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,11),(13,9),-0.0756039 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,11),(13,8),-0.0310286 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,11),(13,6),-0.0445298 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,11),(13,4),0.0403151 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,11),(13,-1),-0.0155773 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,13),(13,10),(13,9),-0.0255069 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,10),(13,8),-0.0174606 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,10),(13,6),-0.0454997 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,10),(13,4),-0.0425876 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,10),(13,-1),-0.078777 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,13),(13,9),(13,8),0.00508045 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,9),(13,6),-0.0467986 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,9),(13,4),-0.0742569 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,9),(13,-1),-0.0591988 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,13),(13,8),(13,6),-0.0444585 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,8),(13,4),0.0125748 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,8),(13,-1),-0.0119622 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,13),(13,6),(13,4),-0.0540904 # DEPENDENCYPART_GRANDSIBL
(20,13),(13,6),(13,-1),0.0131156 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,13),(13,4),(13,-1),-0.0333785 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,14),(14,14),(14,25),-0.0768395 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,14),(14,14),(14,11),-0.052889 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,14),(14,14),(14,-1),0.0096874 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,14),(14,11),(14,-1),-0.0593354 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,15),(15,15),(15,16),-0.0968494 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,15),(15,15),(15,17),0.0850932 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,15),(15,15),(15,18),0.118066 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,15),(15,15),(15,19),0.15827 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,15),(15,15),(15,20),-0.0892132 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,15),(15,15),(15,21),-0.0885301 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,15),(15,15),(15,23),-0.174278 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,15),(15,15),(15,24),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,15),(15,15),(15,25),-0.214314 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,15),(15,16),(15,17),0.115742 # DEPENDENCYPART_GRANDSIBL
(20,15),(15,16),(15,18),0.143617 # DEPENDENCYPART_GRANDSIBL
(20,15),(15,16),(15,19),0.111936 # DEPENDENCYPART_GRANDSIBL
(20,15),(15,16),(15,20),-0.127001 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,15),(15,16),(15,21),-0.126934 # DEPENDENCYPART_GRANDSIBL
(20,15),(15,16),(15,23),-0.125481 # DEPENDENCYPART_GRANDSIBL
(20,15),(15,16),(15,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(20,15),(15,16),(15,25),-0.0496499 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,15),(15,17),(15,18),0.118644 # DEPENDENCYPART_GRANDSIBL
(20,15),(15,17),(15,19),0.115331 # DEPENDENCYPART_GRANDSIBL
(20,15),(15,17),(15,20),-0.124885 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,15),(15,17),(15,21),-0.124885 # DEPENDENCYPART_GRANDSIBL
(20,15),(15,17),(15,23),-0.12489 # DEPENDENCYPART_GRANDSIBL
(20,15),(15,17),(15,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(20,15),(15,17),(15,25),-0.105502 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,15),(15,18),(15,19),0.126757 # DEPENDENCYPART_GRANDSIBL
(20,15),(15,18),(15,20),-0.125636 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,15),(15,18),(15,21),-0.125626 # DEPENDENCYPART_GRANDSIBL
(20,15),(15,18),(15,23),-0.124888 # DEPENDENCYPART_GRANDSIBL
(20,15),(15,18),(15,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(20,15),(15,18),(15,25),-0.127223 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,15),(15,19),(15,20),-0.124218 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,15),(15,19),(15,21),-0.123199 # DEPENDENCYPART_GRANDSIBL
(20,15),(15,19),(15,23),-0.128012 # DEPENDENCYPART_GRANDSIBL
(20,15),(15,19),(15,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(20,15),(15,19),(15,25),-0.135033 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,15),(15,20),(15,21),-0.125119 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,15),(15,20),(15,23),-0.125469 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,15),(15,20),(15,24),-0.124885 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,15),(15,20),(15,25),-0.110409 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,15),(15,21),(15,23),-0.125469 # DEPENDENCYPART_GRANDSIBL
(20,15),(15,21),(15,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(20,15),(15,21),(15,25),-0.106489 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,15),(15,23),(15,24),-0.124885 # DEPENDENCYPART_GRANDSIBL
(20,15),(15,23),(15,25),-0.134941 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,15),(15,24),(15,25),-0.14435 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,15),(15,15),(15,14),-0.125449 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,15),(15,15),(15,13),0.0683052 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,15),(15,15),(15,12),0.072539 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,15),(15,15),(15,11),-0.0999669 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,15),(15,15),(15,10),-0.0778304 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,15),(15,15),(15,9),-0.0396872 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,15),(15,15),(15,8),-0.0765181 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,15),(15,15),(15,7),0.0684884 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,15),(15,15),(15,5),-0.0922542 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,15),(15,15),(15,4),-0.125449 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,15),(15,15),(15,3),0.067075 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,15),(15,15),(15,2),0.0662544 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,15),(15,15),(15,1),-0.0479522 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(20,15),(15,15),(15,-1),0.0506123 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(20,15),(15,14),(15,13),-0.0652285 # DEPENDENCYPART_GRANDSIBL
(20,15),(15,14),(15,12),-0.0652285 # DEPENDENCYPART_GRANDSIBL
(20,15),(15,14),(15,11),-0.0718337 # DEPENDENCYPART_GRANDSIBL
(20,15),(15,14),(15,10),-0.0889759 # DEPENDENCYPART_GRANDSIBL
(20,15),(15,14),(15,9),0.0593525 # DEPENDENCYPART_GRANDSIBL
(20,15),(15,14),(15,8),-0.067175 # DEPENDENCYPART_GRANDSIBL
(20,15),(15,14),(15,7),-0.0652285 # DEPENDENCYPART_GRANDSIBL
(20,15),(15,14),(15,5),-0.0459995 # DEPENDENCYPART_GRANDSIBL
(20,15),(15,14),(15,4),-0.0284768 # DEPENDENCYPART_GRANDSIBL
(20,15),(15,14),(15,3),-0.065804 # DEPENDENCYPART_GRANDSIBL
(20,15),(15,14),(15,2),-0.0652459 # DEPENDENCYPART_GRANDSIBL
(20,15),(15,14),(15,1),-0.046528 # DEPENDENCYPART_GRANDSIBL
(20,15),(15,14),(15,-1),0.0910104 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(20,15),(15,13),(15,12),0.017401 # DEPENDENCYPART_GRANDSIBL
(20,15),(15,13),(15,11),-0.00298053 # DEPENDENCYPART_GRANDSIBL
(20,15),(15,13),(15,10),-0.0551763 # DEPENDENCYPART_GRANDSIBL
(20,15),(15,13),(15,9),-0.0770259 # DEPENDENCYPART_GRANDSIBL
(20,15),(15,13),(15,8),-0.0111988 # DEPENDENCYPART_GRANDSIBL
(20,15),(15,13),(15,7),0.0174142 # DEPENDENCYPART_GRANDSIBL
(20,15),(15,13),(15,5),-0.0251089 # DEPENDENCYPART_GRANDSIBL
(20,15),(15,13),(15,4),-0.0661682 # DEPENDENCYPART_GRANDSIBL
(20,15),(15,13),(15,3),0.0173973 # DEPENDENCYPART_GRANDSIBL
(20,15),(15,13),(15,2),0.0174141 # DEPENDENCYPART_GRANDSIBL
(20,15),(15,13),(15,1),-0.0198525 # DEPENDENCYPART_GRANDSIBL
