# _root_ Mr. Ferguson , who is 68 years old , fled the U.S. in 1970 after exhausting his appeals of a 1968 conviction on conspiracy to murder .
#goldHeads=2,10,2,5,2,7,8,5,2,0,12,10,10,13,10,15,18,16,18,22,22,19,22,23,24,25,10,
#predictedHeads=2,10,2,5,2,7,8,5,2,0,12,10,10,13,10,15,18,16,18,22,22,19,22,23,24,25,10,
(2,2),(2,1),(2,-1),-0.0113223 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(4,4),(4,5),(4,28),-0.136899 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(5,5),(5,6),(5,7),-0.102447 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,6),(5,8),-0.024996 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,6),(5,9),0.0401068 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,6),(5,10),-0.062039 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,6),(5,12),-0.118694 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,6),(5,13),-0.0792152 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,6),(5,15),-0.0752695 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,6),(5,16),-0.064901 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,6),(5,27),0.0293253 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,6),(5,28),0.0350289 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(5,5),(5,7),(5,8),-0.0139779 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,7),(5,9),0.0631276 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,7),(5,10),0.028372 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,7),(5,12),-0.0308109 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,7),(5,13),-0.0152131 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,7),(5,15),-0.0675253 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,7),(5,16),0.0255994 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,7),(5,27),0.0623107 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,7),(5,28),0.0617636 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(5,5),(5,8),(5,9),0.00701118 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,8),(5,10),0.0314849 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,8),(5,12),-0.0584438 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,8),(5,13),-0.0229175 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,8),(5,15),-0.0600052 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,8),(5,16),0.0286229 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,8),(5,27),0.0299547 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,8),(5,28),0.0747061 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(5,5),(5,9),(5,10),-0.136142 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,9),(5,12),-0.29575 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,9),(5,13),-0.242988 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,9),(5,15),-0.258545 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,9),(5,16),-0.137133 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,9),(5,27),-0.028047 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,9),(5,28),-0.147269 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(5,5),(5,10),(5,12),-0.0504285 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,10),(5,13),-0.0123357 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,10),(5,15),-0.0663151 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,10),(5,16),0.00134941 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,10),(5,27),0.0684523 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,10),(5,28),0.0824046 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(5,5),(5,12),(5,13),0.00582654 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,12),(5,15),-0.0464857 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,12),(5,16),0.0132763 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,12),(5,27),0.0630871 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,12),(5,28),0.0481128 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(5,5),(5,13),(5,15),-0.175917 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,13),(5,16),-0.043232 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,13),(5,27),-0.0774517 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,13),(5,28),-0.00767315 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(5,5),(5,15),(5,16),-0.0606591 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,15),(5,27),-0.0848709 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,15),(5,28),-0.0482818 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(5,5),(5,16),(5,27),0.0684588 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,16),(5,28),0.0884432 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(5,5),(5,27),(5,28),-0.127554 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(5,6),(5,7),(5,8),-0.0703119 # DEPENDENCYPART_TRISIBL
(5,6),(5,7),(5,9),-0.0684894 # DEPENDENCYPART_TRISIBL
(5,6),(5,7),(5,10),-0.0404915 # DEPENDENCYPART_TRISIBL
(5,6),(5,7),(5,12),-0.118814 # DEPENDENCYPART_TRISIBL
(5,6),(5,7),(5,13),-0.0163391 # DEPENDENCYPART_TRISIBL
(5,6),(5,7),(5,15),-0.0769383 # DEPENDENCYPART_TRISIBL
(5,6),(5,7),(5,16),-0.0404915 # DEPENDENCYPART_TRISIBL
(5,6),(5,7),(5,27),-0.00116241 # DEPENDENCYPART_TRISIBL
(5,6),(5,7),(5,28),-0.0452337 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,6),(5,8),(5,9),-0.0605774 # DEPENDENCYPART_TRISIBL
(5,6),(5,8),(5,10),-0.0499758 # DEPENDENCYPART_TRISIBL
(5,6),(5,8),(5,12),-0.104074 # DEPENDENCYPART_TRISIBL
(5,6),(5,8),(5,13),-0.0238404 # DEPENDENCYPART_TRISIBL
(5,6),(5,8),(5,15),-0.0843089 # DEPENDENCYPART_TRISIBL
(5,6),(5,8),(5,16),-0.0499758 # DEPENDENCYPART_TRISIBL
(5,6),(5,8),(5,27),0.00401604 # DEPENDENCYPART_TRISIBL
(5,6),(5,8),(5,28),-0.0481851 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,6),(5,9),(5,10),-0.101438 # DEPENDENCYPART_TRISIBL
(5,6),(5,9),(5,12),-0.125356 # DEPENDENCYPART_TRISIBL
(5,6),(5,9),(5,13),-0.0125993 # DEPENDENCYPART_TRISIBL
(5,6),(5,9),(5,15),-0.0657934 # DEPENDENCYPART_TRISIBL
(5,6),(5,9),(5,16),-0.101438 # DEPENDENCYPART_TRISIBL
(5,6),(5,9),(5,27),-0.0108906 # DEPENDENCYPART_TRISIBL
(5,6),(5,9),(5,28),-0.0707627 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,6),(5,10),(5,12),-0.101233 # DEPENDENCYPART_TRISIBL
(5,6),(5,10),(5,13),0.00213762 # DEPENDENCYPART_TRISIBL
(5,6),(5,10),(5,15),-0.0604823 # DEPENDENCYPART_TRISIBL
(5,6),(5,10),(5,16),-0.0585202 # DEPENDENCYPART_TRISIBL
(5,6),(5,10),(5,27),-0.0810181 # DEPENDENCYPART_TRISIBL
(5,6),(5,10),(5,28),-0.0247386 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,6),(5,12),(5,13),-0.0157099 # DEPENDENCYPART_TRISIBL
(5,6),(5,12),(5,15),-0.0763092 # DEPENDENCYPART_TRISIBL
(5,6),(5,12),(5,16),-0.0403669 # DEPENDENCYPART_TRISIBL
(5,6),(5,12),(5,27),-0.00115592 # DEPENDENCYPART_TRISIBL
(5,6),(5,12),(5,28),-0.0427891 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,6),(5,13),(5,15),-0.0931021 # DEPENDENCYPART_TRISIBL
(5,6),(5,13),(5,16),-0.064 # DEPENDENCYPART_TRISIBL
(5,6),(5,13),(5,27),0.00427922 # DEPENDENCYPART_TRISIBL
(5,6),(5,13),(5,28),-0.0374695 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,6),(5,15),(5,16),-0.065738 # DEPENDENCYPART_TRISIBL
(5,6),(5,15),(5,27),0.029419 # DEPENDENCYPART_TRISIBL
(5,6),(5,15),(5,28),-0.0425364 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,6),(5,16),(5,27),-0.0810181 # DEPENDENCYPART_TRISIBL
(5,6),(5,16),(5,28),-0.0247386 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,6),(5,27),(5,28),-0.0167469 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,7),(5,8),(5,9),-0.0423245 # DEPENDENCYPART_TRISIBL
(5,7),(5,8),(5,10),-0.0716817 # DEPENDENCYPART_TRISIBL
(5,7),(5,8),(5,12),-0.12097 # DEPENDENCYPART_TRISIBL
(5,7),(5,8),(5,13),0.0398223 # DEPENDENCYPART_TRISIBL
(5,7),(5,8),(5,15),-0.0147882 # DEPENDENCYPART_TRISIBL
(5,7),(5,8),(5,16),-0.0711143 # DEPENDENCYPART_TRISIBL
(5,7),(5,8),(5,27),-0.0478744 # DEPENDENCYPART_TRISIBL
(5,7),(5,8),(5,28),-0.0685023 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,7),(5,9),(5,10),-0.0586297 # DEPENDENCYPART_TRISIBL
(5,7),(5,9),(5,12),-0.172683 # DEPENDENCYPART_TRISIBL
(5,7),(5,9),(5,13),0.0593641 # DEPENDENCYPART_TRISIBL
(5,7),(5,9),(5,15),0.0151131 # DEPENDENCYPART_TRISIBL
(5,7),(5,9),(5,16),-0.0577781 # DEPENDENCYPART_TRISIBL
(5,7),(5,9),(5,27),-0.0811249 # DEPENDENCYPART_TRISIBL
(5,7),(5,9),(5,28),-0.0893099 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,7),(5,10),(5,12),-0.122728 # DEPENDENCYPART_TRISIBL
(5,7),(5,10),(5,13),-0.000971383 # DEPENDENCYPART_TRISIBL
(5,7),(5,10),(5,15),-0.0385476 # DEPENDENCYPART_TRISIBL
(5,7),(5,10),(5,16),-0.0626693 # DEPENDENCYPART_TRISIBL
(5,7),(5,10),(5,27),-0.0756908 # DEPENDENCYPART_TRISIBL
(5,7),(5,10),(5,28),-0.0558562 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,7),(5,12),(5,13),-0.0013225 # DEPENDENCYPART_TRISIBL
(5,7),(5,12),(5,15),-0.0803742 # DEPENDENCYPART_TRISIBL
(5,7),(5,12),(5,16),-0.0494356 # DEPENDENCYPART_TRISIBL
(5,7),(5,12),(5,27),-0.0860436 # DEPENDENCYPART_TRISIBL
(5,7),(5,12),(5,28),-0.0598921 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,7),(5,13),(5,15),-0.0321844 # DEPENDENCYPART_TRISIBL
(5,7),(5,13),(5,16),-0.0658883 # DEPENDENCYPART_TRISIBL
(5,7),(5,13),(5,27),-0.0618749 # DEPENDENCYPART_TRISIBL
(5,7),(5,13),(5,28),-0.0551703 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,7),(5,15),(5,16),-0.0687278 # DEPENDENCYPART_TRISIBL
(5,7),(5,15),(5,27),-0.0362828 # DEPENDENCYPART_TRISIBL
(5,7),(5,15),(5,28),-0.0808183 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,7),(5,16),(5,27),-0.0756908 # DEPENDENCYPART_TRISIBL
(5,7),(5,16),(5,28),-0.0557668 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,7),(5,27),(5,28),0.000648319 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,8),(5,9),(5,10),-0.0256265 # DEPENDENCYPART_TRISIBL
(5,8),(5,9),(5,12),-0.126116 # DEPENDENCYPART_TRISIBL
(5,8),(5,9),(5,13),0.0647001 # DEPENDENCYPART_TRISIBL
(5,8),(5,9),(5,15),0.0619045 # DEPENDENCYPART_TRISIBL
(5,8),(5,9),(5,16),-0.025626 # DEPENDENCYPART_TRISIBL
(5,8),(5,9),(5,27),-0.0686192 # DEPENDENCYPART_TRISIBL
(5,8),(5,9),(5,28),-0.0943572 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,8),(5,10),(5,12),-0.0840266 # DEPENDENCYPART_TRISIBL
(5,8),(5,10),(5,13),-0.0362953 # DEPENDENCYPART_TRISIBL
(5,8),(5,10),(5,15),-0.0465261 # DEPENDENCYPART_TRISIBL
(5,8),(5,10),(5,16),-0.075585 # DEPENDENCYPART_TRISIBL
(5,8),(5,10),(5,27),-0.0633003 # DEPENDENCYPART_TRISIBL
(5,8),(5,10),(5,28),-0.0524439 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,8),(5,12),(5,13),-0.0624055 # DEPENDENCYPART_TRISIBL
(5,8),(5,12),(5,15),-0.0725432 # DEPENDENCYPART_TRISIBL
(5,8),(5,12),(5,16),-0.107679 # DEPENDENCYPART_TRISIBL
(5,8),(5,12),(5,27),-0.0754225 # DEPENDENCYPART_TRISIBL
(5,8),(5,12),(5,28),-0.0181465 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,8),(5,13),(5,15),-0.0757964 # DEPENDENCYPART_TRISIBL
(5,8),(5,13),(5,16),-0.103573 # DEPENDENCYPART_TRISIBL
(5,8),(5,13),(5,27),0.0380015 # DEPENDENCYPART_TRISIBL
(5,8),(5,13),(5,28),0.039221 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,8),(5,15),(5,16),-0.113533 # DEPENDENCYPART_TRISIBL
(5,8),(5,15),(5,27),0.0484249 # DEPENDENCYPART_TRISIBL
(5,8),(5,15),(5,28),0.0171497 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,8),(5,16),(5,27),-0.0633003 # DEPENDENCYPART_TRISIBL
(5,8),(5,16),(5,28),-0.0524439 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,8),(5,27),(5,28),-0.00424824 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,9),(5,10),(5,12),-0.102907 # DEPENDENCYPART_TRISIBL
(5,9),(5,10),(5,13),0.025378 # DEPENDENCYPART_TRISIBL
(5,9),(5,10),(5,15),0.0145431 # DEPENDENCYPART_TRISIBL
(5,9),(5,10),(5,16),-0.0325207 # DEPENDENCYPART_TRISIBL
(5,9),(5,10),(5,27),0.0551697 # DEPENDENCYPART_TRISIBL
(5,9),(5,10),(5,28),0.0597835 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,9),(5,12),(5,13),-0.0508238 # DEPENDENCYPART_TRISIBL
(5,9),(5,12),(5,15),-0.0567781 # DEPENDENCYPART_TRISIBL
(5,9),(5,12),(5,16),-0.0467501 # DEPENDENCYPART_TRISIBL
(5,9),(5,12),(5,27),0.0218821 # DEPENDENCYPART_TRISIBL
(5,9),(5,12),(5,28),0.0465327 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,9),(5,13),(5,15),-0.0352482 # DEPENDENCYPART_TRISIBL
(5,9),(5,13),(5,16),-0.00309506 # DEPENDENCYPART_TRISIBL
(5,9),(5,13),(5,27),0.0198424 # DEPENDENCYPART_TRISIBL
(5,9),(5,13),(5,28),0.000798955 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,9),(5,15),(5,16),0.00781904 # DEPENDENCYPART_TRISIBL
(5,9),(5,15),(5,27),0.0253348 # DEPENDENCYPART_TRISIBL
(5,9),(5,15),(5,28),-0.0025627 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,9),(5,16),(5,27),0.0553277 # DEPENDENCYPART_TRISIBL
(5,9),(5,16),(5,28),0.0642453 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,9),(5,27),(5,28),-0.0663329 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,10),(5,12),(5,13),0.00131625 # DEPENDENCYPART_TRISIBL
(5,10),(5,12),(5,15),0.022872 # DEPENDENCYPART_TRISIBL
(5,10),(5,12),(5,16),-0.115346 # DEPENDENCYPART_TRISIBL
(5,10),(5,12),(5,27),-0.0133876 # DEPENDENCYPART_TRISIBL
(5,10),(5,12),(5,28),-0.0693103 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,10),(5,13),(5,15),-0.0277128 # DEPENDENCYPART_TRISIBL
(5,10),(5,13),(5,16),-0.0714384 # DEPENDENCYPART_TRISIBL
(5,10),(5,13),(5,27),0.0218361 # DEPENDENCYPART_TRISIBL
(5,10),(5,13),(5,28),-0.0126436 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,10),(5,15),(5,16),-0.0642796 # DEPENDENCYPART_TRISIBL
(5,10),(5,15),(5,27),-0.00441963 # DEPENDENCYPART_TRISIBL
(5,10),(5,15),(5,28),-0.0194302 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,10),(5,16),(5,27),-0.0912968 # DEPENDENCYPART_TRISIBL
(5,10),(5,16),(5,28),-0.0647615 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,10),(5,27),(5,28),0.0215734 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,12),(5,13),(5,15),-0.0359088 # DEPENDENCYPART_TRISIBL
(5,12),(5,13),(5,16),-0.0688176 # DEPENDENCYPART_TRISIBL
(5,12),(5,13),(5,27),-0.0406071 # DEPENDENCYPART_TRISIBL
(5,12),(5,13),(5,28),-0.0534393 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,12),(5,15),(5,16),-0.0716571 # DEPENDENCYPART_TRISIBL
(5,12),(5,15),(5,27),-0.015015 # DEPENDENCYPART_TRISIBL
(5,12),(5,15),(5,28),-0.0790873 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,12),(5,16),(5,27),-0.067768 # DEPENDENCYPART_TRISIBL
(5,12),(5,16),(5,28),-0.0743955 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,12),(5,27),(5,28),-0.00586477 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,13),(5,15),(5,16),-0.0584565 # DEPENDENCYPART_TRISIBL
(5,13),(5,15),(5,27),-0.0809307 # DEPENDENCYPART_TRISIBL
(5,13),(5,15),(5,28),-0.0548683 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,13),(5,16),(5,27),-0.0745118 # DEPENDENCYPART_TRISIBL
(5,13),(5,16),(5,28),-0.0709101 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,13),(5,27),(5,28),-0.0490857 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,15),(5,16),(5,27),-0.0919504 # DEPENDENCYPART_TRISIBL
(5,15),(5,16),(5,28),-0.0998693 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,15),(5,27),(5,28),-0.0418404 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,16),(5,27),(5,28),0.0221634 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,5),(5,4),(5,3),-0.0514736 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,4),(5,2),-0.131186 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,4),(5,-1),0.0916089 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,5),(5,3),(5,2),-0.26117 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(5,5),(5,3),(5,-1),-0.328944 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,5),(5,2),(5,-1),0.0943462 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,4),(5,3),(5,2),-0.155311 # DEPENDENCYPART_TRISIBL
(5,4),(5,3),(5,-1),-0.131873 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,4),(5,2),(5,-1),-0.0704322 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(5,3),(5,2),(5,-1),0.0500988 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,6),(6,7),(6,8),-0.07188 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,7),(6,9),-0.0590884 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,7),(6,10),-0.0338495 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,7),(6,28),-0.0910974 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(6,6),(6,8),(6,9),-0.0940099 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,8),(6,10),-0.0673995 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,8),(6,28),-0.150677 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(6,6),(6,9),(6,10),-0.0730295 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(6,6),(6,9),(6,28),-0.39195 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(6,6),(6,10),(6,28),-0.125275 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(6,7),(6,8),(6,9),-0.0599741 # DEPENDENCYPART_TRISIBL
(6,7),(6,8),(6,10),-0.0727611 # DEPENDENCYPART_TRISIBL
(6,7),(6,8),(6,28),-0.0817524 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,7),(6,9),(6,10),-0.0589332 # DEPENDENCYPART_TRISIBL
(6,7),(6,9),(6,28),-0.101328 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,7),(6,10),(6,28),-0.061942 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,8),(6,9),(6,10),-0.0389693 # DEPENDENCYPART_TRISIBL
(6,8),(6,9),(6,28),-0.0735928 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,8),(6,10),(6,28),-0.070068 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(6,9),(6,10),(6,28),-0.0514856 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,7),(7,8),(7,9),-0.147287 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,8),(7,10),-0.103335 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,8),(7,12),-0.198781 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,8),(7,14),-0.150553 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,8),(7,28),-0.119119 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(7,7),(7,9),(7,10),-0.178392 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,9),(7,12),-0.105054 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,9),(7,14),-0.100103 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,9),(7,28),-0.722494 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(7,7),(7,10),(7,12),-0.168325 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,10),(7,14),-0.156158 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,10),(7,28),-0.0901829 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(7,7),(7,12),(7,14),-0.162869 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,12),(7,28),-0.120103 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(7,7),(7,14),(7,28),-0.109982 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(7,8),(7,9),(7,10),0.0241514 # DEPENDENCYPART_TRISIBL
(7,8),(7,9),(7,12),-0.00921805 # DEPENDENCYPART_TRISIBL
(7,8),(7,9),(7,14),-0.0889681 # DEPENDENCYPART_TRISIBL
(7,8),(7,9),(7,28),-0.0401933 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,8),(7,10),(7,12),-0.0427439 # DEPENDENCYPART_TRISIBL
(7,8),(7,10),(7,14),-0.0624633 # DEPENDENCYPART_TRISIBL
(7,8),(7,10),(7,28),-0.091866 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,8),(7,12),(7,14),-0.0624692 # DEPENDENCYPART_TRISIBL
(7,8),(7,12),(7,28),-0.0809664 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,8),(7,14),(7,28),-0.100033 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,9),(7,10),(7,12),-0.0248723 # DEPENDENCYPART_TRISIBL
(7,9),(7,10),(7,14),-0.0635021 # DEPENDENCYPART_TRISIBL
(7,9),(7,10),(7,28),-0.0608094 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,9),(7,12),(7,14),-0.0656523 # DEPENDENCYPART_TRISIBL
(7,9),(7,12),(7,28),-0.0910172 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,9),(7,14),(7,28),-0.0561878 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,10),(7,12),(7,14),-0.0628703 # DEPENDENCYPART_TRISIBL
(7,10),(7,12),(7,28),-0.124332 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,10),(7,14),(7,28),-0.118473 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,12),(7,14),(7,28),-0.154333 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,7),(7,6),(7,5),-0.204458 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,6),(7,4),-0.138886 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,6),(7,3),-0.150946 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,6),(7,2),-0.235235 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,6),(7,-1),-0.0430097 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,7),(7,5),(7,4),-0.10345 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,5),(7,3),-0.108363 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,5),(7,2),-0.118653 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,5),(7,-1),-0.176621 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,7),(7,4),(7,3),-0.142231 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,4),(7,2),-0.196536 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,4),(7,-1),-0.115305 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(7,7),(7,3),(7,2),-0.17248 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(7,7),(7,3),(7,-1),-0.425159 # DEPENDENCYPART_TRISIBL_LAST_SIBS
