# _root_ Avon also said it will issue an additional 243,677 of the Class C warrants to holders of its Class A , Class B and unclassified warrants .
#goldHeads=3,3,0,5,3,5,9,9,6,9,14,14,14,10,6,15,16,26,24,24,24,24,24,26,24,17,3,
#predictedHeads=3,3,0,5,3,5,9,9,6,9,14,14,14,10,6,15,16,19,24,23,24,23,24,17,26,24,3,
(6,16),(12,15),0.0939448 # DEPENDENCYPART_HEADBIGRAM
(6,16),(14,15),0.0918697 # DEPENDENCYPART_HEADBIGRAM
(6,16),(16,15),0.168565 # DEPENDENCYPART_HEADBIGRAM
(6,16),(17,15),0.0975604 # DEPENDENCYPART_HEADBIGRAM
(6,16),(19,15),0.0866768 # DEPENDENCYPART_HEADBIGRAM
(6,16),(24,15),0.0929881 # DEPENDENCYPART_HEADBIGRAM
(6,16),(25,15),0.0916119 # DEPENDENCYPART_HEADBIGRAM
(6,17),(6,16),0.149574 # DEPENDENCYPART_HEADBIGRAM
(6,17),(9,16),0.137281 # DEPENDENCYPART_HEADBIGRAM
(6,17),(10,16),0.245557 # DEPENDENCYPART_HEADBIGRAM
(6,17),(12,16),-0.0168418 # DEPENDENCYPART_HEADBIGRAM
(6,17),(13,16),-0.0243581 # DEPENDENCYPART_HEADBIGRAM
(6,17),(14,16),-0.0395616 # DEPENDENCYPART_HEADBIGRAM
(6,17),(15,16),0.134395 # DEPENDENCYPART_HEADBIGRAM
(6,17),(17,16),0.213789 # DEPENDENCYPART_HEADBIGRAM
(6,17),(19,16),-0.0219285 # DEPENDENCYPART_HEADBIGRAM
(6,17),(24,16),-0.0248195 # DEPENDENCYPART_HEADBIGRAM
(6,19),(17,18),0.0795703 # DEPENDENCYPART_HEADBIGRAM
(6,19),(19,18),0.19062 # DEPENDENCYPART_HEADBIGRAM
(6,19),(22,18),0.0658824 # DEPENDENCYPART_HEADBIGRAM
(6,19),(23,18),0.0658824 # DEPENDENCYPART_HEADBIGRAM
(6,19),(24,18),0.0831141 # DEPENDENCYPART_HEADBIGRAM
(6,19),(26,18),0.0660984 # DEPENDENCYPART_HEADBIGRAM
(6,21),(12,20),0.0963257 # DEPENDENCYPART_HEADBIGRAM
(6,21),(14,20),0.0963257 # DEPENDENCYPART_HEADBIGRAM
(6,21),(16,20),0.0963288 # DEPENDENCYPART_HEADBIGRAM
(6,21),(19,20),0.0999006 # DEPENDENCYPART_HEADBIGRAM
(6,21),(22,20),0.08367 # DEPENDENCYPART_HEADBIGRAM
(6,21),(23,20),0.0836778 # DEPENDENCYPART_HEADBIGRAM
(6,21),(24,20),0.0970128 # DEPENDENCYPART_HEADBIGRAM
(6,21),(26,20),0.0837687 # DEPENDENCYPART_HEADBIGRAM
(6,24),(9,23),0.0880679 # DEPENDENCYPART_HEADBIGRAM
(6,24),(14,23),0.0911517 # DEPENDENCYPART_HEADBIGRAM
(6,24),(15,23),0.0871041 # DEPENDENCYPART_HEADBIGRAM
(6,24),(16,23),0.0912948 # DEPENDENCYPART_HEADBIGRAM
(6,24),(17,23),0.28878 # DEPENDENCYPART_HEADBIGRAM
(6,24),(19,23),0.0925412 # DEPENDENCYPART_HEADBIGRAM
(6,24),(22,23),0.111774 # DEPENDENCYPART_HEADBIGRAM
(6,24),(24,23),0.0845032 # DEPENDENCYPART_HEADBIGRAM
(6,24),(25,23),0.0851914 # DEPENDENCYPART_HEADBIGRAM
(6,24),(26,23),0.0499021 # DEPENDENCYPART_HEADBIGRAM
(6,25),(3,24),-0.0630517 # DEPENDENCYPART_HEADBIGRAM
(6,25),(5,24),-0.0568306 # DEPENDENCYPART_HEADBIGRAM
(6,25),(6,24),0.0904794 # DEPENDENCYPART_HEADBIGRAM
(6,25),(9,24),0.110465 # DEPENDENCYPART_HEADBIGRAM
(6,25),(14,24),0.106381 # DEPENDENCYPART_HEADBIGRAM
(6,25),(15,24),0.110112 # DEPENDENCYPART_HEADBIGRAM
(6,25),(16,24),0.106381 # DEPENDENCYPART_HEADBIGRAM
(6,25),(17,24),0.1052 # DEPENDENCYPART_HEADBIGRAM
(6,25),(19,24),0.106647 # DEPENDENCYPART_HEADBIGRAM
(6,25),(26,24),0.0947214 # DEPENDENCYPART_HEADBIGRAM
(6,27),(10,26),0.168978 # DEPENDENCYPART_HEADBIGRAM
(6,27),(13,26),0.00403794 # DEPENDENCYPART_HEADBIGRAM
(6,27),(14,26),0.0340269 # DEPENDENCYPART_HEADBIGRAM
(6,27),(16,26),0.048991 # DEPENDENCYPART_HEADBIGRAM
(6,27),(17,26),0.202887 # DEPENDENCYPART_HEADBIGRAM
(6,27),(19,26),0.0450517 # DEPENDENCYPART_HEADBIGRAM
(6,27),(22,26),0.0461094 # DEPENDENCYPART_HEADBIGRAM
(6,27),(23,26),0.0808921 # DEPENDENCYPART_HEADBIGRAM
(6,27),(24,26),0.337808 # DEPENDENCYPART_HEADBIGRAM
(6,27),(25,26),0.136772 # DEPENDENCYPART_HEADBIGRAM
(7,6),(0,5),-0.102495 # DEPENDENCYPART_HEADBIGRAM
(7,6),(1,5),-0.102277 # DEPENDENCYPART_HEADBIGRAM
(7,6),(2,5),-0.102269 # DEPENDENCYPART_HEADBIGRAM
(7,6),(3,5),-0.112435 # DEPENDENCYPART_HEADBIGRAM
(7,6),(4,5),-0.11242 # DEPENDENCYPART_HEADBIGRAM
(7,6),(6,5),-0.123977 # DEPENDENCYPART_HEADBIGRAM
(7,6),(24,5),0.0896419 # DEPENDENCYPART_HEADBIGRAM
(7,8),(3,7),-0.0602113 # DEPENDENCYPART_HEADBIGRAM
(7,8),(6,7),-0.0649325 # DEPENDENCYPART_HEADBIGRAM
(7,8),(8,7),0.057198 # DEPENDENCYPART_HEADBIGRAM
(7,8),(9,7),0.097254 # DEPENDENCYPART_HEADBIGRAM
(7,8),(12,7),0.0819321 # DEPENDENCYPART_HEADBIGRAM
(7,8),(13,7),0.0884885 # DEPENDENCYPART_HEADBIGRAM
(7,8),(14,7),0.0884885 # DEPENDENCYPART_HEADBIGRAM
(7,8),(16,7),0.0884885 # DEPENDENCYPART_HEADBIGRAM
(7,8),(19,7),0.0852636 # DEPENDENCYPART_HEADBIGRAM
(7,8),(24,7),0.0989287 # DEPENDENCYPART_HEADBIGRAM
(7,9),(3,8),-0.056042 # DEPENDENCYPART_HEADBIGRAM
(7,9),(5,8),-0.056042 # DEPENDENCYPART_HEADBIGRAM
(7,9),(6,8),-0.0560043 # DEPENDENCYPART_HEADBIGRAM
(7,9),(7,8),0.126325 # DEPENDENCYPART_HEADBIGRAM
(7,9),(9,8),0.117444 # DEPENDENCYPART_HEADBIGRAM
(7,9),(10,8),0.0967268 # DEPENDENCYPART_HEADBIGRAM
(7,9),(13,8),0.0983052 # DEPENDENCYPART_HEADBIGRAM
(7,9),(14,8),0.098349 # DEPENDENCYPART_HEADBIGRAM
(7,9),(16,8),0.098349 # DEPENDENCYPART_HEADBIGRAM
(7,9),(24,8),0.098349 # DEPENDENCYPART_HEADBIGRAM
(7,10),(2,9),-0.053113 # DEPENDENCYPART_HEADBIGRAM
(7,10),(3,9),-0.0531117 # DEPENDENCYPART_HEADBIGRAM
(7,10),(6,9),-0.0560376 # DEPENDENCYPART_HEADBIGRAM
(7,10),(7,9),0.164443 # DEPENDENCYPART_HEADBIGRAM
(7,10),(8,9),0.132804 # DEPENDENCYPART_HEADBIGRAM
(7,10),(10,9),0.0858095 # DEPENDENCYPART_HEADBIGRAM
(7,10),(13,9),0.0949972 # DEPENDENCYPART_HEADBIGRAM
(7,10),(14,9),0.0950005 # DEPENDENCYPART_HEADBIGRAM
(7,10),(16,9),0.0955832 # DEPENDENCYPART_HEADBIGRAM
(7,10),(24,9),0.0979928 # DEPENDENCYPART_HEADBIGRAM
(8,2),(0,1),-0.119319 # DEPENDENCYPART_HEADBIGRAM
(8,2),(2,1),-0.125392 # DEPENDENCYPART_HEADBIGRAM
(8,2),(3,1),-0.127368 # DEPENDENCYPART_HEADBIGRAM
(8,2),(5,1),-0.126476 # DEPENDENCYPART_HEADBIGRAM
(8,2),(6,1),-0.128507 # DEPENDENCYPART_HEADBIGRAM
(8,2),(24,1),0.115845 # DEPENDENCYPART_HEADBIGRAM
(8,4),(0,3),-0.134133 # DEPENDENCYPART_HEADBIGRAM
(8,4),(1,3),-0.106292 # DEPENDENCYPART_HEADBIGRAM
(8,4),(2,3),-0.123116 # DEPENDENCYPART_HEADBIGRAM
(8,4),(5,3),-0.118702 # DEPENDENCYPART_HEADBIGRAM
(8,4),(6,3),-0.134734 # DEPENDENCYPART_HEADBIGRAM
(8,4),(24,3),0.075696 # DEPENDENCYPART_HEADBIGRAM
(8,7),(0,6),-0.111594 # DEPENDENCYPART_HEADBIGRAM
(8,7),(1,6),-0.116413 # DEPENDENCYPART_HEADBIGRAM
(8,7),(2,6),-0.122158 # DEPENDENCYPART_HEADBIGRAM
(8,7),(3,6),-0.12813 # DEPENDENCYPART_HEADBIGRAM
(8,7),(4,6),-0.140346 # DEPENDENCYPART_HEADBIGRAM
(8,7),(5,6),-0.112085 # DEPENDENCYPART_HEADBIGRAM
(8,7),(7,6),-0.124202 # DEPENDENCYPART_HEADBIGRAM
(8,7),(24,6),0.107479 # DEPENDENCYPART_HEADBIGRAM
(8,9),(3,8),-0.0789892 # DEPENDENCYPART_HEADBIGRAM
(8,9),(5,8),-0.0615439 # DEPENDENCYPART_HEADBIGRAM
(8,9),(6,8),-0.0592344 # DEPENDENCYPART_HEADBIGRAM
(8,9),(7,8),-0.0528547 # DEPENDENCYPART_HEADBIGRAM
(8,9),(9,8),0.0344383 # DEPENDENCYPART_HEADBIGRAM
(8,9),(10,8),0.108785 # DEPENDENCYPART_HEADBIGRAM
(8,9),(13,8),0.172675 # DEPENDENCYPART_HEADBIGRAM
(8,9),(14,8),0.171634 # DEPENDENCYPART_HEADBIGRAM
(8,9),(16,8),0.171634 # DEPENDENCYPART_HEADBIGRAM
(8,9),(24,8),0.094776 # DEPENDENCYPART_HEADBIGRAM
(8,10),(2,9),-0.056755 # DEPENDENCYPART_HEADBIGRAM
(8,10),(3,9),-0.0567849 # DEPENDENCYPART_HEADBIGRAM
(8,10),(6,9),-0.0577552 # DEPENDENCYPART_HEADBIGRAM
(8,10),(7,9),-0.0609475 # DEPENDENCYPART_HEADBIGRAM
(8,10),(8,9),0.0871929 # DEPENDENCYPART_HEADBIGRAM
(8,10),(10,9),0.076223 # DEPENDENCYPART_HEADBIGRAM
(8,10),(13,9),0.0893986 # DEPENDENCYPART_HEADBIGRAM
(8,10),(14,9),0.0893997 # DEPENDENCYPART_HEADBIGRAM
(8,10),(16,9),0.0935863 # DEPENDENCYPART_HEADBIGRAM
(8,10),(24,9),0.0981371 # DEPENDENCYPART_HEADBIGRAM
(8,12),(9,11),0.0676671 # DEPENDENCYPART_HEADBIGRAM
(8,12),(10,11),0.058017 # DEPENDENCYPART_HEADBIGRAM
(8,12),(12,11),-0.0141433 # DEPENDENCYPART_HEADBIGRAM
(8,12),(13,11),0.123596 # DEPENDENCYPART_HEADBIGRAM
(8,12),(14,11),0.106015 # DEPENDENCYPART_HEADBIGRAM
(8,12),(16,11),0.106015 # DEPENDENCYPART_HEADBIGRAM
(8,12),(19,11),0.120778 # DEPENDENCYPART_HEADBIGRAM
(8,12),(24,11),0.0962167 # DEPENDENCYPART_HEADBIGRAM
(8,13),(6,12),-0.0713822 # DEPENDENCYPART_HEADBIGRAM
(8,13),(8,12),0.14645 # DEPENDENCYPART_HEADBIGRAM
(8,13),(9,12),0.133078 # DEPENDENCYPART_HEADBIGRAM
(8,13),(10,12),0.146945 # DEPENDENCYPART_HEADBIGRAM
(8,13),(11,12),0.160791 # DEPENDENCYPART_HEADBIGRAM
(8,13),(13,12),0.209301 # DEPENDENCYPART_HEADBIGRAM
(8,13),(14,12),0.089572 # DEPENDENCYPART_HEADBIGRAM
(8,13),(16,12),0.0944705 # DEPENDENCYPART_HEADBIGRAM
(8,13),(19,12),0.0964344 # DEPENDENCYPART_HEADBIGRAM
(8,13),(24,12),0.0899492 # DEPENDENCYPART_HEADBIGRAM
(8,14),(6,13),-0.0710028 # DEPENDENCYPART_HEADBIGRAM
(8,14),(8,13),0.124676 # DEPENDENCYPART_HEADBIGRAM
(8,14),(9,13),0.113731 # DEPENDENCYPART_HEADBIGRAM
(8,14),(10,13),0.100516 # DEPENDENCYPART_HEADBIGRAM
(8,14),(12,13),0.0769577 # DEPENDENCYPART_HEADBIGRAM
(8,14),(14,13),0.109439 # DEPENDENCYPART_HEADBIGRAM
(8,14),(16,13),0.0958836 # DEPENDENCYPART_HEADBIGRAM
(8,14),(24,13),0.0899091 # DEPENDENCYPART_HEADBIGRAM
(8,17),(6,16),-0.00562631 # DEPENDENCYPART_HEADBIGRAM
(8,17),(9,16),0.0974898 # DEPENDENCYPART_HEADBIGRAM
(8,17),(10,16),0.145203 # DEPENDENCYPART_HEADBIGRAM
(8,17),(12,16),0.10762 # DEPENDENCYPART_HEADBIGRAM
(8,17),(13,16),0.107206 # DEPENDENCYPART_HEADBIGRAM
(8,17),(14,16),0.159879 # DEPENDENCYPART_HEADBIGRAM
(8,17),(15,16),0.179067 # DEPENDENCYPART_HEADBIGRAM
(8,17),(17,16),0.0864642 # DEPENDENCYPART_HEADBIGRAM
(8,17),(19,16),0.0736707 # DEPENDENCYPART_HEADBIGRAM
(8,17),(24,16),0.0752446 # DEPENDENCYPART_HEADBIGRAM
(9,7),(0,6),-0.163371 # DEPENDENCYPART_HEADBIGRAM
(9,7),(1,6),-0.121589 # DEPENDENCYPART_HEADBIGRAM
(9,7),(2,6),-0.118549 # DEPENDENCYPART_HEADBIGRAM
(9,7),(3,6),-0.132997 # DEPENDENCYPART_HEADBIGRAM
(9,7),(4,6),-0.140513 # DEPENDENCYPART_HEADBIGRAM
(9,7),(5,6),-0.137688 # DEPENDENCYPART_HEADBIGRAM
(9,7),(7,6),-0.124032 # DEPENDENCYPART_HEADBIGRAM
(9,7),(24,6),0.10901 # DEPENDENCYPART_HEADBIGRAM
(9,8),(3,7),-0.123631 # DEPENDENCYPART_HEADBIGRAM
(9,8),(6,7),-0.151099 # DEPENDENCYPART_HEADBIGRAM
(9,8),(8,7),-0.0808406 # DEPENDENCYPART_HEADBIGRAM
(9,8),(9,7),0.14477 # DEPENDENCYPART_HEADBIGRAM
(9,8),(12,7),0.130844 # DEPENDENCYPART_HEADBIGRAM
(9,8),(13,7),0.0821019 # DEPENDENCYPART_HEADBIGRAM
(9,8),(14,7),0.0821019 # DEPENDENCYPART_HEADBIGRAM
(9,8),(16,7),0.0821019 # DEPENDENCYPART_HEADBIGRAM
(9,8),(19,7),0.0770024 # DEPENDENCYPART_HEADBIGRAM
(9,8),(24,7),0.105708 # DEPENDENCYPART_HEADBIGRAM
(9,10),(2,9),-0.0556853 # DEPENDENCYPART_HEADBIGRAM
(9,10),(3,9),0.0286047 # DEPENDENCYPART_HEADBIGRAM
(9,10),(6,9),0.0175896 # DEPENDENCYPART_HEADBIGRAM
(9,10),(7,9),-0.0548921 # DEPENDENCYPART_HEADBIGRAM
(9,10),(8,9),-0.0597073 # DEPENDENCYPART_HEADBIGRAM
(9,10),(10,9),-0.0021269 # DEPENDENCYPART_HEADBIGRAM
(9,10),(13,9),0.0616768 # DEPENDENCYPART_HEADBIGRAM
(9,10),(14,9),0.0624347 # DEPENDENCYPART_HEADBIGRAM
(9,10),(16,9),0.0709872 # DEPENDENCYPART_HEADBIGRAM
(9,10),(24,9),0.249222 # DEPENDENCYPART_HEADBIGRAM
(9,11),(1,10),-0.0898648 # DEPENDENCYPART_HEADBIGRAM
(9,11),(2,10),-0.0560763 # DEPENDENCYPART_HEADBIGRAM
(9,11),(3,10),-0.0620621 # DEPENDENCYPART_HEADBIGRAM
(9,11),(5,10),-0.0611163 # DEPENDENCYPART_HEADBIGRAM
(9,11),(6,10),-0.0623981 # DEPENDENCYPART_HEADBIGRAM
(9,11),(7,10),-0.0518384 # DEPENDENCYPART_HEADBIGRAM
(9,11),(8,10),-0.0447044 # DEPENDENCYPART_HEADBIGRAM
(9,11),(9,10),0.0988191 # DEPENDENCYPART_HEADBIGRAM
(9,11),(14,10),0.0682844 # DEPENDENCYPART_HEADBIGRAM
(9,11),(24,10),0.11297 # DEPENDENCYPART_HEADBIGRAM
(9,12),(9,11),0.0884099 # DEPENDENCYPART_HEADBIGRAM
(9,12),(10,11),0.0679351 # DEPENDENCYPART_HEADBIGRAM
(9,12),(12,11),0.0260118 # DEPENDENCYPART_HEADBIGRAM
(9,12),(13,11),0.100228 # DEPENDENCYPART_HEADBIGRAM
(9,12),(14,11),0.082647 # DEPENDENCYPART_HEADBIGRAM
(9,12),(16,11),0.082647 # DEPENDENCYPART_HEADBIGRAM
(9,12),(19,11),0.0974102 # DEPENDENCYPART_HEADBIGRAM
(9,12),(24,11),0.0968816 # DEPENDENCYPART_HEADBIGRAM
(9,13),(6,12),-0.0649578 # DEPENDENCYPART_HEADBIGRAM
(9,13),(8,12),-0.0606705 # DEPENDENCYPART_HEADBIGRAM
(9,13),(9,12),0.130342 # DEPENDENCYPART_HEADBIGRAM
(9,13),(10,12),0.151453 # DEPENDENCYPART_HEADBIGRAM
(9,13),(11,12),0.160878 # DEPENDENCYPART_HEADBIGRAM
(9,13),(13,12),0.175127 # DEPENDENCYPART_HEADBIGRAM
(9,13),(14,12),0.0928992 # DEPENDENCYPART_HEADBIGRAM
(9,13),(16,12),0.0977976 # DEPENDENCYPART_HEADBIGRAM
(9,13),(19,12),0.0997602 # DEPENDENCYPART_HEADBIGRAM
(9,13),(24,12),0.0901517 # DEPENDENCYPART_HEADBIGRAM
(9,14),(6,13),-0.0649578 # DEPENDENCYPART_HEADBIGRAM
(9,14),(8,13),-0.0606705 # DEPENDENCYPART_HEADBIGRAM
(9,14),(9,13),0.130342 # DEPENDENCYPART_HEADBIGRAM
(9,14),(10,13),0.124362 # DEPENDENCYPART_HEADBIGRAM
(9,14),(12,13),0.162645 # DEPENDENCYPART_HEADBIGRAM
(9,14),(14,13),0.175136 # DEPENDENCYPART_HEADBIGRAM
(9,14),(16,13),0.0977976 # DEPENDENCYPART_HEADBIGRAM
(9,14),(24,13),0.090153 # DEPENDENCYPART_HEADBIGRAM
(9,16),(3,15),-0.0625464 # DEPENDENCYPART_HEADBIGRAM
(9,16),(6,15),-0.0628788 # DEPENDENCYPART_HEADBIGRAM
(9,16),(10,15),0.11538 # DEPENDENCYPART_HEADBIGRAM
(9,16),(12,15),0.107227 # DEPENDENCYPART_HEADBIGRAM
(9,16),(14,15),0.105151 # DEPENDENCYPART_HEADBIGRAM
(9,16),(16,15),0.107078 # DEPENDENCYPART_HEADBIGRAM
(9,16),(17,15),0.103486 # DEPENDENCYPART_HEADBIGRAM
(9,16),(19,15),0.0949081 # DEPENDENCYPART_HEADBIGRAM
(9,16),(24,15),0.0966684 # DEPENDENCYPART_HEADBIGRAM
(9,16),(25,15),0.0960881 # DEPENDENCYPART_HEADBIGRAM
(9,17),(6,16),-0.00665798 # DEPENDENCYPART_HEADBIGRAM
(9,17),(9,16),0.088479 # DEPENDENCYPART_HEADBIGRAM
(9,17),(10,16),0.0990355 # DEPENDENCYPART_HEADBIGRAM
(9,17),(12,16),0.115995 # DEPENDENCYPART_HEADBIGRAM
(9,17),(13,16),0.115973 # DEPENDENCYPART_HEADBIGRAM
(9,17),(14,16),0.168241 # DEPENDENCYPART_HEADBIGRAM
(9,17),(15,16),0.166082 # DEPENDENCYPART_HEADBIGRAM
(9,17),(17,16),0.107713 # DEPENDENCYPART_HEADBIGRAM
(9,17),(19,16),0.0820646 # DEPENDENCYPART_HEADBIGRAM
(9,17),(24,16),0.0942076 # DEPENDENCYPART_HEADBIGRAM
(9,19),(17,18),0.106712 # DEPENDENCYPART_HEADBIGRAM
(9,19),(19,18),0.0838359 # DEPENDENCYPART_HEADBIGRAM
(9,19),(22,18),0.107239 # DEPENDENCYPART_HEADBIGRAM
(9,19),(23,18),0.107239 # DEPENDENCYPART_HEADBIGRAM
(9,19),(24,18),0.0980518 # DEPENDENCYPART_HEADBIGRAM
(9,19),(26,18),0.110945 # DEPENDENCYPART_HEADBIGRAM
(9,21),(12,20),0.110182 # DEPENDENCYPART_HEADBIGRAM
(9,21),(14,20),0.110182 # DEPENDENCYPART_HEADBIGRAM
(9,21),(16,20),0.110186 # DEPENDENCYPART_HEADBIGRAM
(9,21),(19,20),0.113757 # DEPENDENCYPART_HEADBIGRAM
(9,21),(22,20),0.098077 # DEPENDENCYPART_HEADBIGRAM
(9,21),(23,20),0.0980848 # DEPENDENCYPART_HEADBIGRAM
(9,21),(24,20),0.0982582 # DEPENDENCYPART_HEADBIGRAM
(9,21),(26,20),0.0981757 # DEPENDENCYPART_HEADBIGRAM
(9,22),(3,21),-0.0585864 # DEPENDENCYPART_HEADBIGRAM
(9,22),(5,21),-0.0563053 # DEPENDENCYPART_HEADBIGRAM
(9,22),(6,21),-0.0583824 # DEPENDENCYPART_HEADBIGRAM
(9,22),(9,21),0.0980227 # DEPENDENCYPART_HEADBIGRAM
(9,22),(14,21),0.109412 # DEPENDENCYPART_HEADBIGRAM
(9,22),(16,21),0.0983162 # DEPENDENCYPART_HEADBIGRAM
(9,22),(19,21),0.101557 # DEPENDENCYPART_HEADBIGRAM
(9,22),(20,21),0.105944 # DEPENDENCYPART_HEADBIGRAM
(9,22),(24,21),0.0924764 # DEPENDENCYPART_HEADBIGRAM
(9,22),(26,21),0.0957117 # DEPENDENCYPART_HEADBIGRAM
(9,23),(9,22),0.109855 # DEPENDENCYPART_HEADBIGRAM
(9,23),(14,22),0.114627 # DEPENDENCYPART_HEADBIGRAM
(9,23),(16,22),0.114627 # DEPENDENCYPART_HEADBIGRAM
(9,23),(17,22),0.100361 # DEPENDENCYPART_HEADBIGRAM
(9,23),(19,22),0.11156 # DEPENDENCYPART_HEADBIGRAM
(9,23),(20,22),0.083385 # DEPENDENCYPART_HEADBIGRAM
(9,23),(23,22),0.0587951 # DEPENDENCYPART_HEADBIGRAM
(9,23),(24,22),0.0871759 # DEPENDENCYPART_HEADBIGRAM
(9,23),(26,22),0.0998011 # DEPENDENCYPART_HEADBIGRAM
(9,24),(9,23),0.109618 # DEPENDENCYPART_HEADBIGRAM
(9,24),(14,23),0.112947 # DEPENDENCYPART_HEADBIGRAM
(9,24),(15,23),0.114248 # DEPENDENCYPART_HEADBIGRAM
(9,24),(16,23),0.112947 # DEPENDENCYPART_HEADBIGRAM
(9,24),(17,23),0.113604 # DEPENDENCYPART_HEADBIGRAM
(9,24),(19,23),0.117475 # DEPENDENCYPART_HEADBIGRAM
(9,24),(22,23),0.136707 # DEPENDENCYPART_HEADBIGRAM
(9,24),(24,23),0.00363325 # DEPENDENCYPART_HEADBIGRAM
(9,24),(25,23),0.0922738 # DEPENDENCYPART_HEADBIGRAM
(9,24),(26,23),0.0693658 # DEPENDENCYPART_HEADBIGRAM
(10,8),(3,7),-0.124389 # DEPENDENCYPART_HEADBIGRAM
(10,8),(6,7),-0.151847 # DEPENDENCYPART_HEADBIGRAM
(10,8),(8,7),-0.0542217 # DEPENDENCYPART_HEADBIGRAM
(10,8),(9,7),-0.125726 # DEPENDENCYPART_HEADBIGRAM
(10,8),(12,7),0.13318 # DEPENDENCYPART_HEADBIGRAM
(10,8),(13,7),0.0844383 # DEPENDENCYPART_HEADBIGRAM
(10,8),(14,7),0.0844383 # DEPENDENCYPART_HEADBIGRAM
(10,8),(16,7),0.0844383 # DEPENDENCYPART_HEADBIGRAM
(10,8),(19,7),0.0793389 # DEPENDENCYPART_HEADBIGRAM
(10,8),(24,7),0.0976233 # DEPENDENCYPART_HEADBIGRAM
(10,9),(3,8),-0.13011 # DEPENDENCYPART_HEADBIGRAM
(10,9),(5,8),-0.128651 # DEPENDENCYPART_HEADBIGRAM
(10,9),(6,8),-0.150308 # DEPENDENCYPART_HEADBIGRAM
(10,9),(7,8),-0.148758 # DEPENDENCYPART_HEADBIGRAM
(10,9),(9,8),-0.115713 # DEPENDENCYPART_HEADBIGRAM
(10,9),(10,8),0.125944 # DEPENDENCYPART_HEADBIGRAM
(10,9),(13,8),0.114729 # DEPENDENCYPART_HEADBIGRAM
(10,9),(14,8),0.0837627 # DEPENDENCYPART_HEADBIGRAM
(10,9),(16,8),0.0837627 # DEPENDENCYPART_HEADBIGRAM
(10,9),(24,8),0.0878162 # DEPENDENCYPART_HEADBIGRAM
(10,11),(1,10),-0.0462222 # DEPENDENCYPART_HEADBIGRAM
(10,11),(2,10),-0.0834815 # DEPENDENCYPART_HEADBIGRAM
(10,11),(3,10),-0.060991 # DEPENDENCYPART_HEADBIGRAM
(10,11),(5,10),-0.0855629 # DEPENDENCYPART_HEADBIGRAM
(10,11),(6,10),-0.0760103 # DEPENDENCYPART_HEADBIGRAM
(10,11),(7,10),-0.0397898 # DEPENDENCYPART_HEADBIGRAM
(10,11),(8,10),0.0199315 # DEPENDENCYPART_HEADBIGRAM
(10,11),(9,10),-0.0383174 # DEPENDENCYPART_HEADBIGRAM
(10,11),(14,10),0.171379 # DEPENDENCYPART_HEADBIGRAM
(10,11),(24,10),0.10121 # DEPENDENCYPART_HEADBIGRAM
(10,12),(9,11),-0.0624882 # DEPENDENCYPART_HEADBIGRAM
(10,12),(10,11),0.199273 # DEPENDENCYPART_HEADBIGRAM
(10,12),(12,11),0.307689 # DEPENDENCYPART_HEADBIGRAM
(10,12),(13,11),-0.000744366 # DEPENDENCYPART_HEADBIGRAM
(10,12),(14,11),-0.00631365 # DEPENDENCYPART_HEADBIGRAM
(10,12),(16,11),-0.00631555 # DEPENDENCYPART_HEADBIGRAM
(10,12),(19,11),0.00125619 # DEPENDENCYPART_HEADBIGRAM
(10,12),(24,11),0.0821007 # DEPENDENCYPART_HEADBIGRAM
(10,13),(6,12),-0.082388 # DEPENDENCYPART_HEADBIGRAM
(10,13),(8,12),-0.0568536 # DEPENDENCYPART_HEADBIGRAM
(10,13),(9,12),-0.0346281 # DEPENDENCYPART_HEADBIGRAM
(10,13),(10,12),0.0381501 # DEPENDENCYPART_HEADBIGRAM
(10,13),(11,12),0.160788 # DEPENDENCYPART_HEADBIGRAM
(10,13),(13,12),0.365765 # DEPENDENCYPART_HEADBIGRAM
(10,13),(14,12),0.0840917 # DEPENDENCYPART_HEADBIGRAM
(10,13),(16,12),0.0888082 # DEPENDENCYPART_HEADBIGRAM
(10,13),(19,12),0.0909541 # DEPENDENCYPART_HEADBIGRAM
(10,13),(24,12),0.0810022 # DEPENDENCYPART_HEADBIGRAM
(10,14),(6,13),-0.082388 # DEPENDENCYPART_HEADBIGRAM
(10,14),(8,13),-0.0568536 # DEPENDENCYPART_HEADBIGRAM
(10,14),(9,13),-0.0346281 # DEPENDENCYPART_HEADBIGRAM
(10,14),(10,13),0.0281492 # DEPENDENCYPART_HEADBIGRAM
(10,14),(12,13),0.150736 # DEPENDENCYPART_HEADBIGRAM
(10,14),(14,13),0.3765 # DEPENDENCYPART_HEADBIGRAM
(10,14),(16,13),0.0888082 # DEPENDENCYPART_HEADBIGRAM
(10,14),(24,13),0.0810022 # DEPENDENCYPART_HEADBIGRAM
(10,15),(6,14),-0.0612644 # DEPENDENCYPART_HEADBIGRAM
(10,15),(8,14),-0.0572242 # DEPENDENCYPART_HEADBIGRAM
(10,15),(9,14),-0.0540852 # DEPENDENCYPART_HEADBIGRAM
(10,15),(10,14),0.0514047 # DEPENDENCYPART_HEADBIGRAM
(10,15),(13,14),0.117139 # DEPENDENCYPART_HEADBIGRAM
(10,15),(15,14),0.0939994 # DEPENDENCYPART_HEADBIGRAM
(10,15),(16,14),0.086872 # DEPENDENCYPART_HEADBIGRAM
(10,15),(17,14),0.0661191 # DEPENDENCYPART_HEADBIGRAM
